gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attLfTarget,savedObox,attFreekickTotal,attBxRight,postScoringAtt,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,attSvHighLeft,freekickCross,goodHighClaim,freekickTotal,attLgCentre,attHdTarget,hitWoodwork,expectedGoalsFreekick,accurateThroughBall,totalThroughBall,totalOffside,attSvLowRight,attOboxPost,totalHighClaim,attPostRight,errorLeadToGoal,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attSvHighRight,penaltyWon,attSvLowLeft,bigChanceCreated,contentiousDecision,goalAssist,attPenMiss,bigChanceMissed,attCmissHigh,attCmissLeft,goalAssistIntentional,clearanceOffLine,ptsDroppedWinningPos,goalAssistOpenplay,attMissHighLeft,accurateFreekickCross,sixYardBlock,attCmissHighLeft,attCmissHighRight,accuratePullBack,attHdPost,attPostHigh,forwardGoals,handBall,accurateKeeperSweeper,totalKeeperSweeper,errorLeadToShot,secondYellow,punches,attPenTarget,penaltyConceded,attOneOnOne,ptsGainedLosingPos,attPostLeft,attObxdLeft,foulThrowIn,penaltyFaced,penGoalsConceded,attObxdRight,goalFastbreak,attObxLeft,attFreekickMiss,attLgRight,attIboxOwnGoal,attFreekickTarget
11,2562003,2025-11-08 12:30:00,"Tottenham Hotspur Stadium, London",61210.0,Away,Manchester United,Tottenham Hotspur,2,2,D,1.0,0.0,0,0,0.0,48.0,0.0,0.0,1.0,1.2235,29.0,23.0,,,5.0,2.0,0.0,,166.0,0.0,4.0,3.0,2.0,1.0,5.0,,2.0,80.0,151.0,52.0,5.0,,14.0,,,,12.0,8.0,1.0,23.0,3.0,14.0,19.0,1.9822,138.0,,0.0,0.0,83.0,8.0,0.0,1.0,,0.0,71.0,37.0,3.0,69.0,,1.0,9.0,26.0,,0.0,0.0,2.0,,151.0,6.0,0.0,81.0,590.0,3.0,4.0,19.0,6.0,289.0,23.0,8.0,12.0,1.0,2.0,2.0,0.798906,26.0,371.0,40.0,33.85,493250,3.0,171.0,6.0,,203.0,4.0,108060.83,0.0,,6.0,10.0,59.0,0.0,1.0,,1.0,15.0,4.0,6.0,,0.0,59.0,305.0,10.0,12.0,,28.0,1.0,73.0,,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,3.0,,3.0,45.1,20.0,1.0,5.0,,,,1.0,46.0,3.0,396.0,6.0,16.0,11.0,2.0,19.0,1.0,2.0,205.0,2.0,12.0,18.0,57.0,17.0,4.0,12.0,21.0,2.0,2.0,4.0,5.0,13.0,0.6266,4.0,6.0,3.0,,,,1.0,,,,,1.0,,1.0,,,,,,,2.0,4.0,3.0,,,,,,1.0,1.0,1.0,,,,2.0,,2.0,,1.0,,,2.0,,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
12,2562012,2025-11-24 20:00:00,"Old Trafford, Manchester",74158.0,Home,Manchester United,Everton,0,1,L,0.0,1.0,0,1,0.0,51.0,0.0,0.0,4.0,1.8465,18.0,19.0,8.0,6.0,17.0,,0.0,3.0,174.0,0.0,7.0,4.0,0.0,1.0,20.0,3.0,6.0,181.0,139.0,45.0,25.0,3.0,28.0,3.0,,5.0,38.0,7.0,0.0,19.0,8.0,14.0,29.0,0.4176,374.0,,0.0,0.0,271.0,12.0,0.0,,,0.0,102.0,99.0,10.0,93.0,,4.0,31.0,22.0,8.0,0.0,0.0,13.0,2.0,139.0,2.0,0.0,187.0,834.0,18.0,1.0,50.0,8.0,537.0,13.0,2.0,10.0,2.0,1.0,10.0,2.10384,19.0,614.0,70.0,32.65,446008,10.0,191.0,18.0,,214.0,6.0,112791.77,0.0,3.0,6.0,6.0,49.0,0.0,0.0,3.0,0.0,23.0,1.0,6.0,2.0,0.0,28.0,558.0,8.0,4.0,2.0,6.0,3.0,54.0,,0.0,0.0,0.0,0.0,,1.0,,0.0,1.0,1.0,0.0,5.0,1.0,5.0,69.9,19.0,3.0,3.0,3.0,1.0,3.0,7.0,42.0,9.0,635.0,8.0,2.0,18.0,12.0,49.0,3.0,10.0,459.0,14.0,13.0,19.0,226.0,32.0,2.0,10.0,14.0,0.0,1.0,22.0,3.0,8.0,1.7078,2.0,6.0,9.0,1.0,,,3.0,,1.0,,3.0,,1.0,,1.0,,,2.0,,,4.0,6.0,1.0,1.0,,1.0,,,,,,,,2.0,3.0,,,,3.0,1.0,2.0,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,
13,2562018,2025-11-30 12:00:00,"Selhurst Park, London",25189.0,Away,Manchester United,Crystal Palace,2,1,W,0.0,1.0,0,0,0.0,46.0,1.0,1.0,,1.3007,27.0,31.0,6.0,6.0,8.0,2.0,1.0,2.0,155.0,0.0,3.0,5.0,2.0,5.0,9.0,1.0,6.0,119.0,153.0,61.0,14.0,,23.0,3.0,1.0,1.0,18.0,6.0,0.0,31.0,4.0,14.0,38.0,1.0652,172.0,,1.0,0.0,123.0,14.0,0.0,1.0,1.0,0.0,66.0,45.0,4.0,70.0,1.0,3.0,14.0,10.0,6.0,0.0,0.0,4.0,4.0,153.0,11.0,0.0,99.0,642.0,5.0,10.0,18.0,10.0,335.0,16.0,9.0,21.0,2.0,5.0,5.0,0.571004,23.0,421.0,70.0,32.02,106760,1.0,183.0,6.0,4.0,205.0,7.0,107737.08,1.0,,5.0,8.0,53.0,0.0,0.0,1.0,0.0,24.0,3.0,5.0,1.0,0.0,58.0,352.0,13.0,2.0,2.0,26.0,2.0,78.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,2.0,56.1,15.0,2.0,5.0,3.0,,1.0,,49.0,4.0,443.0,10.0,6.0,20.0,8.0,32.0,1.0,4.0,256.0,6.0,13.0,27.0,73.0,22.0,1.0,21.0,16.0,0.0,1.0,6.0,4.0,13.0,1.1921,1.0,5.0,4.0,2.0,,,,,2.0,,1.0,2.0,,4.0,,,,,,,,,,2.0,,,,,,2.0,2.0,,,1.0,,,2.0,,2.0,,,2.0,1.0,,,1.0,2.0,,,,,,,2.0,,,,1.0,,,,1.0,,3.0,,,,1.0,1.0,,,,,,,
14,2562032,2025-12-04 20:00:00,"Old Trafford, Manchester",73938.0,Home,Manchester United,West Ham United,1,1,D,0.0,0.0,0,0,0.0,52.0,0.0,0.0,6.0,0.5831,22.0,17.0,3.0,3.0,13.0,1.0,0.0,1.0,197.0,1.0,5.0,9.0,1.0,2.0,10.0,,4.0,145.0,170.0,47.0,17.0,2.0,25.0,2.0,2.0,1.0,31.0,14.0,0.0,17.0,4.0,12.0,29.0,1.0617,270.0,,0.0,0.0,186.0,13.0,0.0,,2.0,1.0,94.0,86.0,8.0,95.0,1.0,,27.0,25.0,4.0,0.0,0.0,9.0,1.0,170.0,10.0,0.0,110.0,769.0,9.0,9.0,43.0,5.0,429.0,28.0,6.0,8.0,2.0,6.0,2.0,1.08148,28.0,528.0,65.0,34.23,446008,9.0,181.0,18.0,,217.0,11.0,108481.44,1.0,1.0,9.0,5.0,64.0,0.0,0.0,3.0,1.0,19.0,1.0,5.0,,0.0,47.0,446.0,8.0,11.0,1.0,22.0,2.0,62.0,2.0,0.0,0.0,0.0,0.0,,6.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,64.9,22.0,1.0,3.0,,,3.0,8.0,40.0,6.0,547.0,5.0,10.0,13.0,5.0,39.0,1.0,3.0,361.0,11.0,10.0,11.0,147.0,17.0,1.0,8.0,19.0,0.0,1.0,14.0,5.0,14.0,1.7978,1.0,9.0,6.0,1.0,,,2.0,1.0,,1.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,,,1.0,3.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,2.0,,,,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,
15,2562044,2025-12-08 20:00:00,"Molineux Stadium, Wolverhampton",30338.0,Away,Manchester United,Wolverhampton Wanderers,4,1,W,1.0,1.0,0,0,0.0,49.0,1.0,2.0,9.0,3.3995,20.0,27.0,7.0,6.0,20.0,1.0,0.0,3.0,161.0,1.0,3.0,10.0,4.0,4.0,21.0,1.0,10.0,140.0,133.0,63.0,27.0,5.0,20.0,5.0,3.0,,14.0,9.0,0.0,27.0,6.0,15.0,25.0,1.1705,225.0,,0.0,0.0,151.0,12.0,0.0,,4.0,2.0,54.0,53.0,19.0,100.0,1.0,2.0,8.0,14.0,7.0,0.0,0.0,2.0,1.0,133.0,4.0,0.0,140.0,757.0,12.0,7.0,42.0,7.0,431.0,22.0,7.0,13.0,2.0,2.0,2.0,1.86034,23.0,512.0,50.0,33.1,446008,13.0,236.0,6.0,1.0,262.0,9.0,112974.27,4.0,2.0,8.0,6.0,71.0,0.0,0.0,1.0,3.0,6.0,4.0,5.0,,1.0,48.0,458.0,16.0,13.0,6.0,21.0,5.0,65.0,3.0,0.0,0.0,0.0,0.0,,1.0,1.0,4.0,1.0,4.0,0.0,1.0,1.0,4.0,63.3,19.0,1.0,4.0,2.0,,1.0,14.0,39.0,9.0,541.0,7.0,16.0,12.0,3.0,28.0,2.0,2.0,293.0,17.0,15.0,22.0,117.0,19.0,4.0,13.0,16.0,0.0,1.0,16.0,5.0,20.0,4.2426,4.0,8.0,9.0,2.0,,1.0,4.0,,3.0,,1.0,,,,1.0,1.0,,1.0,,0.1609,5.0,12.0,3.0,,,1.0,,,4.0,,,,1.0,3.0,6.0,1.0,3.0,,4.0,,,3.0,,,3.0,1.0,,1.0,,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,
16,2562051,2025-12-15 20:00:00,"Old Trafford, Manchester",73951.0,Home,Manchester United,Bournemouth,4,4,D,2.0,1.0,0,0,1.0,41.0,1.0,2.0,9.0,3.3598,16.0,47.0,7.0,11.0,18.0,5.0,0.0,3.0,145.0,0.0,6.0,7.0,4.0,3.0,18.0,1.0,9.0,95.0,128.0,57.0,25.0,1.0,26.0,2.0,2.0,1.0,21.0,8.0,1.0,47.0,5.0,7.0,33.0,3.2978,177.0,,1.0,0.0,141.0,15.0,0.0,1.0,2.0,3.0,41.0,36.0,14.0,59.0,,2.0,16.0,13.0,7.0,0.0,0.0,6.0,2.0,128.0,9.0,0.0,94.0,613.0,15.0,4.0,49.0,3.0,294.0,9.0,2.0,33.0,2.0,,4.0,1.53438,19.0,374.0,53.0,34.14,485711,10.0,139.0,8.0,1.0,160.0,9.0,110182.42,2.0,1.0,7.0,4.0,63.0,0.0,0.0,4.0,2.0,15.0,5.0,2.0,3.0,0.0,45.0,310.0,10.0,9.0,2.0,15.0,2.0,55.0,2.0,0.0,0.0,1.0,0.0,,4.0,4.0,3.0,4.0,3.0,0.0,4.0,,4.0,56.6,18.0,,5.0,3.0,,4.0,10.0,26.0,5.0,393.0,3.0,4.0,19.0,6.0,41.0,2.0,4.0,254.0,10.0,3.0,24.0,100.0,20.0,,33.0,16.0,2.0,3.0,21.0,5.0,17.0,3.398,,7.0,5.0,2.0,1.0,1.0,2.0,,1.0,,3.0,1.0,,2.0,,1.0,,,1.0,0.0726,1.0,2.0,,1.0,,,,,2.0,1.0,1.0,1.0,,2.0,,,1.0,,,,1.0,1.0,,2.0,,,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
17,2562056,2025-12-21 16:30:00,"Villa Park, Birmingham",43157.0,Away,Manchester United,Aston Villa,1,2,L,1.0,1.0,0,0,0.0,54.0,0.0,1.0,2.0,0.8505,22.0,21.0,9.0,7.0,5.0,2.0,0.0,3.0,132.0,0.0,4.0,8.0,1.0,3.0,8.0,1.0,6.0,138.0,127.0,58.0,15.0,1.0,11.0,1.0,,1.0,26.0,14.0,0.0,21.0,5.0,13.0,28.0,1.617,204.0,,0.0,0.0,131.0,14.0,0.0,1.0,,0.0,52.0,61.0,6.0,65.0,,4.0,21.0,17.0,10.0,0.0,0.0,9.0,5.0,127.0,8.0,0.0,125.0,669.0,7.0,7.0,34.0,9.0,381.0,15.0,4.0,14.0,2.0,5.0,2.0,1.06254,19.0,442.0,49.0,33.81,485711,3.0,196.0,11.0,,206.0,8.0,108451.95,1.0,,5.0,3.0,45.0,0.0,0.0,4.0,1.0,14.0,4.0,3.0,1.0,0.0,41.0,396.0,11.0,3.0,,12.0,1.0,55.0,,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,3.0,0.0,4.0,1.0,1.0,57.4,13.0,1.0,8.0,2.0,1.0,4.0,3.0,40.0,5.0,460.0,9.0,8.0,16.0,6.0,39.0,,1.0,280.0,7.0,13.0,13.0,101.0,27.0,1.0,14.0,26.0,0.0,2.0,13.0,4.0,18.0,1.3325,1.0,5.0,5.0,2.0,1.0,1.0,,,1.0,,4.0,,1.0,1.0,1.0,1.0,,,,0.0404,2.0,2.0,1.0,,,1.0,,,1.0,,,,,2.0,3.0,,1.0,,2.0,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,
18,2562071,2025-12-26 20:00:00,"Old Trafford, Manchester",73996.0,Home,Manchester United,Newcastle United,1,0,W,1.0,0.0,0,0,0.0,48.0,1.0,0.0,,0.9647,11.0,45.0,2.0,7.0,8.0,3.0,1.0,1.0,123.0,0.0,3.0,7.0,1.0,,8.0,1.0,4.0,60.0,120.0,45.0,10.0,,18.0,2.0,,1.0,8.0,8.0,0.0,45.0,2.0,8.0,18.0,0.9598,110.0,1.0,0.0,0.0,63.0,9.0,0.0,1.0,,1.0,40.0,26.0,3.0,67.0,1.0,2.0,6.0,23.0,2.0,0.0,0.0,1.0,1.0,120.0,14.0,0.0,78.0,555.0,6.0,9.0,15.0,18.0,244.0,21.0,3.0,30.0,2.0,7.0,5.0,0.459626,20.0,308.0,36.0,34.92,485711,4.0,145.0,5.0,1.0,171.0,5.0,112617.33,0.0,,9.0,8.0,52.0,0.0,0.0,2.0,0.0,16.0,2.0,3.0,2.0,0.0,44.0,252.0,5.0,11.0,2.0,20.0,1.0,51.0,,0.0,0.0,0.0,0.0,2.0,11.0,3.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,33.3,14.0,1.0,3.0,1.0,,3.0,,16.0,2.0,328.0,18.0,9.0,8.0,6.0,12.0,1.0,4.0,165.0,2.0,7.0,13.0,44.0,14.0,5.0,30.0,20.0,0.0,0.0,7.0,5.0,12.0,1.2705,5.0,9.0,2.0,2.0,,,2.0,1.0,1.0,1.0,1.0,,,,2.0,,,,1.0,,,1.0,,,,3.0,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
19,2562081,2025-12-30 20:15:00,"Old Trafford, Manchester",73941.0,Home,Manchester United,Wolverhampton Wanderers,1,1,D,1.0,1.0,0,0,0.0,41.0,0.0,0.0,2.0,0.7276,26.0,16.0,5.0,5.0,10.0,3.0,1.0,2.0,140.0,1.0,6.0,5.0,1.0,4.0,12.0,,6.0,135.0,111.0,48.0,15.0,2.0,16.0,4.0,,,22.0,14.0,0.0,16.0,8.0,14.0,31.0,1.0204,262.0,,1.0,0.0,116.0,9.0,0.0,1.0,,1.0,88.0,60.0,8.0,73.0,,1.0,14.0,15.0,5.0,0.0,0.0,6.0,1.0,111.0,8.0,0.0,158.0,687.0,10.0,2.0,21.0,4.0,432.0,18.0,3.0,10.0,0.0,1.0,4.0,0.702095,19.0,488.0,58.0,33.26,232112,7.0,194.0,6.0,,212.0,6.0,109259.24,0.0,,5.0,5.0,55.0,0.0,0.0,2.0,1.0,11.0,3.0,5.0,1.0,0.0,44.0,450.0,12.0,10.0,2.0,12.0,3.0,53.0,,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,4.0,,5.0,56.1,14.0,1.0,4.0,2.0,1.0,2.0,4.0,42.0,8.0,506.0,4.0,14.0,20.0,5.0,35.0,2.0,3.0,316.0,5.0,14.0,10.0,89.0,17.0,1.0,10.0,21.0,0.0,1.0,12.0,3.0,11.0,0.8375,1.0,5.0,8.0,,1.0,,,1.0,2.0,1.0,1.0,,,2.0,,,,3.0,1.0,,,,3.0,,,,,,,,,1.0,,1.0,2.0,,,,2.0,,,,,2.0,,2.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
20,2562090,2026-01-04 12:30:00,"Elland Road, Leeds",36909.0,Away,Manchester United,Leeds United,1,1,D,0.0,0.0,0,0,0.0,50.0,1.0,0.0,2.0,0.3914,23.0,38.0,6.0,4.0,9.0,2.0,0.0,,189.0,0.0,2.0,5.0,1.0,,11.0,,2.0,136.0,162.0,55.0,15.0,3.0,23.0,1.0,1.0,4.0,10.0,15.0,0.0,38.0,4.0,14.0,42.0,1.5242,173.0,,0.0,0.0,118.0,9.0,0.0,2.0,1.0,0.0,30.0,56.0,5.0,85.0,1.0,,6.0,21.0,6.0,0.0,0.0,3.0,2.0,162.0,8.0,0.0,119.0,740.0,9.0,9.0,22.0,8.0,401.0,21.0,5.0,21.0,1.0,2.0,6.0,0.861719,16.0,505.0,66.0,34.23,485711,7.0,248.0,3.0,,272.0,5.0,107478.02,1.0,2.0,15.0,11.0,54.0,0.0,0.0,2.0,1.0,18.0,3.0,7.0,2.0,0.0,63.0,419.0,9.0,4.0,1.0,21.0,4.0,86.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,1.0,5.0,0.0,1.0,1.0,4.0,54.6,12.0,2.0,3.0,,1.0,2.0,5.0,39.0,4.0,529.0,8.0,11.0,19.0,8.0,25.0,1.0,5.0,267.0,7.0,14.0,16.0,69.0,22.0,2.0,21.0,25.0,0.0,1.0,10.0,1.0,12.0,1.5849,2.0,15.0,4.0,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,1.0,1.0,3.0,,1.0,1.0,1.0,,,,,,,,3.0,,1.0,,3.0,1.0,1.0,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
21,2562098,2026-01-07 20:15:00,"Turf Moor, Burnley",21047.0,Away,Manchester United,Burnley,2,2,D,0.0,1.0,0,0,0.0,57.0,1.0,0.0,5.0,2.3985,17.0,13.0,8.0,9.0,21.0,,0.0,2.0,171.0,1.0,9.0,16.0,2.0,1.0,21.0,2.0,10.0,168.0,126.0,65.0,30.0,2.0,9.0,8.0,1.0,3.0,26.0,16.0,0.0,13.0,6.0,26.0,33.0,0.8794,274.0,,0.0,0.0,167.0,8.0,0.0,,1.0,0.0,64.0,56.0,14.0,100.0,,3.0,20.0,22.0,9.0,0.0,0.0,9.0,6.0,126.0,7.0,0.0,154.0,798.0,18.0,3.0,43.0,6.0,502.0,25.0,6.0,8.0,0.0,5.0,7.0,1.91313,16.0,575.0,74.0,34.45,485711,11.0,254.0,11.0,1.0,273.0,2.0,113608.34,2.0,,12.0,3.0,42.0,1.0,0.0,2.0,2.0,18.0,1.0,3.0,1.0,0.0,32.0,519.0,8.0,10.0,1.0,11.0,4.0,55.0,1.0,0.0,0.0,0.0,0.0,,2.0,,2.0,2.0,1.0,0.0,8.0,1.0,7.0,65.4,15.0,2.0,6.0,4.0,,2.0,7.0,35.0,6.0,593.0,6.0,10.0,17.0,13.0,37.0,1.0,5.0,346.0,14.0,22.0,22.0,131.0,23.0,1.0,8.0,19.0,0.0,2.0,25.0,5.0,22.0,2.5466,1.0,12.0,6.0,3.0,,,2.0,2.0,5.0,1.0,1.0,4.0,1.0,,1.0,,,3.0,2.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,4.0,,2.0,,3.0,,,2.0,,2.0,2.0,,,1.0,,1.0,,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,
22,2562110,2026-01-17 12:30:00,"Old Trafford, Manchester",74004.0,Home,Manchester United,Manchester City,2,0,W,0.0,0.0,0,0,0.0,48.0,0.0,1.0,1.0,1.7467,26.0,27.0,1.0,5.0,10.0,1.0,2.0,2.0,117.0,0.0,4.0,5.0,2.0,,8.0,,7.0,69.0,109.0,46.0,11.0,,7.0,4.0,4.0,1.0,10.0,12.0,1.0,27.0,1.0,4.0,26.0,0.3121,138.0,1.0,0.0,0.0,110.0,13.0,0.0,1.0,5.0,1.0,51.0,35.0,5.0,50.0,3.0,1.0,9.0,10.0,1.0,0.0,0.0,2.0,,109.0,5.0,0.0,66.0,482.0,5.0,4.0,21.0,12.0,229.0,22.0,2.0,11.0,2.0,3.0,3.0,0.85877,16.0,284.0,50.0,33.98,596777,4.0,106.0,7.0,,121.0,9.0,110444.62,0.0,,5.0,7.0,39.0,0.0,0.0,2.0,2.0,15.0,2.0,6.0,,0.0,46.0,240.0,8.0,6.0,1.0,10.0,1.0,46.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,31.8,11.0,1.0,3.0,,1.0,3.0,1.0,23.0,1.0,302.0,12.0,8.0,15.0,4.0,22.0,1.0,2.0,191.0,4.0,3.0,9.0,77.0,19.0,3.0,11.0,24.0,0.0,0.0,10.0,4.0,10.0,2.2682,3.0,5.0,1.0,3.0,,,2.0,2.0,4.0,2.0,1.0,,,,1.0,,,,2.0,,1.0,2.0,6.0,,,1.0,1.0,,2.0,,,,,,5.0,1.0,2.0,,4.0,,,2.0,,,2.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,
23,2562116,2026-01-25 16:30:00,"Emirates Stadium, London",60296.0,Away,Manchester United,Arsenal,3,2,W,1.0,1.0,0,0,0.0,40.0,1.0,1.0,,0.4411,15.0,25.0,6.0,3.0,3.0,3.0,1.0,,123.0,1.0,1.0,4.0,3.0,,7.0,,3.0,100.0,102.0,40.0,10.0,2.0,14.0,,1.0,3.0,5.0,9.0,0.0,25.0,2.0,4.0,28.0,1.9047,147.0,,2.0,0.0,86.0,9.0,0.0,1.0,1.0,1.0,47.0,30.0,4.0,66.0,,,3.0,13.0,7.0,0.0,0.0,1.0,3.0,102.0,10.0,1.0,75.0,522.0,5.0,3.0,9.0,6.0,270.0,15.0,5.0,12.0,0.0,5.0,3.0,0.356393,12.0,333.0,56.0,33.29,430871,2.0,143.0,2.0,,157.0,4.0,108718.74,2.0,,10.0,10.0,41.0,1.0,0.0,3.0,3.0,8.0,6.0,7.0,,0.0,56.0,289.0,11.0,7.0,,23.0,,77.0,1.0,0.0,0.0,0.0,0.0,,9.0,2.0,1.0,2.0,,0.0,1.0,1.0,,43.9,8.0,,2.0,1.0,,3.0,2.0,38.0,2.0,364.0,6.0,9.0,9.0,5.0,15.0,,2.0,212.0,7.0,2.0,12.0,49.0,14.0,3.0,12.0,14.0,0.0,2.0,10.0,3.0,6.0,0.7142,3.0,10.0,2.0,,1.0,,,,,,,1.0,,,3.0,,1.0,,,,1.0,4.0,,,,3.0,,,1.0,,,,,,,,2.0,,1.0,,1.0,,,,2.0,1.0,,,,,,,,1.0,,1.0,1.0,2.0,,3.0,,,,3.0,,,,,,,,,,,1.0,
24,2562130,2026-02-01 14:00:00,"Old Trafford, Manchester",73932.0,Home,Manchester United,Fulham,3,2,W,1.0,0.0,0,0,1.0,43.0,0.0,0.0,2.0,2.4425,27.0,30.0,1.0,3.0,12.0,4.0,0.0,,138.0,0.0,6.0,5.0,3.0,2.0,12.0,,6.0,113.0,90.0,50.0,13.0,1.0,10.0,3.0,,1.0,12.0,10.0,2.0,30.0,3.0,10.0,35.0,3.3478,225.0,,0.0,0.0,132.0,6.0,0.0,3.0,,2.0,43.0,74.0,9.0,83.0,2.0,,9.0,17.0,1.0,1.0,0.0,3.0,,90.0,8.0,1.0,94.0,614.0,7.0,3.0,27.0,10.0,361.0,18.0,4.0,11.0,2.0,5.0,3.0,1.46146,12.0,411.0,68.0,32.6,446008,4.0,153.0,4.0,1.0,168.0,3.0,113876.58,2.0,,8.0,6.0,39.0,0.0,0.0,2.0,2.0,9.0,6.0,4.0,2.0,0.0,48.0,372.0,9.0,6.0,2.0,11.0,2.0,54.0,,0.0,0.0,0.0,0.0,,7.0,2.0,3.0,2.0,1.0,0.0,4.0,,5.0,42.1,11.0,2.0,3.0,,,2.0,3.0,36.0,3.0,428.0,10.0,7.0,20.0,4.0,20.0,2.0,3.0,272.0,5.0,10.0,14.0,102.0,18.0,4.0,11.0,22.0,1.0,1.0,10.0,4.0,15.0,1.7939,4.0,8.0,3.0,2.0,2.0,,4.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,3.0,3.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,3.0,1.0,3.0,,2.0,2.0,,3.0,,,2.0,,1.0,,,,,1.0,,,,,,,,2.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,
