gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attOboxBlocked,accurateKeeperSweeper,attOboxTarget,attSvHighRight,attSvLowLeft,goodHighClaim,bigChanceCreated,totalKeeperSweeper,bigChanceMissed,overrun,accurateFlickOn,attBxLeft,totalHighClaim,attOpenplay,errorLeadToGoal,attCmissRight,attFreekickTotal,attObxLeft,attBxRight,postScoringAtt,attIboxPost,cleanSheet,freekickTotal,attPostLeft,hitWoodwork,attMissHighLeft,offtargetAttAssist,attCmissHighLeft,attSvLowRight,attHdMiss,accurateCornersIntobox,attIboxMiss,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,goalAssistOpenplay,attOboxGoal,goalAssist,attRfGoal,goalsOpenplay,attMissHigh,attIboxGoal,goalAssistIntentional,shieldBallOop,forwardGoals,attHdGoal,bigChanceScored,attSvHighLeft,midfielderGoals,attHdPost,sixYardBlock,totalPullBack,attCmissHigh,punches,attPostHigh,ptsDroppedWinningPos,goalAssistSetplay,attGoalHighCentre,attObxdRight,totalThroughBall,attMissHighRight,attOboxPost,clearanceOffLine,attPostRight,accuratePullBack,penaltyConceded,penaltyFaced,penGoalsConceded,goalAssistDeadball,attGoalLowCentre,attGoalHighRight,attOneOnOne,penaltyWon,accurateThroughBall,attPenGoal,handBall,ptsGainedLosingPos,attGoalHighLeft,contentiousDecision,shotFastbreak,totalFastbreak,attFastbreak,goalsConcededObox,attPenMiss,attFreekickTarget,attObxRight,penaltySave,defenderGoals,attLgCentre,attPenTarget
11,919000,2017-11-04 15:00:00,"Liberty Stadium, Swansea",20822,Away,Brighton and Hove Albion,Swansea City,1,0,W,1,0,0,0,61.0,,,33.0,36.0,2.0,1.0,3.0,2.0,,158.0,2.0,3.0,1.0,3.0,2.0,81.0,154.0,54.0,5.0,27.0,1.0,,1.0,20.0,10.0,36.0,7.0,4.0,26.0,119.0,0.0,82.0,12.0,2.0,2.0,75.0,49.0,3.0,52.0,1.0,1.0,13.0,14.0,2.0,3.0,1.0,154.0,11.0,80.0,542.0,1.0,16.0,5.0,1.0,10.0,250.0,33.0,4.0,20.0,1.0,7.0,16.0,338.0,37.0,,,85128,1.0,150.0,8.0,,181.0,8.0,14.0,15.0,61.0,,2.0,1.0,11.0,1.0,7.0,82.0,267.0,13.0,11.0,1.0,34.0,84.0,,0.0,8.0,2.0,,0.0,1.0,1.0,43.9,9.0,,1.0,1.0,1.0,36.0,7.0,371.0,10.0,9.0,16.0,2.0,27.0,210.0,3.0,4.0,23.0,51.0,22.0,2.0,,20.0,17.0,,3.0,6.0,2.0,5.0,7.0,,1.0,,,,,1.0,1.0,,,,5.0,,1.0,5.0,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
12,919005,2017-11-20 20:00:00,"Amex Stadium, Falmer",29676,Home,Brighton and Hove Albion,Stoke City,2,2,D,1,2,0,0,67.0,1.0,,32.0,17.0,5.0,,4.0,4.0,,150.0,5.0,11.0,2.0,6.0,3.0,142.0,146.0,39.0,9.0,22.0,1.0,,1.0,23.0,8.0,17.0,6.0,14.0,38.0,193.0,0.0,136.0,13.0,1.0,1.0,76.0,58.0,2.0,63.0,2.0,4.0,17.0,15.0,5.0,4.0,5.0,146.0,10.0,107.0,635.0,4.0,4.0,18.0,1.0,15.0,354.0,32.0,5.0,9.0,1.0,4.0,17.0,450.0,67.0,1.0,2.0,85128,2.0,176.0,12.0,1.0,199.0,9.0,15.0,4.0,62.0,,3.0,8.0,14.0,3.0,3.0,62.0,364.0,5.0,18.0,1.0,11.0,64.0,,0.0,7.0,3.0,2.0,0.0,3.0,1.0,53.8,16.0,2.0,1.0,8.0,,42.0,6.0,462.0,15.0,5.0,12.0,6.0,28.0,286.0,8.0,13.0,9.0,74.0,24.0,4.0,,9.0,14.0,2.0,3.0,16.0,4.0,6.0,6.0,,,,,,,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,7.0,,,,,,,,,,,,,4.0,,,,2.0,1.0,,1.0,,2.0,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,
13,919017,2017-11-25 15:00:00,"Old Trafford, Manchester",75018,Away,Brighton and Hove Albion,Manchester United,0,1,L,0,0,0,0,81.0,1.0,1.0,34.0,30.0,4.0,2.0,4.0,4.0,1.0,137.0,4.0,5.0,3.0,7.0,2.0,114.0,141.0,46.0,8.0,14.0,1.0,2.0,1.0,17.0,14.0,30.0,,9.0,32.0,143.0,0.0,100.0,9.0,2.0,3.0,59.0,46.0,4.0,49.0,1.0,1.0,17.0,14.0,4.0,5.0,1.0,141.0,8.0,104.0,595.0,6.0,13.0,19.0,,14.0,302.0,41.0,9.0,20.0,2.0,4.0,17.0,383.0,47.0,1.0,,85128,2.0,172.0,9.0,1.0,204.0,5.0,14.0,8.0,51.0,1.0,1.0,5.0,20.0,8.0,3.0,74.0,311.0,9.0,18.0,1.0,30.0,68.0,,0.0,5.0,3.0,1.0,0.0,4.0,1.0,41.7,13.0,5.0,,5.0,3.0,35.0,,404.0,14.0,8.0,20.0,3.0,21.0,217.0,5.0,7.0,14.0,70.0,25.0,6.0,1.0,20.0,18.0,1.0,3.0,7.0,6.0,7.0,,1.0,2.0,,1.0,,,1.0,1.0,,1.0,,4.0,,1.0,7.0,,,,,,,,,,,,1.0,3.0,,,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,
14,919025,2017-11-28 19:45:00,"Amex Stadium, Falmer",29889,Home,Brighton and Hove Albion,Crystal Palace,0,0,D,0,0,0,0,72.0,2.0,1.0,34.0,18.0,4.0,1.0,6.0,4.0,2.0,176.0,7.0,8.0,1.0,9.0,4.0,109.0,168.0,58.0,10.0,28.0,3.0,2.0,2.0,29.0,10.0,18.0,10.0,7.0,40.0,147.0,0.0,130.0,13.0,2.0,1.0,77.0,59.0,6.0,58.0,,,19.0,18.0,4.0,6.0,2.0,168.0,5.0,109.0,636.0,4.0,9.0,18.0,2.0,8.0,326.0,35.0,6.0,11.0,2.0,1.0,28.0,434.0,60.0,,,85128,4.0,194.0,12.0,,227.0,7.0,18.0,10.0,61.0,,5.0,3.0,11.0,5.0,3.0,76.0,334.0,7.0,13.0,5.0,21.0,80.0,1.0,0.0,5.0,2.0,,0.0,2.0,3.0,53.2,25.0,7.0,,3.0,2.0,39.0,10.0,452.0,8.0,6.0,18.0,4.0,34.0,254.0,6.0,7.0,25.0,72.0,23.0,1.0,,11.0,19.0,,3.0,11.0,1.0,4.0,10.0,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,5.0,,,,,,,,1.0,,,,1.0,3.0,,1.0,1.0,5.0,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
15,919035,2017-12-02 15:00:00,"Amex Stadium, Falmer",30634,Home,Brighton and Hove Albion,Liverpool,1,5,L,0,2,0,0,64.0,1.0,1.0,44.0,15.0,,2.0,6.0,2.0,1.0,165.0,2.0,6.0,2.0,3.0,2.0,123.0,133.0,46.0,6.0,13.0,1.0,1.0,1.0,13.0,13.0,15.0,2.0,18.0,43.0,154.0,0.0,116.0,8.0,,1.0,85.0,51.0,1.0,80.0,3.0,1.0,11.0,9.0,,3.0,,133.0,8.0,121.0,626.0,3.0,16.0,8.0,,12.0,378.0,31.0,8.0,10.0,1.0,2.0,12.0,466.0,65.0,,,85128,5.0,246.0,7.0,2.0,269.0,6.0,9.0,7.0,46.0,1.0,,5.0,10.0,5.0,6.0,70.0,398.0,6.0,9.0,,20.0,74.0,1.0,0.0,2.0,1.0,5.0,0.0,2.0,,42.8,10.0,4.0,,5.0,1.0,41.0,2.0,489.0,12.0,11.0,22.0,3.0,20.0,233.0,4.0,17.0,16.0,70.0,21.0,1.0,1.0,10.0,18.0,4.0,3.0,12.0,1.0,3.0,2.0,,,,,,,,1.0,,1.0,2.0,2.0,,,3.0,,,,,,,,,,,,1.0,2.0,,,,,3.0,,,,1.0,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,
16,919045,2017-12-09 15:00:00,"John Smith's Stadium, Huddersfield",24018,Away,Brighton and Hove Albion,Huddersfield Town,0,2,L,0,2,0,0,71.0,1.0,1.0,28.0,24.0,5.0,2.0,2.0,4.0,2.0,188.0,,5.0,1.0,4.0,2.0,63.0,183.0,50.0,7.0,35.0,,,,11.0,12.0,24.0,1.0,8.0,32.0,117.0,0.0,90.0,10.0,1.0,1.0,42.0,65.0,3.0,64.0,1.0,,10.0,23.0,5.0,3.0,1.0,183.0,12.0,76.0,598.0,3.0,9.0,11.0,,13.0,259.0,37.0,9.0,11.0,0.0,5.0,29.0,369.0,58.0,,1.0,83299,2.0,150.0,6.0,1.0,195.0,4.0,23.0,11.0,74.0,,5.0,4.0,13.0,7.0,3.0,80.0,267.0,6.0,6.0,1.0,40.0,97.0,,0.0,8.0,3.0,2.0,0.0,,,41.6,23.0,1.0,,4.0,3.0,50.0,1.0,391.0,13.0,15.0,17.0,2.0,18.0,207.0,5.0,6.0,22.0,48.0,23.0,4.0,,11.0,17.0,2.0,3.0,13.0,4.0,13.0,1.0,,2.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,6.0,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,919062,2017-12-13 20:00:00,"Wembley Stadium, London",55124,Away,Brighton and Hove Albion,Tottenham Hotspur,0,2,L,0,1,0,0,55.0,4.0,1.0,22.0,37.0,2.0,3.0,5.0,5.0,,117.0,4.0,5.0,,6.0,4.0,45.0,130.0,43.0,7.0,20.0,3.0,1.0,,8.0,9.0,37.0,2.0,8.0,26.0,63.0,0.0,61.0,10.0,4.0,,31.0,46.0,4.0,42.0,1.0,1.0,6.0,12.0,2.0,1.0,1.0,130.0,14.0,44.0,427.0,5.0,11.0,12.0,2.0,17.0,151.0,29.0,4.0,28.0,1.0,11.0,20.0,221.0,43.0,,,85128,4.0,102.0,5.0,,134.0,3.0,12.0,10.0,56.0,,1.0,3.0,14.0,11.0,1.0,61.0,161.0,5.0,11.0,1.0,16.0,54.0,,0.0,10.0,2.0,2.0,0.0,2.0,2.0,24.9,12.0,,2.0,3.0,1.0,21.0,2.0,248.0,17.0,10.0,12.0,2.0,13.0,122.0,2.0,7.0,20.0,30.0,17.0,4.0,,28.0,13.0,1.0,3.0,10.0,4.0,4.0,2.0,2.0,,,1.0,,,,,,,1.0,3.0,,,5.0,,,,,1.0,,,,,,,,2.0,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
18,919065,2017-12-16 15:00:00,"Amex Stadium, Falmer",29921,Home,Brighton and Hove Albion,Burnley,0,0,D,0,0,0,0,79.0,1.0,3.0,40.0,37.0,4.0,3.0,8.0,6.0,,192.0,3.0,9.0,4.0,8.0,2.0,103.0,167.0,63.0,12.0,36.0,2.0,1.0,2.0,36.0,8.0,37.0,8.0,15.0,40.0,172.0,0.0,124.0,13.0,3.0,3.0,70.0,87.0,4.0,73.0,2.0,1.0,28.0,22.0,4.0,6.0,3.0,167.0,8.0,107.0,695.0,7.0,17.0,19.0,2.0,9.0,365.0,36.0,12.0,30.0,4.0,5.0,33.0,455.0,56.0,,,85128,5.0,206.0,19.0,1.0,231.0,4.0,22.0,4.0,67.0,,2.0,2.0,15.0,3.0,1.0,81.0,375.0,13.0,11.0,1.0,34.0,82.0,,0.0,2.0,6.0,,0.0,2.0,2.0,57.8,28.0,2.0,,2.0,4.0,39.0,8.0,475.0,9.0,6.0,19.0,6.0,41.0,280.0,7.0,13.0,32.0,86.0,32.0,1.0,,30.0,11.0,,3.0,15.0,1.0,8.0,8.0,,1.0,,,,,2.0,1.0,,2.0,,7.0,1.0,2.0,8.0,,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,4.0,,,,1.0,2.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,
19,919074,2017-12-23 15:00:00,"Amex Stadium, Falmer",30473,Home,Brighton and Hove Albion,Watford,1,0,W,0,0,0,0,74.0,,1.0,38.0,18.0,6.0,3.0,8.0,1.0,,184.0,8.0,19.0,,13.0,3.0,88.0,163.0,79.0,14.0,25.0,1.0,,3.0,21.0,11.0,18.0,6.0,10.0,37.0,175.0,0.0,132.0,8.0,,,97.0,59.0,6.0,60.0,,2.0,15.0,16.0,6.0,2.0,2.0,163.0,7.0,94.0,641.0,8.0,19.0,29.0,1.0,12.0,314.0,22.0,8.0,10.0,0.0,5.0,22.0,402.0,64.0,,1.0,85128,5.0,161.0,13.0,,186.0,4.0,16.0,8.0,65.0,,6.0,4.0,19.0,5.0,5.0,72.0,328.0,10.0,13.0,4.0,29.0,80.0,3.0,0.0,4.0,1.0,,0.0,3.0,3.0,51.7,17.0,5.0,1.0,4.0,3.0,49.0,6.0,426.0,12.0,6.0,20.0,8.0,26.0,261.0,7.0,9.0,38.0,87.0,37.0,4.0,,10.0,14.0,,3.0,32.0,4.0,8.0,6.0,1.0,2.0,,1.0,,,1.0,3.0,,3.0,3.0,9.0,,2.0,10.0,,2.0,,,1.0,,,1.0,,,,2.0,7.0,,1.0,2.0,5.0,6.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
20,919084,2017-12-26 15:00:00,"Stamford Bridge, London",41568,Away,Brighton and Hove Albion,Chelsea,0,2,L,0,0,0,0,55.0,2.0,1.0,45.0,32.0,3.0,1.0,5.0,5.0,1.0,126.0,3.0,6.0,2.0,6.0,1.0,84.0,116.0,47.0,8.0,10.0,1.0,1.0,,8.0,9.0,32.0,1.0,7.0,22.0,103.0,0.0,90.0,8.0,3.0,1.0,49.0,51.0,2.0,58.0,2.0,2.0,7.0,8.0,3.0,3.0,1.0,116.0,13.0,73.0,501.0,5.0,10.0,7.0,,17.0,247.0,31.0,11.0,20.0,1.0,8.0,14.0,318.0,45.0,1.0,,85128,4.0,164.0,3.0,2.0,185.0,8.0,8.0,12.0,43.0,,2.0,3.0,10.0,12.0,7.0,72.0,264.0,7.0,13.0,1.0,23.0,62.0,,0.0,13.0,4.0,2.0,0.0,3.0,2.0,32.9,7.0,2.0,,3.0,3.0,33.0,1.0,341.0,17.0,7.0,11.0,4.0,18.0,164.0,4.0,7.0,21.0,56.0,13.0,2.0,,20.0,13.0,2.0,3.0,11.0,2.0,4.0,1.0,,2.0,,,,,,,,,3.0,3.0,,,5.0,,1.0,1.0,,,,,,1.0,,,1.0,4.0,,,2.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,919099,2017-12-30 15:00:00,"St. James' Park, Newcastle",52209,Away,Brighton and Hove Albion,Newcastle United,0,0,D,0,0,0,0,80.0,,,53.0,37.0,3.0,2.0,6.0,2.0,2.0,187.0,6.0,10.0,2.0,4.0,3.0,113.0,159.0,64.0,10.0,28.0,1.0,2.0,,22.0,10.0,37.0,6.0,26.0,33.0,181.0,0.0,109.0,10.0,2.0,1.0,88.0,84.0,1.0,92.0,2.0,1.0,16.0,20.0,4.0,3.0,,159.0,4.0,113.0,702.0,2.0,15.0,15.0,1.0,10.0,386.0,41.0,14.0,25.0,2.0,4.0,21.0,482.0,66.0,,,85128,4.0,221.0,12.0,,251.0,8.0,20.0,7.0,62.0,,2.0,,11.0,7.0,2.0,100.0,396.0,10.0,12.0,2.0,43.0,100.0,,0.0,3.0,2.0,,0.0,1.0,3.0,54.7,13.0,1.0,,,2.0,51.0,6.0,505.0,10.0,8.0,21.0,5.0,26.0,276.0,5.0,25.0,31.0,73.0,31.0,3.0,,25.0,13.0,,1.0,14.0,3.0,9.0,6.0,,2.0,,2.0,,,2.0,1.0,,1.0,1.0,3.0,1.0,2.0,5.0,,,1.0,,1.0,,,1.0,1.0,,,2.0,3.0,1.0,1.0,2.0,5.0,5.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
22,919104,2018-01-01 12:30:00,"Amex Stadium, Falmer",30152,Home,Brighton and Hove Albion,Bournemouth,2,2,D,1,1,0,0,59.0,2.0,4.0,32.0,35.0,5.0,5.0,10.0,6.0,2.0,157.0,3.0,12.0,,11.0,6.0,96.0,136.0,69.0,15.0,16.0,3.0,1.0,,20.0,10.0,35.0,5.0,6.0,28.0,148.0,0.0,115.0,13.0,3.0,,67.0,49.0,8.0,55.0,2.0,2.0,15.0,17.0,5.0,2.0,2.0,136.0,15.0,86.0,613.0,9.0,14.0,32.0,,12.0,286.0,26.0,8.0,16.0,2.0,13.0,21.0,371.0,45.0,,,85128,5.0,155.0,13.0,,172.0,7.0,17.0,10.0,52.0,,1.0,4.0,12.0,11.0,5.0,68.0,300.0,9.0,17.0,,25.0,71.0,,0.0,12.0,4.0,2.0,0.0,3.0,,49.1,17.0,2.0,,4.0,6.0,37.0,5.0,394.0,12.0,2.0,13.0,3.0,35.0,242.0,10.0,4.0,25.0,71.0,26.0,2.0,,16.0,23.0,2.0,2.0,16.0,2.0,8.0,5.0,2.0,2.0,,1.0,,3.0,,4.0,,2.0,2.0,,,,13.0,,1.0,,,2.0,,,,,,,,3.0,,,,,1.0,,1.0,,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,,1.0,,2.0,,,2.0,,2.0,,,,5.0,,,,,,,,,,1.0,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,
23,919122,2018-01-13 15:00:00,"The Hawthorns, West Bromwich",25240,Away,Brighton and Hove Albion,West Bromwich Albion,0,2,L,0,1,0,0,63.0,1.0,4.0,45.0,35.0,6.0,3.0,7.0,2.0,1.0,183.0,4.0,3.0,2.0,8.0,1.0,104.0,155.0,48.0,13.0,23.0,,1.0,1.0,23.0,13.0,35.0,6.0,9.0,33.0,200.0,0.0,176.0,15.0,,2.0,66.0,60.0,3.0,61.0,,2.0,18.0,18.0,6.0,9.0,4.0,155.0,8.0,102.0,638.0,7.0,14.0,23.0,,7.0,331.0,29.0,5.0,18.0,0.0,5.0,20.0,423.0,77.0,,1.0,85128,5.0,152.0,7.0,2.0,174.0,7.0,18.0,11.0,54.0,,2.0,6.0,12.0,7.0,8.0,86.0,348.0,8.0,9.0,1.0,29.0,87.0,,0.0,10.0,1.0,2.0,0.0,2.0,1.0,55.9,10.0,3.0,,6.0,5.0,48.0,6.0,450.0,7.0,5.0,19.0,7.0,33.0,299.0,9.0,8.0,20.0,125.0,22.0,4.0,,18.0,17.0,2.0,3.0,7.0,4.0,7.0,6.0,,1.0,,1.0,,,4.0,,,,1.0,3.0,,4.0,8.0,,1.0,,,2.0,,,,,,,,5.0,,,1.0,2.0,3.0,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,
24,919124,2018-01-20 12:30:00,"Amex Stadium, Falmer",30600,Home,Brighton and Hove Albion,Chelsea,0,4,L,0,2,0,0,58.0,4.0,1.0,34.0,14.0,3.0,3.0,7.0,6.0,1.0,130.0,6.0,8.0,2.0,7.0,3.0,96.0,134.0,37.0,10.0,12.0,2.0,3.0,1.0,29.0,8.0,14.0,5.0,8.0,38.0,148.0,0.0,116.0,12.0,3.0,,46.0,60.0,4.0,56.0,1.0,1.0,24.0,22.0,3.0,7.0,1.0,134.0,7.0,80.0,543.0,6.0,6.0,26.0,1.0,13.0,279.0,23.0,4.0,6.0,3.0,3.0,23.0,348.0,53.0,,1.0,85128,6.0,145.0,17.0,1.0,170.0,8.0,22.0,5.0,55.0,,4.0,3.0,16.0,7.0,1.0,64.0,287.0,5.0,18.0,1.0,13.0,60.0,,0.0,3.0,2.0,4.0,0.0,4.0,4.0,41.7,21.0,4.0,,3.0,2.0,38.0,5.0,362.0,13.0,9.0,19.0,5.0,34.0,221.0,3.0,8.0,13.0,77.0,27.0,3.0,,6.0,11.0,4.0,3.0,12.0,3.0,7.0,5.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,2.0,,,8.0,,,,,1.0,1.0,1.0,,,,1.0,,3.0,,,2.0,2.0,3.0,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
25,919140,2018-01-31 19:45:00,"St. Mary's Stadium, Southampton",30034,Away,Brighton and Hove Albion,Southampton,1,1,D,1,0,0,0,64.0,2.0,2.0,40.0,35.0,4.0,6.0,5.0,2.0,,146.0,1.0,13.0,2.0,4.0,2.0,70.0,153.0,80.0,9.0,18.0,1.0,1.0,,13.0,9.0,35.0,2.0,5.0,33.0,134.0,0.0,115.0,10.0,1.0,,72.0,54.0,1.0,43.0,3.0,1.0,11.0,24.0,4.0,4.0,3.0,153.0,7.0,56.0,524.0,4.0,16.0,11.0,,16.0,196.0,33.0,10.0,22.0,1.0,6.0,14.0,283.0,63.0,,,85128,2.0,82.0,7.0,1.0,113.0,3.0,24.0,16.0,55.0,,4.0,,17.0,11.0,9.0,73.0,215.0,8.0,16.0,,28.0,70.0,,0.0,7.0,,1.0,0.0,1.0,,34.2,8.0,2.0,,1.0,3.0,37.0,2.0,315.0,16.0,9.0,14.0,4.0,20.0,215.0,3.0,4.0,39.0,76.0,18.0,7.0,,22.0,20.0,1.0,2.0,16.0,7.0,9.0,2.0,1.0,1.0,,,,,,,,,1.0,8.0,3.0,1.0,7.0,,,,,,,,,,,,1.0,3.0,,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
26,919145,2018-02-03 15:00:00,"Amex Stadium, Falmer",30589,Home,Brighton and Hove Albion,West Ham United,3,1,W,1,1,0,0,63.0,,2.0,37.0,15.0,7.0,8.0,14.0,,2.0,175.0,7.0,9.0,,16.0,5.0,107.0,174.0,45.0,21.0,28.0,2.0,1.0,2.0,21.0,5.0,15.0,4.0,11.0,35.0,213.0,0.0,169.0,11.0,,,120.0,51.0,9.0,72.0,,3.0,17.0,19.0,7.0,7.0,3.0,174.0,4.0,98.0,635.0,13.0,14.0,25.0,,6.0,328.0,24.0,9.0,8.0,3.0,1.0,40.0,432.0,71.0,,,85128,9.0,132.0,10.0,1.0,155.0,4.0,19.0,5.0,66.0,,3.0,2.0,13.0,,2.0,79.0,338.0,7.0,11.0,1.0,28.0,89.0,1.0,0.0,1.0,,1.0,0.0,6.0,3.0,54.4,28.0,3.0,,2.0,5.0,40.0,4.0,452.0,6.0,11.0,15.0,11.0,32.0,318.0,10.0,11.0,24.0,111.0,30.0,3.0,,8.0,8.0,1.0,3.0,15.0,3.0,6.0,4.0,,3.0,,,,1.0,,1.0,,1.0,1.0,3.0,3.0,,17.0,,,,,,,,,,,,2.0,7.0,1.0,,3.0,1.0,8.0,1.0,1.0,,3.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,,2.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,
27,919159,2018-02-10 15:00:00,"bet365 Stadium, Stoke",29876,Away,Brighton and Hove Albion,Stoke City,1,1,D,1,0,0,0,66.0,,,34.0,46.0,5.0,2.0,9.0,1.0,4.0,172.0,3.0,10.0,,13.0,6.0,65.0,176.0,81.0,14.0,31.0,2.0,2.0,1.0,12.0,21.0,46.0,3.0,12.0,22.0,136.0,0.0,133.0,10.0,1.0,1.0,59.0,56.0,6.0,45.0,3.0,1.0,9.0,15.0,5.0,4.0,1.0,176.0,6.0,83.0,576.0,10.0,15.0,22.0,,17.0,224.0,37.0,7.0,30.0,0.0,7.0,19.0,337.0,53.0,,,85128,4.0,102.0,4.0,1.0,145.0,6.0,15.0,13.0,62.0,,3.0,1.0,15.0,9.0,7.0,85.0,235.0,6.0,12.0,2.0,41.0,77.0,,0.0,7.0,2.0,1.0,0.0,1.0,3.0,42.9,12.0,6.0,1.0,1.0,1.0,28.0,4.0,365.0,17.0,7.0,11.0,7.0,26.0,232.0,9.0,10.0,40.0,89.0,15.0,3.0,,30.0,28.0,,3.0,12.0,3.0,7.0,4.0,1.0,1.0,,3.0,1.0,,,1.0,,1.0,3.0,2.0,1.0,,10.0,,1.0,,,1.0,,,,,,,1.0,7.0,,1.0,3.0,2.0,6.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,2.0,,,,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,
