gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attFreekickTotal,attOboxBlocked,attMissHighRight,cleanSheet,attSvLowLeft,freekickTotal,attOboxMiss,attMissHighLeft,bigChanceMissed,attSetpiece,totalPullBack,attCmissHigh,attSvLowRight,savedIbox,attCmissHighRight,attSvHighCentre,attFreekickMiss,shotFastbreak,goalFastbreak,attOneOnOne,totalFastbreak,contentiousDecision,accurateThroughBall,accurateFreekickCross,attFastbreak,attGoalHighLeft,attHdGoal,goalsConcededObox,attObxdRight,errorLeadToShot,sixYardBlock,attCmissLeft,clearanceOffLine,penaltySave,accuratePullBack,attOboxGoal,midfielderGoals,attPostLeft,penaltyConceded,attFreekickGoal,attOboxPost,penaltyFaced,foulThrowIn,errorLeadToGoal,handBall,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attPenTarget,defenderGoals,attGoalHighCentre,attFreekickTarget,attObxdLeft,penGoalsConceded,attFreekickPost,attPostRight,attSvHighRight,attLgCentre,attHdPost,attCmissHighLeft
11,919002,2017-11-04 17:30:00,"London Stadium, London",56961,Away,Liverpool,West Ham United,4,1,W,2,0,0,0,1.0,3.0,63.0,,3.0,,1.0,28.0,20.0,3.0,6.0,12.0,,3.0,174.0,1.0,10.0,4.0,2.0,12.0,,7.0,119.0,153.0,51.0,15.0,16.0,3.0,1.0,,,2.0,,4.0,5.0,,16.0,1.0,,20.0,2.0,4.0,21.0,165.0,,0.0,97.0,13.0,,,,1.0,1.0,48.0,45.0,5.0,69.0,,1.0,3.0,26.0,3.0,1.0,153.0,2.0,5.0,126.0,657.0,10.0,6.0,23.0,,,7.0,362.0,24.0,4.0,15.0,2.0,1.0,0.0,,7.0,25.0,464.0,55.0,92217,4.0,217.0,1.0,239.0,7.0,1.0,26.0,7.0,48.0,2.0,1.0,4.0,3.0,19.0,1.0,4.0,1.0,,70.0,381.0,8.0,9.0,,28.0,92.0,,0.0,1.0,2.0,4.0,,1.0,4.0,0.0,1.0,2.0,,,52.0,15.0,,2.0,4.0,4.0,1.0,40.0,3.0,1.0,488.0,7.0,6.0,9.0,7.0,19.0,,4.0,254.0,9.0,4.0,14.0,50.0,32.0,2.0,3.0,15.0,20.0,1.0,12.0,3.0,14.0,,3.0,11.0,3.0,2.0,,,,,3.0,,3.0,1.0,1.0,1.0,,1.0,,,,,,2.0,1.0,1.0,3.0,,,1.0,2.0,,,,,,1.0,3.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
12,919009,2017-11-18 15:00:00,"Anfield, Liverpool",53256,Home,Liverpool,Southampton,3,0,W,2,0,0,0,,2.0,66.0,,,,5.0,31.0,20.0,9.0,8.0,12.0,,2.0,199.0,3.0,15.0,3.0,1.0,14.0,2.0,8.0,135.0,154.0,45.0,21.0,18.0,3.0,4.0,,1.0,2.0,4.0,,20.0,,9.0,,2.0,20.0,7.0,10.0,27.0,255.0,,0.0,165.0,15.0,,,,,,71.0,44.0,9.0,83.0,1.0,3.0,13.0,14.0,9.0,5.0,154.0,2.0,4.0,145.0,765.0,12.0,8.0,29.0,,,6.0,449.0,29.0,7.0,10.0,2.0,1.0,1.0,2.0,5.0,25.0,537.0,70.0,92217,7.0,220.0,8.0,239.0,10.0,1.0,14.0,9.0,60.0,2.0,2.0,7.0,3.0,12.0,1.0,7.0,1.0,,60.0,472.0,9.0,3.0,,22.0,86.0,1.0,0.0,5.0,2.0,2.0,,,2.0,0.0,2.0,1.0,,,61.1,23.0,,7.0,1.0,7.0,7.0,57.0,10.0,,562.0,6.0,9.0,12.0,6.0,41.0,1.0,2.0,343.0,13.0,10.0,11.0,117.0,21.0,2.0,2.0,10.0,11.0,,18.0,3.0,32.0,,2.0,9.0,10.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,1.0,,,2.0,,,2.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,
13,919016,2017-11-25 17:30:00,"Anfield, Liverpool",53225,Home,Liverpool,Chelsea,1,1,D,0,0,0,0,1.0,1.0,60.0,,1.0,2.0,6.0,28.0,30.0,8.0,8.0,8.0,2.0,,181.0,6.0,13.0,1.0,2.0,13.0,,4.0,158.0,140.0,45.0,16.0,12.0,1.0,,,,1.0,1.0,1.0,18.0,,11.0,,2.0,30.0,6.0,11.0,36.0,292.0,,0.0,192.0,10.0,,1.0,,1.0,2.0,79.0,99.0,10.0,85.0,,1.0,12.0,16.0,8.0,4.0,140.0,1.0,7.0,163.0,812.0,10.0,6.0,28.0,,,10.0,485.0,21.0,2.0,10.0,1.0,,0.0,3.0,3.0,22.0,564.0,78.0,92217,6.0,218.0,7.0,227.0,6.0,1.0,16.0,10.0,63.0,1.0,,5.0,1.0,15.0,4.0,8.0,,,51.0,504.0,6.0,18.0,2.0,6.0,85.0,,0.0,5.0,8.0,1.0,,1.0,2.0,0.0,3.0,1.0,1.0,,53.5,21.0,,4.0,1.0,5.0,9.0,59.0,7.0,2.0,587.0,10.0,13.0,14.0,3.0,39.0,3.0,,378.0,6.0,11.0,7.0,131.0,28.0,1.0,5.0,10.0,19.0,1.0,11.0,3.0,23.0,2.0,5.0,11.0,7.0,1.0,1.0,3.0,,,1.0,1.0,3.0,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14,919032,2017-11-29 20:00:00,"bet365 Stadium, Stoke",29423,Away,Liverpool,Stoke City,3,0,W,1,0,0,0,1.0,3.0,61.0,1.0,,1.0,,18.0,31.0,7.0,4.0,7.0,1.0,2.0,191.0,2.0,11.0,3.0,1.0,9.0,,7.0,137.0,150.0,58.0,14.0,34.0,2.0,,1.0,,2.0,2.0,,14.0,1.0,10.0,,2.0,31.0,7.0,18.0,19.0,176.0,,0.0,117.0,10.0,,1.0,,,2.0,55.0,45.0,6.0,93.0,,1.0,7.0,23.0,7.0,1.0,150.0,4.0,5.0,127.0,744.0,6.0,7.0,21.0,,1.0,13.0,429.0,25.0,7.0,17.0,2.0,,5.0,5.0,3.0,23.0,529.0,58.0,92217,7.0,271.0,6.0,299.0,5.0,1.0,23.0,4.0,69.0,1.0,2.0,4.0,3.0,11.0,5.0,3.0,,,63.0,445.0,8.0,11.0,1.0,35.0,77.0,3.0,0.0,1.0,5.0,3.0,,,3.0,0.0,,2.0,,1.0,60.1,18.0,1.0,3.0,,4.0,4.0,39.0,9.0,2.0,548.0,13.0,10.0,6.0,3.0,28.0,2.0,1.0,263.0,9.0,16.0,25.0,75.0,28.0,,5.0,17.0,14.0,,12.0,3.0,17.0,,5.0,9.0,10.0,3.0,1.0,4.0,1.0,1.0,,1.0,1.0,,2.0,,3.0,,1.0,,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,,,,,1.0,,,,,2.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,
15,919035,2017-12-02 15:00:00,"Amex Stadium, Falmer",30634,Away,Liverpool,Brighton and Hove Albion,5,1,W,2,0,0,0,1.0,2.0,64.0,1.0,1.0,,1.0,29.0,19.0,4.0,3.0,7.0,1.0,,170.0,2.0,9.0,5.0,4.0,8.0,,6.0,193.0,123.0,46.0,12.0,16.0,1.0,,,1.0,2.0,2.0,1.0,12.0,,12.0,,1.0,19.0,2.0,22.0,43.0,307.0,,0.0,159.0,7.0,,,,1.0,,52.0,87.0,5.0,90.0,1.0,1.0,10.0,9.0,5.0,3.0,123.0,2.0,6.0,209.0,824.0,3.0,5.0,18.0,,,15.0,570.0,26.0,3.0,10.0,3.0,1.0,0.0,1.0,3.0,21.0,647.0,70.0,92217,4.0,278.0,6.0,300.0,3.0,3.0,9.0,7.0,46.0,3.0,2.0,3.0,2.0,12.0,,6.0,2.0,,60.0,583.0,8.0,6.0,2.0,19.0,78.0,,0.0,1.0,2.0,4.0,,1.0,1.0,0.0,,3.0,1.0,2.0,57.2,20.0,1.0,7.0,1.0,3.0,2.0,50.0,2.0,,662.0,15.0,11.0,18.0,4.0,25.0,2.0,2.0,374.0,7.0,22.0,13.0,118.0,27.0,2.0,1.0,10.0,17.0,1.0,7.0,3.0,16.0,,1.0,5.0,2.0,1.0,2.0,1.0,,,,2.0,2.0,,,1.0,,,,1.0,,,1.0,2.0,2.0,,4.0,,1.0,,2.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,
16,919046,2017-12-10 14:15:00,"Anfield, Liverpool",53082,Home,Liverpool,Everton,1,1,D,1,0,0,0,,,64.0,,,1.0,4.0,41.0,8.0,13.0,10.0,10.0,1.0,1.0,218.0,9.0,18.0,1.0,3.0,19.0,1.0,3.0,220.0,173.0,55.0,23.0,14.0,,3.0,,2.0,1.0,,2.0,45.0,,11.0,,2.0,8.0,9.0,25.0,41.0,426.0,,0.0,287.0,8.0,,1.0,2.0,2.0,1.0,124.0,104.0,9.0,107.0,,3.0,36.0,23.0,13.0,19.0,173.0,3.0,1.0,191.0,963.0,16.0,5.0,49.0,,,7.0,626.0,23.0,3.0,2.0,1.0,2.0,1.0,,10.0,30.0,717.0,94.0,92217,4.0,227.0,15.0,260.0,3.0,,23.0,5.0,43.0,,1.0,5.0,1.0,18.0,2.0,4.0,4.0,,62.0,644.0,10.0,1.0,2.0,13.0,77.0,1.0,0.0,1.0,1.0,1.0,,1.0,3.0,0.0,5.0,,1.0,3.0,79.4,26.0,3.0,6.0,2.0,5.0,8.0,60.0,12.0,1.0,736.0,7.0,11.0,24.0,12.0,69.0,4.0,5.0,521.0,10.0,21.0,14.0,240.0,29.0,1.0,1.0,2.0,13.0,1.0,16.0,3.0,28.0,2.0,1.0,9.0,12.0,2.0,1.0,4.0,1.0,,,1.0,7.0,2.0,3.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,
17,919059,2017-12-13 20:00:00,"Anfield, Liverpool",53243,Home,Liverpool,West Bromwich Albion,0,0,D,0,0,0,0,,,63.0,,,,4.0,23.0,24.0,4.0,3.0,10.0,1.0,,206.0,2.0,17.0,,3.0,7.0,1.0,5.0,229.0,161.0,59.0,14.0,17.0,3.0,,,,,2.0,1.0,16.0,,11.0,,2.0,24.0,4.0,7.0,39.0,327.0,,0.0,238.0,16.0,,1.0,,,3.0,75.0,63.0,5.0,72.0,,2.0,12.0,21.0,4.0,5.0,161.0,1.0,3.0,204.0,929.0,7.0,4.0,31.0,,,11.0,595.0,21.0,1.0,12.0,,,1.0,1.0,2.0,24.0,693.0,82.0,92217,4.0,286.0,7.0,303.0,9.0,,21.0,7.0,64.0,8.0,1.0,10.0,,17.0,3.0,6.0,,,35.0,611.0,6.0,7.0,,7.0,72.0,1.0,0.0,2.0,7.0,,,,2.0,0.0,2.0,,,1.0,70.2,22.0,1.0,5.0,4.0,10.0,6.0,58.0,5.0,3.0,711.0,11.0,13.0,17.0,3.0,46.0,,3.0,424.0,10.0,6.0,17.0,170.0,27.0,,3.0,12.0,20.0,,13.0,3.0,29.0,,3.0,7.0,5.0,5.0,1.0,2.0,,1.0,2.0,1.0,,,3.0,,1.0,,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
18,919063,2017-12-17 16:30:00,"Vitality Stadium, Bournemouth",10780,Away,Liverpool,Bournemouth,4,0,W,3,0,0,0,,2.0,72.0,3.0,,1.0,2.0,41.0,18.0,6.0,6.0,15.0,2.0,1.0,207.0,8.0,7.0,4.0,1.0,17.0,1.0,7.0,168.0,124.0,30.0,21.0,9.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,19.0,1.0,8.0,,2.0,18.0,3.0,23.0,49.0,261.0,,0.0,195.0,10.0,,1.0,,,,46.0,94.0,8.0,106.0,2.0,3.0,16.0,14.0,6.0,6.0,124.0,4.0,4.0,174.0,829.0,12.0,4.0,42.0,,2.0,21.0,568.0,24.0,3.0,8.0,4.0,2.0,1.0,2.0,9.0,18.0,646.0,88.0,92217,11.0,323.0,10.0,331.0,7.0,1.0,14.0,2.0,34.0,6.0,4.0,3.0,3.0,17.0,2.0,2.0,2.0,,65.0,576.0,4.0,6.0,1.0,8.0,81.0,,0.0,2.0,2.0,4.0,,,3.0,0.0,5.0,2.0,,4.0,56.0,16.0,2.0,7.0,1.0,3.0,2.0,52.0,3.0,,655.0,21.0,7.0,23.0,12.0,31.0,3.0,7.0,343.0,11.0,22.0,8.0,140.0,36.0,3.0,2.0,8.0,12.0,,18.0,3.0,9.0,,2.0,9.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,3.0,,2.0,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,2.0,,,,,3.0,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,
19,919073,2017-12-22 19:45:00,"Emirates Stadium, London",59409,Away,Liverpool,Arsenal,3,3,D,1,0,0,0,1.0,1.0,86.0,2.0,1.0,,,23.0,30.0,3.0,5.0,11.0,1.0,2.0,166.0,5.0,13.0,3.0,1.0,11.0,,9.0,92.0,166.0,65.0,14.0,18.0,5.0,,,1.0,2.0,2.0,3.0,20.0,,15.0,,1.0,30.0,7.0,8.0,32.0,193.0,,0.0,155.0,11.0,1.0,1.0,,,,51.0,60.0,6.0,66.0,3.0,,13.0,21.0,3.0,4.0,166.0,2.0,5.0,112.0,665.0,7.0,7.0,32.0,2.0,,22.0,318.0,35.0,4.0,15.0,2.0,1.0,0.0,4.0,4.0,22.0,412.0,77.0,92217,8.0,146.0,9.0,171.0,6.0,,21.0,3.0,54.0,2.0,1.0,3.0,3.0,24.0,6.0,3.0,2.0,,59.0,334.0,8.0,8.0,1.0,28.0,73.0,,0.0,4.0,7.0,2.0,,3.0,,0.0,4.0,1.0,,4.0,46.5,20.0,1.0,5.0,1.0,3.0,,39.0,8.0,,436.0,22.0,17.0,16.0,5.0,36.0,1.0,4.0,285.0,5.0,4.0,23.0,98.0,38.0,1.0,,15.0,21.0,2.0,13.0,3.0,14.0,2.0,,9.0,8.0,3.0,,,,,2.0,,1.0,,4.0,,,2.0,2.0,1.0,,,,2.0,,1.0,2.0,,2.0,,2.0,,1.0,1.0,,,,2.0,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,
20,919087,2017-12-26 17:30:00,"Anfield, Liverpool",52850,Home,Liverpool,Swansea City,5,0,W,1,0,0,0,2.0,2.0,72.0,,,1.0,4.0,23.0,7.0,8.0,6.0,14.0,4.0,,163.0,2.0,24.0,5.0,4.0,14.0,1.0,9.0,184.0,118.0,60.0,22.0,12.0,3.0,3.0,,,2.0,2.0,4.0,18.0,,13.0,1.0,1.0,7.0,3.0,10.0,35.0,239.0,,0.0,161.0,5.0,,2.0,,1.0,,56.0,58.0,8.0,87.0,1.0,1.0,15.0,17.0,8.0,4.0,118.0,4.0,6.0,167.0,784.0,10.0,3.0,42.0,,,11.0,518.0,25.0,3.0,4.0,3.0,,0.0,1.0,6.0,14.0,588.0,65.0,92217,6.0,293.0,10.0,302.0,4.0,5.0,17.0,5.0,39.0,5.0,3.0,4.0,4.0,10.0,1.0,5.0,1.0,,46.0,530.0,8.0,9.0,1.0,9.0,70.0,,0.0,3.0,2.0,4.0,,,2.0,0.0,2.0,2.0,,,55.0,12.0,,6.0,2.0,4.0,6.0,49.0,4.0,,601.0,11.0,10.0,19.0,7.0,33.0,,3.0,317.0,16.0,10.0,8.0,116.0,37.0,3.0,,4.0,20.0,,19.0,3.0,27.0,,,10.0,4.0,2.0,1.0,2.0,,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,,1.0,3.0,,,,,,1.0,,,3.0,,,2.0,,,,,1.0,4.0,,,,1.0,1.0,,,,,,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,
21,919097,2017-12-30 15:00:00,"Anfield, Liverpool",53226,Home,Liverpool,Leicester City,2,1,W,0,1,0,0,,2.0,69.0,,1.0,,4.0,32.0,27.0,5.0,9.0,13.0,,2.0,199.0,1.0,10.0,2.0,1.0,14.0,,6.0,130.0,173.0,45.0,18.0,17.0,1.0,1.0,,,2.0,2.0,2.0,19.0,,12.0,,3.0,27.0,6.0,13.0,40.0,262.0,,0.0,209.0,7.0,3.0,,,,1.0,89.0,57.0,9.0,79.0,,1.0,13.0,29.0,5.0,4.0,173.0,5.0,4.0,158.0,788.0,11.0,10.0,45.0,,,8.0,443.0,29.0,8.0,15.0,2.0,,3.0,5.0,5.0,41.0,550.0,73.0,92217,10.0,195.0,9.0,219.0,4.0,,29.0,6.0,50.0,4.0,4.0,6.0,2.0,19.0,3.0,5.0,2.0,,64.0,456.0,3.0,10.0,1.0,26.0,76.0,,0.0,2.0,1.0,2.0,,1.0,4.0,0.0,1.0,1.0,,1.0,60.6,37.0,1.0,3.0,2.0,6.0,5.0,45.0,7.0,1.0,566.0,8.0,14.0,19.0,7.0,44.0,,6.0,366.0,8.0,10.0,17.0,156.0,30.0,2.0,1.0,15.0,15.0,1.0,16.0,3.0,12.0,,1.0,12.0,7.0,4.0,,1.0,2.0,,,,1.0,,3.0,,,,2.0,,1.0,,,,,2.0,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
22,919105,2018-01-01 15:00:00,"Turf Moor, Burnley",21756,Away,Liverpool,Burnley,2,1,W,0,0,0,0,,1.0,82.0,1.0,,1.0,3.0,31.0,30.0,9.0,5.0,10.0,3.0,1.0,188.0,8.0,7.0,2.0,,18.0,1.0,5.0,125.0,162.0,47.0,19.0,30.0,1.0,,,,,,,24.0,,12.0,,2.0,30.0,8.0,13.0,44.0,212.0,,0.0,124.0,12.0,,3.0,,,,55.0,61.0,11.0,89.0,,2.0,16.0,10.0,9.0,7.0,162.0,1.0,9.0,109.0,713.0,14.0,10.0,30.0,,,7.0,400.0,45.0,6.0,18.0,1.0,,0.0,3.0,7.0,26.0,496.0,52.0,92217,6.0,206.0,9.0,236.0,2.0,,10.0,7.0,60.0,1.0,2.0,7.0,1.0,24.0,4.0,3.0,2.0,,78.0,410.0,3.0,6.0,3.0,34.0,97.0,,0.0,1.0,3.0,2.0,,1.0,4.0,0.0,4.0,,1.0,4.0,57.9,21.0,3.0,,1.0,7.0,7.0,52.0,9.0,,511.0,7.0,9.0,27.0,7.0,38.0,4.0,4.0,299.0,9.0,12.0,23.0,89.0,30.0,,3.0,18.0,14.0,1.0,12.0,3.0,11.0,,3.0,1.0,9.0,3.0,,4.0,3.0,,1.0,,3.0,,,2.0,,,1.0,2.0,,,,,,,,,1.0,,,1.0,1.0,,,2.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,
23,919117,2018-01-14 16:00:00,"Anfield, Liverpool",53285,Home,Liverpool,Manchester City,4,3,W,1,1,0,0,2.0,,80.0,1.0,1.0,1.0,1.0,18.0,18.0,8.0,8.0,7.0,1.0,2.0,156.0,1.0,18.0,4.0,1.0,12.0,,7.0,68.0,148.0,61.0,16.0,22.0,2.0,2.0,1.0,,3.0,1.0,1.0,12.0,,22.0,,1.0,18.0,5.0,6.0,31.0,135.0,,0.0,116.0,10.0,,1.0,1.0,1.0,1.0,44.0,38.0,9.0,62.0,,2.0,7.0,16.0,9.0,2.0,148.0,,6.0,81.0,583.0,9.0,4.0,18.0,,2.0,19.0,262.0,33.0,3.0,8.0,3.0,,2.0,4.0,3.0,11.0,346.0,48.0,92217,2.0,143.0,4.0,163.0,8.0,2.0,16.0,6.0,76.0,9.0,3.0,5.0,4.0,13.0,5.0,4.0,,,53.0,277.0,6.0,20.0,,28.0,65.0,,0.0,3.0,6.0,2.0,,3.0,2.0,0.0,1.0,1.0,,1.0,35.7,7.0,1.0,5.0,2.0,5.0,5.0,30.0,5.0,2.0,367.0,19.0,18.0,19.0,4.0,27.0,,2.0,216.0,7.0,6.0,4.0,68.0,35.0,3.0,1.0,8.0,33.0,3.0,13.0,3.0,24.0,,1.0,12.0,5.0,1.0,,4.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,,,,,,1.0,,,,2.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,
24,919131,2018-01-22 20:00:00,"Liberty Stadium, Swansea",20886,Away,Liverpool,Swansea City,0,1,L,0,1,0,0,2.0,,70.0,,,,2.0,18.0,11.0,11.0,8.0,10.0,1.0,,218.0,5.0,6.0,,2.0,14.0,4.0,4.0,232.0,146.0,45.0,21.0,18.0,2.0,1.0,1.0,,,1.0,,28.0,1.0,10.0,,2.0,11.0,9.0,22.0,40.0,475.0,,0.0,267.0,9.0,,,1.0,1.0,,146.0,74.0,4.0,88.0,,5.0,19.0,27.0,11.0,6.0,146.0,3.0,2.0,218.0,927.0,13.0,9.0,39.0,1.0,1.0,7.0,653.0,26.0,2.0,4.0,,,2.0,,10.0,25.0,747.0,110.0,97032,5.0,192.0,12.0,204.0,6.0,,27.0,3.0,46.0,6.0,1.0,4.0,,11.0,1.0,3.0,3.0,,43.0,662.0,5.0,6.0,1.0,15.0,75.0,1.0,0.0,2.0,3.0,,,1.0,7.0,0.0,4.0,,,3.0,71.8,25.0,1.0,4.0,1.0,4.0,6.0,51.0,9.0,,756.0,7.0,12.0,17.0,11.0,51.0,1.0,5.0,580.0,10.0,21.0,19.0,206.0,37.0,,1.0,4.0,15.0,1.0,18.0,2.0,9.0,,1.0,12.0,9.0,1.0,1.0,4.0,2.0,,,1.0,5.0,,4.0,,,,2.0,1.0,,,,1.0,,,1.0,,3.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,
25,919133,2018-01-30 20:00:00,"John Smith's Stadium, Huddersfield",24121,Away,Liverpool,Huddersfield Town,3,0,W,2,0,0,0,2.0,1.0,56.0,1.0,1.0,,2.0,61.0,17.0,6.0,6.0,8.0,1.0,1.0,250.0,3.0,6.0,3.0,1.0,11.0,2.0,7.0,256.0,154.0,42.0,14.0,16.0,1.0,,,2.0,1.0,2.0,,20.0,,8.0,,3.0,17.0,4.0,17.0,28.0,446.0,1.0,0.0,219.0,8.0,,1.0,,,1.0,161.0,102.0,9.0,142.0,1.0,3.0,16.0,25.0,6.0,8.0,154.0,2.0,4.0,265.0,1084.0,10.0,3.0,22.0,1.0,,9.0,796.0,19.0,3.0,12.0,1.0,2.0,0.0,2.0,2.0,24.0,897.0,94.0,97032,4.0,366.0,8.0,390.0,7.0,2.0,25.0,4.0,40.0,1.0,2.0,5.0,2.0,15.0,1.0,3.0,,1.0,90.0,809.0,8.0,5.0,,18.0,120.0,,0.0,4.0,1.0,2.0,,,1.0,0.0,3.0,,1.0,2.0,74.7,23.0,1.0,5.0,2.0,5.0,4.0,98.0,4.0,1.0,913.0,9.0,8.0,13.0,3.0,39.0,,3.0,543.0,5.0,17.0,15.0,164.0,23.0,2.0,1.0,12.0,13.0,,13.0,3.0,9.0,,1.0,10.0,4.0,1.0,,2.0,,1.0,1.0,,,,3.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
26,919149,2018-02-04 16:30:00,"Anfield, Liverpool",53213,Home,Liverpool,Tottenham Hotspur,2,2,D,1,0,0,0,,2.0,75.0,,1.0,1.0,,29.0,41.0,3.0,4.0,6.0,4.0,2.0,141.0,4.0,13.0,2.0,4.0,4.0,,3.0,58.0,149.0,52.0,9.0,16.0,1.0,,,1.0,,,3.0,15.0,,11.0,1.0,,41.0,3.0,7.0,44.0,112.0,,0.0,130.0,15.0,,1.0,,3.0,,38.0,39.0,2.0,58.0,1.0,,13.0,20.0,3.0,2.0,149.0,,8.0,45.0,513.0,2.0,9.0,25.0,1.0,,10.0,192.0,22.0,6.0,16.0,,1.0,3.0,5.0,2.0,14.0,279.0,66.0,97032,5.0,96.0,8.0,117.0,11.0,,20.0,5.0,57.0,1.0,2.0,7.0,2.0,15.0,5.0,3.0,,,77.0,204.0,8.0,10.0,2.0,27.0,70.0,3.0,0.0,2.0,7.0,2.0,,2.0,3.0,0.0,3.0,,1.0,3.0,34.1,9.0,2.0,9.0,,7.0,2.0,22.0,3.0,,302.0,10.0,10.0,16.0,4.0,25.0,2.0,3.0,200.0,2.0,7.0,14.0,74.0,30.0,2.0,4.0,16.0,17.0,1.0,4.0,3.0,19.0,2.0,4.0,16.0,3.0,,,2.0,,,,,1.0,1.0,,3.0,,,1.0,3.0,,,,,,,,2.0,,2.0,,,,1.0,,,,,,1.0,,,,,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,,
