gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowRight,attLfGoal,attRfTarget,goals,fouledFinalThird,attCmissRight,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissHighRight,attSvHighRight,cleanSheet,totalFastbreak,goodHighClaim,attHdTarget,attMissHighLeft,goalAssist,totalKeeperSweeper,accurateThroughBall,accurateFreekickCross,totalPullBack,totalThroughBall,goalsOpenplay,attAssistSetplay,attFastbreak,attIboxGoal,attCmissHighRight,goalAssistIntentional,attHdTotal,attHdMiss,attSvHighCentre,totalHighClaim,accurateCornersIntobox,forwardGoals,bigChanceScored,ptsGainedLosingPos,contentiousDecision,sixYardBlock,attHdGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,bigChanceCreated,bigChanceMissed,attRfGoal,attGoalHighLeft,punches,ptsDroppedWinningPos,attGoalLowLeft,attFreekickTotal,attOboxGoal,attSvHighLeft,freekickTotal,attLgCentre,attObxRight,attFreekickMiss,goalsConcededObox,errorLeadToGoal,attGoalLowCentre,attPenTarget,penaltyWon,midfielderGoals,attSvLowLeft,penaltyConceded,penaltyFaced,penGoalsConceded,accuratePullBack,postScoringAtt,attOneOnOne,hitWoodwork,attOboxPost,attPostRight,defenderGoals,attObxLeft,attGoalHighRight,ownGoals,attIboxOwnGoal,attIboxPost,attHdPost,attCmissHigh,goalFastbreak,attCmissHighLeft,attFreekickTarget,attPostHigh,clearanceOffLine,attFreekickPost,attFreekickGoal
11,918999,2017-11-04 12:30:00,"bet365 Stadium, Stoke",29602,Home,Stoke City,Leicester City,2,2,D,1,1,0,0,1.0,50.0,1.0,1.0,31.0,18.0,2.0,3.0,9.0,2.0,150.0,5.0,6.0,11.0,7.0,79.0,148.0,56.0,11.0,,26.0,1.0,20.0,11.0,1.0,18.0,4.0,11.0,27.0,187.0,0.0,140.0,12.0,1.0,1.0,65.0,78.0,8.0,60.0,2.0,1.0,16.0,16.0,2.0,4.0,1.0,148.0,10.0,90.0,550.0,6.0,17.0,30.0,12.0,271.0,25.0,9.0,12.0,0.0,5.0,3.0,28.0,354.0,61.0,,97485,5.0,102.0,11.0,1.0,120.0,6.0,16.0,9.0,58.0,,2.0,12.0,4.0,4.0,,61.0,284.0,8.0,6.0,25.0,75.0,1.0,1.0,0.0,1.0,10.0,1.0,2.0,6.0,0.0,2.0,1.0,,47.2,17.0,3.0,1.0,2.0,1.0,36.0,4.0,379.0,12.0,10.0,10.0,3.0,27.0,2.0,279.0,4.0,11.0,27.0,93.0,19.0,3.0,12.0,15.0,2.0,6.0,2.0,10.0,3.0,3.0,4.0,,,1.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,,1.0,2.0,1.0,,,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,,2.0,3.0,1.0,,,3.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,3.0,1.0,,,,,2.0,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
12,919005,2017-11-20 20:00:00,"Amex Stadium, Falmer",29676,Away,Stoke City,Brighton and Hove Albion,2,2,D,2,1,0,0,1.0,50.0,,4.0,26.0,27.0,3.0,4.0,10.0,1.0,142.0,6.0,18.0,11.0,6.0,94.0,127.0,62.0,13.0,1.0,9.0,1.0,23.0,7.0,1.0,27.0,7.0,14.0,26.0,174.0,0.0,108.0,5.0,,1.0,50.0,69.0,9.0,53.0,,1.0,16.0,14.0,3.0,2.0,1.0,127.0,4.0,107.0,590.0,9.0,12.0,24.0,14.0,299.0,19.0,3.0,23.0,0.0,,2.0,24.0,368.0,53.0,,97485,6.0,148.0,13.0,1.0,161.0,5.0,14.0,8.0,39.0,1.0,4.0,8.0,5.0,6.0,,53.0,316.0,12.0,11.0,19.0,67.0,2.0,,0.0,,6.0,1.0,2.0,6.0,0.0,3.0,1.0,,46.2,17.0,3.0,1.0,4.0,5.0,38.0,7.0,396.0,14.0,9.0,16.0,2.0,34.0,1.0,258.0,6.0,13.0,22.0,66.0,22.0,5.0,23.0,10.0,2.0,9.0,1.0,23.0,5.0,4.0,7.0,,1.0,,1.0,2.0,1.0,1.0,3.0,,2.0,,1.0,1.0,,,,,1.0,2.0,,1.0,,,,,,1.0,1.0,,2.0,,1.0,3.0,,1.0,1.0,3.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
13,919014,2017-11-25 15:00:00,"Selhurst Park, London",23723,Away,Stoke City,Crystal Palace,1,2,L,0,0,0,0,2.0,71.0,,1.0,22.0,29.0,4.0,5.0,6.0,3.0,165.0,3.0,13.0,7.0,3.0,101.0,168.0,57.0,10.0,,14.0,1.0,15.0,15.0,,29.0,1.0,19.0,40.0,206.0,0.0,153.0,5.0,2.0,1.0,64.0,86.0,3.0,62.0,1.0,4.0,14.0,21.0,4.0,2.0,3.0,168.0,8.0,97.0,667.0,5.0,9.0,14.0,23.0,315.0,32.0,7.0,20.0,1.0,3.0,3.0,38.0,403.0,68.0,,97485,3.0,124.0,11.0,1.0,149.0,3.0,21.0,8.0,53.0,1.0,4.0,16.0,2.0,3.0,1.0,57.0,327.0,9.0,9.0,17.0,74.0,,,0.0,5.0,5.0,3.0,2.0,2.0,0.0,3.0,2.0,,46.0,29.0,5.0,1.0,4.0,1.0,40.0,2.0,425.0,23.0,17.0,20.0,6.0,24.0,3.0,291.0,5.0,19.0,15.0,104.0,27.0,2.0,20.0,20.0,2.0,7.0,2.0,23.0,2.0,9.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,4.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,3.0,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14,919032,2017-11-29 20:00:00,"bet365 Stadium, Stoke",29423,Home,Stoke City,Liverpool,0,3,L,0,1,0,0,,54.0,2.0,2.0,34.0,21.0,5.0,5.0,5.0,4.0,156.0,4.0,11.0,2.0,1.0,59.0,162.0,69.0,10.0,3.0,25.0,,21.0,11.0,1.0,21.0,5.0,11.0,32.0,114.0,0.0,109.0,8.0,2.0,2.0,41.0,62.0,1.0,65.0,3.0,1.0,16.0,24.0,5.0,7.0,1.0,162.0,7.0,69.0,552.0,2.0,12.0,16.0,18.0,228.0,17.0,13.0,11.0,1.0,4.0,1.0,24.0,327.0,69.0,,97485,3.0,134.0,7.0,3.0,148.0,3.0,24.0,7.0,58.0,4.0,5.0,11.0,7.0,4.0,1.0,65.0,244.0,9.0,11.0,25.0,83.0,,,0.0,3.0,10.0,2.0,3.0,2.0,0.0,3.0,,,39.9,17.0,,,6.0,5.0,43.0,5.0,349.0,18.0,10.0,15.0,4.0,20.0,3.0,222.0,4.0,9.0,34.0,57.0,27.0,4.0,11.0,16.0,3.0,5.0,2.0,15.0,4.0,10.0,5.0,,,,1.0,,3.0,,,,2.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,919040,2017-12-02 15:00:00,"bet365 Stadium, Stoke",28261,Home,Stoke City,Swansea City,2,1,W,2,1,0,0,,44.0,2.0,,39.0,35.0,3.0,4.0,6.0,3.0,139.0,2.0,9.0,9.0,3.0,81.0,141.0,57.0,10.0,1.0,19.0,2.0,12.0,9.0,,35.0,2.0,7.0,30.0,170.0,0.0,100.0,12.0,1.0,1.0,62.0,49.0,4.0,77.0,,1.0,10.0,13.0,4.0,5.0,3.0,141.0,3.0,80.0,583.0,6.0,18.0,18.0,13.0,281.0,19.0,9.0,25.0,2.0,5.0,5.0,29.0,356.0,58.0,,97485,6.0,127.0,4.0,1.0,149.0,5.0,13.0,9.0,61.0,3.0,2.0,14.0,7.0,5.0,2.0,63.0,295.0,10.0,7.0,21.0,72.0,,2.0,0.0,4.0,6.0,,1.0,6.0,0.0,1.0,1.0,,44.1,25.0,3.0,,2.0,1.0,46.0,2.0,377.0,13.0,21.0,23.0,6.0,24.0,3.0,240.0,4.0,6.0,25.0,67.0,17.0,4.0,25.0,13.0,1.0,9.0,3.0,12.0,4.0,7.0,2.0,,1.0,2.0,,2.0,1.0,,1.0,,,,2.0,,1.0,,,,,1.0,,2.0,,1.0,,2.0,1.0,2.0,1.0,,2.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,3.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
16,919051,2017-12-09 15:00:00,"Wembley Stadium, London",62202,Away,Stoke City,Tottenham Hotspur,1,5,L,0,1,0,0,1.0,54.0,3.0,,30.0,29.0,,2.0,4.0,7.0,132.0,3.0,6.0,3.0,3.0,48.0,143.0,56.0,4.0,,19.0,,16.0,12.0,,29.0,6.0,4.0,24.0,87.0,0.0,88.0,9.0,5.0,,38.0,37.0,2.0,48.0,6.0,1.0,10.0,12.0,,4.0,,143.0,13.0,40.0,438.0,2.0,14.0,14.0,13.0,150.0,30.0,11.0,14.0,0.0,3.0,1.0,12.0,230.0,44.0,1.0,97485,2.0,88.0,6.0,1.0,107.0,4.0,12.0,9.0,50.0,2.0,,8.0,8.0,3.0,,79.0,172.0,12.0,5.0,40.0,76.0,,,0.0,1.0,12.0,4.0,5.0,3.0,0.0,2.0,,,29.2,7.0,,1.0,,,23.0,6.0,268.0,13.0,13.0,11.0,1.0,22.0,1.0,177.0,1.0,4.0,21.0,49.0,19.0,3.0,14.0,17.0,4.0,2.0,3.0,11.0,3.0,6.0,6.0,1.0,1.0,,1.0,1.0,,,2.0,,1.0,,,1.0,,,,,,,,1.0,,,,,2.0,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
17,919053,2017-12-12 19:45:00,"Turf Moor, Burnley",19909,Away,Stoke City,Burnley,0,1,L,0,0,0,0,2.0,67.0,1.0,1.0,35.0,36.0,7.0,3.0,6.0,1.0,179.0,3.0,6.0,10.0,7.0,75.0,192.0,73.0,14.0,,31.0,2.0,14.0,14.0,5.0,36.0,4.0,9.0,34.0,136.0,0.0,124.0,14.0,,,65.0,38.0,8.0,58.0,,1.0,10.0,18.0,8.0,8.0,3.0,192.0,6.0,68.0,566.0,9.0,23.0,15.0,7.0,226.0,28.0,12.0,21.0,0.0,3.0,2.0,29.0,349.0,62.0,,97485,3.0,107.0,2.0,,138.0,5.0,18.0,13.0,57.0,2.0,,12.0,4.0,9.0,2.0,90.0,240.0,6.0,2.0,47.0,100.0,,,0.0,3.0,6.0,,1.0,6.0,0.0,2.0,1.0,,49.0,19.0,4.0,1.0,,1.0,45.0,4.0,380.0,7.0,8.0,14.0,6.0,29.0,2.0,256.0,9.0,8.0,44.0,63.0,28.0,,21.0,17.0,1.0,10.0,2.0,12.0,,8.0,4.0,2.0,,,4.0,,,,2.0,,1.0,,,3.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,
18,919070,2017-12-16 16:00:00,"bet365 Stadium, Stoke",29265,Home,Stoke City,West Ham United,0,3,L,0,1,0,0,,52.0,2.0,4.0,32.0,14.0,9.0,7.0,8.0,4.0,160.0,8.0,7.0,15.0,,100.0,152.0,70.0,17.0,5.0,19.0,1.0,30.0,19.0,,14.0,7.0,7.0,46.0,225.0,0.0,165.0,12.0,1.0,1.0,74.0,56.0,7.0,72.0,,3.0,23.0,22.0,9.0,10.0,4.0,152.0,11.0,100.0,624.0,12.0,7.0,25.0,9.0,313.0,21.0,3.0,7.0,2.0,1.0,8.0,21.0,404.0,70.0,1.0,97485,5.0,116.0,12.0,2.0,131.0,7.0,22.0,11.0,56.0,,3.0,19.0,3.0,7.0,1.0,62.0,333.0,13.0,19.0,8.0,76.0,,1.0,0.0,2.0,9.0,2.0,3.0,5.0,0.0,5.0,,1.0,54.7,19.0,2.0,1.0,3.0,9.0,50.0,7.0,432.0,9.0,4.0,19.0,8.0,47.0,3.0,331.0,5.0,7.0,25.0,102.0,26.0,,7.0,25.0,3.0,12.0,3.0,10.0,,7.0,7.0,1.0,,,,,2.0,1.0,,,1.0,1.0,,,2.0,,,,,,,,1.0,,,,,,3.0,,,,,4.0,3.0,,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,
19,919080,2017-12-23 15:00:00,"bet365 Stadium, Stoke",29057,Home,Stoke City,West Bromwich Albion,3,1,W,2,0,0,0,,55.0,3.0,,32.0,43.0,4.0,3.0,5.0,6.0,149.0,5.0,10.0,7.0,5.0,80.0,143.0,81.0,9.0,2.0,24.0,,18.0,11.0,1.0,43.0,1.0,15.0,21.0,125.0,0.0,82.0,9.0,2.0,4.0,41.0,59.0,6.0,61.0,2.0,,17.0,15.0,4.0,6.0,1.0,143.0,12.0,67.0,587.0,3.0,16.0,14.0,16.0,238.0,26.0,6.0,23.0,1.0,5.0,1.0,24.0,327.0,60.0,,97485,3.0,139.0,7.0,1.0,169.0,6.0,15.0,12.0,58.0,,4.0,11.0,5.0,9.0,2.0,74.0,259.0,11.0,10.0,27.0,72.0,,,0.0,1.0,11.0,3.0,1.0,6.0,0.0,4.0,1.0,,43.6,20.0,1.0,,4.0,2.0,38.0,1.0,357.0,16.0,9.0,8.0,2.0,23.0,1.0,206.0,4.0,15.0,33.0,42.0,16.0,6.0,23.0,27.0,1.0,7.0,2.0,17.0,6.0,8.0,1.0,,,2.0,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,3.0,1.0,,,,2.0,2.0,1.0,,3.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,3.0,,3.0,2.0,1.0,1.0,2.0,1.0,,3.0,,,,,,,1.0,3.0,,1.0,,,,,1.0,,,1.0,,,,,,2.0,,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,
20,919086,2017-12-26 15:00:00,"John Smith's Stadium, Huddersfield",24047,Away,Stoke City,Huddersfield Town,1,1,D,0,1,0,0,2.0,55.0,2.0,2.0,33.0,41.0,4.0,5.0,11.0,6.0,170.0,7.0,10.0,11.0,7.0,65.0,139.0,84.0,15.0,1.0,15.0,1.0,13.0,19.0,1.0,41.0,4.0,14.0,30.0,152.0,0.0,91.0,12.0,4.0,1.0,38.0,52.0,6.0,69.0,6.0,,9.0,22.0,4.0,2.0,2.0,139.0,13.0,68.0,593.0,6.0,8.0,15.0,15.0,253.0,23.0,12.0,21.0,4.0,2.0,5.0,16.0,345.0,49.0,,97485,5.0,129.0,6.0,2.0,168.0,8.0,22.0,11.0,51.0,2.0,,16.0,5.0,9.0,1.0,55.0,274.0,9.0,8.0,23.0,79.0,1.0,1.0,0.0,,8.0,4.0,1.0,6.0,0.0,4.0,,,41.7,16.0,2.0,,,3.0,51.0,5.0,372.0,15.0,14.0,13.0,5.0,18.0,3.0,217.0,6.0,13.0,34.0,61.0,26.0,4.0,21.0,31.0,1.0,5.0,3.0,13.0,4.0,10.0,5.0,1.0,,,3.0,1.0,2.0,,5.0,,1.0,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,2.0,1.0,,2.0,1.0,4.0,,1.0,,1.0,3.0,2.0,,,3.0,,1.0,1.0,1.0,,,,,,3.0,3.0,1.0,,2.0,,,,,,,,,,,,1.0,,,,4.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,
21,919094,2017-12-30 15:00:00,"Stamford Bridge, London",41433,Away,Stoke City,Chelsea,0,5,L,0,3,0,0,,49.0,3.0,,33.0,22.0,,,1.0,7.0,141.0,,10.0,1.0,1.0,114.0,112.0,45.0,1.0,,13.0,,5.0,18.0,,22.0,,10.0,30.0,155.0,0.0,94.0,10.0,2.0,1.0,60.0,64.0,1.0,100.0,3.0,,5.0,6.0,,2.0,,112.0,9.0,119.0,626.0,1.0,1.0,2.0,12.0,375.0,17.0,2.0,8.0,1.0,2.0,,11.0,444.0,60.0,,97485,,240.0,2.0,,258.0,7.0,6.0,13.0,41.0,2.0,7.0,13.0,12.0,6.0,,77.0,395.0,3.0,10.0,20.0,80.0,,,0.0,4.0,7.0,4.0,5.0,,0.0,,1.0,,41.5,11.0,2.0,1.0,7.0,,40.0,,474.0,12.0,8.0,9.0,,11.0,,221.0,1.0,9.0,5.0,54.0,19.0,4.0,8.0,27.0,2.0,1.0,2.0,11.0,4.0,4.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,3.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
22,919110,2018-01-01 15:00:00,"bet365 Stadium, Stoke",28471,Home,Stoke City,Newcastle United,0,1,L,0,0,0,0,2.0,70.0,2.0,3.0,33.0,27.0,4.0,3.0,6.0,5.0,166.0,6.0,14.0,8.0,4.0,118.0,176.0,69.0,11.0,1.0,28.0,1.0,28.0,8.0,2.0,27.0,10.0,12.0,40.0,168.0,0.0,145.0,10.0,1.0,4.0,56.0,69.0,5.0,68.0,1.0,,18.0,15.0,5.0,8.0,2.0,176.0,10.0,111.0,674.0,7.0,12.0,26.0,7.0,336.0,26.0,8.0,17.0,3.0,3.0,3.0,20.0,446.0,79.0,1.0,97485,2.0,190.0,6.0,1.0,208.0,5.0,15.0,8.0,65.0,2.0,12.0,16.0,4.0,8.0,2.0,69.0,352.0,11.0,10.0,26.0,92.0,1.0,,0.0,2.0,5.0,3.0,1.0,6.0,0.0,5.0,,,58.8,14.0,5.0,1.0,12.0,4.0,54.0,10.0,463.0,7.0,10.0,13.0,3.0,45.0,1.0,283.0,6.0,12.0,30.0,72.0,24.0,3.0,17.0,14.0,1.0,7.0,2.0,21.0,3.0,5.0,10.0,,,,1.0,,3.0,,2.0,,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,2.0,2.0,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
23,919118,2018-01-15 20:00:00,"Old Trafford, Manchester",74726,Away,Stoke City,Manchester United,0,3,L,0,2,0,0,3.0,52.0,2.0,,25.0,16.0,2.0,4.0,9.0,6.0,144.0,3.0,6.0,9.0,5.0,95.0,102.0,50.0,11.0,1.0,9.0,3.0,9.0,8.0,,16.0,1.0,10.0,26.0,159.0,0.0,91.0,10.0,4.0,2.0,39.0,54.0,5.0,66.0,3.0,1.0,8.0,11.0,2.0,4.0,1.0,102.0,12.0,90.0,549.0,8.0,10.0,14.0,9.0,302.0,31.0,8.0,6.0,1.0,4.0,4.0,13.0,364.0,52.0,1.0,97485,7.0,170.0,2.0,1.0,190.0,7.0,11.0,8.0,43.0,,5.0,8.0,8.0,4.0,,51.0,326.0,14.0,9.0,21.0,64.0,2.0,2.0,0.0,2.0,6.0,4.0,3.0,1.0,0.0,3.0,,,39.7,11.0,1.0,1.0,5.0,1.0,44.0,1.0,395.0,9.0,12.0,15.0,5.0,20.0,4.0,214.0,6.0,10.0,14.0,54.0,10.0,1.0,6.0,16.0,2.0,10.0,3.0,9.0,1.0,7.0,1.0,,,,2.0,,2.0,1.0,5.0,,1.0,,,3.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,919130,2018-01-20 15:00:00,"bet365 Stadium, Stoke",29785,Home,Stoke City,Huddersfield Town,2,0,W,0,0,0,0,3.0,73.0,2.0,1.0,27.0,25.0,1.0,5.0,10.0,3.0,191.0,4.0,9.0,9.0,6.0,62.0,201.0,103.0,11.0,,36.0,,15.0,15.0,,25.0,3.0,4.0,36.0,89.0,0.0,95.0,18.0,,2.0,40.0,38.0,7.0,32.0,,1.0,12.0,19.0,1.0,4.0,1.0,201.0,3.0,45.0,571.0,6.0,15.0,19.0,17.0,184.0,29.0,7.0,13.0,1.0,,2.0,29.0,306.0,75.0,,85352,5.0,114.0,6.0,,143.0,9.0,19.0,7.0,71.0,10.0,7.0,24.0,3.0,4.0,3.0,76.0,199.0,12.0,7.0,31.0,101.0,2.0,,0.0,3.0,2.0,1.0,,7.0,0.0,3.0,1.0,,48.5,21.0,,1.0,7.0,1.0,42.0,3.0,330.0,17.0,10.0,11.0,4.0,22.0,3.0,202.0,4.0,4.0,63.0,43.0,29.0,2.0,13.0,22.0,,10.0,3.0,13.0,2.0,12.0,3.0,1.0,2.0,,1.0,2.0,2.0,,4.0,1.0,2.0,,2.0,,,,1.0,1.0,1.0,,,2.0,,,1.0,1.0,,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
25,919141,2018-01-31 20:00:00,"bet365 Stadium, Stoke",27458,Home,Stoke City,Watford,0,0,D,0,0,0,0,2.0,58.0,,2.0,29.0,39.0,2.0,5.0,9.0,2.0,154.0,4.0,11.0,4.0,4.0,51.0,172.0,76.0,11.0,1.0,40.0,1.0,13.0,4.0,1.0,39.0,2.0,4.0,27.0,93.0,0.0,97.0,12.0,2.0,2.0,25.0,38.0,3.0,31.0,1.0,2.0,11.0,9.0,2.0,4.0,,172.0,7.0,43.0,477.0,3.0,15.0,19.0,11.0,153.0,22.0,11.0,21.0,4.0,4.0,1.0,30.0,258.0,56.0,2.0,93001,5.0,72.0,5.0,1.0,97.0,4.0,9.0,8.0,69.0,5.0,3.0,13.0,4.0,5.0,,65.0,161.0,12.0,6.0,32.0,78.0,1.0,,0.0,2.0,6.0,2.0,,3.0,0.0,3.0,2.0,,48.4,18.0,4.0,2.0,3.0,3.0,33.0,2.0,279.0,11.0,11.0,11.0,4.0,41.0,4.0,195.0,3.0,3.0,43.0,40.0,22.0,1.0,21.0,10.0,,7.0,2.0,13.0,1.0,3.0,2.0,1.0,,,,,5.0,2.0,3.0,2.0,1.0,1.0,,1.0,,,1.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,2.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
26,919143,2018-02-03 15:00:00,"Vitality Stadium, Bournemouth",10614,Away,Stoke City,Bournemouth,1,2,L,1,0,0,0,1.0,63.0,3.0,1.0,40.0,36.0,4.0,3.0,9.0,5.0,155.0,4.0,9.0,10.0,4.0,61.0,152.0,85.0,13.0,2.0,26.0,,15.0,20.0,,36.0,1.0,7.0,23.0,127.0,0.0,109.0,19.0,4.0,1.0,35.0,64.0,5.0,64.0,,4.0,14.0,18.0,4.0,7.0,2.0,152.0,10.0,48.0,544.0,6.0,9.0,17.0,16.0,206.0,19.0,14.0,14.0,3.0,4.0,5.0,26.0,297.0,62.0,,93001,5.0,98.0,6.0,,121.0,10.0,18.0,3.0,62.0,6.0,1.0,13.0,5.0,1.0,,87.0,221.0,13.0,11.0,42.0,100.0,1.0,,0.0,,8.0,3.0,2.0,3.0,0.0,3.0,,,42.7,21.0,2.0,3.0,1.0,3.0,48.0,1.0,328.0,16.0,9.0,15.0,6.0,35.0,3.0,222.0,6.0,7.0,35.0,64.0,32.0,3.0,14.0,28.0,2.0,10.0,3.0,10.0,3.0,7.0,1.0,4.0,1.0,,1.0,1.0,2.0,2.0,3.0,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,3.0,,1.0,,1.0,4.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,
