gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attBxRight,attSvLowCentre,totalCornersIntobox,attSvHighRight,goodHighClaim,bigChanceMissed,sixYardBlock,totalOffside,attMissHigh,attHdMiss,totalHighClaim,accurateCornersIntobox,attIboxMiss,attLfGoal,goals,accuratePullBack,postScoringAtt,attMissLeft,attIboxPost,attGoalHighRight,attOboxGoal,attSvLowLeft,attPostLeft,hitWoodwork,accurateThroughBall,errorLeadToShot,attObxdLeft,defenderGoals,goalsOpenplay,punches,shieldBallOop,ptsDroppedWinningPos,attCmissRight,attFreekickTotal,attMissHighRight,attMissRight,freekickTotal,attHdPost,foulThrowIn,attFreekickMiss,attPostRight,attLfTarget,bigChanceScored,attGoalLowLeft,goalAssistSetplay,accurateKeeperSweeper,goalAssistOpenplay,ptsGainedLosingPos,midfielderGoals,bigChanceCreated,goalAssist,totalKeeperSweeper,attRfGoal,attIboxGoal,goalAssistIntentional,clearanceOffLine,forwardGoals,attCmissHigh,shotFastbreak,cleanSheet,totalFastbreak,attSvHighLeft,contentiousDecision,attFastbreak,attCmissLeft,attPostHigh,attGoalLowCentre,penaltyWon,attPenGoal,errorLeadToGoal,goalAssistDeadball,attOneOnOne,attCmissHighRight,attHdGoal,attGoalLowRight,secondYellow,attGoalHighLeft,penaltySave,penaltyConceded,attCorner,penaltyFaced,penGoalsConceded,attObpGoal,attOboxPost,attFreekickTarget,ownGoals,attIboxOwnGoal,attGoalHighCentre,attCmissHighLeft,attObxLeft,attLgCentre,attFreekickGoal
11,918997,2017-11-04 15:00:00,"St. James' Park, Newcastle",52237,Away,Bournemouth,Newcastle United,1,0,W,0,0,0,0,,59.0,2.0,2.0,39.0,24.0,5.0,7.0,11.0,4.0,2.0,188.0,4.0,5.0,2.0,14.0,6.0,91.0,155.0,61.0,16.0,2.0,31.0,5.0,25.0,9.0,,24.0,6.0,38.0,172.0,0.0,133.0,12.0,2.0,1.0,60.0,58.0,8.0,53.0,1.0,18.0,18.0,5.0,6.0,3.0,155.0,8.0,75.0,594.0,12.0,10.0,23.0,2.0,10.0,284.0,22.0,1.0,9.0,10.0,2.0,3.0,6.0,26.0,373.0,77.0,,90105,6.0,140.0,11.0,,165.0,4.0,,18.0,12.0,69.0,2.0,4.0,11.0,8.0,10.0,75.0,308.0,10.0,8.0,1.0,22.0,77.0,3.0,0.0,1.0,11.0,2.0,,1.0,0.0,3.0,3.0,52.0,24.0,8.0,3.0,1.0,5.0,4.0,41.0,9.0,407.0,10.0,11.0,16.0,6.0,38.0,267.0,6.0,6.0,36.0,89.0,18.0,4.0,10.0,10.0,,14.0,2.0,13.0,4.0,4.0,9.0,,1.0,,7.0,,,2.0,,1.0,,,,1.0,3.0,,1.0,,,2.0,,1.0,,1.0,,1.0,1.0,2.0,,1.0,,1.0,,,,,2.0,1.0,,,,,,1.0,,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12,919003,2017-11-18 15:00:00,"Vitality Stadium, Bournemouth",10879,Home,Bournemouth,Huddersfield Town,4,0,W,2,0,1,0,,47.0,3.0,,17.0,48.0,3.0,2.0,6.0,3.0,1.0,131.0,5.0,4.0,3.0,6.0,5.0,37.0,141.0,45.0,9.0,,12.0,1.0,10.0,12.0,,48.0,2.0,25.0,69.0,0.0,77.0,13.0,1.0,1.0,38.0,25.0,4.0,33.0,1.0,6.0,8.0,3.0,1.0,3.0,141.0,10.0,45.0,428.0,3.0,6.0,19.0,,8.0,134.0,19.0,1.0,4.0,23.0,3.0,5.0,2.0,15.0,217.0,35.0,1.0,90105,5.0,83.0,4.0,1.0,112.0,5.0,,8.0,13.0,55.0,1.0,3.0,9.0,9.0,2.0,52.0,147.0,9.0,11.0,,16.0,64.0,,0.0,3.0,11.0,,,1.0,1.0,3.0,2.0,30.7,10.0,2.0,,1.0,3.0,,20.0,8.0,246.0,8.0,14.0,7.0,4.0,17.0,144.0,5.0,2.0,22.0,43.0,20.0,7.0,23.0,12.0,,5.0,3.0,9.0,7.0,4.0,8.0,,,,4.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,,,,,,,,,,1.0,,,,2.0,,1.0,,1.0,,,2.0,,,,,,,2.0,,2.0,,1.0,,1.0,2.0,3.0,,2.0,4.0,3.0,,3.0,1.0,,1.0,,,,,,,1.0,,,,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
13,919020,2017-11-25 15:00:00,"Liberty Stadium, Swansea",20228,Away,Bournemouth,Swansea City,0,0,D,0,0,0,0,1.0,62.0,,,25.0,31.0,4.0,3.0,5.0,1.0,3.0,170.0,2.0,13.0,1.0,6.0,5.0,115.0,141.0,62.0,9.0,2.0,18.0,4.0,22.0,11.0,1.0,31.0,10.0,44.0,202.0,0.0,129.0,6.0,1.0,,88.0,62.0,4.0,70.0,,19.0,21.0,4.0,5.0,1.0,141.0,7.0,117.0,681.0,6.0,2.0,14.0,,11.0,364.0,27.0,,2.0,20.0,2.0,3.0,2.0,21.0,436.0,66.0,,90105,3.0,190.0,14.0,,209.0,2.0,,21.0,11.0,50.0,1.0,5.0,15.0,3.0,6.0,56.0,390.0,17.0,10.0,,9.0,87.0,1.0,0.0,2.0,4.0,1.0,,,0.0,2.0,,51.8,18.0,4.0,1.0,,6.0,2.0,51.0,5.0,472.0,11.0,11.0,20.0,2.0,33.0,285.0,6.0,10.0,17.0,89.0,23.0,1.0,20.0,16.0,,8.0,3.0,19.0,1.0,11.0,5.0,,1.0,2.0,3.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,2.0,,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,919023,2017-11-29 19:45:00,"Vitality Stadium, Bournemouth",10302,Home,Bournemouth,Burnley,1,2,L,0,1,0,0,,65.0,1.0,1.0,35.0,18.0,5.0,2.0,6.0,2.0,1.0,211.0,7.0,5.0,1.0,8.0,2.0,150.0,183.0,57.0,11.0,4.0,18.0,1.0,30.0,12.0,,18.0,13.0,46.0,240.0,0.0,171.0,9.0,1.0,1.0,72.0,88.0,4.0,89.0,,28.0,17.0,5.0,10.0,1.0,183.0,5.0,117.0,763.0,7.0,13.0,23.0,,6.0,437.0,35.0,,8.0,12.0,0.0,4.0,4.0,28.0,545.0,90.0,1.0,90105,1.0,220.0,17.0,,256.0,3.0,,17.0,5.0,52.0,,5.0,16.0,5.0,1.0,76.0,453.0,11.0,3.0,1.0,25.0,79.0,,0.0,4.0,6.0,1.0,2.0,5.0,0.0,6.0,2.0,62.1,24.0,2.0,,,5.0,5.0,44.0,4.0,567.0,6.0,12.0,20.0,4.0,42.0,341.0,6.0,12.0,27.0,113.0,22.0,2.0,12.0,14.0,1.0,9.0,3.0,15.0,2.0,4.0,4.0,1.0,2.0,,2.0,,,,,,,2.0,,1.0,3.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
15,919033,2017-12-03 13:30:00,"Vitality Stadium, Bournemouth",10764,Home,Bournemouth,Southampton,1,1,D,1,0,0,0,,55.0,,2.0,25.0,29.0,7.0,4.0,9.0,2.0,3.0,150.0,4.0,10.0,3.0,11.0,5.0,103.0,145.0,45.0,16.0,2.0,23.0,4.0,22.0,5.0,,29.0,8.0,14.0,199.0,0.0,165.0,6.0,2.0,2.0,75.0,64.0,6.0,57.0,2.0,19.0,16.0,7.0,6.0,5.0,145.0,11.0,105.0,631.0,9.0,5.0,25.0,1.0,10.0,312.0,21.0,1.0,6.0,17.0,2.0,3.0,5.0,31.0,382.0,65.0,,90105,6.0,135.0,11.0,1.0,159.0,4.0,1.0,16.0,11.0,64.0,,8.0,10.0,4.0,2.0,60.0,330.0,11.0,13.0,1.0,27.0,65.0,2.0,0.0,2.0,4.0,3.0,1.0,2.0,0.0,3.0,2.0,47.8,24.0,4.0,2.0,1.0,8.0,4.0,36.0,5.0,415.0,10.0,13.0,11.0,7.0,32.0,278.0,10.0,8.0,13.0,123.0,19.0,2.0,17.0,12.0,1.0,12.0,3.0,20.0,2.0,7.0,5.0,,1.0,,3.0,,4.0,2.0,,,2.0,1.0,4.0,1.0,2.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,919044,2017-12-09 15:00:00,"Selhurst Park, London",24823,Away,Bournemouth,Crystal Palace,2,2,D,2,2,0,0,,47.0,2.0,1.0,34.0,34.0,6.0,2.0,5.0,6.0,2.0,153.0,2.0,10.0,2.0,9.0,5.0,122.0,134.0,53.0,11.0,2.0,23.0,1.0,15.0,8.0,2.0,34.0,6.0,26.0,186.0,0.0,136.0,14.0,6.0,1.0,57.0,66.0,7.0,55.0,1.0,13.0,25.0,6.0,2.0,2.0,134.0,19.0,112.0,651.0,7.0,3.0,21.0,1.0,10.0,323.0,20.0,,2.0,13.0,2.0,8.0,2.0,21.0,408.0,74.0,,90105,4.0,168.0,10.0,,192.0,10.0,1.0,25.0,12.0,60.0,2.0,1.0,7.0,5.0,10.0,56.0,352.0,12.0,5.0,,10.0,79.0,,0.0,3.0,6.0,4.0,2.0,2.0,0.0,2.0,1.0,54.9,21.0,2.0,,,1.0,3.0,52.0,3.0,442.0,10.0,8.0,14.0,3.0,23.0,265.0,8.0,6.0,12.0,90.0,21.0,1.0,13.0,19.0,2.0,8.0,3.0,20.0,1.0,11.0,3.0,,1.0,2.0,2.0,,,,,3.0,1.0,,,,1.0,,2.0,1.0,,1.0,,,,1.0,,,2.0,1.0,,,1.0,,,2.0,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,2.0,2.0,2.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,
17,919056,2017-12-13 20:00:00,"Old Trafford, Manchester",74798,Away,Bournemouth,Manchester United,0,1,L,0,1,0,0,,68.0,,1.0,20.0,18.0,6.0,6.0,8.0,1.0,3.0,161.0,4.0,8.0,1.0,11.0,7.0,108.0,134.0,42.0,14.0,2.0,10.0,3.0,25.0,7.0,4.0,18.0,9.0,22.0,172.0,0.0,135.0,12.0,1.0,,48.0,57.0,9.0,50.0,2.0,17.0,24.0,6.0,2.0,,134.0,7.0,108.0,597.0,11.0,7.0,26.0,,10.0,326.0,36.0,1.0,3.0,6.0,2.0,4.0,2.0,14.0,401.0,60.0,,90105,3.0,174.0,15.0,1.0,195.0,7.0,,24.0,6.0,42.0,3.0,5.0,12.0,2.0,3.0,43.0,342.0,13.0,8.0,,15.0,61.0,3.0,0.0,,4.0,1.0,1.0,4.0,0.0,3.0,2.0,43.6,11.0,2.0,1.0,,5.0,3.0,37.0,9.0,427.0,10.0,8.0,15.0,4.0,31.0,257.0,6.0,8.0,12.0,94.0,24.0,3.0,6.0,10.0,1.0,10.0,3.0,13.0,3.0,9.0,9.0,,2.0,2.0,8.0,1.0,3.0,,,,1.0,2.0,3.0,1.0,4.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,919063,2017-12-17 16:30:00,"Vitality Stadium, Bournemouth",10780,Home,Bournemouth,Liverpool,0,4,L,0,3,0,0,1.0,62.0,2.0,1.0,23.0,17.0,2.0,1.0,4.0,3.0,2.0,182.0,,6.0,2.0,6.0,2.0,126.0,148.0,34.0,6.0,1.0,8.0,1.0,11.0,3.0,1.0,17.0,12.0,32.0,161.0,0.0,112.0,5.0,3.0,2.0,66.0,62.0,4.0,87.0,2.0,9.0,14.0,2.0,,,148.0,15.0,116.0,661.0,5.0,4.0,14.0,,6.0,394.0,32.0,,1.0,9.0,1.0,2.0,2.0,24.0,483.0,48.0,,90105,1.0,253.0,7.0,,286.0,2.0,2.0,14.0,11.0,30.0,4.0,9.0,17.0,6.0,5.0,67.0,414.0,10.0,7.0,1.0,25.0,73.0,2.0,0.0,2.0,3.0,1.0,4.0,3.0,0.0,,,44.0,18.0,,2.0,,10.0,2.0,38.0,2.0,511.0,6.0,10.0,13.0,2.0,19.0,236.0,5.0,11.0,9.0,79.0,20.0,2.0,9.0,9.0,4.0,6.0,3.0,8.0,2.0,3.0,2.0,,1.0,,2.0,,,1.0,,2.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,919078,2017-12-23 15:00:00,"Etihad Stadium, Manchester",54270,Away,Bournemouth,Manchester City,0,4,L,0,1,0,0,,44.0,1.0,2.0,13.0,27.0,,1.0,5.0,1.0,,109.0,3.0,7.0,,5.0,1.0,52.0,120.0,32.0,5.0,,13.0,1.0,13.0,7.0,,27.0,6.0,22.0,71.0,0.0,60.0,7.0,1.0,,26.0,40.0,3.0,31.0,2.0,7.0,9.0,,2.0,,120.0,6.0,40.0,390.0,3.0,3.0,9.0,1.0,16.0,152.0,21.0,,4.0,13.0,1.0,4.0,2.0,14.0,203.0,48.0,,90105,4.0,95.0,5.0,,118.0,1.0,,9.0,9.0,47.0,,3.0,10.0,8.0,1.0,45.0,163.0,5.0,9.0,2.0,20.0,43.0,,0.0,2.0,4.0,,4.0,1.0,0.0,1.0,2.0,21.2,6.0,2.0,1.0,,3.0,2.0,15.0,6.0,232.0,16.0,11.0,14.0,2.0,16.0,127.0,2.0,6.0,10.0,36.0,15.0,2.0,13.0,10.0,4.0,3.0,3.0,15.0,2.0,5.0,6.0,,,1.0,6.0,,,,,2.0,,1.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,919083,2017-12-26 15:00:00,"Vitality Stadium, Bournemouth",10596,Home,Bournemouth,West Ham United,3,3,D,1,1,0,0,,66.0,1.0,4.0,23.0,12.0,5.0,5.0,20.0,2.0,6.0,195.0,13.0,10.0,5.0,20.0,10.0,90.0,160.0,64.0,25.0,1.0,18.0,6.0,27.0,12.0,1.0,12.0,13.0,22.0,190.0,0.0,158.0,12.0,2.0,5.0,79.0,43.0,11.0,51.0,2.0,22.0,22.0,5.0,6.0,3.0,160.0,8.0,88.0,640.0,13.0,7.0,47.0,1.0,8.0,311.0,22.0,,5.0,7.0,3.0,2.0,9.0,19.0,396.0,71.0,3.0,90105,13.0,153.0,11.0,6.0,176.0,7.0,2.0,22.0,10.0,59.0,,7.0,26.0,2.0,7.0,54.0,330.0,13.0,7.0,4.0,20.0,69.0,2.0,0.0,1.0,4.0,1.0,3.0,3.0,0.0,11.0,5.0,56.5,16.0,9.0,1.0,1.0,7.0,5.0,39.0,7.0,424.0,8.0,16.0,9.0,10.0,45.0,275.0,12.0,12.0,26.0,107.0,24.0,4.0,7.0,15.0,2.0,15.0,2.0,16.0,4.0,13.0,7.0,1.0,2.0,2.0,5.0,,1.0,2.0,,,2.0,4.0,2.0,2.0,7.0,2.0,3.0,1.0,,4.0,,,,2.0,,,,,,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,,,3.0,2.0,,1.0,1.0,,,,,1.0,,,,1.0,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,
21,919093,2017-12-30 15:00:00,"Vitality Stadium, Bournemouth",10497,Home,Bournemouth,Everton,2,1,W,1,0,0,0,1.0,70.0,,1.0,21.0,23.0,8.0,4.0,10.0,,4.0,212.0,9.0,12.0,4.0,17.0,7.0,72.0,177.0,56.0,18.0,3.0,22.0,3.0,19.0,5.0,2.0,23.0,14.0,34.0,185.0,0.0,177.0,8.0,,2.0,74.0,53.0,10.0,66.0,,16.0,25.0,8.0,4.0,2.0,177.0,4.0,66.0,615.0,12.0,12.0,28.0,,16.0,272.0,31.0,1.0,5.0,14.0,0.0,2.0,7.0,25.0,388.0,83.0,2.0,90105,6.0,114.0,10.0,1.0,154.0,2.0,1.0,25.0,8.0,46.0,1.0,5.0,21.0,2.0,6.0,63.0,290.0,12.0,3.0,3.0,31.0,84.0,1.0,0.0,3.0,4.0,,1.0,4.0,0.0,8.0,3.0,47.2,22.0,6.0,2.0,,5.0,4.0,37.0,4.0,416.0,16.0,9.0,9.0,7.0,35.0,281.0,11.0,14.0,26.0,117.0,27.0,2.0,14.0,8.0,1.0,16.0,3.0,17.0,2.0,9.0,4.0,,1.0,2.0,3.0,,,1.0,,,1.0,3.0,,1.0,4.0,,2.0,,1.0,2.0,,,,1.0,,1.0,,,,,2.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,2.0,,2.0,2.0,2.0,,2.0,2.0,1.0,,,,,,,1.0,,,2.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,
22,919104,2018-01-01 12:30:00,"Amex Stadium, Falmer",30152,Away,Bournemouth,Brighton and Hove Albion,2,2,D,1,1,0,0,,51.0,1.0,7.0,20.0,27.0,11.0,8.0,15.0,4.0,4.0,134.0,7.0,17.0,4.0,18.0,8.0,102.0,131.0,52.0,26.0,6.0,25.0,4.0,24.0,2.0,2.0,27.0,10.0,22.0,171.0,0.0,125.0,9.0,4.0,1.0,66.0,58.0,15.0,62.0,3.0,13.0,16.0,11.0,,2.0,131.0,10.0,105.0,635.0,13.0,2.0,39.0,,14.0,314.0,24.0,,6.0,10.0,1.0,6.0,3.0,19.0,379.0,50.0,,88498,10.0,165.0,12.0,2.0,188.0,4.0,,16.0,8.0,69.0,1.0,6.0,12.0,5.0,2.0,49.0,329.0,13.0,12.0,3.0,18.0,53.0,2.0,0.0,1.0,5.0,3.0,2.0,1.0,0.0,3.0,1.0,50.9,15.0,4.0,2.0,,6.0,13.0,30.0,12.0,403.0,14.0,13.0,6.0,5.0,33.0,239.0,15.0,10.0,16.0,89.0,17.0,3.0,10.0,6.0,2.0,14.0,3.0,27.0,3.0,6.0,12.0,,2.0,3.0,11.0,1.0,,,1.0,,1.0,,,4.0,2.0,1.0,2.0,,1.0,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,2.0,1.0,1.0,2.0,1.0,,,,,2.0,,1.0,2.0,,,1.0,,,2.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,
23,919113,2018-01-14 13:30:00,"Vitality Stadium, Bournemouth",10836,Home,Bournemouth,Arsenal,2,1,W,0,0,0,0,1.0,77.0,1.0,1.0,16.0,24.0,8.0,7.0,5.0,2.0,1.0,175.0,2.0,13.0,3.0,8.0,5.0,76.0,194.0,72.0,13.0,2.0,31.0,2.0,14.0,10.0,1.0,24.0,4.0,33.0,120.0,0.0,137.0,8.0,2.0,1.0,61.0,68.0,5.0,43.0,1.0,12.0,39.0,8.0,3.0,5.0,194.0,6.0,72.0,593.0,6.0,5.0,26.0,,13.0,220.0,32.0,,4.0,15.0,2.0,4.0,3.0,26.0,338.0,48.0,,90105,3.0,114.0,8.0,3.0,150.0,2.0,1.0,39.0,10.0,64.0,1.0,8.0,17.0,6.0,2.0,75.0,232.0,9.0,6.0,,38.0,87.0,1.0,0.0,2.0,5.0,1.0,1.0,2.0,0.0,2.0,,40.5,18.0,8.0,,,8.0,3.0,21.0,4.0,366.0,13.0,14.0,13.0,5.0,26.0,230.0,6.0,3.0,26.0,80.0,26.0,1.0,15.0,24.0,1.0,8.0,3.0,20.0,1.0,16.0,4.0,,2.0,2.0,2.0,,,,,,3.0,,,,,1.0,2.0,1.0,,1.0,,,,,,,1.0,,,,2.0,1.0,,,1.0,,,1.0,,,,,,2.0,1.0,,,2.0,2.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,919132,2018-01-20 15:00:00,"London Stadium, London",56948,Away,Bournemouth,West Ham United,1,1,D,0,0,0,0,1.0,62.0,1.0,,27.0,39.0,6.0,2.0,2.0,3.0,2.0,175.0,1.0,10.0,4.0,6.0,3.0,98.0,152.0,49.0,8.0,,20.0,1.0,10.0,9.0,1.0,39.0,19.0,34.0,182.0,0.0,152.0,7.0,,2.0,81.0,58.0,3.0,65.0,,8.0,26.0,6.0,2.0,5.0,152.0,5.0,96.0,634.0,5.0,4.0,15.0,,7.0,322.0,30.0,1.0,2.0,17.0,1.0,2.0,3.0,22.0,414.0,81.0,,90105,,154.0,4.0,,174.0,2.0,1.0,26.0,6.0,51.0,1.0,6.0,18.0,7.0,4.0,51.0,335.0,8.0,12.0,,13.0,63.0,1.0,0.0,3.0,6.0,2.0,1.0,3.0,0.0,1.0,,52.2,18.0,5.0,2.0,,7.0,,33.0,3.0,434.0,7.0,4.0,15.0,5.0,32.0,270.0,6.0,14.0,17.0,96.0,16.0,6.0,17.0,15.0,1.0,5.0,2.0,19.0,6.0,13.0,3.0,,,,2.0,,,,,5.0,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,2.0,,2.0,,,1.0,3.0,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,919136,2018-01-31 19:45:00,"Stamford Bridge, London",41464,Away,Bournemouth,Chelsea,3,0,W,0,0,0,0,1.0,58.0,1.0,2.0,17.0,36.0,6.0,3.0,5.0,5.0,1.0,151.0,2.0,10.0,,9.0,5.0,61.0,139.0,47.0,11.0,2.0,23.0,,7.0,10.0,2.0,36.0,14.0,33.0,109.0,0.0,92.0,12.0,2.0,,51.0,41.0,8.0,55.0,1.0,3.0,15.0,6.0,,2.0,139.0,11.0,62.0,535.0,5.0,6.0,10.0,,18.0,231.0,23.0,,4.0,16.0,0.0,8.0,1.0,20.0,311.0,51.0,,90105,3.0,134.0,3.0,,155.0,8.0,,15.0,9.0,72.0,1.0,3.0,20.0,10.0,3.0,54.0,241.0,5.0,22.0,2.0,18.0,72.0,,0.0,3.0,8.0,4.0,,3.0,0.0,1.0,,34.3,15.0,7.0,1.0,,3.0,4.0,34.0,5.0,329.0,18.0,12.0,15.0,2.0,13.0,181.0,8.0,13.0,10.0,54.0,20.0,5.0,16.0,23.0,,6.0,3.0,14.0,5.0,6.0,5.0,,,1.0,4.0,,,,,2.0,1.0,,,1.0,,,3.0,,,1.0,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,1.0,3.0,,,,2.0,,,2.0,2.0,,3.0,3.0,2.0,,2.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,
26,919143,2018-02-03 15:00:00,"Vitality Stadium, Bournemouth",10614,Home,Bournemouth,Stoke City,2,1,W,0,1,0,0,,60.0,,2.0,23.0,20.0,4.0,,10.0,2.0,5.0,200.0,5.0,11.0,4.0,12.0,8.0,93.0,191.0,62.0,15.0,2.0,35.0,3.0,20.0,5.0,3.0,20.0,10.0,33.0,157.0,0.0,156.0,14.0,1.0,1.0,75.0,49.0,9.0,59.0,1.0,15.0,18.0,5.0,4.0,,191.0,9.0,87.0,643.0,11.0,7.0,23.0,1.0,5.0,294.0,26.0,,3.0,9.0,2.0,4.0,3.0,27.0,400.0,79.0,1.0,90105,4.0,165.0,10.0,1.0,195.0,5.0,1.0,18.0,11.0,85.0,,3.0,17.0,4.0,3.0,68.0,317.0,15.0,9.0,,20.0,78.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,4.0,2.0,57.3,23.0,4.0,,,3.0,4.0,27.0,8.0,439.0,5.0,16.0,15.0,3.0,33.0,264.0,13.0,9.0,26.0,104.0,26.0,3.0,9.0,10.0,1.0,10.0,3.0,23.0,3.0,8.0,8.0,,3.0,4.0,5.0,,,1.0,,2.0,1.0,,,1.0,3.0,,2.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,2.0,,1.0,2.0,,,,,,2.0,,1.0,,,3.0,,2.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
