gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attCmissRight,attBxRight,attMissHighRight,attSvHighRight,attSvLowLeft,attHdTarget,outfielderBlock,totalPullBack,attemptsConcededObox,goalsConceded,attSvHighCentre,attPostRight,goalsConcededIbox,errorLeadToGoal,attGoalLowRight,attFreekickTotal,freekickTotal,contentiousDecision,errorLeadToShot,attMissHigh,ptsDroppedWinningPos,goalAssistSetplay,accuratePullBack,attOboxGoal,attGoalHighCentre,attCmissHighRight,attObxRight,forwardGoals,attSvHighLeft,attCmissHigh,punches,attFreekickTarget,attPostHigh,attFreekickMiss,attGoalLowLeft,attObxLeft,attFreekickPost,secondYellow,attOboxPost,attHdGoal,savedObox,goalAssistDeadball,shotFastbreak,totalFastbreak,attFastbreak,attGoalHighLeft,goalFastbreak,attLgCentre,shieldBallOop,ptsGainedLosingPos,attMissHighLeft,attGoalHighRight,foulThrowIn,clearanceOffLine,attObxdRight,attCmissHighLeft,penaltyConceded,penaltyFaced,penaltyWon,attPenGoal,ownGoals,attIboxOwnGoal,attPenTarget,attObxdLeft,attObpGoal,penGoalsConceded,attHdPost
11,919001,2017-11-05 12:00:00,"Wembley Stadium, London",65270,Home,Tottenham Hotspur,Crystal Palace,1,0,W,0,0,0,0,,,,53.0,2.0,49.0,30.0,6.0,4.0,6.0,3.0,1.0,1.0,183.0,,2.0,7.0,1.0,2.0,10.0,2.0,151.0,155.0,49.0,12.0,2.0,14.0,,,1.0,,1.0,4.0,30.0,,10.0,1.0,30.0,6.0,19.0,32.0,,279.0,1.0,0.0,169.0,6.0,2.0,,1.0,2.0,87.0,87.0,5.0,78.0,,1.0,24.0,11.0,6.0,7.0,2.0,155.0,2.0,7.0,,171.0,796.0,9.0,3.0,25.0,,13.0,472.0,17.0,4.0,14.0,,2.0,0.0,5.0,27.0,559.0,68.0,,,93264,5.0,214.0,2.0,16.0,,,225.0,4.0,,11.0,8.0,47.0,1.0,,3.0,3.0,1.0,8.0,6.0,74.0,491.0,6.0,8.0,1.0,15.0,75.0,,1.0,0.0,3.0,9.0,3.0,,,0.0,1.0,,3.0,68.4,25.0,3.0,4.0,1.0,3.0,4.0,45.0,10.0,2.0,583.0,13.0,13.0,19.0,6.0,39.0,1.0,4.0,388.0,5.0,18.0,16.0,119.0,28.0,3.0,14.0,20.0,10.0,3.0,13.0,3.0,4.0,10.0,,,,,,,,3.0,,4.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12,919004,2017-11-18 12:30:00,"Emirates Stadium, London",59530,Away,Tottenham Hotspur,Arsenal,0,2,L,0,2,0,0,1.0,1.0,,67.0,2.0,27.0,22.0,4.0,2.0,10.0,3.0,,1.0,194.0,,4.0,15.0,,1.0,12.0,4.0,133.0,166.0,57.0,14.0,,16.0,3.0,,2.0,,2.0,5.0,20.0,,7.0,1.0,22.0,2.0,14.0,30.0,,243.0,,0.0,159.0,16.0,1.0,,,,65.0,71.0,4.0,83.0,3.0,1.0,18.0,21.0,4.0,4.0,3.0,166.0,,8.0,,139.0,768.0,11.0,5.0,21.0,,17.0,411.0,29.0,4.0,14.0,,2.0,1.0,8.0,28.0,519.0,72.0,,,93264,5.0,197.0,,14.0,,,223.0,7.0,,21.0,6.0,56.0,4.0,,1.0,6.0,,14.0,5.0,75.0,436.0,11.0,7.0,1.0,31.0,82.0,1.0,1.0,0.0,2.0,7.0,2.0,,2.0,0.0,2.0,,4.0,57.9,26.0,2.0,8.0,2.0,6.0,2.0,36.0,4.0,,549.0,17.0,12.0,10.0,8.0,38.0,2.0,5.0,346.0,8.0,13.0,20.0,109.0,24.0,2.0,14.0,12.0,12.0,3.0,21.0,2.0,13.0,4.0,,,2.0,2.0,1.0,,2.0,5.0,,6.0,2.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13,919021,2017-11-25 15:00:00,"Wembley Stadium, London",65905,Home,Tottenham Hotspur,West Bromwich Albion,1,1,D,0,1,0,0,,,1.0,52.0,4.0,39.0,9.0,16.0,6.0,9.0,1.0,1.0,3.0,217.0,,6.0,17.0,1.0,2.0,19.0,5.0,190.0,158.0,65.0,25.0,6.0,27.0,1.0,,,1.0,2.0,3.0,35.0,,12.0,3.0,9.0,7.0,13.0,24.0,,430.0,,0.0,264.0,10.0,,,,,133.0,87.0,12.0,93.0,,3.0,28.0,13.0,16.0,6.0,7.0,158.0,2.0,4.0,,189.0,890.0,16.0,3.0,34.0,,5.0,576.0,19.0,3.0,6.0,1.0,,1.0,7.0,28.0,663.0,103.0,,,93264,5.0,177.0,1.0,22.0,,1.0,189.0,3.0,,13.0,4.0,65.0,,,2.0,2.0,1.0,13.0,4.0,60.0,601.0,12.0,10.0,2.0,10.0,83.0,,,0.0,3.0,,1.0,1.0,,0.0,4.0,1.0,3.0,72.5,25.0,2.0,4.0,1.0,2.0,10.0,66.0,8.0,,689.0,5.0,14.0,12.0,10.0,55.0,2.0,3.0,535.0,14.0,12.0,21.0,215.0,26.0,1.0,6.0,15.0,18.0,2.0,23.0,1.0,3.0,8.0,,2.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
14,919026,2017-11-28 19:45:00,"King Power Stadium, Leicester",31950,Away,Tottenham Hotspur,Leicester City,1,2,L,0,2,0,0,2.0,1.0,,75.0,,28.0,16.0,5.0,1.0,13.0,1.0,,2.0,197.0,,7.0,10.0,1.0,1.0,16.0,6.0,140.0,164.0,54.0,18.0,3.0,16.0,4.0,,3.0,1.0,3.0,5.0,27.0,,12.0,1.0,16.0,8.0,8.0,29.0,,309.0,,0.0,210.0,10.0,1.0,,1.0,,56.0,85.0,9.0,84.0,,2.0,19.0,16.0,5.0,5.0,1.0,164.0,4.0,4.0,,140.0,764.0,13.0,4.0,33.0,,11.0,448.0,29.0,3.0,7.0,1.0,3.0,2.0,7.0,25.0,543.0,82.0,1.0,,93264,8.0,163.0,5.0,13.0,,,180.0,6.0,1.0,16.0,6.0,56.0,4.0,,1.0,4.0,1.0,14.0,5.0,55.0,465.0,7.0,9.0,2.0,16.0,60.0,,1.0,0.0,6.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,62.6,22.0,3.0,4.0,2.0,4.0,3.0,42.0,9.0,,561.0,11.0,13.0,13.0,9.0,52.0,4.0,8.0,408.0,12.0,7.0,18.0,150.0,37.0,5.0,7.0,19.0,13.0,3.0,20.0,5.0,7.0,9.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
15,919041,2017-12-02 15:00:00,"Vicarage Road, Watford",20278,Away,Tottenham Hotspur,Watford,1,1,D,1,1,1,0,,,1.0,67.0,1.0,43.0,30.0,6.0,2.0,2.0,1.0,,1.0,143.0,,1.0,7.0,1.0,4.0,4.0,2.0,105.0,144.0,59.0,8.0,1.0,19.0,,,,1.0,1.0,1.0,15.0,,13.0,1.0,30.0,2.0,10.0,30.0,,164.0,,0.0,109.0,8.0,,1.0,3.0,4.0,44.0,57.0,3.0,54.0,2.0,2.0,13.0,17.0,6.0,,4.0,144.0,1.0,3.0,,102.0,624.0,3.0,4.0,12.0,,11.0,311.0,30.0,4.0,14.0,1.0,,1.0,1.0,23.0,386.0,59.0,,,93264,1.0,166.0,,10.0,,2.0,186.0,6.0,1.0,17.0,4.0,51.0,5.0,,10.0,6.0,1.0,19.0,4.0,65.0,329.0,16.0,4.0,,17.0,61.0,,,0.0,3.0,7.0,,1.0,3.0,1.0,,1.0,,49.5,21.0,,5.0,,7.0,2.0,43.0,2.0,4.0,404.0,11.0,16.0,18.0,4.0,22.0,1.0,,233.0,6.0,10.0,15.0,69.0,22.0,3.0,14.0,21.0,3.0,3.0,11.0,3.0,11.0,2.0,,1.0,1.0,,,,,2.0,,3.0,1.0,,,1.0,,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,2.0,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
16,919051,2017-12-09 15:00:00,"Wembley Stadium, London",62202,Home,Tottenham Hotspur,Stoke City,5,1,W,1,0,0,0,,2.0,3.0,58.0,2.0,38.0,16.0,8.0,7.0,12.0,2.0,2.0,5.0,199.0,,5.0,5.0,5.0,3.0,17.0,11.0,174.0,141.0,50.0,20.0,1.0,21.0,4.0,,,2.0,5.0,2.0,26.0,,11.0,3.0,16.0,5.0,7.0,29.0,2.0,321.0,,0.0,184.0,12.0,1.0,2.0,2.0,,90.0,86.0,11.0,97.0,,2.0,22.0,14.0,8.0,5.0,3.0,141.0,8.0,4.0,,187.0,842.0,12.0,1.0,38.0,,10.0,557.0,22.0,7.0,11.0,3.0,,1.0,5.0,17.0,635.0,78.0,4.0,,93264,9.0,263.0,5.0,15.0,1.0,,279.0,6.0,1.0,14.0,4.0,56.0,8.0,,7.0,6.0,3.0,12.0,4.0,54.0,579.0,8.0,6.0,1.0,15.0,79.0,1.0,1.0,0.0,4.0,6.0,2.0,4.0,,0.0,4.0,3.0,2.0,70.8,15.0,1.0,2.0,1.0,6.0,3.0,56.0,12.0,,657.0,10.0,11.0,17.0,6.0,39.0,2.0,3.0,404.0,11.0,7.0,19.0,149.0,28.0,1.0,11.0,18.0,17.0,3.0,11.0,1.0,5.0,12.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,2.0,,,2.0,1.0,,,1.0,,,,,1.0,,,2.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
17,919062,2017-12-13 20:00:00,"Wembley Stadium, London",55124,Home,Tottenham Hotspur,Brighton and Hove Albion,2,0,W,1,0,0,0,,2.0,,53.0,6.0,25.0,4.0,10.0,6.0,14.0,4.0,,4.0,210.0,,6.0,11.0,2.0,5.0,20.0,8.0,209.0,139.0,56.0,25.0,5.0,20.0,2.0,,,1.0,1.0,1.0,26.0,,9.0,4.0,4.0,7.0,18.0,35.0,,425.0,1.0,0.0,210.0,5.0,,1.0,2.0,,79.0,103.0,14.0,115.0,4.0,1.0,19.0,14.0,11.0,9.0,1.0,139.0,1.0,5.0,,215.0,946.0,17.0,2.0,37.0,2.0,6.0,650.0,18.0,1.0,3.0,2.0,,1.0,6.0,28.0,734.0,98.0,,1.0,93264,7.0,244.0,1.0,8.0,1.0,1.0,258.0,3.0,1.0,14.0,2.0,43.0,1.0,1.0,3.0,6.0,1.0,13.0,2.0,47.0,663.0,10.0,5.0,1.0,7.0,72.0,3.0,,0.0,4.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,75.1,28.0,1.0,4.0,4.0,6.0,11.0,49.0,10.0,,749.0,6.0,8.0,12.0,6.0,43.0,3.0,5.0,517.0,17.0,17.0,20.0,157.0,22.0,2.0,3.0,15.0,16.0,3.0,16.0,2.0,6.0,10.0,,1.0,1.0,,,2.0,,1.0,,2.0,,,,,,,1.0,1.0,,,3.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,
18,919069,2017-12-16 17:30:00,"Etihad Stadium, Manchester",54214,Away,Tottenham Hotspur,Manchester City,1,4,L,0,1,0,0,1.0,,,51.0,,39.0,13.0,6.0,3.0,1.0,7.0,1.0,1.0,140.0,,1.0,13.0,1.0,1.0,4.0,2.0,113.0,141.0,49.0,7.0,1.0,3.0,,,1.0,,,,7.0,,10.0,1.0,13.0,1.0,3.0,28.0,,129.0,,0.0,91.0,20.0,6.0,1.0,1.0,1.0,51.0,38.0,1.0,62.0,2.0,2.0,6.0,22.0,6.0,3.0,3.0,141.0,,16.0,,97.0,607.0,4.0,2.0,7.0,,17.0,304.0,29.0,8.0,4.0,,2.0,4.0,3.0,26.0,381.0,42.0,,,93264,1.0,199.0,,2.0,,1.0,230.0,13.0,,22.0,10.0,54.0,1.0,,2.0,1.0,1.0,25.0,7.0,66.0,327.0,13.0,14.0,,20.0,54.0,,,0.0,,5.0,4.0,,,0.0,1.0,,1.0,47.1,22.0,1.0,5.0,,2.0,1.0,35.0,1.0,1.0,412.0,17.0,12.0,10.0,4.0,17.0,,1.0,189.0,3.0,3.0,6.0,57.0,13.0,1.0,4.0,17.0,6.0,3.0,19.0,1.0,10.0,1.0,,1.0,,1.0,,1.0,,2.0,,4.0,4.0,,,4.0,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,
19,919075,2017-12-23 17:30:00,"Turf Moor, Burnley",21650,Away,Tottenham Hotspur,Burnley,3,0,W,1,0,0,0,1.0,3.0,2.0,74.0,1.0,36.0,37.0,6.0,5.0,12.0,2.0,1.0,2.0,214.0,1.0,3.0,9.0,3.0,1.0,15.0,8.0,118.0,159.0,59.0,18.0,4.0,21.0,4.0,,2.0,2.0,2.0,1.0,11.0,,8.0,1.0,37.0,2.0,3.0,30.0,1.0,212.0,1.0,0.0,143.0,10.0,1.0,,,,68.0,63.0,11.0,80.0,,2.0,9.0,15.0,6.0,2.0,1.0,159.0,3.0,4.0,,115.0,726.0,12.0,8.0,25.0,,6.0,403.0,28.0,13.0,17.0,2.0,2.0,2.0,4.0,29.0,503.0,78.0,2.0,,93264,8.0,210.0,3.0,7.0,,,232.0,4.0,2.0,15.0,6.0,44.0,2.0,,1.0,5.0,2.0,16.0,2.0,79.0,419.0,10.0,6.0,1.0,38.0,89.0,1.0,1.0,0.0,8.0,4.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,59.6,22.0,1.0,8.0,3.0,5.0,5.0,46.0,4.0,,527.0,6.0,9.0,11.0,5.0,27.0,1.0,4.0,306.0,12.0,3.0,33.0,95.0,28.0,1.0,17.0,9.0,16.0,3.0,11.0,1.0,8.0,4.0,,1.0,,,,2.0,,,,1.0,,,,,,2.0,,,,,2.0,,,,,,,,3.0,,,1.0,,,,,,,,,,,,2.0,2.0,2.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,
20,919090,2017-12-26 12:30:00,"Wembley Stadium, London",57297,Home,Tottenham Hotspur,Southampton,5,2,W,2,0,0,0,1.0,1.0,4.0,62.0,,32.0,29.0,6.0,6.0,10.0,5.0,2.0,1.0,183.0,1.0,2.0,15.0,5.0,5.0,13.0,7.0,122.0,139.0,57.0,16.0,2.0,9.0,1.0,,1.0,4.0,,2.0,9.0,,5.0,1.0,29.0,3.0,12.0,25.0,,200.0,,0.0,155.0,8.0,3.0,2.0,1.0,1.0,70.0,39.0,6.0,69.0,1.0,1.0,6.0,25.0,6.0,1.0,2.0,139.0,4.0,11.0,,119.0,693.0,7.0,7.0,25.0,,10.0,386.0,25.0,5.0,15.0,5.0,1.0,0.0,7.0,15.0,466.0,62.0,3.0,1.0,93264,4.0,210.0,,4.0,,2.0,233.0,6.0,2.0,25.0,10.0,64.0,4.0,,1.0,5.0,4.0,12.0,6.0,55.0,408.0,15.0,20.0,1.0,14.0,68.0,2.0,1.0,0.0,1.0,8.0,2.0,4.0,4.0,0.0,2.0,4.0,1.0,57.0,10.0,,4.0,1.0,5.0,2.0,43.0,3.0,1.0,493.0,10.0,17.0,14.0,7.0,28.0,,5.0,269.0,9.0,12.0,15.0,112.0,24.0,2.0,15.0,12.0,13.0,3.0,26.0,2.0,11.0,3.0,,1.0,2.0,,,,,3.0,1.0,5.0,2.0,,,2.0,1.0,1.0,1.0,1.0,,1.0,4.0,,1.0,1.0,1.0,2.0,,,3.0,,,2.0,,,,1.0,,,,,1.0,2.0,1.0,2.0,4.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,
21,919100,2018-01-04 20:00:00,"Wembley Stadium, London",50034,Home,Tottenham Hotspur,West Ham United,1,1,D,0,0,0,0,1.0,2.0,,72.0,9.0,37.0,15.0,14.0,7.0,17.0,,,5.0,198.0,,3.0,13.0,1.0,,20.0,8.0,191.0,170.0,56.0,31.0,5.0,16.0,3.0,,,1.0,1.0,1.0,27.0,,15.0,4.0,15.0,7.0,8.0,34.0,,377.0,,0.0,261.0,10.0,1.0,1.0,,,112.0,89.0,14.0,79.0,,4.0,20.0,19.0,14.0,6.0,4.0,170.0,1.0,2.0,,201.0,881.0,17.0,6.0,43.0,,13.0,548.0,21.0,2.0,10.0,1.0,,0.0,5.0,32.0,656.0,108.0,1.0,,93264,10.0,184.0,1.0,14.0,3.0,,198.0,6.0,1.0,19.0,2.0,52.0,4.0,,3.0,5.0,1.0,11.0,,64.0,558.0,6.0,9.0,1.0,18.0,73.0,2.0,,0.0,,1.0,,,1.0,0.0,1.0,,3.0,70.7,29.0,3.0,9.0,3.0,5.0,14.0,49.0,7.0,,669.0,13.0,13.0,14.0,9.0,46.0,2.0,5.0,498.0,21.0,8.0,18.0,187.0,36.0,,10.0,19.0,27.0,3.0,18.0,,4.0,7.0,1.0,2.0,,2.0,,3.0,,,,1.0,1.0,1.0,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
22,919111,2018-01-02 19:45:00,"Liberty Stadium, Swansea",20615,Away,Tottenham Hotspur,Swansea City,2,0,W,1,0,0,0,,,2.0,55.0,1.0,40.0,21.0,3.0,1.0,8.0,1.0,,3.0,207.0,,5.0,6.0,2.0,5.0,10.0,5.0,194.0,138.0,55.0,12.0,1.0,11.0,2.0,,1.0,,2.0,2.0,18.0,,14.0,1.0,21.0,4.0,9.0,23.0,,346.0,1.0,0.0,186.0,9.0,1.0,1.0,4.0,1.0,155.0,70.0,5.0,92.0,,1.0,14.0,19.0,4.0,2.0,2.0,138.0,1.0,5.0,,182.0,863.0,8.0,4.0,27.0,,9.0,576.0,17.0,2.0,5.0,1.0,1.0,2.0,5.0,25.0,657.0,96.0,1.0,2.0,93264,6.0,252.0,,8.0,,2.0,257.0,5.0,1.0,19.0,5.0,49.0,1.0,,2.0,3.0,1.0,17.0,5.0,56.0,593.0,11.0,11.0,1.0,10.0,95.0,,,0.0,4.0,6.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,67.7,23.0,1.0,1.0,1.0,3.0,2.0,74.0,5.0,1.0,675.0,9.0,8.0,13.0,5.0,28.0,1.0,3.0,436.0,9.0,9.0,17.0,135.0,32.0,1.0,5.0,21.0,8.0,3.0,16.0,1.0,5.0,5.0,,1.0,,,,1.0,,2.0,1.0,3.0,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,3.0,1.0,,,1.0,1.0,,,,1.0,,1.0,2.0,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,
23,919120,2018-01-13 17:30:00,"Wembley Stadium, London",76251,Home,Tottenham Hotspur,Everton,4,0,W,1,0,0,0,,1.0,4.0,71.0,1.0,41.0,22.0,7.0,7.0,13.0,,1.0,5.0,205.0,2.0,2.0,18.0,4.0,3.0,17.0,10.0,136.0,159.0,72.0,20.0,3.0,16.0,3.0,1.0,,4.0,5.0,2.0,18.0,,10.0,3.0,22.0,3.0,5.0,29.0,,257.0,1.0,0.0,174.0,11.0,,2.0,2.0,1.0,68.0,73.0,11.0,87.0,,2.0,15.0,16.0,7.0,5.0,,159.0,6.0,4.0,1.0,151.0,785.0,12.0,6.0,24.0,1.0,7.0,463.0,25.0,5.0,15.0,4.0,,0.0,6.0,26.0,555.0,76.0,1.0,1.0,93264,7.0,229.0,3.0,8.0,,1.0,248.0,6.0,3.0,16.0,4.0,51.0,3.0,,2.0,4.0,4.0,21.0,3.0,71.0,484.0,15.0,7.0,1.0,22.0,87.0,,1.0,0.0,2.0,3.0,,4.0,1.0,0.0,2.0,2.0,1.0,61.5,20.0,1.0,4.0,3.0,4.0,4.0,57.0,3.0,1.0,579.0,7.0,11.0,17.0,6.0,32.0,,5.0,349.0,12.0,5.0,22.0,126.0,37.0,2.0,15.0,18.0,19.0,3.0,24.0,2.0,7.0,3.0,,,1.0,,,1.0,,2.0,,3.0,,,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,919129,2018-01-21 16:00:00,"St. Mary's Stadium, Southampton",31361,Away,Tottenham Hotspur,Southampton,1,1,D,1,1,0,0,,,1.0,69.0,4.0,22.0,18.0,6.0,6.0,11.0,4.0,,1.0,171.0,1.0,8.0,7.0,1.0,1.0,15.0,2.0,114.0,153.0,46.0,17.0,1.0,10.0,,1.0,,,1.0,1.0,24.0,1.0,10.0,1.0,18.0,7.0,7.0,17.0,,219.0,,0.0,147.0,15.0,2.0,,1.0,,63.0,49.0,7.0,66.0,2.0,7.0,17.0,27.0,6.0,5.0,4.0,153.0,1.0,4.0,,140.0,684.0,14.0,1.0,39.0,1.0,11.0,386.0,33.0,4.0,13.0,1.0,,3.0,8.0,24.0,469.0,57.0,,,93264,6.0,196.0,,11.0,,,226.0,8.0,,27.0,9.0,55.0,1.0,,1.0,2.0,,16.0,8.0,49.0,407.0,7.0,10.0,,21.0,63.0,,1.0,0.0,2.0,2.0,,1.0,,0.0,3.0,1.0,2.0,58.9,13.0,1.0,4.0,1.0,2.0,5.0,41.0,9.0,,491.0,11.0,11.0,9.0,10.0,37.0,5.0,5.0,289.0,7.0,7.0,16.0,112.0,25.0,,13.0,16.0,14.0,3.0,17.0,,9.0,9.0,,3.0,2.0,1.0,,,,1.0,,7.0,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,4.0,1.0,,,,,,,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,,,
25,919142,2018-01-31 20:00:00,"Wembley Stadium, London",81978,Home,Tottenham Hotspur,Manchester United,2,0,W,2,0,0,0,,2.0,,76.0,3.0,21.0,19.0,10.0,4.0,12.0,3.0,1.0,3.0,181.0,,3.0,15.0,2.0,2.0,18.0,6.0,140.0,154.0,64.0,22.0,4.0,15.0,4.0,,1.0,,1.0,4.0,16.0,,14.0,1.0,19.0,5.0,7.0,30.0,,274.0,1.0,0.0,191.0,10.0,3.0,1.0,1.0,,48.0,91.0,10.0,69.0,5.0,,11.0,18.0,10.0,1.0,5.0,154.0,2.0,5.0,,137.0,744.0,16.0,3.0,24.0,,18.0,412.0,23.0,5.0,6.0,,1.0,2.0,8.0,18.0,500.0,73.0,2.0,1.0,93264,6.0,161.0,2.0,9.0,,2.0,178.0,8.0,,18.0,3.0,59.0,3.0,,1.0,4.0,1.0,12.0,3.0,52.0,432.0,13.0,9.0,2.0,21.0,85.0,2.0,2.0,0.0,4.0,3.0,3.0,2.0,,0.0,2.0,,1.0,52.6,14.0,1.0,6.0,1.0,4.0,7.0,56.0,6.0,,527.0,18.0,15.0,17.0,9.0,43.0,1.0,4.0,365.0,17.0,6.0,11.0,138.0,40.0,2.0,6.0,26.0,19.0,3.0,25.0,2.0,7.0,6.0,,,5.0,,,2.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,5.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,919149,2018-02-04 16:30:00,"Anfield, Liverpool",53213,Away,Tottenham Hotspur,Liverpool,2,2,D,0,1,0,0,,1.0,1.0,73.0,3.0,41.0,18.0,5.0,2.0,8.0,1.0,,2.0,201.0,,2.0,10.0,2.0,4.0,7.0,6.0,163.0,178.0,57.0,13.0,2.0,14.0,3.0,,2.0,,3.0,1.0,27.0,,8.0,1.0,18.0,6.0,9.0,48.0,,233.0,,0.0,175.0,9.0,1.0,,4.0,1.0,60.0,69.0,6.0,85.0,2.0,,21.0,23.0,5.0,4.0,1.0,178.0,2.0,6.0,,141.0,777.0,4.0,6.0,22.0,,6.0,454.0,33.0,3.0,5.0,,2.0,1.0,1.0,20.0,567.0,81.0,1.0,1.0,93264,4.0,242.0,3.0,13.0,,2.0,269.0,5.0,2.0,23.0,8.0,52.0,3.0,,2.0,8.0,1.0,13.0,6.0,79.0,473.0,15.0,13.0,3.0,18.0,82.0,,1.0,0.0,,3.0,1.0,1.0,4.0,0.0,1.0,,2.0,65.9,16.0,1.0,2.0,2.0,8.0,5.0,46.0,7.0,1.0,590.0,6.0,14.0,21.0,2.0,45.0,1.0,1.0,348.0,9.0,9.0,16.0,113.0,28.0,1.0,5.0,16.0,6.0,3.0,13.0,1.0,3.0,7.0,,,1.0,,,1.0,1.0,2.0,,3.0,2.0,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,2.0,1.0,,,1.0,,,,
