gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attFreekickPost,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,lostCorners,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attCmissRight,attBxRight,attMissHighRight,goodHighClaim,attOboxMiss,bigChanceCreated,errorLeadToShot,bigChanceMissed,attCmissHigh,attMissHigh,overrun,possWonAtt3rd,totalHighClaim,attGoalLowRight,attRfTarget,attSvHighRight,ptsGainedLosingPos,attMissHighLeft,accurateThroughBall,totalThroughBall,savedIbox,attLfTarget,bigChanceScored,attGoalLowCentre,cleanSheet,attOboxGoal,attSvLowLeft,shieldBallOop,clearanceOffLine,handBall,attOboxTarget,attSvLowRight,ptsDroppedWinningPos,accurateKeeperSweeper,totalKeeperSweeper,foulThrowIn,accuratePullBack,totalPullBack,attPostRight,errorLeadToGoal,attLgCentre,sixYardBlock,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attGoalHighCentre,attOneOnOne,midfielderGoals,attIboxPost,attFreekickTarget,shotFastbreak,totalFastbreak,attHdPost,attFastbreak,attPostHigh,attSvHighLeft,contentiousDecision,attCmissHighLeft,attFreekickGoal,attCmissHighRight,penaltySave,goalsConcededObox,goalAssistDeadball,ownGoals,attIboxOwnGoal
11,918998,2017-11-04 15:00:00,"St. Mary's Stadium, Southampton",30491,Away,Burnley,Southampton,1,0,W,0,0,0,0,52.0,,1.0,,27.0,35.0,3.0,3.0,2.0,3.0,,146.0,2.0,7.0,1.0,,4.0,1.0,73.0,148.0,45.0,,5.0,1.0,16.0,,,1.0,,,11.0,7.0,,35.0,1.0,14.0,32.0,130.0,0.0,112.0,4.0,3.0,,57.0,61.0,2.0,53.0,4.0,,,10.0,18.0,3.0,,6.0,148.0,11.0,,72.0,516.0,3.0,12.0,8.0,,,11.0,232.0,29.0,2.0,20.0,1.0,0.0,4.0,2.0,32.0,326.0,69.0,,98747,1.0,111.0,4.0,,132.0,2.0,,18.0,8.0,45.0,,1.0,3.0,1.0,11.0,2.0,2.0,69.0,239.0,4.0,11.0,,17.0,77.0,,,1.0,0.0,9.0,1.0,,,4.0,0.0,2.0,1.0,1.0,37.2,25.0,,1.0,,3.0,2.0,28.0,1.0,344.0,11.0,12.0,9.0,2.0,16.0,,,223.0,1.0,12.0,23.0,62.0,12.0,,2.0,20.0,11.0,1.0,,5.0,2.0,10.0,2.0,8.0,1.0,1.0,,,,2.0,2.0,,,,,,,3.0,3.0,1.0,,,,2.0,,,2.0,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,919006,2017-11-18 15:00:00,"Turf Moor, Burnley",18895,Home,Burnley,Swansea City,2,0,W,2,0,0,0,56.0,1.0,,,27.0,18.0,5.0,7.0,12.0,1.0,,142.0,5.0,6.0,2.0,,13.0,7.0,50.0,143.0,60.0,,17.0,1.0,22.0,2.0,,2.0,3.0,1.0,27.0,15.0,,18.0,8.0,6.0,22.0,117.0,0.0,100.0,12.0,,,54.0,34.0,9.0,50.0,1.0,,3.0,19.0,19.0,5.0,,4.0,143.0,8.0,,54.0,482.0,9.0,10.0,28.0,1.0,,8.0,194.0,21.0,12.0,8.0,2.0,1.0,3.0,4.0,16.0,264.0,56.0,,98747,8.0,92.0,15.0,,110.0,6.0,1.0,19.0,14.0,58.0,,3.0,3.0,2.0,11.0,6.0,3.0,71.0,204.0,10.0,15.0,2.0,37.0,77.0,,,1.0,0.0,6.0,1.0,,,3.0,0.0,3.0,1.0,3.0,39.2,12.0,1.0,2.0,,3.0,6.0,29.0,8.0,296.0,8.0,7.0,11.0,4.0,39.0,2.0,4.0,213.0,6.0,4.0,24.0,59.0,20.0,1.0,1.0,8.0,23.0,1.0,,14.0,1.0,9.0,1.0,10.0,8.0,5.0,1.0,,,2.0,,2.0,,1.0,,,1.0,1.0,2.0,1.0,2.0,,,,,,1.0,2.0,1.0,,1.0,1.0,2.0,,,1.0,3.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
13,919013,2017-11-26 14:00:00,"Turf Moor, Burnley",21722,Home,Burnley,Arsenal,0,1,L,0,0,0,0,58.0,,1.0,,30.0,33.0,5.0,3.0,3.0,1.0,,147.0,4.0,9.0,,4.0,6.0,2.0,71.0,132.0,54.0,1.0,8.0,2.0,24.0,,1.0,,,1.0,19.0,12.0,,33.0,5.0,9.0,20.0,148.0,0.0,118.0,8.0,1.0,1.0,39.0,66.0,3.0,52.0,2.0,,,14.0,12.0,5.0,1.0,7.0,132.0,9.0,,80.0,532.0,5.0,12.0,8.0,,1.0,11.0,250.0,29.0,12.0,12.0,,2.0,7.0,3.0,9.0,321.0,55.0,,98747,1.0,125.0,6.0,,137.0,3.0,,12.0,11.0,57.0,,4.0,6.0,,17.0,9.0,7.0,68.0,269.0,14.0,14.0,1.0,36.0,73.0,,,1.0,0.0,5.0,,,1.0,4.0,0.0,2.0,,1.0,36.3,7.0,1.0,,,6.0,3.0,39.0,5.0,350.0,11.0,7.0,7.0,3.0,26.0,2.0,1.0,232.0,4.0,8.0,19.0,70.0,15.0,,,12.0,13.0,,1.0,5.0,1.0,13.0,,8.0,5.0,1.0,,1.0,,1.0,1.0,,,,,,2.0,6.0,1.0,,,1.0,,1.0,,,,2.0,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
14,919023,2017-11-29 19:45:00,"Vitality Stadium, Bournemouth",10302,Away,Burnley,Bournemouth,2,1,W,1,0,0,0,73.0,,,,45.0,30.0,5.0,3.0,5.0,1.0,,166.0,3.0,3.0,2.0,2.0,7.0,4.0,57.0,155.0,52.0,1.0,10.0,2.0,27.0,1.0,1.0,1.0,1.0,1.0,20.0,16.0,1.0,30.0,5.0,10.0,40.0,140.0,0.0,125.0,11.0,1.0,1.0,52.0,69.0,5.0,64.0,1.0,,,15.0,14.0,5.0,1.0,6.0,155.0,6.0,,58.0,543.0,6.0,12.0,11.0,1.0,1.0,17.0,229.0,26.0,11.0,18.0,1.0,1.0,5.0,2.0,21.0,318.0,84.0,,98747,4.0,110.0,8.0,1.0,123.0,3.0,2.0,14.0,9.0,57.0,,1.0,2.0,2.0,15.0,5.0,7.0,96.0,247.0,9.0,5.0,,37.0,102.0,,,,0.0,4.0,1.0,,1.0,1.0,0.0,1.0,,2.0,37.9,11.0,,1.0,1.0,2.0,4.0,45.0,6.0,345.0,17.0,10.0,15.0,2.0,23.0,2.0,,242.0,5.0,10.0,18.0,72.0,30.0,1.0,5.0,18.0,22.0,,1.0,7.0,3.0,7.0,5.0,8.0,6.0,2.0,,,,1.0,1.0,,,,,,,5.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
15,919038,2017-12-02 15:00:00,"King Power Stadium, Leicester",30714,Away,Burnley,Leicester City,0,1,L,0,1,0,0,55.0,,1.0,,19.0,27.0,5.0,4.0,9.0,2.0,,161.0,10.0,3.0,,,12.0,4.0,73.0,149.0,50.0,,14.0,2.0,25.0,2.0,,,1.0,1.0,24.0,15.0,,27.0,7.0,9.0,25.0,147.0,0.0,102.0,11.0,2.0,1.0,53.0,53.0,6.0,69.0,2.0,,3.0,17.0,19.0,5.0,,9.0,149.0,8.0,,79.0,581.0,9.0,10.0,18.0,,,6.0,277.0,22.0,4.0,8.0,,2.0,7.0,6.0,20.0,367.0,65.0,,98747,6.0,145.0,7.0,,176.0,7.0,,19.0,7.0,52.0,,6.0,8.0,,15.0,8.0,2.0,57.0,282.0,3.0,9.0,3.0,21.0,75.0,,,2.0,0.0,10.0,,,1.0,6.0,0.0,6.0,,5.0,48.4,17.0,5.0,1.0,,9.0,3.0,35.0,7.0,382.0,6.0,6.0,10.0,7.0,31.0,4.0,6.0,230.0,5.0,8.0,21.0,62.0,12.0,,4.0,8.0,23.0,,1.0,10.0,3.0,4.0,4.0,11.0,7.0,1.0,2.0,1.0,,4.0,1.0,,,,,2.0,3.0,7.0,4.0,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,2.0,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
16,919043,2017-12-09 15:00:00,"Turf Moor, Burnley",19479,Home,Burnley,Watford,1,0,W,1,0,0,1,60.0,,,,34.0,38.0,4.0,6.0,4.0,2.0,1.0,163.0,5.0,5.0,1.0,4.0,6.0,5.0,82.0,171.0,66.0,2.0,8.0,,34.0,2.0,,1.0,,,23.0,5.0,,38.0,3.0,7.0,17.0,157.0,0.0,146.0,10.0,1.0,1.0,85.0,47.0,5.0,58.0,2.0,,1.0,20.0,19.0,4.0,2.0,6.0,171.0,7.0,,74.0,565.0,5.0,16.0,20.0,,,13.0,238.0,17.0,18.0,25.0,1.0,1.0,1.0,1.0,18.0,352.0,73.0,1.0,98747,2.0,99.0,13.0,,113.0,7.0,,19.0,10.0,58.0,,6.0,2.0,1.0,9.0,4.0,3.0,68.0,251.0,12.0,4.0,,40.0,86.0,,,,0.0,5.0,1.0,,,1.0,0.0,4.0,,,49.0,17.0,,,,2.0,1.0,46.0,3.0,377.0,13.0,6.0,9.0,2.0,37.0,1.0,,287.0,2.0,7.0,41.0,75.0,30.0,,4.0,25.0,8.0,,,6.0,2.0,9.0,4.0,10.0,3.0,1.0,,2.0,,1.0,2.0,,,,1.0,1.0,1.0,6.0,1.0,1.0,1.0,,,,,,2.0,3.0,,,1.0,,2.0,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,
17,919053,2017-12-12 19:45:00,"Turf Moor, Burnley",19909,Home,Burnley,Stoke City,1,0,W,0,0,0,0,68.0,,5.0,,24.0,36.0,4.0,2.0,6.0,7.0,,179.0,6.0,2.0,1.0,2.0,6.0,2.0,69.0,195.0,57.0,,10.0,1.0,44.0,,,1.0,,2.0,17.0,9.0,,36.0,4.0,14.0,31.0,132.0,0.0,141.0,6.0,1.0,2.0,45.0,47.0,2.0,56.0,1.0,,1.0,13.0,17.0,4.0,,4.0,195.0,6.0,,88.0,599.0,2.0,10.0,20.0,,,11.0,243.0,22.0,12.0,27.0,1.0,0.0,1.0,4.0,32.0,367.0,83.0,2.0,98747,4.0,125.0,7.0,3.0,147.0,2.0,1.0,17.0,6.0,73.0,,4.0,1.0,1.0,12.0,8.0,1.0,90.0,251.0,12.0,6.0,3.0,56.0,104.0,,,,0.0,4.0,1.0,,,2.0,0.0,5.0,1.0,2.0,51.0,23.0,2.0,1.0,,1.0,3.0,40.0,6.0,392.0,11.0,11.0,12.0,5.0,37.0,1.0,3.0,262.0,5.0,10.0,31.0,56.0,27.0,,1.0,27.0,14.0,,,4.0,3.0,8.0,1.0,9.0,6.0,2.0,1.0,1.0,,1.0,2.0,,,,,,1.0,6.0,1.0,1.0,1.0,,,2.0,,,2.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
18,919065,2017-12-16 15:00:00,"Amex Stadium, Falmer",29921,Away,Burnley,Brighton and Hove Albion,0,0,D,0,0,0,0,69.0,,,,29.0,28.0,3.0,6.0,8.0,1.0,,161.0,5.0,11.0,,2.0,8.0,7.0,69.0,159.0,67.0,,11.0,2.0,32.0,6.0,,,3.0,,15.0,9.0,,28.0,2.0,12.0,27.0,112.0,0.0,98.0,13.0,1.0,2.0,36.0,45.0,8.0,65.0,1.0,,,13.0,17.0,3.0,,3.0,159.0,8.0,,63.0,535.0,7.0,15.0,19.0,1.0,,10.0,233.0,27.0,14.0,16.0,,2.0,4.0,,15.0,332.0,66.0,1.0,98747,7.0,136.0,8.0,1.0,159.0,8.0,,17.0,8.0,63.0,,2.0,2.0,,12.0,4.0,3.0,81.0,243.0,12.0,9.0,1.0,45.0,89.0,,,,0.0,8.0,,,,4.0,0.0,3.0,,1.0,42.2,8.0,,1.0,,2.0,4.0,33.0,2.0,358.0,10.0,9.0,7.0,,26.0,2.0,,214.0,4.0,10.0,36.0,44.0,28.0,,6.0,16.0,12.0,,,9.0,2.0,13.0,6.0,8.0,2.0,2.0,,,,4.0,,1.0,,2.0,,,2.0,3.0,4.0,,3.0,,,,1.0,1.0,2.0,3.0,,,1.0,,1.0,2.0,1.0,,1.0,2.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,
19,919075,2017-12-23 17:30:00,"Turf Moor, Burnley",21650,Home,Burnley,Tottenham Hotspur,0,3,L,0,1,0,0,75.0,,1.0,,24.0,29.0,1.0,1.0,4.0,5.0,,162.0,5.0,6.0,,1.0,4.0,2.0,63.0,168.0,44.0,,5.0,,33.0,2.0,,,,1.0,18.0,5.0,,29.0,4.0,7.0,19.0,101.0,0.0,99.0,10.0,2.0,2.0,45.0,44.0,1.0,70.0,1.0,,,14.0,16.0,1.0,,5.0,168.0,12.0,,55.0,529.0,2.0,14.0,12.0,1.0,,12.0,221.0,33.0,10.0,18.0,,1.0,5.0,3.0,24.0,321.0,66.0,1.0,98747,2.0,137.0,7.0,1.0,166.0,5.0,,16.0,8.0,59.0,,5.0,,,14.0,6.0,2.0,87.0,233.0,9.0,9.0,2.0,57.0,90.0,,,,0.0,4.0,,,3.0,5.0,0.0,4.0,,2.0,40.4,17.0,1.0,1.0,,,,28.0,4.0,350.0,12.0,6.0,12.0,3.0,30.0,1.0,2.0,202.0,2.0,6.0,21.0,44.0,26.0,,,18.0,11.0,,3.0,3.0,3.0,9.0,,7.0,4.0,,,1.0,,,1.0,,,,1.0,1.0,3.0,5.0,,,1.0,,,1.0,,,4.0,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,
20,919088,2017-12-26 15:00:00,"Old Trafford, Manchester",75046,Away,Burnley,Manchester United,2,2,D,2,0,0,0,61.0,1.0,1.0,1.0,20.0,56.0,1.0,,2.0,3.0,,142.0,1.0,3.0,2.0,3.0,2.0,2.0,42.0,148.0,46.0,1.0,3.0,,33.0,,1.0,,,,9.0,12.0,,56.0,2.0,8.0,26.0,60.0,0.0,81.0,14.0,2.0,1.0,19.0,53.0,1.0,42.0,1.0,,,7.0,9.0,1.0,1.0,3.0,148.0,15.0,,44.0,462.0,1.0,14.0,6.0,,1.0,6.0,148.0,29.0,13.0,29.0,1.0,7.0,11.0,1.0,18.0,240.0,58.0,,98747,1.0,98.0,3.0,1.0,130.0,6.0,2.0,9.0,7.0,66.0,,1.0,1.0,,10.0,9.0,3.0,82.0,157.0,10.0,10.0,,48.0,82.0,1.0,,3.0,0.0,12.0,1.0,,2.0,3.0,0.0,1.0,,,28.7,14.0,,,,1.0,,24.0,2.0,270.0,6.0,9.0,8.0,1.0,23.0,,,149.0,3.0,7.0,21.0,31.0,17.0,1.0,6.0,29.0,14.0,,2.0,1.0,2.0,5.0,6.0,2.0,2.0,,,,,5.0,,1.0,,,,,1.0,,5.0,,,,,,,,3.0,,1.0,,,1.0,,,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,
21,919096,2017-12-30 15:00:00,"John Smith's Stadium, Huddersfield",24095,Away,Burnley,Huddersfield Town,0,0,D,0,0,0,0,63.0,,1.0,,23.0,22.0,2.0,3.0,9.0,1.0,,151.0,5.0,8.0,,3.0,9.0,4.0,55.0,161.0,62.0,1.0,11.0,1.0,31.0,3.0,,,3.0,2.0,12.0,12.0,,22.0,4.0,3.0,15.0,118.0,0.0,132.0,14.0,,2.0,41.0,47.0,4.0,49.0,1.0,,2.0,8.0,13.0,2.0,1.0,1.0,161.0,,,39.0,483.0,7.0,9.0,22.0,1.0,,13.0,170.0,23.0,7.0,8.0,,1.0,,5.0,29.0,266.0,80.0,1.0,98747,7.0,66.0,5.0,1.0,88.0,6.0,,13.0,12.0,69.0,,3.0,4.0,,13.0,3.0,2.0,77.0,179.0,14.0,10.0,2.0,43.0,85.0,,2.0,1.0,0.0,5.0,,,,2.0,0.0,3.0,,4.0,43.1,22.0,3.0,,,4.0,2.0,35.0,4.0,294.0,13.0,10.0,5.0,5.0,23.0,2.0,5.0,218.0,4.0,2.0,24.0,68.0,23.0,,4.0,8.0,17.0,,,8.0,2.0,14.0,4.0,6.0,4.0,1.0,1.0,1.0,,1.0,,2.0,,2.0,,1.0,,4.0,1.0,,1.0,,,,,,,2.0,,,1.0,,1.0,1.0,,2.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
22,919105,2018-01-01 15:00:00,"Turf Moor, Burnley",21756,Home,Burnley,Liverpool,1,2,L,0,0,0,0,78.0,,2.0,,24.0,27.0,4.0,5.0,9.0,3.0,,160.0,5.0,6.0,1.0,1.0,11.0,4.0,82.0,159.0,60.0,1.0,13.0,2.0,23.0,2.0,,1.0,,2.0,17.0,9.0,,27.0,1.0,9.0,34.0,137.0,0.0,117.0,4.0,2.0,,40.0,57.0,6.0,60.0,2.0,,2.0,16.0,10.0,4.0,1.0,5.0,159.0,10.0,,75.0,555.0,9.0,9.0,18.0,2.0,,11.0,248.0,34.0,9.0,11.0,1.0,0.0,6.0,5.0,18.0,346.0,74.0,,98747,6.0,134.0,11.0,1.0,150.0,3.0,,10.0,10.0,47.0,,1.0,,1.0,16.0,9.0,6.0,86.0,266.0,11.0,7.0,1.0,45.0,101.0,,2.0,,0.0,9.0,1.0,,2.0,1.0,0.0,4.0,,6.0,42.1,15.0,3.0,1.0,,,3.0,42.0,3.0,377.0,11.0,8.0,12.0,6.0,28.0,1.0,5.0,244.0,2.0,8.0,30.0,59.0,32.0,,3.0,11.0,13.0,1.0,2.0,8.0,2.0,12.0,3.0,6.0,3.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,,,2.0,4.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,1.0,,,,2.0,1.0,,1.0,1.0,,,3.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
23,919115,2018-01-13 15:00:00,"Selhurst Park, London",24696,Away,Burnley,Crystal Palace,0,1,L,0,1,0,0,63.0,,,,47.0,21.0,3.0,1.0,5.0,1.0,,175.0,7.0,8.0,,3.0,7.0,2.0,88.0,165.0,77.0,,8.0,1.0,35.0,1.0,,,1.0,2.0,20.0,10.0,,21.0,2.0,4.0,38.0,163.0,0.0,143.0,10.0,,3.0,68.0,63.0,3.0,75.0,,,2.0,18.0,22.0,3.0,,6.0,165.0,13.0,,77.0,615.0,7.0,11.0,17.0,,,5.0,296.0,21.0,14.0,7.0,,3.0,7.0,4.0,23.0,386.0,76.0,,98747,5.0,154.0,9.0,2.0,178.0,6.0,,22.0,11.0,68.0,,4.0,3.0,,21.0,4.0,6.0,87.0,310.0,16.0,6.0,,36.0,85.0,,,,0.0,3.0,,,1.0,4.0,0.0,6.0,,4.0,55.8,21.0,4.0,,1.0,3.0,1.0,41.0,2.0,415.0,5.0,11.0,23.0,5.0,40.0,1.0,4.0,257.0,3.0,3.0,36.0,90.0,28.0,,4.0,7.0,19.0,,1.0,6.0,2.0,15.0,4.0,9.0,2.0,,2.0,,1.0,,1.0,2.0,,2.0,,,2.0,5.0,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
24,919125,2018-01-20 15:00:00,"Turf Moor, Burnley",21841,Home,Burnley,Manchester United,0,1,L,0,0,0,0,71.0,,,,22.0,23.0,3.0,3.0,11.0,1.0,,175.0,7.0,9.0,,2.0,10.0,3.0,98.0,162.0,58.0,1.0,14.0,1.0,34.0,2.0,1.0,,1.0,2.0,23.0,18.0,,23.0,5.0,10.0,37.0,167.0,0.0,140.0,7.0,,1.0,48.0,52.0,4.0,67.0,,1.0,3.0,18.0,21.0,3.0,1.0,5.0,162.0,7.0,,83.0,618.0,6.0,2.0,24.0,1.0,1.0,6.0,300.0,31.0,5.0,9.0,,3.0,6.0,6.0,20.0,399.0,86.0,1.0,98747,7.0,149.0,12.0,4.0,162.0,2.0,,21.0,9.0,66.0,,1.0,4.0,,14.0,5.0,,71.0,309.0,13.0,13.0,4.0,27.0,87.0,,,,0.0,4.0,,1.0,1.0,1.0,0.0,5.0,,6.0,48.2,17.0,5.0,1.0,,4.0,3.0,38.0,5.0,423.0,6.0,10.0,18.0,8.0,38.0,2.0,7.0,284.0,4.0,10.0,12.0,68.0,27.0,,2.0,9.0,24.0,,1.0,6.0,3.0,12.0,2.0,9.0,5.0,2.0,1.0,2.0,,1.0,,,,,,1.0,1.0,7.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
25,919139,2018-01-31 19:45:00,"St. James' Park, Newcastle",50174,Away,Burnley,Newcastle United,1,1,D,0,0,0,0,62.0,,1.0,,40.0,28.0,5.0,5.0,6.0,3.0,,173.0,2.0,5.0,1.0,1.0,10.0,2.0,65.0,175.0,69.0,,11.0,1.0,42.0,2.0,,,1.0,3.0,17.0,13.0,,28.0,4.0,7.0,41.0,143.0,0.0,125.0,15.0,3.0,,92.0,47.0,4.0,51.0,,,2.0,13.0,24.0,5.0,,5.0,175.0,9.0,,75.0,571.0,8.0,12.0,18.0,1.0,1.0,10.0,224.0,16.0,12.0,17.0,,2.0,3.0,6.0,33.0,328.0,61.0,,98747,2.0,100.0,8.0,2.0,122.0,6.0,,24.0,11.0,80.0,,,2.0,,10.0,5.0,4.0,90.0,241.0,15.0,8.0,2.0,39.0,92.0,,1.0,,0.0,7.0,1.0,,1.0,7.0,0.0,,,1.0,47.5,24.0,,,,2.0,3.0,37.0,4.0,364.0,10.0,13.0,20.0,6.0,33.0,2.0,2.0,259.0,3.0,7.0,33.0,73.0,35.0,,5.0,17.0,18.0,,1.0,6.0,3.0,9.0,5.0,10.0,4.0,2.0,1.0,2.0,,1.0,4.0,2.0,,2.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,2.0,1.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
26,919146,2018-02-03 12:30:00,"Turf Moor, Burnley",21658,Home,Burnley,Manchester City,1,1,D,0,1,0,0,48.0,,3.0,,26.0,26.0,2.0,3.0,6.0,6.0,1.0,130.0,5.0,3.0,1.0,1.0,7.0,3.0,52.0,134.0,32.0,,8.0,1.0,13.0,2.0,,1.0,,1.0,13.0,5.0,,26.0,3.0,6.0,21.0,107.0,0.0,109.0,9.0,3.0,1.0,38.0,61.0,4.0,46.0,7.0,,,10.0,21.0,2.0,,4.0,134.0,10.0,,50.0,453.0,4.0,16.0,17.0,,1.0,22.0,168.0,18.0,11.0,13.0,1.0,4.0,7.0,3.0,24.0,258.0,66.0,,98747,5.0,76.0,5.0,1.0,92.0,4.0,,21.0,8.0,41.0,,1.0,3.0,1.0,7.0,10.0,5.0,69.0,178.0,5.0,7.0,2.0,41.0,70.0,,1.0,,0.0,13.0,1.0,,1.0,7.0,0.0,3.0,1.0,2.0,29.2,20.0,2.0,,,3.0,1.0,33.0,3.0,278.0,22.0,9.0,9.0,4.0,21.0,2.0,3.0,199.0,3.0,6.0,15.0,51.0,14.0,,5.0,13.0,9.0,,,5.0,1.0,7.0,5.0,8.0,3.0,,,,,,1.0,1.0,,,,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,
27,919160,2018-02-10 15:00:00,"Liberty Stadium, Swansea",20179,Away,Burnley,Swansea City,0,1,L,0,0,0,0,57.0,,1.0,,37.0,30.0,8.0,6.0,5.0,3.0,,147.0,4.0,2.0,,3.0,9.0,1.0,76.0,145.0,61.0,1.0,13.0,4.0,34.0,1.0,,,,3.0,14.0,12.0,,30.0,2.0,12.0,21.0,128.0,0.0,114.0,9.0,1.0,1.0,45.0,35.0,2.0,53.0,4.0,,1.0,12.0,11.0,8.0,1.0,7.0,145.0,8.0,,76.0,522.0,6.0,16.0,12.0,,,11.0,230.0,29.0,11.0,16.0,,1.0,7.0,7.0,19.0,324.0,74.0,1.0,98747,3.0,119.0,4.0,3.0,141.0,6.0,,11.0,12.0,57.0,,,1.0,,10.0,5.0,7.0,95.0,243.0,9.0,2.0,3.0,54.0,97.0,,1.0,,0.0,5.0,,,1.0,7.0,0.0,2.0,,3.0,42.7,16.0,3.0,1.0,,1.0,4.0,51.0,2.0,352.0,11.0,8.0,13.0,8.0,25.0,2.0,4.0,225.0,4.0,9.0,36.0,60.0,17.0,,6.0,16.0,17.0,,,8.0,3.0,6.0,6.0,3.0,2.0,,1.0,1.0,1.0,1.0,4.0,,,,,2.0,1.0,2.0,1.0,,,1.0,,1.0,,,2.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
