gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attFreekickTotal,attOboxBlocked,attSvLowCentre,attOboxTarget,freekickCross,goodHighClaim,freekickTotal,secondYellow,attLgCentre,accurateThroughBall,attSetpiece,penaltyConceded,attCmissHigh,totalThroughBall,attSvLowRight,attPostHigh,goalsConceded,shieldBallOop,penaltyFaced,totalHighClaim,penGoalsConceded,attFreekickMiss,goalsConcededIbox,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,attCmissRight,shotFastbreak,attBxRight,attOneOnOne,attOboxGoal,ptsGainedLosingPos,totalFastbreak,midfielderGoals,interceptionsInBox,attMissRight,goalAssist,attRfGoal,attFastbreak,goalAssistIntentional,attSvHighCentre,clearanceOffLine,ptsDroppedWinningPos,handBall,accuratePullBack,attSvHighRight,sixYardBlock,totalPullBack,defenderGoals,attGoalHighCentre,accurateFreekickCross,attFreekickTarget,attHdTotal,attHdMiss,accurateKeeperSweeper,totalKeeperSweeper,attHdTarget,attGoalLowRight,goalAssistOpenplay,goalFastbreak,attSvHighLeft,attMissHighLeft,ownGoals,attCmissHighLeft,attOboxPost,forwardGoals,attIboxOwnGoal,errorLeadToShot,goalsConcededObox,attGoalHighRight,attGoalLowCentre,penaltyWon,contentiousDecision,attPenGoal,attHdGoal,attFreekickPost,attGoalHighLeft,attHdPost,attPostRight,attCmissHighRight,foulThrowIn,attObxRight
11,2367641,2023-11-04 12:30:00,"Craven Cottage, London",24415,Home,Fulham,Manchester United,0,1,L,0,0,0,0,,67.0,,2.0,5.0,22.0,21.0,9.0,8.0,9.0,4.0,,2.0,140.0,4.0,10.0,,1.0,12.0,3.0,78.0,160.0,58.0,18.0,20.0,2.0,,1.0,19.0,,9.0,21.0,7.0,6.0,37.0,115.0,2.0,,0.0,114.0,9.0,3.0,1.0,40.0,41.0,7.0,62.0,12.0,24.0,9.0,3.0,6.0,160.0,1.0,6.0,,,83.0,565.0,8.0,2.0,20.0,,9.0,241.0,33.0,2.0,6.0,5.0,2.0,5.0,19.0,334.0,60.0,96994,5.0,149.0,1.0,9.0,180.0,5.0,9.0,9.0,49.0,1.0,2.0,,20.0,6.0,5.0,2.0,61.0,260.0,15.0,7.0,4.0,21.0,6.0,66.0,1.0,,0.0,3.0,4.0,2.0,,1.0,0.0,1.0,45.0,14.0,5.0,1.0,2.0,7.0,29.0,9.0,363.0,9.0,6.0,19.0,8.0,30.0,3.0,2.0,202.0,7.0,5.0,19.0,59.0,21.0,,6.0,14.0,9.0,5.0,17.0,,9.0,9.0,1.0,1.0,2.0,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,3.0,1.0,,,,3.0,,,1.0,,,3.0,,1.0,,,,,,1.0,1.0,,,,,3.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12,2367650,2023-11-12 14:00:00,"Villa Park, Birmingham",41608,Away,Fulham,Aston Villa,1,3,L,0,2,0,0,1.0,57.0,,1.0,,22.0,13.0,4.0,1.0,5.0,4.0,,4.0,132.0,4.0,12.0,1.0,,8.0,5.0,130.0,114.0,37.0,9.0,10.0,1.0,,,14.0,,6.0,13.0,2.0,6.0,38.0,172.0,1.0,,0.0,108.0,17.0,1.0,1.0,42.0,73.0,5.0,79.0,12.0,21.0,4.0,4.0,1.0,114.0,1.0,10.0,,,148.0,652.0,7.0,,11.0,2.0,13.0,400.0,25.0,2.0,5.0,5.0,1.0,3.0,12.0,475.0,45.0,96994,2.0,245.0,,8.0,272.0,12.0,12.0,3.0,45.0,7.0,5.0,1.0,13.0,3.0,3.0,,48.0,413.0,4.0,11.0,,10.0,,54.0,,,0.0,1.0,2.0,3.0,1.0,,0.0,4.0,49.3,12.0,6.0,1.0,5.0,,35.0,2.0,489.0,13.0,5.0,15.0,4.0,19.0,,3.0,231.0,7.0,6.0,6.0,70.0,21.0,1.0,5.0,15.0,9.0,5.0,14.0,1.0,12.0,2.0,,,,2.0,3.0,,,,,,2.0,,,,4.0,,,3.0,,,,,,2.0,,,,1.0,1.0,2.0,,,,1.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,
13,2367661,2023-11-27 20:00:00,"Craven Cottage, London",24366,Home,Fulham,Wolverhampton Wanderers,3,2,W,1,1,0,0,3.0,59.0,2.0,,1.0,29.0,14.0,6.0,6.0,6.0,4.0,1.0,2.0,211.0,4.0,4.0,3.0,4.0,8.0,6.0,184.0,150.0,45.0,12.0,6.0,1.0,,1.0,18.0,,7.0,14.0,2.0,6.0,53.0,245.0,,,0.0,170.0,13.0,3.0,,82.0,95.0,5.0,85.0,16.0,25.0,6.0,7.0,2.0,150.0,1.0,7.0,,,159.0,834.0,7.0,3.0,26.0,,16.0,519.0,21.0,6.0,5.0,2.0,,3.0,23.0,616.0,60.0,96994,6.0,298.0,,8.0,321.0,4.0,8.0,5.0,34.0,1.0,6.0,1.0,20.0,3.0,2.0,,55.0,539.0,13.0,5.0,,14.0,1.0,75.0,,,0.0,1.0,2.0,4.0,3.0,,0.0,4.0,59.8,20.0,5.0,,6.0,3.0,44.0,6.0,639.0,16.0,7.0,28.0,3.0,38.0,,1.0,336.0,6.0,6.0,11.0,119.0,25.0,,5.0,17.0,9.0,4.0,8.0,,8.0,6.0,1.0,,2.0,1.0,2.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,2.0,2.0,1.0,,1.0,,2.0,,,,2.0,,,,,,,3.0,3.0,2.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,3.0,3.0,,1.0,1.0,,,,,,,,,1.0,,,,2.0,1.0,2.0,,,,,,,,
14,2367673,2023-12-03 14:00:00,"Anfield, Liverpool",50143,Away,Fulham,Liverpool,3,4,L,2,2,0,0,2.0,70.0,1.0,5.0,2.0,25.0,31.0,2.0,4.0,7.0,9.0,1.0,,170.0,3.0,6.0,3.0,,7.0,5.0,89.0,157.0,49.0,9.0,12.0,2.0,,,10.0,,9.0,31.0,3.0,4.0,36.0,128.0,1.0,,0.0,115.0,7.0,3.0,1.0,65.0,51.0,6.0,53.0,7.0,28.0,2.0,1.0,1.0,157.0,1.0,16.0,1.0,,80.0,626.0,3.0,7.0,16.0,,33.0,266.0,30.0,13.0,11.0,0.0,6.0,1.0,20.0,361.0,46.0,96994,2.0,159.0,,6.0,203.0,5.0,12.0,10.0,42.0,1.0,5.0,2.0,17.0,11.0,3.0,,59.0,284.0,6.0,8.0,2.0,32.0,3.0,57.0,,,0.0,6.0,3.0,4.0,3.0,2.0,0.0,1.0,38.8,17.0,4.0,2.0,5.0,3.0,26.0,4.0,392.0,33.0,3.0,21.0,1.0,16.0,2.0,,199.0,2.0,3.0,15.0,83.0,23.0,1.0,11.0,22.0,6.0,5.0,18.0,1.0,12.0,4.0,1.0,,1.0,,,,,,,,,,,,,1.0,,4.0,1.0,,,,,2.0,,,,,,,,,,,1.0,3.0,,2.0,1.0,,2.0,,,3.0,,,,1.0,,1.0,,,,3.0,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,,1.0,,2.0,,1.0,,1.0,,1.0,,,,,,,
15,2367682,2023-12-06 19:30:00,"Craven Cottage, London",24105,Home,Fulham,Nottingham Forest,5,0,W,2,0,0,0,5.0,55.0,2.0,,2.0,39.0,8.0,5.0,4.0,9.0,1.0,1.0,1.0,204.0,2.0,5.0,5.0,2.0,10.0,6.0,179.0,133.0,53.0,14.0,9.0,1.0,1.0,,15.0,,20.0,8.0,4.0,10.0,32.0,301.0,,1.0,0.0,185.0,7.0,1.0,,112.0,95.0,9.0,139.0,12.0,14.0,5.0,1.0,2.0,133.0,4.0,3.0,,1.0,178.0,864.0,5.0,3.0,24.0,1.0,10.0,597.0,25.0,4.0,4.0,0.0,,1.0,19.0,681.0,66.0,96994,5.0,317.0,,11.0,341.0,5.0,9.0,4.0,34.0,2.0,4.0,5.0,19.0,1.0,4.0,,57.0,616.0,10.0,5.0,1.0,13.0,1.0,74.0,,1.0,0.0,,1.0,1.0,5.0,1.0,0.0,1.0,63.7,17.0,1.0,2.0,4.0,4.0,53.0,6.0,700.0,10.0,8.0,20.0,4.0,37.0,2.0,1.0,374.0,10.0,10.0,16.0,146.0,25.0,1.0,4.0,22.0,12.0,5.0,10.0,1.0,9.0,6.0,,1.0,2.0,1.0,,,,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,3.0,,2.0,4.0,4.0,,4.0,,,,,,,,1.0,,,,,,,3.0,3.0,,1.0,4.0,,,1.0,,,1.0,2.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,
16,2367692,2023-12-10 14:00:00,"Craven Cottage, London",23988,Home,Fulham,West Ham United,5,0,W,3,0,0,0,2.0,63.0,1.0,2.0,1.0,30.0,21.0,4.0,3.0,9.0,5.0,2.0,2.0,203.0,6.0,10.0,5.0,,14.0,8.0,228.0,120.0,54.0,14.0,5.0,2.0,,4.0,17.0,,9.0,21.0,3.0,6.0,46.0,301.0,1.0,1.0,0.0,163.0,5.0,4.0,1.0,94.0,60.0,9.0,120.0,14.0,18.0,5.0,5.0,3.0,120.0,4.0,5.0,2.0,,211.0,941.0,8.0,7.0,23.0,,8.0,667.0,27.0,1.0,11.0,2.0,1.0,5.0,20.0,746.0,59.0,96994,8.0,385.0,2.0,8.0,417.0,5.0,6.0,6.0,29.0,,3.0,4.0,14.0,4.0,6.0,,52.0,680.0,9.0,9.0,1.0,8.0,2.0,77.0,,3.0,0.0,2.0,6.0,3.0,4.0,3.0,0.0,4.0,63.2,19.0,6.0,1.0,3.0,1.0,57.0,3.0,762.0,8.0,5.0,29.0,5.0,30.0,2.0,2.0,362.0,8.0,5.0,14.0,129.0,25.0,2.0,11.0,21.0,12.0,5.0,15.0,2.0,6.0,3.0,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,,,,8.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,5.0,1.0,,3.0,,,,,1.0,,,3.0,1.0,,,,3.0,1.0,,,,1.0,4.0,,,,,,,1.0,,1.0,,1.0,,,,,2.0,,2.0,,,,,
17,2367705,2023-12-16 15:00:00,"St. James' Park, Newcastle",52055,Away,Fulham,Newcastle United,0,3,L,0,0,1,0,,43.0,,2.0,,12.0,26.0,3.0,,3.0,7.0,,3.0,113.0,2.0,3.0,,1.0,5.0,4.0,62.0,97.0,36.0,6.0,17.0,2.0,,1.0,10.0,,11.0,26.0,,5.0,18.0,99.0,,,0.0,76.0,12.0,2.0,1.0,34.0,34.0,3.0,49.0,10.0,13.0,3.0,4.0,1.0,97.0,,19.0,,,63.0,453.0,5.0,2.0,10.0,,12.0,209.0,24.0,,12.0,2.0,7.0,2.0,13.0,258.0,36.0,96994,3.0,124.0,1.0,5.0,141.0,12.0,10.0,14.0,51.0,,5.0,,9.0,8.0,4.0,,51.0,221.0,7.0,11.0,,23.0,,50.0,1.0,1.0,0.0,,5.0,5.0,,,1.0,2.0,29.2,10.0,2.0,,5.0,,16.0,1.0,287.0,12.0,5.0,13.0,2.0,15.0,,1.0,156.0,5.0,5.0,4.0,56.0,8.0,,12.0,22.0,6.0,5.0,9.0,,10.0,1.0,,,,2.0,2.0,1.0,1.0,,,,1.0,,,,2.0,,,3.0,,,1.0,,,3.0,,,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
18,2367710,2023-12-23 15:00:00,"Craven Cottage, London",23598,Home,Fulham,Burnley,0,2,L,0,0,0,0,,61.0,,,7.0,27.0,11.0,4.0,5.0,15.0,,,3.0,211.0,6.0,13.0,,3.0,14.0,5.0,198.0,161.0,57.0,19.0,10.0,4.0,,2.0,25.0,,7.0,11.0,5.0,6.0,56.0,278.0,,,0.0,191.0,5.0,,,91.0,85.0,10.0,98.0,20.0,30.0,4.0,5.0,1.0,161.0,1.0,4.0,,,195.0,912.0,14.0,7.0,38.0,,13.0,572.0,24.0,1.0,7.0,2.0,2.0,4.0,28.0,672.0,67.0,96994,6.0,326.0,1.0,14.0,359.0,4.0,12.0,6.0,40.0,2.0,3.0,,12.0,3.0,4.0,2.0,58.0,598.0,16.0,4.0,,14.0,1.0,64.0,1.0,,0.0,1.0,6.0,,,5.0,0.0,6.0,65.6,26.0,8.0,2.0,3.0,9.0,42.0,8.0,702.0,13.0,11.0,28.0,5.0,40.0,,4.0,368.0,13.0,5.0,18.0,141.0,26.0,1.0,7.0,10.0,13.0,4.0,23.0,1.0,12.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,3.0,,,2.0,3.0,,2.0,,,1.0,,,,,,,,,4.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,
19,2367718,2023-12-26 15:00:00,"Vitality Stadium, Bournemouth",11099,Away,Fulham,Bournemouth,0,3,L,0,1,0,0,,56.0,,,2.0,27.0,25.0,4.0,2.0,4.0,1.0,,2.0,186.0,3.0,14.0,,1.0,5.0,3.0,128.0,138.0,52.0,8.0,16.0,1.0,,,24.0,,12.0,25.0,3.0,7.0,35.0,221.0,,,0.0,157.0,10.0,,,92.0,82.0,5.0,104.0,22.0,16.0,4.0,5.0,,138.0,,10.0,,,130.0,732.0,4.0,2.0,21.0,,8.0,442.0,22.0,8.0,10.0,2.0,7.0,,24.0,526.0,59.0,96994,3.0,244.0,,15.0,264.0,10.0,6.0,5.0,51.0,,2.0,,17.0,6.0,4.0,,57.0,462.0,10.0,13.0,1.0,25.0,3.0,72.0,,1.0,0.0,,6.0,1.0,,,0.0,3.0,57.5,23.0,4.0,,2.0,4.0,47.0,5.0,548.0,8.0,6.0,19.0,1.0,41.0,1.0,1.0,308.0,5.0,6.0,12.0,119.0,26.0,,10.0,16.0,4.0,5.0,21.0,,6.0,5.0,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,,,,,1.0,,,1.0,,3.0,2.0,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
20,2367730,2023-12-31 14:00:00,"Craven Cottage, London",24444,Home,Fulham,Arsenal,2,1,W,1,1,0,0,2.0,52.0,,,2.0,28.0,22.0,6.0,3.0,8.0,2.0,,1.0,149.0,6.0,7.0,2.0,2.0,10.0,4.0,91.0,120.0,40.0,15.0,10.0,1.0,1.0,1.0,19.0,,6.0,22.0,5.0,6.0,23.0,178.0,1.0,,0.0,77.0,11.0,1.0,,63.0,60.0,7.0,67.0,14.0,16.0,7.0,2.0,1.0,120.0,1.0,10.0,,,105.0,583.0,7.0,5.0,20.0,1.0,17.0,327.0,22.0,5.0,13.0,4.0,3.0,3.0,10.0,389.0,37.0,96994,5.0,168.0,,11.0,189.0,9.0,6.0,13.0,40.0,4.0,1.0,1.0,13.0,3.0,7.0,,56.0,340.0,8.0,6.0,2.0,20.0,4.0,64.0,,,0.0,3.0,4.0,2.0,2.0,1.0,0.0,4.0,39.5,8.0,2.0,1.0,1.0,6.0,37.0,5.0,412.0,17.0,7.0,15.0,5.0,22.0,2.0,3.0,242.0,11.0,6.0,10.0,55.0,24.0,1.0,13.0,15.0,10.0,4.0,13.0,1.0,6.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,3.0,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,3.0,,1.0,1.0,2.0,1.0,2.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,
21,2367743,2024-01-13 12:30:00,"Stamford Bridge, London",39643,Away,Fulham,Chelsea,0,1,L,0,1,0,0,,47.0,,1.0,3.0,22.0,24.0,5.0,4.0,8.0,2.0,,3.0,143.0,4.0,8.0,,5.0,10.0,4.0,114.0,148.0,61.0,14.0,14.0,3.0,,2.0,17.0,,15.0,24.0,3.0,4.0,35.0,144.0,,,0.0,123.0,9.0,1.0,3.0,58.0,49.0,6.0,61.0,14.0,21.0,6.0,2.0,4.0,148.0,,12.0,,,105.0,657.0,9.0,6.0,25.0,,18.0,309.0,23.0,6.0,8.0,1.0,5.0,4.0,25.0,399.0,40.0,96994,5.0,190.0,,10.0,223.0,9.0,7.0,8.0,55.0,,6.0,,19.0,5.0,7.0,3.0,44.0,330.0,13.0,13.0,1.0,19.0,3.0,50.0,,,0.0,1.0,6.0,1.0,,1.0,0.0,3.0,44.9,23.0,2.0,2.0,6.0,4.0,29.0,4.0,423.0,18.0,13.0,18.0,6.0,27.0,1.0,2.0,217.0,8.0,4.0,15.0,83.0,15.0,1.0,8.0,25.0,7.0,4.0,15.0,1.0,7.0,4.0,1.0,2.0,1.0,,1.0,2.0,2.0,2.0,,1.0,,2.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,2.0,1.0,,,,,1.0,,,,,1.0,,5.0,,,,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,2367750,2024-01-30 19:45:00,"Craven Cottage, London",24376,Home,Fulham,Everton,0,0,D,0,0,0,0,,45.0,,2.0,3.0,36.0,21.0,10.0,5.0,15.0,2.0,,3.0,176.0,11.0,7.0,,1.0,17.0,6.0,166.0,146.0,39.0,25.0,23.0,4.0,1.0,1.0,33.0,1.0,5.0,21.0,9.0,4.0,34.0,232.0,2.0,1.0,0.0,163.0,6.0,1.0,1.0,108.0,74.0,9.0,101.0,25.0,12.0,10.0,10.0,5.0,146.0,2.0,15.0,,,169.0,822.0,14.0,5.0,33.0,1.0,8.0,498.0,11.0,3.0,10.0,1.0,6.0,8.0,18.0,583.0,43.0,96994,7.0,306.0,4.0,14.0,339.0,5.0,6.0,7.0,55.0,3.0,4.0,,11.0,6.0,7.0,4.0,55.0,527.0,12.0,4.0,3.0,13.0,10.0,58.0,,,0.0,,6.0,2.0,,1.0,0.0,8.0,69.8,15.0,2.0,2.0,4.0,6.0,40.0,15.0,612.0,8.0,10.0,19.0,13.0,41.0,4.0,7.0,306.0,14.0,4.0,14.0,130.0,27.0,,10.0,6.0,14.0,2.0,19.0,,6.0,15.0,,,3.0,1.0,2.0,1.0,,,,,,1.0,,2.0,,,1.0,,,,1.0,,,,,,,3.0,1.0,3.0,,,,1.0,,2.0,5.0,,,1.0,,2.0,2.0,,,,1.0,,,,,1.0,,6.0,2.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
23,2367762,2024-02-03 15:00:00,"Turf Moor, Burnley",20203,Away,Fulham,Burnley,2,2,D,2,0,0,0,1.0,49.0,,1.0,3.0,24.0,21.0,3.0,2.0,12.0,2.0,,3.0,178.0,9.0,,2.0,2.0,12.0,7.0,124.0,168.0,48.0,15.0,24.0,4.0,,2.0,24.0,,5.0,21.0,12.0,9.0,51.0,158.0,,,0.0,114.0,7.0,,1.0,61.0,66.0,9.0,74.0,12.0,21.0,3.0,5.0,,168.0,1.0,9.0,,,113.0,679.0,7.0,2.0,27.0,,17.0,355.0,18.0,7.0,13.0,2.0,3.0,3.0,31.0,468.0,59.0,96994,5.0,223.0,,5.0,257.0,6.0,9.0,7.0,55.0,1.0,4.0,1.0,13.0,3.0,4.0,,65.0,372.0,11.0,9.0,3.0,26.0,9.0,80.0,,,0.0,3.0,2.0,1.0,1.0,,0.0,5.0,56.3,27.0,3.0,2.0,4.0,4.0,36.0,13.0,489.0,17.0,10.0,19.0,4.0,38.0,4.0,4.0,256.0,9.0,5.0,27.0,61.0,22.0,1.0,13.0,10.0,6.0,3.0,5.0,1.0,9.0,13.0,1.0,,1.0,,1.0,2.0,,,,,1.0,,,,3.0,3.0,,2.0,1.0,,,,,2.0,1.0,1.0,1.0,2.0,,2.0,,1.0,,,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,2.0,,1.0,,,1.0,,1.0,,,4.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
24,2367770,2024-02-10 15:00:00,"Craven Cottage, London",24271,Home,Fulham,Bournemouth,3,1,W,2,0,0,0,3.0,62.0,1.0,2.0,,34.0,37.0,2.0,1.0,5.0,4.0,,2.0,174.0,2.0,9.0,3.0,,6.0,6.0,108.0,160.0,63.0,7.0,30.0,2.0,,,14.0,,14.0,37.0,1.0,3.0,33.0,161.0,,,0.0,123.0,11.0,2.0,1.0,68.0,62.0,5.0,71.0,13.0,13.0,2.0,7.0,1.0,160.0,4.0,17.0,,,100.0,656.0,4.0,8.0,19.0,,8.0,319.0,26.0,9.0,21.0,1.0,12.0,1.0,18.0,423.0,50.0,96994,1.0,183.0,2.0,6.0,221.0,11.0,3.0,14.0,64.0,1.0,2.0,3.0,13.0,8.0,11.0,,74.0,342.0,9.0,7.0,,34.0,,84.0,,,0.0,2.0,14.0,1.0,3.0,2.0,0.0,2.0,49.2,14.0,6.0,,2.0,,45.0,1.0,453.0,8.0,13.0,17.0,1.0,26.0,,,246.0,6.0,3.0,26.0,85.0,23.0,1.0,21.0,20.0,7.0,5.0,13.0,1.0,3.0,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,3.0,,2.0,,,,,1.0,,,3.0,,1.0,,,,,1.0,2.0,,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,
25,2367781,2024-02-17 15:00:00,"Craven Cottage, London",24401,Home,Fulham,Aston Villa,1,2,L,0,1,0,0,1.0,40.0,1.0,,,26.0,10.0,4.0,3.0,11.0,1.0,,1.0,139.0,9.0,5.0,1.0,1.0,13.0,4.0,132.0,117.0,30.0,15.0,8.0,3.0,,2.0,30.0,,8.0,10.0,4.0,5.0,38.0,170.0,2.0,,0.0,115.0,11.0,,1.0,70.0,53.0,4.0,58.0,26.0,18.0,4.0,10.0,3.0,117.0,2.0,7.0,,,121.0,608.0,9.0,2.0,27.0,,3.0,363.0,19.0,3.0,6.0,5.0,3.0,9.0,15.0,429.0,47.0,96994,6.0,223.0,1.0,15.0,236.0,11.0,7.0,8.0,35.0,2.0,2.0,1.0,14.0,5.0,8.0,,51.0,384.0,4.0,5.0,3.0,13.0,2.0,62.0,1.0,,0.0,,4.0,1.0,1.0,1.0,0.0,7.0,52.2,12.0,2.0,2.0,2.0,1.0,42.0,4.0,450.0,3.0,5.0,20.0,10.0,39.0,2.0,7.0,244.0,8.0,4.0,7.0,82.0,16.0,4.0,6.0,14.0,12.0,5.0,11.0,4.0,7.0,4.0,1.0,,1.0,1.0,,1.0,,,,,3.0,1.0,,,7.0,1.0,,2.0,2.0,,,,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,4.0,3.0,,,1.0,,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,
26,2367795,2024-02-24 15:00:00,"Old Trafford, Manchester",73487,Away,Fulham,Manchester United,2,1,W,0,0,0,0,1.0,44.0,1.0,4.0,4.0,16.0,24.0,6.0,2.0,11.0,7.0,,2.0,138.0,4.0,9.0,2.0,1.0,15.0,5.0,111.0,119.0,43.0,17.0,9.0,1.0,1.0,6.0,19.0,1.0,12.0,24.0,8.0,4.0,38.0,144.0,,,0.0,98.0,11.0,6.0,1.0,48.0,44.0,9.0,63.0,11.0,19.0,6.0,2.0,4.0,119.0,1.0,11.0,,,88.0,594.0,9.0,4.0,25.0,1.0,8.0,314.0,20.0,1.0,14.0,5.0,6.0,6.0,18.0,382.0,34.0,96994,11.0,186.0,,9.0,212.0,9.0,11.0,8.0,43.0,1.0,2.0,1.0,9.0,10.0,3.0,1.0,39.0,326.0,6.0,10.0,4.0,14.0,6.0,53.0,3.0,2.0,0.0,2.0,10.0,4.0,2.0,2.0,0.0,,43.2,14.0,3.0,,2.0,4.0,33.0,9.0,400.0,8.0,5.0,21.0,8.0,31.0,4.0,3.0,207.0,11.0,4.0,11.0,70.0,13.0,2.0,14.0,18.0,11.0,3.0,18.0,2.0,11.0,9.0,,,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,4.0,,,,,4.0,1.0,,,2.0,2.0,4.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,4.0,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,
