gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,attLfGoal,goals,attCmissRight,attFreekickTotal,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,attOneOnOne,totalFastbreak,midfielderGoals,attSvLowLeft,goodHighClaim,freekickTotal,attGoalHighCentre,attOboxMiss,bigChanceCreated,attHdTarget,goalAssist,totalKeeperSweeper,bigChanceMissed,goalsOpenplay,attFastbreak,attSvLowRight,attIboxGoal,goalAssistIntentional,totalHighClaim,attFreekickMiss,effectiveBlockedCross,blockedCross,goalsConcededObox,attGoalLowCentre,ptsGainedLosingPos,fastestPlayer_topSpeed,sixYardBlock,totalDistance,attRfGoal,shieldBallOop,attBxLeft,forwardGoals,attGoalLowLeft,accuratePullBack,attMissHighLeft,attCmissHigh,attCmissHighLeft,attCmissLeft,attSvHighCentre,ptsDroppedWinningPos,postScoringAtt,attIboxPost,attMissHighRight,subsGoals,hitWoodwork,accurateThroughBall,attPostHigh,cleanSheet,penaltyWon,contentiousDecision,attPenGoal,attGoalHighLeft,attPenTarget,ownGoals,attIboxOwnGoal,attCmissHighRight,attHdGoal,handBall,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attOboxGoal,expectedAssists,attOboxPost,expectedGoals,attGoalHighRight,goalFastbreak,attObxdLeft,attFreekickTarget,goalAssistSetplay,goalAssistDeadball,errorLeadToGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attObxLeft,attHdPost,attPostRight,defenderGoals,expectedGoalsFreekick,attPostLeft,attObxdRight,penaltySave
11,2444573,2024-11-09 15:00:00,"Selhurst Park, London",25142,Away,Fulham,Crystal Palace,2,0,W,1,0,0,1,66.0,1.0,2.0,30.0,12.0,6.0,3.0,11.0,4.0,5.0,199.0,5.0,10.0,1.0,16.0,7.0,168.0,155.0,53.0,17.0,2.0,13.0,4.0,2.0,20.0,10.0,1.0,12.0,7.0,18.0,43.0,272.0,2.0,0.0,182.0,11.0,3.0,,,93.0,89.0,11.0,102.0,,2.0,13.0,17.0,6.0,2.0,155.0,8.0,156.0,820.0,12.0,3.0,32.0,11.0,515.0,24.0,3.0,7.0,1.0,3.0,5.0,20.0,607.0,72.0,,2.0,80201,6.0,264.0,11.0,,296.0,5.0,,8.0,6.0,48.0,5.0,4.0,7.0,19.0,5.0,5.0,2.0,53.0,531.0,10.0,6.0,2.0,12.0,2.0,75.0,,0.0,1.0,1.0,4.0,,2.0,0.0,2.0,1.0,63.9,17.0,,6.0,7.0,4.0,52.0,8.0,625.0,11.0,13.0,28.0,6.0,32.0,3.0,3.0,349.0,13.0,17.0,17.0,141.0,28.0,7.0,16.0,,14.0,5.0,16.0,8.0,8.0,,2.0,1.0,2.0,2.0,1.0,,2.0,,2.0,2.0,1.0,,2.0,1.0,,1.0,,,3.0,3.0,,2.0,,1.0,2.0,2.0,,2.0,2.0,1.0,,,,,1.0,,,1.0,,,,3.0,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,5.0,,1.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,2444584,2024-11-23 15:00:00,"Craven Cottage, London",26685,Home,Fulham,Wolverhampton Wanderers,1,4,L,1,1,0,0,51.0,1.0,2.0,18.0,10.0,5.0,4.0,5.0,1.0,1.0,171.0,8.0,8.0,2.0,8.0,3.0,146.0,138.0,50.0,10.0,1.0,7.0,,1.0,28.0,15.0,2.0,10.0,5.0,10.0,33.0,264.0,,0.0,201.0,14.0,,,3.0,106.0,82.0,4.0,88.0,3.0,2.0,23.0,23.0,5.0,3.0,138.0,7.0,140.0,745.0,5.0,2.0,23.0,11.0,441.0,18.0,1.0,5.0,3.0,3.0,4.0,21.0,522.0,60.0,,1.0,80201,2.0,207.0,17.0,1.0,226.0,8.0,,12.0,4.0,47.0,2.0,2.0,7.0,17.0,3.0,4.0,,43.0,463.0,13.0,10.0,2.0,13.0,1.0,61.0,1.0,0.0,,2.0,,4.0,2.0,0.0,6.0,2.0,59.2,21.0,2.0,6.0,7.0,3.0,40.0,7.0,545.0,11.0,11.0,13.0,4.0,38.0,2.0,2.0,347.0,4.0,10.0,6.0,156.0,20.0,5.0,23.0,3.0,7.0,5.0,14.0,12.0,7.0,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,3.0,2.0,1.0,,,2.0,1.0,2.0,,,,,1.0,,,,,,1.0,,0.7437,1.4365,1.0,0.93267,1.0,1.0256,,,,,,,,,,,,,,,,,,
13,2444597,2024-12-01 13:30:00,"Tottenham Hotspur Stadium, London",61141,Away,Fulham,Tottenham Hotspur,1,1,D,0,0,1,0,59.0,,3.0,32.0,22.0,2.0,2.0,12.0,2.0,3.0,151.0,8.0,11.0,1.0,9.0,6.0,120.0,121.0,45.0,14.0,1.0,12.0,5.0,2.0,28.0,10.0,,22.0,8.0,13.0,37.0,204.0,,0.0,135.0,14.0,,,1.0,75.0,61.0,5.0,72.0,2.0,1.0,20.0,17.0,2.0,4.0,121.0,4.0,111.0,639.0,6.0,5.0,36.0,14.0,374.0,26.0,11.0,11.0,1.0,2.0,4.0,15.0,440.0,52.0,,1.0,80201,7.0,187.0,15.0,,209.0,8.0,4.0,5.0,5.0,45.0,2.0,1.0,4.0,10.0,4.0,1.0,2.0,55.0,383.0,3.0,3.0,2.0,22.0,6.0,54.0,1.0,0.0,2.0,7.0,2.0,1.0,1.0,1.0,5.0,4.0,48.7,14.0,2.0,4.0,4.0,4.0,34.0,11.0,454.0,14.0,6.0,23.0,4.0,28.0,3.0,3.0,273.0,8.0,13.0,15.0,102.0,22.0,11.0,16.0,1.0,8.0,5.0,21.0,5.0,11.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,1.0,,,,,3.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2444604,2024-12-05 19:30:00,"Craven Cottage, London",26368,Home,Fulham,Brighton and Hove Albion,3,1,W,1,0,0,0,31.0,,1.0,30.0,32.0,,1.0,6.0,2.0,,126.0,3.0,11.0,1.0,4.0,2.0,103.0,118.0,49.0,6.0,,13.0,,,16.0,7.0,,32.0,5.0,3.0,33.0,117.0,,0.0,88.0,7.0,1.0,,1.0,64.0,31.0,1.0,61.0,,3.0,11.0,17.0,,,118.0,8.0,92.0,553.0,2.0,4.0,19.0,8.0,295.0,12.0,6.0,18.0,2.0,5.0,3.0,18.0,360.0,32.0,,,80201,5.0,195.0,10.0,,216.0,5.0,,7.0,12.0,42.0,,,3.0,17.0,5.0,8.0,,58.0,309.0,7.0,11.0,1.0,19.0,1.0,52.0,,0.0,1.0,6.0,2.0,1.0,1.0,0.0,1.0,2.0,43.4,15.0,2.0,5.0,3.0,1.0,25.0,5.0,382.0,8.0,4.0,18.0,3.0,26.0,2.0,3.0,182.0,3.0,3.0,15.0,61.0,10.0,18.0,16.0,,5.0,5.0,18.0,7.0,5.0,,1.0,1.0,,3.0,3.0,,,,1.0,,,,,2.0,,,,,,,,1.0,,,2.0,,,3.0,,,,3.0,3.0,1.0,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2444614,2024-12-08 14:00:00,"Craven Cottage, London",26954,Home,Fulham,Arsenal,1,1,D,1,0,0,0,49.0,1.0,,28.0,25.0,,1.0,2.0,3.0,,128.0,,5.0,,2.0,2.0,52.0,113.0,47.0,2.0,,10.0,1.0,1.0,10.0,16.0,,25.0,,6.0,27.0,71.0,,0.0,47.0,10.0,3.0,,2.0,30.0,26.0,2.0,45.0,3.0,,10.0,17.0,,1.0,113.0,10.0,77.0,457.0,1.0,3.0,3.0,9.0,199.0,28.0,11.0,10.0,4.0,,,9.0,273.0,30.0,,,80201,,147.0,7.0,,181.0,6.0,,10.0,15.0,36.0,3.0,,7.0,9.0,2.0,11.0,,61.0,218.0,9.0,8.0,,30.0,,54.0,2.0,0.0,,6.0,2.0,1.0,,0.0,,,33.8,8.0,,,7.0,,19.0,,302.0,9.0,6.0,18.0,,11.0,,,131.0,1.0,4.0,6.0,27.0,10.0,10.0,27.0,1.0,2.0,4.0,8.0,10.0,,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,4.0,,,,,,1.0,,,1.0,1.0,,1.0,1.0,4.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,2444624,2024-12-14 15:00:00,"Anfield, Liverpool",60333,Away,Fulham,Liverpool,2,2,D,1,0,0,1,40.0,,2.0,26.0,29.0,5.0,3.0,7.0,2.0,1.0,108.0,4.0,7.0,1.0,10.0,3.0,89.0,101.0,39.0,12.0,2.0,14.0,1.0,1.0,14.0,8.0,,29.0,3.0,2.0,32.0,108.0,,0.0,75.0,7.0,1.0,,,60.0,35.0,7.0,49.0,,1.0,11.0,11.0,5.0,4.0,101.0,16.0,94.0,507.0,8.0,4.0,17.0,7.0,257.0,18.0,3.0,16.0,4.0,5.0,3.0,11.0,312.0,38.0,,1.0,80201,3.0,176.0,7.0,,195.0,4.0,1.0,6.0,13.0,47.0,,2.0,4.0,10.0,,11.0,2.0,50.0,280.0,8.0,12.0,,14.0,,57.0,1.0,0.0,,5.0,2.0,2.0,3.0,0.0,4.0,,38.7,7.0,,1.0,4.0,4.0,31.0,4.0,340.0,7.0,6.0,18.0,5.0,21.0,,2.0,159.0,9.0,2.0,9.0,47.0,13.0,16.0,15.0,2.0,11.0,4.0,16.0,6.0,4.0,,1.0,1.0,,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,3.0,1.0,,2.0,1.0,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,2.0,,1.0,,,1.0,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
17,2444634,2024-12-22 14:00:00,"Craven Cottage, London",26819,Home,Fulham,Southampton,0,0,D,0,0,0,0,40.0,,2.0,12.0,12.0,8.0,9.0,7.0,1.0,1.0,179.0,8.0,5.0,1.0,12.0,5.0,118.0,128.0,45.0,15.0,2.0,15.0,3.0,1.0,28.0,6.0,2.0,12.0,5.0,6.0,21.0,227.0,1.0,0.0,153.0,8.0,,,1.0,89.0,59.0,8.0,78.0,2.0,3.0,23.0,19.0,8.0,6.0,128.0,3.0,163.0,731.0,12.0,7.0,34.0,8.0,446.0,13.0,4.0,6.0,1.0,3.0,4.0,26.0,517.0,43.0,1.0,,80201,3.0,246.0,16.0,,264.0,5.0,,12.0,3.0,43.0,,1.0,5.0,9.0,2.0,2.0,2.0,30.0,465.0,15.0,1.0,,10.0,1.0,60.0,,0.0,1.0,5.0,1.0,,6.0,0.0,7.0,2.0,56.8,21.0,,2.0,5.0,4.0,39.0,6.0,538.0,8.0,10.0,9.0,6.0,36.0,1.0,2.0,302.0,4.0,6.0,15.0,120.0,20.0,6.0,10.0,,14.0,5.0,14.0,12.0,6.0,3.0,,,,,2.0,,,,,1.0,,,,,1.0,2.0,,,4.0,2.0,1.0,,,2.0,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2444643,2024-12-26 15:00:00,"Stamford Bridge, London",39687,Away,Fulham,Chelsea,2,1,W,0,1,0,0,57.0,2.0,,31.0,20.0,3.0,3.0,10.0,7.0,3.0,197.0,7.0,14.0,2.0,12.0,7.0,130.0,113.0,46.0,14.0,,7.0,4.0,1.0,20.0,5.0,1.0,20.0,1.0,4.0,30.0,175.0,1.0,0.0,106.0,13.0,6.0,,,87.0,46.0,5.0,86.0,2.0,1.0,19.0,14.0,4.0,2.0,113.0,7.0,154.0,742.0,9.0,,23.0,12.0,466.0,28.0,7.0,13.0,3.0,3.0,7.0,10.0,544.0,51.0,,,80201,5.0,321.0,17.0,,351.0,4.0,,7.0,6.0,40.0,2.0,1.0,7.0,8.0,5.0,6.0,2.0,54.0,489.0,12.0,8.0,1.0,14.0,1.0,66.0,,0.0,1.0,3.0,5.0,1.0,,0.0,6.0,4.0,52.9,10.0,2.0,1.0,7.0,,47.0,1.0,567.0,12.0,7.0,13.0,7.0,22.0,1.0,4.0,236.0,7.0,3.0,11.0,73.0,20.0,13.0,9.0,,12.0,4.0,19.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,3.0,3.0,,3.0,,,1.0,1.0,,3.0,3.0,1.0,2.0,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,,,2.0,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
19,2444654,2024-12-29 15:00:00,"Craven Cottage, London",27301,Home,Fulham,Bournemouth,2,2,D,1,0,0,0,53.0,2.0,1.0,24.0,31.0,3.0,3.0,8.0,6.0,2.0,174.0,6.0,10.0,1.0,9.0,6.0,113.0,143.0,67.0,11.0,1.0,26.0,4.0,1.0,15.0,14.0,,31.0,1.0,9.0,34.0,174.0,,0.0,115.0,7.0,2.0,1.0,1.0,69.0,49.0,6.0,81.0,1.0,1.0,14.0,14.0,3.0,3.0,143.0,12.0,117.0,709.0,7.0,6.0,21.0,11.0,366.0,27.0,6.0,15.0,1.0,2.0,3.0,22.0,462.0,52.0,,1.0,80201,6.0,219.0,10.0,,262.0,4.0,,7.0,6.0,52.0,2.0,,5.0,19.0,4.0,5.0,1.0,57.0,387.0,16.0,8.0,,23.0,1.0,59.0,1.0,0.0,1.0,7.0,5.0,2.0,3.0,0.0,5.0,4.0,52.0,19.0,,1.0,6.0,2.0,29.0,1.0,485.0,11.0,8.0,15.0,3.0,26.0,1.0,1.0,238.0,4.0,9.0,15.0,79.0,19.0,15.0,26.0,2.0,10.0,5.0,14.0,7.0,1.0,1.0,1.0,,,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,
20,2444664,2025-01-05 14:00:00,"Craven Cottage, London",27042,Home,Fulham,Ipswich Town,2,2,D,0,1,0,0,40.0,1.0,3.0,18.0,13.0,5.0,5.0,10.0,1.0,1.0,164.0,4.0,12.0,4.0,10.0,4.0,213.0,133.0,67.0,15.0,4.0,20.0,2.0,1.0,35.0,9.0,,13.0,7.0,14.0,33.0,354.0,,0.0,237.0,10.0,1.0,,4.0,113.0,68.0,7.0,90.0,,,28.0,11.0,5.0,15.0,133.0,5.0,214.0,862.0,9.0,5.0,32.0,2.0,586.0,18.0,4.0,6.0,1.0,1.0,3.0,29.0,663.0,65.0,1.0,,169528,7.0,252.0,9.0,4.0,275.0,6.0,1.0,4.0,4.0,46.0,,,,8.0,2.0,4.0,,40.0,602.0,14.0,6.0,1.0,14.0,3.0,54.0,,0.0,2.0,2.0,,2.0,2.0,0.0,4.0,3.0,72.6,27.0,2.0,3.0,,7.0,34.0,9.0,681.0,2.0,4.0,19.0,4.0,50.0,,3.0,441.0,7.0,14.0,24.0,196.0,19.0,6.0,17.0,2.0,6.0,4.0,19.0,4.0,9.0,,2.0,,,2.0,,,,1.0,,1.0,3.0,,,,,,,,1.0,2.0,1.0,,1.0,2.0,,,1.0,2.0,,,,,,,,1.0,33.34,,106958.78,2.0,1.0,2.0,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
21,2444676,2025-01-14 19:30:00,"London Stadium, London",62456,Away,Fulham,West Ham United,2,3,L,0,2,0,0,46.0,,3.0,31.0,10.0,8.0,7.0,12.0,,3.0,160.0,6.0,4.0,3.0,17.0,5.0,134.0,119.0,41.0,21.0,2.0,15.0,3.0,1.0,24.0,7.0,,10.0,1.0,6.0,45.0,212.0,1.0,0.0,169.0,18.0,,,2.0,84.0,66.0,9.0,81.0,,2.0,23.0,18.0,9.0,6.0,119.0,3.0,147.0,690.0,14.0,2.0,27.0,10.0,426.0,20.0,2.0,9.0,3.0,,8.0,25.0,501.0,71.0,,,80201,4.0,239.0,15.0,1.0,258.0,11.0,,6.0,3.0,56.0,,,2.0,11.0,1.0,3.0,3.0,56.0,445.0,9.0,10.0,1.0,19.0,1.0,50.0,,0.0,,,,3.0,1.0,0.0,6.0,4.0,56.1,25.0,2.0,3.0,2.0,5.0,29.0,3.0,522.0,10.0,9.0,29.0,11.0,36.0,,4.0,288.0,10.0,6.0,16.0,128.0,21.0,9.0,13.0,2.0,17.0,4.0,8.0,6.0,3.0,,,1.0,,2.0,,1.0,2.0,,2.0,1.0,2.0,,2.0,2.0,,,1.0,,5.0,2.0,,2.0,,3.0,2.0,2.0,1.0,,,,,,,1.0,1.0,,,1.0,,2.0,1.0,3.0,,,,1.0,1.0,1.0,,,,2.0,2.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,
22,2444685,2025-01-18 15:00:00,"King Power Stadium, Leicester",31500,Away,Fulham,Leicester City,2,0,W,0,0,0,0,54.0,1.0,6.0,33.0,25.0,3.0,9.0,14.0,5.0,,171.0,11.0,7.0,2.0,13.0,2.0,172.0,125.0,56.0,17.0,,21.0,,3.0,23.0,13.0,,25.0,2.0,10.0,33.0,289.0,,0.0,187.0,8.0,3.0,,1.0,115.0,80.0,6.0,109.0,1.0,3.0,21.0,16.0,3.0,5.0,125.0,7.0,138.0,778.0,9.0,3.0,33.0,7.0,495.0,21.0,5.0,11.0,1.0,1.0,7.0,19.0,577.0,74.0,,2.0,80201,5.0,227.0,15.0,,261.0,5.0,1.0,5.0,4.0,45.0,,2.0,5.0,14.0,1.0,3.0,1.0,66.0,505.0,8.0,6.0,2.0,26.0,3.0,67.0,,0.0,1.0,5.0,3.0,,1.0,0.0,9.0,4.0,60.7,19.0,2.0,2.0,5.0,6.0,41.0,2.0,590.0,7.0,7.0,21.0,9.0,26.0,2.0,6.0,352.0,4.0,10.0,21.0,150.0,23.0,11.0,21.0,,13.0,5.0,11.0,5.0,2.0,,2.0,,,2.0,2.0,1.0,,,2.0,,4.0,,,1.0,,,1.0,,3.0,4.0,,2.0,,2.0,2.0,,,2.0,1.0,,1.0,3.0,3.0,,,,,2.0,,1.0,,2.0,,2.0,1.0,1.0,1.0,,2.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2444694,2025-01-26 19:00:00,"Craven Cottage, London",27288,Home,Fulham,Manchester United,0,1,L,0,0,0,0,51.0,,,20.0,10.0,1.0,2.0,8.0,,1.0,158.0,8.0,4.0,,7.0,3.0,126.0,126.0,42.0,9.0,,16.0,3.0,,23.0,10.0,,10.0,3.0,15.0,34.0,199.0,,0.0,117.0,7.0,,,1.0,82.0,53.0,3.0,90.0,2.0,1.0,20.0,20.0,1.0,5.0,126.0,1.0,122.0,660.0,6.0,1.0,22.0,7.0,398.0,18.0,4.0,4.0,0.0,1.0,4.0,16.0,480.0,51.0,1.0,,169528,3.0,222.0,14.0,,245.0,3.0,,10.0,4.0,44.0,1.0,2.0,1.0,7.0,3.0,4.0,4.0,46.0,413.0,9.0,3.0,1.0,18.0,2.0,62.0,,0.0,,,,1.0,,0.0,6.0,1.0,50.9,15.0,,1.0,1.0,,33.0,3.0,496.0,7.0,8.0,18.0,6.0,23.0,2.0,5.0,274.0,6.0,14.0,14.0,86.0,30.0,4.0,16.0,,7.0,4.0,14.0,10.0,3.0,1.0,,,,,,,1.0,,,2.0,,,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,2.0,2.0,1.0,,,34.2,,112601.68,,,3.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.1864,0.1616,,0.413222,,0.6709,,,,,,,,,,,,,,,,,,
24,2444707,2025-02-01 15:00:00,"St. James' Park, Newcastle",52173,Away,Fulham,Newcastle United,2,1,W,0,1,0,0,53.0,,4.0,26.0,26.0,5.0,2.0,10.0,3.0,1.0,145.0,8.0,9.0,1.0,13.0,4.0,113.0,127.0,52.0,15.0,3.0,14.0,,1.0,32.0,12.0,2.0,26.0,5.0,9.0,32.0,198.0,,0.0,148.0,15.0,,,1.0,99.0,43.0,10.0,77.0,1.0,1.0,27.0,22.0,5.0,4.0,127.0,9.0,96.0,622.0,10.0,4.0,30.0,7.0,331.0,16.0,8.0,12.0,4.0,1.0,3.0,14.0,406.0,52.0,1.0,,159533,6.0,163.0,22.0,1.0,181.0,9.0,,11.0,7.0,38.0,,,5.0,17.0,2.0,6.0,2.0,58.0,353.0,10.0,3.0,1.0,28.0,3.0,64.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,6.0,4.0,52.2,14.0,3.0,3.0,5.0,7.0,40.0,7.0,431.0,7.0,5.0,19.0,4.0,34.0,2.0,4.0,282.0,9.0,8.0,13.0,110.0,26.0,12.0,20.0,1.0,11.0,4.0,11.0,11.0,7.0,1.0,1.0,,,2.0,,,2.0,,1.0,1.0,1.0,,3.0,,,,,,,2.0,,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,,,2.0,2.0,,1.0,3.0,33.31,1.0,112033.26,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.5419,1.6833,,1.02762,,1.5561,,1.0,,,1.0,1.0,,,,,,,,,,,,
25,2444713,2025-02-15 15:00:00,"Craven Cottage, London",27164,Home,Fulham,Nottingham Forest,2,1,W,1,1,0,0,50.0,,6.0,28.0,25.0,4.0,3.0,20.0,1.0,6.0,143.0,10.0,5.0,2.0,15.0,10.0,141.0,110.0,37.0,24.0,,15.0,6.0,,33.0,8.0,2.0,25.0,7.0,14.0,20.0,245.0,1.0,0.0,152.0,13.0,1.0,,1.0,68.0,78.0,10.0,92.0,,1.0,26.0,9.0,4.0,7.0,110.0,6.0,123.0,674.0,12.0,,37.0,7.0,422.0,22.0,2.0,17.0,0.0,3.0,5.0,11.0,480.0,61.0,,,169528,13.0,204.0,18.0,1.0,218.0,5.0,1.0,3.0,8.0,44.0,,1.0,5.0,15.0,2.0,7.0,1.0,51.0,439.0,8.0,7.0,1.0,16.0,6.0,68.0,1.0,0.0,,4.0,1.0,1.0,,0.0,7.0,8.0,55.5,10.0,3.0,2.0,5.0,6.0,44.0,8.0,499.0,7.0,4.0,13.0,8.0,37.0,3.0,6.0,314.0,13.0,12.0,16.0,119.0,21.0,17.0,8.0,1.0,17.0,5.0,11.0,3.0,8.0,1.0,2.0,,,2.0,1.0,,,,1.0,3.0,4.0,,,1.0,1.0,,,,2.0,3.0,1.0,2.0,,2.0,1.0,,3.0,2.0,1.0,,,1.0,1.0,,,,34.1,1.0,107025.65,,,2.0,,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,3.7715,1.0642,,1.55193,,2.1753,1.0,,,,1.0,,,,,,,,,1.0,,,,
26,2444724,2025-02-22 15:00:00,"Craven Cottage, London",26777,Home,Fulham,Crystal Palace,0,2,L,0,1,0,0,54.0,2.0,2.0,31.0,18.0,6.0,1.0,4.0,4.0,,165.0,5.0,3.0,3.0,6.0,,159.0,152.0,41.0,10.0,3.0,10.0,,4.0,27.0,5.0,,18.0,7.0,12.0,44.0,223.0,,0.0,147.0,10.0,2.0,,1.0,74.0,59.0,4.0,81.0,,2.0,20.0,21.0,6.0,8.0,152.0,8.0,138.0,730.0,3.0,2.0,22.0,8.0,433.0,25.0,3.0,8.0,1.0,2.0,2.0,17.0,525.0,74.0,,,159533,,232.0,11.0,1.0,260.0,6.0,,6.0,6.0,53.0,,,1.0,10.0,3.0,6.0,2.0,64.0,450.0,7.0,9.0,3.0,18.0,5.0,74.0,1.0,0.0,,7.0,2.0,2.0,2.0,0.0,1.0,1.0,62.2,15.0,,2.0,1.0,5.0,54.0,7.0,543.0,8.0,13.0,23.0,5.0,34.0,4.0,2.0,310.0,8.0,12.0,16.0,100.0,24.0,8.0,15.0,2.0,4.0,5.0,15.0,6.0,7.0,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,34.09,,103024.71,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.3928,,0.410384,,0.205,,,,,,,,,,,,,,,,,,
