gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,attOboxTarget,attMissHighRight,cleanSheet,attMissHigh,attHdMiss,attCmissRight,attOboxBlocked,errorLeadToShot,sixYardBlock,shieldBallOop,handBall,attFreekickTotal,postScoringAtt,attIboxPost,attOneOnOne,penaltyWon,freekickTotal,hitWoodwork,attMissHighLeft,attCmissHigh,attPenGoal,attSvLowRight,attFreekickGoal,attPostHigh,attObxRight,attGoalHighRight,attSvHighRight,attHdPost,attPostRight,goalsConcededObox,attObxLeft,shotFastbreak,totalFastbreak,attFastbreak,midfielderGoals,totalPullBack,attCmissHighLeft,goalAssistSetplay,goalAssistDeadball,attHdGoal,attLgRight,attGoalHighCentre,attemptsIbox,attemptsObox,contentiousDecision,touchesInOppBox,attCorner,defenderGoals,attOboxPost,accuratePullBack,attPostLeft,attFreekickMiss,attObxdRight,attFreekickPost,attLgCentre,ownGoals,attFreekickTarget,attIboxOwnGoal,clearanceOffLine,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,goalFastbreak,attObxdLeft
11,695005,2013-11-10 16:10:00,"Old Trafford, Manchester",75138,Home,Manchester United,Arsenal,1,0,W,1,0,0,0,,,57.0,,,2.0,,32.0,49.0,2.0,1.0,2.0,,1.0,149.0,,4.0,11.0,1.0,2.0,4.0,2.0,83.0,157.0,75.0,5.0,20.0,,,,,,1.0,27.0,19.0,49.0,5.0,13.0,33.0,167.0,,0.0,122.0,12.0,,,,1.0,2.0,66.0,92.0,2.0,56.0,1.0,2.0,22.0,23.0,8.0,1.0,157.0,1.0,6.0,74.0,606.0,2.0,13.0,,18.0,256.0,17.0,9.0,28.0,1.0,,2.0,4.0,2.0,26.0,338.0,62.0,,1.0,83090,3.0,109.0,1.0,13.0,1.0,124.0,4.0,,8.0,8.0,63.0,1.0,2.0,2.0,,7.0,4.0,6.0,59.0,272.0,11.0,5.0,1.0,26.0,77.0,,,2.0,0.0,,6.0,,1.0,,6.0,0.0,3.0,1.0,2.0,40.5,20.0,5.0,,,2.0,,43.0,5.0,2.0,362.0,18.0,19.0,16.0,3.0,31.0,1.0,2.0,265.0,2.0,12.0,26.0,77.0,29.0,1.0,5.0,28.0,29.0,,3.0,3.0,21.0,,5.0,8.0,5.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,3.0,2.0,1.0,9.0,1.0,,,,,,,,,,,,,,,,,,
12,695011,2013-11-24 16:00:00,"Cardiff City Stadium, Cardiff",28016,Away,Manchester United,Cardiff City,2,2,D,2,1,0,0,,,61.0,1.0,,1.0,3.0,30.0,46.0,1.0,1.0,2.0,,,148.0,,11.0,3.0,2.0,2.0,14.0,5.0,90.0,140.0,61.0,16.0,19.0,3.0,2.0,,1.0,,4.0,19.0,16.0,46.0,8.0,13.0,22.0,163.0,,0.0,92.0,14.0,,1.0,,3.0,1.0,64.0,64.0,7.0,66.0,1.0,2.0,12.0,8.0,1.0,1.0,140.0,1.0,9.0,87.0,619.0,5.0,5.0,3.0,11.0,296.0,23.0,7.0,30.0,2.0,,2.0,1.0,7.0,18.0,372.0,54.0,1.0,3.0,55909,9.0,159.0,2.0,8.0,3.0,175.0,2.0,1.0,8.0,9.0,58.0,1.0,3.0,5.0,1.0,14.0,5.0,2.0,51.0,311.0,15.0,8.0,7.0,25.0,86.0,,1.0,1.0,0.0,5.0,2.0,1.0,2.0,2.0,2.0,0.0,7.0,2.0,8.0,50.1,16.0,2.0,,,5.0,3.0,43.0,8.0,1.0,391.0,11.0,8.0,12.0,8.0,12.0,5.0,7.0,235.0,6.0,13.0,24.0,59.0,27.0,1.0,4.0,30.0,22.0,2.0,4.0,2.0,16.0,,4.0,3.0,8.0,,,,1.0,4.0,,,1.0,1.0,1.0,2.0,,,,1.0,,,,1.0,,,2.0,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
13,695029,2013-12-01 12:00:00,"White Hart Lane, London",35884,Away,Manchester United,Tottenham Hotspur,2,2,D,1,1,0,0,1.0,2.0,57.0,,,1.0,2.0,35.0,40.0,2.0,2.0,2.0,,,161.0,1.0,3.0,8.0,2.0,2.0,3.0,3.0,116.0,157.0,59.0,8.0,14.0,1.0,1.0,1.0,,1.0,1.0,27.0,20.0,40.0,7.0,12.0,27.0,211.0,,0.0,127.0,15.0,1.0,,,,1.0,47.0,110.0,2.0,66.0,,1.0,20.0,16.0,5.0,1.0,157.0,,4.0,120.0,686.0,3.0,10.0,,16.0,364.0,19.0,8.0,24.0,,1.0,3.0,3.0,1.0,22.0,449.0,56.0,1.0,,83090,4.0,168.0,,15.0,,187.0,3.0,2.0,16.0,11.0,51.0,1.0,1.0,2.0,1.0,12.0,6.0,3.0,55.0,376.0,9.0,2.0,,21.0,96.0,,,1.0,0.0,,7.0,1.0,2.0,2.0,5.0,0.0,2.0,,,60.0,21.0,5.0,,,2.0,3.0,51.0,7.0,1.0,463.0,16.0,17.0,15.0,2.0,13.0,1.0,1.0,303.0,6.0,12.0,20.0,91.0,29.0,2.0,2.0,24.0,22.0,,5.0,3.0,15.0,,2.0,6.0,7.0,,,,,,,1.0,,,2.0,2.0,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,695034,2013-12-04 19:45:00,"Old Trafford, Manchester",75210,Home,Manchester United,Everton,0,1,L,0,0,0,0,3.0,,58.0,,,1.0,3.0,23.0,29.0,6.0,3.0,3.0,,2.0,174.0,,10.0,8.0,,2.0,11.0,6.0,119.0,155.0,56.0,18.0,16.0,4.0,1.0,,,1.0,1.0,36.0,9.0,29.0,7.0,19.0,29.0,216.0,,0.0,154.0,12.0,,1.0,1.0,3.0,1.0,55.0,103.0,5.0,70.0,2.0,3.0,29.0,20.0,6.0,2.0,155.0,1.0,7.0,97.0,707.0,7.0,10.0,1.0,23.0,368.0,28.0,2.0,15.0,,,2.0,4.0,6.0,19.0,446.0,58.0,,2.0,83090,6.0,171.0,2.0,20.0,,190.0,2.0,,20.0,8.0,57.0,,1.0,4.0,,15.0,8.0,4.0,40.0,377.0,12.0,9.0,4.0,12.0,73.0,,1.0,,0.0,1.0,4.0,2.0,,1.0,4.0,0.0,5.0,,4.0,52.0,17.0,2.0,2.0,3.0,4.0,4.0,38.0,7.0,1.0,460.0,23.0,16.0,11.0,8.0,20.0,5.0,4.0,306.0,10.0,19.0,19.0,107.0,23.0,,1.0,15.0,17.0,1.0,13.0,3.0,15.0,,1.0,10.0,7.0,2.0,2.0,,,2.0,,1.0,,,,3.0,,2.0,1.0,1.0,,,2.0,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
15,695045,2013-12-07 12:45:00,"Old Trafford, Manchester",75233,Home,Manchester United,Newcastle United,0,1,L,0,0,0,0,1.0,,50.0,,,,2.0,30.0,32.0,2.0,2.0,2.0,,2.0,143.0,,6.0,8.0,,7.0,8.0,4.0,96.0,155.0,62.0,8.0,20.0,3.0,1.0,,,2.0,,25.0,19.0,32.0,3.0,6.0,25.0,136.0,,0.0,94.0,11.0,1.0,,,7.0,,42.0,69.0,7.0,58.0,1.0,1.0,22.0,15.0,4.0,,155.0,,5.0,77.0,609.0,7.0,6.0,1.0,17.0,280.0,22.0,3.0,23.0,,,0.0,1.0,1.0,29.0,357.0,52.0,1.0,,82403,3.0,162.0,,11.0,,177.0,2.0,,15.0,10.0,74.0,2.0,2.0,2.0,,12.0,4.0,6.0,49.0,292.0,18.0,15.0,1.0,14.0,67.0,,,,0.0,2.0,4.0,2.0,,1.0,3.0,0.0,4.0,,1.0,47.1,24.0,,1.0,,2.0,3.0,32.0,4.0,,374.0,17.0,18.0,9.0,1.0,22.0,2.0,1.0,222.0,5.0,6.0,13.0,55.0,24.0,,1.0,23.0,23.0,1.0,6.0,3.0,19.0,,1.0,6.0,4.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,695051,2013-12-15 13:30:00,"Villa Park, Birmingham",42682,Away,Manchester United,Aston Villa,3,0,W,2,0,0,0,,3.0,57.0,1.0,2.0,4.0,2.0,25.0,38.0,2.0,1.0,6.0,,2.0,166.0,,6.0,9.0,3.0,4.0,10.0,5.0,129.0,131.0,52.0,14.0,14.0,2.0,4.0,,2.0,,2.0,20.0,13.0,38.0,2.0,21.0,28.0,170.0,,0.0,123.0,8.0,3.0,,,2.0,1.0,39.0,77.0,6.0,74.0,2.0,1.0,18.0,9.0,5.0,1.0,131.0,2.0,9.0,142.0,730.0,7.0,8.0,,18.0,415.0,22.0,4.0,25.0,2.0,,2.0,5.0,4.0,22.0,492.0,58.0,2.0,,82403,8.0,266.0,,11.0,,284.0,2.0,3.0,9.0,10.0,48.0,5.0,2.0,4.0,3.0,9.0,8.0,10.0,47.0,430.0,15.0,6.0,1.0,15.0,89.0,,2.0,,0.0,2.0,3.0,2.0,3.0,,1.0,0.0,5.0,2.0,2.0,56.0,20.0,2.0,,,4.0,3.0,59.0,4.0,1.0,511.0,18.0,13.0,13.0,6.0,19.0,1.0,4.0,247.0,10.0,19.0,13.0,78.0,25.0,2.0,,25.0,15.0,,12.0,3.0,17.0,,,3.0,4.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
17,695065,2013-12-21 15:00:00,"Old Trafford, Manchester",75350,Home,Manchester United,West Ham United,3,1,W,2,0,0,0,1.0,2.0,50.0,,2.0,,5.0,38.0,30.0,6.0,7.0,,1.0,3.0,139.0,,5.0,5.0,3.0,4.0,17.0,8.0,151.0,109.0,49.0,21.0,11.0,2.0,2.0,,3.0,,,26.0,8.0,30.0,5.0,27.0,37.0,260.0,,0.0,174.0,7.0,,,2.0,2.0,3.0,61.0,100.0,12.0,84.0,2.0,1.0,22.0,9.0,4.0,2.0,109.0,2.0,2.0,145.0,704.0,13.0,3.0,1.0,12.0,440.0,20.0,4.0,17.0,3.0,,1.0,2.0,5.0,18.0,495.0,62.0,1.0,,83090,9.0,204.0,,16.0,,217.0,1.0,2.0,9.0,5.0,35.0,2.0,3.0,1.0,3.0,8.0,2.0,5.0,55.0,459.0,17.0,7.0,1.0,9.0,64.0,,,,0.0,2.0,2.0,,3.0,1.0,,0.0,4.0,2.0,1.0,61.8,15.0,2.0,2.0,,1.0,7.0,41.0,8.0,3.0,519.0,12.0,9.0,24.0,6.0,23.0,2.0,4.0,328.0,13.0,25.0,16.0,139.0,23.0,1.0,3.0,17.0,11.0,1.0,17.0,3.0,8.0,1.0,3.0,3.0,8.0,3.0,1.0,,4.0,,,2.0,,,1.0,,1.0,,,1.0,,1.0,,,2.0,,3.0,,,,1.0,,,,,,1.0,2.0,1.0,2.0,3.0,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
19,695088,2013-12-28 15:00:00,"Carrow Road, Norwich",26851,Away,Manchester United,Norwich City,1,0,W,0,0,0,0,1.0,1.0,56.0,1.0,,1.0,1.0,21.0,66.0,4.0,3.0,4.0,,1.0,165.0,,3.0,14.0,1.0,3.0,7.0,3.0,124.0,136.0,53.0,7.0,14.0,1.0,1.0,,1.0,1.0,,21.0,10.0,66.0,,14.0,24.0,253.0,,0.0,144.0,10.0,1.0,,1.0,1.0,,93.0,92.0,4.0,88.0,,1.0,21.0,17.0,5.0,3.0,136.0,1.0,6.0,115.0,750.0,6.0,10.0,,17.0,404.0,24.0,4.0,35.0,1.0,,3.0,4.0,3.0,27.0,475.0,68.0,,1.0,83090,,168.0,,15.0,,189.0,1.0,1.0,17.0,10.0,47.0,,2.0,2.0,1.0,16.0,9.0,5.0,43.0,418.0,11.0,8.0,,17.0,69.0,,,1.0,0.0,1.0,8.0,3.0,1.0,,4.0,0.0,3.0,,,54.9,25.0,1.0,2.0,,2.0,1.0,41.0,3.0,,492.0,17.0,10.0,12.0,3.0,13.0,,,324.0,4.0,13.0,14.0,104.0,26.0,1.0,4.0,35.0,14.0,,7.0,3.0,22.0,,4.0,11.0,3.0,1.0,,1.0,2.0,,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,695095,2014-01-01 17:30:00,"Old Trafford, Manchester",75265,Home,Manchester United,Tottenham Hotspur,1,2,L,0,1,0,0,,1.0,75.0,,,,2.0,45.0,24.0,5.0,2.0,2.0,,4.0,190.0,1.0,11.0,8.0,1.0,3.0,14.0,6.0,121.0,180.0,50.0,17.0,17.0,4.0,3.0,,1.0,1.0,3.0,49.0,14.0,24.0,12.0,13.0,39.0,265.0,,0.0,189.0,7.0,1.0,,1.0,2.0,,62.0,125.0,8.0,75.0,,2.0,37.0,16.0,11.0,2.0,180.0,1.0,5.0,123.0,759.0,11.0,10.0,1.0,20.0,406.0,32.0,4.0,20.0,1.0,,2.0,2.0,6.0,35.0,498.0,78.0,1.0,1.0,83090,8.0,161.0,,24.0,,178.0,,1.0,16.0,6.0,50.0,2.0,2.0,5.0,1.0,14.0,4.0,4.0,70.0,415.0,6.0,6.0,2.0,19.0,73.0,,2.0,,0.0,5.0,2.0,2.0,1.0,2.0,4.0,0.0,8.0,1.0,3.0,61.1,33.0,7.0,,,5.0,4.0,41.0,13.0,,509.0,20.0,13.0,26.0,7.0,39.0,3.0,5.0,380.0,12.0,11.0,20.0,133.0,30.0,1.0,1.0,20.0,16.0,2.0,11.0,3.0,18.0,2.0,1.0,6.0,13.0,1.0,,,2.0,2.0,1.0,2.0,,,3.0,2.0,1.0,,,1.0,,1.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,
21,695106,2014-01-11 17:30:00,"Old Trafford, Manchester",75035,Home,Manchester United,Swansea City,2,0,W,0,0,0,0,2.0,1.0,62.0,1.0,1.0,1.0,1.0,14.0,24.0,4.0,5.0,2.0,,,147.0,,6.0,12.0,2.0,7.0,11.0,5.0,96.0,131.0,43.0,16.0,12.0,3.0,1.0,,1.0,2.0,2.0,21.0,6.0,24.0,3.0,17.0,26.0,230.0,,0.0,150.0,9.0,,,,4.0,,63.0,58.0,4.0,62.0,,2.0,18.0,16.0,1.0,4.0,131.0,3.0,4.0,113.0,632.0,9.0,6.0,1.0,27.0,343.0,21.0,2.0,15.0,1.0,,0.0,4.0,7.0,23.0,409.0,57.0,2.0,2.0,83090,6.0,125.0,3.0,13.0,2.0,139.0,7.0,2.0,16.0,8.0,52.0,2.0,1.0,1.0,2.0,12.0,9.0,3.0,30.0,349.0,10.0,7.0,1.0,14.0,67.0,,1.0,,0.0,1.0,5.0,1.0,2.0,,2.0,0.0,5.0,,2.0,38.6,20.0,2.0,1.0,,1.0,1.0,43.0,3.0,,418.0,27.0,16.0,15.0,10.0,12.0,1.0,5.0,300.0,9.0,17.0,12.0,116.0,34.0,1.0,3.0,15.0,9.0,,10.0,2.0,21.0,,3.0,7.0,3.0,,1.0,1.0,4.0,1.0,,,,,2.0,,2.0,1.0,,,,2.0,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
22,695112,2014-01-19 16:00:00,"Stamford Bridge, London",41615,Away,Manchester United,Chelsea,1,3,L,0,2,1,0,2.0,1.0,50.0,1.0,,2.0,1.0,34.0,32.0,2.0,5.0,3.0,1.0,,171.0,,4.0,7.0,1.0,5.0,8.0,4.0,100.0,145.0,62.0,10.0,14.0,3.0,,,1.0,3.0,2.0,26.0,20.0,32.0,3.0,6.0,24.0,227.0,,0.0,156.0,21.0,1.0,,,3.0,,65.0,103.0,6.0,60.0,,1.0,23.0,12.0,2.0,,145.0,1.0,7.0,104.0,663.0,6.0,2.0,1.0,13.0,349.0,19.0,2.0,17.0,1.0,,3.0,4.0,2.0,25.0,413.0,59.0,,,83090,3.0,144.0,1.0,18.0,,158.0,8.0,,12.0,10.0,65.0,1.0,2.0,4.0,1.0,18.0,6.0,2.0,47.0,367.0,15.0,10.0,1.0,14.0,74.0,,2.0,,0.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,,2.0,56.1,22.0,4.0,3.0,,4.0,3.0,42.0,4.0,,435.0,13.0,10.0,15.0,3.0,14.0,2.0,3.0,303.0,3.0,6.0,15.0,123.0,20.0,1.0,,17.0,27.0,2.0,9.0,2.0,19.0,,,6.0,4.0,,,,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,695124,2014-01-28 19:45:00,"Old Trafford, Manchester",75301,Home,Manchester United,Cardiff City,2,0,W,1,0,0,0,,1.0,61.0,,1.0,1.0,1.0,38.0,36.0,6.0,2.0,1.0,,2.0,130.0,,4.0,9.0,2.0,2.0,15.0,5.0,126.0,94.0,48.0,17.0,11.0,3.0,1.0,,1.0,1.0,1.0,22.0,14.0,36.0,3.0,18.0,25.0,233.0,1.0,0.0,153.0,9.0,,,2.0,2.0,,98.0,62.0,7.0,66.0,,5.0,19.0,5.0,7.0,3.0,94.0,2.0,3.0,141.0,647.0,11.0,4.0,1.0,16.0,400.0,30.0,4.0,23.0,1.0,,0.0,1.0,8.0,12.0,450.0,61.0,1.0,2.0,83090,5.0,182.0,3.0,10.0,3.0,186.0,4.0,1.0,5.0,4.0,37.0,1.0,4.0,2.0,2.0,6.0,4.0,1.0,52.0,411.0,8.0,8.0,3.0,9.0,58.0,1.0,1.0,,0.0,1.0,5.0,,1.0,,,0.0,4.0,,5.0,46.2,12.0,3.0,1.0,,2.0,4.0,40.0,5.0,1.0,463.0,16.0,4.0,14.0,8.0,25.0,,4.0,299.0,10.0,18.0,9.0,117.0,25.0,1.0,2.0,23.0,23.0,,13.0,3.0,15.0,,2.0,4.0,5.0,,,1.0,1.0,2.0,4.0,3.0,,1.0,,1.0,,1.0,1.0,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,
24,695138,2014-02-01 15:00:00,"bet365 Stadium, Stoke",26547,Away,Manchester United,Stoke City,1,2,L,0,1,0,0,,1.0,55.0,1.0,,3.0,6.0,20.0,42.0,6.0,8.0,3.0,1.0,3.0,167.0,,5.0,10.0,1.0,7.0,12.0,4.0,97.0,164.0,64.0,19.0,22.0,,2.0,,1.0,,2.0,34.0,15.0,42.0,7.0,17.0,23.0,215.0,,0.0,149.0,7.0,1.0,1.0,2.0,6.0,5.0,102.0,50.0,8.0,66.0,1.0,3.0,27.0,15.0,7.0,2.0,164.0,2.0,6.0,112.0,698.0,10.0,9.0,,6.0,327.0,17.0,1.0,24.0,1.0,,2.0,1.0,4.0,29.0,420.0,68.0,1.0,,76359,6.0,137.0,2.0,14.0,2.0,158.0,3.0,,15.0,8.0,57.0,1.0,3.0,9.0,1.0,10.0,8.0,6.0,49.0,347.0,17.0,12.0,1.0,30.0,72.0,,1.0,,0.0,1.0,7.0,,1.0,2.0,2.0,0.0,3.0,1.0,2.0,62.3,24.0,,2.0,,10.0,8.0,33.0,10.0,5.0,442.0,6.0,12.0,8.0,7.0,30.0,2.0,5.0,318.0,7.0,16.0,14.0,102.0,26.0,1.0,2.0,24.0,24.0,1.0,12.0,3.0,16.0,,2.0,5.0,10.0,3.0,,,2.0,2.0,,2.0,1.0,2.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,
25,695145,2014-02-09 16:00:00,"Old Trafford, Manchester",74966,Home,Manchester United,Fulham,2,2,D,0,1,0,0,,1.0,63.0,1.0,,,5.0,51.0,24.0,10.0,8.0,1.0,,4.0,179.0,,18.0,7.0,2.0,2.0,22.0,9.0,171.0,153.0,37.0,31.0,15.0,6.0,2.0,,1.0,4.0,3.0,81.0,5.0,24.0,8.0,22.0,33.0,422.0,1.0,0.0,284.0,3.0,,,1.0,2.0,,153.0,111.0,13.0,96.0,,3.0,73.0,10.0,19.0,5.0,153.0,4.0,4.0,204.0,904.0,19.0,1.0,3.0,10.0,589.0,20.0,2.0,21.0,1.0,,0.0,1.0,9.0,32.0,641.0,93.0,,1.0,83090,10.0,194.0,3.0,52.0,,198.0,1.0,2.0,10.0,2.0,39.0,,5.0,5.0,2.0,11.0,2.0,2.0,61.0,598.0,5.0,4.0,2.0,6.0,59.0,1.0,,,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,16.0,,5.0,75.4,30.0,5.0,1.0,1.0,5.0,9.0,50.0,10.0,,650.0,10.0,13.0,22.0,13.0,41.0,2.0,8.0,533.0,16.0,21.0,16.0,246.0,33.0,1.0,,21.0,10.0,2.0,27.0,3.0,11.0,,,3.0,10.0,1.0,1.0,,5.0,2.0,2.0,4.0,,2.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,695151,2014-02-12 19:45:00,"Emirates Stadium, London",60021,Away,Manchester United,Arsenal,0,0,D,0,0,0,0,1.0,,74.0,,,2.0,1.0,32.0,40.0,2.0,3.0,4.0,,,158.0,,4.0,10.0,,1.0,4.0,2.0,105.0,150.0,62.0,6.0,33.0,2.0,,,,1.0,1.0,17.0,23.0,40.0,4.0,8.0,35.0,175.0,,0.0,137.0,14.0,3.0,1.0,,1.0,1.0,48.0,95.0,2.0,66.0,3.0,2.0,13.0,21.0,5.0,2.0,150.0,1.0,8.0,89.0,637.0,3.0,8.0,1.0,24.0,302.0,28.0,2.0,21.0,,,2.0,7.0,2.0,15.0,391.0,71.0,1.0,1.0,55909,3.0,149.0,2.0,7.0,,160.0,2.0,,11.0,8.0,76.0,2.0,2.0,7.0,,7.0,9.0,7.0,67.0,320.0,10.0,12.0,1.0,23.0,82.0,,,,0.0,1.0,5.0,3.0,,,3.0,0.0,3.0,,2.0,42.6,9.0,6.0,1.0,,7.0,1.0,35.0,5.0,1.0,418.0,24.0,17.0,12.0,3.0,23.0,1.0,1.0,275.0,1.0,7.0,16.0,81.0,26.0,,1.0,21.0,27.0,,4.0,3.0,16.0,,1.0,11.0,5.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,10.0,2.0,,,,,,,,,,,,1.0,,,,,,
27,695163,2014-02-22 17:30:00,"Selhurst Park, London",24571,Away,Manchester United,Crystal Palace,2,0,W,0,0,0,0,1.0,1.0,64.0,,,2.0,3.0,35.0,44.0,5.0,7.0,7.0,1.0,2.0,179.0,,3.0,12.0,2.0,3.0,9.0,5.0,190.0,120.0,48.0,14.0,19.0,1.0,1.0,,,1.0,1.0,19.0,9.0,44.0,3.0,31.0,26.0,327.0,,0.0,175.0,10.0,3.0,,2.0,,2.0,86.0,62.0,7.0,97.0,1.0,1.0,16.0,13.0,4.0,2.0,120.0,,11.0,200.0,883.0,9.0,1.0,,19.0,586.0,28.0,1.0,28.0,,,2.0,5.0,2.0,12.0,649.0,75.0,,,83090,3.0,275.0,2.0,12.0,,286.0,3.0,1.0,13.0,6.0,49.0,1.0,3.0,7.0,1.0,11.0,4.0,3.0,50.0,599.0,12.0,7.0,,10.0,79.0,,1.0,1.0,0.0,3.0,6.0,4.0,2.0,,,0.0,3.0,,1.0,66.5,11.0,3.0,4.0,,7.0,4.0,61.0,4.0,2.0,666.0,19.0,13.0,12.0,5.0,20.0,,2.0,399.0,6.0,29.0,11.0,130.0,23.0,2.0,3.0,28.0,14.0,,11.0,3.0,15.0,,3.0,4.0,4.0,2.0,,1.0,1.0,1.0,,1.0,,,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,,,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
