gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attCmissRight,attFreekickTotal,attIboxTarget,interceptionsInBox,freekickTotal,attHdTarget,attMissHighLeft,bigChanceMissed,defenderGoals,attCmissHighLeft,attAssistSetplay,attPostHigh,shieldBallOop,attSvHighCentre,attFreekickMiss,attLfTarget,savedObox,attPenTarget,accurateKeeperSweeper,penaltyWon,divingSave,attSvLowLeft,attGoalHighCentre,totalKeeperSweeper,sixYardBlock,attSvLowRight,attHdMiss,ptsGainedLosingPos,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,attGoalLowLeft,attFreekickPost,attPostLeft,errorLeadToShot,totalPullBack,attPenGoal,attGoalHighLeft,attOboxPost,contentiousDecision,clearanceOffLine,punches,foulThrowIn,errorLeadToGoal,attHdPost,attFreekickTarget,handBall,attGoalHighRight,attSvHighLeft,penaltyConceded,attFreekickGoal,penaltyFaced,penGoalsConceded,accuratePullBack,attLgCentre,goalsConcededObox,ownGoals,attIboxOwnGoal,attObxLeft,attCmissHighRight
11,918993,2017-11-05 16:30:00,"Stamford Bridge, London",41615,Away,Manchester United,Chelsea,0,1,L,0,0,0,0,,59.0,,1.0,,,36.0,22.0,7.0,5.0,3.0,7.0,,1.0,133.0,,6.0,4.0,,1.0,4.0,2.0,89.0,149.0,52.0,10.0,4.0,17.0,,1.0,,,,,2.0,21.0,,5.0,1.0,22.0,6.0,12.0,21.0,,178.0,,,,0.0,147.0,20.0,,,1.0,,88.0,59.0,3.0,63.0,,15.0,16.0,7.0,8.0,2.0,149.0,1.0,12.0,111.0,598.0,4.0,9.0,14.0,,14.0,278.0,20.0,7.0,9.0,,3.0,4.0,1.0,29.0,358.0,74.0,,,76359,1.0,129.0,6.0,,148.0,9.0,,16.0,13.0,58.0,1.0,,,2.0,,16.0,6.0,3.0,1.0,79.0,301.0,16.0,10.0,24.0,74.0,,1.0,0.0,4.0,4.0,4.0,,2.0,0.0,5.0,,1.0,46.0,25.0,3.0,,3.0,5.0,34.0,7.0,,396.0,14.0,9.0,12.0,3.0,,25.0,1.0,1.0,269.0,4.0,12.0,19.0,99.0,24.0,,2.0,9.0,13.0,,8.0,3.0,9.0,2.0,7.0,7.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,3.0,,,,3.0,2.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
12,919010,2017-11-18 17:30:00,"Old Trafford, Manchester",75035,Home,Manchester United,Newcastle United,4,1,W,2,1,0,0,3.0,55.0,2.0,2.0,1.0,,45.0,20.0,2.0,2.0,14.0,4.0,1.0,1.0,178.0,,7.0,12.0,4.0,1.0,13.0,7.0,159.0,140.0,50.0,16.0,1.0,13.0,,1.0,,3.0,1.0,,2.0,37.0,,12.0,,20.0,7.0,17.0,47.0,1.0,302.0,,,,0.0,197.0,10.0,,2.0,,,103.0,108.0,9.0,103.0,2.0,30.0,19.0,2.0,7.0,1.0,140.0,4.0,6.0,180.0,811.0,8.0,8.0,40.0,,5.0,521.0,18.0,5.0,14.0,4.0,1.0,1.0,4.0,26.0,595.0,68.0,,,9808,6.0,247.0,23.0,1.0,259.0,5.0,1.0,19.0,9.0,53.0,1.0,3.0,1.0,3.0,3.0,9.0,6.0,6.0,1.0,72.0,542.0,9.0,12.0,15.0,77.0,,,0.0,3.0,4.0,1.0,4.0,2.0,0.0,5.0,4.0,4.0,64.7,25.0,6.0,2.0,3.0,3.0,55.0,11.0,,620.0,5.0,6.0,31.0,6.0,,45.0,2.0,5.0,398.0,8.0,17.0,14.0,150.0,28.0,1.0,1.0,14.0,15.0,2.0,10.0,3.0,24.0,1.0,4.0,11.0,,,3.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,3.0,,,,2.0,1.0,,,1.0,,1.0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
13,919017,2017-11-25 15:00:00,"Old Trafford, Manchester",75018,Home,Manchester United,Brighton and Hove Albion,1,0,W,0,0,0,0,,75.0,,1.0,,,30.0,14.0,8.0,5.0,7.0,2.0,,1.0,170.0,,5.0,18.0,1.0,2.0,12.0,4.0,159.0,151.0,51.0,15.0,3.0,14.0,,,,,4.0,,4.0,27.0,,7.0,1.0,14.0,5.0,19.0,30.0,,285.0,,1.0,,0.0,194.0,9.0,,,1.0,2.0,49.0,130.0,6.0,67.0,1.0,22.0,19.0,8.0,6.0,4.0,151.0,1.0,4.0,169.0,754.0,11.0,3.0,25.0,,14.0,463.0,30.0,4.0,6.0,,0.0,3.0,6.0,22.0,547.0,60.0,,,9808,,198.0,15.0,,215.0,4.0,,19.0,7.0,46.0,1.0,2.0,2.0,3.0,,13.0,4.0,5.0,1.0,58.0,478.0,9.0,5.0,25.0,80.0,,3.0,0.0,5.0,,1.0,1.0,1.0,0.0,4.0,,5.0,58.3,18.0,6.0,1.0,3.0,4.0,51.0,5.0,2.0,565.0,14.0,12.0,16.0,7.0,,31.0,1.0,3.0,377.0,5.0,19.0,14.0,148.0,35.0,,1.0,6.0,10.0,,10.0,3.0,24.0,1.0,6.0,5.0,1.0,,3.0,,,2.0,1.0,2.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,919027,2017-11-28 20:00:00,"Vicarage Road, Watford",20552,Away,Manchester United,Watford,4,2,W,3,0,0,0,,63.0,1.0,2.0,,,31.0,38.0,7.0,4.0,8.0,1.0,,1.0,136.0,1.0,2.0,13.0,4.0,4.0,10.0,7.0,65.0,137.0,54.0,15.0,3.0,16.0,1.0,2.0,,3.0,,1.0,1.0,10.0,,10.0,1.0,38.0,4.0,11.0,25.0,,117.0,,,3.0,0.0,94.0,10.0,1.0,2.0,1.0,,41.0,51.0,7.0,63.0,1.0,6.0,16.0,7.0,1.0,,137.0,1.0,8.0,82.0,545.0,5.0,7.0,20.0,,10.0,242.0,26.0,8.0,15.0,3.0,1.0,3.0,3.0,25.0,319.0,48.0,,1.0,9808,4.0,142.0,4.0,1.0,161.0,6.0,4.0,16.0,10.0,55.0,1.0,,,2.0,3.0,16.0,4.0,4.0,1.0,72.0,257.0,12.0,14.0,31.0,71.0,1.0,,0.0,2.0,5.0,1.0,1.0,,0.0,1.0,,1.0,40.6,19.0,3.0,1.0,2.0,5.0,35.0,5.0,,346.0,10.0,11.0,13.0,3.0,,17.0,1.0,3.0,195.0,9.0,8.0,16.0,53.0,27.0,2.0,3.0,15.0,14.0,,11.0,3.0,18.0,3.0,12.0,5.0,,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,,,,2.0,,,,,,3.0,,,,,1.0,,2.0,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,
15,919034,2017-12-02 17:30:00,"Emirates Stadium, London",59547,Away,Manchester United,Arsenal,3,1,W,2,0,1,0,2.0,58.0,,2.0,,,18.0,67.0,1.0,2.0,7.0,14.0,,1.0,106.0,1.0,2.0,7.0,3.0,1.0,6.0,4.0,39.0,111.0,56.0,8.0,1.0,12.0,1.0,1.0,,3.0,1.0,1.0,,4.0,,7.0,,67.0,1.0,10.0,10.0,1.0,80.0,,,,0.0,78.0,10.0,2.0,1.0,,,32.0,37.0,5.0,27.0,1.0,3.0,17.0,1.0,,,111.0,3.0,19.0,50.0,450.0,2.0,7.0,18.0,1.0,14.0,133.0,38.0,8.0,37.0,3.0,2.0,13.0,1.0,12.0,190.0,43.0,1.0,,74208,4.0,69.0,3.0,,83.0,8.0,3.0,17.0,10.0,48.0,,1.0,,2.0,3.0,9.0,14.0,4.0,,62.0,147.0,10.0,9.0,34.0,63.0,1.0,,0.0,4.0,12.0,8.0,3.0,2.0,1.0,1.0,3.0,1.0,24.9,9.0,3.0,,2.0,3.0,22.0,1.0,1.0,222.0,14.0,11.0,2.0,1.0,,17.0,1.0,1.0,143.0,5.0,8.0,25.0,41.0,9.0,2.0,3.0,37.0,15.0,,7.0,3.0,14.0,3.0,10.0,1.0,,,1.0,4.0,,,,1.0,,,1.0,,2.0,,,,7.0,,,,8.0,,,,1.0,,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
16,919047,2017-12-10 16:30:00,"Old Trafford, Manchester",74847,Home,Manchester United,Manchester City,1,2,L,1,1,0,0,1.0,61.0,,1.0,,,28.0,17.0,2.0,3.0,6.0,5.0,,2.0,140.0,,3.0,14.0,1.0,1.0,4.0,5.0,70.0,141.0,59.0,8.0,,20.0,,2.0,,,3.0,,,6.0,,16.0,1.0,17.0,2.0,11.0,18.0,,81.0,1.0,,,0.0,84.0,16.0,,1.0,,,38.0,42.0,3.0,51.0,,4.0,14.0,2.0,3.0,1.0,141.0,1.0,7.0,68.0,517.0,4.0,10.0,10.0,,19.0,211.0,36.0,15.0,2.0,,4.0,3.0,1.0,20.0,306.0,55.0,,,9808,3.0,147.0,1.0,,165.0,9.0,1.0,14.0,10.0,68.0,1.0,1.0,4.0,3.0,1.0,9.0,7.0,5.0,1.0,77.0,225.0,10.0,17.0,49.0,75.0,,,0.0,1.0,8.0,4.0,1.0,1.0,0.0,2.0,,,35.4,19.0,2.0,,4.0,1.0,28.0,2.0,,329.0,19.0,10.0,8.0,2.0,,16.0,1.0,1.0,170.0,5.0,9.0,13.0,33.0,18.0,,2.0,2.0,22.0,,7.0,3.0,22.0,2.0,10.0,2.0,,1.0,3.0,1.0,1.0,,,2.0,,,,,,,1.0,2.0,1.0,,,,1.0,,,,,1.0,,,2.0,2.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
17,919056,2017-12-13 20:00:00,"Old Trafford, Manchester",74798,Home,Manchester United,Bournemouth,1,0,W,1,0,0,0,,69.0,,3.0,,,31.0,18.0,2.0,4.0,7.0,7.0,,,168.0,,1.0,8.0,1.0,2.0,6.0,2.0,150.0,131.0,42.0,9.0,1.0,12.0,,1.0,1.0,1.0,,,1.0,17.0,,10.0,,18.0,3.0,20.0,33.0,,225.0,,1.0,,0.0,139.0,14.0,,,1.0,,75.0,91.0,5.0,87.0,,14.0,22.0,2.0,3.0,,131.0,,8.0,165.0,750.0,5.0,5.0,26.0,1.0,16.0,468.0,26.0,4.0,10.0,1.0,1.0,3.0,1.0,21.0,550.0,48.0,,,9808,4.0,258.0,10.0,,278.0,10.0,,22.0,6.0,42.0,1.0,1.0,2.0,5.0,1.0,9.0,6.0,2.0,1.0,70.0,482.0,12.0,8.0,20.0,77.0,,,0.0,4.0,9.0,3.0,1.0,4.0,0.0,1.0,1.0,1.0,56.4,19.0,10.0,1.0,5.0,4.0,45.0,4.0,,570.0,16.0,4.0,15.0,3.0,,28.0,,2.0,309.0,4.0,18.0,10.0,92.0,27.0,1.0,5.0,10.0,13.0,1.0,9.0,3.0,14.0,5.0,10.0,4.0,,,1.0,2.0,,,,1.0,,,,1.0,,,,1.0,4.0,,,,3.0,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,
18,919072,2017-12-17 14:15:00,"The Hawthorns, West Bromwich",24782,Away,Manchester United,West Bromwich Albion,2,1,W,2,0,0,0,1.0,61.0,,2.0,,,34.0,20.0,3.0,,5.0,4.0,,1.0,184.0,1.0,2.0,10.0,2.0,2.0,7.0,3.0,158.0,141.0,48.0,8.0,1.0,9.0,1.0,1.0,,2.0,1.0,,1.0,12.0,,7.0,1.0,20.0,2.0,25.0,25.0,,270.0,,,1.0,0.0,181.0,7.0,1.0,1.0,,,112.0,71.0,5.0,86.0,1.0,10.0,14.0,3.0,6.0,,141.0,1.0,7.0,160.0,762.0,5.0,10.0,15.0,,17.0,465.0,24.0,9.0,11.0,2.0,3.0,3.0,2.0,20.0,558.0,61.0,,,9808,2.0,216.0,4.0,,239.0,2.0,1.0,14.0,8.0,39.0,,2.0,1.0,7.0,2.0,10.0,5.0,4.0,,77.0,484.0,13.0,9.0,37.0,83.0,1.0,,0.0,1.0,6.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,56.9,20.0,5.0,2.0,7.0,3.0,45.0,3.0,,588.0,17.0,10.0,17.0,2.0,,22.0,,2.0,361.0,7.0,25.0,13.0,132.0,18.0,1.0,3.0,11.0,12.0,1.0,7.0,3.0,15.0,3.0,5.0,3.0,1.0,,,1.0,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
19,919077,2017-12-23 19:45:00,"King Power Stadium, Leicester",32202,Away,Manchester United,Leicester City,2,2,D,1,1,0,1,,65.0,1.0,,,,23.0,29.0,9.0,7.0,9.0,1.0,2.0,2.0,159.0,,4.0,12.0,2.0,2.0,14.0,6.0,122.0,123.0,61.0,19.0,4.0,7.0,1.0,2.0,1.0,1.0,1.0,,1.0,21.0,1.0,12.0,3.0,29.0,6.0,17.0,21.0,,200.0,1.0,,1.0,0.0,147.0,8.0,1.0,2.0,,,69.0,52.0,6.0,56.0,2.0,15.0,15.0,10.0,6.0,2.0,123.0,2.0,6.0,111.0,652.0,13.0,6.0,30.0,1.0,13.0,351.0,25.0,8.0,17.0,1.0,2.0,5.0,8.0,20.0,422.0,51.0,2.0,,9808,7.0,175.0,9.0,,191.0,4.0,,15.0,5.0,28.0,2.0,4.0,5.0,4.0,1.0,10.0,5.0,3.0,4.0,43.0,371.0,18.0,5.0,19.0,55.0,1.0,,0.0,1.0,4.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,50.3,15.0,5.0,,4.0,4.0,30.0,6.0,,448.0,13.0,6.0,11.0,9.0,1.0,30.0,1.0,6.0,278.0,11.0,17.0,14.0,110.0,29.0,,3.0,17.0,17.0,,17.0,3.0,14.0,3.0,4.0,6.0,,1.0,1.0,,1.0,,,2.0,,,,,,1.0,,2.0,,,,,,2.0,1.0,,,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,
20,919088,2017-12-26 15:00:00,"Old Trafford, Manchester",75046,Home,Manchester United,Burnley,2,2,D,0,2,0,0,,63.0,1.0,6.0,,,32.0,18.0,9.0,10.0,15.0,,,1.0,200.0,,13.0,10.0,2.0,8.0,19.0,6.0,191.0,171.0,66.0,24.0,5.0,21.0,,,,1.0,1.0,,4.0,50.0,,11.0,1.0,18.0,10.0,25.0,35.0,,336.0,,,,0.0,264.0,10.0,,,3.0,,101.0,89.0,13.0,83.0,1.0,40.0,15.0,9.0,16.0,3.0,171.0,2.0,2.0,164.0,858.0,14.0,5.0,45.0,2.0,5.0,518.0,33.0,3.0,12.0,1.0,3.0,,6.0,24.0,616.0,69.0,,,9808,9.0,211.0,21.0,2.0,229.0,5.0,2.0,15.0,6.0,46.0,1.0,,,7.0,1.0,13.0,1.0,4.0,2.0,53.0,534.0,13.0,3.0,16.0,75.0,,1.0,0.0,2.0,2.0,,2.0,1.0,0.0,10.0,1.0,3.0,71.3,23.0,5.0,5.0,7.0,11.0,46.0,12.0,1.0,638.0,5.0,11.0,15.0,7.0,,61.0,3.0,4.0,459.0,10.0,25.0,33.0,196.0,18.0,,,12.0,11.0,,16.0,2.0,13.0,,7.0,12.0,1.0,1.0,3.0,,1.0,,,2.0,,,4.0,,,1.0,1.0,3.0,,,,,,,,,,2.0,3.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
21,919098,2017-12-30 17:30:00,"Old Trafford, Manchester",75051,Home,Manchester United,Southampton,0,0,D,0,0,0,0,,64.0,,4.0,,,30.0,29.0,7.0,6.0,8.0,3.0,,1.0,151.0,,7.0,13.0,,4.0,13.0,3.0,138.0,138.0,60.0,15.0,3.0,13.0,,,,,2.0,,1.0,34.0,,12.0,2.0,29.0,6.0,12.0,26.0,,242.0,,1.0,,0.0,163.0,12.0,,,1.0,1.0,111.0,48.0,8.0,59.0,1.0,28.0,24.0,7.0,7.0,2.0,138.0,3.0,7.0,152.0,706.0,13.0,5.0,31.0,,6.0,405.0,36.0,5.0,18.0,,2.0,1.0,5.0,18.0,475.0,62.0,,,76359,7.0,192.0,20.0,1.0,208.0,8.0,,24.0,6.0,55.0,1.0,1.0,1.0,1.0,,15.0,1.0,6.0,2.0,56.0,427.0,12.0,11.0,19.0,63.0,,,0.0,1.0,7.0,2.0,,2.0,0.0,7.0,,3.0,54.5,16.0,2.0,,1.0,7.0,41.0,10.0,1.0,500.0,6.0,8.0,12.0,5.0,,43.0,,3.0,326.0,5.0,11.0,23.0,126.0,24.0,,2.0,18.0,14.0,,13.0,2.0,24.0,2.0,8.0,10.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,,,,,1.0,,,2.0,1.0,,,,2.0,1.0,,,1.0,,3.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,919106,2018-01-01 17:30:00,"Goodison Park, Liverpool",39188,Away,Manchester United,Everton,2,0,W,0,0,0,0,,61.0,,,,,14.0,28.0,17.0,7.0,3.0,,,2.0,175.0,,,9.0,2.0,3.0,17.0,6.0,167.0,134.0,48.0,21.0,7.0,12.0,,,1.0,2.0,,,1.0,7.0,,8.0,2.0,28.0,3.0,15.0,28.0,,292.0,1.0,1.0,2.0,0.0,213.0,10.0,,,,,90.0,77.0,12.0,87.0,2.0,4.0,12.0,18.0,,6.0,134.0,1.0,9.0,156.0,763.0,14.0,5.0,15.0,1.0,5.0,477.0,26.0,1.0,14.0,2.0,0.0,6.0,5.0,27.0,559.0,57.0,1.0,,76359,1.0,203.0,4.0,1.0,220.0,5.0,2.0,12.0,7.0,46.0,,3.0,1.0,2.0,2.0,18.0,3.0,3.0,3.0,37.0,495.0,10.0,12.0,13.0,76.0,,,0.0,,6.0,,,3.0,0.0,,,2.0,60.2,21.0,1.0,1.0,2.0,7.0,54.0,6.0,,585.0,5.0,6.0,15.0,8.0,,26.0,,1.0,372.0,12.0,15.0,17.0,164.0,29.0,2.0,,14.0,12.0,,19.0,3.0,15.0,,6.0,6.0,1.0,,2.0,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,2.0,1.0,,,,,,,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,2.0,1.0,,,,,,1.0,,,,,
23,919118,2018-01-15 20:00:00,"Old Trafford, Manchester",74726,Home,Manchester United,Stoke City,3,0,W,2,0,0,0,,55.0,,4.0,,,32.0,12.0,8.0,10.0,12.0,4.0,2.0,3.0,157.0,,2.0,9.0,3.0,4.0,15.0,9.0,167.0,106.0,43.0,20.0,1.0,14.0,,4.0,,3.0,4.0,,2.0,12.0,,10.0,2.0,12.0,2.0,23.0,31.0,,263.0,2.0,1.0,1.0,0.0,174.0,14.0,,1.0,,,97.0,79.0,10.0,97.0,,10.0,12.0,8.0,5.0,4.0,106.0,,9.0,183.0,764.0,12.0,7.0,32.0,,11.0,522.0,22.0,,8.0,3.0,2.0,1.0,5.0,13.0,583.0,47.0,1.0,,76359,5.0,281.0,5.0,1.0,291.0,11.0,1.0,12.0,8.0,50.0,1.0,3.0,4.0,5.0,3.0,11.0,2.0,7.0,2.0,49.0,542.0,10.0,6.0,9.0,56.0,,1.0,0.0,,1.0,5.0,2.0,3.0,0.0,2.0,1.0,,60.3,10.0,7.0,2.0,5.0,5.0,40.0,6.0,,604.0,11.0,9.0,20.0,6.0,,30.0,,2.0,325.0,10.0,22.0,9.0,136.0,20.0,1.0,,8.0,15.0,,16.0,3.0,16.0,,4.0,6.0,,2.0,4.0,1.0,2.0,,,1.0,1.0,,,,1.0,,1.0,3.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
24,919125,2018-01-20 15:00:00,"Turf Moor, Burnley",21841,Away,Manchester United,Burnley,1,0,W,0,0,0,0,,73.0,,3.0,,,39.0,37.0,5.0,4.0,7.0,3.0,,,162.0,,2.0,13.0,1.0,1.0,11.0,2.0,104.0,166.0,66.0,12.0,3.0,12.0,2.0,,,1.0,,,,18.0,,6.0,,37.0,2.0,21.0,29.0,,221.0,,1.0,,0.0,150.0,13.0,2.0,,1.0,,91.0,59.0,7.0,76.0,2.0,16.0,19.0,5.0,6.0,2.0,166.0,,11.0,119.0,684.0,10.0,7.0,25.0,,18.0,351.0,40.0,6.0,24.0,1.0,3.0,3.0,4.0,26.0,440.0,52.0,1.0,,76359,4.0,144.0,9.0,,172.0,5.0,1.0,19.0,10.0,58.0,1.0,2.0,2.0,5.0,1.0,18.0,3.0,4.0,1.0,83.0,363.0,6.0,9.0,34.0,81.0,2.0,,0.0,6.0,5.0,2.0,1.0,3.0,0.0,2.0,1.0,,51.8,24.0,4.0,3.0,5.0,6.0,49.0,4.0,,461.0,18.0,15.0,20.0,4.0,,24.0,,2.0,307.0,8.0,21.0,34.0,114.0,22.0,1.0,4.0,24.0,13.0,,12.0,3.0,22.0,4.0,8.0,4.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
25,919142,2018-01-31 20:00:00,"Wembley Stadium, London",81978,Away,Manchester United,Tottenham Hotspur,0,2,L,0,2,0,0,,73.0,,,,,41.0,15.0,1.0,3.0,5.0,5.0,,2.0,166.0,,3.0,9.0,,,4.0,3.0,111.0,158.0,59.0,6.0,1.0,11.0,,2.0,,,,,,12.0,,15.0,,15.0,3.0,11.0,38.0,1.0,157.0,,,,0.0,113.0,13.0,,,,,60.0,40.0,2.0,75.0,,9.0,19.0,1.0,5.0,,158.0,,13.0,118.0,682.0,4.0,11.0,19.0,,15.0,350.0,39.0,5.0,7.0,,2.0,7.0,2.0,15.0,440.0,40.0,,,76359,1.0,218.0,4.0,,241.0,7.0,,19.0,15.0,64.0,,2.0,9.0,10.0,,14.0,10.0,9.0,1.0,76.0,372.0,10.0,15.0,22.0,74.0,,,0.0,1.0,6.0,4.0,,2.0,0.0,1.0,,,47.4,14.0,4.0,,10.0,1.0,37.0,3.0,,470.0,15.0,14.0,24.0,2.0,,26.0,2.0,2.0,241.0,3.0,10.0,15.0,72.0,19.0,,1.0,7.0,25.0,,5.0,3.0,21.0,1.0,10.0,3.0,,,3.0,2.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,3.0,,,,,2.0,,,2.0,2.0,,,,,2.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,
26,919150,2018-02-03 15:00:00,"Old Trafford, Manchester",74742,Home,Manchester United,Huddersfield Town,2,0,W,0,0,0,0,1.0,60.0,,2.0,,,37.0,17.0,7.0,5.0,9.0,,2.0,3.0,206.0,1.0,7.0,27.0,2.0,8.0,10.0,7.0,243.0,140.0,75.0,16.0,3.0,18.0,,,,1.0,3.0,,2.0,17.0,,9.0,2.0,17.0,4.0,29.0,36.0,,389.0,1.0,1.0,,0.0,242.0,5.0,,1.0,3.0,,95.0,94.0,7.0,104.0,1.0,13.0,17.0,7.0,3.0,2.0,140.0,,3.0,233.0,989.0,8.0,8.0,38.0,,10.0,678.0,28.0,4.0,15.0,1.0,2.0,3.0,3.0,23.0,765.0,81.0,2.0,1.0,74208,9.0,315.0,7.0,3.0,329.0,3.0,,17.0,5.0,49.0,,3.0,4.0,2.0,1.0,11.0,1.0,4.0,,55.0,697.0,19.0,4.0,10.0,77.0,,,0.0,3.0,2.0,,2.0,3.0,0.0,4.0,1.0,2.0,74.3,22.0,2.0,,2.0,5.0,64.0,5.0,,786.0,10.0,16.0,17.0,4.0,,44.0,3.0,2.0,474.0,9.0,27.0,14.0,181.0,28.0,1.0,,15.0,15.0,,10.0,3.0,33.0,,4.0,5.0,,,3.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
