gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,goalAssistOpenplay,attOboxTarget,attMissHighRight,midfielderGoals,freekickCross,goodHighClaim,interceptionsInBox,bigChanceCreated,attMissHighLeft,goalAssist,accurateThroughBall,accurateFreekickCross,bigChanceMissed,attObxdLeft,attRfGoal,totalPullBack,totalThroughBall,goalsOpenplay,attAssistSetplay,goalAssistIntentional,attHdTotal,foulThrowIn,attHdMiss,attBxLeft,totalHighClaim,effectiveBlockedCross,blockedCross,attLfTarget,postScoringAtt,attSvLowCentre,attIboxPost,attOneOnOne,crosses18yardplus,contentiousDecision,attHdPost,hitWoodwork,attSvLowRight,attFreekickTarget,attSvHighCentre,attPostRight,accurateCornersIntobox,handBall,bigChanceScored,attGoalHighRight,goalsConceded,goalsConcededIbox,goalAssistSetplay,goalAssistDeadball,attLfGoal,accuratePullBack,penaltyWon,attGoalHighCentre,defenderGoals,attPenGoal,attGoalHighLeft,punches,clearanceOffLine,attPostLeft,attCmissHigh,attCmissLeft,forwardGoals,attGoalLowCentre,shotFastbreak,totalFastbreak,attFastbreak,attSvHighLeft,attCmissHighLeft,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,shieldBallOop,attHdGoal,attPostHigh,attOboxGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attHdTarget,goalsConcededObox,errorLeadToGoal,attSvHighRight,goalFastbreak,attCmissHighRight,attGoalLowLeft,ownGoals,attIboxOwnGoal,attFreekickGoal,secondYellow
11,803267,2015-10-31 15:00:00,"Selhurst Park, London",24854,Away,Manchester United,Crystal Palace,0,0,D,0,0,0,0,60.0,,1.0,28.0,28.0,3.0,,5.0,1.0,158.0,3.0,5.0,,5.0,3.0,,1.0,125.0,142.0,54.0,1.0,5.0,1.0,15.0,,,2.0,,14.0,22.0,21.0,2.0,17.0,26.0,206.0,1.0,0.0,122.0,15.0,2.0,,82.0,44.0,1.0,81.0,1.0,12.0,10.0,1.0,1.0,135.0,10.0,92.0,638.0,3.0,7.0,15.0,360.0,24.0,6.0,17.0,2.0,3.0,2.0,2.0,14.0,435.0,55.0,1.0,59846,2.0,172.0,7.0,,1.0,196.0,9.0,10.0,9.0,59.0,1.0,4.0,16.0,,6.0,1.0,58.0,375.0,12.0,10.0,20.0,72.0,0.0,1.0,7.0,5.0,,2.0,0.0,2.0,55.4,9.0,5.0,4.0,2.0,40.0,3.0,456.0,15.0,,13.0,11.0,2.0,34.0,1.0,274.0,5.0,15.0,15.0,88.0,25.0,16.0,23.0,3.0,3.0,12.0,5.0,3.0,,,1.0,,,3.0,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,803281,2015-11-07 15:00:00,"Old Trafford, Manchester",75410,Home,Manchester United,West Bromwich Albion,2,0,W,0,0,0,1,77.0,,2.0,39.0,12.0,6.0,5.0,,1.0,212.0,3.0,7.0,2.0,3.0,9.0,,3.0,179.0,175.0,53.0,,13.0,3.0,22.0,1.0,3.0,,1.0,23.0,12.0,9.0,2.0,17.0,45.0,358.0,1.0,0.0,248.0,11.0,,,89.0,93.0,4.0,93.0,1.0,21.0,18.0,,2.0,172.0,3.0,164.0,824.0,9.0,5.0,15.0,527.0,42.0,5.0,6.0,,1.0,1.0,5.0,25.0,633.0,73.0,,76359,4.0,185.0,14.0,,1.0,213.0,7.0,18.0,3.0,64.0,1.0,2.0,10.0,1.0,3.0,,80.0,540.0,10.0,10.0,28.0,79.0,0.0,3.0,2.0,,1.0,3.0,0.0,3.0,67.7,16.0,5.0,2.0,5.0,39.0,5.0,648.0,15.0,,10.0,21.0,5.0,31.0,3.0,458.0,8.0,16.0,21.0,200.0,27.0,5.0,15.0,9.0,3.0,18.0,10.0,5.0,1.0,,,1.0,2.0,1.0,,3.0,,2.0,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,6.0,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
13,803287,2015-11-21 12:45:00,"Vicarage Road, Watford",20702,Away,Manchester United,Watford,2,1,W,1,0,0,0,79.0,,1.0,32.0,19.0,5.0,5.0,4.0,3.0,184.0,7.0,4.0,2.0,2.0,10.0,1.0,6.0,118.0,200.0,41.0,,13.0,1.0,12.0,3.0,2.0,,1.0,22.0,10.0,12.0,6.0,9.0,34.0,234.0,,0.0,173.0,12.0,2.0,1.0,102.0,79.0,7.0,82.0,2.0,17.0,25.0,,2.0,193.0,8.0,115.0,718.0,8.0,15.0,22.0,366.0,32.0,5.0,10.0,,2.0,3.0,3.0,30.0,477.0,63.0,2.0,76359,3.0,154.0,8.0,,1.0,191.0,10.0,25.0,4.0,60.0,5.0,1.0,19.0,2.0,2.0,2.0,85.0,381.0,6.0,8.0,35.0,85.0,0.0,1.0,4.0,4.0,2.0,8.0,0.0,4.0,56.4,24.0,7.0,1.0,2.0,44.0,10.0,499.0,22.0,,21.0,22.0,5.0,27.0,3.0,330.0,8.0,7.0,13.0,124.0,34.0,8.0,18.0,9.0,3.0,11.0,12.0,10.0,,1.0,2.0,,,,2.0,1.0,2.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,2.0,2.0,2.0,,1.0,,,9.0,,,,1.0,,,,4.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
14,803295,2015-11-28 17:30:00,"King Power Stadium, Leicester",32115,Away,Manchester United,Leicester City,1,1,D,1,1,0,0,65.0,,2.0,29.0,23.0,4.0,3.0,2.0,,197.0,5.0,8.0,1.0,2.0,7.0,1.0,2.0,149.0,174.0,49.0,,10.0,,17.0,1.0,,,1.0,29.0,10.0,18.0,7.0,16.0,33.0,283.0,,0.0,163.0,7.0,1.0,,69.0,99.0,4.0,85.0,3.0,22.0,15.0,,4.0,169.0,3.0,162.0,791.0,4.0,17.0,11.0,480.0,30.0,3.0,13.0,,1.0,2.0,3.0,31.0,574.0,55.0,1.0,58877,5.0,216.0,17.0,,1.0,249.0,1.0,15.0,8.0,61.0,1.0,4.0,13.0,4.0,6.0,2.0,64.0,494.0,5.0,11.0,24.0,82.0,0.0,1.0,1.0,2.0,1.0,6.0,0.0,2.0,68.9,27.0,3.0,4.0,2.0,55.0,8.0,593.0,11.0,,16.0,22.0,6.0,34.0,2.0,373.0,4.0,16.0,16.0,125.0,27.0,11.0,20.0,6.0,1.0,19.0,5.0,8.0,,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,2.0,,2.0,1.0,3.0,,1.0,,1.0,1.0,1.0,,,,,,4.0,,,,,,1.0,,3.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
15,803311,2015-12-05 15:00:00,"Old Trafford, Manchester",75350,Home,Manchester United,West Ham United,0,0,D,0,0,0,0,71.0,1.0,7.0,30.0,11.0,8.0,2.0,2.0,,188.0,8.0,12.0,,6.0,14.0,2.0,1.0,115.0,164.0,54.0,,21.0,3.0,23.0,1.0,,,1.0,35.0,16.0,9.0,6.0,8.0,21.0,249.0,1.0,0.0,172.0,10.0,1.0,,75.0,61.0,8.0,60.0,3.0,29.0,15.0,,5.0,162.0,5.0,133.0,718.0,12.0,8.0,11.0,400.0,31.0,9.0,3.0,,1.0,2.0,6.0,30.0,480.0,65.0,3.0,58877,10.0,171.0,19.0,2.0,3.0,191.0,5.0,15.0,6.0,67.0,2.0,4.0,15.0,4.0,4.0,3.0,61.0,412.0,13.0,8.0,25.0,75.0,0.0,3.0,2.0,1.0,,3.0,0.0,4.0,62.6,26.0,3.0,4.0,10.0,42.0,6.0,496.0,11.0,,12.0,6.0,10.0,46.0,5.0,340.0,17.0,6.0,12.0,133.0,33.0,2.0,18.0,13.0,3.0,27.0,6.0,6.0,,,,3.0,,5.0,1.0,1.0,1.0,,,,,1.0,,,2.0,,,2.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,5.0,,,,,,,,4.0,,,,,,,,,2.0,,,,,,2.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,
16,803315,2015-12-12 17:30:00,"Vitality Stadium, Bournemouth",11334,Away,Manchester United,Bournemouth,1,2,L,1,1,0,0,55.0,2.0,2.0,38.0,17.0,2.0,3.0,3.0,2.0,158.0,5.0,18.0,1.0,1.0,2.0,,5.0,121.0,155.0,62.0,,11.0,1.0,23.0,4.0,,1.0,2.0,26.0,18.0,13.0,7.0,9.0,37.0,207.0,,0.0,134.0,12.0,1.0,,87.0,68.0,1.0,70.0,,19.0,13.0,,1.0,151.0,6.0,125.0,681.0,1.0,5.0,10.0,369.0,21.0,6.0,4.0,1.0,1.0,,1.0,28.0,448.0,62.0,,82205,8.0,187.0,8.0,,3.0,210.0,7.0,13.0,10.0,76.0,2.0,3.0,11.0,5.0,5.0,,78.0,389.0,11.0,14.0,30.0,76.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,4.0,56.5,24.0,2.0,3.0,3.0,46.0,7.0,474.0,10.0,,13.0,21.0,3.0,31.0,2.0,290.0,7.0,8.0,9.0,96.0,26.0,3.0,23.0,6.0,3.0,32.0,4.0,7.0,,,,,1.0,1.0,,2.0,1.0,1.0,,,,3.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,4.0,4.0,1.0,,3.0,,,10.0,,,,1.0,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,
17,803328,2015-12-19 15:00:00,"Old Trafford, Manchester",75320,Home,Manchester United,Norwich City,1,2,L,0,1,0,0,68.0,2.0,1.0,44.0,6.0,5.0,4.0,2.0,,184.0,11.0,9.0,1.0,4.0,6.0,1.0,2.0,166.0,179.0,49.0,1.0,11.0,2.0,15.0,,,1.0,1.0,52.0,14.0,4.0,10.0,18.0,49.0,338.0,,0.0,250.0,4.0,1.0,,101.0,122.0,2.0,92.0,3.0,42.0,21.0,1.0,2.0,177.0,2.0,163.0,818.0,4.0,9.0,17.0,485.0,21.0,2.0,3.0,1.0,0.0,,4.0,33.0,588.0,88.0,,76359,5.0,172.0,28.0,,1.0,189.0,3.0,21.0,3.0,43.0,2.0,2.0,12.0,4.0,2.0,2.0,73.0,499.0,10.0,10.0,17.0,81.0,0.0,1.0,,,1.0,3.0,0.0,9.0,69.2,33.0,7.0,2.0,3.0,54.0,11.0,605.0,17.0,,12.0,30.0,6.0,63.0,4.0,468.0,5.0,15.0,13.0,186.0,37.0,3.0,17.0,8.0,1.0,12.0,9.0,11.0,,1.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,13.0,,,,1.0,1.0,,,2.0,,1.0,,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
18,803336,2015-12-26 12:45:00,"bet365 Stadium, Stoke",27426,Away,Manchester United,Stoke City,0,2,L,0,2,0,0,53.0,1.0,1.0,23.0,10.0,5.0,1.0,1.0,6.0,170.0,4.0,7.0,,6.0,6.0,,6.0,122.0,174.0,45.0,1.0,11.0,1.0,19.0,3.0,1.0,2.0,1.0,26.0,11.0,6.0,8.0,8.0,28.0,225.0,,0.0,139.0,16.0,1.0,,91.0,59.0,6.0,60.0,1.0,18.0,14.0,1.0,1.0,170.0,3.0,101.0,635.0,6.0,12.0,11.0,329.0,14.0,7.0,3.0,2.0,2.0,1.0,,27.0,420.0,60.0,,76359,5.0,129.0,10.0,,2.0,146.0,7.0,14.0,11.0,66.0,1.0,5.0,13.0,10.0,4.0,,65.0,350.0,10.0,12.0,26.0,82.0,0.0,3.0,1.0,,,7.0,0.0,3.0,58.5,23.0,4.0,5.0,2.0,41.0,12.0,453.0,11.0,,15.0,12.0,3.0,42.0,2.0,333.0,9.0,8.0,12.0,93.0,28.0,2.0,16.0,8.0,2.0,16.0,7.0,12.0,,,3.0,1.0,,1.0,,4.0,1.0,,,,,2.0,,,2.0,,,,,1.0,,1.0,,,3.0,3.0,,,3.0,,,7.0,,,,2.0,1.0,,,1.0,4.0,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
19,803344,2015-12-28 17:30:00,"Old Trafford, Manchester",75275,Home,Manchester United,Chelsea,0,0,D,0,0,0,0,71.0,,,40.0,10.0,8.0,4.0,3.0,2.0,192.0,4.0,5.0,,1.0,10.0,1.0,2.0,160.0,147.0,38.0,,12.0,5.0,10.0,1.0,1.0,,,29.0,18.0,8.0,4.0,16.0,31.0,290.0,1.0,0.0,176.0,16.0,3.0,,100.0,80.0,6.0,101.0,1.0,25.0,13.0,,2.0,145.0,6.0,164.0,802.0,10.0,2.0,15.0,536.0,20.0,5.0,5.0,,4.0,,4.0,18.0,603.0,64.0,,76359,,263.0,17.0,,1.0,278.0,14.0,13.0,6.0,61.0,2.0,4.0,14.0,2.0,5.0,1.0,58.0,549.0,6.0,10.0,12.0,83.0,0.0,7.0,3.0,3.0,,,0.0,4.0,66.8,16.0,8.0,4.0,5.0,63.0,5.0,617.0,15.0,,13.0,21.0,5.0,30.0,1.0,368.0,8.0,15.0,6.0,147.0,38.0,4.0,21.0,11.0,3.0,18.0,6.0,5.0,,,1.0,,,1.0,,1.0,2.0,1.0,,,,2.0,,,,,,,,,1.0,,1.0,,2.0,2.0,,2.0,1.0,2.0,,7.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
20,803360,2016-01-02 15:00:00,"Old Trafford, Manchester",75415,Home,Manchester United,Swansea City,2,1,W,0,0,0,0,65.0,1.0,6.0,39.0,7.0,3.0,7.0,3.0,1.0,172.0,4.0,15.0,2.0,4.0,14.0,,6.0,135.0,135.0,55.0,2.0,19.0,2.0,8.0,3.0,5.0,,2.0,21.0,15.0,5.0,4.0,23.0,18.0,273.0,,0.0,192.0,14.0,2.0,,93.0,88.0,11.0,94.0,1.0,17.0,18.0,2.0,,133.0,8.0,114.0,708.0,11.0,7.0,16.0,415.0,27.0,16.0,6.0,,2.0,2.0,3.0,24.0,497.0,54.0,,76359,6.0,161.0,13.0,1.0,2.0,178.0,9.0,18.0,7.0,43.0,1.0,3.0,10.0,1.0,4.0,,67.0,430.0,9.0,6.0,38.0,81.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,54.7,23.0,5.0,3.0,8.0,54.0,4.0,515.0,16.0,,8.0,8.0,5.0,34.0,5.0,358.0,9.0,21.0,13.0,151.0,29.0,4.0,19.0,15.0,3.0,23.0,12.0,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,2.0,,2.0,1.0,2.0,2.0,,,3.0,1.0,,,2.0,,4.0,,,3.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,
21,803368,2016-01-12 19:45:00,"St. James' Park, Newcastle",49673,Away,Manchester United,Newcastle United,3,3,D,2,1,0,0,68.0,1.0,2.0,28.0,27.0,4.0,3.0,3.0,,160.0,4.0,10.0,3.0,3.0,10.0,1.0,4.0,98.0,157.0,49.0,,12.0,2.0,8.0,1.0,,1.0,1.0,16.0,21.0,20.0,3.0,19.0,17.0,224.0,,0.0,139.0,12.0,1.0,,70.0,95.0,6.0,83.0,2.0,13.0,22.0,,1.0,150.0,10.0,91.0,647.0,7.0,9.0,13.0,334.0,19.0,6.0,12.0,1.0,3.0,3.0,4.0,23.0,407.0,45.0,,59846,4.0,130.0,9.0,1.0,,150.0,7.0,22.0,9.0,53.0,1.0,5.0,19.0,4.0,6.0,,59.0,350.0,9.0,7.0,25.0,71.0,0.0,3.0,5.0,2.0,2.0,5.0,0.0,1.0,45.8,17.0,5.0,5.0,4.0,39.0,3.0,432.0,13.0,,15.0,11.0,4.0,18.0,3.0,298.0,6.0,19.0,8.0,113.0,35.0,10.0,22.0,8.0,2.0,22.0,6.0,3.0,1.0,1.0,,1.0,1.0,2.0,2.0,3.0,3.0,,1.0,2.0,,3.0,,3.0,1.0,2.0,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,5.0,5.0,,,,,,2.0,,,,1.0,,,,3.0,,1.0,,3.0,3.0,,,,,1.0,,,1.0,1.0,1.0,,,,,2.0,1.0,2.0,3.0,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,
22,803376,2016-01-17 14:05:00,"Anfield, Liverpool",43865,Away,Manchester United,Liverpool,1,0,W,0,0,0,0,62.0,3.0,1.0,39.0,33.0,3.0,3.0,4.0,,168.0,3.0,13.0,1.0,1.0,5.0,,1.0,98.0,177.0,62.0,,7.0,,16.0,,,1.0,,13.0,14.0,31.0,3.0,11.0,48.0,148.0,1.0,0.0,127.0,18.0,2.0,,76.0,56.0,1.0,69.0,2.0,10.0,14.0,,3.0,175.0,7.0,96.0,666.0,5.0,9.0,23.0,293.0,22.0,4.0,17.0,1.0,2.0,4.0,4.0,27.0,398.0,64.0,,59846,2.0,170.0,9.0,,,196.0,4.0,14.0,19.0,76.0,,5.0,10.0,12.0,13.0,,92.0,315.0,6.0,12.0,31.0,92.0,0.0,1.0,5.0,1.0,1.0,3.0,0.0,3.0,46.7,25.0,2.0,5.0,1.0,42.0,4.0,431.0,23.0,,23.0,27.0,5.0,20.0,1.0,248.0,3.0,10.0,18.0,74.0,29.0,16.0,26.0,4.0,3.0,26.0,7.0,4.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,,4.0,4.0,,1.0,,1.0,,,,1.0,1.0,,,,,,4.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
23,803388,2016-01-23 15:00:00,"Old Trafford, Manchester",75408,Home,Manchester United,Southampton,0,1,L,0,0,0,0,80.0,,,27.0,22.0,7.0,3.0,1.0,,192.0,,7.0,,1.0,7.0,2.0,1.0,85.0,196.0,41.0,,8.0,2.0,33.0,,,,2.0,16.0,8.0,16.0,2.0,20.0,47.0,185.0,,0.0,138.0,11.0,1.0,,76.0,62.0,3.0,76.0,3.0,14.0,26.0,,4.0,190.0,5.0,104.0,651.0,6.0,12.0,21.0,316.0,37.0,8.0,15.0,,0.0,,4.0,35.0,429.0,53.0,,59846,,146.0,7.0,,2.0,181.0,6.0,26.0,9.0,68.0,2.0,1.0,17.0,2.0,5.0,,82.0,331.0,7.0,6.0,37.0,93.0,0.0,3.0,4.0,1.0,,4.0,0.0,,55.4,27.0,5.0,1.0,2.0,48.0,4.0,457.0,21.0,,7.0,23.0,5.0,29.0,1.0,292.0,5.0,18.0,18.0,93.0,29.0,12.0,9.0,6.0,3.0,18.0,12.0,4.0,,,1.0,,,,2.0,2.0,,,,,,,,,,2.0,,1.0,,,,,1.0,2.0,2.0,2.0,1.0,,1.0,,,7.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,803398,2016-02-02 20:00:00,"Old Trafford, Manchester",75234,Home,Manchester United,Stoke City,3,0,W,2,0,0,0,65.0,,4.0,28.0,27.0,4.0,5.0,,2.0,167.0,5.0,7.0,3.0,2.0,15.0,,5.0,103.0,119.0,61.0,,15.0,1.0,18.0,,,1.0,1.0,14.0,15.0,22.0,2.0,22.0,29.0,249.0,1.0,0.0,162.0,13.0,,,84.0,93.0,10.0,73.0,1.0,12.0,15.0,,1.0,114.0,2.0,118.0,642.0,12.0,7.0,19.0,364.0,26.0,5.0,15.0,1.0,2.0,3.0,5.0,19.0,437.0,50.0,,59846,4.0,135.0,9.0,,,154.0,5.0,15.0,7.0,50.0,3.0,1.0,7.0,8.0,2.0,2.0,61.0,379.0,13.0,7.0,22.0,74.0,0.0,,5.0,,3.0,5.0,0.0,5.0,46.9,18.0,4.0,1.0,5.0,44.0,2.0,461.0,19.0,,9.0,16.0,5.0,24.0,4.0,321.0,7.0,20.0,20.0,125.0,29.0,14.0,21.0,15.0,3.0,10.0,9.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,3.0,1.0,,1.0,,2.0,2.0,1.0,3.0,,3.0,2.0,,1.0,5.0,1.0,3.0,3.0,,,1.0,,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
25,803406,2016-02-07 16:00:00,"Stamford Bridge, London",41434,Away,Manchester United,Chelsea,1,1,D,0,0,0,0,51.0,,2.0,26.0,30.0,8.0,1.0,4.0,4.0,157.0,6.0,11.0,1.0,,13.0,2.0,7.0,93.0,148.0,53.0,,17.0,2.0,18.0,2.0,1.0,,3.0,26.0,13.0,21.0,9.0,10.0,32.0,236.0,,0.0,156.0,9.0,3.0,1.0,88.0,82.0,9.0,71.0,2.0,18.0,17.0,,2.0,139.0,12.0,114.0,662.0,9.0,16.0,13.0,328.0,22.0,1.0,14.0,,3.0,5.0,4.0,29.0,406.0,53.0,,59846,5.0,120.0,14.0,,,131.0,5.0,17.0,16.0,60.0,1.0,4.0,8.0,4.0,11.0,1.0,53.0,350.0,6.0,11.0,11.0,82.0,0.0,,10.0,4.0,1.0,7.0,0.0,4.0,50.7,27.0,4.0,4.0,4.0,46.0,11.0,435.0,13.0,,16.0,15.0,6.0,27.0,4.0,330.0,13.0,9.0,16.0,120.0,20.0,10.0,20.0,11.0,3.0,18.0,8.0,11.0,,1.0,4.0,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,3.0,1.0,1.0,,,3.0,1.0,7.0,7.0,1.0,,1.0,,,4.0,,,,2.0,,1.0,,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,
26,803414,2016-02-13 12:45:00,"Stadium of Light, Sunderland",41687,Away,Manchester United,Sunderland,1,2,L,1,1,0,0,62.0,1.0,4.0,39.0,21.0,4.0,6.0,3.0,2.0,176.0,1.0,5.0,1.0,1.0,9.0,,6.0,120.0,163.0,38.0,,12.0,1.0,11.0,3.0,,,1.0,22.0,14.0,16.0,7.0,18.0,37.0,259.0,,0.0,179.0,15.0,2.0,1.0,113.0,49.0,8.0,75.0,,16.0,13.0,,1.0,158.0,13.0,130.0,694.0,9.0,7.0,14.0,387.0,28.0,3.0,13.0,,3.0,7.0,1.0,20.0,471.0,69.0,,91126,4.0,153.0,11.0,,,174.0,8.0,13.0,14.0,49.0,6.0,5.0,15.0,9.0,9.0,,64.0,411.0,6.0,7.0,13.0,78.0,0.0,5.0,6.0,3.0,1.0,2.0,0.0,1.0,66.3,15.0,1.0,5.0,5.0,49.0,8.0,501.0,14.0,,9.0,25.0,1.0,30.0,,349.0,6.0,17.0,10.0,141.0,25.0,11.0,17.0,12.0,3.0,12.0,6.0,8.0,,,2.0,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,3.0,,,,3.0,,2.0,,,5.0,,,,1.0,,,,1.0,,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,
27,803422,2016-02-28 14:05:00,"Old Trafford, Manchester",75329,Home,Manchester United,Arsenal,3,2,W,2,1,0,0,67.0,,1.0,25.0,27.0,3.0,,3.0,2.0,148.0,1.0,6.0,3.0,3.0,3.0,,5.0,63.0,144.0,50.0,1.0,7.0,,12.0,,,1.0,,12.0,18.0,22.0,,5.0,34.0,141.0,,0.0,108.0,21.0,1.0,,82.0,48.0,3.0,64.0,,12.0,11.0,1.0,1.0,139.0,10.0,74.0,534.0,1.0,4.0,17.0,250.0,38.0,3.0,13.0,1.0,4.0,3.0,,18.0,321.0,39.0,,59846,2.0,127.0,10.0,,1.0,150.0,12.0,11.0,7.0,56.0,2.0,2.0,18.0,3.0,2.0,,70.0,267.0,15.0,9.0,32.0,75.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,39.2,9.0,2.0,2.0,1.0,36.0,2.0,349.0,17.0,,10.0,20.0,1.0,14.0,,211.0,6.0,5.0,5.0,81.0,22.0,13.0,24.0,5.0,3.0,10.0,6.0,2.0,,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,,,1.0,2.0,1.0,,3.0,,2.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,2.0,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,
