gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attFreekickPost,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,overrun,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfGoal,attMissHighRight,totalFastbreak,midfielderGoals,attOboxMiss,bigChanceCreated,errorLeadToShot,bigChanceMissed,totalThroughBall,goalsOpenplay,attCmissLeft,lostCorners,savedIbox,shieldBallOop,attBxLeft,attFreekickMiss,accurateKeeperSweeper,cleanSheet,goodHighClaim,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateThroughBall,attCmissHigh,totalHighClaim,goalAssistOpenplay,attOboxGoal,attGoalHighCentre,attLgCentre,goalAssist,totalPullBack,attSvLowRight,attFreekickGoal,goalAssistIntentional,attSvHighCentre,clearanceOffLine,attGoalLowCentre,attCmissRight,attIboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,attHdGoal,errorLeadToGoal,accuratePullBack,penaltySave,attGoalLowRight,attSvHighRight,attPostLeft,attSetpiece,attOneOnOne,accurateFreekickCross,secondYellow,attGoalHighRight,shotFastbreak,goalFastbreak,attFastbreak,punches,defenderGoals,attGoalHighLeft,attObxRight,goalAssistSetplay,goalAssistDeadball,attSvHighLeft,attCmissHighLeft,penaltyWon,attPenGoal,attCmissHighRight,attPenTarget,ownGoals,attIboxOwnGoal
11,755405,2014-11-08 15:00:00,"Old Trafford, Manchester",75325,Home,Manchester United,Crystal Palace,1,0,W,0,0,0,0,,1.0,3.0,,61.0,,1.0,2.0,39.0,29.0,15.0,15.0,1.0,,165.0,3.0,12.0,1.0,6.0,15.0,5.0,203.0,140.0,59.0,1.0,23.0,9.0,19.0,3.0,1.0,1.0,3.0,,27.0,13.0,1.0,29.0,9.0,21.0,28.0,310.0,0.0,193.0,8.0,,1.0,3.0,83.0,95.0,10.0,94.0,,,3.0,18.0,17.0,1.0,6.0,140.0,3.0,205.0,870.0,,12.0,7.0,1.0,1.0,10.0,577.0,23.0,4.0,19.0,1.0,3.0,5.0,17.0,650.0,75.0,59846,3.0,285.0,9.0,,296.0,2.0,,17.0,6.0,55.0,,4.0,10.0,3.0,5.0,3.0,61.0,592.0,11.0,3.0,2.0,16.0,71.0,0.0,,3.0,,1.0,,,2.0,0.0,1.0,2.0,,71.4,15.0,1.0,5.0,4.0,11.0,48.0,11.0,667.0,10.0,11.0,14.0,7.0,17.0,2.0,3.0,398.0,6.0,21.0,20.0,151.0,29.0,,1.0,19.0,16.0,,18.0,3.0,27.0,1.0,5.0,11.0,1.0,,1.0,,3.0,,1.0,,,1.0,,4.0,,,4.0,,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
12,755413,2014-11-22 17:30:00,"Emirates Stadium, London",60074,Away,Manchester United,Arsenal,2,1,W,0,0,0,0,1.0,1.0,,1.0,61.0,,4.0,3.0,33.0,45.0,3.0,3.0,8.0,1.0,119.0,4.0,10.0,2.0,2.0,9.0,2.0,69.0,127.0,61.0,1.0,12.0,1.0,10.0,,4.0,,,2.0,12.0,22.0,1.0,45.0,5.0,10.0,22.0,118.0,0.0,86.0,8.0,7.0,,1.0,26.0,77.0,6.0,55.0,2.0,,3.0,7.0,23.0,1.0,3.0,127.0,13.0,74.0,531.0,,5.0,6.0,,,10.0,214.0,32.0,8.0,19.0,1.0,6.0,3.0,17.0,287.0,40.0,59846,3.0,116.0,3.0,1.0,147.0,2.0,,23.0,10.0,47.0,4.0,2.0,3.0,10.0,4.0,,81.0,230.0,11.0,11.0,3.0,36.0,65.0,0.0,,2.0,2.0,,,1.0,2.0,0.0,1.0,1.0,,38.6,13.0,1.0,,2.0,4.0,31.0,5.0,317.0,10.0,10.0,11.0,6.0,11.0,3.0,5.0,182.0,6.0,9.0,14.0,57.0,18.0,1.0,6.0,19.0,27.0,,7.0,3.0,19.0,6.0,7.0,5.0,1.0,,4.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,4.0,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,2.0,,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,
13,755425,2014-11-29 15:00:00,"Old Trafford, Manchester",75345,Home,Manchester United,Hull City,3,0,W,2,0,0,0,,1.0,,,56.0,1.0,,2.0,53.0,16.0,6.0,2.0,2.0,3.0,167.0,4.0,8.0,3.0,3.0,11.0,7.0,276.0,113.0,47.0,,15.0,2.0,11.0,4.0,,,2.0,2.0,26.0,10.0,,16.0,7.0,23.0,35.0,390.0,0.0,174.0,12.0,1.0,1.0,3.0,58.0,148.0,8.0,128.0,,,2.0,19.0,6.0,,6.0,113.0,4.0,236.0,970.0,,8.0,4.0,1.0,,13.0,727.0,23.0,3.0,12.0,2.0,,3.0,14.0,789.0,68.0,59846,5.0,358.0,10.0,,371.0,6.0,2.0,6.0,5.0,47.0,5.0,3.0,3.0,,4.0,,72.0,744.0,12.0,7.0,1.0,12.0,91.0,0.0,,1.0,1.0,,,,1.0,0.0,3.0,3.0,,76.4,13.0,2.0,6.0,3.0,4.0,70.0,7.0,807.0,13.0,9.0,25.0,4.0,19.0,1.0,2.0,462.0,9.0,22.0,13.0,144.0,23.0,2.0,,12.0,14.0,,10.0,3.0,17.0,,3.0,7.0,1.0,,1.0,,2.0,1.0,,2.0,3.0,2.0,,,2.0,,,,,1.0,,,,,1.0,,,2.0,2.0,,,2.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,
14,755437,2014-12-02 19:45:00,"Old Trafford, Manchester",75388,Home,Manchester United,Stoke City,2,1,W,1,1,0,0,1.0,,,1.0,52.0,,,2.0,47.0,19.0,1.0,3.0,2.0,1.0,185.0,7.0,12.0,2.0,6.0,8.0,3.0,173.0,126.0,60.0,1.0,10.0,,9.0,1.0,1.0,,,,24.0,14.0,,19.0,2.0,17.0,29.0,291.0,0.0,177.0,8.0,1.0,,3.0,80.0,118.0,3.0,100.0,,,2.0,22.0,12.0,1.0,4.0,126.0,3.0,173.0,827.0,,7.0,9.0,,,20.0,549.0,23.0,13.0,9.0,2.0,1.0,5.0,24.0,614.0,69.0,91126,4.0,278.0,15.0,,287.0,4.0,,12.0,5.0,51.0,1.0,2.0,9.0,2.0,3.0,2.0,65.0,562.0,12.0,9.0,,21.0,79.0,0.0,,1.0,1.0,,,1.0,4.0,0.0,7.0,1.0,1.0,64.0,21.0,,7.0,2.0,2.0,61.0,3.0,631.0,20.0,13.0,19.0,5.0,13.0,,4.0,368.0,6.0,16.0,18.0,137.0,19.0,,2.0,9.0,18.0,,7.0,3.0,24.0,2.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,,3.0,2.0,1.0,,2.0,3.0,,1.0,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,
15,755449,2014-12-08 20:00:00,"St. Mary's Stadium, Southampton",31420,Away,Manchester United,Southampton,2,1,W,1,1,0,0,,1.0,,2.0,58.0,1.0,,,38.0,33.0,1.0,3.0,3.0,,157.0,3.0,10.0,2.0,2.0,2.0,2.0,104.0,142.0,61.0,,3.0,,18.0,,,,,1.0,11.0,21.0,,33.0,1.0,21.0,40.0,190.0,0.0,112.0,9.0,2.0,,2.0,81.0,59.0,1.0,88.0,3.0,,,10.0,13.0,,3.0,142.0,12.0,129.0,670.0,,1.0,9.0,,,21.0,368.0,29.0,6.0,17.0,1.0,3.0,1.0,18.0,446.0,67.0,59846,,197.0,5.0,,218.0,3.0,,13.0,12.0,59.0,1.0,4.0,7.0,3.0,6.0,,81.0,384.0,11.0,5.0,,29.0,83.0,0.0,,2.0,2.0,,,1.0,2.0,0.0,3.0,,,48.1,16.0,,1.0,4.0,,41.0,1.0,478.0,21.0,21.0,21.0,1.0,9.0,,,271.0,,21.0,13.0,73.0,20.0,2.0,,17.0,27.0,1.0,2.0,3.0,17.0,,3.0,1.0,2.0,,,,1.0,1.0,2.0,,,1.0,1.0,5.0,3.0,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,
16,755459,2014-12-14 13:30:00,"Old Trafford, Manchester",75331,Home,Manchester United,Liverpool,3,0,W,2,0,0,0,,,3.0,2.0,66.0,,1.0,,42.0,20.0,4.0,6.0,8.0,,168.0,3.0,10.0,3.0,3.0,8.0,6.0,125.0,141.0,63.0,1.0,11.0,2.0,8.0,2.0,,,2.0,1.0,15.0,28.0,1.0,20.0,1.0,19.0,27.0,177.0,0.0,127.0,13.0,6.0,,2.0,57.0,95.0,5.0,91.0,2.0,,2.0,14.0,19.0,1.0,1.0,141.0,10.0,130.0,721.0,,5.0,5.0,,,20.0,404.0,34.0,5.0,11.0,4.0,7.0,3.0,17.0,489.0,67.0,76359,6.0,243.0,11.0,,264.0,9.0,1.0,19.0,10.0,55.0,1.0,2.0,5.0,9.0,5.0,,87.0,417.0,13.0,17.0,,29.0,78.0,0.0,,5.0,3.0,,,,,0.0,3.0,2.0,,54.7,14.0,1.0,4.0,2.0,2.0,41.0,2.0,514.0,20.0,13.0,14.0,3.0,12.0,,2.0,265.0,3.0,19.0,6.0,77.0,24.0,2.0,4.0,11.0,35.0,,9.0,3.0,15.0,4.0,9.0,2.0,1.0,,,1.0,1.0,3.0,2.0,1.0,1.0,3.0,,7.0,8.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,3.0,,,,3.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
17,755463,2014-12-20 15:00:00,"Villa Park, Birmingham",41273,Away,Manchester United,Aston Villa,1,1,D,0,1,0,1,,,6.0,,39.0,,2.0,1.0,66.0,9.0,7.0,10.0,3.0,2.0,130.0,7.0,6.0,1.0,2.0,15.0,9.0,177.0,110.0,33.0,,16.0,3.0,12.0,5.0,3.0,,6.0,,33.0,6.0,3.0,9.0,8.0,25.0,44.0,339.0,0.0,187.0,10.0,1.0,,1.0,97.0,91.0,13.0,95.0,,,1.0,25.0,9.0,,8.0,110.0,6.0,186.0,751.0,,14.0,3.0,,,14.0,513.0,7.0,,5.0,1.0,4.0,2.0,21.0,568.0,76.0,76359,4.0,196.0,16.0,,202.0,2.0,,9.0,5.0,36.0,2.0,4.0,12.0,4.0,2.0,1.0,81.0,528.0,9.0,6.0,,2.0,64.0,0.0,,1.0,1.0,,,1.0,,0.0,5.0,1.0,,64.7,21.0,,1.0,4.0,4.0,47.0,9.0,588.0,14.0,4.0,26.0,3.0,22.0,2.0,2.0,419.0,5.0,24.0,8.0,147.0,24.0,1.0,2.0,5.0,10.0,1.0,15.0,3.0,11.0,2.0,3.0,9.0,,1.0,,,1.0,1.0,,1.0,3.0,1.0,,3.0,1.0,,2.0,,,,1.0,,,,2.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,
18,755479,2014-12-26 15:00:00,"Old Trafford, Manchester",75318,Home,Manchester United,Newcastle United,3,1,W,2,0,0,0,,,,3.0,55.0,1.0,2.0,1.0,51.0,23.0,1.0,2.0,3.0,1.0,151.0,4.0,14.0,3.0,1.0,8.0,4.0,153.0,109.0,54.0,1.0,9.0,,14.0,1.0,1.0,,1.0,1.0,16.0,14.0,,23.0,4.0,19.0,35.0,262.0,0.0,140.0,16.0,1.0,,,86.0,69.0,5.0,94.0,1.0,,2.0,12.0,13.0,1.0,5.0,109.0,5.0,172.0,741.0,,5.0,10.0,,,15.0,496.0,29.0,8.0,16.0,1.0,2.0,3.0,17.0,554.0,59.0,76359,5.0,248.0,7.0,1.0,264.0,10.0,2.0,13.0,5.0,57.0,4.0,5.0,12.0,3.0,2.0,1.0,74.0,506.0,9.0,14.0,,21.0,73.0,0.0,,2.0,3.0,,,1.0,7.0,0.0,4.0,2.0,,61.9,15.0,1.0,5.0,5.0,1.0,55.0,4.0,570.0,15.0,7.0,23.0,4.0,19.0,,3.0,322.0,4.0,19.0,13.0,107.0,15.0,1.0,,16.0,18.0,1.0,8.0,3.0,20.0,,5.0,4.0,,,3.0,2.0,1.0,3.0,1.0,,4.0,3.0,,5.0,1.0,,2.0,1.0,,,,,,,3.0,1.0,,3.0,,,,3.0,1.0,,,3.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
19,755491,2014-12-28 12:00:00,"White Hart Lane, London",35711,Away,Manchester United,Tottenham Hotspur,0,0,D,0,0,0,0,,1.0,1.0,,67.0,,3.0,1.0,44.0,35.0,2.0,3.0,4.0,3.0,172.0,6.0,4.0,,2.0,7.0,5.0,73.0,186.0,60.0,1.0,9.0,1.0,21.0,4.0,,,2.0,,21.0,20.0,1.0,35.0,6.0,14.0,37.0,163.0,0.0,126.0,19.0,4.0,,2.0,67.0,85.0,5.0,70.0,4.0,,,15.0,16.0,1.0,1.0,186.0,3.0,82.0,629.0,,6.0,8.0,1.0,1.0,22.0,268.0,25.0,5.0,17.0,4.0,2.0,2.0,26.0,373.0,72.0,76359,6.0,124.0,12.0,,150.0,10.0,,16.0,10.0,70.0,6.0,4.0,15.0,6.0,5.0,2.0,102.0,281.0,11.0,7.0,1.0,40.0,94.0,0.0,,3.0,,,,,2.0,0.0,4.0,1.0,2.0,51.6,23.0,,9.0,4.0,2.0,41.0,6.0,397.0,22.0,19.0,21.0,2.0,11.0,2.0,2.0,268.0,4.0,14.0,19.0,73.0,24.0,,,17.0,27.0,,7.0,3.0,11.0,,8.0,6.0,,,,,,4.0,,4.0,3.0,,,3.0,1.0,,,,1.0,1.0,,,,1.0,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
20,755500,2015-01-01 12:45:00,"bet365 Stadium, Stoke",27203,Away,Manchester United,Stoke City,1,1,D,1,1,0,0,,,,1.0,59.0,,,,38.0,48.0,1.0,4.0,1.0,,145.0,6.0,4.0,1.0,3.0,5.0,2.0,144.0,143.0,41.0,1.0,6.0,,13.0,1.0,1.0,,,2.0,27.0,10.0,,48.0,7.0,13.0,41.0,228.0,0.0,153.0,12.0,,,2.0,75.0,61.0,2.0,71.0,3.0,,,20.0,13.0,1.0,6.0,143.0,8.0,147.0,726.0,,3.0,5.0,1.0,,17.0,417.0,22.0,4.0,24.0,0.0,3.0,3.0,22.0,488.0,69.0,76359,3.0,204.0,12.0,,220.0,6.0,,13.0,10.0,54.0,2.0,8.0,13.0,1.0,4.0,2.0,71.0,426.0,8.0,5.0,1.0,17.0,66.0,0.0,,2.0,1.0,,,1.0,1.0,0.0,3.0,1.0,,65.9,22.0,,3.0,8.0,,37.0,7.0,507.0,17.0,14.0,22.0,4.0,25.0,3.0,3.0,314.0,1.0,11.0,17.0,105.0,26.0,1.0,3.0,24.0,12.0,1.0,3.0,3.0,14.0,3.0,7.0,7.0,1.0,,1.0,,1.0,1.0,1.0,,5.0,,2.0,11.0,1.0,,,1.0,1.0,,2.0,,,1.0,2.0,,2.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,
21,755509,2015-01-11 16:00:00,"Old Trafford, Manchester",75395,Home,Manchester United,Southampton,0,1,L,0,0,0,0,,,,,67.0,,,2.0,50.0,26.0,2.0,6.0,,,173.0,9.0,8.0,,4.0,9.0,,142.0,150.0,53.0,,10.0,,15.0,,2.0,,,3.0,30.0,15.0,,26.0,2.0,10.0,38.0,277.0,0.0,196.0,9.0,,,3.0,73.0,97.0,2.0,100.0,,,3.0,28.0,13.0,,9.0,150.0,9.0,153.0,770.0,,8.0,8.0,,,21.0,456.0,28.0,5.0,15.0,2.0,3.0,7.0,29.0,549.0,77.0,76359,3.0,200.0,16.0,,225.0,4.0,,13.0,6.0,40.0,2.0,4.0,11.0,,3.0,2.0,82.0,468.0,10.0,4.0,1.0,22.0,80.0,0.0,,1.0,,,,1.0,5.0,0.0,9.0,2.0,,60.5,27.0,2.0,1.0,4.0,2.0,54.0,3.0,568.0,21.0,5.0,21.0,8.0,28.0,,6.0,373.0,1.0,9.0,17.0,142.0,32.0,,2.0,15.0,18.0,1.0,9.0,3.0,16.0,2.0,8.0,3.0,,,,,2.0,1.0,,2.0,3.0,,1.0,5.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
22,755519,2015-01-17 15:00:00,"MATRADE Loftus Road, London",18098,Away,Manchester United,Queens Park Rangers,2,0,W,0,0,0,0,,1.0,3.0,1.0,62.0,1.0,2.0,1.0,55.0,41.0,5.0,7.0,4.0,1.0,216.0,2.0,9.0,2.0,1.0,8.0,7.0,148.0,188.0,59.0,,12.0,2.0,13.0,4.0,1.0,,4.0,,16.0,16.0,1.0,41.0,2.0,15.0,49.0,274.0,0.0,206.0,10.0,1.0,,1.0,82.0,109.0,7.0,101.0,3.0,,1.0,14.0,18.0,,4.0,188.0,9.0,130.0,815.0,,7.0,11.0,1.0,,26.0,442.0,29.0,8.0,27.0,2.0,4.0,1.0,25.0,566.0,98.0,76359,4.0,189.0,9.0,,209.0,6.0,2.0,18.0,12.0,52.0,2.0,,12.0,9.0,7.0,1.0,106.0,461.0,12.0,11.0,,29.0,110.0,0.0,,,2.0,,,,2.0,0.0,1.0,1.0,1.0,61.7,20.0,,4.0,,3.0,51.0,3.0,595.0,26.0,11.0,20.0,2.0,21.0,1.0,,402.0,4.0,14.0,20.0,131.0,24.0,,1.0,27.0,19.0,,12.0,3.0,18.0,1.0,9.0,3.0,,,2.0,,2.0,2.0,1.0,2.0,8.0,2.0,,3.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,
23,755528,2015-01-31 15:00:00,"Old Trafford, Manchester",75329,Home,Manchester United,Leicester City,3,1,W,3,0,0,0,,,3.0,2.0,65.0,1.0,,,51.0,43.0,5.0,10.0,,,187.0,4.0,9.0,3.0,5.0,9.0,5.0,187.0,141.0,55.0,1.0,12.0,3.0,19.0,3.0,,,1.0,,23.0,11.0,,43.0,3.0,21.0,39.0,314.0,0.0,160.0,8.0,,2.0,1.0,90.0,99.0,5.0,104.0,,,1.0,20.0,13.0,1.0,6.0,141.0,3.0,201.0,891.0,,8.0,3.0,,,19.0,581.0,22.0,3.0,25.0,0.0,,4.0,19.0,660.0,75.0,76359,2.0,289.0,13.0,,300.0,4.0,1.0,13.0,5.0,58.0,3.0,3.0,8.0,1.0,4.0,2.0,79.0,599.0,12.0,5.0,,16.0,89.0,0.0,,3.0,3.0,,,1.0,1.0,0.0,2.0,,,71.4,18.0,,5.0,3.0,3.0,64.0,4.0,679.0,19.0,11.0,20.0,4.0,25.0,2.0,2.0,402.0,2.0,21.0,20.0,118.0,32.0,2.0,2.0,25.0,14.0,1.0,10.0,3.0,25.0,2.0,7.0,4.0,1.0,,1.0,,2.0,2.0,1.0,1.0,5.0,2.0,,3.0,,,2.0,,,,1.0,,1.0,,3.0,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
24,755542,2015-02-08 16:15:00,"Boleyn Ground, London",34499,Away,Manchester United,West Ham United,1,1,D,0,0,1,0,,1.0,3.0,,57.0,,2.0,3.0,50.0,48.0,7.0,9.0,5.0,2.0,155.0,3.0,8.0,1.0,2.0,11.0,6.0,93.0,159.0,65.0,2.0,18.0,3.0,39.0,4.0,1.0,,3.0,1.0,28.0,15.0,1.0,48.0,7.0,4.0,44.0,192.0,0.0,146.0,13.0,4.0,2.0,1.0,56.0,69.0,7.0,71.0,2.0,,2.0,21.0,23.0,2.0,3.0,159.0,9.0,95.0,647.0,,11.0,14.0,,,16.0,303.0,22.0,13.0,31.0,2.0,1.0,4.0,19.0,392.0,58.0,76359,6.0,128.0,17.0,,150.0,7.0,,23.0,10.0,72.0,2.0,7.0,11.0,4.0,6.0,3.0,86.0,317.0,7.0,4.0,,31.0,66.0,0.0,,4.0,1.0,,,1.0,6.0,1.0,3.0,2.0,,58.8,17.0,2.0,2.0,7.0,6.0,31.0,9.0,414.0,16.0,12.0,28.0,6.0,20.0,,3.0,292.0,6.0,3.0,30.0,102.0,23.0,,5.0,31.0,20.0,1.0,12.0,2.0,14.0,5.0,6.0,9.0,1.0,,,1.0,3.0,1.0,,1.0,1.0,,,9.0,3.0,1.0,3.0,1.0,1.0,,2.0,,,1.0,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
25,755547,2015-02-11 19:45:00,"Old Trafford, Manchester",75356,Home,Manchester United,Burnley,3,1,W,2,1,0,0,,,3.0,2.0,69.0,2.0,,,57.0,48.0,4.0,7.0,2.0,1.0,163.0,4.0,19.0,3.0,2.0,8.0,7.0,129.0,140.0,65.0,,11.0,1.0,31.0,2.0,,,1.0,1.0,18.0,11.0,2.0,48.0,4.0,11.0,44.0,187.0,0.0,112.0,15.0,1.0,,1.0,69.0,72.0,5.0,93.0,1.0,,1.0,14.0,15.0,,7.0,140.0,10.0,126.0,729.0,,6.0,7.0,,,21.0,407.0,34.0,8.0,35.0,4.0,4.0,3.0,16.0,493.0,58.0,76359,2.0,236.0,6.0,,268.0,9.0,,15.0,9.0,65.0,2.0,6.0,12.0,3.0,4.0,,99.0,419.0,8.0,2.0,,27.0,82.0,0.0,,,3.0,,,1.0,3.0,0.0,3.0,2.0,,57.3,15.0,,1.0,6.0,1.0,49.0,5.0,511.0,21.0,9.0,24.0,3.0,15.0,1.0,2.0,261.0,2.0,10.0,23.0,77.0,28.0,1.0,4.0,35.0,15.0,1.0,7.0,3.0,29.0,4.0,4.0,5.0,1.0,1.0,3.0,,1.0,1.0,1.0,,2.0,,1.0,8.0,2.0,1.0,3.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,2.0,,1.0,,1.0,1.0,,,,
26,755561,2015-02-21 15:00:00,"Swansea.com Stadium, Swansea",20809,Away,Manchester United,Swansea City,1,2,L,1,1,0,0,,,2.0,,65.0,1.0,,3.0,52.0,25.0,6.0,9.0,3.0,,165.0,11.0,10.0,1.0,3.0,14.0,3.0,163.0,128.0,49.0,,18.0,3.0,17.0,2.0,,1.0,1.0,3.0,38.0,7.0,,25.0,10.0,18.0,36.0,317.0,0.0,206.0,15.0,1.0,1.0,1.0,77.0,84.0,7.0,104.0,,,2.0,28.0,20.0,,11.0,128.0,10.0,153.0,789.0,,12.0,7.0,,1.0,30.0,495.0,22.0,9.0,16.0,4.0,3.0,7.0,16.0,569.0,74.0,76359,8.0,202.0,16.0,,219.0,5.0,1.0,20.0,4.0,44.0,1.0,3.0,8.0,1.0,2.0,1.0,71.0,508.0,6.0,4.0,1.0,18.0,68.0,0.0,,,1.0,,1.0,2.0,5.0,0.0,10.0,2.0,1.0,64.0,14.0,2.0,3.0,3.0,6.0,50.0,10.0,585.0,30.0,5.0,27.0,9.0,27.0,1.0,5.0,404.0,7.0,18.0,24.0,164.0,36.0,,4.0,16.0,10.0,2.0,15.0,3.0,17.0,4.0,11.0,10.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,,2.0,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,3.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
