gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attCmissRight,attOboxTarget,attOboxMiss,totalPullBack,ownGoals,attSvLowRight,punches,goalsConceded,attIboxOwnGoal,goalsConcededIbox,errorLeadToGoal,attFreekickTotal,attMissHighRight,freekickTotal,attHdTarget,attCmissLeft,shieldBallOop,attFreekickMiss,goalsConcededObox,attRfTarget,postScoringAtt,attIboxPost,attSvHighLeft,contentiousDecision,attPostLeft,hitWoodwork,attMissHighLeft,handBall,accurateThroughBall,clearanceOffLine,bigChanceScored,attGoalLowCentre,accuratePullBack,shotFastbreak,goalAssistOpenplay,attGoalHighRight,attOboxGoal,ptsGainedLosingPos,totalFastbreak,midfielderGoals,attGoalHighCentre,penaltyConceded,attRfGoal,goalsOpenplay,attFastbreak,penaltyFaced,penGoalsConceded,accurateKeeperSweeper,attOneOnOne,totalKeeperSweeper,sixYardBlock,attCmissHigh,attMissHigh,attSvHighCentre,attCmissHighLeft,attGoalHighLeft,ptsDroppedWinningPos,attSvLowLeft,errorLeadToShot,goalFastbreak,goalAssistDeadball,attSvHighRight,subsGoals,attFreekickTarget,attGoalLowLeft,attObxRight,attFreekickPost,attOboxPost,attPostRight,foulThrowIn
11,2292912,2022-10-15 15:00:00,"Craven Cottage, London",22913,Away,Bournemouth,Fulham,2,2,D,2,1,0,0,,20.0,56.0,1.0,1.0,,,18.0,46.0,2.0,1.0,8.0,2.0,,120.0,9.0,5.0,3.0,2.0,2.0,8.0,6.0,48.0,119.0,44.0,10.0,,19.0,3.0,,1.0,2.0,12.0,7.0,46.0,4.0,4.0,34.0,94.0,,0.0,66.0,11.0,,2.0,1.0,40.0,41.0,5.0,50.0,1.0,,8.0,20.0,2.0,3.0,119.0,2.0,12.0,50.0,453.0,4.0,9.0,18.0,5.0,173.0,21.0,4.0,31.0,2.0,0.0,7.0,3.0,15.0,242.0,38.0,,88900,5.0,98.0,2.0,3.0,,124.0,6.0,13.0,9.0,49.0,,,,3.0,12.0,7.0,3.0,44.0,187.0,9.0,8.0,2.0,12.0,6.0,60.0,0.0,1.0,5.0,1.0,2.0,2.0,0.0,3.0,2.0,4.0,31.1,9.0,2.0,3.0,,3.0,,32.0,6.0,1.0,268.0,5.0,8.0,14.0,4.0,13.0,2.0,3.0,156.0,5.0,4.0,18.0,38.0,23.0,1.0,3.0,31.0,14.0,,4.0,4.0,7.0,3.0,13.0,6.0,,1.0,1.0,1.0,,1.0,,2.0,,2.0,,,,,2.0,1.0,1.0,,,2.0,,,1.0,,,,2.0,,,,1.0,,1.0,,2.0,,,,,1.0,,1.0,2.0,2.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
12,2292920,2022-10-19 19:30:00,"Vitality Stadium, Bournemouth",10405,Home,Bournemouth,Southampton,0,1,L,0,1,0,0,1.0,28.0,66.0,,,3.0,,31.0,10.0,5.0,7.0,10.0,2.0,,177.0,14.0,8.0,4.0,,4.0,14.0,3.0,122.0,156.0,44.0,15.0,1.0,9.0,2.0,3.0,1.0,2.0,22.0,5.0,10.0,5.0,1.0,52.0,230.0,,0.0,190.0,8.0,,2.0,1.0,84.0,80.0,7.0,103.0,1.0,2.0,17.0,24.0,5.0,6.0,156.0,,7.0,127.0,719.0,12.0,5.0,32.0,8.0,416.0,26.0,,6.0,,1.0,4.0,7.0,24.0,511.0,65.0,,81012,5.0,211.0,,9.0,,238.0,2.0,24.0,3.0,45.0,4.0,,2.0,4.0,20.0,2.0,3.0,58.0,433.0,12.0,5.0,2.0,10.0,2.0,68.0,0.0,1.0,3.0,2.0,,2.0,0.0,5.0,,4.0,53.5,24.0,2.0,9.0,1.0,4.0,4.0,48.0,7.0,1.0,529.0,8.0,14.0,31.0,8.0,37.0,3.0,5.0,313.0,3.0,1.0,15.0,134.0,26.0,,2.0,6.0,13.0,,11.0,4.0,13.0,2.0,11.0,7.0,,1.0,3.0,4.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,
13,2292938,2022-10-24 20:00:00,"London Stadium, London",62447,Away,Bournemouth,West Ham United,0,2,L,0,1,0,0,1.0,28.0,54.0,,1.0,,,21.0,23.0,1.0,2.0,4.0,2.0,,158.0,14.0,2.0,6.0,,1.0,4.0,3.0,109.0,127.0,53.0,5.0,,17.0,3.0,,1.0,1.0,8.0,16.0,23.0,,5.0,37.0,161.0,,0.0,104.0,11.0,2.0,1.0,,62.0,37.0,2.0,75.0,1.0,,8.0,7.0,1.0,4.0,127.0,1.0,11.0,90.0,610.0,4.0,6.0,14.0,6.0,342.0,21.0,3.0,12.0,,2.0,8.0,2.0,19.0,410.0,49.0,,88900,3.0,200.0,1.0,3.0,1.0,221.0,6.0,7.0,10.0,57.0,2.0,,,4.0,19.0,9.0,6.0,47.0,359.0,9.0,9.0,,11.0,,55.0,0.0,2.0,5.0,1.0,,4.0,0.0,2.0,,2.0,45.6,14.0,1.0,2.0,,4.0,,30.0,,,432.0,6.0,15.0,19.0,2.0,18.0,,1.0,219.0,1.0,4.0,18.0,73.0,26.0,,2.0,12.0,21.0,,4.0,4.0,13.0,2.0,4.0,,,,1.0,,,,,2.0,,2.0,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
14,2292940,2022-10-29 15:00:00,"Vitality Stadium, Bournemouth",10430,Home,Bournemouth,Tottenham Hotspur,2,3,L,1,0,0,0,1.0,18.0,45.0,1.0,1.0,,,22.0,39.0,1.0,1.0,5.0,4.0,,116.0,8.0,4.0,,2.0,1.0,6.0,4.0,61.0,108.0,35.0,6.0,,11.0,2.0,1.0,1.0,,9.0,9.0,39.0,2.0,3.0,29.0,81.0,,0.0,65.0,10.0,3.0,1.0,,32.0,39.0,4.0,45.0,,1.0,7.0,15.0,1.0,4.0,108.0,2.0,16.0,70.0,474.0,2.0,3.0,17.0,7.0,208.0,25.0,5.0,23.0,2.0,1.0,6.0,2.0,13.0,269.0,29.0,,88900,4.0,146.0,,2.0,,168.0,6.0,15.0,11.0,43.0,,,,3.0,13.0,7.0,5.0,45.0,223.0,5.0,7.0,2.0,10.0,1.0,53.0,0.0,3.0,19.0,3.0,2.0,,0.0,2.0,2.0,3.0,30.6,11.0,1.0,1.0,,3.0,,29.0,2.0,,292.0,7.0,9.0,17.0,2.0,18.0,2.0,1.0,133.0,2.0,2.0,12.0,36.0,15.0,2.0,8.0,23.0,18.0,1.0,4.0,3.0,7.0,8.0,4.0,2.0,,,1.0,,,,,3.0,,3.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,2.0,,,,2.0,,,,,,,,1.0,2.0,,,,,,,,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,,
15,2292953,2022-11-05 15:00:00,"Elland Road, Leeds",36304,Away,Bournemouth,Leeds United,3,4,L,2,1,0,0,1.0,34.0,59.0,1.0,,,,21.0,32.0,1.0,4.0,8.0,,2.0,132.0,18.0,2.0,10.0,3.0,2.0,6.0,6.0,59.0,141.0,53.0,9.0,1.0,25.0,3.0,2.0,2.0,2.0,17.0,11.0,32.0,3.0,7.0,29.0,87.0,,0.0,70.0,10.0,,3.0,1.0,40.0,33.0,5.0,37.0,2.0,,14.0,17.0,1.0,5.0,141.0,2.0,15.0,61.0,510.0,4.0,11.0,19.0,7.0,192.0,32.0,3.0,19.0,2.0,2.0,8.0,1.0,21.0,261.0,52.0,,88900,4.0,126.0,2.0,6.0,,145.0,4.0,6.0,9.0,65.0,,,,5.0,15.0,3.0,5.0,51.0,211.0,15.0,5.0,,16.0,3.0,64.0,0.0,1.0,13.0,,3.0,6.0,0.0,1.0,2.0,1.0,39.1,15.0,,2.0,1.0,5.0,1.0,30.0,3.0,1.0,289.0,7.0,15.0,13.0,2.0,21.0,1.0,2.0,161.0,4.0,7.0,13.0,36.0,19.0,1.0,7.0,19.0,15.0,,6.0,3.0,21.0,7.0,6.0,3.0,,,,,,1.0,1.0,4.0,,3.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,2.0,,,,2.0,2.0,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,1.0,3.0,,,1.0,,,,,,,,,,
16,2292960,2022-11-12 15:00:00,"Vitality Stadium, Bournemouth",10382,Home,Bournemouth,Everton,3,0,W,2,0,0,0,2.0,22.0,57.0,,1.0,2.0,2.0,18.0,22.0,4.0,5.0,12.0,3.0,1.0,143.0,8.0,6.0,10.0,3.0,2.0,13.0,9.0,62.0,137.0,50.0,16.0,1.0,13.0,4.0,,1.0,3.0,9.0,10.0,22.0,2.0,5.0,24.0,124.0,1.0,0.0,96.0,12.0,,2.0,,60.0,26.0,9.0,49.0,1.0,1.0,7.0,13.0,4.0,5.0,137.0,2.0,8.0,51.0,489.0,11.0,9.0,36.0,1.0,210.0,27.0,5.0,19.0,2.0,2.0,6.0,4.0,13.0,278.0,33.0,2.0,88900,7.0,105.0,,,1.0,128.0,3.0,9.0,15.0,63.0,2.0,,1.0,3.0,18.0,7.0,6.0,44.0,223.0,8.0,8.0,,13.0,4.0,56.0,0.0,,5.0,2.0,3.0,2.0,0.0,5.0,1.0,5.0,35.8,10.0,1.0,7.0,1.0,3.0,3.0,31.0,3.0,,305.0,1.0,19.0,14.0,4.0,15.0,1.0,3.0,186.0,6.0,3.0,17.0,63.0,17.0,1.0,2.0,19.0,15.0,2.0,11.0,3.0,21.0,2.0,9.0,3.0,,2.0,1.0,,,2.0,,,,,,,,,1.0,,1.0,,,3.0,,,,1.0,,,,,,,3.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,
17,2292973,2022-12-27 17:30:00,"Stamford Bridge, London",40046,Away,Bournemouth,Chelsea,0,2,L,0,2,0,0,1.0,19.0,52.0,,1.0,,,25.0,15.0,5.0,1.0,4.0,3.0,,133.0,4.0,3.0,8.0,,3.0,6.0,4.0,84.0,126.0,44.0,9.0,1.0,8.0,1.0,,2.0,2.0,21.0,11.0,15.0,7.0,3.0,43.0,160.0,,0.0,105.0,10.0,2.0,1.0,,58.0,54.0,2.0,58.0,4.0,1.0,14.0,14.0,5.0,6.0,126.0,,11.0,82.0,535.0,5.0,3.0,17.0,9.0,270.0,18.0,3.0,7.0,,0.0,2.0,4.0,14.0,336.0,39.0,,88900,3.0,133.0,,7.0,,155.0,2.0,6.0,9.0,41.0,,,,6.0,22.0,4.0,9.0,42.0,290.0,8.0,6.0,1.0,5.0,3.0,40.0,0.0,1.0,6.0,2.0,,,0.0,2.0,,2.0,39.7,13.0,2.0,7.0,,6.0,1.0,29.0,8.0,,357.0,9.0,12.0,23.0,4.0,27.0,1.0,3.0,223.0,6.0,2.0,11.0,76.0,19.0,,,7.0,17.0,,4.0,3.0,13.0,,6.0,8.0,,3.0,1.0,,,1.0,,2.0,,1.0,,2.0,1.0,2.0,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,
18,2292980,2022-12-31 15:00:00,"Vitality Stadium, Bournemouth",9972,Home,Bournemouth,Crystal Palace,0,2,L,0,2,0,0,,26.0,63.0,,2.0,1.0,,31.0,17.0,2.0,1.0,4.0,4.0,,173.0,8.0,5.0,12.0,,1.0,5.0,2.0,109.0,179.0,53.0,6.0,,12.0,1.0,1.0,,2.0,20.0,10.0,17.0,2.0,1.0,54.0,139.0,,0.0,130.0,17.0,1.0,1.0,,55.0,61.0,3.0,64.0,,1.0,18.0,33.0,2.0,8.0,179.0,,6.0,109.0,683.0,4.0,5.0,19.0,6.0,323.0,35.0,1.0,8.0,,4.0,5.0,2.0,41.0,434.0,71.0,1.0,88900,3.0,208.0,1.0,9.0,1.0,246.0,5.0,10.0,6.0,61.0,,,1.0,7.0,16.0,9.0,6.0,65.0,342.0,11.0,2.0,1.0,15.0,,76.0,0.0,,7.0,2.0,,1.0,0.0,5.0,,2.0,58.9,37.0,2.0,2.0,,7.0,1.0,44.0,2.0,,455.0,6.0,18.0,24.0,3.0,32.0,,2.0,229.0,3.0,1.0,13.0,80.0,18.0,,1.0,8.0,17.0,,5.0,4.0,24.0,1.0,10.0,2.0,,1.0,1.0,,,,2.0,2.0,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
19,2292998,2023-01-03 20:00:00,"Old Trafford, Manchester",73322,Away,Bournemouth,Manchester United,0,3,L,0,1,0,0,2.0,19.0,63.0,,,,,13.0,19.0,1.0,4.0,6.0,3.0,,143.0,6.0,5.0,5.0,,3.0,5.0,4.0,101.0,118.0,45.0,7.0,1.0,6.0,4.0,,1.0,,16.0,6.0,19.0,1.0,4.0,41.0,137.0,,0.0,104.0,7.0,1.0,2.0,,42.0,54.0,3.0,67.0,,1.0,15.0,24.0,1.0,8.0,118.0,1.0,10.0,94.0,578.0,5.0,4.0,14.0,12.0,298.0,37.0,1.0,14.0,,3.0,6.0,2.0,10.0,379.0,40.0,1.0,88900,3.0,188.0,1.0,5.0,,210.0,4.0,15.0,8.0,26.0,1.0,,2.0,4.0,10.0,8.0,6.0,44.0,320.0,13.0,4.0,,10.0,1.0,54.0,0.0,1.0,6.0,3.0,,2.0,0.0,5.0,,3.0,41.5,10.0,1.0,6.0,3.0,4.0,1.0,24.0,5.0,,405.0,12.0,2.0,17.0,2.0,26.0,,2.0,211.0,,3.0,9.0,68.0,16.0,,4.0,14.0,18.0,,5.0,4.0,12.0,4.0,15.0,5.0,1.0,,,,,,,3.0,,3.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,
20,2293001,2023-01-14 17:30:00,"Gtech Community Stadium, Brentford",17031,Away,Bournemouth,Brentford,0,2,L,0,1,0,0,2.0,21.0,57.0,,1.0,,,12.0,31.0,3.0,3.0,4.0,2.0,,152.0,12.0,3.0,8.0,,,5.0,2.0,105.0,159.0,52.0,7.0,2.0,18.0,1.0,,1.0,,17.0,11.0,31.0,3.0,1.0,34.0,168.0,,0.0,111.0,9.0,,,1.0,65.0,51.0,2.0,70.0,1.0,,15.0,14.0,3.0,7.0,159.0,,6.0,108.0,637.0,5.0,4.0,15.0,13.0,321.0,21.0,2.0,16.0,,1.0,1.0,3.0,21.0,414.0,38.0,,88900,2.0,173.0,,8.0,,213.0,5.0,6.0,9.0,53.0,,,1.0,4.0,20.0,6.0,8.0,50.0,338.0,5.0,6.0,,28.0,,62.0,0.0,2.0,5.0,1.0,,2.0,0.0,3.0,,3.0,50.1,16.0,3.0,3.0,1.0,4.0,2.0,24.0,3.0,1.0,435.0,13.0,9.0,15.0,3.0,22.0,1.0,3.0,239.0,1.0,1.0,20.0,82.0,26.0,,5.0,16.0,19.0,,7.0,3.0,19.0,5.0,6.0,3.0,,1.0,,1.0,,1.0,,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
21,2293010,2023-01-21 15:00:00,"Vitality Stadium, Bournemouth",10248,Home,Bournemouth,Nottingham Forest,1,1,D,1,0,0,0,1.0,17.0,62.0,,2.0,2.0,,33.0,31.0,4.0,5.0,12.0,4.0,,170.0,5.0,5.0,1.0,1.0,2.0,10.0,4.0,72.0,150.0,39.0,16.0,2.0,18.0,2.0,2.0,3.0,1.0,12.0,6.0,31.0,4.0,2.0,37.0,150.0,,0.0,130.0,10.0,3.0,,3.0,62.0,45.0,4.0,50.0,1.0,3.0,8.0,21.0,4.0,2.0,150.0,2.0,11.0,74.0,559.0,8.0,12.0,30.0,9.0,251.0,27.0,8.0,10.0,1.0,1.0,3.0,6.0,19.0,344.0,56.0,,88900,6.0,120.0,2.0,6.0,,147.0,6.0,11.0,11.0,54.0,2.0,,2.0,6.0,12.0,9.0,6.0,63.0,265.0,7.0,5.0,1.0,17.0,2.0,66.0,0.0,1.0,6.0,2.0,1.0,3.0,0.0,4.0,1.0,3.0,42.4,13.0,2.0,7.0,1.0,6.0,4.0,37.0,4.0,3.0,366.0,9.0,9.0,16.0,8.0,23.0,1.0,7.0,231.0,8.0,2.0,20.0,80.0,19.0,,1.0,10.0,11.0,,11.0,2.0,13.0,1.0,11.0,4.0,2.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,,2.0,,2.0,,,,,,2.0,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,3.0,,,,2.0,,,,,,,1.0,1.0,,,,,
22,2293022,2023-02-04 15:00:00,"American Express Stadium, Falmer",31600,Away,Bournemouth,Brighton and Hove Albion,0,1,L,0,0,0,0,1.0,14.0,55.0,,2.0,1.0,,26.0,24.0,4.0,4.0,8.0,5.0,,127.0,12.0,5.0,9.0,,,9.0,2.0,43.0,118.0,59.0,12.0,2.0,7.0,1.0,1.0,2.0,2.0,12.0,12.0,24.0,3.0,1.0,50.0,102.0,,0.0,81.0,7.0,1.0,,2.0,43.0,35.0,4.0,40.0,1.0,2.0,9.0,11.0,4.0,2.0,118.0,,14.0,54.0,462.0,7.0,8.0,22.0,9.0,173.0,23.0,4.0,18.0,,1.0,7.0,5.0,19.0,235.0,39.0,,69752,4.0,94.0,,7.0,,122.0,6.0,5.0,9.0,40.0,,,1.0,6.0,18.0,6.0,6.0,53.0,191.0,14.0,9.0,2.0,12.0,3.0,60.0,0.0,1.0,7.0,3.0,,3.0,0.0,3.0,,2.0,28.2,18.0,2.0,3.0,,6.0,3.0,35.0,3.0,2.0,264.0,9.0,7.0,31.0,7.0,12.0,2.0,6.0,154.0,6.0,1.0,17.0,51.0,17.0,,,18.0,20.0,,9.0,3.0,19.0,,5.0,3.0,,1.0,1.0,1.0,,,2.0,1.0,,1.0,,,,,,2.0,,,,1.0,,,,,,,3.0,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,
23,2293030,2023-02-11 17:30:00,"Vitality Stadium, Bournemouth",10419,Home,Bournemouth,Newcastle United,1,1,D,1,1,0,0,,24.0,63.0,1.0,1.0,,1.0,16.0,29.0,4.0,3.0,7.0,6.0,1.0,137.0,15.0,6.0,14.0,1.0,2.0,10.0,5.0,56.0,147.0,61.0,11.0,1.0,16.0,4.0,,3.0,,17.0,11.0,29.0,4.0,1.0,41.0,98.0,,0.0,94.0,8.0,1.0,3.0,2.0,40.0,29.0,6.0,30.0,2.0,2.0,13.0,21.0,4.0,4.0,147.0,2.0,10.0,53.0,501.0,8.0,6.0,16.0,17.0,178.0,31.0,6.0,19.0,1.0,2.0,3.0,4.0,22.0,254.0,49.0,,88900,4.0,92.0,1.0,6.0,,123.0,4.0,9.0,7.0,56.0,,1.0,2.0,4.0,21.0,5.0,1.0,53.0,184.0,10.0,17.0,1.0,15.0,2.0,58.0,0.0,2.0,6.0,5.0,1.0,1.0,0.0,4.0,,3.0,33.2,18.0,1.0,6.0,1.0,4.0,1.0,19.0,4.0,2.0,276.0,17.0,10.0,14.0,5.0,24.0,2.0,2.0,170.0,5.0,,17.0,58.0,19.0,,1.0,19.0,20.0,,8.0,4.0,19.0,1.0,9.0,4.0,1.0,,3.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,,,1.0,,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,
24,2293049,2023-02-18 15:00:00,"Molineux Stadium, Wolverhampton",31222,Away,Bournemouth,Wolverhampton Wanderers,1,0,W,0,0,0,0,,14.0,66.0,,1.0,2.0,,19.0,48.0,2.0,2.0,3.0,4.0,1.0,141.0,6.0,1.0,9.0,1.0,3.0,4.0,1.0,55.0,141.0,53.0,5.0,1.0,19.0,,,,,6.0,4.0,48.0,2.0,4.0,45.0,98.0,1.0,0.0,97.0,10.0,2.0,1.0,3.0,38.0,36.0,3.0,39.0,1.0,1.0,4.0,16.0,2.0,2.0,141.0,1.0,12.0,56.0,502.0,3.0,11.0,13.0,6.0,180.0,28.0,1.0,24.0,1.0,3.0,6.0,1.0,22.0,266.0,51.0,1.0,88900,2.0,100.0,,1.0,,121.0,5.0,11.0,9.0,60.0,3.0,,,5.0,21.0,3.0,8.0,48.0,197.0,11.0,17.0,,11.0,,54.0,0.0,3.0,12.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,31.4,20.0,,3.0,,5.0,3.0,28.0,2.0,3.0,291.0,6.0,12.0,21.0,1.0,17.0,,,176.0,2.0,3.0,24.0,51.0,25.0,,3.0,24.0,9.0,,5.0,5.0,13.0,3.0,11.0,2.0,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,,2.0,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,
25,2293050,2023-02-25 17:30:00,"Vitality Stadium, Bournemouth",10481,Home,Bournemouth,Manchester City,1,4,L,0,3,0,0,1.0,30.0,57.0,,1.0,6.0,,23.0,12.0,1.0,2.0,11.0,2.0,,149.0,18.0,6.0,12.0,1.0,,8.0,2.0,74.0,120.0,46.0,13.0,,9.0,,1.0,,1.0,16.0,8.0,12.0,3.0,7.0,28.0,128.0,,0.0,88.0,10.0,,1.0,1.0,61.0,28.0,3.0,63.0,2.0,2.0,13.0,27.0,2.0,,120.0,,15.0,91.0,572.0,5.0,4.0,32.0,10.0,293.0,20.0,7.0,4.0,,2.0,7.0,5.0,15.0,352.0,35.0,,88900,7.0,191.0,,12.0,,218.0,7.0,19.0,7.0,52.0,1.0,,1.0,4.0,17.0,6.0,6.0,43.0,313.0,9.0,8.0,3.0,13.0,8.0,37.0,0.0,,6.0,1.0,1.0,1.0,0.0,3.0,,4.0,34.0,14.0,3.0,4.0,1.0,5.0,6.0,24.0,4.0,1.0,377.0,10.0,15.0,15.0,5.0,21.0,3.0,4.0,175.0,7.0,6.0,10.0,63.0,26.0,,,4.0,15.0,,5.0,3.0,23.0,,19.0,4.0,,1.0,1.0,1.0,1.0,1.0,,4.0,1.0,4.0,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,
26,2293060,2023-03-04 15:00:00,"Emirates Stadium, London",60222,Away,Bournemouth,Arsenal,2,3,L,1,0,0,0,1.0,24.0,57.0,,3.0,,1.0,18.0,60.0,,1.0,4.0,6.0,,117.0,12.0,1.0,4.0,2.0,1.0,3.0,4.0,25.0,117.0,41.0,4.0,,19.0,2.0,,2.0,,7.0,12.0,60.0,1.0,1.0,28.0,49.0,,0.0,41.0,8.0,1.0,1.0,2.0,12.0,22.0,3.0,20.0,2.0,,6.0,18.0,,1.0,117.0,2.0,16.0,22.0,402.0,2.0,10.0,7.0,12.0,94.0,31.0,4.0,30.0,1.0,2.0,12.0,,11.0,154.0,28.0,,88900,2.0,58.0,1.0,4.0,,86.0,2.0,13.0,15.0,60.0,3.0,1.0,,5.0,12.0,15.0,8.0,64.0,106.0,6.0,16.0,,27.0,1.0,52.0,0.0,,17.0,3.0,2.0,4.0,0.0,,1.0,1.0,19.9,7.0,,,,5.0,,17.0,1.0,3.0,184.0,12.0,4.0,10.0,,10.0,1.0,,105.0,2.0,1.0,15.0,21.0,13.0,,3.0,30.0,16.0,1.0,3.0,4.0,17.0,3.0,13.0,1.0,,,,,,,1.0,3.0,,3.0,,,,,,,1.0,,,1.0,,,,,,,,,2.0,,2.0,2.0,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,3.0,,,,1.0,,,,,,,,,
