gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,penaltySave,attLfTarget,bigChanceScored,attGoalLowLeft,attRfTarget,goals,ontargetScoringAtt,attFreekickTotal,attIboxTarget,attOboxTarget,attMissHighRight,attSvHighRight,cleanSheet,attSvLowLeft,freekickTotal,attOboxMiss,bigChanceCreated,contentiousDecision,attHdTarget,hitWoodwork,attMissHighLeft,accurateThroughBall,bigChanceMissed,attSetpiece,penaltyConceded,attRfGoal,totalThroughBall,totalOffside,attCmissHighLeft,goalsOpenplay,attAssistSetplay,attCorner,attSvLowRight,attCmissLeft,punches,attIboxGoal,accurateFlickOn,attBxLeft,attSvHighCentre,penaltyFaced,attFreekickMiss,accurateCornersIntobox,forwardGoals,attGoalLowRight,attSvLowCentre,errorLeadToShot,totalPullBack,attCmissHigh,ptsDroppedWinningPos,attCmissRight,sixYardBlock,shotFastbreak,totalFastbreak,attFastbreak,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,penaltyWon,midfielderGoals,attGoalHighCentre,goalAssist,attPenGoal,goalAssistIntentional,attHdGoal,postScoringAtt,goalAssistOpenplay,attIboxPost,attPostLeft,subsGoals,attGoalLowCentre,attPenTarget,penGoalsConceded,attPostRight,attOboxGoal,ptsGainedLosingPos,foulThrowIn,accuratePullBack,defenderGoals,attOboxPost,attPostHigh,attLfGoal,attOneOnOne,attCmissHighRight,attGoalHighLeft,attSvHighLeft,attGoalHighRight,goalFastbreak
11,2292919,2022-10-15 15:00:00,"Molineux Stadium, Wolverhampton",31554.0,Away,Nottingham Forest,Wolverhampton Wanderers,0,1,L,0,0,0,0,,19.0,51.0,1.0,1.0,22.0,21.0,4.0,1.0,6.0,1.0,134.0,12.0,3.0,7.0,4.0,5.0,64.0,138.0,56.0,10.0,1.0,9.0,1.0,,1.0,15.0,6.0,21.0,5.0,5.0,37.0,81.0,0.0,76.0,13.0,,2.0,1.0,40.0,24.0,2.0,44.0,,,10.0,12.0,4.0,5.0,138.0,8.0,71.0,482.0,4.0,8.0,16.0,7.0,208.0,17.0,3.0,9.0,,2.0,1.0,3.0,19.0,284.0,46.0,1.0,90585,3.0,147.0,3.0,172.0,5.0,12.0,8.0,40.0,5.0,15.0,1.0,3.0,3.0,57.0,225.0,16.0,3.0,15.0,64.0,0.0,1.0,4.0,,1.0,0.0,2.0,,3.0,42.0,15.0,2.0,2.0,5.0,2.0,,28.0,5.0,1.0,313.0,7.0,11.0,16.0,6.0,25.0,4.0,156.0,6.0,5.0,17.0,37.0,22.0,1.0,9.0,16.0,1.0,6.0,4.0,13.0,1.0,5.0,5.0,2.0,,,,,1.0,,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
12,2292923,2022-10-18 19:30:00,"American Express Stadium, Falmer",31463.0,Away,Nottingham Forest,Brighton and Hove Albion,0,0,D,0,0,0,0,,19.0,43.0,1.0,,12.0,24.0,,1.0,3.0,7.0,126.0,11.0,1.0,4.0,,3.0,46.0,121.0,42.0,3.0,,16.0,2.0,,2.0,7.0,8.0,24.0,1.0,4.0,39.0,55.0,0.0,62.0,14.0,3.0,1.0,2.0,33.0,39.0,,41.0,,1.0,6.0,21.0,,,121.0,14.0,47.0,435.0,3.0,5.0,6.0,9.0,159.0,15.0,3.0,12.0,,1.0,5.0,3.0,20.0,236.0,38.0,,90585,,122.0,5.0,150.0,5.0,21.0,13.0,42.0,9.0,14.0,5.0,9.0,,44.0,176.0,10.0,2.0,17.0,43.0,0.0,2.0,9.0,6.0,,0.0,1.0,,1.0,29.7,16.0,1.0,4.0,9.0,,,13.0,1.0,2.0,260.0,9.0,6.0,13.0,3.0,13.0,3.0,117.0,1.0,4.0,15.0,31.0,12.0,2.0,12.0,13.0,,2.0,5.0,9.0,2.0,8.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2292935,2022-10-22 12:30:00,"The City Ground, Nottingham",29245.0,Home,Nottingham Forest,Liverpool,1,0,W,0,0,0,0,,32.0,64.0,1.0,1.0,11.0,38.0,4.0,3.0,6.0,7.0,115.0,17.0,1.0,8.0,1.0,9.0,44.0,130.0,46.0,10.0,1.0,11.0,,,,8.0,15.0,38.0,2.0,1.0,18.0,53.0,0.0,65.0,14.0,3.0,1.0,,31.0,28.0,8.0,24.0,1.0,,6.0,20.0,4.0,2.0,130.0,14.0,44.0,427.0,9.0,5.0,11.0,8.0,134.0,31.0,,19.0,,2.0,1.0,1.0,13.0,207.0,40.0,,90585,4.0,93.0,3.0,114.0,9.0,14.0,11.0,44.0,5.0,17.0,1.0,7.0,,43.0,145.0,8.0,6.0,17.0,55.0,0.0,,11.0,6.0,,0.0,1.0,,,24.8,6.0,,3.0,5.0,2.0,,15.0,2.0,,227.0,8.0,9.0,7.0,1.0,14.0,,121.0,7.0,1.0,11.0,35.0,24.0,2.0,19.0,19.0,,8.0,4.0,13.0,2.0,14.0,2.0,1.0,,3.0,1.0,,3.0,1.0,7.0,,3.0,3.0,,,1.0,2.0,,,4.0,,,1.0,,,4.0,2.0,,1.0,,3.0,,,,,2.0,,,1.0,2.0,1.0,,,,,1.0,,2.0,,,,,,,3.0,3.0,3.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,
14,2292941,2022-10-30 14:00:00,"Emirates Stadium, London",60263.0,Away,Nottingham Forest,Arsenal,0,5,L,0,1,0,0,1.0,21.0,44.0,,1.0,24.0,30.0,3.0,1.0,2.0,4.0,108.0,10.0,3.0,4.0,1.0,2.0,61.0,109.0,51.0,5.0,,10.0,,,1.0,11.0,14.0,30.0,4.0,1.0,33.0,70.0,0.0,66.0,8.0,2.0,2.0,,29.0,34.0,1.0,44.0,2.0,1.0,7.0,16.0,3.0,2.0,109.0,18.0,62.0,453.0,1.0,8.0,15.0,5.0,184.0,25.0,3.0,19.0,,1.0,10.0,1.0,14.0,250.0,34.0,1.0,90585,2.0,140.0,3.0,162.0,4.0,16.0,11.0,32.0,4.0,15.0,6.0,10.0,,52.0,207.0,9.0,1.0,11.0,48.0,0.0,,9.0,5.0,5.0,0.0,1.0,3.0,1.0,30.9,12.0,1.0,6.0,4.0,1.0,1.0,23.0,4.0,,275.0,5.0,6.0,14.0,2.0,15.0,1.0,124.0,3.0,,13.0,35.0,8.0,,19.0,25.0,4.0,4.0,5.0,12.0,,10.0,4.0,1.0,,1.0,,,1.0,,2.0,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,2.0,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2292955,2022-11-05 15:00:00,"The City Ground, Nottingham",28869.0,Home,Nottingham Forest,Brentford,2,2,D,1,1,0,0,1.0,17.0,58.0,,1.0,29.0,17.0,6.0,2.0,9.0,,162.0,10.0,4.0,10.0,2.0,10.0,88.0,163.0,54.0,15.0,1.0,14.0,2.0,,1.0,25.0,11.0,17.0,3.0,1.0,54.0,177.0,0.0,137.0,10.0,,2.0,,70.0,67.0,7.0,65.0,1.0,2.0,22.0,17.0,6.0,9.0,163.0,4.0,104.0,604.0,7.0,11.0,25.0,5.0,303.0,25.0,4.0,10.0,,2.0,1.0,3.0,30.0,398.0,65.0,1.0,90585,7.0,144.0,11.0,170.0,6.0,17.0,7.0,40.0,2.0,17.0,2.0,3.0,2.0,75.0,317.0,10.0,4.0,14.0,82.0,0.0,2.0,3.0,,2.0,0.0,4.0,1.0,4.0,47.2,23.0,3.0,5.0,2.0,2.0,,40.0,3.0,,419.0,5.0,10.0,21.0,6.0,31.0,3.0,274.0,9.0,1.0,16.0,85.0,23.0,3.0,10.0,18.0,1.0,13.0,4.0,12.0,3.0,8.0,3.0,,,1.0,,,4.0,2.0,7.0,,5.0,1.0,,,,3.0,,3.0,2.0,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,1.0,5.0,,1.0,1.0,,,,1.0,2.0,,,,2.0,2.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,
16,2292966,2022-11-12 15:00:00,"The City Ground, Nottingham",29045.0,Home,Nottingham Forest,Crystal Palace,1,0,W,0,0,0,0,,25.0,58.0,,,16.0,25.0,2.0,1.0,7.0,,123.0,14.0,1.0,4.0,2.0,6.0,60.0,120.0,47.0,9.0,1.0,14.0,2.0,1.0,2.0,15.0,12.0,25.0,1.0,2.0,37.0,56.0,0.0,61.0,11.0,,2.0,,20.0,43.0,2.0,39.0,,2.0,14.0,11.0,2.0,3.0,120.0,8.0,62.0,444.0,5.0,7.0,11.0,11.0,191.0,31.0,2.0,17.0,1.0,1.0,1.0,4.0,21.0,266.0,32.0,,90585,4.0,148.0,9.0,178.0,7.0,3.0,7.0,40.0,3.0,5.0,,5.0,1.0,46.0,203.0,13.0,4.0,14.0,40.0,0.0,1.0,5.0,,,0.0,1.0,1.0,,31.5,16.0,,3.0,3.0,1.0,,11.0,1.0,,284.0,11.0,8.0,17.0,6.0,22.0,5.0,121.0,8.0,1.0,9.0,34.0,21.0,1.0,17.0,21.0,,5.0,4.0,7.0,1.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,3.0,1.0,1.0,2.0,3.0,,1.0,1.0,,,2.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2292978,2022-12-27 20:00:00,"Old Trafford, Manchester",73608.0,Away,Nottingham Forest,Manchester United,0,3,L,0,2,0,0,,17.0,60.0,,1.0,20.0,24.0,3.0,2.0,5.0,5.0,131.0,11.0,4.0,11.0,3.0,5.0,65.0,152.0,47.0,8.0,1.0,7.0,,,,24.0,11.0,24.0,9.0,1.0,46.0,125.0,0.0,115.0,4.0,5.0,2.0,,39.0,67.0,4.0,48.0,3.0,2.0,15.0,25.0,3.0,4.0,152.0,12.0,70.0,514.0,3.0,3.0,20.0,8.0,208.0,34.0,1.0,7.0,,1.0,6.0,1.0,23.0,291.0,47.0,1.0,90585,3.0,103.0,9.0,126.0,1.0,10.0,7.0,31.0,1.0,17.0,5.0,6.0,,49.0,224.0,13.0,3.0,8.0,51.0,0.0,,9.0,5.0,3.0,0.0,2.0,1.0,2.0,34.2,17.0,1.0,3.0,1.0,2.0,,23.0,9.0,,314.0,8.0,13.0,19.0,3.0,25.0,2.0,212.0,4.0,,6.0,69.0,21.0,,7.0,17.0,3.0,4.0,5.0,15.0,,10.0,9.0,,,1.0,,,2.0,,3.0,,2.0,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,2.0,,,2.0,3.0,1.0,,1.0,,,,1.0,,,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
18,2292986,2023-01-01 16:30:00,"The City Ground, Nottingham",29229.0,Home,Nottingham Forest,Chelsea,1,1,D,0,1,0,0,,21.0,56.0,,1.0,13.0,15.0,4.0,6.0,8.0,1.0,106.0,9.0,,3.0,1.0,10.0,71.0,114.0,41.0,12.0,2.0,7.0,2.0,,1.0,12.0,10.0,15.0,1.0,,33.0,90.0,0.0,77.0,16.0,,1.0,,35.0,29.0,6.0,44.0,,1.0,11.0,15.0,4.0,1.0,114.0,6.0,35.0,432.0,9.0,3.0,19.0,11.0,185.0,25.0,1.0,8.0,,2.0,3.0,4.0,21.0,236.0,42.0,,90585,3.0,106.0,9.0,122.0,9.0,7.0,4.0,46.0,4.0,14.0,1.0,3.0,1.0,44.0,196.0,14.0,7.0,11.0,52.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,27.7,15.0,,6.0,5.0,3.0,,26.0,1.0,1.0,256.0,11.0,8.0,13.0,4.0,24.0,3.0,146.0,6.0,,6.0,44.0,19.0,,8.0,18.0,1.0,9.0,3.0,11.0,,7.0,1.0,,,3.0,,,1.0,1.0,5.0,,3.0,1.0,,,,2.0,,,,,,1.0,,1.0,,2.0,,1.0,1.0,2.0,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,4.0,4.0,4.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,
19,2292999,2023-01-04 19:30:00,"St. Mary's Stadium, Southampton",30150.0,Away,Nottingham Forest,Southampton,1,0,W,1,0,0,0,,23.0,65.0,,,17.0,33.0,8.0,4.0,3.0,,140.0,11.0,1.0,3.0,,7.0,47.0,158.0,69.0,11.0,1.0,25.0,,,1.0,11.0,11.0,33.0,2.0,3.0,35.0,73.0,0.0,70.0,17.0,,1.0,2.0,33.0,43.0,2.0,37.0,1.0,4.0,9.0,14.0,8.0,2.0,158.0,7.0,59.0,479.0,6.0,10.0,16.0,10.0,166.0,30.0,3.0,21.0,,2.0,2.0,5.0,15.0,254.0,39.0,,90585,3.0,108.0,6.0,137.0,5.0,8.0,11.0,59.0,3.0,22.0,1.0,4.0,2.0,53.0,180.0,14.0,3.0,20.0,62.0,0.0,4.0,6.0,,,0.0,1.0,,1.0,37.5,10.0,1.0,6.0,3.0,1.0,,20.0,2.0,2.0,283.0,10.0,9.0,13.0,9.0,15.0,1.0,157.0,6.0,3.0,30.0,34.0,21.0,1.0,21.0,22.0,,8.0,5.0,8.0,1.0,8.0,2.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,,7.0,2.0,,,1.0,1.0,,1.0,2.0,,1.0,,,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,
20,2293007,2023-01-14 15:00:00,"The City Ground, Nottingham",29301.0,Home,Nottingham Forest,Leicester City,2,0,W,0,0,0,0,,21.0,71.0,1.0,1.0,20.0,27.0,7.0,7.0,8.0,1.0,141.0,5.0,3.0,13.0,3.0,11.0,69.0,133.0,51.0,15.0,5.0,11.0,2.0,1.0,2.0,19.0,6.0,27.0,3.0,2.0,45.0,122.0,0.0,107.0,11.0,,3.0,2.0,50.0,36.0,7.0,51.0,,1.0,16.0,27.0,7.0,6.0,133.0,4.0,84.0,552.0,9.0,8.0,18.0,9.0,250.0,28.0,3.0,13.0,1.0,1.0,2.0,4.0,15.0,330.0,48.0,,89076,5.0,141.0,7.0,162.0,4.0,16.0,5.0,38.0,6.0,15.0,2.0,3.0,1.0,50.0,260.0,11.0,4.0,18.0,56.0,0.0,,5.0,,,0.0,3.0,,1.0,38.8,12.0,1.0,9.0,6.0,6.0,,32.0,3.0,2.0,345.0,9.0,9.0,25.0,4.0,31.0,3.0,202.0,6.0,1.0,13.0,64.0,25.0,5.0,13.0,14.0,,13.0,4.0,16.0,5.0,16.0,3.0,,,1.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,,,1.0,1.0,2.0,1.0,3.0,1.0,,,,1.0,1.0,,,1.0,2.0,2.0,,2.0,,,1.0,1.0,1.0,2.0,3.0,,,,,,2.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,2.0,,2.0,,,2.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,
21,2293010,2023-01-21 15:00:00,"Vitality Stadium, Bournemouth",10248.0,Away,Nottingham Forest,Bournemouth,1,1,D,0,1,0,0,,17.0,68.0,1.0,3.0,35.0,20.0,9.0,5.0,11.0,2.0,157.0,12.0,7.0,5.0,3.0,15.0,121.0,153.0,54.0,20.0,1.0,20.0,3.0,1.0,5.0,29.0,10.0,20.0,6.0,3.0,43.0,191.0,0.0,135.0,7.0,1.0,2.0,,47.0,94.0,7.0,70.0,2.0,4.0,24.0,21.0,9.0,13.0,153.0,12.0,137.0,697.0,11.0,3.0,26.0,11.0,371.0,28.0,3.0,6.0,1.0,2.0,5.0,8.0,18.0,465.0,57.0,1.0,90585,6.0,204.0,9.0,239.0,5.0,9.0,8.0,39.0,7.0,13.0,4.0,7.0,1.0,55.0,388.0,10.0,1.0,13.0,63.0,0.0,3.0,4.0,2.0,1.0,0.0,5.0,1.0,4.0,57.6,14.0,3.0,7.0,7.0,4.0,1.0,45.0,6.0,,485.0,11.0,6.0,25.0,11.0,38.0,5.0,275.0,11.0,2.0,18.0,95.0,26.0,1.0,6.0,21.0,1.0,13.0,5.0,10.0,1.0,9.0,6.0,,,,1.0,1.0,4.0,1.0,5.0,,2.0,2.0,,,,1.0,,6.0,1.0,2.0,,,1.0,,,2.0,,1.0,1.0,2.0,,1.0,3.0,5.0,1.0,1.0,,1.0,2.0,,2.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,
22,2293027,2023-02-05 14:00:00,"The City Ground, Nottingham",29363.0,Home,Nottingham Forest,Leeds United,1,0,W,1,0,0,0,,27.0,81.0,,,28.0,25.0,2.0,2.0,4.0,4.0,156.0,16.0,1.0,9.0,3.0,5.0,32.0,189.0,77.0,6.0,2.0,30.0,,,,8.0,17.0,25.0,,3.0,46.0,63.0,0.0,72.0,15.0,3.0,3.0,1.0,33.0,34.0,3.0,32.0,2.0,,8.0,21.0,2.0,,189.0,6.0,33.0,478.0,5.0,5.0,6.0,15.0,123.0,45.0,7.0,13.0,,4.0,3.0,2.0,20.0,220.0,43.0,,90585,2.0,76.0,5.0,116.0,9.0,14.0,12.0,72.0,,33.0,4.0,5.0,,76.0,138.0,14.0,9.0,27.0,79.0,0.0,1.0,2.0,4.0,,0.0,1.0,2.0,1.0,30.1,8.0,,6.0,,2.0,,26.0,,1.0,253.0,15.0,11.0,22.0,2.0,11.0,2.0,145.0,3.0,2.0,28.0,37.0,18.0,2.0,13.0,26.0,,4.0,4.0,17.0,2.0,14.0,,1.0,,,,1.0,,1.0,2.0,,1.0,,2.0,,1.0,1.0,,,,,1.0,,,1.0,,2.0,,1.0,1.0,2.0,,,,,,,,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
23,2293033,2023-02-11 15:00:00,"Craven Cottage, London",24244.0,Away,Nottingham Forest,Fulham,0,2,L,0,1,0,0,,16.0,51.0,,2.0,25.0,18.0,3.0,2.0,7.0,1.0,153.0,7.0,5.0,7.0,2.0,6.0,92.0,134.0,42.0,10.0,,18.0,1.0,,1.0,16.0,8.0,18.0,3.0,3.0,58.0,102.0,0.0,83.0,11.0,1.0,2.0,2.0,44.0,48.0,2.0,70.0,2.0,2.0,13.0,12.0,3.0,4.0,134.0,12.0,93.0,570.0,6.0,6.0,20.0,10.0,299.0,26.0,1.0,10.0,,1.0,2.0,4.0,24.0,385.0,50.0,,90585,4.0,217.0,7.0,245.0,6.0,6.0,12.0,57.0,5.0,9.0,4.0,5.0,2.0,54.0,314.0,9.0,18.0,6.0,68.0,0.0,,5.0,1.0,2.0,0.0,4.0,1.0,2.0,50.0,17.0,1.0,,5.0,2.0,,26.0,4.0,2.0,408.0,10.0,6.0,21.0,7.0,25.0,4.0,179.0,6.0,2.0,16.0,48.0,19.0,3.0,10.0,10.0,2.0,6.0,5.0,11.0,3.0,6.0,4.0,,,,,,,,1.0,,1.0,,1.0,,,1.0,,3.0,1.0,,1.0,,1.0,,1.0,,,,1.0,3.0,,,,4.0,,,1.0,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2293047,2023-02-18 15:00:00,"The City Ground, Nottingham",29365.0,Home,Nottingham Forest,Manchester City,1,1,D,0,1,0,0,1.0,21.0,55.0,3.0,1.0,19.0,37.0,1.0,1.0,3.0,5.0,126.0,6.0,2.0,4.0,,3.0,39.0,117.0,36.0,4.0,,10.0,2.0,1.0,1.0,4.0,8.0,37.0,,3.0,42.0,58.0,0.0,51.0,8.0,3.0,,,7.0,56.0,1.0,43.0,2.0,,4.0,13.0,1.0,2.0,117.0,10.0,44.0,408.0,2.0,6.0,9.0,8.0,146.0,28.0,2.0,17.0,1.0,1.0,6.0,2.0,9.0,226.0,32.0,,89076,,108.0,2.0,143.0,7.0,13.0,15.0,42.0,8.0,11.0,13.0,11.0,,60.0,164.0,6.0,14.0,15.0,57.0,0.0,1.0,10.0,2.0,1.0,0.0,2.0,,,27.0,6.0,,2.0,8.0,1.0,,26.0,,,252.0,8.0,8.0,17.0,2.0,6.0,1.0,113.0,3.0,3.0,13.0,23.0,12.0,6.0,17.0,13.0,,4.0,5.0,6.0,6.0,7.0,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,
25,2293059,2023-02-25 15:00:00,"London Stadium, London",62469.0,Away,Nottingham Forest,West Ham United,0,4,L,0,0,0,0,1.0,14.0,63.0,,,32.0,24.0,4.0,4.0,4.0,1.0,167.0,8.0,3.0,13.0,1.0,8.0,102.0,147.0,57.0,8.0,2.0,25.0,,1.0,,19.0,9.0,24.0,3.0,6.0,56.0,163.0,0.0,102.0,5.0,1.0,2.0,2.0,55.0,57.0,5.0,77.0,,2.0,16.0,18.0,4.0,5.0,147.0,12.0,89.0,626.0,7.0,5.0,15.0,5.0,327.0,26.0,3.0,11.0,1.0,0.0,5.0,3.0,20.0,416.0,52.0,1.0,89076,2.0,180.0,9.0,217.0,3.0,7.0,6.0,54.0,6.0,17.0,6.0,3.0,,63.0,340.0,6.0,11.0,12.0,62.0,0.0,1.0,12.0,1.0,4.0,0.0,3.0,1.0,2.0,50.9,16.0,1.0,4.0,6.0,2.0,,32.0,3.0,2.0,435.0,5.0,2.0,25.0,3.0,22.0,2.0,237.0,2.0,5.0,23.0,69.0,25.0,6.0,11.0,15.0,3.0,7.0,4.0,24.0,6.0,7.0,3.0,,,1.0,,,1.0,,3.0,,2.0,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,3.0,,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2293067,2023-03-05 14:00:00,"The City Ground, Nottingham",29353.0,Home,Nottingham Forest,Everton,2,2,D,1,2,0,0,,27.0,73.0,1.0,2.0,21.0,19.0,3.0,3.0,7.0,1.0,193.0,11.0,3.0,12.0,3.0,7.0,110.0,182.0,73.0,10.0,2.0,30.0,1.0,2.0,1.0,24.0,17.0,19.0,1.0,7.0,61.0,154.0,0.0,121.0,11.0,,7.0,1.0,37.0,73.0,6.0,72.0,2.0,1.0,23.0,23.0,3.0,7.0,182.0,7.0,97.0,714.0,6.0,7.0,26.0,9.0,343.0,39.0,2.0,8.0,2.0,3.0,5.0,1.0,30.0,452.0,68.0,,89076,4.0,211.0,9.0,241.0,6.0,17.0,5.0,68.0,5.0,22.0,3.0,4.0,,59.0,362.0,16.0,6.0,9.0,85.0,0.0,1.0,3.0,,2.0,0.0,3.0,2.0,1.0,57.1,24.0,,4.0,5.0,4.0,,37.0,3.0,1.0,472.0,9.0,10.0,23.0,2.0,37.0,1.0,255.0,6.0,4.0,21.0,74.0,25.0,,8.0,24.0,2.0,8.0,3.0,23.0,,17.0,3.0,,,1.0,1.0,,1.0,2.0,4.0,,2.0,,,,,,,1.0,,,,,,,,2.0,1.0,1.0,1.0,,,2.0,,,2.0,,,2.0,3.0,1.0,,1.0,,,,1.0,,,,,,,2.0,1.0,1.0,1.0,,,,,2.0,,1.0,,1.0,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,
