gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,bigChanceScored,attGoalLowLeft,goalAssistSetplay,attLfGoal,accuratePullBack,accurateKeeperSweeper,attMissLeft,contentiousDecision,totalKeeperSweeper,sixYardBlock,totalPullBack,attCmissHigh,totalThroughBall,totalOffside,attSvLowRight,accurateFlickOn,goalAssistIntentional,shieldBallOop,attBxLeft,attHdGoal,ptsDroppedWinningPos,goalAssistDeadball,attGoalLowCentre,shotFastbreak,cleanSheet,totalFastbreak,attFastbreak,attSvHighCentre,forwardGoals,attCmissRight,attCmissLeft,punches,attMissHighRight,attOboxGoal,accurateThroughBall,errorLeadToGoal,goalsConcededObox,attLgCentre,errorLeadToShot,penaltyConceded,penaltyFaced,penGoalsConceded,attSvHighRight,attObxdLeft,postScoringAtt,attFreekickPost,attPostLeft,hitWoodwork,attOboxPost,clearanceOffLine,secondYellow,attObxLeft,attIboxPost,defenderGoals,expectedGoalsOnTarget,attOneOnOne,expectedGoalsOnTargetConceded,penaltyWon,attMissHighLeft,expectedAssists,attPenMiss,attCmissHighLeft,expectedGoals,attSvHighLeft,ownGoals,attPostHigh,attIboxOwnGoal,subsGoals,attLgRight,attFreekickTarget,goalFastbreak,attPenGoal,attGoalHighLeft,foulThrowIn,attGoalHighRight,attGoalHighCentre,attPostRight,attObxRight,attPenTarget
11,2292913,2022-10-16 14:00:00,"Elland Road, Leeds",36700.0,Home,Leeds United,Arsenal,0,1,L,0,1,0,0,2.0,16.0,72.0,,2.0,4.0,17.0,5.0,7.0,7.0,9.0,3.0,2.0,163.0,8.0,1.0,6.0,,1.0,11.0,4.0,96.0,146.0,53.0,,16.0,3.0,10.0,3.0,,,1.0,19.0,14.0,1.0,5.0,6.0,1.0,43.0,186.0,0.0,168.0,10.0,,1.0,,3.0,,1.0,70.0,71.0,8.0,75.0,2.0,2.0,13.0,20.0,7.0,,4.0,3.0,146.0,1.0,6.0,94.0,610.0,11.0,3.0,26.0,,13.0,320.0,24.0,1.0,1.0,,0.0,2.0,3.0,19.0,411.0,64.0,,80954,5.0,149.0,3.0,9.0,,173.0,4.0,,8.0,5.0,53.0,7.0,,10.0,3.0,4.0,1.0,45.0,334.0,9.0,16.0,,8.0,3.0,60.0,0.0,,3.0,1.0,,1.0,0.0,1.0,,47.0,17.0,,12.0,8.0,7.0,29.0,6.0,1.0,428.0,13.0,,8.0,13.0,5.0,32.0,,2.0,274.0,9.0,1.0,13.0,115.0,25.0,1.0,1.0,25.0,1.0,12.0,4.0,15.0,1.0,8.0,6.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,4.0,,1.0,,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.2964,1.0,1.0387,1.0,1.0,0.812134,1.0,1.0,1.8551,,,,,,,,,,,,,,,,
12,2292926,2022-10-20 20:15:00,"King Power Stadium, Leicester",30814.0,Away,Leeds United,Leicester City,0,2,L,0,2,0,0,1.0,32.0,64.0,,,2.0,18.0,14.0,7.0,3.0,7.0,,1.0,173.0,14.0,4.0,4.0,,3.0,11.0,2.0,133.0,165.0,60.0,,14.0,2.0,6.0,1.0,,,1.0,16.0,16.0,1.0,14.0,6.0,7.0,51.0,173.0,0.0,106.0,11.0,,,,,2.0,,55.0,70.0,5.0,84.0,1.0,2.0,10.0,23.0,7.0,,1.0,3.0,165.0,1.0,5.0,128.0,721.0,10.0,3.0,25.0,,12.0,378.0,21.0,1.0,5.0,,1.0,3.0,6.0,29.0,488.0,50.0,1.0,80954,4.0,237.0,1.0,7.0,3.0,274.0,8.0,,23.0,7.0,48.0,5.0,,11.0,1.0,7.0,3.0,45.0,406.0,14.0,5.0,1.0,5.0,3.0,65.0,0.0,1.0,2.0,,,2.0,0.0,3.0,2.0,53.2,28.0,1.0,8.0,5.0,4.0,41.0,9.0,,518.0,12.0,,14.0,14.0,8.0,26.0,1.0,4.0,260.0,8.0,6.0,12.0,66.0,27.0,,5.0,30.0,2.0,8.0,5.0,16.0,,6.0,9.0,,,,,,,,1.0,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
13,2292933,2022-10-23 14:00:00,"Elland Road, Leeds",36447.0,Home,Leeds United,Fulham,2,3,L,1,1,0,0,2.0,23.0,65.0,,,3.0,26.0,7.0,5.0,7.0,9.0,1.0,1.0,199.0,8.0,2.0,4.0,2.0,1.0,12.0,5.0,110.0,149.0,47.0,,14.0,2.0,17.0,2.0,2.0,1.0,2.0,11.0,9.0,1.0,7.0,2.0,4.0,44.0,165.0,0.0,138.0,12.0,,1.0,,1.0,1.0,,76.0,48.0,8.0,72.0,,1.0,9.0,21.0,5.0,,3.0,2.0,149.0,3.0,10.0,107.0,680.0,10.0,6.0,24.0,,12.0,373.0,23.0,2.0,2.0,1.0,1.0,4.0,4.0,25.0,468.0,68.0,1.0,80954,4.0,227.0,2.0,5.0,1.0,251.0,10.0,1.0,10.0,4.0,58.0,6.0,2.0,21.0,1.0,3.0,2.0,58.0,390.0,7.0,13.0,1.0,12.0,1.0,72.0,0.0,,6.0,2.0,2.0,3.0,0.0,2.0,1.0,57.2,24.0,,5.0,6.0,5.0,39.0,3.0,,488.0,12.0,,8.0,20.0,4.0,27.0,,2.0,248.0,6.0,4.0,14.0,93.0,31.0,1.0,2.0,22.0,3.0,12.0,4.0,12.0,1.0,10.0,3.0,,2.0,2.0,,,,,,,,1.0,,1.0,2.0,4.0,,2.0,1.0,,2.0,1.0,3.0,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
14,2292947,2022-10-29 19:45:00,"Anfield, Liverpool",53274.0,Away,Leeds United,Liverpool,2,1,W,1,1,0,0,3.0,29.0,77.0,1.0,2.0,,7.0,47.0,5.0,9.0,8.0,9.0,1.0,169.0,12.0,4.0,4.0,2.0,3.0,9.0,6.0,46.0,163.0,48.0,3.0,14.0,2.0,15.0,2.0,1.0,1.0,1.0,17.0,7.0,2.0,47.0,4.0,9.0,38.0,109.0,0.0,111.0,3.0,,5.0,1.0,,1.0,1.0,55.0,46.0,5.0,46.0,1.0,,13.0,30.0,6.0,3.0,7.0,2.0,163.0,1.0,15.0,43.0,555.0,7.0,6.0,19.0,,10.0,189.0,25.0,1.0,21.0,1.0,1.0,4.0,4.0,33.0,277.0,58.0,,80954,3.0,87.0,1.0,5.0,1.0,118.0,3.0,1.0,15.0,10.0,47.0,4.0,2.0,12.0,7.0,,1.0,53.0,192.0,8.0,12.0,1.0,6.0,1.0,79.0,0.0,,14.0,7.0,2.0,1.0,0.0,3.0,1.0,31.0,24.0,1.0,4.0,4.0,2.0,28.0,4.0,1.0,304.0,10.0,2.0,9.0,9.0,6.0,22.0,1.0,3.0,203.0,4.0,7.0,15.0,62.0,33.0,4.0,21.0,21.0,1.0,9.0,3.0,12.0,4.0,15.0,5.0,,1.0,,,1.0,,,2.0,,,,,,4.0,,1.0,3.0,,1.0,2.0,,,,1.0,2.0,,2.0,2.0,2.0,1.0,,1.0,3.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,2.0,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,
15,2292953,2022-11-05 15:00:00,"Elland Road, Leeds",36304.0,Home,Leeds United,Bournemouth,4,3,W,1,2,0,0,,34.0,62.0,,,6.0,17.0,14.0,3.0,6.0,15.0,2.0,,183.0,16.0,8.0,5.0,4.0,3.0,15.0,4.0,101.0,150.0,65.0,,18.0,2.0,13.0,,1.0,1.0,,40.0,17.0,,14.0,12.0,4.0,35.0,246.0,0.0,163.0,16.0,3.0,2.0,1.0,,1.0,1.0,79.0,104.0,9.0,72.0,,1.0,28.0,23.0,3.0,,11.0,,150.0,1.0,8.0,87.0,658.0,10.0,2.0,30.0,,6.0,350.0,27.0,1.0,5.0,2.0,2.0,2.0,6.0,23.0,426.0,64.0,,80954,10.0,124.0,,16.0,1.0,148.0,8.0,1.0,10.0,2.0,53.0,2.0,2.0,20.0,1.0,2.0,2.0,37.0,362.0,9.0,10.0,3.0,13.0,6.0,64.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,4.0,6.0,60.9,22.0,5.0,5.0,2.0,8.0,43.0,13.0,1.0,443.0,6.0,,8.0,21.0,6.0,48.0,4.0,6.0,335.0,6.0,3.0,25.0,123.0,24.0,1.0,5.0,26.0,3.0,10.0,4.0,12.0,1.0,10.0,13.0,1.0,2.0,2.0,1.0,2.0,,2.0,1.0,,2.0,,,,1.0,,,1.0,2.0,,3.0,1.0,,1.0,1.0,2.0,,3.0,2.0,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,
16,2292967,2022-11-12 15:00:00,"Tottenham Hotspur Stadium, London",61667.0,Away,Leeds United,Tottenham Hotspur,3,4,L,2,1,1,0,,26.0,64.0,2.0,,4.0,14.0,24.0,3.0,4.0,9.0,3.0,2.0,152.0,11.0,2.0,3.0,3.0,3.0,9.0,5.0,120.0,142.0,42.0,2.0,12.0,1.0,14.0,1.0,,2.0,2.0,8.0,10.0,1.0,24.0,2.0,5.0,35.0,242.0,0.0,155.0,7.0,,,1.0,,1.0,2.0,67.0,105.0,9.0,84.0,1.0,1.0,6.0,17.0,3.0,2.0,1.0,1.0,142.0,4.0,11.0,108.0,656.0,4.0,6.0,17.0,,6.0,356.0,26.0,1.0,7.0,3.0,1.0,4.0,,20.0,446.0,67.0,1.0,80954,6.0,126.0,1.0,4.0,3.0,151.0,7.0,,9.0,7.0,45.0,5.0,2.0,19.0,3.0,3.0,1.0,44.0,366.0,8.0,12.0,2.0,11.0,2.0,64.0,0.0,2.0,9.0,4.0,3.0,4.0,1.0,1.0,3.0,45.3,16.0,1.0,5.0,5.0,5.0,27.0,2.0,2.0,464.0,6.0,1.0,7.0,13.0,2.0,14.0,1.0,1.0,321.0,5.0,5.0,13.0,115.0,27.0,6.0,7.0,19.0,3.0,5.0,4.0,8.0,6.0,9.0,2.0,,3.0,1.0,1.0,3.0,,1.0,,,1.0,,,1.0,,1.0,,2.0,3.0,,3.0,,3.0,,,2.0,,3.0,2.0,,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
17,2292976,2022-12-28 20:00:00,"Elland Road, Leeds",36889.0,Home,Leeds United,Manchester City,1,3,L,0,1,0,0,,21.0,52.0,1.0,2.0,2.0,13.0,19.0,4.0,1.0,5.0,6.0,,134.0,12.0,1.0,6.0,1.0,3.0,5.0,1.0,60.0,123.0,38.0,2.0,9.0,2.0,7.0,,,,,8.0,6.0,,19.0,3.0,4.0,29.0,98.0,0.0,80.0,11.0,,3.0,,,1.0,1.0,47.0,36.0,2.0,51.0,,1.0,5.0,24.0,4.0,2.0,1.0,2.0,123.0,,21.0,62.0,485.0,4.0,2.0,18.0,,4.0,210.0,17.0,1.0,6.0,1.0,3.0,5.0,3.0,17.0,282.0,30.0,,80954,3.0,128.0,,3.0,,152.0,7.0,,13.0,9.0,39.0,6.0,,17.0,5.0,3.0,,46.0,225.0,14.0,8.0,,14.0,1.0,62.0,0.0,1.0,5.0,4.0,1.0,3.0,0.0,,1.0,31.0,14.0,,6.0,6.0,4.0,29.0,3.0,1.0,307.0,4.0,1.0,7.0,11.0,4.0,17.0,1.0,2.0,163.0,7.0,4.0,5.0,55.0,20.0,1.0,6.0,13.0,3.0,5.0,5.0,12.0,1.0,13.0,3.0,,,,1.0,,1.0,2.0,,,2.0,,1.0,,,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
18,2292985,2022-12-31 15:00:00,"St. James' Park, Newcastle",52211.0,Away,Leeds United,Newcastle United,0,0,D,0,0,0,0,1.0,17.0,68.0,,1.0,3.0,15.0,23.0,2.0,4.0,6.0,5.0,,156.0,8.0,3.0,4.0,,1.0,7.0,1.0,47.0,150.0,59.0,1.0,8.0,1.0,15.0,1.0,2.0,,,6.0,18.0,,23.0,3.0,3.0,43.0,90.0,0.0,70.0,19.0,,4.0,,,1.0,5.0,55.0,20.0,4.0,35.0,1.0,,3.0,16.0,2.0,1.0,1.0,1.0,150.0,,12.0,59.0,499.0,6.0,6.0,11.0,,10.0,179.0,25.0,2.0,12.0,,5.0,2.0,3.0,16.0,261.0,52.0,1.0,80954,2.0,102.0,,1.0,,132.0,8.0,,13.0,13.0,59.0,8.0,,18.0,4.0,2.0,,62.0,189.0,11.0,9.0,1.0,10.0,1.0,68.0,0.0,1.0,9.0,4.0,,,0.0,2.0,1.0,41.0,12.0,1.0,,8.0,4.0,24.0,3.0,5.0,297.0,10.0,,6.0,14.0,3.0,18.0,1.0,2.0,171.0,3.0,3.0,12.0,29.0,27.0,1.0,12.0,32.0,,6.0,5.0,14.0,1.0,13.0,3.0,,,,,,,1.0,2.0,,2.0,,1.0,,2.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
19,2292996,2023-01-04 19:45:00,"Elland Road, Leeds",36173.0,Home,Leeds United,West Ham United,2,2,D,1,1,0,0,1.0,25.0,57.0,,,2.0,18.0,21.0,3.0,5.0,11.0,,1.0,171.0,10.0,6.0,5.0,2.0,4.0,11.0,6.0,107.0,161.0,65.0,,14.0,,25.0,4.0,1.0,2.0,,22.0,13.0,,21.0,8.0,2.0,42.0,162.0,0.0,109.0,11.0,1.0,,1.0,1.0,1.0,,59.0,64.0,8.0,63.0,,1.0,14.0,22.0,3.0,,3.0,2.0,161.0,1.0,7.0,135.0,701.0,7.0,7.0,23.0,2.0,13.0,347.0,17.0,5.0,9.0,2.0,3.0,2.0,3.0,24.0,440.0,38.0,,80954,4.0,222.0,1.0,10.0,2.0,254.0,8.0,,9.0,14.0,58.0,6.0,2.0,20.0,8.0,10.0,2.0,47.0,378.0,18.0,3.0,2.0,21.0,7.0,69.0,0.0,3.0,1.0,,1.0,2.0,0.0,3.0,3.0,63.3,22.0,,4.0,6.0,2.0,39.0,8.0,,476.0,13.0,,14.0,22.0,6.0,29.0,3.0,4.0,244.0,5.0,2.0,23.0,80.0,29.0,3.0,9.0,19.0,1.0,5.0,4.0,10.0,3.0,9.0,8.0,,1.0,2.0,,2.0,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,,2.0,,2.0,,,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2293000,2023-01-13 20:00:00,"Villa Park, Birmingham",42008.0,Away,Leeds United,Aston Villa,1,2,L,0,1,0,0,2.0,26.0,64.0,,1.0,8.0,11.0,7.0,,9.0,16.0,3.0,1.0,158.0,14.0,5.0,6.0,1.0,3.0,12.0,4.0,89.0,189.0,56.0,,16.0,,16.0,3.0,1.0,1.0,2.0,22.0,14.0,,7.0,10.0,9.0,40.0,134.0,0.0,122.0,18.0,,2.0,,,2.0,1.0,74.0,47.0,9.0,40.0,1.0,2.0,12.0,24.0,,,,,189.0,3.0,8.0,70.0,605.0,9.0,5.0,35.0,,12.0,231.0,16.0,,4.0,1.0,2.0,2.0,3.0,38.0,336.0,57.0,1.0,80954,7.0,119.0,4.0,10.0,2.0,153.0,13.0,,13.0,5.0,70.0,4.0,1.0,21.0,3.0,5.0,,41.0,248.0,12.0,8.0,2.0,12.0,,57.0,0.0,2.0,,2.0,1.0,2.0,0.0,4.0,1.0,46.6,31.0,1.0,6.0,4.0,8.0,23.0,11.0,1.0,357.0,12.0,,14.0,16.0,4.0,40.0,1.0,3.0,226.0,6.0,8.0,11.0,74.0,38.0,,4.0,27.0,2.0,13.0,5.0,20.0,,13.0,11.0,,1.0,1.0,,1.0,,3.0,1.0,1.0,3.0,1.0,1.0,,2.0,5.0,,1.0,1.0,,5.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2293014,2023-01-22 14:00:00,"Elland Road, Leeds",36260.0,Home,Leeds United,Brentford,0,0,D,0,0,0,0,3.0,19.0,69.0,,,1.0,12.0,18.0,7.0,4.0,2.0,,2.0,219.0,7.0,,7.0,,3.0,7.0,5.0,84.0,176.0,60.0,1.0,9.0,2.0,18.0,1.0,1.0,,,13.0,8.0,4.0,18.0,2.0,5.0,50.0,237.0,0.0,199.0,10.0,,,,1.0,2.0,,102.0,54.0,7.0,63.0,1.0,,11.0,26.0,7.0,1.0,3.0,1.0,176.0,,3.0,135.0,695.0,7.0,4.0,19.0,,7.0,355.0,27.0,5.0,9.0,,2.0,1.0,,25.0,475.0,64.0,,80954,1.0,132.0,,6.0,,168.0,4.0,,16.0,9.0,49.0,8.0,,15.0,3.0,3.0,1.0,47.0,369.0,18.0,7.0,,17.0,,67.0,0.0,1.0,3.0,,,,0.0,,,58.5,25.0,,3.0,8.0,3.0,32.0,2.0,,501.0,7.0,1.0,9.0,17.0,1.0,38.0,,,346.0,5.0,4.0,18.0,134.0,31.0,,9.0,17.0,,8.0,3.0,12.0,,16.0,2.0,,,,,,,1.0,,,1.0,,,,2.0,1.0,1.0,2.0,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2293027,2023-02-05 14:00:00,"The City Ground, Nottingham",29363.0,Away,Leeds United,Nottingham Forest,0,1,L,0,1,0,0,1.0,27.0,79.0,,,,27.0,10.0,4.0,5.0,6.0,1.0,2.0,245.0,11.0,4.0,9.0,,3.0,9.0,4.0,122.0,212.0,72.0,,10.0,3.0,28.0,4.0,,,2.0,17.0,14.0,,10.0,2.0,9.0,63.0,232.0,0.0,196.0,14.0,,,,1.0,3.0,1.0,126.0,77.0,6.0,68.0,,1.0,15.0,23.0,4.0,,5.0,1.0,212.0,1.0,4.0,150.0,804.0,8.0,2.0,21.0,1.0,2.0,423.0,28.0,2.0,6.0,,2.0,2.0,3.0,38.0,566.0,86.0,1.0,78315,5.0,210.0,1.0,7.0,3.0,248.0,7.0,,7.0,3.0,77.0,5.0,,19.0,2.0,2.0,,69.0,438.0,14.0,9.0,1.0,18.0,,96.0,0.0,3.0,,1.0,,1.0,0.0,3.0,1.0,69.9,37.0,,9.0,5.0,3.0,56.0,2.0,1.0,585.0,2.0,,14.0,20.0,3.0,36.0,1.0,2.0,354.0,4.0,8.0,30.0,119.0,36.0,,6.0,19.0,1.0,7.0,5.0,21.0,,7.0,2.0,,,,,,,1.0,,,2.0,,,,,3.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
23,2293034,2023-02-12 14:00:00,"Elland Road, Leeds",36919.0,Home,Leeds United,Manchester United,0,2,L,0,0,0,0,1.0,24.0,72.0,,1.0,5.0,17.0,14.0,3.0,3.0,13.0,3.0,5.0,131.0,13.0,6.0,9.0,,4.0,9.0,6.0,39.0,144.0,61.0,,16.0,1.0,12.0,4.0,1.0,,5.0,18.0,13.0,2.0,14.0,6.0,5.0,23.0,91.0,0.0,80.0,10.0,,2.0,,,4.0,,36.0,37.0,6.0,39.0,,1.0,12.0,20.0,3.0,,2.0,,144.0,1.0,8.0,42.0,460.0,6.0,7.0,23.0,,10.0,158.0,19.0,4.0,7.0,,2.0,1.0,3.0,20.0,231.0,48.0,,78315,8.0,85.0,2.0,6.0,3.0,101.0,10.0,,12.0,4.0,61.0,5.0,,16.0,3.0,2.0,1.0,47.0,170.0,13.0,9.0,3.0,24.0,6.0,55.0,0.0,,3.0,2.0,,2.0,0.0,2.0,3.0,33.0,18.0,1.0,13.0,5.0,6.0,23.0,7.0,,251.0,10.0,,21.0,10.0,4.0,29.0,4.0,4.0,168.0,9.0,4.0,16.0,41.0,34.0,1.0,7.0,23.0,2.0,7.0,3.0,18.0,1.0,12.0,7.0,,,,,,,2.0,2.0,,2.0,1.0,,,1.0,3.0,1.0,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2293044,2023-02-18 15:00:00,"Goodison Park, Liverpool",39232.0,Away,Leeds United,Everton,0,1,L,0,0,0,0,,17.0,79.0,,,2.0,20.0,18.0,5.0,4.0,3.0,3.0,,183.0,9.0,6.0,10.0,,2.0,7.0,,77.0,179.0,62.0,,8.0,2.0,18.0,,,,,19.0,14.0,,18.0,2.0,6.0,47.0,125.0,0.0,123.0,6.0,,1.0,,,2.0,4.0,46.0,73.0,4.0,52.0,1.0,2.0,17.0,22.0,5.0,,9.0,3.0,179.0,1.0,10.0,88.0,614.0,6.0,10.0,14.0,,11.0,258.0,39.0,2.0,10.0,,3.0,4.0,3.0,22.0,375.0,61.0,,78315,2.0,157.0,1.0,6.0,,194.0,4.0,,10.0,13.0,63.0,12.0,,18.0,5.0,10.0,1.0,71.0,276.0,8.0,16.0,1.0,22.0,1.0,80.0,0.0,,6.0,5.0,,1.0,0.0,5.0,3.0,50.0,22.0,1.0,3.0,12.0,4.0,38.0,4.0,5.0,400.0,11.0,,10.0,16.0,4.0,31.0,1.0,1.0,225.0,1.0,5.0,20.0,67.0,23.0,3.0,10.0,24.0,1.0,7.0,4.0,23.0,3.0,10.0,4.0,,,,,,,,1.0,,,1.0,1.0,,,,,5.0,,1.0,,,,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
25,2293054,2023-02-25 15:00:00,"Elland Road, Leeds",36641.0,Home,Leeds United,Southampton,1,0,W,0,0,0,0,1.0,25.0,58.0,,2.0,2.0,20.0,12.0,5.0,4.0,9.0,2.0,1.0,178.0,12.0,6.0,7.0,1.0,2.0,9.0,4.0,134.0,150.0,55.0,,14.0,2.0,11.0,3.0,1.0,1.0,1.0,26.0,15.0,,12.0,4.0,4.0,39.0,234.0,0.0,165.0,15.0,,1.0,,,1.0,,89.0,95.0,7.0,78.0,,1.0,22.0,22.0,5.0,,8.0,3.0,150.0,,5.0,130.0,742.0,7.0,5.0,39.0,1.0,8.0,416.0,23.0,3.0,6.0,1.0,2.0,3.0,2.0,25.0,496.0,57.0,,78315,5.0,212.0,,13.0,,236.0,8.0,1.0,11.0,3.0,61.0,5.0,1.0,15.0,3.0,3.0,1.0,38.0,440.0,13.0,10.0,1.0,9.0,3.0,64.0,0.0,3.0,2.0,,1.0,,0.0,4.0,2.0,60.6,22.0,,5.0,5.0,4.0,46.0,9.0,,520.0,8.0,,13.0,19.0,6.0,36.0,2.0,3.0,310.0,8.0,3.0,12.0,131.0,25.0,1.0,6.0,23.0,,11.0,3.0,21.0,1.0,11.0,9.0,1.0,,,,,1.0,,3.0,,,,1.0,,1.0,2.0,,2.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,2293064,2023-03-04 15:00:00,"Stamford Bridge, London",39905.0,Away,Leeds United,Chelsea,0,1,L,0,0,0,0,,22.0,63.0,,1.0,3.0,12.0,13.0,2.0,2.0,9.0,2.0,1.0,160.0,8.0,7.0,11.0,,3.0,7.0,2.0,113.0,152.0,61.0,1.0,11.0,,14.0,2.0,1.0,,,17.0,15.0,,13.0,5.0,5.0,31.0,149.0,0.0,115.0,7.0,,,,,1.0,1.0,66.0,51.0,4.0,58.0,1.0,2.0,12.0,22.0,2.0,1.0,2.0,2.0,152.0,,9.0,94.0,630.0,6.0,4.0,21.0,1.0,12.0,317.0,25.0,1.0,4.0,,0.0,2.0,3.0,17.0,398.0,45.0,1.0,78315,6.0,195.0,,9.0,2.0,226.0,3.0,,7.0,12.0,58.0,8.0,,20.0,4.0,8.0,2.0,37.0,337.0,11.0,11.0,1.0,9.0,3.0,49.0,0.0,3.0,5.0,1.0,,1.0,0.0,5.0,5.0,42.8,14.0,4.0,4.0,8.0,3.0,27.0,7.0,1.0,425.0,12.0,1.0,17.0,11.0,6.0,22.0,2.0,4.0,216.0,4.0,4.0,16.0,80.0,25.0,2.0,4.0,23.0,1.0,5.0,3.0,20.0,2.0,7.0,7.0,,,,,,,,1.0,,,,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
