gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowRight,savedObox,attRfTarget,attCmissRight,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,goalFastbreak,attOboxTarget,attMissHighRight,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,interceptionsInBox,attMissHighLeft,attRfGoal,attCmissHighLeft,attFastbreak,attSvLowRight,goalsConcededObox,goalAssistSetplay,attGoalLowCentre,attOneOnOne,ptsGainedLosingPos,totalFlickOn,attHdTarget,hitWoodwork,accurateLaunches,accurateFreekickCross,attSetpiece,attGoalHighLeft,attFreekickTarget,overrun,goalsConceded,clearanceOffLine,goalsConcededIbox,ptsDroppedWinningPos,accuratePullBack,attOboxGoal,attCmissHigh,ownGoals,accurateFlickOn,attCmissHighRight,attIboxOwnGoal,attHdGoal,postScoringAtt,attGoalHighRight,attPostLeft,defenderGoals,attOboxPost,shieldBallOop,attSvHighCentre,attFreekickPost,sixYardBlock,attPostHigh,handBall,attGoalHighCentre,contentiousDecision,errorLeadToGoal,goalAssistDeadball,penaltyConceded,penaltyFaced,penGoalsConceded,attPostRight,attIboxPost,expectedGoalsOnTargetConceded,attSvHighRight,expectedAssists,expectedGoals,errorLeadToShot,attFreekickGoal,attFreekickMiss,attLgCentre,attLgRight,attHdPost,subsGoals,attPenPost,attObxdRight
27,2293071,2023-03-11 17:30:00,"Selhurst Park, London",25844,Away,Manchester City,Crystal Palace,1,0,W,0,0,0,0,1.0,15.0,53.0,1.0,3.0,29.0,11.0,6.0,7.0,8.0,,1.0,169.0,6.0,6.0,14.0,1.0,6.0,10.0,4.0,167.0,121.0,51.0,1.0,14.0,2.0,9.0,,,1.0,22.0,7.0,11.0,5.0,4.0,27.0,347.0,1.0,1.0,0.0,202.0,17.0,,110.0,59.0,5.0,104.0,1.0,17.0,19.0,6.0,1.0,6.0,2.0,121.0,2.0,3.0,176.0,784.0,10.0,35.0,9.0,525.0,27.0,7.0,,,2.0,4.0,5.0,21.0,602.0,71.0,,97299,7.0,197.0,2.0,11.0,222.0,10.0,1.0,6.0,1.0,44.0,2.0,2.0,,,13.0,1.0,1.0,2.0,1.0,45.0,538.0,11.0,7.0,,11.0,4.0,57.0,1.0,,0.0,2.0,,1.0,0.0,3.0,,1.0,67.8,20.0,1.0,5.0,,,5.0,41.0,6.0,,616.0,9.0,4.0,17.0,5.0,35.0,3.0,3.0,416.0,6.0,3.0,12.0,164.0,21.0,1.0,1.0,7.0,14.0,8.0,3.0,21.0,1.0,6.0,6.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2293086,2023-05-03 20:00:00,"Etihad Stadium, Manchester",53305,Home,Manchester City,West Ham United,3,0,W,0,0,0,0,2.0,15.0,59.0,1.0,1.0,17.0,11.0,6.0,4.0,10.0,2.0,2.0,189.0,8.0,4.0,9.0,3.0,3.0,12.0,7.0,206.0,114.0,43.0,,16.0,1.0,14.0,,1.0,1.0,25.0,9.0,11.0,6.0,4.0,33.0,375.0,1.0,,0.0,205.0,8.0,,108.0,53.0,6.0,94.0,1.0,19.0,15.0,6.0,,2.0,1.0,114.0,6.0,3.0,234.0,881.0,9.0,36.0,5.0,647.0,18.0,8.0,2.0,,0.0,1.0,6.0,16.0,714.0,61.0,2.0,97299,7.0,285.0,4.0,15.0,300.0,4.0,2.0,6.0,2.0,40.0,4.0,1.0,4.0,1.0,11.0,3.0,2.0,3.0,,37.0,656.0,8.0,6.0,1.0,9.0,3.0,54.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,3.0,68.9,15.0,2.0,5.0,1.0,4.0,2.0,42.0,6.0,1.0,723.0,5.0,8.0,18.0,7.0,43.0,3.0,4.0,448.0,8.0,4.0,10.0,172.0,32.0,1.0,2.0,8.0,16.0,11.0,3.0,13.0,2.0,6.0,6.0,2.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,3.0,,2.0,,,2.0,2.0,1.0,,,,,1.0,1.0,,1.0,2.0,1.0,,1.0,,2.0,,,2.0,,,1.0,,,,,1.0,1.0,,,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,1.0,,
29,2293096,2023-04-01 12:30:00,"Etihad Stadium, Manchester",52877,Home,Manchester City,Liverpool,4,1,W,1,1,0,0,4.0,12.0,44.0,,4.0,31.0,10.0,3.0,6.0,14.0,,1.0,189.0,6.0,2.0,12.0,4.0,3.0,15.0,8.0,208.0,100.0,32.0,1.0,17.0,2.0,7.0,,3.0,1.0,15.0,,10.0,5.0,10.0,56.0,323.0,,,0.0,206.0,9.0,,78.0,84.0,13.0,128.0,1.0,10.0,12.0,3.0,1.0,3.0,1.0,100.0,3.0,4.0,229.0,896.0,11.0,44.0,4.0,674.0,12.0,6.0,3.0,,1.0,3.0,2.0,15.0,733.0,57.0,3.0,97299,7.0,372.0,,6.0,390.0,4.0,2.0,6.0,2.0,38.0,4.0,3.0,3.0,4.0,9.0,,2.0,1.0,,44.0,693.0,12.0,10.0,1.0,4.0,1.0,64.0,1.0,,0.0,1.0,,4.0,0.0,1.0,3.0,,68.1,14.0,,5.0,3.0,4.0,6.0,54.0,7.0,,754.0,4.0,8.0,37.0,3.0,31.0,1.0,2.0,379.0,11.0,9.0,1.0,173.0,23.0,2.0,1.0,6.0,7.0,15.0,2.0,16.0,1.0,6.0,7.0,,1.0,,4.0,,4.0,,3.0,1.0,,,,,,2.0,1.0,1.0,,,,3.0,,,1.0,,,2.0,,3.0,2.0,,,1.0,,,1.0,,,1.0,,1.0,,2.0,,,,1.0,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
30,2293107,2023-04-08 17:30:00,"St. Mary's Stadium, Southampton",30963,Away,Manchester City,Southampton,4,1,W,1,0,0,0,4.0,19.0,50.0,,2.0,29.0,4.0,1.0,4.0,12.0,,1.0,197.0,12.0,3.0,8.0,4.0,1.0,9.0,8.0,203.0,121.0,36.0,,13.0,1.0,7.0,1.0,2.0,,21.0,7.0,4.0,8.0,1.0,51.0,297.0,,1.0,0.0,140.0,10.0,,111.0,81.0,9.0,130.0,2.0,14.0,23.0,1.0,,3.0,,121.0,3.0,3.0,202.0,860.0,6.0,31.0,6.0,639.0,16.0,3.0,2.0,1.0,2.0,1.0,,18.0,717.0,52.0,2.0,97299,6.0,359.0,1.0,11.0,379.0,8.0,1.0,7.0,5.0,41.0,4.0,2.0,4.0,3.0,8.0,1.0,5.0,,1.0,45.0,653.0,6.0,13.0,1.0,7.0,2.0,83.0,,,0.0,,,4.0,0.0,1.0,2.0,3.0,72.8,15.0,1.0,3.0,3.0,4.0,3.0,66.0,10.0,,732.0,6.0,7.0,32.0,2.0,32.0,2.0,2.0,374.0,6.0,1.0,13.0,102.0,26.0,3.0,,3.0,9.0,10.0,5.0,12.0,,7.0,10.0,2.0,,,1.0,2.0,4.0,,,2.0,,,,,,,1.0,,,,,2.0,,,1.0,,,3.0,,,4.0,1.0,,2.0,,,1.0,,,1.0,,1.0,,1.0,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
31,2293114,2023-04-15 17:30:00,"Etihad Stadium, Manchester",53329,Home,Manchester City,Leicester City,3,1,W,3,0,0,0,2.0,20.0,40.0,,2.0,47.0,9.0,5.0,7.0,7.0,3.0,3.0,174.0,8.0,2.0,13.0,3.0,4.0,8.0,4.0,223.0,102.0,38.0,,12.0,1.0,15.0,,1.0,1.0,23.0,6.0,9.0,5.0,5.0,51.0,394.0,,1.0,0.0,221.0,8.0,1.0,130.0,109.0,5.0,140.0,1.0,20.0,12.0,5.0,,4.0,2.0,102.0,1.0,8.0,217.0,894.0,4.0,24.0,1.0,677.0,13.0,2.0,2.0,,1.0,3.0,3.0,18.0,735.0,74.0,,97299,5.0,303.0,,15.0,315.0,4.0,,6.0,5.0,43.0,,,4.0,1.0,11.0,3.0,5.0,2.0,1.0,62.0,695.0,7.0,10.0,2.0,5.0,8.0,56.0,,,0.0,2.0,3.0,2.0,0.0,2.0,1.0,,70.6,18.0,,4.0,,4.0,3.0,43.0,6.0,,754.0,1.0,5.0,35.0,5.0,33.0,2.0,3.0,462.0,5.0,5.0,7.0,185.0,18.0,2.0,,2.0,11.0,3.0,5.0,18.0,,6.0,6.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
32,2293123,2023-05-24 20:00:00,"American Express Stadium, Falmer",31388,Away,Manchester City,Brighton and Hove Albion,1,1,D,1,1,0,0,1.0,22.0,60.0,1.0,2.0,26.0,12.0,2.0,7.0,11.0,6.0,,176.0,11.0,5.0,12.0,1.0,3.0,13.0,4.0,156.0,97.0,50.0,,13.0,1.0,9.0,2.0,1.0,1.0,10.0,4.0,12.0,,10.0,49.0,203.0,,,0.0,116.0,11.0,4.0,78.0,17.0,7.0,122.0,1.0,10.0,10.0,2.0,,2.0,,97.0,3.0,12.0,153.0,745.0,11.0,29.0,3.0,516.0,26.0,10.0,1.0,2.0,1.0,7.0,6.0,11.0,580.0,33.0,1.0,97299,6.0,342.0,2.0,7.0,366.0,6.0,,5.0,5.0,39.0,1.0,,1.0,1.0,12.0,8.0,5.0,2.0,,40.0,540.0,14.0,8.0,1.0,6.0,1.0,50.0,,,0.0,5.0,5.0,1.0,0.0,5.0,1.0,3.0,60.4,10.0,2.0,6.0,2.0,1.0,3.0,36.0,1.0,,607.0,3.0,4.0,30.0,6.0,17.0,,5.0,251.0,3.0,8.0,12.0,94.0,24.0,1.0,,10.0,12.0,11.0,4.0,20.0,,5.0,1.0,2.0,,1.0,1.0,1.0,2.0,,2.0,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,9.0,,1.0,2.0,1.0,1.0,,,,1.0,,,2.0,,,1.0,,2.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,
33,2293138,2023-04-26 20:00:00,"Etihad Stadium, Manchester",53482,Home,Manchester City,Arsenal,4,1,W,2,0,0,0,2.0,11.0,46.0,,1.0,27.0,8.0,3.0,9.0,11.0,1.0,1.0,166.0,6.0,,7.0,4.0,1.0,13.0,9.0,113.0,103.0,46.0,,14.0,1.0,12.0,,3.0,1.0,5.0,8.0,8.0,1.0,8.0,50.0,158.0,,,0.0,95.0,13.0,,44.0,53.0,10.0,90.0,1.0,4.0,12.0,3.0,,1.0,1.0,103.0,4.0,4.0,127.0,621.0,9.0,25.0,9.0,403.0,24.0,3.0,4.0,,3.0,2.0,3.0,13.0,470.0,38.0,4.0,97299,7.0,264.0,2.0,3.0,292.0,4.0,2.0,5.0,9.0,42.0,5.0,,2.0,3.0,12.0,4.0,8.0,,,49.0,422.0,13.0,9.0,,5.0,,50.0,1.0,1.0,0.0,3.0,,3.0,0.0,,3.0,1.0,51.9,12.0,,6.0,2.0,2.0,2.0,34.0,1.0,,496.0,9.0,6.0,25.0,3.0,14.0,,2.0,209.0,4.0,7.0,15.0,64.0,12.0,1.0,1.0,3.0,11.0,13.0,3.0,11.0,1.0,5.0,1.0,5.0,3.0,1.0,,,5.0,1.0,2.0,2.0,,,1.0,1.0,,2.0,3.0,,,,,2.0,,1.0,,,1.0,1.0,1.0,,7.0,,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,2.0,,,1.0,,,,1.0,,1.0,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
34,2293145,2023-04-30 14:00:00,"Craven Cottage, London",24498,Away,Manchester City,Fulham,2,1,W,2,1,0,0,1.0,19.0,56.0,,,47.0,14.0,1.0,2.0,11.0,,1.0,178.0,11.0,3.0,8.0,2.0,4.0,9.0,9.0,172.0,132.0,46.0,,12.0,,15.0,,1.0,1.0,11.0,10.0,14.0,3.0,9.0,61.0,279.0,,1.0,0.0,159.0,10.0,,76.0,113.0,7.0,140.0,2.0,8.0,21.0,1.0,,3.0,,132.0,1.0,1.0,157.0,808.0,8.0,36.0,5.0,550.0,23.0,9.0,1.0,1.0,3.0,2.0,2.0,23.0,630.0,70.0,2.0,97299,5.0,287.0,2.0,3.0,310.0,3.0,2.0,7.0,3.0,53.0,2.0,1.0,1.0,1.0,12.0,3.0,2.0,,1.0,72.0,563.0,8.0,6.0,,13.0,,82.0,,,0.0,2.0,,1.0,0.0,3.0,,2.0,62.6,20.0,1.0,5.0,3.0,1.0,,59.0,5.0,,647.0,5.0,10.0,35.0,3.0,30.0,,3.0,348.0,8.0,9.0,17.0,114.0,26.0,1.0,1.0,9.0,14.0,9.0,2.0,20.0,1.0,7.0,5.0,1.0,1.0,,5.0,2.0,7.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,1.0,1.0,,,,,,4.0,1.0,1.0,4.0,1.0,2.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
35,2293154,2023-05-06 15:00:00,"Etihad Stadium, Manchester",53406,Home,Manchester City,Leeds United,2,1,W,2,0,0,0,,17.0,66.0,1.0,,19.0,7.0,8.0,7.0,9.0,1.0,,229.0,10.0,5.0,14.0,2.0,5.0,12.0,6.0,263.0,127.0,49.0,2.0,18.0,2.0,12.0,1.0,2.0,,22.0,5.0,7.0,5.0,6.0,41.0,516.0,,1.0,0.0,284.0,3.0,1.0,77.0,104.0,4.0,128.0,3.0,18.0,20.0,9.0,2.0,4.0,3.0,127.0,2.0,4.0,253.0,1032.0,8.0,38.0,5.0,771.0,25.0,5.0,2.0,1.0,0.0,1.0,8.0,12.0,847.0,111.0,3.0,97299,8.0,284.0,4.0,13.0,303.0,2.0,1.0,8.0,4.0,26.0,6.0,4.0,6.0,2.0,17.0,,4.0,3.0,,35.0,795.0,15.0,1.0,2.0,8.0,3.0,63.0,,,0.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,80.9,11.0,2.0,4.0,,6.0,2.0,48.0,10.0,,873.0,5.0,8.0,19.0,10.0,39.0,2.0,5.0,592.0,8.0,5.0,13.0,238.0,31.0,,1.0,5.0,7.0,11.0,3.0,16.0,1.0,8.0,10.0,2.0,1.0,,1.0,1.0,2.0,,,2.0,,2.0,1.0,,,2.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,2.0,,,,1.0,,1.0,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,1.0,1.0
36,2293165,2023-05-14 14:00:00,"Goodison Park, Liverpool",39376,Away,Manchester City,Everton,3,0,W,2,0,0,0,1.0,12.0,46.0,1.0,,35.0,21.0,6.0,4.0,3.0,2.0,,158.0,4.0,3.0,8.0,3.0,4.0,6.0,4.0,204.0,96.0,33.0,2.0,9.0,2.0,8.0,,2.0,1.0,17.0,5.0,21.0,1.0,5.0,41.0,319.0,1.0,,0.0,193.0,4.0,1.0,99.0,71.0,4.0,109.0,,16.0,12.0,6.0,2.0,5.0,2.0,96.0,1.0,6.0,199.0,808.0,3.0,26.0,5.0,590.0,18.0,7.0,2.0,,0.0,2.0,2.0,13.0,649.0,65.0,,97299,1.0,294.0,,10.0,306.0,2.0,1.0,2.0,5.0,37.0,1.0,,6.0,2.0,4.0,1.0,5.0,,,56.0,610.0,10.0,9.0,1.0,7.0,2.0,60.0,,2.0,0.0,8.0,3.0,2.0,0.0,3.0,2.0,1.0,63.2,11.0,,5.0,,6.0,2.0,46.0,6.0,,670.0,5.0,10.0,20.0,3.0,30.0,,1.0,381.0,4.0,5.0,8.0,156.0,17.0,1.0,2.0,7.0,7.0,4.0,4.0,14.0,2.0,2.0,6.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
37,2293174,2023-05-21 16:00:00,"Etihad Stadium, Manchester",53490,Home,Manchester City,Chelsea,1,0,W,1,0,0,0,1.0,15.0,51.0,1.0,5.0,23.0,11.0,5.0,7.0,10.0,6.0,,166.0,9.0,2.0,7.0,1.0,2.0,10.0,2.0,201.0,98.0,28.0,,15.0,1.0,5.0,,1.0,2.0,12.0,6.0,11.0,2.0,5.0,30.0,288.0,1.0,,0.0,144.0,12.0,2.0,73.0,70.0,6.0,127.0,3.0,10.0,13.0,5.0,,2.0,3.0,98.0,2.0,9.0,198.0,838.0,8.0,32.0,4.0,615.0,14.0,2.0,1.0,,0.0,3.0,4.0,16.0,674.0,53.0,1.0,97299,4.0,347.0,1.0,6.0,361.0,5.0,,2.0,5.0,43.0,1.0,2.0,11.0,1.0,8.0,4.0,5.0,1.0,,40.0,633.0,9.0,10.0,1.0,3.0,4.0,63.0,2.0,,0.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,64.6,15.0,,7.0,3.0,11.0,6.0,50.0,5.0,,692.0,4.0,8.0,11.0,7.0,20.0,,3.0,343.0,7.0,4.0,4.0,115.0,19.0,1.0,1.0,2.0,8.0,10.0,4.0,16.0,1.0,2.0,5.0,,,3.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,2.0,,,,2.0,,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,
38,2293182,2023-05-28 16:30:00,"Gtech Community Stadium, Brentford",17120,Away,Manchester City,Brentford,0,1,L,0,0,0,0,,15.0,44.0,,7.0,22.0,15.0,6.0,12.0,11.0,3.0,,153.0,7.0,1.0,13.0,,1.0,13.0,3.0,181.0,103.0,51.0,,17.0,1.0,12.0,1.0,,3.0,8.0,5.0,15.0,4.0,8.0,45.0,360.0,,,0.0,231.0,8.0,1.0,67.0,58.0,8.0,106.0,2.0,4.0,14.0,6.0,,1.0,5.0,103.0,1.0,9.0,195.0,791.0,13.0,23.0,7.0,549.0,12.0,6.0,,1.0,0.0,3.0,5.0,16.0,608.0,59.0,1.0,97299,7.0,211.0,1.0,2.0,237.0,3.0,1.0,5.0,10.0,44.0,2.0,,4.0,,11.0,2.0,7.0,1.0,,40.0,570.0,12.0,7.0,,1.0,2.0,36.0,2.0,,0.0,3.0,3.0,,0.0,1.0,,1.0,65.6,14.0,1.0,5.0,3.0,5.0,8.0,26.0,4.0,,635.0,7.0,13.0,21.0,6.0,26.0,,1.0,406.0,4.0,8.0,12.0,204.0,18.0,,1.0,6.0,14.0,15.0,1.0,17.0,1.0,5.0,4.0,3.0,,,,1.0,3.0,,,2.0,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
