gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,fiftyFifty,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attGoalLowLeft,attGoalLowRight,attIboxBlocked,attFreekickTotal,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,goalFastbreak,attOboxTarget,cleanSheet,totalFastbreak,midfielderGoals,freekickCross,freekickTotal,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,sixYardBlock,attRfGoal,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,attCorner,attFastbreak,shieldBallOop,attSvHighCentre,attFreekickMiss,accurateCornersIntobox,effectiveBlockedCross,attHdGoal,blockedCross,goalAssistSetplay,goalAssistDeadball,attSvLowLeft,attHdTarget,errorLeadToShot,punches,attBxLeft,accuratePullBack,postScoringAtt,attIboxPost,attSvHighLeft,attPostLeft,attHdPost,hitWoodwork,totalPullBack,attOboxPost,attPostHigh,attPostRight,attGoalHighCentre,attSetpiece,attCmissRight,attGoalHighRight,attOneOnOne,penaltyWon,attPenGoal,attFreekickGoal,attCmissHighRight,handBall,subsGoals,attLgLeft,attSvHighRight,clearanceOffLine,ownGoals,attIboxOwnGoal,errorLeadToGoal,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,ptsDroppedWinningPos,attObxLeft,foulThrowIn,attObxRight,attFreekickPost,secondYellow,attPenTarget,attObxdLeft,attFreekickTarget
11,2292911,2022-10-14 20:00:00,"Gtech Community Stadium, Brentford",17016.0,Home,Brentford,Brighton and Hove Albion,2,0,W,1,0,0,0,,2.0,18.0,61.0,3.0,27.0,29.0,1.0,1.0,6.0,7.0,,1.0,114.0,,8.0,3.0,9.0,2.0,3.0,3.0,3.0,48.0,137.0,53.0,7.0,,15.0,1.0,2.0,1.0,1.0,10.0,7.0,29.0,2.0,4.0,45.0,83.0,1.0,,0.0,88.0,12.0,,3.0,3.0,37.0,27.0,1.0,34.0,1.0,,8.0,16.0,1.0,1.0,1.0,137.0,2.0,14.0,39.0,444.0,1.0,6.0,19.0,12.0,142.0,34.0,7.0,13.0,1.0,3.0,10.0,2.0,13.0,205.0,39.0,,51927,3.0,77.0,1.0,6.0,101.0,8.0,11.0,8.0,52.0,,,1.0,1.0,21.0,7.0,5.0,61.0,157.0,15.0,2.0,20.0,48.0,,,,0.0,1.0,11.0,4.0,2.0,,3.0,0.0,3.0,1.0,2.0,27.5,8.0,2.0,4.0,1.0,,21.0,2.0,3.0,235.0,12.0,16.0,21.0,4.0,26.0,2.0,144.0,4.0,3.0,17.0,51.0,13.0,2.0,13.0,12.0,,5.0,5.0,18.0,11.0,2.0,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,2.0,,,,1.0,,,1.0,,,,2.0,,2.0,,,,,,2.0,,1.0,1.0,1.0,,,,1.0,2.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,2292922,2022-10-19 19:30:00,"Gtech Community Stadium, Brentford",17118.0,Home,Brentford,Chelsea,0,0,D,0,0,0,0,,,18.0,66.0,3.0,24.0,25.0,,3.0,7.0,5.0,,1.0,146.0,,9.0,5.0,4.0,,1.0,7.0,5.0,63.0,147.0,41.0,8.0,,11.0,4.0,1.0,,1.0,19.0,9.0,25.0,3.0,5.0,37.0,133.0,,,0.0,129.0,7.0,,2.0,3.0,58.0,41.0,5.0,54.0,2.0,,16.0,12.0,1.0,5.0,,147.0,2.0,4.0,54.0,503.0,7.0,6.0,22.0,10.0,208.0,20.0,6.0,10.0,,0.0,6.0,2.0,19.0,296.0,54.0,,51927,3.0,94.0,3.0,10.0,116.0,4.0,3.0,6.0,46.0,,2.0,8.0,,13.0,10.0,5.0,62.0,222.0,6.0,11.0,21.0,60.0,,1.0,1.0,0.0,3.0,2.0,2.0,,,,0.0,4.0,,4.0,33.7,16.0,1.0,5.0,8.0,1.0,32.0,6.0,3.0,317.0,10.0,8.0,12.0,2.0,32.0,2.0,220.0,1.0,4.0,12.0,76.0,26.0,,10.0,19.0,,7.0,4.0,13.0,3.0,6.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,1.0,3.0,,1.0,1.0,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
13,2292930,2022-10-23 14:00:00,"Villa Park, Birmingham",41693.0,Away,Brentford,Aston Villa,0,4,L,0,3,0,0,,,20.0,58.0,3.0,22.0,12.0,4.0,5.0,8.0,7.0,,1.0,157.0,,7.0,4.0,11.0,,2.0,11.0,3.0,90.0,156.0,66.0,12.0,1.0,15.0,1.0,1.0,,1.0,20.0,10.0,12.0,6.0,4.0,40.0,144.0,,,0.0,116.0,11.0,,4.0,,68.0,51.0,7.0,69.0,,2.0,14.0,19.0,4.0,7.0,1.0,156.0,1.0,12.0,81.0,602.0,7.0,5.0,21.0,8.0,282.0,20.0,6.0,5.0,,0.0,4.0,4.0,32.0,373.0,58.0,1.0,592661,3.0,162.0,2.0,6.0,185.0,4.0,6.0,3.0,53.0,1.0,1.0,2.0,,11.0,7.0,2.0,45.0,302.0,14.0,9.0,15.0,64.0,,2.0,,0.0,4.0,7.0,4.0,,4.0,1.0,0.0,,,2.0,54.9,23.0,1.0,2.0,2.0,4.0,32.0,6.0,,397.0,8.0,10.0,16.0,5.0,30.0,4.0,232.0,5.0,4.0,21.0,71.0,31.0,,5.0,20.0,4.0,7.0,5.0,21.0,6.0,6.0,2.0,,,3.0,,,,,,2.0,,,,1.0,,,1.0,,,2.0,,,,1.0,4.0,5.0,,,,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
14,2292942,2022-10-29 15:00:00,"Gtech Community Stadium, Brentford",17051.0,Home,Brentford,Wolverhampton Wanderers,1,1,D,0,0,0,1,1.0,,22.0,54.0,,24.0,18.0,4.0,6.0,8.0,3.0,1.0,,157.0,1.0,9.0,3.0,9.0,1.0,3.0,8.0,3.0,117.0,137.0,59.0,12.0,3.0,11.0,2.0,,,2.0,19.0,9.0,18.0,2.0,1.0,41.0,142.0,,,0.0,129.0,10.0,,2.0,1.0,62.0,51.0,3.0,54.0,,3.0,17.0,17.0,4.0,5.0,1.0,137.0,1.0,6.0,91.0,612.0,5.0,3.0,30.0,5.0,314.0,27.0,,12.0,1.0,3.0,3.0,5.0,23.0,393.0,59.0,,51927,7.0,198.0,2.0,8.0,221.0,2.0,6.0,9.0,45.0,1.0,,6.0,,17.0,7.0,7.0,55.0,337.0,16.0,8.0,5.0,60.0,,,,0.0,,6.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,57.8,18.0,3.0,2.0,6.0,3.0,32.0,3.0,1.0,419.0,5.0,12.0,20.0,6.0,38.0,5.0,217.0,2.0,1.0,18.0,86.0,19.0,,12.0,17.0,,5.0,5.0,14.0,6.0,3.0,1.0,,,,,,1.0,1.0,,,,,,4.0,,,1.0,1.0,,1.0,,,1.0,,2.0,1.0,,2.0,,,1.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,
15,2292955,2022-11-05 15:00:00,"The City Ground, Nottingham",28869.0,Away,Brentford,Nottingham Forest,2,2,D,1,1,0,0,1.0,2.0,17.0,56.0,1.0,28.0,30.0,2.0,2.0,4.0,5.0,1.0,,170.0,,7.0,3.0,4.0,2.0,1.0,4.0,2.0,123.0,157.0,40.0,6.0,,16.0,,,1.0,1.0,17.0,9.0,30.0,2.0,2.0,50.0,100.0,,1.0,0.0,104.0,11.0,1.0,2.0,,69.0,44.0,2.0,66.0,2.0,2.0,15.0,16.0,2.0,5.0,1.0,157.0,1.0,10.0,118.0,658.0,3.0,3.0,16.0,4.0,349.0,30.0,1.0,12.0,1.0,2.0,3.0,2.0,23.0,452.0,52.0,2.0,592661,3.0,270.0,,10.0,314.0,4.0,16.0,12.0,54.0,2.0,2.0,5.0,1.0,11.0,6.0,7.0,74.0,367.0,10.0,10.0,16.0,67.0,,,,0.0,,3.0,5.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,52.8,21.0,1.0,6.0,5.0,1.0,27.0,3.0,,477.0,4.0,13.0,23.0,3.0,22.0,2.0,180.0,3.0,1.0,14.0,63.0,15.0,2.0,12.0,12.0,1.0,4.0,5.0,9.0,5.0,3.0,,2.0,,1.0,,,2.0,,,,,,,,,2.0,,2.0,,,1.0,,,,,1.0,,,,,1.0,5.0,,5.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,
16,2292964,2022-11-12 12:30:00,"Etihad Stadium, Manchester",52786.0,Away,Brentford,Manchester City,2,1,W,1,1,0,0,,2.0,24.0,53.0,3.0,27.0,46.0,1.0,2.0,8.0,5.0,,5.0,117.0,,17.0,4.0,5.0,2.0,1.0,8.0,8.0,40.0,124.0,44.0,10.0,,22.0,5.0,,1.0,1.0,11.0,3.0,46.0,2.0,3.0,43.0,84.0,,,0.0,97.0,7.0,,3.0,2.0,41.0,28.0,8.0,26.0,2.0,,9.0,11.0,2.0,5.0,1.0,124.0,5.0,17.0,33.0,407.0,6.0,13.0,27.0,9.0,102.0,30.0,2.0,31.0,2.0,2.0,14.0,,7.0,179.0,57.0,2.0,592661,6.0,43.0,4.0,3.0,61.0,,8.0,16.0,45.0,3.0,2.0,1.0,1.0,13.0,12.0,9.0,67.0,123.0,8.0,8.0,13.0,65.0,,2.0,,0.0,,10.0,2.0,2.0,1.0,8.0,0.0,3.0,2.0,1.0,25.4,7.0,,1.0,1.0,1.0,28.0,2.0,2.0,216.0,9.0,4.0,13.0,1.0,21.0,,166.0,7.0,2.0,20.0,49.0,11.0,2.0,31.0,11.0,1.0,9.0,3.0,10.0,8.0,2.0,1.0,1.0,,1.0,,3.0,1.0,4.0,1.0,1.0,,4.0,,1.0,,,,1.0,,,1.0,,,,,,3.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
17,2292972,2022-12-26 12:30:00,"Gtech Community Stadium, Brentford",17137.0,Home,Brentford,Tottenham Hotspur,2,2,D,1,0,0,0,,2.0,24.0,82.0,4.0,28.0,24.0,1.0,3.0,8.0,6.0,2.0,1.0,162.0,1.0,14.0,4.0,3.0,2.0,1.0,7.0,5.0,69.0,171.0,42.0,9.0,1.0,28.0,3.0,,,1.0,13.0,4.0,24.0,6.0,3.0,52.0,111.0,1.0,,0.0,119.0,11.0,,3.0,2.0,64.0,37.0,4.0,54.0,1.0,,7.0,19.0,1.0,3.0,,171.0,2.0,7.0,50.0,526.0,5.0,9.0,21.0,9.0,201.0,34.0,7.0,15.0,1.0,3.0,5.0,3.0,16.0,309.0,55.0,1.0,61810,4.0,106.0,1.0,3.0,132.0,5.0,8.0,3.0,67.0,4.0,1.0,3.0,1.0,12.0,8.0,1.0,75.0,213.0,10.0,12.0,29.0,68.0,,1.0,,0.0,1.0,5.0,2.0,2.0,2.0,5.0,0.0,1.0,,2.0,39.1,8.0,,6.0,3.0,1.0,24.0,6.0,2.0,335.0,9.0,11.0,23.0,3.0,27.0,3.0,216.0,4.0,2.0,14.0,61.0,30.0,1.0,15.0,16.0,2.0,5.0,3.0,10.0,8.0,6.0,,1.0,,,,2.0,1.0,,1.0,,,2.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,3.0,2.0,,,,3.0,1.0,,1.0,1.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,
18,2292988,2022-12-30 19:45:00,"London Stadium, London",62467.0,Away,Brentford,West Ham United,2,0,W,2,0,0,0,,2.0,13.0,57.0,2.0,25.0,35.0,2.0,4.0,7.0,5.0,1.0,1.0,156.0,1.0,6.0,3.0,2.0,2.0,2.0,7.0,6.0,65.0,120.0,41.0,9.0,1.0,17.0,3.0,1.0,1.0,1.0,7.0,8.0,35.0,1.0,3.0,50.0,112.0,,,0.0,82.0,5.0,,3.0,1.0,55.0,37.0,5.0,60.0,1.0,,6.0,9.0,2.0,3.0,,120.0,1.0,12.0,67.0,522.0,5.0,9.0,18.0,9.0,247.0,27.0,1.0,18.0,1.0,0.0,6.0,2.0,14.0,321.0,52.0,1.0,61810,3.0,152.0,,2.0,174.0,3.0,6.0,16.0,39.0,4.0,,4.0,1.0,15.0,8.0,9.0,66.0,261.0,9.0,5.0,11.0,73.0,,1.0,,0.0,,8.0,3.0,2.0,,4.0,0.0,2.0,1.0,1.0,36.9,12.0,1.0,2.0,4.0,1.0,37.0,1.0,1.0,348.0,9.0,7.0,23.0,2.0,18.0,2.0,181.0,4.0,2.0,14.0,47.0,19.0,1.0,18.0,16.0,,3.0,4.0,7.0,6.0,1.0,3.0,1.0,,,1.0,,1.0,3.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,2.0,,1.0,,,1.0,5.0,,5.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2292992,2023-01-02 17:30:00,"Gtech Community Stadium, Brentford",17163.0,Home,Brentford,Liverpool,3,1,W,2,0,0,0,,1.0,17.0,83.0,2.0,14.0,37.0,1.0,4.0,9.0,4.0,1.0,,155.0,1.0,12.0,5.0,2.0,3.0,,5.0,7.0,32.0,164.0,42.0,10.0,,16.0,4.0,1.0,1.0,,14.0,7.0,37.0,4.0,1.0,50.0,59.0,,,0.0,83.0,5.0,,2.0,1.0,44.0,36.0,3.0,18.0,2.0,2.0,10.0,18.0,1.0,3.0,,164.0,1.0,12.0,32.0,432.0,2.0,5.0,15.0,13.0,110.0,39.0,3.0,13.0,1.0,1.0,8.0,2.0,14.0,213.0,55.0,1.0,592661,4.0,64.0,3.0,7.0,93.0,3.0,8.0,4.0,42.0,3.0,7.0,2.0,2.0,16.0,4.0,2.0,74.0,118.0,8.0,13.0,27.0,72.0,,2.0,,0.0,,9.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,4.0,27.0,10.0,1.0,6.0,2.0,1.0,20.0,4.0,1.0,237.0,13.0,7.0,13.0,2.0,24.0,2.0,158.0,2.0,1.0,15.0,30.0,24.0,2.0,13.0,17.0,1.0,6.0,5.0,4.0,8.0,4.0,3.0,1.0,,1.0,,2.0,2.0,3.0,1.0,1.0,,2.0,,,,1.0,,2.0,,,,,,,2.0,4.0,2.0,,,,3.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
20,2293001,2023-01-14 17:30:00,"Gtech Community Stadium, Brentford",17031.0,Home,Brentford,Bournemouth,2,0,W,1,0,0,0,,1.0,21.0,66.0,1.0,23.0,19.0,5.0,5.0,6.0,2.0,,1.0,168.0,,9.0,4.0,6.0,2.0,1.0,5.0,4.0,87.0,176.0,53.0,12.0,1.0,20.0,1.0,,1.0,1.0,24.0,11.0,19.0,2.0,3.0,32.0,157.0,1.0,,0.0,131.0,5.0,,2.0,,86.0,61.0,3.0,71.0,,4.0,22.0,16.0,6.0,12.0,4.0,176.0,,4.0,100.0,622.0,4.0,6.0,18.0,7.0,300.0,21.0,6.0,8.0,1.0,1.0,2.0,2.0,25.0,406.0,59.0,,51927,3.0,164.0,,10.0,186.0,2.0,5.0,5.0,51.0,,2.0,4.0,1.0,16.0,3.0,3.0,50.0,317.0,9.0,8.0,18.0,68.0,1.0,,,0.0,1.0,3.0,1.0,2.0,,1.0,0.0,4.0,1.0,1.0,49.9,16.0,1.0,7.0,4.0,1.0,37.0,5.0,,426.0,7.0,10.0,8.0,7.0,32.0,3.0,264.0,6.0,1.0,18.0,78.0,32.0,1.0,8.0,20.0,,7.0,5.0,15.0,5.0,5.0,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,2.0,1.0,,1.0,,1.0,,1.0,1.0,,,3.0,,3.0,,,,,1.0,,3.0,,,,,,,,1.0,,,,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,2293014,2023-01-22 14:00:00,"Elland Road, Leeds",36260.0,Away,Brentford,Leeds United,0,0,D,0,0,0,0,,,19.0,75.0,4.0,24.0,23.0,1.0,1.0,3.0,5.0,,,161.0,,12.0,3.0,7.0,,,4.0,,69.0,178.0,49.0,6.0,1.0,18.0,,1.0,,2.0,15.0,6.0,23.0,2.0,4.0,54.0,98.0,,,0.0,106.0,18.0,,3.0,3.0,72.0,30.0,,41.0,2.0,2.0,13.0,21.0,3.0,3.0,2.0,178.0,,2.0,75.0,547.0,4.0,6.0,12.0,14.0,212.0,26.0,4.0,5.0,,2.0,3.0,4.0,23.0,318.0,53.0,1.0,51927,1.0,128.0,,10.0,159.0,12.0,7.0,6.0,60.0,3.0,1.0,8.0,,17.0,7.0,3.0,64.0,223.0,10.0,7.0,15.0,78.0,,,1.0,0.0,,2.0,1.0,,,3.0,0.0,2.0,,1.0,41.5,16.0,1.0,3.0,9.0,1.0,25.0,3.0,3.0,346.0,14.0,11.0,19.0,5.0,28.0,3.0,202.0,4.0,4.0,18.0,60.0,26.0,,5.0,14.0,,5.0,2.0,13.0,7.0,3.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,3.0,,3.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
22,2293021,2023-02-04 15:00:00,"Gtech Community Stadium, Brentford",17051.0,Home,Brentford,Southampton,3,0,W,2,0,0,0,,2.0,32.0,76.0,3.0,35.0,18.0,,6.0,14.0,5.0,1.0,1.0,179.0,,8.0,5.0,3.0,3.0,1.0,11.0,4.0,89.0,165.0,46.0,14.0,,25.0,1.0,2.0,3.0,1.0,17.0,8.0,18.0,2.0,3.0,56.0,165.0,2.0,,0.0,165.0,10.0,,1.0,2.0,65.0,55.0,7.0,58.0,1.0,2.0,15.0,15.0,,6.0,,165.0,3.0,5.0,70.0,581.0,7.0,12.0,34.0,7.0,260.0,28.0,4.0,13.0,3.0,1.0,5.0,4.0,21.0,369.0,76.0,1.0,51927,9.0,114.0,1.0,9.0,139.0,7.0,11.0,7.0,55.0,1.0,1.0,4.0,3.0,10.0,9.0,3.0,78.0,274.0,9.0,4.0,18.0,73.0,1.0,1.0,,0.0,2.0,4.0,3.0,3.0,,2.0,0.0,5.0,3.0,3.0,48.3,19.0,1.0,5.0,4.0,4.0,32.0,4.0,3.0,396.0,7.0,13.0,28.0,6.0,41.0,5.0,274.0,5.0,3.0,20.0,98.0,32.0,1.0,13.0,14.0,,11.0,5.0,6.0,11.0,4.0,,,2.0,4.0,,1.0,1.0,,1.0,,1.0,2.0,1.0,,,,,1.0,,,,,1.0,,1.0,2.0,1.0,1.0,,,,,2.0,,,,,,,,2.0,,1.0,1.0,,,,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
23,2293031,2023-02-11 15:00:00,"Emirates Stadium, London",60254.0,Away,Brentford,Arsenal,1,1,D,0,0,0,0,,1.0,12.0,56.0,2.0,33.0,34.0,2.0,2.0,7.0,6.0,,1.0,132.0,1.0,6.0,4.0,5.0,1.0,1.0,9.0,2.0,57.0,120.0,58.0,9.0,,13.0,,,,,14.0,8.0,34.0,4.0,6.0,55.0,118.0,,,0.0,118.0,9.0,1.0,,3.0,52.0,29.0,5.0,42.0,2.0,2.0,10.0,16.0,2.0,5.0,1.0,120.0,3.0,13.0,36.0,435.0,5.0,17.0,37.0,6.0,152.0,22.0,3.0,22.0,1.0,2.0,6.0,4.0,12.0,231.0,51.0,,51927,4.0,63.0,2.0,5.0,90.0,5.0,10.0,11.0,45.0,,1.0,,,7.0,10.0,7.0,66.0,177.0,9.0,13.0,9.0,58.0,,,,0.0,1.0,7.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,30.8,11.0,,6.0,,3.0,35.0,4.0,3.0,267.0,6.0,6.0,30.0,4.0,32.0,2.0,191.0,5.0,6.0,32.0,69.0,13.0,1.0,22.0,12.0,1.0,5.0,3.0,9.0,10.0,4.0,,,,3.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,2.0,,,,,3.0,3.0,,,,,3.0,3.0,1.0,3.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
24,2293041,2023-02-18 15:00:00,"Gtech Community Stadium, Brentford",17122.0,Home,Brentford,Crystal Palace,1,1,D,0,0,0,0,,1.0,26.0,53.0,1.0,31.0,12.0,4.0,4.0,7.0,3.0,,2.0,188.0,,12.0,8.0,5.0,1.0,1.0,8.0,5.0,127.0,151.0,49.0,12.0,,16.0,1.0,1.0,1.0,1.0,25.0,6.0,12.0,2.0,3.0,53.0,208.0,1.0,,0.0,163.0,10.0,1.0,,3.0,57.0,85.0,6.0,82.0,,3.0,23.0,13.0,5.0,11.0,2.0,151.0,1.0,8.0,120.0,715.0,6.0,9.0,31.0,9.0,413.0,23.0,3.0,9.0,1.0,2.0,3.0,2.0,33.0,503.0,72.0,,51927,6.0,226.0,,11.0,245.0,5.0,5.0,2.0,50.0,,3.0,6.0,1.0,17.0,2.0,2.0,55.0,426.0,8.0,10.0,12.0,75.0,1.0,2.0,,0.0,1.0,6.0,2.0,1.0,1.0,2.0,0.0,8.0,1.0,3.0,58.7,27.0,2.0,2.0,6.0,1.0,45.0,2.0,3.0,517.0,9.0,6.0,27.0,6.0,45.0,4.0,297.0,5.0,3.0,24.0,110.0,21.0,,9.0,12.0,1.0,9.0,5.0,14.0,5.0,2.0,2.0,,,1.0,,,,2.0,,3.0,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,
25,2293056,2023-04-05 20:00:00,"Old Trafford, Manchester",73309.0,Away,Brentford,Manchester United,0,1,L,0,1,0,0,,,17.0,54.0,1.0,26.0,26.0,2.0,2.0,4.0,2.0,,1.0,147.0,,8.0,3.0,10.0,,1.0,5.0,1.0,69.0,119.0,54.0,6.0,,23.0,1.0,1.0,,1.0,15.0,13.0,26.0,3.0,8.0,50.0,96.0,,,0.0,87.0,13.0,,2.0,,28.0,36.0,2.0,51.0,2.0,,12.0,16.0,2.0,7.0,2.0,119.0,1.0,8.0,60.0,504.0,4.0,9.0,16.0,10.0,232.0,29.0,2.0,20.0,,2.0,7.0,3.0,11.0,304.0,45.0,,61810,3.0,156.0,1.0,4.0,183.0,7.0,11.0,11.0,61.0,,1.0,5.0,,11.0,10.0,9.0,58.0,249.0,9.0,10.0,8.0,51.0,,,,0.0,1.0,12.0,1.0,,1.0,4.0,0.0,2.0,,2.0,35.3,10.0,2.0,,5.0,1.0,24.0,3.0,,327.0,10.0,8.0,24.0,4.0,22.0,2.0,159.0,2.0,5.0,17.0,55.0,18.0,,20.0,18.0,1.0,5.0,5.0,17.0,11.0,3.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,3.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2293062,2023-03-06 20:00:00,"Gtech Community Stadium, Brentford",17025.0,Home,Brentford,Fulham,3,2,W,1,1,0,0,,2.0,17.0,62.0,2.0,22.0,26.0,4.0,5.0,9.0,3.0,1.0,1.0,134.0,1.0,10.0,3.0,6.0,3.0,4.0,6.0,6.0,48.0,139.0,62.0,14.0,,8.0,2.0,1.0,1.0,1.0,21.0,15.0,26.0,2.0,1.0,51.0,111.0,,,0.0,116.0,12.0,,2.0,1.0,51.0,49.0,3.0,47.0,,3.0,19.0,22.0,5.0,10.0,2.0,139.0,3.0,5.0,45.0,478.0,3.0,7.0,23.0,11.0,168.0,20.0,,17.0,1.0,0.0,,3.0,22.0,251.0,49.0,2.0,61810,5.0,75.0,2.0,8.0,93.0,6.0,10.0,3.0,46.0,6.0,3.0,,1.0,12.0,4.0,2.0,49.0,183.0,16.0,15.0,8.0,55.0,,1.0,,0.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,36.2,20.0,1.0,11.0,,1.0,29.0,2.0,1.0,274.0,11.0,7.0,25.0,7.0,35.0,3.0,202.0,7.0,1.0,18.0,71.0,27.0,1.0,17.0,22.0,2.0,6.0,4.0,11.0,10.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,4.0,,4.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,
