gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attObxCentre,attFreekickTotal,attOboxBlocked,accurateKeeperSweeper,attOboxTarget,attSvLowLeft,goodHighClaim,interceptionsInBox,attemptsObox,freekickTotal,totalKeeperSweeper,accurateFreekickCross,attSvLowRight,goalsConceded,accurateCrossNocorner,shieldBallOop,totalHighClaim,goalsConcededIbox,bigChanceScored,attGoalLowLeft,attLfGoal,goals,attBxRight,goalAssistOpenplay,attMissLeft,goalAssist,offtargetAttAssist,penaltyConceded,attRfGoal,defenderGoals,goalsOpenplay,attCmissLeft,attIboxGoal,goalAssistIntentional,penaltyFaced,shotOffTarget,attIboxMiss,forwardGoals,attGoalLowRight,attCmissRight,goalFastbreak,attMissHighRight,attSvHighRight,attMissRight,attOboxMiss,attHdTarget,attCmissHigh,attMissHigh,attFreekickTarget,attCmissHighRight,attHdTotal,attHdMiss,totalPullBack,ownGoals,attSvHighCentre,attIboxOwnGoal,ptsDroppedWinningPos,errorLeadToGoal,attGoalHighRight,penaltyWon,midfielderGoals,attMissHighLeft,attCmissHighLeft,attPenGoal,goalAssistSetplay,attGoalLowCentre,ptsGainedLosingPos,attSvHighLeft,hitWoodwork,attObxLeft,attHdGoal,attObxdLeft,attFreekickMiss,attGoalHighLeft,attObxdRight,goalAssistDeadball,goalsConcededObox,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attOboxGoal,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,expectedAssists,attObpGoal,attFreekickGoal,foulThrowIn,expectedGoals,accuratePullBack,postScoringAtt,attIboxPost,attPostRight,attPostLeft,attLgCentre
11,1059806,2019-11-03 14:00:00,"Selhurst Park, London",25480.0,Home,Crystal Palace,Leicester City,0,2,L,0,0,0,0,2.0,59.0,1.0,2.0,21.0,12.0,6.0,3.0,3.0,,135.0,1.0,13.0,1.0,5.0,3.0,67.0,140.0,66.0,12.0,18.0,1.0,1.0,2.0,20.0,13.0,12.0,5.0,4.0,36.0,,131.0,,0.0,101.0,15.0,,1.0,5.0,45.0,63.0,2.0,55.0,15.0,16.0,3.0,140.0,,,11.0,77.0,548.0,5.0,10.0,15.0,9.0,248.0,25.0,2.0,5.0,2.0,2.0,30.0,314.0,50.0,,,86417,3.0,132.0,,7.0,,1.0,155.0,9.0,16.0,5.0,58.0,,2.0,7.0,20.0,3.0,4.0,46.0,262.0,16.0,6.0,,11.0,2.0,62.0,1.0,1.0,0.0,3.0,6.0,2.0,3.0,0.0,44.2,28.0,7.0,,7.0,4.0,,39.0,5.0,334.0,9.0,15.0,19.0,26.0,,199.0,5.0,3.0,19.0,69.0,20.0,2.0,5.0,19.0,9.0,3.0,20.0,2.0,5.0,5.0,2.0,9.0,,2.0,1.0,2.0,,,1.0,9.0,,1.0,1.0,,2.0,1.0,,,2.0,,,,,,,1.0,,3.0,,,,,,,,,5.0,,,,,,1.0,1.0,2.0,5.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1059813,2019-11-09 12:30:00,"Stamford Bridge, London",40525.0,Away,Crystal Palace,Chelsea,0,2,L,0,0,0,0,1.0,53.0,2.0,,24.0,21.0,1.0,1.0,3.0,,148.0,1.0,12.0,2.0,3.0,1.0,85.0,130.0,56.0,3.0,19.0,,,1.0,7.0,13.0,21.0,,4.0,31.0,,130.0,,0.0,87.0,17.0,2.0,,2.0,38.0,66.0,2.0,60.0,7.0,10.0,3.0,130.0,1.0,,11.0,84.0,559.0,2.0,7.0,7.0,11.0,273.0,20.0,4.0,8.0,2.0,8.0,17.0,354.0,38.0,,1.0,86417,1.0,161.0,1.0,2.0,,1.0,183.0,12.0,10.0,13.0,68.0,1.0,,4.0,11.0,12.0,8.0,54.0,290.0,9.0,13.0,1.0,20.0,,73.0,,1.0,0.0,2.0,7.0,1.0,3.0,0.0,39.4,12.0,3.0,,4.0,1.0,,43.0,,377.0,11.0,13.0,18.0,12.0,,201.0,1.0,4.0,16.0,50.0,23.0,3.0,8.0,19.0,2.0,3.0,18.0,3.0,4.0,,,2.0,,1.0,,1.0,,,,2.0,,,1.0,,2.0,1.0,,,2.0,,,,,,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1059826,2019-11-23 15:00:00,"Selhurst Park, London",25486.0,Home,Crystal Palace,Liverpool,1,2,L,0,0,0,0,,53.0,,2.0,25.0,31.0,3.0,8.0,2.0,5.0,142.0,8.0,9.0,2.0,12.0,6.0,67.0,141.0,51.0,16.0,24.0,,,1.0,25.0,10.0,31.0,9.0,3.0,29.0,,107.0,,0.0,92.0,8.0,2.0,,1.0,39.0,47.0,6.0,60.0,16.0,5.0,7.0,141.0,2.0,1.0,9.0,61.0,544.0,11.0,11.0,26.0,8.0,232.0,31.0,6.0,14.0,0.0,4.0,21.0,311.0,34.0,1.0,,86417,4.0,147.0,2.0,8.0,,1.0,173.0,5.0,5.0,7.0,59.0,1.0,3.0,5.0,11.0,3.0,4.0,62.0,246.0,7.0,3.0,,27.0,2.0,57.0,,1.0,0.0,1.0,8.0,2.0,3.0,0.0,40.0,20.0,2.0,4.0,5.0,3.0,,26.0,9.0,330.0,8.0,16.0,16.0,36.0,1.0,182.0,13.0,2.0,21.0,59.0,9.0,,14.0,14.0,13.0,3.0,17.0,,3.0,9.0,,8.0,,1.0,1.0,5.0,1.0,,,8.0,,1.0,,2.0,2.0,7.0,,,2.0,,1.0,,1.0,,1.0,2.0,1.0,6.0,,1.0,,1.0,,1.0,1.0,,7.0,5.0,,,1.0,,,,4.0,2.0,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1059832,2019-11-30 15:00:00,"Turf Moor, Burnley",19818.0,Away,Crystal Palace,Burnley,2,0,W,1,0,0,0,,72.0,1.0,1.0,21.0,31.0,2.0,6.0,3.0,,201.0,2.0,11.0,1.0,4.0,2.0,81.0,171.0,68.0,7.0,33.0,,,,17.0,8.0,31.0,4.0,8.0,41.0,,142.0,1.0,0.0,103.0,9.0,2.0,,,70.0,48.0,2.0,95.0,13.0,17.0,4.0,171.0,1.0,1.0,12.0,87.0,685.0,3.0,9.0,22.0,12.0,333.0,29.0,4.0,19.0,0.0,4.0,25.0,437.0,44.0,,2.0,86417,4.0,208.0,1.0,9.0,,,243.0,6.0,17.0,8.0,70.0,3.0,1.0,10.0,16.0,3.0,3.0,65.0,348.0,13.0,9.0,,23.0,,86.0,,,0.0,,5.0,3.0,2.0,0.0,56.5,22.0,1.0,2.0,10.0,1.0,1.0,39.0,6.0,464.0,12.0,9.0,12.0,28.0,,238.0,4.0,7.0,32.0,63.0,28.0,4.0,19.0,15.0,6.0,3.0,22.0,4.0,4.0,6.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,2.0,,1.0,,,2.0,2.0,2.0,,1.0,2.0,1.0,2.0,,,,2.0,,2.0,,,4.0,3.0,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
15,1059849,2019-12-03 19:30:00,"Selhurst Park, London",23497.0,Home,Crystal Palace,Bournemouth,1,0,W,0,0,1,0,,41.0,1.0,2.0,18.0,30.0,2.0,4.0,3.0,1.0,125.0,1.0,11.0,3.0,5.0,2.0,38.0,134.0,58.0,7.0,26.0,,,,15.0,8.0,30.0,6.0,,24.0,,114.0,1.0,0.0,92.0,6.0,1.0,,3.0,67.0,24.0,4.0,46.0,9.0,9.0,3.0,134.0,,,4.0,49.0,465.0,3.0,5.0,26.0,12.0,180.0,22.0,6.0,15.0,3.0,1.0,22.0,229.0,44.0,,,86417,2.0,77.0,,3.0,,1.0,88.0,4.0,9.0,12.0,71.0,1.0,1.0,,14.0,2.0,2.0,60.0,190.0,14.0,13.0,1.0,21.0,2.0,70.0,,1.0,0.0,3.0,9.0,2.0,3.0,1.0,30.8,14.0,1.0,2.0,,2.0,,28.0,6.0,258.0,12.0,19.0,11.0,21.0,1.0,185.0,4.0,,18.0,61.0,12.0,2.0,15.0,16.0,3.0,2.0,18.0,2.0,6.0,6.0,,3.0,1.0,,,1.0,,1.0,4.0,3.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,3.0,1.0,,,,,,1.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,1059860,2019-12-07 15:00:00,"Vicarage Road, Watford",20070.0,Away,Crystal Palace,Watford,0,0,D,0,0,0,0,,67.0,,1.0,19.0,26.0,1.0,3.0,3.0,,156.0,,12.0,2.0,2.0,,90.0,155.0,61.0,3.0,28.0,,,,11.0,11.0,26.0,2.0,4.0,42.0,,113.0,1.0,0.0,87.0,16.0,1.0,,2.0,56.0,42.0,1.0,58.0,9.0,8.0,2.0,155.0,,,8.0,87.0,591.0,2.0,7.0,9.0,7.0,275.0,28.0,4.0,11.0,2.0,6.0,18.0,367.0,46.0,,,86417,1.0,175.0,,5.0,,,207.0,6.0,8.0,7.0,69.0,,1.0,9.0,20.0,5.0,2.0,65.0,288.0,15.0,12.0,,20.0,,79.0,,,0.0,1.0,6.0,3.0,,0.0,49.8,14.0,3.0,1.0,10.0,1.0,,38.0,2.0,391.0,7.0,12.0,16.0,14.0,,195.0,2.0,4.0,22.0,51.0,21.0,4.0,11.0,14.0,3.0,3.0,14.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,2.0,2.0,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1059865,2019-12-16 19:45:00,"Selhurst Park, London",24175.0,Home,Crystal Palace,Brighton and Hove Albion,1,1,D,0,0,0,0,,69.0,4.0,1.0,25.0,32.0,2.0,8.0,9.0,2.0,142.0,6.0,10.0,,8.0,4.0,76.0,134.0,62.0,11.0,10.0,3.0,,,14.0,7.0,32.0,3.0,4.0,26.0,,105.0,,0.0,84.0,7.0,5.0,,1.0,58.0,27.0,5.0,37.0,11.0,13.0,6.0,134.0,,,7.0,60.0,535.0,6.0,14.0,17.0,14.0,214.0,36.0,7.0,14.0,1.0,2.0,23.0,291.0,50.0,,1.0,82403,3.0,127.0,,4.0,,,156.0,2.0,13.0,4.0,43.0,,,9.0,17.0,8.0,1.0,61.0,226.0,12.0,11.0,1.0,22.0,1.0,69.0,,1.0,0.0,1.0,7.0,5.0,2.0,0.0,34.8,20.0,,2.0,9.0,1.0,,38.0,3.0,315.0,14.0,11.0,11.0,25.0,1.0,173.0,6.0,4.0,26.0,51.0,17.0,5.0,14.0,14.0,10.0,2.0,15.0,5.0,8.0,3.0,1.0,3.0,,,2.0,,1.0,2.0,2.0,3.0,,2.0,,2.0,1.0,5.0,,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,1.0,1.0,1.0,,,6.0,3.0,1.0,,,,,,3.0,3.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,1059877,2019-12-21 15:00:00,"St. James' Park, Newcastle",45453.0,Away,Crystal Palace,Newcastle United,0,1,L,0,0,0,0,1.0,56.0,1.0,2.0,36.0,14.0,3.0,9.0,2.0,3.0,179.0,4.0,16.0,2.0,13.0,4.0,125.0,141.0,68.0,16.0,19.0,4.0,,2.0,16.0,7.0,14.0,5.0,3.0,33.0,,214.0,,0.0,133.0,11.0,1.0,,2.0,71.0,59.0,7.0,73.0,11.0,11.0,2.0,141.0,1.0,,4.0,126.0,702.0,10.0,17.0,32.0,4.0,402.0,18.0,9.0,10.0,0.0,3.0,27.0,480.0,50.0,1.0,,82403,5.0,210.0,1.0,7.0,1.0,2.0,233.0,3.0,11.0,8.0,62.0,1.0,,8.0,15.0,4.0,6.0,55.0,420.0,12.0,8.0,3.0,16.0,2.0,72.0,,1.0,0.0,4.0,4.0,1.0,3.0,0.0,57.5,25.0,5.0,1.0,8.0,5.0,,53.0,5.0,503.0,4.0,9.0,19.0,27.0,1.0,286.0,11.0,3.0,23.0,98.0,23.0,2.0,10.0,18.0,11.0,1.0,32.0,2.0,3.0,5.0,,6.0,1.0,3.0,,,1.0,1.0,1.0,7.0,1.0,,2.0,1.0,1.0,3.0,,1.0,1.0,,,,,1.0,,2.0,,6.0,,,,,1.0,,,,7.0,3.0,,,,,1.0,,3.0,4.0,,1.0,1.0,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
19,1059885,2019-12-26 15:00:00,"Selhurst Park, London",25462.0,Home,Crystal Palace,West Ham United,2,1,W,0,0,0,0,,69.0,1.0,1.0,20.0,16.0,4.0,11.0,1.0,2.0,194.0,5.0,24.0,4.0,8.0,4.0,157.0,160.0,65.0,13.0,27.0,2.0,,2.0,19.0,10.0,16.0,7.0,8.0,33.0,1.0,207.0,,0.0,158.0,5.0,,,,87.0,52.0,3.0,69.0,12.0,15.0,3.0,160.0,3.0,,7.0,137.0,787.0,5.0,6.0,48.0,13.0,445.0,35.0,4.0,5.0,0.0,3.0,19.0,535.0,52.0,1.0,,82403,5.0,262.0,2.0,9.0,1.0,,287.0,3.0,15.0,8.0,78.0,1.0,1.0,5.0,16.0,3.0,6.0,45.0,464.0,10.0,16.0,1.0,12.0,3.0,70.0,,,0.0,4.0,6.0,,3.0,0.0,58.2,17.0,4.0,2.0,5.0,1.0,,44.0,7.0,557.0,13.0,14.0,15.0,32.0,1.0,289.0,7.0,7.0,16.0,111.0,25.0,3.0,5.0,16.0,10.0,3.0,40.0,3.0,7.0,7.0,,2.0,,,,,,1.0,1.0,2.0,,,,,1.0,4.0,,2.0,1.0,2.0,1.0,,2.0,1.0,2.0,4.0,2.0,5.0,,2.0,,2.0,1.0,2.0,1.0,,8.0,6.0,1.0,,,,1.0,,2.0,2.0,,1.0,1.0,,,2.0,2.0,2.0,,,,,,,,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1059899,2019-12-28 15:00:00,"St. Mary's Stadium, Southampton",31108.0,Away,Crystal Palace,Southampton,1,1,D,0,0,0,0,,49.0,1.0,,16.0,32.0,,2.0,4.0,,138.0,3.0,16.0,2.0,3.0,2.0,71.0,147.0,73.0,5.0,24.0,1.0,,,8.0,10.0,32.0,4.0,6.0,33.0,,100.0,,0.0,87.0,7.0,3.0,,2.0,50.0,30.0,2.0,53.0,4.0,14.0,1.0,147.0,,1.0,10.0,72.0,543.0,1.0,8.0,11.0,12.0,230.0,29.0,2.0,15.0,2.0,5.0,23.0,309.0,49.0,,,82403,2.0,146.0,,1.0,,1.0,169.0,4.0,14.0,6.0,69.0,,2.0,1.0,16.0,4.0,1.0,52.0,243.0,13.0,18.0,1.0,23.0,1.0,65.0,,2.0,0.0,4.0,12.0,3.0,1.0,0.0,40.1,14.0,3.0,,1.0,,,26.0,4.0,334.0,12.0,10.0,13.0,16.0,2.0,173.0,3.0,6.0,28.0,47.0,9.0,4.0,15.0,16.0,3.0,1.0,26.0,4.0,6.0,4.0,,3.0,,,1.0,,,,3.0,3.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,3.0,,,1.0,1.0,,,1.0,1.0,3.0,1.0,,1.0,,,2.0,,,,,,2.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,1059908,2020-01-01 17:30:00,"Carrow Road, Norwich",27021.0,Away,Crystal Palace,Norwich City,1,1,D,0,1,0,0,,54.0,2.0,2.0,31.0,8.0,4.0,7.0,3.0,1.0,187.0,3.0,9.0,6.0,9.0,3.0,121.0,174.0,54.0,12.0,15.0,2.0,1.0,2.0,26.0,3.0,8.0,5.0,3.0,45.0,,253.0,,0.0,171.0,9.0,2.0,1.0,5.0,135.0,54.0,6.0,103.0,21.0,18.0,8.0,174.0,1.0,2.0,11.0,110.0,744.0,8.0,12.0,38.0,11.0,409.0,19.0,5.0,4.0,0.0,3.0,35.0,503.0,61.0,,,82403,3.0,172.0,,8.0,,2.0,202.0,6.0,2.0,7.0,63.0,,1.0,4.0,15.0,4.0,3.0,54.0,422.0,12.0,9.0,,11.0,1.0,71.0,1.0,,0.0,3.0,2.0,1.0,5.0,0.0,59.4,33.0,2.0,1.0,4.0,5.0,,44.0,5.0,521.0,11.0,22.0,22.0,31.0,,345.0,7.0,3.0,17.0,133.0,29.0,1.0,4.0,16.0,9.0,3.0,17.0,1.0,2.0,5.0,,5.0,,3.0,,,,,,5.0,,,,,1.0,3.0,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,,,4.0,2.0,,0.0,,,1.0,,1.0,2.0,1.0,,1.0,,,1.0,,3.0,0.0,,,,,0.0,,0.0,,,0.0,,1.0,1.0,,,,0.0,,,0.0,,,0.0,1.14098,1.45371,0.0,0.0,0.0,0.0,1.0,0.731869,0.0,0.0,1.0,1.3923,,,,,,
22,1059915,2020-01-11 12:30:00,"Selhurst Park, London",25468.0,Home,Crystal Palace,Arsenal,1,1,D,0,1,0,1,,69.0,,,24.0,11.0,3.0,4.0,3.0,1.0,155.0,2.0,8.0,2.0,3.0,3.0,61.0,162.0,68.0,6.0,11.0,2.0,,,13.0,16.0,11.0,1.0,4.0,44.0,,130.0,,0.0,110.0,14.0,3.0,,2.0,94.0,31.0,2.0,68.0,12.0,18.0,1.0,162.0,,,6.0,78.0,567.0,2.0,3.0,19.0,14.0,244.0,26.0,9.0,3.0,2.0,1.0,21.0,334.0,55.0,,,82403,1.0,130.0,,9.0,,4.0,155.0,12.0,18.0,4.0,49.0,,3.0,2.0,20.0,1.0,1.0,69.0,258.0,22.0,7.0,,27.0,,67.0,,,0.0,1.0,4.0,3.0,,0.0,42.7,15.0,7.0,2.0,2.0,1.0,,33.0,1.0,362.0,14.0,8.0,16.0,25.0,,220.0,2.0,3.0,13.0,63.0,32.0,1.0,3.0,25.0,2.0,1.0,17.0,1.0,14.0,1.0,,2.0,,1.0,,,1.0,,,2.0,,,,,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1059926,2020-01-18 15:00:00,"Etihad Stadium, Manchester",54439.0,Away,Crystal Palace,Manchester City,2,2,D,1,0,0,0,1.0,59.0,,,23.0,44.0,1.0,4.0,4.0,1.0,132.0,2.0,14.0,,4.0,3.0,43.0,133.0,64.0,5.0,21.0,2.0,,1.0,6.0,13.0,44.0,2.0,2.0,36.0,,83.0,,0.0,73.0,7.0,1.0,,,44.0,43.0,3.0,41.0,4.0,6.0,3.0,133.0,1.0,1.0,16.0,54.0,458.0,2.0,11.0,12.0,8.0,160.0,34.0,8.0,20.0,2.0,9.0,10.0,236.0,46.0,,,82403,1.0,93.0,,1.0,,1.0,112.0,5.0,6.0,14.0,55.0,1.0,1.0,1.0,9.0,9.0,5.0,73.0,174.0,9.0,15.0,1.0,25.0,2.0,74.0,,1.0,0.0,6.0,14.0,4.0,4.0,0.0,27.5,6.0,2.0,1.0,1.0,1.0,,27.0,2.0,270.0,8.0,7.0,17.0,10.0,2.0,164.0,2.0,2.0,24.0,33.0,12.0,4.0,20.0,18.0,2.0,2.0,20.0,4.0,4.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,2.0,,1.0,1.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,2.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,2.0,1.0,,,,,2.0,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,1059940,2020-01-21 19:30:00,"Selhurst Park, London",23739.0,Home,Crystal Palace,Southampton,0,2,L,0,1,0,0,,68.0,1.0,1.0,31.0,18.0,2.0,6.0,4.0,,200.0,1.0,16.0,1.0,5.0,,58.0,197.0,79.0,6.0,28.0,,,,4.0,14.0,18.0,,2.0,46.0,,108.0,,0.0,97.0,12.0,,,1.0,83.0,27.0,1.0,43.0,4.0,17.0,1.0,197.0,1.0,,6.0,64.0,597.0,5.0,14.0,21.0,21.0,219.0,32.0,9.0,4.0,1.0,3.0,40.0,337.0,57.0,,,82403,4.0,124.0,1.0,2.0,,1.0,172.0,7.0,17.0,10.0,75.0,,2.0,9.0,23.0,9.0,2.0,82.0,231.0,13.0,14.0,,34.0,,83.0,,1.0,0.0,3.0,8.0,3.0,2.0,0.0,44.4,30.0,4.0,2.0,9.0,1.0,,38.0,,365.0,21.0,11.0,22.0,15.0,,197.0,3.0,2.0,31.0,52.0,19.0,1.0,4.0,20.0,5.0,3.0,27.0,1.0,9.0,,,,,,,,,,3.0,,,,,,2.0,1.0,1.0,,,,,,,,,2.0,,4.0,,,,,,,,,5.0,5.0,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,
25,1059944,2020-02-01 15:00:00,"Selhurst Park, London",25170.0,Home,Crystal Palace,Sheffield United,0,1,L,0,0,0,0,1.0,56.0,2.0,2.0,29.0,12.0,7.0,8.0,3.0,2.0,210.0,4.0,5.0,3.0,11.0,3.0,114.0,159.0,64.0,13.0,24.0,2.0,2.0,2.0,28.0,7.0,12.0,9.0,4.0,40.0,,184.0,,0.0,150.0,9.0,2.0,2.0,2.0,102.0,40.0,7.0,79.0,19.0,17.0,6.0,159.0,1.0,1.0,7.0,112.0,721.0,10.0,11.0,28.0,10.0,398.0,23.0,7.0,3.0,3.0,4.0,29.0,492.0,61.0,,,82403,4.0,238.0,1.0,11.0,,,265.0,4.0,17.0,8.0,64.0,,1.0,7.0,14.0,4.0,6.0,62.0,418.0,14.0,11.0,1.0,21.0,2.0,69.0,2.0,1.0,0.0,,5.0,1.0,6.0,0.0,60.7,26.0,4.0,2.0,7.0,5.0,,36.0,9.0,515.0,10.0,12.0,18.0,37.0,3.0,278.0,4.0,3.0,31.0,98.0,21.0,,3.0,14.0,11.0,3.0,13.0,,8.0,9.0,,5.0,,3.0,,1.0,,3.0,1.0,5.0,,,,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,2.0,,4.0,,,,,1.0,,,,5.0,4.0,,,,,,,1.0,1.0,,,2.0,,,2.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1059956,2020-02-08 12:30:00,"Goodison Park, Liverpool",38987.0,Away,Crystal Palace,Everton,1,3,L,0,1,0,0,,64.0,3.0,1.0,19.0,20.0,2.0,8.0,5.0,,170.0,3.0,13.0,,6.0,2.0,98.0,165.0,63.0,10.0,30.0,1.0,,1.0,20.0,10.0,20.0,6.0,6.0,48.0,,132.0,,0.0,107.0,12.0,2.0,,,72.0,43.0,2.0,60.0,14.0,19.0,4.0,165.0,,,11.0,92.0,642.0,5.0,8.0,34.0,9.0,306.0,27.0,3.0,6.0,1.0,2.0,30.0,398.0,50.0,,,82403,2.0,194.0,1.0,10.0,1.0,,227.0,6.0,19.0,6.0,72.0,,2.0,6.0,21.0,3.0,3.0,53.0,323.0,11.0,12.0,,16.0,2.0,59.0,,,0.0,,4.0,2.0,1.0,0.0,53.4,22.0,6.0,1.0,6.0,2.0,,35.0,6.0,420.0,9.0,11.0,20.0,31.0,1.0,213.0,7.0,5.0,25.0,65.0,25.0,3.0,6.0,15.0,7.0,3.0,22.0,3.0,7.0,6.0,2.0,2.0,,1.0,,,,1.0,2.0,2.0,,,,,3.0,2.0,,1.0,3.0,,,,1.0,4.0,1.0,2.0,1.0,4.0,,1.0,,1.0,,1.0,1.0,,6.0,5.0,1.0,1.0,1.0,,,,3.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
