gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attFreekickGoal,goalsConcededObox,redCard,attIboxGoal,goalsConceded,attOboxGoal,yellowCard,attGoalLowLeft,attGoalLowRight,totalRedCard,winningGoal,midfielderGoals,fastestPlayer,attLfGoal,attGoalLowCentre,attRfGoal,goals,attGoalHighCentre,keeperGoals,ownGoals,defenderGoals,goalsOpenplay,subsGoals,attPenGoal,attHdGoal,goalsConcededIbox,attGoalHighLeft,attGoalHighRight,attObpGoal,totalYelCard,ballRecovery,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attemptsIbox,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalChippedPass,accurateFwdZonePass,totalFinalThirdPasses,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,possLostCtrl,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,outfielderBlock,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,totalDistance,totalPullBack,goalKicks,duelLost,unsuccessfulTouch,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,totalLaunches,longPassOwnToOpp,accurateCrossNocorner,possessionPercentage,accurateThrows,attBxLeft,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,totalFwdZonePass,attRfTotal,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,totalContest,expectedGoals,wonCorners,bigChanceScored,attObxCentre,attLfTotal,saves,fouledFinalThird,accuratePullBack,attFreekickTotal,attOboxBlocked,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCornersIntobox,totalLayoffs,expectedGoalsOnTargetConceded,attMissHighRight,cleanSheet,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,interceptionsInBox,attMissRight,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,bigChanceCreated,attemptsConcededIbox,totalFlickOn,goalAssist,totalKeeperSweeper,offtargetAttAssist,expectedGoalsFreekick,accurateThroughBall,errorLeadToShot,attBxCentre,bigChanceMissed,attSetpiece,attemptedTackleFoul,blockedPass,totalThroughBall,accurateKeeperThrows,attemptsConcededObox,attMissHigh,challengeLost,attAssistSetplay,attCorner,attFastbreak,punches,overrun,lostCorners,savedIbox,accurateFlickOn,goalAssistIntentional,shieldBallOop,attHdTotal,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,totalHighClaim,shotOffTarget,accurateCornersIntobox,attIboxMiss,accurateLayoffs,forwardGoals,effectiveBlockedCross,subsMade,blockedCross,successfulPutThrough,attLfTarget,attIboxBlocked,attOboxTarget,attOneOnOne,attSvHighLeft,attSvLowLeft,attHdTarget,attCmissHigh,attSvHighCentre,errorLeadToGoal,handBall,savedObox,attCmissRight,attMissHighLeft,penaltyConceded,attCmissLeft,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attBxRight,postScoringAtt,attIboxPost,hitWoodwork,totalOffside,attPostRight,attSvLowRight,attHdPost,sixYardBlock,attFreekickTarget,goalAssistSetplay,attPenTarget,penaltyWon,contentiousDecision,penaltySave,clearanceOffLine,attPostLeft,goalAssistDeadball,accurateFreekickCross,attSvHighRight,attCmissHighRight,attLgCentre,attPostHigh,attIboxOwnGoal,ptsGainedLosingPos,attFreekickMiss,foulThrowIn,attFreekickPost,attOboxPost,attObxdLeft
11,2562000,2025-11-09 16:30:00,"Etihad Stadium, Manchester",52511.0,Home,Manchester City,Liverpool,3,0,W,2.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,38.0,2.1335,14.0,23.0,8.0,1.0,147.0,4.0,9.0,11.0,6.0,114.0,109.0,49.0,14.0,5.0,3.0,1.0,11.0,12.0,23.0,30.0,151.0,122.0,60.0,64.0,8.0,80.0,5.0,19.0,109.0,111.0,623.0,8.0,28.0,9.0,354.0,19.0,4.0,10.0,4.0,0.395549,21.0,426.0,35.0,35.6,472769,230.0,4.0,257.0,118042.78,2.0,3.0,31.0,14.0,3.0,31.0,377.0,15.0,16.0,39.0,1.0,48.5,19.0,4.0,24.0,7.0,452.0,9.0,4.0,18.0,18.0,206.0,5.0,8.0,88.0,14.0,10.0,17.0,11.0,13.0,1.5103,7.0,,6.0,8.0,2.0,3.0,,1.0,3.0,2.0,,2.0,,,6.0,10.0,0.0609,,1.0,14.0,2.0,2.0,,,,1.0,6.0,1.0,1.0,1.0,,5.0,4.0,3.0,1.0,3.0,0.0557,1.0,2.0,4.0,1.0,,4.0,5.0,2.0,2.0,2.0,1.0,4.0,,1.0,2.0,,2.0,7.0,,1.0,2.0,,1.0,,,2.0,5.0,1.0,3.0,4.0,2.0,10.0,2.0,4.0,2.0,4.0,5.0,2.0,2.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12,2562013,2025-11-22 17:30:00,"St. James' Park, Newcastle",52181.0,Away,Manchester City,Newcastle United,1,2,L,0.0,0.0,0,0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,44.0,0.8345,18.0,15.0,14.0,1.0,138.0,6.0,9.0,13.0,4.0,175.0,118.0,45.0,17.0,16.0,3.0,1.0,26.0,9.0,15.0,30.0,360.0,198.0,101.0,64.0,6.0,95.0,18.0,12.0,118.0,176.0,770.0,13.0,43.0,10.0,500.0,18.0,3.0,9.0,1.0,1.91013,17.0,558.0,73.0,35.98,472769,171.0,12.0,191.0,113084.53,1.0,6.0,45.0,18.0,6.0,33.0,525.0,12.0,10.0,38.0,5.0,67.0,16.0,3.0,26.0,9.0,584.0,10.0,5.0,19.0,37.0,419.0,6.0,11.0,172.0,15.0,9.0,13.0,12.0,21.0,2.4909,9.0,,3.0,9.0,3.0,1.0,1.0,,,2.0,2.0,,,4.0,8.0,11.0,2.5006,,,8.0,3.0,2.0,,1.0,2.0,1.0,3.0,,6.0,3.0,3.0,7.0,5.0,,2.0,7.0,,3.0,2.0,9.0,3.0,,5.0,6.0,5.0,4.0,2.0,,4.0,,5.0,2.0,,,5.0,2.0,3.0,,,2.0,1.0,3.0,5.0,4.0,1.0,9.0,1.0,6.0,9.0,,2.0,4.0,2.0,6.0,1.0,4.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,4.0,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,2562020,2025-11-29 15:00:00,"Etihad Stadium, Manchester",52483.0,Home,Manchester City,Leeds United,3,2,W,2.0,0.0,0,0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,46.0,3.6775,26.0,25.0,14.0,1.0,149.0,9.0,7.0,13.0,9.0,163.0,130.0,44.0,18.0,18.0,5.0,3.0,26.0,2.0,25.0,23.0,312.0,200.0,73.0,90.0,10.0,96.0,19.0,13.0,130.0,153.0,750.0,8.0,45.0,2.0,476.0,20.0,6.0,18.0,3.0,2.11527,9.0,538.0,59.0,33.01,465351,192.0,9.0,217.0,114705.16,2.0,4.0,64.0,18.0,2.0,42.0,495.0,11.0,15.0,45.0,6.0,61.7,9.0,,32.0,8.0,561.0,2.0,13.0,17.0,38.0,370.0,7.0,20.0,170.0,17.0,18.0,6.0,11.0,20.0,3.0981,8.0,2.0,4.0,7.0,1.0,2.0,2.0,1.0,1.0,,,3.0,,,7.0,5.0,2.2884,,,17.0,1.0,,1.0,,,1.0,4.0,1.0,9.0,2.0,6.0,8.0,1.0,3.0,,3.0,0.0335,2.0,,8.0,4.0,,8.0,7.0,4.0,3.0,1.0,2.0,4.0,2.0,6.0,,,1.0,1.0,2.0,,1.0,,3.0,,3.0,3.0,6.0,,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,7.0,1.0,5.0,1.0,,1.0,2.0,3.0,,,1.0,,,,,1.0,,1.0,,,2.0,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
14,2562029,2025-12-02 19:30:00,"Craven Cottage, London",26700.0,Away,Manchester City,Fulham,5,4,W,3.0,1.0,0,0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,2.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,42.0,2.0065,23.0,27.0,9.0,,125.0,4.0,8.0,8.0,4.0,120.0,116.0,47.0,11.0,6.0,,,7.0,7.0,27.0,33.0,183.0,107.0,54.0,62.0,6.0,91.0,5.0,18.0,116.0,131.0,662.0,5.0,23.0,16.0,370.0,20.0,7.0,9.0,4.0,1.77078,18.0,442.0,41.0,34.36,477424,213.0,5.0,235.0,121551.02,,7.0,39.0,15.0,5.0,51.0,392.0,9.0,20.0,44.0,3.0,42.8,14.0,1.0,26.0,2.0,467.0,16.0,8.0,15.0,22.0,239.0,5.0,14.0,77.0,11.0,9.0,16.0,10.0,18.0,2.2246,2.0,2.0,2.0,4.0,1.0,,,,1.0,1.0,,3.0,1.0,,2.0,12.0,1.9087,,,7.0,1.0,1.0,,,2.0,1.0,2.0,,,,3.0,9.0,2.0,3.0,,2.0,,4.0,,6.0,1.0,,2.0,9.0,5.0,2.0,3.0,,8.0,,1.0,1.0,1.0,1.0,7.0,2.0,,2.0,1.0,2.0,1.0,8.0,2.0,4.0,,3.0,1.0,1.0,10.0,3.0,1.0,4.0,1.0,9.0,,3.0,,3.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,
15,2562041,2025-12-06 15:00:00,"Etihad Stadium, Manchester",52436.0,Home,Manchester City,Sunderland,3,0,W,2.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,44.0,2.2269,15.0,21.0,15.0,2.0,159.0,6.0,11.0,16.0,6.0,196.0,113.0,40.0,18.0,10.0,3.0,2.0,19.0,8.0,21.0,26.0,368.0,240.0,90.0,102.0,9.0,89.0,13.0,14.0,113.0,179.0,808.0,12.0,42.0,4.0,542.0,18.0,3.0,12.0,3.0,1.8053,25.0,606.0,53.0,34.48,465351,197.0,10.0,211.0,116440.61,1.0,4.0,42.0,12.0,4.0,35.0,559.0,10.0,14.0,43.0,4.0,63.9,23.0,3.0,32.0,6.0,623.0,4.0,9.0,16.0,33.0,431.0,8.0,11.0,203.0,19.0,12.0,8.0,16.0,22.0,2.4204,6.0,1.0,3.0,7.0,1.0,1.0,1.0,,1.0,4.0,,2.0,1.0,1.0,6.0,5.0,0.5867,,1.0,9.0,1.0,5.0,1.0,,,3.0,3.0,,2.0,1.0,3.0,5.0,3.0,3.0,,7.0,,2.0,1.0,6.0,2.0,,5.0,6.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,4.0,,2.0,5.0,1.0,2.0,2.0,2.0,3.0,,6.0,1.0,5.0,,7.0,2.0,5.0,5.0,,2.0,5.0,2.0,6.0,1.0,4.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,3.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,
16,2562049,2025-12-14 14:00:00,"Selhurst Park, London",25166.0,Away,Manchester City,Crystal Palace,3,0,W,1.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,1.7553,20.0,39.0,5.0,1.0,159.0,3.0,14.0,5.0,6.0,177.0,133.0,53.0,7.0,13.0,2.0,2.0,9.0,6.0,39.0,31.0,235.0,123.0,56.0,75.0,4.0,101.0,7.0,21.0,133.0,161.0,793.0,2.0,13.0,8.0,500.0,23.0,4.0,18.0,6.0,0.348855,11.0,581.0,65.0,34.73,477424,284.0,4.0,308.0,116149.05,,8.0,45.0,14.0,7.0,44.0,516.0,9.0,14.0,55.0,3.0,60.9,8.0,1.0,33.0,2.0,598.0,8.0,14.0,14.0,12.0,299.0,1.0,16.0,86.0,22.0,18.0,14.0,4.0,23.0,1.1883,2.0,2.0,2.0,4.0,4.0,5.0,,1.0,1.0,,,2.0,,,2.0,4.0,1.0656,,1.0,6.0,1.0,,2.0,,,,2.0,1.0,1.0,,1.0,12.0,5.0,2.0,,1.0,0.0312,,2.0,4.0,,1.0,5.0,10.0,2.0,5.0,4.0,1.0,4.0,1.0,,,2.0,2.0,2.0,3.0,2.0,2.0,,2.0,,3.0,6.0,1.0,,1.0,,1.0,4.0,2.0,,4.0,,10.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,2.0,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
17,2562061,2025-12-20 15:00:00,"Etihad Stadium, Manchester",52454.0,Home,Manchester City,West Ham United,3,0,W,2.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,54.0,2.811,24.0,9.0,14.0,1.0,196.0,6.0,9.0,12.0,8.0,207.0,111.0,37.0,17.0,4.0,4.0,4.0,21.0,7.0,9.0,43.0,394.0,215.0,84.0,132.0,7.0,134.0,15.0,12.0,111.0,213.0,926.0,8.0,40.0,9.0,675.0,15.0,1.0,4.0,1.0,1.88922,12.0,731.0,54.0,33.65,223094,305.0,13.0,321.0,115530.83,,6.0,50.0,10.0,5.0,33.0,693.0,9.0,3.0,49.0,4.0,66.2,10.0,1.0,42.0,6.0,750.0,9.0,10.0,33.0,34.0,450.0,3.0,8.0,185.0,26.0,4.0,12.0,14.0,23.0,2.0996,6.0,3.0,3.0,10.0,4.0,1.0,,,1.0,1.0,,1.0,,2.0,6.0,20.0,0.8158,,1.0,16.0,2.0,1.0,,,,2.0,3.0,,2.0,1.0,6.0,5.0,2.0,1.0,,5.0,,3.0,1.0,8.0,5.0,1.0,9.0,6.0,5.0,4.0,2.0,1.0,7.0,3.0,2.0,1.0,,2.0,,2.0,,1.0,1.0,4.0,3.0,9.0,4.0,2.0,,7.0,2.0,6.0,19.0,2.0,,4.0,,6.0,3.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,2.0,2.0,,2.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,2562072,2025-12-27 12:30:00,"The City Ground, Nottingham",30778.0,Away,Manchester City,Nottingham Forest,2,1,W,0.0,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,42.0,1.4611,15.0,37.0,9.0,2.0,147.0,3.0,11.0,15.0,5.0,180.0,106.0,42.0,16.0,12.0,3.0,2.0,18.0,8.0,37.0,17.0,334.0,189.0,76.0,109.0,11.0,99.0,13.0,9.0,106.0,169.0,773.0,13.0,33.0,4.0,522.0,11.0,2.0,19.0,3.0,1.51625,16.0,580.0,69.0,32.44,223094,205.0,8.0,220.0,109621.0,1.0,7.0,46.0,11.0,7.0,32.0,536.0,4.0,9.0,57.0,2.0,66.0,13.0,,44.0,5.0,595.0,4.0,5.0,7.0,30.0,393.0,8.0,13.0,159.0,27.0,19.0,14.0,14.0,21.0,1.4524,5.0,1.0,7.0,8.0,1.0,,,,5.0,1.0,,1.0,,,5.0,6.0,0.583,2.0,,13.0,1.0,1.0,,,1.0,,7.0,,5.0,2.0,1.0,5.0,1.0,2.0,,4.0,,3.0,,7.0,,,3.0,4.0,4.0,1.0,2.0,2.0,6.0,,1.0,1.0,2.0,2.0,5.0,,1.0,2.0,1.0,,,3.0,1.0,7.0,,4.0,1.0,2.0,6.0,,1.0,2.0,1.0,4.0,1.0,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
19,2562083,2026-01-01 20:00:00,"Stadium of Light, Sunderland",46920.0,Away,Manchester City,Sunderland,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,0.7447,21.0,21.0,12.0,1.0,171.0,6.0,16.0,9.0,4.0,177.0,138.0,57.0,14.0,14.0,4.0,2.0,21.0,17.0,21.0,35.0,295.0,192.0,47.0,105.0,7.0,100.0,16.0,19.0,138.0,192.0,850.0,9.0,52.0,12.0,532.0,35.0,1.0,10.0,2.0,1.64621,24.0,622.0,62.0,35.35,465351,259.0,11.0,298.0,116007.46,2.0,7.0,47.0,11.0,7.0,50.0,548.0,9.0,19.0,44.0,4.0,67.7,24.0,2.0,28.0,5.0,640.0,12.0,8.0,16.0,34.0,363.0,4.0,9.0,156.0,20.0,10.0,23.0,12.0,26.0,2.2421,5.0,,2.0,8.0,4.0,,,,1.0,,2.0,,,1.0,5.0,11.0,0.6132,,1.0,6.0,2.0,,,,,,2.0,,5.0,1.0,5.0,7.0,2.0,,2.0,2.0,,1.0,1.0,9.0,5.0,,3.0,7.0,2.0,1.0,3.0,2.0,9.0,1.0,2.0,,,1.0,3.0,4.0,,,3.0,2.0,1.0,1.0,1.0,5.0,,5.0,2.0,3.0,11.0,,1.0,4.0,1.0,7.0,2.0,4.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
20,2562091,2026-01-04 17:30:00,"Etihad Stadium, Manchester",52503.0,Home,Manchester City,Chelsea,1,1,D,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,58.0,1.2312,22.0,6.0,12.0,,150.0,5.0,9.0,12.0,3.0,167.0,127.0,57.0,14.0,3.0,1.0,,15.0,18.0,6.0,51.0,268.0,171.0,81.0,63.0,7.0,98.0,7.0,23.0,127.0,165.0,764.0,11.0,35.0,9.0,486.0,12.0,1.0,1.0,1.0,0.764211,10.0,557.0,57.0,33.83,223094,241.0,6.0,254.0,119542.93,2.0,4.0,39.0,15.0,2.0,36.0,504.0,14.0,7.0,47.0,2.0,57.3,8.0,3.0,38.0,8.0,580.0,9.0,14.0,31.0,33.0,341.0,4.0,10.0,126.0,26.0,1.0,24.0,11.0,15.0,1.0173,8.0,,2.0,7.0,2.0,2.0,,,1.0,1.0,1.0,,,,8.0,19.0,1.897,2.0,,12.0,2.0,1.0,,,,2.0,2.0,,1.0,,,8.0,3.0,,1.0,5.0,,1.0,,5.0,,,3.0,13.0,9.0,3.0,,,7.0,1.0,3.0,1.0,,1.0,2.0,2.0,1.0,,3.0,3.0,1.0,15.0,4.0,5.0,,6.0,3.0,5.0,18.0,,,3.0,,13.0,1.0,4.0,1.0,,,,1.0,,1.0,,3.0,,2.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
21,2562102,2026-01-07 19:30:00,"Etihad Stadium, Manchester",51728.0,Home,Manchester City,Brighton and Hove Albion,1,1,D,1.0,0.0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,1.707,23.0,7.0,16.0,1.0,162.0,6.0,16.0,14.0,6.0,164.0,128.0,59.0,21.0,8.0,4.0,3.0,13.0,11.0,7.0,31.0,312.0,186.0,71.0,93.0,8.0,98.0,7.0,17.0,128.0,184.0,809.0,12.0,53.0,19.0,507.0,14.0,3.0,4.0,,1.66193,19.0,584.0,54.0,34.69,578153,224.0,3.0,242.0,117197.86,2.0,5.0,38.0,16.0,5.0,43.0,530.0,15.0,15.0,66.0,1.0,60.3,18.0,3.0,48.0,6.0,608.0,19.0,10.0,18.0,24.0,379.0,7.0,14.0,147.0,18.0,4.0,14.0,16.0,28.0,2.554,6.0,1.0,5.0,11.0,2.0,5.0,1.0,,2.0,,1.0,,,2.0,6.0,4.0,1.1013,2.0,,6.0,1.0,,1.0,,2.0,1.0,5.0,,3.0,2.0,5.0,5.0,4.0,,1.0,6.0,,2.0,,9.0,6.0,,1.0,9.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,,,2.0,2.0,2.0,1.0,,1.0,3.0,2.0,11.0,3.0,6.0,,9.0,5.0,6.0,4.0,1.0,1.0,4.0,1.0,9.0,3.0,4.0,1.0,,,2.0,1.0,,1.0,,,,,1.0,,1.0,,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,
22,2562110,2026-01-17 12:30:00,"Old Trafford, Manchester",74004.0,Away,Manchester City,Manchester United,0,2,L,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,46.0,0.3121,15.0,19.0,5.0,1.0,168.0,2.0,6.0,7.0,1.0,170.0,130.0,39.0,7.0,9.0,1.0,,20.0,11.0,19.0,24.0,353.0,242.0,72.0,85.0,4.0,109.0,14.0,13.0,130.0,199.0,829.0,7.0,35.0,9.0,558.0,13.0,2.0,9.0,1.0,0.918118,13.0,621.0,59.0,34.12,437730,230.0,8.0,245.0,109749.04,,7.0,46.0,19.0,7.0,29.0,581.0,13.0,11.0,39.0,1.0,68.2,11.0,,26.0,6.0,646.0,9.0,14.0,16.0,34.0,421.0,3.0,7.0,202.0,15.0,9.0,13.0,6.0,16.0,0.4484,6.0,,2.0,2.0,5.0,4.0,,,1.0,,1.0,,,1.0,6.0,21.0,1.7467,1.0,,8.0,4.0,,2.0,1.0,2.0,,2.0,,4.0,1.0,,10.0,2.0,,1.0,3.0,,,,4.0,,,4.0,5.0,3.0,10.0,1.0,1.0,5.0,,1.0,,,1.0,1.0,4.0,1.0,,1.0,2.0,1.0,7.0,10.0,3.0,1.0,3.0,1.0,2.0,18.0,,,5.0,,5.0,,2.0,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,2562122,2026-01-24 15:00:00,"Etihad Stadium, Manchester",52469.0,Home,Manchester City,Wolverhampton Wanderers,2,0,W,2.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.9634,27.0,11.0,8.0,1.0,143.0,3.0,2.0,11.0,4.0,200.0,109.0,41.0,11.0,8.0,2.0,2.0,9.0,6.0,11.0,39.0,320.0,159.0,107.0,85.0,4.0,102.0,5.0,21.0,109.0,199.0,821.0,7.0,24.0,17.0,556.0,17.0,1.0,6.0,5.0,0.778679,21.0,617.0,70.0,34.53,578153,264.0,3.0,274.0,112593.51,,6.0,52.0,18.0,5.0,45.0,581.0,13.0,5.0,56.0,1.0,64.2,20.0,1.0,40.0,4.0,644.0,17.0,10.0,19.0,27.0,379.0,5.0,10.0,128.0,19.0,6.0,16.0,9.0,11.0,0.861,4.0,1.0,3.0,4.0,1.0,3.0,,,,,2.0,2.0,,,4.0,20.0,0.0688,1.0,1.0,16.0,,,,,1.0,2.0,3.0,,2.0,3.0,1.0,5.0,3.0,2.0,2.0,7.0,,1.0,1.0,6.0,,,9.0,12.0,1.0,3.0,6.0,2.0,9.0,2.0,2.0,,1.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,,,7.0,2.0,2.0,20.0,1.0,,3.0,,12.0,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,2.0,2.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,
24,2562133,2026-02-01 16:30:00,"Tottenham Hotspur Stadium, London",61337.0,Away,Manchester City,Tottenham Hotspur,2,2,D,2.0,0.0,0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,48.0,1.2586,25.0,25.0,14.0,1.0,148.0,7.0,7.0,12.0,3.0,167.0,113.0,61.0,15.0,5.0,1.0,1.0,17.0,12.0,25.0,31.0,291.0,119.0,79.0,32.0,6.0,87.0,13.0,15.0,113.0,176.0,795.0,7.0,30.0,4.0,501.0,21.0,3.0,15.0,5.0,1.18927,14.0,556.0,56.0,33.45,465351,238.0,6.0,253.0,116021.74,,3.0,51.0,19.0,3.0,42.0,522.0,14.0,11.0,54.0,4.0,60.0,13.0,1.0,42.0,4.0,578.0,4.0,10.0,23.0,27.0,342.0,2.0,17.0,93.0,19.0,15.0,23.0,9.0,21.0,2.0843,4.0,1.0,1.0,7.0,4.0,1.0,,,,1.0,2.0,2.0,1.0,2.0,4.0,12.0,1.7259,1.0,,12.0,2.0,2.0,1.0,1.0,,4.0,1.0,,6.0,1.0,2.0,7.0,3.0,2.0,2.0,6.0,,1.0,,9.0,1.0,3.0,5.0,7.0,1.0,4.0,5.0,,10.0,3.0,3.0,1.0,,1.0,3.0,2.0,1.0,1.0,,6.0,5.0,2.0,4.0,4.0,1.0,8.0,3.0,7.0,11.0,1.0,,4.0,,7.0,1.0,4.0,,1.0,,,,,,,,2.0,1.0,1.0,,1.0,,,2.0,2.0,,,,2.0,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,,
