gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attOboxBlocked,accurateKeeperSweeper,attMissLeft,attOboxMiss,attMissHighLeft,totalKeeperSweeper,shieldBallOop,handBall,attGoalLowCentre,accuratePullBack,attCmissRight,attFreekickTotal,postScoringAtt,attIboxPost,attMissHighRight,attSvHighRight,goodHighClaim,freekickTotal,attPostLeft,totalFlickOn,hitWoodwork,totalPullBack,attCmissHighLeft,punches,accurateFlickOn,totalHighClaim,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,attSvHighLeft,accurateLaunches,cleanSheet,penaltyWon,contentiousDecision,attPenGoal,goalAssistDeadball,attLfGoal,attOboxGoal,sixYardBlock,defenderGoals,attHdGoal,errorLeadToShot,attGoalHighLeft,foulThrowIn,ptsGainedLosingPos,attGoalHighCentre,attCmissLeft,goalFastbreak,attPostHigh,attLgRight,attFreekickPost,attOboxPost,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,attCmissHighRight,expectedGoals,attCmissHigh,attFreekickTarget,penaltyConceded,clearanceOffLine,penaltyFaced,penGoalsConceded,attFreekickMiss,penaltySave,ownGoals,attIboxOwnGoal,secondYellow,attPenTarget,attObxRight
27,2367804,2024-03-02 15:00:00,"St. James' Park, Newcastle",52206.0,Home,Newcastle United,Wolverhampton Wanderers,3,0,W,2,0,0,0,3.0,3.0,57.0,1.0,1.0,1.0,1.0,,23.0,15.0,6.0,5.0,8.0,3.0,,182.0,2.0,5.0,3.0,1.0,11.0,7.0,104.0,131.0,51.0,14.0,6.0,2.0,2.0,,1.0,,11.0,8.0,,2.0,15.0,2.0,3.0,37.0,,141.0,0.0,112.0,8.0,2.0,2.0,,1.0,,61.0,46.0,7.0,70.0,,2.0,9.0,26.0,6.0,3.0,131.0,3.0,8.0,1.0,95.0,628.0,8.0,21.0,1.0,5.0,338.0,21.0,7.0,1.0,0.0,3.0,4.0,22.0,432.0,60.0,1.0,,78916,4.0,215.0,2.0,6.0,,245.0,7.0,2.0,14.0,6.0,36.0,3.0,,7.0,3.0,16.0,4.0,4.0,1.0,56.0,354.0,11.0,14.0,2.0,12.0,2.0,66.0,2.0,3.0,0.0,,5.0,2.0,3.0,,0.0,,,3.0,44.2,21.0,1.0,4.0,1.0,,7.0,3.0,34.0,3.0,451.0,5.0,3.0,16.0,4.0,17.0,2.0,2.0,217.0,6.0,2.0,16.0,69.0,23.0,2.0,2.0,7.0,19.0,,11.0,5.0,10.0,2.0,14.0,3.0,2.0,,1.0,2.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,8.0,,,,,4.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
28,2367812,2024-03-11 20:00:00,"Stamford Bridge, London",38752.0,Away,Newcastle United,Chelsea,2,3,L,1,1,0,0,1.0,,56.0,,1.0,2.0,3.0,,32.0,8.0,3.0,1.0,8.0,4.0,,171.0,7.0,11.0,2.0,2.0,9.0,3.0,121.0,155.0,51.0,11.0,7.0,1.0,,1.0,2.0,,25.0,12.0,1.0,,8.0,2.0,8.0,45.0,,201.0,0.0,143.0,7.0,2.0,,,,3.0,66.0,83.0,5.0,93.0,1.0,1.0,23.0,26.0,3.0,5.0,155.0,,6.0,1.0,127.0,734.0,4.0,29.0,,9.0,404.0,20.0,1.0,2.0,1.0,1.0,4.0,37.0,492.0,51.0,,2.0,78916,4.0,230.0,,15.0,3.0,248.0,6.0,2.0,12.0,3.0,57.0,,2.0,7.0,2.0,11.0,6.0,3.0,2.0,59.0,424.0,12.0,10.0,3.0,12.0,1.0,65.0,,,0.0,2.0,,3.0,1.0,3.0,0.0,6.0,,3.0,55.0,36.0,2.0,6.0,2.0,1.0,7.0,3.0,42.0,4.0,512.0,9.0,12.0,25.0,5.0,31.0,1.0,3.0,289.0,7.0,8.0,11.0,97.0,22.0,1.0,,1.0,17.0,2.0,7.0,5.0,32.0,,12.0,4.0,,,,2.0,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
29,2367821,2024-04-24 20:00:00,"Selhurst Park, London",25002.0,Away,Newcastle United,Crystal Palace,0,2,L,0,0,0,0,,,60.0,,,3.0,2.0,,12.0,15.0,1.0,1.0,6.0,5.0,1.0,206.0,3.0,10.0,,,6.0,2.0,113.0,172.0,60.0,7.0,14.0,2.0,,,,1.0,12.0,18.0,,,15.0,2.0,9.0,32.0,1.0,165.0,0.0,114.0,15.0,1.0,,,,,45.0,67.0,4.0,66.0,,,10.0,27.0,1.0,2.0,172.0,1.0,9.0,,118.0,718.0,4.0,20.0,1.0,8.0,366.0,30.0,8.0,,3.0,7.0,2.0,20.0,474.0,43.0,1.0,,78916,5.0,225.0,1.0,8.0,1.0,272.0,8.0,,13.0,11.0,65.0,4.0,2.0,8.0,,16.0,11.0,6.0,,45.0,387.0,10.0,10.0,2.0,15.0,1.0,56.0,,,0.0,,7.0,2.0,,2.0,0.0,2.0,,3.0,53.3,18.0,2.0,2.0,1.0,1.0,9.0,3.0,26.0,2.0,503.0,8.0,13.0,11.0,2.0,22.0,1.0,2.0,243.0,3.0,9.0,13.0,74.0,19.0,,2.0,8.0,27.0,2.0,5.0,4.0,23.0,2.0,13.0,2.0,1.0,,1.0,,,,2.0,,,,,,,,1.0,,1.0,,,10.0,,,,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2367834,2024-03-30 12:30:00,"St. James' Park, Newcastle",52199.0,Home,Newcastle United,West Ham United,4,3,W,1,2,1,0,1.0,3.0,55.0,2.0,1.0,,5.0,,14.0,13.0,6.0,6.0,18.0,1.0,4.0,209.0,3.0,8.0,4.0,3.0,19.0,9.0,133.0,145.0,53.0,24.0,18.0,4.0,2.0,2.0,2.0,2.0,19.0,13.0,,1.0,13.0,2.0,4.0,19.0,1.0,226.0,0.0,185.0,9.0,1.0,2.0,,1.0,1.0,54.0,66.0,13.0,50.0,1.0,2.0,17.0,15.0,6.0,4.0,145.0,4.0,9.0,2.0,126.0,707.0,17.0,52.0,,10.0,411.0,20.0,8.0,2.0,1.0,2.0,6.0,18.0,497.0,62.0,2.0,,78916,9.0,202.0,3.0,12.0,,228.0,9.0,4.0,11.0,8.0,59.0,2.0,1.0,2.0,2.0,10.0,1.0,4.0,2.0,42.0,425.0,7.0,13.0,,17.0,,60.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,59.9,16.0,1.0,5.0,5.0,,2.0,8.0,32.0,3.0,518.0,10.0,19.0,11.0,7.0,45.0,,6.0,309.0,17.0,4.0,14.0,146.0,26.0,2.0,1.0,8.0,24.0,3.0,22.0,5.0,10.0,1.0,11.0,3.0,3.0,,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,2.0,1.0,2.0,,,1.0,,,,,,2.0,,2.0,1.0,2.0,,,1.0,1.0,,,,,,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,
31,2367847,2024-04-02 19:30:00,"St. James' Park, Newcastle",52135.0,Home,Newcastle United,Everton,1,1,D,1,0,0,0,,1.0,59.0,,1.0,,4.0,,18.0,19.0,5.0,,13.0,2.0,5.0,156.0,6.0,14.0,1.0,2.0,15.0,6.0,127.0,142.0,72.0,18.0,29.0,4.0,1.0,2.0,1.0,3.0,22.0,9.0,,1.0,19.0,7.0,6.0,35.0,1.0,183.0,0.0,143.0,9.0,1.0,1.0,,1.0,1.0,64.0,58.0,11.0,77.0,1.0,1.0,15.0,18.0,5.0,4.0,142.0,3.0,8.0,,135.0,705.0,13.0,45.0,,5.0,389.0,24.0,11.0,1.0,0.0,1.0,4.0,19.0,472.0,45.0,,,81441,7.0,226.0,3.0,10.0,1.0,253.0,9.0,1.0,7.0,9.0,58.0,4.0,2.0,9.0,1.0,14.0,2.0,5.0,1.0,45.0,403.0,14.0,4.0,1.0,11.0,2.0,54.0,1.0,,0.0,,3.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,58.2,18.0,2.0,6.0,2.0,1.0,9.0,8.0,28.0,7.0,495.0,5.0,11.0,16.0,4.0,37.0,3.0,4.0,264.0,15.0,5.0,24.0,102.0,19.0,1.0,2.0,11.0,21.0,1.0,15.0,2.0,20.0,2.0,7.0,7.0,4.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,3.0,,2.0,,,1.0,1.0,2.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,
32,2367852,2024-04-06 15:00:00,"Craven Cottage, London",24418.0,Away,Newcastle United,Fulham,1,0,W,0,0,0,0,,,49.0,1.0,,,1.0,,12.0,32.0,3.0,1.0,9.0,4.0,4.0,131.0,1.0,9.0,1.0,1.0,10.0,5.0,62.0,117.0,41.0,12.0,10.0,3.0,,4.0,,2.0,11.0,6.0,,1.0,32.0,2.0,3.0,18.0,,110.0,0.0,90.0,13.0,3.0,,1.0,2.0,,51.0,26.0,6.0,25.0,,1.0,9.0,21.0,3.0,1.0,117.0,1.0,9.0,,78.0,510.0,9.0,24.0,,10.0,209.0,18.0,16.0,,2.0,4.0,4.0,13.0,272.0,40.0,1.0,,81441,1.0,116.0,2.0,8.0,1.0,140.0,10.0,1.0,16.0,12.0,57.0,3.0,2.0,10.0,1.0,13.0,5.0,8.0,3.0,39.0,225.0,9.0,15.0,1.0,14.0,,46.0,,,0.0,,14.0,4.0,1.0,,0.0,1.0,,,33.4,12.0,,1.0,2.0,,10.0,2.0,22.0,3.0,296.0,10.0,9.0,10.0,5.0,18.0,,4.0,167.0,11.0,2.0,9.0,61.0,17.0,,6.0,16.0,14.0,,10.0,4.0,20.0,6.0,16.0,3.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,5.0,,,1.0,,2.0,,2.0,1.0,5.0,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
33,2367865,2024-04-13 12:30:00,"St. James' Park, Newcastle",52206.0,Home,Newcastle United,Tottenham Hotspur,4,0,W,2,0,0,0,,3.0,45.0,1.0,,2.0,5.0,1.0,16.0,22.0,2.0,,16.0,2.0,1.0,96.0,10.0,10.0,4.0,1.0,15.0,5.0,33.0,108.0,48.0,18.0,7.0,1.0,2.0,,2.0,,28.0,8.0,1.0,,22.0,15.0,1.0,20.0,,74.0,0.0,76.0,14.0,1.0,4.0,,1.0,3.0,33.0,26.0,9.0,24.0,1.0,3.0,13.0,19.0,2.0,2.0,108.0,4.0,6.0,,36.0,369.0,6.0,32.0,,14.0,113.0,25.0,9.0,3.0,0.0,4.0,6.0,13.0,169.0,41.0,3.0,,81441,11.0,59.0,2.0,8.0,2.0,75.0,7.0,3.0,9.0,6.0,45.0,5.0,1.0,3.0,3.0,6.0,5.0,1.0,2.0,42.0,123.0,12.0,10.0,6.0,17.0,8.0,49.0,2.0,,0.0,,3.0,,4.0,,0.0,3.0,3.0,8.0,27.1,10.0,6.0,5.0,1.0,,3.0,5.0,17.0,16.0,189.0,14.0,5.0,13.0,8.0,36.0,7.0,6.0,142.0,10.0,1.0,14.0,46.0,10.0,3.0,2.0,9.0,12.0,,8.0,5.0,19.0,2.0,9.0,16.0,,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,1.0,2.0,1.0,1.0,,,1.0,,,,,,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
34,2367874,2024-05-15 20:00:00,"Old Trafford, Manchester",73582.0,Away,Newcastle United,Manchester United,2,3,L,0,1,0,0,1.0,1.0,45.0,,1.0,2.0,4.0,,24.0,26.0,5.0,5.0,16.0,5.0,2.0,141.0,13.0,11.0,2.0,3.0,17.0,8.0,108.0,119.0,52.0,21.0,15.0,5.0,1.0,1.0,1.0,4.0,31.0,7.0,,1.0,26.0,9.0,10.0,43.0,1.0,194.0,0.0,129.0,7.0,2.0,1.0,,,3.0,57.0,50.0,11.0,50.0,1.0,5.0,22.0,18.0,5.0,5.0,119.0,5.0,14.0,,137.0,637.0,12.0,44.0,3.0,4.0,343.0,19.0,10.0,1.0,3.0,4.0,6.0,14.0,412.0,43.0,1.0,1.0,98747,11.0,184.0,4.0,14.0,3.0,209.0,2.0,1.0,9.0,7.0,43.0,2.0,2.0,3.0,1.0,11.0,3.0,6.0,1.0,42.0,365.0,14.0,5.0,4.0,8.0,4.0,51.0,1.0,1.0,0.0,,9.0,3.0,1.0,3.0,0.0,7.0,1.0,7.0,55.6,14.0,3.0,13.0,1.0,,3.0,5.0,36.0,9.0,436.0,4.0,11.0,28.0,8.0,38.0,6.0,6.0,258.0,9.0,8.0,14.0,96.0,10.0,1.0,,10.0,13.0,3.0,14.0,4.0,17.0,,9.0,9.0,1.0,3.0,2.0,2.0,,3.0,,1.0,1.0,,2.0,,,,,,,,,2.0,2.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2367883,2024-04-27 15:00:00,"St. James' Park, Newcastle",52196.0,Home,Newcastle United,Sheffield United,5,1,W,1,1,0,0,2.0,4.0,54.0,1.0,2.0,,6.0,1.0,24.0,12.0,6.0,7.0,14.0,3.0,1.0,185.0,5.0,11.0,5.0,3.0,17.0,7.0,154.0,124.0,51.0,20.0,8.0,3.0,1.0,3.0,2.0,1.0,19.0,12.0,1.0,,12.0,3.0,4.0,22.0,1.0,281.0,0.0,206.0,9.0,3.0,1.0,1.0,1.0,2.0,60.0,106.0,14.0,71.0,1.0,1.0,16.0,16.0,6.0,,124.0,3.0,13.0,1.0,165.0,766.0,13.0,47.0,,10.0,485.0,15.0,3.0,3.0,0.0,5.0,3.0,18.0,561.0,65.0,1.0,1.0,78916,7.0,223.0,,14.0,1.0,241.0,6.0,3.0,6.0,4.0,47.0,6.0,3.0,6.0,2.0,11.0,2.0,4.0,1.0,37.0,499.0,10.0,12.0,1.0,4.0,1.0,54.0,1.0,1.0,0.0,2.0,5.0,4.0,5.0,1.0,0.0,4.0,3.0,3.0,59.8,18.0,1.0,7.0,1.0,,6.0,9.0,42.0,4.0,575.0,10.0,12.0,7.0,4.0,38.0,1.0,1.0,353.0,10.0,3.0,11.0,161.0,26.0,2.0,,3.0,19.0,1.0,17.0,5.0,17.0,,6.0,4.0,3.0,1.0,2.0,3.0,,1.0,,,,1.0,,,,,,,1.0,,,6.0,,4.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
36,2367891,2024-05-04 15:00:00,"Turf Moor, Burnley",21781.0,Away,Newcastle United,Burnley,4,1,W,3,0,0,0,1.0,2.0,60.0,2.0,1.0,2.0,4.0,,19.0,9.0,8.0,5.0,15.0,4.0,6.0,179.0,5.0,6.0,4.0,3.0,18.0,11.0,121.0,159.0,52.0,23.0,15.0,5.0,2.0,5.0,3.0,2.0,20.0,16.0,,2.0,9.0,7.0,8.0,24.0,,194.0,0.0,145.0,8.0,,3.0,2.0,3.0,,36.0,52.0,14.0,70.0,,,13.0,19.0,8.0,6.0,159.0,4.0,9.0,,108.0,698.0,13.0,40.0,,10.0,365.0,18.0,2.0,3.0,2.0,5.0,4.0,17.0,455.0,56.0,,,98747,7.0,193.0,4.0,7.0,1.0,224.0,1.0,3.0,12.0,11.0,46.0,,,7.0,4.0,24.0,8.0,6.0,1.0,41.0,382.0,8.0,6.0,2.0,9.0,3.0,57.0,2.0,2.0,0.0,4.0,4.0,2.0,4.0,1.0,0.0,3.0,3.0,1.0,53.4,17.0,1.0,6.0,,,8.0,7.0,29.0,11.0,478.0,10.0,9.0,11.0,5.0,33.0,2.0,2.0,274.0,17.0,6.0,9.0,106.0,27.0,2.0,2.0,2.0,29.0,1.0,17.0,5.0,16.0,2.0,12.0,11.0,3.0,,1.0,3.0,,,1.0,1.0,,3.0,,1.0,,,3.0,,,1.0,,2.0,,5.0,,,,,,,,,2.0,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,
37,2367903,2024-05-11 15:00:00,"St. James' Park, Newcastle",51997.0,Home,Newcastle United,Brighton and Hove Albion,1,1,D,1,1,0,0,2.0,1.0,48.0,,,2.0,3.0,,13.0,11.0,5.0,5.0,12.0,3.0,3.0,199.0,8.0,14.0,1.0,1.0,15.0,7.0,146.0,134.0,49.0,18.0,5.0,4.0,,1.0,1.0,2.0,27.0,6.0,,2.0,11.0,6.0,8.0,27.0,,229.0,0.0,150.0,9.0,1.0,,1.0,1.0,1.0,55.0,81.0,11.0,78.0,3.0,2.0,21.0,20.0,6.0,6.0,134.0,4.0,10.0,,144.0,759.0,12.0,43.0,1.0,9.0,460.0,18.0,5.0,1.0,3.0,7.0,4.0,22.0,541.0,65.0,,,98747,4.0,264.0,3.0,14.0,,286.0,1.0,1.0,6.0,6.0,42.0,,3.0,4.0,1.0,7.0,5.0,5.0,1.0,36.0,485.0,14.0,7.0,2.0,10.0,3.0,66.0,,2.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,2.0,56.2,22.0,1.0,4.0,3.0,,4.0,6.0,47.0,8.0,567.0,9.0,15.0,11.0,5.0,37.0,3.0,4.0,308.0,11.0,8.0,13.0,108.0,22.0,,2.0,5.0,8.0,1.0,15.0,4.0,21.0,2.0,6.0,8.0,3.0,,1.0,1.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,1.0,,3.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,2367909,2024-05-19 16:00:00,"Gtech Community Stadium, Brentford",17124.0,Away,Newcastle United,Brentford,4,2,W,3,0,0,0,1.0,4.0,62.0,1.0,1.0,,1.0,,15.0,13.0,4.0,3.0,8.0,3.0,2.0,141.0,2.0,13.0,4.0,5.0,8.0,7.0,104.0,119.0,44.0,12.0,9.0,1.0,,1.0,3.0,1.0,8.0,10.0,,2.0,13.0,,4.0,28.0,,191.0,0.0,160.0,11.0,1.0,,1.0,1.0,1.0,45.0,58.0,6.0,67.0,2.0,,8.0,21.0,4.0,2.0,119.0,5.0,7.0,,100.0,577.0,5.0,29.0,,8.0,309.0,25.0,7.0,3.0,4.0,1.0,2.0,22.0,384.0,37.0,1.0,,98747,6.0,139.0,3.0,5.0,2.0,158.0,4.0,2.0,8.0,10.0,40.0,3.0,1.0,3.0,3.0,11.0,3.0,5.0,,43.0,328.0,13.0,6.0,,15.0,,50.0,,1.0,0.0,2.0,3.0,3.0,4.0,2.0,0.0,2.0,3.0,1.0,46.2,21.0,,8.0,,,3.0,2.0,26.0,,412.0,8.0,6.0,10.0,3.0,25.0,,2.0,262.0,8.0,4.0,4.0,112.0,23.0,3.0,2.0,7.0,14.0,1.0,8.0,5.0,21.0,2.0,8.0,,1.0,,2.0,1.0,1.0,,2.0,,1.0,1.0,,2.0,,,,,3.0,2.0,,2.0,,3.0,,,1.0,3.0,,,1.0,,3.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
