gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,attLfGoal,goals,attBxRight,goalAssistOpenplay,attMissLeft,attOboxGoal,attSvLowLeft,goodHighClaim,crosses18yardplus,attOboxMiss,bigChanceCreated,subsGoals,attHdTarget,attMissHighLeft,accurateLaunches,goalAssist,attSetpiece,attRfGoal,attCmissHigh,totalThroughBall,totalOffside,goalsOpenplay,attMissHigh,attGoalHighLeft,overrun,attIboxGoal,goalAssistIntentional,shieldBallOop,attSvHighCentre,clearanceOffLine,totalHighClaim,forwardGoals,effectiveBlockedCross,blockedCross,goalsConcededObox,accurateThroughBall,errorLeadToShot,bigChanceMissed,punches,foulThrowIn,attRfTarget,attGoalLowCentre,attFreekickTotal,shotFastbreak,totalFastbreak,attSvHighLeft,freekickTotal,attFastbreak,attCmissHighRight,ptsDroppedWinningPos,errorLeadToGoal,handBall,attGoalLowLeft,attOboxTarget,midfielderGoals,attCmissLeft,postScoringAtt,attIboxPost,attSvHighRight,hitWoodwork,sixYardBlock,attSvLowRight,attPostRight,penaltyConceded,penaltyFaced,penGoalsConceded,ownGoals,attIboxOwnGoal,secondYellow,goalAssistSetplay,defenderGoals,penaltyWon,attPenGoal,attOneOnOne,cleanSheet,attPostLeft,attHdGoal,attFreekickMiss,attGoalHighRight,attCmissHighLeft,goalFastbreak,ptsGainedLosingPos,goalAssistDeadball,attFreekickTarget,attLgCentre,attHdPost,attPostHigh,penaltySave
11,2367639,2023-11-04 15:00:00,"Turf Moor, Burnley",21578,Home,Burnley,Crystal Palace,0,2,L,0,1,0,0,1.0,43.0,,2.0,27.0,7.0,2.0,7.0,15.0,1.0,161.0,7.0,9.0,3.0,15.0,1.0,3.0,5.0,155.0,148.0,52.0,17.0,,20.0,3.0,,,31.0,8.0,7.0,9.0,2.0,37.0,221.0,,0.0,155.0,9.0,,1.0,88.0,54.0,6.0,110.0,,6.0,22.0,15.0,2.0,148.0,,3.0,165.0,772.0,10.0,7.0,38.0,8.0,484.0,17.0,1.0,,0.0,1.0,9.0,27.0,574.0,62.0,1.0,83283,9.0,286.0,12.0,311.0,2.0,3.0,6.0,,44.0,2.0,11.0,1.0,,56.0,500.0,11.0,3.0,5.0,21.0,5.0,69.0,0.0,1.0,1.0,2.0,4.0,0.0,4.0,6.0,67.5,22.0,4.0,3.0,1.0,2.0,2.0,36.0,12.0,591.0,8.0,6.0,16.0,10.0,39.0,3.0,10.0,311.0,4.0,2.0,17.0,108.0,21.0,1.0,15.0,2.0,9.0,4.0,17.0,6.0,12.0,,,,,2.0,,3.0,,2.0,,9.0,,2.0,,2.0,,5.0,,3.0,,,1.0,2.0,,1.0,,1.0,,,2.0,3.0,,,,,,,1.0,,3.0,,,2.0,,,,,,,,,,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2367649,2023-11-11 15:00:00,"Emirates Stadium, London",60232,Away,Burnley,Arsenal,1,3,L,0,1,0,1,1.0,30.0,,,27.0,32.0,4.0,2.0,4.0,3.0,124.0,2.0,3.0,,6.0,1.0,,5.0,84.0,108.0,45.0,8.0,,28.0,2.0,,,8.0,8.0,32.0,3.0,1.0,36.0,115.0,,0.0,87.0,9.0,2.0,1.0,41.0,40.0,3.0,48.0,2.0,,6.0,15.0,4.0,108.0,,12.0,78.0,499.0,5.0,5.0,14.0,10.0,248.0,12.0,19.0,,1.0,4.0,3.0,17.0,311.0,40.0,,83283,2.0,152.0,3.0,173.0,5.0,1.0,6.0,8.0,59.0,3.0,7.0,4.0,5.0,57.0,265.0,7.0,5.0,1.0,12.0,1.0,49.0,0.0,13.0,3.0,3.0,,0.0,1.0,1.0,36.5,12.0,,1.0,1.0,3.0,,21.0,3.0,334.0,10.0,6.0,17.0,3.0,15.0,2.0,1.0,169.0,4.0,1.0,22.0,57.0,11.0,19.0,13.0,3.0,7.0,4.0,14.0,6.0,3.0,,,1.0,1.0,,,2.0,,,1.0,2.0,2.0,,,1.0,,3.0,,,,1.0,,2.0,1.0,1.0,,2.0,1.0,,,1.0,,1.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2367659,2023-11-25 15:00:00,"Turf Moor, Burnley",21319,Home,Burnley,West Ham United,1,2,L,0,0,0,0,,64.0,,,31.0,27.0,3.0,,8.0,2.0,155.0,5.0,5.0,2.0,8.0,,,5.0,115.0,143.0,48.0,11.0,,22.0,3.0,,,15.0,11.0,27.0,4.0,6.0,32.0,146.0,2.0,0.0,83.0,11.0,1.0,2.0,49.0,36.0,2.0,92.0,,1.0,11.0,22.0,3.0,143.0,,11.0,134.0,686.0,5.0,6.0,20.0,5.0,402.0,26.0,12.0,,1.0,5.0,6.0,15.0,482.0,45.0,2.0,83283,5.0,268.0,5.0,297.0,5.0,,13.0,6.0,66.0,4.0,17.0,1.0,1.0,71.0,409.0,6.0,13.0,3.0,33.0,2.0,71.0,0.0,5.0,2.0,2.0,3.0,0.0,4.0,4.0,50.9,11.0,3.0,4.0,1.0,4.0,,34.0,4.0,496.0,5.0,11.0,19.0,6.0,18.0,1.0,4.0,214.0,7.0,4.0,20.0,56.0,30.0,12.0,17.0,2.0,5.0,3.0,14.0,13.0,4.0,1.0,,,1.0,2.0,,1.0,,1.0,,4.0,2.0,1.0,,1.0,1.0,10.0,,3.0,1.0,,,2.0,,1.0,,3.0,1.0,,,1.0,,,1.0,,,,,,1.0,2.0,,3.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
14,2367671,2023-12-02 15:00:00,"Turf Moor, Burnley",20891,Home,Burnley,Sheffield United,5,0,W,2,0,0,1,,52.0,1.0,5.0,29.0,9.0,6.0,8.0,13.0,3.0,196.0,5.0,14.0,3.0,16.0,,,7.0,134.0,136.0,58.0,19.0,1.0,16.0,,1.0,,23.0,6.0,9.0,5.0,5.0,30.0,275.0,,0.0,209.0,10.0,1.0,2.0,79.0,105.0,11.0,115.0,,1.0,18.0,15.0,6.0,136.0,,4.0,125.0,727.0,10.0,3.0,47.0,1.0,469.0,18.0,6.0,1.0,2.0,,5.0,14.0,553.0,85.0,,83283,4.0,210.0,13.0,229.0,6.0,,5.0,4.0,42.0,5.0,11.0,2.0,1.0,57.0,480.0,12.0,6.0,2.0,17.0,2.0,76.0,0.0,1.0,2.0,,1.0,0.0,2.0,3.0,63.6,12.0,1.0,7.0,,5.0,6.0,45.0,6.0,570.0,1.0,5.0,13.0,6.0,36.0,3.0,3.0,364.0,8.0,5.0,23.0,161.0,22.0,6.0,10.0,,16.0,5.0,20.0,5.0,6.0,3.0,3.0,2.0,5.0,7.0,4.0,2.0,1.0,2.0,,3.0,2.0,3.0,,,1.0,7.0,4.0,1.0,2.0,,2.0,3.0,5.0,1.0,,1.0,4.0,3.0,,,,,2.0,1.0,1.0,,,,1.0,1.0,,2.0,,,2.0,2.0,,,2.0,,,,,2.0,2.0,3.0,2.0,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
15,2367686,2023-12-05 19:30:00,"Molineux Stadium, Wolverhampton",30439,Away,Burnley,Wolverhampton Wanderers,0,1,L,0,1,0,0,1.0,51.0,2.0,2.0,15.0,15.0,8.0,4.0,4.0,3.0,150.0,2.0,5.0,2.0,6.0,,,3.0,101.0,154.0,49.0,12.0,2.0,19.0,2.0,2.0,2.0,19.0,11.0,15.0,5.0,10.0,35.0,164.0,,0.0,128.0,15.0,2.0,1.0,69.0,62.0,5.0,87.0,,,14.0,21.0,8.0,154.0,,5.0,98.0,621.0,5.0,6.0,15.0,10.0,324.0,20.0,8.0,2.0,4.0,,1.0,24.0,415.0,58.0,,83283,3.0,175.0,10.0,203.0,14.0,,10.0,5.0,58.0,2.0,18.0,2.0,3.0,52.0,337.0,10.0,7.0,1.0,22.0,4.0,62.0,0.0,6.0,1.0,1.0,,0.0,,1.0,48.9,21.0,,6.0,1.0,2.0,4.0,24.0,8.0,436.0,10.0,10.0,16.0,5.0,29.0,2.0,,252.0,7.0,9.0,15.0,84.0,21.0,8.0,19.0,1.0,6.0,4.0,12.0,10.0,8.0,,,,,,,1.0,,1.0,1.0,3.0,5.0,1.0,,,1.0,,,,,,,,,3.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,2.0,,2.0,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16,2367689,2023-12-09 15:00:00,"American Express Stadium, Falmer",31511,Away,Burnley,Brighton and Hove Albion,1,1,D,1,0,0,0,2.0,55.0,1.0,2.0,14.0,34.0,1.0,4.0,5.0,10.0,125.0,,7.0,,5.0,,,3.0,56.0,118.0,55.0,6.0,,19.0,2.0,,2.0,7.0,17.0,34.0,1.0,1.0,26.0,91.0,,0.0,86.0,8.0,5.0,,35.0,36.0,3.0,62.0,,,6.0,11.0,1.0,118.0,,23.0,65.0,488.0,3.0,4.0,11.0,9.0,220.0,27.0,17.0,,4.0,7.0,1.0,12.0,282.0,53.0,,83283,1.0,134.0,4.0,159.0,6.0,,5.0,13.0,47.0,4.0,10.0,6.0,3.0,65.0,225.0,5.0,8.0,,32.0,,60.0,0.0,9.0,9.0,1.0,1.0,0.0,,,28.0,8.0,,3.0,1.0,4.0,2.0,20.0,1.0,308.0,9.0,6.0,12.0,1.0,12.0,,1.0,156.0,2.0,1.0,15.0,46.0,14.0,17.0,28.0,1.0,6.0,5.0,14.0,5.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,3.0,2.0,,1.0,,,,2.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,3.0,,1.0,1.0,,,1.0,2.0,1.0,,,,,1.0,1.0,,,1.0,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2367701,2023-12-16 17:30:00,"Turf Moor, Burnley",21413,Home,Burnley,Everton,0,2,L,0,2,0,0,,43.0,1.0,5.0,27.0,18.0,6.0,3.0,8.0,4.0,168.0,3.0,9.0,3.0,11.0,1.0,,2.0,141.0,137.0,57.0,14.0,4.0,24.0,1.0,1.0,1.0,22.0,9.0,18.0,5.0,6.0,44.0,207.0,1.0,0.0,152.0,9.0,3.0,2.0,65.0,76.0,9.0,98.0,,,17.0,17.0,6.0,137.0,,7.0,135.0,729.0,9.0,7.0,23.0,2.0,443.0,18.0,6.0,1.0,0.0,,2.0,23.0,522.0,72.0,1.0,83283,6.0,256.0,11.0,285.0,9.0,1.0,11.0,4.0,50.0,7.0,16.0,2.0,3.0,61.0,460.0,8.0,5.0,2.0,24.0,3.0,48.0,0.0,6.0,3.0,2.0,1.0,0.0,2.0,2.0,62.1,17.0,1.0,3.0,1.0,7.0,9.0,30.0,8.0,542.0,2.0,7.0,20.0,3.0,35.0,1.0,2.0,279.0,9.0,6.0,22.0,111.0,12.0,6.0,18.0,2.0,9.0,5.0,14.0,11.0,8.0,,,,,,,1.0,,1.0,3.0,4.0,1.0,,,,,6.0,,1.0,,,1.0,,,1.0,,2.0,,,,,,3.0,,1.0,1.0,,1.0,,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2367710,2023-12-23 15:00:00,"Craven Cottage, London",23598,Away,Burnley,Fulham,2,0,W,0,0,0,0,,58.0,1.0,2.0,24.0,31.0,3.0,,4.0,5.0,138.0,6.0,4.0,,7.0,,1.0,2.0,80.0,132.0,40.0,7.0,,18.0,,1.0,,16.0,12.0,31.0,6.0,7.0,25.0,109.0,,0.0,97.0,17.0,3.0,,37.0,41.0,4.0,65.0,1.0,2.0,10.0,30.0,3.0,132.0,,15.0,79.0,557.0,4.0,7.0,15.0,9.0,264.0,18.0,13.0,1.0,1.0,8.0,3.0,15.0,343.0,44.0,,83283,3.0,170.0,5.0,208.0,14.0,,17.0,10.0,57.0,4.0,14.0,4.0,7.0,57.0,273.0,5.0,13.0,1.0,29.0,1.0,50.0,0.0,8.0,4.0,,3.0,0.0,2.0,2.0,34.4,9.0,1.0,2.0,,4.0,2.0,19.0,6.0,362.0,9.0,4.0,11.0,3.0,22.0,4.0,2.0,170.0,5.0,6.0,10.0,67.0,28.0,13.0,21.0,,5.0,5.0,10.0,17.0,6.0,,,,2.0,1.0,2.0,,2.0,,1.0,5.0,1.0,,,,1.0,11.0,2.0,1.0,2.0,,1.0,3.0,2.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,2.0,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,
19,2367722,2023-12-26 17:30:00,"Turf Moor, Burnley",21624,Home,Burnley,Liverpool,0,2,L,0,1,0,0,,61.0,2.0,1.0,18.0,20.0,4.0,,5.0,8.0,122.0,6.0,14.0,1.0,7.0,,2.0,,67.0,149.0,64.0,9.0,,31.0,,1.0,,15.0,13.0,20.0,4.0,4.0,27.0,95.0,,0.0,79.0,7.0,6.0,3.0,50.0,28.0,1.0,48.0,1.0,3.0,11.0,18.0,4.0,149.0,,12.0,55.0,485.0,6.0,3.0,17.0,10.0,175.0,21.0,9.0,1.0,2.0,3.0,6.0,15.0,267.0,35.0,1.0,83283,1.0,95.0,5.0,124.0,5.0,1.0,7.0,8.0,65.0,4.0,12.0,7.0,,64.0,184.0,10.0,13.0,1.0,32.0,2.0,68.0,0.0,4.0,6.0,2.0,,0.0,4.0,3.0,31.4,11.0,3.0,4.0,,4.0,1.0,25.0,4.0,292.0,10.0,7.0,16.0,8.0,22.0,2.0,4.0,183.0,6.0,4.0,15.0,44.0,26.0,9.0,25.0,1.0,7.0,4.0,21.0,7.0,4.0,,,,,2.0,,3.0,,,2.0,3.0,4.0,2.0,,,1.0,4.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,2.0,,,,1.0,,1.0,2.0,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2367728,2023-12-30 15:00:00,"Villa Park, Birmingham",41613,Away,Burnley,Aston Villa,2,3,L,1,2,1,0,1.0,43.0,2.0,1.0,24.0,14.0,2.0,2.0,7.0,4.0,100.0,2.0,4.0,1.0,6.0,,2.0,5.0,49.0,105.0,39.0,9.0,,11.0,1.0,,,10.0,7.0,14.0,2.0,,21.0,76.0,,0.0,73.0,14.0,3.0,1.0,35.0,28.0,4.0,50.0,1.0,3.0,8.0,21.0,2.0,105.0,,13.0,41.0,380.0,4.0,3.0,17.0,5.0,160.0,19.0,5.0,,1.0,4.0,2.0,15.0,215.0,47.0,1.0,83283,3.0,99.0,5.0,117.0,14.0,,10.0,13.0,40.0,4.0,8.0,6.0,6.0,59.0,173.0,8.0,6.0,,21.0,,54.0,0.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,34.3,9.0,1.0,3.0,,4.0,1.0,25.0,2.0,240.0,5.0,5.0,10.0,3.0,16.0,,3.0,133.0,6.0,,14.0,39.0,10.0,5.0,14.0,3.0,7.0,4.0,9.0,10.0,2.0,1.0,1.0,,2.0,3.0,1.0,,,,,2.0,,1.0,,,,6.0,2.0,1.0,2.0,,3.0,6.0,1.0,,,,2.0,1.0,,,,,2.0,4.0,4.0,,1.0,,,1.0,,2.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,3.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
21,2367742,2024-01-12 19:45:00,"Turf Moor, Burnley",20155,Home,Burnley,Luton Town,1,1,D,1,0,0,0,1.0,53.0,1.0,,18.0,29.0,6.0,5.0,7.0,4.0,147.0,3.0,12.0,3.0,10.0,,,7.0,81.0,155.0,60.0,13.0,,27.0,3.0,2.0,2.0,10.0,9.0,29.0,2.0,8.0,15.0,139.0,1.0,0.0,113.0,7.0,2.0,1.0,46.0,50.0,5.0,57.0,2.0,1.0,8.0,17.0,6.0,155.0,,8.0,57.0,560.0,8.0,7.0,22.0,12.0,228.0,23.0,11.0,2.0,1.0,6.0,5.0,25.0,319.0,48.0,,60586,5.0,104.0,6.0,135.0,6.0,1.0,9.0,4.0,70.0,6.0,13.0,6.0,2.0,65.0,240.0,12.0,13.0,2.0,46.0,1.0,67.0,0.0,8.0,3.0,1.0,,0.0,1.0,1.0,38.5,16.0,1.0,2.0,,6.0,,24.0,2.0,342.0,12.0,12.0,8.0,6.0,22.0,2.0,3.0,217.0,7.0,8.0,21.0,80.0,15.0,11.0,17.0,1.0,10.0,4.0,23.0,9.0,2.0,1.0,,,1.0,2.0,,2.0,,2.0,3.0,1.0,3.0,,,,,10.0,,1.0,1.0,,2.0,1.0,1.0,2.0,,,1.0,,,1.0,,5.0,1.0,3.0,3.0,,,,1.0,2.0,,5.0,1.0,1.0,,,,1.0,,,2.0,1.0,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
22,2367757,2024-01-31 19:30:00,"Etihad Stadium, Manchester",53099,Away,Burnley,Manchester City,1,3,L,0,2,0,0,,47.0,,2.0,12.0,19.0,2.0,3.0,6.0,1.0,111.0,2.0,5.0,1.0,7.0,,1.0,3.0,46.0,107.0,35.0,8.0,,17.0,,1.0,2.0,8.0,9.0,19.0,3.0,1.0,12.0,72.0,,0.0,60.0,13.0,1.0,,35.0,21.0,4.0,50.0,,2.0,5.0,15.0,2.0,107.0,,9.0,63.0,419.0,5.0,1.0,15.0,7.0,190.0,21.0,9.0,1.0,2.0,6.0,3.0,10.0,253.0,29.0,,60586,1.0,129.0,3.0,153.0,13.0,,11.0,4.0,53.0,5.0,12.0,5.0,3.0,42.0,199.0,3.0,13.0,1.0,30.0,1.0,45.0,0.0,7.0,1.0,3.0,,0.0,1.0,,25.9,7.0,,1.0,2.0,5.0,2.0,17.0,3.0,270.0,7.0,5.0,7.0,3.0,14.0,1.0,3.0,125.0,5.0,1.0,7.0,40.0,14.0,9.0,20.0,2.0,6.0,5.0,10.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,,2.0,,,,6.0,1.0,1.0,,,4.0,3.0,1.0,1.0,,2.0,1.0,1.0,,,,2.0,,,,1.0,2.0,,1.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
23,2367762,2024-02-03 15:00:00,"Turf Moor, Burnley",20203,Home,Burnley,Fulham,2,2,D,0,2,0,0,,50.0,1.0,4.0,17.0,30.0,3.0,3.0,9.0,5.0,129.0,4.0,9.0,1.0,9.0,,,4.0,94.0,153.0,55.0,12.0,,27.0,1.0,2.0,2.0,11.0,12.0,30.0,2.0,5.0,21.0,115.0,1.0,0.0,97.0,11.0,3.0,1.0,45.0,35.0,6.0,62.0,2.0,1.0,9.0,21.0,3.0,153.0,,12.0,97.0,584.0,6.0,5.0,24.0,8.0,277.0,18.0,16.0,2.0,2.0,4.0,3.0,26.0,368.0,46.0,1.0,60586,5.0,174.0,6.0,195.0,11.0,1.0,12.0,4.0,48.0,7.0,18.0,3.0,2.0,53.0,285.0,7.0,,2.0,31.0,2.0,65.0,0.0,13.0,4.0,2.0,2.0,0.0,2.0,2.0,43.7,11.0,,3.0,3.0,8.0,4.0,27.0,2.0,382.0,8.0,4.0,11.0,4.0,21.0,2.0,2.0,198.0,7.0,5.0,24.0,54.0,21.0,16.0,15.0,1.0,10.0,5.0,15.0,12.0,2.0,1.0,,,2.0,1.0,1.0,1.0,,,2.0,2.0,2.0,1.0,2.0,,,6.0,1.0,,1.0,,2.0,1.0,2.0,1.0,,3.0,2.0,1.0,1.0,,,2.0,,,,1.0,,1.0,,2.0,1.0,2.0,,,1.0,2.0,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,
24,2367771,2024-02-10 15:00:00,"Anfield, Liverpool",59896,Away,Burnley,Liverpool,1,3,L,1,1,0,0,1.0,52.0,,,19.0,38.0,2.0,2.0,7.0,7.0,130.0,2.0,16.0,2.0,6.0,,2.0,4.0,51.0,138.0,55.0,9.0,1.0,24.0,3.0,1.0,2.0,9.0,9.0,38.0,3.0,3.0,17.0,91.0,,0.0,95.0,13.0,3.0,2.0,62.0,19.0,3.0,38.0,,2.0,6.0,18.0,2.0,138.0,,18.0,58.0,486.0,5.0,3.0,16.0,6.0,175.0,16.0,19.0,1.0,2.0,9.0,3.0,17.0,249.0,60.0,,550839,4.0,96.0,2.0,118.0,13.0,,9.0,8.0,64.0,5.0,8.0,7.0,2.0,67.0,185.0,11.0,5.0,,41.0,1.0,65.0,0.0,9.0,7.0,3.0,1.0,0.0,1.0,1.0,29.2,11.0,,1.0,2.0,5.0,1.0,19.0,3.0,277.0,6.0,13.0,9.0,4.0,22.0,1.0,3.0,168.0,6.0,2.0,14.0,51.0,22.0,19.0,14.0,3.0,6.0,3.0,25.0,9.0,3.0,,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,2.0,,,,10.0,1.0,2.0,,,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,4.0,4.0,,1.0,,4.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,
25,2367779,2024-02-17 15:00:00,"Turf Moor, Burnley",21311,Home,Burnley,Arsenal,0,5,L,0,2,0,0,,48.0,1.0,2.0,17.0,21.0,3.0,1.0,5.0,2.0,126.0,5.0,11.0,2.0,6.0,,1.0,,56.0,131.0,44.0,8.0,1.0,22.0,,,,12.0,8.0,21.0,4.0,4.0,27.0,84.0,,0.0,78.0,11.0,,1.0,43.0,21.0,2.0,74.0,3.0,3.0,8.0,22.0,3.0,131.0,,11.0,60.0,488.0,5.0,1.0,11.0,6.0,218.0,19.0,10.0,,2.0,5.0,4.0,14.0,294.0,45.0,,60586,3.0,153.0,4.0,183.0,10.0,1.0,9.0,9.0,51.0,3.0,14.0,5.0,3.0,56.0,232.0,8.0,5.0,1.0,22.0,1.0,49.0,0.0,6.0,1.0,5.0,,0.0,3.0,2.0,34.9,12.0,2.0,3.0,,4.0,3.0,21.0,4.0,316.0,6.0,9.0,10.0,5.0,17.0,2.0,3.0,145.0,5.0,4.0,8.0,39.0,21.0,10.0,17.0,4.0,6.0,5.0,17.0,9.0,4.0,,,,,2.0,,2.0,,,,3.0,2.0,,,,,7.0,,1.0,,,,5.0,,,,3.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
26,2367793,2024-02-24 15:00:00,"Selhurst Park, London",24042,Away,Burnley,Crystal Palace,0,3,L,0,0,1,0,,36.0,1.0,1.0,20.0,32.0,,1.0,2.0,3.0,144.0,1.0,9.0,,1.0,,,,101.0,154.0,48.0,2.0,,35.0,,,,8.0,6.0,32.0,2.0,,23.0,114.0,,0.0,125.0,14.0,1.0,,55.0,63.0,,58.0,1.0,,6.0,19.0,,154.0,1.0,10.0,90.0,555.0,1.0,1.0,7.0,3.0,269.0,15.0,19.0,,1.0,3.0,1.0,21.0,360.0,68.0,,60586,1.0,167.0,2.0,192.0,13.0,1.0,9.0,10.0,68.0,3.0,15.0,5.0,1.0,77.0,280.0,8.0,7.0,,30.0,,69.0,0.0,12.0,2.0,3.0,,1.0,1.0,1.0,44.2,19.0,1.0,1.0,1.0,3.0,1.0,18.0,3.0,393.0,3.0,8.0,5.0,1.0,12.0,,1.0,209.0,,,17.0,61.0,12.0,19.0,14.0,3.0,2.0,5.0,14.0,9.0,3.0,,,,,,,1.0,,,2.0,4.0,,,,,,2.0,,,,,,2.0,,,,2.0,,,2.0,,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
27,2367799,2024-03-03 13:00:00,"Turf Moor, Burnley",19713,Home,Burnley,Bournemouth,0,2,L,0,1,0,0,1.0,53.0,,2.0,20.0,12.0,9.0,6.0,11.0,1.0,201.0,7.0,10.0,4.0,14.0,1.0,,6.0,151.0,172.0,68.0,20.0,4.0,24.0,4.0,,3.0,26.0,10.0,12.0,2.0,8.0,31.0,265.0,1.0,0.0,182.0,8.0,1.0,2.0,82.0,64.0,8.0,119.0,1.0,2.0,24.0,25.0,9.0,172.0,,8.0,137.0,811.0,14.0,3.0,43.0,2.0,473.0,25.0,5.0,,2.0,1.0,6.0,29.0,579.0,65.0,1.0,60586,6.0,239.0,19.0,268.0,7.0,2.0,9.0,7.0,57.0,1.0,16.0,2.0,3.0,52.0,497.0,13.0,6.0,,23.0,4.0,77.0,0.0,2.0,1.0,2.0,1.0,0.0,6.0,5.0,74.7,26.0,4.0,5.0,1.0,1.0,6.0,44.0,7.0,608.0,2.0,13.0,16.0,8.0,40.0,1.0,5.0,366.0,9.0,8.0,26.0,128.0,19.0,5.0,19.0,2.0,15.0,4.0,17.0,9.0,7.0,,,,,2.0,,2.0,,,,3.0,3.0,2.0,,1.0,2.0,5.0,,,,1.0,1.0,2.0,,1.0,,1.0,,,2.0,1.0,,,,1.0,1.0,,1.0,,2.0,,,4.0,,1.0,,,,1.0,,1.0,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,
