gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attBxRight,goalAssistOpenplay,attSvLowLeft,subsGoals,goalAssist,goalsOpenplay,attCmissLeft,accurateFlickOn,goalAssistIntentional,attLfTarget,attFreekickTotal,accurateKeeperSweeper,attMissHighRight,freekickCross,freekickTotal,totalKeeperSweeper,attSetpiece,attCmissHigh,attFreekickMiss,goodHighClaim,sixYardBlock,defenderGoals,totalHighClaim,attHdGoal,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attSvLowRight,attPostRight,attOboxTarget,attSvHighRight,ptsGainedLosingPos,attSvHighLeft,accurateFreekickCross,attOboxPost,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalHighRight,attPostHigh,clearanceOffLine,attOneOnOne,midfielderGoals,accurateThroughBall,ownGoals,totalThroughBall,attIboxOwnGoal,attGoalLowCentre,goalFastbreak,ptsDroppedWinningPos,attOboxGoal,attGoalHighLeft,attGoalLowRight,cleanSheet,attCmissHighRight,attGoalHighCentre,attFreekickTarget,attPostLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attLgCentre,attFreekickGoal,attObxRight
11,2367642,2023-11-05 16:30:00,"Kenilworth Road, Luton",11049,Home,Luton Town,Liverpool,1,1,D,0,0,0,0,1.0,57.0,,3.0,1.0,16.0,43.0,3.0,2.0,5.0,5.0,3.0,122.0,3.0,15.0,1.0,2.0,4.0,,,5.0,31.0,145.0,61.0,8.0,,21.0,2.0,2.0,2.0,,18.0,10.0,43.0,4.0,5.0,16.0,59.0,,0.0,66.0,7.0,5.0,3.0,54.0,27.0,4.0,39.0,1.0,,14.0,16.0,3.0,2.0,1.0,145.0,1.0,,15.0,37.0,446.0,2.0,5.0,13.0,,8.0,124.0,31.0,,5.0,25.0,1.0,5.0,,16.0,200.0,43.0,,96784,3.0,79.0,1.0,9.0,,106.0,2.0,,,10.0,16.0,44.0,1.0,1.0,16.0,9.0,5.0,2.0,,63.0,135.0,13.0,6.0,1.0,33.0,,61.0,2.0,,0.0,2.0,7.0,2.0,1.0,1.0,0.0,3.0,,,26.2,11.0,,8.0,1.0,,1.0,1.0,20.0,4.0,,229.0,,8.0,6.0,6.0,2.0,21.0,,1.0,141.0,6.0,5.0,13.0,30.0,15.0,,2.0,25.0,20.0,1.0,8.0,3.0,21.0,,2.0,10.0,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,3.0,,,,,,1.0,,,1.0,,,,,,1.0,,2.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
12,2367655,2023-11-11 15:00:00,"Old Trafford, Manchester",73599,Away,Luton Town,Manchester United,0,1,L,0,0,0,0,,48.0,,,3.0,16.0,34.0,6.0,5.0,4.0,3.0,,110.0,2.0,7.0,,1.0,8.0,,,4.0,77.0,112.0,38.0,10.0,1.0,13.0,1.0,,1.0,,14.0,11.0,34.0,3.0,3.0,33.0,119.0,,0.0,75.0,11.0,3.0,,35.0,37.0,6.0,53.0,5.0,,11.0,15.0,6.0,5.0,2.0,112.0,,,11.0,81.0,512.0,8.0,3.0,20.0,1.0,15.0,239.0,23.0,,,10.0,2.0,3.0,2.0,16.0,298.0,37.0,,96784,4.0,137.0,,6.0,,162.0,5.0,,1.0,8.0,13.0,43.0,1.0,3.0,8.0,4.0,7.0,1.0,,51.0,254.0,9.0,5.0,,11.0,,54.0,,2.0,0.0,1.0,11.0,3.0,,1.0,0.0,2.0,,1.0,35.5,10.0,,1.0,,1.0,3.0,4.0,27.0,3.0,,321.0,,15.0,8.0,14.0,2.0,17.0,,,173.0,4.0,2.0,9.0,52.0,21.0,,4.0,10.0,14.0,1.0,8.0,5.0,16.0,,4.0,8.0,3.0,,2.0,,,,,,,,,,3.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2367662,2023-11-25 15:00:00,"Kenilworth Road, Luton",11029,Home,Luton Town,Crystal Palace,2,1,W,0,0,0,0,1.0,67.0,1.0,2.0,1.0,26.0,39.0,2.0,2.0,6.0,7.0,,146.0,5.0,9.0,2.0,2.0,6.0,,,3.0,64.0,146.0,56.0,8.0,1.0,18.0,,,,,22.0,7.0,39.0,4.0,5.0,33.0,121.0,,0.0,108.0,15.0,3.0,,50.0,67.0,4.0,66.0,,2.0,18.0,19.0,2.0,5.0,,146.0,1.0,,11.0,59.0,562.0,3.0,6.0,15.0,,12.0,239.0,32.0,1.0,5.0,22.0,6.0,5.0,2.0,20.0,309.0,56.0,,96784,4.0,133.0,,11.0,,153.0,6.0,2.0,1.0,10.0,8.0,56.0,1.0,3.0,20.0,5.0,4.0,,,68.0,249.0,11.0,8.0,1.0,24.0,3.0,66.0,,,0.0,,5.0,5.0,2.0,1.0,0.0,3.0,,3.0,39.0,15.0,3.0,3.0,1.0,,3.0,2.0,27.0,4.0,,335.0,,12.0,8.0,14.0,3.0,27.0,2.0,3.0,204.0,3.0,4.0,18.0,71.0,23.0,,1.0,22.0,18.0,1.0,4.0,4.0,18.0,,1.0,10.0,4.0,,1.0,,1.0,,1.0,2.0,1.0,,2.0,1.0,1.0,,,,2.0,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,
14,2367670,2023-12-02 15:00:00,"Gtech Community Stadium, Brentford",17075,Away,Luton Town,Brentford,1,3,L,0,0,0,0,,55.0,1.0,1.0,1.0,12.0,39.0,5.0,4.0,2.0,3.0,,132.0,1.0,7.0,1.0,1.0,3.0,,,1.0,53.0,149.0,57.0,7.0,4.0,10.0,,,,,15.0,8.0,39.0,5.0,,14.0,73.0,,0.0,51.0,8.0,1.0,,37.0,35.0,3.0,38.0,2.0,,10.0,21.0,5.0,3.0,,149.0,,,19.0,54.0,498.0,3.0,4.0,11.0,,8.0,174.0,34.0,1.0,6.0,21.0,2.0,11.0,,13.0,250.0,22.0,,96784,1.0,119.0,,6.0,,150.0,5.0,,,9.0,13.0,44.0,2.0,7.0,21.0,8.0,7.0,,,48.0,191.0,10.0,8.0,,23.0,,56.0,,,0.0,2.0,7.0,2.0,,3.0,0.0,1.0,2.0,,31.4,7.0,,2.0,1.0,,7.0,5.0,22.0,5.0,,277.0,,8.0,11.0,3.0,1.0,15.0,,1.0,142.0,3.0,,23.0,30.0,11.0,,2.0,21.0,17.0,3.0,6.0,5.0,14.0,,2.0,9.0,5.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
15,2367683,2023-12-05 20:15:00,"Kenilworth Road, Luton",11112,Home,Luton Town,Arsenal,3,4,L,1,2,0,0,1.0,57.0,1.0,1.0,,27.0,35.0,3.0,3.0,3.0,5.0,,137.0,3.0,16.0,3.0,,5.0,,,4.0,53.0,148.0,62.0,6.0,1.0,20.0,,,1.0,,12.0,12.0,35.0,3.0,8.0,28.0,80.0,,0.0,73.0,14.0,4.0,,45.0,30.0,4.0,57.0,,,9.0,14.0,3.0,1.0,1.0,148.0,1.0,,16.0,49.0,488.0,2.0,7.0,7.0,,8.0,185.0,31.0,,14.0,18.0,2.0,8.0,1.0,13.0,268.0,53.0,,96784,1.0,118.0,,8.0,,147.0,13.0,,1.0,6.0,8.0,54.0,1.0,1.0,14.0,7.0,2.0,,,75.0,195.0,7.0,8.0,,39.0,2.0,72.0,,,0.0,5.0,8.0,4.0,3.0,4.0,0.0,1.0,1.0,2.0,33.4,8.0,,3.0,1.0,,1.0,1.0,28.0,3.0,,296.0,,8.0,5.0,12.0,1.0,16.0,2.0,,161.0,1.0,7.0,20.0,30.0,17.0,1.0,2.0,18.0,20.0,4.0,4.0,5.0,24.0,,2.0,6.0,3.0,,,,1.0,,,3.0,1.0,,2.0,2.0,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,2.0,2.0,1.0,,,,,1.0,,,2.0,,1.0,,3.0,,1.0,,,,,,,,,,,,,
16,2367693,2023-12-10 14:00:00,"Kenilworth Road, Luton",11047,Home,Luton Town,Manchester City,1,2,L,1,0,0,0,1.0,51.0,,2.0,,24.0,12.0,2.0,1.0,2.0,4.0,1.0,123.0,1.0,9.0,1.0,2.0,3.0,,,2.0,63.0,138.0,44.0,4.0,,15.0,,,,1.0,17.0,8.0,12.0,6.0,2.0,25.0,87.0,,0.0,91.0,16.0,4.0,,43.0,37.0,2.0,57.0,3.0,1.0,11.0,23.0,2.0,4.0,1.0,138.0,1.0,,9.0,59.0,484.0,2.0,5.0,11.0,,14.0,210.0,22.0,,5.0,4.0,2.0,5.0,1.0,20.0,282.0,52.0,,96784,1.0,138.0,,5.0,,161.0,15.0,,,12.0,11.0,63.0,1.0,3.0,15.0,9.0,8.0,,,64.0,224.0,5.0,12.0,,29.0,1.0,50.0,,,0.0,4.0,3.0,2.0,1.0,2.0,0.0,1.0,,1.0,34.7,17.0,,6.0,,1.0,3.0,,19.0,6.0,,302.0,,14.0,10.0,14.0,2.0,26.0,,1.0,158.0,2.0,2.0,10.0,54.0,17.0,1.0,,4.0,20.0,2.0,3.0,4.0,20.0,,,12.0,6.0,,1.0,,1.0,,,1.0,1.0,,2.0,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,
17,2367698,2024-03-13 19:30:00,"Vitality Stadium, Bournemouth",11198,Away,Luton Town,Bournemouth,3,4,L,3,0,0,0,3.0,47.0,1.0,2.0,1.0,18.0,35.0,,1.0,8.0,5.0,,140.0,5.0,3.0,3.0,5.0,8.0,,,4.0,65.0,145.0,62.0,8.0,,25.0,1.0,1.0,,1.0,16.0,10.0,35.0,3.0,2.0,23.0,91.0,,0.0,80.0,11.0,4.0,2.0,30.0,59.0,5.0,39.0,2.0,,13.0,24.0,,1.0,,145.0,5.0,,18.0,66.0,505.0,2.0,8.0,15.0,1.0,5.0,195.0,27.0,1.0,6.0,17.0,2.0,9.0,3.0,21.0,279.0,43.0,1.0,96784,3.0,124.0,2.0,6.0,,152.0,10.0,2.0,,11.0,12.0,71.0,1.0,3.0,9.0,6.0,4.0,1.0,,68.0,210.0,16.0,20.0,3.0,34.0,1.0,71.0,1.0,,0.0,2.0,11.0,4.0,3.0,4.0,0.0,4.0,1.0,4.0,40.9,16.0,1.0,,,,3.0,1.0,31.0,3.0,,310.0,,5.0,5.0,11.0,3.0,21.0,1.0,3.0,174.0,2.0,2.0,26.0,41.0,12.0,2.0,3.0,17.0,17.0,4.0,4.0,4.0,15.0,,3.0,11.0,3.0,,1.0,1.0,3.0,,,3.0,3.0,,4.0,3.0,,,2.0,,6.0,,2.0,3.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,2.0,,,1.0,3.0,,,1.0,,,,,,,,,,,,
18,2367712,2023-12-23 15:00:00,"Kenilworth Road, Luton",11042,Home,Luton Town,Newcastle United,1,0,W,1,0,0,0,1.0,62.0,,,,27.0,29.0,7.0,5.0,9.0,2.0,2.0,120.0,4.0,13.0,1.0,,13.0,,,5.0,77.0,144.0,42.0,16.0,2.0,16.0,3.0,,,2.0,17.0,7.0,29.0,4.0,2.0,19.0,142.0,,0.0,123.0,11.0,1.0,,67.0,38.0,7.0,41.0,,2.0,13.0,17.0,7.0,6.0,3.0,144.0,2.0,,13.0,63.0,521.0,11.0,5.0,24.0,,9.0,212.0,21.0,1.0,7.0,8.0,2.0,6.0,6.0,16.0,272.0,52.0,1.0,96784,4.0,85.0,1.0,7.0,,98.0,9.0,,,7.0,11.0,64.0,,,19.0,2.0,5.0,1.0,,62.0,223.0,6.0,8.0,1.0,22.0,2.0,58.0,,,0.0,2.0,7.0,2.0,1.0,,0.0,3.0,,3.0,34.8,13.0,2.0,12.0,3.0,,,2.0,19.0,6.0,,301.0,,9.0,16.0,10.0,9.0,19.0,1.0,4.0,220.0,8.0,2.0,10.0,86.0,22.0,1.0,2.0,8.0,13.0,,14.0,5.0,26.0,,2.0,7.0,6.0,,,1.0,,3.0,,1.0,,2.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,1.0,2.0,1.0,,2.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,2.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
19,2367727,2023-12-26 15:00:00,"Bramall Lane, Sheffield",31041,Away,Luton Town,Sheffield United,3,2,W,1,0,0,0,,46.0,,1.0,2.0,24.0,34.0,6.0,4.0,6.0,2.0,2.0,128.0,3.0,11.0,3.0,3.0,9.0,,1.0,4.0,84.0,136.0,64.0,12.0,3.0,27.0,1.0,1.0,,,20.0,9.0,34.0,4.0,3.0,24.0,124.0,,0.0,86.0,13.0,1.0,1.0,48.0,47.0,7.0,58.0,3.0,1.0,16.0,15.0,6.0,6.0,1.0,136.0,,,12.0,76.0,571.0,7.0,5.0,26.0,1.0,17.0,252.0,24.0,,5.0,21.0,0.0,8.0,2.0,23.0,323.0,39.0,,91046,4.0,145.0,,7.0,,175.0,9.0,,,5.0,9.0,64.0,,4.0,10.0,9.0,5.0,1.0,,57.0,266.0,12.0,5.0,1.0,23.0,1.0,55.0,1.0,,0.0,3.0,9.0,3.0,3.0,2.0,0.0,2.0,,2.0,49.1,17.0,1.0,1.0,,1.0,4.0,5.0,26.0,4.0,,346.0,,17.0,7.0,9.0,3.0,27.0,1.0,2.0,191.0,6.0,2.0,26.0,60.0,15.0,,3.0,21.0,15.0,2.0,8.0,4.0,24.0,,3.0,5.0,4.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,3.0,1.0,,2.0,1.0,,3.0,,,3.0,,,,,,1.0,,2.0,1.0,3.0,,1.0,,,,1.0,,,2.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
20,2367732,2023-12-30 12:30:00,"Kenilworth Road, Luton",11041,Home,Luton Town,Chelsea,2,3,L,0,2,0,0,2.0,57.0,1.0,2.0,4.0,22.0,4.0,3.0,3.0,12.0,5.0,1.0,154.0,11.0,9.0,2.0,6.0,11.0,,,6.0,94.0,145.0,64.0,15.0,1.0,15.0,3.0,1.0,1.0,1.0,36.0,13.0,4.0,7.0,5.0,31.0,164.0,,0.0,129.0,14.0,1.0,1.0,64.0,54.0,10.0,66.0,,1.0,29.0,20.0,3.0,3.0,1.0,145.0,3.0,1.0,7.0,92.0,636.0,9.0,4.0,37.0,3.0,10.0,315.0,18.0,,6.0,2.0,2.0,2.0,1.0,26.0,381.0,53.0,,96784,6.0,186.0,2.0,22.0,,203.0,13.0,1.0,1.0,7.0,4.0,69.0,5.0,5.0,19.0,5.0,4.0,1.0,,46.0,339.0,20.0,14.0,1.0,14.0,2.0,57.0,1.0,,0.0,,2.0,3.0,2.0,3.0,0.0,10.0,,6.0,51.4,23.0,1.0,9.0,1.0,,5.0,5.0,28.0,7.0,,406.0,,10.0,13.0,15.0,4.0,41.0,1.0,2.0,239.0,6.0,5.0,14.0,96.0,24.0,1.0,1.0,2.0,21.0,3.0,10.0,4.0,22.0,1.0,1.0,7.0,7.0,,,,,,,1.0,1.0,1.0,3.0,1.0,,1.0,2.0,,4.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
21,2367742,2024-01-12 19:45:00,"Turf Moor, Burnley",20155,Away,Luton Town,Burnley,1,1,D,0,1,0,0,1.0,62.0,,3.0,3.0,28.0,13.0,6.0,3.0,8.0,7.0,2.0,191.0,3.0,13.0,1.0,,14.0,,,5.0,127.0,173.0,70.0,14.0,3.0,21.0,3.0,,1.0,1.0,26.0,14.0,13.0,8.0,5.0,49.0,206.0,,0.0,145.0,12.0,3.0,,77.0,66.0,11.0,75.0,1.0,1.0,18.0,21.0,6.0,9.0,2.0,173.0,1.0,,7.0,149.0,747.0,13.0,5.0,28.0,1.0,7.0,420.0,18.0,1.0,5.0,3.0,0.0,,3.0,18.0,521.0,52.0,,96784,5.0,236.0,,9.0,,266.0,10.0,,,9.0,9.0,60.0,4.0,5.0,22.0,6.0,9.0,,,66.0,439.0,7.0,12.0,,28.0,1.0,72.0,,,0.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,61.5,15.0,,3.0,,2.0,5.0,6.0,37.0,8.0,,542.0,,7.0,12.0,31.0,3.0,32.0,,1.0,302.0,9.0,5.0,27.0,105.0,34.0,,,3.0,23.0,1.0,13.0,3.0,18.0,,,9.0,8.0,,,2.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,
22,2367751,2024-01-30 19:45:00,"Kenilworth Road, Luton",10994,Home,Luton Town,Brighton and Hove Albion,4,0,W,3,0,0,0,4.0,86.0,1.0,,3.0,18.0,15.0,5.0,5.0,13.0,2.0,1.0,166.0,4.0,18.0,4.0,2.0,11.0,,1.0,8.0,65.0,172.0,61.0,18.0,5.0,13.0,4.0,,,,16.0,11.0,15.0,7.0,2.0,26.0,124.0,,0.0,117.0,13.0,1.0,,63.0,39.0,9.0,59.0,,2.0,9.0,25.0,5.0,1.0,,172.0,4.0,,7.0,67.0,584.0,7.0,3.0,25.0,,6.0,244.0,28.0,,5.0,4.0,2.0,3.0,2.0,23.0,336.0,60.0,,96784,5.0,133.0,1.0,7.0,,157.0,13.0,2.0,,15.0,6.0,60.0,4.0,8.0,19.0,2.0,4.0,,,71.0,253.0,13.0,8.0,1.0,37.0,4.0,74.0,,,0.0,3.0,4.0,2.0,4.0,,0.0,3.0,1.0,4.0,40.9,19.0,2.0,12.0,1.0,,8.0,8.0,31.0,7.0,,357.0,,6.0,9.0,10.0,2.0,25.0,1.0,2.0,216.0,9.0,2.0,14.0,67.0,36.0,3.0,2.0,4.0,17.0,,13.0,5.0,35.0,,2.0,15.0,7.0,,,2.0,3.0,2.0,,3.0,3.0,,1.0,2.0,3.0,1.0,4.0,,1.0,1.0,5.0,,,,,,,,2.0,,,,,2.0,,,,,,1.0,,,,,,,,,1.0,2.0,,3.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,
23,2367766,2024-02-03 15:00:00,"St. James' Park, Newcastle",52211,Away,Luton Town,Newcastle United,4,4,D,2,2,0,0,4.0,58.0,1.0,,2.0,18.0,34.0,1.0,1.0,10.0,2.0,2.0,126.0,3.0,15.0,4.0,2.0,8.0,,,8.0,85.0,130.0,58.0,11.0,1.0,10.0,4.0,1.0,1.0,,11.0,6.0,34.0,2.0,2.0,23.0,162.0,1.0,0.0,105.0,16.0,1.0,2.0,43.0,54.0,8.0,64.0,1.0,,9.0,23.0,1.0,2.0,,130.0,2.0,1.0,14.0,104.0,609.0,4.0,1.0,24.0,1.0,15.0,285.0,28.0,,4.0,19.0,2.0,7.0,,15.0,352.0,45.0,,96784,5.0,147.0,,5.0,,175.0,15.0,3.0,,12.0,10.0,61.0,,5.0,17.0,5.0,8.0,,1.0,51.0,306.0,13.0,9.0,2.0,28.0,1.0,49.0,1.0,1.0,0.0,1.0,8.0,2.0,4.0,4.0,0.0,2.0,1.0,3.0,45.8,10.0,,3.0,1.0,1.0,5.0,3.0,25.0,2.0,,379.0,,15.0,15.0,15.0,,20.0,1.0,,215.0,7.0,1.0,16.0,76.0,20.0,2.0,2.0,19.0,14.0,3.0,7.0,4.0,26.0,,2.0,12.0,2.0,1.0,,1.0,1.0,,,2.0,2.0,,1.0,2.0,1.0,,1.0,,2.0,,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,2.0,,,,1.0,,2.0,,1.0,,,,,,,1.0,,,1.0,,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,
24,2367772,2024-02-10 15:00:00,"Kenilworth Road, Luton",11138,Home,Luton Town,Sheffield United,1,3,L,0,2,0,0,1.0,47.0,,,3.0,24.0,22.0,7.0,6.0,13.0,,2.0,194.0,11.0,8.0,1.0,3.0,17.0,,,5.0,152.0,165.0,55.0,20.0,4.0,20.0,2.0,,,3.0,43.0,11.0,22.0,13.0,7.0,32.0,291.0,1.0,0.0,203.0,7.0,,,101.0,96.0,9.0,75.0,2.0,3.0,30.0,17.0,7.0,13.0,1.0,165.0,,1.0,6.0,142.0,782.0,9.0,5.0,37.0,1.0,7.0,460.0,24.0,,3.0,11.0,1.0,,8.0,25.0,544.0,85.0,,96784,7.0,199.0,,14.0,1.0,214.0,6.0,1.0,,5.0,7.0,53.0,2.0,1.0,17.0,1.0,7.0,2.0,1.0,54.0,479.0,10.0,4.0,8.0,15.0,6.0,70.0,,,0.0,2.0,1.0,,1.0,3.0,0.0,4.0,1.0,6.0,75.0,24.0,5.0,4.0,2.0,,2.0,7.0,49.0,13.0,1.0,563.0,1.0,7.0,19.0,14.0,8.0,58.0,7.0,7.0,392.0,8.0,6.0,20.0,150.0,17.0,1.0,,11.0,17.0,3.0,10.0,4.0,15.0,,,5.0,13.0,,2.0,1.0,,1.0,,,,2.0,2.0,,1.0,,1.0,,3.0,,1.0,3.0,1.0,,1.0,,,1.0,,,,,,2.0,,2.0,,,1.0,2.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,
25,2367782,2024-02-18 16:30:00,"Kenilworth Road, Luton",11483,Home,Luton Town,Manchester United,1,2,L,1,2,0,0,1.0,68.0,,4.0,4.0,20.0,12.0,9.0,10.0,13.0,6.0,1.0,175.0,8.0,18.0,1.0,5.0,18.0,1.0,,4.0,140.0,149.0,65.0,22.0,4.0,8.0,1.0,,2.0,3.0,35.0,4.0,12.0,8.0,7.0,27.0,261.0,,0.0,186.0,7.0,2.0,,71.0,78.0,9.0,82.0,,2.0,27.0,25.0,9.0,5.0,3.0,149.0,,,13.0,131.0,753.0,15.0,3.0,41.0,,8.0,419.0,35.0,3.0,5.0,7.0,3.0,7.0,9.0,12.0,504.0,48.0,1.0,96784,10.0,188.0,,18.0,,217.0,4.0,,3.0,9.0,4.0,40.0,4.0,7.0,14.0,8.0,4.0,1.0,,41.0,441.0,20.0,11.0,3.0,19.0,3.0,68.0,,,0.0,1.0,6.0,3.0,1.0,2.0,0.0,6.0,1.0,6.0,58.5,10.0,4.0,4.0,1.0,1.0,7.0,8.0,44.0,8.0,,528.0,,8.0,6.0,12.0,10.0,48.0,2.0,6.0,346.0,6.0,7.0,13.0,146.0,21.0,1.0,1.0,7.0,14.0,2.0,15.0,3.0,26.0,1.0,1.0,9.0,8.0,,,1.0,,,,,1.0,1.0,3.0,,2.0,1.0,1.0,,4.0,1.0,3.0,3.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,2.0,,,,,,1.0,1.0,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,
26,2367794,2024-02-21 19:30:00,"Anfield, Liverpool",59896,Away,Luton Town,Liverpool,1,4,L,1,0,0,0,1.0,47.0,,1.0,2.0,23.0,34.0,6.0,6.0,6.0,9.0,1.0,134.0,2.0,18.0,1.0,3.0,9.0,,,3.0,68.0,136.0,65.0,12.0,4.0,21.0,1.0,1.0,2.0,,13.0,12.0,34.0,4.0,7.0,20.0,96.0,,0.0,70.0,14.0,6.0,1.0,39.0,37.0,6.0,63.0,2.0,1.0,9.0,23.0,6.0,3.0,1.0,136.0,,,20.0,64.0,546.0,8.0,4.0,15.0,,5.0,219.0,25.0,,9.0,19.0,4.0,8.0,3.0,15.0,299.0,36.0,1.0,96784,2.0,148.0,,5.0,,184.0,12.0,,,8.0,9.0,70.0,3.0,2.0,9.0,9.0,7.0,,,61.0,242.0,14.0,14.0,1.0,36.0,,60.0,1.0,1.0,0.0,2.0,13.0,8.0,1.0,4.0,0.0,2.0,,1.0,39.2,12.0,,1.0,2.0,,2.0,6.0,22.0,4.0,,329.0,,5.0,13.0,10.0,3.0,18.0,,2.0,158.0,5.0,7.0,12.0,44.0,16.0,,2.0,19.0,22.0,4.0,10.0,4.0,26.0,,2.0,8.0,4.0,,,,,,,,1.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,
