gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,penaltySave,attGoalLowLeft,savedObox,accuratePullBack,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,divingSave,midfielderGoals,bigChanceCreated,goalAssist,totalKeeperSweeper,bigChanceMissed,penaltyConceded,totalPullBack,totalOffside,attMissHigh,punches,shieldBallOop,penaltyFaced,totalHighClaim,attFreekickMiss,accurateCornersIntobox,goalsConcededIbox,ptsDroppedWinningPos,handBall,attSvHighRight,attHdTarget,accurateFreekickCross,attCmissLeft,attBxLeft,attLfGoal,attGoalLowCentre,attCmissRight,shotFastbreak,goalFastbreak,totalFastbreak,goodHighClaim,attMissRight,subsGoals,attFastbreak,goalAssistIntentional,errorLeadToGoal,cleanSheet,attSvLowLeft,attOboxGoal,attCmissHigh,ownGoals,attCmissHighLeft,attIboxOwnGoal,penGoalsConceded,attLgCentre,attFreekickTarget,attIboxPost,attSvHighLeft,attPostLeft,attHdPost,attGoalHighLeft,attOneOnOne,attObxdLeft,goalAssistSetplay,defenderGoals,attHdGoal,goalAssistDeadball,attGoalHighCentre,contentiousDecision,attObpGoal,attGoalHighRight,penaltyWon,attPenGoal,attPenMiss,attFreekickPost
11,2367643,2023-11-04 15:00:00,"Etihad Stadium, Manchester",53358.0,Away,Bournemouth,Manchester City,1,6,L,0,3,0,0,,,1.0,39.0,,1.0,21.0,21.0,,1.0,5.0,2.0,,127.0,1.0,2.0,1.0,,4.0,1.0,101.0,82.0,20.0,,5.0,,4.0,,1.0,,2.0,5.0,6.0,,21.0,1.0,,38.0,80.0,,0.0,54.0,9.0,,,26.0,19.0,1.0,61.0,3.0,4.0,11.0,,,,,82.0,12.0,106.0,515.0,2.0,5.0,13.0,1.0,8.0,317.0,19.0,,1.0,8.0,1.0,6.0,3.0,6.0,371.0,19.0,1.0,,544877,4.0,260.0,4.0,,,287.0,2.0,1.0,3.0,9.0,27.0,4.0,7.0,1.0,14.0,9.0,8.0,42.0,339.0,8.0,9.0,1.0,9.0,1.0,29.0,,0.0,1.0,12.0,1.0,1.0,,1.0,6.0,2.0,0.0,,2.0,35.2,6.0,2.0,2.0,,7.0,1.0,,18.0,1.0,395.0,8.0,3.0,22.0,3.0,9.0,2.0,113.0,2.0,,3.0,37.0,9.0,,3.0,8.0,7.0,4.0,5.0,4.0,3.0,3.0,1.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,2.0,2.0,,1.0,,,1.0,,1.0,6.0,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12,2367648,2023-11-11 17:30:00,"Vitality Stadium, Bournemouth",11201.0,Home,Bournemouth,Newcastle United,2,0,W,0,0,0,0,,4.0,2.0,66.0,1.0,3.0,31.0,13.0,4.0,7.0,15.0,5.0,4.0,130.0,3.0,11.0,2.0,2.0,14.0,10.0,113.0,146.0,56.0,,19.0,,12.0,5.0,1.0,,4.0,17.0,18.0,3.0,13.0,5.0,4.0,49.0,157.0,,0.0,119.0,10.0,,2.0,74.0,48.0,9.0,70.0,,12.0,19.0,4.0,,3.0,1.0,146.0,4.0,109.0,619.0,13.0,5.0,27.0,1.0,9.0,324.0,22.0,,2.0,6.0,2.0,,5.0,26.0,407.0,59.0,,,69752,9.0,177.0,7.0,1.0,,195.0,8.0,2.0,8.0,5.0,52.0,1.0,3.0,1.0,14.0,4.0,2.0,72.0,331.0,4.0,7.0,1.0,15.0,3.0,78.0,2.0,0.0,1.0,5.0,2.0,2.0,,,,1.0,0.0,2.0,2.0,47.6,23.0,1.0,9.0,3.0,3.0,3.0,,41.0,6.0,422.0,9.0,8.0,19.0,6.0,27.0,4.0,244.0,10.0,4.0,14.0,77.0,26.0,2.0,1.0,6.0,27.0,16.0,4.0,26.0,1.0,8.0,6.0,,,3.0,1.0,1.0,,,3.0,,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,3.0,2.0,,,,6.0,,6.0,,1.0,,6.0,,,1.0,1.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
13,2367666,2023-11-25 15:00:00,"Bramall Lane, Sheffield",30208.0,Away,Bournemouth,Sheffield United,3,1,W,2,0,0,0,,7.0,3.0,69.0,,,45.0,19.0,6.0,15.0,16.0,1.0,1.0,177.0,5.0,11.0,3.0,1.0,18.0,11.0,120.0,188.0,64.0,,23.0,2.0,28.0,4.0,,1.0,5.0,16.0,11.0,4.0,19.0,7.0,,32.0,169.0,,0.0,97.0,8.0,,1.0,94.0,55.0,10.0,87.0,,9.0,20.0,7.0,,3.0,1.0,188.0,9.0,106.0,715.0,14.0,12.0,30.0,,5.0,359.0,26.0,,16.0,10.0,1.0,4.0,8.0,32.0,472.0,58.0,,,69752,10.0,207.0,5.0,,,253.0,4.0,1.0,10.0,6.0,67.0,,4.0,3.0,22.0,1.0,5.0,95.0,371.0,6.0,5.0,2.0,49.0,1.0,103.0,3.0,0.0,1.0,4.0,1.0,3.0,,,1.0,6.0,0.0,3.0,1.0,54.5,24.0,1.0,4.0,2.0,4.0,2.0,,56.0,7.0,490.0,5.0,20.0,16.0,10.0,26.0,9.0,253.0,6.0,,31.0,58.0,34.0,,1.0,10.0,16.0,22.0,4.0,17.0,1.0,10.0,7.0,,1.0,,,1.0,,2.0,1.0,3.0,2.0,2.0,,1.0,,,1.0,2.0,,2.0,,,,2.0,1.0,,,,,,3.0,1.0,2.0,1.0,3.0,4.0,,4.0,,3.0,,4.0,2.0,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
14,2367668,2023-12-03 14:00:00,"Vitality Stadium, Bournemouth",11191.0,Home,Bournemouth,Aston Villa,2,2,D,1,1,0,0,,3.0,2.0,64.0,,2.0,22.0,23.0,2.0,5.0,13.0,1.0,2.0,123.0,5.0,11.0,2.0,,13.0,7.0,64.0,134.0,63.0,,15.0,1.0,18.0,5.0,,1.0,3.0,16.0,19.0,,23.0,6.0,,26.0,120.0,,0.0,111.0,16.0,,,64.0,25.0,9.0,35.0,,10.0,19.0,2.0,,4.0,1.0,134.0,6.0,60.0,493.0,9.0,8.0,33.0,,8.0,186.0,24.0,1.0,7.0,10.0,5.0,5.0,4.0,17.0,259.0,51.0,2.0,,69752,6.0,87.0,6.0,,,110.0,6.0,2.0,12.0,3.0,65.0,3.0,1.0,2.0,10.0,5.0,2.0,56.0,202.0,12.0,8.0,2.0,32.0,5.0,54.0,1.0,0.0,,7.0,1.0,2.0,,,2.0,2.0,0.0,3.0,3.0,37.3,11.0,3.0,6.0,1.0,1.0,3.0,,25.0,7.0,282.0,8.0,15.0,18.0,5.0,27.0,4.0,188.0,7.0,,16.0,72.0,30.0,1.0,3.0,10.0,25.0,10.0,4.0,20.0,3.0,12.0,7.0,,2.0,,1.0,,,2.0,2.0,1.0,4.0,2.0,,2.0,,1.0,3.0,,2.0,,,2.0,,2.0,2.0,2.0,,,,,,4.0,,,,1.0,,1.0,2.0,1.0,,1.0,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
15,2367680,2023-12-06 19:30:00,"Selhurst Park, London",25078.0,Away,Bournemouth,Crystal Palace,2,0,W,1,0,0,0,,1.0,2.0,55.0,1.0,3.0,25.0,17.0,2.0,2.0,9.0,3.0,1.0,146.0,9.0,8.0,2.0,1.0,10.0,4.0,80.0,151.0,55.0,,11.0,,19.0,1.0,,,1.0,18.0,10.0,1.0,17.0,8.0,3.0,28.0,133.0,,0.0,119.0,17.0,,1.0,44.0,70.0,6.0,62.0,,10.0,12.0,2.0,,4.0,1.0,151.0,9.0,66.0,548.0,6.0,7.0,28.0,,9.0,244.0,20.0,,6.0,6.0,3.0,6.0,4.0,19.0,333.0,58.0,1.0,,69752,3.0,133.0,5.0,,,155.0,17.0,,7.0,9.0,68.0,2.0,6.0,1.0,16.0,7.0,6.0,77.0,257.0,9.0,11.0,2.0,44.0,5.0,73.0,2.0,0.0,2.0,3.0,2.0,2.0,,,,1.0,0.0,5.0,6.0,40.9,15.0,2.0,6.0,,6.0,3.0,,25.0,9.0,354.0,9.0,9.0,16.0,4.0,29.0,3.0,217.0,3.0,3.0,20.0,72.0,22.0,,1.0,6.0,19.0,6.0,4.0,22.0,1.0,7.0,9.0,,1.0,1.0,,1.0,,1.0,1.0,,2.0,2.0,,,,,,1.0,,,,1.0,,4.0,,,1.0,,,1.0,,1.0,,,1.0,2.0,,2.0,,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,
16,2367694,2023-12-09 15:00:00,"Old Trafford, Manchester",73427.0,Away,Bournemouth,Manchester United,3,0,W,1,0,0,0,,,2.0,70.0,1.0,1.0,21.0,30.0,1.0,1.0,9.0,3.0,1.0,127.0,6.0,14.0,3.0,2.0,10.0,4.0,57.0,142.0,54.0,,10.0,,22.0,1.0,1.0,,1.0,12.0,9.0,,30.0,4.0,3.0,31.0,107.0,1.0,0.0,84.0,10.0,,2.0,25.0,53.0,5.0,43.0,2.0,8.0,22.0,1.0,,1.0,1.0,142.0,15.0,69.0,527.0,5.0,9.0,21.0,1.0,14.0,201.0,26.0,,4.0,11.0,1.0,12.0,5.0,17.0,275.0,50.0,,,69752,6.0,107.0,5.0,,,139.0,10.0,1.0,11.0,7.0,65.0,,1.0,2.0,16.0,5.0,4.0,61.0,208.0,7.0,12.0,2.0,20.0,3.0,60.0,,0.0,2.0,10.0,2.0,3.0,,,,3.0,0.0,3.0,3.0,31.0,13.0,2.0,5.0,,2.0,1.0,,28.0,4.0,296.0,14.0,5.0,18.0,5.0,21.0,3.0,169.0,5.0,3.0,14.0,49.0,28.0,1.0,3.0,11.0,19.0,7.0,4.0,32.0,3.0,11.0,4.0,,1.0,1.0,,1.0,,2.0,,,3.0,3.0,,1.0,,,2.0,1.0,1.0,,,4.0,,3.0,,,1.0,,,,1.0,1.0,,,,3.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
17,2367698,2024-03-13 19:30:00,"Vitality Stadium, Bournemouth",11198.0,Home,Bournemouth,Luton Town,4,3,W,0,3,0,0,,2.0,3.0,56.0,1.0,6.0,31.0,18.0,6.0,11.0,18.0,1.0,3.0,167.0,7.0,20.0,4.0,1.0,22.0,10.0,104.0,156.0,71.0,,24.0,2.0,26.0,4.0,,3.0,,32.0,12.0,2.0,18.0,11.0,5.0,32.0,203.0,1.0,0.0,170.0,16.0,3.0,1.0,68.0,74.0,16.0,71.0,,21.0,26.0,6.0,,7.0,2.0,156.0,8.0,96.0,677.0,17.0,3.0,41.0,,5.0,334.0,23.0,1.0,7.0,9.0,1.0,1.0,6.0,28.0,419.0,76.0,,,69752,8.0,152.0,13.0,1.0,,174.0,14.0,2.0,13.0,2.0,62.0,1.0,5.0,2.0,21.0,,1.0,75.0,348.0,10.0,3.0,2.0,33.0,7.0,73.0,,0.0,,3.0,1.0,4.0,,,3.0,2.0,0.0,5.0,5.0,59.1,26.0,2.0,6.0,,5.0,8.0,,37.0,11.0,438.0,5.0,7.0,16.0,6.0,45.0,4.0,296.0,8.0,5.0,25.0,120.0,19.0,1.0,,9.0,17.0,17.0,5.0,30.0,,13.0,11.0,,2.0,,,4.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,,,1.0,1.0,2.0,1.0,,2.0,,2.0,3.0,,,,1.0,,,2.0,1.0,,1.0,3.0,,3.0,2.0,3.0,,3.0,2.0,,,3.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,
18,2367714,2023-12-23 15:00:00,"The City Ground, Nottingham",29188.0,Away,Bournemouth,Nottingham Forest,3,2,W,0,0,0,1,,2.0,1.0,62.0,,2.0,38.0,24.0,5.0,10.0,13.0,2.0,1.0,158.0,12.0,8.0,3.0,2.0,14.0,7.0,149.0,154.0,49.0,1.0,18.0,2.0,28.0,3.0,1.0,2.0,2.0,31.0,7.0,1.0,24.0,5.0,5.0,43.0,275.0,,0.0,195.0,10.0,3.0,1.0,85.0,89.0,7.0,84.0,,26.0,20.0,5.0,1.0,13.0,2.0,154.0,10.0,132.0,755.0,10.0,5.0,39.0,1.0,10.0,420.0,28.0,,5.0,7.0,3.0,6.0,7.0,20.0,508.0,76.0,,,69752,11.0,171.0,12.0,,,194.0,8.0,1.0,10.0,1.0,75.0,,4.0,2.0,16.0,1.0,1.0,66.0,434.0,9.0,11.0,2.0,26.0,3.0,58.0,2.0,0.0,1.0,6.0,3.0,3.0,,,2.0,1.0,0.0,10.0,6.0,66.9,17.0,3.0,6.0,,4.0,4.0,1.0,37.0,6.0,523.0,10.0,10.0,29.0,7.0,42.0,4.0,360.0,2.0,4.0,17.0,146.0,22.0,3.0,4.0,7.0,15.0,14.0,5.0,24.0,4.0,10.0,6.0,,1.0,,,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,2.0,,,,3.0,2.0,1.0,,,,2.0,2.0,,,,1.0,1.0,2.0,,,,,1.0,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,2.0,,1.0,,,1.0,,,,
19,2367718,2023-12-26 15:00:00,"Vitality Stadium, Bournemouth",11099.0,Home,Bournemouth,Fulham,3,0,W,1,0,0,0,,1.0,2.0,67.0,2.0,5.0,23.0,23.0,6.0,8.0,10.0,3.0,,153.0,1.0,13.0,3.0,1.0,10.0,4.0,90.0,134.0,51.0,,16.0,3.0,12.0,1.0,,1.0,1.0,13.0,9.0,,23.0,5.0,4.0,34.0,133.0,,0.0,100.0,10.0,,,47.0,61.0,8.0,68.0,,8.0,12.0,6.0,,2.0,2.0,134.0,4.0,92.0,604.0,8.0,6.0,24.0,,10.0,315.0,23.0,1.0,2.0,11.0,0.0,4.0,2.0,20.0,386.0,47.0,1.0,,69752,2.0,195.0,6.0,2.0,,217.0,10.0,3.0,7.0,5.0,52.0,2.0,9.0,2.0,17.0,4.0,3.0,50.0,327.0,9.0,14.0,,11.0,3.0,66.0,,0.0,4.0,5.0,1.0,2.0,,,,2.0,0.0,1.0,1.0,42.5,14.0,,5.0,,9.0,8.0,,37.0,6.0,403.0,10.0,9.0,17.0,4.0,23.0,2.0,199.0,7.0,4.0,16.0,68.0,26.0,1.0,3.0,11.0,13.0,12.0,3.0,20.0,3.0,7.0,6.0,,,2.0,,5.0,,2.0,,1.0,2.0,2.0,,1.0,,,3.0,,,3.0,,2.0,,,,,,,,,,2.0,,1.0,1.0,,,,2.0,2.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
20,2367735,2023-12-31 14:00:00,"Tottenham Hotspur Stadium, London",61780.0,Away,Bournemouth,Tottenham Hotspur,1,3,L,0,1,0,0,,,,59.0,1.0,6.0,40.0,15.0,8.0,9.0,16.0,3.0,1.0,135.0,12.0,8.0,1.0,2.0,17.0,4.0,106.0,135.0,57.0,1.0,24.0,5.0,9.0,2.0,,2.0,2.0,29.0,10.0,1.0,15.0,12.0,4.0,37.0,209.0,1.0,0.0,138.0,18.0,,2.0,81.0,44.0,9.0,70.0,2.0,17.0,17.0,8.0,1.0,8.0,2.0,135.0,10.0,96.0,643.0,11.0,9.0,41.0,1.0,13.0,328.0,24.0,1.0,7.0,7.0,2.0,2.0,8.0,24.0,387.0,64.0,1.0,,69752,11.0,147.0,7.0,1.0,1.0,160.0,18.0,,7.0,5.0,58.0,3.0,4.0,1.0,24.0,2.0,3.0,62.0,344.0,9.0,8.0,5.0,15.0,5.0,57.0,1.0,0.0,3.0,4.0,2.0,1.0,,,3.0,3.0,0.0,7.0,7.0,49.2,22.0,5.0,8.0,,4.0,11.0,,38.0,13.0,407.0,13.0,11.0,21.0,9.0,44.0,7.0,276.0,8.0,4.0,21.0,104.0,23.0,,,7.0,19.0,17.0,5.0,20.0,,7.0,13.0,,,1.0,,,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,,3.0,3.0,1.0,1.0,1.0,,,,5.0,3.0,,,,2.0,1.0,,2.0,1.0,,,1.0,,1.0,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2367738,2024-01-21 16:30:00,"Vitality Stadium, Bournemouth",11228.0,Home,Bournemouth,Liverpool,0,4,L,0,0,0,0,,1.0,,63.0,,3.0,26.0,20.0,6.0,4.0,5.0,3.0,,135.0,3.0,18.0,,2.0,9.0,1.0,76.0,177.0,67.0,,11.0,3.0,22.0,,,,1.0,18.0,19.0,1.0,20.0,6.0,3.0,33.0,120.0,1.0,0.0,122.0,9.0,,2.0,50.0,44.0,6.0,46.0,2.0,12.0,20.0,6.0,,3.0,2.0,177.0,8.0,71.0,576.0,9.0,3.0,31.0,,14.0,215.0,26.0,1.0,4.0,7.0,1.0,3.0,3.0,26.0,301.0,64.0,1.0,,69752,4.0,118.0,7.0,,1.0,147.0,9.0,,6.0,10.0,71.0,1.0,6.0,,25.0,6.0,5.0,63.0,235.0,12.0,8.0,,19.0,1.0,57.0,,0.0,2.0,5.0,1.0,,,,4.0,1.0,0.0,3.0,1.0,39.2,17.0,1.0,8.0,,6.0,6.0,,25.0,8.0,328.0,14.0,15.0,13.0,4.0,31.0,2.0,199.0,6.0,3.0,10.0,76.0,23.0,,,7.0,27.0,9.0,5.0,35.0,,6.0,8.0,,,2.0,,,2.0,,1.0,,2.0,,2.0,2.0,,,1.0,,,,,,,,4.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2367754,2024-02-01 19:30:00,"London Stadium, London",62451.0,Away,Bournemouth,West Ham United,1,1,D,1,0,0,0,,2.0,1.0,71.0,,2.0,20.0,19.0,2.0,4.0,7.0,2.0,1.0,179.0,3.0,7.0,1.0,,8.0,4.0,112.0,176.0,58.0,,9.0,,24.0,3.0,,,1.0,13.0,14.0,,19.0,4.0,3.0,34.0,196.0,,0.0,144.0,11.0,,1.0,87.0,69.0,5.0,84.0,,9.0,27.0,2.0,,1.0,2.0,176.0,7.0,107.0,700.0,8.0,11.0,31.0,,7.0,353.0,25.0,,7.0,14.0,3.0,3.0,3.0,31.0,457.0,66.0,1.0,,69752,4.0,177.0,7.0,,1.0,210.0,10.0,1.0,13.0,8.0,74.0,1.0,4.0,1.0,13.0,2.0,6.0,71.0,370.0,12.0,12.0,,34.0,,65.0,1.0,0.0,4.0,1.0,1.0,1.0,,,1.0,3.0,0.0,2.0,,51.2,24.0,,7.0,2.0,4.0,2.0,,24.0,5.0,482.0,7.0,16.0,14.0,3.0,21.0,1.0,285.0,5.0,3.0,19.0,101.0,32.0,1.0,3.0,14.0,21.0,8.0,4.0,18.0,3.0,13.0,5.0,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,3.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
23,2367758,2024-02-04 14:00:00,"Vitality Stadium, Bournemouth",11200.0,Home,Bournemouth,Nottingham Forest,1,1,D,1,1,1,0,1.0,,1.0,57.0,1.0,2.0,18.0,13.0,5.0,3.0,4.0,5.0,,116.0,4.0,10.0,1.0,3.0,6.0,2.0,77.0,173.0,52.0,1.0,9.0,5.0,23.0,1.0,,,,23.0,10.0,,13.0,10.0,7.0,43.0,119.0,,0.0,139.0,19.0,,4.0,68.0,46.0,6.0,61.0,1.0,13.0,27.0,5.0,1.0,2.0,,173.0,3.0,76.0,551.0,3.0,4.0,23.0,,13.0,215.0,16.0,,2.0,10.0,3.0,,,28.0,312.0,60.0,,,69752,,114.0,7.0,1.0,,130.0,18.0,1.0,11.0,4.0,77.0,,7.0,,16.0,5.0,2.0,63.0,229.0,12.0,5.0,2.0,23.0,3.0,65.0,1.0,0.0,1.0,6.0,3.0,1.0,,,1.0,1.0,1.0,2.0,2.0,44.4,24.0,,9.0,,7.0,7.0,,24.0,11.0,330.0,13.0,12.0,16.0,,31.0,,223.0,4.0,4.0,15.0,72.0,22.0,,2.0,10.0,15.0,5.0,5.0,29.0,2.0,11.0,11.0,,,2.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,3.0,,2.0,,2.0,1.0,,1.0,,,,,,,1.0,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
24,2367770,2024-02-10 15:00:00,"Craven Cottage, London",24271.0,Away,Bournemouth,Fulham,1,3,L,0,2,0,0,,1.0,1.0,69.0,,10.0,21.0,20.0,8.0,6.0,17.0,4.0,2.0,168.0,6.0,7.0,1.0,3.0,17.0,4.0,112.0,167.0,64.0,1.0,25.0,2.0,26.0,1.0,,,2.0,29.0,10.0,2.0,20.0,13.0,4.0,51.0,188.0,1.0,0.0,173.0,11.0,,1.0,64.0,38.0,11.0,68.0,1.0,16.0,16.0,8.0,1.0,6.0,4.0,167.0,5.0,100.0,669.0,13.0,10.0,58.0,,7.0,337.0,32.0,2.0,5.0,8.0,2.0,,6.0,20.0,430.0,68.0,1.0,,69752,9.0,169.0,9.0,2.0,3.0,191.0,10.0,1.0,12.0,4.0,63.0,3.0,7.0,,21.0,2.0,2.0,55.0,351.0,11.0,9.0,3.0,19.0,7.0,72.0,1.0,0.0,1.0,1.0,2.0,1.0,,,3.0,5.0,0.0,3.0,3.0,50.8,18.0,1.0,6.0,,7.0,12.0,,40.0,13.0,448.0,7.0,6.0,29.0,9.0,55.0,5.0,286.0,16.0,3.0,30.0,119.0,24.0,,,8.0,17.0,14.0,5.0,21.0,,12.0,14.0,,1.0,1.0,,,,,3.0,,3.0,1.0,,2.0,,1.0,3.0,2.0,,1.0,,,,3.0,3.0,,1.0,,,,2.0,5.0,,,,,,,,2.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,
25,2367784,2024-02-17 15:00:00,"St. James' Park, Newcastle",52224.0,Away,Bournemouth,Newcastle United,2,2,D,0,0,0,0,,3.0,1.0,66.0,,,26.0,23.0,6.0,5.0,6.0,4.0,2.0,138.0,3.0,5.0,2.0,2.0,9.0,7.0,44.0,153.0,52.0,,12.0,1.0,19.0,2.0,,1.0,1.0,19.0,12.0,3.0,23.0,1.0,,26.0,105.0,,0.0,91.0,23.0,,2.0,41.0,37.0,6.0,41.0,3.0,18.0,18.0,6.0,,5.0,2.0,153.0,10.0,52.0,456.0,8.0,8.0,21.0,,9.0,164.0,17.0,,4.0,9.0,3.0,2.0,3.0,14.0,244.0,68.0,,,69752,2.0,76.0,11.0,,,102.0,19.0,2.0,7.0,15.0,68.0,1.0,4.0,2.0,15.0,7.0,7.0,70.0,178.0,8.0,12.0,,24.0,1.0,69.0,4.0,0.0,1.0,4.0,,2.0,,,2.0,3.0,0.0,3.0,,37.4,9.0,,9.0,,4.0,1.0,,29.0,2.0,275.0,9.0,7.0,11.0,4.0,22.0,2.0,192.0,7.0,,17.0,50.0,29.0,1.0,2.0,9.0,22.0,11.0,3.0,14.0,2.0,7.0,2.0,,,3.0,,1.0,,1.0,,1.0,2.0,1.0,,2.0,1.0,2.0,3.0,2.0,,,1.0,,,,2.0,2.0,2.0,,,,,2.0,,2.0,,3.0,1.0,4.0,,1.0,,3.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,2367788,2024-02-24 17:30:00,"Vitality Stadium, Bournemouth",11184.0,Home,Bournemouth,Manchester City,0,1,L,0,1,0,0,,2.0,,61.0,,2.0,25.0,26.0,5.0,7.0,8.0,5.0,1.0,143.0,2.0,6.0,,1.0,9.0,4.0,70.0,123.0,47.0,,13.0,2.0,13.0,1.0,,,1.0,13.0,12.0,3.0,26.0,3.0,2.0,37.0,124.0,,0.0,115.0,14.0,,1.0,55.0,42.0,6.0,61.0,2.0,10.0,19.0,5.0,,3.0,,123.0,10.0,77.0,544.0,8.0,13.0,24.0,,11.0,264.0,24.0,,10.0,10.0,2.0,6.0,3.0,16.0,337.0,58.0,,,69752,5.0,151.0,6.0,1.0,,172.0,14.0,,11.0,7.0,53.0,1.0,5.0,,17.0,5.0,5.0,61.0,273.0,6.0,14.0,1.0,22.0,3.0,56.0,1.0,0.0,1.0,8.0,4.0,,,,1.0,5.0,0.0,1.0,2.0,37.9,15.0,1.0,1.0,1.0,5.0,4.0,,22.0,3.0,351.0,11.0,3.0,15.0,5.0,26.0,5.0,192.0,4.0,2.0,12.0,75.0,29.0,,,10.0,23.0,9.0,5.0,15.0,,11.0,3.0,,,1.0,,,,,3.0,,,,,1.0,,,3.0,,3.0,,,1.0,,1.0,1.0,,,,1.0,,1.0,2.0,,,,,,,,4.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
