gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attFreekickTotal,postScoringAtt,attIboxPost,attOboxTarget,attOneOnOne,attSvLowLeft,goodHighClaim,freekickTotal,attPostLeft,attHdTarget,hitWoodwork,accurateThroughBall,accurateFreekickCross,attSetpiece,ownGoals,goalsConceded,attSvHighCentre,attFreekickMiss,attIboxOwnGoal,goalsConcededIbox,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,penaltyWon,ptsGainedLosingPos,midfielderGoals,attRfGoal,attPenGoal,attCmissLeft,shieldBallOop,shotFastbreak,goalFastbreak,attMissHighRight,totalFastbreak,contentiousDecision,attFastbreak,punches,ptsDroppedWinningPos,attOboxGoal,subsGoals,attFreekickTarget,attSvHighLeft,errorLeadToShot,attCmissHighRight,attCmissRight,attGoalHighRight,attFreekickPost,penaltyConceded,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,clearanceOffLine,attGoalHighCentre,attGoalHighLeft,forwardGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attLfGoal,attPenTarget,attCmissHighLeft,secondYellow,errorLeadToGoal,goalsConcededObox,attObxdLeft,goalAssistDeadball,attObxRight,attSvHighRight,attLgCentre,attObpGoal
11,2367641,2023-11-04 12:30:00,"Craven Cottage, London",24415.0,Away,Manchester United,Fulham,1,0,W,0,0,0,0,,1.0,,59.0,1.0,1.0,29.0,27.0,6.0,4.0,6.0,2.0,3.0,164.0,,4.0,7.0,1.0,3.0,8.0,5.0,103.0,141.0,49.0,12.0,1.0,19.0,2.0,1.0,,1.0,,,14.0,9.0,27.0,3.0,7.0,49.0,161.0,1.0,0.0,130.0,15.0,2.0,1.0,54.0,47.0,6.0,77.0,1.0,2.0,11.0,22.0,6.0,3.0,3.0,141.0,,9.0,110.0,645.0,7.0,3.0,35.0,6.0,344.0,21.0,1.0,3.0,15.0,1.0,,2.0,8.0,2.0,14.0,435.0,62.0,95658,3.0,200.0,,7.0,,227.0,10.0,,13.0,10.0,58.0,,,,2.0,2.0,1.0,14.0,9.0,5.0,,64.0,357.0,9.0,10.0,,11.0,3.0,74.0,3.0,0.0,,9.0,2.0,1.0,1.0,0.0,4.0,,,55.0,10.0,,4.0,1.0,2.0,2.0,37.0,4.0,,454.0,6.0,7.0,22.0,5.0,21.0,,2.0,241.0,8.0,5.0,20.0,80.0,30.0,2.0,15.0,13.0,,8.0,4.0,14.0,2.0,13.0,4.0,,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,2.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,2367655,2023-11-11 15:00:00,"Old Trafford, Manchester",73599.0,Home,Manchester United,Luton Town,1,0,W,0,0,0,0,,1.0,,54.0,3.0,2.0,27.0,12.0,4.0,3.0,11.0,4.0,1.0,163.0,,7.0,5.0,1.0,3.0,10.0,4.0,152.0,136.0,43.0,15.0,1.0,9.0,3.0,1.0,1.0,,2.0,1.0,34.0,10.0,12.0,10.0,5.0,38.0,322.0,1.0,0.0,220.0,9.0,3.0,1.0,152.0,61.0,5.0,87.0,,,24.0,16.0,4.0,11.0,3.0,136.0,3.0,4.0,174.0,764.0,9.0,4.0,37.0,3.0,488.0,22.0,3.0,1.0,6.0,,1.0,0.0,4.0,5.0,21.0,559.0,90.0,95658,5.0,186.0,4.0,12.0,1.0,201.0,4.0,1.0,4.0,4.0,38.0,,1.0,1.0,1.0,3.0,,18.0,6.0,3.0,4.0,49.0,501.0,9.0,7.0,1.0,7.0,3.0,58.0,1.0,0.0,,3.0,1.0,1.0,3.0,0.0,6.0,,3.0,64.5,20.0,2.0,5.0,2.0,3.0,3.0,35.0,11.0,,576.0,3.0,5.0,20.0,8.0,46.0,1.0,5.0,409.0,9.0,5.0,13.0,184.0,21.0,3.0,6.0,17.0,,10.0,4.0,14.0,3.0,4.0,11.0,,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13,2367660,2023-11-26 16:30:00,"Goodison Park, Liverpool",39257.0,Away,Manchester United,Everton,3,0,W,1,0,0,0,,1.0,2.0,56.0,1.0,,28.0,36.0,2.0,2.0,7.0,6.0,,178.0,,4.0,6.0,3.0,4.0,8.0,4.0,105.0,146.0,59.0,9.0,,17.0,1.0,,,2.0,1.0,,13.0,9.0,36.0,3.0,13.0,43.0,115.0,1.0,0.0,92.0,8.0,3.0,2.0,47.0,56.0,3.0,62.0,2.0,2.0,11.0,12.0,2.0,3.0,2.0,146.0,2.0,14.0,99.0,644.0,5.0,5.0,17.0,11.0,319.0,29.0,,4.0,22.0,2.0,,0.0,6.0,5.0,16.0,417.0,40.0,95658,5.0,227.0,1.0,6.0,,275.0,5.0,1.0,7.0,14.0,42.0,,2.0,,2.0,6.0,2.0,13.0,10.0,9.0,2.0,71.0,338.0,10.0,2.0,1.0,23.0,3.0,60.0,,0.0,,6.0,5.0,3.0,,0.0,4.0,2.0,1.0,49.4,15.0,1.0,6.0,1.0,6.0,,31.0,5.0,2.0,444.0,11.0,6.0,17.0,5.0,18.0,1.0,3.0,182.0,6.0,13.0,22.0,63.0,11.0,4.0,22.0,21.0,,5.0,4.0,15.0,4.0,7.0,5.0,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
14,2367675,2023-12-02 20:00:00,"St. James' Park, Newcastle",52214.0,Away,Manchester United,Newcastle United,0,1,L,0,0,0,0,,1.0,,59.0,1.0,2.0,14.0,28.0,4.0,4.0,4.0,3.0,,134.0,,1.0,5.0,,2.0,4.0,1.0,83.0,139.0,36.0,8.0,3.0,20.0,1.0,,,,,,14.0,9.0,28.0,3.0,4.0,24.0,141.0,,0.0,94.0,14.0,1.0,3.0,40.0,53.0,2.0,62.0,2.0,,11.0,21.0,4.0,1.0,1.0,139.0,,13.0,87.0,545.0,3.0,3.0,12.0,7.0,270.0,33.0,1.0,3.0,9.0,,,2.0,6.0,2.0,20.0,349.0,31.0,95658,3.0,137.0,,7.0,2.0,176.0,5.0,,11.0,11.0,62.0,,1.0,,1.0,7.0,,10.0,9.0,3.0,1.0,51.0,277.0,6.0,11.0,1.0,25.0,3.0,47.0,,0.0,1.0,7.0,2.0,,2.0,0.0,1.0,,1.0,41.7,12.0,1.0,3.0,1.0,7.0,5.0,14.0,3.0,1.0,366.0,7.0,8.0,13.0,2.0,19.0,,1.0,204.0,3.0,3.0,10.0,74.0,13.0,2.0,9.0,15.0,,3.0,4.0,14.0,2.0,11.0,3.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,0.1989,2.0817,0.329117,0.4836,,,,,,,,,,,,
15,2367687,2023-12-06 20:15:00,"Old Trafford, Manchester",73607.0,Home,Manchester United,Chelsea,2,1,W,1,1,0,0,,3.0,1.0,53.0,1.0,4.0,16.0,9.0,8.0,13.0,20.0,2.0,2.0,121.0,,6.0,9.0,2.0,2.0,21.0,9.0,105.0,114.0,42.0,28.0,4.0,9.0,6.0,,,1.0,4.0,1.0,30.0,13.0,9.0,8.0,5.0,26.0,181.0,,0.0,126.0,12.0,,,91.0,42.0,12.0,66.0,,6.0,22.0,25.0,8.0,4.0,3.0,114.0,3.0,10.0,105.0,598.0,18.0,3.0,41.0,6.0,320.0,15.0,1.0,1.0,5.0,1.0,,4.0,3.0,9.0,15.0,371.0,38.0,95658,10.0,164.0,4.0,18.0,2.0,178.0,11.0,3.0,11.0,8.0,42.0,,1.0,,3.0,2.0,2.0,14.0,3.0,4.0,2.0,38.0,339.0,12.0,9.0,2.0,10.0,4.0,46.0,,0.0,2.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0,4.0,44.8,14.0,1.0,7.0,5.0,2.0,8.0,27.0,12.0,,397.0,6.0,2.0,13.0,11.0,33.0,3.0,8.0,249.0,11.0,5.0,5.0,98.0,27.0,1.0,5.0,16.0,1.0,21.0,3.0,19.0,1.0,11.0,12.0,2.0,1.0,,,1.0,,3.0,,1.0,,2.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,,1.0,,2.0,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,3.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
16,2367694,2023-12-09 15:00:00,"Old Trafford, Manchester",73427.0,Home,Manchester United,Bournemouth,0,3,L,0,1,0,0,,1.0,,55.0,,8.0,40.0,12.0,5.0,4.0,15.0,1.0,,225.0,,5.0,12.0,,,15.0,3.0,148.0,161.0,65.0,20.0,4.0,14.0,2.0,2.0,,,,2.0,27.0,15.0,12.0,8.0,12.0,36.0,293.0,,0.0,241.0,7.0,,,112.0,82.0,11.0,124.0,1.0,3.0,19.0,24.0,5.0,4.0,,161.0,,9.0,163.0,863.0,12.0,7.0,47.0,7.0,538.0,20.0,,6.0,4.0,,,3.0,1.0,4.0,21.0,636.0,81.0,95658,10.0,273.0,,15.0,1.0,301.0,7.0,2.0,11.0,6.0,54.0,,1.0,,1.0,4.0,,17.0,1.0,6.0,,62.0,561.0,9.0,14.0,3.0,17.0,3.0,70.0,,0.0,3.0,4.0,1.0,,1.0,0.0,2.0,,4.0,69.0,21.0,1.0,6.0,1.0,4.0,12.0,49.0,10.0,1.0,660.0,7.0,11.0,21.0,5.0,46.0,3.0,5.0,386.0,12.0,12.0,22.0,186.0,25.0,,4.0,23.0,,16.0,4.0,20.0,,11.0,10.0,,,,,1.0,,1.0,1.0,,,2.0,,1.0,,1.0,,3.0,2.0,,,3.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2367703,2023-12-17 16:30:00,"Anfield, Liverpool",57158.0,Away,Manchester United,Liverpool,0,0,D,0,0,1,0,,,,50.0,3.0,1.0,28.0,45.0,2.0,1.0,4.0,8.0,1.0,132.0,,,4.0,,1.0,4.0,1.0,62.0,136.0,49.0,6.0,,11.0,1.0,1.0,1.0,,1.0,,3.0,10.0,45.0,,6.0,37.0,68.0,1.0,0.0,51.0,8.0,3.0,,25.0,44.0,2.0,41.0,2.0,2.0,3.0,19.0,2.0,1.0,2.0,136.0,1.0,19.0,58.0,512.0,4.0,5.0,13.0,7.0,181.0,30.0,,2.0,22.0,,1.0,4.0,13.0,2.0,19.0,255.0,32.0,90152,2.0,141.0,1.0,2.0,,173.0,7.0,,11.0,19.0,51.0,,2.0,,2.0,4.0,,15.0,15.0,15.0,,63.0,209.0,13.0,8.0,,21.0,,60.0,,0.0,,12.0,5.0,,,1.0,,,,31.7,11.0,,1.0,,4.0,1.0,29.0,,1.0,293.0,7.0,15.0,20.0,4.0,9.0,,2.0,123.0,5.0,5.0,15.0,29.0,10.0,3.0,22.0,17.0,,6.0,3.0,13.0,3.0,11.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
18,2367716,2023-12-23 12:30:00,"London Stadium, London",64472.0,Away,Manchester United,West Ham United,0,2,L,0,0,0,0,1.0,1.0,,42.0,,2.0,20.0,21.0,4.0,4.0,7.0,3.0,2.0,183.0,,3.0,4.0,,2.0,7.0,3.0,153.0,142.0,52.0,11.0,,10.0,1.0,,,,,1.0,19.0,11.0,21.0,3.0,19.0,35.0,242.0,,0.0,142.0,15.0,2.0,1.0,70.0,68.0,2.0,111.0,,2.0,16.0,18.0,4.0,3.0,2.0,142.0,1.0,10.0,179.0,806.0,6.0,2.0,31.0,3.0,517.0,16.0,1.0,3.0,12.0,,,3.0,3.0,5.0,28.0,603.0,59.0,80607,6.0,297.0,1.0,12.0,,323.0,8.0,1.0,7.0,6.0,52.0,,1.0,,1.0,2.0,,15.0,2.0,5.0,1.0,42.0,536.0,12.0,9.0,1.0,14.0,3.0,74.0,,0.0,1.0,4.0,3.0,,2.0,0.0,2.0,,1.0,65.5,28.0,1.0,5.0,,2.0,2.0,47.0,4.0,,626.0,3.0,8.0,14.0,6.0,30.0,1.0,4.0,322.0,6.0,18.0,18.0,104.0,19.0,1.0,12.0,20.0,,8.0,4.0,15.0,1.0,7.0,4.0,,,,,2.0,,2.0,,,,,,1.0,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
19,2367725,2023-12-26 20:00:00,"Old Trafford, Manchester",73574.0,Home,Manchester United,Aston Villa,3,2,W,0,2,0,0,,,1.0,63.0,,1.0,20.0,26.0,5.0,4.0,8.0,1.0,4.0,145.0,1.0,2.0,4.0,3.0,2.0,9.0,7.0,86.0,131.0,50.0,13.0,2.0,14.0,2.0,1.0,,1.0,2.0,3.0,16.0,16.0,26.0,3.0,6.0,25.0,146.0,,0.0,126.0,10.0,1.0,1.0,81.0,31.0,6.0,66.0,2.0,,13.0,20.0,5.0,5.0,1.0,131.0,1.0,7.0,96.0,588.0,8.0,4.0,19.0,20.0,301.0,23.0,,5.0,9.0,1.0,,1.0,5.0,3.0,18.0,378.0,57.0,90152,4.0,169.0,,7.0,1.0,189.0,10.0,,8.0,3.0,49.0,,10.0,,9.0,1.0,2.0,9.0,3.0,2.0,,53.0,313.0,10.0,11.0,,25.0,1.0,51.0,1.0,0.0,1.0,6.0,2.0,3.0,,0.0,2.0,1.0,,45.7,14.0,,7.0,2.0,1.0,3.0,28.0,3.0,1.0,393.0,20.0,5.0,11.0,3.0,22.0,,2.0,220.0,9.0,6.0,15.0,79.0,29.0,3.0,9.0,21.0,,11.0,5.0,13.0,3.0,8.0,3.0,,1.0,,,2.0,,1.0,1.0,1.0,,,,2.0,,,,2.0,,,,1.0,2.0,,,,3.0,2.0,1.0,,1.0,,2.0,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,2.0,,,,,1.0,,,,,,
20,2367734,2023-12-30 17:30:00,"The City Ground, Nottingham",29529.0,Away,Manchester United,Nottingham Forest,1,2,L,0,0,0,0,,2.0,,48.0,,1.0,23.0,23.0,4.0,2.0,6.0,,2.0,170.0,,4.0,11.0,1.0,,10.0,5.0,121.0,147.0,42.0,10.0,2.0,10.0,2.0,1.0,,1.0,1.0,,17.0,8.0,23.0,5.0,8.0,39.0,227.0,,0.0,179.0,11.0,,,59.0,97.0,8.0,68.0,,1.0,14.0,23.0,4.0,4.0,,147.0,,4.0,130.0,683.0,7.0,3.0,28.0,8.0,373.0,22.0,,3.0,11.0,1.0,,4.0,3.0,2.0,30.0,466.0,64.0,90152,5.0,172.0,,10.0,,208.0,11.0,,7.0,8.0,51.0,1.0,1.0,,2.0,1.0,1.0,12.0,4.0,8.0,1.0,47.0,395.0,9.0,4.0,2.0,19.0,3.0,58.0,2.0,0.0,,4.0,,1.0,,0.0,3.0,1.0,,54.8,30.0,,8.0,,1.0,3.0,40.0,5.0,,489.0,8.0,16.0,19.0,2.0,30.0,3.0,2.0,298.0,8.0,7.0,9.0,132.0,17.0,1.0,11.0,14.0,,7.0,3.0,21.0,1.0,7.0,5.0,,,,,2.0,,,,,,,1.0,,,,,2.0,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
21,2367745,2024-01-14 16:30:00,"Old Trafford, Manchester",73489.0,Home,Manchester United,Tottenham Hotspur,2,2,D,2,1,0,0,,,,62.0,1.0,2.0,21.0,27.0,2.0,1.0,6.0,3.0,,100.0,,5.0,15.0,2.0,1.0,6.0,2.0,73.0,132.0,48.0,9.0,1.0,9.0,,,,1.0,,1.0,20.0,15.0,27.0,8.0,1.0,30.0,106.0,,0.0,91.0,8.0,2.0,,41.0,33.0,3.0,50.0,,1.0,12.0,23.0,3.0,5.0,2.0,132.0,1.0,12.0,90.0,526.0,2.0,1.0,29.0,9.0,223.0,24.0,,1.0,12.0,1.0,,2.0,5.0,3.0,20.0,298.0,47.0,90152,4.0,136.0,1.0,7.0,2.0,164.0,8.0,1.0,7.0,5.0,44.0,1.0,1.0,,3.0,9.0,2.0,11.0,4.0,5.0,2.0,49.0,237.0,5.0,6.0,3.0,15.0,4.0,41.0,,0.0,1.0,13.0,3.0,2.0,,0.0,1.0,1.0,3.0,36.3,16.0,1.0,6.0,1.0,9.0,3.0,23.0,8.0,2.0,313.0,9.0,10.0,14.0,4.0,30.0,4.0,2.0,169.0,5.0,1.0,7.0,52.0,21.0,5.0,12.0,21.0,,4.0,3.0,27.0,5.0,7.0,8.0,,1.0,,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,,,,2.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,
22,2367755,2024-02-01 20:15:00,"Molineux Stadium, Wolverhampton",31641.0,Away,Manchester United,Wolverhampton Wanderers,4,3,W,2,0,0,0,1.0,2.0,2.0,53.0,2.0,3.0,21.0,20.0,8.0,6.0,12.0,3.0,1.0,146.0,,5.0,10.0,4.0,4.0,13.0,8.0,108.0,109.0,45.0,21.0,3.0,11.0,3.0,1.0,,2.0,2.0,2.0,12.0,12.0,20.0,2.0,8.0,21.0,168.0,,0.0,109.0,10.0,,2.0,53.0,48.0,9.0,80.0,2.0,2.0,10.0,18.0,9.0,3.0,4.0,109.0,4.0,12.0,120.0,654.0,9.0,3.0,38.0,13.0,370.0,22.0,1.0,3.0,10.0,3.0,,5.0,5.0,4.0,19.0,433.0,33.0,95658,5.0,223.0,3.0,5.0,,241.0,10.0,2.0,10.0,8.0,58.0,1.0,,,2.0,4.0,3.0,5.0,4.0,4.0,2.0,39.0,386.0,9.0,13.0,1.0,11.0,4.0,52.0,2.0,0.0,,4.0,2.0,3.0,2.0,0.0,4.0,2.0,3.0,46.9,17.0,1.0,5.0,3.0,4.0,6.0,31.0,5.0,3.0,454.0,13.0,13.0,11.0,7.0,19.0,1.0,3.0,225.0,12.0,7.0,6.0,80.0,19.0,1.0,10.0,20.0,1.0,13.0,5.0,22.0,1.0,10.0,5.0,1.0,2.0,,,1.0,,,3.0,2.0,,1.0,,,1.0,2.0,,3.0,,1.0,,3.0,,2.0,1.0,,,2.0,3.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,2.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,
23,2367765,2024-02-04 14:00:00,"Old Trafford, Manchester",73612.0,Home,Manchester United,West Ham United,3,0,W,1,0,0,0,,,1.0,52.0,1.0,1.0,28.0,22.0,5.0,2.0,7.0,4.0,2.0,161.0,1.0,2.0,9.0,3.0,1.0,11.0,5.0,147.0,112.0,44.0,12.0,1.0,8.0,,2.0,,3.0,1.0,2.0,9.0,10.0,22.0,1.0,1.0,43.0,214.0,1.0,0.0,143.0,10.0,2.0,,112.0,38.0,7.0,94.0,,1.0,8.0,17.0,5.0,3.0,2.0,112.0,1.0,13.0,126.0,687.0,8.0,7.0,30.0,5.0,435.0,22.0,,1.0,15.0,3.0,,0.0,7.0,4.0,13.0,507.0,51.0,95658,3.0,240.0,,5.0,,258.0,9.0,,9.0,10.0,48.0,1.0,,,1.0,2.0,3.0,9.0,9.0,7.0,1.0,51.0,452.0,5.0,14.0,,10.0,3.0,62.0,,0.0,2.0,8.0,2.0,3.0,2.0,0.0,2.0,1.0,,51.1,13.0,,3.0,2.0,3.0,2.0,40.0,5.0,1.0,528.0,5.0,7.0,27.0,5.0,14.0,,3.0,279.0,10.0,1.0,12.0,108.0,23.0,5.0,15.0,18.0,,9.0,4.0,18.0,5.0,9.0,5.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,
24,2367768,2024-02-11 16:30:00,"Villa Park, Birmingham",,Away,Manchester United,Aston Villa,2,1,W,1,0,0,0,,1.0,2.0,57.0,3.0,6.0,16.0,28.0,4.0,5.0,13.0,8.0,2.0,133.0,1.0,8.0,6.0,2.0,2.0,17.0,5.0,96.0,108.0,55.0,17.0,1.0,6.0,2.0,,4.0,1.0,,1.0,16.0,14.0,28.0,7.0,1.0,30.0,111.0,,0.0,85.0,7.0,3.0,2.0,43.0,27.0,12.0,57.0,2.0,2.0,10.0,8.0,4.0,2.0,2.0,108.0,3.0,18.0,102.0,565.0,11.0,4.0,26.0,8.0,296.0,28.0,,1.0,14.0,2.0,4.0,2.0,8.0,5.0,7.0,363.0,38.0,95658,8.0,209.0,1.0,6.0,,236.0,6.0,,3.0,10.0,38.0,,2.0,,6.0,4.0,1.0,6.0,5.0,8.0,1.0,53.0,312.0,9.0,15.0,4.0,18.0,4.0,48.0,1.0,0.0,,10.0,6.0,2.0,1.0,0.0,3.0,2.0,5.0,44.1,5.0,2.0,1.0,2.0,4.0,7.0,19.0,8.0,,388.0,8.0,6.0,15.0,5.0,23.0,6.0,3.0,168.0,7.0,1.0,15.0,53.0,16.0,2.0,14.0,25.0,1.0,12.0,4.0,10.0,2.0,3.0,8.0,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,2.0,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,
25,2367782,2024-02-18 16:30:00,"Kenilworth Road, Luton",11483.0,Away,Manchester United,Luton Town,2,1,W,2,1,0,0,1.0,3.0,1.0,58.0,2.0,5.0,33.0,26.0,7.0,9.0,13.0,3.0,4.0,153.0,,1.0,11.0,2.0,1.0,15.0,9.0,84.0,127.0,40.0,21.0,2.0,13.0,3.0,3.0,,,5.0,2.0,12.0,7.0,26.0,5.0,5.0,29.0,139.0,,0.0,108.0,21.0,,,32.0,41.0,13.0,68.0,7.0,2.0,7.0,24.0,8.0,2.0,2.0,127.0,2.0,13.0,86.0,587.0,13.0,4.0,36.0,13.0,284.0,26.0,,11.0,18.0,1.0,,5.0,8.0,2.0,12.0,365.0,36.0,95658,8.0,161.0,3.0,5.0,,182.0,17.0,,14.0,10.0,65.0,,3.0,,1.0,2.0,1.0,8.0,9.0,7.0,1.0,71.0,299.0,7.0,18.0,1.0,30.0,3.0,67.0,1.0,0.0,,8.0,1.0,2.0,1.0,0.0,,,,41.5,11.0,,5.0,1.0,2.0,7.0,34.0,6.0,,391.0,13.0,6.0,13.0,5.0,24.0,1.0,3.0,221.0,11.0,2.0,8.0,71.0,17.0,2.0,18.0,14.0,,16.0,4.0,19.0,2.0,14.0,6.0,,2.0,,,4.0,,,,2.0,,,,2.0,,,,1.0,,1.0,,1.0,2.0,,1.0,,,,,,1.0,,5.0,,,5.0,,5.0,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,1.0,1.0
26,2367795,2024-02-24 15:00:00,"Old Trafford, Manchester",73487.0,Home,Manchester United,Fulham,1,2,L,0,0,0,0,,1.0,1.0,39.0,2.0,3.0,25.0,18.0,10.0,3.0,11.0,3.0,6.0,150.0,,2.0,10.0,1.0,2.0,18.0,9.0,143.0,124.0,43.0,21.0,3.0,11.0,4.0,1.0,1.0,,,2.0,14.0,9.0,18.0,6.0,10.0,34.0,265.0,,0.0,170.0,6.0,2.0,1.0,81.0,73.0,12.0,81.0,3.0,1.0,9.0,21.0,10.0,3.0,2.0,124.0,2.0,11.0,163.0,721.0,15.0,2.0,35.0,9.0,437.0,14.0,,2.0,12.0,,1.0,2.0,3.0,6.0,16.0,508.0,62.0,95658,3.0,201.0,2.0,5.0,,217.0,6.0,2.0,8.0,12.0,43.0,1.0,2.0,1.0,2.0,3.0,1.0,13.0,6.0,11.0,2.0,44.0,464.0,10.0,9.0,3.0,13.0,5.0,58.0,5.0,0.0,3.0,9.0,1.0,1.0,2.0,0.0,1.0,,3.0,56.8,13.0,1.0,3.0,3.0,3.0,6.0,44.0,10.0,1.0,537.0,9.0,8.0,21.0,6.0,29.0,2.0,3.0,334.0,15.0,9.0,9.0,125.0,19.0,1.0,12.0,14.0,,13.0,4.0,20.0,1.0,8.0,10.0,,,1.0,,4.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,3.0,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,
