gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,goals,attSvHighLeft,attMissHighLeft,goalAssist,accurateFreekickCross,errorLeadToShot,defenderGoals,attSvLowRight,attFreekickTarget,overrun,attIboxGoal,goalsConceded,goalAssistIntentional,attBxLeft,attHdGoal,goalsConcededIbox,errorLeadToGoal,bigChanceScored,attGoalLowRight,attLfGoal,attCmissRight,attBxRight,accurateKeeperSweeper,goodHighClaim,totalKeeperSweeper,sixYardBlock,goalsOpenplay,attGoalHighLeft,attCmissLeft,totalHighClaim,forwardGoals,penaltySave,penaltyConceded,punches,penaltyFaced,clearanceOffLine,goalAssistOpenplay,goalFastbreak,midfielderGoals,attGoalHighCentre,hitWoodwork,attRfGoal,attCorner,attSvHighCentre,ptsDroppedWinningPos,contentiousDecision,accuratePullBack,postScoringAtt,attIboxPost,attHdPost,accurateThroughBall,totalPullBack,attPostHigh,ownGoals,attIboxOwnGoal,foulThrowIn,attSvHighRight,attObpGoal,penGoalsConceded,ptsGainedLosingPos,attCmissHighLeft,attGoalLowCentre,attPostLeft,penaltyWon,attPenGoal,attOboxGoal,attObxdLeft,attCmissHighRight,attOboxPost,attPostRight
11,987700,2018-11-03 15:00:00,"London Stadium, London",56862,Away,Burnley,West Ham United,2,4,L,1,1,0,0,,,60.0,,34.0,34.0,2.0,2.0,4.0,5.0,,152.0,2.0,5.0,,5.0,3.0,55.0,152.0,60.0,,6.0,2.0,14.0,1.0,,1.0,,9.0,14.0,,34.0,4.0,2.0,35.0,1.0,99.0,,,0.0,93.0,9.0,3.0,,,,43.0,45.0,4.0,55.0,2.0,,5.0,16.0,2.0,,2.0,,152.0,2.0,13.0,50.0,495.0,2.0,11.0,6.0,1.0,7.0,186.0,32.0,9.0,16.0,4.0,7.0,1.0,24.0,288.0,54.0,90517,4.0,100.0,1.0,3.0,,128.0,4.0,16.0,8.0,50.0,,4.0,2.0,1.0,12.0,9.0,5.0,,85.0,197.0,7.0,13.0,1.0,45.0,86.0,,0.0,10.0,2.0,7.0,0.0,,,3.0,37.2,23.0,,2.0,1.0,2.0,36.0,4.0,312.0,7.0,,11.0,19.0,1.0,17.0,2.0,,193.0,1.0,1.0,29.0,43.0,22.0,1.0,16.0,19.0,4.0,3.0,8.0,1.0,12.0,4.0,,1.0,4.0,1.0,1.0,2.0,,,2.0,,1.0,,,,1.0,2.0,4.0,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12,987707,2018-11-10 15:00:00,"King Power Stadium, Leicester",32184,Away,Burnley,Leicester City,0,0,D,0,0,0,0,1.0,,56.0,,28.0,36.0,3.0,3.0,3.0,4.0,1.0,142.0,4.0,4.0,5.0,3.0,1.0,57.0,143.0,51.0,2.0,6.0,2.0,30.0,1.0,,,1.0,11.0,5.0,,36.0,1.0,5.0,33.0,,101.0,,1.0,0.0,101.0,10.0,2.0,,1.0,2.0,42.0,46.0,2.0,35.0,2.0,,10.0,14.0,3.0,2.0,3.0,1.0,143.0,,13.0,64.0,488.0,2.0,15.0,9.0,,7.0,178.0,18.0,11.0,19.0,0.0,9.0,1.0,28.0,272.0,62.0,90517,3.0,92.0,,5.0,,109.0,4.0,14.0,12.0,61.0,,1.0,2.0,,11.0,9.0,5.0,2.0,67.0,189.0,12.0,9.0,1.0,28.0,76.0,,0.0,12.0,3.0,6.0,0.0,3.0,1.0,1.0,37.0,27.0,1.0,6.0,,2.0,36.0,1.0,298.0,7.0,1.0,9.0,10.0,3.0,25.0,1.0,2.0,200.0,2.0,5.0,26.0,38.0,27.0,6.0,19.0,9.0,3.0,3.0,8.0,6.0,9.0,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,987714,2018-11-26 20:30:00,"Turf Moor, Burnley",20628,Home,Burnley,Newcastle United,1,2,L,1,2,0,0,,1.0,66.0,2.0,53.0,21.0,5.0,5.0,9.0,1.0,2.0,174.0,5.0,15.0,1.0,11.0,4.0,154.0,146.0,67.0,,14.0,,28.0,2.0,,2.0,2.0,27.0,8.0,1.0,21.0,5.0,8.0,63.0,,251.0,1.0,,0.0,138.0,6.0,1.0,,,2.0,82.0,71.0,6.0,95.0,1.0,2.0,22.0,11.0,5.0,,14.0,4.0,146.0,2.0,9.0,162.0,783.0,9.0,13.0,20.0,,8.0,476.0,34.0,12.0,13.0,0.0,7.0,5.0,24.0,566.0,81.0,90517,6.0,241.0,2.0,6.0,2.0,257.0,1.0,11.0,5.0,52.0,,,1.0,2.0,12.0,9.0,3.0,3.0,86.0,487.0,11.0,7.0,1.0,26.0,97.0,,0.0,5.0,1.0,4.0,0.0,5.0,,3.0,56.5,23.0,2.0,,2.0,2.0,68.0,5.0,585.0,8.0,,9.0,35.0,8.0,42.0,,4.0,355.0,6.0,7.0,26.0,79.0,29.0,2.0,13.0,15.0,11.0,2.0,18.0,2.0,5.0,5.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,1.0,2.0,1.0,,1.0,2.0,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
14,987725,2018-12-01 15:00:00,"Selhurst Park, London",25098,Away,Burnley,Crystal Palace,0,2,L,0,1,0,0,2.0,,57.0,2.0,41.0,33.0,,1.0,4.0,7.0,,147.0,5.0,3.0,,4.0,,64.0,136.0,53.0,,4.0,,20.0,,,,,23.0,9.0,,33.0,2.0,2.0,31.0,,148.0,1.0,,0.0,121.0,10.0,4.0,,,2.0,76.0,57.0,2.0,63.0,1.0,,21.0,20.0,,,9.0,,136.0,,17.0,83.0,563.0,2.0,12.0,9.0,,15.0,251.0,23.0,9.0,15.0,1.0,8.0,2.0,23.0,331.0,61.0,90517,3.0,125.0,,10.0,,151.0,6.0,20.0,13.0,50.0,,1.0,2.0,1.0,16.0,12.0,6.0,1.0,77.0,268.0,9.0,13.0,2.0,23.0,75.0,,0.0,10.0,5.0,4.0,0.0,3.0,,1.0,41.4,22.0,1.0,7.0,2.0,2.0,51.0,2.0,357.0,15.0,,8.0,17.0,2.0,29.0,2.0,2.0,229.0,1.0,2.0,24.0,75.0,18.0,,15.0,18.0,1.0,3.0,4.0,,12.0,2.0,2.0,,2.0,,,,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,987734,2018-12-05 19:45:00,"Turf Moor, Burnley",21741,Home,Burnley,Liverpool,1,3,L,0,0,0,0,,2.0,67.0,,19.0,22.0,5.0,3.0,5.0,8.0,1.0,115.0,2.0,9.0,,6.0,6.0,43.0,132.0,38.0,,10.0,1.0,29.0,3.0,,3.0,2.0,15.0,11.0,2.0,22.0,5.0,10.0,36.0,,92.0,,,0.0,97.0,10.0,3.0,,,1.0,43.0,33.0,4.0,38.0,3.0,,10.0,13.0,5.0,,3.0,2.0,132.0,,13.0,32.0,405.0,5.0,7.0,19.0,2.0,16.0,130.0,22.0,6.0,11.0,1.0,5.0,2.0,17.0,215.0,53.0,90517,2.0,46.0,1.0,6.0,,67.0,6.0,13.0,3.0,49.0,,,6.0,4.0,11.0,5.0,1.0,1.0,60.0,136.0,3.0,6.0,1.0,30.0,61.0,,0.0,9.0,6.0,1.0,0.0,1.0,1.0,2.0,25.8,14.0,,5.0,4.0,1.0,21.0,5.0,228.0,16.0,,4.0,16.0,3.0,20.0,1.0,1.0,176.0,5.0,7.0,13.0,53.0,24.0,2.0,11.0,13.0,5.0,3.0,10.0,2.0,8.0,5.0,1.0,,3.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,3.0,,,,2.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
16,987744,2018-12-08 15:00:00,"Turf Moor, Burnley",18497,Home,Burnley,Brighton and Hove Albion,1,0,W,1,0,0,0,1.0,1.0,49.0,3.0,23.0,21.0,4.0,2.0,10.0,1.0,1.0,147.0,5.0,2.0,2.0,9.0,4.0,62.0,158.0,55.0,1.0,14.0,3.0,30.0,2.0,,1.0,,15.0,6.0,1.0,21.0,2.0,2.0,32.0,,114.0,,1.0,0.0,106.0,11.0,,,,1.0,44.0,40.0,6.0,33.0,3.0,3.0,13.0,14.0,4.0,1.0,5.0,,158.0,1.0,8.0,65.0,491.0,6.0,20.0,19.0,1.0,11.0,189.0,13.0,6.0,9.0,2.0,1.0,3.0,25.0,278.0,73.0,90517,6.0,91.0,1.0,7.0,4.0,106.0,8.0,14.0,11.0,61.0,,,2.0,2.0,16.0,6.0,3.0,1.0,74.0,200.0,11.0,10.0,2.0,28.0,94.0,,0.0,7.0,1.0,6.0,0.0,4.0,1.0,3.0,37.4,14.0,2.0,2.0,2.0,6.0,43.0,2.0,307.0,11.0,,5.0,14.0,4.0,26.0,1.0,4.0,216.0,8.0,1.0,30.0,45.0,23.0,2.0,9.0,12.0,7.0,2.0,8.0,2.0,10.0,2.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,2.0,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
17,987759,2018-12-15 15:00:00,"Wembley Stadium, London",41645,Away,Burnley,Tottenham Hotspur,0,1,L,0,0,0,0,,,53.0,2.0,33.0,34.0,1.0,,3.0,2.0,,137.0,3.0,2.0,,4.0,,42.0,136.0,58.0,,4.0,,20.0,,1.0,,1.0,12.0,11.0,,34.0,3.0,6.0,32.0,,90.0,,,0.0,93.0,8.0,2.0,1.0,,,36.0,46.0,2.0,27.0,5.0,,9.0,20.0,1.0,,2.0,1.0,136.0,1.0,10.0,58.0,437.0,4.0,15.0,9.0,,11.0,143.0,29.0,9.0,19.0,2.0,6.0,2.0,17.0,232.0,56.0,90517,2.0,75.0,1.0,7.0,1.0,98.0,7.0,20.0,16.0,40.0,,1.0,1.0,,14.0,5.0,7.0,1.0,82.0,162.0,6.0,5.0,,31.0,67.0,1.0,0.0,8.0,2.0,4.0,0.0,2.0,,1.0,29.7,15.0,1.0,3.0,,2.0,26.0,3.0,264.0,11.0,,2.0,12.0,2.0,23.0,1.0,1.0,178.0,3.0,5.0,27.0,47.0,15.0,5.0,19.0,23.0,3.0,3.0,7.0,5.0,8.0,3.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,987763,2018-12-22 12:30:00,"Emirates Stadium, London",59493,Away,Burnley,Arsenal,1,3,L,0,1,0,0,,,59.0,1.0,34.0,12.0,2.0,2.0,5.0,3.0,1.0,147.0,3.0,7.0,1.0,4.0,2.0,72.0,130.0,56.0,,7.0,1.0,17.0,1.0,1.0,,1.0,13.0,10.0,,12.0,3.0,4.0,43.0,1.0,154.0,1.0,,0.0,107.0,14.0,2.0,1.0,1.0,1.0,67.0,42.0,3.0,57.0,4.0,1.0,10.0,14.0,2.0,,4.0,1.0,130.0,2.0,9.0,81.0,515.0,3.0,8.0,17.0,,13.0,256.0,24.0,11.0,4.0,5.0,4.0,1.0,14.0,335.0,56.0,83314,3.0,120.0,1.0,5.0,1.0,139.0,8.0,4.0,5.0,56.0,,2.0,4.0,3.0,9.0,2.0,4.0,,67.0,271.0,9.0,8.0,,26.0,75.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,1.0,,39.9,13.0,,5.0,3.0,2.0,50.0,3.0,357.0,13.0,,11.0,20.0,3.0,27.0,,2.0,231.0,5.0,3.0,23.0,65.0,22.0,,4.0,17.0,6.0,3.0,13.0,,4.0,3.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,3.0,1.0,3.0,,2.0,,3.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,987773,2018-12-26 15:00:00,"Turf Moor, Burnley",21484,Home,Burnley,Everton,1,5,L,1,3,0,0,2.0,,57.0,,30.0,20.0,4.0,3.0,7.0,2.0,1.0,170.0,5.0,2.0,4.0,6.0,4.0,94.0,172.0,70.0,1.0,11.0,1.0,53.0,2.0,,1.0,,18.0,10.0,1.0,20.0,5.0,8.0,64.0,,132.0,,,0.0,146.0,11.0,1.0,,,3.0,45.0,61.0,2.0,64.0,,2.0,13.0,17.0,4.0,1.0,2.0,2.0,172.0,1.0,8.0,73.0,579.0,3.0,8.0,16.0,2.0,2.0,257.0,16.0,10.0,12.0,2.0,4.0,4.0,23.0,372.0,79.0,83314,2.0,146.0,1.0,8.0,3.0,163.0,4.0,17.0,5.0,83.0,1.0,,2.0,1.0,17.0,5.0,5.0,4.0,82.0,273.0,17.0,12.0,3.0,28.0,84.0,,0.0,7.0,1.0,1.0,0.0,4.0,,4.0,49.0,22.0,2.0,1.0,1.0,1.0,38.0,5.0,401.0,2.0,1.0,7.0,19.0,6.0,37.0,1.0,4.0,256.0,4.0,7.0,38.0,60.0,37.0,1.0,12.0,17.0,3.0,3.0,5.0,1.0,8.0,5.0,2.0,,,,,1.0,,,,2.0,2.0,1.0,2.0,,1.0,1.0,5.0,,1.0,,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
20,987783,2018-12-30 14:15:00,"Turf Moor, Burnley",20933,Home,Burnley,West Ham United,2,0,W,2,0,0,0,,,60.0,2.0,37.0,33.0,3.0,8.0,14.0,4.0,2.0,140.0,10.0,5.0,1.0,14.0,5.0,67.0,139.0,61.0,,17.0,1.0,27.0,3.0,2.0,1.0,4.0,19.0,13.0,,33.0,5.0,6.0,31.0,1.0,154.0,,1.0,0.0,109.0,15.0,,2.0,1.0,1.0,63.0,37.0,6.0,68.0,3.0,3.0,14.0,24.0,3.0,,7.0,2.0,139.0,5.0,8.0,63.0,559.0,10.0,8.0,36.0,1.0,12.0,238.0,15.0,18.0,14.0,1.0,5.0,8.0,25.0,317.0,54.0,83314,8.0,104.0,4.0,6.0,2.0,119.0,7.0,24.0,5.0,66.0,1.0,2.0,4.0,1.0,14.0,3.0,2.0,2.0,75.0,248.0,11.0,9.0,2.0,37.0,82.0,2.0,0.0,5.0,3.0,3.0,0.0,7.0,,3.0,43.0,19.0,2.0,2.0,1.0,3.0,39.0,5.0,338.0,12.0,,7.0,11.0,9.0,36.0,3.0,7.0,238.0,6.0,5.0,26.0,68.0,36.0,2.0,14.0,21.0,14.0,1.0,14.0,2.0,14.0,5.0,,2.0,1.0,,,2.0,,,2.0,,,,1.0,,,2.0,,2.0,1.0,,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,2.0,,1.0,,,1.0,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
21,987797,2019-01-02 19:45:00,"Accu Stadium, Huddersfield",23715,Away,Burnley,Huddersfield Town,2,1,W,1,1,1,1,1.0,4.0,71.0,1.0,35.0,31.0,5.0,8.0,11.0,2.0,1.0,199.0,6.0,10.0,3.0,12.0,8.0,83.0,160.0,62.0,1.0,16.0,,42.0,5.0,2.0,3.0,1.0,19.0,6.0,1.0,31.0,1.0,12.0,32.0,1.0,212.0,1.0,,0.0,153.0,9.0,,2.0,1.0,2.0,93.0,59.0,6.0,93.0,1.0,2.0,18.0,14.0,5.0,1.0,7.0,4.0,160.0,5.0,6.0,108.0,698.0,8.0,10.0,21.0,1.0,14.0,366.0,28.0,11.0,21.0,4.0,4.0,6.0,29.0,465.0,74.0,90517,6.0,169.0,3.0,9.0,4.0,192.0,4.0,14.0,6.0,72.0,,4.0,2.0,2.0,15.0,3.0,2.0,2.0,78.0,375.0,11.0,5.0,2.0,41.0,86.0,2.0,0.0,5.0,,6.0,1.0,5.0,,2.0,57.1,25.0,1.0,6.0,2.0,1.0,44.0,2.0,483.0,14.0,,15.0,14.0,7.0,26.0,1.0,3.0,310.0,5.0,11.0,34.0,106.0,33.0,2.0,21.0,10.0,10.0,3.0,13.0,2.0,7.0,2.0,,,1.0,,,2.0,,1.0,2.0,1.0,,,2.0,1.0,,2.0,1.0,2.0,2.0,,1.0,,2.0,1.0,1.0,2.0,,1.0,,1.0,,2.0,,,,2.0,,,,,,2.0,,,1.0,,1.0,,,,,,,,,2.0,1.0,,,,,,,,3.0,1.0,,,,,,,,,
22,987803,2019-01-12 15:00:00,"Turf Moor, Burnley",19316,Home,Burnley,Fulham,2,1,W,2,1,0,0,,,75.0,2.0,35.0,28.0,6.0,5.0,5.0,2.0,,180.0,4.0,5.0,1.0,8.0,1.0,83.0,179.0,66.0,,11.0,3.0,31.0,,1.0,,1.0,12.0,15.0,,28.0,2.0,7.0,41.0,,156.0,,,0.0,120.0,5.0,1.0,1.0,,,72.0,60.0,5.0,64.0,2.0,2.0,10.0,17.0,6.0,,5.0,3.0,179.0,1.0,9.0,92.0,609.0,6.0,13.0,17.0,,13.0,270.0,35.0,18.0,16.0,1.0,4.0,3.0,25.0,398.0,65.0,83314,1.0,130.0,1.0,5.0,,162.0,1.0,17.0,7.0,52.0,,,2.0,1.0,16.0,3.0,2.0,,94.0,282.0,9.0,7.0,1.0,53.0,99.0,1.0,0.0,6.0,1.0,2.0,0.0,2.0,,1.0,41.8,19.0,,2.0,1.0,5.0,44.0,2.0,419.0,13.0,,8.0,12.0,5.0,24.0,2.0,1.0,269.0,4.0,6.0,30.0,59.0,32.0,4.0,16.0,22.0,10.0,1.0,7.0,4.0,5.0,2.0,,,2.0,,,2.0,,1.0,1.0,,,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,3.0,,1.0,1.0,,,,,,,
23,987820,2019-01-19 15:00:00,"Vicarage Road, Watford",19510,Away,Burnley,Watford,0,0,D,0,0,0,0,,1.0,71.0,2.0,30.0,18.0,3.0,7.0,9.0,4.0,1.0,172.0,7.0,5.0,5.0,8.0,3.0,56.0,183.0,69.0,1.0,12.0,,39.0,2.0,,2.0,4.0,25.0,5.0,1.0,18.0,7.0,10.0,39.0,1.0,120.0,1.0,1.0,0.0,127.0,9.0,3.0,,,,48.0,42.0,4.0,37.0,,1.0,18.0,6.0,3.0,1.0,10.0,2.0,183.0,3.0,6.0,65.0,517.0,7.0,10.0,20.0,1.0,9.0,199.0,26.0,15.0,9.0,2.0,3.0,4.0,23.0,310.0,68.0,83314,6.0,97.0,4.0,8.0,,126.0,4.0,6.0,6.0,65.0,,2.0,8.0,1.0,15.0,3.0,2.0,1.0,80.0,210.0,13.0,3.0,1.0,43.0,81.0,,0.0,1.0,3.0,3.0,0.0,5.0,,2.0,45.2,20.0,1.0,4.0,1.0,2.0,30.0,7.0,330.0,9.0,1.0,8.0,16.0,7.0,41.0,2.0,5.0,229.0,2.0,6.0,41.0,66.0,35.0,2.0,9.0,12.0,8.0,,14.0,2.0,3.0,7.0,,,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,987826,2019-01-29 20:00:00,"Old Trafford, Manchester",74529,Away,Burnley,Manchester United,2,2,D,0,0,0,0,1.0,1.0,46.0,1.0,22.0,54.0,3.0,3.0,3.0,7.0,1.0,113.0,2.0,3.0,1.0,6.0,4.0,40.0,119.0,50.0,,6.0,1.0,19.0,,,,,7.0,5.0,2.0,54.0,2.0,4.0,22.0,,68.0,,,0.0,75.0,9.0,5.0,,,,32.0,34.0,6.0,39.0,2.0,,5.0,12.0,3.0,,3.0,,119.0,2.0,15.0,36.0,428.0,3.0,7.0,8.0,,12.0,126.0,19.0,9.0,33.0,3.0,8.0,,18.0,196.0,50.0,83314,2.0,74.0,,2.0,,92.0,3.0,12.0,12.0,36.0,,,4.0,1.0,12.0,13.0,6.0,,72.0,140.0,10.0,6.0,1.0,34.0,72.0,,0.0,11.0,3.0,1.0,0.0,1.0,,1.0,25.6,13.0,,5.0,1.0,2.0,29.0,3.0,228.0,12.0,,3.0,4.0,,17.0,1.0,,143.0,1.0,3.0,25.0,29.0,12.0,5.0,33.0,13.0,5.0,1.0,3.0,5.0,6.0,3.0,,1.0,4.0,,,2.0,,,2.0,,1.0,,1.0,,2.0,2.0,2.0,2.0,,1.0,2.0,,2.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
25,987833,2019-02-02 15:00:00,"Turf Moor, Burnley",19787,Home,Burnley,Southampton,1,1,D,0,0,0,0,,1.0,85.0,5.0,38.0,11.0,1.0,4.0,14.0,3.0,,203.0,8.0,16.0,2.0,11.0,6.0,92.0,210.0,77.0,,15.0,1.0,35.0,5.0,,3.0,1.0,28.0,3.0,,11.0,4.0,6.0,59.0,,196.0,,,0.0,142.0,10.0,2.0,,,1.0,91.0,63.0,8.0,73.0,1.0,,24.0,25.0,1.0,,12.0,,210.0,,6.0,89.0,665.0,9.0,10.0,28.0,4.0,3.0,305.0,33.0,13.0,2.0,3.0,3.0,3.0,34.0,439.0,78.0,90517,9.0,127.0,1.0,11.0,1.0,159.0,5.0,25.0,8.0,69.0,,1.0,2.0,5.0,17.0,4.0,4.0,1.0,92.0,315.0,8.0,9.0,2.0,43.0,100.0,,0.0,2.0,3.0,4.0,0.0,5.0,1.0,5.0,54.2,28.0,1.0,4.0,6.0,6.0,48.0,4.0,457.0,3.0,,10.0,20.0,3.0,48.0,3.0,2.0,326.0,6.0,5.0,43.0,75.0,36.0,1.0,2.0,11.0,10.0,3.0,23.0,1.0,7.0,4.0,1.0,,,,,1.0,,,,,,,,,5.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,,,
26,987842,2019-02-09 17:30:00,"American Express Stadium, Falmer",29323,Away,Burnley,Brighton and Hove Albion,3,1,W,1,0,0,0,,1.0,53.0,,20.0,53.0,3.0,2.0,6.0,5.0,1.0,140.0,2.0,2.0,3.0,5.0,5.0,37.0,143.0,51.0,,9.0,2.0,43.0,1.0,,,,8.0,5.0,1.0,53.0,3.0,1.0,31.0,1.0,78.0,,,0.0,75.0,7.0,4.0,,,1.0,62.0,24.0,4.0,29.0,1.0,1.0,5.0,13.0,3.0,,,,143.0,1.0,13.0,47.0,453.0,2.0,4.0,13.0,,6.0,139.0,23.0,5.0,26.0,1.0,7.0,1.0,25.0,231.0,50.0,83314,3.0,73.0,1.0,4.0,1.0,98.0,3.0,13.0,11.0,67.0,,2.0,,1.0,11.0,3.0,3.0,,78.0,149.0,8.0,6.0,1.0,35.0,87.0,,0.0,9.0,5.0,2.0,0.0,,1.0,2.0,31.8,16.0,1.0,1.0,1.0,2.0,28.0,3.0,253.0,6.0,,7.0,15.0,2.0,16.0,2.0,1.0,163.0,5.0,,30.0,35.0,26.0,4.0,26.0,11.0,6.0,,6.0,4.0,5.0,3.0,,1.0,,,,3.0,,,2.0,,,,2.0,,2.0,3.0,1.0,2.0,1.0,,1.0,,2.0,1.0,,,1.0,,,,,2.0,,,,3.0,,,2.0,,1.0,2.0,,,1.0,2.0,3.0,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,
