gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,penaltySave,savedObox,goals,attCmissRight,attBxRight,attSvLowCentre,attGoalHighRight,attMissHighRight,cleanSheet,attMissRight,penaltyConceded,attRfGoal,goalsOpenplay,attIboxGoal,penaltyFaced,forwardGoals,attGoalLowLeft,attLfGoal,postScoringAtt,goalAssistOpenplay,attMissLeft,attIboxPost,midfielderGoals,attHdPost,hitWoodwork,goalAssist,errorLeadToShot,totalOffside,attPostHigh,attSvHighCentre,attCmissLeft,shieldBallOop,handBall,attSvHighRight,attHdTarget,attGoalLowCentre,penaltyWon,defenderGoals,attPenGoal,attGoalHighLeft,goalAssistIntentional,attHdGoal,errorLeadToGoal,goalsConcededObox,attSvLowLeft,attPostLeft,penGoalsConceded,goalFastbreak,attPostRight,attGoalLowRight,accuratePullBack,attOboxGoal,ptsDroppedWinningPos,attGoalHighCentre,attLgCentre,ptsGainedLosingPos,goalAssistSetplay,goalAssistDeadball,attCmissHighLeft,attFreekickPost,attOboxPost,fwdPass,attObxLeft,attCmissHighRight,secondYellow,attObxdRight,attFreekickGoal,attObxRight,attObxdLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,attObpGoal,expectedGoals
11,284103,2009-10-31 15:00:00,"Turf Moor, Burnley",20219.0,Home,Burnley,Hull City,2,0,W,1,0,0,1,,39.0,,18.0,37.0,5.0,2.0,7.0,3.0,2.0,4.0,3.0,8.0,9.0,4.0,185.0,48.0,2.0,13.0,3.0,16.0,1.0,,1.0,29.0,14.0,1.0,26.0,5.0,17.0,31.0,185.0,0.0,166.0,13.0,2.0,,,3.0,3.0,72.0,88.0,5.0,,24.0,6.0,2.0,6.0,1.0,174.0,2.0,617.0,5.0,10.0,30.0,13.0,275.0,7.0,1.0,4.0,16.0,1.0,1.0,4.0,4.0,34.0,378.0,89.0,1.0,,7545,2.0,104.0,15.0,,,123.0,1.0,5.0,57.0,,,3.0,4.0,6.0,1.0,1.0,64.0,285.0,14.0,7.0,3.0,32.0,4.0,93.0,,1.0,2.0,0.0,,1.0,1.0,,5.0,0.0,1.0,2.0,,59.3,24.0,2.0,2.0,1.0,4.0,3.0,,39.0,8.0,3.0,402.0,13.0,,9.0,14.0,6.0,43.0,3.0,5.0,308.0,9.0,13.0,14.0,102.0,18.0,,,10.0,17.0,,6.0,3.0,15.0,,8.0,,2.0,2.0,,1.0,1.0,,,1.0,,,2.0,1.0,1.0,,,1.0,,,1.0,4.0,,,,,1.0,,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,284115,2009-11-07 15:00:00,"Etihad Stadium, Manchester",47205.0,Away,Burnley,Manchester City,3,3,D,2,1,0,0,,52.0,,24.0,34.0,2.0,5.0,6.0,4.0,,5.0,4.0,3.0,7.0,4.0,178.0,38.0,,8.0,1.0,15.0,1.0,,1.0,15.0,9.0,,21.0,3.0,23.0,29.0,167.0,0.0,142.0,11.0,2.0,,,2.0,,48.0,87.0,4.0,1.0,12.0,2.0,,4.0,1.0,165.0,12.0,587.0,2.0,6.0,13.0,22.0,262.0,17.0,,11.0,16.0,1.0,3.0,4.0,3.0,11.0,360.0,103.0,,2.0,7545,4.0,111.0,6.0,,2.0,134.0,,13.0,60.0,,,1.0,1.0,5.0,4.0,,81.0,273.0,12.0,7.0,3.0,40.0,1.0,108.0,,,1.0,0.0,,8.0,3.0,3.0,1.0,0.0,4.0,1.0,,46.7,7.0,,,,1.0,1.0,,49.0,3.0,,396.0,22.0,,19.0,16.0,3.0,25.0,1.0,2.0,277.0,2.0,17.0,8.0,72.0,20.0,6.0,,10.0,14.0,3.0,4.0,3.0,12.0,6.0,3.0,,1.0,3.0,1.0,,1.0,1.0,,,3.0,,2.0,2.0,3.0,,1.0,1.0,1.0,,2.0,,,,,,2.0,1.0,1.0,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
13,284122,2009-11-21 15:00:00,"Turf Moor, Burnley",21178.0,Home,Burnley,Aston Villa,1,1,D,1,0,0,0,2.0,48.0,1.0,16.0,46.0,8.0,3.0,4.0,1.0,1.0,7.0,7.0,2.0,9.0,4.0,177.0,47.0,1.0,12.0,1.0,14.0,,1.0,,18.0,12.0,3.0,29.0,4.0,10.0,14.0,139.0,0.0,114.0,7.0,1.0,1.0,,1.0,,75.0,54.0,4.0,,14.0,8.0,1.0,4.0,4.0,160.0,5.0,553.0,7.0,7.0,8.0,17.0,198.0,14.0,1.0,8.0,15.0,1.0,0.0,5.0,5.0,35.0,295.0,72.0,,1.0,7545,3.0,77.0,9.0,,1.0,100.0,,10.0,46.0,2.0,,2.0,1.0,6.0,2.0,3.0,55.0,209.0,13.0,2.0,1.0,31.0,1.0,86.0,1.0,1.0,2.0,0.0,,8.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,47.4,28.0,2.0,2.0,1.0,1.0,2.0,,31.0,5.0,,324.0,16.0,1.0,13.0,3.0,6.0,23.0,3.0,2.0,242.0,6.0,8.0,10.0,55.0,24.0,1.0,,10.0,17.0,1.0,8.0,3.0,18.0,1.0,6.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14,284137,2009-11-28 15:00:00,"Boleyn Ground, London",34003.0,Away,Burnley,West Ham United,3,5,L,0,3,1,0,1.0,62.0,1.0,39.0,29.0,4.0,3.0,12.0,2.0,1.0,6.0,8.0,3.0,13.0,6.0,181.0,58.0,1.0,16.0,2.0,13.0,2.0,,1.0,27.0,16.0,1.0,21.0,6.0,12.0,20.0,199.0,0.0,175.0,16.0,,,1.0,2.0,,55.0,80.0,8.0,1.0,21.0,4.0,1.0,6.0,,172.0,8.0,634.0,6.0,14.0,25.0,11.0,310.0,26.0,2.0,12.0,13.0,1.0,1.0,1.0,5.0,32.0,404.0,111.0,1.0,,7545,7.0,123.0,13.0,,,137.0,1.0,6.0,72.0,,,3.0,1.0,4.0,2.0,1.0,79.0,316.0,9.0,6.0,4.0,42.0,3.0,92.0,,,,0.0,,1.0,1.0,5.0,5.0,1.0,3.0,4.0,,58.4,27.0,3.0,2.0,1.0,2.0,3.0,,47.0,6.0,,422.0,11.0,,25.0,15.0,7.0,36.0,3.0,6.0,312.0,9.0,11.0,23.0,108.0,24.0,1.0,,11.0,18.0,5.0,11.0,3.0,20.0,2.0,7.0,,1.0,3.0,2.0,2.0,1.0,,,,3.0,2.0,2.0,3.0,3.0,2.0,2.0,,1.0,1.0,3.0,,,1.0,,1.0,3.0,,2.0,,,,1.0,,,1.0,3.0,,,,,3.0,,,,1.0,,2.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
15,284146,2009-12-05 12:45:00,"Fratton Park, Portsmouth",17822.0,Away,Burnley,Portsmouth,0,2,L,0,0,0,0,1.0,50.0,2.0,43.0,45.0,9.0,5.0,8.0,3.0,3.0,8.0,6.0,5.0,12.0,4.0,169.0,56.0,1.0,17.0,3.0,13.0,1.0,2.0,3.0,30.0,19.0,3.0,28.0,4.0,13.0,21.0,155.0,0.0,161.0,17.0,3.0,2.0,,5.0,,49.0,59.0,5.0,1.0,27.0,9.0,1.0,7.0,3.0,152.0,7.0,580.0,8.0,13.0,22.0,16.0,232.0,19.0,,12.0,25.0,3.0,2.0,1.0,7.0,26.0,325.0,105.0,,3.0,73994,5.0,98.0,15.0,1.0,3.0,105.0,1.0,8.0,49.0,1.0,,1.0,1.0,5.0,6.0,1.0,88.0,245.0,16.0,2.0,4.0,41.0,3.0,94.0,2.0,,1.0,0.0,1.0,5.0,2.0,2.0,5.0,0.0,7.0,2.0,,53.1,24.0,2.0,2.0,1.0,1.0,5.0,,39.0,4.0,,352.0,16.0,,13.0,13.0,8.0,40.0,2.0,5.0,277.0,9.0,13.0,12.0,86.0,18.0,3.0,,15.0,22.0,2.0,10.0,2.0,12.0,3.0,5.0,1.0,1.0,,1.0,2.0,2.0,,1.0,,3.0,1.0,,,,1.0,,,,,,3.0,,,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,284152,2009-12-12 15:00:00,"Turf Moor, Burnley",18397.0,Home,Burnley,Fulham,1,1,D,0,0,0,0,3.0,71.0,1.0,30.0,47.0,8.0,5.0,6.0,4.0,3.0,4.0,4.0,2.0,9.0,7.0,208.0,48.0,,14.0,2.0,19.0,2.0,1.0,,33.0,9.0,4.0,29.0,6.0,23.0,39.0,179.0,0.0,142.0,13.0,3.0,1.0,,3.0,2.0,77.0,83.0,5.0,1.0,27.0,8.0,,10.0,2.0,190.0,9.0,657.0,7.0,14.0,14.0,15.0,289.0,20.0,1.0,8.0,24.0,,0.0,2.0,4.0,39.0,403.0,93.0,,,7545,2.0,120.0,14.0,,,141.0,1.0,5.0,60.0,,,1.0,3.0,3.0,1.0,,69.0,295.0,8.0,5.0,2.0,29.0,3.0,106.0,1.0,1.0,2.0,0.0,,4.0,5.0,1.0,5.0,0.0,2.0,1.0,,49.5,28.0,1.0,4.0,,3.0,3.0,1.0,42.0,7.0,2.0,421.0,15.0,,10.0,19.0,4.0,35.0,2.0,2.0,313.0,7.0,20.0,23.0,81.0,37.0,2.0,,13.0,13.0,1.0,11.0,3.0,17.0,2.0,7.0,,,1.0,,4.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,3.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
17,284162,2009-12-16 19:45:00,"Turf Moor, Burnley",21309.0,Home,Burnley,Arsenal,1,1,D,1,1,0,0,,58.0,1.0,30.0,44.0,3.0,2.0,5.0,6.0,1.0,3.0,4.0,5.0,4.0,2.0,208.0,51.0,1.0,9.0,1.0,18.0,,,1.0,21.0,14.0,1.0,27.0,3.0,19.0,30.0,146.0,0.0,154.0,11.0,2.0,,,2.0,2.0,68.0,54.0,1.0,5.0,18.0,4.0,1.0,2.0,2.0,191.0,9.0,643.0,1.0,15.0,18.0,32.0,231.0,9.0,2.0,12.0,18.0,1.0,2.0,3.0,3.0,43.0,340.0,109.0,,1.0,7545,4.0,100.0,14.0,,2.0,122.0,,8.0,67.0,1.0,,1.0,3.0,10.0,3.0,2.0,68.0,243.0,12.0,4.0,3.0,33.0,,90.0,,1.0,,0.0,,6.0,4.0,1.0,4.0,0.0,3.0,1.0,,46.3,36.0,1.0,2.0,,3.0,2.0,,46.0,3.0,2.0,367.0,32.0,,23.0,15.0,5.0,34.0,,2.0,266.0,6.0,14.0,16.0,73.0,30.0,2.0,,10.0,18.0,1.0,5.0,3.0,15.0,2.0,3.0,,2.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,1.0,8.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
18,284179,2009-12-20 13:30:00,"Molineux Stadium, Wolverhampton",27410.0,Away,Burnley,Wolverhampton Wanderers,0,2,L,0,1,0,0,,62.0,1.0,31.0,44.0,2.0,3.0,9.0,7.0,3.0,7.0,7.0,4.0,9.0,5.0,182.0,57.0,1.0,12.0,,7.0,4.0,1.0,,32.0,12.0,1.0,30.0,4.0,8.0,25.0,166.0,0.0,151.0,8.0,5.0,1.0,1.0,6.0,1.0,56.0,75.0,5.0,2.0,28.0,3.0,1.0,6.0,2.0,168.0,8.0,645.0,9.0,10.0,18.0,11.0,286.0,26.0,,9.0,21.0,,1.0,3.0,4.0,26.0,380.0,98.0,,,7545,5.0,138.0,16.0,,,158.0,,6.0,49.0,,,,7.0,5.0,1.0,,83.0,297.0,17.0,6.0,,40.0,4.0,99.0,1.0,1.0,1.0,0.0,,5.0,5.0,2.0,3.0,0.0,5.0,4.0,,52.9,23.0,2.0,2.0,3.0,7.0,1.0,,44.0,4.0,1.0,408.0,11.0,1.0,16.0,14.0,6.0,37.0,2.0,4.0,282.0,5.0,8.0,15.0,84.0,15.0,5.0,,10.0,18.0,2.0,7.0,3.0,19.0,5.0,5.0,,2.0,,1.0,,1.0,,,,2.0,,,,,,,,,,,4.0,,,,,,,1.0,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
19,284182,2009-12-26 14:00:00,"Turf Moor, Burnley",21761.0,Home,Burnley,Bolton Wanderers,1,1,D,0,1,0,0,,60.0,2.0,26.0,29.0,7.0,7.0,11.0,3.0,3.0,5.0,16.0,2.0,14.0,4.0,224.0,66.0,,18.0,2.0,27.0,2.0,1.0,,31.0,13.0,1.0,15.0,6.0,17.0,53.0,208.0,0.0,226.0,10.0,1.0,1.0,,1.0,2.0,71.0,81.0,6.0,,25.0,7.0,,10.0,3.0,210.0,4.0,669.0,13.0,19.0,27.0,7.0,267.0,17.0,1.0,7.0,17.0,,0.0,1.0,8.0,39.0,405.0,103.0,,1.0,73994,5.0,85.0,14.0,1.0,,107.0,2.0,12.0,60.0,,,4.0,2.0,7.0,5.0,2.0,85.0,288.0,14.0,7.0,,38.0,2.0,119.0,1.0,1.0,,0.0,,2.0,1.0,1.0,5.0,0.0,4.0,1.0,1.0,59.6,36.0,,4.0,,2.0,4.0,,41.0,8.0,2.0,447.0,7.0,,8.0,19.0,10.0,55.0,1.0,6.0,371.0,10.0,15.0,20.0,130.0,23.0,1.0,,10.0,16.0,,15.0,1.0,24.0,1.0,8.0,,2.0,1.0,,4.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,5.0,,,,1.0,1.0,,5.0,1.0,,3.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,2.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,
20,284194,2009-12-28 15:00:00,"Goodison Park, Liverpool",39419.0,Away,Burnley,Everton,0,2,L,0,0,1,0,3.0,54.0,2.0,22.0,45.0,8.0,5.0,7.0,7.0,3.0,5.0,3.0,,12.0,7.0,148.0,40.0,,15.0,2.0,15.0,1.0,2.0,,20.0,14.0,6.0,27.0,6.0,8.0,17.0,118.0,0.0,121.0,21.0,3.0,2.0,,,3.0,29.0,66.0,9.0,1.0,14.0,8.0,,6.0,,130.0,14.0,483.0,11.0,12.0,14.0,23.0,164.0,24.0,,12.0,19.0,,4.0,9.0,3.0,17.0,236.0,67.0,,,73994,4.0,59.0,8.0,1.0,,83.0,,14.0,56.0,,,2.0,,12.0,6.0,,61.0,172.0,7.0,4.0,1.0,39.0,4.0,74.0,2.0,2.0,2.0,0.0,,10.0,4.0,2.0,8.0,1.0,3.0,2.0,,38.8,13.0,1.0,2.0,2.0,,4.0,,28.0,6.0,3.0,266.0,23.0,,10.0,8.0,4.0,27.0,2.0,3.0,203.0,8.0,5.0,11.0,72.0,18.0,4.0,,13.0,19.0,2.0,11.0,3.0,10.0,4.0,6.0,,3.0,,,,1.0,,,,2.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,284202,2010-03-10 19:45:00,"Turf Moor, Burnley",,Home,Burnley,Stoke City,1,1,D,0,1,0,0,1.0,63.0,1.0,23.0,46.0,4.0,2.0,,,2.0,5.0,5.0,,9.0,4.0,221.0,49.0,,12.0,,23.0,1.0,1.0,,20.0,12.0,2.0,27.0,1.0,16.0,39.0,123.0,0.0,136.0,13.0,,,,,3.0,49.0,79.0,2.0,,19.0,,,6.0,2.0,202.0,6.0,627.0,7.0,14.0,,17.0,,18.0,,7.0,28.0,,2.0,3.0,7.0,32.0,,92.0,1.0,,5666,,94.0,10.0,,2.0,126.0,1.0,10.0,54.0,,,1.0,4.0,4.0,3.0,1.0,76.0,212.0,11.0,3.0,1.0,58.0,,121.0,1.0,1.0,,0.0,,4.0,,1.0,3.0,0.0,4.0,2.0,,54.7,25.0,1.0,3.0,,4.0,1.0,,30.0,3.0,3.0,370.0,17.0,,8.0,15.0,7.0,19.0,1.0,5.0,264.0,8.0,13.0,21.0,61.0,25.0,,,15.0,12.0,1.0,,3.0,12.0,,4.0,,1.0,1.0,,,1.0,,,,4.0,,,,1.0,,1.0,,,,1.0,2.0,,,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,284215,2010-01-16 15:00:00,"Old Trafford, Manchester",75120.0,Away,Burnley,Manchester United,0,3,L,0,0,0,0,,56.0,1.0,19.0,50.0,7.0,1.0,5.0,7.0,4.0,5.0,7.0,3.0,11.0,4.0,140.0,40.0,1.0,13.0,2.0,10.0,1.0,3.0,,20.0,9.0,3.0,36.0,1.0,10.0,13.0,161.0,0.0,145.0,8.0,3.0,3.0,,1.0,2.0,18.0,61.0,5.0,2.0,19.0,8.0,1.0,4.0,3.0,126.0,21.0,537.0,11.0,11.0,22.0,18.0,241.0,17.0,,7.0,25.0,,0.0,3.0,6.0,6.0,303.0,90.0,,,73994,3.0,96.0,14.0,1.0,,109.0,,17.0,40.0,,,2.0,2.0,6.0,2.0,,61.0,252.0,12.0,4.0,,20.0,,78.0,3.0,1.0,,0.0,1.0,7.0,4.0,3.0,3.0,0.0,5.0,1.0,,40.1,6.0,,1.0,1.0,2.0,3.0,,32.0,1.0,2.0,343.0,18.0,,10.0,6.0,6.0,35.0,,2.0,254.0,11.0,10.0,6.0,86.0,25.0,5.0,,17.0,15.0,3.0,12.0,3.0,16.0,5.0,1.0,,3.0,,1.0,,1.0,,3.0,,2.0,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,284220,2010-01-26 20:00:00,"Toughsheet Community Stadium, Bolton",23986.0,Away,Burnley,Bolton Wanderers,0,1,L,0,1,0,0,1.0,56.0,1.0,31.0,47.0,5.0,5.0,6.0,2.0,,2.0,6.0,1.0,7.0,1.0,199.0,56.0,1.0,11.0,3.0,24.0,1.0,2.0,1.0,23.0,19.0,,33.0,7.0,20.0,32.0,150.0,0.0,154.0,10.0,1.0,2.0,,,3.0,65.0,67.0,3.0,2.0,16.0,5.0,1.0,4.0,2.0,185.0,9.0,634.0,6.0,12.0,14.0,13.0,242.0,22.0,1.0,6.0,24.0,1.0,2.0,6.0,4.0,39.0,355.0,97.0,,,5666,3.0,104.0,12.0,,,131.0,,11.0,57.0,,,3.0,4.0,9.0,5.0,1.0,98.0,252.0,12.0,5.0,1.0,40.0,2.0,116.0,2.0,1.0,1.0,0.0,,4.0,2.0,1.0,6.0,0.0,1.0,1.0,1.0,57.6,34.0,1.0,1.0,2.0,6.0,4.0,,41.0,7.0,3.0,388.0,13.0,,10.0,12.0,6.0,33.0,1.0,4.0,280.0,5.0,17.0,16.0,85.0,14.0,1.0,,19.0,21.0,1.0,8.0,3.0,14.0,1.0,7.0,,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,284232,2010-01-30 17:30:00,"Turf Moor, Burnley",21131.0,Home,Burnley,Chelsea,1,2,L,0,1,0,0,,56.0,,29.0,34.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,163.0,52.0,1.0,5.0,1.0,16.0,,,1.0,10.0,21.0,1.0,26.0,2.0,13.0,34.0,123.0,0.0,109.0,12.0,1.0,,,1.0,4.0,35.0,65.0,1.0,5.0,8.0,4.0,1.0,2.0,2.0,155.0,10.0,512.0,1.0,8.0,9.0,19.0,198.0,18.0,,9.0,11.0,2.0,1.0,3.0,,16.0,289.0,73.0,,,5666,1.0,83.0,5.0,,,102.0,,13.0,64.0,,,,1.0,8.0,2.0,,82.0,205.0,12.0,10.0,,35.0,,106.0,,,,0.0,,9.0,1.0,2.0,1.0,0.0,1.0,,,36.7,16.0,,1.0,,1.0,1.0,,45.0,2.0,4.0,324.0,18.0,,16.0,19.0,2.0,23.0,,,232.0,4.0,11.0,13.0,52.0,20.0,,,8.0,24.0,2.0,4.0,3.0,13.0,,2.0,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
25,284242,2010-02-06 15:00:00,"Turf Moor, Burnley",21001.0,Home,Burnley,West Ham United,2,1,W,1,0,0,0,,56.0,,32.0,36.0,3.0,2.0,,,,4.0,6.0,,6.0,2.0,173.0,59.0,1.0,8.0,2.0,12.0,,,1.0,20.0,13.0,,20.0,2.0,13.0,34.0,167.0,0.0,156.0,15.0,1.0,,,,2.0,72.0,62.0,2.0,2.0,18.0,,1.0,8.0,1.0,157.0,13.0,596.0,5.0,12.0,,18.0,,12.0,,5.0,14.0,1.0,2.0,6.0,4.0,30.0,,100.0,,,5666,,71.0,8.0,,,82.0,,8.0,60.0,,,1.0,10.0,10.0,2.0,2.0,68.0,234.0,13.0,14.0,,28.0,,84.0,,,1.0,0.0,,5.0,5.0,1.0,2.0,0.0,4.0,2.0,,50.2,24.0,2.0,3.0,,10.0,2.0,1.0,29.0,3.0,2.0,342.0,17.0,,14.0,14.0,4.0,25.0,,3.0,280.0,4.0,12.0,23.0,83.0,23.0,1.0,,7.0,17.0,1.0,,3.0,11.0,1.0,3.0,,2.0,2.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,2.0,,,,,1.0,,2.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
26,284251,2010-02-09 20:00:00,"Craven Cottage, London",23005.0,Away,Burnley,Fulham,0,3,L,0,2,0,0,1.0,61.0,,47.0,39.0,9.0,5.0,,,1.0,2.0,6.0,,9.0,3.0,178.0,48.0,2.0,11.0,,14.0,1.0,,2.0,12.0,14.0,2.0,25.0,2.0,23.0,40.0,201.0,0.0,159.0,10.0,5.0,,,,,70.0,69.0,2.0,,10.0,,2.0,3.0,6.0,164.0,10.0,737.0,8.0,12.0,,23.0,,21.0,1.0,9.0,17.0,2.0,0.0,5.0,7.0,21.0,,98.0,,,5666,,155.0,6.0,,1.0,169.0,,8.0,64.0,,,2.0,2.0,7.0,3.0,1.0,90.0,354.0,11.0,7.0,1.0,38.0,,108.0,,,1.0,0.0,1.0,6.0,3.0,3.0,4.0,0.0,2.0,1.0,,49.1,20.0,,,,2.0,,,46.0,2.0,,465.0,22.0,,24.0,21.0,8.0,21.0,,1.0,308.0,5.0,18.0,11.0,97.0,30.0,4.0,,9.0,20.0,2.0,,3.0,16.0,4.0,2.0,,2.0,,,,2.0,,,,1.0,,,,,,,,,1.0,,4.0,,,,1.0,,1.0,3.0,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
27,284261,2010-02-21 14:00:00,"Villa Park, Birmingham",38709.0,Away,Burnley,Aston Villa,2,5,L,1,1,0,0,,54.0,1.0,27.0,35.0,9.0,2.0,,,2.0,2.0,12.0,,12.0,4.0,150.0,53.0,,13.0,5.0,21.0,,,1.0,14.0,14.0,2.0,21.0,5.0,18.0,27.0,187.0,0.0,155.0,15.0,2.0,,,,,28.0,77.0,9.0,,9.0,,,3.0,3.0,136.0,10.0,649.0,10.0,17.0,,13.0,,25.0,,12.0,21.0,1.0,3.0,1.0,3.0,24.0,,78.0,2.0,,5666,,124.0,6.0,,,140.0,,13.0,57.0,,,5.0,,9.0,5.0,1.0,56.0,309.0,7.0,6.0,,30.0,,84.0,,,2.0,0.0,,9.0,2.0,5.0,6.0,0.0,2.0,,,52.1,19.0,,1.0,,,6.0,,45.0,5.0,,401.0,12.0,,14.0,17.0,3.0,15.0,,,275.0,11.0,16.0,19.0,102.0,22.0,5.0,,11.0,15.0,3.0,,3.0,15.0,5.0,5.0,,2.0,2.0,,,,,2.0,,,,1.0,,2.0,,2.0,1.0,1.0,,2.0,,,,,,2.0,1.0,2.0,,1.0,,,2.0,,,1.0,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
