gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attLfGoal,accuratePullBack,attCmissRight,shotFastbreak,postScoringAtt,goalFastbreak,attIboxPost,attOneOnOne,attMissHighRight,attOboxGoal,totalFastbreak,interceptionsInBox,contentiousDecision,hitWoodwork,accurateThroughBall,attRfGoal,totalPullBack,totalOffside,attFastbreak,attSvLowRight,attCmissLeft,attFreekickGoal,attPostHigh,foulThrowIn,attSvHighCentre,forwardGoals,goalAssistDeadball,cleanSheet,errorLeadToShot,sixYardBlock,attCorner,attOboxBlocked,accurateFreekickCross,attCmissHighLeft,ptsDroppedWinningPos,handBall,attSvHighRight,attPostLeft,attLgCentre,attHdTarget,penaltyWon,attPenGoal,clearanceOffLine,errorLeadToGoal,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighLeft,goalsConcededObox,secondYellow,attGoalHighCentre,attPostRight,attGoalHighRight,attCmissHighRight,attFreekickMiss,ptsGainedLosingPos,attFreekickPost,attOboxPost,ownGoals,attIboxOwnGoal,attHdPost,penaltySave,attOboxOwnGoal,attObxdRight,attObxdLeft
27,987854,2019-02-23 12:30:00,"Turf Moor, Burnley",21338,Away,Tottenham Hotspur,Burnley,1,2,L,0,0,0,0,,1.0,57.0,,1.0,2.0,1.0,31.0,22.0,10.0,6.0,7.0,2.0,2.0,163.0,6.0,15.0,1.0,1.0,14.0,6.0,145.0,162.0,62.0,,17.0,26.0,3.0,,,,2.0,3.0,26.0,10.0,2.0,22.0,2.0,7.0,39.0,230.0,0.0,150.0,12.0,,2.0,,1.0,1.0,,78.0,65.0,11.0,65.0,,25.0,18.0,10.0,,9.0,4.0,162.0,1.0,8.0,131.0,721.0,11.0,4.0,30.0,5.0,375.0,22.0,,7.0,12.0,1.0,,3.0,3.0,3.0,25.0,475.0,48.0,95715,5.0,176.0,,15.0,1.0,211.0,5.0,18.0,9.0,55.0,,3.0,,10.0,,19.0,2.0,6.0,2.0,74.0,400.0,9.0,6.0,2.0,30.0,80.0,,0.0,,5.0,7.0,2.0,1.0,2.0,1.0,0.0,6.0,1.0,1.0,4.0,69.5,24.0,1.0,1.0,1.0,11.0,6.0,42.0,6.0,,504.0,5.0,7.0,16.0,5.0,33.0,1.0,1.0,319.0,7.0,6.0,22.0,113.0,21.0,5.0,12.0,16.0,,2.0,11.0,3.0,20.0,5.0,4.0,6.0,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,4.0,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,987867,2019-02-27 20:00:00,"Stamford Bridge, London",40542,Away,Tottenham Hotspur,Chelsea,0,2,L,0,0,0,0,,,71.0,,,2.0,,32.0,23.0,5.0,2.0,4.0,,,156.0,3.0,10.0,,3.0,8.0,,159.0,139.0,50.0,,9.0,13.0,,1.0,1.0,,,3.0,17.0,13.0,,23.0,1.0,5.0,37.0,252.0,0.0,153.0,14.0,,,,,1.0,,52.0,87.0,4.0,85.0,1.0,16.0,21.0,5.0,,8.0,2.0,139.0,1.0,4.0,146.0,766.0,7.0,2.0,19.0,11.0,457.0,28.0,,1.0,7.0,,1.0,1.0,2.0,4.0,24.0,527.0,72.0,95715,2.0,224.0,1.0,7.0,1.0,234.0,8.0,21.0,8.0,60.0,,,,7.0,,19.0,8.0,5.0,,59.0,473.0,7.0,7.0,1.0,13.0,73.0,,0.0,,3.0,2.0,,,2.0,,0.0,2.0,,1.0,1.0,53.5,22.0,1.0,11.0,1.0,7.0,4.0,47.0,2.0,,546.0,11.0,11.0,19.0,5.0,23.0,1.0,2.0,329.0,6.0,5.0,10.0,112.0,25.0,1.0,7.0,23.0,,1.0,7.0,3.0,26.0,1.0,10.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,
29,987878,2019-03-02 12:30:00,"Wembley Stadium, London",81332,Home,Tottenham Hotspur,Arsenal,1,1,D,0,1,0,1,,1.0,74.0,,1.0,,,38.0,12.0,4.0,4.0,7.0,2.0,2.0,185.0,6.0,12.0,1.0,4.0,6.0,3.0,121.0,179.0,58.0,,11.0,12.0,2.0,1.0,,,2.0,4.0,15.0,12.0,,12.0,3.0,6.0,51.0,191.0,0.0,145.0,15.0,2.0,,,,2.0,,45.0,97.0,1.0,67.0,2.0,12.0,22.0,4.0,,1.0,3.0,179.0,1.0,7.0,135.0,711.0,3.0,9.0,30.0,8.0,380.0,28.0,1.0,12.0,5.0,,,3.0,4.0,4.0,27.0,488.0,70.0,95715,5.0,209.0,3.0,9.0,2.0,232.0,7.0,22.0,6.0,59.0,,1.0,,6.0,,21.0,2.0,4.0,,88.0,394.0,14.0,9.0,2.0,38.0,73.0,,0.0,,2.0,4.0,3.0,1.0,1.0,2.0,0.0,5.0,,1.0,2.0,60.2,22.0,2.0,5.0,1.0,6.0,1.0,34.0,3.0,,508.0,8.0,7.0,19.0,7.0,29.0,1.0,4.0,291.0,5.0,3.0,18.0,90.0,31.0,3.0,5.0,14.0,,1.0,7.0,2.0,28.0,3.0,8.0,3.0,,,,1.0,,,,,,,,,2.0,1.0,,,1.0,,5.0,,,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,
30,987891,2019-03-09 15:00:00,"St. Mary's Stadium, Southampton",31890,Away,Tottenham Hotspur,Southampton,1,2,L,1,0,0,0,,1.0,60.0,1.0,,1.0,,24.0,13.0,8.0,4.0,7.0,2.0,4.0,177.0,5.0,16.0,1.0,2.0,13.0,5.0,132.0,170.0,63.0,1.0,16.0,15.0,1.0,,1.0,1.0,1.0,2.0,17.0,9.0,3.0,13.0,7.0,5.0,58.0,205.0,0.0,139.0,9.0,,,,,1.0,,67.0,49.0,7.0,64.0,1.0,10.0,17.0,9.0,1.0,4.0,4.0,170.0,2.0,7.0,138.0,708.0,11.0,8.0,29.0,6.0,366.0,28.0,2.0,6.0,6.0,1.0,1.0,2.0,4.0,6.0,23.0,484.0,60.0,95715,3.0,190.0,1.0,5.0,,223.0,9.0,17.0,5.0,47.0,,3.0,,5.0,1.0,18.0,5.0,4.0,1.0,60.0,390.0,14.0,8.0,1.0,19.0,73.0,,0.0,,2.0,1.0,,1.0,2.0,4.0,0.0,3.0,1.0,,1.0,63.2,22.0,1.0,3.0,3.0,5.0,2.0,39.0,10.0,,511.0,6.0,6.0,22.0,9.0,36.0,2.0,4.0,305.0,11.0,5.0,17.0,83.0,23.0,4.0,6.0,17.0,,1.0,12.0,3.0,25.0,4.0,6.0,10.0,2.0,,,,1.0,1.0,1.0,,,2.0,,2.0,2.0,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,1.0,,1.0,3.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,
31,987898,2019-04-03 19:45:00,"Tottenham Hotspur Stadium, London",59215,Home,Tottenham Hotspur,Crystal Palace,2,0,W,0,0,0,0,,,70.0,,1.0,2.0,,40.0,9.0,11.0,6.0,15.0,1.0,4.0,176.0,7.0,17.0,2.0,2.0,17.0,10.0,203.0,148.0,59.0,1.0,26.0,12.0,7.0,2.0,,1.0,5.0,2.0,24.0,11.0,1.0,9.0,8.0,4.0,40.0,301.0,0.0,197.0,8.0,1.0,,2.0,,1.0,1.0,117.0,65.0,10.0,95.0,1.0,16.0,21.0,11.0,1.0,7.0,5.0,148.0,3.0,3.0,213.0,894.0,15.0,6.0,36.0,7.0,580.0,17.0,1.0,3.0,5.0,1.0,,1.0,,7.0,24.0,672.0,65.0,95715,10.0,301.0,3.0,8.0,,318.0,7.0,21.0,7.0,46.0,,7.0,,2.0,2.0,19.0,2.0,7.0,2.0,55.0,595.0,5.0,9.0,1.0,9.0,63.0,,0.0,,3.0,2.0,1.0,2.0,,2.0,0.0,4.0,,,6.0,65.3,24.0,2.0,12.0,1.0,2.0,7.0,49.0,8.0,1.0,687.0,7.0,11.0,22.0,9.0,42.0,3.0,4.0,393.0,14.0,4.0,22.0,141.0,39.0,,5.0,16.0,,,20.0,3.0,23.0,,11.0,8.0,,2.0,,1.0,4.0,,,,,3.0,,4.0,,,,2.0,,1.0,,4.0,2.0,,,,,1.0,,,1.0,,,,5.0,,,,,,,,4.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
32,987909,2019-03-31 16:30:00,"Anfield, Liverpool",53322,Away,Tottenham Hotspur,Liverpool,1,2,L,0,1,0,0,1.0,1.0,53.0,1.0,,2.0,1.0,31.0,25.0,5.0,3.0,6.0,2.0,,163.0,1.0,9.0,1.0,,9.0,2.0,124.0,139.0,40.0,,11.0,13.0,1.0,1.0,1.0,,1.0,2.0,13.0,10.0,,25.0,2.0,7.0,65.0,131.0,0.0,103.0,8.0,2.0,,,,,,56.0,31.0,2.0,71.0,1.0,11.0,20.0,5.0,,4.0,5.0,139.0,1.0,8.0,127.0,663.0,7.0,3.0,17.0,8.0,372.0,24.0,,2.0,12.0,1.0,1.0,1.0,3.0,7.0,30.0,457.0,37.0,95715,3.0,262.0,,7.0,1.0,289.0,3.0,20.0,17.0,42.0,2.0,2.0,,1.0,,10.0,7.0,11.0,4.0,70.0,392.0,5.0,4.0,1.0,19.0,63.0,1.0,0.0,,,10.0,2.0,1.0,2.0,1.0,0.0,,1.0,1.0,,51.3,26.0,,3.0,2.0,1.0,2.0,31.0,3.0,,485.0,8.0,8.0,34.0,7.0,25.0,1.0,2.0,209.0,8.0,7.0,10.0,62.0,25.0,2.0,12.0,16.0,,2.0,9.0,3.0,19.0,2.0,10.0,3.0,,,,,1.0,,,,,,,1.0,3.0,,,,1.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,
33,987919,2019-04-23 19:45:00,"Tottenham Hotspur Stadium, London",56251,Home,Tottenham Hotspur,Brighton and Hove Albion,1,0,W,0,0,0,0,2.0,,65.0,,1.0,3.0,,20.0,11.0,20.0,16.0,8.0,1.0,2.0,171.0,4.0,8.0,1.0,7.0,21.0,5.0,232.0,148.0,58.0,1.0,29.0,25.0,1.0,1.0,,1.0,2.0,2.0,26.0,9.0,3.0,11.0,4.0,10.0,36.0,493.0,0.0,359.0,7.0,,,1.0,,4.0,,95.0,102.0,12.0,83.0,1.0,23.0,16.0,21.0,1.0,10.0,7.0,148.0,,3.0,227.0,902.0,17.0,3.0,38.0,5.0,606.0,24.0,2.0,2.0,6.0,1.0,,1.0,1.0,9.0,15.0,694.0,70.0,95715,5.0,135.0,,9.0,5.0,152.0,4.0,16.0,6.0,55.0,,1.0,,2.0,1.0,15.0,3.0,5.0,3.0,36.0,624.0,12.0,5.0,3.0,9.0,54.0,2.0,0.0,,2.0,3.0,1.0,,,2.0,0.0,4.0,,,2.0,78.5,15.0,2.0,5.0,1.0,2.0,12.0,39.0,6.0,,713.0,5.0,9.0,15.0,12.0,54.0,1.0,4.0,587.0,11.0,10.0,23.0,304.0,33.0,1.0,6.0,15.0,,,22.0,3.0,17.0,1.0,5.0,6.0,,1.0,,,,1.0,,,,3.0,1.0,,,,1.0,,,,2.0,,1.0,,,,,1.0,,,1.0,,1.0,,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0
34,987930,2019-04-13 12:30:00,"Tottenham Hotspur Stadium, London",58308,Home,Tottenham Hotspur,Huddersfield Town,4,0,W,2,0,0,0,,1.0,61.0,1.0,1.0,6.0,,8.0,12.0,6.0,7.0,16.0,1.0,1.0,190.0,7.0,14.0,4.0,2.0,17.0,5.0,223.0,124.0,61.0,1.0,22.0,13.0,,3.0,,4.0,1.0,3.0,12.0,11.0,1.0,12.0,1.0,8.0,34.0,418.0,0.0,191.0,10.0,1.0,,1.0,,1.0,,102.0,108.0,9.0,94.0,3.0,11.0,21.0,6.0,1.0,1.0,2.0,124.0,2.0,5.0,231.0,900.0,11.0,4.0,34.0,4.0,625.0,24.0,,1.0,8.0,4.0,,2.0,1.0,8.0,17.0,717.0,75.0,95715,5.0,232.0,1.0,9.0,2.0,248.0,4.0,21.0,7.0,47.0,,3.0,,3.0,4.0,9.0,2.0,5.0,,25.0,643.0,11.0,11.0,2.0,8.0,66.0,,0.0,,1.0,2.0,,4.0,,1.0,0.0,7.0,3.0,,3.0,70.0,17.0,3.0,2.0,5.0,3.0,9.0,52.0,4.0,,738.0,4.0,8.0,14.0,8.0,33.0,,5.0,502.0,12.0,5.0,20.0,138.0,32.0,3.0,8.0,16.0,,,16.0,3.0,19.0,3.0,10.0,4.0,1.0,1.0,,,2.0,1.0,,1.0,,1.0,,2.0,,,2.0,2.0,3.0,,1.0,2.0,,1.0,,1.0,,,3.0,,1.0,,1.0,,3.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
35,987938,2019-04-20 12:30:00,"Etihad Stadium, Manchester",54489,Away,Tottenham Hotspur,Manchester City,0,1,L,0,1,0,0,2.0,,51.0,,,2.0,,21.0,19.0,3.0,6.0,7.0,3.0,2.0,137.0,2.0,10.0,,,7.0,4.0,87.0,133.0,61.0,,10.0,16.0,4.0,2.0,,,1.0,,7.0,14.0,,19.0,4.0,4.0,45.0,109.0,0.0,74.0,11.0,,,,2.0,,,37.0,28.0,5.0,58.0,1.0,4.0,10.0,3.0,,4.0,2.0,133.0,1.0,10.0,97.0,564.0,6.0,4.0,13.0,11.0,266.0,27.0,,2.0,13.0,,,2.0,5.0,2.0,16.0,349.0,39.0,95715,3.0,177.0,2.0,,,215.0,7.0,10.0,13.0,57.0,,2.0,,7.0,,15.0,5.0,6.0,2.0,63.0,284.0,11.0,15.0,1.0,21.0,56.0,,0.0,,,4.0,3.0,,1.0,1.0,0.0,1.0,,3.0,1.0,39.3,15.0,1.0,2.0,1.0,7.0,3.0,24.0,4.0,,379.0,11.0,8.0,17.0,3.0,15.0,2.0,1.0,171.0,3.0,4.0,14.0,44.0,13.0,4.0,13.0,26.0,,1.0,8.0,3.0,17.0,4.0,6.0,4.0,,,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,987950,2019-04-27 12:30:00,"Tottenham Hotspur Stadium, London",60043,Home,Tottenham Hotspur,West Ham United,0,1,L,0,0,0,0,1.0,,74.0,,,4.0,,21.0,25.0,5.0,3.0,9.0,6.0,3.0,211.0,,20.0,,2.0,11.0,4.0,161.0,170.0,67.0,1.0,14.0,6.0,4.0,1.0,,,1.0,2.0,11.0,14.0,,25.0,2.0,9.0,48.0,251.0,0.0,170.0,3.0,5.0,,,1.0,,,80.0,54.0,8.0,83.0,1.0,9.0,29.0,5.0,1.0,4.0,3.0,170.0,3.0,8.0,159.0,847.0,11.0,5.0,28.0,7.0,491.0,32.0,,2.0,11.0,,,0.0,4.0,3.0,24.0,599.0,57.0,95715,2.0,251.0,3.0,5.0,,280.0,1.0,29.0,3.0,39.0,,8.0,,13.0,,19.0,8.0,1.0,,51.0,502.0,8.0,9.0,,14.0,81.0,3.0,0.0,,,7.0,3.0,,1.0,1.0,0.0,,,,,63.0,22.0,,,2.0,13.0,6.0,54.0,2.0,,614.0,7.0,10.0,23.0,4.0,26.0,,1.0,345.0,10.0,8.0,19.0,115.0,29.0,,11.0,20.0,,1.0,13.0,3.0,31.0,,12.0,2.0,3.0,,,,,,,,1.0,1.0,,,,,,1.0,,,5.0,,2.0,1.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,987952,2019-05-04 12:30:00,"Vitality Stadium, Bournemouth",10630,Away,Tottenham Hotspur,Bournemouth,0,1,L,0,0,2,0,1.0,,53.0,,,1.0,,26.0,20.0,5.0,2.0,5.0,5.0,3.0,146.0,3.0,11.0,,,8.0,5.0,111.0,132.0,53.0,,11.0,15.0,2.0,,,,,1.0,11.0,10.0,3.0,20.0,4.0,8.0,26.0,173.0,0.0,116.0,12.0,2.0,1.0,,2.0,,,42.0,75.0,6.0,54.0,,7.0,20.0,6.0,,2.0,1.0,132.0,1.0,15.0,93.0,595.0,8.0,2.0,19.0,8.0,300.0,19.0,1.0,7.0,14.0,,,5.0,7.0,2.0,20.0,373.0,53.0,95715,3.0,150.0,1.0,5.0,,164.0,7.0,20.0,12.0,46.0,1.0,2.0,,3.0,,17.0,5.0,5.0,1.0,59.0,320.0,11.0,5.0,,21.0,64.0,,0.0,,,10.0,4.0,,1.0,1.0,2.0,2.0,,1.0,1.0,46.4,15.0,,5.0,2.0,3.0,3.0,29.0,6.0,,404.0,8.0,8.0,9.0,3.0,29.0,1.0,2.0,251.0,8.0,8.0,17.0,78.0,22.0,4.0,14.0,15.0,,1.0,9.0,3.0,18.0,4.0,9.0,6.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,3.0,,,1.0,,,,2.0,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,987970,2019-05-12 15:00:00,"Tottenham Hotspur Stadium, London",60124,Home,Tottenham Hotspur,Everton,2,2,D,1,0,0,0,,1.0,62.0,,2.0,1.0,,26.0,17.0,7.0,2.0,4.0,7.0,,166.0,3.0,7.0,2.0,3.0,7.0,3.0,142.0,142.0,59.0,1.0,11.0,18.0,1.0,,,,,1.0,13.0,12.0,,17.0,6.0,9.0,47.0,174.0,0.0,108.0,10.0,3.0,,1.0,,1.0,1.0,41.0,72.0,4.0,111.0,1.0,7.0,21.0,7.0,1.0,2.0,4.0,142.0,,14.0,124.0,740.0,4.0,1.0,21.0,9.0,432.0,22.0,1.0,4.0,9.0,,,0.0,4.0,3.0,20.0,522.0,41.0,95715,4.0,278.0,,4.0,,312.0,9.0,21.0,5.0,48.0,1.0,2.0,1.0,7.0,,15.0,2.0,3.0,2.0,51.0,449.0,13.0,4.0,3.0,15.0,64.0,,0.0,,,4.0,6.0,1.0,2.0,,0.0,,,,1.0,55.0,15.0,,6.0,,7.0,3.0,39.0,7.0,1.0,543.0,9.0,10.0,19.0,5.0,29.0,3.0,1.0,244.0,7.0,8.0,17.0,72.0,23.0,,9.0,22.0,,2.0,6.0,3.0,13.0,,6.0,7.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,1.0,4.0,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
