gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalAssistDeadball,attOneOnOne,attOboxGoal,attSvLowLeft,freekickCross,interceptionsInBox,contentiousDecision,attHdTarget,bigChanceMissed,attSetpiece,attRfGoal,accurateFlickOn,attSvHighCentre,savedObox,accuratePullBack,postScoringAtt,accurateKeeperSweeper,attIboxPost,cleanSheet,attSvHighLeft,goodHighClaim,attHdPost,hitWoodwork,attMissHighLeft,totalKeeperSweeper,totalPullBack,overrun,attPostHigh,totalHighClaim,attPostRight,handBall,attCmissRight,attPenTarget,penaltyWon,attMissRight,attCmissHigh,punches,attObxLeft,errorLeadToShot,ptsDroppedWinningPos,attFreekickTotal,freekickTotal,attPostLeft,foulThrowIn,errorLeadToGoal,goalFastbreak,attGoalHighRight,attSvHighRight,subsGoals,accurateFreekickCross,penaltyConceded,attGoalHighLeft,penaltyFaced,penGoalsConceded,goalsConcededObox,attPenGoal,attCmissHighRight,attObpGoal,attFreekickTarget,attGoalHighCentre,attObxdLeft,ownGoals,attIboxOwnGoal,secondYellow,clearanceOffLine,attFreekickPost,attOboxPost,penaltySave,attCmissHighLeft,attFreekickMiss,attLgRight,attFreekickGoal
11,2292918,2022-10-15 17:30:00,"Tottenham Hotspur Stadium, London",61812,Home,Tottenham Hotspur,Everton,2,0,W,0,0,0,0,3.0,1.0,15.0,54.0,1.0,,4.0,,29.0,6.0,6.0,7.0,15.0,,,1.0,164.0,,8.0,9.0,3.0,2.0,5.0,16.0,7.0,161.0,115.0,37.0,21.0,4.0,10.0,5.0,2.0,2.0,1.0,4.0,,23.0,6.0,,6.0,3.0,2.0,36.0,280.0,2.0,0.0,152.0,12.0,,,3.0,1.0,110.0,78.0,13.0,101.0,21.0,14.0,6.0,3.0,2.0,115.0,2.0,3.0,157.0,734.0,,14.0,3.0,37.0,3.0,495.0,18.0,1.0,2.0,1.0,1.0,1.0,3.0,21.0,561.0,61.0,1.0,95715,8.0,244.0,16.0,1.0,265.0,6.0,14.0,6.0,41.0,1.0,,,5.0,1.0,14.0,1.0,6.0,3.0,53.0,515.0,13.0,4.0,1.0,8.0,1.0,69.0,2.0,1.0,,0.0,1.0,,2.0,,0.0,8.0,1.0,1.0,4.0,61.5,19.0,2.0,6.0,1.0,5.0,8.0,53.0,7.0,583.0,3.0,10.0,20.0,6.0,40.0,2.0,4.0,341.0,10.0,2.0,13.0,118.0,24.0,1.0,,2.0,8.0,,,16.0,5.0,8.0,,1.0,7.0,,,,,2.0,,,1.0,2.0,2.0,2.0,2.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
12,2292928,2022-10-19 20:15:00,"Old Trafford, Manchester",73677,Away,Tottenham Hotspur,Manchester United,0,2,L,0,0,0,0,,,30.0,54.0,,,1.0,,29.0,10.0,2.0,1.0,7.0,8.0,,2.0,148.0,,17.0,4.0,8.0,,,9.0,2.0,147.0,135.0,32.0,9.0,1.0,11.0,2.0,,3.0,,2.0,3.0,19.0,5.0,,10.0,3.0,3.0,49.0,190.0,2.0,0.0,113.0,7.0,,7.0,,,49.0,42.0,4.0,76.0,16.0,24.0,2.0,5.0,1.0,135.0,1.0,13.0,157.0,703.0,,8.0,5.0,21.0,17.0,419.0,18.0,2.0,6.0,,0.0,9.0,5.0,17.0,501.0,48.0,,95715,2.0,259.0,11.0,1.0,291.0,4.0,24.0,11.0,44.0,,,,7.0,,17.0,15.0,10.0,,50.0,445.0,7.0,9.0,1.0,6.0,1.0,65.0,,,,0.0,8.0,4.0,,2.0,0.0,3.0,,,3.0,48.1,15.0,2.0,3.0,,7.0,2.0,39.0,3.0,528.0,17.0,12.0,28.0,5.0,23.0,1.0,4.0,256.0,5.0,2.0,7.0,84.0,24.0,,,6.0,10.0,,1.0,8.0,5.0,13.0,,10.0,3.0,,,,,,1.0,,,1.0,,,2.0,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
13,2292937,2022-10-23 16:30:00,"Tottenham Hotspur Stadium, London",61726,Home,Tottenham Hotspur,Newcastle United,1,2,L,0,2,0,0,2.0,1.0,25.0,61.0,,1.0,5.0,1.0,26.0,17.0,7.0,6.0,10.0,3.0,,2.0,147.0,,15.0,6.0,11.0,1.0,,15.0,5.0,123.0,143.0,53.0,17.0,3.0,16.0,3.0,2.0,1.0,,3.0,,19.0,10.0,1.0,17.0,4.0,4.0,51.0,136.0,,0.0,106.0,12.0,,2.0,2.0,,29.0,52.0,12.0,62.0,15.0,21.0,7.0,4.0,3.0,143.0,2.0,9.0,125.0,656.0,,14.0,3.0,22.0,7.0,343.0,29.0,,9.0,1.0,4.0,4.0,3.0,28.0,434.0,53.0,3.0,95715,5.0,231.0,11.0,2.0,268.0,6.0,5.0,6.0,49.0,3.0,,3.0,4.0,,14.0,4.0,4.0,3.0,55.0,361.0,6.0,6.0,,7.0,2.0,59.0,2.0,,,0.0,7.0,2.0,1.0,2.0,0.0,5.0,1.0,,4.0,52.4,26.0,1.0,5.0,2.0,4.0,8.0,27.0,6.0,457.0,7.0,8.0,25.0,4.0,29.0,1.0,1.0,208.0,7.0,4.0,19.0,69.0,20.0,1.0,2.0,9.0,17.0,1.0,1.0,15.0,4.0,18.0,2.0,5.0,6.0,,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14,2292940,2022-10-29 15:00:00,"Vitality Stadium, Bournemouth",10430,Away,Tottenham Hotspur,Bournemouth,3,2,W,0,1,0,0,1.0,1.0,18.0,57.0,,1.0,4.0,1.0,19.0,10.0,7.0,6.0,16.0,2.0,1.0,2.0,161.0,,10.0,10.0,7.0,3.0,6.0,17.0,7.0,179.0,138.0,43.0,23.0,2.0,12.0,3.0,,1.0,1.0,,4.0,53.0,7.0,1.0,10.0,16.0,4.0,26.0,348.0,,0.0,233.0,5.0,3.0,1.0,,1.0,83.0,117.0,11.0,95.0,37.0,22.0,7.0,14.0,4.0,138.0,2.0,5.0,196.0,831.0,,10.0,1.0,33.0,6.0,547.0,22.0,2.0,3.0,2.0,2.0,,6.0,13.0,611.0,70.0,1.0,95715,9.0,229.0,21.0,1.0,236.0,3.0,22.0,6.0,35.0,2.0,1.0,3.0,4.0,1.0,10.0,1.0,6.0,4.0,31.0,567.0,9.0,,5.0,3.0,9.0,56.0,,1.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,4.0,2.0,1.0,8.0,69.4,13.0,3.0,5.0,3.0,4.0,6.0,43.0,19.0,631.0,6.0,13.0,16.0,10.0,59.0,6.0,6.0,448.0,9.0,3.0,11.0,190.0,25.0,,1.0,3.0,16.0,1.0,2.0,12.0,5.0,12.0,1.0,10.0,19.0,1.0,,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
15,2292957,2022-11-06 16:30:00,"Tottenham Hotspur Stadium, London",62008,Home,Tottenham Hotspur,Liverpool,1,2,L,0,2,0,0,,,30.0,71.0,1.0,,1.0,,32.0,12.0,3.0,4.0,11.0,4.0,,1.0,143.0,,12.0,10.0,9.0,1.0,3.0,9.0,5.0,160.0,156.0,45.0,14.0,2.0,12.0,4.0,,1.0,1.0,1.0,,33.0,11.0,,12.0,5.0,3.0,49.0,218.0,,0.0,154.0,10.0,,4.0,,,58.0,72.0,4.0,80.0,28.0,20.0,3.0,13.0,1.0,156.0,3.0,7.0,135.0,727.0,,5.0,1.0,29.0,13.0,414.0,24.0,,10.0,1.0,0.0,4.0,5.0,20.0,500.0,58.0,,95715,6.0,220.0,13.0,,244.0,5.0,14.0,6.0,43.0,,,1.0,3.0,1.0,21.0,6.0,4.0,2.0,61.0,428.0,7.0,7.0,3.0,12.0,2.0,69.0,,,,0.0,3.0,2.0,1.0,2.0,0.0,8.0,1.0,1.0,6.0,46.6,16.0,3.0,10.0,2.0,3.0,3.0,41.0,5.0,518.0,13.0,9.0,26.0,6.0,45.0,2.0,4.0,307.0,4.0,3.0,14.0,110.0,33.0,1.0,3.0,10.0,15.0,,2.0,10.0,3.0,14.0,3.0,14.0,5.0,,,,3.0,2.0,,,3.0,4.0,2.0,1.0,,,2.0,,1.0,,1.0,,,,,2.0,,,,3.0,1.0,,,,3.0,,,3.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,2292967,2022-11-12 15:00:00,"Tottenham Hotspur Stadium, London",61667,Home,Tottenham Hotspur,Leeds United,4,3,W,1,2,0,1,1.0,2.0,26.0,56.0,,,2.0,,39.0,9.0,3.0,5.0,11.0,2.0,2.0,3.0,170.0,3.0,15.0,1.0,12.0,4.0,2.0,9.0,8.0,147.0,155.0,45.0,14.0,1.0,13.0,4.0,,2.0,1.0,3.0,1.0,28.0,8.0,,9.0,7.0,5.0,45.0,189.0,1.0,0.0,140.0,8.0,3.0,1.0,,2.0,60.0,92.0,7.0,79.0,21.0,24.0,3.0,8.0,1.0,155.0,4.0,9.0,149.0,738.0,,7.0,4.0,32.0,12.0,430.0,23.0,1.0,3.0,1.0,1.0,4.0,2.0,28.0,524.0,69.0,1.0,95715,6.0,262.0,13.0,,287.0,4.0,9.0,5.0,42.0,1.0,1.0,,3.0,3.0,9.0,3.0,5.0,1.0,69.0,450.0,7.0,3.0,1.0,14.0,2.0,66.0,,1.0,,0.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,,54.7,24.0,,4.0,3.0,3.0,3.0,32.0,9.0,545.0,12.0,8.0,22.0,3.0,32.0,,2.0,286.0,9.0,5.0,14.0,97.0,24.0,1.0,,3.0,12.0,,3.0,11.0,4.0,23.0,,9.0,9.0,,,1.0,,,1.0,,,4.0,,2.0,1.0,,1.0,4.0,,,,,,1.0,,,,,5.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,2292972,2022-12-26 12:30:00,"Gtech Community Stadium, Brentford",17137,Away,Tottenham Hotspur,Brentford,2,2,D,0,1,0,0,3.0,,24.0,77.0,,,1.0,,18.0,20.0,8.0,4.0,7.0,3.0,,2.0,168.0,,10.0,10.0,12.0,2.0,2.0,12.0,8.0,128.0,168.0,67.0,15.0,4.0,14.0,2.0,,1.0,1.0,2.0,1.0,26.0,8.0,4.0,20.0,5.0,3.0,33.0,227.0,1.0,0.0,152.0,10.0,1.0,,,1.0,63.0,80.0,10.0,76.0,21.0,18.0,8.0,7.0,,168.0,,8.0,139.0,736.0,,11.0,5.0,23.0,5.0,403.0,24.0,5.0,14.0,1.0,1.0,1.0,2.0,24.0,495.0,53.0,,93264,5.0,201.0,13.0,,231.0,1.0,9.0,5.0,42.0,1.0,,5.0,9.0,2.0,25.0,1.0,4.0,,37.0,418.0,10.0,3.0,,15.0,1.0,57.0,,1.0,,0.0,6.0,3.0,2.0,2.0,0.0,9.0,1.0,1.0,4.0,60.9,12.0,1.0,9.0,,9.0,5.0,37.0,5.0,511.0,5.0,12.0,17.0,2.0,38.0,1.0,2.0,306.0,7.0,3.0,28.0,107.0,35.0,1.0,1.0,14.0,18.0,1.0,2.0,13.0,2.0,16.0,1.0,9.0,5.0,,,,2.0,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
18,2292987,2023-01-01 14:00:00,"Tottenham Hotspur Stadium, London",61651,Home,Tottenham Hotspur,Aston Villa,0,2,L,0,0,0,0,,,26.0,58.0,,,1.0,,21.0,9.0,1.0,2.0,4.0,2.0,,1.0,163.0,,11.0,3.0,5.0,,3.0,5.0,2.0,171.0,137.0,38.0,6.0,1.0,7.0,1.0,,,,,,23.0,8.0,1.0,9.0,5.0,3.0,43.0,294.0,,0.0,153.0,15.0,,1.0,,,64.0,80.0,3.0,75.0,18.0,22.0,2.0,9.0,,137.0,1.0,6.0,170.0,747.0,,5.0,4.0,12.0,11.0,484.0,25.0,2.0,4.0,,4.0,5.0,2.0,21.0,564.0,57.0,,93264,2.0,207.0,8.0,1.0,231.0,9.0,8.0,4.0,45.0,1.0,,1.0,3.0,,16.0,7.0,4.0,1.0,39.0,498.0,9.0,5.0,,6.0,,51.0,,,,0.0,3.0,,,2.0,0.0,2.0,,1.0,1.0,59.3,20.0,,5.0,1.0,3.0,2.0,40.0,5.0,579.0,11.0,14.0,23.0,2.0,33.0,1.0,2.0,371.0,3.0,3.0,10.0,113.0,25.0,,,4.0,14.0,,2.0,4.0,5.0,9.0,,8.0,5.0,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
19,2292994,2023-01-04 20:00:00,"Selhurst Park, London",25132,Away,Tottenham Hotspur,Crystal Palace,4,0,W,0,0,0,0,1.0,1.0,21.0,64.0,3.0,1.0,3.0,,32.0,28.0,5.0,6.0,9.0,4.0,2.0,1.0,177.0,,9.0,5.0,5.0,4.0,,8.0,6.0,140.0,125.0,56.0,14.0,2.0,8.0,,,4.0,2.0,1.0,1.0,14.0,14.0,2.0,28.0,3.0,1.0,52.0,170.0,1.0,0.0,102.0,8.0,,2.0,,1.0,51.0,74.0,6.0,90.0,11.0,13.0,5.0,5.0,1.0,125.0,2.0,9.0,138.0,751.0,,6.0,6.0,21.0,9.0,447.0,21.0,2.0,18.0,2.0,2.0,6.0,2.0,15.0,519.0,40.0,1.0,93264,4.0,305.0,6.0,,327.0,6.0,4.0,11.0,48.0,5.0,,2.0,8.0,4.0,16.0,10.0,10.0,,57.0,470.0,10.0,10.0,,7.0,,73.0,,,,0.0,10.0,3.0,4.0,,0.0,4.0,2.0,,2.0,53.3,14.0,1.0,3.0,,8.0,5.0,43.0,4.0,545.0,9.0,11.0,29.0,3.0,28.0,1.0,2.0,232.0,6.0,1.0,19.0,73.0,31.0,3.0,,18.0,22.0,1.0,,14.0,5.0,16.0,,4.0,4.0,,1.0,,,,2.0,,,1.0,,1.0,3.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
20,2293008,2023-01-15 16:30:00,"Tottenham Hotspur Stadium, London",61870,Home,Tottenham Hotspur,Arsenal,0,2,L,0,2,0,0,2.0,,17.0,57.0,,,3.0,,20.0,21.0,4.0,6.0,13.0,4.0,,3.0,137.0,,10.0,4.0,7.0,,2.0,13.0,7.0,123.0,132.0,58.0,17.0,3.0,13.0,6.0,,3.0,,2.0,1.0,22.0,11.0,1.0,21.0,3.0,3.0,38.0,197.0,,0.0,117.0,16.0,,3.0,,,46.0,66.0,11.0,73.0,19.0,18.0,4.0,11.0,,132.0,2.0,9.0,128.0,657.0,,13.0,3.0,26.0,11.0,358.0,29.0,1.0,15.0,,4.0,4.0,2.0,28.0,434.0,50.0,2.0,93264,8.0,188.0,7.0,1.0,225.0,11.0,6.0,4.0,48.0,3.0,,1.0,2.0,,16.0,6.0,3.0,1.0,52.0,381.0,13.0,6.0,,6.0,1.0,55.0,,3.0,1.0,0.0,3.0,3.0,,2.0,0.0,4.0,,,2.0,50.6,24.0,,5.0,2.0,2.0,6.0,33.0,4.0,461.0,11.0,10.0,14.0,4.0,28.0,,4.0,258.0,9.0,3.0,22.0,89.0,17.0,,,15.0,17.0,,1.0,15.0,5.0,10.0,,6.0,4.0,,,,2.0,1.0,1.0,,2.0,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,2.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
21,2293013,2023-01-23 20:15:00,"Craven Cottage, London",24190,Away,Tottenham Hotspur,Fulham,1,0,W,1,0,0,0,,,16.0,63.0,,1.0,2.0,,18.0,31.0,3.0,3.0,7.0,5.0,,1.0,161.0,,8.0,3.0,5.0,1.0,2.0,7.0,3.0,111.0,146.0,59.0,10.0,1.0,9.0,2.0,,2.0,1.0,,,12.0,12.0,,31.0,4.0,5.0,32.0,131.0,,0.0,87.0,10.0,,2.0,,,40.0,42.0,4.0,62.0,8.0,18.0,3.0,3.0,1.0,146.0,1.0,6.0,112.0,643.0,,6.0,7.0,18.0,7.0,329.0,27.0,2.0,13.0,1.0,3.0,1.0,3.0,16.0,423.0,31.0,,93264,2.0,221.0,4.0,,256.0,6.0,6.0,6.0,42.0,,,,5.0,1.0,14.0,4.0,5.0,1.0,43.0,349.0,10.0,4.0,,15.0,5.0,61.0,,1.0,,0.0,3.0,2.0,,,0.0,3.0,,,1.0,47.1,10.0,,5.0,2.0,5.0,3.0,32.0,8.0,446.0,7.0,6.0,20.0,4.0,20.0,,3.0,202.0,6.0,5.0,21.0,54.0,24.0,1.0,,13.0,23.0,,,4.0,2.0,18.0,,6.0,8.0,,,1.0,,1.0,,,1.0,1.0,,1.0,4.0,1.0,3.0,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2293028,2023-02-05 16:30:00,"Tottenham Hotspur Stadium, London",61747,Home,Tottenham Hotspur,Manchester City,1,0,W,1,0,1,0,1.0,1.0,20.0,57.0,1.0,,3.0,,14.0,24.0,3.0,4.0,9.0,5.0,,1.0,128.0,,10.0,3.0,6.0,1.0,,8.0,3.0,64.0,116.0,43.0,12.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,8.0,1.0,24.0,3.0,,31.0,80.0,,0.0,69.0,19.0,,1.0,1.0,,20.0,30.0,4.0,47.0,7.0,11.0,3.0,1.0,1.0,116.0,2.0,10.0,64.0,478.0,,6.0,4.0,29.0,9.0,206.0,25.0,1.0,17.0,1.0,2.0,5.0,4.0,10.0,271.0,27.0,,93264,5.0,149.0,6.0,2.0,180.0,13.0,3.0,11.0,59.0,,,2.0,5.0,1.0,10.0,5.0,5.0,1.0,45.0,226.0,14.0,6.0,1.0,10.0,5.0,49.0,1.0,,1.0,0.0,6.0,2.0,1.0,,1.0,2.0,1.0,,1.0,35.2,9.0,1.0,3.0,,5.0,4.0,24.0,4.0,303.0,9.0,10.0,12.0,5.0,15.0,1.0,4.0,133.0,7.0,,9.0,39.0,19.0,1.0,1.0,17.0,14.0,,,7.0,3.0,15.0,1.0,3.0,4.0,,,,1.0,,,,,1.0,,1.0,1.0,,3.0,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
23,2293035,2023-02-11 15:00:00,"King Power Stadium, Leicester",32184,Away,Tottenham Hotspur,Leicester City,1,4,L,1,3,0,0,1.0,1.0,19.0,68.0,,1.0,,,19.0,10.0,3.0,4.0,8.0,2.0,,2.0,166.0,,13.0,4.0,15.0,1.0,3.0,5.0,4.0,112.0,140.0,65.0,11.0,1.0,10.0,1.0,,2.0,,1.0,2.0,13.0,6.0,2.0,10.0,5.0,4.0,30.0,153.0,2.0,0.0,79.0,9.0,,2.0,,1.0,41.0,48.0,,73.0,8.0,19.0,3.0,3.0,,140.0,,12.0,117.0,647.0,,4.0,4.0,18.0,9.0,366.0,23.0,3.0,3.0,,2.0,3.0,5.0,14.0,445.0,40.0,,95715,2.0,238.0,5.0,,274.0,7.0,9.0,5.0,56.0,,,2.0,6.0,,19.0,3.0,3.0,1.0,37.0,387.0,14.0,10.0,1.0,12.0,3.0,56.0,,,,0.0,1.0,3.0,1.0,4.0,0.0,3.0,,,,51.1,12.0,,7.0,1.0,6.0,1.0,42.0,5.0,468.0,9.0,12.0,14.0,6.0,16.0,1.0,6.0,207.0,6.0,4.0,26.0,53.0,32.0,,1.0,3.0,10.0,,3.0,6.0,5.0,30.0,1.0,9.0,5.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,3.0,2.0,2.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,
24,2293048,2023-02-19 16:30:00,"Tottenham Hotspur Stadium, London",61476,Home,Tottenham Hotspur,West Ham United,2,0,W,0,0,0,0,2.0,2.0,21.0,71.0,1.0,1.0,1.0,,22.0,28.0,8.0,5.0,8.0,1.0,,2.0,185.0,,13.0,3.0,5.0,2.0,1.0,12.0,6.0,149.0,140.0,51.0,16.0,5.0,20.0,2.0,,2.0,2.0,3.0,2.0,20.0,13.0,2.0,28.0,4.0,3.0,35.0,212.0,,0.0,140.0,16.0,,1.0,,1.0,58.0,50.0,10.0,74.0,16.0,17.0,8.0,6.0,1.0,140.0,2.0,4.0,136.0,738.0,,9.0,2.0,31.0,8.0,445.0,28.0,2.0,17.0,2.0,2.0,1.0,2.0,14.0,526.0,52.0,2.0,95715,4.0,251.0,10.0,,277.0,13.0,11.0,6.0,64.0,3.0,,,2.0,2.0,19.0,2.0,5.0,1.0,43.0,460.0,8.0,10.0,1.0,9.0,1.0,63.0,,,1.0,0.0,7.0,1.0,2.0,,0.0,2.0,2.0,,1.0,57.0,13.0,1.0,6.0,,2.0,6.0,35.0,4.0,544.0,8.0,10.0,17.0,4.0,34.0,1.0,3.0,287.0,10.0,2.0,19.0,105.0,34.0,,3.0,17.0,19.0,,,15.0,4.0,13.0,3.0,11.0,4.0,,1.0,,1.0,,1.0,1.0,,1.0,,2.0,1.0,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,2293058,2023-02-26 13:30:00,"Tottenham Hotspur Stadium, London",61613,Home,Tottenham Hotspur,Chelsea,2,0,W,0,0,0,0,,1.0,18.0,57.0,1.0,,,1.0,24.0,22.0,4.0,1.0,4.0,2.0,,1.0,129.0,,10.0,2.0,11.0,2.0,,6.0,3.0,123.0,122.0,65.0,8.0,1.0,11.0,1.0,,1.0,,1.0,1.0,13.0,16.0,,22.0,3.0,2.0,37.0,147.0,,0.0,96.0,10.0,,,,1.0,44.0,42.0,3.0,47.0,10.0,27.0,4.0,3.0,2.0,122.0,1.0,1.0,111.0,604.0,,4.0,8.0,16.0,10.0,317.0,22.0,,15.0,1.0,2.0,3.0,3.0,12.0,388.0,35.0,,95715,1.0,192.0,7.0,,221.0,6.0,10.0,8.0,50.0,1.0,,,9.0,1.0,16.0,9.0,8.0,1.0,45.0,337.0,9.0,10.0,1.0,8.0,2.0,39.0,,,,0.0,4.0,1.0,1.0,,0.0,,,,1.0,41.2,10.0,1.0,6.0,1.0,9.0,1.0,23.0,4.0,410.0,10.0,10.0,19.0,4.0,16.0,2.0,2.0,202.0,6.0,2.0,17.0,68.0,20.0,1.0,1.0,15.0,27.0,,,6.0,2.0,20.0,1.0,10.0,4.0,,,1.0,,,,,,,,2.0,4.0,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,2293069,2023-03-04 15:00:00,"Molineux Stadium, Wolverhampton",31585,Away,Tottenham Hotspur,Wolverhampton Wanderers,0,1,L,0,0,0,0,3.0,,20.0,46.0,,,3.0,,24.0,10.0,14.0,9.0,7.0,4.0,,1.0,157.0,,12.0,5.0,8.0,,3.0,14.0,6.0,120.0,117.0,33.0,21.0,6.0,9.0,3.0,,3.0,,,3.0,25.0,3.0,3.0,10.0,6.0,2.0,37.0,210.0,1.0,0.0,123.0,18.0,,3.0,,,53.0,48.0,11.0,78.0,19.0,23.0,14.0,6.0,4.0,117.0,2.0,4.0,118.0,641.0,,12.0,2.0,26.0,6.0,391.0,20.0,2.0,5.0,,1.0,,3.0,20.0,454.0,49.0,2.0,95715,1.0,201.0,12.0,1.0,224.0,10.0,11.0,4.0,52.0,2.0,,1.0,2.0,,9.0,4.0,4.0,,48.0,406.0,10.0,8.0,2.0,9.0,4.0,51.0,,1.0,,0.0,4.0,1.0,,1.0,0.0,4.0,,,2.0,53.5,18.0,,1.0,1.0,2.0,9.0,34.0,8.0,473.0,6.0,13.0,20.0,6.0,34.0,1.0,1.0,274.0,10.0,2.0,10.0,91.0,23.0,,1.0,5.0,5.0,,1.0,12.0,3.0,13.0,1.0,11.0,8.0,,,,2.0,1.0,,,2.0,2.0,3.0,,1.0,1.0,3.0,,1.0,1.0,,,1.0,,,2.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,
