gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attLfGoal,attGoalLowCentre,goals,fouledFinalThird,attFreekickTotal,attBxRight,postScoringAtt,goalAssistOpenplay,goalFastbreak,attMissLeft,attIboxPost,attOboxGoal,midfielderGoals,freekickCross,freekickTotal,subsGoals,hitWoodwork,goalAssist,accurateThroughBall,attRfGoal,goalsOpenplay,attGoalHighLeft,attSvLowRight,attIboxGoal,goalAssistIntentional,attPostRight,forwardGoals,effectiveBlockedCross,attHdGoal,blockedCross,attSvHighRight,attSvHighLeft,attHdTarget,accurateFreekickCross,fastestPlayer_topSpeed,attSetpiece,totalDistance,attAssistSetplay,attCmissLeft,attFreekickTarget,ptsDroppedWinningPos,penaltySave,attGoalLowRight,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attMissHighRight,cleanSheet,expectedAssists,penaltyConceded,punches,attCmissHighRight,penaltyFaced,expectedGoals,attOneOnOne,attGoalHighRight,penaltyWon,ptsGainedLosingPos,attCmissHigh,attPenGoal,attFreekickGoal,foulThrowIn,errorLeadToGoal,handBall,accuratePullBack,attMissHighLeft,attCmissHighLeft,contentiousDecision,penGoalsConceded,attPostLeft,attHdPost,clearanceOffLine,attFreekickMiss,sixYardBlock,goalAssistSetplay,goalAssistDeadball,defenderGoals,attPostHigh,attGoalHighCentre,attObxLeft,secondYellow,attObxdLeft,attOboxPost,expectedGoalsFreekick,attPenTarget
11,2444572,2024-11-10 16:30:00,"Stamford Bridge, London",39780,Home,Chelsea,Arsenal,1,1,D,0,0,0,0,,1.0,43.0,,,24.0,18.0,12.0,11.0,5.0,2.0,,127.0,5.0,7.0,13.0,,3.0,110.0,95.0,47.0,17.0,8.0,10.0,1.0,2.0,1.0,1.0,14.0,16.0,1.0,18.0,3.0,9.0,27.0,163.0,0.0,98.0,12.0,,2.0,,1.0,45.0,40.0,8.0,58.0,,2.0,11.0,13.0,12.0,3.0,2.0,95.0,1.0,8.0,124.0,583.0,12.0,2.0,22.0,7.0,335.0,18.0,3.0,8.0,1.0,4.0,6.0,5.0,9.0,392.0,44.0,1.0,551230,3.0,200.0,1.0,8.0,224.0,6.0,2.0,7.0,8.0,43.0,,1.0,4.0,11.0,5.0,8.0,2.0,50.0,358.0,12.0,8.0,19.0,1.0,45.0,2.0,0.0,,3.0,2.0,1.0,1.0,0.0,5.0,,4.0,49.3,9.0,3.0,2.0,,,4.0,8.0,27.0,4.0,1.0,419.0,7.0,8.0,14.0,6.0,18.0,,4.0,209.0,2.0,8.0,9.0,73.0,18.0,8.0,19.0,1.0,12.0,4.0,12.0,7.0,4.0,,,1.0,,1.0,3.0,3.0,,,1.0,,,,1.0,1.0,,3.0,,,1.0,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,
12,2444586,2024-11-23 12:30:00,"King Power Stadium, Leicester",31880,Away,Chelsea,Leicester City,2,1,W,1,0,0,0,,3.0,47.0,,2.0,19.0,11.0,5.0,4.0,11.0,,1.0,191.0,2.0,10.0,11.0,1.0,7.0,165.0,133.0,51.0,16.0,1.0,7.0,5.0,1.0,1.0,2.0,15.0,11.0,,11.0,6.0,7.0,21.0,295.0,0.0,159.0,12.0,,1.0,2.0,,69.0,63.0,8.0,88.0,,2.0,9.0,19.0,5.0,4.0,4.0,133.0,2.0,4.0,165.0,786.0,9.0,7.0,38.0,9.0,506.0,13.0,2.0,3.0,1.0,3.0,1.0,3.0,17.0,582.0,67.0,,551230,3.0,235.0,2.0,5.0,257.0,6.0,1.0,7.0,4.0,42.0,2.0,1.0,3.0,14.0,,3.0,2.0,40.0,528.0,15.0,6.0,17.0,3.0,69.0,1.0,0.0,1.0,2.0,,1.0,2.0,0.0,2.0,2.0,2.0,63.3,12.0,,4.0,3.0,,3.0,3.0,47.0,9.0,,609.0,9.0,4.0,14.0,6.0,30.0,,2.0,367.0,10.0,6.0,8.0,121.0,27.0,3.0,18.0,1.0,13.0,4.0,24.0,7.0,9.0,2.0,1.0,,,2.0,2.0,,2.0,,1.0,,2.0,,,1.0,,,,,1.0,,1.0,2.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,
13,2444592,2024-12-01 13:30:00,"Stamford Bridge, London",39689,Home,Chelsea,Aston Villa,3,0,W,2,0,0,0,,2.0,50.0,,3.0,17.0,5.0,5.0,7.0,12.0,3.0,3.0,140.0,2.0,8.0,10.0,1.0,8.0,175.0,99.0,34.0,17.0,,7.0,4.0,2.0,4.0,1.0,12.0,10.0,1.0,5.0,3.0,13.0,26.0,283.0,0.0,142.0,21.0,1.0,2.0,,1.0,84.0,41.0,6.0,102.0,,3.0,9.0,16.0,5.0,2.0,3.0,99.0,,8.0,206.0,768.0,7.0,2.0,32.0,3.0,552.0,21.0,2.0,5.0,4.0,2.0,4.0,4.0,9.0,610.0,66.0,1.0,551230,6.0,280.0,2.0,7.0,298.0,8.0,,9.0,3.0,47.0,4.0,3.0,9.0,4.0,2.0,,,40.0,561.0,4.0,5.0,13.0,,66.0,2.0,0.0,1.0,4.0,4.0,,1.0,0.0,1.0,,1.0,64.1,7.0,1.0,5.0,3.0,,9.0,3.0,48.0,3.0,1.0,623.0,3.0,9.0,13.0,6.0,18.0,1.0,3.0,337.0,9.0,13.0,5.0,108.0,13.0,5.0,17.0,,14.0,5.0,15.0,9.0,3.0,,1.0,2.0,,3.0,3.0,,2.0,,1.0,,,,1.0,2.0,,,,,2.0,,1.0,2.0,1.0,4.0,2.0,1.0,,1.0,,,,,,,,,3.0,,1.0,,,,,1.0,,,2.0,1.0,,,,,,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,
14,2444609,2024-12-04 19:30:00,"St. Mary's Stadium, Southampton",31193,Away,Chelsea,Southampton,5,1,W,3,1,0,1,,4.0,44.0,,4.0,11.0,9.0,4.0,11.0,22.0,3.0,4.0,155.0,3.0,4.0,17.0,1.0,13.0,145.0,71.0,31.0,26.0,2.0,7.0,8.0,3.0,,2.0,12.0,10.0,,9.0,5.0,6.0,18.0,305.0,0.0,172.0,14.0,2.0,4.0,2.0,1.0,36.0,100.0,13.0,88.0,,2.0,7.0,9.0,4.0,2.0,1.0,71.0,8.0,6.0,147.0,678.0,12.0,2.0,51.0,8.0,480.0,18.0,,2.0,,0.0,2.0,4.0,8.0,521.0,59.0,1.0,551230,7.0,192.0,9.0,5.0,204.0,8.0,3.0,8.0,1.0,46.0,6.0,1.0,3.0,6.0,,1.0,1.0,18.0,494.0,6.0,14.0,6.0,5.0,45.0,3.0,0.0,,5.0,3.0,1.0,,0.0,2.0,,4.0,54.9,8.0,2.0,6.0,1.0,,4.0,6.0,39.0,7.0,1.0,535.0,8.0,6.0,13.0,7.0,31.0,1.0,4.0,343.0,11.0,6.0,6.0,149.0,15.0,2.0,15.0,1.0,20.0,3.0,10.0,8.0,7.0,3.0,2.0,2.0,2.0,5.0,1.0,1.0,7.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,,1.0,1.0,3.0,5.0,4.0,2.0,4.0,,4.0,4.0,3.0,1.0,1.0,5.0,1.0,5.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
15,2444618,2024-12-08 16:30:00,"Tottenham Hotspur Stadium, London",61184,Away,Chelsea,Tottenham Hotspur,4,3,W,1,2,0,0,,2.0,46.0,,5.0,19.0,7.0,5.0,8.0,12.0,2.0,2.0,168.0,4.0,10.0,14.0,1.0,8.0,125.0,117.0,52.0,17.0,,8.0,2.0,2.0,1.0,1.0,16.0,13.0,2.0,7.0,7.0,10.0,29.0,217.0,0.0,153.0,11.0,,2.0,,,56.0,62.0,9.0,107.0,,2.0,9.0,16.0,5.0,3.0,2.0,117.0,1.0,11.0,117.0,696.0,11.0,,47.0,12.0,420.0,17.0,1.0,3.0,1.0,3.0,3.0,4.0,18.0,487.0,51.0,2.0,551230,6.0,233.0,1.0,5.0,255.0,7.0,2.0,8.0,6.0,46.0,1.0,2.0,3.0,13.0,2.0,3.0,,50.0,446.0,16.0,8.0,19.0,4.0,54.0,2.0,0.0,,5.0,2.0,3.0,,0.0,3.0,,2.0,61.5,18.0,2.0,6.0,1.0,,3.0,5.0,30.0,10.0,,517.0,12.0,8.0,13.0,4.0,31.0,1.0,2.0,278.0,7.0,10.0,8.0,120.0,20.0,3.0,18.0,3.0,11.0,5.0,21.0,8.0,10.0,2.0,2.0,3.0,1.0,4.0,4.0,,3.0,,1.0,,1.0,,1.0,4.0,1.0,,,,1.0,1.0,1.0,2.0,,3.0,3.0,,,,2.0,,2.0,,,,,,,,1.0,,,,,1.0,4.1897,2.0263,1.0,,1.73995,,,,,2.8274,,,2.0,3.0,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,
16,2444623,2024-12-15 19:00:00,"Stamford Bridge, London",39751,Home,Chelsea,Brentford,2,1,W,1,0,1,0,1.0,4.0,63.0,1.0,6.0,25.0,20.0,5.0,12.0,20.0,3.0,2.0,165.0,10.0,5.0,19.0,1.0,8.0,132.0,137.0,47.0,26.0,2.0,19.0,4.0,4.0,2.0,2.0,34.0,8.0,2.0,20.0,5.0,5.0,28.0,278.0,0.0,195.0,11.0,1.0,5.0,1.0,6.0,88.0,71.0,11.0,97.0,,4.0,29.0,17.0,6.0,16.0,2.0,137.0,3.0,7.0,124.0,733.0,15.0,2.0,51.0,8.0,430.0,21.0,3.0,12.0,2.0,0.0,2.0,8.0,21.0,502.0,69.0,,577016,11.0,175.0,3.0,11.0,202.0,5.0,2.0,6.0,3.0,49.0,,1.0,11.0,17.0,2.0,3.0,1.0,51.0,443.0,7.0,4.0,19.0,4.0,53.0,4.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,9.0,3.0,5.0,61.7,19.0,3.0,12.0,2.0,2.0,11.0,8.0,29.0,8.0,6.0,518.0,8.0,6.0,13.0,10.0,40.0,1.0,8.0,350.0,9.0,5.0,20.0,165.0,17.0,12.0,15.0,,21.0,1.0,16.0,6.0,8.0,1.0,1.0,,,2.0,3.0,,5.0,,2.0,1.0,4.0,,,,2.0,,,,2.0,,1.0,2.0,,1.0,2.0,1.0,,1.0,2.0,1.0,2.0,,,,1.0,,1.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,2.0,,,1.0,,,1.0,1.0,,,,
17,2444633,2024-12-22 14:00:00,"Goodison Park, Liverpool",39308,Away,Chelsea,Everton,0,0,D,0,0,0,0,,2.0,40.0,3.0,1.0,29.0,12.0,5.0,4.0,6.0,4.0,3.0,164.0,3.0,17.0,7.0,,5.0,193.0,120.0,68.0,12.0,3.0,9.0,3.0,,,2.0,18.0,14.0,2.0,12.0,4.0,17.0,33.0,264.0,0.0,155.0,12.0,2.0,,2.0,2.0,84.0,63.0,5.0,98.0,1.0,1.0,14.0,11.0,6.0,3.0,1.0,120.0,2.0,2.0,187.0,839.0,6.0,2.0,23.0,2.0,555.0,18.0,1.0,6.0,,1.0,1.0,2.0,20.0,620.0,64.0,1.0,247632,3.0,316.0,3.0,8.0,331.0,4.0,,5.0,1.0,55.0,1.0,1.0,5.0,9.0,3.0,1.0,1.0,50.0,577.0,19.0,5.0,9.0,2.0,71.0,,0.0,,2.0,1.0,,1.0,0.0,2.0,,3.0,75.0,20.0,1.0,2.0,,,5.0,4.0,46.0,5.0,2.0,642.0,2.0,12.0,17.0,3.0,23.0,1.0,1.0,329.0,5.0,16.0,9.0,121.0,15.0,6.0,23.0,,8.0,2.0,35.0,5.0,5.0,,,,,,6.0,2.0,2.0,1.0,,,,1.0,,,3.0,2.0,,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,,,,2.0,34.68,,95894.27,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,
18,2444643,2024-12-26 15:00:00,"Stamford Bridge, London",39687,Home,Chelsea,Fulham,1,2,L,1,0,0,0,,3.0,50.0,1.0,2.0,16.0,16.0,5.0,7.0,7.0,5.0,3.0,151.0,2.0,8.0,9.0,,8.0,142.0,118.0,40.0,12.0,1.0,11.0,5.0,1.0,5.0,2.0,14.0,7.0,2.0,16.0,2.0,9.0,29.0,195.0,0.0,134.0,13.0,1.0,1.0,3.0,1.0,68.0,50.0,8.0,83.0,1.0,,12.0,12.0,5.0,6.0,1.0,118.0,2.0,10.0,130.0,661.0,7.0,3.0,24.0,6.0,399.0,11.0,3.0,8.0,5.0,1.0,,1.0,12.0,481.0,67.0,,577016,6.0,229.0,3.0,5.0,243.0,7.0,,4.0,9.0,46.0,4.0,3.0,8.0,9.0,4.0,9.0,,44.0,422.0,13.0,14.0,19.0,,68.0,1.0,0.0,,1.0,4.0,2.0,,0.0,2.0,,2.0,47.1,11.0,,1.0,,,8.0,3.0,38.0,3.0,1.0,506.0,6.0,4.0,10.0,1.0,20.0,,,277.0,3.0,8.0,7.0,85.0,30.0,8.0,12.0,2.0,8.0,1.0,13.0,4.0,3.0,,1.0,1.0,,1.0,5.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,3.0,,3.0,,2.0,1.0,,,3.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
19,2444655,2024-12-30 19:45:00,"Portman Road, Ipswich",29968,Away,Chelsea,Ipswich Town,0,2,L,0,1,0,0,,1.0,47.0,,5.0,16.0,14.0,7.0,9.0,13.0,4.0,3.0,205.0,2.0,4.0,19.0,1.0,5.0,228.0,128.0,38.0,20.0,3.0,15.0,3.0,1.0,,,19.0,5.0,2.0,14.0,5.0,18.0,28.0,402.0,0.0,219.0,5.0,3.0,1.0,2.0,,89.0,69.0,12.0,85.0,,1.0,14.0,13.0,7.0,10.0,1.0,128.0,3.0,8.0,211.0,898.0,17.0,1.0,36.0,5.0,636.0,18.0,3.0,7.0,,4.0,2.0,5.0,21.0,708.0,80.0,1.0,577016,7.0,255.0,4.0,4.0,271.0,2.0,,3.0,6.0,39.0,1.0,2.0,3.0,15.0,1.0,6.0,3.0,33.0,655.0,7.0,3.0,11.0,,70.0,1.0,0.0,1.0,4.0,4.0,2.0,,0.0,1.0,,2.0,75.9,19.0,1.0,6.0,3.0,1.0,3.0,8.0,47.0,7.0,,729.0,5.0,10.0,15.0,7.0,40.0,1.0,5.0,477.0,9.0,18.0,16.0,185.0,20.0,7.0,11.0,2.0,18.0,4.0,11.0,3.0,7.0,,,,,,4.0,,2.0,1.0,,,,,,,,,,2.0,,1.0,,,,2.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,
20,2444663,2025-01-04 15:00:00,"Selhurst Park, London",25179,Away,Chelsea,Crystal Palace,1,1,D,1,0,0,0,,,64.0,1.0,4.0,39.0,13.0,4.0,5.0,11.0,5.0,,153.0,3.0,6.0,13.0,1.0,1.0,159.0,132.0,35.0,15.0,,17.0,,1.0,1.0,,14.0,5.0,,13.0,6.0,7.0,28.0,249.0,0.0,163.0,12.0,2.0,1.0,,1.0,74.0,84.0,4.0,115.0,1.0,4.0,8.0,20.0,4.0,3.0,4.0,132.0,2.0,10.0,139.0,750.0,10.0,4.0,32.0,8.0,473.0,19.0,5.0,3.0,1.0,2.0,5.0,9.0,18.0,550.0,62.0,1.0,577016,5.0,241.0,1.0,4.0,260.0,8.0,2.0,7.0,2.0,57.0,1.0,,9.0,14.0,3.0,2.0,2.0,67.0,487.0,9.0,4.0,18.0,1.0,76.0,1.0,0.0,,6.0,4.0,1.0,1.0,0.0,2.0,,1.0,61.6,17.0,1.0,7.0,3.0,,10.0,4.0,54.0,6.0,1.0,566.0,8.0,15.0,13.0,10.0,32.0,1.0,6.0,320.0,8.0,7.0,8.0,120.0,26.0,3.0,12.0,1.0,12.0,2.0,17.0,7.0,6.0,1.0,,1.0,,1.0,4.0,,1.0,,1.0,,4.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,3.0,,3.0,,,,,,2.0,,2.0,2.0,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21,2444677,2025-01-14 19:30:00,"Stamford Bridge, London",39092,Home,Chelsea,Bournemouth,2,2,D,1,0,0,0,,3.0,45.0,,6.0,33.0,8.0,10.0,9.0,16.0,1.0,3.0,150.0,5.0,14.0,20.0,1.0,10.0,100.0,121.0,56.0,26.0,3.0,12.0,3.0,2.0,,1.0,16.0,7.0,5.0,8.0,6.0,10.0,23.0,155.0,0.0,116.0,15.0,,2.0,3.0,3.0,52.0,32.0,15.0,77.0,,2.0,10.0,9.0,10.0,3.0,,121.0,4.0,6.0,99.0,608.0,16.0,3.0,33.0,5.0,329.0,22.0,2.0,3.0,,2.0,1.0,4.0,22.0,400.0,49.0,1.0,248857,7.0,205.0,4.0,7.0,230.0,10.0,2.0,5.0,4.0,47.0,4.0,2.0,4.0,16.0,1.0,4.0,2.0,53.0,355.0,16.0,5.0,12.0,5.0,52.0,2.0,0.0,1.0,3.0,1.0,2.0,,0.0,3.0,2.0,4.0,56.9,18.0,2.0,4.0,4.0,1.0,4.0,9.0,29.0,9.0,3.0,426.0,5.0,2.0,13.0,7.0,23.0,2.0,6.0,212.0,13.0,10.0,15.0,85.0,13.0,3.0,11.0,2.0,16.0,4.0,28.0,5.0,9.0,1.0,,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,2.0,,2.0,1.0,,2.0,,34.43,1.0,106012.25,2.0,1.0,1.0,2.0,,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,
22,2444682,2025-01-20 20:00:00,"Stamford Bridge, London",39221,Home,Chelsea,Wolverhampton Wanderers,3,1,W,1,1,0,0,,2.0,43.0,1.0,4.0,24.0,19.0,4.0,8.0,15.0,3.0,1.0,172.0,6.0,7.0,12.0,,7.0,161.0,128.0,42.0,19.0,2.0,9.0,3.0,,,1.0,23.0,8.0,1.0,19.0,3.0,13.0,32.0,231.0,0.0,145.0,8.0,1.0,,1.0,1.0,62.0,71.0,7.0,86.0,1.0,2.0,20.0,10.0,4.0,7.0,1.0,128.0,3.0,6.0,148.0,775.0,9.0,7.0,52.0,7.0,487.0,12.0,1.0,9.0,,4.0,3.0,5.0,19.0,546.0,60.0,,577016,6.0,279.0,1.0,10.0,293.0,7.0,1.0,5.0,6.0,42.0,1.0,5.0,10.0,16.0,3.0,6.0,,48.0,504.0,14.0,5.0,15.0,4.0,63.0,,0.0,2.0,6.0,2.0,1.0,2.0,0.0,5.0,1.0,3.0,62.8,16.0,1.0,2.0,2.0,1.0,10.0,6.0,47.0,3.0,2.0,567.0,7.0,11.0,18.0,6.0,24.0,1.0,5.0,297.0,8.0,12.0,12.0,109.0,19.0,9.0,9.0,1.0,12.0,5.0,17.0,5.0,3.0,3.0,1.0,,1.0,3.0,4.0,,4.0,,1.0,,4.0,,,1.0,3.0,,,,2.0,,2.0,1.0,,1.0,3.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,3.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,2.0,,,,,,,,
23,2444696,2025-01-25 17:30:00,"Etihad Stadium, Manchester",52793,Away,Chelsea,Manchester City,1,3,L,1,1,0,0,1.0,3.0,35.0,1.0,2.0,25.0,12.0,3.0,6.0,7.0,3.0,,120.0,,11.0,8.0,,4.0,119.0,119.0,37.0,10.0,1.0,7.0,2.0,1.0,2.0,,9.0,8.0,1.0,12.0,3.0,5.0,33.0,133.0,0.0,82.0,8.0,2.0,1.0,1.0,,53.0,31.0,6.0,78.0,,,6.0,14.0,3.0,,1.0,119.0,2.0,9.0,108.0,572.0,6.0,3.0,23.0,4.0,333.0,16.0,2.0,1.0,3.0,2.0,3.0,2.0,28.0,403.0,37.0,1.0,517052,4.0,219.0,2.0,6.0,244.0,4.0,4.0,7.0,7.0,37.0,2.0,2.0,1.0,13.0,6.0,7.0,1.0,62.0,352.0,6.0,9.0,16.0,1.0,60.0,1.0,0.0,2.0,2.0,2.0,3.0,,0.0,,3.0,,43.0,22.0,,6.0,2.0,,2.0,3.0,31.0,3.0,,425.0,4.0,5.0,11.0,3.0,12.0,,2.0,190.0,4.0,5.0,8.0,54.0,11.0,1.0,12.0,2.0,8.0,3.0,19.0,7.0,4.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,,1.0,,,,,1.0,2.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,34.0,1.0,109643.25,1.0,,,3.0,,,1.8173,2.3483,1.0,,1.17784,,,,,1.8002,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,
24,2444703,2025-02-03 20:00:00,"Stamford Bridge, London",39459,Home,Chelsea,West Ham United,2,1,W,0,1,0,0,,2.0,43.0,1.0,8.0,14.0,14.0,7.0,9.0,15.0,4.0,,149.0,6.0,5.0,17.0,,3.0,201.0,122.0,57.0,22.0,2.0,13.0,,2.0,,,22.0,18.0,2.0,14.0,4.0,8.0,18.0,308.0,0.0,180.0,11.0,,2.0,,,60.0,101.0,9.0,86.0,,2.0,18.0,21.0,7.0,7.0,3.0,122.0,1.0,9.0,161.0,779.0,15.0,2.0,34.0,3.0,500.0,9.0,2.0,8.0,,3.0,3.0,8.0,19.0,580.0,67.0,1.0,247632,5.0,214.0,1.0,10.0,239.0,4.0,1.0,7.0,6.0,43.0,1.0,,5.0,10.0,5.0,5.0,,35.0,516.0,10.0,5.0,18.0,4.0,47.0,2.0,0.0,,3.0,3.0,1.0,,0.0,3.0,,5.0,67.9,18.0,3.0,6.0,4.0,,5.0,10.0,29.0,4.0,1.0,597.0,3.0,7.0,10.0,9.0,32.0,3.0,6.0,380.0,8.0,8.0,20.0,138.0,21.0,8.0,23.0,1.0,16.0,5.0,12.0,7.0,4.0,1.0,,1.0,,2.0,1.0,1.0,2.0,,,,3.0,,,,1.0,1.0,1.0,,,,,1.0,,1.0,2.0,,,,1.0,,1.0,1.0,,,,34.91,1.0,105617.18,2.0,1.0,1.0,,,1.0,0.3226,0.4107,1.0,,1.19867,,,,,1.6667,,,,3.0,,,,,1.0,,1.0,3.0,,,,,,,,3.0,,,,,,,,,,0.0338,
25,2444711,2025-02-14 20:00:00,"American Express Stadium, Falmer",31503,Away,Chelsea,Brighton and Hove Albion,0,3,L,0,2,0,0,1.0,,39.0,,2.0,17.0,9.0,2.0,6.0,6.0,3.0,,189.0,1.0,9.0,6.0,,,206.0,123.0,53.0,8.0,,13.0,,,,,18.0,4.0,,9.0,5.0,16.0,38.0,286.0,0.0,147.0,15.0,1.0,,,,65.0,72.0,2.0,125.0,,1.0,13.0,13.0,2.0,3.0,2.0,123.0,1.0,8.0,215.0,899.0,6.0,,26.0,7.0,637.0,11.0,,4.0,,2.0,2.0,4.0,17.0,708.0,62.0,3.0,247632,3.0,379.0,1.0,10.0,402.0,9.0,3.0,6.0,7.0,53.0,1.0,3.0,3.0,10.0,5.0,7.0,2.0,36.0,664.0,12.0,7.0,6.0,2.0,67.0,,0.0,2.0,2.0,2.0,3.0,,0.0,1.0,,1.0,69.5,17.0,1.0,3.0,1.0,,3.0,2.0,47.0,9.0,,735.0,7.0,9.0,20.0,6.0,28.0,,4.0,351.0,1.0,13.0,13.0,118.0,22.0,4.0,19.0,2.0,6.0,4.0,20.0,6.0,9.0,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,33.71,,110394.15,,,,,,,,1.8313,,,0.680506,,,,,0.5402,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,
