gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,attCmissRight,attPenTarget,freekickCross,goodHighClaim,contentiousDecision,attHdTarget,totalKeeperSweeper,bigChanceMissed,attCmissHigh,attMissHigh,punches,overrun,savedIbox,attBxLeft,clearanceOffLine,totalHighClaim,effectiveBlockedCross,goalsConcededIbox,blockedCross,attGoalLowRight,attLfGoal,attGoalLowCentre,attFreekickTotal,attOboxBlocked,postScoringAtt,attSvLowCentre,attIboxPost,ptsGainedLosingPos,attSvHighLeft,freekickTotal,bigChanceCreated,hitWoodwork,attMissHighLeft,totalPullBack,attCmissHighLeft,attPostHigh,forwardGoals,cleanSheet,accurateFreekickCross,attSetpiece,attAssistSetplay,attCmissLeft,attHdGoal,attGoalHighCentre,sixYardBlock,ptsDroppedWinningPos,attMissHighRight,errorLeadToShot,accuratePullBack,accurateKeeperSweeper,attSvHighRight,attFreekickTarget,attSvHighCentre,attOneOnOne,attGoalHighLeft,attOboxPost,attPostRight,goalFastbreak,winningGoal,attFreekickPost,keeperGoals,subsGoals,penaltyConceded,ownGoals,attObpGoal,attFreekickGoal,foulThrowIn,penaltyFaced,penGoalsConceded,attHdPost,attFreekickMiss,attIboxOwnGoal,attObxRight,attObxLeft,secondYellow,penaltySave
11,2128389,2020-12-05 20:00:00,"Stamford Bridge, London",2000.0,Home,Chelsea,Leeds United,3,1,W,1,1,0,0,,,1.0,2.0,29.0,66.0,1.0,2.0,3.0,1.0,1.0,17.0,19.0,4.0,4.0,19.0,2.0,5.0,147.0,14.0,8.0,12.0,3.0,2.0,19.0,11.0,92.0,142.0,52.0,23.0,11.0,7.0,1.0,1.0,2.0,4.0,15.0,10.0,,1.0,19.0,8.0,10.0,24.0,185.0,,,0.0,133.0,12.0,1.0,2.0,,1.0,71.0,35.0,14.0,65.0,2.0,1.0,7.0,16.0,4.0,2.0,1.0,142.0,5.0,104.0,624.0,10.0,7.0,35.0,14.0,306.0,28.0,2.0,12.0,3.0,0.0,1.0,5.0,25.0,385.0,39.0,,91651,10.0,141.0,4.0,162.0,8.0,,16.0,6.0,66.0,,1.0,1.0,2.0,2.0,10.0,3.0,2.0,,43.0,318.0,9.0,13.0,13.0,7.0,62.0,1.0,3.0,0.0,4.0,3.0,1.0,4.0,0.0,2.0,3.0,,7.0,45.8,22.0,4.0,10.0,2.0,5.0,37.0,8.0,408.0,14.0,19.0,10.0,7.0,32.0,6.0,6.0,261.0,12.0,8.0,11.0,89.0,22.0,12.0,20.0,15.0,3.0,23.0,1.0,5.0,8.0,,,1.0,,,2.0,,5.0,,2.0,,1.0,,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,2.0,,4.0,,3.0,,,6.0,1.0,,,,,1.0,,1.0,1.0,6.0,2.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12,2128398,2020-12-12 20:00:00,"Goodison Park, Liverpool",2000.0,Away,Chelsea,Everton,0,1,L,0,1,0,0,0.0,,1.0,,41.0,55.0,0.0,,1.0,,,27.0,15.0,6.0,3.0,4.0,3.0,2.0,216.0,20.0,4.0,15.0,0.0,3.0,6.0,3.0,166.0,166.0,60.0,10.0,22.0,1.0,,,,,32.0,9.0,0.0,2.0,15.0,4.0,9.0,48.0,243.0,0.0,,0.0,164.0,11.0,2.0,,0.0,1.0,52.0,108.0,3.0,108.0,,,28.0,17.0,6.0,9.0,1.0,166.0,8.0,149.0,861.0,6.0,5.0,22.0,6.0,519.0,27.0,2.0,6.0,,3.0,2.0,3.0,35.0,617.0,73.0,,91651,4.0,300.0,18.0,335.0,6.0,0.0,17.0,7.0,62.0,,0.0,1.0,,0.0,21.0,1.0,7.0,0.0,56.0,539.0,9.0,16.0,12.0,1.0,71.0,,1.0,0.0,6.0,0.0,1.0,2.0,0.0,4.0,,1.0,,72.0,34.0,,1.0,,3.0,53.0,6.0,639.0,6.0,11.0,22.0,4.0,40.0,,2.0,336.0,7.0,7.0,20.0,117.0,25.0,6.0,17.0,6.0,2.0,17.0,,5.0,6.0,,,1.0,1.0,,,1.0,1.0,1.0,3.0,,1.0,3.0,,,1.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,,,,2.0,,2.0,,,,,,,1.0,1.0,,,0.0,0.0,,,,,,1.0,,1.0,,,0.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,
13,2128413,2020-12-15 18:00:00,"Molineux Stadium, Wolverhampton",,Away,Chelsea,Wolverhampton Wanderers,1,2,L,0,0,0,0,,1.0,,,36.0,56.0,1.0,2.0,2.0,,,40.0,19.0,6.0,1.0,7.0,2.0,2.0,157.0,16.0,8.0,10.0,1.0,4.0,10.0,3.0,129.0,128.0,48.0,13.0,27.0,,,,1.0,,34.0,6.0,,2.0,19.0,6.0,2.0,41.0,245.0,,,0.0,157.0,12.0,1.0,,,,117.0,66.0,6.0,73.0,1.0,2.0,28.0,16.0,6.0,13.0,2.0,128.0,6.0,135.0,698.0,6.0,2.0,35.0,7.0,407.0,26.0,2.0,13.0,1.0,2.0,2.0,4.0,17.0,474.0,54.0,,91651,5.0,187.0,13.0,206.0,8.0,,16.0,7.0,69.0,,,,6.0,1.0,14.0,6.0,7.0,,57.0,424.0,12.0,15.0,11.0,4.0,47.0,,,0.0,5.0,1.0,2.0,,0.0,4.0,1.0,,2.0,54.9,16.0,1.0,3.0,6.0,4.0,37.0,6.0,494.0,7.0,8.0,28.0,6.0,44.0,4.0,3.0,322.0,10.0,2.0,12.0,119.0,21.0,13.0,14.0,7.0,2.0,19.0,,8.0,6.0,1.0,,2.0,,1.0,,,2.0,,2.0,,,,1.0,,,3.0,2.0,3.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,3.0,,,,,3.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
14,2128418,2020-12-21 20:00:00,"Stamford Bridge, London",,Home,Chelsea,West Ham United,3,0,W,1,0,0,0,,,1.0,3.0,31.0,56.0,1.0,,1.0,1.0,1.0,24.0,26.0,2.0,1.0,9.0,,2.0,169.0,15.0,5.0,6.0,3.0,1.0,8.0,7.0,138.0,140.0,52.0,11.0,25.0,3.0,,2.0,1.0,,19.0,9.0,1.0,1.0,26.0,4.0,6.0,41.0,189.0,,,0.0,126.0,11.0,,,,,52.0,61.0,6.0,80.0,3.0,1.0,15.0,24.0,2.0,2.0,1.0,140.0,6.0,140.0,726.0,5.0,10.0,22.0,16.0,427.0,27.0,4.0,15.0,2.0,0.0,2.0,2.0,22.0,507.0,55.0,,91651,4.0,254.0,12.0,280.0,9.0,2.0,24.0,8.0,63.0,,1.0,,3.0,2.0,13.0,,3.0,,63.0,438.0,6.0,7.0,26.0,3.0,72.0,,1.0,0.0,4.0,3.0,,5.0,0.0,3.0,1.0,,3.0,53.7,18.0,1.0,3.0,3.0,1.0,34.0,5.0,527.0,16.0,5.0,25.0,3.0,30.0,2.0,1.0,266.0,7.0,6.0,24.0,90.0,20.0,15.0,16.0,8.0,3.0,21.0,,14.0,5.0,,,1.0,,,1.0,,3.0,,1.0,1.0,,,1.0,,,2.0,,2.0,1.0,,,,,1.0,3.0,1.0,,,,5.0,1.0,,,,1.0,2.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2128426,2020-12-26 17:30:00,"Emirates Stadium, London",,Away,Chelsea,Arsenal,1,3,L,0,2,0,0,1.0,,1.0,1.0,35.0,52.0,,,3.0,,,38.0,16.0,8.0,3.0,11.0,4.0,1.0,167.0,18.0,8.0,9.0,1.0,3.0,14.0,3.0,130.0,135.0,67.0,19.0,16.0,1.0,1.0,,1.0,1.0,34.0,3.0,,1.0,16.0,7.0,8.0,48.0,226.0,,1.0,0.0,151.0,10.0,3.0,1.0,,,56.0,83.0,7.0,89.0,2.0,4.0,27.0,17.0,8.0,8.0,4.0,135.0,12.0,120.0,709.0,10.0,5.0,37.0,14.0,408.0,22.0,7.0,12.0,1.0,1.0,4.0,7.0,12.0,482.0,64.0,,91651,8.0,210.0,18.0,235.0,6.0,,17.0,7.0,49.0,,,,4.0,1.0,15.0,3.0,4.0,,67.0,428.0,13.0,7.0,19.0,5.0,71.0,1.0,2.0,0.0,7.0,1.0,3.0,4.0,0.0,4.0,1.0,2.0,5.0,61.0,12.0,5.0,5.0,4.0,5.0,46.0,9.0,506.0,14.0,4.0,31.0,11.0,34.0,4.0,6.0,305.0,9.0,7.0,36.0,118.0,21.0,12.0,10.0,11.0,3.0,21.0,,9.0,9.0,,1.0,1.0,,1.0,,,2.0,,2.0,,,4.0,2.0,,,,2.0,,1.0,,,1.0,2.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,3.0,,,,,,2.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,
16,2128438,2020-12-28 17:30:00,"Stamford Bridge, London",,Home,Chelsea,Aston Villa,1,1,D,1,0,0,0,,,,,32.0,68.0,1.0,,2.0,,,37.0,17.0,6.0,4.0,10.0,1.0,4.0,169.0,17.0,4.0,4.0,1.0,,11.0,5.0,138.0,161.0,39.0,16.0,19.0,1.0,,,1.0,1.0,27.0,9.0,,3.0,17.0,9.0,9.0,43.0,209.0,,,0.0,150.0,16.0,1.0,,,,86.0,63.0,8.0,86.0,3.0,2.0,18.0,19.0,6.0,4.0,1.0,161.0,7.0,157.0,747.0,8.0,6.0,30.0,14.0,441.0,33.0,4.0,10.0,1.0,3.0,3.0,3.0,26.0,536.0,47.0,,91651,7.0,249.0,14.0,286.0,11.0,,19.0,6.0,63.0,,,1.0,4.0,1.0,19.0,3.0,5.0,,63.0,454.0,3.0,10.0,15.0,2.0,62.0,,2.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,63.4,24.0,1.0,7.0,4.0,4.0,34.0,11.0,550.0,14.0,9.0,26.0,7.0,33.0,2.0,6.0,291.0,9.0,9.0,15.0,111.0,23.0,10.0,17.0,14.0,2.0,14.0,,4.0,11.0,2.0,,,1.0,,,,1.0,2.0,4.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,,1.0,,,,,,,,3.0,,,1.0,,,,2.0,,1.0,,1.0,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,2128448,2021-01-03 16:30:00,"Stamford Bridge, London",,Home,Chelsea,Manchester City,1,3,L,0,3,0,0,,,,1.0,28.0,45.0,,1.0,2.0,,,36.0,5.0,4.0,4.0,5.0,3.0,,183.0,15.0,3.0,16.0,1.0,3.0,9.0,2.0,171.0,112.0,43.0,9.0,14.0,1.0,,1.0,1.0,2.0,19.0,7.0,,,5.0,5.0,5.0,52.0,269.0,,,0.0,166.0,11.0,2.0,,,,79.0,67.0,7.0,114.0,2.0,,14.0,15.0,4.0,4.0,1.0,112.0,14.0,186.0,821.0,6.0,,22.0,18.0,571.0,14.0,,2.0,1.0,3.0,4.0,2.0,16.0,634.0,56.0,1.0,91651,3.0,325.0,8.0,345.0,7.0,1.0,15.0,8.0,52.0,1.0,,2.0,5.0,1.0,9.0,4.0,8.0,,55.0,591.0,9.0,9.0,5.0,1.0,72.0,,,0.0,3.0,1.0,3.0,,0.0,2.0,1.0,,2.0,54.6,16.0,1.0,5.0,6.0,5.0,59.0,5.0,654.0,18.0,10.0,35.0,2.0,23.0,1.0,1.0,328.0,2.0,5.0,7.0,131.0,20.0,2.0,11.0,6.0,3.0,24.0,,6.0,5.0,,,2.0,,,1.0,,,,,,2.0,2.0,1.0,,,,3.0,,1.0,,,1.0,3.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
18,2128460,2021-01-19 20:15:00,"King Power Stadium, Leicester",,Away,Chelsea,Leicester City,0,2,L,0,2,0,0,1.0,,1.0,,30.0,53.0,,1.0,1.0,,,37.0,17.0,1.0,1.0,8.0,4.0,1.0,155.0,16.0,7.0,11.0,,3.0,8.0,5.0,182.0,123.0,53.0,9.0,13.0,5.0,,2.0,,,15.0,17.0,,,17.0,3.0,6.0,44.0,240.0,,,0.0,151.0,16.0,1.0,,,,60.0,93.0,6.0,99.0,2.0,2.0,12.0,22.0,1.0,5.0,1.0,123.0,5.0,200.0,822.0,5.0,2.0,14.0,5.0,545.0,26.0,,8.0,,3.0,,2.0,23.0,621.0,58.0,,91651,4.0,326.0,7.0,354.0,10.0,,22.0,5.0,53.0,,,3.0,5.0,,11.0,3.0,5.0,,56.0,559.0,7.0,6.0,7.0,3.0,61.0,,,0.0,6.0,,2.0,1.0,0.0,4.0,,1.0,3.0,64.4,21.0,1.0,,5.0,1.0,41.0,3.0,636.0,5.0,9.0,30.0,3.0,28.0,3.0,2.0,297.0,4.0,4.0,10.0,116.0,21.0,8.0,25.0,5.0,2.0,21.0,,11.0,3.0,1.0,,,1.0,2.0,2.0,,,,1.0,,3.0,3.0,,,1.0,2.0,1.0,2.0,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,
19,2128468,2021-01-16 17:30:00,"Craven Cottage, London",,Away,Chelsea,Fulham,1,0,W,0,0,0,1,,,2.0,,30.0,62.0,,1.0,4.0,,,29.0,12.0,8.0,8.0,13.0,2.0,,195.0,20.0,5.0,7.0,1.0,,18.0,6.0,205.0,156.0,49.0,21.0,22.0,3.0,1.0,2.0,,2.0,30.0,9.0,,2.0,12.0,10.0,9.0,34.0,376.0,,,0.0,212.0,10.0,,1.0,1.0,3.0,107.0,94.0,12.0,116.0,1.0,2.0,21.0,14.0,8.0,6.0,2.0,156.0,7.0,241.0,967.0,13.0,3.0,40.0,8.0,648.0,29.0,6.0,8.0,,3.0,3.0,6.0,22.0,735.0,77.0,,91651,10.0,297.0,15.0,323.0,4.0,1.0,14.0,6.0,62.0,,,3.0,4.0,1.0,17.0,3.0,4.0,,58.0,668.0,11.0,10.0,18.0,5.0,71.0,1.0,1.0,0.0,1.0,1.0,,,0.0,1.0,,,4.0,69.8,21.0,1.0,5.0,4.0,8.0,47.0,12.0,757.0,8.0,8.0,15.0,7.0,37.0,5.0,4.0,464.0,8.0,8.0,14.0,174.0,23.0,8.0,17.0,16.0,3.0,19.0,,7.0,12.0,1.0,,,,,3.0,,2.0,,2.0,,1.0,2.0,,1.0,,2.0,,2.0,1.0,,,,4.0,1.0,1.0,1.0,,,,2.0,2.0,,1.0,,1.0,,1.0,,,5.0,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
20,2128481,2021-01-27 18:00:00,"Stamford Bridge, London",,Home,Chelsea,Wolverhampton Wanderers,0,0,D,0,0,0,0,,,2.0,,29.0,51.0,,,1.0,,,22.0,8.0,5.0,8.0,9.0,,2.0,166.0,14.0,6.0,6.0,,2.0,13.0,5.0,290.0,114.0,40.0,14.0,13.0,4.0,,,,3.0,36.0,11.0,,1.0,8.0,11.0,13.0,23.0,592.0,,,0.0,291.0,14.0,,,,1.0,123.0,176.0,8.0,154.0,,1.0,25.0,16.0,5.0,5.0,1.0,114.0,2.0,288.0,1047.0,10.0,3.0,31.0,6.0,818.0,13.0,2.0,5.0,,1.0,,5.0,17.0,884.0,80.0,,91651,4.0,246.0,18.0,252.0,9.0,,16.0,7.0,41.0,,,2.0,2.0,,8.0,2.0,7.0,,32.0,832.0,7.0,9.0,7.0,3.0,77.0,,3.0,0.0,1.0,,,2.0,0.0,3.0,,,1.0,78.9,17.0,,4.0,2.0,4.0,72.0,12.0,898.0,6.0,1.0,13.0,5.0,44.0,3.0,4.0,682.0,4.0,13.0,13.0,241.0,32.0,5.0,15.0,10.0,3.0,10.0,,4.0,13.0,1.0,,2.0,,,1.0,1.0,,,1.0,,3.0,,2.0,,,2.0,,2.0,,,,,3.0,,,,,,,,,,2.0,,,,1.0,2.0,1.0,3.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,2128488,2021-01-31 12:00:00,"Stamford Bridge, London",,Home,Chelsea,Burnley,2,0,W,1,0,0,0,,,2.0,,31.0,70.0,,,2.0,,,34.0,17.0,8.0,4.0,11.0,,3.0,217.0,16.0,3.0,9.0,2.0,1.0,19.0,8.0,188.0,139.0,44.0,19.0,22.0,3.0,,3.0,2.0,3.0,14.0,8.0,,3.0,17.0,4.0,9.0,52.0,328.0,,,0.0,234.0,7.0,,,1.0,1.0,69.0,109.0,10.0,116.0,1.0,1.0,10.0,18.0,8.0,4.0,5.0,139.0,1.0,202.0,890.0,16.0,4.0,46.0,9.0,614.0,34.0,2.0,10.0,2.0,0.0,,8.0,22.0,708.0,62.0,,91651,5.0,302.0,5.0,332.0,1.0,1.0,18.0,4.0,50.0,,1.0,2.0,5.0,2.0,12.0,,3.0,,62.0,627.0,9.0,6.0,17.0,,65.0,,1.0,0.0,2.0,2.0,,,0.0,2.0,2.0,,3.0,71.1,20.0,2.0,5.0,5.0,2.0,44.0,4.0,723.0,9.0,7.0,32.0,9.0,41.0,1.0,4.0,405.0,12.0,8.0,13.0,192.0,26.0,10.0,13.0,19.0,3.0,17.0,,12.0,4.0,,,1.0,,,1.0,,2.0,,3.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,3.0,,,,,2.0,1.0,,1.0,,,,1.0,,,,2.0,,1.0,,,2.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,2128505,2021-02-04 20:00:00,"Tottenham Hotspur Stadium, London",,Away,Chelsea,Tottenham Hotspur,1,0,W,1,0,0,0,,,1.0,1.0,40.0,57.0,1.0,2.0,6.0,,,20.0,13.0,4.0,4.0,12.0,2.0,,176.0,23.0,4.0,13.0,1.0,3.0,12.0,2.0,164.0,113.0,62.0,16.0,14.0,1.0,,,,4.0,19.0,6.0,,,13.0,4.0,9.0,30.0,286.0,,1.0,0.0,184.0,14.0,1.0,,1.0,,63.0,108.0,7.0,109.0,,1.0,15.0,24.0,4.0,2.0,3.0,113.0,3.0,181.0,804.0,12.0,1.0,35.0,13.0,539.0,17.0,1.0,6.0,,3.0,,5.0,11.0,605.0,58.0,,91651,9.0,278.0,11.0,293.0,10.0,1.0,24.0,5.0,55.0,,,3.0,4.0,,11.0,4.0,2.0,1.0,44.0,560.0,20.0,14.0,10.0,2.0,73.0,,1.0,0.0,2.0,1.0,,1.0,0.0,3.0,,,2.0,58.0,10.0,2.0,2.0,4.0,7.0,49.0,7.0,630.0,13.0,8.0,17.0,7.0,36.0,1.0,4.0,356.0,10.0,9.0,19.0,146.0,32.0,6.0,10.0,13.0,3.0,18.0,,19.0,7.0,,,2.0,,,,1.0,,1.0,1.0,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2128513,2021-02-07 19:15:00,"Bramall Lane, Sheffield",,Away,Chelsea,Sheffield United,2,1,W,1,0,0,0,,,,2.0,31.0,65.0,,2.0,2.0,,,29.0,19.0,2.0,2.0,7.0,3.0,1.0,230.0,13.0,6.0,12.0,2.0,3.0,7.0,3.0,179.0,151.0,57.0,9.0,14.0,1.0,,2.0,1.0,1.0,14.0,8.0,,,19.0,7.0,9.0,53.0,301.0,,1.0,0.0,189.0,8.0,2.0,,1.0,,84.0,96.0,4.0,137.0,,,7.0,21.0,2.0,3.0,2.0,151.0,6.0,210.0,938.0,6.0,7.0,26.0,5.0,638.0,32.0,4.0,12.0,1.0,0.0,2.0,3.0,20.0,738.0,56.0,1.0,91651,3.0,359.0,3.0,394.0,7.0,1.0,21.0,6.0,52.0,2.0,,2.0,4.0,1.0,17.0,3.0,5.0,1.0,46.0,654.0,8.0,12.0,11.0,2.0,73.0,,,0.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,,1.0,68.9,17.0,1.0,6.0,4.0,2.0,55.0,8.0,756.0,5.0,12.0,24.0,4.0,32.0,3.0,2.0,376.0,6.0,7.0,20.0,141.0,19.0,12.0,17.0,6.0,3.0,18.0,,8.0,8.0,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,2.0,,1.0,,1.0,,2.0,1.0,,,,,1.0,,,,,2.0,,,2.0,,,1.0,,1.0,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
24,2128518,2021-02-15 20:00:00,"Stamford Bridge, London",,Home,Chelsea,Newcastle United,2,0,W,2,0,0,0,,1.0,1.0,2.0,,55.0,,2.0,3.0,,,33.0,17.0,3.0,6.0,15.0,4.0,1.0,171.0,,7.0,9.0,2.0,1.0,15.0,6.0,147.0,118.0,59.0,18.0,11.0,4.0,,3.0,,1.0,23.0,10.0,,,17.0,8.0,10.0,41.0,225.0,,,0.0,133.0,9.0,3.0,,,2.0,63.0,52.0,8.0,105.0,,3.0,15.0,20.0,3.0,1.0,1.0,118.0,7.0,141.0,752.0,11.0,5.0,37.0,6.0,473.0,22.0,5.0,11.0,,0.0,1.0,7.0,15.0,540.0,48.0,2.0,91651,9.0,276.0,13.0,298.0,2.0,1.0,20.0,7.0,46.0,2.0,,,3.0,1.0,15.0,3.0,6.0,,53.0,494.0,12.0,11.0,11.0,6.0,62.0,,1.0,0.0,5.0,2.0,,1.0,0.0,2.0,,,6.0,65.6,15.0,2.0,4.0,3.0,5.0,43.0,10.0,564.0,6.0,11.0,24.0,7.0,31.0,5.0,6.0,289.0,6.0,10.0,20.0,104.0,26.0,11.0,19.0,12.0,3.0,14.0,,8.0,10.0,2.0,,1.0,,1.0,2.0,,2.0,,2.0,1.0,1.0,2.0,2.0,,,2.0,,2.0,,1.0,2.0,,2.0,,1.0,,,,,2.0,,,,,,1.0,1.0,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2128533,2021-02-20 12:30:00,"St. Mary's Stadium, Southampton",,Away,Chelsea,Southampton,1,1,D,0,1,0,0,,,,1.0,35.0,66.0,,,1.0,,,24.0,6.0,3.0,3.0,6.0,,1.0,224.0,12.0,2.0,18.0,1.0,2.0,7.0,3.0,200.0,166.0,72.0,9.0,10.0,1.0,,1.0,,1.0,15.0,11.0,,1.0,6.0,3.0,7.0,41.0,273.0,,1.0,0.0,145.0,10.0,,,,,79.0,86.0,3.0,113.0,,1.0,12.0,24.0,3.0,2.0,1.0,166.0,4.0,190.0,915.0,5.0,3.0,25.0,12.0,603.0,15.0,3.0,3.0,,1.0,,4.0,24.0,709.0,59.0,,91651,4.0,349.0,10.0,381.0,5.0,1.0,24.0,5.0,39.0,,,4.0,4.0,,25.0,,5.0,1.0,43.0,620.0,9.0,2.0,10.0,2.0,76.0,,1.0,0.0,3.0,1.0,1.0,,0.0,1.0,,1.0,2.0,70.9,24.0,,5.0,4.0,2.0,56.0,6.0,727.0,12.0,6.0,24.0,4.0,27.0,1.0,3.0,361.0,4.0,6.0,23.0,99.0,42.0,3.0,22.0,4.0,3.0,29.0,,10.0,6.0,1.0,,,1.0,,1.0,,1.0,,2.0,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2128536,2021-02-28 16:30:00,"Stamford Bridge, London",,Home,Chelsea,Manchester United,0,0,D,0,0,0,0,,,4.0,,30.0,57.0,,2.0,3.0,,,19.0,20.0,10.0,7.0,8.0,4.0,2.0,142.0,12.0,2.0,16.0,,3.0,14.0,6.0,192.0,111.0,58.0,18.0,6.0,2.0,,1.0,,3.0,16.0,13.0,,4.0,20.0,1.0,7.0,27.0,237.0,,,0.0,146.0,11.0,1.0,,,1.0,87.0,75.0,10.0,94.0,2.0,,15.0,20.0,10.0,2.0,2.0,111.0,2.0,180.0,820.0,13.0,2.0,14.0,12.0,524.0,23.0,,13.0,,1.0,5.0,4.0,18.0,588.0,55.0,,91651,3.0,307.0,10.0,336.0,9.0,,11.0,5.0,37.0,,,1.0,2.0,,12.0,9.0,4.0,,38.0,542.0,12.0,6.0,5.0,,40.0,,2.0,0.0,4.0,,,,0.0,2.0,,1.0,2.0,57.5,15.0,2.0,5.0,2.0,7.0,27.0,3.0,608.0,12.0,4.0,13.0,5.0,19.0,,3.0,288.0,9.0,7.0,6.0,124.0,25.0,13.0,24.0,15.0,3.0,26.0,,11.0,3.0,,,3.0,,,,,1.0,,1.0,,1.0,2.0,2.0,,1.0,2.0,,2.0,,,,,4.0,,2.0,,,,,1.0,,1.0,1.0,,,,1.0,1.0,3.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
