gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,subsMade,totalContest,wonCorners,attIboxBlocked,attFreekickTotal,freekickTotal,attSetpiece,attObxdLeft,attGoalHighLeft,attFreekickGoal,accurateFlickOn,shieldBallOop,effectiveBlockedCross,blockedCross,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attLfGoal,postScoringAtt,attMissHighRight,hitWoodwork,sixYardBlock,defenderGoals,attOboxPost,attPostHigh,goalsConceded,goalsConcededIbox,errorLeadToGoal,goalsConcededObox,goalFastbreak,attIboxPost,attHdPost,attSvLowRight,attHdTarget,interceptionsInBox,attFreekickMiss,attObxLeft,attMissHighLeft,attFreekickTarget,attObxRight,attBxRight,totalFastbreak,freekickCross,attLgCentre,accurateFreekickCross,attBxCentre,attCmissHigh,attCmissHighLeft,goalsOpenplay,attCmissLeft,attBxLeft,attOpenplay,fouledFinalThird,attSvHighRight,ownGoals,attIboxOwnGoal,attemptsIbox,saves,rightsidePass,attSvHighLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attObpGoal,attCmissRight,ptsDroppedWinningPos,attObxdRight,clearanceOffLine,attPostRight,penaltySave,penaltyConceded,penaltyFaced
11,266345,2008-11-01 15:00:00,"Stamford Bridge, London",,Home,Chelsea,Sunderland,5,0,W,3,0,0,0,1.0,2.0,51.0,,,54.0,25.0,10.0,4.0,1.0,3.0,7.0,9.0,5.0,17.0,9.0,130.0,56.0,23.0,5.0,3.0,2.0,,4.0,2.0,2.0,22.0,23.0,,2.0,15.0,4.0,57.0,26.0,378.0,1.0,,,0.0,193.0,6.0,,1.0,,2.0,119.0,105.0,13.0,1.0,18.0,1.0,7.0,4.0,120.0,,1102.0,11.0,3.0,29.0,13.0,2.0,16.0,4.0,0.0,,4.0,19.0,106.0,4.0,,41135,401.0,10.0,411.0,4.0,2.0,40.0,6.0,4.0,5.0,1.0,1.0,1.0,,73.0,772.0,11.0,8.0,2.0,10.0,101.0,,,0.0,,,5.0,0.0,6.0,3.0,3.0,69.8,19.0,1.0,9.0,,6.0,8.0,83.0,4.0,2.0,847.0,29.0,17.0,17.0,6.0,19.0,1.0,1.0,458.0,15.0,54.0,8.0,146.0,21.0,3.0,8.0,27.0,1.0,3.0,16.0,4.0,3.0,1.0,1.0,2.0,,,,2.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,266356,2008-11-09 13:30:00,"Ewood Park, Blackburn",20672.0,Away,Chelsea,Blackburn Rovers,2,0,W,1,0,0,0,,1.0,74.0,,,25.0,39.0,7.0,4.0,4.0,1.0,7.0,15.0,2.0,12.0,10.0,194.0,57.0,20.0,2.0,8.0,5.0,1.0,2.0,2.0,1.0,32.0,11.0,,3.0,23.0,8.0,19.0,35.0,180.0,1.0,,,0.0,138.0,11.0,2.0,,3.0,3.0,40.0,46.0,9.0,2.0,24.0,,5.0,3.0,178.0,4.0,702.0,8.0,4.0,12.0,18.0,4.0,22.0,2.0,1.0,1.0,3.0,28.0,74.0,2.0,,49724,167.0,16.0,191.0,,10.0,53.0,3.0,1.0,10.0,4.0,2.0,1.0,,70.0,340.0,14.0,10.0,2.0,33.0,96.0,1.0,1.0,0.0,5.0,2.0,2.0,0.0,6.0,1.0,4.0,52.9,20.0,1.0,19.0,1.0,11.0,3.0,37.0,9.0,3.0,459.0,12.0,16.0,14.0,7.0,42.0,1.0,4.0,300.0,11.0,18.0,15.0,73.0,19.0,2.0,14.0,13.0,,2.0,23.0,9.0,1.0,3.0,3.0,2.0,,,,,,2.0,2.0,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,3.0,,1.0,,2.0,1.0,,1.0,1.0,3.0,1.0,2.0,9.0,1.0,1.0,2.0,,,10.0,5.0,,,,12.0,2.0,1.0,1.0,8.0,30.0,331.0,440.0,5.0,1.0,,,,,,,,
13,266372,2008-11-15 17:30:00,"The Hawthorns, West Bromwich",,Away,Chelsea,West Bromwich Albion,3,0,W,3,0,0,0,,3.0,68.0,,2.0,22.0,21.0,2.0,11.0,,,4.0,13.0,3.0,14.0,6.0,127.0,52.0,19.0,,8.0,2.0,2.0,3.0,2.0,,21.0,18.0,1.0,1.0,10.0,7.0,30.0,24.0,248.0,1.0,1.0,,0.0,156.0,9.0,1.0,,1.0,3.0,59.0,40.0,10.0,2.0,14.0,,3.0,1.0,116.0,7.0,830.0,11.0,7.0,16.0,19.0,7.0,11.0,3.0,3.0,3.0,4.0,14.0,75.0,6.0,,41135,254.0,11.0,267.0,1.0,15.0,42.0,10.0,5.0,7.0,8.0,7.0,3.0,,37.0,498.0,8.0,11.0,,19.0,100.0,2.0,,0.0,3.0,,2.0,0.0,3.0,2.0,1.0,61.9,13.0,1.0,16.0,,8.0,6.0,68.0,10.0,3.0,568.0,16.0,9.0,14.0,7.0,15.0,1.0,6.0,322.0,7.0,30.0,6.0,115.0,22.0,2.0,5.0,25.0,,3.0,18.0,10.0,6.0,,,,,,,6.0,1.0,,,2.0,,,2.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,266375,2008-11-22 15:00:00,"Stamford Bridge, London",,Home,Chelsea,Newcastle United,0,0,D,0,0,0,0,1.0,2.0,84.0,,,35.0,14.0,15.0,6.0,6.0,,9.0,13.0,,22.0,9.0,155.0,71.0,33.0,8.0,13.0,5.0,,,3.0,4.0,39.0,22.0,,4.0,10.0,7.0,18.0,56.0,338.0,1.0,,,0.0,284.0,13.0,,,1.0,1.0,86.0,73.0,12.0,6.0,32.0,,8.0,5.0,151.0,,891.0,20.0,9.0,15.0,18.0,3.0,10.0,,0.0,,10.0,28.0,115.0,4.0,,41135,165.0,23.0,175.0,,2.0,54.0,8.0,3.0,5.0,2.0,1.0,3.0,,52.0,494.0,14.0,6.0,2.0,14.0,80.0,,,0.0,1.0,,,0.0,8.0,,5.0,69.4,27.0,4.0,23.0,2.0,6.0,11.0,50.0,8.0,1.0,586.0,15.0,14.0,29.0,13.0,41.0,1.0,8.0,450.0,21.0,18.0,14.0,209.0,36.0,,6.0,30.0,,2.0,22.0,8.0,3.0,5.0,5.0,4.0,,,,4.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,266385,2008-11-30 16:00:00,"Stamford Bridge, London",41775.0,Home,Chelsea,Arsenal,1,2,L,1,0,0,0,,,75.0,,2.0,31.0,26.0,10.0,4.0,,,7.0,14.0,1.0,12.0,2.0,173.0,65.0,16.0,4.0,11.0,2.0,,,1.0,1.0,19.0,20.0,,,10.0,3.0,27.0,43.0,212.0,,,,0.0,165.0,18.0,3.0,,,2.0,58.0,67.0,6.0,2.0,16.0,,7.0,6.0,157.0,7.0,778.0,11.0,10.0,16.0,25.0,10.0,13.0,,2.0,1.0,6.0,36.0,85.0,1.0,,56915,207.0,9.0,222.0,,7.0,71.0,7.0,5.0,8.0,5.0,1.0,2.0,,57.0,412.0,15.0,10.0,1.0,26.0,96.0,,,0.0,2.0,3.0,1.0,0.0,5.0,,3.0,59.4,34.0,1.0,13.0,,8.0,6.0,57.0,3.0,3.0,518.0,16.0,19.0,25.0,8.0,32.0,2.0,2.0,315.0,9.0,25.0,9.0,100.0,30.0,,2.0,27.0,,2.0,27.0,3.0,2.0,3.0,3.0,,,,,4.0,2.0,1.0,1.0,,,,,,3.0,,1.0,,,,2.0,2.0,,,,,,,2.0,1.0,1.0,,,,,2.0,,,,,3.0,1.0,,,,,12.0,3.0,1.0,,,6.0,5.0,,,10.0,26.0,399.0,498.0,1.0,,1.0,3.0,,,,,,
16,266396,2008-12-06 15:00:00,"Toughsheet Community Stadium, Bolton",22023.0,Away,Chelsea,Bolton Wanderers,2,0,W,2,0,0,0,,1.0,52.0,,1.0,26.0,51.0,4.0,2.0,2.0,,1.0,6.0,2.0,10.0,5.0,193.0,49.0,11.0,2.0,17.0,2.0,2.0,2.0,2.0,1.0,8.0,10.0,,1.0,30.0,2.0,21.0,36.0,156.0,1.0,,,0.0,128.0,16.0,2.0,1.0,1.0,3.0,37.0,51.0,7.0,1.0,6.0,,2.0,1.0,172.0,12.0,703.0,7.0,15.0,9.0,17.0,11.0,23.0,2.0,1.0,6.0,3.0,36.0,82.0,2.0,1.0,56915,172.0,3.0,195.0,1.0,15.0,59.0,8.0,6.0,2.0,10.0,5.0,2.0,,57.0,327.0,14.0,4.0,1.0,34.0,104.0,2.0,5.0,0.0,10.0,3.0,2.0,0.0,1.0,2.0,1.0,57.9,25.0,,1.0,,4.0,2.0,51.0,2.0,3.0,441.0,9.0,13.0,8.0,4.0,16.0,,3.0,254.0,8.0,19.0,14.0,66.0,22.0,1.0,14.0,15.0,1.0,2.0,15.0,2.0,,1.0,1.0,1.0,,1.0,,4.0,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,266405,2008-12-14 16:00:00,"Stamford Bridge, London",,Home,Chelsea,West Ham United,1,1,D,0,1,0,0,,,70.0,,,41.0,15.0,19.0,4.0,6.0,,11.0,11.0,1.0,26.0,8.0,138.0,61.0,31.0,12.0,12.0,4.0,,1.0,3.0,2.0,38.0,18.0,,3.0,10.0,9.0,21.0,29.0,334.0,,,,0.0,212.0,14.0,1.0,,2.0,1.0,67.0,68.0,21.0,2.0,29.0,,18.0,4.0,133.0,4.0,822.0,23.0,2.0,9.0,16.0,5.0,11.0,1.0,3.0,2.0,5.0,23.0,90.0,2.0,,41135,138.0,8.0,149.0,1.0,6.0,65.0,3.0,2.0,6.0,2.0,3.0,1.0,,57.0,461.0,19.0,14.0,2.0,18.0,72.0,,,0.0,4.0,1.0,1.0,0.0,9.0,1.0,3.0,59.3,21.0,2.0,20.0,,6.0,17.0,50.0,9.0,1.0,535.0,9.0,19.0,13.0,6.0,42.0,2.0,2.0,424.0,23.0,19.0,5.0,162.0,28.0,1.0,6.0,26.0,,3.0,17.0,9.0,5.0,2.0,2.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,266417,2008-12-22 20:00:00,"Goodison Park, Liverpool",35655.0,Away,Chelsea,Everton,0,0,D,0,0,1,0,1.0,1.0,52.0,,1.0,30.0,23.0,7.0,5.0,,,6.0,9.0,,6.0,1.0,154.0,59.0,10.0,4.0,12.0,1.0,1.0,,,1.0,22.0,15.0,,,11.0,3.0,13.0,36.0,183.0,1.0,,,0.0,129.0,12.0,4.0,,,6.0,64.0,39.0,5.0,1.0,19.0,,8.0,3.0,142.0,8.0,681.0,5.0,7.0,8.0,14.0,10.0,11.0,,3.0,2.0,1.0,27.0,79.0,,,41135,177.0,6.0,200.0,,7.0,43.0,5.0,3.0,5.0,4.0,3.0,1.0,,64.0,354.0,16.0,2.0,1.0,38.0,90.0,1.0,,0.0,6.0,5.0,,1.0,6.0,,1.0,51.8,22.0,1.0,6.0,1.0,5.0,5.0,50.0,5.0,6.0,450.0,8.0,11.0,16.0,4.0,19.0,,1.0,272.0,4.0,13.0,13.0,82.0,19.0,,5.0,21.0,,3.0,16.0,5.0,1.0,,,3.0,,,,3.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,266425,2008-12-26 13:00:00,"Stamford Bridge, London",43417.0,Home,Chelsea,West Bromwich Albion,2,0,W,2,0,0,0,1.0,3.0,78.0,1.0,1.0,48.0,17.0,8.0,7.0,7.0,1.0,7.0,17.0,2.0,16.0,12.0,135.0,55.0,25.0,2.0,10.0,6.0,2.0,1.0,6.0,4.0,32.0,15.0,,4.0,10.0,5.0,17.0,46.0,296.0,1.0,,,0.0,184.0,6.0,,1.0,1.0,5.0,61.0,76.0,10.0,3.0,27.0,,6.0,3.0,128.0,3.0,876.0,15.0,6.0,10.0,28.0,4.0,10.0,1.0,1.0,4.0,6.0,15.0,69.0,3.0,,41135,242.0,21.0,257.0,,6.0,51.0,6.0,4.0,11.0,7.0,4.0,1.0,,71.0,531.0,8.0,6.0,,18.0,92.0,2.0,1.0,0.0,5.0,1.0,2.0,0.0,6.0,1.0,2.0,63.5,12.0,1.0,14.0,2.0,11.0,4.0,64.0,7.0,5.0,595.0,10.0,19.0,27.0,9.0,31.0,1.0,6.0,370.0,16.0,17.0,10.0,148.0,23.0,1.0,5.0,20.0,1.0,3.0,28.0,7.0,2.0,2.0,2.0,,,,,3.0,1.0,3.0,3.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
20,266438,2008-12-28 14:00:00,"Craven Cottage, London",25462.0,Away,Chelsea,Fulham,2,2,D,0,1,0,0,1.0,1.0,82.0,1.0,,43.0,25.0,13.0,7.0,5.0,1.0,2.0,6.0,2.0,15.0,8.0,184.0,52.0,24.0,6.0,12.0,3.0,1.0,,4.0,4.0,29.0,14.0,,3.0,15.0,7.0,10.0,50.0,215.0,,1.0,,0.0,202.0,9.0,,2.0,1.0,2.0,70.0,36.0,9.0,3.0,22.0,,11.0,5.0,174.0,2.0,797.0,15.0,10.0,8.0,20.0,10.0,5.0,,2.0,,6.0,31.0,98.0,3.0,,41135,176.0,10.0,190.0,1.0,11.0,49.0,6.0,4.0,4.0,3.0,5.0,1.0,,68.0,389.0,10.0,3.0,,27.0,100.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,,59.3,24.0,,24.0,1.0,4.0,8.0,66.0,7.0,2.0,493.0,8.0,16.0,28.0,8.0,39.0,1.0,3.0,332.0,17.0,9.0,13.0,127.0,32.0,,3.0,23.0,,3.0,16.0,7.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
21,266448,2009-01-11 16:00:00,"Old Trafford, Manchester",75455.0,Away,Chelsea,Manchester United,0,3,L,0,1,0,0,1.0,1.0,68.0,,1.0,12.0,17.0,7.0,3.0,,,2.0,4.0,,6.0,1.0,143.0,44.0,11.0,5.0,7.0,,,,1.0,2.0,22.0,11.0,,1.0,6.0,3.0,17.0,27.0,203.0,,,,0.0,149.0,17.0,1.0,,,1.0,46.0,35.0,3.0,2.0,19.0,,8.0,2.0,132.0,7.0,692.0,4.0,10.0,21.0,18.0,5.0,3.0,,5.0,6.0,3.0,22.0,74.0,1.0,2.0,49724,162.0,8.0,177.0,,4.0,43.0,3.0,1.0,4.0,7.0,1.0,1.0,,33.0,363.0,14.0,2.0,2.0,23.0,66.0,,,0.0,6.0,1.0,,0.0,1.0,,1.0,48.1,17.0,1.0,18.0,,4.0,5.0,37.0,3.0,2.0,448.0,21.0,9.0,9.0,5.0,29.0,1.0,3.0,293.0,7.0,15.0,4.0,97.0,27.0,,1.0,22.0,,3.0,13.0,3.0,,2.0,2.0,1.0,,,,5.0,1.0,7.0,7.0,,,,,,,,,,,,3.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,266456,2009-01-17 15:00:00,"Stamford Bridge, London",41788.0,Home,Chelsea,Stoke City,2,1,W,0,0,0,0,1.0,2.0,76.0,,,27.0,20.0,25.0,14.0,7.0,,9.0,12.0,2.0,29.0,12.0,137.0,49.0,42.0,10.0,10.0,5.0,,1.0,1.0,6.0,48.0,9.0,,5.0,12.0,9.0,17.0,33.0,312.0,,,,0.0,244.0,8.0,,1.0,5.0,5.0,79.0,41.0,18.0,6.0,39.0,,10.0,10.0,129.0,2.0,789.0,25.0,5.0,11.0,23.0,1.0,12.0,1.0,0.0,,11.0,26.0,72.0,3.0,,59325,127.0,24.0,142.0,,5.0,45.0,4.0,1.0,8.0,2.0,3.0,3.0,,38.0,430.0,15.0,6.0,3.0,8.0,50.0,,,0.0,4.0,,2.0,0.0,7.0,1.0,3.0,70.3,25.0,1.0,25.0,,8.0,13.0,37.0,10.0,5.0,494.0,11.0,12.0,22.0,17.0,37.0,2.0,7.0,400.0,25.0,14.0,9.0,198.0,20.0,,6.0,13.0,1.0,3.0,22.0,11.0,3.0,2.0,2.0,2.0,,2.0,,2.0,1.0,3.0,3.0,,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
23,266471,2009-01-28 19:45:00,"Stamford Bridge, London",40280.0,Home,Chelsea,Middlesbrough,2,0,W,0,0,0,0,1.0,1.0,57.0,,,20.0,15.0,12.0,5.0,5.0,,7.0,16.0,2.0,15.0,8.0,113.0,58.0,24.0,2.0,5.0,1.0,1.0,,2.0,5.0,24.0,14.0,1.0,5.0,7.0,7.0,28.0,24.0,261.0,1.0,,,0.0,142.0,7.0,,,1.0,2.0,52.0,43.0,9.0,3.0,17.0,1.0,1.0,6.0,105.0,1.0,819.0,13.0,7.0,9.0,20.0,3.0,10.0,1.0,0.0,6.0,6.0,22.0,62.0,1.0,,56915,262.0,13.0,272.0,1.0,6.0,35.0,2.0,,3.0,8.0,3.0,3.0,,33.0,516.0,19.0,5.0,1.0,12.0,82.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,4.0,66.6,21.0,3.0,10.0,,4.0,5.0,60.0,8.0,2.0,580.0,8.0,14.0,12.0,11.0,17.0,5.0,5.0,332.0,14.0,26.0,6.0,103.0,21.0,2.0,4.0,17.0,1.0,3.0,21.0,8.0,3.0,6.0,6.0,,,,,2.0,2.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,3.0,,,3.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,266479,2009-02-01 16:00:00,"Anfield, Liverpool",44174.0,Away,Chelsea,Liverpool,0,2,L,0,0,1,0,1.0,1.0,44.0,,4.0,26.0,35.0,3.0,3.0,,,3.0,8.0,,6.0,2.0,171.0,63.0,8.0,1.0,13.0,2.0,,,,2.0,8.0,15.0,,,20.0,1.0,16.0,32.0,156.0,,,,0.0,128.0,16.0,4.0,,,1.0,48.0,36.0,2.0,1.0,7.0,,,2.0,156.0,13.0,653.0,4.0,14.0,11.0,13.0,11.0,16.0,,3.0,10.0,4.0,24.0,72.0,,2.0,56915,144.0,2.0,171.0,,9.0,58.0,4.0,2.0,3.0,12.0,4.0,,,58.0,297.0,22.0,8.0,2.0,37.0,91.0,,3.0,0.0,12.0,3.0,,1.0,2.0,,2.0,46.7,19.0,2.0,6.0,,3.0,2.0,50.0,1.0,1.0,414.0,11.0,16.0,10.0,4.0,23.0,1.0,2.0,251.0,2.0,15.0,11.0,65.0,15.0,,10.0,22.0,,3.0,14.0,1.0,1.0,,,2.0,,,,2.0,,3.0,3.0,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,
25,266485,2009-02-07 15:00:00,"Stamford Bridge, London",41802.0,Home,Chelsea,Hull City,0,0,D,0,0,0,0,2.0,1.0,67.0,,1.0,23.0,26.0,13.0,7.0,1.0,,8.0,10.0,,14.0,3.0,164.0,65.0,24.0,8.0,8.0,3.0,1.0,,2.0,1.0,37.0,15.0,,,18.0,11.0,14.0,37.0,194.0,1.0,,,0.0,157.0,13.0,,,,2.0,46.0,37.0,10.0,4.0,26.0,,11.0,5.0,156.0,5.0,681.0,10.0,10.0,7.0,19.0,15.0,12.0,,1.0,3.0,4.0,27.0,77.0,1.0,1.0,56915,113.0,13.0,131.0,,13.0,49.0,3.0,4.0,3.0,8.0,4.0,3.0,,43.0,299.0,18.0,6.0,4.0,34.0,88.0,1.0,1.0,0.0,3.0,,,0.0,5.0,,3.0,63.9,18.0,2.0,18.0,,3.0,12.0,50.0,13.0,2.0,380.0,7.0,18.0,15.0,9.0,27.0,3.0,4.0,286.0,13.0,14.0,13.0,112.0,22.0,,8.0,24.0,,3.0,16.0,13.0,4.0,4.0,4.0,2.0,,,,5.0,4.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,266495,2009-02-21 12:45:00,"Villa Park, Birmingham",42585.0,Away,Chelsea,Aston Villa,1,0,W,1,0,0,0,,1.0,55.0,1.0,2.0,26.0,35.0,7.0,2.0,3.0,,8.0,7.0,1.0,14.0,7.0,164.0,36.0,19.0,3.0,17.0,6.0,,1.0,,1.0,20.0,9.0,,,22.0,10.0,23.0,19.0,208.0,1.0,,,0.0,134.0,12.0,2.0,,1.0,6.0,38.0,47.0,10.0,2.0,10.0,,2.0,4.0,151.0,8.0,730.0,8.0,14.0,7.0,16.0,11.0,15.0,1.0,3.0,3.0,4.0,30.0,69.0,2.0,2.0,56915,171.0,7.0,190.0,1.0,11.0,61.0,7.0,2.0,9.0,6.0,4.0,1.0,,56.0,371.0,8.0,6.0,5.0,41.0,93.0,,3.0,0.0,6.0,2.0,1.0,0.0,3.0,1.0,3.0,59.1,22.0,1.0,9.0,1.0,9.0,6.0,44.0,11.0,7.0,467.0,7.0,22.0,8.0,6.0,16.0,5.0,2.0,297.0,12.0,21.0,10.0,87.0,16.0,1.0,8.0,11.0,,2.0,11.0,12.0,3.0,1.0,1.0,1.0,,,,4.0,1.0,3.0,3.0,,,,,,1.0,,2.0,,,,,,,,,,,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,266507,2009-02-28 15:00:00,"Stamford Bridge, London",40714.0,Home,Chelsea,Wigan Athletic,2,1,W,1,0,0,0,,,61.0,,,38.0,53.0,6.0,4.0,5.0,,6.0,6.0,2.0,10.0,8.0,140.0,46.0,17.0,,11.0,2.0,3.0,1.0,3.0,,25.0,12.0,,4.0,27.0,10.0,14.0,28.0,152.0,,,,0.0,121.0,15.0,2.0,1.0,,5.0,38.0,28.0,8.0,,15.0,1.0,3.0,2.0,114.0,7.0,665.0,8.0,13.0,11.0,13.0,6.0,31.0,1.0,3.0,6.0,2.0,23.0,61.0,4.0,,49724,161.0,10.0,171.0,,8.0,58.0,8.0,2.0,4.0,9.0,6.0,1.0,,58.0,307.0,12.0,7.0,1.0,18.0,73.0,3.0,1.0,0.0,8.0,3.0,2.0,0.0,2.0,1.0,3.0,59.2,20.0,1.0,14.0,3.0,4.0,5.0,41.0,11.0,5.0,370.0,11.0,19.0,17.0,4.0,25.0,4.0,2.0,224.0,10.0,12.0,13.0,79.0,24.0,,15.0,15.0,1.0,2.0,12.0,12.0,5.0,2.0,2.0,,,1.0,,3.0,,5.0,5.0,,,,1.0,,1.0,,3.0,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
28,266514,2009-03-03 19:45:00,"Fratton Park, Portsmouth",,Away,Chelsea,Portsmouth,1,0,W,0,0,0,0,,2.0,64.0,1.0,1.0,28.0,31.0,13.0,5.0,4.0,,7.0,11.0,1.0,13.0,7.0,157.0,43.0,20.0,4.0,7.0,2.0,,,3.0,2.0,32.0,13.0,,4.0,16.0,4.0,16.0,25.0,241.0,1.0,,,0.0,166.0,16.0,2.0,,1.0,2.0,92.0,55.0,5.0,2.0,28.0,,5.0,5.0,142.0,5.0,764.0,12.0,5.0,19.0,19.0,3.0,15.0,,0.0,6.0,8.0,28.0,83.0,1.0,1.0,49724,160.0,23.0,176.0,1.0,7.0,53.0,2.0,1.0,4.0,10.0,4.0,2.0,,59.0,394.0,7.0,6.0,1.0,23.0,84.0,,1.0,0.0,6.0,1.0,1.0,0.0,6.0,,2.0,57.6,21.0,2.0,14.0,,4.0,4.0,47.0,5.0,2.0,476.0,19.0,11.0,13.0,9.0,19.0,1.0,4.0,332.0,13.0,15.0,9.0,115.0,20.0,1.0,8.0,16.0,,3.0,24.0,6.0,,2.0,2.0,,,,,3.0,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
