gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,savedObox,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,attCmissRight,postScoringAtt,attGoalHighRight,attMissHighRight,bigChanceCreated,attHdTarget,hitWoodwork,attMissHighLeft,attMissHigh,attSvLowRight,attFreekickGoal,attOboxPost,goalsConceded,accurateFlickOn,accurateCrossNocorner,attPostRight,forwardGoals,goalsConcededIbox,attIboxPost,attSvHighRight,ptsGainedLosingPos,freekickCross,attFreekickPost,contentiousDecision,accurateThroughBall,accurateFreekickCross,defenderGoals,attPostHigh,foulThrowIn,attHdGoal,attObxdLeft,shieldBallOop,attGoalHighCentre,attGoalLowCentre,accurateKeeperSweeper,attPostLeft,attHdPost,totalKeeperSweeper,goalFastbreak,sixYardBlock,attCmissHigh,penaltyWon,attPenMiss,punches,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attCmissHighRight,attObpGoal,clearanceOffLine,attLgCentre,goalsConcededObox,attObxRight,ptsDroppedWinningPos,errorLeadToGoal,attPenGoal,attCmissHighLeft,attObxLeft
11,987698,2018-11-04 15:00:00,"Etihad Stadium, Manchester",53916,Home,Manchester City,Southampton,6,1,W,4,1,0,0,2.0,2.0,60.0,1.0,2.0,,21.0,17.0,5.0,10.0,13.0,5.0,3.0,1.0,189.0,5.0,15.0,6.0,3.0,17.0,1.0,8.0,213.0,109.0,52.0,1.0,18.0,1.0,11.0,2.0,1.0,3.0,5.0,2.0,,12.0,7.0,1.0,17.0,1.0,9.0,24.0,,,363.0,,,0.0,232.0,14.0,2.0,2.0,,1.0,,2.0,121.0,83.0,12.0,118.0,3.0,,11.0,19.0,5.0,1.0,3.0,2.0,109.0,9.0,209.0,914.0,11.0,3.0,64.0,11.0,647.0,26.0,2.0,13.0,5.0,1.0,2.0,4.0,,9.0,711.0,,58.0,2.0,97299,8.0,306.0,1.0,6.0,,321.0,8.0,2.0,4.0,19.0,6.0,48.0,3.0,1.0,5.0,5.0,15.0,4.0,5.0,35.0,664.0,9.0,6.0,,12.0,,57.0,1.0,1.0,,0.0,,2.0,4.0,3.0,6.0,0.0,3.0,1.0,67.3,9.0,1.0,6.0,,1.0,5.0,5.0,47.0,4.0,2.0,729.0,11.0,12.0,18.0,5.0,32.0,,2.0,420.0,7.0,9.0,16.0,197.0,23.0,1.0,13.0,12.0,16.0,3.0,22.0,,1.0,9.0,4.0,2.0,2.0,4.0,,,,1.0,,1.0,3.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,5.0,,4.0,1.0,,,,2.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,2.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
12,987709,2018-11-11 16:30:00,"Etihad Stadium, Manchester",54316,Home,Manchester City,Manchester United,3,1,W,1,0,0,0,,,57.0,,,,28.0,14.0,9.0,8.0,8.0,,1.0,2.0,186.0,4.0,11.0,3.0,3.0,16.0,,5.0,190.0,109.0,44.0,,17.0,2.0,12.0,,1.0,1.0,3.0,1.0,2.0,25.0,12.0,2.0,14.0,5.0,12.0,25.0,1.0,,399.0,,,0.0,214.0,12.0,,1.0,,1.0,,,130.0,70.0,10.0,128.0,1.0,2.0,20.0,26.0,9.0,,5.0,5.0,109.0,5.0,196.0,888.0,12.0,3.0,36.0,8.0,627.0,20.0,2.0,9.0,3.0,1.0,4.0,6.0,,19.0,685.0,,64.0,,97299,3.0,247.0,,11.0,,263.0,10.0,2.0,,26.0,5.0,46.0,4.0,,6.0,3.0,7.0,1.0,5.0,40.0,642.0,11.0,4.0,1.0,11.0,,71.0,1.0,,1.0,0.0,,2.0,1.0,,3.0,0.0,3.0,,64.9,16.0,,5.0,1.0,,6.0,6.0,62.0,5.0,,700.0,8.0,11.0,19.0,6.0,35.0,1.0,1.0,462.0,8.0,11.0,9.0,183.0,25.0,4.0,9.0,13.0,16.0,3.0,18.0,,4.0,7.0,6.0,2.0,1.0,4.0,,,1.0,,,1.0,2.0,,,1.0,,1.0,,,1.0,2.0,3.0,,1.0,1.0,,,,4.0,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,
13,987720,2018-11-24 15:00:00,"London Stadium, London",56886,Away,Manchester City,West Ham United,4,0,W,3,0,0,0,,1.0,71.0,1.0,,,31.0,14.0,,5.0,9.0,1.0,2.0,1.0,215.0,,10.0,4.0,1.0,8.0,,6.0,242.0,144.0,39.0,,9.0,,11.0,2.0,1.0,1.0,3.0,1.0,,4.0,10.0,,14.0,,18.0,31.0,1.0,,410.0,1.0,,0.0,181.0,3.0,,1.0,,1.0,,,154.0,103.0,6.0,143.0,4.0,1.0,4.0,20.0,,,,,144.0,6.0,239.0,1007.0,5.0,,34.0,18.0,733.0,32.0,4.0,5.0,3.0,0.0,3.0,2.0,,13.0,820.0,,63.0,1.0,97299,2.0,337.0,,4.0,,360.0,,2.0,1.0,20.0,9.0,42.0,5.0,3.0,3.0,4.0,19.0,3.0,5.0,56.0,747.0,6.0,7.0,,18.0,,85.0,1.0,,,0.0,,5.0,8.0,1.0,4.0,0.0,3.0,,69.3,13.0,,4.0,2.0,,3.0,1.0,64.0,1.0,,839.0,18.0,12.0,15.0,2.0,24.0,,2.0,483.0,4.0,17.0,10.0,135.0,32.0,,5.0,13.0,9.0,3.0,19.0,,,8.0,1.0,3.0,2.0,1.0,,,1.0,,,1.0,2.0,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,987729,2018-12-01 15:00:00,"Etihad Stadium, Manchester",54409,Home,Manchester City,Bournemouth,3,1,W,1,1,0,0,,1.0,43.0,,,,36.0,21.0,4.0,7.0,12.0,,1.0,1.0,188.0,5.0,12.0,3.0,1.0,12.0,,6.0,240.0,114.0,42.0,,16.0,3.0,26.0,3.0,,1.0,,1.0,1.0,17.0,12.0,,21.0,4.0,10.0,40.0,,,423.0,,,0.0,213.0,9.0,,,,2.0,,,112.0,117.0,8.0,139.0,1.0,3.0,13.0,10.0,4.0,,4.0,1.0,114.0,3.0,219.0,951.0,9.0,3.0,37.0,11.0,696.0,19.0,1.0,9.0,1.0,0.0,1.0,4.0,,18.0,768.0,,73.0,,59859,5.0,294.0,1.0,8.0,1.0,312.0,6.0,2.0,1.0,10.0,7.0,49.0,4.0,2.0,3.0,2.0,17.0,1.0,6.0,54.0,712.0,3.0,8.0,2.0,9.0,,79.0,,,1.0,0.0,,2.0,4.0,,3.0,0.0,1.0,1.0,73.1,18.0,,1.0,2.0,1.0,3.0,5.0,66.0,8.0,,786.0,11.0,3.0,20.0,5.0,36.0,1.0,4.0,491.0,8.0,9.0,13.0,165.0,19.0,1.0,9.0,14.0,13.0,3.0,15.0,,1.0,5.0,8.0,3.0,,2.0,1.0,,,,1.0,,2.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,4.0,,1.0,1.0,,,,1.0,,,2.0,1.0,,,1.0,,,1.0,,2.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,
15,987737,2018-12-04 20:00:00,"Vicarage Road, Watford",20389,Away,Manchester City,Watford,2,1,W,1,0,0,0,1.0,4.0,65.0,,1.0,,25.0,28.0,3.0,8.0,12.0,5.0,1.0,1.0,210.0,5.0,9.0,2.0,1.0,11.0,,7.0,199.0,142.0,45.0,,15.0,1.0,31.0,4.0,1.0,1.0,2.0,4.0,2.0,21.0,11.0,1.0,28.0,7.0,10.0,38.0,3.0,,373.0,,,0.0,227.0,8.0,2.0,1.0,,,1.0,,92.0,121.0,8.0,123.0,1.0,2.0,14.0,23.0,3.0,,5.0,1.0,142.0,8.0,182.0,904.0,8.0,4.0,47.0,6.0,614.0,24.0,,13.0,2.0,1.0,3.0,3.0,,15.0,696.0,,70.0,,97299,8.0,259.0,3.0,8.0,,283.0,4.0,,,23.0,4.0,62.0,3.0,6.0,7.0,2.0,14.0,3.0,2.0,47.0,627.0,4.0,7.0,1.0,12.0,,71.0,1.0,,2.0,0.0,,1.0,3.0,5.0,2.0,0.0,2.0,1.0,70.1,15.0,1.0,8.0,,,7.0,3.0,53.0,11.0,,714.0,6.0,10.0,21.0,5.0,40.0,2.0,4.0,452.0,5.0,10.0,16.0,183.0,25.0,,13.0,16.0,13.0,3.0,17.0,,,11.0,12.0,2.0,,2.0,,,1.0,,,1.0,4.0,,,,,,,,1.0,,3.0,,2.0,1.0,,,,1.0,,1.0,2.0,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,
16,987746,2018-12-08 17:30:00,"Stamford Bridge, London",40571,Away,Manchester City,Chelsea,0,2,L,0,1,0,0,,2.0,53.0,,2.0,,40.0,11.0,3.0,7.0,10.0,3.0,,2.0,161.0,3.0,16.0,,3.0,9.0,1.0,4.0,182.0,142.0,53.0,1.0,14.0,,18.0,2.0,1.0,1.0,,1.0,2.0,23.0,15.0,2.0,11.0,6.0,9.0,37.0,,,261.0,,,0.0,152.0,11.0,2.0,1.0,,,2.0,,93.0,107.0,4.0,105.0,,3.0,17.0,22.0,4.0,1.0,6.0,2.0,142.0,5.0,192.0,844.0,7.0,3.0,34.0,8.0,538.0,11.0,,7.0,,0.0,2.0,5.0,,23.0,614.0,,59.0,,97299,5.0,305.0,,9.0,1.0,320.0,9.0,,1.0,22.0,6.0,67.0,2.0,2.0,2.0,,13.0,3.0,6.0,57.0,563.0,11.0,10.0,2.0,6.0,,74.0,1.0,,2.0,0.0,1.0,2.0,1.0,1.0,,0.0,,2.0,61.3,23.0,2.0,10.0,3.0,,2.0,4.0,59.0,13.0,,640.0,8.0,19.0,19.0,6.0,40.0,2.0,4.0,343.0,5.0,9.0,7.0,113.0,30.0,,7.0,19.0,6.0,3.0,25.0,,,11.0,13.0,,,4.0,,,,,,1.0,,,,,,1.0,,,2.0,1.0,1.0,,,2.0,,,,2.0,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
17,987757,2018-12-15 12:30:00,"Etihad Stadium, Manchester",54173,Home,Manchester City,Everton,3,1,W,1,0,0,0,1.0,1.0,63.0,,,,34.0,14.0,4.0,6.0,9.0,1.0,1.0,1.0,201.0,3.0,4.0,3.0,2.0,11.0,,5.0,205.0,135.0,43.0,,13.0,2.0,10.0,1.0,,1.0,3.0,2.0,1.0,18.0,11.0,1.0,14.0,6.0,8.0,33.0,1.0,,339.0,,,0.0,171.0,7.0,1.0,,,,,,116.0,112.0,8.0,123.0,,1.0,12.0,19.0,4.0,,3.0,1.0,135.0,6.0,176.0,861.0,6.0,,26.0,5.0,599.0,23.0,5.0,7.0,3.0,1.0,2.0,3.0,,29.0,687.0,,67.0,2.0,97299,5.0,277.0,,9.0,2.0,295.0,4.0,,,19.0,5.0,38.0,8.0,3.0,1.0,3.0,13.0,3.0,2.0,57.0,613.0,9.0,12.0,2.0,16.0,,87.0,,,,0.0,,1.0,2.0,1.0,3.0,0.0,3.0,4.0,67.0,29.0,2.0,5.0,2.0,,1.0,4.0,64.0,6.0,,705.0,5.0,9.0,16.0,4.0,35.0,1.0,3.0,428.0,3.0,7.0,16.0,125.0,33.0,2.0,7.0,15.0,9.0,2.0,6.0,,2.0,2.0,6.0,3.0,1.0,2.0,,,1.0,,,,3.0,,,,2.0,,,,1.0,,2.0,,2.0,1.0,,,,,,,1.0,,,,,2.0,,,2.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,
18,987768,2018-12-22 15:00:00,"Etihad Stadium, Manchester",54340,Home,Manchester City,Crystal Palace,2,3,L,1,2,0,0,,2.0,59.0,,,,36.0,3.0,7.0,6.0,11.0,,,1.0,164.0,13.0,10.0,2.0,4.0,15.0,,5.0,228.0,159.0,53.0,1.0,19.0,2.0,17.0,1.0,,1.0,2.0,1.0,5.0,45.0,7.0,2.0,3.0,13.0,5.0,54.0,,,521.0,,1.0,0.0,309.0,7.0,,,,1.0,1.0,,134.0,106.0,8.0,99.0,,2.0,32.0,22.0,8.0,1.0,18.0,2.0,159.0,4.0,242.0,940.0,10.0,4.0,43.0,6.0,639.0,17.0,1.0,2.0,2.0,0.0,,7.0,,24.0,723.0,,93.0,,97299,5.0,141.0,1.0,12.0,1.0,157.0,5.0,1.0,2.0,22.0,2.0,53.0,1.0,2.0,3.0,2.0,13.0,1.0,2.0,47.0,649.0,6.0,6.0,3.0,4.0,,54.0,,1.0,2.0,0.0,,4.0,,,1.0,0.0,1.0,5.0,78.3,23.0,4.0,1.0,1.0,1.0,3.0,5.0,42.0,13.0,,733.0,6.0,9.0,33.0,9.0,73.0,6.0,6.0,621.0,7.0,5.0,20.0,252.0,38.0,1.0,2.0,17.0,14.0,3.0,24.0,,1.0,7.0,13.0,1.0,1.0,3.0,,,,1.0,,,2.0,,1.0,,1.0,,,1.0,3.0,2.0,7.0,1.0,,2.0,,,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,3.0,,,,
19,987776,2018-12-26 15:00:00,"King Power Stadium, Leicester",32090,Away,Manchester City,Leicester City,1,2,L,1,1,1,0,,,66.0,1.0,,,31.0,13.0,5.0,7.0,6.0,3.0,1.0,3.0,174.0,1.0,11.0,1.0,1.0,10.0,3.0,4.0,164.0,167.0,49.0,,11.0,2.0,26.0,1.0,,,1.0,1.0,,35.0,9.0,2.0,13.0,7.0,6.0,50.0,1.0,,335.0,,,0.0,222.0,8.0,1.0,,,1.0,1.0,1.0,106.0,89.0,7.0,85.0,,1.0,28.0,15.0,5.0,,8.0,1.0,167.0,8.0,190.0,817.0,9.0,4.0,38.0,5.0,519.0,22.0,3.0,8.0,1.0,2.0,1.0,3.0,,26.0,600.0,,78.0,1.0,97299,4.0,198.0,1.0,18.0,,220.0,5.0,,3.0,15.0,5.0,61.0,1.0,3.0,3.0,1.0,21.0,2.0,5.0,66.0,532.0,5.0,5.0,,17.0,,65.0,,,,0.0,,4.0,3.0,3.0,1.0,1.0,1.0,1.0,66.1,25.0,1.0,7.0,2.0,,4.0,3.0,50.0,7.0,1.0,613.0,5.0,14.0,27.0,4.0,53.0,1.0,3.0,428.0,3.0,6.0,15.0,175.0,32.0,1.0,8.0,18.0,11.0,2.0,19.0,,1.0,5.0,7.0,1.0,,1.0,,,,,,,2.0,,,1.0,2.0,1.0,,,2.0,1.0,,,,2.0,,,,2.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,3.0,,,,
20,987789,2018-12-30 14:15:00,"St. Mary's Stadium, Southampton",31381,Away,Manchester City,Southampton,3,1,W,3,1,0,1,,1.0,54.0,1.0,2.0,,29.0,19.0,2.0,7.0,12.0,3.0,1.0,3.0,205.0,3.0,14.0,3.0,1.0,13.0,1.0,6.0,243.0,142.0,53.0,,14.0,1.0,16.0,4.0,1.0,1.0,2.0,3.0,2.0,18.0,9.0,,19.0,5.0,3.0,37.0,,,407.0,,,0.0,208.0,10.0,2.0,1.0,,1.0,1.0,,144.0,126.0,9.0,118.0,,1.0,13.0,8.0,2.0,,5.0,1.0,142.0,3.0,217.0,971.0,8.0,3.0,36.0,7.0,683.0,16.0,3.0,16.0,2.0,3.0,,4.0,,27.0,765.0,,66.0,,97299,9.0,294.0,4.0,7.0,2.0,312.0,8.0,,3.0,8.0,3.0,55.0,1.0,2.0,4.0,2.0,11.0,2.0,1.0,45.0,698.0,11.0,4.0,3.0,10.0,,83.0,1.0,,1.0,0.0,,3.0,3.0,1.0,3.0,0.0,2.0,2.0,76.6,26.0,1.0,5.0,1.0,,4.0,4.0,65.0,8.0,,783.0,7.0,11.0,21.0,4.0,36.0,1.0,2.0,489.0,4.0,3.0,17.0,163.0,29.0,1.0,16.0,12.0,11.0,3.0,28.0,,1.0,2.0,8.0,2.0,,3.0,,,,1.0,,,6.0,,1.0,,,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,2.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
21,987798,2019-01-03 20:00:00,"Etihad Stadium, Manchester",54511,Home,Manchester City,Liverpool,2,1,W,1,0,0,0,,1.0,70.0,,,,32.0,31.0,2.0,4.0,6.0,3.0,2.0,1.0,195.0,1.0,8.0,2.0,,6.0,1.0,4.0,142.0,160.0,47.0,,9.0,,9.0,2.0,1.0,1.0,2.0,1.0,2.0,11.0,11.0,,31.0,1.0,4.0,56.0,1.0,,191.0,,,0.0,124.0,12.0,2.0,1.0,,,1.0,1.0,99.0,73.0,4.0,102.0,,1.0,10.0,18.0,3.0,,2.0,3.0,160.0,7.0,139.0,762.0,4.0,2.0,25.0,14.0,456.0,20.0,3.0,12.0,2.0,4.0,1.0,2.0,,23.0,562.0,,52.0,,97299,2.0,278.0,2.0,8.0,,299.0,7.0,,2.0,18.0,3.0,50.0,2.0,2.0,3.0,2.0,18.0,,1.0,65.0,468.0,6.0,11.0,,17.0,,92.0,1.0,1.0,1.0,0.0,,,1.0,4.0,2.0,0.0,2.0,,49.6,21.0,,5.0,1.0,,3.0,1.0,48.0,2.0,1.0,578.0,14.0,5.0,31.0,4.0,23.0,,1.0,290.0,5.0,4.0,19.0,76.0,40.0,,12.0,14.0,9.0,3.0,21.0,,,7.0,2.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,
22,987809,2019-01-14 20:00:00,"Etihad Stadium, Manchester",54171,Home,Manchester City,Wolverhampton Wanderers,3,0,W,2,0,0,1,,1.0,63.0,2.0,,,27.0,6.0,11.0,5.0,13.0,,,5.0,203.0,5.0,12.0,3.0,1.0,20.0,1.0,9.0,277.0,130.0,46.0,,24.0,3.0,16.0,4.0,,3.0,1.0,5.0,4.0,31.0,8.0,3.0,6.0,4.0,10.0,25.0,,,649.0,1.0,,0.0,418.0,6.0,,,,,1.0,1.0,157.0,137.0,15.0,135.0,,,27.0,17.0,11.0,,10.0,5.0,130.0,2.0,257.0,1054.0,19.0,1.0,61.0,9.0,787.0,13.0,1.0,2.0,1.0,1.0,2.0,5.0,,15.0,856.0,,93.0,,97299,5.0,159.0,1.0,17.0,,165.0,5.0,2.0,2.0,17.0,4.0,49.0,6.0,3.0,3.0,1.0,13.0,1.0,4.0,37.0,803.0,3.0,9.0,,5.0,2.0,56.0,,,,0.0,,1.0,1.0,,3.0,0.0,1.0,1.0,76.1,15.0,,12.0,4.0,1.0,3.0,8.0,48.0,12.0,1.0,872.0,9.0,9.0,15.0,7.0,63.0,,2.0,738.0,18.0,10.0,21.0,368.0,35.0,,2.0,10.0,21.0,3.0,21.0,,,4.0,12.0,1.0,,5.0,,,,,,2.0,2.0,1.0,,,1.0,,,,,,5.0,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,
23,987815,2019-01-20 13:30:00,"Accu Stadium, Huddersfield",24190,Away,Manchester City,Huddersfield Town,3,0,W,1,0,0,0,1.0,,66.0,1.0,1.0,,32.0,12.0,2.0,1.0,10.0,2.0,1.0,1.0,215.0,5.0,15.0,3.0,3.0,12.0,,4.0,191.0,143.0,53.0,,12.0,,14.0,1.0,,1.0,3.0,1.0,,11.0,10.0,,12.0,3.0,5.0,47.0,1.0,,392.0,1.0,1.0,0.0,206.0,9.0,1.0,,,,,1.0,100.0,76.0,6.0,112.0,,4.0,8.0,9.0,2.0,,1.0,1.0,143.0,3.0,216.0,916.0,7.0,6.0,24.0,11.0,620.0,22.0,1.0,6.0,3.0,2.0,,6.0,,20.0,710.0,,83.0,1.0,97299,7.0,254.0,2.0,7.0,,273.0,5.0,1.0,1.0,9.0,9.0,47.0,1.0,2.0,6.0,3.0,16.0,2.0,8.0,56.0,641.0,10.0,3.0,2.0,14.0,,63.0,,,,0.0,,3.0,1.0,1.0,2.0,0.0,1.0,4.0,67.6,20.0,3.0,4.0,,,7.0,2.0,45.0,4.0,1.0,734.0,11.0,17.0,24.0,6.0,34.0,2.0,5.0,472.0,7.0,5.0,15.0,158.0,31.0,1.0,6.0,13.0,9.0,3.0,20.0,,1.0,4.0,4.0,2.0,1.0,2.0,,,,,1.0,,4.0,,,1.0,1.0,,,,,2.0,3.0,,2.0,,,,,,,1.0,1.0,,1.0,,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,987829,2019-01-29 20:00:00,"St. James' Park, Newcastle",50861,Away,Manchester City,Newcastle United,1,2,L,1,0,0,0,,1.0,66.0,,,,24.0,11.0,4.0,4.0,8.0,,1.0,1.0,205.0,1.0,15.0,1.0,4.0,7.0,1.0,4.0,215.0,152.0,64.0,1.0,12.0,2.0,13.0,2.0,,,1.0,3.0,,21.0,11.0,1.0,11.0,6.0,10.0,31.0,,,432.0,,,0.0,218.0,7.0,,,,,,,117.0,131.0,6.0,128.0,,1.0,15.0,20.0,4.0,1.0,2.0,1.0,152.0,4.0,219.0,958.0,4.0,2.0,35.0,6.0,666.0,28.0,,7.0,1.0,3.0,2.0,1.0,,23.0,751.0,,85.0,1.0,97299,7.0,251.0,,11.0,2.0,266.0,3.0,,1.0,20.0,3.0,44.0,3.0,5.0,5.0,1.0,18.0,3.0,3.0,42.0,682.0,9.0,4.0,2.0,7.0,,67.0,,,,0.0,,3.0,1.0,,1.0,0.0,1.0,2.0,76.2,22.0,1.0,9.0,,,5.0,5.0,52.0,8.0,,767.0,6.0,12.0,14.0,3.0,39.0,1.0,2.0,522.0,6.0,8.0,18.0,174.0,24.0,1.0,7.0,22.0,5.0,3.0,23.0,,1.0,6.0,8.0,1.0,,3.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,2.0,1.0,,,1.0,2.0,,,,2.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,3.0,,,,
25,987839,2019-02-03 16:30:00,"Etihad Stadium, Manchester",54483,Home,Manchester City,Arsenal,3,1,W,2,1,0,0,,3.0,58.0,1.0,,,31.0,16.0,7.0,6.0,12.0,1.0,,6.0,163.0,2.0,19.0,3.0,3.0,13.0,,12.0,181.0,119.0,58.0,1.0,19.0,2.0,5.0,7.0,,2.0,3.0,4.0,,18.0,7.0,2.0,16.0,4.0,5.0,45.0,,,338.0,,,0.0,215.0,11.0,,,,,1.0,,111.0,94.0,11.0,100.0,,,14.0,21.0,7.0,1.0,3.0,3.0,119.0,2.0,169.0,798.0,10.0,2.0,46.0,10.0,528.0,18.0,2.0,8.0,3.0,1.0,2.0,2.0,,20.0,604.0,,69.0,,97299,7.0,201.0,,10.0,1.0,219.0,7.0,1.0,2.0,21.0,2.0,35.0,2.0,5.0,4.0,3.0,9.0,2.0,2.0,46.0,537.0,7.0,10.0,,7.0,,57.0,,,,0.0,,2.0,2.0,1.0,3.0,0.0,3.0,1.0,58.8,19.0,,5.0,1.0,2.0,4.0,4.0,44.0,4.0,,613.0,10.0,4.0,30.0,3.0,38.0,,,412.0,11.0,5.0,19.0,171.0,30.0,1.0,8.0,13.0,14.0,2.0,25.0,,1.0,12.0,4.0,3.0,2.0,2.0,,,,,,,3.0,,,1.0,2.0,2.0,,,1.0,1.0,2.0,,3.0,1.0,,,,1.0,,1.0,,,,,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
26,987847,2019-02-10 16:00:00,"Etihad Stadium, Manchester",54452,Home,Manchester City,Chelsea,6,0,W,4,0,0,0,,1.0,52.0,3.0,2.0,,35.0,22.0,5.0,6.0,10.0,4.0,2.0,2.0,162.0,3.0,11.0,6.0,4.0,10.0,,9.0,197.0,93.0,45.0,1.0,15.0,1.0,3.0,1.0,,1.0,2.0,1.0,,6.0,6.0,2.0,22.0,,6.0,36.0,,,250.0,1.0,2.0,0.0,133.0,9.0,2.0,,,1.0,1.0,,87.0,63.0,5.0,137.0,1.0,2.0,6.0,13.0,5.0,1.0,1.0,,93.0,6.0,185.0,856.0,8.0,2.0,27.0,10.0,614.0,15.0,2.0,12.0,2.0,1.0,5.0,5.0,,13.0,662.0,,38.0,,97299,6.0,384.0,3.0,5.0,2.0,402.0,5.0,4.0,,13.0,4.0,49.0,1.0,2.0,8.0,3.0,13.0,6.0,4.0,48.0,631.0,12.0,15.0,,9.0,1.0,59.0,,1.0,,0.0,1.0,3.0,2.0,2.0,4.0,0.0,1.0,2.0,55.8,13.0,1.0,6.0,1.0,1.0,8.0,1.0,48.0,2.0,,681.0,10.0,13.0,25.0,5.0,19.0,,4.0,285.0,7.0,5.0,10.0,112.0,23.0,1.0,12.0,12.0,10.0,3.0,20.0,,1.0,8.0,2.0,4.0,,,,,1.0,1.0,1.0,,4.0,,1.0,2.0,,,,,,1.0,3.0,,5.0,,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,
