gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attLfTarget,bigChanceScored,attIboxBlocked,goals,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,attOneOnOne,goodHighClaim,bigChanceCreated,attPostLeft,hitWoodwork,goalAssist,errorLeadToShot,bigChanceMissed,sixYardBlock,goalsOpenplay,attGoalHighLeft,attCmissLeft,overrun,attIboxGoal,attOboxPost,accurateFlickOn,goalAssistIntentional,foulThrowIn,totalHighClaim,forwardGoals,attHdGoal,handBall,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,attGoalHighRight,attMissHighRight,attOboxGoal,midfielderGoals,attGoalHighCentre,attMissHighLeft,attRfGoal,totalPullBack,punches,attPostHigh,attBxLeft,penaltySave,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,ptsDroppedWinningPos,accuratePullBack,attCmissRight,attSvHighRight,attSvHighCentre,attGoalLowCentre,shotFastbreak,attIboxPost,ptsGainedLosingPos,totalFastbreak,freekickCross,attHdPost,attFastbreak,shieldBallOop,attObxLeft,attObxRight,attLfGoal,secondYellow,ownGoals,attIboxOwnGoal,attLgRight,accurateFreekickCross,attObxdLeft,attFreekickTarget,penaltyWon,attPenGoal,attCorner,attCmissHighLeft,cleanSheet,attSvHighLeft,attPenTarget,goalFastbreak,clearanceOffLine,attLgCentre,attPostRight,attCmissHighRight,attLgLeft
11,987697,2018-11-05 20:00:00,"Accu Stadium, Huddersfield",17082,Away,Fulham,Huddersfield Town,0,1,L,0,1,0,0,69.0,2.0,29.0,17.0,1.0,,7.0,2.0,1.0,203.0,4.0,13.0,2.0,7.0,1.0,94.0,205.0,67.0,1.0,8.0,,27.0,1.0,3.0,1.0,7.0,11.0,,17.0,4.0,17.0,38.0,182.0,0.0,105.0,8.0,1.0,,44.0,75.0,5.0,85.0,,2.0,3.0,34.0,1.0,1.0,1.0,1.0,205.0,,6.0,108.0,714.0,3.0,9.0,12.0,,7.0,330.0,35.0,8.0,9.0,3.0,2.0,2.0,2.0,44.0,461.0,48.0,,94248,6.0,172.0,2.0,,234.0,7.0,34.0,12.0,64.0,,,6.0,5.0,20.0,5.0,7.0,,83.0,350.0,11.0,5.0,4.0,37.0,82.0,,0.0,5.0,,1.0,0.0,,1.0,54.9,35.0,1.0,1.0,6.0,4.0,43.0,4.0,490.0,7.0,11.0,12.0,3.0,12.0,4.0,2.0,263.0,5.0,15.0,27.0,66.0,24.0,4.0,9.0,17.0,1.0,3.0,3.0,27.0,,4.0,12.0,4.0,,,,4.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12,987708,2018-11-11 12:00:00,"Anfield, Liverpool",53128,Away,Fulham,Liverpool,0,2,L,0,1,0,0,54.0,1.0,21.0,32.0,4.0,4.0,3.0,5.0,2.0,110.0,,7.0,,5.0,3.0,64.0,136.0,42.0,,8.0,1.0,11.0,1.0,,,11.0,8.0,2.0,32.0,2.0,6.0,31.0,80.0,0.0,70.0,9.0,3.0,3.0,32.0,42.0,3.0,39.0,1.0,1.0,9.0,18.0,5.0,,4.0,2.0,136.0,1.0,10.0,50.0,476.0,5.0,5.0,6.0,,14.0,164.0,29.0,2.0,15.0,,1.0,7.0,2.0,30.0,234.0,42.0,,94248,2.0,106.0,5.0,,129.0,5.0,18.0,12.0,44.0,,,5.0,4.0,17.0,11.0,10.0,1.0,53.0,186.0,11.0,9.0,,20.0,59.0,,0.0,6.0,4.0,2.0,0.0,,,27.0,23.0,,2.0,4.0,1.0,22.0,3.0,263.0,14.0,13.0,16.0,4.0,15.0,,2.0,145.0,4.0,5.0,10.0,44.0,17.0,1.0,15.0,15.0,2.0,8.0,3.0,12.0,,1.0,10.0,3.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,2.0,,,,,,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
13,987716,2018-11-24 15:00:00,"Craven Cottage, London",24603,Home,Fulham,Southampton,3,2,W,2,1,0,0,57.0,3.0,28.0,43.0,2.0,2.0,8.0,6.0,1.0,162.0,5.0,11.0,,10.0,5.0,86.0,152.0,57.0,,10.0,,17.0,2.0,,1.0,11.0,9.0,,43.0,2.0,10.0,38.0,141.0,0.0,115.0,10.0,3.0,1.0,51.0,50.0,7.0,40.0,,,9.0,6.0,2.0,,3.0,2.0,152.0,,10.0,82.0,578.0,6.0,7.0,20.0,1.0,8.0,251.0,22.0,7.0,23.0,,2.0,5.0,3.0,22.0,346.0,64.0,1.0,94248,6.0,128.0,6.0,1.0,147.0,5.0,6.0,10.0,56.0,,1.0,4.0,,10.0,9.0,3.0,2.0,71.0,264.0,5.0,10.0,1.0,24.0,79.0,,0.0,5.0,3.0,2.0,0.0,4.0,2.0,37.2,15.0,,3.0,,2.0,30.0,2.0,370.0,8.0,15.0,16.0,3.0,23.0,1.0,1.0,234.0,6.0,9.0,21.0,72.0,22.0,5.0,23.0,20.0,1.0,8.0,3.0,15.0,,5.0,2.0,2.0,1.0,,2.0,2.0,3.0,2.0,,3.0,1.0,,,2.0,,,3.0,,,,3.0,,,,3.0,,1.0,3.0,,,2.0,1.0,,,3.0,,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14,987724,2018-12-02 12:00:00,"Stamford Bridge, London",40551,Away,Fulham,Chelsea,0,2,L,0,1,0,0,61.0,4.0,34.0,18.0,7.0,1.0,2.0,7.0,3.0,127.0,4.0,11.0,,8.0,4.0,81.0,143.0,56.0,,9.0,1.0,15.0,2.0,,3.0,18.0,12.0,2.0,18.0,5.0,9.0,46.0,144.0,0.0,103.0,17.0,2.0,1.0,60.0,49.0,5.0,64.0,,2.0,13.0,19.0,7.0,,7.0,4.0,143.0,,9.0,88.0,555.0,7.0,7.0,14.0,1.0,9.0,248.0,30.0,4.0,3.0,,1.0,6.0,3.0,27.0,341.0,52.0,,94248,,122.0,6.0,,148.0,6.0,19.0,5.0,58.0,,,1.0,4.0,9.0,7.0,3.0,,73.0,262.0,8.0,8.0,1.0,20.0,63.0,,0.0,4.0,3.0,2.0,0.0,2.0,1.0,34.0,25.0,,1.0,4.0,1.0,30.0,6.0,360.0,9.0,12.0,19.0,4.0,20.0,2.0,,230.0,7.0,9.0,15.0,62.0,22.0,1.0,3.0,23.0,2.0,8.0,3.0,17.0,1.0,1.0,11.0,6.0,,,,,,1.0,,,1.0,,,,,,,3.0,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,987735,2018-12-05 19:45:00,"Craven Cottage, London",22881,Home,Fulham,Leicester City,1,1,D,1,0,0,0,60.0,1.0,24.0,13.0,9.0,7.0,15.0,4.0,4.0,162.0,7.0,9.0,4.0,21.0,7.0,49.0,172.0,54.0,2.0,25.0,4.0,20.0,3.0,1.0,5.0,24.0,5.0,3.0,13.0,9.0,10.0,24.0,152.0,0.0,137.0,12.0,1.0,1.0,28.0,73.0,11.0,50.0,1.0,1.0,15.0,22.0,10.0,2.0,4.0,3.0,172.0,,11.0,54.0,533.0,15.0,12.0,25.0,,14.0,196.0,21.0,7.0,7.0,1.0,0.0,2.0,10.0,31.0,296.0,70.0,,94248,9.0,64.0,9.0,2.0,93.0,4.0,22.0,8.0,49.0,,1.0,2.0,2.0,20.0,2.0,5.0,3.0,68.0,209.0,7.0,4.0,5.0,36.0,79.0,,0.0,8.0,3.0,1.0,0.0,2.0,5.0,45.5,20.0,5.0,8.0,2.0,8.0,33.0,10.0,315.0,14.0,12.0,12.0,10.0,33.0,5.0,7.0,246.0,13.0,9.0,31.0,88.0,23.0,5.0,7.0,7.0,1.0,15.0,3.0,11.0,,5.0,12.0,10.0,,2.0,,4.0,1.0,1.0,,1.0,4.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,5.0,,,,,,,,,,,,,1.0,,2.0,1.0,,,,2.0,,,,,,2.0,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
16,987749,2018-12-08 15:00:00,"Old Trafford, Manchester",74523,Away,Fulham,Manchester United,1,4,L,0,3,1,0,64.0,1.0,24.0,26.0,5.0,4.0,5.0,7.0,2.0,154.0,1.0,12.0,1.0,7.0,4.0,81.0,140.0,53.0,,10.0,,24.0,,,2.0,14.0,12.0,3.0,26.0,2.0,4.0,22.0,162.0,0.0,125.0,15.0,5.0,,54.0,43.0,5.0,49.0,2.0,2.0,12.0,18.0,5.0,,6.0,2.0,140.0,2.0,14.0,92.0,572.0,6.0,7.0,17.0,,7.0,265.0,31.0,7.0,14.0,,1.0,3.0,2.0,16.0,343.0,58.0,,94248,3.0,124.0,5.0,,140.0,9.0,18.0,10.0,63.0,,,3.0,1.0,13.0,6.0,5.0,,59.0,285.0,11.0,10.0,1.0,18.0,64.0,1.0,0.0,10.0,6.0,4.0,1.0,,1.0,37.3,12.0,,3.0,1.0,2.0,30.0,3.0,376.0,7.0,9.0,7.0,4.0,19.0,1.0,2.0,250.0,5.0,4.0,12.0,84.0,23.0,2.0,14.0,18.0,3.0,8.0,3.0,18.0,1.0,2.0,11.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,2.0,,,,,,1.0,,1.0,,,2.0,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,
17,987754,2018-12-15 17:30:00,"Craven Cottage, London",24081,Home,Fulham,West Ham United,0,2,L,0,2,0,0,76.0,,27.0,19.0,9.0,4.0,7.0,1.0,3.0,179.0,4.0,16.0,1.0,11.0,4.0,139.0,166.0,62.0,,16.0,2.0,19.0,2.0,3.0,,26.0,11.0,2.0,19.0,6.0,5.0,39.0,263.0,0.0,163.0,14.0,1.0,2.0,61.0,88.0,6.0,58.0,1.0,5.0,20.0,15.0,9.0,,10.0,5.0,166.0,,4.0,122.0,700.0,8.0,6.0,24.0,1.0,5.0,381.0,26.0,7.0,10.0,3.0,2.0,1.0,5.0,26.0,474.0,74.0,1.0,94248,5.0,140.0,10.0,2.0,158.0,7.0,15.0,7.0,62.0,,2.0,6.0,1.0,11.0,2.0,4.0,,55.0,399.0,9.0,7.0,3.0,18.0,80.0,2.0,0.0,4.0,1.0,2.0,0.0,3.0,3.0,56.0,23.0,2.0,3.0,1.0,3.0,55.0,6.0,498.0,5.0,15.0,20.0,9.0,38.0,1.0,4.0,366.0,8.0,4.0,21.0,109.0,42.0,2.0,10.0,16.0,1.0,11.0,3.0,23.0,,2.0,4.0,6.0,1.0,,,1.0,,,,,,1.0,,3.0,,,,,3.0,,,,,3.0,,,2.0,,,,,,,,,,,1.0,,,,3.0,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
18,987769,2018-12-22 15:00:00,"St. James' Park, Newcastle",51237,Away,Fulham,Newcastle United,0,0,D,0,0,0,0,60.0,,25.0,40.0,2.0,1.0,2.0,,1.0,170.0,,9.0,2.0,3.0,2.0,101.0,159.0,49.0,1.0,4.0,1.0,21.0,1.0,,1.0,6.0,7.0,1.0,40.0,,7.0,25.0,154.0,0.0,98.0,12.0,,,42.0,54.0,3.0,78.0,,,6.0,15.0,2.0,1.0,2.0,,159.0,,5.0,114.0,653.0,3.0,8.0,10.0,,10.0,352.0,22.0,4.0,18.0,,2.0,4.0,,21.0,439.0,47.0,,94248,1.0,208.0,3.0,,238.0,5.0,15.0,11.0,58.0,,,4.0,2.0,17.0,4.0,4.0,,65.0,362.0,9.0,5.0,,25.0,76.0,,0.0,6.0,,,0.0,,,46.5,14.0,,1.0,2.0,2.0,39.0,,463.0,10.0,19.0,9.0,,17.0,,,231.0,3.0,7.0,22.0,59.0,30.0,4.0,18.0,9.0,,3.0,2.0,12.0,,4.0,5.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,1.0,,,,,,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,
19,987775,2018-12-26 12:30:00,"Craven Cottage, London",24382,Home,Fulham,Wolverhampton Wanderers,1,1,D,0,0,0,0,58.0,2.0,30.0,28.0,3.0,2.0,8.0,4.0,1.0,137.0,3.0,9.0,2.0,9.0,5.0,52.0,144.0,61.0,,11.0,,33.0,3.0,,2.0,12.0,8.0,1.0,28.0,,10.0,24.0,104.0,0.0,77.0,9.0,2.0,,37.0,28.0,4.0,47.0,3.0,2.0,12.0,9.0,3.0,,5.0,2.0,144.0,,8.0,50.0,493.0,8.0,10.0,17.0,1.0,16.0,185.0,25.0,9.0,16.0,,2.0,2.0,5.0,24.0,253.0,49.0,,94248,4.0,101.0,5.0,1.0,119.0,5.0,9.0,18.0,74.0,,,,3.0,15.0,6.0,7.0,,70.0,202.0,6.0,11.0,1.0,20.0,74.0,1.0,0.0,,2.0,1.0,0.0,3.0,2.0,29.8,15.0,1.0,3.0,3.0,1.0,35.0,2.0,286.0,16.0,13.0,9.0,5.0,19.0,,3.0,179.0,7.0,10.0,31.0,43.0,20.0,3.0,16.0,15.0,1.0,8.0,3.0,19.0,,3.0,5.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,2.0,,1.0,,,,,,1.0,,,,1.0,4.0,1.0,,6.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,2.0,,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
20,987785,2018-12-29 15:00:00,"Craven Cottage, London",24423,Home,Fulham,Huddersfield Town,1,0,W,0,0,0,0,60.0,2.0,34.0,26.0,2.0,5.0,12.0,5.0,1.0,156.0,6.0,5.0,5.0,12.0,5.0,94.0,151.0,60.0,,14.0,2.0,25.0,4.0,,,22.0,8.0,,26.0,4.0,3.0,36.0,187.0,0.0,134.0,12.0,,2.0,40.0,82.0,6.0,59.0,,2.0,18.0,15.0,2.0,,5.0,,151.0,,5.0,86.0,585.0,8.0,16.0,18.0,1.0,10.0,282.0,20.0,12.0,15.0,,3.0,3.0,6.0,23.0,377.0,75.0,,94248,9.0,114.0,10.0,1.0,135.0,8.0,15.0,7.0,51.0,,,3.0,7.0,15.0,4.0,5.0,1.0,70.0,295.0,9.0,5.0,3.0,29.0,78.0,1.0,0.0,3.0,3.0,,0.0,4.0,6.0,43.5,16.0,5.0,4.0,7.0,2.0,43.0,4.0,395.0,10.0,8.0,18.0,7.0,32.0,2.0,7.0,282.0,3.0,3.0,38.0,88.0,25.0,2.0,15.0,8.0,,10.0,3.0,6.0,,2.0,7.0,4.0,,2.0,,,1.0,1.0,,1.0,2.0,,,1.0,,,1.0,,2.0,,1.0,,1.0,1.0,1.0,,6.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,1.0,1.0,,,2.0,3.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,
21,987793,2019-01-01 15:00:00,"Emirates Stadium, London",59887,Away,Fulham,Arsenal,1,4,L,0,1,0,0,73.0,,18.0,33.0,4.0,2.0,5.0,4.0,,162.0,4.0,5.0,3.0,8.0,4.0,71.0,150.0,49.0,1.0,9.0,1.0,20.0,3.0,1.0,2.0,14.0,11.0,,33.0,2.0,9.0,31.0,124.0,0.0,93.0,12.0,2.0,,52.0,36.0,5.0,60.0,1.0,1.0,12.0,22.0,4.0,1.0,5.0,3.0,150.0,,16.0,72.0,568.0,5.0,9.0,14.0,3.0,12.0,255.0,25.0,4.0,14.0,1.0,1.0,4.0,2.0,11.0,341.0,49.0,1.0,94248,3.0,151.0,6.0,,172.0,4.0,22.0,8.0,60.0,,1.0,4.0,6.0,19.0,,4.0,2.0,54.0,271.0,7.0,13.0,1.0,21.0,80.0,1.0,0.0,9.0,5.0,4.0,0.0,2.0,3.0,40.4,8.0,,3.0,6.0,1.0,42.0,3.0,365.0,12.0,4.0,15.0,4.0,19.0,2.0,1.0,207.0,4.0,8.0,19.0,50.0,37.0,1.0,14.0,18.0,4.0,6.0,3.0,16.0,,1.0,12.0,3.0,,,1.0,,1.0,1.0,,1.0,1.0,,,4.0,,,1.0,1.0,3.0,,1.0,,1.0,5.0,1.0,,5.0,1.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
22,987803,2019-01-12 15:00:00,"Turf Moor, Burnley",19316,Away,Fulham,Burnley,1,2,L,1,2,0,0,76.0,,26.0,23.0,3.0,2.0,9.0,,2.0,194.0,7.0,7.0,1.0,11.0,4.0,136.0,185.0,52.0,,12.0,1.0,30.0,1.0,,,33.0,7.0,2.0,23.0,3.0,5.0,37.0,219.0,0.0,141.0,9.0,,1.0,70.0,97.0,7.0,92.0,,1.0,30.0,19.0,3.0,,12.0,,185.0,,6.0,142.0,785.0,10.0,13.0,17.0,,13.0,435.0,32.0,9.0,13.0,,2.0,5.0,4.0,23.0,539.0,74.0,,94248,6.0,242.0,17.0,2.0,271.0,3.0,19.0,11.0,66.0,,1.0,,4.0,17.0,6.0,8.0,1.0,69.0,454.0,5.0,5.0,,29.0,81.0,1.0,0.0,2.0,,2.0,0.0,6.0,4.0,58.2,14.0,3.0,4.0,4.0,4.0,38.0,6.0,564.0,13.0,13.0,15.0,4.0,32.0,1.0,3.0,326.0,6.0,4.0,31.0,96.0,31.0,2.0,13.0,10.0,2.0,9.0,3.0,16.0,,2.0,10.0,6.0,,1.0,,3.0,1.0,2.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,3.0,1.0,,2.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,3.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
23,987814,2019-01-20 16:00:00,"Craven Cottage, London",24807,Home,Fulham,Tottenham Hotspur,1,2,L,1,0,0,0,58.0,1.0,29.0,37.0,4.0,4.0,7.0,3.0,3.0,120.0,5.0,8.0,,9.0,4.0,50.0,141.0,48.0,,12.0,2.0,27.0,4.0,,1.0,17.0,7.0,,37.0,7.0,4.0,26.0,92.0,0.0,69.0,10.0,,1.0,45.0,19.0,7.0,33.0,,2.0,10.0,16.0,5.0,,2.0,3.0,141.0,,11.0,42.0,458.0,8.0,11.0,19.0,,15.0,152.0,24.0,5.0,18.0,,2.0,3.0,2.0,19.0,218.0,44.0,,94248,6.0,82.0,7.0,,105.0,6.0,16.0,11.0,55.0,1.0,,7.0,1.0,28.0,3.0,7.0,1.0,63.0,169.0,7.0,6.0,1.0,22.0,61.0,,0.0,10.0,2.0,2.0,0.0,3.0,1.0,26.8,14.0,1.0,,1.0,3.0,31.0,7.0,245.0,15.0,5.0,12.0,5.0,25.0,2.0,2.0,157.0,7.0,3.0,20.0,35.0,27.0,5.0,18.0,13.0,2.0,8.0,3.0,16.0,1.0,5.0,5.0,7.0,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,5.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,3.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,
24,987824,2019-01-29 19:45:00,"Craven Cottage, London",22008,Home,Fulham,Brighton and Hove Albion,4,2,W,0,2,0,0,69.0,1.0,33.0,27.0,8.0,6.0,16.0,4.0,3.0,184.0,8.0,11.0,,17.0,8.0,159.0,148.0,51.0,,24.0,3.0,35.0,2.0,,2.0,33.0,5.0,2.0,27.0,7.0,9.0,38.0,275.0,0.0,160.0,10.0,2.0,2.0,68.0,71.0,10.0,117.0,2.0,3.0,26.0,21.0,8.0,,11.0,1.0,148.0,1.0,11.0,163.0,848.0,14.0,5.0,34.0,,11.0,515.0,31.0,4.0,11.0,,2.0,5.0,7.0,21.0,604.0,64.0,,94248,8.0,262.0,15.0,,291.0,4.0,21.0,4.0,69.0,,1.0,1.0,3.0,12.0,4.0,1.0,1.0,71.0,529.0,5.0,10.0,1.0,23.0,64.0,,0.0,1.0,3.0,2.0,0.0,5.0,4.0,61.9,20.0,1.0,3.0,3.0,7.0,38.0,10.0,623.0,11.0,13.0,19.0,9.0,40.0,3.0,5.0,365.0,13.0,7.0,30.0,124.0,28.0,2.0,11.0,6.0,2.0,20.0,3.0,12.0,,2.0,7.0,10.0,,1.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,,,4.0,,3.0,2.0,,4.0,1.0,2.0,1.0,,1.0,3.0,1.0,2.0,1.0,,,2.0,3.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,1.0,1.0,2.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
25,987836,2019-02-02 15:00:00,"Selhurst Park, London",25355,Away,Fulham,Crystal Palace,0,2,L,0,1,0,0,56.0,1.0,38.0,27.0,4.0,1.0,4.0,4.0,,174.0,6.0,12.0,1.0,7.0,,182.0,151.0,55.0,,8.0,1.0,20.0,,,,21.0,11.0,,27.0,1.0,5.0,44.0,260.0,0.0,130.0,12.0,,,74.0,104.0,1.0,90.0,2.0,,20.0,18.0,4.0,,13.0,3.0,151.0,,13.0,162.0,806.0,6.0,4.0,11.0,,9.0,498.0,18.0,2.0,11.0,,3.0,5.0,6.0,16.0,581.0,66.0,,94248,3.0,267.0,7.0,,285.0,7.0,18.0,11.0,59.0,,,1.0,3.0,21.0,4.0,10.0,2.0,59.0,521.0,8.0,5.0,1.0,11.0,88.0,,0.0,11.0,3.0,2.0,0.0,5.0,3.0,62.7,13.0,3.0,2.0,3.0,1.0,64.0,1.0,608.0,9.0,20.0,23.0,7.0,26.0,1.0,4.0,344.0,4.0,5.0,20.0,92.0,30.0,4.0,11.0,15.0,2.0,7.0,3.0,16.0,,4.0,5.0,1.0,,,,,,1.0,,,3.0,,,1.0,,,,,1.0,,,,2.0,,,,2.0,,,,,,2.0,,,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
26,987844,2019-02-09 12:30:00,"Craven Cottage, London",25001,Home,Fulham,Manchester United,0,3,L,0,2,0,0,73.0,1.0,21.0,19.0,7.0,3.0,8.0,4.0,2.0,159.0,4.0,13.0,1.0,7.0,3.0,149.0,163.0,54.0,,15.0,2.0,22.0,1.0,,,22.0,10.0,2.0,19.0,3.0,6.0,57.0,212.0,0.0,144.0,14.0,1.0,1.0,48.0,79.0,4.0,67.0,4.0,1.0,19.0,28.0,7.0,,10.0,3.0,163.0,,11.0,128.0,712.0,6.0,1.0,21.0,1.0,17.0,371.0,33.0,2.0,8.0,,3.0,4.0,3.0,18.0,476.0,63.0,,94248,4.0,184.0,9.0,3.0,215.0,10.0,28.0,7.0,61.0,,1.0,2.0,5.0,17.0,4.0,6.0,1.0,69.0,392.0,9.0,14.0,1.0,20.0,68.0,2.0,0.0,4.0,3.0,3.0,0.0,3.0,2.0,51.2,16.0,1.0,5.0,5.0,5.0,33.0,5.0,503.0,17.0,6.0,21.0,7.0,36.0,1.0,3.0,310.0,10.0,4.0,13.0,94.0,28.0,1.0,8.0,19.0,3.0,10.0,3.0,18.0,,1.0,13.0,5.0,,,,3.0,,1.0,1.0,,3.0,,,2.0,1.0,1.0,,3.0,3.0,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
27,987861,2019-02-22 19:45:00,"London Stadium, London",59950,Away,Fulham,West Ham United,1,3,L,1,2,0,0,69.0,,27.0,32.0,4.0,4.0,4.0,4.0,2.0,170.0,2.0,12.0,1.0,5.0,5.0,112.0,139.0,60.0,,8.0,,21.0,2.0,,2.0,8.0,11.0,2.0,32.0,,4.0,34.0,193.0,0.0,88.0,11.0,1.0,,60.0,36.0,3.0,71.0,3.0,1.0,8.0,15.0,4.0,,4.0,2.0,139.0,1.0,20.0,120.0,673.0,5.0,7.0,12.0,1.0,13.0,369.0,31.0,7.0,12.0,,1.0,4.0,2.0,12.0,443.0,51.0,1.0,99323,3.0,199.0,4.0,,222.0,6.0,15.0,10.0,61.0,,1.0,3.0,,17.0,1.0,7.0,,59.0,390.0,11.0,7.0,,20.0,81.0,1.0,0.0,12.0,4.0,3.0,0.0,2.0,1.0,44.9,7.0,,1.0,,1.0,47.0,,473.0,13.0,18.0,11.0,2.0,16.0,,,259.0,3.0,3.0,19.0,55.0,34.0,4.0,12.0,18.0,3.0,8.0,2.0,17.0,,4.0,8.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,2.0,1.0,,2.0,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,2.0,,,,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
