gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowLeft,attObxCentre,goals,fouledFinalThird,attOboxBlocked,attBxRight,attMissLeft,attMissHighRight,penaltyWon,attSvLowLeft,attRfGoal,totalPullBack,attPenGoal,attSvLowRight,attIboxGoal,accurateCrossNocorner,attHdMiss,forwardGoals,ptsDroppedWinningPos,attCmissRight,goalAssistOpenplay,attOboxGoal,attOboxMiss,bigChanceCreated,goalAssist,bigChanceMissed,attSetpiece,ownGoals,goalsOpenplay,goalAssistIntentional,attIboxOwnGoal,errorLeadToGoal,attFreekickTotal,freekickTotal,sixYardBlock,attCmissLeft,attSvHighCentre,attLfGoal,attGoalLowCentre,shotFastbreak,goalFastbreak,attGoalHighRight,totalFastbreak,midfielderGoals,attMissHighLeft,errorLeadToShot,attFastbreak,attGoalHighLeft,cleanSheet,attCmissHigh,attGoalLowRight,attOneOnOne,freekickCross,attCorner,accuratePullBack,attFreekickMiss,attSvHighRight,goalsConcededObox,postScoringAtt,attIboxPost,attPostLeft,attHdPost,hitWoodwork,accurateFreekickCross,defenderGoals,accurateKeeperSweeper,totalKeeperSweeper,attPostRight,ptsGainedLosingPos,penaltySave,goalAssistSetplay,goalAssistDeadball,penaltyConceded,clearanceOffLine,penaltyFaced,attHdGoal,attFreekickTarget,attSvHighLeft,attPostHigh,penGoalsConceded,attGoalHighCentre,foulThrowIn,attObpGoal,attOboxPost,attObxRight,attCmissHighRight
11,987700,2018-11-03 15:00:00,"London Stadium, London",56862,Home,West Ham United,Burnley,4,2,W,1,1,0,0,,70.0,,3.0,18.0,25.0,7.0,13.0,1.0,4.0,207.0,2.0,13.0,17.0,10.0,114.0,157.0,50.0,22.0,29.0,2.0,2.0,15.0,7.0,4.0,25.0,8.0,9.0,33.0,241.0,0.0,200.0,7.0,1.0,,61.0,88.0,13.0,82.0,,2.0,7.0,17.0,9.0,1.0,157.0,,4.0,124.0,732.0,,13.0,12.0,34.0,,7.0,409.0,27.0,4.0,13.0,1.0,2.0,4.0,35.0,506.0,69.0,1.0,81012,8.0,187.0,6.0,208.0,4.0,17.0,2.0,60.0,1.0,2.0,2.0,17.0,2.0,1.0,1.0,49.0,426.0,9.0,5.0,2.0,20.0,78.0,,0.0,2.0,4.0,1.0,2.0,4.0,0.0,,2.0,62.8,32.0,6.0,4.0,2.0,6.0,42.0,10.0,,527.0,7.0,5.0,13.0,6.0,39.0,2.0,3.0,334.0,13.0,9.0,14.0,144.0,32.0,,13.0,14.0,2.0,18.0,3.0,27.0,,4.0,10.0,2.0,3.0,,9.0,4.0,3.0,3.0,1.0,1.0,1.0,,,2.0,,,,4.0,,2.0,1.0,,,2.0,,2.0,4.0,2.0,2.0,1.0,,4.0,2.0,,,,,,,2.0,2.0,,,,,,2.0,,,,1.0,,,3.0,4.0,,,,,2.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12,987706,2018-11-10 15:00:00,"Accu Stadium, Huddersfield",24069,Away,West Ham United,Huddersfield Town,1,1,D,0,1,0,0,,66.0,2.0,1.0,31.0,22.0,5.0,8.0,6.0,2.0,171.0,3.0,11.0,7.0,5.0,121.0,163.0,52.0,12.0,31.0,4.0,2.0,20.0,12.0,,22.0,6.0,11.0,36.0,165.0,0.0,109.0,8.0,6.0,,60.0,62.0,5.0,46.0,,,14.0,24.0,4.0,7.0,163.0,1.0,6.0,110.0,662.0,,6.0,9.0,22.0,1.0,10.0,328.0,34.0,7.0,13.0,1.0,1.0,2.0,26.0,422.0,43.0,,81012,4.0,183.0,7.0,205.0,5.0,24.0,8.0,62.0,1.0,3.0,7.0,22.0,9.0,3.0,4.0,70.0,345.0,9.0,5.0,1.0,29.0,84.0,,0.0,,5.0,4.0,1.0,4.0,0.0,,2.0,56.1,26.0,,1.0,7.0,3.0,45.0,6.0,,448.0,10.0,14.0,16.0,4.0,30.0,2.0,2.0,263.0,5.0,10.0,14.0,71.0,24.0,3.0,13.0,18.0,,10.0,3.0,15.0,3.0,8.0,6.0,1.0,,,4.0,1.0,1.0,2.0,1.0,,,,,,3.0,,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,,3.0,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
13,987720,2018-11-24 15:00:00,"London Stadium, London",56886,Home,West Ham United,Manchester City,0,4,L,0,3,0,0,,65.0,,1.0,28.0,11.0,2.0,6.0,2.0,1.0,146.0,2.0,7.0,8.0,1.0,78.0,135.0,42.0,9.0,10.0,1.0,1.0,13.0,9.0,,11.0,7.0,5.0,25.0,149.0,0.0,107.0,6.0,2.0,,47.0,61.0,3.0,48.0,2.0,1.0,6.0,20.0,3.0,3.0,135.0,,9.0,87.0,517.0,,7.0,8.0,16.0,,14.0,255.0,29.0,6.0,7.0,0.0,1.0,5.0,16.0,339.0,43.0,1.0,60706,5.0,122.0,3.0,149.0,3.0,20.0,6.0,39.0,2.0,2.0,3.0,14.0,,4.0,2.0,57.0,269.0,3.0,10.0,1.0,24.0,61.0,,0.0,1.0,1.0,2.0,4.0,1.0,0.0,,2.0,30.7,12.0,6.0,,3.0,3.0,37.0,8.0,,359.0,14.0,4.0,14.0,5.0,28.0,1.0,3.0,223.0,5.0,5.0,11.0,70.0,23.0,,7.0,21.0,4.0,5.0,3.0,16.0,,12.0,8.0,,,,3.0,,1.0,2.0,1.0,1.0,,,,,1.0,,,,1.0,2.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14,987730,2018-12-01 15:00:00,"St. James' Park, Newcastle",51853,Away,West Ham United,Newcastle United,3,0,W,1,0,0,0,,75.0,3.0,,29.0,39.0,3.0,7.0,4.0,1.0,163.0,3.0,9.0,8.0,4.0,76.0,143.0,67.0,7.0,15.0,1.0,,12.0,17.0,,39.0,3.0,7.0,31.0,139.0,0.0,88.0,10.0,1.0,1.0,53.0,58.0,4.0,41.0,1.0,1.0,9.0,18.0,,3.0,143.0,,7.0,78.0,550.0,,3.0,15.0,16.0,,9.0,235.0,28.0,5.0,22.0,3.0,5.0,3.0,13.0,327.0,52.0,5.0,60706,3.0,114.0,3.0,142.0,6.0,18.0,15.0,43.0,7.0,3.0,3.0,10.0,9.0,6.0,,63.0,250.0,10.0,8.0,1.0,20.0,72.0,3.0,0.0,,7.0,1.0,,5.0,0.0,1.0,1.0,41.3,11.0,,2.0,3.0,,37.0,3.0,1.0,358.0,9.0,6.0,19.0,3.0,19.0,1.0,3.0,228.0,3.0,7.0,22.0,50.0,36.0,7.0,22.0,26.0,,6.0,3.0,14.0,7.0,7.0,3.0,,3.0,,,3.0,4.0,,1.0,2.0,,,1.0,2.0,1.0,,,3.0,2.0,1.0,2.0,,,3.0,,,7.0,3.0,4.0,,,3.0,3.0,,,,,,2.0,,1.0,2.0,2.0,1.0,,3.0,1.0,,,2.0,,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,987738,2018-12-04 19:45:00,"London Stadium, London",56811,Home,West Ham United,Cardiff City,3,1,W,0,0,0,0,,55.0,2.0,3.0,24.0,11.0,7.0,16.0,3.0,2.0,190.0,6.0,9.0,14.0,11.0,97.0,162.0,55.0,17.0,25.0,8.0,1.0,19.0,9.0,,11.0,10.0,14.0,26.0,174.0,0.0,113.0,10.0,2.0,1.0,62.0,64.0,12.0,65.0,1.0,1.0,9.0,18.0,1.0,1.0,162.0,,5.0,109.0,654.0,,6.0,3.0,30.0,3.0,14.0,336.0,17.0,4.0,5.0,1.0,3.0,2.0,24.0,438.0,56.0,2.0,60706,9.0,186.0,6.0,214.0,6.0,18.0,7.0,61.0,7.0,2.0,3.0,20.0,4.0,3.0,1.0,48.0,354.0,10.0,12.0,5.0,19.0,73.0,1.0,0.0,,4.0,2.0,1.0,,0.0,1.0,5.0,61.0,19.0,2.0,1.0,4.0,3.0,43.0,10.0,1.0,461.0,14.0,11.0,15.0,3.0,34.0,4.0,2.0,266.0,4.0,13.0,24.0,68.0,31.0,1.0,5.0,12.0,1.0,9.0,3.0,12.0,1.0,9.0,10.0,3.0,1.0,1.0,1.0,3.0,3.0,,3.0,1.0,,,3.0,,1.0,,1.0,3.0,2.0,1.0,,,,2.0,,1.0,1.0,3.0,1.0,2.0,,2.0,3.0,,1.0,,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
16,987751,2018-12-08 15:00:00,"London Stadium, London",56995,Home,West Ham United,Crystal Palace,3,2,W,0,1,0,0,,74.0,1.0,2.0,49.0,20.0,6.0,9.0,2.0,1.0,146.0,6.0,10.0,7.0,6.0,122.0,147.0,61.0,13.0,10.0,2.0,2.0,24.0,10.0,1.0,20.0,5.0,4.0,42.0,214.0,0.0,140.0,10.0,1.0,,75.0,87.0,3.0,50.0,,2.0,19.0,26.0,4.0,3.0,147.0,,5.0,112.0,642.0,,5.0,5.0,27.0,,13.0,331.0,28.0,6.0,11.0,1.0,2.0,4.0,18.0,410.0,54.0,,60706,4.0,140.0,16.0,158.0,7.0,26.0,6.0,47.0,,2.0,4.0,19.0,3.0,5.0,2.0,68.0,348.0,7.0,8.0,2.0,14.0,70.0,,0.0,4.0,3.0,1.0,2.0,3.0,0.0,1.0,2.0,48.3,16.0,2.0,1.0,5.0,2.0,43.0,5.0,,430.0,13.0,14.0,26.0,5.0,25.0,4.0,4.0,296.0,5.0,4.0,25.0,105.0,36.0,3.0,11.0,19.0,2.0,7.0,3.0,15.0,3.0,13.0,5.0,2.0,1.0,,4.0,3.0,2.0,,2.0,1.0,,,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,1.0,,,2.0,,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,
17,987754,2018-12-15 17:30:00,"Craven Cottage, London",24081,Away,West Ham United,Fulham,2,0,W,2,0,0,0,1.0,67.0,2.0,,31.0,36.0,3.0,4.0,4.0,1.0,169.0,5.0,7.0,6.0,3.0,72.0,154.0,62.0,6.0,21.0,1.0,1.0,20.0,15.0,,36.0,3.0,7.0,25.0,163.0,0.0,120.0,10.0,5.0,,69.0,62.0,4.0,64.0,3.0,1.0,17.0,15.0,2.0,5.0,154.0,,7.0,86.0,603.0,,3.0,8.0,15.0,,18.0,271.0,29.0,9.0,13.0,1.0,3.0,2.0,22.0,351.0,58.0,,60706,3.0,135.0,11.0,157.0,4.0,15.0,14.0,62.0,1.0,2.0,2.0,15.0,9.0,5.0,,77.0,293.0,14.0,16.0,1.0,34.0,87.0,2.0,0.0,1.0,6.0,2.0,,3.0,0.0,3.0,2.0,44.0,15.0,4.0,1.0,2.0,1.0,41.0,4.0,,391.0,18.0,11.0,15.0,2.0,27.0,1.0,2.0,254.0,1.0,6.0,19.0,76.0,25.0,2.0,13.0,22.0,,5.0,3.0,12.0,2.0,9.0,4.0,,1.0,,2.0,2.0,3.0,1.0,,1.0,,,,,,,,1.0,4.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,,,,2.0,2.0,,,,,,,,2.0,1.0,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,987770,2018-12-22 15:00:00,"London Stadium, London",56833,Home,West Ham United,Watford,0,2,L,0,1,0,0,1.0,61.0,,1.0,25.0,26.0,8.0,11.0,3.0,1.0,136.0,8.0,11.0,12.0,7.0,100.0,171.0,65.0,18.0,23.0,5.0,1.0,32.0,5.0,2.0,26.0,10.0,4.0,28.0,174.0,0.0,115.0,9.0,2.0,,46.0,80.0,9.0,44.0,,,22.0,27.0,7.0,10.0,171.0,,7.0,101.0,648.0,,9.0,7.0,31.0,3.0,13.0,275.0,27.0,5.0,14.0,3.0,5.0,3.0,30.0,363.0,49.0,1.0,60706,8.0,125.0,11.0,150.0,4.0,27.0,2.0,69.0,2.0,4.0,4.0,18.0,4.0,2.0,1.0,54.0,291.0,11.0,13.0,3.0,21.0,60.0,,0.0,2.0,4.0,3.0,2.0,2.0,0.0,1.0,6.0,51.6,23.0,5.0,,5.0,6.0,30.0,10.0,,381.0,13.0,16.0,10.0,5.0,41.0,3.0,3.0,263.0,4.0,3.0,24.0,79.0,24.0,,14.0,19.0,2.0,11.0,3.0,20.0,,16.0,10.0,3.0,,,7.0,,4.0,5.0,,1.0,1.0,,1.0,,1.0,,1.0,,5.0,1.0,,,,,,,2.0,,3.0,1.0,,,,,,2.0,2.0,,,3.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,
19,987779,2018-12-27 19:45:00,"St. Mary's Stadium, Southampton",31654,Away,West Ham United,Southampton,2,1,W,0,0,0,0,,78.0,2.0,3.0,42.0,20.0,7.0,9.0,4.0,2.0,158.0,2.0,22.0,11.0,5.0,122.0,182.0,70.0,16.0,16.0,2.0,1.0,16.0,17.0,1.0,20.0,5.0,17.0,42.0,215.0,0.0,130.0,3.0,3.0,1.0,85.0,88.0,6.0,79.0,1.0,2.0,11.0,29.0,7.0,6.0,182.0,1.0,7.0,128.0,744.0,,10.0,8.0,23.0,,13.0,357.0,32.0,11.0,7.0,0.0,2.0,5.0,33.0,462.0,61.0,1.0,60706,7.0,163.0,5.0,190.0,2.0,29.0,5.0,61.0,1.0,2.0,3.0,20.0,4.0,4.0,,81.0,376.0,10.0,17.0,,32.0,82.0,,0.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,54.2,27.0,4.0,,3.0,5.0,49.0,6.0,1.0,487.0,13.0,14.0,16.0,6.0,26.0,1.0,3.0,313.0,7.0,16.0,18.0,85.0,32.0,1.0,7.0,20.0,1.0,14.0,3.0,33.0,1.0,13.0,6.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,,4.0,,,1.0,2.0,,,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,2.0,,,,1.0,1.0,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,
20,987783,2018-12-30 14:15:00,"Turf Moor, Burnley",20933,Away,West Ham United,Burnley,0,2,L,0,2,0,0,,54.0,,4.0,30.0,18.0,2.0,8.0,3.0,,167.0,3.0,9.0,7.0,4.0,115.0,171.0,66.0,11.0,26.0,3.0,1.0,17.0,8.0,1.0,18.0,5.0,6.0,37.0,174.0,0.0,115.0,11.0,3.0,1.0,86.0,78.0,5.0,67.0,,,13.0,24.0,3.0,7.0,171.0,,14.0,104.0,650.0,,4.0,8.0,14.0,3.0,2.0,320.0,24.0,8.0,7.0,4.0,3.0,2.0,34.0,417.0,55.0,,60706,5.0,169.0,6.0,197.0,4.0,24.0,10.0,61.0,2.0,1.0,4.0,13.0,3.0,3.0,1.0,72.0,340.0,15.0,5.0,3.0,25.0,82.0,1.0,0.0,2.0,5.0,3.0,2.0,3.0,0.0,,4.0,57.0,27.0,3.0,3.0,4.0,5.0,43.0,5.0,1.0,453.0,2.0,14.0,14.0,2.0,30.0,3.0,1.0,273.0,4.0,6.0,27.0,68.0,15.0,2.0,7.0,16.0,2.0,6.0,3.0,16.0,2.0,8.0,5.0,1.0,,,3.0,,,1.0,,,1.0,,2.0,,2.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
21,987800,2019-01-02 19:45:00,"London Stadium, London",59870,Home,West Ham United,Brighton and Hove Albion,2,2,D,0,0,0,0,,58.0,2.0,,33.0,10.0,3.0,6.0,4.0,4.0,159.0,2.0,11.0,11.0,6.0,141.0,156.0,52.0,13.0,19.0,1.0,1.0,14.0,6.0,3.0,10.0,1.0,9.0,43.0,208.0,0.0,107.0,9.0,1.0,2.0,88.0,61.0,5.0,66.0,2.0,2.0,13.0,15.0,7.0,4.0,156.0,1.0,8.0,128.0,684.0,,8.0,8.0,14.0,,12.0,371.0,24.0,8.0,5.0,0.0,5.0,6.0,29.0,470.0,50.0,1.0,60706,2.0,182.0,8.0,211.0,4.0,15.0,5.0,52.0,1.0,,3.0,17.0,5.0,3.0,2.0,70.0,388.0,11.0,7.0,1.0,27.0,73.0,1.0,0.0,,5.0,2.0,2.0,1.0,0.0,,1.0,54.3,25.0,2.0,1.0,3.0,1.0,42.0,1.0,2.0,494.0,12.0,10.0,22.0,6.0,21.0,1.0,3.0,297.0,9.0,8.0,20.0,70.0,23.0,1.0,5.0,10.0,2.0,12.0,3.0,18.0,1.0,5.0,1.0,,,,7.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,,3.0,,2.0,,,,2.0,2.0,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
22,987811,2019-01-12 12:30:00,"London Stadium, London",59946,Home,West Ham United,Arsenal,1,0,W,0,0,0,0,,55.0,1.0,1.0,26.0,11.0,3.0,7.0,3.0,1.0,151.0,4.0,12.0,10.0,3.0,85.0,119.0,45.0,11.0,7.0,1.0,1.0,20.0,6.0,1.0,11.0,5.0,4.0,23.0,176.0,0.0,123.0,7.0,2.0,1.0,50.0,78.0,4.0,59.0,2.0,1.0,15.0,21.0,4.0,1.0,119.0,,6.0,85.0,549.0,,5.0,9.0,25.0,,17.0,288.0,14.0,9.0,3.0,0.0,1.0,6.0,15.0,349.0,33.0,1.0,60706,4.0,135.0,12.0,143.0,4.0,21.0,13.0,44.0,1.0,5.0,4.0,6.0,5.0,6.0,,49.0,307.0,10.0,14.0,4.0,18.0,65.0,,0.0,2.0,3.0,1.0,,3.0,0.0,1.0,3.0,41.4,14.0,2.0,1.0,4.0,1.0,37.0,7.0,1.0,380.0,17.0,8.0,11.0,7.0,25.0,3.0,4.0,257.0,5.0,4.0,12.0,88.0,30.0,2.0,3.0,11.0,,6.0,3.0,20.0,2.0,11.0,7.0,1.0,,,4.0,1.0,2.0,,1.0,4.0,,,,1.0,1.0,,,1.0,1.0,3.0,,,,,,3.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,2.0,1.0,,,,,1.0,,1.0,2.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
23,987812,2019-01-19 15:00:00,"Vitality Stadium, Bournemouth",10495,Away,West Ham United,Bournemouth,0,2,L,0,0,0,0,,72.0,1.0,,35.0,16.0,3.0,4.0,3.0,1.0,193.0,4.0,9.0,6.0,1.0,150.0,159.0,46.0,9.0,17.0,,,22.0,9.0,1.0,16.0,3.0,14.0,32.0,278.0,0.0,178.0,10.0,3.0,,82.0,94.0,2.0,88.0,,,19.0,21.0,5.0,8.0,159.0,,5.0,151.0,777.0,,6.0,10.0,23.0,,11.0,469.0,28.0,10.0,7.0,1.0,1.0,4.0,30.0,562.0,58.0,,60706,1.0,211.0,10.0,238.0,5.0,21.0,8.0,58.0,1.0,3.0,8.0,13.0,5.0,5.0,3.0,61.0,485.0,6.0,8.0,,23.0,70.0,,0.0,,2.0,1.0,2.0,3.0,0.0,,1.0,61.5,26.0,3.0,,8.0,2.0,50.0,3.0,,582.0,11.0,17.0,15.0,6.0,36.0,,4.0,366.0,5.0,13.0,19.0,135.0,32.0,3.0,7.0,13.0,1.0,9.0,3.0,16.0,3.0,7.0,3.0,,,,5.0,,1.0,2.0,,2.0,,,,,,,1.0,,4.0,1.0,,,,,,2.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
24,987827,2019-01-29 19:45:00,"Molineux Stadium, Wolverhampton",31122,Away,West Ham United,Wolverhampton Wanderers,0,3,L,0,0,0,0,,67.0,1.0,,34.0,23.0,1.0,,6.0,,146.0,1.0,9.0,1.0,,107.0,157.0,48.0,4.0,24.0,,,6.0,5.0,,23.0,1.0,10.0,40.0,166.0,0.0,88.0,10.0,3.0,1.0,53.0,77.0,1.0,54.0,1.0,,5.0,20.0,4.0,2.0,157.0,,13.0,93.0,591.0,,1.0,5.0,8.0,,9.0,281.0,19.0,6.0,7.0,1.0,7.0,,25.0,373.0,39.0,,81012,,133.0,3.0,150.0,5.0,20.0,8.0,68.0,2.0,,2.0,16.0,7.0,4.0,,75.0,298.0,8.0,10.0,,28.0,85.0,,0.0,5.0,5.0,5.0,3.0,2.0,0.0,,,45.3,21.0,3.0,,2.0,1.0,44.0,1.0,2.0,400.0,9.0,12.0,22.0,3.0,21.0,,,256.0,3.0,7.0,16.0,50.0,34.0,,7.0,15.0,3.0,4.0,3.0,21.0,,9.0,1.0,,,,4.0,,2.0,1.0,,3.0,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
25,987841,2019-02-04 20:00:00,"London Stadium, London",59903,Home,West Ham United,Liverpool,1,1,D,1,1,0,0,1.0,75.0,1.0,1.0,22.0,27.0,2.0,7.0,5.0,1.0,142.0,2.0,9.0,9.0,2.0,34.0,140.0,56.0,13.0,17.0,,,11.0,8.0,1.0,27.0,2.0,5.0,22.0,95.0,0.0,64.0,9.0,3.0,3.0,41.0,49.0,4.0,33.0,,3.0,9.0,20.0,6.0,2.0,140.0,1.0,7.0,36.0,455.0,,6.0,7.0,17.0,,13.0,145.0,30.0,9.0,8.0,1.0,1.0,5.0,14.0,214.0,34.0,,81012,5.0,66.0,6.0,83.0,4.0,20.0,10.0,55.0,,1.0,3.0,21.0,4.0,3.0,3.0,66.0,159.0,10.0,14.0,2.0,38.0,68.0,,0.0,1.0,5.0,4.0,1.0,3.0,0.0,,2.0,26.7,10.0,2.0,1.0,4.0,4.0,23.0,2.0,3.0,245.0,13.0,6.0,13.0,7.0,17.0,1.0,5.0,173.0,9.0,5.0,19.0,40.0,28.0,3.0,8.0,18.0,1.0,5.0,3.0,19.0,3.0,12.0,2.0,,,1.0,6.0,1.0,4.0,3.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,2.0,,,2.0,,,2.0,1.0,1.0,1.0,6.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,
26,987843,2019-02-09 15:00:00,"Selhurst Park, London",25552,Away,West Ham United,Crystal Palace,1,1,D,1,0,0,0,,60.0,,1.0,33.0,34.0,4.0,4.0,4.0,,147.0,5.0,4.0,5.0,4.0,94.0,144.0,52.0,6.0,11.0,2.0,2.0,18.0,10.0,1.0,34.0,4.0,3.0,41.0,190.0,0.0,124.0,9.0,3.0,,84.0,54.0,5.0,31.0,1.0,,14.0,19.0,2.0,3.0,144.0,1.0,17.0,99.0,575.0,,5.0,3.0,21.0,,12.0,262.0,31.0,7.0,12.0,0.0,10.0,,12.0,345.0,50.0,2.0,81012,1.0,91.0,9.0,113.0,5.0,19.0,9.0,48.0,3.0,1.0,,14.0,8.0,4.0,,69.0,276.0,12.0,12.0,,27.0,72.0,,0.0,2.0,10.0,4.0,1.0,1.0,0.0,,,42.8,10.0,1.0,1.0,,2.0,40.0,4.0,,371.0,12.0,5.0,22.0,,28.0,3.0,,276.0,2.0,2.0,14.0,83.0,25.0,3.0,12.0,22.0,1.0,4.0,3.0,16.0,3.0,9.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,,1.0,2.0,,,2.0,,,,,2.0,,2.0,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
