gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,shotFastbreak,attBxRight,goalFastbreak,attOneOnOne,attMissHighRight,penaltyWon,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,goodHighClaim,totalFlickOn,attPenGoal,attFastbreak,accurateFlickOn,shieldBallOop,attSvHighCentre,totalHighClaim,handBall,attCmissRight,postScoringAtt,accurateKeeperSweeper,attFreekickPost,hitWoodwork,totalKeeperSweeper,attCmissHigh,attOboxPost,attPostHigh,goalAssistSetplay,goalAssistDeadball,goalsConceded,attHdGoal,goalsConcededIbox,errorLeadToGoal,interceptionsInBox,attCmissHighLeft,sixYardBlock,defenderGoals,attGoalHighLeft,attOboxGoal,ptsGainedLosingPos,accuratePullBack,errorLeadToShot,penaltyConceded,penaltyFaced,attIboxPost,attHdPost,attLgCentre,attObxRight,attPostRight,contentiousDecision,attPostLeft,ptsDroppedWinningPos,attSvHighRight,secondYellow,attFreekickGoal,foulThrowIn,attGoalHighCentre,attCmissHighRight,attCorner,attFreekickMiss,attObxdLeft,goalsConcededObox,clearanceOffLine
11,987693,2018-11-03 17:30:00,"Emirates Stadium, London",59993,Away,Liverpool,Arsenal,1,1,D,0,0,0,0,1.0,,53.0,1.0,1.0,2.0,27.0,29.0,3.0,5.0,10.0,3.0,,1.0,118.0,,3.0,13.0,1.0,,11.0,4.0,99.0,142.0,44.0,,13.0,2.0,15.0,3.0,,2.0,,16.0,10.0,,,29.0,8.0,3.0,42.0,127.0,,0.0,93.0,7.0,,,48.0,57.0,6.0,48.0,1.0,9.0,18.0,3.0,,2.0,1.0,142.0,2.0,9.0,91.0,562.0,7.0,28.0,1.0,8.0,257.0,28.0,1.0,3.0,13.0,,1.0,3.0,5.0,28.0,329.0,36.0,2.0,,97032,8.0,152.0,2.0,7.0,1.0,175.0,4.0,1.0,1.0,18.0,8.0,47.0,3.0,1.0,4.0,1.0,19.0,3.0,7.0,,61.0,276.0,6.0,5.0,4.0,19.0,64.0,,,1.0,0.0,,1.0,5.0,2.0,1.0,0.0,1.0,,3.0,38.2,20.0,1.0,4.0,1.0,4.0,4.0,36.0,8.0,356.0,8.0,13.0,20.0,5.0,33.0,3.0,2.0,197.0,5.0,3.0,12.0,64.0,15.0,,1.0,13.0,13.0,9.0,2.0,20.0,1.0,11.0,8.0,,,1.0,,,1.0,,2.0,,1.0,,,5.0,,,,1.0,1.0,,,,2.0,1.0,,2.0,1.0,,,1.0,,,1.0,,1.0,,2.0,,,,,,,,1.0,,,2.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,
12,987708,2018-11-11 12:00:00,"Anfield, Liverpool",53128,Home,Liverpool,Fulham,2,0,W,1,0,0,0,1.0,2.0,61.0,2.0,2.0,1.0,37.0,13.0,10.0,8.0,10.0,3.0,2.0,4.0,202.0,,4.0,9.0,2.0,5.0,15.0,7.0,238.0,149.0,44.0,3.0,21.0,6.0,10.0,4.0,1.0,3.0,1.0,20.0,11.0,,1.0,13.0,5.0,12.0,50.0,330.0,1.0,0.0,177.0,11.0,,1.0,106.0,104.0,9.0,89.0,3.0,15.0,17.0,11.0,3.0,9.0,4.0,149.0,4.0,3.0,196.0,914.0,12.0,33.0,,8.0,613.0,19.0,,5.0,7.0,2.0,1.0,1.0,6.0,26.0,705.0,74.0,,,97032,5.0,305.0,2.0,5.0,1.0,332.0,5.0,,2.0,17.0,8.0,42.0,3.0,2.0,7.0,1.0,20.0,5.0,7.0,3.0,65.0,631.0,7.0,7.0,1.0,16.0,97.0,,,,0.0,,,3.0,1.0,2.0,0.0,3.0,2.0,2.0,73.0,24.0,2.0,3.0,3.0,7.0,7.0,74.0,6.0,725.0,8.0,10.0,26.0,7.0,44.0,1.0,3.0,413.0,11.0,11.0,11.0,128.0,32.0,1.0,2.0,7.0,18.0,14.0,3.0,14.0,2.0,6.0,6.0,,,2.0,,,,,2.0,,1.0,,,4.0,,,2.0,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
13,987719,2018-11-24 15:00:00,"Vicarage Road, Watford",20540,Away,Liverpool,Watford,3,0,W,0,0,1,0,,1.0,63.0,,,,25.0,22.0,3.0,2.0,7.0,1.0,1.0,3.0,194.0,1.0,6.0,9.0,3.0,3.0,6.0,7.0,177.0,164.0,56.0,1.0,10.0,,15.0,4.0,1.0,1.0,1.0,18.0,9.0,1.0,,22.0,4.0,10.0,50.0,299.0,1.0,0.0,150.0,13.0,,2.0,93.0,101.0,4.0,90.0,1.0,14.0,12.0,3.0,1.0,6.0,2.0,164.0,2.0,3.0,176.0,821.0,4.0,23.0,1.0,13.0,509.0,24.0,,3.0,10.0,1.0,0.0,,2.0,22.0,614.0,74.0,,,97032,5.0,233.0,2.0,6.0,,265.0,7.0,1.0,1.0,12.0,7.0,48.0,3.0,4.0,4.0,2.0,20.0,2.0,2.0,,62.0,526.0,11.0,7.0,1.0,15.0,101.0,,,1.0,0.0,,1.0,5.0,1.0,2.0,1.0,4.0,1.0,2.0,63.7,20.0,,5.0,,4.0,,67.0,5.0,637.0,13.0,10.0,22.0,3.0,31.0,2.0,1.0,390.0,6.0,7.0,23.0,103.0,29.0,1.0,2.0,10.0,13.0,7.0,3.0,13.0,2.0,4.0,5.0,1.0,2.0,1.0,1.0,,1.0,,1.0,2.0,1.0,2.0,,6.0,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,
14,987728,2018-12-02 16:15:00,"Anfield, Liverpool",51756,Home,Liverpool,Everton,1,0,W,0,0,0,0,,1.0,63.0,,2.0,1.0,29.0,17.0,7.0,7.0,9.0,3.0,,2.0,155.0,,5.0,9.0,1.0,2.0,11.0,3.0,160.0,163.0,47.0,,16.0,2.0,16.0,1.0,,,3.0,21.0,8.0,,1.0,17.0,7.0,4.0,65.0,212.0,1.0,0.0,160.0,12.0,,2.0,65.0,66.0,3.0,71.0,4.0,14.0,12.0,7.0,,7.0,4.0,163.0,3.0,5.0,135.0,716.0,10.0,26.0,,7.0,404.0,26.0,,1.0,7.0,,3.0,2.0,8.0,27.0,504.0,66.0,2.0,,97032,5.0,208.0,4.0,5.0,2.0,223.0,5.0,,1.0,12.0,5.0,49.0,2.0,1.0,6.0,,17.0,4.0,3.0,2.0,72.0,415.0,7.0,6.0,1.0,14.0,90.0,1.0,2.0,,0.0,,2.0,1.0,1.0,1.0,0.0,4.0,,2.0,57.6,22.0,1.0,4.0,2.0,6.0,3.0,52.0,8.0,521.0,7.0,9.0,27.0,10.0,46.0,1.0,5.0,319.0,7.0,4.0,10.0,99.0,25.0,,2.0,7.0,21.0,11.0,3.0,16.0,2.0,5.0,8.0,,1.0,,,1.0,,,1.0,1.0,,,,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
15,987734,2018-12-05 19:45:00,"Turf Moor, Burnley",21741,Away,Liverpool,Burnley,3,1,W,0,0,0,0,3.0,2.0,58.0,,2.0,4.0,31.0,15.0,5.0,4.0,13.0,5.0,1.0,5.0,193.0,1.0,5.0,6.0,3.0,2.0,14.0,12.0,206.0,151.0,49.0,,18.0,,13.0,6.0,2.0,2.0,1.0,20.0,3.0,,3.0,15.0,7.0,7.0,63.0,241.0,,0.0,159.0,3.0,2.0,1.0,68.0,87.0,13.0,92.0,1.0,13.0,13.0,5.0,,4.0,1.0,151.0,3.0,5.0,190.0,857.0,8.0,34.0,1.0,6.0,560.0,24.0,,3.0,8.0,3.0,0.0,1.0,1.0,31.0,656.0,58.0,1.0,,97032,8.0,346.0,1.0,8.0,1.0,372.0,2.0,2.0,,13.0,5.0,38.0,2.0,3.0,8.0,2.0,14.0,5.0,4.0,,67.0,582.0,10.0,9.0,3.0,17.0,80.0,3.0,,1.0,0.0,,1.0,5.0,3.0,2.0,0.0,1.0,3.0,2.0,74.2,26.0,1.0,1.0,,8.0,4.0,45.0,9.0,681.0,6.0,10.0,33.0,2.0,37.0,4.0,1.0,329.0,11.0,7.0,29.0,114.0,25.0,,2.0,8.0,5.0,13.0,3.0,9.0,2.0,3.0,9.0,2.0,2.0,2.0,1.0,,,,2.0,3.0,2.0,2.0,,6.0,,2.0,3.0,2.0,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,2.0,,,1.0,3.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
16,987742,2018-12-08 12:30:00,"Vitality Stadium, Bournemouth",10752,Away,Liverpool,Bournemouth,4,0,W,1,0,0,0,1.0,2.0,54.0,1.0,1.0,1.0,34.0,18.0,4.0,6.0,6.0,2.0,3.0,,181.0,,2.0,13.0,4.0,1.0,6.0,4.0,192.0,151.0,49.0,1.0,10.0,1.0,14.0,,1.0,1.0,2.0,13.0,6.0,,1.0,18.0,5.0,7.0,56.0,287.0,1.0,0.0,199.0,11.0,,,85.0,89.0,2.0,99.0,1.0,8.0,22.0,4.0,1.0,2.0,2.0,151.0,,2.0,162.0,816.0,5.0,24.0,,7.0,515.0,21.0,,4.0,12.0,1.0,1.0,3.0,4.0,22.0,613.0,64.0,1.0,,97032,4.0,246.0,,6.0,,273.0,7.0,,1.0,22.0,7.0,45.0,4.0,2.0,3.0,3.0,20.0,6.0,5.0,,64.0,531.0,8.0,6.0,,19.0,75.0,,,1.0,0.0,,,6.0,1.0,4.0,0.0,1.0,,1.0,59.5,21.0,1.0,5.0,,3.0,2.0,44.0,6.0,634.0,7.0,9.0,33.0,4.0,30.0,1.0,2.0,374.0,3.0,7.0,17.0,154.0,24.0,3.0,4.0,12.0,13.0,8.0,3.0,18.0,4.0,13.0,6.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,,,1.0,9.0,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
17,987756,2018-12-16 16:00:00,"Anfield, Liverpool",52908,Home,Liverpool,Manchester United,3,1,W,1,1,0,0,3.0,1.0,66.0,2.0,1.0,8.0,20.0,9.0,19.0,15.0,17.0,2.0,2.0,5.0,200.0,,6.0,13.0,3.0,3.0,21.0,11.0,160.0,187.0,54.0,,36.0,6.0,12.0,2.0,1.0,2.0,3.0,29.0,8.0,1.0,6.0,9.0,11.0,8.0,28.0,307.0,,0.0,222.0,6.0,,4.0,104.0,76.0,16.0,74.0,2.0,18.0,28.0,19.0,,5.0,6.0,187.0,1.0,2.0,128.0,794.0,17.0,42.0,,4.0,437.0,15.0,1.0,5.0,5.0,1.0,0.0,,5.0,29.0,539.0,67.0,1.0,1.0,97032,10.0,157.0,1.0,9.0,3.0,176.0,4.0,1.0,,28.0,6.0,53.0,1.0,2.0,8.0,3.0,22.0,4.0,5.0,3.0,45.0,458.0,14.0,8.0,3.0,23.0,72.0,4.0,1.0,1.0,0.0,,1.0,2.0,,2.0,0.0,3.0,1.0,1.0,64.5,21.0,1.0,9.0,2.0,8.0,14.0,39.0,13.0,562.0,4.0,20.0,16.0,11.0,48.0,3.0,5.0,415.0,18.0,8.0,15.0,166.0,34.0,,,5.0,12.0,27.0,2.0,20.0,,9.0,13.0,,,3.0,,,2.0,,1.0,,1.0,1.0,,4.0,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
18,987771,2018-12-21 20:00:00,"Molineux Stadium, Wolverhampton",31358,Away,Liverpool,Wolverhampton Wanderers,2,0,W,1,0,0,0,4.0,1.0,56.0,,,1.0,35.0,18.0,6.0,9.0,9.0,5.0,2.0,,176.0,1.0,2.0,16.0,2.0,2.0,12.0,6.0,189.0,159.0,50.0,,15.0,4.0,7.0,3.0,,1.0,1.0,15.0,11.0,,1.0,18.0,6.0,10.0,36.0,306.0,1.0,0.0,202.0,3.0,,,88.0,113.0,9.0,118.0,,10.0,36.0,6.0,,6.0,1.0,159.0,3.0,9.0,192.0,888.0,8.0,28.0,,5.0,555.0,19.0,2.0,1.0,9.0,2.0,0.0,2.0,3.0,33.0,650.0,55.0,3.0,,97032,7.0,270.0,3.0,4.0,1.0,299.0,,,1.0,36.0,8.0,45.0,4.0,2.0,4.0,,13.0,2.0,4.0,1.0,61.0,574.0,7.0,11.0,2.0,10.0,71.0,2.0,1.0,,0.0,,2.0,1.0,5.0,2.0,0.0,,2.0,1.0,61.7,31.0,1.0,4.0,,4.0,5.0,53.0,10.0,675.0,5.0,18.0,18.0,4.0,24.0,3.0,3.0,391.0,5.0,6.0,11.0,155.0,27.0,1.0,1.0,9.0,16.0,10.0,3.0,24.0,1.0,17.0,10.0,1.0,,,,,,,3.0,,,1.0,,4.0,,,2.0,1.0,,,1.0,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
19,987777,2018-12-26 15:00:00,"Anfield, Liverpool",53318,Home,Liverpool,Newcastle United,4,0,W,1,0,0,0,1.0,3.0,59.0,1.0,1.0,4.0,53.0,13.0,3.0,6.0,13.0,2.0,2.0,2.0,182.0,,5.0,4.0,4.0,5.0,11.0,8.0,249.0,150.0,38.0,1.0,16.0,,16.0,3.0,1.0,2.0,,26.0,4.0,,1.0,13.0,9.0,10.0,49.0,349.0,1.0,0.0,201.0,7.0,,2.0,99.0,91.0,7.0,88.0,1.0,17.0,16.0,3.0,1.0,8.0,2.0,150.0,3.0,4.0,204.0,904.0,8.0,42.0,1.0,9.0,613.0,16.0,,1.0,3.0,2.0,0.0,,4.0,26.0,706.0,72.0,3.0,,97032,6.0,285.0,1.0,7.0,,302.0,4.0,1.0,,16.0,7.0,46.0,7.0,1.0,5.0,1.0,17.0,2.0,6.0,2.0,83.0,629.0,10.0,8.0,1.0,11.0,93.0,,,,0.0,1.0,2.0,2.0,1.0,4.0,0.0,3.0,2.0,3.0,75.0,26.0,,7.0,2.0,5.0,4.0,77.0,10.0,723.0,9.0,11.0,25.0,4.0,60.0,2.0,2.0,447.0,7.0,10.0,16.0,140.0,30.0,1.0,1.0,3.0,8.0,10.0,3.0,8.0,1.0,7.0,10.0,1.0,,,,,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,,4.0,,,,
20,987787,2018-12-29 17:30:00,"Anfield, Liverpool",53326,Home,Liverpool,Arsenal,5,1,W,4,1,0,0,2.0,5.0,65.0,,,1.0,28.0,15.0,5.0,6.0,10.0,1.0,2.0,3.0,175.0,2.0,2.0,13.0,5.0,3.0,9.0,10.0,137.0,133.0,49.0,,15.0,1.0,8.0,3.0,1.0,2.0,1.0,8.0,13.0,,2.0,15.0,2.0,3.0,58.0,196.0,,0.0,138.0,8.0,,1.0,71.0,52.0,6.0,77.0,1.0,6.0,11.0,5.0,,2.0,2.0,133.0,2.0,5.0,122.0,683.0,7.0,32.0,,8.0,402.0,30.0,,6.0,10.0,1.0,1.0,3.0,2.0,11.0,484.0,47.0,2.0,,97032,4.0,230.0,1.0,3.0,,252.0,4.0,3.0,,11.0,6.0,38.0,4.0,2.0,7.0,3.0,19.0,3.0,5.0,1.0,55.0,424.0,12.0,7.0,,17.0,68.0,2.0,1.0,1.0,0.0,,1.0,3.0,1.0,5.0,0.0,2.0,1.0,,47.9,10.0,,9.0,2.0,7.0,2.0,40.0,5.0,511.0,8.0,10.0,30.0,3.0,31.0,,1.0,267.0,9.0,3.0,7.0,97.0,18.0,1.0,1.0,10.0,17.0,13.0,3.0,20.0,1.0,6.0,5.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,4.0,,,6.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,3.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,
21,987798,2019-01-03 20:00:00,"Etihad Stadium, Manchester",54511,Away,Liverpool,Manchester City,1,2,L,0,1,0,0,1.0,1.0,62.0,,,,33.0,21.0,,1.0,7.0,2.0,,3.0,179.0,,4.0,11.0,1.0,,4.0,5.0,163.0,162.0,50.0,,7.0,,19.0,4.0,1.0,1.0,,13.0,9.0,,,21.0,1.0,8.0,79.0,171.0,,0.0,119.0,7.0,,,42.0,64.0,3.0,85.0,1.0,12.0,18.0,,,8.0,,162.0,2.0,6.0,156.0,766.0,3.0,20.0,,10.0,439.0,31.0,,3.0,6.0,1.0,2.0,1.0,1.0,29.0,557.0,53.0,2.0,,97032,2.0,294.0,1.0,4.0,1.0,338.0,2.0,,,18.0,8.0,47.0,3.0,1.0,5.0,1.0,12.0,3.0,6.0,,70.0,461.0,12.0,8.0,,18.0,71.0,,,,0.0,,1.0,2.0,2.0,1.0,0.0,4.0,1.0,1.0,50.4,26.0,,2.0,1.0,5.0,,34.0,1.0,583.0,10.0,10.0,43.0,2.0,25.0,,1.0,258.0,5.0,8.0,9.0,76.0,23.0,1.0,,6.0,18.0,5.0,3.0,15.0,,11.0,1.0,1.0,,2.0,,,,,2.0,,,3.0,,4.0,,,2.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,2.0,1.0,2.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
22,987802,2019-01-12 15:00:00,"American Express Stadium, Falmer",30682,Away,Liverpool,Brighton and Hove Albion,1,0,W,0,0,0,0,1.0,1.0,61.0,,,2.0,26.0,14.0,2.0,5.0,8.0,,1.0,1.0,192.0,,6.0,9.0,1.0,3.0,9.0,3.0,214.0,149.0,50.0,,10.0,,15.0,1.0,,2.0,3.0,16.0,7.0,,1.0,14.0,6.0,5.0,59.0,314.0,1.0,0.0,186.0,5.0,,2.0,107.0,49.0,4.0,105.0,2.0,10.0,17.0,2.0,,3.0,1.0,149.0,2.0,5.0,244.0,904.0,8.0,35.0,,6.0,623.0,21.0,,2.0,5.0,,0.0,2.0,5.0,17.0,728.0,80.0,,,97032,7.0,334.0,2.0,5.0,,356.0,3.0,,,17.0,4.0,34.0,,,2.0,,11.0,2.0,3.0,,63.0,642.0,12.0,3.0,1.0,12.0,99.0,,2.0,,0.0,,3.0,2.0,,1.0,0.0,3.0,,2.0,70.9,17.0,2.0,6.0,1.0,2.0,2.0,60.0,7.0,755.0,6.0,7.0,25.0,5.0,39.0,3.0,4.0,415.0,2.0,5.0,20.0,123.0,28.0,1.0,1.0,5.0,10.0,7.0,3.0,14.0,1.0,7.0,7.0,1.0,,,,,,1.0,1.0,,,,,5.0,1.0,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,987816,2019-01-19 15:00:00,"Anfield, Liverpool",53171,Home,Liverpool,Crystal Palace,4,3,W,0,1,1,0,1.0,2.0,63.0,,,2.0,27.0,16.0,6.0,6.0,13.0,,2.0,3.0,188.0,1.0,8.0,8.0,4.0,2.0,16.0,9.0,215.0,163.0,52.0,,19.0,1.0,15.0,4.0,1.0,3.0,3.0,22.0,12.0,,1.0,16.0,6.0,5.0,47.0,435.0,,0.0,261.0,6.0,,2.0,97.0,104.0,9.0,101.0,3.0,16.0,18.0,6.0,,3.0,4.0,163.0,1.0,8.0,230.0,934.0,11.0,58.0,1.0,3.0,618.0,17.0,,3.0,7.0,2.0,0.0,3.0,7.0,26.0,716.0,89.0,1.0,1.0,97032,9.0,206.0,1.0,11.0,1.0,221.0,4.0,2.0,,18.0,2.0,53.0,2.0,1.0,4.0,3.0,19.0,1.0,2.0,,48.0,633.0,8.0,10.0,3.0,13.0,74.0,1.0,1.0,,0.0,,2.0,3.0,,4.0,1.0,4.0,1.0,3.0,70.6,23.0,2.0,7.0,1.0,4.0,3.0,54.0,8.0,734.0,3.0,10.0,27.0,7.0,54.0,4.0,3.0,535.0,9.0,4.0,17.0,190.0,34.0,2.0,2.0,7.0,19.0,14.0,3.0,21.0,2.0,6.0,8.0,3.0,2.0,2.0,,,1.0,,,2.0,2.0,,1.0,3.0,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,3.0,,3.0,,,,,,,,3.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,
24,987828,2019-01-30 20:00:00,"Anfield, Liverpool",53092,Home,Liverpool,Leicester City,1,1,D,1,1,0,0,,,69.0,,,1.0,26.0,15.0,3.0,4.0,7.0,2.0,,2.0,206.0,,5.0,11.0,1.0,3.0,7.0,3.0,217.0,172.0,47.0,1.0,10.0,1.0,19.0,2.0,,1.0,2.0,23.0,9.0,,,15.0,7.0,7.0,41.0,420.0,,0.0,252.0,13.0,,1.0,145.0,99.0,3.0,113.0,1.0,16.0,16.0,3.0,1.0,6.0,2.0,172.0,,5.0,243.0,992.0,4.0,37.0,,14.0,667.0,23.0,1.0,1.0,8.0,,1.0,1.0,4.0,30.0,767.0,80.0,,,97032,5.0,262.0,,9.0,,283.0,9.0,1.0,2.0,16.0,3.0,65.0,2.0,4.0,11.0,1.0,25.0,,3.0,1.0,54.0,677.0,6.0,16.0,3.0,16.0,78.0,1.0,,,0.0,,1.0,1.0,1.0,1.0,0.0,2.0,,3.0,72.1,27.0,3.0,5.0,2.0,11.0,2.0,51.0,7.0,779.0,14.0,11.0,15.0,5.0,48.0,3.0,3.0,519.0,3.0,6.0,15.0,200.0,30.0,,1.0,8.0,15.0,6.0,3.0,19.0,1.0,4.0,7.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,3.0,,1.0,1.0,,,,2.0,,,3.0,,,3.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,
25,987841,2019-02-04 20:00:00,"London Stadium, London",59903,Away,Liverpool,West Ham United,1,1,D,1,1,0,0,4.0,1.0,62.0,1.0,1.0,,26.0,17.0,4.0,10.0,7.0,1.0,1.0,,207.0,,4.0,14.0,1.0,2.0,9.0,6.0,190.0,157.0,55.0,,11.0,2.0,19.0,4.0,1.0,3.0,,18.0,7.0,,1.0,17.0,5.0,8.0,43.0,335.0,,0.0,191.0,11.0,,2.0,75.0,95.0,6.0,87.0,1.0,13.0,19.0,4.0,,1.0,1.0,157.0,1.0,7.0,206.0,881.0,7.0,26.0,1.0,3.0,562.0,21.0,,1.0,10.0,1.0,1.0,4.0,3.0,31.0,669.0,68.0,1.0,1.0,97032,4.0,252.0,,10.0,2.0,279.0,8.0,,,19.0,11.0,56.0,3.0,3.0,4.0,1.0,10.0,6.0,11.0,2.0,55.0,583.0,8.0,9.0,1.0,15.0,77.0,1.0,,,0.0,,4.0,2.0,,1.0,0.0,2.0,1.0,1.0,73.3,31.0,,6.0,,4.0,2.0,51.0,5.0,690.0,3.0,12.0,16.0,3.0,32.0,2.0,2.0,429.0,,7.0,17.0,139.0,31.0,1.0,4.0,10.0,16.0,8.0,2.0,20.0,4.0,4.0,5.0,,,2.0,,,,,1.0,,,1.0,1.0,4.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,
26,987846,2019-02-09 15:00:00,"Anfield, Liverpool",53178,Home,Liverpool,Bournemouth,3,0,W,2,0,0,0,4.0,1.0,66.0,1.0,,4.0,31.0,23.0,6.0,9.0,14.0,2.0,1.0,2.0,199.0,1.0,3.0,6.0,3.0,2.0,18.0,9.0,194.0,132.0,50.0,,20.0,1.0,11.0,2.0,2.0,3.0,,17.0,12.0,1.0,4.0,23.0,4.0,7.0,46.0,347.0,1.0,0.0,217.0,14.0,,1.0,83.0,104.0,12.0,103.0,1.0,13.0,12.0,6.0,,6.0,1.0,132.0,5.0,6.0,211.0,910.0,13.0,41.0,,10.0,608.0,31.0,1.0,2.0,9.0,3.0,2.0,4.0,5.0,21.0,687.0,75.0,4.0,,97032,4.0,283.0,4.0,6.0,1.0,301.0,6.0,1.0,,12.0,6.0,48.0,4.0,1.0,3.0,2.0,22.0,6.0,6.0,3.0,47.0,627.0,6.0,11.0,1.0,9.0,64.0,,,1.0,0.0,,,5.0,2.0,3.0,0.0,2.0,3.0,2.0,65.6,19.0,1.0,9.0,3.0,3.0,5.0,53.0,8.0,707.0,10.0,6.0,31.0,6.0,41.0,1.0,4.0,423.0,9.0,7.0,15.0,168.0,22.0,2.0,2.0,9.0,23.0,16.0,3.0,13.0,2.0,8.0,8.0,,1.0,4.0,,,,,1.0,1.0,1.0,2.0,,2.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
