gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,goalAssistSetplay,attOboxBlocked,attMissLeft,attOneOnOne,attMissHighRight,goodHighClaim,attOboxMiss,accurateThroughBall,accurateFreekickCross,errorLeadToShot,bigChanceMissed,totalThroughBall,goalAssistIntentional,shieldBallOop,attSvHighCentre,blockedScoringAtt,totalHighClaim,attHdGoal,attFreekickTotal,interceptionsInBox,freekickTotal,attMissHighLeft,penaltyConceded,totalPullBack,defenderGoals,attMissHigh,attFreekickTarget,penaltyFaced,penGoalsConceded,shotFastbreak,ptsGainedLosingPos,totalFastbreak,attFastbreak,attCmissLeft,punches,accuratePullBack,postScoringAtt,attIboxPost,attGoalHighRight,hitWoodwork,attPostHigh,errorLeadToGoal,attSvHighRight,contentiousDecision,attGoalLowLeft,attLfGoal,attPenPost,cleanSheet,attOboxGoal,penaltyWon,sixYardBlock,attGoalHighLeft,forwardGoals,penaltySave,goalFastbreak,attCmissHigh,attPenGoal,attGoalHighCentre,attOboxPost,attCmissHighRight,attPostRight,attSvHighLeft,attFreekickMiss,handBall,attPenTarget,attLgCentre,ownGoals,attFreekickGoal,attIboxOwnGoal,clearanceOffLine,attHdPost,attOboxOwnGoal,attFreekickPost,secondYellow,attObxdRight,foulThrowIn,goalAssistDeadball,attCorner
11,987696,2018-11-03 15:00:00,"Goodison Park, Liverpool",38966,Home,Everton,Brighton and Hove Albion,3,1,W,1,1,0,0,,,1.0,62.0,,1.0,24.0,15.0,3.0,5.0,11.0,2.0,,182.0,,5.0,10.0,3.0,4.0,12.0,,3.0,125.0,161.0,66.0,14.0,17.0,,,,1.0,,34.0,12.0,,15.0,6.0,8.0,25.0,224.0,0.0,152.0,9.0,,,,3.0,77.0,96.0,2.0,64.0,1.0,28.0,21.0,3.0,3.0,161.0,4.0,3.0,120.0,707.0,8.0,3.0,37.0,,12.0,388.0,13.0,3.0,9.0,1.0,,0.0,1.0,9.0,24.0,466.0,64.0,80801,8.0,189.0,22.0,2.0,207.0,1.0,1.0,21.0,6.0,48.0,2.0,4.0,3.0,22.0,2.0,4.0,49.0,408.0,15.0,6.0,2.0,15.0,66.0,,0.0,2.0,4.0,1.0,2.0,1.0,,0.0,3.0,4.0,61.5,17.0,4.0,11.0,1.0,4.0,42.0,6.0,491.0,12.0,12.0,16.0,9.0,42.0,2.0,7.0,318.0,5.0,7.0,24.0,103.0,34.0,1.0,9.0,18.0,1.0,10.0,3.0,14.0,,1.0,8.0,6.0,2.0,,,4.0,,2.0,,1.0,1.0,1.0,,4.0,1.0,1.0,,,2.0,,,,,,1.0,,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,2.0,2.0,,,1.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12,987704,2018-11-11 14:15:00,"Stamford Bridge, London",40345,Away,Everton,Chelsea,0,0,D,0,0,0,0,,,,61.0,,2.0,25.0,21.0,4.0,,2.0,4.0,1.0,122.0,,5.0,8.0,,3.0,6.0,,1.0,78.0,127.0,54.0,6.0,12.0,,,1.0,,,10.0,11.0,1.0,21.0,4.0,4.0,20.0,99.0,0.0,65.0,11.0,3.0,,,3.0,35.0,54.0,3.0,41.0,,6.0,8.0,4.0,,127.0,1.0,7.0,68.0,485.0,3.0,6.0,7.0,,14.0,213.0,31.0,6.0,13.0,,1.0,3.0,4.0,2.0,19.0,278.0,33.0,80801,1.0,139.0,3.0,1.0,162.0,9.0,,8.0,18.0,50.0,7.0,3.0,,11.0,8.0,11.0,55.0,233.0,7.0,8.0,2.0,18.0,58.0,,0.0,5.0,5.0,2.0,,,1.0,0.0,3.0,2.0,31.3,15.0,2.0,2.0,,3.0,31.0,5.0,309.0,14.0,10.0,7.0,3.0,12.0,2.0,2.0,157.0,4.0,4.0,18.0,34.0,23.0,1.0,13.0,21.0,,3.0,3.0,17.0,,1.0,3.0,5.0,,,2.0,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,987715,2018-11-24 15:00:00,"Goodison Park, Liverpool",39139,Home,Everton,Cardiff City,1,0,W,0,0,0,0,,2.0,1.0,66.0,1.0,1.0,22.0,23.0,4.0,4.0,12.0,1.0,3.0,201.0,,7.0,12.0,1.0,2.0,11.0,1.0,8.0,130.0,171.0,62.0,16.0,26.0,7.0,2.0,,,5.0,26.0,5.0,,23.0,7.0,7.0,23.0,226.0,0.0,168.0,12.0,1.0,1.0,1.0,2.0,69.0,89.0,6.0,68.0,1.0,19.0,26.0,4.0,4.0,171.0,3.0,6.0,118.0,736.0,7.0,5.0,30.0,2.0,10.0,398.0,19.0,6.0,12.0,,,0.0,2.0,5.0,27.0,498.0,56.0,80801,8.0,193.0,13.0,1.0,215.0,8.0,,26.0,5.0,53.0,,5.0,1.0,25.0,1.0,2.0,51.0,412.0,13.0,,4.0,17.0,74.0,1.0,0.0,5.0,3.0,,1.0,,2.0,0.0,4.0,3.0,70.7,26.0,1.0,9.0,,5.0,47.0,7.0,517.0,10.0,12.0,12.0,5.0,40.0,3.0,2.0,328.0,8.0,7.0,28.0,111.0,29.0,,12.0,12.0,,11.0,3.0,16.0,,,7.0,7.0,2.0,,1.0,3.0,1.0,,,3.0,1.0,1.0,1.0,5.0,2.0,,2.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,987728,2018-12-02 16:15:00,"Anfield, Liverpool",51756,Away,Everton,Liverpool,0,1,L,0,0,0,0,,1.0,,62.0,,1.0,17.0,42.0,4.0,3.0,5.0,2.0,1.0,157.0,,4.0,6.0,,3.0,5.0,,3.0,86.0,159.0,49.0,9.0,10.0,1.0,,1.0,,1.0,12.0,12.0,2.0,42.0,1.0,1.0,30.0,117.0,0.0,84.0,7.0,,,,3.0,67.0,53.0,2.0,51.0,2.0,11.0,13.0,4.0,2.0,159.0,2.0,9.0,94.0,589.0,3.0,9.0,19.0,1.0,11.0,261.0,27.0,3.0,23.0,,1.0,2.0,3.0,3.0,14.0,359.0,38.0,80801,3.0,169.0,6.0,1.0,194.0,1.0,,13.0,16.0,47.0,3.0,3.0,,18.0,7.0,9.0,60.0,282.0,11.0,9.0,2.0,24.0,79.0,2.0,0.0,1.0,8.0,1.0,,1.0,4.0,0.0,3.0,3.0,42.4,12.0,2.0,1.0,,3.0,31.0,1.0,388.0,11.0,12.0,14.0,4.0,17.0,1.0,2.0,206.0,3.0,1.0,16.0,45.0,29.0,1.0,23.0,16.0,1.0,7.0,3.0,15.0,,1.0,6.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,2.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
15,987740,2018-12-05 19:45:00,"Goodison Park, Liverpool",39350,Home,Everton,Newcastle United,1,1,D,1,1,0,0,,1.0,1.0,57.0,,,29.0,8.0,7.0,6.0,12.0,4.0,1.0,221.0,,8.0,14.0,1.0,7.0,12.0,1.0,3.0,164.0,189.0,68.0,19.0,24.0,2.0,1.0,,,1.0,52.0,10.0,,8.0,14.0,5.0,25.0,344.0,0.0,236.0,7.0,1.0,1.0,,6.0,122.0,124.0,8.0,80.0,2.0,38.0,20.0,7.0,9.0,189.0,2.0,7.0,181.0,884.0,12.0,2.0,34.0,,4.0,524.0,24.0,4.0,6.0,,,0.0,,4.0,35.0,626.0,84.0,80801,6.0,207.0,23.0,,230.0,6.0,1.0,20.0,3.0,61.0,,4.0,,16.0,1.0,3.0,50.0,543.0,17.0,5.0,,19.0,77.0,,0.0,,2.0,4.0,1.0,1.0,1.0,0.0,8.0,2.0,76.3,34.0,2.0,9.0,2.0,4.0,64.0,14.0,646.0,4.0,17.0,14.0,8.0,60.0,,3.0,468.0,10.0,4.0,23.0,172.0,18.0,1.0,6.0,14.0,1.0,16.0,3.0,22.0,,1.0,5.0,14.0,6.0,,2.0,,,1.0,,5.0,,,,2.0,1.0,,,,8.0,,,1.0,,1.0,3.0,,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
16,987747,2018-12-10 20:00:00,"Goodison Park, Liverpool",38400,Home,Everton,Watford,2,2,D,1,0,0,0,,,1.0,65.0,,1.0,27.0,29.0,1.0,4.0,10.0,2.0,1.0,166.0,,10.0,7.0,2.0,4.0,8.0,,5.0,99.0,163.0,62.0,12.0,23.0,3.0,1.0,,1.0,1.0,24.0,11.0,,29.0,6.0,5.0,24.0,176.0,0.0,133.0,13.0,1.0,,,2.0,69.0,75.0,5.0,56.0,2.0,18.0,17.0,2.0,4.0,163.0,1.0,12.0,91.0,649.0,5.0,7.0,35.0,2.0,8.0,302.0,19.0,4.0,16.0,1.0,,1.0,4.0,3.0,25.0,385.0,50.0,80801,8.0,154.0,12.0,1.0,189.0,8.0,1.0,17.0,8.0,72.0,4.0,5.0,1.0,20.0,4.0,5.0,58.0,320.0,12.0,12.0,2.0,21.0,60.0,1.0,0.0,2.0,6.0,1.0,1.0,2.0,3.0,0.0,9.0,3.0,56.6,19.0,1.0,6.0,1.0,5.0,32.0,6.0,412.0,8.0,19.0,13.0,5.0,34.0,1.0,4.0,247.0,5.0,5.0,21.0,91.0,32.0,4.0,16.0,22.0,2.0,7.0,3.0,13.0,2.0,4.0,10.0,6.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,2.0,1.0,,1.0,4.0,1.0,1.0,,,1.0,,,,,,1.0,,,,2.0,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
17,987757,2018-12-15 12:30:00,"Etihad Stadium, Manchester",54173,Away,Everton,Manchester City,1,3,L,0,1,0,0,,,1.0,64.0,1.0,1.0,25.0,19.0,3.0,,6.0,3.0,1.0,120.0,,4.0,12.0,1.0,1.0,8.0,,2.0,81.0,126.0,38.0,9.0,16.0,1.0,,1.0,1.0,,15.0,6.0,,19.0,2.0,1.0,26.0,96.0,0.0,72.0,9.0,2.0,,1.0,1.0,37.0,48.0,3.0,50.0,,13.0,18.0,3.0,5.0,126.0,3.0,9.0,84.0,516.0,6.0,1.0,13.0,,15.0,243.0,26.0,8.0,6.0,1.0,1.0,2.0,4.0,5.0,16.0,311.0,37.0,66838,5.0,168.0,7.0,,198.0,5.0,,18.0,9.0,43.0,2.0,7.0,1.0,17.0,4.0,6.0,55.0,260.0,6.0,4.0,1.0,26.0,54.0,,0.0,3.0,6.0,1.0,1.0,3.0,,0.0,3.0,2.0,33.0,13.0,1.0,5.0,,7.0,32.0,2.0,335.0,15.0,13.0,18.0,5.0,17.0,1.0,4.0,152.0,7.0,1.0,10.0,42.0,24.0,3.0,6.0,11.0,3.0,8.0,3.0,14.0,,3.0,14.0,2.0,,,2.0,1.0,,1.0,,1.0,,,,2.0,,1.0,1.0,,2.0,,1.0,,3.0,,,,1.0,,3.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,987766,2018-12-23 16:00:00,"Goodison Park, Liverpool",39319,Home,Everton,Tottenham Hotspur,2,6,L,1,3,0,0,1.0,1.0,1.0,69.0,,,39.0,9.0,4.0,4.0,6.0,2.0,,152.0,,3.0,4.0,2.0,1.0,7.0,1.0,3.0,97.0,153.0,37.0,10.0,22.0,1.0,1.0,1.0,2.0,1.0,18.0,5.0,,9.0,2.0,6.0,49.0,167.0,0.0,150.0,13.0,1.0,2.0,,1.0,87.0,65.0,4.0,70.0,2.0,16.0,33.0,4.0,8.0,153.0,1.0,11.0,93.0,581.0,5.0,8.0,14.0,,15.0,294.0,18.0,4.0,3.0,2.0,1.0,0.0,2.0,3.0,21.0,389.0,67.0,66838,4.0,149.0,7.0,,164.0,8.0,2.0,33.0,5.0,56.0,4.0,5.0,2.0,18.0,6.0,3.0,68.0,313.0,9.0,8.0,,14.0,63.0,,0.0,,1.0,2.0,2.0,6.0,4.0,0.0,3.0,1.0,41.5,18.0,1.0,12.0,1.0,5.0,37.0,2.0,412.0,15.0,10.0,27.0,5.0,31.0,,2.0,266.0,5.0,5.0,13.0,89.0,33.0,,3.0,11.0,5.0,9.0,3.0,8.0,3.0,,14.0,2.0,1.0,,1.0,,,,,3.0,,,,,,1.0,,,2.0,,,,,,3.0,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,987773,2018-12-26 15:00:00,"Turf Moor, Burnley",21484,Away,Everton,Burnley,5,1,W,3,1,0,0,,,2.0,56.0,2.0,1.0,32.0,31.0,5.0,7.0,8.0,2.0,1.0,170.0,,3.0,12.0,5.0,4.0,8.0,,6.0,89.0,173.0,83.0,13.0,38.0,1.0,,,1.0,1.0,19.0,6.0,,31.0,6.0,9.0,31.0,124.0,0.0,87.0,19.0,1.0,3.0,,2.0,44.0,67.0,6.0,74.0,,13.0,16.0,5.0,2.0,173.0,1.0,7.0,84.0,615.0,4.0,7.0,22.0,,6.0,288.0,22.0,10.0,26.0,3.0,,4.0,2.0,2.0,21.0,393.0,42.0,80801,6.0,180.0,9.0,,220.0,8.0,1.0,16.0,10.0,70.0,2.0,2.0,1.0,17.0,4.0,4.0,80.0,301.0,9.0,2.0,1.0,42.0,79.0,,0.0,3.0,5.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,51.0,19.0,1.0,2.0,1.0,2.0,32.0,7.0,417.0,6.0,13.0,17.0,3.0,27.0,2.0,1.0,216.0,4.0,7.0,53.0,58.0,25.0,2.0,26.0,10.0,1.0,7.0,3.0,16.0,,2.0,7.0,7.0,3.0,2.0,1.0,1.0,,,,2.0,1.0,,,,1.0,2.0,1.0,,4.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,3.0,,,2.0,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,
20,987782,2018-12-29 15:00:00,"American Express Stadium, Falmer",30597,Away,Everton,Brighton and Hove Albion,0,1,L,0,0,0,0,,1.0,,58.0,,1.0,21.0,19.0,4.0,4.0,9.0,2.0,3.0,165.0,,7.0,9.0,,2.0,8.0,,4.0,111.0,172.0,69.0,13.0,27.0,3.0,1.0,,,3.0,20.0,9.0,1.0,19.0,5.0,8.0,28.0,149.0,0.0,119.0,11.0,1.0,,,1.0,66.0,53.0,3.0,55.0,2.0,15.0,12.0,4.0,4.0,172.0,,8.0,96.0,650.0,7.0,10.0,25.0,,8.0,299.0,30.0,4.0,9.0,,,2.0,5.0,5.0,34.0,404.0,50.0,80801,5.0,171.0,10.0,1.0,207.0,5.0,,12.0,9.0,66.0,1.0,7.0,,16.0,3.0,6.0,62.0,313.0,10.0,6.0,1.0,31.0,73.0,,0.0,2.0,6.0,1.0,,1.0,1.0,0.0,5.0,2.0,55.2,31.0,1.0,2.0,3.0,7.0,36.0,6.0,427.0,8.0,17.0,17.0,6.0,31.0,2.0,3.0,240.0,7.0,8.0,34.0,71.0,18.0,1.0,9.0,16.0,1.0,10.0,3.0,15.0,,1.0,4.0,6.0,2.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,,1.0,3.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
21,987796,2019-01-01 12:30:00,"Goodison Park, Liverpool",39052,Home,Everton,Leicester City,0,1,L,0,0,0,0,,,,94.0,,2.0,35.0,13.0,3.0,3.0,14.0,3.0,1.0,198.0,,7.0,6.0,,4.0,11.0,,2.0,129.0,218.0,62.0,17.0,31.0,2.0,2.0,,,,30.0,13.0,,13.0,6.0,9.0,37.0,223.0,0.0,174.0,5.0,,,,3.0,75.0,104.0,7.0,72.0,1.0,24.0,34.0,3.0,8.0,218.0,,4.0,126.0,750.0,9.0,14.0,30.0,1.0,12.0,376.0,30.0,8.0,6.0,,,3.0,1.0,4.0,31.0,510.0,58.0,80801,8.0,173.0,13.0,2.0,207.0,4.0,,34.0,5.0,78.0,1.0,9.0,,22.0,4.0,4.0,65.0,389.0,6.0,16.0,2.0,23.0,89.0,,0.0,2.0,5.0,1.0,,1.0,3.0,0.0,5.0,4.0,59.6,23.0,3.0,6.0,3.0,9.0,54.0,6.0,525.0,12.0,14.0,19.0,7.0,45.0,2.0,5.0,348.0,10.0,9.0,32.0,113.0,44.0,1.0,6.0,18.0,1.0,10.0,2.0,18.0,,1.0,12.0,6.0,6.0,,2.0,3.0,,1.0,1.0,1.0,,1.0,,,2.0,,,2.0,8.0,1.0,,2.0,,2.0,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
22,987807,2019-01-13 14:15:00,"Goodison Park, Liverpool",38113,Home,Everton,Bournemouth,2,0,W,0,0,0,0,,,1.0,63.0,,1.0,23.0,30.0,5.0,7.0,10.0,7.0,1.0,174.0,,8.0,7.0,2.0,3.0,11.0,,3.0,75.0,155.0,61.0,15.0,32.0,1.0,1.0,,1.0,1.0,20.0,11.0,,30.0,5.0,7.0,18.0,151.0,0.0,115.0,17.0,4.0,,,1.0,50.0,53.0,4.0,47.0,3.0,15.0,26.0,5.0,3.0,155.0,2.0,12.0,100.0,631.0,8.0,7.0,30.0,,14.0,283.0,30.0,8.0,15.0,2.0,,5.0,1.0,7.0,26.0,376.0,46.0,80801,5.0,153.0,11.0,2.0,187.0,11.0,1.0,26.0,10.0,71.0,1.0,3.0,1.0,21.0,4.0,7.0,51.0,296.0,8.0,9.0,1.0,22.0,71.0,,0.0,,9.0,6.0,2.0,,3.0,0.0,5.0,5.0,50.9,19.0,3.0,6.0,2.0,3.0,34.0,5.0,396.0,14.0,11.0,7.0,8.0,32.0,3.0,5.0,229.0,3.0,7.0,28.0,80.0,21.0,3.0,15.0,19.0,,8.0,3.0,10.0,,3.0,17.0,5.0,1.0,1.0,3.0,1.0,,1.0,,2.0,,,3.0,2.0,2.0,2.0,1.0,,4.0,,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
23,987819,2019-01-19 15:00:00,"St. Mary's Stadium, Southampton",29989,Away,Everton,Southampton,1,2,L,0,0,0,0,2.0,,,68.0,,1.0,31.0,14.0,2.0,1.0,5.0,3.0,,179.0,,5.0,9.0,1.0,,6.0,,2.0,122.0,199.0,71.0,7.0,40.0,1.0,,,1.0,,21.0,15.0,,14.0,4.0,6.0,34.0,184.0,0.0,148.0,11.0,2.0,1.0,,,62.0,80.0,5.0,54.0,,17.0,20.0,2.0,3.0,199.0,2.0,9.0,118.0,694.0,5.0,7.0,23.0,1.0,12.0,331.0,24.0,6.0,5.0,1.0,,1.0,3.0,1.0,36.0,442.0,62.0,80801,4.0,169.0,14.0,,202.0,2.0,1.0,20.0,9.0,76.0,2.0,5.0,1.0,26.0,3.0,3.0,75.0,348.0,11.0,6.0,,30.0,86.0,,0.0,2.0,7.0,2.0,1.0,2.0,1.0,0.0,4.0,2.0,60.6,28.0,1.0,5.0,,5.0,41.0,6.0,473.0,12.0,16.0,19.0,1.0,31.0,1.0,1.0,292.0,4.0,5.0,31.0,94.0,29.0,3.0,5.0,21.0,,7.0,3.0,13.0,,3.0,6.0,6.0,2.0,,2.0,,,,1.0,,,,,2.0,1.0,,,,4.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,
24,987825,2019-01-29 19:45:00,"Accu Stadium, Huddersfield",23699,Away,Everton,Huddersfield Town,1,0,W,1,0,1,0,,,1.0,66.0,,1.0,29.0,25.0,4.0,2.0,6.0,2.0,4.0,176.0,1.0,4.0,9.0,1.0,3.0,7.0,,5.0,82.0,158.0,65.0,10.0,25.0,2.0,2.0,,,3.0,9.0,16.0,2.0,25.0,3.0,7.0,30.0,138.0,0.0,90.0,10.0,2.0,1.0,,,66.0,48.0,4.0,64.0,1.0,6.0,24.0,4.0,,158.0,1.0,6.0,78.0,598.0,5.0,13.0,14.0,,15.0,269.0,31.0,9.0,16.0,,,4.0,2.0,3.0,19.0,366.0,51.0,66838,3.0,150.0,6.0,,181.0,6.0,1.0,24.0,16.0,65.0,,1.0,1.0,17.0,4.0,5.0,80.0,284.0,12.0,13.0,2.0,32.0,90.0,1.0,0.0,1.0,3.0,1.0,1.0,,4.0,1.0,2.0,2.0,41.6,18.0,2.0,1.0,,2.0,41.0,4.0,400.0,15.0,11.0,12.0,4.0,15.0,2.0,3.0,228.0,6.0,6.0,19.0,50.0,25.0,2.0,16.0,25.0,,6.0,3.0,15.0,,2.0,13.0,4.0,,,1.0,1.0,,2.0,,1.0,,,,1.0,1.0,,3.0,,1.0,,,2.0,,2.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
25,987837,2019-02-02 15:00:00,"Goodison Park, Liverpool",39380,Home,Everton,Wolverhampton Wanderers,1,3,L,1,2,0,0,,,,67.0,,,37.0,4.0,4.0,1.0,9.0,1.0,2.0,177.0,,2.0,11.0,1.0,4.0,8.0,,4.0,154.0,165.0,72.0,13.0,19.0,3.0,3.0,,1.0,1.0,17.0,12.0,,4.0,3.0,8.0,50.0,236.0,0.0,160.0,12.0,1.0,1.0,1.0,3.0,86.0,98.0,6.0,76.0,,14.0,19.0,4.0,6.0,165.0,2.0,5.0,127.0,725.0,7.0,7.0,18.0,1.0,9.0,414.0,26.0,4.0,4.0,1.0,,3.0,2.0,2.0,25.0,513.0,76.0,66838,5.0,196.0,5.0,3.0,217.0,9.0,1.0,19.0,6.0,53.0,2.0,4.0,1.0,23.0,3.0,4.0,67.0,430.0,13.0,5.0,,11.0,86.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,64.0,22.0,1.0,2.0,1.0,4.0,50.0,3.0,534.0,9.0,11.0,19.0,2.0,28.0,,1.0,334.0,10.0,7.0,31.0,107.0,34.0,1.0,4.0,18.0,3.0,8.0,3.0,17.0,,1.0,8.0,3.0,4.0,,3.0,1.0,,1.0,,1.0,1.0,,1.0,2.0,1.0,,,,7.0,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,987850,2019-02-09 15:00:00,"Vicarage Road, Watford",20333,Away,Everton,Watford,0,1,L,0,0,1,0,,1.0,,66.0,,,32.0,35.0,,3.0,8.0,1.0,,175.0,,5.0,15.0,,6.0,6.0,,4.0,104.0,169.0,100.0,9.0,21.0,4.0,1.0,,,,15.0,15.0,,35.0,2.0,3.0,36.0,161.0,0.0,115.0,10.0,1.0,,1.0,5.0,38.0,85.0,4.0,50.0,1.0,13.0,20.0,1.0,4.0,169.0,,5.0,96.0,659.0,4.0,10.0,22.0,3.0,11.0,297.0,26.0,7.0,18.0,,,0.0,2.0,2.0,22.0,400.0,68.0,80801,7.0,161.0,4.0,2.0,196.0,5.0,,20.0,6.0,54.0,6.0,2.0,,14.0,2.0,4.0,57.0,317.0,21.0,2.0,2.0,15.0,81.0,2.0,0.0,1.0,8.0,1.0,,1.0,3.0,1.0,5.0,4.0,56.0,14.0,1.0,3.0,,2.0,52.0,2.0,425.0,11.0,12.0,20.0,4.0,28.0,,2.0,244.0,1.0,1.0,45.0,65.0,33.0,3.0,18.0,22.0,1.0,5.0,3.0,25.0,,3.0,10.0,2.0,1.0,,,1.0,,,,,,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,2.0,1.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,
