gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowCentre,attCmissRight,attSvLowLeft,goodHighClaim,attMissRight,attGoalHighCentre,attMissHighLeft,penaltyConceded,attAssistSetplay,attHdTotal,attHdMiss,penaltyFaced,totalHighClaim,penGoalsConceded,attIboxMiss,forwardGoals,attHdGoal,handBall,accuratePullBack,attFreekickTotal,attOboxBlocked,attBxRight,accurateKeeperSweeper,attMissHighRight,freekickCross,freekickTotal,totalKeeperSweeper,accurateThroughBall,accurateFreekickCross,errorLeadToShot,attSetpiece,totalPullBack,attMissHigh,attCorner,attCmissLeft,attFreekickTarget,accurateCrossNocorner,attSvHighCentre,attPenTarget,shotFastbreak,cleanSheet,totalFastbreak,contentiousDecision,sixYardBlock,attFastbreak,goalAssistSetplay,attSvHighRight,secondYellow,attObpGoal,goalsConcededObox,attGoalLowLeft,attSvHighLeft,attHdTarget,hitWoodwork,attCmissHigh,ptsDroppedWinningPos,goalAssistDeadball,postScoringAtt,attIboxPost,attHdPost,ownGoals,attPostRight,attIboxOwnGoal,attOboxGoal,ptsGainedLosingPos,attFreekickGoal,attCmissHighRight,foulThrowIn,attFreekickPost,attOboxPost,attPostHigh,errorLeadToGoal,attObxdLeft,clearanceOffLine,attObxLeft,goalFastbreak,attFreekickMiss,attGoalHighLeft,attLgCentre,attCmissHighLeft
11,987692,2018-11-03 12:30:00,"Vitality Stadium, Bournemouth",10792,Away,Manchester United,Bournemouth,2,1,W,1,1,0,0,1.0,2.0,55.0,1.0,1.0,3.0,30.0,29.0,5.0,5.0,13.0,6.0,2.0,4.0,172.0,,6.0,2.0,1.0,14.0,8.0,98.0,146.0,57.0,18.0,15.0,5.0,1.0,5.0,2.0,13.0,9.0,,1.0,29.0,5.0,5.0,31.0,,185.0,,0.0,123.0,12.0,2.0,,74.0,42.0,9.0,66.0,,8.0,15.0,5.0,4.0,2.0,146.0,3.0,12.0,111.0,648.0,13.0,7.0,31.0,5.0,341.0,24.0,6.0,16.0,1.0,3.0,8.0,5.0,19.0,419.0,53.0,76359,7.0,171.0,4.0,4.0,197.0,7.0,,15.0,10.0,49.0,1.0,,5.0,1.0,2.0,12.0,6.0,4.0,,68.0,356.0,11.0,4.0,20.0,77.0,,,0.0,,9.0,5.0,2.0,1.0,3.0,0.0,1.0,1.0,51.3,14.0,6.0,3.0,1.0,4.0,37.0,5.0,447.0,5.0,8.0,17.0,6.0,29.0,,263.0,12.0,5.0,23.0,90.0,19.0,3.0,16.0,17.0,1.0,13.0,3.0,18.0,3.0,9.0,5.0,1.0,2.0,,,2.0,,,,,1.0,,,,,3.0,1.0,,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,3.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,3.0,,,,1.0,1.0,1.0,,,,,,,,,
12,987709,2018-11-11 16:30:00,"Etihad Stadium, Manchester",54316,Away,Manchester United,Manchester City,1,3,L,0,1,0,0,,1.0,51.0,1.0,2.0,3.0,25.0,29.0,1.0,,5.0,2.0,,,139.0,1.0,4.0,1.0,3.0,4.0,1.0,88.0,103.0,46.0,6.0,9.0,,,,,11.0,9.0,,,29.0,1.0,4.0,28.0,,133.0,1.0,0.0,90.0,12.0,1.0,,70.0,31.0,3.0,65.0,2.0,10.0,26.0,1.0,3.0,,103.0,,8.0,88.0,557.0,4.0,7.0,17.0,6.0,298.0,25.0,1.0,17.0,,1.0,6.0,1.0,14.0,356.0,34.0,76359,3.0,187.0,,5.0,201.0,5.0,1.0,26.0,10.0,44.0,1.0,,,4.0,,15.0,9.0,8.0,1.0,48.0,319.0,12.0,11.0,10.0,56.0,,,0.0,1.0,6.0,,1.0,3.0,3.0,0.0,,,35.1,11.0,1.0,2.0,4.0,4.0,37.0,1.0,380.0,6.0,6.0,14.0,1.0,22.0,,190.0,5.0,4.0,12.0,59.0,20.0,4.0,17.0,18.0,3.0,1.0,3.0,11.0,4.0,15.0,1.0,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,2.0,,,1.0,,1.0,3.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,987717,2018-11-24 15:00:00,"Old Trafford, Manchester",74516,Home,Manchester United,Crystal Palace,0,0,D,0,0,0,0,1.0,,58.0,,1.0,1.0,40.0,17.0,5.0,2.0,7.0,2.0,,2.0,191.0,3.0,3.0,,2.0,10.0,5.0,116.0,150.0,55.0,12.0,13.0,3.0,,1.0,2.0,31.0,13.0,,2.0,17.0,9.0,6.0,48.0,,255.0,,0.0,187.0,13.0,1.0,,111.0,71.0,7.0,62.0,,22.0,16.0,5.0,9.0,1.0,150.0,2.0,5.0,140.0,713.0,9.0,5.0,29.0,5.0,400.0,25.0,5.0,7.0,,1.0,2.0,3.0,22.0,485.0,79.0,76359,5.0,169.0,2.0,11.0,185.0,6.0,,16.0,8.0,48.0,1.0,,2.0,4.0,,16.0,8.0,8.0,,56.0,421.0,11.0,11.0,15.0,64.0,1.0,,0.0,3.0,3.0,1.0,,,,0.0,,,59.8,22.0,1.0,1.0,4.0,3.0,47.0,10.0,509.0,5.0,7.0,31.0,4.0,49.0,,355.0,7.0,6.0,18.0,127.0,27.0,1.0,7.0,23.0,,11.0,3.0,9.0,1.0,8.0,10.0,,,1.0,1.0,,,,,1.0,3.0,1.0,,2.0,,3.0,,,2.0,,,2.0,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,2.0,,3.0,,,,1.0,,1.0,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14,987731,2018-12-01 17:30:00,"St. Mary's Stadium, Southampton",30187,Away,Manchester United,Southampton,2,2,D,2,2,0,0,1.0,1.0,52.0,1.0,3.0,1.0,23.0,15.0,4.0,2.0,7.0,4.0,1.0,2.0,158.0,5.0,10.0,2.0,6.0,10.0,5.0,150.0,146.0,72.0,11.0,9.0,2.0,2.0,3.0,,24.0,14.0,1.0,1.0,15.0,5.0,13.0,28.0,,176.0,,0.0,92.0,13.0,1.0,1.0,64.0,59.0,7.0,74.0,2.0,19.0,13.0,4.0,7.0,2.0,146.0,1.0,5.0,138.0,732.0,7.0,5.0,21.0,10.0,421.0,20.0,3.0,9.0,2.0,4.0,4.0,3.0,27.0,504.0,45.0,76359,4.0,265.0,,6.0,297.0,5.0,1.0,13.0,7.0,51.0,2.0,,2.0,7.0,2.0,15.0,11.0,6.0,,44.0,436.0,12.0,9.0,15.0,68.0,,,0.0,1.0,3.0,1.0,2.0,2.0,,0.0,2.0,,59.7,22.0,2.0,,7.0,2.0,43.0,5.0,520.0,10.0,15.0,14.0,4.0,30.0,1.0,247.0,7.0,8.0,26.0,63.0,23.0,2.0,9.0,24.0,1.0,8.0,3.0,15.0,2.0,4.0,5.0,,1.0,,,2.0,,,,1.0,2.0,2.0,,,,2.0,1.0,,,1.0,,1.0,1.0,,1.0,6.0,,,,1.0,,1.0,2.0,1.0,2.0,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
15,987736,2018-12-05 20:00:00,"Old Trafford, Manchester",74507,Home,Manchester United,Arsenal,2,2,D,1,1,0,0,3.0,2.0,52.0,,1.0,2.0,31.0,18.0,6.0,4.0,4.0,3.0,,2.0,144.0,4.0,7.0,2.0,2.0,7.0,7.0,102.0,130.0,46.0,10.0,12.0,,,3.0,,11.0,8.0,,5.0,18.0,4.0,4.0,40.0,,167.0,,0.0,117.0,13.0,2.0,,81.0,51.0,7.0,73.0,2.0,7.0,17.0,6.0,3.0,,130.0,1.0,7.0,128.0,628.0,4.0,5.0,14.0,19.0,341.0,17.0,4.0,8.0,1.0,3.0,3.0,,22.0,427.0,59.0,74208,2.0,191.0,,4.0,208.0,7.0,2.0,17.0,5.0,46.0,,,2.0,1.0,1.0,14.0,3.0,2.0,,75.0,354.0,10.0,9.0,26.0,66.0,1.0,,0.0,1.0,4.0,2.0,2.0,2.0,,0.0,1.0,,44.8,21.0,5.0,1.0,1.0,3.0,33.0,4.0,447.0,19.0,9.0,12.0,,21.0,2.0,250.0,5.0,4.0,14.0,67.0,24.0,2.0,8.0,15.0,2.0,6.0,3.0,10.0,2.0,13.0,4.0,2.0,,,,,,,,2.0,,,,,,,2.0,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,2.0,1.0,,,,1.0,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,2.0,,,,,,,,
16,987749,2018-12-08 15:00:00,"Old Trafford, Manchester",74523,Home,Manchester United,Fulham,4,1,W,3,0,0,1,2.0,1.0,69.0,1.0,3.0,1.0,43.0,15.0,4.0,6.0,14.0,3.0,2.0,4.0,188.0,5.0,10.0,4.0,1.0,13.0,11.0,165.0,147.0,63.0,20.0,12.0,6.0,3.0,2.0,3.0,25.0,6.0,1.0,1.0,15.0,7.0,7.0,43.0,,250.0,,0.0,157.0,11.0,,2.0,108.0,67.0,12.0,97.0,2.0,18.0,17.0,6.0,8.0,2.0,147.0,5.0,5.0,175.0,834.0,9.0,10.0,38.0,16.0,513.0,32.0,4.0,7.0,4.0,1.0,2.0,1.0,20.0,596.0,52.0,76359,7.0,295.0,4.0,10.0,326.0,6.0,2.0,17.0,6.0,53.0,,1.0,4.0,6.0,3.0,13.0,5.0,6.0,,68.0,540.0,14.0,12.0,18.0,74.0,2.0,,0.0,3.0,3.0,,3.0,1.0,1.0,0.0,2.0,1.0,62.7,16.0,9.0,6.0,6.0,3.0,52.0,10.0,625.0,16.0,7.0,24.0,6.0,29.0,1.0,324.0,12.0,7.0,24.0,124.0,21.0,3.0,7.0,15.0,1.0,14.0,3.0,21.0,3.0,4.0,10.0,1.0,,2.0,,1.0,,,1.0,,2.0,,1.0,,1.0,4.0,1.0,,,,1.0,2.0,,,2.0,,1.0,,,,2.0,,,,5.0,2.0,1.0,4.0,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,
17,987756,2018-12-16 16:00:00,"Anfield, Liverpool",52908,Away,Manchester United,Liverpool,1,3,L,1,1,0,0,,1.0,66.0,,6.0,,23.0,41.0,4.0,,2.0,7.0,,1.0,164.0,1.0,8.0,1.0,1.0,5.0,2.0,70.0,153.0,53.0,6.0,15.0,,,1.0,1.0,7.0,15.0,,1.0,41.0,2.0,3.0,25.0,,108.0,,0.0,97.0,14.0,3.0,,52.0,36.0,2.0,36.0,5.0,5.0,26.0,4.0,2.0,2.0,153.0,,17.0,51.0,544.0,4.0,12.0,11.0,21.0,195.0,30.0,5.0,16.0,,2.0,15.0,3.0,17.0,287.0,59.0,76359,1.0,104.0,,3.0,135.0,8.0,1.0,26.0,16.0,54.0,,,3.0,2.0,1.0,15.0,19.0,5.0,,69.0,211.0,6.0,13.0,24.0,78.0,,,0.0,4.0,13.0,2.0,1.0,3.0,1.0,0.0,,,35.5,14.0,,1.0,2.0,1.0,30.0,2.0,321.0,21.0,6.0,7.0,3.0,18.0,1.0,193.0,6.0,2.0,12.0,52.0,27.0,2.0,16.0,27.0,2.0,5.0,3.0,14.0,2.0,17.0,2.0,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
18,987764,2018-12-22 17:30:00,"Cardiff City Stadium, Cardiff",33028,Away,Manchester United,Cardiff City,5,1,W,3,1,0,0,1.0,3.0,50.0,2.0,,3.0,25.0,14.0,8.0,2.0,9.0,2.0,,3.0,203.0,2.0,10.0,5.0,4.0,12.0,9.0,167.0,130.0,62.0,17.0,11.0,2.0,3.0,1.0,3.0,9.0,12.0,1.0,2.0,14.0,7.0,18.0,37.0,,306.0,1.0,0.0,154.0,13.0,1.0,1.0,121.0,43.0,9.0,104.0,1.0,3.0,17.0,8.0,,3.0,130.0,3.0,8.0,166.0,801.0,7.0,8.0,26.0,5.0,538.0,23.0,1.0,10.0,3.0,1.0,1.0,3.0,21.0,614.0,58.0,76359,6.0,250.0,1.0,2.0,281.0,9.0,5.0,17.0,10.0,45.0,2.0,,,1.0,3.0,13.0,1.0,4.0,1.0,54.0,554.0,13.0,5.0,10.0,75.0,2.0,,0.0,2.0,4.0,2.0,3.0,1.0,6.0,0.0,2.0,2.0,74.3,16.0,3.0,2.0,1.0,4.0,52.0,7.0,640.0,5.0,10.0,20.0,4.0,21.0,3.0,368.0,14.0,17.0,23.0,121.0,23.0,1.0,10.0,17.0,1.0,11.0,3.0,17.0,1.0,4.0,7.0,1.0,,,1.0,1.0,,,1.0,2.0,,,1.0,1.0,1.0,1.0,4.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,
19,987778,2018-12-26 15:00:00,"Old Trafford, Manchester",74523,Home,Manchester United,Huddersfield Town,3,1,W,1,0,0,0,1.0,1.0,55.0,1.0,,3.0,34.0,14.0,5.0,2.0,10.0,1.0,,6.0,186.0,2.0,10.0,3.0,3.0,11.0,10.0,181.0,162.0,53.0,16.0,12.0,3.0,2.0,6.0,1.0,13.0,6.0,,4.0,14.0,5.0,12.0,21.0,,322.0,,0.0,183.0,9.0,1.0,3.0,106.0,76.0,9.0,81.0,3.0,8.0,17.0,6.0,3.0,,162.0,1.0,6.0,186.0,838.0,9.0,6.0,25.0,12.0,507.0,18.0,3.0,6.0,2.0,1.0,1.0,2.0,32.0,605.0,72.0,76359,4.0,209.0,1.0,4.0,235.0,4.0,3.0,17.0,12.0,54.0,3.0,,1.0,7.0,2.0,11.0,4.0,6.0,,55.0,529.0,13.0,7.0,11.0,78.0,,,0.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,64.7,27.0,7.0,4.0,7.0,4.0,56.0,5.0,634.0,12.0,16.0,14.0,2.0,26.0,1.0,412.0,14.0,10.0,17.0,134.0,22.0,3.0,6.0,14.0,1.0,12.0,3.0,21.0,3.0,7.0,5.0,,1.0,1.0,,1.0,,,,,,,,,,2.0,,,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
20,987788,2018-12-30 16:30:00,"Old Trafford, Manchester",74556,Home,Manchester United,Bournemouth,4,1,W,3,1,1,0,2.0,4.0,50.0,1.0,,3.0,33.0,20.0,2.0,2.0,9.0,2.0,,2.0,191.0,2.0,7.0,4.0,2.0,10.0,8.0,187.0,107.0,37.0,11.0,11.0,2.0,4.0,3.0,,11.0,9.0,1.0,2.0,20.0,4.0,18.0,38.0,,290.0,,0.0,155.0,10.0,,2.0,108.0,48.0,10.0,121.0,1.0,7.0,17.0,2.0,2.0,,107.0,5.0,4.0,182.0,854.0,6.0,6.0,26.0,7.0,607.0,19.0,3.0,9.0,4.0,2.0,2.0,,21.0,665.0,52.0,76359,3.0,330.0,2.0,5.0,347.0,8.0,3.0,17.0,6.0,35.0,8.0,,6.0,4.0,4.0,19.0,3.0,3.0,,54.0,618.0,7.0,6.0,7.0,76.0,,,0.0,2.0,5.0,2.0,4.0,1.0,3.0,1.0,4.0,,64.9,21.0,6.0,1.0,4.0,3.0,60.0,4.0,681.0,7.0,3.0,24.0,,27.0,,345.0,8.0,18.0,11.0,120.0,19.0,1.0,9.0,12.0,1.0,11.0,3.0,12.0,1.0,12.0,4.0,1.0,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,3.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,987799,2019-01-02 20:00:00,"St. James' Park, Newcastle",52217,Away,Manchester United,Newcastle United,2,0,W,0,0,0,0,2.0,2.0,58.0,,1.0,1.0,33.0,22.0,4.0,4.0,11.0,3.0,1.0,3.0,212.0,1.0,9.0,2.0,5.0,11.0,7.0,197.0,141.0,56.0,16.0,14.0,3.0,1.0,4.0,3.0,5.0,10.0,,2.0,22.0,2.0,10.0,34.0,2.0,338.0,,0.0,146.0,9.0,2.0,,147.0,62.0,5.0,74.0,1.0,4.0,19.0,5.0,1.0,1.0,141.0,3.0,8.0,204.0,884.0,9.0,5.0,28.0,10.0,578.0,16.0,6.0,8.0,1.0,2.0,3.0,6.0,24.0,667.0,66.0,76359,5.0,256.0,2.0,2.0,279.0,3.0,1.0,19.0,10.0,58.0,2.0,,,6.0,1.0,14.0,6.0,7.0,,57.0,593.0,10.0,9.0,18.0,75.0,,1.0,0.0,,1.0,2.0,2.0,,2.0,0.0,1.0,,65.1,23.0,1.0,2.0,6.0,3.0,58.0,2.0,687.0,10.0,24.0,17.0,6.0,21.0,1.0,413.0,11.0,10.0,22.0,101.0,33.0,4.0,8.0,15.0,,11.0,3.0,13.0,4.0,9.0,2.0,2.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,5.0,1.0,,1.0,,3.0,2.0,2.0,,1.0,1.0,3.0,,1.0,1.0,,2.0,,1.0,,1.0,2.0,1.0,,,3.0,1.0,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
22,987810,2019-01-13 16:30:00,"Wembley Stadium, London",80062,Away,Manchester United,Tottenham Hotspur,1,0,W,1,0,0,0,2.0,,65.0,,3.0,1.0,29.0,25.0,4.0,3.0,9.0,11.0,,4.0,143.0,2.0,14.0,1.0,,9.0,8.0,89.0,135.0,50.0,13.0,10.0,6.0,1.0,2.0,1.0,10.0,8.0,,1.0,25.0,4.0,6.0,44.0,,149.0,,0.0,116.0,8.0,4.0,,84.0,51.0,8.0,46.0,1.0,6.0,15.0,4.0,4.0,2.0,135.0,,12.0,85.0,556.0,7.0,10.0,18.0,7.0,255.0,26.0,4.0,8.0,1.0,2.0,4.0,1.0,21.0,334.0,59.0,76359,4.0,121.0,,2.0,140.0,3.0,1.0,15.0,11.0,45.0,1.0,,1.0,4.0,1.0,10.0,9.0,5.0,,73.0,268.0,8.0,8.0,23.0,71.0,,1.0,0.0,1.0,7.0,8.0,1.0,,2.0,0.0,1.0,,38.8,20.0,3.0,3.0,4.0,2.0,33.0,4.0,363.0,7.0,14.0,21.0,3.0,17.0,,233.0,9.0,5.0,14.0,72.0,26.0,2.0,8.0,15.0,,11.0,3.0,19.0,2.0,9.0,4.0,,,3.0,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,2.0,1.0,,2.0,1.0,3.0,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
23,987817,2019-01-19 15:00:00,"Old Trafford, Manchester",74532,Home,Manchester United,Brighton and Hove Albion,2,1,W,2,0,0,0,1.0,1.0,55.0,2.0,1.0,3.0,24.0,17.0,6.0,1.0,12.0,2.0,,2.0,149.0,3.0,8.0,2.0,5.0,14.0,5.0,132.0,119.0,50.0,20.0,21.0,2.0,1.0,2.0,4.0,16.0,9.0,,1.0,17.0,5.0,9.0,26.0,,242.0,1.0,0.0,135.0,11.0,,1.0,109.0,41.0,6.0,70.0,1.0,11.0,22.0,8.0,4.0,4.0,119.0,2.0,5.0,156.0,688.0,10.0,6.0,22.0,5.0,417.0,21.0,5.0,8.0,1.0,1.0,1.0,8.0,20.0,487.0,47.0,76359,9.0,192.0,2.0,6.0,216.0,4.0,2.0,22.0,6.0,52.0,1.0,,1.0,7.0,1.0,8.0,2.0,3.0,1.0,39.0,431.0,11.0,4.0,7.0,62.0,1.0,2.0,0.0,,5.0,1.0,2.0,1.0,,0.0,,1.0,56.0,16.0,4.0,1.0,7.0,6.0,44.0,6.0,507.0,5.0,10.0,11.0,9.0,27.0,2.0,307.0,17.0,8.0,20.0,105.0,21.0,2.0,8.0,12.0,1.0,12.0,3.0,15.0,2.0,11.0,6.0,,1.0,,,1.0,,,,3.0,2.0,2.0,,,,5.0,1.0,,,,2.0,3.0,,,3.0,1.0,2.0,,,,,,,1.0,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,1.0,,,
24,987826,2019-01-29 20:00:00,"Old Trafford, Manchester",74529,Home,Manchester United,Burnley,2,2,D,0,0,0,0,1.0,2.0,47.0,,2.0,4.0,41.0,16.0,13.0,10.0,15.0,2.0,1.0,4.0,179.0,6.0,6.0,2.0,3.0,20.0,9.0,181.0,145.0,36.0,28.0,25.0,3.0,,1.0,,34.0,2.0,,4.0,16.0,7.0,7.0,54.0,1.0,307.0,1.0,0.0,237.0,10.0,,1.0,78.0,89.0,11.0,94.0,1.0,29.0,17.0,13.0,10.0,5.0,145.0,1.0,3.0,196.0,842.0,18.0,6.0,40.0,9.0,546.0,23.0,2.0,5.0,,1.0,1.0,9.0,24.0,627.0,50.0,76359,10.0,267.0,1.0,18.0,288.0,4.0,1.0,17.0,4.0,50.0,2.0,1.0,2.0,3.0,,16.0,3.0,3.0,1.0,61.0,568.0,8.0,3.0,5.0,53.0,3.0,,0.0,3.0,3.0,,2.0,2.0,1.0,0.0,,,74.4,23.0,3.0,1.0,3.0,8.0,42.0,11.0,650.0,9.0,10.0,24.0,11.0,66.0,3.0,396.0,12.0,7.0,19.0,184.0,18.0,,5.0,3.0,2.0,15.0,2.0,9.0,,6.0,11.0,,1.0,1.0,,8.0,,,,2.0,5.0,3.0,,,,6.0,,,,,1.0,4.0,1.0,,2.0,1.0,1.0,,1.0,,,,2.0,1.0,,,,5.0,,,2.0,,2.0,,,2.0,,,,,,1.0,2.0,2.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,
25,987838,2019-02-03 14:05:00,"King Power Stadium, Leicester",32148,Away,Manchester United,Leicester City,1,0,W,1,0,0,0,4.0,1.0,65.0,,3.0,1.0,41.0,22.0,2.0,4.0,8.0,6.0,,1.0,175.0,4.0,17.0,1.0,1.0,9.0,6.0,132.0,141.0,53.0,10.0,8.0,4.0,1.0,,1.0,10.0,11.0,,1.0,22.0,,14.0,45.0,,226.0,,0.0,152.0,9.0,1.0,,101.0,59.0,7.0,93.0,3.0,10.0,19.0,2.0,2.0,,141.0,2.0,11.0,132.0,736.0,7.0,3.0,16.0,15.0,411.0,25.0,5.0,8.0,1.0,4.0,3.0,2.0,30.0,503.0,52.0,76359,2.0,210.0,1.0,7.0,237.0,3.0,1.0,19.0,10.0,41.0,1.0,,1.0,5.0,1.0,15.0,6.0,7.0,,70.0,432.0,12.0,13.0,15.0,74.0,2.0,,0.0,,7.0,3.0,1.0,,,0.0,1.0,2.0,55.2,24.0,7.0,3.0,6.0,2.0,47.0,2.0,532.0,15.0,9.0,19.0,2.0,20.0,,305.0,5.0,12.0,8.0,103.0,23.0,1.0,8.0,16.0,,9.0,3.0,20.0,1.0,10.0,2.0,,,2.0,,,,,,1.0,1.0,1.0,,,,2.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,4.0,,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,987844,2019-02-09 12:30:00,"Craven Cottage, London",25001,Away,Manchester United,Fulham,3,0,W,2,0,0,0,2.0,1.0,67.0,2.0,2.0,2.0,34.0,28.0,4.0,4.0,11.0,3.0,1.0,2.0,171.0,1.0,14.0,3.0,5.0,10.0,7.0,124.0,162.0,61.0,15.0,13.0,3.0,2.0,2.0,1.0,19.0,4.0,,1.0,28.0,4.0,13.0,37.0,,238.0,1.0,0.0,172.0,9.0,3.0,2.0,79.0,70.0,7.0,69.0,1.0,15.0,27.0,4.0,6.0,1.0,162.0,,8.0,119.0,697.0,8.0,7.0,44.0,4.0,356.0,25.0,6.0,15.0,2.0,2.0,5.0,3.0,20.0,454.0,58.0,76359,7.0,141.0,1.0,6.0,165.0,4.0,2.0,27.0,13.0,54.0,1.0,,3.0,4.0,2.0,15.0,7.0,10.0,1.0,69.0,378.0,14.0,13.0,31.0,83.0,1.0,,0.0,1.0,5.0,1.0,3.0,,2.0,0.0,1.0,2.0,48.8,19.0,5.0,1.0,4.0,4.0,52.0,4.0,483.0,4.0,15.0,27.0,4.0,29.0,,337.0,9.0,11.0,22.0,123.0,29.0,2.0,15.0,11.0,,12.0,3.0,18.0,2.0,13.0,4.0,,,,,1.0,,,,,2.0,2.0,,,,3.0,1.0,,,,,2.0,1.0,,,3.0,,,1.0,,2.0,,,2.0,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
