gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attGoalLowRight,goalAssistOpenplay,attMissLeft,cleanSheet,attOboxGoal,midfielderGoals,goodHighClaim,interceptionsInBox,goalAssist,errorLeadToShot,attSetpiece,attRfGoal,shieldBallOop,attBxLeft,clearanceOffLine,totalHighClaim,effectiveBlockedCross,blockedCross,goalsConcededObox,attBxRight,ptsGainedLosingPos,defenderGoals,punches,foulThrowIn,attIboxBlocked,attLfGoal,attMissHighRight,accurateFreekickCross,attSvLowRight,goalAssistIntentional,shotFastbreak,goalFastbreak,attOneOnOne,penaltyWon,totalFastbreak,attSvHighLeft,secondYellow,contentiousDecision,attHdTarget,attMissHighLeft,attPenGoal,attFastbreak,attGoalLowCentre,attCmissRight,attGoalHighLeft,attCmissLeft,attFreekickGoal,attFreekickMiss,forwardGoals,goalAssistSetplay,goalAssistDeadball,attSvHighRight,postScoringAtt,attIboxPost,attHdPost,attPostHigh,ptsDroppedWinningPos,attCmissHigh,attSvHighCentre,sixYardBlock,attObxRight,attGoalHighRight,attCmissHighRight,attPostRight,errorLeadToGoal,attPenTarget,attFreekickTarget,accuratePullBack,attGoalHighCentre,attLgCentre
11,987694,2018-11-03 15:00:00,"Cardiff City Stadium, Cardiff",30877,Away,Leicester City,Cardiff City,1,0,W,0,0,0,0,1.0,1.0,42.0,,1.0,24.0,38.0,3.0,3.0,10.0,2.0,3.0,163.0,7.0,5.0,1.0,3.0,8.0,5.0,91.0,153.0,63.0,,13.0,2.0,32.0,4.0,1.0,4.0,27.0,6.0,,38.0,10.0,3.0,26.0,165.0,0.0,118.0,12.0,,,1.0,81.0,55.0,4.0,58.0,,17.0,14.0,3.0,,4.0,1.0,153.0,3.0,8.0,91.0,616.0,4.0,8.0,29.0,1.0,10.0,286.0,11.0,10.0,18.0,1.0,2.0,1.0,4.0,20.0,373.0,49.0,1.0,95658,6.0,147.0,4.0,12.0,,172.0,6.0,1.0,14.0,10.0,60.0,1.0,3.0,3.0,1.0,15.0,3.0,6.0,,55.0,305.0,12.0,4.0,3.0,27.0,,69.0,0.0,,6.0,1.0,1.0,,1.0,0.0,3.0,3.0,59.9,16.0,3.0,2.0,3.0,4.0,33.0,12.0,,403.0,,10.0,5.0,13.0,4.0,33.0,4.0,3.0,258.0,6.0,3.0,35.0,76.0,23.0,18.0,11.0,,,8.0,3.0,13.0,6.0,12.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,,,1.0,3.0,3.0,,2.0,,,,,2.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
12,987707,2018-11-10 15:00:00,"King Power Stadium, Leicester",32184,Home,Leicester City,Burnley,0,0,D,0,0,0,0,1.0,,66.0,,,29.0,17.0,8.0,7.0,13.0,1.0,4.0,165.0,10.0,9.0,,1.0,16.0,5.0,130.0,165.0,61.0,1.0,22.0,5.0,26.0,3.0,,2.0,42.0,7.0,2.0,17.0,11.0,15.0,37.0,196.0,0.0,143.0,13.0,2.0,3.0,,87.0,72.0,10.0,69.0,1.0,32.0,19.0,9.0,1.0,13.0,2.0,165.0,2.0,3.0,115.0,690.0,13.0,6.0,31.0,1.0,7.0,363.0,30.0,3.0,11.0,,2.0,2.0,6.0,34.0,458.0,54.0,,95463,7.0,191.0,2.0,19.0,,226.0,5.0,,19.0,4.0,51.0,,1.0,6.0,,17.0,3.0,2.0,1.0,65.0,377.0,9.0,4.0,3.0,22.0,,65.0,0.0,,1.0,1.0,,,1.0,0.0,8.0,5.0,63.0,30.0,4.0,3.0,6.0,8.0,31.0,12.0,,479.0,,7.0,3.0,21.0,9.0,45.0,3.0,6.0,295.0,9.0,12.0,30.0,104.0,24.0,11.0,13.0,,,14.0,3.0,15.0,4.0,12.0,1.0,,,5.0,1.0,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,2.0,,,,,3.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,3.0,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,
13,987713,2018-11-24 15:00:00,"American Express Stadium, Falmer",30553,Away,Leicester City,Brighton and Hove Albion,1,1,D,0,1,1,0,,1.0,50.0,,,28.0,20.0,2.0,4.0,6.0,2.0,,147.0,3.0,6.0,1.0,4.0,5.0,3.0,85.0,152.0,55.0,,8.0,1.0,10.0,2.0,,1.0,12.0,12.0,,20.0,1.0,5.0,33.0,132.0,0.0,106.0,7.0,1.0,,1.0,37.0,69.0,2.0,60.0,2.0,11.0,24.0,2.0,,1.0,1.0,152.0,,9.0,77.0,579.0,2.0,6.0,20.0,,15.0,258.0,18.0,5.0,12.0,,1.0,3.0,3.0,34.0,347.0,50.0,,95463,4.0,145.0,,9.0,,162.0,2.0,1.0,24.0,6.0,43.0,,1.0,1.0,,17.0,5.0,4.0,1.0,59.0,274.0,9.0,8.0,3.0,22.0,,67.0,0.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,45.4,29.0,2.0,3.0,1.0,2.0,33.0,1.0,,369.0,,15.0,8.0,18.0,3.0,24.0,,2.0,219.0,2.0,5.0,23.0,63.0,26.0,12.0,17.0,,1.0,4.0,3.0,17.0,14.0,1.0,2.0,,,,,,,,1.0,,1.0,2.0,1.0,1.0,,,,4.0,4.0,,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
14,987727,2018-12-01 15:00:00,"King Power Stadium, Leicester",31353,Home,Leicester City,Watford,2,0,W,2,0,0,1,1.0,1.0,53.0,1.0,,24.0,48.0,3.0,,4.0,,1.0,128.0,1.0,12.0,2.0,2.0,4.0,3.0,62.0,137.0,69.0,,7.0,1.0,11.0,,,,11.0,16.0,1.0,48.0,2.0,3.0,30.0,107.0,0.0,99.0,7.0,,,,57.0,34.0,2.0,43.0,,9.0,17.0,3.0,,5.0,1.0,137.0,1.0,5.0,70.0,512.0,3.0,5.0,9.0,1.0,16.0,197.0,19.0,5.0,21.0,,2.0,2.0,2.0,20.0,279.0,48.0,1.0,95463,2.0,102.0,1.0,4.0,,126.0,3.0,,17.0,12.0,36.0,6.0,1.0,4.0,1.0,13.0,3.0,5.0,,67.0,208.0,6.0,6.0,,24.0,,61.0,0.0,2.0,8.0,,2.0,,1.0,0.0,1.0,,37.7,18.0,,,4.0,1.0,27.0,4.0,,303.0,,16.0,8.0,12.0,3.0,22.0,,1.0,188.0,7.0,3.0,24.0,51.0,26.0,21.0,27.0,,,6.0,3.0,18.0,7.0,4.0,,1.0,1.0,,1.0,,1.0,,3.0,1.0,,,2.0,,,,,3.0,3.0,,1.0,,,3.0,,,,2.0,,1.0,,1.0,1.0,,1.0,2.0,,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,
15,987735,2018-12-05 19:45:00,"Craven Cottage, London",22881,Away,Leicester City,Fulham,1,1,D,0,1,0,0,,,56.0,1.0,3.0,34.0,25.0,2.0,3.0,11.0,6.0,1.0,155.0,5.0,4.0,1.0,1.0,11.0,5.0,88.0,178.0,49.0,,13.0,,31.0,3.0,,3.0,21.0,5.0,1.0,25.0,7.0,4.0,40.0,104.0,0.0,108.0,7.0,2.0,,1.0,67.0,59.0,7.0,55.0,1.0,14.0,22.0,2.0,,3.0,1.0,178.0,1.0,15.0,87.0,591.0,7.0,8.0,16.0,,15.0,237.0,22.0,6.0,12.0,,0.0,7.0,4.0,32.0,352.0,68.0,1.0,95463,8.0,159.0,1.0,10.0,,189.0,4.0,,22.0,11.0,54.0,2.0,2.0,3.0,1.0,14.0,10.0,3.0,2.0,87.0,258.0,12.0,9.0,3.0,29.0,,87.0,0.0,1.0,10.0,3.0,1.0,1.0,2.0,0.0,2.0,4.0,54.5,21.0,3.0,1.0,3.0,2.0,32.0,8.0,,385.0,,15.0,5.0,14.0,6.0,33.0,3.0,5.0,217.0,5.0,4.0,20.0,52.0,22.0,12.0,14.0,,1.0,7.0,3.0,6.0,5.0,8.0,2.0,,1.0,2.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,1.0,5.0,5.0,,2.0,1.0,,1.0,,2.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
16,987748,2018-12-08 19:45:00,"King Power Stadium, Leicester",31957,Home,Leicester City,Tottenham Hotspur,0,2,L,0,1,0,0,1.0,,67.0,,,47.0,18.0,8.0,5.0,3.0,,1.0,151.0,1.0,11.0,,1.0,8.0,3.0,93.0,156.0,46.0,,11.0,2.0,17.0,1.0,,,23.0,13.0,2.0,18.0,5.0,8.0,56.0,151.0,0.0,124.0,12.0,,2.0,1.0,71.0,50.0,4.0,72.0,1.0,18.0,22.0,8.0,,3.0,4.0,156.0,1.0,4.0,94.0,629.0,6.0,6.0,17.0,,13.0,310.0,26.0,6.0,8.0,,3.0,1.0,3.0,27.0,388.0,49.0,1.0,95658,1.0,177.0,1.0,14.0,,200.0,10.0,,22.0,8.0,63.0,6.0,3.0,3.0,,18.0,3.0,6.0,,65.0,327.0,7.0,12.0,1.0,12.0,,55.0,0.0,4.0,5.0,,,2.0,1.0,0.0,1.0,,42.2,24.0,,7.0,3.0,3.0,34.0,6.0,,410.0,,13.0,7.0,34.0,5.0,32.0,,1.0,233.0,5.0,8.0,9.0,86.0,27.0,8.0,20.0,,1.0,8.0,3.0,27.0,16.0,6.0,2.0,,,1.0,,,,1.0,2.0,,1.0,2.0,,1.0,2.0,,1.0,2.0,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
17,987753,2018-12-15 15:00:00,"Selhurst Park, London",24738,Away,Leicester City,Crystal Palace,0,1,L,0,1,0,0,,,73.0,,,47.0,9.0,4.0,6.0,8.0,,,174.0,5.0,9.0,,,7.0,2.0,131.0,185.0,62.0,,12.0,2.0,18.0,2.0,,1.0,25.0,9.0,,9.0,4.0,1.0,67.0,203.0,0.0,118.0,8.0,,1.0,,90.0,84.0,3.0,73.0,2.0,21.0,25.0,4.0,,12.0,2.0,185.0,1.0,4.0,117.0,717.0,6.0,10.0,16.0,1.0,13.0,366.0,31.0,4.0,6.0,,1.0,2.0,4.0,28.0,469.0,64.0,1.0,95658,7.0,190.0,1.0,9.0,,222.0,7.0,,25.0,10.0,62.0,1.0,3.0,2.0,,21.0,4.0,10.0,1.0,77.0,388.0,9.0,9.0,1.0,17.0,,87.0,0.0,1.0,4.0,,,1.0,2.0,0.0,3.0,2.0,56.7,22.0,1.0,3.0,2.0,3.0,60.0,4.0,,495.0,,13.0,17.0,36.0,7.0,35.0,2.0,5.0,298.0,4.0,1.0,20.0,78.0,37.0,6.0,24.0,,,10.0,3.0,19.0,8.0,4.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,3.0,3.0,1.0,,,,1.0,,1.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18,987765,2018-12-22 15:00:00,"Stamford Bridge, London",40558,Away,Leicester City,Chelsea,1,0,W,0,0,0,0,,,65.0,,3.0,37.0,37.0,5.0,1.0,3.0,5.0,2.0,127.0,5.0,8.0,1.0,4.0,6.0,3.0,41.0,145.0,59.0,,8.0,2.0,12.0,,,,20.0,14.0,2.0,37.0,5.0,2.0,39.0,111.0,0.0,88.0,9.0,2.0,1.0,2.0,49.0,46.0,4.0,38.0,1.0,15.0,24.0,5.0,,4.0,1.0,145.0,,11.0,56.0,499.0,5.0,7.0,16.0,,17.0,157.0,33.0,3.0,17.0,,2.0,4.0,2.0,16.0,227.0,49.0,1.0,95658,3.0,73.0,,9.0,,99.0,8.0,,24.0,15.0,52.0,1.0,2.0,2.0,1.0,20.0,6.0,11.0,,70.0,179.0,9.0,13.0,,18.0,,63.0,0.0,3.0,9.0,2.0,1.0,,1.0,0.0,4.0,1.0,27.9,12.0,1.0,6.0,2.0,3.0,33.0,5.0,,262.0,,17.0,6.0,23.0,2.0,28.0,1.0,1.0,183.0,6.0,2.0,19.0,59.0,15.0,17.0,23.0,,,7.0,2.0,20.0,14.0,5.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,8.0,8.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
19,987776,2018-12-26 15:00:00,"King Power Stadium, Leicester",32090,Home,Leicester City,Manchester City,2,1,W,1,1,0,1,,1.0,57.0,1.0,2.0,27.0,47.0,2.0,4.0,8.0,3.0,1.0,140.0,2.0,5.0,2.0,,8.0,5.0,61.0,138.0,61.0,,10.0,,15.0,3.0,,1.0,11.0,10.0,,47.0,3.0,3.0,46.0,110.0,0.0,94.0,5.0,,1.0,,58.0,44.0,4.0,45.0,2.0,8.0,11.0,2.0,,4.0,2.0,138.0,2.0,6.0,74.0,522.0,7.0,7.0,18.0,,8.0,215.0,33.0,6.0,22.0,,2.0,3.0,4.0,17.0,291.0,47.0,2.0,95658,1.0,120.0,2.0,4.0,,149.0,3.0,,11.0,11.0,49.0,3.0,1.0,4.0,1.0,13.0,5.0,4.0,1.0,66.0,228.0,8.0,11.0,,21.0,,54.0,0.0,3.0,7.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,33.9,15.0,,2.0,4.0,1.0,26.0,3.0,,320.0,,8.0,10.0,22.0,4.0,19.0,,2.0,182.0,5.0,3.0,26.0,55.0,10.0,22.0,22.0,1.0,1.0,8.0,3.0,13.0,5.0,3.0,2.0,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,4.0,,1.0,5.0,5.0,,1.0,3.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,987786,2018-12-29 15:00:00,"King Power Stadium, Leicester",32047,Home,Leicester City,Cardiff City,0,1,L,0,0,0,0,1.0,,53.0,,1.0,26.0,27.0,10.0,6.0,6.0,2.0,4.0,173.0,1.0,9.0,,5.0,11.0,7.0,104.0,174.0,75.0,1.0,16.0,5.0,23.0,3.0,,1.0,25.0,8.0,4.0,27.0,8.0,12.0,40.0,166.0,0.0,122.0,14.0,1.0,2.0,2.0,44.0,60.0,9.0,66.0,,17.0,17.0,10.0,1.0,5.0,1.0,174.0,1.0,4.0,105.0,671.0,8.0,8.0,20.0,,6.0,323.0,33.0,5.0,15.0,,0.0,6.0,2.0,29.0,420.0,60.0,1.0,95658,4.0,176.0,2.0,10.0,,212.0,7.0,,17.0,9.0,55.0,2.0,,3.0,,20.0,8.0,5.0,,61.0,341.0,16.0,5.0,3.0,20.0,,66.0,0.0,3.0,5.0,1.0,,1.0,,0.0,,2.0,62.2,24.0,2.0,2.0,3.0,6.0,35.0,10.0,,448.0,,6.0,6.0,15.0,3.0,39.0,1.0,2.0,261.0,8.0,12.0,31.0,75.0,13.0,15.0,19.0,,,11.0,3.0,18.0,5.0,10.0,3.0,,,,,,,,1.0,,2.0,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,,3.0,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,
21,987796,2019-01-01 12:30:00,"Goodison Park, Liverpool",39052,Away,Leicester City,Everton,1,0,W,0,0,0,0,2.0,1.0,90.0,,,25.0,34.0,4.0,4.0,4.0,2.0,1.0,167.0,3.0,16.0,1.0,2.0,7.0,4.0,75.0,195.0,78.0,,8.0,,32.0,1.0,1.0,1.0,13.0,14.0,2.0,34.0,5.0,5.0,26.0,111.0,0.0,116.0,8.0,,1.0,1.0,73.0,29.0,5.0,48.0,,8.0,29.0,4.0,,1.0,2.0,195.0,1.0,14.0,76.0,611.0,6.0,7.0,16.0,,13.0,232.0,48.0,7.0,18.0,1.0,1.0,8.0,2.0,28.0,345.0,49.0,1.0,95658,1.0,133.0,,6.0,,171.0,4.0,,29.0,12.0,62.0,2.0,2.0,3.0,1.0,19.0,3.0,4.0,1.0,77.0,241.0,5.0,6.0,,37.0,,79.0,0.0,7.0,6.0,2.0,1.0,,2.0,0.0,2.0,1.0,40.4,14.0,,4.0,3.0,1.0,31.0,5.0,,366.0,,13.0,12.0,15.0,3.0,20.0,1.0,1.0,208.0,3.0,3.0,31.0,65.0,30.0,18.0,26.0,,,7.0,2.0,22.0,16.0,5.0,1.0,1.0,1.0,,1.0,,,,3.0,1.0,2.0,,,,3.0,,,6.0,6.0,,,,,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
22,987808,2019-01-12 15:00:00,"King Power Stadium, Leicester",31491,Home,Leicester City,Southampton,1,2,L,0,2,0,1,,1.0,54.0,,,42.0,6.0,14.0,7.0,9.0,1.0,2.0,186.0,7.0,11.0,1.0,5.0,19.0,6.0,150.0,198.0,53.0,1.0,23.0,7.0,29.0,3.0,,,43.0,6.0,2.0,6.0,8.0,7.0,50.0,333.0,0.0,257.0,7.0,1.0,1.0,3.0,105.0,109.0,13.0,70.0,1.0,35.0,16.0,14.0,1.0,15.0,5.0,198.0,1.0,7.0,146.0,790.0,15.0,8.0,38.0,,11.0,426.0,21.0,3.0,5.0,,2.0,2.0,6.0,44.0,532.0,82.0,,95658,7.0,112.0,1.0,17.0,1.0,136.0,5.0,2.0,16.0,5.0,57.0,3.0,4.0,1.0,1.0,19.0,1.0,3.0,2.0,71.0,438.0,9.0,4.0,3.0,20.0,,60.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,5.0,4.0,71.7,40.0,3.0,1.0,2.0,9.0,34.0,10.0,1.0,552.0,1.0,11.0,7.0,23.0,8.0,55.0,2.0,3.0,459.0,12.0,4.0,24.0,197.0,29.0,5.0,10.0,,2.0,17.0,3.0,21.0,4.0,10.0,2.0,1.0,1.0,2.0,,,1.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,2.0,1.0,3.0,,3.0,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,2.0,,
23,987821,2019-01-19 12:30:00,"Molineux Stadium, Wolverhampton",31278,Away,Leicester City,Wolverhampton Wanderers,3,4,L,0,2,0,0,,,63.0,1.0,1.0,25.0,19.0,5.0,3.0,11.0,3.0,2.0,160.0,3.0,17.0,3.0,2.0,11.0,6.0,113.0,180.0,76.0,,16.0,3.0,31.0,3.0,,3.0,22.0,5.0,1.0,19.0,9.0,3.0,56.0,181.0,0.0,145.0,10.0,2.0,,2.0,99.0,74.0,9.0,60.0,3.0,13.0,22.0,5.0,,5.0,1.0,180.0,,9.0,114.0,667.0,8.0,10.0,33.0,,10.0,308.0,21.0,3.0,11.0,,3.0,2.0,2.0,28.0,423.0,62.0,,95658,3.0,149.0,1.0,6.0,,173.0,6.0,1.0,22.0,3.0,65.0,,,8.0,1.0,15.0,3.0,2.0,1.0,58.0,327.0,11.0,5.0,1.0,12.0,,72.0,0.0,,5.0,2.0,3.0,4.0,2.0,0.0,2.0,2.0,54.4,22.0,1.0,7.0,8.0,5.0,32.0,9.0,,447.0,,10.0,12.0,22.0,5.0,35.0,1.0,4.0,296.0,11.0,3.0,34.0,84.0,21.0,11.0,14.0,1.0,4.0,13.0,3.0,25.0,11.0,9.0,2.0,,1.0,1.0,,,1.0,,1.0,2.0,,2.0,1.0,2.0,2.0,,,2.0,2.0,,2.0,,1.0,,,2.0,,,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,1.0,,3.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,
24,987828,2019-01-30 20:00:00,"Anfield, Liverpool",53092,Away,Leicester City,Liverpool,1,1,D,1,1,0,0,,1.0,62.0,1.0,,17.0,48.0,,2.0,5.0,2.0,,145.0,3.0,16.0,1.0,2.0,3.0,2.0,64.0,152.0,65.0,,5.0,,15.0,1.0,,1.0,13.0,15.0,,48.0,1.0,4.0,27.0,102.0,0.0,82.0,6.0,2.0,,3.0,56.0,41.0,2.0,39.0,1.0,12.0,15.0,,,2.0,,152.0,2.0,7.0,53.0,506.0,2.0,6.0,17.0,,16.0,185.0,31.0,5.0,23.0,,3.0,2.0,1.0,17.0,271.0,49.0,,95658,2.0,97.0,1.0,7.0,,126.0,5.0,,15.0,10.0,47.0,4.0,3.0,1.0,,9.0,3.0,2.0,,56.0,196.0,11.0,11.0,,17.0,,61.0,0.0,3.0,7.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,27.9,10.0,1.0,1.0,1.0,1.0,23.0,1.0,,301.0,,16.0,11.0,12.0,2.0,21.0,,2.0,188.0,2.0,2.0,19.0,43.0,25.0,23.0,19.0,,1.0,2.0,3.0,20.0,10.0,1.0,1.0,,,1.0,,,,,2.0,1.0,,3.0,1.0,1.0,1.0,,,2.0,2.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,987838,2019-02-03 14:05:00,"King Power Stadium, Leicester",32148,Home,Leicester City,Manchester United,0,1,L,0,1,0,0,2.0,,71.0,,1.0,26.0,15.0,6.0,4.0,11.0,5.0,2.0,146.0,8.0,13.0,,3.0,10.0,6.0,106.0,141.0,41.0,2.0,17.0,1.0,8.0,3.0,,4.0,23.0,7.0,3.0,15.0,6.0,7.0,38.0,211.0,0.0,156.0,14.0,2.0,1.0,1.0,79.0,48.0,3.0,57.0,6.0,17.0,19.0,6.0,2.0,5.0,2.0,141.0,1.0,8.0,109.0,613.0,7.0,7.0,34.0,,12.0,315.0,36.0,4.0,9.0,,4.0,2.0,7.0,21.0,401.0,42.0,,95658,6.0,124.0,1.0,11.0,,146.0,8.0,1.0,19.0,7.0,53.0,2.0,,3.0,,16.0,2.0,3.0,1.0,53.0,327.0,8.0,17.0,3.0,19.0,,51.0,0.0,2.0,2.0,4.0,,1.0,3.0,0.0,5.0,3.0,44.8,20.0,3.0,5.0,3.0,3.0,27.0,7.0,,418.0,,12.0,9.0,24.0,8.0,34.0,3.0,6.0,295.0,10.0,7.0,8.0,116.0,25.0,9.0,12.0,,1.0,10.0,3.0,20.0,8.0,7.0,4.0,,,,,,,,1.0,,1.0,2.0,,,2.0,,,1.0,1.0,,,,,,,2.0,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,
26,987849,2019-02-10 13:30:00,"Wembley Stadium, London",44154,Away,Leicester City,Tottenham Hotspur,1,3,L,0,1,0,0,,1.0,58.0,,1.0,37.0,19.0,3.0,7.0,17.0,2.0,4.0,159.0,12.0,10.0,1.0,2.0,19.0,9.0,95.0,128.0,53.0,,20.0,1.0,15.0,6.0,,1.0,22.0,8.0,2.0,19.0,7.0,2.0,42.0,205.0,0.0,158.0,4.0,,4.0,1.0,98.0,66.0,10.0,68.0,3.0,15.0,18.0,3.0,,3.0,,128.0,4.0,5.0,115.0,625.0,12.0,2.0,37.0,,15.0,336.0,26.0,2.0,13.0,,1.0,5.0,9.0,20.0,411.0,59.0,2.0,95658,10.0,159.0,4.0,11.0,,178.0,3.0,1.0,18.0,4.0,41.0,5.0,5.0,1.0,1.0,9.0,7.0,2.0,1.0,67.0,352.0,9.0,8.0,6.0,14.0,,62.0,0.0,1.0,2.0,1.0,1.0,3.0,,0.0,5.0,7.0,46.9,16.0,4.0,,1.0,2.0,32.0,9.0,,437.0,,15.0,9.0,25.0,9.0,29.0,7.0,9.0,281.0,6.0,2.0,22.0,112.0,30.0,13.0,12.0,,1.0,13.0,3.0,15.0,6.0,9.0,1.0,,1.0,4.0,,,,,1.0,1.0,,1.0,,1.0,3.0,,,2.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,2.0,,,3.0,,,,1.0,3.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,
