gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,attGoalLowCentre,goals,fouledFinalThird,accuratePullBack,attCmissRight,attFreekickTotal,attSvLowCentre,attMissLeft,attOboxTarget,attSvHighLeft,interceptionsInBox,attMissRight,freekickTotal,hitWoodwork,goalAssist,sixYardBlock,attSetpiece,attObxdLeft,attRfGoal,totalPullBack,attCmissLeft,attFreekickTarget,attIboxGoal,goalsConceded,shieldBallOop,forwardGoals,goalsConcededIbox,goalsConcededObox,handBall,attLfGoal,attOboxGoal,freekickCross,secondYellow,accurateFreekickCross,defenderGoals,goalsOpenplay,attGoalHighLeft,foulThrowIn,ptsDroppedWinningPos,errorLeadToGoal,attLfTarget,attPenTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,goalFastbreak,attIboxPost,penaltyWon,totalFastbreak,midfielderGoals,goodHighClaim,attFastbreak,attPostHigh,goalAssistIntentional,totalHighClaim,attGoalLowLeft,attSvHighRight,attLgCentre,accurateThroughBall,penaltyConceded,attPenGoal,penaltyFaced,penGoalsConceded,ownGoals,clearanceOffLine,attIboxOwnGoal,accurateKeeperSweeper,totalKeeperSweeper,attCmissHighLeft,attOneOnOne,attFreekickMiss,attPostLeft,attCorner,attGoalLowRight,contentiousDecision,attGoalHighRight,attFreekickGoal,attHdPost,attObxLeft,attCmissHighRight,attHdGoal,attObpGoal,attPostRight,ptsGainedLosingPos,penaltySave
11,987698,2018-11-04 15:00:00,"Etihad Stadium, Manchester",53916,Away,Southampton,Manchester City,1,6,L,1,4,0,0,44.0,1.0,1.0,33.0,19.0,3.0,3.0,9.0,3.0,4.0,117.0,8.0,6.0,8.0,6.0,85.0,110.0,48.0,13.0,1.0,16.0,3.0,2.0,20.0,6.0,19.0,4.0,5.0,27.0,164.0,1.0,,0.0,98.0,9.0,1.0,1.0,41.0,77.0,4.0,57.0,16.0,19.0,4.0,5.0,1.0,110.0,1.0,14.0,82.0,523.0,6.0,7.0,19.0,1.0,14.0,247.0,24.0,1.0,5.0,5.0,1.0,5.0,4.0,18.0,315.0,51.0,,96787,5.0,113.0,2.0,6.0,133.0,5.0,19.0,8.0,52.0,,1.0,1.0,2.0,13.0,5.0,7.0,1.0,61.0,269.0,12.0,15.0,2.0,20.0,64.0,1.0,,0.0,,4.0,2.0,3.0,0.0,5.0,2.0,32.7,18.0,1.0,3.0,,,2.0,2.0,45.0,4.0,341.0,14.0,5.0,11.0,5.0,24.0,3.0,4.0,228.0,8.0,5.0,11.0,64.0,13.0,1.0,5.0,19.0,9.0,3.0,13.0,1.0,9.0,4.0,1.0,,,1.0,5.0,,1.0,,2.0,1.0,2.0,1.0,3.0,1.0,,,,1.0,2.0,,1.0,,,,1.0,6.0,1.0,1.0,6.0,,,,,5.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,
12,987711,2018-11-10 15:00:00,"St. Mary's Stadium, Southampton",28153,Home,Southampton,Watford,1,1,D,1,0,0,0,56.0,1.0,3.0,20.0,37.0,7.0,8.0,7.0,5.0,,120.0,3.0,9.0,10.0,4.0,72.0,138.0,62.0,14.0,1.0,20.0,2.0,,17.0,11.0,37.0,7.0,5.0,19.0,127.0,,,0.0,98.0,13.0,4.0,1.0,51.0,59.0,6.0,40.0,10.0,21.0,7.0,1.0,5.0,138.0,2.0,8.0,73.0,527.0,8.0,6.0,19.0,1.0,19.0,198.0,25.0,1.0,8.0,13.0,3.0,3.0,4.0,21.0,285.0,53.0,,96787,7.0,86.0,1.0,6.0,106.0,5.0,21.0,3.0,48.0,1.0,,4.0,1.0,10.0,4.0,1.0,1.0,66.0,210.0,13.0,5.0,1.0,39.0,79.0,,2.0,0.0,1.0,6.0,4.0,,0.0,1.0,2.0,42.3,18.0,1.0,1.0,,2.0,1.0,4.0,35.0,7.0,305.0,19.0,6.0,7.0,6.0,19.0,2.0,1.0,216.0,3.0,4.0,24.0,56.0,26.0,1.0,13.0,17.0,8.0,3.0,14.0,1.0,15.0,7.0,1.0,,1.0,1.0,2.0,,,,,3.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,,,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,,3.0,,,,,,,2.0,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
13,987716,2018-11-24 15:00:00,"Craven Cottage, London",24603,Away,Southampton,Fulham,2,3,L,1,2,0,0,60.0,,1.0,36.0,11.0,9.0,4.0,10.0,2.0,3.0,185.0,7.0,10.0,12.0,8.0,170.0,178.0,56.0,19.0,4.0,21.0,3.0,,33.0,13.0,11.0,5.0,9.0,43.0,257.0,1.0,,0.0,173.0,6.0,1.0,,104.0,68.0,6.0,76.0,28.0,10.0,9.0,6.0,1.0,178.0,1.0,8.0,169.0,819.0,8.0,5.0,32.0,,7.0,466.0,26.0,1.0,7.0,5.0,3.0,2.0,6.0,31.0,582.0,81.0,,96787,8.0,230.0,2.0,18.0,256.0,1.0,10.0,4.0,57.0,1.0,,1.0,10.0,9.0,2.0,1.0,1.0,87.0,480.0,10.0,11.0,3.0,32.0,90.0,2.0,,0.0,,2.0,2.0,1.0,0.0,5.0,3.0,62.8,29.0,3.0,1.0,1.0,1.0,10.0,5.0,38.0,5.0,600.0,7.0,13.0,18.0,6.0,43.0,2.0,5.0,377.0,12.0,7.0,17.0,113.0,22.0,1.0,5.0,19.0,13.0,2.0,17.0,1.0,3.0,5.0,,,1.0,2.0,3.0,,,,3.0,3.0,3.0,,,,,,1.0,1.0,2.0,,2.0,,,,1.0,3.0,,,3.0,,1.0,,1.0,4.0,,2.0,,2.0,,,3.0,,3.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
14,987731,2018-12-01 17:30:00,"St. Mary's Stadium, Southampton",30187,Home,Southampton,Manchester United,2,2,D,2,2,0,0,57.0,1.0,1.0,16.0,23.0,11.0,6.0,5.0,3.0,3.0,136.0,4.0,9.0,8.0,6.0,90.0,132.0,51.0,16.0,3.0,26.0,1.0,1.0,13.0,14.0,23.0,3.0,4.0,21.0,198.0,1.0,,0.0,127.0,12.0,1.0,1.0,56.0,76.0,6.0,45.0,10.0,12.0,11.0,,4.0,132.0,,7.0,87.0,560.0,6.0,4.0,20.0,,16.0,265.0,21.0,1.0,3.0,11.0,4.0,2.0,2.0,11.0,329.0,49.0,1.0,93100,2.0,84.0,,9.0,101.0,10.0,12.0,9.0,72.0,,3.0,,1.0,15.0,4.0,1.0,2.0,56.0,278.0,13.0,10.0,1.0,25.0,59.0,,1.0,0.0,2.0,5.0,2.0,1.0,0.0,3.0,1.0,40.3,9.0,1.0,2.0,2.0,1.0,1.0,4.0,27.0,3.0,358.0,16.0,13.0,9.0,6.0,19.0,1.0,2.0,270.0,9.0,4.0,9.0,93.0,26.0,3.0,11.0,20.0,10.0,2.0,20.0,3.0,6.0,3.0,,,,2.0,4.0,,1.0,4.0,2.0,1.0,3.0,,1.0,1.0,4.0,,1.0,,,,2.0,1.0,,1.0,1.0,2.0,,1.0,2.0,,,,1.0,1.0,,,,1.0,1.0,,2.0,,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,,2.0,,,,1.0,,,,,,,,
15,987741,2018-12-05 20:00:00,"Wembley Stadium, London",33012,Away,Southampton,Tottenham Hotspur,1,3,L,0,1,0,0,55.0,2.0,3.0,24.0,21.0,4.0,4.0,13.0,5.0,3.0,149.0,8.0,7.0,14.0,5.0,125.0,138.0,39.0,18.0,1.0,23.0,2.0,1.0,26.0,10.0,21.0,5.0,5.0,39.0,244.0,,,0.0,163.0,5.0,2.0,,83.0,77.0,6.0,78.0,21.0,24.0,5.0,7.0,2.0,138.0,2.0,10.0,121.0,660.0,10.0,5.0,30.0,,9.0,372.0,20.0,1.0,5.0,10.0,0.0,2.0,8.0,21.0,452.0,84.0,,96787,9.0,145.0,2.0,12.0,158.0,3.0,24.0,4.0,41.0,,1.0,2.0,2.0,12.0,3.0,,,64.0,381.0,7.0,4.0,3.0,25.0,74.0,1.0,1.0,0.0,1.0,8.0,3.0,1.0,0.0,5.0,5.0,47.9,17.0,4.0,2.0,2.0,,2.0,4.0,36.0,6.0,473.0,9.0,4.0,19.0,9.0,39.0,3.0,6.0,341.0,9.0,4.0,10.0,104.0,27.0,2.0,10.0,15.0,12.0,3.0,12.0,2.0,8.0,6.0,1.0,,1.0,1.0,2.0,,2.0,,2.0,2.0,2.0,,2.0,5.0,,3.0,1.0,,,,1.0,1.0,,,1.0,3.0,,,3.0,,,,,2.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
16,987745,2018-12-08 15:00:00,"Cardiff City Stadium, Cardiff",30067,Away,Southampton,Cardiff City,0,1,L,0,0,0,0,55.0,,,24.0,34.0,6.0,2.0,5.0,3.0,,189.0,4.0,4.0,8.0,1.0,96.0,168.0,50.0,12.0,5.0,25.0,1.0,,16.0,11.0,34.0,6.0,8.0,24.0,190.0,1.0,,0.0,134.0,10.0,3.0,1.0,59.0,48.0,5.0,62.0,10.0,16.0,7.0,4.0,2.0,168.0,,12.0,101.0,650.0,5.0,10.0,18.0,1.0,15.0,318.0,17.0,1.0,10.0,19.0,2.0,1.0,3.0,32.0,424.0,69.0,,96787,4.0,146.0,,4.0,175.0,4.0,16.0,12.0,61.0,,2.0,,5.0,16.0,1.0,5.0,2.0,63.0,332.0,7.0,15.0,3.0,32.0,83.0,,1.0,0.0,4.0,7.0,3.0,6.0,0.0,4.0,2.0,63.8,25.0,1.0,4.0,1.0,,5.0,5.0,41.0,7.0,448.0,15.0,7.0,14.0,6.0,35.0,,4.0,289.0,8.0,8.0,21.0,84.0,28.0,,19.0,17.0,5.0,3.0,10.0,,5.0,7.0,,,,,3.0,,1.0,2.0,,1.0,,,3.0,1.0,2.0,1.0,,,3.0,,,1.0,1.0,,,1.0,,,1.0,,,,,2.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,
17,987758,2018-12-16 13:30:00,"St. Mary's Stadium, Southampton",29497,Home,Southampton,Arsenal,3,2,W,2,1,0,0,63.0,,,12.0,20.0,7.0,2.0,5.0,2.0,2.0,131.0,4.0,4.0,11.0,7.0,70.0,131.0,41.0,12.0,4.0,8.0,1.0,,14.0,13.0,20.0,3.0,3.0,19.0,130.0,,,0.0,99.0,12.0,2.0,,53.0,37.0,10.0,47.0,11.0,26.0,7.0,1.0,,131.0,2.0,7.0,69.0,519.0,5.0,7.0,17.0,1.0,15.0,222.0,20.0,1.0,1.0,8.0,3.0,5.0,1.0,22.0,293.0,51.0,,93100,4.0,108.0,,8.0,135.0,6.0,26.0,7.0,39.0,,1.0,2.0,4.0,17.0,6.0,2.0,,52.0,234.0,9.0,5.0,3.0,28.0,60.0,2.0,,0.0,,5.0,2.0,4.0,0.0,3.0,5.0,33.8,18.0,1.0,5.0,,,4.0,4.0,27.0,4.0,317.0,15.0,11.0,11.0,1.0,19.0,1.0,1.0,196.0,5.0,3.0,8.0,67.0,31.0,4.0,8.0,20.0,9.0,3.0,8.0,4.0,12.0,4.0,2.0,,1.0,3.0,2.0,,,,1.0,,3.0,1.0,2.0,,,,3.0,,1.0,,,,,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,,2.0,,1.0,,3.0,,,,,1.0,,1.0,,3.0,,,,1.0,,1.0,1.0,,3.0,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,3.0,,,,
18,987767,2018-12-22 15:00:00,"Accu Stadium, Huddersfield",22384,Away,Southampton,Huddersfield Town,3,1,W,2,0,0,0,66.0,1.0,,16.0,46.0,7.0,3.0,6.0,4.0,2.0,151.0,1.0,13.0,10.0,6.0,62.0,162.0,53.0,13.0,1.0,36.0,1.0,1.0,5.0,9.0,46.0,1.0,8.0,33.0,123.0,2.0,,0.0,103.0,9.0,1.0,,56.0,27.0,6.0,32.0,4.0,11.0,7.0,1.0,4.0,162.0,4.0,8.0,84.0,554.0,8.0,9.0,22.0,,12.0,198.0,22.0,,6.0,26.0,3.0,6.0,4.0,28.0,299.0,56.0,,93100,3.0,93.0,2.0,3.0,123.0,4.0,11.0,8.0,61.0,,2.0,1.0,3.0,12.0,8.0,5.0,1.0,61.0,215.0,11.0,2.0,,27.0,78.0,2.0,,0.0,3.0,8.0,3.0,2.0,0.0,1.0,,37.7,16.0,,4.0,2.0,,3.0,1.0,27.0,2.0,329.0,12.0,12.0,11.0,6.0,18.0,,2.0,211.0,10.0,7.0,17.0,56.0,30.0,4.0,26.0,12.0,10.0,3.0,17.0,4.0,5.0,2.0,3.0,,,3.0,2.0,1.0,,,1.0,1.0,2.0,,2.0,2.0,,,2.0,,,,3.0,1.0,,,3.0,1.0,,2.0,,1.0,,,,,,,,2.0,,,,1.0,1.0,,1.0,,2.0,,,1.0,1.0,,1.0,1.0,,2.0,1.0,2.0,,,2.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,
19,987779,2018-12-27 19:45:00,"St. Mary's Stadium, Southampton",31654,Home,Southampton,West Ham United,1,2,L,0,0,0,0,71.0,1.0,2.0,19.0,31.0,4.0,5.0,7.0,3.0,2.0,181.0,3.0,17.0,7.0,5.0,77.0,155.0,61.0,11.0,1.0,18.0,2.0,,17.0,16.0,31.0,4.0,6.0,21.0,172.0,,,0.0,134.0,10.0,2.0,1.0,87.0,37.0,5.0,47.0,13.0,29.0,4.0,2.0,1.0,155.0,1.0,9.0,104.0,640.0,7.0,9.0,23.0,,12.0,303.0,36.0,,9.0,13.0,2.0,5.0,2.0,23.0,391.0,69.0,,96787,2.0,145.0,2.0,11.0,168.0,4.0,29.0,10.0,70.0,,1.0,4.0,1.0,17.0,7.0,4.0,,54.0,314.0,3.0,22.0,,27.0,68.0,1.0,,0.0,2.0,6.0,2.0,3.0,0.0,3.0,,45.8,20.0,,7.0,2.0,1.0,1.0,3.0,39.0,4.0,409.0,12.0,11.0,9.0,3.0,27.0,,2.0,258.0,5.0,6.0,16.0,88.0,26.0,1.0,13.0,25.0,10.0,3.0,26.0,1.0,15.0,4.0,,,,1.0,,,1.0,,1.0,1.0,2.0,,,2.0,,,,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
20,987789,2018-12-30 14:15:00,"St. Mary's Stadium, Southampton",31381,Home,Southampton,Manchester City,1,3,L,1,3,1,0,49.0,,,20.0,33.0,2.0,,3.0,4.0,2.0,111.0,2.0,4.0,4.0,4.0,43.0,117.0,55.0,5.0,,17.0,1.0,,10.0,17.0,33.0,3.0,5.0,29.0,67.0,1.0,,0.0,49.0,11.0,2.0,1.0,30.0,39.0,2.0,30.0,7.0,9.0,2.0,2.0,,117.0,1.0,13.0,51.0,413.0,1.0,3.0,8.0,1.0,13.0,145.0,32.0,,8.0,17.0,2.0,4.0,1.0,12.0,213.0,31.0,1.0,96787,2.0,92.0,1.0,2.0,112.0,7.0,9.0,7.0,53.0,,1.0,,1.0,15.0,2.0,2.0,,52.0,157.0,10.0,14.0,2.0,22.0,54.0,1.0,,0.0,2.0,8.0,4.0,1.0,1.0,1.0,2.0,23.4,10.0,1.0,2.0,,,1.0,,23.0,3.0,235.0,13.0,7.0,12.0,1.0,13.0,1.0,1.0,133.0,3.0,4.0,16.0,24.0,11.0,,17.0,25.0,2.0,3.0,9.0,,6.0,3.0,,,,1.0,2.0,,,,,,2.0,,3.0,,,,,,1.0,,1.0,,,,1.0,3.0,,,3.0,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,
21,987795,2019-01-02 19:45:00,"Stamford Bridge, London",40668,Away,Southampton,Chelsea,0,0,D,0,0,0,0,74.0,2.0,,20.0,42.0,5.0,1.0,1.0,6.0,1.0,137.0,3.0,7.0,3.0,2.0,57.0,154.0,52.0,6.0,1.0,14.0,,,12.0,13.0,42.0,2.0,5.0,34.0,113.0,1.0,1.0,0.0,102.0,11.0,5.0,,65.0,24.0,,36.0,10.0,30.0,5.0,3.0,2.0,154.0,,10.0,66.0,535.0,3.0,4.0,6.0,,26.0,181.0,26.0,1.0,3.0,14.0,2.0,9.0,3.0,18.0,269.0,56.0,,96787,1.0,85.0,,6.0,114.0,6.0,30.0,7.0,65.0,,,3.0,,18.0,7.0,5.0,1.0,58.0,195.0,8.0,22.0,,22.0,53.0,1.0,,0.0,1.0,7.0,4.0,2.0,0.0,3.0,1.0,28.4,14.0,1.0,7.0,,,,1.0,21.0,2.0,296.0,26.0,10.0,16.0,3.0,22.0,,1.0,194.0,4.0,3.0,18.0,56.0,31.0,1.0,14.0,20.0,5.0,3.0,15.0,1.0,20.0,2.0,,,,,2.0,,,1.0,1.0,,2.0,,2.0,,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,
22,987808,2019-01-12 15:00:00,"King Power Stadium, Leicester",31491,Away,Southampton,Leicester City,2,1,W,2,0,1,0,51.0,2.0,2.0,13.0,59.0,1.0,2.0,7.0,4.0,,124.0,5.0,4.0,5.0,3.0,42.0,144.0,57.0,8.0,,24.0,1.0,,7.0,14.0,59.0,3.0,4.0,21.0,70.0,,,0.0,61.0,9.0,2.0,,38.0,23.0,3.0,35.0,4.0,9.0,1.0,1.0,1.0,144.0,,9.0,26.0,457.0,2.0,12.0,17.0,1.0,20.0,117.0,23.0,,3.0,28.0,1.0,10.0,2.0,22.0,197.0,41.0,,96787,3.0,62.0,,2.0,93.0,4.0,9.0,13.0,53.0,1.0,,4.0,2.0,14.0,14.0,4.0,2.0,60.0,127.0,7.0,11.0,3.0,24.0,72.0,1.0,2.0,0.0,2.0,10.0,3.0,4.0,1.0,2.0,3.0,28.3,10.0,2.0,3.0,2.0,,2.0,2.0,28.0,3.0,227.0,20.0,9.0,6.0,3.0,10.0,3.0,2.0,141.0,3.0,3.0,29.0,23.0,16.0,7.0,28.0,17.0,4.0,3.0,5.0,7.0,5.0,3.0,2.0,,1.0,2.0,1.0,,,,,1.0,,,3.0,,,,,,,,2.0,,,,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,,,2.0,,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
23,987819,2019-01-19 15:00:00,"St. Mary's Stadium, Southampton",29989,Home,Southampton,Everton,2,1,W,0,0,0,0,72.0,,3.0,20.0,41.0,2.0,3.0,9.0,1.0,2.0,152.0,6.0,6.0,9.0,4.0,49.0,167.0,76.0,11.0,,31.0,2.0,2.0,20.0,15.0,41.0,7.0,4.0,35.0,99.0,1.0,,0.0,90.0,12.0,1.0,,43.0,33.0,5.0,41.0,13.0,20.0,2.0,2.0,,167.0,1.0,5.0,60.0,544.0,6.0,10.0,16.0,1.0,21.0,196.0,29.0,,6.0,26.0,2.0,4.0,4.0,22.0,281.0,53.0,,93100,3.0,113.0,1.0,10.0,141.0,3.0,20.0,5.0,71.0,,2.0,3.0,2.0,19.0,2.0,2.0,,58.0,206.0,11.0,9.0,3.0,26.0,70.0,,2.0,0.0,4.0,6.0,1.0,3.0,0.0,2.0,2.0,39.4,12.0,1.0,4.0,2.0,1.0,2.0,3.0,26.0,7.0,302.0,21.0,16.0,20.0,4.0,28.0,4.0,3.0,181.0,5.0,4.0,40.0,57.0,34.0,3.0,26.0,20.0,8.0,3.0,11.0,3.0,11.0,7.0,,,,2.0,2.0,,2.0,,1.0,,1.0,1.0,,2.0,,1.0,,,,,1.0,,,,,1.0,2.0,,1.0,,1.0,,2.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
24,987830,2019-01-30 19:45:00,"St. Mary's Stadium, Southampton",28339,Home,Southampton,Crystal Palace,1,1,D,0,1,0,1,61.0,1.0,2.0,26.0,19.0,6.0,2.0,7.0,1.0,2.0,176.0,5.0,4.0,9.0,4.0,139.0,158.0,59.0,13.0,2.0,22.0,1.0,1.0,21.0,15.0,19.0,3.0,5.0,47.0,238.0,1.0,,0.0,159.0,11.0,1.0,1.0,97.0,56.0,6.0,62.0,18.0,25.0,6.0,5.0,2.0,158.0,2.0,6.0,155.0,741.0,6.0,9.0,16.0,,9.0,422.0,23.0,,2.0,13.0,2.0,4.0,3.0,25.0,515.0,76.0,,96787,4.0,203.0,2.0,11.0,221.0,8.0,25.0,9.0,70.0,,,2.0,2.0,18.0,9.0,6.0,,49.0,436.0,8.0,14.0,2.0,10.0,70.0,2.0,,0.0,2.0,8.0,1.0,3.0,0.0,3.0,3.0,58.8,24.0,3.0,7.0,2.0,,2.0,4.0,41.0,3.0,532.0,9.0,14.0,30.0,5.0,23.0,2.0,3.0,332.0,8.0,4.0,23.0,109.0,29.0,2.0,13.0,24.0,11.0,3.0,13.0,2.0,13.0,3.0,1.0,,,1.0,,1.0,2.0,,,,2.0,,,4.0,,,1.0,,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,2.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,
25,987833,2019-02-02 15:00:00,"Turf Moor, Burnley",19787,Away,Southampton,Burnley,1,1,D,0,0,0,0,81.0,,2.0,26.0,32.0,4.0,4.0,6.0,5.0,1.0,183.0,4.0,9.0,10.0,4.0,73.0,171.0,69.0,10.0,1.0,43.0,3.0,,8.0,12.0,32.0,2.0,7.0,46.0,151.0,1.0,,0.0,117.0,9.0,1.0,,53.0,50.0,7.0,44.0,6.0,22.0,4.0,2.0,2.0,171.0,1.0,14.0,104.0,602.0,9.0,10.0,17.0,1.0,7.0,258.0,34.0,1.0,9.0,16.0,1.0,6.0,3.0,17.0,371.0,63.0,,96787,3.0,121.0,1.0,4.0,156.0,3.0,22.0,11.0,77.0,,1.0,,3.0,15.0,1.0,1.0,1.0,85.0,268.0,9.0,16.0,,35.0,103.0,2.0,,0.0,,4.0,5.0,4.0,0.0,2.0,1.0,45.8,12.0,,2.0,2.0,1.0,3.0,3.0,42.0,2.0,404.0,7.0,10.0,23.0,3.0,23.0,2.0,1.0,256.0,5.0,5.0,35.0,63.0,29.0,4.0,16.0,17.0,10.0,3.0,10.0,4.0,14.0,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,2.0,,1.0,,,,1.0,,,,,,3.0,,,,3.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
26,987848,2019-02-09 15:00:00,"St. Mary's Stadium, Southampton",31438,Home,Southampton,Cardiff City,1,2,L,0,0,0,0,63.0,1.0,2.0,16.0,23.0,4.0,1.0,10.0,1.0,6.0,199.0,4.0,14.0,11.0,7.0,127.0,162.0,65.0,14.0,,35.0,3.0,1.0,20.0,15.0,23.0,7.0,10.0,28.0,271.0,,,0.0,169.0,15.0,,1.0,67.0,50.0,6.0,72.0,13.0,18.0,4.0,1.0,1.0,162.0,1.0,4.0,141.0,740.0,8.0,7.0,28.0,,7.0,410.0,18.0,1.0,5.0,13.0,3.0,,5.0,19.0,518.0,71.0,1.0,96787,6.0,161.0,1.0,10.0,190.0,8.0,18.0,5.0,70.0,,1.0,,6.0,14.0,2.0,3.0,1.0,51.0,428.0,11.0,3.0,2.0,25.0,76.0,2.0,,0.0,2.0,2.0,,3.0,0.0,1.0,3.0,66.7,17.0,3.0,3.0,1.0,,6.0,2.0,44.0,8.0,539.0,7.0,8.0,7.0,5.0,35.0,3.0,4.0,369.0,10.0,9.0,21.0,113.0,36.0,1.0,13.0,20.0,9.0,3.0,23.0,1.0,7.0,8.0,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
