gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,attLfGoal,attCmissRight,attMissLeft,divingSave,accurateFreekickCross,attSetpiece,totalOffside,attAssistSetplay,attSvLowRight,attCmissLeft,attHdMiss,forwardGoals,bigChanceScored,attGoalLowCentre,postScoringAtt,accurateKeeperSweeper,attIboxPost,attPostLeft,hitWoodwork,attMissHighLeft,totalKeeperSweeper,attSvHighCentre,attMissHighRight,attLgCentre,attSvHighRight,attGoalHighCentre,attHdTarget,errorLeadToShot,sixYardBlock,goalsConcededObox,attSvHighLeft,goalsConceded,foulThrowIn,goalsConcededIbox,handBall,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,errorLeadToGoal,penaltyWon,attPenMiss,attPenGoal,attHdPost,attObxdRight,attPostHigh,ownGoals,attIboxOwnGoal,attGoalHighLeft,attObpGoal,shieldBallOop,attCmissHigh,attPostRight,clearanceOffLine,penaltyConceded,penaltyFaced,penGoalsConceded,attPenPost,touchesInOppBox,attOboxPost,attCmissHighRight,attObxdLeft
11,803268,2015-10-31 15:00:00,"Etihad Stadium, Manchester",53418,Home,Manchester City,Norwich City,2,1,W,0,0,0,1,1.0,61.0,1.0,1.0,4.0,1.0,1.0,30.0,27.0,6.0,6.0,2.0,1.0,203.0,8.0,8.0,2.0,3.0,16.0,,5.0,213.0,135.0,57.0,1.0,21.0,2.0,10.0,1.0,2.0,,1.0,31.0,10.0,1.0,2.0,23.0,12.0,31.0,19.0,,473.0,,,0.0,245.0,4.0,1.0,,1.0,3.0,71.0,120.0,7.0,109.0,2.0,6.0,19.0,16.0,1.0,6.0,2.0,131.0,1.0,,4.0,197.0,929.0,12.0,6.0,5.0,636.0,24.0,4.0,14.0,1.0,2.0,1.0,9.0,21.0,708.0,109.0,2.0,61366,11.0,183.0,2.0,12.0,202.0,3.0,1.0,1.0,16.0,3.0,37.0,6.0,1.0,5.0,,12.0,1.0,3.0,,49.0,648.0,12.0,8.0,11.0,61.0,,0.0,1.0,3.0,4.0,1.0,2.0,4.0,0.0,2.0,1.0,6.0,70.8,21.0,2.0,,5.0,6.0,49.0,12.0,4.0,722.0,5.0,,14.0,8.0,10.0,42.0,6.0,8.0,551.0,8.0,31.0,21.0,199.0,30.0,4.0,13.0,16.0,1.0,12.0,3.0,9.0,4.0,7.0,12.0,,,4.0,2.0,2.0,1.0,,4.0,3.0,,,4.0,,1.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12,803275,2015-11-08 13:30:00,"Villa Park, Birmingham",36757,Away,Manchester City,Aston Villa,0,0,D,0,0,0,0,2.0,45.0,,,5.0,,,36.0,17.0,2.0,4.0,,,184.0,9.0,5.0,,3.0,9.0,,3.0,157.0,139.0,47.0,1.0,13.0,,12.0,2.0,,,2.0,35.0,9.0,,1.0,15.0,7.0,14.0,22.0,,295.0,1.0,,0.0,187.0,7.0,,1.0,1.0,2.0,68.0,130.0,5.0,79.0,,1.0,28.0,12.0,1.0,2.0,2.0,137.0,3.0,1.0,1.0,158.0,752.0,6.0,7.0,10.0,480.0,18.0,1.0,13.0,,1.0,,3.0,26.0,564.0,65.0,,61366,3.0,206.0,3.0,25.0,226.0,5.0,,,12.0,5.0,42.0,2.0,,2.0,,15.0,2.0,4.0,2.0,51.0,492.0,7.0,16.0,9.0,74.0,,0.0,1.0,1.0,3.0,,,3.0,0.0,6.0,,3.0,59.3,25.0,4.0,4.0,2.0,5.0,55.0,8.0,2.0,578.0,10.0,,5.0,15.0,5.0,38.0,3.0,2.0,387.0,5.0,14.0,19.0,143.0,20.0,1.0,13.0,16.0,,6.0,3.0,7.0,1.0,6.0,8.0,,,1.0,,,,,1.0,2.0,,,1.0,,,,1.0,1.0,1.0,,2.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13,803286,2015-11-21 17:30:00,"Etihad Stadium, Manchester",54444,Home,Manchester City,Liverpool,1,4,L,1,3,0,0,,67.0,,1.0,1.0,,,41.0,26.0,6.0,5.0,6.0,2.0,218.0,3.0,14.0,1.0,1.0,9.0,,3.0,133.0,201.0,67.0,,11.0,2.0,19.0,1.0,1.0,1.0,,32.0,13.0,,1.0,21.0,10.0,12.0,32.0,,246.0,,1.0,0.0,192.0,5.0,,,1.0,,83.0,103.0,5.0,64.0,2.0,3.0,22.0,26.0,,4.0,2.0,196.0,1.0,,11.0,115.0,777.0,6.0,13.0,14.0,382.0,20.0,11.0,10.0,1.0,0.0,3.0,4.0,39.0,500.0,86.0,1.0,61366,3.0,163.0,1.0,17.0,184.0,4.0,1.0,1.0,26.0,7.0,67.0,3.0,,7.0,1.0,6.0,4.0,3.0,,80.0,406.0,13.0,11.0,32.0,81.0,,0.0,,,5.0,5.0,,5.0,0.0,1.0,,1.0,58.4,35.0,8.0,,7.0,3.0,47.0,11.0,,530.0,14.0,,19.0,17.0,5.0,42.0,2.0,3.0,378.0,5.0,11.0,24.0,121.0,29.0,,9.0,16.0,,8.0,3.0,27.0,,13.0,11.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,,3.0,,,,1.0,3.0,,,,,,,2.0,,,,4.0,,4.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
14,803297,2015-11-28 15:00:00,"Etihad Stadium, Manchester",54102,Home,Manchester City,Southampton,3,1,W,2,0,0,0,2.0,54.0,1.0,2.0,2.0,1.0,1.0,27.0,30.0,8.0,6.0,7.0,3.0,140.0,6.0,7.0,3.0,6.0,12.0,,9.0,91.0,136.0,58.0,3.0,16.0,4.0,10.0,3.0,,2.0,3.0,16.0,21.0,,3.0,24.0,6.0,8.0,19.0,1.0,213.0,,1.0,0.0,128.0,14.0,2.0,,1.0,,72.0,79.0,11.0,50.0,,,11.0,8.0,3.0,2.0,,130.0,2.0,1.0,7.0,109.0,603.0,7.0,4.0,26.0,297.0,19.0,5.0,15.0,3.0,2.0,2.0,1.0,23.0,367.0,44.0,2.0,61366,4.0,105.0,1.0,8.0,125.0,10.0,1.0,,8.0,5.0,54.0,2.0,1.0,,2.0,13.0,5.0,2.0,1.0,56.0,312.0,10.0,13.0,20.0,58.0,2.0,0.0,1.0,3.0,4.0,5.0,2.0,3.0,0.0,4.0,3.0,1.0,45.9,17.0,3.0,2.0,,6.0,29.0,6.0,,390.0,26.0,,15.0,11.0,1.0,21.0,3.0,1.0,281.0,8.0,5.0,13.0,101.0,27.0,2.0,15.0,28.0,,10.0,3.0,10.0,2.0,5.0,6.0,1.0,2.0,,,4.0,1.0,,2.0,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,803307,2015-12-05 12:45:00,"bet365 Stadium, Stoke",27264,Away,Manchester City,Stoke City,0,2,L,0,2,0,0,1.0,70.0,,1.0,,,,18.0,7.0,6.0,4.0,2.0,3.0,198.0,6.0,11.0,,,9.0,,4.0,112.0,191.0,52.0,,11.0,1.0,10.0,3.0,,,1.0,21.0,19.0,,1.0,6.0,6.0,9.0,23.0,,214.0,,,0.0,154.0,10.0,,1.0,,,52.0,90.0,4.0,47.0,2.0,1.0,15.0,17.0,,5.0,4.0,190.0,,,6.0,105.0,664.0,9.0,1.0,20.0,323.0,23.0,5.0,3.0,,1.0,,5.0,41.0,441.0,60.0,1.0,61366,1.0,126.0,,10.0,157.0,4.0,,,17.0,6.0,62.0,1.0,,3.0,,18.0,1.0,2.0,,48.0,334.0,9.0,26.0,17.0,85.0,,0.0,,,1.0,1.0,,,0.0,2.0,,,53.5,30.0,9.0,1.0,4.0,1.0,38.0,6.0,,462.0,20.0,,12.0,9.0,6.0,26.0,4.0,2.0,326.0,7.0,9.0,5.0,96.0,33.0,3.0,3.0,27.0,,9.0,3.0,16.0,3.0,5.0,6.0,,,,2.0,1.0,,,,,2.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,803319,2015-12-12 15:00:00,"Etihad Stadium, Manchester",53052,Home,Manchester City,Swansea City,2,1,W,1,0,0,0,1.0,46.0,1.0,2.0,2.0,1.0,1.0,26.0,24.0,5.0,3.0,6.0,2.0,160.0,4.0,8.0,2.0,4.0,10.0,,5.0,158.0,110.0,41.0,2.0,13.0,2.0,13.0,1.0,4.0,1.0,1.0,14.0,11.0,,2.0,19.0,5.0,21.0,29.0,,303.0,,,0.0,171.0,13.0,,1.0,,1.0,114.0,95.0,6.0,88.0,,3.0,9.0,18.0,2.0,2.0,1.0,105.0,1.0,,10.0,151.0,732.0,6.0,1.0,19.0,477.0,22.0,4.0,9.0,2.0,3.0,3.0,4.0,15.0,532.0,57.0,,61366,4.0,197.0,,7.0,214.0,8.0,,,18.0,3.0,49.0,1.0,,2.0,1.0,8.0,3.0,2.0,,43.0,496.0,13.0,7.0,15.0,65.0,1.0,0.0,1.0,2.0,5.0,4.0,2.0,,0.0,1.0,1.0,3.0,53.0,10.0,3.0,,2.0,4.0,50.0,5.0,1.0,557.0,19.0,,10.0,22.0,4.0,18.0,3.0,3.0,357.0,6.0,21.0,5.0,140.0,17.0,1.0,8.0,15.0,1.0,8.0,3.0,14.0,1.0,6.0,5.0,,,,,4.0,,,3.0,2.0,,,2.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
17,803327,2015-12-21 20:00:00,"Emirates Stadium, London",60053,Away,Manchester City,Arsenal,1,2,L,0,2,0,0,1.0,70.0,,1.0,3.0,,,27.0,27.0,9.0,8.0,3.0,2.0,210.0,4.0,9.0,1.0,2.0,18.0,,6.0,166.0,146.0,43.0,,20.0,3.0,14.0,3.0,2.0,1.0,2.0,29.0,10.0,,2.0,22.0,7.0,18.0,21.0,,362.0,,1.0,0.0,196.0,16.0,1.0,1.0,1.0,,103.0,119.0,9.0,89.0,2.0,,23.0,23.0,,4.0,3.0,141.0,3.0,,6.0,183.0,854.0,12.0,5.0,18.0,553.0,26.0,3.0,13.0,1.0,2.0,,8.0,18.0,627.0,64.0,1.0,61366,9.0,213.0,3.0,18.0,233.0,9.0,,3.0,23.0,9.0,61.0,2.0,,5.0,1.0,10.0,2.0,9.0,2.0,48.0,571.0,5.0,12.0,13.0,84.0,1.0,0.0,,4.0,4.0,2.0,,4.0,0.0,2.0,,5.0,62.7,14.0,7.0,,5.0,6.0,61.0,8.0,,648.0,18.0,,12.0,11.0,8.0,38.0,3.0,5.0,444.0,7.0,18.0,10.0,161.0,31.0,2.0,11.0,19.0,,13.0,3.0,17.0,2.0,7.0,8.0,,1.0,,5.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,,,,,,,,,1.0,,,,,,,2.0,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
18,803338,2015-12-26 15:00:00,"Etihad Stadium, Manchester",54523,Home,Manchester City,Sunderland,4,1,W,3,0,0,0,1.0,63.0,1.0,,2.0,1.0,1.0,29.0,20.0,7.0,5.0,2.0,3.0,197.0,5.0,16.0,4.0,2.0,14.0,,9.0,165.0,129.0,54.0,,19.0,2.0,15.0,3.0,1.0,2.0,,17.0,10.0,,2.0,18.0,4.0,19.0,24.0,1.0,316.0,,1.0,0.0,195.0,10.0,3.0,2.0,2.0,3.0,59.0,83.0,11.0,81.0,2.0,1.0,13.0,15.0,,2.0,2.0,127.0,,,9.0,172.0,805.0,9.0,5.0,11.0,527.0,23.0,7.0,8.0,3.0,1.0,,3.0,22.0,595.0,57.0,1.0,61366,11.0,231.0,2.0,9.0,246.0,6.0,1.0,1.0,15.0,5.0,49.0,4.0,,5.0,3.0,9.0,2.0,2.0,2.0,47.0,542.0,11.0,7.0,12.0,60.0,1.0,0.0,,3.0,1.0,2.0,3.0,3.0,0.0,4.0,2.0,3.0,66.4,15.0,6.0,,5.0,4.0,44.0,5.0,3.0,615.0,11.0,,14.0,13.0,6.0,40.0,1.0,4.0,386.0,8.0,17.0,12.0,152.0,26.0,2.0,8.0,15.0,2.0,12.0,3.0,22.0,2.0,3.0,6.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
19,803346,2015-12-29 19:45:00,"King Power Stadium, Leicester",32072,Away,Manchester City,Leicester City,0,0,D,0,0,0,0,1.0,66.0,,2.0,4.0,,,29.0,35.0,7.0,8.0,4.0,3.0,205.0,5.0,8.0,,4.0,15.0,,5.0,115.0,191.0,61.0,1.0,21.0,3.0,11.0,4.0,1.0,,1.0,39.0,12.0,,1.0,33.0,13.0,10.0,25.0,,242.0,1.0,,0.0,162.0,8.0,,1.0,2.0,,63.0,95.0,7.0,59.0,,4.0,26.0,34.0,1.0,3.0,3.0,189.0,1.0,1.0,5.0,119.0,743.0,12.0,11.0,22.0,368.0,20.0,4.0,26.0,,3.0,,8.0,27.0,476.0,61.0,1.0,61366,8.0,143.0,1.0,21.0,178.0,4.0,,2.0,34.0,7.0,42.0,2.0,,3.0,,13.0,6.0,3.0,2.0,61.0,380.0,11.0,9.0,17.0,88.0,1.0,0.0,,,1.0,2.0,,4.0,0.0,2.0,,3.0,60.7,18.0,5.0,3.0,3.0,7.0,46.0,13.0,,498.0,21.0,,11.0,11.0,9.0,52.0,3.0,6.0,359.0,10.0,7.0,24.0,119.0,34.0,2.0,26.0,18.0,,12.0,3.0,11.0,2.0,20.0,13.0,,,1.0,1.0,1.0,,,1.0,3.0,1.0,,2.0,,,,,,,,,2.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,803356,2016-01-02 17:30:00,"Vicarage Road, Watford",20676,Away,Manchester City,Watford,2,1,W,0,0,0,0,,71.0,,,1.0,1.0,1.0,25.0,40.0,8.0,6.0,3.0,3.0,178.0,5.0,10.0,2.0,1.0,15.0,1.0,5.0,103.0,173.0,56.0,,16.0,3.0,18.0,1.0,,1.0,,18.0,21.0,,2.0,34.0,5.0,10.0,24.0,,203.0,,,0.0,156.0,10.0,1.0,2.0,,,54.0,83.0,9.0,52.0,,1.0,13.0,18.0,,1.0,3.0,167.0,,,6.0,103.0,676.0,11.0,5.0,18.0,318.0,27.0,3.0,22.0,2.0,0.0,1.0,6.0,30.0,414.0,59.0,,61366,6.0,130.0,,12.0,166.0,2.0,,2.0,18.0,7.0,61.0,3.0,,1.0,1.0,18.0,6.0,,3.0,66.0,328.0,5.0,17.0,20.0,78.0,2.0,0.0,,4.0,4.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,51.5,26.0,7.0,1.0,2.0,4.0,38.0,5.0,,436.0,18.0,,14.0,12.0,7.0,29.0,4.0,4.0,288.0,8.0,10.0,13.0,116.0,28.0,4.0,21.0,28.0,1.0,13.0,3.0,14.0,4.0,8.0,5.0,1.0,1.0,,2.0,2.0,,,1.0,2.0,1.0,,1.0,1.0,,,,2.0,,,,,2.0,,1.0,,,,,2.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
21,803366,2016-01-13 19:45:00,"Etihad Stadium, Manchester",53796,Home,Manchester City,Everton,0,0,D,0,0,0,0,,46.0,,1.0,5.0,,,22.0,15.0,7.0,3.0,2.0,4.0,172.0,9.0,18.0,,3.0,19.0,,5.0,156.0,128.0,48.0,,22.0,5.0,6.0,5.0,2.0,,3.0,49.0,11.0,,,13.0,11.0,9.0,19.0,1.0,382.0,1.0,,0.0,284.0,5.0,,1.0,2.0,,73.0,156.0,14.0,73.0,,3.0,38.0,19.0,,4.0,2.0,126.0,1.0,1.0,6.0,143.0,745.0,16.0,9.0,8.0,475.0,17.0,1.0,9.0,,0.0,2.0,5.0,17.0,527.0,61.0,2.0,61366,7.0,114.0,1.0,32.0,121.0,3.0,,1.0,19.0,4.0,40.0,3.0,,3.0,,5.0,1.0,1.0,3.0,38.0,487.0,5.0,16.0,5.0,49.0,1.0,0.0,,4.0,5.0,1.0,,5.0,0.0,4.0,,2.0,55.0,15.0,5.0,4.0,4.0,10.0,38.0,12.0,,544.0,8.0,,7.0,10.0,7.0,57.0,5.0,5.0,472.0,17.0,9.0,9.0,246.0,17.0,,9.0,16.0,,16.0,1.0,25.0,,8.0,12.0,,,1.0,,1.0,,,3.0,3.0,,,1.0,,,,,3.0,,,,1.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
22,803373,2016-01-16 15:00:00,"Etihad Stadium, Manchester",53983,Home,Manchester City,Crystal Palace,4,0,W,2,0,0,0,,55.0,1.0,1.0,2.0,,,20.0,34.0,8.0,13.0,3.0,,151.0,3.0,12.0,4.0,3.0,13.0,,4.0,132.0,140.0,60.0,1.0,17.0,5.0,16.0,,1.0,4.0,,13.0,15.0,,,27.0,5.0,13.0,12.0,,257.0,1.0,2.0,0.0,149.0,10.0,2.0,,1.0,,65.0,62.0,7.0,60.0,2.0,3.0,8.0,14.0,1.0,1.0,1.0,133.0,2.0,,5.0,147.0,696.0,7.0,6.0,26.0,394.0,23.0,4.0,17.0,4.0,0.0,1.0,6.0,15.0,470.0,47.0,,61366,4.0,151.0,,6.0,175.0,8.0,2.0,1.0,14.0,7.0,60.0,,,1.0,4.0,12.0,4.0,2.0,1.0,54.0,405.0,10.0,12.0,25.0,73.0,,0.0,,,6.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,52.8,13.0,6.0,2.0,1.0,7.0,43.0,5.0,,490.0,26.0,,20.0,5.0,6.0,21.0,2.0,5.0,328.0,3.0,11.0,16.0,116.0,23.0,2.0,14.0,22.0,,11.0,3.0,16.0,2.0,5.0,5.0,2.0,2.0,,2.0,2.0,,1.0,,2.0,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
23,803386,2016-01-23 17:30:00,"Boleyn Ground, London",34977,Away,Manchester City,West Ham United,2,2,D,1,1,0,0,,64.0,1.0,1.0,4.0,,,18.0,36.0,6.0,7.0,1.0,1.0,207.0,3.0,13.0,2.0,2.0,12.0,,3.0,110.0,163.0,64.0,1.0,16.0,5.0,18.0,1.0,2.0,,,15.0,14.0,,,32.0,2.0,15.0,25.0,,226.0,,,0.0,170.0,15.0,,,,,54.0,79.0,8.0,53.0,2.0,2.0,13.0,21.0,1.0,1.0,1.0,159.0,,,7.0,104.0,698.0,11.0,1.0,18.0,362.0,22.0,4.0,26.0,,3.0,2.0,4.0,23.0,449.0,77.0,,61366,5.0,153.0,,12.0,173.0,8.0,2.0,1.0,21.0,9.0,68.0,,,3.0,1.0,18.0,3.0,2.0,,54.0,376.0,11.0,13.0,20.0,76.0,1.0,0.0,,3.0,5.0,,2.0,,0.0,3.0,,1.0,53.3,19.0,2.0,3.0,3.0,9.0,43.0,2.0,,474.0,18.0,,17.0,8.0,4.0,22.0,,2.0,316.0,8.0,15.0,26.0,115.0,34.0,1.0,25.0,16.0,,13.0,3.0,19.0,1.0,11.0,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,,2.0,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,
24,803396,2016-02-02 19:45:00,"Stadium of Light, Sunderland",38852,Away,Manchester City,Sunderland,1,0,W,1,0,0,0,,64.0,,1.0,1.0,,,18.0,45.0,3.0,1.0,2.0,1.0,180.0,2.0,19.0,1.0,1.0,5.0,,2.0,94.0,183.0,64.0,,7.0,1.0,14.0,,1.0,,1.0,10.0,13.0,1.0,1.0,36.0,4.0,16.0,26.0,,181.0,1.0,,0.0,138.0,15.0,,,1.0,1.0,52.0,72.0,3.0,56.0,1.0,2.0,6.0,18.0,,,1.0,174.0,,,6.0,101.0,664.0,4.0,5.0,20.0,311.0,31.0,5.0,27.0,,4.0,4.0,2.0,20.0,406.0,59.0,,57410,2.0,144.0,,5.0,172.0,9.0,1.0,,18.0,11.0,77.0,2.0,,4.0,1.0,14.0,5.0,5.0,1.0,58.0,323.0,6.0,15.0,28.0,89.0,4.0,0.0,,4.0,8.0,2.0,1.0,3.0,0.0,,,1.0,50.4,15.0,3.0,1.0,4.0,2.0,41.0,4.0,1.0,431.0,20.0,,20.0,12.0,3.0,20.0,2.0,2.0,269.0,5.0,15.0,19.0,93.0,22.0,3.0,25.0,21.0,,5.0,3.0,32.0,3.0,8.0,4.0,,,1.0,,2.0,,,2.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
25,803405,2016-02-06 12:45:00,"Etihad Stadium, Manchester",54693,Home,Manchester City,Leicester City,1,3,L,0,1,0,0,,44.0,1.0,1.0,4.0,1.0,,29.0,29.0,5.0,7.0,4.0,2.0,201.0,7.0,12.0,1.0,6.0,17.0,,4.0,153.0,159.0,64.0,1.0,22.0,2.0,12.0,2.0,2.0,,2.0,34.0,11.0,,1.0,24.0,11.0,15.0,17.0,1.0,359.0,,,0.0,262.0,9.0,,,1.0,,107.0,97.0,9.0,57.0,1.0,4.0,23.0,17.0,1.0,2.0,3.0,154.0,2.0,1.0,12.0,154.0,810.0,11.0,7.0,21.0,461.0,17.0,4.0,18.0,1.0,2.0,2.0,8.0,40.0,541.0,82.0,,57410,6.0,129.0,2.0,20.0,153.0,5.0,,,17.0,4.0,62.0,1.0,,5.0,,7.0,2.0,4.0,2.0,46.0,481.0,14.0,14.0,16.0,65.0,2.0,0.0,,,4.0,3.0,1.0,3.0,0.0,1.0,1.0,5.0,65.9,32.0,1.0,4.0,5.0,6.0,46.0,11.0,,565.0,21.0,,18.0,13.0,12.0,40.0,6.0,9.0,446.0,9.0,14.0,24.0,219.0,19.0,2.0,14.0,14.0,1.0,14.0,3.0,21.0,2.0,3.0,11.0,,,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,3.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,3.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
26,803418,2016-02-14 16:15:00,"Etihad Stadium, Manchester",54551,Home,Manchester City,Tottenham Hotspur,1,2,L,0,0,0,0,,63.0,,1.0,6.0,,,26.0,23.0,4.0,5.0,1.0,2.0,194.0,8.0,12.0,1.0,5.0,12.0,,4.0,110.0,167.0,69.0,1.0,19.0,2.0,11.0,1.0,,1.0,,25.0,19.0,,2.0,22.0,6.0,18.0,23.0,,227.0,,,0.0,185.0,12.0,,,2.0,1.0,81.0,72.0,8.0,57.0,2.0,2.0,19.0,20.0,1.0,3.0,1.0,166.0,1.0,1.0,3.0,107.0,705.0,8.0,7.0,18.0,353.0,20.0,2.0,13.0,1.0,1.0,1.0,4.0,30.0,444.0,64.0,,57410,10.0,151.0,2.0,14.0,167.0,8.0,,2.0,20.0,4.0,69.0,2.0,,1.0,1.0,8.0,3.0,3.0,4.0,52.0,370.0,14.0,14.0,15.0,79.0,,0.0,1.0,1.0,1.0,,1.0,,0.0,3.0,1.0,4.0,46.0,25.0,2.0,3.0,1.0,8.0,49.0,7.0,1.0,468.0,18.0,,22.0,11.0,7.0,35.0,5.0,6.0,326.0,10.0,17.0,18.0,128.0,39.0,4.0,12.0,26.0,,12.0,2.0,23.0,4.0,10.0,7.0,,1.0,,1.0,1.0,2.0,2.0,4.0,3.0,,,3.0,,1.0,,,,,,1.0,,,2.0,,1.0,,,1.0,,,,1.0,2.0,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,
