gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attOboxBlocked,divingSave,attMissHighLeft,attBxLeft,attGoalLowRight,attPenPost,attFreekickTotal,postScoringAtt,attMissLeft,attIboxPost,attMissHighRight,penaltyWon,freekickTotal,hitWoodwork,punches,attFreekickTarget,goalsConceded,accurateFlickOn,attHdMiss,clearanceOffLine,attFreekickMiss,attPostRight,attHdGoal,goalsConcededIbox,handBall,goalAssistDeadball,attOneOnOne,interceptionsInBox,contentiousDecision,defenderGoals,attPenGoal,attSvHighRight,ptsGainedLosingPos,attSvHighLeft,attFreekickPost,attSvLowRight,attCmissLeft,attOboxPost,foulThrowIn,attGoalHighCentre,attOboxGoal,ownGoals,attFreekickGoal,attIboxOwnGoal,goalsConcededObox,attObxLeft,secondYellow,attCmissHighRight,attObxdLeft,attGoalLowCentre,subsGoals,attObpGoal,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,errorLeadToGoal,attPostLeft,attCmissHighLeft,goalFastbreak,attObxRight,attObxdRight,attLgCentre,attGoalHighRight
11,2367643,2023-11-04 15:00:00,"Etihad Stadium, Manchester",53358.0,Home,Manchester City,Bournemouth,6,1,W,3,0,0,0,,2.0,48.0,2.0,4.0,2.0,25.0,9.0,9.0,8.0,12.0,,3.0,2.0,192.0,4.0,9.0,6.0,1.0,20.0,1.0,1.0,8.0,189.0,83.0,27.0,21.0,3.0,1.0,,,,4.0,1.0,18.0,4.0,1.0,9.0,1.0,2.0,27.0,399.0,,0.0,248.0,8.0,,1.0,,,,70.0,112.0,14.0,151.0,2.0,17.0,14.0,9.0,1.0,5.0,83.0,3.0,5.0,199.0,857.0,13.0,1.0,45.0,,4.0,653.0,19.0,,2.0,6.0,,0.0,1.0,6.0,8.0,704.0,56.0,2.0,,,97299,8.0,285.0,1.0,16.0,2.0,,293.0,5.0,1.0,1.0,8.0,3.0,20.0,1.0,3.0,,1.0,4.0,10.0,,3.0,3.0,35.0,680.0,9.0,2.0,1.0,4.0,7.0,49.0,,,0.0,1.0,1.0,,6.0,0.0,4.0,4.0,,2.0,64.8,8.0,7.0,,1.0,7.0,40.0,12.0,,731.0,4.0,5.0,16.0,6.0,35.0,,1.0,456.0,10.0,2.0,4.0,218.0,20.0,2.0,,2.0,5.0,14.0,5.0,11.0,,8.0,12.0,,3.0,,,,2.0,,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,
12,2367652,2023-11-12 16:30:00,"Stamford Bridge, London",39532.0,Away,Manchester City,Chelsea,4,4,D,2,2,0,0,3.0,3.0,56.0,3.0,1.0,1.0,30.0,12.0,4.0,7.0,11.0,5.0,2.0,2.0,147.0,5.0,14.0,4.0,5.0,13.0,,,10.0,148.0,105.0,48.0,15.0,3.0,5.0,1.0,2.0,1.0,2.0,3.0,18.0,9.0,1.0,12.0,2.0,2.0,41.0,261.0,,0.0,171.0,15.0,1.0,2.0,1.0,1.0,3.0,69.0,67.0,11.0,91.0,,16.0,22.0,4.0,3.0,1.0,105.0,4.0,11.0,145.0,736.0,9.0,1.0,47.0,1.0,9.0,460.0,18.0,1.0,4.0,3.0,1.0,3.0,5.0,2.0,18.0,511.0,55.0,,,,91651,6.0,221.0,2.0,12.0,,,237.0,5.0,,,10.0,3.0,46.0,,,,6.0,2.0,14.0,6.0,2.0,1.0,43.0,477.0,13.0,9.0,1.0,6.0,2.0,50.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,4.0,2.0,1.0,2.0,54.8,16.0,7.0,,6.0,2.0,35.0,3.0,3.0,531.0,9.0,10.0,27.0,3.0,30.0,1.0,2.0,312.0,5.0,2.0,4.0,142.0,24.0,2.0,,4.0,17.0,11.0,2.0,25.0,,10.0,3.0,3.0,1.0,4.0,,1.0,,,1.0,,2.0,,,1.0,1.0,,,,4.0,,,,1.0,,1.0,4.0,1.0,,,1.0,,,1.0,,1.0,,,2.0,2.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,
13,2367663,2023-11-25 12:30:00,"Etihad Stadium, Manchester",53289.0,Home,Manchester City,Liverpool,1,1,D,1,0,0,0,4.0,1.0,54.0,,4.0,,32.0,23.0,5.0,9.0,11.0,2.0,1.0,,176.0,5.0,17.0,1.0,4.0,12.0,2.0,1.0,5.0,164.0,105.0,66.0,16.0,9.0,2.0,,2.0,,1.0,2.0,21.0,14.0,2.0,23.0,7.0,3.0,50.0,274.0,,0.0,184.0,9.0,,,,2.0,2.0,88.0,51.0,9.0,101.0,1.0,14.0,15.0,5.0,3.0,,105.0,2.0,6.0,173.0,800.0,9.0,4.0,42.0,,5.0,542.0,21.0,,5.0,1.0,,1.0,2.0,3.0,8.0,596.0,69.0,,1.0,1.0,97299,5.0,290.0,1.0,9.0,,1.0,305.0,2.0,,4.0,6.0,3.0,34.0,,1.0,3.0,3.0,1.0,13.0,2.0,3.0,3.0,46.0,559.0,11.0,7.0,2.0,8.0,2.0,46.0,,,0.0,3.0,6.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,60.0,6.0,10.0,,4.0,7.0,32.0,9.0,2.0,614.0,5.0,6.0,40.0,4.0,28.0,2.0,4.0,330.0,5.0,3.0,17.0,157.0,18.0,1.0,,5.0,22.0,12.0,,23.0,,6.0,9.0,,3.0,2.0,,2.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,3.0,2.0,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
14,2367674,2023-12-03 16:30:00,"Etihad Stadium, Manchester",53473.0,Home,Manchester City,Tottenham Hotspur,3,3,D,2,1,0,0,2.0,2.0,54.0,2.0,4.0,,45.0,10.0,2.0,7.0,15.0,1.0,1.0,,159.0,5.0,9.0,3.0,5.0,16.0,2.0,1.0,4.0,143.0,123.0,38.0,17.0,8.0,1.0,1.0,2.0,,2.0,,23.0,4.0,1.0,10.0,6.0,8.0,55.0,282.0,,0.0,209.0,14.0,1.0,,1.0,3.0,1.0,90.0,75.0,8.0,122.0,2.0,17.0,30.0,2.0,7.0,1.0,123.0,4.0,3.0,148.0,757.0,11.0,,49.0,,15.0,482.0,13.0,2.0,6.0,2.0,,4.0,2.0,8.0,18.0,548.0,68.0,2.0,1.0,,97299,8.0,224.0,2.0,7.0,,1.0,240.0,5.0,1.0,2.0,14.0,3.0,38.0,,5.0,2.0,4.0,2.0,15.0,5.0,1.0,,64.0,501.0,13.0,5.0,3.0,10.0,4.0,48.0,1.0,,0.0,3.0,8.0,,3.0,0.0,3.0,2.0,,4.0,55.0,17.0,12.0,,4.0,4.0,33.0,10.0,1.0,572.0,15.0,7.0,32.0,9.0,34.0,2.0,6.0,355.0,6.0,8.0,9.0,168.0,25.0,1.0,2.0,6.0,7.0,12.0,4.0,15.0,2.0,14.0,10.0,1.0,,,2.0,4.0,,,,2.0,1.0,2.0,2.0,,,2.0,,,3.0,,3.0,,,1.0,,2.0,1.0,,,4.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,1.0,,,,,,
15,2367678,2023-12-06 20:15:00,"Villa Park, Birmingham",41421.0,Away,Manchester City,Aston Villa,0,1,L,0,0,0,0,1.0,,55.0,,,,23.0,29.0,,1.0,2.0,6.0,,,139.0,1.0,2.0,,2.0,2.0,,,2.0,146.0,107.0,36.0,2.0,9.0,2.0,,,,,,7.0,12.0,,29.0,,6.0,25.0,202.0,,0.0,119.0,13.0,,,,2.0,,53.0,57.0,2.0,94.0,,7.0,17.0,,2.0,,107.0,2.0,12.0,141.0,683.0,2.0,3.0,13.0,1.0,6.0,434.0,26.0,2.0,10.0,,,2.0,9.0,,12.0,499.0,45.0,1.0,,,97299,,253.0,2.0,3.0,,,279.0,13.0,,1.0,4.0,8.0,53.0,,3.0,5.0,4.0,,12.0,10.0,8.0,,41.0,454.0,12.0,16.0,,13.0,,41.0,,,0.0,1.0,6.0,4.0,,0.0,1.0,,1.0,1.0,53.9,10.0,5.0,,4.0,,28.0,,,520.0,6.0,5.0,13.0,,18.0,,,248.0,,6.0,3.0,86.0,19.0,,2.0,10.0,19.0,2.0,3.0,12.0,2.0,4.0,,2.0,,3.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
16,2367693,2023-12-10 14:00:00,"Kenilworth Road, Luton",11047.0,Away,Manchester City,Luton Town,2,1,W,0,1,0,0,2.0,1.0,52.0,1.0,2.0,,12.0,15.0,9.0,8.0,9.0,1.0,2.0,2.0,186.0,3.0,12.0,2.0,4.0,11.0,1.0,,6.0,156.0,132.0,63.0,18.0,10.0,2.0,,1.0,,1.0,1.0,8.0,10.0,2.0,15.0,1.0,7.0,31.0,275.0,,0.0,214.0,6.0,,2.0,,,2.0,82.0,44.0,6.0,102.0,,7.0,20.0,9.0,1.0,4.0,132.0,3.0,2.0,150.0,790.0,10.0,1.0,36.0,,2.0,492.0,19.0,2.0,11.0,1.0,,1.0,,5.0,29.0,570.0,46.0,1.0,,,97299,7.0,241.0,2.0,6.0,,1.0,262.0,6.0,,3.0,8.0,4.0,44.0,1.0,2.0,1.0,4.0,2.0,14.0,2.0,3.0,2.0,32.0,513.0,15.0,9.0,,9.0,1.0,51.0,,,0.0,2.0,6.0,,2.0,0.0,2.0,1.0,3.0,,65.3,22.0,6.0,2.0,4.0,5.0,28.0,3.0,2.0,594.0,2.0,11.0,14.0,7.0,23.0,1.0,3.0,340.0,10.0,7.0,15.0,175.0,21.0,,4.0,11.0,21.0,15.0,3.0,21.0,4.0,8.0,3.0,1.0,3.0,,1.0,1.0,,,1.0,,4.0,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,3.0,,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
17,2367704,2023-12-16 15:00:00,"Etihad Stadium, Manchester",53112.0,Home,Manchester City,Crystal Palace,2,2,D,1,0,0,0,2.0,2.0,45.0,1.0,3.0,,14.0,7.0,7.0,5.0,12.0,,,3.0,167.0,10.0,6.0,2.0,3.0,15.0,1.0,1.0,9.0,270.0,106.0,37.0,19.0,5.0,5.0,,1.0,1.0,1.0,3.0,24.0,2.0,2.0,7.0,5.0,4.0,33.0,567.0,,0.0,337.0,12.0,,2.0,2.0,2.0,,86.0,154.0,10.0,123.0,2.0,19.0,21.0,7.0,8.0,3.0,106.0,4.0,2.0,258.0,979.0,11.0,1.0,31.0,2.0,3.0,738.0,9.0,1.0,6.0,1.0,2.0,1.0,2.0,5.0,17.0,804.0,94.0,3.0,1.0,,97299,9.0,194.0,3.0,9.0,1.0,2.0,200.0,11.0,2.0,1.0,10.0,2.0,39.0,,6.0,2.0,5.0,2.0,8.0,3.0,2.0,,27.0,751.0,9.0,8.0,3.0,4.0,4.0,42.0,,,0.0,1.0,1.0,,2.0,0.0,7.0,1.0,,3.0,74.2,17.0,3.0,,5.0,5.0,31.0,6.0,,818.0,3.0,11.0,19.0,5.0,39.0,3.0,2.0,642.0,11.0,4.0,9.0,291.0,27.0,,,6.0,13.0,13.0,1.0,9.0,,10.0,6.0,,2.0,,1.0,2.0,1.0,,,,2.0,,,,,,,,2.0,1.0,1.0,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,,
18,2367713,2024-02-20 19:30:00,"Etihad Stadium, Manchester",52137.0,Home,Manchester City,Brentford,1,0,W,0,0,0,0,4.0,1.0,41.0,1.0,1.0,,17.0,20.0,10.0,13.0,14.0,2.0,1.0,5.0,178.0,7.0,10.0,1.0,2.0,20.0,,1.0,11.0,208.0,107.0,36.0,25.0,13.0,7.0,1.0,2.0,2.0,1.0,4.0,30.0,5.0,3.0,20.0,7.0,15.0,21.0,528.0,1.0,0.0,428.0,12.0,2.0,,3.0,1.0,1.0,127.0,98.0,12.0,128.0,3.0,23.0,18.0,11.0,7.0,3.0,107.0,4.0,4.0,198.0,894.0,17.0,1.0,61.0,1.0,9.0,643.0,13.0,1.0,12.0,1.0,2.0,2.0,1.0,8.0,17.0,693.0,66.0,,1.0,,97299,8.0,135.0,4.0,15.0,1.0,1.0,149.0,10.0,,1.0,6.0,6.0,40.0,,1.0,1.0,5.0,1.0,14.0,2.0,3.0,3.0,32.0,656.0,6.0,4.0,2.0,12.0,6.0,40.0,1.0,,0.0,,1.0,2.0,,0.0,6.0,,1.0,5.0,69.9,15.0,5.0,1.0,5.0,5.0,26.0,10.0,1.0,712.0,9.0,4.0,18.0,9.0,53.0,1.0,6.0,593.0,7.0,15.0,14.0,394.0,17.0,1.0,2.0,12.0,6.0,18.0,2.0,17.0,2.0,6.0,10.0,,4.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,3.0,,,,,,,,2.0,2.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
19,2367724,2023-12-27 20:15:00,"Goodison Park, Liverpool",39327.0,Away,Manchester City,Everton,3,1,W,0,1,0,0,1.0,2.0,64.0,1.0,3.0,1.0,39.0,17.0,9.0,12.0,13.0,1.0,2.0,5.0,186.0,4.0,15.0,3.0,3.0,15.0,,,9.0,250.0,124.0,46.0,23.0,7.0,4.0,,2.0,1.0,,3.0,18.0,7.0,2.0,17.0,4.0,11.0,36.0,305.0,,0.0,179.0,5.0,,2.0,1.0,1.0,,84.0,98.0,8.0,128.0,1.0,14.0,16.0,10.0,5.0,2.0,124.0,1.0,6.0,208.0,970.0,13.0,1.0,34.0,,4.0,680.0,23.0,4.0,9.0,1.0,1.0,2.0,,7.0,18.0,750.0,48.0,,1.0,,97299,7.0,400.0,2.0,8.0,,1.0,427.0,4.0,1.0,,4.0,5.0,33.0,,,1.0,12.0,1.0,21.0,1.0,5.0,2.0,52.0,701.0,12.0,6.0,1.0,8.0,4.0,71.0,,,0.0,,4.0,1.0,1.0,0.0,4.0,,1.0,1.0,72.3,16.0,7.0,1.0,12.0,6.0,56.0,8.0,,772.0,4.0,10.0,22.0,8.0,27.0,,5.0,363.0,10.0,10.0,7.0,150.0,21.0,1.0,1.0,9.0,12.0,16.0,2.0,20.0,1.0,4.0,8.0,,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,,3.0,1.0,,,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,
20,2367733,2023-12-30 15:00:00,"Etihad Stadium, Manchester",53108.0,Home,Manchester City,Sheffield United,2,0,W,1,0,0,0,1.0,1.0,43.0,1.0,4.0,,39.0,10.0,8.0,6.0,10.0,2.0,,1.0,192.0,2.0,6.0,2.0,1.0,14.0,,2.0,4.0,321.0,91.0,29.0,18.0,6.0,1.0,,1.0,,2.0,,14.0,4.0,1.0,10.0,3.0,12.0,42.0,682.0,1.0,0.0,336.0,5.0,,1.0,2.0,,1.0,168.0,166.0,10.0,195.0,4.0,11.0,13.0,8.0,3.0,4.0,91.0,2.0,4.0,292.0,1128.0,12.0,,42.0,,2.0,927.0,11.0,,6.0,2.0,,1.0,2.0,4.0,8.0,983.0,108.0,3.0,,,91651,5.0,264.0,1.0,8.0,,,270.0,4.0,2.0,1.0,7.0,,30.0,,4.0,1.0,5.0,2.0,7.0,,,1.0,47.0,944.0,6.0,4.0,,,4.0,49.0,,,0.0,,2.0,2.0,1.0,0.0,2.0,1.0,,4.0,80.6,8.0,7.0,,5.0,6.0,44.0,12.0,1.0,1000.0,2.0,9.0,28.0,8.0,32.0,,4.0,744.0,8.0,12.0,11.0,296.0,20.0,1.0,1.0,6.0,7.0,14.0,3.0,12.0,1.0,7.0,12.0,,2.0,1.0,,,1.0,,,,1.0,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
21,2367746,2024-01-13 17:30:00,"St. James' Park, Newcastle",52190.0,Away,Manchester City,Newcastle United,3,2,W,1,2,0,0,3.0,1.0,58.0,2.0,5.0,,23.0,9.0,11.0,11.0,15.0,3.0,,5.0,183.0,2.0,16.0,3.0,2.0,21.0,1.0,,11.0,222.0,127.0,38.0,27.0,12.0,4.0,2.0,2.0,,3.0,3.0,20.0,6.0,4.0,9.0,6.0,7.0,48.0,514.0,,0.0,309.0,7.0,2.0,1.0,2.0,,,89.0,123.0,17.0,120.0,,14.0,18.0,12.0,3.0,3.0,127.0,1.0,10.0,222.0,942.0,17.0,,67.0,,5.0,652.0,15.0,2.0,2.0,3.0,,2.0,4.0,4.0,15.0,719.0,81.0,1.0,,2.0,91651,8.0,165.0,1.0,11.0,,1.0,181.0,7.0,3.0,1.0,5.0,4.0,44.0,1.0,1.0,1.0,3.0,3.0,13.0,2.0,2.0,2.0,47.0,677.0,7.0,1.0,1.0,10.0,2.0,41.0,2.0,,0.0,1.0,3.0,3.0,2.0,0.0,2.0,2.0,1.0,,72.6,15.0,15.0,,3.0,9.0,29.0,13.0,,747.0,5.0,19.0,30.0,7.0,44.0,,4.0,586.0,16.0,7.0,5.0,268.0,24.0,,,2.0,11.0,22.0,3.0,21.0,,5.0,13.0,,4.0,,2.0,3.0,,,2.0,,2.0,,1.0,,2.0,1.0,,1.0,2.0,,,,,,,2.0,,,1.0,1.0,,,,2.0,3.0,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,
22,2367757,2024-01-31 19:30:00,"Etihad Stadium, Manchester",53099.0,Home,Manchester City,Burnley,3,1,W,2,0,0,0,,2.0,45.0,1.0,2.0,1.0,24.0,8.0,5.0,3.0,9.0,2.0,,1.0,212.0,1.0,13.0,3.0,4.0,11.0,,1.0,4.0,220.0,124.0,53.0,14.0,7.0,1.0,,,,2.0,1.0,11.0,7.0,,8.0,4.0,16.0,28.0,299.0,,0.0,179.0,3.0,,1.0,,,1.0,98.0,76.0,9.0,132.0,1.0,7.0,14.0,5.0,1.0,,124.0,2.0,6.0,231.0,949.0,8.0,4.0,30.0,,5.0,694.0,18.0,1.0,3.0,3.0,,2.0,2.0,2.0,18.0,772.0,51.0,3.0,,,97299,3.0,419.0,,6.0,1.0,1.0,447.0,3.0,2.0,,3.0,4.0,35.0,,3.0,3.0,4.0,2.0,7.0,2.0,4.0,,38.0,717.0,13.0,5.0,,6.0,2.0,68.0,,,0.0,5.0,3.0,,2.0,0.0,1.0,3.0,1.0,3.0,74.1,17.0,5.0,,4.0,6.0,51.0,7.0,1.0,795.0,5.0,13.0,17.0,4.0,24.0,,4.0,359.0,8.0,15.0,17.0,143.0,17.0,2.0,1.0,3.0,10.0,10.0,4.0,20.0,1.0,3.0,7.0,2.0,4.0,,,3.0,1.0,,1.0,,2.0,,1.0,,1.0,,,,1.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,2367760,2024-02-05 20:00:00,"Gtech Community Stadium, Brentford",17096.0,Away,Manchester City,Brentford,3,1,W,1,1,0,0,2.0,2.0,61.0,1.0,3.0,,25.0,23.0,13.0,10.0,12.0,1.0,2.0,9.0,197.0,6.0,9.0,3.0,,17.0,1.0,1.0,15.0,222.0,125.0,34.0,25.0,15.0,4.0,,2.0,2.0,2.0,3.0,28.0,8.0,8.0,23.0,11.0,6.0,34.0,518.0,,0.0,324.0,4.0,,3.0,2.0,,1.0,146.0,101.0,15.0,150.0,1.0,17.0,16.0,13.0,7.0,1.0,125.0,2.0,7.0,181.0,950.0,14.0,,44.0,1.0,5.0,670.0,24.0,3.0,12.0,2.0,3.0,0.0,4.0,2.0,20.0,739.0,79.0,1.0,,,97299,10.0,167.0,1.0,10.0,1.0,,188.0,4.0,,1.0,7.0,3.0,39.0,1.0,3.0,,4.0,3.0,12.0,2.0,2.0,2.0,39.0,679.0,2.0,2.0,1.0,9.0,6.0,37.0,,,0.0,,8.0,1.0,3.0,0.0,4.0,2.0,,2.0,71.9,18.0,8.0,,4.0,7.0,28.0,13.0,1.0,750.0,5.0,7.0,20.0,3.0,45.0,2.0,2.0,590.0,13.0,6.0,12.0,282.0,25.0,,2.0,12.0,11.0,19.0,2.0,20.0,2.0,7.0,13.0,1.0,4.0,,,,2.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,3.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2367773,2024-02-10 12:30:00,"Etihad Stadium, Manchester",,Home,Manchester City,Everton,2,0,W,0,0,0,0,1.0,1.0,48.0,1.0,8.0,,33.0,7.0,5.0,9.0,14.0,1.0,1.0,,204.0,5.0,11.0,2.0,3.0,16.0,,,3.0,197.0,126.0,45.0,19.0,8.0,1.0,2.0,2.0,1.0,2.0,,29.0,6.0,,7.0,8.0,13.0,42.0,369.0,1.0,0.0,235.0,6.0,3.0,,1.0,1.0,,126.0,107.0,11.0,139.0,1.0,21.0,11.0,5.0,7.0,2.0,126.0,2.0,2.0,232.0,963.0,12.0,,52.0,,6.0,693.0,17.0,2.0,1.0,2.0,1.0,0.0,1.0,5.0,22.0,754.0,57.0,1.0,1.0,,97299,9.0,345.0,1.0,13.0,1.0,,361.0,6.0,1.0,1.0,4.0,4.0,42.0,1.0,1.0,1.0,5.0,1.0,16.0,3.0,4.0,2.0,50.0,709.0,11.0,7.0,2.0,9.0,7.0,69.0,2.0,,0.0,,,1.0,2.0,0.0,2.0,1.0,1.0,4.0,72.5,21.0,9.0,,5.0,11.0,54.0,9.0,,772.0,6.0,9.0,27.0,5.0,34.0,3.0,3.0,440.0,6.0,13.0,11.0,204.0,16.0,2.0,,1.0,12.0,12.0,4.0,23.0,,4.0,9.0,,3.0,1.0,,3.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
25,2367783,2024-02-17 17:30:00,"Etihad Stadium, Manchester",53509.0,Home,Manchester City,Chelsea,1,1,D,0,1,0,0,1.0,,51.0,,9.0,,26.0,10.0,8.0,13.0,23.0,5.0,1.0,1.0,196.0,16.0,7.0,1.0,4.0,25.0,1.0,1.0,5.0,195.0,136.0,44.0,31.0,14.0,4.0,3.0,4.0,1.0,,2.0,47.0,8.0,,10.0,9.0,5.0,38.0,454.0,,0.0,306.0,7.0,3.0,1.0,1.0,2.0,,147.0,86.0,16.0,136.0,2.0,38.0,23.0,8.0,14.0,3.0,136.0,3.0,8.0,184.0,942.0,23.0,1.0,79.0,2.0,5.0,626.0,19.0,,4.0,,1.0,1.0,1.0,9.0,20.0,690.0,80.0,,,,97299,12.0,209.0,3.0,22.0,3.0,3.0,223.0,7.0,,2.0,7.0,2.0,52.0,1.0,,,6.0,1.0,11.0,1.0,2.0,2.0,36.0,647.0,12.0,3.0,2.0,5.0,7.0,45.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,14.0,,,8.0,70.4,19.0,4.0,1.0,6.0,14.0,36.0,12.0,,711.0,5.0,18.0,30.0,12.0,59.0,2.0,9.0,535.0,10.0,5.0,11.0,263.0,22.0,,1.0,4.0,15.0,20.0,1.0,17.0,1.0,7.0,12.0,1.0,5.0,1.0,1.0,5.0,,,1.0,,5.0,,2.0,,1.0,,,,1.0,,4.0,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
