gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attIboxBlocked,fouledFinalThird,accuratePullBack,attFreekickTotal,attOboxBlocked,attIboxTarget,attObxLeft,attBxRight,attOboxTarget,cleanSheet,attSvLowLeft,freekickCross,goodHighClaim,freekickTotal,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,totalPullBack,defenderGoals,accurateKeeperThrows,attAssistSetplay,attGoalHighLeft,keeperThrows,blockedScoringAtt,totalHighClaim,penaltySave,attRfTarget,attSvLowCentre,penaltyConceded,attSvLowRight,punches,penaltyFaced,goalsConcededObox,attGoalLowCentre,shotFastbreak,penaltyWon,totalFastbreak,attPenGoal,attFastbreak,ptsGainedLosingPos,attMissHighLeft,attBxLeft,attPenTarget,attHdTarget,attObxRight,attSvHighCentre,attMissHighRight,midfielderGoals,goalFastbreak,attOneOnOne,attSvHighLeft,attGoalHighRight,attOboxGoal,attObxdLeft,attLfGoal,hitWoodwork,attCmissHighLeft,foulThrowIn,attGoalLowRight,clearanceOffLine,postScoringAtt,attIboxPost,attPostLeft,errorLeadToShot,attObpGoal,attFreekickTarget,secondYellow,attFreekickMiss,ownGoals,attIboxOwnGoal,attHdPost,attPostHigh,attCmissHighRight,errorLeadToGoal,attObxdRight,attSvHighRight,attPostRight,attFreekickGoal,penGoalsConceded,attLgCentre
11,918999,2017-11-04 12:30:00,"bet365 Stadium, Stoke",29602,Away,Leicester City,Stoke City,2,2,D,1,1,0,0,,60.0,,1.0,1.0,,18.0,24.0,4.0,9.0,10.0,5.0,158.0,6.0,6.0,2.0,11.0,2.0,4.0,112.0,144.0,58.0,14.0,27.0,,1.0,2.0,21.0,11.0,24.0,7.0,11.0,27.0,156.0,0.0,101.0,8.0,4.0,41.0,82.0,7.0,57.0,,2.0,14.0,17.0,4.0,,4.0,1.0,144.0,1.0,,9.0,97.0,613.0,9.0,8.0,25.0,4.0,324.0,26.0,6.0,14.0,2.0,,0.0,1.0,4.0,24.0,402.0,53.0,,95658,6.0,187.0,10.0,211.0,5.0,,17.0,5.0,56.0,,,5.0,1.0,12.0,2.0,1.0,1.0,47.0,337.0,12.0,6.0,21.0,67.0,,0.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,3.0,,,2.0,52.8,16.0,1.0,4.0,28.0,10.0,424.0,4.0,12.0,8.0,5.0,19.0,3.0,4.0,234.0,3.0,11.0,26.0,64.0,24.0,,2.0,14.0,14.0,,2.0,9.0,3.0,9.0,2.0,2.0,11.0,10.0,,1.0,3.0,1.0,,1.0,2.0,1.0,,2.0,1.0,,,,2.0,1.0,,1.0,2.0,,,,3.0,,,4.0,5.0,2.0,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,2.0,,2.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,919008,2017-11-18 15:00:00,"King Power Stadium, Leicester",31908,Home,Leicester City,Manchester City,0,2,L,0,1,0,0,,45.0,,,,,26.0,24.0,1.0,,1.0,2.0,118.0,1.0,10.0,,1.0,1.0,,60.0,128.0,41.0,2.0,13.0,1.0,,,4.0,7.0,24.0,,5.0,39.0,64.0,0.0,68.0,8.0,1.0,35.0,40.0,1.0,38.0,2.0,1.0,4.0,23.0,1.0,,,,128.0,,1.0,7.0,50.0,423.0,1.0,11.0,6.0,11.0,161.0,20.0,3.0,10.0,,1.0,1.0,2.0,,26.0,237.0,42.0,,95658,1.0,112.0,4.0,132.0,3.0,,23.0,12.0,47.0,,1.0,3.0,,13.0,5.0,3.0,,65.0,175.0,9.0,13.0,16.0,64.0,,0.0,1.0,7.0,2.0,,2.0,3.0,0.0,1.0,,,,25.3,22.0,,2.0,29.0,1.0,266.0,11.0,8.0,17.0,1.0,14.0,,1.0,138.0,2.0,4.0,12.0,25.0,19.0,,1.0,10.0,11.0,,1.0,1.0,3.0,15.0,,1.0,14.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,919022,2017-11-24 20:00:00,"London Stadium, London",56897,Away,Leicester City,West Ham United,1,1,D,1,1,0,0,,63.0,1.0,1.0,,,28.0,35.0,4.0,1.0,3.0,3.0,157.0,1.0,9.0,1.0,3.0,1.0,2.0,87.0,155.0,65.0,7.0,28.0,1.0,,1.0,18.0,16.0,35.0,3.0,3.0,18.0,133.0,0.0,72.0,12.0,3.0,61.0,64.0,1.0,69.0,,3.0,15.0,16.0,4.0,,2.0,3.0,155.0,,,7.0,91.0,605.0,2.0,10.0,10.0,9.0,300.0,27.0,10.0,15.0,,1.0,1.0,1.0,2.0,21.0,382.0,39.0,,95658,2.0,181.0,11.0,208.0,4.0,1.0,16.0,9.0,75.0,,1.0,1.0,1.0,16.0,1.0,3.0,,61.0,313.0,9.0,18.0,29.0,79.0,,0.0,2.0,5.0,2.0,1.0,1.0,3.0,0.0,1.0,,,1.0,50.7,13.0,1.0,4.0,43.0,5.0,404.0,9.0,12.0,13.0,5.0,21.0,,2.0,214.0,5.0,2.0,23.0,45.0,25.0,,7.0,15.0,24.0,,1.0,4.0,2.0,16.0,2.0,7.0,3.0,5.0,,,,1.0,,,,,,,1.0,,,2.0,,,,,,,,,4.0,1.0,,4.0,,,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14,919026,2017-11-28 19:45:00,"King Power Stadium, Leicester",31950,Home,Leicester City,Tottenham Hotspur,2,1,W,2,0,0,0,,74.0,,1.0,,,25.0,45.0,3.0,2.0,4.0,4.0,139.0,2.0,9.0,2.0,6.0,,4.0,72.0,150.0,56.0,7.0,18.0,,2.0,1.0,14.0,14.0,45.0,3.0,8.0,45.0,92.0,0.0,84.0,7.0,2.0,72.0,34.0,4.0,48.0,2.0,1.0,11.0,17.0,3.0,,3.0,1.0,150.0,2.0,1.0,13.0,77.0,558.0,2.0,9.0,9.0,14.0,226.0,37.0,2.0,20.0,2.0,,1.0,4.0,2.0,22.0,303.0,41.0,1.0,95658,4.0,150.0,8.0,178.0,4.0,1.0,17.0,11.0,54.0,,3.0,2.0,2.0,14.0,5.0,4.0,1.0,69.0,240.0,8.0,10.0,21.0,66.0,,0.0,2.0,9.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,37.4,18.0,2.0,3.0,29.0,4.0,336.0,14.0,9.0,25.0,3.0,21.0,1.0,2.0,172.0,2.0,7.0,16.0,47.0,22.0,1.0,4.0,20.0,23.0,,1.0,5.0,3.0,19.0,,4.0,5.0,4.0,,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,2.0,,1.0,,,4.0,2.0,1.0,4.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
15,919038,2017-12-02 15:00:00,"King Power Stadium, Leicester",30714,Home,Leicester City,Burnley,1,0,W,1,0,0,0,1.0,52.0,,2.0,,,31.0,24.0,8.0,7.0,8.0,5.0,181.0,2.0,9.0,1.0,13.0,,3.0,85.0,177.0,52.0,16.0,21.0,1.0,,3.0,25.0,7.0,24.0,9.0,5.0,41.0,163.0,0.0,143.0,3.0,3.0,79.0,72.0,8.0,66.0,,2.0,16.0,20.0,8.0,,3.0,4.0,177.0,,,9.0,83.0,610.0,12.0,18.0,25.0,4.0,288.0,20.0,7.0,13.0,,1.0,0.0,3.0,5.0,30.0,385.0,62.0,,95658,5.0,141.0,11.0,172.0,2.0,,20.0,9.0,50.0,,1.0,1.0,1.0,14.0,5.0,3.0,,80.0,302.0,11.0,3.0,30.0,69.0,,0.0,1.0,7.0,2.0,1.0,,4.0,0.0,1.0,,1.0,,51.6,28.0,,2.0,29.0,10.0,415.0,4.0,10.0,24.0,6.0,39.0,1.0,1.0,268.0,8.0,5.0,25.0,92.0,23.0,1.0,3.0,13.0,7.0,,,14.0,1.0,22.0,,3.0,5.0,10.0,,2.0,4.0,2.0,1.0,,3.0,1.0,,1.0,1.0,1.0,,2.0,,,1.0,,,,2.0,,2.0,1.0,,2.0,7.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
16,919048,2017-12-09 17:30:00,"St. James' Park, Newcastle",52117,Away,Leicester City,Newcastle United,3,2,W,1,1,0,0,,67.0,,2.0,,,33.0,16.0,7.0,2.0,6.0,2.0,215.0,5.0,22.0,3.0,11.0,2.0,5.0,129.0,167.0,76.0,13.0,33.0,,2.0,2.0,16.0,13.0,16.0,3.0,13.0,37.0,244.0,0.0,129.0,8.0,1.0,125.0,68.0,5.0,89.0,1.0,2.0,13.0,24.0,7.0,,6.0,4.0,167.0,,2.0,5.0,129.0,751.0,9.0,16.0,18.0,6.0,435.0,40.0,10.0,12.0,2.0,,1.0,2.0,6.0,21.0,539.0,54.0,,95658,,207.0,5.0,246.0,3.0,1.0,24.0,7.0,71.0,,1.0,2.0,2.0,9.0,5.0,2.0,,79.0,446.0,10.0,9.0,40.0,87.0,,0.0,4.0,6.0,,2.0,2.0,7.0,0.0,4.0,,,1.0,62.2,17.0,1.0,2.0,52.0,5.0,562.0,6.0,16.0,23.0,7.0,24.0,1.0,3.0,332.0,10.0,13.0,24.0,93.0,22.0,1.0,1.0,12.0,20.0,,2.0,10.0,3.0,27.0,,1.0,8.0,5.0,,1.0,,3.0,,,1.0,2.0,,3.0,1.0,,1.0,2.0,,,,,,3.0,,,,,1.0,,1.0,,,2.0,,,2.0,1.0,,,,,,,,,3.0,1.0,2.0,,,,,2.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
17,919061,2017-12-13 19:45:00,"St. Mary's Stadium, Southampton",27714,Away,Leicester City,Southampton,4,1,W,3,0,0,0,3.0,55.0,,2.0,1.0,,34.0,17.0,7.0,9.0,9.0,3.0,136.0,4.0,9.0,4.0,10.0,,11.0,87.0,141.0,61.0,16.0,21.0,,2.0,,13.0,15.0,17.0,7.0,6.0,27.0,127.0,0.0,104.0,9.0,1.0,82.0,26.0,9.0,61.0,2.0,2.0,6.0,17.0,7.0,,3.0,1.0,141.0,2.0,,6.0,85.0,573.0,5.0,13.0,16.0,11.0,260.0,19.0,2.0,7.0,3.0,,0.0,2.0,1.0,25.0,339.0,65.0,,95658,4.0,155.0,3.0,172.0,4.0,2.0,17.0,7.0,56.0,,2.0,1.0,2.0,11.0,5.0,3.0,,68.0,278.0,13.0,9.0,14.0,69.0,,0.0,4.0,9.0,1.0,3.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,46.6,19.0,1.0,4.0,31.0,9.0,369.0,11.0,11.0,10.0,2.0,19.0,2.0,1.0,210.0,6.0,6.0,16.0,63.0,22.0,,4.0,7.0,23.0,,1.0,7.0,3.0,17.0,,4.0,6.0,9.0,1.0,4.0,1.0,3.0,,2.0,2.0,4.0,,1.0,3.0,,1.0,,2.0,2.0,,,1.0,2.0,,,4.0,2.0,,4.0,3.0,2.0,,3.0,,,4.0,,,,3.0,1.0,,1.0,,1.0,,,1.0,,,,2.0,,4.0,,,,,1.0,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
18,919068,2017-12-16 12:30:00,"King Power Stadium, Leicester",31081,Home,Leicester City,Crystal Palace,0,3,L,0,2,1,0,,62.0,,,,,35.0,12.0,3.0,3.0,8.0,3.0,158.0,6.0,21.0,,7.0,,2.0,112.0,166.0,73.0,11.0,22.0,1.0,,1.0,31.0,13.0,12.0,6.0,8.0,43.0,184.0,0.0,133.0,12.0,2.0,93.0,59.0,5.0,63.0,1.0,1.0,25.0,22.0,3.0,,4.0,2.0,166.0,,,10.0,119.0,678.0,5.0,15.0,25.0,12.0,340.0,27.0,5.0,5.0,,1.0,2.0,4.0,2.0,27.0,432.0,52.0,,95658,4.0,179.0,17.0,203.0,8.0,,22.0,5.0,78.0,,1.0,,,15.0,3.0,4.0,1.0,57.0,357.0,13.0,20.0,18.0,76.0,,0.0,4.0,4.0,3.0,,3.0,4.0,1.0,3.0,,2.0,2.0,56.1,25.0,2.0,6.0,49.0,6.0,452.0,12.0,10.0,27.0,5.0,30.0,3.0,3.0,280.0,4.0,7.0,23.0,94.0,23.0,,,5.0,16.0,,2.0,6.0,3.0,36.0,,,13.0,6.0,,1.0,3.0,5.0,,1.0,1.0,2.0,,1.0,,,1.0,4.0,2.0,1.0,,,,,,,3.0,2.0,,3.0,4.0,2.0,,1.0,1.0,,,,,1.0,,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
19,919077,2017-12-23 19:45:00,"King Power Stadium, Leicester",32202,Home,Leicester City,Manchester United,2,2,D,1,1,1,0,2.0,63.0,1.0,3.0,,,25.0,16.0,5.0,5.0,6.0,4.0,160.0,1.0,5.0,2.0,9.0,,3.0,118.0,140.0,28.0,11.0,14.0,1.0,2.0,1.0,15.0,3.0,16.0,4.0,10.0,51.0,192.0,0.0,131.0,19.0,1.0,80.0,67.0,6.0,59.0,2.0,2.0,11.0,13.0,5.0,,3.0,3.0,140.0,5.0,1.0,9.0,111.0,610.0,5.0,8.0,19.0,16.0,339.0,32.0,,8.0,2.0,1.0,2.0,4.0,1.0,19.0,419.0,62.0,1.0,95658,2.0,163.0,8.0,182.0,13.0,1.0,13.0,10.0,61.0,,1.0,,2.0,8.0,10.0,4.0,,70.0,354.0,8.0,12.0,17.0,71.0,,0.0,4.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,,,49.7,16.0,,4.0,40.0,4.0,448.0,16.0,9.0,29.0,3.0,28.0,,,281.0,6.0,9.0,7.0,82.0,19.0,1.0,5.0,8.0,8.0,,1.0,9.0,3.0,13.0,2.0,5.0,6.0,4.0,,1.0,3.0,1.0,,,2.0,1.0,,2.0,,,,,,,,3.0,1.0,,,1.0,4.0,,,4.0,5.0,,,,1.0,,,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
20,919091,2017-12-26 15:00:00,"Vicarage Road, Watford",20308,Away,Leicester City,Watford,1,2,L,1,1,0,0,1.0,73.0,,,,,32.0,22.0,3.0,1.0,8.0,,150.0,9.0,15.0,1.0,9.0,,5.0,79.0,188.0,66.0,11.0,22.0,,1.0,3.0,23.0,8.0,22.0,7.0,11.0,43.0,116.0,0.0,95.0,13.0,,69.0,54.0,6.0,46.0,1.0,,16.0,14.0,3.0,,6.0,,188.0,3.0,,11.0,84.0,577.0,5.0,13.0,23.0,7.0,231.0,31.0,8.0,14.0,1.0,,3.0,3.0,3.0,43.0,339.0,52.0,2.0,95658,7.0,137.0,9.0,164.0,6.0,,14.0,6.0,68.0,,3.0,6.0,1.0,15.0,1.0,5.0,,72.0,244.0,6.0,13.0,25.0,83.0,1.0,0.0,4.0,8.0,,1.0,2.0,2.0,0.0,5.0,1.0,,5.0,50.2,29.0,2.0,1.0,41.0,8.0,359.0,7.0,9.0,17.0,3.0,32.0,4.0,3.0,218.0,4.0,9.0,30.0,44.0,38.0,,5.0,14.0,15.0,1.0,2.0,6.0,3.0,26.0,3.0,5.0,10.0,8.0,,1.0,1.0,1.0,,,2.0,3.0,,,1.0,,1.0,1.0,,,,2.0,,,,,1.0,3.0,1.0,1.0,3.0,,,1.0,2.0,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,
21,919097,2017-12-30 15:00:00,"Anfield, Liverpool",53226,Away,Leicester City,Liverpool,1,2,L,1,0,0,0,1.0,72.0,,3.0,,,22.0,32.0,3.0,3.0,4.0,4.0,167.0,,10.0,1.0,6.0,1.0,1.0,68.0,171.0,50.0,7.0,17.0,2.0,1.0,,12.0,9.0,32.0,1.0,9.0,46.0,114.0,0.0,87.0,3.0,1.0,60.0,41.0,6.0,52.0,2.0,1.0,11.0,25.0,3.0,1.0,4.0,1.0,171.0,1.0,,13.0,84.0,570.0,5.0,8.0,18.0,12.0,245.0,33.0,1.0,14.0,1.0,2.0,2.0,5.0,,25.0,338.0,55.0,1.0,95658,1.0,144.0,7.0,177.0,2.0,1.0,25.0,13.0,45.0,,1.0,3.0,1.0,15.0,5.0,3.0,,73.0,258.0,7.0,10.0,16.0,93.0,,0.0,1.0,7.0,1.0,1.0,2.0,2.0,0.0,,1.0,,,39.4,13.0,,4.0,40.0,1.0,371.0,12.0,7.0,18.0,1.0,25.0,,,206.0,4.0,7.0,17.0,45.0,24.0,1.0,5.0,14.0,16.0,,2.0,6.0,3.0,18.0,3.0,5.0,12.0,1.0,,,3.0,1.0,,,2.0,,,1.0,,,,,2.0,,,,,,,,2.0,,,2.0,5.0,3.0,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
22,919107,2018-01-01 15:00:00,"King Power Stadium, Leicester",31748,Home,Leicester City,Huddersfield Town,3,0,W,0,0,0,0,2.0,74.0,2.0,1.0,,,37.0,19.0,3.0,4.0,8.0,1.0,192.0,3.0,16.0,3.0,7.0,,5.0,113.0,169.0,64.0,11.0,26.0,,2.0,1.0,20.0,9.0,19.0,4.0,22.0,44.0,207.0,0.0,131.0,7.0,,84.0,69.0,4.0,71.0,,2.0,16.0,20.0,3.0,,4.0,2.0,169.0,1.0,,2.0,106.0,689.0,3.0,21.0,17.0,8.0,376.0,30.0,6.0,14.0,2.0,,1.0,2.0,3.0,32.0,463.0,61.0,1.0,95658,4.0,183.0,11.0,203.0,3.0,2.0,20.0,6.0,73.0,,2.0,4.0,3.0,18.0,4.0,4.0,,71.0,387.0,9.0,11.0,19.0,84.0,,0.0,1.0,1.0,,2.0,,9.0,0.0,2.0,2.0,1.0,3.0,51.4,28.0,1.0,7.0,52.0,4.0,482.0,8.0,13.0,29.0,6.0,36.0,1.0,3.0,299.0,4.0,20.0,25.0,90.0,30.0,1.0,2.0,14.0,14.0,,,7.0,3.0,32.0,,2.0,10.0,4.0,,1.0,,,,,,2.0,,3.0,,1.0,,1.0,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,1.0,1.0,,2.0,,1.0,,1.0,,,1.0,,2.0,1.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
23,919114,2018-01-13 15:00:00,"Stamford Bridge, London",41552,Away,Leicester City,Chelsea,0,0,D,0,0,1,0,,72.0,,3.0,,,42.0,24.0,6.0,3.0,8.0,7.0,145.0,3.0,21.0,,11.0,,1.0,94.0,135.0,63.0,14.0,11.0,,,3.0,10.0,11.0,24.0,3.0,5.0,54.0,176.0,0.0,132.0,13.0,3.0,80.0,56.0,6.0,64.0,,1.0,7.0,11.0,6.0,,2.0,2.0,135.0,1.0,,6.0,112.0,615.0,10.0,9.0,23.0,12.0,311.0,24.0,7.0,10.0,,,2.0,5.0,5.0,17.0,388.0,66.0,2.0,95658,3.0,156.0,4.0,173.0,6.0,,11.0,4.0,53.0,,3.0,3.0,,18.0,11.0,2.0,,74.0,329.0,12.0,16.0,16.0,70.0,2.0,0.0,2.0,6.0,4.0,,,1.0,1.0,2.0,,1.0,1.0,44.5,12.0,,9.0,46.0,3.0,415.0,12.0,8.0,31.0,6.0,22.0,1.0,4.0,252.0,10.0,4.0,17.0,83.0,27.0,,3.0,10.0,14.0,,,10.0,3.0,26.0,,3.0,5.0,3.0,,,3.0,4.0,1.0,,4.0,1.0,,1.0,,1.0,,1.0,3.0,,,1.0,2.0,2.0,1.0,,7.0,1.0,,8.0,7.0,3.0,,,1.0,,,1.0,,,,,,,,,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,919127,2018-01-20 15:00:00,"King Power Stadium, Leicester",31891,Home,Leicester City,Watford,2,0,W,1,0,0,0,1.0,65.0,,2.0,,,37.0,26.0,1.0,2.0,8.0,3.0,166.0,2.0,19.0,2.0,6.0,,5.0,100.0,166.0,57.0,9.0,22.0,,1.0,1.0,12.0,5.0,26.0,2.0,6.0,37.0,160.0,0.0,116.0,11.0,3.0,87.0,46.0,5.0,57.0,1.0,1.0,10.0,19.0,1.0,,1.0,1.0,166.0,,,5.0,99.0,642.0,4.0,8.0,24.0,9.0,318.0,19.0,4.0,14.0,1.0,,0.0,4.0,1.0,24.0,397.0,60.0,1.0,95658,5.0,173.0,6.0,196.0,5.0,1.0,19.0,7.0,68.0,,1.0,5.0,1.0,22.0,6.0,1.0,,72.0,331.0,10.0,9.0,15.0,76.0,,0.0,4.0,5.0,1.0,2.0,,4.0,0.0,1.0,,,2.0,53.4,17.0,2.0,6.0,41.0,4.0,422.0,9.0,12.0,19.0,3.0,25.0,1.0,2.0,238.0,5.0,5.0,14.0,80.0,30.0,1.0,2.0,14.0,15.0,,,6.0,2.0,34.0,,2.0,8.0,4.0,,1.0,1.0,5.0,1.0,,,3.0,,,,1.0,,3.0,2.0,,1.0,,1.0,1.0,1.0,,3.0,1.0,,3.0,1.0,2.0,,2.0,3.0,,,1.0,,,1.0,3.0,1.0,4.0,1.0,3.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
25,919137,2018-01-31 19:45:00,"Goodison Park, Liverpool",38390,Away,Leicester City,Everton,1,2,L,0,2,0,0,1.0,53.0,1.0,2.0,,,35.0,33.0,,3.0,8.0,1.0,162.0,5.0,10.0,1.0,4.0,,2.0,109.0,180.0,59.0,8.0,13.0,1.0,,,20.0,9.0,33.0,4.0,13.0,46.0,129.0,0.0,122.0,10.0,1.0,66.0,62.0,2.0,59.0,2.0,,16.0,19.0,,,8.0,,180.0,1.0,,5.0,110.0,642.0,3.0,15.0,14.0,14.0,301.0,23.0,5.0,19.0,,1.0,2.0,2.0,2.0,38.0,415.0,74.0,,95658,3.0,195.0,8.0,217.0,4.0,1.0,19.0,9.0,53.0,,2.0,,,8.0,4.0,3.0,,79.0,319.0,9.0,7.0,26.0,92.0,,0.0,2.0,5.0,,1.0,2.0,6.0,0.0,4.0,,1.0,2.0,55.7,28.0,1.0,1.0,41.0,5.0,440.0,14.0,15.0,20.0,4.0,30.0,1.0,1.0,243.0,3.0,12.0,23.0,61.0,20.0,1.0,,19.0,17.0,,2.0,3.0,3.0,19.0,,,6.0,5.0,1.0,,2.0,2.0,,,,1.0,,1.0,,,,,,,,3.0,1.0,,,,6.0,1.0,,6.0,2.0,,,1.0,,,,3.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,3.0,,,,1.0,3.0,3.0,1.0,2.0,,,,,,,1.0,2.0,,1.0,,,,,,
26,919148,2018-02-03 15:00:00,"King Power Stadium, Leicester",31179,Home,Leicester City,Swansea City,1,1,D,1,0,0,0,1.0,76.0,,,,,38.0,19.0,3.0,5.0,9.0,,164.0,3.0,7.0,1.0,7.0,,5.0,126.0,155.0,51.0,13.0,20.0,,1.0,4.0,22.0,14.0,19.0,2.0,12.0,39.0,238.0,0.0,166.0,9.0,,100.0,69.0,3.0,83.0,,,20.0,21.0,4.0,,12.0,1.0,155.0,1.0,,3.0,148.0,718.0,5.0,3.0,21.0,11.0,418.0,32.0,3.0,13.0,1.0,,1.0,1.0,4.0,34.0,508.0,88.0,1.0,95658,6.0,192.0,6.0,209.0,8.0,1.0,21.0,3.0,53.0,,4.0,5.0,1.0,13.0,,1.0,1.0,65.0,427.0,8.0,11.0,9.0,82.0,1.0,0.0,3.0,3.0,,1.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,60.1,27.0,2.0,6.0,57.0,3.0,521.0,11.0,8.0,18.0,5.0,43.0,,4.0,334.0,6.0,11.0,20.0,108.0,35.0,1.0,3.0,13.0,16.0,,1.0,9.0,3.0,13.0,2.0,3.0,11.0,3.0,,3.0,2.0,1.0,1.0,,1.0,2.0,,1.0,2.0,,,2.0,,,1.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,3.0,,,1.0,3.0,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
