gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,attLfTarget,goals,attPenTarget,attObxLeft,shotFastbreak,goalAssistOpenplay,attGoalHighRight,attOboxGoal,penaltyWon,midfielderGoals,goodHighClaim,secondYellow,attHdTarget,goalAssist,accurateThroughBall,sixYardBlock,attSetpiece,penaltyConceded,attObxdLeft,attRfGoal,attFastbreak,attSvLowRight,attSvHighCentre,penaltyFaced,totalHighClaim,penGoalsConceded,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,fouledFinalThird,freekickCross,attLgCentre,totalKeeperSweeper,attBxCentre,defenderGoals,attPenGoal,punches,attIboxGoal,goalAssistIntentional,attHdGoal,attOpenplay,attLfGoal,cleanSheet,attCmissHigh,goalsOpenplay,attObxRight,forwardGoals,attGoalLowLeft,attMissHighRight,errorLeadToShot,totalPullBack,attGoalHighLeft,foulThrowIn,accurateKeeperSweeper,attGoalLowCentre,postScoringAtt,attIboxPost,attSvHighLeft,hitWoodwork,attPostRight,attemptsIbox,saves,attCmissRight,ptsGainedLosingPos,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attCorner,attBxLeft,attGoalHighCentre,accuratePullBack,attFreekickPost,attOboxPost,attPostHigh,attBxRight,attCmissLeft,attCmissHighRight,ownGoals,attIboxOwnGoal,goalFastbreak,totalFastbreak
11,284104,2009-10-31 15:00:00,"Goodison Park, Liverpool",36648,Away,Aston Villa,Everton,1,1,D,0,1,1,1,,1.0,40.0,1.0,,20.0,37.0,7.0,5.0,1.0,12.0,5.0,10.0,4.0,155.0,52.0,1.0,15.0,6.0,25.0,3.0,2.0,3.0,31.0,12.0,,22.0,4.0,12.0,31.0,146.0,,0.0,138.0,18.0,,,66.0,57.0,5.0,1.0,2.0,27.0,1.0,12.0,1.0,140.0,6.0,572.0,9.0,18.0,18.0,22.0,,12.0,14.0,2.0,2.0,5.0,22.0,85.0,8380,101.0,13.0,112.0,14.0,63.0,,1.0,6.0,5.0,10.0,,47.0,235.0,16.0,5.0,1.0,28.0,92.0,0.0,,3.0,,1.0,6.0,1.0,10.0,,3.0,52.3,16.0,3.0,,6.0,6.0,,46.0,4.0,329.0,18.0,,12.0,13.0,5.0,21.0,2.0,4.0,248.0,7.0,11.0,17.0,79.0,7.0,5.0,7.0,14.0,1.0,2.0,9.0,,5.0,4.0,2.0,1.0,,,,,,,,,1.0,1.0,,,,,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,284110,2009-11-07 15:00:00,"Villa Park, Birmingham",38101,Home,Aston Villa,Bolton Wanderers,5,1,W,2,1,0,0,,,61.0,1.0,1.0,25.0,50.0,6.0,5.0,3.0,11.0,6.0,12.0,12.0,175.0,77.0,1.0,22.0,1.0,21.0,5.0,1.0,,38.0,21.0,2.0,25.0,7.0,12.0,27.0,196.0,1.0,0.0,142.0,16.0,,3.0,77.0,63.0,7.0,1.0,2.0,31.0,1.0,13.0,3.0,150.0,11.0,694.0,7.0,16.0,17.0,16.0,1.0,8.0,24.0,1.0,3.0,5.0,32.0,90.0,58845,102.0,14.0,115.0,5.0,78.0,2.0,2.0,2.0,3.0,2.0,1.0,51.0,287.0,17.0,4.0,2.0,24.0,89.0,0.0,1.0,1.0,4.0,1.0,9.0,0.0,7.0,1.0,6.0,56.6,32.0,2.0,3.0,2.0,2.0,,53.0,8.0,368.0,17.0,,25.0,16.0,8.0,24.0,4.0,4.0,291.0,11.0,12.0,27.0,98.0,32.0,2.0,12.0,27.0,1.0,3.0,18.0,,2.0,8.0,1.0,5.0,1.0,,,3.0,1.0,,1.0,2.0,1.0,,3.0,3.0,,,1.0,,,2.0,,1.0,,,1.0,,3.0,,,,,,,,1.0,,1.0,5.0,2.0,1.0,,2.0,,,,,2.0,,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,284122,2009-11-21 15:00:00,"Turf Moor, Burnley",21178,Away,Aston Villa,Burnley,1,1,D,0,1,0,0,,1.0,41.0,3.0,1.0,30.0,27.0,6.0,2.0,,6.0,2.0,9.0,2.0,166.0,46.0,,11.0,4.0,10.0,1.0,,1.0,23.0,20.0,,18.0,7.0,10.0,34.0,123.0,,0.0,118.0,14.0,1.0,,52.0,49.0,6.0,1.0,2.0,16.0,,4.0,2.0,157.0,4.0,586.0,5.0,18.0,22.0,17.0,,9.0,8.0,3.0,2.0,3.0,46.0,83.0,6808,131.0,10.0,154.0,9.0,47.0,1.0,3.0,2.0,8.0,4.0,1.0,71.0,248.0,6.0,7.0,3.0,34.0,100.0,0.0,,6.0,,1.0,8.0,0.0,4.0,,2.0,52.6,35.0,1.0,2.0,2.0,5.0,,43.0,8.0,356.0,22.0,,8.0,19.0,4.0,37.0,2.0,2.0,225.0,7.0,8.0,14.0,69.0,13.0,2.0,3.0,24.0,1.0,2.0,11.0,,2.0,8.0,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,,2.0,,,,,1.0,,,1.0,,,,,2.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,5.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,5.0,3.0,1.0,1.0,6.0,19.0,240.0,339.0,2.0,3.0,1.0,,,,,,,,,,,,
14,284131,2009-11-28 17:30:00,"Villa Park, Birmingham",39866,Home,Aston Villa,Tottenham Hotspur,1,1,D,1,0,0,0,,1.0,54.0,3.0,1.0,21.0,47.0,8.0,2.0,,6.0,3.0,10.0,1.0,175.0,50.0,,13.0,2.0,17.0,,,1.0,19.0,12.0,,28.0,4.0,13.0,29.0,130.0,,0.0,114.0,13.0,3.0,,54.0,52.0,2.0,,4.0,15.0,,6.0,6.0,156.0,10.0,588.0,9.0,29.0,13.0,19.0,,10.0,28.0,0.0,11.0,8.0,24.0,77.0,6808,79.0,9.0,106.0,11.0,65.0,2.0,,1.0,15.0,6.0,1.0,45.0,203.0,8.0,8.0,1.0,31.0,91.0,0.0,,9.0,3.0,1.0,7.0,0.0,5.0,1.0,3.0,36.6,23.0,3.0,,1.0,3.0,1.0,49.0,5.0,312.0,12.0,,23.0,15.0,9.0,18.0,1.0,3.0,225.0,7.0,13.0,22.0,57.0,29.0,3.0,15.0,17.0,1.0,2.0,8.0,,3.0,7.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,284141,2009-12-05 15:00:00,"Villa Park, Birmingham",39748,Home,Aston Villa,Hull City,3,0,W,2,0,0,0,,1.0,54.0,,3.0,22.0,38.0,9.0,3.0,1.0,7.0,5.0,12.0,4.0,170.0,79.0,,17.0,3.0,22.0,,,3.0,28.0,23.0,1.0,22.0,7.0,1.0,19.0,141.0,,0.0,138.0,16.0,,,63.0,77.0,7.0,1.0,,21.0,,5.0,4.0,154.0,4.0,594.0,10.0,19.0,16.0,16.0,,11.0,22.0,4.0,3.0,5.0,29.0,74.0,6808,83.0,15.0,96.0,3.0,67.0,5.0,1.0,1.0,4.0,1.0,2.0,55.0,217.0,16.0,4.0,,38.0,80.0,0.0,,3.0,,,7.0,0.0,5.0,1.0,1.0,47.3,26.0,1.0,5.0,1.0,6.0,,33.0,9.0,317.0,16.0,,12.0,8.0,7.0,19.0,2.0,3.0,249.0,12.0,1.0,30.0,76.0,25.0,3.0,15.0,28.0,,1.0,19.0,,3.0,9.0,,3.0,,,,1.0,,1.0,1.0,1.0,,,,2.0,4.0,,2.0,,,3.0,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,2.0,2.0,,,,1.0,,,,1.0,,2.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,
16,284156,2009-12-12 17:30:00,"Old Trafford, Manchester",75130,Away,Aston Villa,Manchester United,1,0,W,1,0,0,0,,1.0,66.0,4.0,1.0,15.0,43.0,4.0,2.0,1.0,3.0,6.0,6.0,3.0,164.0,51.0,,8.0,1.0,14.0,,1.0,3.0,22.0,25.0,2.0,31.0,3.0,9.0,20.0,115.0,,0.0,94.0,16.0,2.0,,47.0,51.0,4.0,7.0,,19.0,,9.0,1.0,152.0,10.0,597.0,4.0,13.0,29.0,26.0,,11.0,24.0,1.0,8.0,2.0,22.0,62.0,8380,84.0,10.0,109.0,7.0,70.0,,,3.0,9.0,3.0,,50.0,196.0,5.0,16.0,1.0,38.0,82.0,0.0,,9.0,1.0,,4.0,0.0,2.0,1.0,1.0,32.8,18.0,,1.0,4.0,2.0,1.0,34.0,4.0,295.0,29.0,,17.0,9.0,3.0,16.0,1.0,2.0,208.0,4.0,9.0,11.0,52.0,29.0,7.0,17.0,29.0,,3.0,14.0,,7.0,4.0,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,284166,2009-12-15 19:45:00,"Stadium of Light, Sunderland",34821,Away,Aston Villa,Sunderland,2,0,W,1,0,0,1,,1.0,51.0,,,20.0,63.0,6.0,5.0,1.0,1.0,2.0,6.0,3.0,175.0,62.0,2.0,11.0,1.0,24.0,,,1.0,9.0,21.0,1.0,45.0,1.0,10.0,26.0,118.0,,0.0,129.0,15.0,1.0,1.0,75.0,48.0,2.0,1.0,2.0,8.0,2.0,1.0,2.0,157.0,8.0,597.0,5.0,17.0,26.0,12.0,1.0,7.0,34.0,2.0,5.0,4.0,23.0,96.0,8380,86.0,5.0,115.0,13.0,58.0,2.0,,1.0,9.0,6.0,,49.0,203.0,16.0,3.0,,29.0,87.0,0.0,,7.0,2.0,,6.0,0.0,1.0,,1.0,42.4,17.0,1.0,6.0,1.0,1.0,,36.0,1.0,322.0,26.0,,10.0,14.0,7.0,13.0,,3.0,216.0,5.0,9.0,20.0,61.0,26.0,1.0,22.0,24.0,,1.0,9.0,,1.0,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
18,284171,2009-12-19 15:00:00,"Villa Park, Birmingham",35852,Home,Aston Villa,Stoke City,1,0,W,0,0,0,0,,1.0,52.0,,1.0,43.0,61.0,11.0,4.0,3.0,5.0,,14.0,5.0,164.0,62.0,2.0,18.0,3.0,33.0,1.0,3.0,1.0,19.0,13.0,3.0,31.0,2.0,13.0,38.0,174.0,,0.0,136.0,10.0,,,93.0,42.0,6.0,2.0,4.0,17.0,2.0,5.0,5.0,134.0,9.0,657.0,10.0,17.0,17.0,24.0,1.0,9.0,44.0,0.0,6.0,8.0,17.0,78.0,8380,123.0,11.0,143.0,15.0,64.0,2.0,,3.0,6.0,7.0,2.0,70.0,292.0,14.0,4.0,3.0,28.0,97.0,0.0,,4.0,,,5.0,0.0,5.0,1.0,3.0,53.0,12.0,2.0,3.0,3.0,4.0,,52.0,3.0,381.0,17.0,2.0,12.0,21.0,9.0,20.0,,4.0,257.0,11.0,13.0,30.0,89.0,17.0,2.0,20.0,18.0,,2.0,6.0,,2.0,3.0,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,284180,2009-12-27 13:30:00,"Emirates Stadium, London",60056,Away,Aston Villa,Arsenal,0,3,L,0,0,0,0,2.0,,65.0,1.0,2.0,23.0,36.0,3.0,5.0,1.0,6.0,4.0,5.0,2.0,151.0,81.0,,10.0,,11.0,1.0,2.0,3.0,22.0,19.0,1.0,17.0,4.0,5.0,33.0,111.0,,0.0,105.0,20.0,4.0,,34.0,49.0,3.0,2.0,2.0,18.0,,6.0,2.0,132.0,11.0,586.0,4.0,20.0,28.0,33.0,1.0,12.0,19.0,3.0,7.0,2.0,20.0,59.0,8380,116.0,11.0,130.0,9.0,57.0,1.0,5.0,,10.0,4.0,,50.0,221.0,14.0,12.0,1.0,26.0,79.0,0.0,,10.0,5.0,3.0,7.0,0.0,4.0,1.0,2.0,38.5,16.0,1.0,2.0,,2.0,1.0,38.0,4.0,309.0,27.0,,8.0,18.0,6.0,20.0,2.0,4.0,201.0,3.0,3.0,33.0,54.0,24.0,3.0,9.0,30.0,1.0,2.0,10.0,,3.0,4.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,284190,2009-12-29 19:45:00,"Villa Park, Birmingham",42788,Home,Aston Villa,Liverpool,0,1,L,0,0,0,0,,,52.0,1.0,,28.0,39.0,2.0,5.0,,6.0,7.0,8.0,4.0,180.0,61.0,,9.0,1.0,7.0,3.0,2.0,,29.0,24.0,1.0,15.0,8.0,10.0,30.0,138.0,,0.0,113.0,13.0,,2.0,53.0,50.0,4.0,1.0,3.0,21.0,,10.0,,156.0,6.0,634.0,6.0,30.0,32.0,20.0,,17.0,20.0,1.0,7.0,4.0,26.0,76.0,8380,103.0,9.0,120.0,8.0,62.0,1.0,,6.0,9.0,8.0,,46.0,235.0,11.0,10.0,2.0,30.0,80.0,0.0,,10.0,2.0,1.0,9.0,0.0,3.0,1.0,1.0,43.4,22.0,1.0,1.0,6.0,1.0,,51.0,8.0,332.0,32.0,,20.0,18.0,4.0,23.0,3.0,4.0,241.0,3.0,7.0,13.0,61.0,22.0,4.0,8.0,30.0,1.0,2.0,19.0,,4.0,8.0,4.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,284209,2010-03-16 19:45:00,"The Brick Community Stadium, Wigan",16186,Away,Aston Villa,Wigan Athletic,2,1,W,1,1,0,0,,2.0,64.0,2.0,3.0,19.0,53.0,5.0,1.0,5.0,10.0,9.0,18.0,7.0,178.0,74.0,,20.0,1.0,11.0,5.0,2.0,3.0,23.0,20.0,1.0,24.0,8.0,11.0,23.0,128.0,,0.0,121.0,19.0,3.0,3.0,47.0,50.0,9.0,2.0,3.0,15.0,,3.0,2.0,149.0,3.0,556.0,13.0,17.0,19.0,20.0,,7.0,38.0,1.0,4.0,9.0,32.0,76.0,8380,85.0,9.0,107.0,10.0,67.0,6.0,5.0,5.0,10.0,5.0,2.0,41.0,203.0,10.0,16.0,5.0,24.0,73.0,0.0,,7.0,,1.0,6.0,0.0,6.0,1.0,6.0,46.0,19.0,5.0,1.0,5.0,4.0,,34.0,8.0,293.0,19.0,,12.0,9.0,9.0,18.0,4.0,7.0,209.0,12.0,11.0,29.0,74.0,32.0,1.0,18.0,26.0,1.0,2.0,20.0,,1.0,8.0,,2.0,,,,,,1.0,,1.0,2.0,,1.0,,3.0,2.0,2.0,,,1.0,,,1.0,,2.0,,1.0,,,5.0,3.0,,,8.0,,,,1.0,,,14.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,1.0,,,,,,2.0,2.0,1.0,,,,
22,284210,2010-01-17 13:30:00,"Villa Park, Birmingham",35646,Home,Aston Villa,West Ham United,0,0,D,0,0,0,0,,1.0,60.0,1.0,3.0,27.0,23.0,6.0,6.0,1.0,13.0,2.0,13.0,3.0,167.0,63.0,1.0,19.0,3.0,11.0,3.0,2.0,2.0,56.0,25.0,,17.0,13.0,10.0,37.0,203.0,,0.0,161.0,9.0,1.0,,92.0,69.0,5.0,1.0,2.0,43.0,1.0,13.0,2.0,161.0,3.0,716.0,8.0,10.0,18.0,18.0,1.0,2.0,8.0,1.0,1.0,8.0,19.0,94.0,8380,148.0,25.0,158.0,6.0,43.0,1.0,2.0,11.0,6.0,6.0,2.0,54.0,338.0,12.0,5.0,5.0,12.0,79.0,0.0,,4.0,,,3.0,0.0,9.0,,5.0,57.3,18.0,4.0,5.0,11.0,6.0,,44.0,15.0,434.0,17.0,,14.0,19.0,10.0,29.0,4.0,7.0,332.0,8.0,9.0,14.0,105.0,25.0,1.0,6.0,35.0,,1.0,7.0,,1.0,16.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
23,284226,2010-01-27 19:45:00,"Villa Park, Birmingham",39601,Home,Aston Villa,Arsenal,0,0,D,0,0,0,0,,,54.0,1.0,,31.0,41.0,4.0,3.0,,5.0,3.0,6.0,1.0,179.0,61.0,1.0,11.0,,16.0,1.0,,5.0,39.0,12.0,,25.0,7.0,12.0,30.0,145.0,,0.0,125.0,16.0,2.0,,69.0,56.0,1.0,,1.0,32.0,1.0,10.0,4.0,163.0,10.0,636.0,4.0,18.0,16.0,19.0,1.0,15.0,14.0,2.0,8.0,5.0,34.0,78.0,8380,113.0,18.0,141.0,3.0,50.0,,5.0,3.0,5.0,1.0,1.0,60.0,253.0,16.0,7.0,2.0,47.0,84.0,0.0,,7.0,2.0,,8.0,0.0,3.0,,4.0,48.7,29.0,4.0,3.0,3.0,,,39.0,7.0,359.0,16.0,1.0,7.0,18.0,10.0,21.0,2.0,6.0,257.0,4.0,10.0,21.0,73.0,24.0,1.0,9.0,21.0,,1.0,7.0,,1.0,7.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,284233,2010-01-30 15:00:00,"Craven Cottage, London",25408,Away,Aston Villa,Fulham,2,0,W,2,0,0,0,,,68.0,1.0,1.0,30.0,38.0,4.0,3.0,3.0,8.0,6.0,11.0,6.0,184.0,51.0,,13.0,2.0,15.0,3.0,1.0,,24.0,18.0,1.0,15.0,2.0,13.0,34.0,170.0,,0.0,167.0,16.0,2.0,1.0,82.0,58.0,7.0,,2.0,22.0,,9.0,1.0,161.0,11.0,668.0,9.0,18.0,20.0,25.0,,8.0,21.0,2.0,9.0,4.0,31.0,85.0,8380,113.0,12.0,139.0,12.0,56.0,2.0,1.0,1.0,8.0,5.0,2.0,75.0,275.0,9.0,4.0,,43.0,99.0,0.0,,9.0,3.0,,8.0,0.0,7.0,2.0,3.0,45.9,24.0,1.0,4.0,1.0,3.0,,41.0,3.0,384.0,19.0,,14.0,15.0,4.0,26.0,1.0,3.0,269.0,7.0,11.0,17.0,107.0,34.0,,9.0,19.0,,,13.0,,,3.0,,2.0,,,,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,2.0,1.0,,1.0,1.0,,,,2.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,284249,2010-02-06 17:30:00,"White Hart Lane, London",35899,Away,Aston Villa,Tottenham Hotspur,0,0,D,0,0,0,0,,1.0,44.0,2.0,2.0,31.0,39.0,4.0,4.0,3.0,4.0,3.0,6.0,4.0,177.0,57.0,2.0,11.0,,27.0,3.0,1.0,1.0,16.0,19.0,1.0,20.0,3.0,14.0,32.0,128.0,,0.0,113.0,14.0,5.0,1.0,53.0,59.0,4.0,2.0,1.0,13.0,2.0,6.0,3.0,158.0,17.0,576.0,6.0,18.0,14.0,18.0,2.0,10.0,23.0,0.0,17.0,2.0,23.0,84.0,8380,90.0,6.0,118.0,10.0,73.0,2.0,,2.0,17.0,5.0,1.0,71.0,214.0,10.0,9.0,,40.0,97.0,0.0,,12.0,3.0,,1.0,0.0,3.0,,1.0,43.8,13.0,1.0,1.0,2.0,2.0,,46.0,4.0,321.0,14.0,2.0,15.0,17.0,5.0,16.0,1.0,2.0,219.0,6.0,11.0,18.0,57.0,15.0,4.0,11.0,26.0,,2.0,12.0,,4.0,4.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,284256,2010-02-10 19:45:00,"Villa Park, Birmingham",42788,Home,Aston Villa,Manchester United,1,1,D,1,1,0,1,,,61.0,2.0,,36.0,19.0,4.0,3.0,,5.0,5.0,8.0,2.0,172.0,57.0,,10.0,3.0,13.0,1.0,,,19.0,22.0,,10.0,1.0,15.0,40.0,168.0,,0.0,130.0,9.0,2.0,,73.0,55.0,4.0,2.0,2.0,18.0,,7.0,1.0,163.0,10.0,629.0,7.0,16.0,20.0,26.0,1.0,6.0,6.0,0.0,4.0,4.0,21.0,88.0,8380,155.0,7.0,175.0,11.0,58.0,3.0,3.0,6.0,5.0,3.0,1.0,63.0,318.0,10.0,10.0,1.0,27.0,86.0,0.0,,7.0,1.0,1.0,4.0,0.0,5.0,2.0,4.0,47.8,17.0,3.0,,6.0,3.0,,41.0,1.0,426.0,19.0,,16.0,22.0,5.0,21.0,,4.0,270.0,3.0,13.0,15.0,72.0,27.0,4.0,4.0,27.0,1.0,2.0,15.0,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,3.0,4.0,,1.0,4.0,1.0,,,1.0,,1.0,8.0,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,1.0,1.0,,
27,284261,2010-02-21 14:00:00,"Villa Park, Birmingham",38709,Home,Aston Villa,Burnley,5,2,W,1,1,0,0,,,60.0,2.0,,35.0,28.0,7.0,5.0,3.0,5.0,6.0,14.0,9.0,156.0,57.0,1.0,19.0,2.0,19.0,2.0,1.0,3.0,29.0,9.0,2.0,14.0,6.0,9.0,33.0,138.0,,0.0,109.0,7.0,,,68.0,55.0,8.0,3.0,2.0,24.0,1.0,6.0,3.0,142.0,3.0,608.0,7.0,16.0,19.0,20.0,,5.0,14.0,0.0,6.0,6.0,26.0,66.0,8380,131.0,17.0,148.0,10.0,53.0,5.0,4.0,3.0,10.0,5.0,1.0,65.0,264.0,13.0,12.0,2.0,26.0,88.0,0.0,1.0,5.0,,2.0,7.0,0.0,4.0,1.0,2.0,47.9,19.0,2.0,2.0,3.0,2.0,,42.0,9.0,351.0,18.0,,13.0,18.0,8.0,10.0,2.0,5.0,232.0,12.0,7.0,21.0,71.0,32.0,1.0,6.0,17.0,2.0,3.0,8.0,,1.0,9.0,1.0,5.0,,,2.0,5.0,,2.0,,3.0,,,,5.0,3.0,,,,2.0,3.0,2.0,,3.0,,,,2.0,,,,,,,,,,,3.0,3.0,,,2.0,,,,,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
28,284274,2010-04-21 19:45:00,"The MKM Stadium, Hull",23842,Away,Aston Villa,Hull City,2,0,W,1,0,0,0,,2.0,60.0,1.0,1.0,30.0,46.0,4.0,2.0,,2.0,8.0,9.0,5.0,159.0,61.0,,11.0,1.0,9.0,3.0,,3.0,16.0,16.0,,30.0,5.0,15.0,40.0,175.0,,0.0,147.0,8.0,2.0,,91.0,77.0,6.0,,,12.0,,2.0,4.0,143.0,8.0,636.0,6.0,12.0,20.0,19.0,,7.0,31.0,2.0,7.0,3.0,22.0,69.0,8380,99.0,10.0,123.0,7.0,34.0,1.0,3.0,3.0,7.0,4.0,,56.0,272.0,8.0,4.0,2.0,30.0,88.0,0.0,,11.0,4.0,,2.0,0.0,1.0,1.0,2.0,50.1,17.0,,1.0,3.0,2.0,1.0,48.0,9.0,375.0,20.0,,10.0,22.0,4.0,15.0,2.0,,268.0,7.0,13.0,20.0,96.0,33.0,,20.0,25.0,,2.0,13.0,,,9.0,1.0,2.0,,,,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,1.0,,,2.0,,1.0,1.0,,,,1.0,,,,,1.0,2.0,,,1.0,2.0,2.0,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
29,284281,2010-03-24 19:45:00,"Villa Park, Birmingham",37473,Home,Aston Villa,Sunderland,1,1,D,1,1,0,0,,,57.0,1.0,2.0,24.0,38.0,4.0,2.0,1.0,13.0,6.0,13.0,4.0,183.0,69.0,1.0,16.0,1.0,19.0,2.0,2.0,3.0,28.0,14.0,1.0,23.0,5.0,11.0,40.0,123.0,,0.0,129.0,8.0,1.0,,63.0,32.0,6.0,,4.0,23.0,1.0,10.0,2.0,168.0,6.0,608.0,7.0,18.0,20.0,18.0,,8.0,19.0,0.0,2.0,7.0,30.0,80.0,8380,104.0,12.0,124.0,12.0,57.0,1.0,4.0,3.0,4.0,5.0,2.0,50.0,214.0,7.0,9.0,5.0,23.0,90.0,0.0,,7.0,1.0,1.0,5.0,0.0,9.0,1.0,7.0,48.0,21.0,5.0,4.0,3.0,3.0,,36.0,6.0,325.0,20.0,1.0,13.0,18.0,9.0,26.0,4.0,7.0,229.0,7.0,9.0,36.0,67.0,27.0,1.0,12.0,20.0,1.0,2.0,14.0,,1.0,6.0,,1.0,,,3.0,1.0,,,,,,,2.0,1.0,,,2.0,,,,3.0,1.0,,,,,,,,,,,2.0,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
