gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,savedObox,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,totalFastbreak,totalKeeperSweeper,totalOffside,attFastbreak,punches,shieldBallOop,possWonAtt3rd,attGoalLowLeft,attCmissRight,attBxRight,goalAssistOpenplay,attSvHighLeft,attSvLowLeft,goalAssist,attCmissLeft,goalAssistIntentional,attHdGoal,attLfGoal,cleanSheet,goodHighClaim,accurateFreekickCross,attSetpiece,attAssistSetplay,totalHighClaim,goalFastbreak,attGoalHighRight,penaltyWon,midfielderGoals,attGoalHighCentre,sixYardBlock,attPenGoal,accuratePullBack,totalPullBack,foulThrowIn,goalsConcededObox,attGoalLowCentre,attHdTarget,defenderGoals,hitWoodwork,postScoringAtt,attIboxPost,attSvHighRight,attPostLeft,attMissHighRight,attMissHighLeft,ownGoals,attIboxOwnGoal,attOboxGoal,attHdPost,attCmissHigh,attPostHigh,clearanceOffLine,attSvHighCentre,attFreekickMiss,attPostRight,errorLeadToGoal,attFreekickPost,attOboxPost,secondYellow,penaltyConceded,attCmissHighLeft,attObxRight,penaltyFaced,penGoalsConceded,attFreekickTarget,goalAssistSetplay,goalAssistDeadball,attPenTarget,attCmissHighRight,attGoalHighLeft,attObpGoal
11,755407,2014-11-08 15:00:00,"St. Mary's Stadium, Southampton",31297,Away,Leicester City,Southampton,0,2,L,0,0,0,0,,,67.0,,,22.0,42.0,2.0,2.0,4.0,,146.0,3.0,8.0,,3.0,4.0,,61.0,138.0,53.0,1.0,5.0,1.0,16.0,,,16.0,14.0,42.0,4.0,11.0,30.0,1.0,124.0,0.0,95.0,12.0,1.0,1.0,52.0,56.0,,59.0,2.0,3.0,12.0,23.0,1.0,3.0,1.0,138.0,1.0,,12.0,59.0,537.0,3.0,12.0,13.0,224.0,38.0,10.0,23.0,2.0,6.0,4.0,22.0,298.0,56.0,,,96782,2.0,115.0,1.0,8.0,136.0,8.0,,23.0,8.0,52.0,,4.0,,11.0,6.0,3.0,,66.0,236.0,10.0,9.0,29.0,77.0,,0.0,1.0,14.0,1.0,,2.0,7.0,0.0,1.0,1.0,35.6,16.0,1.0,,4.0,1.0,36.0,4.0,325.0,13.0,9.0,7.0,4.0,8.0,2.0,3.0,205.0,2.0,11.0,16.0,55.0,18.0,,5.0,23.0,19.0,2.0,3.0,3.0,15.0,5.0,16.0,4.0,,3.0,,2.0,,,,2.0,2.0,,1.0,,4.0,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,755419,2014-11-22 15:00:00,"King Power Stadium, Leicester",31825,Home,Leicester City,Sunderland,0,0,D,0,0,0,0,,,47.0,,,30.0,39.0,6.0,7.0,5.0,2.0,135.0,6.0,8.0,,,11.0,4.0,38.0,136.0,58.0,,13.0,2.0,21.0,3.0,3.0,20.0,17.0,39.0,6.0,6.0,26.0,1.0,117.0,0.0,114.0,18.0,2.0,,33.0,50.0,5.0,38.0,1.0,2.0,14.0,9.0,,6.0,3.0,136.0,,1.0,6.0,49.0,453.0,9.0,17.0,10.0,161.0,20.0,9.0,22.0,2.0,3.0,6.0,17.0,230.0,65.0,1.0,,86857,4.0,64.0,1.0,8.0,78.0,8.0,,9.0,9.0,61.0,1.0,1.0,,12.0,5.0,4.0,2.0,63.0,175.0,8.0,7.0,22.0,73.0,1.0,0.0,3.0,9.0,2.0,,,4.0,0.0,3.0,3.0,39.9,12.0,3.0,1.0,1.0,2.0,34.0,6.0,260.0,10.0,6.0,12.0,7.0,21.0,3.0,4.0,202.0,3.0,6.0,24.0,66.0,17.0,,7.0,22.0,18.0,,10.0,3.0,19.0,7.0,2.0,6.0,2.0,3.0,,2.0,1.0,1.0,,2.0,,,,1.0,4.0,,,1.0,,,2.0,,1.0,,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,755426,2014-11-29 15:00:00,"MATRADE Loftus Road, London",18054,Away,Leicester City,Queens Park Rangers,2,3,L,1,2,0,0,,,53.0,1.0,2.0,29.0,50.0,6.0,7.0,3.0,2.0,153.0,4.0,7.0,2.0,4.0,14.0,5.0,34.0,149.0,58.0,,19.0,2.0,37.0,3.0,5.0,24.0,11.0,50.0,5.0,7.0,35.0,,126.0,0.0,136.0,17.0,2.0,3.0,45.0,35.0,6.0,35.0,3.0,1.0,19.0,18.0,,7.0,2.0,149.0,3.0,,22.0,46.0,514.0,12.0,16.0,24.0,167.0,23.0,10.0,37.0,2.0,15.0,8.0,24.0,240.0,83.0,3.0,,86857,6.0,62.0,3.0,9.0,71.0,9.0,1.0,18.0,12.0,88.0,3.0,1.0,1.0,7.0,12.0,5.0,3.0,67.0,184.0,8.0,12.0,26.0,82.0,1.0,0.0,1.0,11.0,3.0,,3.0,7.0,0.0,4.0,4.0,41.0,16.0,2.0,3.0,1.0,4.0,39.0,5.0,268.0,24.0,9.0,14.0,10.0,27.0,,7.0,221.0,8.0,7.0,30.0,80.0,20.0,,2.0,37.0,15.0,3.0,17.0,3.0,21.0,2.0,10.0,5.0,,1.0,2.0,2.0,1.0,,2.0,2.0,6.0,2.0,1.0,,1.0,1.0,,4.0,1.0,,1.0,1.0,3.0,,,1.0,,,,1.0,1.0,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14,755436,2014-12-02 19:45:00,"King Power Stadium, Leicester",32000,Home,Leicester City,Liverpool,1,3,L,1,1,1,0,,,54.0,,2.0,19.0,26.0,13.0,8.0,,2.0,173.0,7.0,10.0,1.0,5.0,10.0,4.0,79.0,173.0,69.0,2.0,20.0,4.0,30.0,3.0,4.0,26.0,13.0,26.0,7.0,17.0,54.0,1.0,162.0,0.0,136.0,11.0,,3.0,55.0,54.0,5.0,47.0,3.0,,19.0,18.0,2.0,6.0,8.0,173.0,1.0,,6.0,67.0,594.0,9.0,18.0,20.0,245.0,19.0,2.0,19.0,1.0,5.0,5.0,30.0,339.0,82.0,1.0,,86857,2.0,106.0,2.0,10.0,116.0,5.0,,18.0,11.0,79.0,1.0,2.0,,12.0,5.0,6.0,3.0,62.0,261.0,9.0,10.0,19.0,87.0,,0.0,4.0,4.0,,1.0,3.0,7.0,1.0,5.0,1.0,46.6,26.0,,1.0,2.0,6.0,41.0,7.0,366.0,20.0,11.0,27.0,10.0,27.0,2.0,1.0,276.0,10.0,16.0,34.0,78.0,26.0,,3.0,19.0,17.0,3.0,13.0,1.0,28.0,3.0,5.0,7.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,,,2.0,,2.0,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
15,755443,2014-12-07 16:00:00,"Villa Park, Birmingham",27692,Away,Leicester City,Aston Villa,1,2,L,1,1,1,0,,1.0,56.0,1.0,,25.0,24.0,5.0,6.0,5.0,2.0,148.0,3.0,5.0,1.0,1.0,7.0,4.0,45.0,141.0,58.0,,10.0,1.0,21.0,1.0,3.0,23.0,15.0,24.0,5.0,9.0,34.0,,125.0,0.0,105.0,14.0,4.0,2.0,43.0,39.0,3.0,41.0,2.0,1.0,18.0,18.0,,9.0,2.0,141.0,,,14.0,50.0,484.0,7.0,16.0,18.0,192.0,23.0,9.0,19.0,4.0,4.0,4.0,22.0,261.0,74.0,,,86857,1.0,79.0,,7.0,95.0,9.0,1.0,18.0,7.0,61.0,,2.0,1.0,15.0,2.0,2.0,,64.0,201.0,8.0,13.0,29.0,79.0,,0.0,4.0,5.0,5.0,1.0,2.0,6.0,1.0,3.0,,35.2,17.0,,2.0,2.0,1.0,39.0,5.0,284.0,18.0,7.0,14.0,5.0,19.0,,3.0,212.0,4.0,9.0,23.0,58.0,29.0,1.0,1.0,19.0,22.0,2.0,10.0,3.0,11.0,1.0,12.0,5.0,1.0,,,,2.0,2.0,,,1.0,,,,1.0,,,1.0,,1.0,,,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,755458,2014-12-13 15:00:00,"King Power Stadium, Leicester",31643,Home,Leicester City,Manchester City,0,1,L,0,1,0,0,,,61.0,,1.0,31.0,15.0,5.0,4.0,3.0,,171.0,4.0,12.0,,5.0,2.0,1.0,59.0,174.0,56.0,2.0,7.0,2.0,26.0,,1.0,25.0,13.0,15.0,8.0,10.0,43.0,,120.0,0.0,126.0,15.0,2.0,3.0,56.0,56.0,1.0,69.0,1.0,1.0,17.0,25.0,2.0,4.0,2.0,174.0,,,6.0,59.0,569.0,2.0,11.0,22.0,228.0,25.0,13.0,10.0,0.0,1.0,1.0,37.0,332.0,82.0,,,96782,1.0,127.0,,10.0,145.0,9.0,,25.0,5.0,66.0,,6.0,,11.0,3.0,2.0,1.0,80.0,243.0,12.0,10.0,39.0,91.0,,0.0,2.0,2.0,2.0,,1.0,4.0,0.0,3.0,1.0,42.7,30.0,,,7.0,3.0,34.0,8.0,358.0,22.0,5.0,16.0,3.0,24.0,1.0,1.0,238.0,2.0,10.0,17.0,61.0,21.0,,1.0,10.0,15.0,1.0,3.0,3.0,22.0,1.0,14.0,8.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
17,755472,2014-12-20 15:00:00,"Boleyn Ground, London",34977,Away,Leicester City,West Ham United,0,2,L,0,1,0,0,,,73.0,,2.0,21.0,42.0,4.0,5.0,,1.0,191.0,7.0,13.0,,,7.0,4.0,84.0,170.0,61.0,,10.0,2.0,49.0,4.0,,25.0,15.0,42.0,4.0,11.0,48.0,,183.0,0.0,159.0,17.0,,,56.0,67.0,5.0,51.0,2.0,,21.0,14.0,,6.0,2.0,170.0,1.0,,9.0,56.0,602.0,6.0,10.0,22.0,258.0,36.0,7.0,25.0,3.0,3.0,2.0,28.0,359.0,83.0,,,96782,3.0,94.0,1.0,15.0,110.0,7.0,,14.0,7.0,90.0,,4.0,,15.0,1.0,3.0,,67.0,270.0,5.0,8.0,32.0,85.0,1.0,0.0,5.0,9.0,,,2.0,5.0,0.0,5.0,2.0,52.2,25.0,,2.0,4.0,4.0,43.0,4.0,382.0,22.0,10.0,19.0,2.0,19.0,2.0,,297.0,3.0,10.0,26.0,89.0,25.0,,4.0,25.0,18.0,1.0,9.0,3.0,19.0,4.0,3.0,4.0,1.0,,,,,,,,1.0,,,,4.0,,,,,2.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,2.0,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
18,755478,2014-12-26 15:00:00,"King Power Stadium, Leicester",31870,Home,Leicester City,Tottenham Hotspur,1,2,L,0,1,0,0,,,71.0,1.0,4.0,37.0,30.0,7.0,10.0,1.0,1.0,185.0,9.0,9.0,1.0,5.0,16.0,6.0,82.0,172.0,66.0,2.0,22.0,2.0,20.0,4.0,1.0,40.0,17.0,30.0,11.0,17.0,36.0,,189.0,0.0,139.0,10.0,,4.0,73.0,81.0,9.0,72.0,,3.0,29.0,25.0,2.0,8.0,3.0,172.0,1.0,,4.0,80.0,645.0,11.0,17.0,11.0,299.0,31.0,14.0,15.0,1.0,1.0,7.0,24.0,394.0,71.0,,,96782,7.0,134.0,1.0,17.0,149.0,5.0,1.0,25.0,5.0,56.0,,2.0,1.0,9.0,4.0,3.0,1.0,83.0,314.0,13.0,6.0,45.0,94.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,8.0,0.0,6.0,5.0,49.6,19.0,3.0,3.0,2.0,6.0,47.0,11.0,419.0,11.0,9.0,23.0,10.0,26.0,3.0,5.0,310.0,7.0,16.0,23.0,84.0,29.0,1.0,1.0,15.0,21.0,1.0,15.0,3.0,20.0,1.0,16.0,11.0,3.0,,,3.0,2.0,1.0,,3.0,,,,1.0,3.0,,,3.0,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,4.0,,,,,,,,,,2.0,,1.0,,1.0,,2.0,2.0,1.0,,,1.0,2.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
19,755484,2014-12-28 15:00:00,"The MKM Stadium, Hull",23809,Away,Leicester City,Hull City,1,0,W,1,0,1,1,,,91.0,,,34.0,46.0,2.0,1.0,4.0,1.0,184.0,2.0,5.0,1.0,2.0,4.0,2.0,73.0,174.0,64.0,,4.0,,35.0,1.0,,7.0,21.0,46.0,1.0,18.0,46.0,,138.0,0.0,121.0,12.0,3.0,1.0,29.0,65.0,2.0,53.0,3.0,1.0,6.0,23.0,,1.0,1.0,174.0,,,10.0,57.0,595.0,3.0,18.0,26.0,233.0,38.0,15.0,29.0,1.0,7.0,2.0,24.0,339.0,82.0,,1.0,96782,1.0,110.0,,4.0,142.0,6.0,,23.0,5.0,77.0,,1.0,1.0,14.0,8.0,2.0,,85.0,246.0,9.0,7.0,42.0,100.0,1.0,0.0,2.0,7.0,2.0,,,4.0,1.0,1.0,,38.0,16.0,,,1.0,,48.0,1.0,367.0,26.0,15.0,21.0,2.0,11.0,1.0,1.0,232.0,3.0,12.0,26.0,64.0,36.0,,2.0,29.0,25.0,,4.0,3.0,13.0,2.0,12.0,1.0,,3.0,,3.0,,,,3.0,1.0,,2.0,,3.0,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
20,755495,2015-01-01 15:00:00,"Anfield, Liverpool",44720,Away,Leicester City,Liverpool,2,2,D,0,2,0,0,2.0,,63.0,1.0,1.0,26.0,21.0,9.0,10.0,4.0,,153.0,3.0,12.0,2.0,6.0,8.0,3.0,69.0,152.0,60.0,4.0,16.0,4.0,20.0,1.0,2.0,19.0,14.0,21.0,5.0,11.0,39.0,,159.0,0.0,163.0,10.0,1.0,1.0,81.0,41.0,4.0,49.0,3.0,1.0,14.0,13.0,4.0,3.0,3.0,152.0,1.0,1.0,11.0,61.0,541.0,5.0,11.0,24.0,231.0,23.0,3.0,10.0,2.0,1.0,4.0,30.0,300.0,83.0,2.0,,96782,3.0,85.0,1.0,10.0,95.0,4.0,1.0,13.0,12.0,59.0,2.0,,2.0,14.0,7.0,3.0,1.0,69.0,241.0,13.0,9.0,16.0,66.0,,0.0,2.0,4.0,2.0,,2.0,5.0,0.0,2.0,1.0,41.2,24.0,1.0,1.0,,5.0,26.0,5.0,332.0,24.0,15.0,20.0,8.0,20.0,1.0,4.0,256.0,5.0,10.0,16.0,101.0,27.0,,1.0,10.0,19.0,2.0,7.0,3.0,19.0,1.0,5.0,5.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,,2.0,,4.0,1.0,,1.0,2.0,,1.0,2.0,1.0,1.0,,1.0,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,3.0,,,2.0,,,,,,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,,,,,,,
21,755508,2015-01-10 15:00:00,"King Power Stadium, Leicester",31728,Home,Leicester City,Aston Villa,1,0,W,1,0,1,1,2.0,,66.0,,2.0,24.0,36.0,2.0,2.0,1.0,1.0,169.0,3.0,7.0,1.0,1.0,7.0,3.0,53.0,179.0,53.0,,11.0,1.0,33.0,2.0,,27.0,18.0,36.0,6.0,6.0,42.0,1.0,117.0,0.0,133.0,18.0,1.0,1.0,60.0,55.0,5.0,41.0,2.0,2.0,21.0,20.0,,7.0,,179.0,2.0,1.0,8.0,45.0,533.0,7.0,11.0,29.0,185.0,29.0,11.0,24.0,1.0,5.0,2.0,24.0,278.0,85.0,1.0,,86857,6.0,81.0,4.0,13.0,101.0,11.0,,20.0,11.0,76.0,1.0,1.0,1.0,12.0,4.0,4.0,2.0,77.0,195.0,6.0,8.0,39.0,87.0,,0.0,2.0,6.0,1.0,1.0,,3.0,1.0,3.0,3.0,37.6,18.0,2.0,1.0,1.0,3.0,34.0,6.0,308.0,29.0,10.0,20.0,5.0,17.0,,4.0,234.0,6.0,6.0,20.0,68.0,25.0,,4.0,24.0,21.0,,11.0,3.0,17.0,4.0,6.0,6.0,,,2.0,,,,3.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,
22,755516,2015-01-17 15:00:00,"King Power Stadium, Leicester",31772,Home,Leicester City,Stoke City,0,1,L,0,0,0,0,1.0,,64.0,,,22.0,35.0,3.0,3.0,2.0,1.0,157.0,7.0,8.0,,3.0,5.0,3.0,63.0,149.0,51.0,,7.0,1.0,30.0,2.0,1.0,29.0,19.0,35.0,5.0,5.0,28.0,,138.0,0.0,108.0,9.0,1.0,4.0,80.0,47.0,3.0,55.0,3.0,1.0,24.0,11.0,,7.0,1.0,149.0,,,5.0,61.0,542.0,5.0,10.0,10.0,243.0,33.0,8.0,23.0,1.0,4.0,2.0,26.0,316.0,73.0,,1.0,86857,4.0,119.0,,13.0,132.0,3.0,,11.0,8.0,71.0,,3.0,,16.0,8.0,2.0,,66.0,250.0,6.0,17.0,32.0,83.0,,0.0,,5.0,1.0,,1.0,1.0,0.0,7.0,,43.2,18.0,,,3.0,1.0,40.0,6.0,336.0,10.0,8.0,14.0,3.0,21.0,,2.0,233.0,4.0,4.0,11.0,62.0,21.0,,3.0,23.0,27.0,1.0,6.0,3.0,17.0,3.0,5.0,6.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
23,755528,2015-01-31 15:00:00,"Old Trafford, Manchester",75329,Away,Leicester City,Manchester United,1,3,L,0,3,0,0,,1.0,61.0,,,20.0,20.0,1.0,1.0,3.0,,144.0,3.0,5.0,1.0,2.0,3.0,1.0,42.0,156.0,58.0,,4.0,,20.0,,,17.0,19.0,20.0,3.0,5.0,37.0,,95.0,0.0,98.0,12.0,1.0,2.0,32.0,49.0,1.0,40.0,2.0,,14.0,14.0,,2.0,1.0,156.0,1.0,1.0,8.0,35.0,451.0,2.0,13.0,26.0,141.0,25.0,7.0,14.0,1.0,3.0,2.0,23.0,236.0,62.0,1.0,,86417,1.0,63.0,,10.0,83.0,8.0,,14.0,8.0,55.0,1.0,4.0,,8.0,5.0,4.0,1.0,65.0,155.0,8.0,9.0,27.0,83.0,,0.0,3.0,4.0,3.0,1.0,3.0,5.0,0.0,2.0,1.0,28.6,14.0,,1.0,4.0,,31.0,3.0,261.0,26.0,8.0,11.0,3.0,14.0,1.0,2.0,195.0,2.0,5.0,19.0,48.0,20.0,,5.0,14.0,27.0,3.0,3.0,3.0,12.0,5.0,7.0,3.0,,,,4.0,,,,4.0,1.0,,,,2.0,,,,1.0,,,1.0,,1.0,1.0,,,2.0,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
24,755536,2015-02-07 15:00:00,"King Power Stadium, Leicester",31695,Home,Leicester City,Crystal Palace,0,1,L,0,0,0,0,1.0,,67.0,,2.0,48.0,17.0,5.0,7.0,1.0,2.0,194.0,8.0,14.0,,2.0,13.0,5.0,120.0,192.0,70.0,,19.0,4.0,52.0,5.0,1.0,30.0,15.0,17.0,7.0,26.0,65.0,,259.0,0.0,198.0,15.0,,3.0,62.0,87.0,8.0,63.0,2.0,3.0,23.0,16.0,,11.0,1.0,192.0,,,10.0,109.0,717.0,9.0,25.0,13.0,360.0,26.0,11.0,12.0,4.0,4.0,5.0,30.0,464.0,114.0,,2.0,86417,5.0,122.0,1.0,9.0,138.0,9.0,,16.0,10.0,98.0,,5.0,,21.0,4.0,8.0,1.0,91.0,373.0,6.0,9.0,35.0,94.0,1.0,0.0,2.0,6.0,,,1.0,10.0,0.0,6.0,3.0,62.2,20.0,,3.0,5.0,6.0,53.0,8.0,486.0,13.0,11.0,41.0,8.0,27.0,2.0,6.0,378.0,9.0,22.0,33.0,124.0,28.0,,3.0,12.0,17.0,1.0,14.0,3.0,27.0,3.0,10.0,8.0,1.0,1.0,,,3.0,,,,,,,,4.0,,,4.0,,,,,1.0,,,,,3.0,2.0,2.0,4.0,3.0,,,,,,,,2.0,2.0,,,,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
25,755543,2015-02-10 19:45:00,"Emirates Stadium, London",60032,Away,Leicester City,Arsenal,1,2,L,0,2,0,0,1.0,,67.0,,2.0,21.0,12.0,1.0,4.0,5.0,3.0,178.0,4.0,14.0,1.0,1.0,6.0,4.0,75.0,151.0,65.0,,11.0,,38.0,3.0,2.0,26.0,17.0,12.0,5.0,8.0,34.0,,137.0,0.0,102.0,14.0,2.0,1.0,40.0,50.0,4.0,67.0,2.0,2.0,21.0,16.0,,4.0,1.0,151.0,1.0,,9.0,85.0,604.0,6.0,11.0,22.0,297.0,37.0,7.0,5.0,2.0,7.0,2.0,15.0,376.0,60.0,,1.0,86417,3.0,180.0,2.0,16.0,205.0,6.0,1.0,16.0,11.0,73.0,,3.0,,16.0,8.0,4.0,1.0,64.0,313.0,10.0,8.0,26.0,72.0,,0.0,1.0,6.0,4.0,1.0,2.0,3.0,0.0,4.0,1.0,42.9,12.0,1.0,3.0,3.0,2.0,34.0,6.0,405.0,22.0,6.0,15.0,5.0,14.0,,4.0,226.0,6.0,8.0,20.0,61.0,20.0,1.0,,5.0,22.0,2.0,8.0,3.0,23.0,,7.0,6.0,,1.0,1.0,,2.0,,1.0,1.0,2.0,1.0,,1.0,5.0,1.0,1.0,3.0,,1.0,,,1.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
26,755556,2015-02-22 14:05:00,"Goodison Park, Liverpool",38904,Away,Leicester City,Everton,2,2,D,0,0,0,0,,2.0,61.0,1.0,3.0,29.0,19.0,4.0,6.0,2.0,2.0,173.0,4.0,9.0,2.0,3.0,11.0,4.0,76.0,165.0,49.0,,15.0,1.0,24.0,1.0,1.0,24.0,14.0,19.0,7.0,9.0,40.0,,154.0,0.0,130.0,6.0,1.0,2.0,62.0,48.0,5.0,52.0,,1.0,17.0,15.0,,3.0,2.0,165.0,2.0,1.0,13.0,87.0,583.0,6.0,13.0,10.0,273.0,30.0,5.0,,1.0,4.0,5.0,27.0,361.0,68.0,,,86417,5.0,137.0,2.0,12.0,161.0,,1.0,15.0,15.0,57.0,,,2.0,13.0,6.0,5.0,3.0,69.0,287.0,7.0,6.0,23.0,87.0,1.0,0.0,3.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,42.0,21.0,1.0,3.0,,4.0,47.0,7.0,388.0,10.0,5.0,21.0,7.0,15.0,3.0,5.0,251.0,7.0,7.0,14.0,82.0,22.0,,4.0,,20.0,2.0,12.0,3.0,25.0,4.0,8.0,8.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,,1.0,,6.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,,2.0,,,3.0,2.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
27,755565,2015-04-29 19:45:00,"King Power Stadium, Leicester",32021,Home,Leicester City,Chelsea,1,3,L,1,0,0,0,1.0,1.0,61.0,,1.0,21.0,34.0,4.0,1.0,1.0,1.0,164.0,4.0,3.0,1.0,,7.0,2.0,73.0,154.0,47.0,,8.0,1.0,29.0,1.0,1.0,20.0,17.0,34.0,2.0,10.0,34.0,,157.0,0.0,131.0,10.0,1.0,,25.0,83.0,3.0,48.0,2.0,1.0,18.0,24.0,,8.0,3.0,154.0,2.0,,6.0,64.0,540.0,4.0,20.0,24.0,230.0,23.0,5.0,15.0,1.0,2.0,3.0,20.0,330.0,78.0,,,68582,3.0,87.0,1.0,10.0,103.0,6.0,1.0,24.0,5.0,59.0,,2.0,1.0,9.0,5.0,4.0,1.0,58.0,240.0,1.0,14.0,31.0,76.0,,0.0,1.0,6.0,1.0,1.0,3.0,7.0,0.0,3.0,1.0,37.1,14.0,1.0,,3.0,2.0,35.0,2.0,349.0,24.0,6.0,19.0,4.0,22.0,1.0,1.0,266.0,6.0,9.0,20.0,74.0,27.0,,2.0,15.0,23.0,2.0,7.0,3.0,5.0,2.0,16.0,2.0,,,,1.0,,,,1.0,4.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
