gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attCmissRight,attIboxTarget,postScoringAtt,attSvLowCentre,attOboxTarget,cleanSheet,totalFastbreak,attSvHighLeft,interceptionsInBox,attHdTarget,bigChanceMissed,attSetpiece,attCmissHigh,attAssistSetplay,attOboxPost,attSvHighCentre,attPostRight,attLfTarget,attGoalLowRight,shotFastbreak,attOneOnOne,attOboxGoal,attSvLowLeft,totalPullBack,attFastbreak,attSvLowRight,savedIbox,goalsConcededObox,attemptsIbox,ptsGainedLosingPos,freekickCross,attemptsObox,attGoalHighCentre,touchesInOppBox,accurateFreekickCross,sixYardBlock,ownGoals,attCorner,attIboxOwnGoal,attHdGoal,accurateKeeperSweeper,goalFastbreak,attIboxPost,totalKeeperSweeper,ptsDroppedWinningPos,accuratePullBack,attMissHighLeft,attCmissLeft,attCmissHighRight,attGoalHighRight,penaltyWon,attPenGoal,attGoalHighLeft,attFreekickGoal,punches,handBall,attSvHighRight,secondYellow,attFreekickTarget,attPostLeft,errorLeadToGoal,penaltyConceded,penaltyFaced,penGoalsConceded,clearanceOffLine,attPostHigh,attCmissHighLeft,foulThrowIn,attPenTarget
11,755404,2014-11-08 12:45:00,"Anfield, Liverpool",44698,Away,Chelsea,Liverpool,2,1,W,1,1,0,0,2.0,56.0,1.0,2.0,6.0,1.0,,26.0,45.0,3.0,3.0,3.0,,161.0,,3.0,13.0,2.0,3.0,12.0,5.0,85.0,130.0,53.0,,15.0,1.0,14.0,1.0,,,17.0,18.0,45.0,7.0,7.0,28.0,161.0,,0.0,128.0,12.0,2.0,,3.0,54.0,59.0,10.0,60.0,2.0,10.0,14.0,,3.0,2.0,130.0,2.0,,5.0,72.0,586.0,11.0,11.0,,6.0,280.0,25.0,9.0,20.0,1.0,5.0,7.0,2.0,20.0,360.0,55.0,,,62398,5.0,136.0,5.0,156.0,5.0,2.0,14.0,2.0,54.0,,1.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,54.0,294.0,9.0,13.0,24.0,67.0,0.0,3.0,5.0,2.0,1.0,5.0,0.0,,,,1.0,41.6,14.0,,,7.0,5.0,1.0,7.0,37.0,7.0,3.0,378.0,6.0,,9.0,9.0,3.0,18.0,3.0,1.0,239.0,11.0,6.0,9.0,86.0,19.0,1.0,3.0,20.0,22.0,,13.0,3.0,20.0,3.0,6.0,8.0,2.0,1.0,3.0,,1.0,,,2.0,,,1.0,1.0,,1.0,,,,,,1.0,2.0,,,1.0,,2.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,755415,2014-11-22 15:00:00,"Stamford Bridge, London",41600,Home,Chelsea,West Bromwich Albion,2,0,W,2,0,0,1,1.0,53.0,2.0,1.0,3.0,1.0,1.0,45.0,10.0,9.0,8.0,1.0,1.0,180.0,,2.0,9.0,2.0,3.0,17.0,8.0,220.0,122.0,35.0,1.0,21.0,2.0,9.0,,1.0,1.0,31.0,8.0,10.0,12.0,15.0,39.0,434.0,1.0,0.0,308.0,7.0,1.0,1.0,1.0,123.0,72.0,9.0,103.0,2.0,19.0,14.0,1.0,4.0,5.0,122.0,6.0,,,241.0,905.0,13.0,7.0,,4.0,666.0,16.0,,8.0,2.0,1.0,,7.0,17.0,727.0,79.0,2.0,,66842,4.0,251.0,14.0,258.0,4.0,1.0,14.0,6.0,38.0,4.0,,5.0,5.0,1.0,9.0,5.0,6.0,2.0,57.0,683.0,9.0,6.0,3.0,74.0,0.0,,,2.0,,3.0,0.0,1.0,2.0,,1.0,73.7,17.0,1.0,,3.0,2.0,6.0,5.0,61.0,15.0,1.0,744.0,4.0,,8.0,29.0,8.0,32.0,1.0,3.0,517.0,12.0,14.0,9.0,267.0,27.0,1.0,1.0,8.0,9.0,,13.0,3.0,18.0,1.0,3.0,15.0,2.0,1.0,4.0,,5.0,2.0,1.0,,,,,7.0,1.0,1.0,1.0,,,,4.0,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,755428,2014-11-29 17:30:00,"Stadium of Light, Sunderland",45232,Away,Chelsea,Sunderland,0,0,D,0,0,0,0,,66.0,,2.0,1.0,,,28.0,17.0,18.0,4.0,3.0,,193.0,,3.0,10.0,,1.0,22.0,6.0,149.0,113.0,65.0,,24.0,8.0,6.0,2.0,,3.0,18.0,20.0,17.0,8.0,18.0,25.0,385.0,1.0,0.0,278.0,10.0,,,,60.0,51.0,13.0,105.0,2.0,10.0,6.0,,1.0,5.0,113.0,,,4.0,170.0,798.0,21.0,10.0,1.0,9.0,532.0,16.0,8.0,11.0,,2.0,4.0,9.0,10.0,596.0,73.0,,,66842,3.0,167.0,8.0,180.0,2.0,,6.0,7.0,52.0,3.0,,,2.0,,8.0,8.0,5.0,2.0,47.0,549.0,12.0,15.0,16.0,71.0,0.0,,2.0,,,3.0,0.0,,,,2.0,66.0,10.0,1.0,,4.0,1.0,2.0,9.0,53.0,8.0,,617.0,9.0,,15.0,13.0,9.0,24.0,3.0,3.0,455.0,18.0,18.0,18.0,241.0,40.0,,4.0,11.0,25.0,,22.0,3.0,17.0,4.0,5.0,8.0,4.0,,2.0,1.0,5.0,4.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,
14,755440,2014-12-03 19:45:00,"Stamford Bridge, London",41518,Home,Chelsea,Tottenham Hotspur,3,0,W,2,0,0,0,2.0,67.0,,2.0,1.0,,,38.0,18.0,3.0,1.0,2.0,1.0,150.0,1.0,1.0,13.0,3.0,4.0,11.0,8.0,78.0,142.0,46.0,1.0,12.0,,9.0,,3.0,1.0,12.0,15.0,18.0,1.0,2.0,33.0,168.0,1.0,0.0,150.0,9.0,1.0,1.0,1.0,87.0,47.0,9.0,65.0,1.0,11.0,18.0,1.0,1.0,1.0,142.0,2.0,,4.0,87.0,593.0,8.0,9.0,,20.0,292.0,30.0,2.0,11.0,3.0,1.0,1.0,2.0,33.0,359.0,63.0,3.0,1.0,66842,6.0,137.0,8.0,155.0,4.0,2.0,18.0,9.0,60.0,4.0,,3.0,7.0,3.0,9.0,6.0,3.0,,66.0,304.0,9.0,12.0,14.0,65.0,0.0,4.0,6.0,3.0,,2.0,0.0,1.0,3.0,,,38.7,25.0,,,6.0,3.0,7.0,1.0,35.0,1.0,1.0,380.0,20.0,1.0,17.0,24.0,3.0,11.0,,2.0,237.0,11.0,2.0,8.0,113.0,20.0,1.0,4.0,11.0,17.0,,10.0,3.0,27.0,4.0,10.0,1.0,5.0,,3.0,,2.0,2.0,1.0,,,,,,1.0,,,,,,,1.0,,,,2.0,,,,,,,,2.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
15,755447,2014-12-06 12:45:00,"St. James' Park, Newcastle",52019,Away,Chelsea,Newcastle United,1,2,L,0,0,0,1,1.0,59.0,1.0,,3.0,1.0,1.0,26.0,31.0,9.0,6.0,1.0,,210.0,,9.0,10.0,1.0,5.0,25.0,8.0,152.0,160.0,79.0,,26.0,2.0,20.0,,,4.0,31.0,22.0,31.0,9.0,23.0,48.0,326.0,1.0,0.0,228.0,6.0,,,1.0,65.0,69.0,12.0,105.0,4.0,22.0,14.0,,7.0,5.0,160.0,2.0,,5.0,160.0,848.0,20.0,11.0,1.0,6.0,520.0,24.0,4.0,13.0,1.0,3.0,3.0,13.0,24.0,611.0,82.0,2.0,1.0,66842,13.0,216.0,13.0,232.0,3.0,,14.0,5.0,59.0,3.0,,4.0,2.0,,11.0,5.0,4.0,2.0,55.0,533.0,8.0,11.0,14.0,78.0,0.0,3.0,1.0,1.0,2.0,5.0,0.0,6.0,1.0,2.0,8.0,66.5,21.0,5.0,,2.0,3.0,2.0,5.0,44.0,10.0,1.0,627.0,6.0,,12.0,23.0,13.0,33.0,3.0,7.0,426.0,12.0,22.0,36.0,179.0,30.0,,2.0,13.0,25.0,2.0,21.0,3.0,21.0,2.0,6.0,10.0,3.0,2.0,5.0,1.0,3.0,2.0,,,,,2.0,1.0,2.0,,4.0,,1.0,1.0,2.0,,,,,,1.0,,2.0,1.0,,,,2.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,
16,755455,2014-12-13 15:00:00,"Stamford Bridge, London",41626,Home,Chelsea,Hull City,2,0,W,1,0,0,1,1.0,63.0,1.0,,3.0,,,33.0,19.0,6.0,1.0,,,182.0,1.0,3.0,12.0,2.0,5.0,10.0,3.0,136.0,151.0,54.0,,12.0,3.0,22.0,,2.0,,16.0,12.0,19.0,2.0,17.0,36.0,220.0,,0.0,175.0,13.0,,1.0,,77.0,79.0,7.0,90.0,1.0,14.0,20.0,,4.0,2.0,151.0,1.0,1.0,3.0,130.0,731.0,6.0,8.0,,11.0,430.0,23.0,4.0,8.0,2.0,3.0,2.0,3.0,25.0,518.0,64.0,1.0,1.0,66842,6.0,227.0,6.0,245.0,5.0,1.0,20.0,6.0,71.0,2.0,,,2.0,2.0,10.0,5.0,3.0,2.0,66.0,444.0,12.0,10.0,24.0,84.0,0.0,4.0,4.0,2.0,,6.0,0.0,1.0,2.0,,2.0,59.6,23.0,1.0,,4.0,,2.0,6.0,50.0,5.0,,538.0,11.0,,16.0,18.0,3.0,18.0,2.0,1.0,309.0,9.0,14.0,13.0,126.0,34.0,1.0,1.0,8.0,18.0,,8.0,3.0,24.0,1.0,9.0,5.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
17,755470,2014-12-22 20:00:00,"bet365 Stadium, Stoke",27550,Away,Chelsea,Stoke City,2,0,W,1,0,0,0,,64.0,1.0,1.0,,1.0,1.0,27.0,38.0,9.0,2.0,2.0,,181.0,1.0,2.0,13.0,2.0,2.0,13.0,6.0,95.0,136.0,75.0,1.0,15.0,4.0,22.0,2.0,1.0,3.0,14.0,27.0,38.0,5.0,12.0,26.0,208.0,,0.0,129.0,4.0,2.0,1.0,3.0,70.0,67.0,9.0,73.0,1.0,9.0,20.0,1.0,2.0,4.0,136.0,2.0,,4.0,102.0,695.0,11.0,8.0,,16.0,353.0,30.0,4.0,18.0,2.0,0.0,7.0,4.0,27.0,427.0,71.0,1.0,1.0,66842,3.0,161.0,7.0,178.0,2.0,1.0,20.0,11.0,56.0,3.0,1.0,2.0,3.0,1.0,15.0,9.0,5.0,1.0,62.0,367.0,11.0,13.0,23.0,96.0,0.0,1.0,6.0,2.0,,3.0,0.0,1.0,2.0,1.0,1.0,49.1,23.0,,,7.0,,4.0,4.0,56.0,5.0,3.0,451.0,16.0,,12.0,15.0,5.0,11.0,1.0,1.0,287.0,12.0,11.0,14.0,90.0,21.0,,4.0,18.0,37.0,,13.0,3.0,18.0,4.0,10.0,5.0,4.0,,3.0,,1.0,1.0,1.0,2.0,,,,2.0,,,,,,,,,1.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,755475,2014-12-26 12:45:00,"Stamford Bridge, London",41589,Home,Chelsea,West Ham United,2,0,W,1,0,0,0,1.0,67.0,1.0,,3.0,1.0,,26.0,19.0,12.0,7.0,,2.0,204.0,,6.0,12.0,2.0,6.0,23.0,9.0,136.0,150.0,72.0,4.0,28.0,3.0,22.0,1.0,1.0,5.0,14.0,16.0,19.0,6.0,8.0,29.0,265.0,3.0,0.0,199.0,8.0,,,5.0,61.0,60.0,13.0,84.0,2.0,8.0,16.0,4.0,3.0,5.0,150.0,4.0,,4.0,153.0,792.0,18.0,4.0,1.0,8.0,458.0,20.0,2.0,12.0,2.0,0.0,,9.0,30.0,557.0,64.0,,,66842,10.0,214.0,3.0,236.0,4.0,,16.0,6.0,57.0,4.0,1.0,1.0,11.0,1.0,17.0,2.0,3.0,3.0,56.0,473.0,13.0,13.0,14.0,88.0,0.0,1.0,6.0,2.0,,2.0,0.0,3.0,,1.0,3.0,64.7,26.0,3.0,,3.0,3.0,11.0,6.0,53.0,8.0,5.0,577.0,8.0,2.0,12.0,13.0,13.0,26.0,3.0,8.0,355.0,18.0,7.0,25.0,145.0,32.0,1.0,7.0,12.0,21.0,,18.0,3.0,15.0,7.0,5.0,8.0,5.0,2.0,3.0,,2.0,4.0,1.0,1.0,2.0,1.0,,3.0,,1.0,2.0,,1.0,,2.0,1.0,,,,1.0,1.0,,1.0,,,,,2.0,,,,,1.0,,,,,1.0,,,1.0,,,,2.0,,,,,,,1.0,,,,2.0,,,,,,,,,,
19,755489,2014-12-28 14:05:00,"St. Mary's Stadium, Southampton",31641,Away,Chelsea,Southampton,1,1,D,1,1,0,1,,63.0,,,3.0,,,44.0,13.0,2.0,2.0,,,190.0,,5.0,21.0,1.0,6.0,6.0,1.0,145.0,153.0,74.0,,7.0,1.0,11.0,,1.0,,39.0,12.0,13.0,6.0,10.0,30.0,306.0,,0.0,220.0,14.0,,1.0,2.0,105.0,81.0,4.0,86.0,2.0,33.0,32.0,,5.0,1.0,153.0,,1.0,4.0,147.0,792.0,5.0,10.0,,14.0,465.0,21.0,3.0,6.0,1.0,2.0,1.0,2.0,19.0,536.0,72.0,1.0,,66842,4.0,192.0,25.0,206.0,8.0,1.0,32.0,8.0,53.0,1.0,,3.0,8.0,1.0,13.0,5.0,7.0,,61.0,493.0,23.0,6.0,13.0,76.0,0.0,,4.0,1.0,1.0,5.0,0.0,4.0,,,,60.7,15.0,,,3.0,1.0,8.0,4.0,59.0,6.0,2.0,568.0,14.0,,14.0,19.0,2.0,35.0,1.0,1.0,401.0,5.0,9.0,17.0,175.0,30.0,,,6.0,15.0,1.0,7.0,3.0,31.0,,16.0,6.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
20,755501,2015-01-01 17:30:00,"White Hart Lane, London",35903,Away,Chelsea,Tottenham Hotspur,3,5,L,1,3,0,0,3.0,66.0,1.0,1.0,,1.0,,42.0,14.0,5.0,7.0,3.0,2.0,215.0,,1.0,10.0,3.0,4.0,15.0,7.0,105.0,176.0,68.0,1.0,19.0,3.0,18.0,2.0,2.0,3.0,13.0,22.0,14.0,3.0,7.0,56.0,203.0,,0.0,167.0,10.0,1.0,1.0,2.0,79.0,50.0,9.0,74.0,3.0,10.0,21.0,1.0,3.0,2.0,176.0,4.0,,8.0,105.0,715.0,12.0,13.0,2.0,9.0,367.0,19.0,6.0,8.0,3.0,1.0,1.0,6.0,32.0,476.0,81.0,2.0,,62398,3.0,180.0,6.0,199.0,6.0,1.0,21.0,3.0,65.0,5.0,1.0,,3.0,2.0,12.0,3.0,2.0,2.0,77.0,382.0,14.0,7.0,21.0,101.0,0.0,2.0,5.0,3.0,5.0,5.0,0.0,1.0,1.0,,2.0,53.8,29.0,1.0,,4.0,5.0,3.0,3.0,59.0,3.0,2.0,499.0,9.0,,22.0,30.0,9.0,36.0,,6.0,313.0,10.0,5.0,16.0,100.0,37.0,1.0,3.0,8.0,29.0,4.0,16.0,2.0,18.0,3.0,12.0,3.0,2.0,2.0,4.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,,,,,,1.0,2.0,1.0,,,,,1.0,3.0,2.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,
21,755505,2015-01-10 15:00:00,"Stamford Bridge, London",41612,Home,Chelsea,Newcastle United,2,0,W,1,0,0,0,1.0,77.0,2.0,2.0,1.0,1.0,,41.0,29.0,2.0,,4.0,,217.0,,3.0,16.0,2.0,1.0,8.0,5.0,140.0,156.0,72.0,1.0,9.0,,8.0,1.0,1.0,2.0,14.0,20.0,29.0,5.0,12.0,48.0,270.0,,0.0,213.0,13.0,1.0,1.0,1.0,103.0,66.0,5.0,100.0,1.0,9.0,18.0,1.0,3.0,1.0,156.0,1.0,1.0,6.0,145.0,812.0,6.0,4.0,,8.0,492.0,28.0,6.0,16.0,2.0,2.0,5.0,3.0,21.0,582.0,85.0,,,62398,5.0,240.0,6.0,258.0,8.0,2.0,18.0,3.0,64.0,1.0,,7.0,6.0,1.0,13.0,5.0,1.0,,68.0,507.0,13.0,19.0,14.0,87.0,0.0,,4.0,2.0,,2.0,0.0,2.0,2.0,,,63.0,17.0,,,9.0,1.0,6.0,1.0,55.0,7.0,1.0,602.0,8.0,,19.0,31.0,3.0,20.0,1.0,2.0,358.0,9.0,11.0,20.0,156.0,32.0,1.0,2.0,16.0,24.0,,7.0,3.0,23.0,2.0,8.0,7.0,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,
22,755520,2015-01-17 15:00:00,"Swansea.com Stadium, Swansea",20785,Away,Chelsea,Swansea City,5,0,W,4,0,0,0,3.0,63.0,3.0,,,,,27.0,10.0,10.0,4.0,,,183.0,1.0,1.0,18.0,5.0,2.0,17.0,11.0,166.0,122.0,49.0,,21.0,2.0,13.0,3.0,3.0,1.0,7.0,11.0,10.0,2.0,23.0,28.0,333.0,,0.0,218.0,13.0,,2.0,1.0,95.0,67.0,11.0,108.0,2.0,5.0,12.0,,2.0,3.0,122.0,3.0,,1.0,139.0,750.0,13.0,4.0,2.0,16.0,499.0,18.0,3.0,6.0,3.0,0.0,5.0,6.0,14.0,575.0,71.0,3.0,,66842,5.0,180.0,3.0,189.0,8.0,5.0,12.0,9.0,53.0,4.0,,3.0,2.0,5.0,5.0,10.0,4.0,3.0,51.0,512.0,8.0,7.0,16.0,78.0,0.0,1.0,1.0,4.0,,,0.0,1.0,3.0,1.0,1.0,54.6,12.0,1.0,,6.0,2.0,2.0,2.0,47.0,2.0,1.0,596.0,16.0,,13.0,16.0,8.0,13.0,,3.0,414.0,16.0,23.0,11.0,166.0,35.0,2.0,1.0,6.0,12.0,,20.0,3.0,26.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,2.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,
23,755524,2015-01-31 17:30:00,"Stamford Bridge, London",41620,Home,Chelsea,Manchester City,1,1,D,1,1,0,0,1.0,66.0,,1.0,,,,22.0,21.0,1.0,1.0,4.0,,185.0,,1.0,13.0,1.0,3.0,3.0,2.0,80.0,172.0,81.0,,3.0,,18.0,,1.0,1.0,8.0,22.0,21.0,1.0,6.0,30.0,140.0,,0.0,118.0,12.0,2.0,,1.0,45.0,69.0,2.0,74.0,,7.0,22.0,,1.0,,172.0,1.0,,8.0,77.0,616.0,1.0,10.0,,13.0,280.0,32.0,9.0,12.0,1.0,0.0,,1.0,25.0,388.0,68.0,,1.0,62398,1.0,157.0,5.0,187.0,9.0,1.0,22.0,7.0,69.0,1.0,,2.0,3.0,1.0,8.0,1.0,3.0,,66.0,296.0,14.0,12.0,31.0,81.0,0.0,2.0,8.0,1.0,1.0,2.0,0.0,,1.0,2.0,1.0,42.8,19.0,1.0,,3.0,,3.0,,35.0,1.0,1.0,416.0,13.0,,11.0,10.0,1.0,11.0,1.0,1.0,237.0,1.0,6.0,25.0,62.0,25.0,1.0,6.0,12.0,29.0,1.0,2.0,3.0,29.0,6.0,12.0,1.0,,,,,1.0,1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
24,755533,2015-02-07 15:00:00,"Villa Park, Birmingham",35969,Away,Chelsea,Aston Villa,2,1,W,1,0,0,0,1.0,60.0,1.0,,1.0,,,29.0,35.0,4.0,2.0,,1.0,155.0,,5.0,7.0,2.0,,9.0,5.0,119.0,126.0,45.0,,12.0,2.0,15.0,1.0,2.0,3.0,15.0,14.0,35.0,6.0,7.0,35.0,196.0,,0.0,129.0,7.0,,1.0,3.0,74.0,39.0,5.0,81.0,1.0,9.0,8.0,,1.0,1.0,126.0,1.0,,6.0,146.0,668.0,6.0,10.0,,8.0,398.0,25.0,3.0,15.0,2.0,2.0,2.0,4.0,13.0,475.0,54.0,,,66733,5.0,224.0,8.0,233.0,5.0,1.0,8.0,10.0,48.0,1.0,1.0,4.0,3.0,2.0,11.0,2.0,6.0,,56.0,415.0,7.0,13.0,13.0,80.0,0.0,,7.0,2.0,1.0,3.0,0.0,4.0,2.0,,2.0,49.0,11.0,1.0,,6.0,2.0,3.0,3.0,45.0,7.0,5.0,501.0,8.0,,7.0,16.0,4.0,13.0,1.0,3.0,283.0,8.0,7.0,15.0,85.0,22.0,,4.0,15.0,16.0,1.0,10.0,3.0,13.0,4.0,4.0,7.0,1.0,,2.0,,2.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,
25,755550,2015-02-11 19:45:00,"Stamford Bridge, London",41592,Home,Chelsea,Everton,1,0,W,0,0,0,1,,65.0,,2.0,3.0,,,31.0,12.0,10.0,6.0,4.0,,166.0,,8.0,12.0,1.0,6.0,18.0,7.0,127.0,149.0,59.0,1.0,21.0,3.0,8.0,3.0,,3.0,45.0,8.0,12.0,10.0,10.0,28.0,309.0,2.0,0.0,246.0,8.0,1.0,1.0,,86.0,87.0,11.0,66.0,,35.0,21.0,1.0,10.0,4.0,149.0,,,2.0,146.0,709.0,16.0,10.0,,5.0,417.0,20.0,6.0,9.0,,3.0,1.0,7.0,19.0,487.0,89.0,,,66733,6.0,131.0,24.0,137.0,7.0,1.0,21.0,3.0,47.0,,,2.0,3.0,,5.0,5.0,2.0,3.0,51.0,432.0,13.0,7.0,14.0,71.0,0.0,5.0,2.0,,,5.0,0.0,6.0,,1.0,4.0,56.1,16.0,2.0,,5.0,2.0,3.0,6.0,55.0,10.0,,505.0,5.0,,15.0,16.0,8.0,29.0,2.0,4.0,413.0,11.0,10.0,23.0,188.0,33.0,,,9.0,11.0,,15.0,3.0,21.0,,16.0,10.0,2.0,,4.0,,,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,2.0,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,3.0,,1.0,,,,,,,,,,
26,755554,2015-02-21 15:00:00,"Stamford Bridge, London",41629,Home,Chelsea,Burnley,1,1,D,1,0,1,0,1.0,73.0,,1.0,1.0,,,45.0,44.0,5.0,4.0,4.0,,233.0,,5.0,16.0,1.0,,13.0,5.0,128.0,169.0,77.0,,14.0,2.0,18.0,,1.0,2.0,20.0,21.0,44.0,5.0,11.0,42.0,295.0,2.0,0.0,233.0,9.0,2.0,,2.0,117.0,73.0,8.0,97.0,2.0,15.0,13.0,,5.0,2.0,169.0,1.0,3.0,6.0,127.0,815.0,11.0,11.0,,11.0,454.0,24.0,6.0,30.0,1.0,1.0,1.0,5.0,15.0,556.0,76.0,,,66733,4.0,184.0,10.0,206.0,2.0,1.0,13.0,10.0,53.0,2.0,1.0,3.0,4.0,1.0,16.0,4.0,5.0,,88.0,474.0,9.0,6.0,25.0,91.0,0.0,2.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,61.0,15.0,1.0,,9.0,2.0,4.0,3.0,49.0,7.0,2.0,585.0,11.0,,10.0,23.0,6.0,25.0,1.0,4.0,399.0,8.0,11.0,25.0,178.0,31.0,,2.0,30.0,28.0,1.0,12.0,3.0,28.0,2.0,5.0,7.0,,1.0,3.0,,,1.0,,,,,1.0,,,,1.0,,1.0,,3.0,1.0,,,,2.0,1.0,,1.0,3.0,,,,,,,,,1.0,,,,,2.0,,,2.0,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,
