gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,accuratePullBack,attCmissRight,goalAssistOpenplay,goodHighClaim,accurateFreekickCross,totalPullBack,goalsOpenplay,attMissHigh,attCmissLeft,totalHighClaim,forwardGoals,attIboxBlocked,attFreekickTotal,attOneOnOne,divingSave,freekickTotal,attHdTarget,accurateThroughBall,totalOffside,savedIbox,attSvHighCentre,attBxRight,postScoringAtt,attIboxPost,attGoalHighRight,attPostLeft,hitWoodwork,attCmissHighRight,attFreekickMiss,attLfGoal,cleanSheet,attGoalHighCentre,shotFastbreak,attCmissHigh,attFastbreak,errorLeadToGoal,sixYardBlock,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalLowRight,attSvHighRight,attFreekickTarget,goalsConcededObox,goalFastbreak,foulThrowIn,attOboxGoal,ownGoals,attGoalHighLeft,punches,attIboxOwnGoal,attLgCentre,attObxdLeft,penaltyWon,attSvHighLeft,secondYellow,attPenGoal,attPostRight,attHdPost,attPostHigh,attPenTarget,clearanceOffLine,attFreekickGoal,attOboxPost
11,755409,2014-11-09 16:00:00,"Swansea.com Stadium, Swansea",20812,Away,Arsenal,Swansea City,1,2,L,0,0,0,0,2.0,1.0,60.0,,1.0,,,11.0,19.0,5.0,4.0,3.0,1.0,165.0,1.0,5.0,14.0,1.0,3.0,11.0,4.0,118.0,136.0,53.0,12.0,2.0,15.0,2.0,,2.0,1.0,30.0,14.0,1.0,19.0,10.0,14.0,22.0,196.0,,0.0,121.0,16.0,2.0,1.0,,3.0,50.0,61.0,9.0,58.0,,2.0,20.0,8.0,6.0,2.0,136.0,4.0,,5.0,121.0,646.0,8.0,8.0,19.0,366.0,27.0,,3.0,9.0,1.0,,5.0,1.0,1.0,12.0,441.0,47.0,1.0,98980,6.0,191.0,3.0,11.0,1.0,210.0,6.0,1.0,8.0,7.0,53.0,4.0,,3.0,11.0,6.0,4.0,39.0,382.0,10.0,11.0,1.0,24.0,63.0,1.0,0.0,1.0,6.0,1.0,2.0,3.0,0.0,3.0,1.0,,1.0,51.9,9.0,1.0,6.0,,3.0,5.0,39.0,10.0,462.0,19.0,6.0,10.0,3.0,28.0,2.0,1.0,282.0,7.0,14.0,14.0,85.0,24.0,3.0,9.0,16.0,,1.0,10.0,3.0,23.0,3.0,3.0,10.0,1.0,1.0,,1.0,,,2.0,1.0,,1.0,,,3.0,,,1.0,,,2.0,,2.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12,755413,2014-11-22 17:30:00,"Emirates Stadium, London",60074,Home,Arsenal,Manchester United,1,2,L,0,0,0,0,3.0,,56.0,,1.0,,,17.0,10.0,10.0,5.0,1.0,4.0,178.0,,8.0,11.0,1.0,1.0,21.0,9.0,125.0,140.0,47.0,23.0,3.0,14.0,4.0,1.0,4.0,3.0,33.0,14.0,4.0,10.0,11.0,16.0,41.0,226.0,,0.0,189.0,12.0,1.0,,2.0,,49.0,57.0,14.0,63.0,,,22.0,21.0,3.0,2.0,140.0,2.0,1.0,10.0,124.0,695.0,17.0,10.0,6.0,389.0,22.0,,4.0,6.0,1.0,1.0,2.0,4.0,7.0,26.0,466.0,69.0,,98980,8.0,194.0,2.0,19.0,,203.0,5.0,,21.0,10.0,61.0,5.0,,3.0,7.0,3.0,10.0,42.0,412.0,7.0,10.0,3.0,18.0,64.0,2.0,0.0,2.0,5.0,,2.0,1.0,0.0,4.0,,3.0,4.0,61.4,26.0,3.0,7.0,3.0,3.0,6.0,39.0,11.0,490.0,6.0,12.0,24.0,8.0,24.0,4.0,6.0,320.0,14.0,14.0,10.0,131.0,24.0,1.0,6.0,19.0,,2.0,17.0,3.0,26.0,1.0,13.0,11.0,1.0,1.0,,1.0,1.0,,1.0,1.0,5.0,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
13,755431,2014-11-29 12:45:00,"The Hawthorns, West Bromwich",24228,Away,Arsenal,West Bromwich Albion,1,0,W,0,0,0,0,2.0,,68.0,,1.0,,,26.0,35.0,7.0,6.0,1.0,2.0,188.0,,6.0,13.0,1.0,4.0,14.0,5.0,108.0,130.0,58.0,17.0,3.0,23.0,1.0,,2.0,3.0,16.0,6.0,3.0,35.0,4.0,31.0,39.0,226.0,1.0,0.0,166.0,10.0,,1.0,1.0,2.0,47.0,58.0,10.0,79.0,1.0,2.0,12.0,20.0,3.0,3.0,130.0,,1.0,4.0,132.0,727.0,13.0,9.0,24.0,406.0,29.0,,7.0,17.0,1.0,,1.0,3.0,4.0,22.0,488.0,60.0,,99127,7.0,196.0,,7.0,1.0,216.0,5.0,,20.0,6.0,49.0,6.0,,7.0,9.0,4.0,1.0,62.0,416.0,9.0,3.0,,24.0,81.0,,0.0,3.0,4.0,1.0,,2.0,0.0,5.0,1.0,1.0,1.0,51.6,21.0,,3.0,,7.0,6.0,44.0,4.0,507.0,24.0,8.0,22.0,6.0,20.0,1.0,3.0,307.0,9.0,26.0,26.0,124.0,26.0,3.0,17.0,10.0,1.0,,15.0,2.0,20.0,3.0,15.0,4.0,1.0,,,1.0,2.0,1.0,,1.0,,1.0,2.0,,3.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,
14,755433,2014-12-03 19:45:00,"Emirates Stadium, London",60025,Home,Arsenal,Southampton,1,0,W,0,0,0,0,3.0,1.0,73.0,1.0,1.0,,,26.0,16.0,5.0,7.0,1.0,2.0,205.0,,5.0,14.0,1.0,3.0,15.0,8.0,132.0,167.0,79.0,19.0,1.0,14.0,6.0,1.0,4.0,2.0,30.0,17.0,1.0,16.0,6.0,16.0,33.0,272.0,,0.0,177.0,7.0,,1.0,2.0,2.0,85.0,81.0,10.0,73.0,3.0,4.0,24.0,20.0,6.0,3.0,167.0,4.0,,3.0,129.0,785.0,12.0,11.0,28.0,426.0,31.0,,5.0,11.0,1.0,1.0,0.0,2.0,5.0,24.0,510.0,68.0,1.0,98980,7.0,178.0,3.0,16.0,1.0,197.0,1.0,1.0,20.0,8.0,43.0,4.0,,6.0,19.0,3.0,5.0,55.0,445.0,13.0,1.0,2.0,16.0,77.0,,0.0,2.0,4.0,1.0,,5.0,0.0,4.0,1.0,1.0,2.0,58.6,21.0,,3.0,4.0,6.0,4.0,48.0,9.0,539.0,28.0,16.0,14.0,7.0,24.0,1.0,4.0,372.0,9.0,14.0,27.0,127.0,29.0,3.0,11.0,24.0,,,16.0,2.0,20.0,3.0,10.0,9.0,1.0,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,,3.0,,1.0,1.0,,2.0,3.0,2.0,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,755450,2014-12-06 15:00:00,"bet365 Stadium, Stoke",27367,Away,Arsenal,Stoke City,2,3,L,0,3,1,0,,1.0,57.0,1.0,1.0,1.0,1.0,17.0,10.0,3.0,,1.0,2.0,163.0,1.0,9.0,19.0,2.0,6.0,11.0,6.0,117.0,134.0,60.0,14.0,,22.0,3.0,,,1.0,27.0,9.0,1.0,10.0,8.0,11.0,31.0,231.0,,0.0,163.0,14.0,1.0,2.0,2.0,3.0,61.0,53.0,8.0,57.0,1.0,,19.0,18.0,2.0,2.0,134.0,1.0,,8.0,116.0,653.0,9.0,7.0,16.0,349.0,21.0,1.0,2.0,5.0,1.0,,2.0,3.0,3.0,18.0,422.0,62.0,1.0,99127,8.0,152.0,2.0,14.0,1.0,173.0,4.0,2.0,18.0,10.0,68.0,7.0,,5.0,8.0,5.0,6.0,42.0,374.0,15.0,14.0,1.0,11.0,64.0,,0.0,3.0,3.0,2.0,3.0,2.0,1.0,6.0,1.0,,4.0,57.5,16.0,2.0,4.0,2.0,5.0,3.0,44.0,9.0,453.0,16.0,13.0,16.0,5.0,17.0,3.0,2.0,307.0,9.0,10.0,12.0,120.0,25.0,4.0,5.0,14.0,,3.0,9.0,3.0,26.0,4.0,9.0,9.0,1.0,,,,3.0,,1.0,,2.0,1.0,3.0,,3.0,1.0,,,1.0,2.0,2.0,3.0,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
16,755453,2014-12-13 17:30:00,"Emirates Stadium, London",59949,Home,Arsenal,Newcastle United,4,1,W,1,0,0,0,,3.0,78.0,,1.0,,,28.0,25.0,6.0,5.0,3.0,,175.0,1.0,5.0,15.0,4.0,6.0,13.0,4.0,113.0,153.0,79.0,17.0,2.0,17.0,,1.0,,4.0,21.0,17.0,,25.0,9.0,19.0,27.0,237.0,1.0,0.0,178.0,14.0,1.0,2.0,,2.0,51.0,71.0,6.0,64.0,,1.0,12.0,25.0,1.0,4.0,153.0,2.0,1.0,4.0,115.0,710.0,8.0,12.0,16.0,362.0,29.0,,10.0,13.0,3.0,1.0,2.0,3.0,7.0,22.0,446.0,53.0,,99127,5.0,149.0,,9.0,1.0,169.0,6.0,1.0,25.0,4.0,59.0,9.0,,2.0,17.0,6.0,2.0,45.0,381.0,15.0,7.0,2.0,20.0,63.0,,0.0,4.0,6.0,4.0,1.0,5.0,0.0,3.0,2.0,1.0,2.0,51.3,19.0,,8.0,3.0,3.0,5.0,41.0,9.0,467.0,16.0,11.0,18.0,8.0,23.0,2.0,3.0,319.0,9.0,16.0,24.0,133.0,34.0,5.0,13.0,26.0,1.0,1.0,12.0,3.0,27.0,5.0,11.0,9.0,1.0,,,3.0,3.0,,,3.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,,3.0,3.0,2.0,,,1.0,1.0,2.0,,1.0,,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,
17,755465,2014-12-21 16:00:00,"Anfield, Liverpool",44703,Away,Arsenal,Liverpool,2,2,D,1,1,0,1,1.0,1.0,59.0,1.0,4.0,1.0,,20.0,21.0,3.0,3.0,8.0,,156.0,,2.0,12.0,2.0,3.0,6.0,3.0,79.0,163.0,64.0,7.0,,20.0,,1.0,,2.0,13.0,18.0,1.0,21.0,6.0,7.0,20.0,138.0,1.0,0.0,115.0,14.0,,,1.0,3.0,45.0,48.0,4.0,41.0,1.0,,7.0,22.0,1.0,2.0,163.0,1.0,,15.0,69.0,570.0,3.0,11.0,19.0,236.0,20.0,,7.0,9.0,2.0,2.0,3.0,4.0,2.0,21.0,319.0,59.0,,99127,3.0,113.0,,3.0,1.0,125.0,8.0,,22.0,16.0,76.0,,1.0,5.0,14.0,12.0,7.0,54.0,249.0,6.0,11.0,1.0,23.0,73.0,,0.0,2.0,10.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,36.5,14.0,1.0,5.0,,5.0,1.0,26.0,6.0,345.0,19.0,21.0,8.0,3.0,9.0,1.0,1.0,233.0,2.0,6.0,21.0,65.0,22.0,4.0,9.0,25.0,1.0,2.0,5.0,3.0,23.0,4.0,16.0,6.0,,1.0,,1.0,2.0,,1.0,1.0,,2.0,2.0,1.0,1.0,,,4.0,,,,1.0,4.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
18,755473,2014-12-26 17:30:00,"Emirates Stadium, London",59947,Home,Arsenal,Queens Park Rangers,2,1,W,1,0,1,0,1.0,2.0,76.0,,,,,21.0,19.0,6.0,6.0,1.0,2.0,178.0,1.0,1.0,21.0,2.0,4.0,11.0,5.0,129.0,149.0,70.0,15.0,2.0,16.0,2.0,,,,15.0,13.0,1.0,19.0,6.0,8.0,34.0,227.0,2.0,0.0,168.0,6.0,2.0,1.0,,1.0,56.0,60.0,6.0,80.0,2.0,1.0,9.0,20.0,1.0,3.0,149.0,2.0,2.0,7.0,152.0,750.0,8.0,8.0,18.0,432.0,31.0,1.0,3.0,14.0,2.0,,1.0,8.0,5.0,18.0,514.0,61.0,,99127,7.0,222.0,1.0,7.0,,230.0,5.0,1.0,20.0,11.0,52.0,5.0,,4.0,9.0,9.0,4.0,47.0,448.0,15.0,4.0,1.0,12.0,73.0,2.0,0.0,2.0,2.0,2.0,1.0,,1.0,,2.0,,2.0,55.9,14.0,1.0,5.0,1.0,4.0,4.0,48.0,6.0,539.0,18.0,15.0,17.0,6.0,19.0,1.0,3.0,324.0,7.0,8.0,20.0,110.0,34.0,,14.0,15.0,1.0,1.0,11.0,2.0,32.0,,10.0,6.0,,1.0,,2.0,1.0,,2.0,2.0,2.0,,1.0,1.0,2.0,2.0,,1.0,2.0,,,3.0,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,
19,755492,2014-12-28 15:00:00,"Boleyn Ground, London",34977,Away,Arsenal,West Ham United,2,1,W,2,0,0,0,1.0,2.0,63.0,1.0,3.0,,,18.0,54.0,6.0,5.0,3.0,3.0,152.0,1.0,4.0,12.0,2.0,3.0,16.0,7.0,55.0,152.0,75.0,21.0,2.0,34.0,3.0,,1.0,1.0,16.0,18.0,2.0,54.0,7.0,6.0,26.0,110.0,2.0,0.0,101.0,13.0,2.0,2.0,2.0,,49.0,31.0,11.0,31.0,3.0,3.0,9.0,19.0,1.0,2.0,152.0,3.0,1.0,7.0,57.0,547.0,11.0,8.0,18.0,185.0,26.0,1.0,6.0,32.0,1.0,,3.0,1.0,5.0,23.0,263.0,48.0,1.0,99127,7.0,89.0,2.0,8.0,1.0,109.0,5.0,1.0,19.0,11.0,70.0,2.0,,3.0,12.0,7.0,1.0,57.0,195.0,12.0,7.0,4.0,24.0,77.0,2.0,0.0,1.0,7.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,42.2,16.0,3.0,2.0,2.0,4.0,6.0,27.0,8.0,295.0,18.0,15.0,9.0,8.0,10.0,3.0,6.0,202.0,12.0,6.0,26.0,59.0,21.0,3.0,32.0,25.0,,1.0,14.0,2.0,15.0,3.0,12.0,8.0,,1.0,,1.0,6.0,,2.0,1.0,1.0,,6.0,,4.0,1.0,,3.0,1.0,1.0,,1.0,,,4.0,,,,,,,,1.0,,,2.0,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,
20,755499,2015-01-01 15:00:00,"St. Mary's Stadium, Southampton",31492,Away,Arsenal,Southampton,0,2,L,0,1,0,0,,,66.0,,,,,21.0,11.0,6.0,1.0,3.0,6.0,191.0,,5.0,13.0,,2.0,6.0,6.0,153.0,152.0,52.0,11.0,,17.0,2.0,,4.0,1.0,30.0,14.0,4.0,11.0,6.0,17.0,49.0,261.0,1.0,0.0,146.0,7.0,,,1.0,1.0,78.0,94.0,4.0,75.0,1.0,,24.0,16.0,7.0,2.0,152.0,1.0,1.0,10.0,138.0,771.0,6.0,7.0,13.0,452.0,31.0,1.0,2.0,5.0,,1.0,1.0,3.0,2.0,30.0,534.0,48.0,1.0,99127,3.0,217.0,1.0,16.0,,235.0,5.0,,16.0,6.0,47.0,3.0,,4.0,15.0,3.0,4.0,40.0,473.0,13.0,3.0,,10.0,79.0,1.0,0.0,5.0,2.0,,2.0,3.0,0.0,4.0,,1.0,,58.5,29.0,,5.0,2.0,4.0,1.0,51.0,7.0,557.0,13.0,14.0,25.0,4.0,19.0,1.0,2.0,352.0,10.0,16.0,12.0,109.0,25.0,2.0,5.0,14.0,,1.0,10.0,2.0,20.0,2.0,8.0,7.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,1.0,4.0,,,,,,,,,1.0,,,,,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
21,755503,2015-01-11 13:30:00,"Emirates Stadium, London",59956,Home,Arsenal,Stoke City,3,0,W,2,0,0,0,1.0,1.0,74.0,2.0,1.0,1.0,,17.0,21.0,7.0,3.0,2.0,2.0,170.0,,2.0,21.0,3.0,2.0,12.0,6.0,123.0,136.0,70.0,14.0,1.0,18.0,2.0,,,3.0,25.0,19.0,1.0,21.0,8.0,16.0,25.0,255.0,1.0,0.0,159.0,11.0,1.0,2.0,2.0,1.0,85.0,54.0,6.0,62.0,,,17.0,14.0,2.0,4.0,136.0,3.0,1.0,4.0,141.0,713.0,10.0,12.0,21.0,409.0,27.0,,6.0,7.0,2.0,,0.0,1.0,6.0,14.0,470.0,50.0,1.0,99127,1.0,174.0,2.0,14.0,,186.0,4.0,2.0,14.0,9.0,62.0,7.0,1.0,2.0,12.0,3.0,4.0,35.0,427.0,10.0,9.0,,11.0,64.0,1.0,0.0,3.0,1.0,2.0,,5.0,0.0,2.0,1.0,2.0,1.0,53.8,14.0,,5.0,3.0,2.0,1.0,45.0,9.0,496.0,21.0,18.0,13.0,7.0,14.0,,2.0,335.0,10.0,14.0,18.0,126.0,34.0,1.0,7.0,22.0,1.0,,12.0,3.0,28.0,1.0,7.0,9.0,1.0,,,1.0,2.0,,,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,4.0,4.0,1.0,,2.0,1.0,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,
22,755517,2015-01-18 16:00:00,"Etihad Stadium, Manchester",45596,Away,Arsenal,Manchester City,2,0,W,1,0,0,0,,2.0,73.0,1.0,,1.0,1.0,23.0,50.0,2.0,1.0,4.0,1.0,145.0,,1.0,33.0,2.0,4.0,8.0,3.0,85.0,140.0,90.0,9.0,1.0,16.0,,,,1.0,9.0,14.0,1.0,50.0,2.0,10.0,25.0,154.0,1.0,0.0,110.0,5.0,1.0,1.0,,,58.0,35.0,4.0,48.0,6.0,1.0,7.0,19.0,2.0,,140.0,1.0,,11.0,82.0,645.0,6.0,10.0,39.0,259.0,41.0,,7.0,23.0,1.0,,3.0,5.0,4.0,19.0,336.0,43.0,,98745,3.0,122.0,,5.0,2.0,138.0,2.0,1.0,19.0,4.0,69.0,4.0,,2.0,13.0,1.0,2.0,42.0,275.0,10.0,20.0,1.0,18.0,66.0,1.0,0.0,4.0,16.0,2.0,,1.0,0.0,1.0,1.0,3.0,2.0,35.3,17.0,1.0,2.0,3.0,2.0,2.0,41.0,3.0,360.0,39.0,16.0,16.0,4.0,14.0,,4.0,231.0,5.0,8.0,25.0,75.0,23.0,10.0,23.0,22.0,1.0,,6.0,3.0,45.0,10.0,11.0,3.0,,,,,3.0,,1.0,,1.0,,4.0,1.0,1.0,,,2.0,,,2.0,,4.0,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,
23,755523,2015-02-01 13:30:00,"Emirates Stadium, London",59958,Home,Arsenal,Aston Villa,5,0,W,1,0,0,0,,2.0,76.0,1.0,1.0,,,29.0,25.0,5.0,4.0,2.0,2.0,178.0,,5.0,16.0,5.0,2.0,11.0,8.0,123.0,138.0,63.0,13.0,1.0,13.0,2.0,,,1.0,22.0,11.0,1.0,25.0,5.0,23.0,23.0,251.0,,0.0,156.0,6.0,,3.0,1.0,2.0,77.0,49.0,8.0,78.0,1.0,,17.0,21.0,2.0,1.0,138.0,2.0,,4.0,129.0,706.0,6.0,18.0,20.0,403.0,35.0,,8.0,15.0,4.0,,0.0,2.0,3.0,14.0,486.0,47.0,,98745,6.0,174.0,1.0,13.0,1.0,196.0,5.0,3.0,21.0,6.0,47.0,11.0,1.0,5.0,9.0,5.0,5.0,44.0,420.0,9.0,10.0,1.0,18.0,69.0,,0.0,2.0,7.0,4.0,,6.0,0.0,4.0,3.0,,2.0,48.0,13.0,,1.0,2.0,5.0,2.0,46.0,7.0,508.0,20.0,11.0,17.0,3.0,18.0,1.0,,334.0,7.0,21.0,25.0,119.0,27.0,,15.0,16.0,,,11.0,3.0,23.0,,7.0,7.0,,,,4.0,7.0,1.0,2.0,4.0,,1.0,7.0,1.0,1.0,,1.0,3.0,,1.0,5.0,3.0,1.0,,,2.0,1.0,,1.0,2.0,,,2.0,1.0,,,,,,1.0,,,,4.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0
24,755541,2015-02-07 12:45:00,"White Hart Lane, London",35659,Away,Arsenal,Tottenham Hotspur,1,2,L,1,0,0,0,,1.0,71.0,,5.0,,,32.0,39.0,2.0,3.0,7.0,1.0,182.0,,3.0,11.0,1.0,2.0,5.0,3.0,79.0,175.0,68.0,7.0,1.0,18.0,2.0,1.0,,2.0,15.0,15.0,,39.0,3.0,17.0,31.0,169.0,,0.0,128.0,12.0,,,,2.0,61.0,54.0,3.0,41.0,2.0,1.0,12.0,22.0,3.0,1.0,175.0,1.0,,8.0,84.0,619.0,3.0,25.0,28.0,245.0,35.0,,10.0,22.0,1.0,1.0,5.0,5.0,2.0,20.0,348.0,64.0,,98745,4.0,104.0,,7.0,,134.0,7.0,,22.0,13.0,61.0,2.0,,,17.0,15.0,9.0,64.0,270.0,8.0,11.0,1.0,23.0,77.0,2.0,0.0,3.0,10.0,1.0,2.0,3.0,0.0,1.0,,,2.0,44.0,17.0,1.0,,1.0,,1.0,45.0,3.0,386.0,28.0,15.0,12.0,3.0,15.0,2.0,2.0,267.0,2.0,14.0,29.0,79.0,25.0,2.0,22.0,20.0,,2.0,6.0,3.0,17.0,2.0,12.0,3.0,,,1.0,1.0,3.0,,2.0,1.0,,,3.0,1.0,,,,6.0,,1.0,1.0,3.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,755543,2015-02-10 19:45:00,"Emirates Stadium, London",60032,Home,Arsenal,Leicester City,2,1,W,2,0,0,0,4.0,2.0,61.0,1.0,,1.0,1.0,18.0,36.0,8.0,8.0,3.0,1.0,177.0,,4.0,8.0,2.0,4.0,11.0,7.0,162.0,132.0,73.0,17.0,5.0,20.0,4.0,,,1.0,10.0,13.0,1.0,36.0,5.0,16.0,23.0,319.0,,0.0,211.0,13.0,,,1.0,1.0,73.0,45.0,10.0,71.0,,1.0,5.0,16.0,1.0,2.0,132.0,2.0,1.0,10.0,154.0,767.0,9.0,12.0,10.0,452.0,26.0,,6.0,21.0,1.0,,2.0,2.0,1.0,20.0,539.0,49.0,,98745,5.0,159.0,1.0,3.0,1.0,178.0,4.0,2.0,16.0,8.0,65.0,5.0,1.0,4.0,12.0,1.0,7.0,38.0,474.0,13.0,14.0,1.0,19.0,61.0,3.0,0.0,1.0,6.0,2.0,1.0,6.0,0.0,,1.0,,1.0,57.1,20.0,1.0,6.0,2.0,4.0,7.0,38.0,6.0,564.0,10.0,8.0,11.0,3.0,14.0,4.0,1.0,396.0,8.0,14.0,38.0,169.0,23.0,5.0,21.0,15.0,,1.0,9.0,3.0,22.0,5.0,9.0,6.0,3.0,,1.0,,1.0,,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,,1.0,2.0,,2.0,1.0,3.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,
26,755555,2015-02-21 15:00:00,"Selhurst Park, London",24721,Away,Arsenal,Crystal Palace,2,1,W,2,0,0,0,1.0,2.0,71.0,,1.0,,,25.0,76.0,5.0,5.0,2.0,,167.0,,3.0,18.0,2.0,4.0,7.0,4.0,81.0,149.0,87.0,12.0,3.0,28.0,2.0,1.0,1.0,1.0,10.0,14.0,,76.0,1.0,27.0,33.0,152.0,,0.0,122.0,14.0,1.0,1.0,1.0,3.0,47.0,51.0,4.0,42.0,3.0,3.0,9.0,24.0,1.0,2.0,149.0,2.0,,16.0,75.0,655.0,6.0,22.0,24.0,241.0,37.0,,9.0,38.0,,1.0,3.0,9.0,3.0,26.0,326.0,62.0,,98745,4.0,115.0,2.0,5.0,3.0,139.0,9.0,1.0,24.0,12.0,71.0,3.0,,,9.0,6.0,7.0,53.0,264.0,14.0,11.0,1.0,17.0,79.0,,0.0,2.0,10.0,2.0,1.0,12.0,0.0,2.0,,1.0,3.0,47.1,20.0,1.0,4.0,1.0,,3.0,43.0,1.0,365.0,24.0,18.0,18.0,5.0,12.0,1.0,2.0,236.0,4.0,23.0,35.0,80.0,19.0,8.0,38.0,21.0,,1.0,7.0,3.0,21.0,8.0,11.0,1.0,,,1.0,,4.0,1.0,1.0,1.0,,,4.0,1.0,,,,,,1.0,1.0,3.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,,,,2.0,,,,,,,,,2.0,,,,1.0,,,1.0,,1.0,1.0,,,,
