gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,savedObox,saves,attFreekickTotal,attOboxBlocked,attIboxTarget,attMissHighRight,divingSave,freekickCross,goodHighClaim,freekickTotal,bigChanceCreated,errorLeadToShot,bigChanceMissed,sixYardBlock,attSetpiece,attCmissHigh,attCmissHighLeft,attMissHigh,attSvLowRight,punches,savedIbox,foulThrowIn,clearanceOffLine,totalHighClaim,errorLeadToGoal,attBxRight,postScoringAtt,attSvLowCentre,cleanSheet,attFreekickPost,hitWoodwork,accurateFreekickCross,attOboxPost,attPostHigh,attBxLeft,attSvHighCentre,attFreekickMiss,accurateCornersIntobox,attRfTarget,attCmissRight,attPenTarget,penaltyWon,attSvLowLeft,shieldBallOop,contentiousDecision,accurateKeeperSweeper,attHdTarget,totalKeeperSweeper,bigChanceScored,attLfGoal,attGoalLowCentre,attGoalHighRight,attOboxGoal,totalPullBack,attFreekickGoal,attIboxPost,attSvHighRight,totalThroughBall,attAssistSetplay,goalsConcededObox,attOneOnOne,accurateThroughBall,forwardGoals,attGoalHighCentre,attLgCentre,attHdGoal,totalFastbreak,attPenGoal,attPostRight,penaltySave,shotFastbreak,penaltyConceded,attFastbreak,penaltyFaced,attFreekickTarget,attemptsIbox,attemptsObox,attPostLeft,touchesInOppBox,attCorner,attGoalLowRight,attHdPost,goalAssistSetplay,goalAssistDeadball,penGoalsConceded,defenderGoals,ptsDroppedWinningPos,accuratePullBack,attGoalLowLeft,attCmissHighRight,ownGoals,attIboxOwnGoal,secondYellow,attPenPost
27,755564,2015-02-28 15:00:00,"Turf Moor, Burnley",17388,Home,Burnley,Swansea City,0,1,L,0,0,0,0,2.0,78.0,1.0,39.0,30.0,3.0,3.0,159.0,7.0,5.0,,3.0,11.0,6.0,86.0,184.0,60.0,13.0,18.0,,3.0,25.0,12.0,1.0,30.0,6.0,2.0,29.0,125.0,0.0,122.0,14.0,,,43.0,57.0,6.0,43.0,,2.0,19.0,20.0,8.0,1.0,184.0,8.0,68.0,567.0,8.0,22.0,6.0,229.0,22.0,,20.0,24.0,,0.0,,5.0,32.0,339.0,68.0,84939,6.0,121.0,9.0,139.0,6.0,,20.0,7.0,55.0,2.0,3.0,,16.0,2.0,3.0,86.0,239.0,8.0,6.0,53.0,86.0,,,0.0,3.0,4.0,,1.0,4.0,0.0,5.0,,1.0,46.5,24.0,1.0,6.0,3.0,2.0,41.0,6.0,356.0,6.0,11.0,14.0,5.0,30.0,4.0,242.0,8.0,2.0,29.0,56.0,43.0,3.0,24.0,18.0,1.0,10.0,2.0,14.0,3.0,15.0,6.0,1.0,1.0,3.0,,1.0,5.0,,3.0,2.0,,,,1.0,,1.0,1.0,,,,3.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,2.0,4.0,1.0,,,2.0,,1.0,1.0,,1.0,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
28,755575,2015-03-04 20:00:00,"Anfield, Liverpool",44717,Away,Burnley,Liverpool,0,2,L,0,1,0,0,,62.0,1.0,25.0,31.0,5.0,6.0,162.0,1.0,7.0,,3.0,5.0,1.0,86.0,152.0,59.0,9.0,17.0,,2.0,17.0,15.0,,31.0,5.0,7.0,36.0,130.0,0.0,107.0,14.0,1.0,,51.0,69.0,3.0,60.0,3.0,,12.0,12.0,3.0,2.0,152.0,8.0,79.0,580.0,2.0,14.0,16.0,264.0,24.0,1.0,5.0,15.0,,1.0,3.0,2.0,27.0,365.0,71.0,84939,2.0,151.0,8.0,167.0,9.0,,12.0,10.0,56.0,1.0,4.0,,10.0,12.0,8.0,64.0,280.0,8.0,16.0,28.0,84.0,,1.0,0.0,3.0,6.0,,2.0,4.0,0.0,,,2.0,36.9,21.0,1.0,2.0,4.0,4.0,38.0,5.0,387.0,16.0,3.0,22.0,4.0,15.0,2.0,237.0,1.0,5.0,17.0,46.0,24.0,2.0,15.0,27.0,1.0,4.0,3.0,13.0,2.0,6.0,5.0,,3.0,6.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,,,,,1.0,,,,,1.0,3.0,,,2.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
29,755584,2015-03-14 17:30:00,"Turf Moor, Burnley",21216,Home,Burnley,Manchester City,1,0,W,0,0,0,0,1.0,66.0,,27.0,58.0,7.0,3.0,142.0,2.0,7.0,1.0,1.0,7.0,4.0,64.0,156.0,59.0,10.0,31.0,,1.0,12.0,7.0,3.0,58.0,2.0,3.0,42.0,117.0,0.0,91.0,6.0,,1.0,28.0,60.0,4.0,42.0,1.0,2.0,10.0,24.0,2.0,3.0,156.0,11.0,42.0,516.0,7.0,21.0,10.0,180.0,22.0,1.0,8.0,43.0,,2.0,8.0,3.0,22.0,268.0,60.0,84939,2.0,75.0,7.0,89.0,3.0,,24.0,10.0,77.0,2.0,1.0,,11.0,11.0,3.0,65.0,190.0,8.0,19.0,28.0,79.0,,1.0,0.0,3.0,6.0,,,6.0,0.0,1.0,,2.0,29.8,15.0,2.0,4.0,1.0,1.0,37.0,2.0,290.0,10.0,11.0,23.0,5.0,17.0,2.0,213.0,5.0,3.0,33.0,42.0,32.0,9.0,43.0,13.0,,8.0,2.0,19.0,9.0,13.0,2.0,1.0,1.0,5.0,,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,2.0,,4.0,,,,,,,1.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
30,755599,2015-03-21 15:00:00,"St. Mary's Stadium, Southampton",30864,Away,Burnley,Southampton,0,2,L,0,1,0,0,,59.0,2.0,45.0,33.0,6.0,8.0,163.0,6.0,3.0,,4.0,12.0,3.0,80.0,131.0,42.0,15.0,17.0,,2.0,22.0,9.0,,33.0,4.0,11.0,32.0,171.0,0.0,128.0,8.0,1.0,,51.0,59.0,6.0,55.0,,2.0,18.0,17.0,7.0,4.0,131.0,14.0,62.0,541.0,11.0,18.0,14.0,254.0,28.0,1.0,16.0,14.0,,0.0,7.0,6.0,14.0,334.0,67.0,84939,7.0,104.0,9.0,115.0,1.0,,17.0,9.0,45.0,,4.0,,11.0,7.0,5.0,80.0,269.0,10.0,11.0,34.0,86.0,,,0.0,1.0,10.0,,2.0,5.0,0.0,6.0,,2.0,39.8,12.0,1.0,1.0,4.0,4.0,52.0,5.0,360.0,14.0,4.0,18.0,8.0,27.0,4.0,267.0,5.0,10.0,17.0,72.0,18.0,1.0,14.0,12.0,2.0,11.0,3.0,9.0,1.0,11.0,5.0,1.0,,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,2.0,2.0,,,4.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,2.0,1.0,,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
31,755604,2015-04-05 13:30:00,"Turf Moor, Burnley",18829,Home,Burnley,Tottenham Hotspur,0,0,D,0,0,0,0,,63.0,5.0,43.0,31.0,5.0,3.0,157.0,8.0,5.0,,2.0,11.0,4.0,70.0,177.0,62.0,15.0,26.0,,3.0,31.0,16.0,2.0,31.0,5.0,9.0,55.0,133.0,0.0,127.0,9.0,,,48.0,61.0,7.0,48.0,,,26.0,18.0,12.0,3.0,177.0,2.0,55.0,541.0,10.0,23.0,9.0,206.0,18.0,1.0,12.0,24.0,,2.0,2.0,4.0,36.0,316.0,84.0,95508,5.0,89.0,12.0,105.0,7.0,,18.0,7.0,63.0,4.0,5.0,,8.0,10.0,3.0,84.0,214.0,5.0,10.0,34.0,73.0,,2.0,0.0,2.0,3.0,,,7.0,0.0,8.0,,4.0,40.0,30.0,3.0,4.0,5.0,5.0,36.0,5.0,330.0,9.0,8.0,26.0,6.0,21.0,3.0,256.0,7.0,7.0,33.0,62.0,32.0,3.0,24.0,20.0,,11.0,1.0,15.0,3.0,8.0,5.0,,2.0,2.0,,,2.0,,2.0,2.0,,,2.0,,2.0,1.0,2.0,,,2.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,2.0,,,1.0,,,,3.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,755613,2015-04-11 17:30:00,"Turf Moor, Burnley",20615,Home,Burnley,Arsenal,0,1,L,0,1,0,0,,71.0,,29.0,46.0,5.0,1.0,136.0,3.0,9.0,,2.0,6.0,4.0,69.0,159.0,57.0,8.0,32.0,,,19.0,12.0,1.0,46.0,1.0,9.0,39.0,133.0,0.0,124.0,15.0,,,42.0,57.0,5.0,43.0,4.0,,18.0,17.0,7.0,1.0,159.0,7.0,59.0,529.0,6.0,25.0,19.0,187.0,25.0,,7.0,33.0,,2.0,6.0,1.0,25.0,284.0,62.0,95508,2.0,71.0,11.0,87.0,6.0,,17.0,10.0,75.0,3.0,3.0,,10.0,10.0,7.0,75.0,201.0,6.0,16.0,37.0,77.0,,,0.0,1.0,6.0,,1.0,7.0,0.0,2.0,,,31.8,18.0,,4.0,4.0,3.0,33.0,1.0,307.0,19.0,7.0,23.0,1.0,18.0,,239.0,7.0,7.0,31.0,73.0,30.0,5.0,33.0,15.0,1.0,5.0,1.0,17.0,5.0,12.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,,2.0,,1.0,2.0,,,,,,,,1.0,2.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,1.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,755627,2015-04-18 15:00:00,"Goodison Park, Liverpool",39496,Away,Burnley,Everton,0,1,L,0,1,1,0,,55.0,,25.0,36.0,6.0,2.0,134.0,3.0,7.0,,,8.0,1.0,54.0,143.0,53.0,10.0,20.0,,,21.0,5.0,1.0,36.0,5.0,4.0,20.0,88.0,0.0,115.0,15.0,,,30.0,26.0,3.0,38.0,1.0,,16.0,12.0,8.0,1.0,143.0,10.0,37.0,447.0,7.0,22.0,11.0,149.0,28.0,,14.0,29.0,,2.0,4.0,5.0,21.0,233.0,71.0,84939,4.0,79.0,8.0,95.0,10.0,,12.0,10.0,57.0,,1.0,,7.0,11.0,6.0,75.0,164.0,12.0,9.0,47.0,80.0,,,0.0,1.0,5.0,,1.0,7.0,1.0,2.0,,3.0,34.4,17.0,3.0,2.0,1.0,4.0,32.0,6.0,263.0,11.0,9.0,7.0,5.0,32.0,4.0,189.0,5.0,4.0,29.0,49.0,14.0,8.0,29.0,8.0,1.0,9.0,3.0,12.0,8.0,8.0,6.0,,2.0,7.0,,4.0,,,5.0,,3.0,,2.0,,2.0,,,1.0,,5.0,,1.0,5.0,,,3.0,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,
34,755634,2015-04-25 15:00:00,"Turf Moor, Burnley",19582,Home,Burnley,Leicester City,0,1,L,0,0,0,0,3.0,62.0,5.0,46.0,64.0,1.0,7.0,162.0,9.0,7.0,,4.0,10.0,4.0,103.0,180.0,82.0,12.0,37.0,,,26.0,6.0,,64.0,6.0,9.0,36.0,195.0,0.0,165.0,16.0,,,53.0,88.0,9.0,45.0,2.0,1.0,20.0,11.0,8.0,,180.0,5.0,96.0,656.0,9.0,15.0,14.0,274.0,30.0,,18.0,51.0,,3.0,,1.0,38.0,381.0,95.0,95508,9.0,104.0,11.0,119.0,8.0,,11.0,6.0,76.0,1.0,7.0,,17.0,3.0,3.0,99.0,290.0,14.0,4.0,56.0,79.0,,,0.0,2.0,4.0,,1.0,5.0,0.0,7.0,,1.0,59.9,30.0,,,7.0,6.0,38.0,6.0,406.0,14.0,7.0,20.0,2.0,31.0,1.0,313.0,1.0,8.0,54.0,89.0,22.0,2.0,51.0,9.0,1.0,8.0,3.0,19.0,2.0,6.0,6.0,,1.0,3.0,1.0,1.0,4.0,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,3.0,1.0,2.0,,,2.0,,,1.0,1.0,,,1.0,,,,1.0,,,2.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
35,755652,2015-05-02 15:00:00,"Boleyn Ground, London",34946,Away,Burnley,West Ham United,0,1,L,0,1,1,0,1.0,44.0,,32.0,43.0,3.0,2.0,139.0,6.0,7.0,,2.0,8.0,2.0,62.0,130.0,43.0,9.0,18.0,,2.0,21.0,7.0,,43.0,3.0,5.0,27.0,111.0,0.0,92.0,7.0,,,29.0,61.0,4.0,45.0,2.0,1.0,18.0,21.0,6.0,1.0,130.0,17.0,61.0,524.0,6.0,15.0,19.0,202.0,16.0,,10.0,36.0,,2.0,15.0,4.0,22.0,279.0,58.0,84939,3.0,111.0,12.0,128.0,4.0,,21.0,11.0,32.0,2.0,5.0,,14.0,12.0,3.0,84.0,216.0,9.0,5.0,44.0,82.0,,1.0,0.0,,13.0,,1.0,5.0,1.0,4.0,,3.0,39.8,19.0,2.0,3.0,5.0,2.0,34.0,3.0,307.0,19.0,1.0,15.0,5.0,19.0,4.0,200.0,4.0,3.0,19.0,51.0,15.0,7.0,36.0,10.0,1.0,6.0,3.0,11.0,7.0,13.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,,2.0,,4.0,1.0,1.0,,1.0,,1.0,2.0,,2.0,,1.0,4.0,,1.0,4.0,,,,2.0,,,,,,,1.0,,1.0,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,
36,755658,2015-05-09 15:00:00,"The MKM Stadium, Hull",24877,Away,Burnley,Hull City,1,0,W,0,0,0,0,,64.0,1.0,29.0,52.0,1.0,2.0,163.0,3.0,9.0,1.0,3.0,6.0,2.0,79.0,155.0,67.0,8.0,25.0,,1.0,15.0,11.0,,52.0,3.0,16.0,35.0,130.0,0.0,120.0,12.0,,,52.0,55.0,2.0,55.0,3.0,1.0,12.0,11.0,5.0,1.0,155.0,9.0,82.0,589.0,5.0,23.0,15.0,254.0,24.0,1.0,6.0,37.0,,1.0,10.0,4.0,20.0,351.0,67.0,95508,6.0,143.0,6.0,163.0,7.0,,11.0,11.0,57.0,,3.0,1.0,13.0,12.0,7.0,90.0,270.0,16.0,6.0,51.0,94.0,,1.0,0.0,2.0,9.0,1.0,,12.0,0.0,2.0,,3.0,45.5,18.0,2.0,2.0,4.0,1.0,36.0,3.0,379.0,15.0,10.0,15.0,5.0,18.0,4.0,231.0,3.0,13.0,33.0,61.0,28.0,3.0,37.0,13.0,,6.0,2.0,15.0,3.0,7.0,3.0,,2.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,755663,2015-05-16 15:00:00,"Turf Moor, Burnley",18636,Home,Burnley,Stoke City,0,0,D,0,0,0,0,1.0,65.0,4.0,29.0,28.0,3.0,3.0,161.0,5.0,13.0,,2.0,7.0,4.0,79.0,198.0,48.0,11.0,28.0,,,29.0,7.0,1.0,28.0,6.0,8.0,33.0,136.0,0.0,126.0,14.0,,,51.0,53.0,7.0,52.0,1.0,1.0,23.0,18.0,10.0,,198.0,5.0,76.0,591.0,7.0,10.0,11.0,235.0,28.0,,9.0,21.0,,1.0,3.0,,30.0,343.0,56.0,95508,5.0,119.0,13.0,146.0,5.0,,18.0,10.0,68.0,1.0,2.0,,22.0,6.0,6.0,86.0,250.0,9.0,8.0,48.0,84.0,,,0.0,2.0,6.0,,,2.0,0.0,5.0,,,45.7,23.0,,1.0,2.0,6.0,35.0,7.0,368.0,11.0,9.0,15.0,1.0,29.0,1.0,251.0,7.0,8.0,16.0,71.0,28.0,3.0,21.0,11.0,,9.0,3.0,28.0,3.0,11.0,7.0,1.0,1.0,3.0,,2.0,3.0,,2.0,,,,,1.0,,1.0,,,,,,,2.0,,,,,1.0,,3.0,1.0,,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
38,755674,2015-05-24 15:00:00,"Villa Park, Birmingham",40792,Away,Burnley,Aston Villa,1,0,W,1,0,0,0,,64.0,1.0,39.0,32.0,2.0,2.0,141.0,2.0,3.0,1.0,1.0,5.0,3.0,67.0,135.0,51.0,6.0,22.0,1.0,,9.0,10.0,1.0,32.0,2.0,12.0,20.0,81.0,0.0,94.0,6.0,,,40.0,44.0,4.0,48.0,5.0,,7.0,13.0,3.0,,135.0,11.0,63.0,486.0,4.0,11.0,11.0,197.0,26.0,,11.0,22.0,1.0,2.0,2.0,1.0,25.0,287.0,70.0,95508,3.0,134.0,4.0,156.0,3.0,,13.0,14.0,51.0,1.0,3.0,1.0,8.0,6.0,8.0,98.0,213.0,10.0,14.0,50.0,82.0,,,0.0,1.0,7.0,1.0,,3.0,0.0,2.0,1.0,1.0,36.7,22.0,,1.0,3.0,2.0,29.0,2.0,319.0,11.0,7.0,12.0,1.0,21.0,1.0,172.0,3.0,11.0,24.0,38.0,25.0,3.0,22.0,16.0,,5.0,3.0,5.0,3.0,6.0,2.0,,2.0,5.0,1.0,1.0,1.0,,5.0,,6.0,1.0,1.0,,1.0,,,,,1.0,,,3.0,,,6.0,,,,1.0,1.0,,,,,,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,3.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
