gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attRfTarget,ontargetScoringAtt,attIboxTarget,attBxRight,attOboxTarget,attMissHighRight,attSvHighRight,cleanSheet,interceptionsInBox,secondYellow,attHdTarget,accurateThroughBall,attCmissHighLeft,attSvLowRight,punches,attFreekickMiss,bigChanceScored,attGoalLowRight,attLfGoal,attGoalLowCentre,goals,attCmissRight,shotFastbreak,postScoringAtt,goalAssistOpenplay,attIboxPost,totalFastbreak,midfielderGoals,hitWoodwork,goalAssist,defenderGoals,goalsOpenplay,attFastbreak,attIboxGoal,shieldBallOop,attPostRight,attHdGoal,attSvLowCentre,attSvHighCentre,errorLeadToGoal,goalsConcededObox,goalAssistSetplay,attSvHighLeft,attRfGoal,totalOffside,goalAssistIntentional,forwardGoals,attSvLowLeft,attPostHigh,attCmissHighRight,attGoalLowLeft,goalFastbreak,attOboxGoal,contentiousDecision,attObxdRight,attFreekickTarget,attLgCentre,attOboxPost,attOneOnOne,foulThrowIn,goalAssistDeadball,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighRight,penaltyWon,attPenGoal,attPostLeft,attCmissHigh,ownGoals,attIboxOwnGoal,clearanceOffLine,attGoalHighLeft,attHdPost,attObxRight
12,755421,2014-11-22 15:00:00,"St. James' Park, Newcastle",51915,Home,Newcastle United,Queens Park Rangers,1,0,W,0,0,0,0,1.0,56.0,1.0,3.0,21.0,27.0,5.0,5.0,4.0,148.0,4.0,13.0,2.0,10.0,,72.0,159.0,60.0,1.0,14.0,1.0,26.0,1.0,2.0,39.0,10.0,27.0,9.0,7.0,26.0,146.0,0.0,128.0,12.0,,3.0,3.0,69.0,57.0,8.0,56.0,1.0,31.0,11.0,1.0,5.0,2.0,159.0,2.0,7.0,78.0,600.0,8.0,9.0,21.0,255.0,19.0,,6.0,14.0,1.0,2.0,5.0,2.0,21.0,325.0,53.0,,1.0,97612,5.0,128.0,2.0,23.0,,,144.0,9.0,,11.0,5.0,65.0,3.0,8.0,9.0,6.0,1.0,1.0,63.0,270.0,15.0,4.0,1.0,33.0,69.0,1.0,0.0,2.0,7.0,3.0,,2.0,0.0,2.0,1.0,54.0,20.0,1.0,1.0,3.0,8.0,4.0,28.0,16.0,3.0,354.0,21.0,12.0,14.0,4.0,25.0,3.0,2.0,249.0,8.0,6.0,20.0,87.0,24.0,1.0,14.0,13.0,,9.0,3.0,26.0,1.0,7.0,16.0,,5.0,6.0,3.0,1.0,2.0,,,1.0,1.0,,,2.0,,2.0,,,,1.0,,,1.0,,2.0,,1.0,,2.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,,2.0,1.0,,,,,1.0,3.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
13,755432,2014-11-29 15:00:00,"Boleyn Ground, London",34977,Away,Newcastle United,West Ham United,0,1,L,0,0,1,0,,61.0,2.0,,23.0,28.0,4.0,4.0,2.0,180.0,3.0,5.0,3.0,5.0,,82.0,159.0,47.0,,7.0,,29.0,,4.0,16.0,17.0,28.0,2.0,11.0,31.0,143.0,0.0,114.0,16.0,2.0,1.0,2.0,50.0,67.0,1.0,64.0,,14.0,12.0,,4.0,4.0,159.0,,5.0,88.0,615.0,4.0,11.0,16.0,297.0,29.0,2.0,3.0,18.0,,2.0,2.0,4.0,24.0,389.0,57.0,,,97612,,171.0,,9.0,,1.0,193.0,9.0,3.0,12.0,7.0,65.0,1.0,9.0,15.0,7.0,2.0,,74.0,311.0,8.0,1.0,1.0,31.0,87.0,2.0,0.0,4.0,6.0,,1.0,3.0,1.0,2.0,,52.5,22.0,,3.0,,9.0,,44.0,2.0,2.0,414.0,16.0,10.0,13.0,6.0,14.0,1.0,2.0,237.0,3.0,10.0,14.0,68.0,16.0,6.0,18.0,21.0,1.0,6.0,3.0,14.0,6.0,7.0,2.0,,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
14,755434,2014-12-02 19:45:00,"Turf Moor, Burnley",18791,Away,Newcastle United,Burnley,1,1,D,0,1,0,0,1.0,45.0,,1.0,46.0,33.0,4.0,3.0,1.0,180.0,5.0,9.0,4.0,9.0,,79.0,174.0,64.0,,11.0,1.0,29.0,2.0,2.0,24.0,14.0,33.0,4.0,17.0,30.0,164.0,0.0,109.0,12.0,1.0,2.0,,85.0,53.0,5.0,71.0,,20.0,22.0,,8.0,2.0,174.0,1.0,9.0,114.0,658.0,7.0,16.0,15.0,317.0,21.0,,18.0,26.0,2.0,2.0,3.0,4.0,28.0,415.0,60.0,,,98746,4.0,173.0,,10.0,,1.0,209.0,2.0,,22.0,11.0,57.0,,,17.0,3.0,4.0,1.0,101.0,332.0,10.0,2.0,1.0,54.0,89.0,,0.0,4.0,2.0,1.0,1.0,7.0,0.0,4.0,1.0,57.8,27.0,1.0,1.0,2.0,1.0,2.0,46.0,5.0,,444.0,15.0,9.0,15.0,5.0,15.0,1.0,3.0,259.0,7.0,15.0,27.0,70.0,18.0,3.0,26.0,18.0,,9.0,3.0,18.0,3.0,10.0,5.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,,,2.0,,,,,2.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,755447,2014-12-06 12:45:00,"St. James' Park, Newcastle",52019,Home,Newcastle United,Chelsea,2,1,W,0,0,1,0,,54.0,2.0,1.0,22.0,51.0,5.0,4.0,7.0,148.0,2.0,11.0,,7.0,,66.0,142.0,59.0,,10.0,2.0,36.0,,1.0,14.0,17.0,51.0,1.0,17.0,16.0,123.0,0.0,87.0,8.0,3.0,1.0,2.0,44.0,43.0,5.0,48.0,3.0,13.0,14.0,,3.0,3.0,142.0,1.0,17.0,52.0,542.0,5.0,6.0,21.0,212.0,16.0,,3.0,28.0,,2.0,5.0,2.0,19.0,280.0,34.0,,,97612,3.0,101.0,,9.0,,,115.0,6.0,,14.0,17.0,79.0,1.0,4.0,10.0,9.0,4.0,,63.0,222.0,5.0,10.0,1.0,21.0,77.0,,0.0,1.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,33.5,18.0,1.0,3.0,,4.0,3.0,28.0,1.0,2.0,314.0,21.0,16.0,7.0,4.0,13.0,1.0,1.0,213.0,4.0,15.0,20.0,58.0,24.0,5.0,28.0,23.0,1.0,8.0,3.0,20.0,5.0,8.0,1.0,1.0,,3.0,1.0,,,,,,3.0,1.0,,1.0,,,3.0,,2.0,1.0,1.0,1.0,2.0,,1.0,,1.0,,2.0,,,1.0,,2.0,1.0,2.0,2.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,755453,2014-12-13 17:30:00,"Emirates Stadium, London",59949,Away,Newcastle United,Arsenal,1,4,L,0,1,0,0,,62.0,,1.0,23.0,24.0,6.0,3.0,,156.0,5.0,7.0,4.0,5.0,,102.0,155.0,59.0,,10.0,3.0,24.0,2.0,1.0,27.0,17.0,24.0,5.0,20.0,27.0,183.0,0.0,106.0,15.0,,4.0,1.0,77.0,49.0,5.0,70.0,,23.0,24.0,,6.0,2.0,155.0,,11.0,109.0,646.0,3.0,9.0,10.0,326.0,23.0,,6.0,10.0,2.0,2.0,5.0,,20.0,403.0,52.0,2.0,1.0,97612,3.0,167.0,1.0,13.0,1.0,4.0,190.0,10.0,,24.0,11.0,79.0,,2.0,10.0,6.0,5.0,,57.0,345.0,13.0,15.0,1.0,26.0,80.0,,0.0,1.0,9.0,,4.0,2.0,0.0,5.0,2.0,48.7,17.0,,2.0,,2.0,4.0,44.0,6.0,2.0,437.0,10.0,10.0,14.0,2.0,17.0,1.0,,274.0,5.0,18.0,17.0,70.0,30.0,2.0,10.0,23.0,4.0,4.0,3.0,23.0,2.0,15.0,6.0,,2.0,4.0,2.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,2.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
17,755467,2014-12-21 13:30:00,"St. James' Park, Newcastle",52315,Home,Newcastle United,Sunderland,0,1,L,0,0,0,0,,64.0,1.0,,19.0,16.0,7.0,5.0,2.0,172.0,6.0,14.0,3.0,13.0,1.0,100.0,158.0,60.0,1.0,15.0,1.0,15.0,3.0,1.0,27.0,9.0,16.0,5.0,14.0,22.0,179.0,0.0,138.0,15.0,2.0,1.0,2.0,54.0,48.0,8.0,47.0,2.0,22.0,20.0,1.0,8.0,5.0,158.0,,9.0,81.0,606.0,12.0,9.0,6.0,283.0,28.0,2.0,5.0,6.0,4.0,4.0,2.0,5.0,24.0,364.0,62.0,,,97612,5.0,136.0,,13.0,,2.0,153.0,13.0,2.0,20.0,13.0,66.0,2.0,3.0,11.0,7.0,8.0,2.0,52.0,309.0,15.0,8.0,1.0,20.0,69.0,,0.0,4.0,1.0,1.0,1.0,1.0,0.0,6.0,3.0,51.8,23.0,2.0,6.0,1.0,3.0,1.0,35.0,7.0,2.0,400.0,6.0,8.0,10.0,7.0,24.0,,2.0,274.0,7.0,13.0,18.0,92.0,25.0,1.0,6.0,15.0,1.0,12.0,3.0,35.0,1.0,11.0,7.0,2.0,4.0,7.0,6.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,755479,2014-12-26 15:00:00,"Old Trafford, Manchester",75318,Away,Newcastle United,Manchester United,1,3,L,0,2,0,0,,53.0,,1.0,24.0,23.0,3.0,3.0,1.0,117.0,4.0,14.0,5.0,4.0,,84.0,115.0,57.0,,8.0,1.0,13.0,,,16.0,11.0,23.0,4.0,13.0,38.0,123.0,0.0,74.0,9.0,1.0,4.0,,50.0,41.0,2.0,64.0,1.0,12.0,13.0,,1.0,,115.0,1.0,8.0,81.0,524.0,2.0,3.0,22.0,257.0,25.0,,6.0,12.0,1.0,2.0,1.0,1.0,16.0,318.0,35.0,1.0,,7933,2.0,157.0,1.0,7.0,,3.0,180.0,6.0,,13.0,5.0,54.0,,2.0,11.0,1.0,1.0,1.0,55.0,276.0,16.0,14.0,1.0,20.0,55.0,,0.0,3.0,4.0,1.0,3.0,2.0,0.0,4.0,1.0,38.1,16.0,1.0,1.0,1.0,2.0,2.0,30.0,5.0,,346.0,22.0,3.0,17.0,2.0,8.0,,2.0,182.0,4.0,12.0,14.0,50.0,20.0,1.0,12.0,13.0,3.0,4.0,3.0,29.0,1.0,8.0,5.0,2.0,1.0,4.0,1.0,1.0,2.0,,,,4.0,,,,,2.0,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
19,755487,2014-12-28 16:15:00,"St. James' Park, Newcastle",52313,Home,Newcastle United,Everton,3,2,W,1,1,0,0,,50.0,,2.0,31.0,16.0,3.0,3.0,,173.0,6.0,10.0,3.0,13.0,1.0,105.0,136.0,51.0,,13.0,1.0,15.0,,1.0,28.0,16.0,16.0,6.0,12.0,36.0,199.0,0.0,128.0,13.0,,1.0,3.0,61.0,81.0,8.0,79.0,2.0,22.0,8.0,,8.0,2.0,136.0,2.0,7.0,99.0,636.0,10.0,8.0,12.0,359.0,14.0,,6.0,7.0,,2.0,1.0,4.0,22.0,431.0,63.0,,,7933,7.0,179.0,1.0,13.0,,,186.0,8.0,1.0,8.0,10.0,48.0,,5.0,11.0,2.0,6.0,,69.0,372.0,8.0,8.0,,21.0,95.0,,0.0,4.0,3.0,,2.0,7.0,0.0,5.0,,53.0,22.0,,4.0,1.0,5.0,3.0,50.0,8.0,3.0,456.0,12.0,6.0,16.0,4.0,20.0,1.0,1.0,298.0,10.0,10.0,15.0,87.0,24.0,2.0,7.0,20.0,2.0,10.0,2.0,17.0,2.0,1.0,8.0,2.0,1.0,6.0,3.0,2.0,,,,,1.0,,,,,1.0,,,2.0,,1.0,,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,,3.0,,,,,1.0,,,1.0,,2.0,2.0,1.0,1.0,1.0,,,3.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
20,755497,2015-01-01 15:00:00,"St. James' Park, Newcastle",51761,Home,Newcastle United,Burnley,3,3,D,2,1,0,0,,57.0,1.0,2.0,29.0,47.0,3.0,2.0,2.0,165.0,2.0,9.0,2.0,6.0,1.0,93.0,169.0,65.0,,10.0,1.0,32.0,2.0,,24.0,13.0,47.0,5.0,14.0,36.0,142.0,0.0,118.0,12.0,1.0,1.0,3.0,60.0,84.0,4.0,68.0,1.0,19.0,20.0,,3.0,,169.0,3.0,9.0,82.0,640.0,3.0,6.0,11.0,294.0,27.0,,9.0,31.0,2.0,2.0,3.0,2.0,30.0,381.0,64.0,,,92170,2.0,165.0,2.0,15.0,,,183.0,3.0,2.0,20.0,7.0,70.0,1.0,4.0,12.0,7.0,,2.0,83.0,305.0,12.0,3.0,,42.0,83.0,,0.0,1.0,5.0,1.0,3.0,3.0,0.0,1.0,2.0,51.5,24.0,1.0,1.0,2.0,4.0,3.0,29.0,5.0,3.0,408.0,11.0,11.0,18.0,3.0,11.0,1.0,3.0,249.0,6.0,11.0,26.0,72.0,18.0,,31.0,18.0,3.0,7.0,3.0,23.0,,12.0,5.0,,1.0,4.0,,,1.0,,,,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,3.0,,,,2.0,,,2.0,,3.0,1.0,2.0,,2.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,
21,755505,2015-01-10 15:00:00,"Stamford Bridge, London",41612,Away,Newcastle United,Chelsea,0,2,L,0,1,0,0,,71.0,1.0,1.0,23.0,20.0,5.0,2.0,2.0,165.0,1.0,19.0,2.0,7.0,,65.0,152.0,64.0,1.0,11.0,3.0,20.0,,,16.0,22.0,20.0,4.0,4.0,26.0,86.0,0.0,87.0,13.0,1.0,1.0,1.0,40.0,41.0,5.0,53.0,,12.0,18.0,1.0,1.0,,152.0,,7.0,60.0,547.0,7.0,4.0,16.0,231.0,32.0,,5.0,11.0,,3.0,2.0,2.0,19.0,310.0,50.0,,1.0,97612,1.0,163.0,,10.0,,2.0,189.0,7.0,,18.0,9.0,72.0,,6.0,11.0,2.0,4.0,,71.0,248.0,12.0,16.0,,34.0,65.0,,0.0,1.0,7.0,2.0,2.0,1.0,0.0,1.0,1.0,37.0,13.0,,5.0,3.0,6.0,4.0,21.0,4.0,1.0,343.0,16.0,14.0,8.0,2.0,12.0,,1.0,170.0,8.0,4.0,8.0,48.0,25.0,1.0,11.0,26.0,2.0,8.0,2.0,29.0,1.0,10.0,4.0,1.0,3.0,5.0,3.0,2.0,2.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
22,755518,2015-01-17 17:30:00,"St. James' Park, Newcastle",49307,Home,Newcastle United,Southampton,1,2,L,1,1,0,0,,64.0,,1.0,25.0,17.0,7.0,3.0,1.0,204.0,6.0,10.0,2.0,13.0,,130.0,167.0,59.0,,16.0,3.0,30.0,1.0,4.0,31.0,21.0,17.0,5.0,22.0,29.0,255.0,0.0,168.0,9.0,,1.0,1.0,104.0,80.0,4.0,93.0,3.0,26.0,25.0,,7.0,3.0,167.0,1.0,5.0,116.0,786.0,11.0,15.0,16.0,436.0,24.0,,9.0,7.0,1.0,0.0,1.0,9.0,33.0,520.0,65.0,,,98746,6.0,203.0,1.0,18.0,,,220.0,5.0,,25.0,5.0,78.0,2.0,6.0,10.0,,3.0,,46.0,452.0,8.0,3.0,2.0,20.0,80.0,1.0,0.0,1.0,,1.0,2.0,4.0,0.0,5.0,3.0,58.0,31.0,3.0,5.0,2.0,6.0,4.0,54.0,9.0,1.0,543.0,16.0,21.0,15.0,9.0,19.0,1.0,6.0,354.0,10.0,20.0,18.0,116.0,28.0,1.0,7.0,24.0,2.0,12.0,3.0,26.0,1.0,16.0,9.0,,2.0,3.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
23,755526,2015-01-31 12:45:00,"The MKM Stadium, Hull",23925,Away,Newcastle United,Hull City,3,0,W,1,0,0,0,2.0,70.0,5.0,,21.0,39.0,9.0,8.0,7.0,173.0,3.0,23.0,2.0,10.0,,102.0,149.0,80.0,,12.0,2.0,21.0,,2.0,8.0,16.0,39.0,2.0,10.0,36.0,168.0,0.0,127.0,13.0,3.0,1.0,,56.0,59.0,6.0,69.0,2.0,7.0,20.0,,2.0,4.0,149.0,,7.0,105.0,689.0,8.0,15.0,23.0,326.0,32.0,,6.0,23.0,,1.0,3.0,4.0,23.0,419.0,57.0,,1.0,98746,1.0,178.0,,4.0,,1.0,200.0,4.0,,20.0,6.0,67.0,,5.0,8.0,6.0,5.0,1.0,60.0,343.0,14.0,10.0,,29.0,81.0,,0.0,1.0,3.0,3.0,,6.0,0.0,2.0,1.0,47.3,20.0,,4.0,1.0,5.0,2.0,38.0,3.0,,449.0,23.0,13.0,18.0,5.0,12.0,2.0,1.0,257.0,3.0,6.0,24.0,77.0,24.0,4.0,23.0,19.0,,10.0,3.0,36.0,4.0,10.0,3.0,1.0,,5.0,2.0,,,,,1.0,1.0,,1.0,,,1.0,,,,2.0,3.0,,3.0,,,,2.0,,,2.0,,2.0,,3.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,
24,755538,2015-02-08 14:05:00,"St. James' Park, Newcastle",47763,Home,Newcastle United,Stoke City,1,1,D,0,0,0,0,,51.0,1.0,1.0,19.0,43.0,2.0,2.0,2.0,154.0,4.0,16.0,2.0,9.0,,64.0,144.0,69.0,,9.0,1.0,35.0,,2.0,21.0,8.0,43.0,2.0,14.0,28.0,143.0,0.0,119.0,14.0,1.0,2.0,,53.0,65.0,5.0,46.0,1.0,19.0,15.0,,4.0,,144.0,1.0,3.0,54.0,539.0,8.0,15.0,18.0,219.0,31.0,,7.0,22.0,,2.0,2.0,4.0,24.0,288.0,51.0,,,98746,4.0,95.0,2.0,13.0,,,113.0,8.0,,15.0,9.0,76.0,2.0,2.0,15.0,4.0,2.0,,54.0,234.0,16.0,9.0,,23.0,66.0,1.0,0.0,,8.0,1.0,1.0,7.0,0.0,4.0,3.0,41.9,19.0,2.0,2.0,3.0,2.0,2.0,33.0,5.0,,318.0,18.0,5.0,16.0,4.0,16.0,,4.0,226.0,4.0,14.0,26.0,80.0,13.0,7.0,22.0,12.0,1.0,9.0,3.0,31.0,7.0,6.0,5.0,,1.0,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,2.0,,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,2.0,1.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
25,755544,2015-02-11 20:00:00,"Selhurst Park, London",25118,Away,Newcastle United,Crystal Palace,1,1,D,1,0,0,0,,61.0,,,29.0,38.0,4.0,1.0,2.0,162.0,2.0,8.0,3.0,3.0,1.0,85.0,173.0,59.0,,5.0,1.0,27.0,,2.0,13.0,13.0,38.0,1.0,11.0,24.0,119.0,0.0,102.0,11.0,1.0,1.0,3.0,38.0,70.0,2.0,58.0,1.0,12.0,19.0,,4.0,3.0,173.0,1.0,7.0,64.0,586.0,2.0,9.0,16.0,248.0,22.0,,9.0,27.0,,2.0,1.0,1.0,24.0,339.0,71.0,1.0,,98746,1.0,140.0,,7.0,,1.0,162.0,8.0,1.0,19.0,9.0,72.0,,,17.0,,2.0,,86.0,257.0,10.0,7.0,,42.0,90.0,,0.0,3.0,5.0,2.0,1.0,2.0,0.0,2.0,1.0,46.5,21.0,,3.0,,,1.0,32.0,2.0,3.0,369.0,16.0,26.0,9.0,3.0,9.0,,,220.0,3.0,11.0,23.0,52.0,27.0,3.0,27.0,18.0,1.0,4.0,3.0,9.0,3.0,16.0,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
26,755558,2015-02-21 17:30:00,"Etihad Stadium, Manchester",45602,Away,Newcastle United,Manchester City,0,5,L,0,3,0,0,,54.0,3.0,1.0,23.0,17.0,5.0,3.0,4.0,140.0,1.0,12.0,4.0,6.0,,124.0,116.0,42.0,,8.0,1.0,13.0,1.0,1.0,18.0,15.0,17.0,3.0,13.0,33.0,163.0,0.0,75.0,8.0,3.0,2.0,,35.0,81.0,2.0,79.0,1.0,15.0,13.0,,6.0,4.0,116.0,,9.0,105.0,640.0,4.0,3.0,18.0,376.0,27.0,,2.0,4.0,1.0,2.0,1.0,4.0,20.0,427.0,36.0,,2.0,98746,,229.0,,7.0,,3.0,243.0,7.0,,13.0,7.0,56.0,1.0,5.0,9.0,7.0,4.0,1.0,49.0,391.0,8.0,7.0,2.0,18.0,72.0,1.0,0.0,1.0,7.0,1.0,5.0,1.0,0.0,1.0,,43.1,18.0,,1.0,1.0,5.0,2.0,45.0,3.0,,448.0,18.0,17.0,23.0,5.0,9.0,,1.0,223.0,5.0,13.0,1.0,58.0,20.0,2.0,4.0,21.0,4.0,5.0,3.0,23.0,2.0,8.0,3.0,1.0,,1.0,1.0,2.0,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
27,755568,2015-02-28 15:00:00,"St. James' Park, Newcastle",51573,Home,Newcastle United,Aston Villa,1,0,W,1,0,0,0,,67.0,,4.0,29.0,43.0,5.0,3.0,3.0,149.0,6.0,9.0,6.0,8.0,,66.0,157.0,64.0,2.0,14.0,2.0,39.0,2.0,2.0,24.0,14.0,43.0,7.0,8.0,34.0,164.0,0.0,133.0,6.0,3.0,3.0,2.0,38.0,88.0,6.0,56.0,,17.0,21.0,2.0,4.0,,157.0,1.0,8.0,83.0,595.0,5.0,13.0,18.0,239.0,23.0,,11.0,23.0,2.0,1.0,4.0,2.0,24.0,321.0,66.0,1.0,1.0,98746,5.0,98.0,,10.0,,2.0,111.0,3.0,,21.0,12.0,65.0,6.0,5.0,19.0,6.0,3.0,,70.0,256.0,16.0,3.0,2.0,31.0,74.0,1.0,0.0,,5.0,3.0,,5.0,0.0,5.0,4.0,49.5,19.0,2.0,2.0,2.0,5.0,6.0,35.0,9.0,2.0,354.0,18.0,9.0,15.0,3.0,19.0,1.0,2.0,267.0,7.0,6.0,23.0,82.0,31.0,3.0,23.0,16.0,,5.0,3.0,17.0,3.0,10.0,9.0,,3.0,5.0,1.0,1.0,3.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,1.0,,,,1.0,,2.0,1.0,1.0,1.0,3.0,,1.0,1.0,,1.0,2.0,1.0,2.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,1.0,
28,755580,2015-03-04 19:45:00,"St. James' Park, Newcastle",49801,Home,Newcastle United,Manchester United,0,1,L,0,0,0,0,,60.0,,2.0,24.0,24.0,4.0,2.0,4.0,137.0,2.0,10.0,2.0,8.0,,46.0,150.0,76.0,,9.0,,20.0,3.0,3.0,17.0,24.0,24.0,4.0,13.0,27.0,100.0,0.0,95.0,6.0,4.0,2.0,,17.0,71.0,4.0,38.0,2.0,13.0,17.0,,1.0,4.0,150.0,3.0,7.0,36.0,467.0,6.0,14.0,20.0,144.0,27.0,,11.0,12.0,3.0,1.0,1.0,3.0,21.0,222.0,55.0,1.0,,98746,2.0,64.0,3.0,10.0,1.0,2.0,84.0,2.0,,17.0,10.0,59.0,1.0,3.0,19.0,4.0,3.0,,62.0,162.0,14.0,19.0,1.0,28.0,69.0,1.0,0.0,2.0,1.0,4.0,1.0,5.0,0.0,2.0,1.0,32.4,18.0,,2.0,,3.0,2.0,28.0,4.0,,257.0,20.0,8.0,8.0,5.0,15.0,,1.0,190.0,5.0,13.0,25.0,51.0,22.0,2.0,12.0,30.0,1.0,6.0,3.0,17.0,2.0,7.0,4.0,,1.0,2.0,2.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,,1.0,,,,3.0,,,,,,1.0,,2.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
