gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attMissLeft,attOboxTarget,totalFastbreak,attOboxMiss,attMissHighLeft,totalKeeperSweeper,outfielderBlock,errorLeadToShot,attFastbreak,attSvLowRight,attCmissLeft,savedIbox,possWonAtt3rd,attBxLeft,attFreekickMiss,attHdGoal,attRfTarget,attSvLowCentre,attSvHighRight,attSvHighLeft,attHdTarget,accurateThroughBall,totalPullBack,attMissHigh,clearanceOffLine,accuratePullBack,attMissHighRight,errorLeadToGoal,cleanSheet,hitWoodwork,attSvLowLeft,attObxdRight,handBall,attGoalLowLeft,attLfGoal,goalFastbreak,forwardGoals,goalsConcededObox,attOneOnOne,ownGoals,attFreekickTarget,attIboxOwnGoal,attObxLeft,sixYardBlock,attSvHighCentre,attCmissHigh,attFreekickGoal,postScoringAtt,attIboxPost,attPostHigh,penaltyWon,attPenGoal,attOboxPost,attPostRight,attemptsIbox,attemptsObox,secondYellow,touchesInOppBox,attGoalHighLeft,attObxdLeft,attObxRight,attCmissHighLeft
11,755408,2014-11-09 13:30:00,"Stadium of Light, Sunderland",43476,Home,Sunderland,Everton,1,1,D,0,0,0,0,,64.0,2.0,,26.0,13.0,6.0,,6.0,161.0,,4.0,8.0,1.0,3.0,6.0,,3.0,72.0,144.0,54.0,1.0,10.0,3.0,28.0,,,26.0,8.0,,13.0,5.0,10.0,36.0,153.0,1.0,0.0,91.0,12.0,1.0,1.0,2.0,1.0,89.0,25.0,4.0,55.0,3.0,3.0,21.0,15.0,1.0,5.0,144.0,,,7.0,85.0,551.0,4.0,12.0,15.0,270.0,32.0,14.0,6.0,,1.0,2.0,18.0,348.0,48.0,,88601,4.0,131.0,,14.0,,1.0,154.0,8.0,1.0,15.0,9.0,66.0,,2.0,1.0,,10.0,9.0,5.0,67.0,280.0,11.0,17.0,2.0,37.0,78.0,,0.0,2.0,4.0,,1.0,6.0,0.0,1.0,,,3.0,,41.8,15.0,2.0,3.0,3.0,47.0,5.0,1.0,1.0,373.0,1.0,15.0,4.0,19.0,4.0,21.0,3.0,2.0,245.0,7.0,8.0,17.0,53.0,20.0,5.0,6.0,18.0,1.0,5.0,2.0,14.0,5.0,5.0,5.0,,,,,2.0,,1.0,,,1.0,2.0,,1.0,3.0,,,1.0,,4.0,2.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
12,755419,2014-11-22 15:00:00,"King Power Stadium, Leicester",31825,Away,Sunderland,Leicester City,0,0,D,0,0,0,0,,54.0,1.0,2.0,38.0,20.0,5.0,9.0,4.0,167.0,,4.0,7.0,,3.0,9.0,,5.0,90.0,153.0,61.0,1.0,11.0,1.0,24.0,,,25.0,11.0,,20.0,7.0,11.0,41.0,180.0,,0.0,117.0,11.0,3.0,,4.0,2.0,92.0,44.0,6.0,67.0,1.0,1.0,19.0,9.0,1.0,4.0,153.0,1.0,,7.0,72.0,591.0,5.0,20.0,8.0,281.0,23.0,11.0,11.0,,3.0,3.0,24.0,361.0,60.0,1.0,88372,5.0,129.0,1.0,11.0,1.0,,155.0,5.0,,9.0,15.0,58.0,1.0,5.0,2.0,,15.0,6.0,6.0,77.0,305.0,18.0,8.0,4.0,29.0,91.0,,0.0,1.0,6.0,,,10.0,0.0,1.0,,,1.0,,60.1,22.0,1.0,2.0,3.0,57.0,9.0,,2.0,396.0,,8.0,12.0,26.0,3.0,24.0,4.0,2.0,266.0,1.0,9.0,21.0,79.0,19.0,4.0,11.0,17.0,,6.0,2.0,13.0,4.0,7.0,9.0,4.0,,,,2.0,1.0,,,3.0,2.0,1.0,1.0,,2.0,,1.0,2.0,,3.0,3.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,1.0,,2.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
13,755428,2014-11-29 17:30:00,"Stadium of Light, Sunderland",45232,Home,Sunderland,Chelsea,0,0,D,0,0,0,0,,64.0,4.0,1.0,23.0,21.0,8.0,3.0,6.0,128.0,,1.0,15.0,,4.0,7.0,1.0,3.0,76.0,123.0,52.0,1.0,12.0,3.0,18.0,1.0,,15.0,15.0,,21.0,2.0,18.0,31.0,121.0,,0.0,73.0,13.0,3.0,,2.0,2.0,72.0,27.0,4.0,40.0,6.0,1.0,13.0,5.0,1.0,4.0,123.0,,1.0,6.0,63.0,518.0,7.0,9.0,21.0,224.0,35.0,3.0,10.0,,3.0,3.0,23.0,284.0,35.0,,88372,3.0,119.0,2.0,7.0,,,140.0,6.0,,5.0,8.0,65.0,1.0,,6.0,,11.0,18.0,5.0,50.0,239.0,10.0,10.0,,17.0,57.0,,0.0,3.0,8.0,,,5.0,0.0,1.0,,,,,34.0,21.0,,6.0,4.0,34.0,2.0,,2.0,307.0,,21.0,13.0,18.0,5.0,12.0,,1.0,182.0,9.0,13.0,6.0,51.0,16.0,4.0,10.0,22.0,,11.0,2.0,27.0,4.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,2.0,,3.0,,1.0,9.0,,,,,2.0,1.0,,,,2.0,2.0,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
14,755442,2014-12-03 19:45:00,"Stadium of Light, Sunderland",41152,Home,Sunderland,Manchester City,1,4,L,1,2,0,0,,59.0,,4.0,24.0,10.0,3.0,2.0,,154.0,,2.0,12.0,1.0,2.0,4.0,,2.0,99.0,142.0,50.0,1.0,8.0,1.0,9.0,,,10.0,12.0,,10.0,2.0,15.0,38.0,156.0,,0.0,94.0,9.0,,1.0,1.0,,61.0,59.0,3.0,69.0,3.0,1.0,8.0,16.0,1.0,5.0,142.0,,1.0,9.0,95.0,572.0,2.0,13.0,17.0,303.0,29.0,1.0,5.0,,1.0,1.0,28.0,393.0,44.0,,88372,4.0,168.0,,2.0,,,190.0,6.0,1.0,16.0,12.0,52.0,4.0,1.0,,1.0,10.0,6.0,9.0,50.0,322.0,8.0,13.0,2.0,16.0,63.0,,0.0,3.0,,1.0,4.0,3.0,0.0,,,,,,35.5,24.0,,,5.0,29.0,2.0,,,417.0,,17.0,8.0,19.0,1.0,14.0,2.0,,237.0,4.0,15.0,13.0,62.0,27.0,2.0,5.0,17.0,4.0,5.0,2.0,25.0,2.0,4.0,2.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,3.0,1.0,,,1.0,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
15,755445,2014-12-06 15:00:00,"Anfield, Liverpool",44716,Away,Sunderland,Liverpool,0,0,D,0,0,0,0,,67.0,1.0,1.0,34.0,38.0,4.0,3.0,2.0,169.0,,1.0,6.0,,1.0,4.0,,1.0,83.0,158.0,58.0,,7.0,1.0,16.0,,,15.0,12.0,,38.0,4.0,9.0,50.0,177.0,,0.0,120.0,15.0,3.0,,1.0,5.0,71.0,59.0,2.0,79.0,6.0,2.0,11.0,9.0,,2.0,158.0,,,6.0,81.0,636.0,3.0,14.0,22.0,302.0,34.0,9.0,22.0,,3.0,2.0,26.0,379.0,62.0,,88372,1.0,143.0,,8.0,,,164.0,6.0,,9.0,10.0,70.0,,2.0,2.0,,17.0,9.0,4.0,68.0,319.0,11.0,17.0,1.0,19.0,80.0,,0.0,5.0,5.0,,,7.0,0.0,,,,1.0,,46.8,23.0,1.0,2.0,2.0,45.0,7.0,,5.0,412.0,,22.0,20.0,32.0,4.0,13.0,1.0,2.0,263.0,3.0,7.0,23.0,83.0,19.0,3.0,22.0,18.0,,3.0,3.0,10.0,3.0,3.0,7.0,1.0,,,,,,,,1.0,,2.0,,,7.0,,,,,1.0,4.0,2.0,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,755460,2014-12-13 15:00:00,"Stadium of Light, Sunderland",41694,Home,Sunderland,West Ham United,1,1,D,1,1,0,0,1.0,60.0,2.0,2.0,38.0,26.0,7.0,6.0,6.0,185.0,,4.0,6.0,1.0,2.0,7.0,,4.0,95.0,144.0,48.0,1.0,13.0,3.0,18.0,1.0,,33.0,11.0,,26.0,5.0,27.0,51.0,190.0,,0.0,122.0,11.0,3.0,1.0,,2.0,72.0,76.0,4.0,77.0,5.0,1.0,28.0,14.0,1.0,11.0,144.0,,1.0,11.0,87.0,640.0,6.0,21.0,11.0,336.0,30.0,11.0,15.0,,2.0,3.0,17.0,414.0,68.0,,88372,4.0,169.0,1.0,17.0,1.0,,190.0,7.0,,14.0,9.0,51.0,2.0,2.0,8.0,,10.0,8.0,5.0,71.0,355.0,17.0,12.0,1.0,29.0,81.0,1.0,0.0,2.0,8.0,1.0,1.0,7.0,0.0,3.0,,1.0,1.0,,56.9,16.0,1.0,8.0,5.0,48.0,6.0,,2.0,444.0,,11.0,6.0,29.0,4.0,21.0,1.0,2.0,287.0,6.0,24.0,12.0,86.0,15.0,3.0,15.0,14.0,,9.0,2.0,11.0,3.0,5.0,6.0,2.0,1.0,,,1.0,,1.0,1.0,2.0,,2.0,1.0,1.0,5.0,1.0,,,,4.0,2.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,
17,755467,2014-12-21 13:30:00,"St. James' Park, Newcastle",52315,Away,Sunderland,Newcastle United,1,0,W,0,0,0,0,1.0,71.0,1.0,,33.0,21.0,7.0,10.0,7.0,157.0,,6.0,8.0,1.0,2.0,15.0,,3.0,88.0,146.0,66.0,,16.0,2.0,18.0,1.0,1.0,15.0,22.0,,21.0,1.0,22.0,30.0,160.0,,0.0,99.0,15.0,3.0,1.0,3.0,4.0,58.0,41.0,5.0,51.0,3.0,1.0,14.0,21.0,,8.0,146.0,3.0,1.0,8.0,85.0,584.0,13.0,15.0,15.0,260.0,28.0,7.0,7.0,1.0,4.0,10.0,20.0,345.0,53.0,1.0,88372,5.0,124.0,2.0,3.0,3.0,,159.0,7.0,,21.0,12.0,60.0,2.0,4.0,4.0,1.0,9.0,7.0,6.0,79.0,278.0,15.0,14.0,1.0,28.0,72.0,2.0,0.0,1.0,7.0,1.0,,3.0,0.0,6.0,1.0,,3.0,,48.2,15.0,2.0,4.0,2.0,34.0,1.0,,5.0,381.0,,15.0,9.0,17.0,11.0,22.0,,6.0,237.0,3.0,21.0,15.0,64.0,27.0,5.0,7.0,29.0,,13.0,3.0,14.0,5.0,9.0,1.0,,1.0,,,1.0,3.0,1.0,5.0,1.0,5.0,4.0,1.0,1.0,,,3.0,,3.0,6.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,3.0,,,,,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
18,755480,2014-12-26 15:00:00,"Stadium of Light, Sunderland",44817,Home,Sunderland,Hull City,1,3,L,1,1,0,0,1.0,62.0,2.0,4.0,29.0,19.0,3.0,2.0,2.0,159.0,1.0,4.0,7.0,1.0,1.0,7.0,1.0,3.0,109.0,139.0,45.0,,12.0,2.0,15.0,2.0,,25.0,15.0,,19.0,8.0,22.0,34.0,186.0,,0.0,109.0,12.0,1.0,1.0,,3.0,73.0,68.0,5.0,81.0,3.0,1.0,17.0,15.0,,7.0,139.0,,2.0,4.0,97.0,622.0,5.0,11.0,13.0,343.0,29.0,4.0,12.0,,4.0,2.0,21.0,423.0,52.0,,88372,5.0,177.0,,10.0,,,197.0,7.0,,15.0,7.0,54.0,,,4.0,1.0,11.0,9.0,3.0,62.0,359.0,6.0,14.0,2.0,19.0,85.0,1.0,0.0,2.0,4.0,1.0,3.0,3.0,0.0,2.0,,,2.0,,47.6,17.0,1.0,4.0,6.0,51.0,10.0,,3.0,446.0,,13.0,5.0,17.0,3.0,14.0,2.0,2.0,274.0,7.0,22.0,15.0,73.0,21.0,2.0,12.0,17.0,2.0,7.0,3.0,16.0,2.0,6.0,10.0,,,,,2.0,,3.0,,,,1.0,,3.0,4.0,,,,,,3.0,,,,1.0,,1.0,,1.0,,,2.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
19,755483,2014-12-28 15:00:00,"Villa Park, Birmingham",35436,Away,Sunderland,Aston Villa,0,0,D,0,0,0,1,,56.0,1.0,4.0,31.0,27.0,7.0,3.0,3.0,161.0,,3.0,7.0,,1.0,12.0,,3.0,147.0,140.0,29.0,,14.0,2.0,8.0,,,26.0,8.0,,27.0,3.0,23.0,39.0,262.0,,0.0,169.0,11.0,2.0,,1.0,5.0,96.0,46.0,7.0,72.0,,1.0,23.0,15.0,,8.0,140.0,,,9.0,130.0,714.0,12.0,8.0,12.0,422.0,26.0,5.0,11.0,,4.0,5.0,26.0,493.0,55.0,,88372,4.0,175.0,,14.0,,,191.0,3.0,,15.0,8.0,45.0,1.0,4.0,4.0,,11.0,5.0,6.0,53.0,434.0,4.0,6.0,,15.0,60.0,1.0,0.0,2.0,4.0,,,3.0,0.0,3.0,,,1.0,,51.9,25.0,1.0,4.0,6.0,41.0,4.0,,5.0,510.0,,12.0,15.0,21.0,5.0,23.0,,2.0,345.0,10.0,23.0,8.0,131.0,17.0,3.0,11.0,11.0,,13.0,3.0,15.0,3.0,8.0,4.0,,,,,1.0,,,3.0,2.0,1.0,2.0,,,3.0,1.0,,,1.0,1.0,4.0,2.0,,,3.0,3.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,
20,755496,2015-01-01 15:00:00,"Etihad Stadium, Manchester",45367,Away,Sunderland,Manchester City,2,3,L,0,0,0,0,1.0,44.0,2.0,,19.0,16.0,1.0,1.0,9.0,152.0,,3.0,7.0,2.0,4.0,2.0,,4.0,83.0,130.0,52.0,1.0,4.0,,14.0,1.0,,9.0,12.0,,16.0,4.0,15.0,23.0,144.0,,0.0,86.0,7.0,5.0,2.0,3.0,2.0,53.0,49.0,2.0,55.0,5.0,,5.0,21.0,1.0,,130.0,,,24.0,83.0,554.0,1.0,13.0,13.0,258.0,21.0,8.0,9.0,1.0,3.0,,14.0,338.0,41.0,1.0,88372,2.0,139.0,,2.0,,,168.0,1.0,,21.0,18.0,43.0,,3.0,5.0,,12.0,8.0,11.0,53.0,280.0,12.0,8.0,,23.0,65.0,,0.0,1.0,10.0,2.0,3.0,7.0,0.0,1.0,1.0,,1.0,,36.2,14.0,,5.0,,31.0,4.0,,2.0,373.0,,13.0,7.0,10.0,,7.0,2.0,,214.0,2.0,13.0,13.0,59.0,9.0,4.0,9.0,20.0,2.0,1.0,3.0,15.0,4.0,13.0,4.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,8.0,,,,,7.0,2.0,,,1.0,2.0,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,
21,755510,2015-01-10 12:45:00,"Stadium of Light, Sunderland",45369,Home,Sunderland,Liverpool,0,1,L,0,1,1,0,,56.0,1.0,,20.0,14.0,4.0,1.0,3.0,144.0,,5.0,7.0,,3.0,3.0,,1.0,117.0,143.0,35.0,1.0,5.0,2.0,2.0,,,20.0,10.0,,14.0,6.0,13.0,25.0,141.0,,0.0,93.0,12.0,3.0,,3.0,,83.0,58.0,1.0,80.0,2.0,,14.0,16.0,1.0,5.0,143.0,,,11.0,106.0,631.0,3.0,6.0,15.0,349.0,27.0,2.0,3.0,,1.0,2.0,27.0,428.0,47.0,,88372,1.0,227.0,,6.0,,,246.0,4.0,,16.0,10.0,55.0,,2.0,5.0,,12.0,10.0,6.0,48.0,363.0,10.0,17.0,,17.0,65.0,,0.0,2.0,6.0,,1.0,2.0,1.0,4.0,,1.0,1.0,,47.4,25.0,1.0,5.0,2.0,35.0,6.0,,,447.0,,15.0,13.0,10.0,2.0,18.0,1.0,1.0,221.0,3.0,12.0,5.0,59.0,23.0,1.0,3.0,13.0,1.0,3.0,3.0,20.0,1.0,5.0,6.0,,,,,,,,,1.0,1.0,,,,7.0,1.0,,,,2.0,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,1.0,4.0,1.0,10.0,,,,
22,755521,2015-01-17 15:00:00,"White Hart Lane, London",35973,Away,Sunderland,Tottenham Hotspur,1,2,L,1,1,0,0,,62.0,4.0,2.0,34.0,42.0,3.0,3.0,6.0,126.0,,4.0,6.0,1.0,1.0,5.0,1.0,4.0,60.0,131.0,48.0,1.0,8.0,,16.0,1.0,,14.0,7.0,,42.0,6.0,7.0,34.0,97.0,1.0,0.0,71.0,8.0,4.0,1.0,1.0,1.0,42.0,43.0,4.0,65.0,5.0,1.0,8.0,14.0,1.0,3.0,131.0,1.0,1.0,10.0,60.0,515.0,4.0,10.0,12.0,210.0,33.0,8.0,19.0,,2.0,1.0,18.0,274.0,41.0,,88372,3.0,136.0,2.0,4.0,1.0,,150.0,5.0,1.0,14.0,11.0,56.0,,4.0,3.0,,11.0,17.0,4.0,79.0,229.0,14.0,11.0,1.0,33.0,78.0,1.0,0.0,,6.0,,2.0,1.0,0.0,1.0,,,,,35.2,15.0,,3.0,2.0,34.0,6.0,,1.0,311.0,,12.0,13.0,17.0,2.0,11.0,3.0,1.0,175.0,4.0,7.0,15.0,41.0,15.0,2.0,19.0,13.0,1.0,5.0,3.0,14.0,2.0,8.0,6.0,2.0,,,,2.0,,1.0,1.0,1.0,2.0,1.0,,1.0,11.0,,,,,2.0,2.0,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,
23,755531,2015-01-31 15:00:00,"Stadium of Light, Sunderland",44022,Home,Sunderland,Burnley,2,0,W,2,0,0,0,2.0,68.0,,,25.0,34.0,3.0,1.0,4.0,206.0,,4.0,13.0,2.0,3.0,6.0,,3.0,73.0,177.0,63.0,1.0,8.0,3.0,16.0,,2.0,21.0,13.0,1.0,34.0,6.0,5.0,49.0,146.0,,0.0,110.0,12.0,1.0,1.0,1.0,2.0,58.0,61.0,5.0,75.0,2.0,,15.0,18.0,1.0,4.0,177.0,2.0,,9.0,71.0,629.0,4.0,10.0,6.0,290.0,28.0,6.0,25.0,2.0,3.0,1.0,27.0,395.0,60.0,,88372,2.0,163.0,,10.0,,,195.0,6.0,1.0,18.0,14.0,50.0,1.0,3.0,4.0,2.0,11.0,4.0,5.0,89.0,305.0,12.0,3.0,,38.0,102.0,,0.0,,3.0,2.0,,2.0,0.0,3.0,2.0,1.0,1.0,,49.7,22.0,,4.0,3.0,47.0,6.0,,2.0,425.0,,6.0,13.0,22.0,2.0,17.0,1.0,1.0,251.0,6.0,4.0,24.0,66.0,27.0,6.0,25.0,16.0,,6.0,3.0,21.0,6.0,7.0,6.0,1.0,,,,1.0,1.0,,,,2.0,1.0,,,2.0,,1.0,,,4.0,2.0,,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
24,755540,2015-02-07 15:00:00,"Swansea.com Stadium, Swansea",20355,Away,Sunderland,Swansea City,1,1,D,1,0,0,0,,58.0,4.0,,23.0,24.0,4.0,2.0,6.0,168.0,,,8.0,1.0,1.0,4.0,,1.0,64.0,140.0,45.0,,4.0,1.0,15.0,,1.0,6.0,12.0,,24.0,1.0,6.0,45.0,149.0,1.0,0.0,112.0,13.0,2.0,,1.0,3.0,58.0,49.0,2.0,74.0,2.0,1.0,5.0,16.0,,1.0,140.0,,,7.0,63.0,535.0,3.0,10.0,12.0,254.0,25.0,4.0,12.0,1.0,4.0,2.0,19.0,342.0,67.0,,88372,,121.0,,3.0,,,146.0,6.0,1.0,16.0,12.0,49.0,,2.0,6.0,1.0,10.0,9.0,8.0,64.0,270.0,11.0,7.0,,19.0,78.0,1.0,0.0,,7.0,,1.0,3.0,0.0,,,1.0,,,40.4,12.0,,6.0,1.0,42.0,1.0,,3.0,369.0,,12.0,12.0,15.0,2.0,13.0,,,229.0,2.0,5.0,11.0,66.0,20.0,3.0,12.0,15.0,1.0,4.0,2.0,12.0,3.0,9.0,1.0,,,,,,,1.0,1.0,,,2.0,,1.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,755552,2015-02-10 19:45:00,"Stadium of Light, Sunderland",39077,Home,Sunderland,Queens Park Rangers,0,2,L,0,2,0,0,,68.0,2.0,6.0,33.0,11.0,6.0,7.0,2.0,178.0,,15.0,19.0,,1.0,14.0,,6.0,106.0,167.0,59.0,,18.0,2.0,14.0,1.0,,37.0,13.0,,11.0,7.0,11.0,52.0,204.0,,0.0,134.0,8.0,1.0,,1.0,3.0,93.0,55.0,11.0,70.0,1.0,2.0,30.0,13.0,,8.0,167.0,2.0,1.0,11.0,111.0,692.0,12.0,13.0,9.0,344.0,23.0,6.0,5.0,,2.0,3.0,31.0,435.0,63.0,,88372,5.0,173.0,2.0,21.0,,,193.0,7.0,,13.0,10.0,63.0,,2.0,2.0,,9.0,8.0,5.0,68.0,362.0,12.0,14.0,2.0,20.0,82.0,1.0,0.0,1.0,4.0,,2.0,6.0,0.0,11.0,,,2.0,,52.7,29.0,1.0,2.0,8.0,41.0,8.0,,4.0,465.0,,9.0,16.0,26.0,4.0,15.0,4.0,3.0,309.0,7.0,10.0,11.0,89.0,31.0,2.0,5.0,18.0,2.0,13.0,3.0,31.0,2.0,8.0,8.0,3.0,,,,2.0,,1.0,1.0,4.0,,1.0,,1.0,7.0,,,1.0,,,4.0,2.0,,,2.0,3.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,
26,755560,2015-02-21 15:00:00,"Stadium of Light, Sunderland",40943,Home,Sunderland,West Bromwich Albion,0,0,D,0,0,0,0,,61.0,1.0,1.0,42.0,25.0,8.0,6.0,1.0,150.0,,7.0,10.0,,3.0,11.0,1.0,2.0,122.0,176.0,46.0,1.0,13.0,4.0,14.0,,,35.0,8.0,,25.0,10.0,6.0,53.0,213.0,,0.0,152.0,11.0,,,3.0,3.0,69.0,83.0,6.0,62.0,1.0,3.0,25.0,15.0,1.0,8.0,176.0,,2.0,1.0,122.0,662.0,8.0,16.0,14.0,328.0,28.0,6.0,16.0,,1.0,5.0,23.0,433.0,79.0,1.0,88372,3.0,142.0,,14.0,2.0,,170.0,7.0,,15.0,9.0,49.0,2.0,3.0,5.0,,7.0,4.0,7.0,87.0,348.0,12.0,6.0,3.0,31.0,86.0,,0.0,5.0,2.0,,,7.0,0.0,4.0,,,2.0,,61.9,19.0,1.0,5.0,5.0,48.0,11.0,,3.0,456.0,,14.0,10.0,29.0,6.0,28.0,3.0,3.0,321.0,5.0,6.0,9.0,102.0,22.0,5.0,16.0,15.0,,7.0,3.0,21.0,5.0,5.0,11.0,,,,,1.0,,1.0,,1.0,,3.0,2.0,2.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
27,755567,2015-02-28 15:00:00,"Old Trafford, Manchester",75344,Away,Sunderland,Manchester United,0,2,L,0,0,1,0,,43.0,3.0,,18.0,33.0,3.0,,7.0,110.0,,2.0,6.0,,1.0,5.0,,3.0,48.0,116.0,42.0,,5.0,,10.0,,,3.0,19.0,,33.0,1.0,12.0,20.0,62.0,,0.0,47.0,11.0,6.0,,,2.0,40.0,21.0,3.0,30.0,4.0,,2.0,16.0,,,116.0,,1.0,20.0,47.0,416.0,4.0,11.0,16.0,139.0,21.0,3.0,17.0,,1.0,2.0,13.0,208.0,35.0,,88372,2.0,95.0,,2.0,,1.0,117.0,7.0,,16.0,15.0,49.0,2.0,2.0,4.0,,11.0,10.0,8.0,61.0,155.0,6.0,12.0,1.0,29.0,57.0,1.0,0.0,1.0,13.0,,2.0,4.0,1.0,1.0,,,2.0,,26.6,9.0,1.0,5.0,,21.0,1.0,1.0,2.0,235.0,1.0,16.0,10.0,7.0,2.0,9.0,1.0,1.0,121.0,3.0,12.0,8.0,19.0,13.0,6.0,17.0,22.0,2.0,4.0,3.0,12.0,6.0,11.0,1.0,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,,10.0,,1.0,2.0,,5.0,2.0,,,,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
