gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attObxLeft,shotFastbreak,goalAssistOpenplay,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,accurateCross,accuratePullBack,attBxRight,postScoringAtt,accurateKeeperSweeper,attGoalHighRight,midfielderGoals,attFreekickPost,hitWoodwork,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,attSetpiece,attRfGoal,totalOffside,attOboxPost,attPostHigh,accurateCrossNocorner,attHdTotal,attHdMiss,accurateCornersIntobox,attIboxMiss,forwardGoals,attHdGoal,attIboxTarget,attMissLeft,attMissHighRight,freekickCross,accurateFreekickCross,bigChanceMissed,attCmissHigh,attAssistSetplay,goalsConceded,penGoalsConceded,goalsConcededIbox,errorLeadToGoal,attSvLowCentre,attMissRight,attPostLeft,sixYardBlock,ownGoals,attIboxOwnGoal,attSvHighLeft,attHdTarget,attCmissRight,attIboxPost,attOboxGoal,attPostRight,penaltySave,attPenTarget,penaltyWon,attCmissHighLeft,attGoalHighLeft,attCmissLeft,attSvHighCentre,attLgCentre,attGoalHighCentre,attFreekickGoal,goalsConcededObox,attHdPost,attObxdRight,attObxdLeft,attCmissHighRight,foulThrowIn,attPenGoal,attObpGoal,attLgLeft,goalFastbreak,secondYellow,clearanceOffLine
11,755410,2014-11-09 13:30:00,"White Hart Lane, London",35699,Home,Tottenham Hotspur,Stoke City,1,2,L,0,2,1,0,,1.0,,47.0,1.0,,28.0,27.0,8.0,3.0,2.0,,,151.0,,10.0,1.0,6.0,10.0,4.0,116.0,149.0,69.0,3.0,14.0,3.0,24.0,,,1.0,21.0,20.0,1.0,27.0,4.0,11.0,21.0,,192.0,2.0,,0.0,115.0,20.0,1.0,,,,61.0,59.0,5.0,42.0,,17.0,15.0,3.0,5.0,4.0,149.0,1.0,,9.0,120.0,651.0,7.0,13.0,18.0,328.0,18.0,7.0,18.0,1.0,3.0,3.0,5.0,26.0,405.0,59.0,,93264,3.0,159.0,10.0,,175.0,10.0,,15.0,8.0,75.0,,,2.0,1.0,18.0,2.0,6.0,3.0,56.0,346.0,13.0,9.0,22.0,80.0,,,,0.0,1.0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,60.3,23.0,1.0,,2.0,3.0,52.0,5.0,,,429.0,18.0,1.0,20.0,10.0,7.0,17.0,275.0,7.0,10.0,20.0,75.0,22.0,1.0,18.0,27.0,7.0,3.0,15.0,1.0,7.0,5.0,,,,,5.0,,1.0,,,1.0,1.0,,,,,2.0,3.0,1.0,1.0,,,5.0,4.0,2.0,,3.0,,,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,,1.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
12,755418,2014-11-23 16:00:00,"The MKM Stadium, Hull",23561,Away,Tottenham Hotspur,Hull City,2,1,W,0,1,0,1,1.0,1.0,1.0,60.0,,,26.0,14.0,14.0,10.0,1.0,1.0,3.0,170.0,1.0,12.0,2.0,4.0,19.0,6.0,170.0,146.0,52.0,2.0,23.0,9.0,21.0,1.0,,1.0,35.0,13.0,3.0,14.0,5.0,30.0,33.0,,353.0,,,0.0,192.0,9.0,2.0,,2.0,,82.0,87.0,12.0,84.0,1.0,30.0,15.0,2.0,10.0,1.0,146.0,2.0,1.0,9.0,189.0,818.0,17.0,7.0,8.0,506.0,21.0,3.0,10.0,1.0,1.0,2.0,7.0,21.0,583.0,79.0,,93264,3.0,182.0,19.0,,198.0,5.0,,15.0,6.0,53.0,2.0,,3.0,1.0,9.0,1.0,2.0,1.0,49.0,528.0,15.0,5.0,15.0,82.0,,,,0.0,,2.0,3.0,1.0,1.0,2.0,0.0,,,72.7,20.0,3.0,1.0,3.0,9.0,58.0,9.0,,2.0,613.0,8.0,,8.0,19.0,8.0,28.0,450.0,12.0,30.0,12.0,147.0,31.0,3.0,10.0,14.0,15.0,3.0,24.0,3.0,9.0,9.0,1.0,,,,7.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,6.0,1.0,1.0,1.0,6.0,,,1.0,3.0,,1.0,,2.0,,1.0,1.0,,,,1.0,3.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,
13,755430,2014-11-30 16:00:00,"White Hart Lane, London",35901,Home,Tottenham Hotspur,Everton,2,1,W,2,1,0,0,,2.0,2.0,54.0,2.0,,19.0,25.0,10.0,4.0,4.0,1.0,2.0,131.0,,12.0,2.0,2.0,10.0,6.0,116.0,125.0,52.0,1.0,13.0,3.0,10.0,,1.0,1.0,16.0,19.0,4.0,25.0,2.0,16.0,24.0,,167.0,,,0.0,101.0,15.0,2.0,2.0,1.0,1.0,28.0,76.0,7.0,52.0,1.0,14.0,18.0,1.0,7.0,3.0,125.0,2.0,1.0,3.0,85.0,582.0,8.0,3.0,23.0,298.0,17.0,3.0,13.0,1.0,5.0,2.0,2.0,17.0,361.0,42.0,1.0,93264,2.0,149.0,7.0,,165.0,10.0,,18.0,8.0,62.0,1.0,,,2.0,10.0,7.0,5.0,2.0,44.0,314.0,4.0,16.0,15.0,67.0,1.0,,,0.0,,4.0,4.0,2.0,2.0,,0.0,1.0,3.0,38.6,14.0,3.0,,,3.0,36.0,3.0,,1.0,384.0,23.0,,17.0,12.0,4.0,17.0,235.0,8.0,15.0,13.0,72.0,29.0,3.0,13.0,23.0,12.0,3.0,17.0,3.0,10.0,3.0,1.0,1.0,,,2.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,2.0,1.0,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
14,755440,2014-12-03 19:45:00,"Stamford Bridge, London",41518,Away,Tottenham Hotspur,Chelsea,0,3,L,0,2,0,0,,,,74.0,2.0,,21.0,23.0,6.0,4.0,5.0,,2.0,176.0,,12.0,,3.0,9.0,2.0,178.0,139.0,60.0,,10.0,1.0,8.0,,,,21.0,22.0,2.0,23.0,3.0,30.0,26.0,,267.0,,,0.0,117.0,9.0,2.0,,1.0,1.0,80.0,65.0,3.0,82.0,1.0,18.0,20.0,,3.0,3.0,139.0,,,9.0,168.0,811.0,7.0,3.0,15.0,502.0,33.0,2.0,13.0,,1.0,1.0,6.0,18.0,580.0,52.0,,93264,3.0,259.0,14.0,,286.0,4.0,,20.0,3.0,46.0,6.0,,5.0,,14.0,3.0,1.0,2.0,46.0,522.0,8.0,13.0,15.0,80.0,,,1.0,0.0,,3.0,1.0,3.0,,,0.0,,,61.3,15.0,3.0,,6.0,1.0,59.0,6.0,,1.0,604.0,15.0,,13.0,12.0,7.0,11.0,339.0,3.0,30.0,9.0,85.0,29.0,3.0,13.0,31.0,7.0,3.0,16.0,3.0,10.0,6.0,,,,,4.0,,,1.0,,,,,1.0,1.0,,,2.0,,2.0,,1.0,3.0,3.0,2.0,1.0,3.0,,,,,1.0,1.0,1.0,,,2.0,3.0,,3.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
15,755451,2014-12-06 15:00:00,"White Hart Lane, London",35860,Home,Tottenham Hotspur,Crystal Palace,0,0,D,0,0,0,0,,,,60.0,2.0,2.0,27.0,43.0,5.0,2.0,4.0,,3.0,185.0,,6.0,,2.0,13.0,3.0,176.0,155.0,73.0,1.0,14.0,1.0,24.0,,,,13.0,18.0,1.0,43.0,1.0,25.0,32.0,,267.0,,1.0,0.0,164.0,11.0,4.0,1.0,,2.0,83.0,83.0,5.0,68.0,1.0,12.0,24.0,1.0,3.0,3.0,155.0,1.0,,12.0,176.0,839.0,13.0,10.0,17.0,483.0,31.0,6.0,27.0,,1.0,6.0,8.0,24.0,580.0,68.0,1.0,93264,4.0,239.0,9.0,,263.0,8.0,,24.0,8.0,75.0,1.0,,5.0,,4.0,4.0,3.0,3.0,63.0,501.0,10.0,10.0,21.0,86.0,,2.0,3.0,0.0,1.0,5.0,12.0,2.0,,3.0,0.0,,1.0,67.6,22.0,2.0,2.0,5.0,3.0,52.0,2.0,,2.0,605.0,17.0,,19.0,12.0,8.0,19.0,355.0,10.0,25.0,29.0,116.0,19.0,6.0,27.0,29.0,13.0,3.0,18.0,6.0,11.0,2.0,,,,,5.0,,3.0,,,,,,,1.0,,,,,1.0,,,5.0,2.0,2.0,,5.0,,,2.0,2.0,,,,1.0,1.0,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
16,755461,2014-12-14 16:00:00,"Swansea.com Stadium, Swansea",20650,Away,Tottenham Hotspur,Swansea City,2,1,W,1,0,0,0,4.0,,,58.0,1.0,1.0,22.0,33.0,5.0,1.0,2.0,,2.0,155.0,,8.0,2.0,2.0,9.0,4.0,100.0,158.0,62.0,,10.0,2.0,17.0,,,1.0,18.0,20.0,1.0,33.0,8.0,11.0,15.0,1.0,217.0,,,0.0,109.0,17.0,1.0,,,,65.0,74.0,6.0,70.0,3.0,10.0,23.0,,2.0,2.0,158.0,,,11.0,97.0,643.0,5.0,13.0,20.0,312.0,19.0,9.0,21.0,2.0,4.0,6.0,3.0,22.0,398.0,47.0,,80710,4.0,113.0,6.0,,137.0,8.0,,23.0,8.0,67.0,1.0,,1.0,1.0,17.0,4.0,3.0,,50.0,326.0,7.0,11.0,27.0,75.0,,1.0,1.0,0.0,,,7.0,1.0,2.0,3.0,0.0,2.0,2.0,46.5,17.0,5.0,1.0,1.0,3.0,42.0,9.0,,,422.0,20.0,,18.0,3.0,3.0,13.0,303.0,6.0,9.0,21.0,76.0,26.0,4.0,21.0,26.0,7.0,3.0,16.0,4.0,17.0,9.0,2.0,,1.0,1.0,4.0,,,,,,1.0,,,,,,1.0,1.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,,2.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,
17,755471,2014-12-20 15:00:00,"White Hart Lane, London",35681,Home,Tottenham Hotspur,Burnley,2,1,W,2,1,0,0,1.0,2.0,1.0,61.0,1.0,3.0,43.0,25.0,10.0,10.0,4.0,1.0,,231.0,,13.0,2.0,3.0,20.0,6.0,144.0,167.0,70.0,,23.0,3.0,15.0,,1.0,1.0,19.0,17.0,1.0,25.0,7.0,19.0,31.0,,295.0,1.0,,0.0,193.0,9.0,3.0,2.0,3.0,2.0,118.0,101.0,11.0,93.0,2.0,12.0,15.0,,,7.0,167.0,2.0,,5.0,145.0,813.0,14.0,13.0,19.0,475.0,30.0,11.0,19.0,2.0,1.0,,9.0,23.0,585.0,63.0,2.0,80710,2.0,205.0,12.0,,244.0,3.0,,15.0,7.0,41.0,4.0,,3.0,1.0,13.0,4.0,3.0,3.0,83.0,495.0,7.0,7.0,33.0,96.0,1.0,,1.0,0.0,,4.0,6.0,3.0,1.0,3.0,0.0,1.0,2.0,65.2,19.0,3.0,3.0,3.0,6.0,64.0,9.0,,2.0,613.0,19.0,,7.0,17.0,11.0,20.0,388.0,9.0,18.0,29.0,146.0,21.0,2.0,19.0,21.0,16.0,3.0,18.0,2.0,4.0,9.0,1.0,1.0,1.0,,5.0,,2.0,,2.0,,1.0,,,1.0,2.0,,2.0,,2.0,,,1.0,4.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,,,1.0,,4.0,1.0,,,,,2.0,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
18,755478,2014-12-26 15:00:00,"King Power Stadium, Leicester",31870,Away,Tottenham Hotspur,Leicester City,2,1,W,1,0,0,0,1.0,,1.0,67.0,1.0,1.0,22.0,44.0,3.0,2.0,5.0,1.0,1.0,174.0,,6.0,2.0,4.0,6.0,3.0,123.0,171.0,56.0,1.0,8.0,,23.0,1.0,,1.0,9.0,14.0,,44.0,1.0,24.0,24.0,,163.0,,,0.0,114.0,14.0,4.0,,,3.0,68.0,56.0,3.0,56.0,3.0,9.0,25.0,1.0,,3.0,171.0,2.0,1.0,15.0,104.0,681.0,4.0,11.0,18.0,333.0,24.0,5.0,22.0,1.0,2.0,6.0,3.0,33.0,430.0,61.0,,80710,1.0,187.0,7.0,,214.0,8.0,,25.0,10.0,66.0,1.0,,3.0,1.0,18.0,7.0,5.0,,66.0,344.0,10.0,9.0,27.0,95.0,,,2.0,0.0,,1.0,11.0,4.0,1.0,2.0,0.0,1.0,,50.4,21.0,2.0,1.0,3.0,1.0,42.0,1.0,,3.0,457.0,18.0,,15.0,10.0,4.0,9.0,252.0,5.0,24.0,20.0,71.0,28.0,5.0,22.0,20.0,6.0,3.0,12.0,5.0,9.0,1.0,1.0,1.0,,,6.0,,,,,,1.0,,,1.0,,,1.0,1.0,3.0,,,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,
19,755491,2014-12-28 12:00:00,"White Hart Lane, London",35711,Home,Tottenham Hotspur,Manchester United,0,0,D,0,0,0,0,,2.0,,64.0,1.0,,20.0,27.0,6.0,5.0,5.0,,2.0,182.0,,7.0,,5.0,6.0,4.0,76.0,198.0,70.0,1.0,9.0,2.0,19.0,,1.0,,18.0,23.0,3.0,27.0,3.0,15.0,29.0,,159.0,,1.0,0.0,125.0,11.0,3.0,1.0,2.0,2.0,60.0,68.0,3.0,50.0,5.0,15.0,16.0,1.0,6.0,1.0,198.0,1.0,1.0,7.0,66.0,614.0,5.0,14.0,19.0,236.0,26.0,6.0,17.0,,2.0,2.0,3.0,32.0,344.0,64.0,1.0,93264,3.0,97.0,4.0,,128.0,7.0,,16.0,6.0,60.0,3.0,,4.0,,20.0,2.0,2.0,1.0,70.0,249.0,18.0,4.0,38.0,90.0,1.0,1.0,2.0,0.0,1.0,1.0,6.0,4.0,,3.0,0.0,,,48.4,21.0,3.0,,4.0,2.0,34.0,3.0,,2.0,374.0,19.0,,12.0,11.0,3.0,27.0,264.0,3.0,14.0,21.0,74.0,27.0,5.0,17.0,26.0,6.0,2.0,22.0,5.0,7.0,3.0,,,,,7.0,,,,1.0,,,,,1.0,1.0,,2.0,,1.0,,,6.0,1.0,1.0,1.0,2.0,,,1.0,,,5.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
20,755501,2015-01-01 17:30:00,"White Hart Lane, London",35903,Home,Tottenham Hotspur,Chelsea,5,3,W,3,1,0,0,,,2.0,66.0,,1.0,26.0,33.0,3.0,4.0,4.0,2.0,3.0,182.0,,7.0,5.0,1.0,7.0,8.0,94.0,168.0,65.0,,11.0,,16.0,,,3.0,17.0,26.0,1.0,33.0,4.0,8.0,22.0,,178.0,,,0.0,92.0,14.0,1.0,,,,72.0,67.0,6.0,61.0,3.0,13.0,20.0,,1.0,1.0,168.0,1.0,1.0,14.0,88.0,655.0,4.0,11.0,26.0,304.0,24.0,4.0,20.0,3.0,3.0,3.0,1.0,23.0,390.0,55.0,1.0,80710,4.0,151.0,12.0,,180.0,7.0,,20.0,12.0,68.0,2.0,1.0,1.0,4.0,11.0,5.0,7.0,,69.0,325.0,10.0,10.0,31.0,91.0,,,,0.0,,4.0,3.0,4.0,4.0,4.0,0.0,,1.0,46.2,13.0,,2.0,1.0,1.0,46.0,5.0,,,425.0,26.0,,18.0,13.0,2.0,7.0,262.0,7.0,8.0,18.0,64.0,32.0,2.0,20.0,30.0,10.0,3.0,18.0,2.0,10.0,5.0,2.0,3.0,,,4.0,,1.0,1.0,,,2.0,,1.0,,,,,3.0,1.0,,,3.0,,,1.0,,2.0,,2.0,,,,,1.0,,,3.0,,3.0,1.0,3.0,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
21,755506,2015-01-10 17:30:00,"Selhurst Park, London",24193,Away,Tottenham Hotspur,Crystal Palace,1,2,L,0,0,0,0,,1.0,,79.0,,,24.0,31.0,5.0,2.0,5.0,,2.0,210.0,,9.0,1.0,1.0,7.0,5.0,126.0,178.0,55.0,,9.0,1.0,21.0,,,1.0,16.0,12.0,3.0,31.0,6.0,22.0,30.0,,218.0,,,0.0,152.0,14.0,2.0,1.0,,1.0,57.0,65.0,5.0,71.0,1.0,10.0,9.0,,,1.0,178.0,,2.0,15.0,128.0,745.0,6.0,8.0,21.0,411.0,34.0,7.0,20.0,1.0,3.0,6.0,2.0,19.0,510.0,73.0,,80710,3.0,209.0,9.0,1.0,231.0,8.0,,9.0,7.0,72.0,1.0,,4.0,1.0,14.0,6.0,3.0,,71.0,426.0,9.0,9.0,30.0,106.0,,1.0,1.0,0.0,,2.0,4.0,5.0,1.0,3.0,0.0,,,58.4,12.0,6.0,,4.0,1.0,56.0,6.0,1.0,1.0,535.0,21.0,,22.0,12.0,3.0,18.0,320.0,5.0,21.0,19.0,94.0,29.0,5.0,20.0,18.0,7.0,2.0,17.0,5.0,2.0,6.0,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,2.0,1.0,,2.0,1.0,,1.0,2.0,,1.0,,1.0,,,2.0,1.0,2.0,,3.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
22,755521,2015-01-17 15:00:00,"White Hart Lane, London",35973,Home,Tottenham Hotspur,Sunderland,2,1,W,1,1,0,0,,5.0,,66.0,1.0,6.0,43.0,16.0,17.0,10.0,3.0,,1.0,170.0,,11.0,2.0,1.0,17.0,7.0,175.0,143.0,56.0,,26.0,5.0,15.0,,,1.0,37.0,17.0,4.0,16.0,5.0,17.0,35.0,,346.0,,,0.0,241.0,14.0,2.0,1.0,1.0,,87.0,102.0,12.0,71.0,1.0,32.0,13.0,,11.0,6.0,143.0,,1.0,5.0,151.0,764.0,16.0,9.0,11.0,467.0,26.0,7.0,12.0,1.0,1.0,2.0,5.0,20.0,544.0,66.0,,93264,1.0,143.0,21.0,,156.0,7.0,,13.0,7.0,48.0,1.0,,1.0,1.0,7.0,3.0,5.0,,64.0,486.0,8.0,6.0,19.0,71.0,,2.0,,0.0,,1.0,6.0,2.0,1.0,6.0,0.0,1.0,1.0,64.8,17.0,6.0,3.0,1.0,11.0,48.0,6.0,,,567.0,11.0,,9.0,19.0,8.0,34.0,448.0,16.0,13.0,16.0,194.0,32.0,4.0,12.0,21.0,23.0,3.0,16.0,4.0,6.0,6.0,1.0,,,,3.0,,5.0,1.0,,,1.0,,1.0,1.0,,,2.0,1.0,3.0,1.0,,3.0,,,,1.0,,,2.0,3.0,,,,,,,1.0,,,,2.0,3.0,1.0,2.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
23,755532,2015-01-31 15:00:00,"The Hawthorns, West Bromwich",25079,Away,Tottenham Hotspur,West Bromwich Albion,3,0,W,2,0,0,0,1.0,,1.0,60.0,1.0,2.0,24.0,31.0,8.0,4.0,4.0,,1.0,183.0,1.0,16.0,3.0,3.0,8.0,4.0,176.0,143.0,48.0,2.0,14.0,1.0,15.0,,,1.0,8.0,14.0,1.0,31.0,1.0,27.0,26.0,,275.0,,1.0,0.0,119.0,13.0,3.0,,,3.0,75.0,82.0,3.0,78.0,2.0,7.0,16.0,2.0,1.0,5.0,143.0,,,9.0,178.0,815.0,7.0,7.0,17.0,515.0,22.0,2.0,19.0,1.0,1.0,3.0,5.0,18.0,595.0,53.0,,93264,4.0,252.0,6.0,,274.0,5.0,,16.0,6.0,58.0,,,6.0,1.0,9.0,4.0,4.0,,61.0,526.0,7.0,5.0,28.0,82.0,,,,0.0,1.0,5.0,6.0,3.0,2.0,4.0,0.0,,1.0,62.8,13.0,5.0,1.0,6.0,3.0,44.0,3.0,,3.0,615.0,17.0,,17.0,15.0,7.0,12.0,349.0,9.0,27.0,8.0,90.0,23.0,3.0,19.0,16.0,10.0,3.0,26.0,3.0,5.0,3.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,3.0,1.0,,,1.0,1.0,1.0,,2.0,2.0,,,3.0,1.0,,,,,,,,,,,3.0,,,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,
24,755541,2015-02-07 12:45:00,"White Hart Lane, London",35659,Home,Tottenham Hotspur,Arsenal,2,1,W,0,1,0,0,,3.0,1.0,66.0,,2.0,21.0,30.0,15.0,11.0,2.0,,3.0,184.0,,11.0,2.0,4.0,19.0,8.0,118.0,174.0,61.0,1.0,23.0,3.0,29.0,,1.0,1.0,25.0,20.0,5.0,30.0,6.0,12.0,33.0,,239.0,1.0,,0.0,175.0,8.0,2.0,1.0,1.0,,63.0,73.0,11.0,61.0,2.0,19.0,22.0,1.0,4.0,7.0,174.0,,,5.0,119.0,722.0,16.0,5.0,24.0,357.0,18.0,3.0,17.0,1.0,3.0,1.0,8.0,26.0,458.0,87.0,,93264,4.0,140.0,12.0,,163.0,5.0,,22.0,5.0,68.0,,,4.0,1.0,9.0,2.0,5.0,2.0,58.0,377.0,12.0,11.0,26.0,84.0,1.0,4.0,,0.0,,3.0,3.0,2.0,2.0,2.0,0.0,1.0,,56.0,18.0,8.0,2.0,4.0,5.0,43.0,10.0,,,482.0,24.0,1.0,12.0,12.0,10.0,23.0,344.0,10.0,10.0,18.0,116.0,34.0,1.0,17.0,21.0,16.0,3.0,19.0,1.0,10.0,10.0,1.0,,,,2.0,,1.0,,1.0,,,,,2.0,1.0,,1.0,1.0,6.0,,,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,,,,2.0,1.0,,1.0,,,3.0,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
25,755546,2015-02-10 20:00:00,"Anfield, Liverpool",44577,Away,Tottenham Hotspur,Liverpool,2,3,L,1,1,0,0,1.0,2.0,2.0,56.0,1.0,4.0,15.0,22.0,7.0,5.0,4.0,,1.0,160.0,1.0,9.0,2.0,1.0,10.0,5.0,92.0,153.0,60.0,1.0,14.0,2.0,14.0,,,1.0,11.0,20.0,3.0,22.0,5.0,13.0,21.0,,176.0,,,0.0,126.0,17.0,3.0,,1.0,,67.0,50.0,8.0,61.0,3.0,6.0,21.0,1.0,1.0,3.0,153.0,2.0,1.0,9.0,98.0,603.0,8.0,10.0,21.0,288.0,24.0,2.0,12.0,2.0,6.0,4.0,2.0,23.0,383.0,58.0,1.0,93264,2.0,133.0,5.0,1.0,149.0,9.0,,21.0,8.0,59.0,2.0,,4.0,1.0,9.0,7.0,6.0,,49.0,307.0,11.0,13.0,21.0,76.0,,,,0.0,1.0,2.0,5.0,3.0,2.0,2.0,0.0,2.0,1.0,50.6,13.0,2.0,,5.0,6.0,42.0,7.0,1.0,,411.0,21.0,,8.0,10.0,3.0,19.0,273.0,8.0,10.0,18.0,74.0,24.0,3.0,12.0,24.0,10.0,3.0,17.0,3.0,7.0,7.0,,,1.0,,2.0,,2.0,,1.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,3.0,1.0,3.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,
26,755562,2015-02-22 12:00:00,"White Hart Lane, London",35837,Home,Tottenham Hotspur,West Ham United,2,2,D,0,1,0,0,,2.0,1.0,52.0,,3.0,21.0,24.0,15.0,11.0,3.0,1.0,4.0,173.0,1.0,8.0,2.0,7.0,18.0,8.0,151.0,160.0,57.0,2.0,27.0,4.0,25.0,,,,19.0,23.0,4.0,24.0,6.0,22.0,24.0,,242.0,1.0,,0.0,153.0,6.0,2.0,,2.0,3.0,41.0,71.0,8.0,79.0,1.0,13.0,15.0,2.0,4.0,6.0,160.0,1.0,2.0,8.0,116.0,758.0,17.0,8.0,13.0,402.0,21.0,6.0,14.0,,0.0,3.0,10.0,32.0,495.0,71.0,,93264,8.0,182.0,7.0,,208.0,1.0,,15.0,7.0,58.0,1.0,1.0,4.0,,17.0,4.0,7.0,3.0,49.0,421.0,10.0,4.0,26.0,77.0,,2.0,,0.0,1.0,,9.0,3.0,1.0,3.0,0.0,,,64.8,29.0,1.0,2.0,4.0,7.0,46.0,7.0,,3.0,519.0,13.0,,15.0,15.0,12.0,23.0,330.0,14.0,17.0,11.0,111.0,23.0,3.0,14.0,28.0,17.0,3.0,17.0,3.0,6.0,7.0,,1.0,,,3.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,2.0,,,,2.0,2.0,3.0,5.0,1.0,,2.0,6.0,,2.0,,2.0,1.0,1.0,2.0,,2.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,
