gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attFreekickTotal,postScoringAtt,cleanSheet,divingSave,attFreekickPost,freekickTotal,attPostLeft,totalPullBack,attMissHigh,attAssistSetplay,attOboxPost,shieldBallOop,accurateCornersIntobox,goalsConcededObox,handBall,attGoalLowLeft,goalAssistSetplay,attLfGoal,midfielderGoals,attHdTarget,accurateFreekickCross,sixYardBlock,attSetpiece,attGoalHighLeft,attSvLowRight,punches,forwardGoals,attGoalLowRight,attGoalLowCentre,attMissLeft,attOneOnOne,contentiousDecision,attCmissHighRight,attObxRight,attHdGoal,accurateThroughBall,attCmissHigh,attCmissHighLeft,attFreekickTarget,clearanceOffLine,attIboxPost,attSvHighRight,attCmissLeft,attFreekickMiss,accuratePullBack,attObxLeft,attOboxGoal,attGoalHighCentre,attHdPost,attPostHigh,attLgCentre,totalFastbreak,attObxdRight,errorLeadToGoal,shotFastbreak,errorLeadToShot,attFastbreak,attPenTarget,penaltyWon,attObpGoal,goalAssistDeadball,foulThrowIn,secondYellow,attPostRight,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attObxdLeft,attPenGoal,penaltyConceded,penaltyFaced,penGoalsConceded
11,755407,2014-11-08 15:00:00,"St. Mary's Stadium, Southampton",31297,Home,Southampton,Leicester City,2,0,W,0,0,0,0,1.0,1.0,69.0,,5.0,51.0,20.0,6.0,6.0,,3.0,196.0,11.0,9.0,2.0,1.0,12.0,,6.0,141.0,164.0,52.0,18.0,1.0,16.0,1.0,4.0,1.0,2.0,2.0,42.0,14.0,,3.0,20.0,8.0,17.0,43.0,260.0,,0.0,161.0,10.0,1.0,,2.0,96.0,80.0,7.0,97.0,,1.0,34.0,24.0,12.0,2.0,164.0,1.0,3.0,145.0,797.0,10.0,8.0,,10.0,464.0,30.0,,9.0,11.0,2.0,1.0,2.0,1.0,5.0,27.0,553.0,67.0,84395,7.0,236.0,,22.0,258.0,5.0,1.0,24.0,6.0,53.0,2.0,,6.0,4.0,2.0,11.0,2.0,3.0,78.0,485.0,12.0,8.0,19.0,84.0,0.0,1.0,4.0,,2.0,,5.0,0.0,9.0,2.0,,64.4,25.0,,5.0,,,4.0,6.0,61.0,13.0,2.0,579.0,10.0,12.0,29.0,6.0,22.0,4.0,363.0,10.0,13.0,16.0,108.0,29.0,4.0,11.0,16.0,,11.0,3.0,16.0,4.0,9.0,14.0,,,1.0,,,,,,2.0,,,,2.0,,,1.0,,1.0,,,,,,,1.0,,,1.0,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,755414,2014-11-24 20:00:00,"Villa Park, Birmingham",25311,Away,Southampton,Aston Villa,1,1,D,0,1,0,0,1.0,,47.0,,5.0,44.0,19.0,4.0,4.0,,1.0,181.0,9.0,4.0,1.0,6.0,12.0,1.0,4.0,140.0,152.0,51.0,16.0,1.0,18.0,2.0,1.0,,1.0,1.0,44.0,7.0,,1.0,19.0,6.0,12.0,43.0,252.0,,0.0,177.0,17.0,,4.0,2.0,70.0,77.0,8.0,73.0,1.0,3.0,38.0,16.0,12.0,3.0,152.0,,3.0,137.0,742.0,9.0,7.0,,20.0,430.0,23.0,,10.0,9.0,1.0,1.0,2.0,4.0,4.0,31.0,512.0,68.0,84395,10.0,203.0,,22.0,219.0,7.0,1.0,16.0,2.0,45.0,,1.0,2.0,1.0,1.0,14.0,4.0,2.0,65.0,446.0,15.0,1.0,18.0,70.0,0.0,2.0,2.0,,1.0,1.0,4.0,0.0,7.0,1.0,2.0,64.1,30.0,1.0,3.0,,1.0,1.0,6.0,47.0,8.0,2.0,531.0,20.0,7.0,27.0,6.0,33.0,3.0,356.0,9.0,11.0,22.0,128.0,17.0,5.0,9.0,10.0,1.0,9.0,2.0,10.0,5.0,5.0,8.0,1.0,,,,,1.0,,,2.0,2.0,,,2.0,,3.0,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
13,755427,2014-11-30 13:30:00,"St. Mary's Stadium, Southampton",30919,Home,Southampton,Manchester City,0,3,L,0,0,0,1,,,42.0,1.0,1.0,29.0,12.0,9.0,3.0,2.0,4.0,182.0,6.0,8.0,,5.0,9.0,1.0,4.0,110.0,138.0,44.0,13.0,3.0,14.0,2.0,,2.0,,2.0,32.0,10.0,,2.0,12.0,7.0,7.0,26.0,211.0,,0.0,125.0,10.0,1.0,4.0,,65.0,63.0,4.0,64.0,3.0,1.0,25.0,20.0,6.0,4.0,138.0,2.0,7.0,112.0,660.0,7.0,8.0,,22.0,369.0,20.0,,13.0,5.0,,2.0,1.0,2.0,4.0,25.0,444.0,64.0,84395,2.0,184.0,2.0,15.0,198.0,4.0,,20.0,10.0,52.0,,,5.0,2.0,,7.0,8.0,7.0,49.0,389.0,12.0,10.0,26.0,87.0,0.0,1.0,6.0,2.0,,3.0,3.0,0.0,5.0,,1.0,52.1,24.0,1.0,1.0,,1.0,2.0,4.0,62.0,8.0,,468.0,22.0,10.0,12.0,5.0,18.0,1.0,302.0,9.0,6.0,10.0,90.0,17.0,2.0,5.0,15.0,1.0,10.0,3.0,17.0,2.0,9.0,8.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,3.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,755433,2014-12-03 19:45:00,"Emirates Stadium, London",60025,Away,Southampton,Arsenal,0,1,L,0,0,0,0,1.0,,65.0,1.0,1.0,32.0,40.0,3.0,2.0,7.0,,163.0,1.0,1.0,,,6.0,,1.0,83.0,154.0,43.0,6.0,1.0,27.0,,1.0,1.0,,,19.0,20.0,,1.0,40.0,3.0,17.0,41.0,152.0,1.0,0.0,124.0,14.0,,,3.0,36.0,76.0,3.0,55.0,3.0,,16.0,20.0,7.0,1.0,154.0,1.0,14.0,81.0,597.0,6.0,13.0,,17.0,273.0,29.0,1.0,10.0,17.0,,1.0,2.0,4.0,3.0,23.0,356.0,63.0,84395,2.0,138.0,1.0,9.0,157.0,5.0,,20.0,10.0,79.0,,,1.0,6.0,,11.0,5.0,5.0,70.0,289.0,6.0,14.0,29.0,76.0,0.0,3.0,9.0,6.0,,1.0,6.0,0.0,1.0,,,41.4,20.0,,3.0,,,6.0,2.0,41.0,4.0,3.0,382.0,17.0,20.0,20.0,3.0,13.0,2.0,244.0,4.0,15.0,14.0,78.0,22.0,7.0,17.0,22.0,1.0,5.0,3.0,6.0,7.0,10.0,4.0,,,,5.0,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
15,755449,2014-12-08 20:00:00,"St. Mary's Stadium, Southampton",31420,Home,Southampton,Manchester United,1,2,L,1,1,0,0,2.0,1.0,58.0,,2.0,37.0,10.0,3.0,6.0,,,194.0,7.0,5.0,1.0,3.0,12.0,1.0,4.0,111.0,155.0,59.0,15.0,1.0,13.0,3.0,1.0,1.0,,1.0,17.0,21.0,,,10.0,5.0,14.0,39.0,214.0,,0.0,166.0,12.0,1.0,2.0,2.0,64.0,54.0,6.0,72.0,1.0,4.0,12.0,13.0,4.0,2.0,155.0,1.0,2.0,133.0,703.0,11.0,16.0,,18.0,395.0,18.0,1.0,14.0,5.0,,1.0,2.0,,6.0,28.0,495.0,77.0,84395,9.0,200.0,2.0,6.0,221.0,6.0,,13.0,5.0,61.0,,,4.0,4.0,1.0,11.0,1.0,4.0,64.0,407.0,8.0,10.0,31.0,90.0,0.0,,1.0,,1.0,2.0,8.0,0.0,6.0,,4.0,51.9,28.0,3.0,6.0,1.0,,4.0,3.0,65.0,5.0,2.0,510.0,18.0,17.0,22.0,8.0,28.0,6.0,306.0,5.0,7.0,18.0,112.0,29.0,,5.0,28.0,2.0,12.0,2.0,15.0,,10.0,5.0,,,,,,,,1.0,2.0,1.0,,2.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
16,755454,2014-12-13 15:00:00,"Turf Moor, Burnley",17287,Away,Southampton,Burnley,0,1,L,0,0,0,0,3.0,,55.0,1.0,1.0,47.0,16.0,8.0,6.0,2.0,,183.0,5.0,6.0,,4.0,12.0,3.0,4.0,121.0,170.0,55.0,15.0,,23.0,2.0,1.0,,,1.0,33.0,12.0,,2.0,16.0,3.0,13.0,54.0,192.0,1.0,0.0,145.0,11.0,1.0,2.0,,43.0,92.0,3.0,76.0,2.0,6.0,30.0,31.0,9.0,6.0,170.0,1.0,2.0,105.0,685.0,11.0,15.0,,10.0,355.0,27.0,,15.0,5.0,,,3.0,2.0,9.0,33.0,461.0,65.0,84395,5.0,185.0,2.0,19.0,224.0,6.0,,31.0,4.0,55.0,,,2.0,,,12.0,5.0,2.0,97.0,372.0,14.0,10.0,43.0,81.0,0.0,1.0,2.0,,,1.0,6.0,0.0,5.0,,2.0,59.8,31.0,1.0,1.0,1.0,1.0,,1.0,45.0,4.0,,485.0,10.0,11.0,26.0,10.0,22.0,4.0,294.0,7.0,11.0,22.0,102.0,22.0,2.0,5.0,16.0,1.0,9.0,2.0,7.0,2.0,20.0,4.0,1.0,,,2.0,,1.0,,,2.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
17,755469,2014-12-20 15:00:00,"St. Mary's Stadium, Southampton",31475,Home,Southampton,Everton,3,0,W,1,0,0,0,,1.0,50.0,3.0,1.0,35.0,27.0,4.0,4.0,4.0,,133.0,6.0,2.0,3.0,1.0,9.0,,3.0,83.0,125.0,62.0,11.0,1.0,9.0,1.0,,1.0,1.0,1.0,21.0,31.0,,,27.0,4.0,9.0,33.0,156.0,,0.0,118.0,11.0,,2.0,,52.0,53.0,5.0,60.0,4.0,1.0,17.0,15.0,2.0,3.0,125.0,4.0,7.0,97.0,581.0,6.0,14.0,,21.0,279.0,22.0,,10.0,9.0,2.0,1.0,1.0,2.0,4.0,18.0,351.0,62.0,80447,5.0,147.0,3.0,13.0,167.0,5.0,,15.0,9.0,50.0,,1.0,4.0,2.0,1.0,9.0,6.0,6.0,71.0,297.0,10.0,16.0,32.0,78.0,0.0,3.0,6.0,1.0,3.0,,7.0,0.0,5.0,1.0,2.0,43.8,15.0,1.0,2.0,,,2.0,2.0,43.0,4.0,,373.0,21.0,8.0,18.0,6.0,12.0,3.0,227.0,3.0,8.0,13.0,84.0,22.0,4.0,9.0,38.0,,9.0,2.0,9.0,4.0,12.0,4.0,,,1.0,2.0,,,,1.0,2.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
18,755476,2014-12-26 15:00:00,"Selhurst Park, London",24565,Away,Southampton,Crystal Palace,3,1,W,1,0,0,0,,1.0,48.0,3.0,1.0,35.0,47.0,5.0,1.0,3.0,2.0,202.0,4.0,9.0,3.0,3.0,11.0,,6.0,113.0,169.0,66.0,13.0,1.0,22.0,1.0,1.0,,2.0,,16.0,15.0,2.0,2.0,47.0,4.0,9.0,43.0,208.0,1.0,0.0,141.0,10.0,,2.0,4.0,50.0,83.0,7.0,89.0,2.0,,12.0,15.0,1.0,3.0,169.0,1.0,5.0,116.0,738.0,8.0,9.0,1.0,11.0,383.0,21.0,1.0,5.0,17.0,3.0,,0.0,4.0,4.0,20.0,491.0,72.0,84395,5.0,193.0,,9.0,221.0,4.0,2.0,15.0,6.0,48.0,1.0,2.0,2.0,2.0,2.0,14.0,7.0,1.0,81.0,397.0,14.0,4.0,30.0,91.0,0.0,4.0,8.0,,3.0,1.0,1.0,0.0,3.0,3.0,4.0,57.1,20.0,2.0,,1.0,2.0,2.0,2.0,44.0,4.0,4.0,520.0,11.0,9.0,22.0,5.0,13.0,2.0,315.0,8.0,5.0,20.0,95.0,18.0,4.0,17.0,23.0,1.0,9.0,3.0,13.0,4.0,8.0,4.0,,,,3.0,,,,,3.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,4.0,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
19,755489,2014-12-28 14:05:00,"St. Mary's Stadium, Southampton",31641,Home,Southampton,Chelsea,1,1,D,1,1,1,0,,1.0,60.0,,,32.0,41.0,5.0,2.0,,,156.0,4.0,6.0,1.0,4.0,6.0,,1.0,92.0,124.0,53.0,9.0,1.0,17.0,,,,1.0,,14.0,19.0,,,41.0,4.0,7.0,39.0,145.0,1.0,0.0,89.0,23.0,,3.0,1.0,37.0,30.0,2.0,58.0,3.0,1.0,10.0,32.0,2.0,4.0,124.0,1.0,5.0,74.0,581.0,3.0,14.0,,15.0,277.0,27.0,1.0,12.0,21.0,1.0,,2.0,4.0,4.0,13.0,354.0,56.0,84395,4.0,154.0,,5.0,177.0,15.0,1.0,32.0,7.0,74.0,1.0,,1.0,5.0,1.0,10.0,2.0,4.0,57.0,295.0,12.0,21.0,23.0,84.0,0.0,1.0,6.0,,1.0,1.0,6.0,1.0,2.0,1.0,2.0,39.3,11.0,2.0,2.0,,,5.0,1.0,53.0,4.0,1.0,380.0,15.0,9.0,24.0,7.0,12.0,3.0,217.0,5.0,6.0,11.0,52.0,23.0,8.0,21.0,24.0,1.0,5.0,3.0,12.0,8.0,16.0,4.0,,,,,,,,,2.0,2.0,,,2.0,,,1.0,,,,,1.0,,2.0,,,2.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
20,755499,2015-01-01 15:00:00,"St. Mary's Stadium, Southampton",31492,Home,Southampton,Arsenal,2,0,W,1,0,0,0,1.0,1.0,67.0,4.0,1.0,30.0,35.0,2.0,5.0,6.0,2.0,157.0,10.0,3.0,2.0,1.0,10.0,,6.0,89.0,125.0,47.0,13.0,1.0,12.0,4.0,,,1.0,3.0,21.0,17.0,,,35.0,,5.0,31.0,137.0,1.0,0.0,98.0,14.0,,1.0,,58.0,32.0,7.0,62.0,2.0,,21.0,16.0,4.0,1.0,125.0,2.0,5.0,87.0,579.0,9.0,13.0,2.0,15.0,301.0,30.0,1.0,9.0,17.0,1.0,,2.0,1.0,3.0,19.0,374.0,54.0,84395,9.0,187.0,2.0,16.0,210.0,10.0,,16.0,7.0,52.0,,,1.0,3.0,2.0,8.0,6.0,4.0,66.0,314.0,7.0,13.0,30.0,80.0,0.0,2.0,7.0,2.0,1.0,,4.0,0.0,10.0,,2.0,41.5,11.0,,3.0,,,3.0,2.0,43.0,2.0,,395.0,15.0,10.0,17.0,5.0,11.0,2.0,206.0,5.0,3.0,17.0,66.0,26.0,5.0,17.0,21.0,,13.0,3.0,7.0,5.0,8.0,2.0,,2.0,1.0,3.0,,,2.0,1.0,,,,,,,1.0,1.0,,2.0,2.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,2.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,755509,2015-01-11 16:00:00,"Old Trafford, Manchester",75395,Away,Southampton,Manchester United,1,0,W,0,0,0,0,,,69.0,,3.0,29.0,32.0,,3.0,,,158.0,3.0,4.0,1.0,1.0,7.0,,1.0,75.0,152.0,40.0,9.0,,17.0,,1.0,,,,20.0,9.0,,,32.0,3.0,11.0,17.0,133.0,,0.0,101.0,10.0,,2.0,5.0,38.0,55.0,2.0,73.0,1.0,2.0,17.0,14.0,6.0,,152.0,2.0,8.0,66.0,556.0,6.0,14.0,1.0,21.0,255.0,28.0,,15.0,17.0,,,3.0,2.0,5.0,21.0,344.0,60.0,84395,6.0,143.0,2.0,9.0,170.0,3.0,,14.0,11.0,53.0,2.0,,2.0,1.0,1.0,10.0,2.0,7.0,67.0,273.0,9.0,8.0,37.0,76.0,0.0,5.0,3.0,,1.0,,1.0,0.0,2.0,,2.0,39.5,20.0,2.0,3.0,2.0,,1.0,3.0,38.0,5.0,5.0,372.0,21.0,9.0,7.0,5.0,14.0,4.0,222.0,4.0,10.0,15.0,61.0,28.0,2.0,17.0,13.0,,7.0,3.0,13.0,2.0,6.0,5.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
22,755518,2015-01-17 17:30:00,"St. James' Park, Newcastle",49307,Away,Southampton,Newcastle United,2,1,W,1,1,0,0,,,53.0,1.0,1.0,30.0,33.0,,,2.0,1.0,157.0,2.0,3.0,2.0,1.0,5.0,,3.0,92.0,160.0,78.0,5.0,,18.0,1.0,,,2.0,1.0,12.0,32.0,,,33.0,,12.0,25.0,169.0,,0.0,119.0,8.0,,1.0,,47.0,60.0,4.0,78.0,2.0,,12.0,24.0,2.0,,160.0,,9.0,79.0,634.0,2.0,14.0,1.0,20.0,295.0,30.0,,10.0,18.0,2.0,,2.0,4.0,1.0,36.0,383.0,67.0,84395,4.0,142.0,,9.0,183.0,5.0,2.0,24.0,10.0,59.0,1.0,,3.0,2.0,2.0,16.0,7.0,4.0,72.0,309.0,9.0,10.0,36.0,73.0,0.0,,9.0,1.0,2.0,1.0,5.0,0.0,2.0,1.0,1.0,42.0,26.0,1.0,2.0,1.0,,2.0,1.0,44.0,,,406.0,20.0,21.0,12.0,1.0,9.0,1.0,235.0,3.0,11.0,30.0,84.0,16.0,6.0,18.0,37.0,1.0,4.0,3.0,6.0,6.0,8.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,2.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,755529,2015-02-01 16:00:00,"St. Mary's Stadium, Southampton",30943,Home,Southampton,Swansea City,0,1,L,0,0,1,0,1.0,,59.0,,2.0,51.0,6.0,6.0,5.0,,4.0,198.0,12.0,10.0,,3.0,9.0,,6.0,191.0,164.0,52.0,15.0,3.0,10.0,4.0,,1.0,,2.0,51.0,9.0,,2.0,6.0,9.0,14.0,44.0,329.0,,0.0,236.0,11.0,1.0,4.0,,97.0,111.0,6.0,105.0,,,42.0,22.0,9.0,1.0,164.0,1.0,2.0,154.0,841.0,8.0,10.0,,9.0,543.0,22.0,,15.0,2.0,,1.0,1.0,2.0,3.0,23.0,634.0,110.0,84395,8.0,236.0,2.0,29.0,252.0,6.0,,22.0,4.0,39.0,,,,4.0,,12.0,4.0,3.0,72.0,553.0,8.0,6.0,25.0,88.0,0.0,4.0,,,,1.0,4.0,1.0,9.0,,1.0,63.2,22.0,,3.0,,,4.0,5.0,70.0,9.0,,648.0,9.0,5.0,24.0,4.0,32.0,3.0,447.0,9.0,12.0,22.0,176.0,30.0,1.0,2.0,13.0,,13.0,2.0,18.0,1.0,14.0,9.0,,,,,,,,2.0,1.0,1.0,,,3.0,1.0,1.0,,,,,1.0,2.0,,1.0,,3.0,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,755539,2015-02-07 15:00:00,"MATRADE Loftus Road, London",18082,Away,Southampton,Queens Park Rangers,1,0,W,0,0,0,0,2.0,,63.0,1.0,2.0,37.0,39.0,8.0,8.0,3.0,2.0,202.0,5.0,9.0,1.0,3.0,14.0,2.0,5.0,87.0,186.0,60.0,16.0,1.0,19.0,1.0,1.0,,1.0,1.0,25.0,19.0,1.0,3.0,39.0,4.0,3.0,44.0,191.0,1.0,0.0,161.0,16.0,2.0,2.0,,67.0,56.0,8.0,59.0,,2.0,21.0,11.0,8.0,5.0,186.0,,7.0,103.0,671.0,12.0,12.0,1.0,13.0,315.0,27.0,,13.0,14.0,1.0,,2.0,2.0,6.0,26.0,424.0,84.0,84395,5.0,141.0,,11.0,164.0,6.0,,11.0,10.0,67.0,,,3.0,1.0,1.0,12.0,5.0,2.0,93.0,327.0,13.0,14.0,42.0,91.0,0.0,,3.0,2.0,1.0,,6.0,0.0,2.0,1.0,,54.1,19.0,,3.0,1.0,,1.0,3.0,39.0,4.0,1.0,451.0,13.0,12.0,17.0,8.0,44.0,2.0,312.0,8.0,3.0,18.0,98.0,28.0,1.0,14.0,21.0,,13.0,3.0,17.0,1.0,5.0,4.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,,2.0,3.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,3.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,7.0,9.0,20.0,1.0,,,,,
25,755548,2015-02-11 19:45:00,"St. Mary's Stadium, Southampton",31241,Home,Southampton,West Ham United,0,0,D,0,0,0,1,1.0,,62.0,,2.0,27.0,13.0,11.0,4.0,1.0,4.0,185.0,9.0,10.0,,5.0,18.0,2.0,7.0,129.0,144.0,45.0,21.0,5.0,20.0,6.0,,,,2.0,28.0,8.0,,1.0,13.0,7.0,14.0,35.0,269.0,,0.0,203.0,12.0,1.0,2.0,,69.0,67.0,12.0,75.0,1.0,3.0,21.0,11.0,10.0,5.0,144.0,1.0,1.0,130.0,705.0,15.0,11.0,,18.0,420.0,21.0,1.0,10.0,4.0,,,2.0,3.0,6.0,26.0,506.0,83.0,84395,8.0,166.0,1.0,9.0,182.0,4.0,,11.0,2.0,48.0,2.0,,3.0,,,9.0,3.0,1.0,62.0,426.0,10.0,2.0,30.0,74.0,0.0,2.0,2.0,1.0,,,5.0,0.0,8.0,,3.0,66.8,25.0,1.0,8.0,,2.0,,7.0,48.0,8.0,,519.0,18.0,11.0,16.0,7.0,51.0,2.0,365.0,13.0,13.0,14.0,140.0,31.0,,4.0,13.0,,16.0,3.0,16.0,,6.0,8.0,2.0,,1.0,,,2.0,,1.0,1.0,3.0,,,1.0,,1.0,,,,,2.0,1.0,1.0,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,11.0,38.0,1.0,,,,,
26,755559,2015-02-22 16:15:00,"St. Mary's Stadium, Southampton",31723,Home,Southampton,Liverpool,0,2,L,0,1,0,0,2.0,,68.0,1.0,3.0,36.0,4.0,6.0,5.0,2.0,3.0,207.0,4.0,10.0,,7.0,7.0,,5.0,119.0,160.0,57.0,13.0,2.0,10.0,3.0,1.0,,,1.0,26.0,12.0,,2.0,4.0,5.0,7.0,37.0,222.0,,0.0,151.0,11.0,2.0,5.0,,103.0,48.0,4.0,93.0,2.0,1.0,21.0,17.0,7.0,2.0,160.0,1.0,4.0,124.0,736.0,7.0,17.0,,29.0,421.0,25.0,,11.0,,,,2.0,1.0,3.0,25.0,521.0,79.0,84395,5.0,222.0,1.0,9.0,242.0,3.0,,17.0,6.0,47.0,2.0,,1.0,4.0,,12.0,2.0,6.0,71.0,440.0,14.0,8.0,28.0,85.0,0.0,2.0,1.0,1.0,,2.0,8.0,0.0,4.0,,1.0,59.7,23.0,1.0,3.0,1.0,,4.0,5.0,53.0,6.0,,543.0,29.0,9.0,17.0,3.0,23.0,1.0,327.0,7.0,7.0,17.0,98.0,33.0,,,16.0,1.0,7.0,3.0,19.0,,8.0,6.0,2.0,,,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,2.0,,,,,2.0,1.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
27,755571,2015-02-28 15:00:00,"The Hawthorns, West Bromwich",25303,Away,Southampton,West Bromwich Albion,0,1,L,0,1,0,0,1.0,,58.0,,,33.0,11.0,4.0,3.0,2.0,1.0,213.0,11.0,7.0,,3.0,9.0,1.0,2.0,129.0,167.0,50.0,12.0,,18.0,1.0,1.0,1.0,,1.0,25.0,16.0,,1.0,11.0,3.0,10.0,37.0,257.0,4.0,0.0,180.0,17.0,1.0,1.0,1.0,76.0,74.0,1.0,71.0,,2.0,22.0,16.0,8.0,4.0,167.0,1.0,7.0,128.0,716.0,7.0,4.0,,8.0,409.0,27.0,,5.0,7.0,,1.0,1.0,2.0,7.0,21.0,522.0,77.0,84395,5.0,180.0,1.0,13.0,216.0,7.0,,16.0,7.0,50.0,,,2.0,7.0,,16.0,,5.0,74.0,426.0,6.0,5.0,24.0,75.0,0.0,2.0,2.0,2.0,,1.0,2.0,0.0,8.0,,2.0,64.3,17.0,2.0,2.0,1.0,,8.0,,39.0,3.0,1.0,541.0,8.0,9.0,17.0,10.0,23.0,6.0,350.0,7.0,9.0,18.0,123.0,19.0,2.0,7.0,20.0,1.0,9.0,3.0,11.0,2.0,5.0,3.0,2.0,,,1.0,,2.0,,,2.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
