gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,penaltySave,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowCentre,attBxRight,attOboxMiss,attSetpiece,attRfGoal,goalsOpenplay,attMissHigh,goalsConceded,forwardGoals,goalsConcededIbox,attRfTarget,accurateFreekickCross,errorLeadToShot,attCmissHigh,attSvHighCentre,goalsConcededObox,attGoalLowRight,postScoringAtt,goalAssistOpenplay,attMissLeft,attGoalHighRight,midfielderGoals,attSvLowLeft,hitWoodwork,attOboxPost,attPostHigh,attLfGoal,accuratePullBack,attOboxGoal,attLgCentre,totalPullBack,attGoalHighLeft,attCmissLeft,shieldBallOop,penaltyWon,attHdTarget,attPenGoal,attCmissRight,goalFastbreak,attMissHighLeft,errorLeadToGoal,accurateThroughBall,totalThroughBall,attSvHighLeft,attCmissHighLeft,attIboxPost,attCmissHighRight,foulThrowIn,attFreekickMiss,attSvHighRight,sixYardBlock,attHdPost,attPostRight,attGoalHighCentre,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,secondYellow,penGoalsConceded,attLgRight,attFreekickPost,attObxdLeft
11,755403,2014-11-08 15:00:00,"Turf Moor, Burnley",16998,Away,Hull City,Burnley,0,1,L,0,0,0,0,3.0,,,54.0,,,2.0,,,32.0,52.0,5.0,4.0,2.0,138.0,6.0,9.0,,1.0,8.0,1.0,96.0,135.0,82.0,,12.0,1.0,23.0,1.0,,,1.0,17.0,12.0,,52.0,1.0,14.0,31.0,,144.0,1.0,,0.0,110.0,17.0,2.0,,1.0,1.0,59.0,48.0,2.0,62.0,1.0,2.0,16.0,18.0,,2.0,135.0,,,7.0,88.0,601.0,,7.0,9.0,10.0,281.0,26.0,11.0,38.0,,,4.0,8.0,6.0,28.0,351.0,61.0,90517,6.0,159.0,,13.0,,180.0,5.0,18.0,11.0,55.0,,2.0,1.0,15.0,7.0,4.0,74.0,297.0,16.0,8.0,1.0,33.0,67.0,,,1.0,0.0,,3.0,7.0,2.0,,5.0,0.0,6.0,,4.0,52.8,23.0,3.0,1.0,1.0,1.0,3.0,,37.0,1.0,,1.0,384.0,10.0,10.0,13.0,8.0,18.0,,4.0,221.0,4.0,13.0,41.0,68.0,19.0,2.0,38.0,16.0,,8.0,3.0,11.0,2.0,7.0,1.0,,,,4.0,4.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,3.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12,755418,2014-11-23 16:00:00,"The MKM Stadium, Hull",23561,Home,Hull City,Tottenham Hotspur,1,2,L,1,0,1,0,,,,57.0,1.0,3.0,2.0,,,27.0,48.0,1.0,3.0,4.0,101.0,6.0,5.0,1.0,1.0,7.0,2.0,42.0,120.0,53.0,,10.0,,12.0,1.0,,,,17.0,14.0,,48.0,3.0,5.0,19.0,,78.0,2.0,,0.0,64.0,15.0,3.0,,1.0,,43.0,28.0,2.0,38.0,3.0,3.0,14.0,15.0,,5.0,120.0,,,8.0,39.0,436.0,,6.0,10.0,20.0,133.0,22.0,10.0,30.0,,,3.0,9.0,5.0,16.0,191.0,42.0,90517,8.0,72.0,1.0,8.0,,97.0,7.0,15.0,12.0,52.0,,4.0,8.0,10.0,15.0,3.0,62.0,144.0,8.0,12.0,1.0,28.0,51.0,,1.0,,0.0,,3.0,9.0,1.0,,4.0,1.0,5.0,,2.0,27.3,14.0,2.0,4.0,1.0,8.0,2.0,,20.0,3.0,,,220.0,20.0,10.0,15.0,6.0,14.0,1.0,6.0,140.0,5.0,4.0,21.0,38.0,17.0,5.0,30.0,20.0,,8.0,3.0,9.0,5.0,6.0,3.0,,,,,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,755425,2014-11-29 15:00:00,"Old Trafford, Manchester",75345,Away,Hull City,Manchester United,0,3,L,0,2,0,0,,,1.0,47.0,,,,,,22.0,33.0,,1.0,2.0,77.0,1.0,7.0,,3.0,3.0,2.0,57.0,92.0,47.0,,4.0,,13.0,2.0,,,,6.0,14.0,,33.0,,7.0,20.0,,70.0,,,0.0,50.0,12.0,1.0,,3.0,,37.0,33.0,2.0,54.0,,1.0,6.0,6.0,,2.0,92.0,,,9.0,59.0,415.0,,2.0,4.0,18.0,173.0,18.0,10.0,25.0,,,2.0,6.0,1.0,13.0,224.0,31.0,90517,3.0,118.0,,1.0,,136.0,7.0,6.0,5.0,47.0,,2.0,5.0,6.0,6.0,,48.0,187.0,11.0,8.0,1.0,25.0,44.0,,1.0,2.0,0.0,,4.0,7.0,4.0,,1.0,0.0,1.0,,2.0,23.6,12.0,1.0,2.0,1.0,5.0,,2.0,18.0,,,,247.0,18.0,9.0,14.0,2.0,7.0,,2.0,117.0,1.0,6.0,11.0,31.0,20.0,5.0,25.0,18.0,,2.0,3.0,12.0,5.0,3.0,,,,,,2.0,,,1.0,3.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14,755441,2014-12-03 19:45:00,"Goodison Park, Liverpool",34645,Away,Hull City,Everton,1,1,D,0,1,0,0,,,,52.0,,3.0,2.0,,,30.0,29.0,2.0,1.0,4.0,140.0,6.0,5.0,1.0,1.0,6.0,1.0,92.0,136.0,58.0,,8.0,1.0,28.0,,,,,25.0,21.0,,29.0,4.0,8.0,40.0,,166.0,2.0,,0.0,123.0,12.0,1.0,,2.0,,63.0,85.0,2.0,58.0,1.0,,21.0,16.0,,3.0,136.0,,,7.0,94.0,577.0,,4.0,7.0,21.0,285.0,14.0,6.0,11.0,1.0,,1.0,3.0,4.0,19.0,362.0,66.0,90517,5.0,132.0,,16.0,,139.0,4.0,16.0,8.0,63.0,,,2.0,7.0,6.0,2.0,69.0,292.0,8.0,10.0,1.0,31.0,85.0,,,,0.0,,1.0,6.0,1.0,1.0,1.0,0.0,6.0,,3.0,42.5,18.0,3.0,3.0,,2.0,3.0,,34.0,4.0,,,384.0,21.0,12.0,27.0,4.0,14.0,,3.0,270.0,3.0,7.0,18.0,73.0,26.0,4.0,11.0,28.0,,7.0,3.0,9.0,4.0,8.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,755444,2014-12-06 15:00:00,"The MKM Stadium, Hull",23279,Home,Hull City,West Bromwich Albion,0,0,D,0,0,0,0,1.0,1.0,,73.0,,2.0,1.0,,,40.0,21.0,6.0,5.0,3.0,157.0,4.0,2.0,,1.0,10.0,2.0,117.0,151.0,49.0,,12.0,2.0,24.0,2.0,,,,25.0,11.0,,21.0,3.0,8.0,34.0,,194.0,,1.0,0.0,143.0,10.0,3.0,,1.0,,56.0,87.0,4.0,79.0,1.0,1.0,22.0,16.0,,6.0,151.0,1.0,,3.0,128.0,672.0,,9.0,6.0,22.0,376.0,26.0,17.0,14.0,,,1.0,2.0,6.0,26.0,463.0,81.0,90517,6.0,196.0,1.0,15.0,1.0,214.0,6.0,16.0,1.0,54.0,,2.0,3.0,11.0,3.0,,92.0,386.0,15.0,6.0,1.0,62.0,89.0,,2.0,,0.0,,3.0,2.0,1.0,,3.0,0.0,4.0,,4.0,49.3,23.0,3.0,3.0,,3.0,3.0,,49.0,3.0,1.0,,481.0,22.0,10.0,27.0,7.0,15.0,,3.0,292.0,3.0,8.0,16.0,92.0,40.0,1.0,14.0,17.0,,9.0,3.0,8.0,1.0,7.0,3.0,,,,4.0,1.0,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
16,755455,2014-12-13 15:00:00,"Stamford Bridge, London",41626,Away,Hull City,Chelsea,0,2,L,0,1,1,0,1.0,,,64.0,,1.0,,,,29.0,44.0,5.0,2.0,1.0,120.0,4.0,10.0,,4.0,4.0,,84.0,127.0,71.0,2.0,8.0,2.0,13.0,,,,,17.0,19.0,,44.0,4.0,13.0,22.0,,121.0,,,0.0,79.0,13.0,,,2.0,2.0,36.0,57.0,,70.0,,2.0,13.0,21.0,2.0,6.0,127.0,,1.0,6.0,84.0,572.0,,3.0,8.0,19.0,270.0,26.0,13.0,27.0,,,4.0,5.0,4.0,11.0,336.0,48.0,90517,2.0,166.0,,5.0,,179.0,7.0,21.0,5.0,54.0,,1.0,2.0,8.0,6.0,2.0,64.0,283.0,11.0,12.0,1.0,37.0,68.0,,,1.0,0.0,,9.0,5.0,,,2.0,1.0,2.0,,1.0,40.4,8.0,1.0,1.0,1.0,2.0,2.0,,35.0,4.0,,2.0,358.0,19.0,13.0,17.0,6.0,14.0,2.0,3.0,196.0,5.0,11.0,22.0,41.0,30.0,3.0,27.0,28.0,,4.0,3.0,15.0,3.0,12.0,4.0,,,,3.0,1.0,,,1.0,2.0,,2.0,,1.0,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
17,755464,2014-12-20 15:00:00,"The MKM Stadium, Hull",21913,Home,Hull City,Swansea City,0,1,L,0,1,0,0,1.0,,2.0,71.0,,,,,,42.0,12.0,6.0,7.0,2.0,186.0,3.0,7.0,,4.0,7.0,3.0,118.0,187.0,78.0,1.0,11.0,2.0,14.0,1.0,,1.0,1.0,21.0,13.0,2.0,12.0,4.0,20.0,50.0,,210.0,2.0,,0.0,165.0,14.0,1.0,,4.0,,38.0,86.0,4.0,64.0,,1.0,17.0,12.0,1.0,6.0,187.0,1.0,,7.0,116.0,685.0,,6.0,32.0,15.0,345.0,21.0,23.0,6.0,,1.0,2.0,3.0,3.0,32.0,458.0,86.0,95658,3.0,154.0,1.0,7.0,,175.0,6.0,12.0,8.0,48.0,,3.0,3.0,20.0,6.0,4.0,80.0,361.0,16.0,7.0,1.0,42.0,96.0,,1.0,,0.0,,2.0,5.0,2.0,,11.0,0.0,2.0,,2.0,56.6,28.0,1.0,7.0,2.0,3.0,2.0,,58.0,4.0,,,484.0,15.0,9.0,19.0,6.0,38.0,1.0,3.0,330.0,2.0,19.0,39.0,86.0,37.0,,6.0,20.0,,8.0,3.0,14.0,,8.0,4.0,,,,2.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,2.0,,,1.0,2.0,,1.0,,,,,,,,2.0,,1.0,,,,,,1.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
18,755480,2014-12-26 15:00:00,"Stadium of Light, Sunderland",44817,Away,Hull City,Sunderland,3,1,W,1,1,0,0,,,1.0,62.0,,,2.0,1.0,1.0,26.0,41.0,9.0,8.0,1.0,166.0,7.0,14.0,3.0,2.0,11.0,5.0,101.0,117.0,54.0,1.0,13.0,2.0,15.0,,,,1.0,22.0,10.0,2.0,41.0,4.0,22.0,24.0,,324.0,,,0.0,180.0,6.0,1.0,2.0,1.0,,82.0,124.0,7.0,99.0,,2.0,18.0,15.0,1.0,5.0,117.0,1.0,,9.0,134.0,719.0,,7.0,8.0,21.0,421.0,22.0,5.0,26.0,3.0,,2.0,7.0,4.0,24.0,478.0,80.0,95658,3.0,118.0,,12.0,,127.0,3.0,15.0,5.0,45.0,1.0,,,9.0,3.0,4.0,52.0,435.0,12.0,7.0,1.0,17.0,68.0,,,,0.0,1.0,6.0,10.0,2.0,2.0,5.0,0.0,4.0,2.0,1.0,52.4,19.0,,3.0,1.0,,4.0,1.0,44.0,4.0,,,500.0,21.0,12.0,12.0,4.0,11.0,3.0,,395.0,3.0,22.0,15.0,139.0,31.0,7.0,26.0,14.0,1.0,9.0,3.0,19.0,7.0,9.0,4.0,1.0,,,4.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,2.0,,1.0,,,,,,2.0,,1.0,,,,,3.0,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,
19,755484,2014-12-28 15:00:00,"The MKM Stadium, Hull",23809,Home,Hull City,Leicester City,0,1,L,0,1,1,1,3.0,,4.0,83.0,,,2.0,,,36.0,34.0,7.0,10.0,1.0,220.0,10.0,7.0,,3.0,9.0,5.0,137.0,195.0,77.0,1.0,18.0,4.0,26.0,2.0,,,1.0,30.0,18.0,3.0,34.0,6.0,13.0,29.0,,291.0,1.0,,0.0,170.0,12.0,1.0,,2.0,,76.0,114.0,4.0,80.0,,2.0,24.0,24.0,1.0,9.0,195.0,2.0,,2.0,140.0,818.0,,7.0,17.0,17.0,438.0,36.0,18.0,23.0,,,0.0,,5.0,32.0,557.0,99.0,95658,7.0,168.0,2.0,13.0,,187.0,3.0,24.0,6.0,64.0,,2.0,3.0,14.0,2.0,4.0,85.0,449.0,12.0,5.0,2.0,52.0,97.0,,1.0,,0.0,,3.0,1.0,1.0,,7.0,1.0,7.0,,3.0,62.0,30.0,2.0,,,4.0,6.0,,52.0,7.0,,,577.0,17.0,18.0,11.0,7.0,26.0,3.0,4.0,420.0,4.0,11.0,35.0,102.0,37.0,1.0,23.0,23.0,,12.0,3.0,14.0,1.0,12.0,7.0,,,2.0,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,,2.0,,1.0,,,3.0,2.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,2.0,,,,,1.0,1.0,2.0,,,,,,,,,,
20,755494,2015-01-01 15:00:00,"The MKM Stadium, Hull",23865,Home,Hull City,Everton,2,0,W,2,0,0,1,2.0,,1.0,85.0,,2.0,2.0,,,27.0,44.0,5.0,4.0,3.0,148.0,5.0,13.0,2.0,8.0,8.0,5.0,65.0,151.0,82.0,2.0,14.0,1.0,17.0,1.0,,1.0,1.0,25.0,26.0,2.0,44.0,4.0,5.0,37.0,1.0,162.0,,1.0,0.0,121.0,16.0,1.0,,4.0,,47.0,86.0,6.0,51.0,,2.0,21.0,16.0,2.0,5.0,151.0,2.0,1.0,3.0,67.0,554.0,,6.0,10.0,19.0,227.0,37.0,10.0,24.0,2.0,1.0,3.0,1.0,2.0,9.0,308.0,74.0,95658,6.0,81.0,1.0,12.0,,95.0,9.0,16.0,9.0,57.0,,2.0,1.0,11.0,6.0,6.0,72.0,238.0,15.0,16.0,,40.0,78.0,,1.0,,0.0,,8.0,8.0,1.0,2.0,5.0,0.0,5.0,2.0,2.0,44.5,4.0,1.0,7.0,,1.0,3.0,,36.0,4.0,,,331.0,19.0,8.0,16.0,6.0,19.0,,4.0,261.0,8.0,5.0,24.0,70.0,35.0,4.0,24.0,30.0,1.0,9.0,3.0,17.0,4.0,8.0,4.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,,2.0,1.0,,1.0,,,1.0,,2.0,2.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,
21,755512,2015-01-10 15:00:00,"The Hawthorns, West Bromwich",24818,Away,Hull City,West Bromwich Albion,0,1,L,0,0,0,0,,,1.0,69.0,,2.0,2.0,,,32.0,39.0,7.0,5.0,2.0,151.0,5.0,5.0,,1.0,8.0,2.0,109.0,145.0,53.0,,12.0,1.0,17.0,2.0,,,,23.0,12.0,,39.0,2.0,2.0,16.0,,191.0,1.0,,0.0,119.0,13.0,1.0,,2.0,1.0,48.0,95.0,4.0,79.0,,1.0,21.0,20.0,,5.0,145.0,,,5.0,116.0,644.0,,8.0,9.0,19.0,358.0,31.0,10.0,30.0,,,0.0,1.0,4.0,9.0,439.0,71.0,95658,2.0,180.0,,14.0,,201.0,5.0,20.0,8.0,50.0,,2.0,5.0,13.0,4.0,3.0,79.0,366.0,5.0,6.0,,46.0,80.0,,,,0.0,,3.0,5.0,,,4.0,0.0,5.0,,1.0,48.5,5.0,,3.0,1.0,5.0,3.0,,40.0,2.0,,1.0,455.0,19.0,13.0,12.0,7.0,9.0,,1.0,277.0,5.0,2.0,28.0,80.0,23.0,4.0,30.0,15.0,,11.0,3.0,8.0,4.0,12.0,2.0,,,2.0,6.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,
22,755522,2015-01-18 13:30:00,"Boleyn Ground, London",34914,Away,Hull City,West Ham United,0,3,L,0,0,0,0,,,1.0,69.0,,1.0,1.0,,,27.0,53.0,4.0,3.0,3.0,159.0,3.0,12.0,,,7.0,3.0,97.0,155.0,59.0,,9.0,2.0,36.0,1.0,,,2.0,21.0,13.0,2.0,53.0,6.0,11.0,18.0,,191.0,,,0.0,132.0,14.0,3.0,,,1.0,53.0,70.0,5.0,57.0,,,15.0,15.0,,10.0,155.0,,,11.0,117.0,649.0,,7.0,8.0,17.0,322.0,26.0,4.0,23.0,,,3.0,4.0,2.0,13.0,410.0,68.0,95658,1.0,142.0,,5.0,,161.0,9.0,15.0,7.0,81.0,,2.0,2.0,14.0,6.0,2.0,67.0,330.0,5.0,15.0,,22.0,85.0,,,1.0,0.0,,1.0,4.0,2.0,,2.0,0.0,2.0,,,45.9,11.0,,2.0,,2.0,3.0,,37.0,7.0,,1.0,430.0,17.0,16.0,7.0,3.0,16.0,1.0,2.0,290.0,6.0,10.0,22.0,85.0,35.0,3.0,23.0,20.0,,8.0,3.0,14.0,3.0,11.0,7.0,,,3.0,1.0,,,,,3.0,,3.0,2.0,,1.0,,,,,,,3.0,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
23,755526,2015-01-31 12:45:00,"The MKM Stadium, Hull",23925,Home,Hull City,Newcastle United,0,3,L,0,1,0,0,1.0,,3.0,61.0,,,2.0,,,38.0,17.0,6.0,4.0,2.0,159.0,9.0,10.0,,5.0,10.0,8.0,129.0,163.0,67.0,1.0,13.0,,24.0,3.0,,,2.0,23.0,18.0,5.0,17.0,3.0,7.0,44.0,,177.0,,,0.0,118.0,15.0,,,4.0,1.0,39.0,71.0,8.0,65.0,1.0,1.0,20.0,20.0,1.0,4.0,163.0,1.0,,3.0,135.0,685.0,,5.0,10.0,14.0,365.0,23.0,7.0,12.0,,,4.0,2.0,2.0,20.0,468.0,71.0,90517,6.0,209.0,2.0,12.0,,230.0,6.0,20.0,7.0,80.0,,4.0,3.0,14.0,9.0,3.0,81.0,377.0,11.0,23.0,5.0,24.0,94.0,,3.0,,0.0,1.0,,3.0,2.0,,5.0,0.0,6.0,,4.0,52.7,19.0,2.0,3.0,,3.0,2.0,,51.0,3.0,,1.0,488.0,14.0,12.0,17.0,3.0,15.0,3.0,2.0,281.0,3.0,6.0,21.0,61.0,30.0,1.0,12.0,26.0,,7.0,3.0,17.0,1.0,12.0,3.0,,,,1.0,2.0,,,1.0,3.0,,,3.0,2.0,,,1.0,3.0,,,,1.0,,,2.0,,,,,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
24,755537,2015-02-07 15:00:00,"Etihad Stadium, Manchester",45233,Away,Hull City,Manchester City,1,1,D,1,0,0,0,,,1.0,57.0,1.0,1.0,,,,18.0,55.0,3.0,4.0,4.0,107.0,1.0,4.0,1.0,2.0,3.0,3.0,38.0,119.0,44.0,,7.0,1.0,26.0,1.0,,,2.0,7.0,16.0,1.0,55.0,1.0,6.0,20.0,,75.0,,,0.0,71.0,8.0,2.0,,2.0,1.0,38.0,37.0,2.0,37.0,,,6.0,21.0,,1.0,119.0,1.0,,11.0,71.0,452.0,,3.0,8.0,21.0,159.0,29.0,8.0,27.0,,,4.0,7.0,1.0,14.0,225.0,46.0,90517,2.0,95.0,1.0,3.0,,120.0,4.0,21.0,8.0,55.0,,1.0,1.0,10.0,7.0,3.0,65.0,169.0,8.0,10.0,,36.0,58.0,,,,0.0,,,13.0,3.0,1.0,3.0,0.0,1.0,,1.0,26.4,7.0,,1.0,1.0,1.0,1.0,,20.0,1.0,,1.0,253.0,21.0,10.0,13.0,3.0,6.0,,1.0,140.0,2.0,5.0,12.0,39.0,17.0,3.0,27.0,20.0,,6.0,3.0,5.0,3.0,16.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,1.0,,2.0,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,
25,755545,2015-02-10 19:45:00,"The MKM Stadium, Hull",21467,Home,Hull City,Aston Villa,2,0,W,1,0,0,0,1.0,,,58.0,,1.0,,,,22.0,49.0,4.0,3.0,4.0,129.0,2.0,6.0,2.0,1.0,7.0,4.0,59.0,137.0,57.0,1.0,10.0,2.0,17.0,1.0,1.0,1.0,2.0,12.0,13.0,1.0,49.0,3.0,7.0,27.0,,133.0,,1.0,0.0,107.0,16.0,1.0,1.0,1.0,,40.0,56.0,3.0,56.0,1.0,2.0,9.0,16.0,1.0,4.0,137.0,,,5.0,59.0,503.0,,6.0,18.0,14.0,203.0,26.0,8.0,32.0,1.0,1.0,1.0,2.0,4.0,28.0,281.0,65.0,90517,2.0,86.0,,4.0,,100.0,8.0,16.0,9.0,52.0,,1.0,2.0,9.0,6.0,6.0,64.0,217.0,11.0,8.0,,41.0,81.0,1.0,,1.0,0.0,,7.0,7.0,3.0,2.0,6.0,0.0,1.0,1.0,1.0,37.8,18.0,1.0,2.0,2.0,2.0,2.0,,33.0,3.0,,,303.0,14.0,9.0,16.0,4.0,15.0,1.0,3.0,215.0,6.0,7.0,28.0,67.0,25.0,3.0,32.0,14.0,,8.0,3.0,11.0,3.0,11.0,3.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,2.0,,2.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
26,755557,2015-02-21 15:00:00,"The MKM Stadium, Hull",24466,Home,Hull City,Queens Park Rangers,2,1,W,1,1,0,1,1.0,,1.0,52.0,1.0,,,,,45.0,42.0,5.0,1.0,2.0,135.0,7.0,4.0,2.0,3.0,12.0,6.0,97.0,138.0,73.0,,16.0,2.0,20.0,3.0,,1.0,1.0,25.0,15.0,1.0,42.0,5.0,8.0,35.0,,175.0,1.0,,0.0,130.0,18.0,1.0,,2.0,1.0,67.0,45.0,5.0,45.0,,1.0,20.0,9.0,,9.0,138.0,2.0,,4.0,111.0,586.0,,8.0,6.0,7.0,291.0,19.0,10.0,22.0,1.0,1.0,0.0,2.0,7.0,21.0,368.0,66.0,90517,4.0,136.0,1.0,9.0,,150.0,12.0,9.0,2.0,59.0,,8.0,4.0,9.0,4.0,2.0,81.0,304.0,16.0,11.0,3.0,32.0,76.0,,,,0.0,,1.0,7.0,2.0,2.0,4.0,0.0,5.0,1.0,8.0,54.3,15.0,5.0,3.0,2.0,4.0,2.0,,40.0,5.0,,1.0,388.0,7.0,6.0,17.0,8.0,37.0,2.0,6.0,263.0,7.0,6.0,36.0,80.0,23.0,1.0,22.0,18.0,1.0,12.0,3.0,10.0,1.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,11.0,5.0,18.0,2.0,,,,,
27,755570,2015-02-28 15:00:00,"bet365 Stadium, Stoke",26473,Away,Hull City,Stoke City,0,1,L,0,0,0,0,,,,38.0,,,,,,33.0,21.0,,1.0,1.0,146.0,1.0,3.0,,,1.0,,79.0,148.0,58.0,,1.0,,25.0,,,,,7.0,19.0,,21.0,2.0,9.0,33.0,1.0,114.0,,,0.0,88.0,10.0,,,,1.0,52.0,38.0,,56.0,1.0,1.0,5.0,10.0,,2.0,148.0,1.0,,11.0,76.0,499.0,,1.0,5.0,5.0,242.0,22.0,9.0,8.0,,,2.0,8.0,1.0,20.0,323.0,65.0,78091,,139.0,1.0,3.0,,159.0,6.0,10.0,21.0,49.0,,,1.0,16.0,6.0,4.0,88.0,252.0,7.0,5.0,,26.0,102.0,,,1.0,0.0,,1.0,5.0,1.0,,4.0,0.0,1.0,,,42.1,11.0,,1.0,,2.0,,,39.0,2.0,,1.0,357.0,5.0,9.0,9.0,1.0,19.0,,1.0,205.0,,8.0,25.0,40.0,11.0,5.0,8.0,24.0,,1.0,3.0,4.0,5.0,6.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
