gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attObxCentre,attRfTarget,attFreekickTotal,shotFastbreak,attBxRight,attOboxTarget,totalFastbreak,attSvLowLeft,goodHighClaim,freekickTotal,contentiousDecision,attMissHighLeft,errorLeadToShot,defenderGoals,attFastbreak,attBxLeft,totalHighClaim,attFreekickMiss,accurateCornersIntobox,savedObox,attLfGoal,attGoalLowCentre,attOboxBlocked,accurateKeeperSweeper,attMissHighRight,subsGoals,totalKeeperSweeper,fastestPlayer_topSpeed,totalDistance,punches,shieldBallOop,attMissLeft,midfielderGoals,attGoalHighCentre,penaltyConceded,attRfGoal,attCmissLeft,accurateFlickOn,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,sixYardBlock,attCmissHigh,goalsConcededObox,attGoalLowRight,expectedGoalsOnTarget,attGoalHighRight,expectedGoalsOnTargetConceded,attOboxGoal,winningGoal,keeperGoals,expectedAssists,ownGoals,attPenGoal,attObpGoal,attFreekickGoal,attIboxOwnGoal,expectedGoals,cleanSheet,attSvHighCentre,accuratePullBack,postScoringAtt,attIboxPost,penaltyWon,hitWoodwork,totalPullBack,attOboxPost,attPostHigh,attCmissHighRight,attPostRight,errorLeadToGoal,attSvHighLeft,attObxRight,attPostLeft,attHdPost,attObxdRight,attCmissHighLeft,attFreekickTarget,expectedGoalsFreekick,penaltySave,attSvHighRight,foulThrowIn,goalFastbreak,attPenTarget
11,2444575,2024-11-10 14:00:00,"Old Trafford, Manchester",73829,Away,Leicester City,Manchester United,0,3,L,0,2,0,0,2.0,,57.0,,15.0,18.0,2.0,4.0,1.0,166.0,3.0,19.0,0.0,6.0,5.0,,5.0,109.0,148.0,68.0,6.0,12.0,3.0,,2.0,16.0,14.0,18.0,4.0,12.0,18.0,1.0,178.0,0.0,99.0,5.0,,1.0,4.0,55.0,49.0,4.0,76.0,,1.0,12.0,16.0,2.0,3.0,,148.0,1.0,7.0,115.0,680.0,1.0,3.0,6.0,11.0,1.0,7.0,376.0,18.0,3.0,8.0,,1.0,6.0,1.0,26.0,452.0,50.0,1.0,3.0,95463,3.0,213.0,1.0,5.0,2.0,243.0,5.0,8.0,3.0,61.0,1.0,2.0,6.0,0.0,16.0,7.0,3.0,,42.0,388.0,9.0,11.0,2.0,22.0,,54.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,3.0,,2.0,48.8,24.0,1.0,3.0,6.0,,,34.0,5.0,466.0,7.0,18.0,8.0,1.0,19.0,1.0,239.0,2.0,11.0,19.0,68.0,29.0,,2.0,8.0,22.0,0.0,1.0,4.0,3.0,34.0,2.0,8.0,5.0,,0.0,,,1.0,2.0,,1.0,1.0,2.0,1.0,,,,,,,0.0,1.0,,,,,,0.0,0.0,,,,0.0,,,,,3.0,,0.0,0.0,,0.0,,2.0,,,,,,2.0,0.0,0.7154,0.0,0.8507,0.0,0.0,0.0,0.52669,1.0,0.0,0.0,0.0,1.0,0.6343,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,2444586,2024-11-23 12:30:00,"King Power Stadium, Leicester",31880,Home,Leicester City,Chelsea,1,2,L,0,1,0,0,,1.0,41.0,1.0,16.0,19.0,2.0,4.0,4.0,134.0,1.0,6.0,1.0,3.0,3.0,1.0,1.0,87.0,132.0,42.0,4.0,8.0,,,,7.0,9.0,19.0,1.0,10.0,23.0,,96.0,0.0,71.0,15.0,,3.0,2.0,35.0,44.0,1.0,55.0,2.0,1.0,6.0,20.0,,,,132.0,,11.0,77.0,526.0,,3.0,,9.0,,8.0,245.0,17.0,4.0,11.0,,4.0,3.0,2.0,19.0,328.0,44.0,1.0,,96994,2.0,169.0,,4.0,,199.0,10.0,12.0,12.0,51.0,1.0,3.0,4.0,,13.0,5.0,8.0,,61.0,264.0,11.0,10.0,,31.0,,57.0,,,0.0,1.0,9.0,5.0,1.0,2.0,0.0,1.0,,,36.7,17.0,,2.0,4.0,1.0,,19.0,2.0,353.0,8.0,7.0,11.0,2.0,9.0,2.0,161.0,2.0,10.0,7.0,40.0,16.0,,1.0,11.0,18.0,,2.0,3.0,5.0,17.0,1.0,12.0,2.0,,1.0,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,
13,2444590,2024-11-30 15:00:00,"Gtech Community Stadium, Brentford",17084,Away,Leicester City,Brentford,1,4,L,1,3,0,0,1.0,1.0,48.0,1.0,18.0,26.0,3.0,3.0,2.0,137.0,2.0,7.0,1.0,2.0,5.0,,3.0,85.0,142.0,47.0,7.0,19.0,1.0,1.0,1.0,17.0,9.0,26.0,4.0,11.0,32.0,,133.0,0.0,87.0,10.0,,,,43.0,29.0,4.0,67.0,2.0,,13.0,16.0,4.0,5.0,1.0,142.0,1.0,10.0,89.0,559.0,,2.0,6.0,15.0,,10.0,275.0,22.0,2.0,12.0,1.0,1.0,3.0,1.0,17.0,354.0,49.0,1.0,,96994,1.0,157.0,,8.0,1.0,196.0,7.0,7.0,9.0,65.0,1.0,1.0,6.0,1.0,12.0,3.0,3.0,1.0,64.0,288.0,9.0,16.0,2.0,29.0,2.0,47.0,,1.0,0.0,1.0,5.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,40.1,14.0,,2.0,6.0,3.0,,23.0,4.0,378.0,10.0,5.0,12.0,1.0,32.0,,199.0,3.0,10.0,17.0,54.0,16.0,1.0,1.0,12.0,15.0,,4.0,4.0,5.0,22.0,1.0,7.0,4.0,,,,,4.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,,4.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
14,2444606,2024-12-03 20:15:00,"King Power Stadium, Leicester",30947,Home,Leicester City,West Ham United,3,1,W,1,0,0,0,1.0,2.0,55.0,,23.0,32.0,3.0,8.0,7.0,140.0,2.0,6.0,3.0,1.0,7.0,,6.0,100.0,133.0,68.0,8.0,29.0,3.0,3.0,2.0,11.0,24.0,32.0,2.0,9.0,25.0,1.0,95.0,0.0,71.0,9.0,,2.0,1.0,35.0,41.0,6.0,61.0,2.0,,10.0,20.0,,4.0,,133.0,6.0,24.0,78.0,589.0,,4.0,7.0,20.0,1.0,12.0,267.0,22.0,9.0,16.0,3.0,2.0,13.0,1.0,13.0,351.0,38.0,2.0,,96994,2.0,194.0,5.0,5.0,,226.0,8.0,9.0,14.0,72.0,5.0,1.0,4.0,3.0,13.0,7.0,9.0,1.0,66.0,287.0,7.0,20.0,,35.0,1.0,53.0,1.0,,0.0,1.0,9.0,8.0,3.0,1.0,0.0,2.0,3.0,2.0,38.9,11.0,1.0,2.0,5.0,,2.0,27.0,3.0,379.0,12.0,8.0,14.0,2.0,15.0,2.0,164.0,3.0,8.0,20.0,42.0,23.0,1.0,3.0,16.0,35.0,,1.0,7.0,5.0,12.0,3.0,9.0,3.0,,1.0,,,,1.0,,3.0,1.0,,3.0,,3.0,,2.0,,1.0,,3.0,4.0,4.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,3.0,,1.0,,,2.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,
15,2444616,2024-12-08 14:00:00,"King Power Stadium, Leicester",31647,Home,Leicester City,Brighton and Hove Albion,2,2,D,0,1,0,0,,2.0,40.0,2.0,16.0,10.0,2.0,7.0,5.0,162.0,5.0,12.0,2.0,3.0,7.0,,3.0,145.0,128.0,50.0,10.0,11.0,1.0,1.0,,20.0,7.0,10.0,4.0,13.0,26.0,,156.0,0.0,98.0,9.0,1.0,2.0,2.0,59.0,52.0,5.0,74.0,1.0,,16.0,22.0,3.0,5.0,,128.0,2.0,7.0,139.0,697.0,,5.0,4.0,18.0,1.0,6.0,420.0,15.0,2.0,4.0,1.0,1.0,3.0,2.0,25.0,498.0,48.0,,,481510,4.0,288.0,1.0,9.0,1.0,313.0,4.0,10.0,12.0,50.0,1.0,1.0,4.0,2.0,11.0,9.0,10.0,,41.0,439.0,9.0,11.0,1.0,22.0,1.0,53.0,,,0.0,,5.0,1.0,2.0,2.0,0.0,5.0,1.0,3.0,54.9,24.0,2.0,3.0,4.0,5.0,,29.0,4.0,520.0,6.0,10.0,13.0,2.0,23.0,2.0,227.0,5.0,13.0,14.0,66.0,17.0,1.0,1.0,4.0,15.0,,1.0,6.0,5.0,21.0,1.0,10.0,5.0,,,,,3.0,,1.0,,2.0,,,,1.0,1.0,,,2.0,,,,1.0,,,4.0,1.0,1.0,3.0,,1.0,1.0,,34.68,113848.25,,,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
16,2444626,2024-12-14 15:00:00,"St. James' Park, Newcastle",52235,Away,Leicester City,Newcastle United,0,4,L,0,1,0,0,,,43.0,1.0,18.0,25.0,,2.0,7.0,162.0,1.0,8.0,,1.0,3.0,,1.0,111.0,125.0,50.0,4.0,11.0,1.0,,,10.0,6.0,25.0,2.0,13.0,25.0,,152.0,0.0,94.0,16.0,,2.0,1.0,45.0,50.0,3.0,68.0,1.0,,8.0,19.0,2.0,2.0,,125.0,,20.0,83.0,601.0,,3.0,12.0,10.0,,13.0,315.0,11.0,5.0,9.0,,3.0,7.0,,20.0,400.0,40.0,,,96994,1.0,180.0,,5.0,,207.0,11.0,3.0,13.0,45.0,,2.0,10.0,,12.0,7.0,8.0,,52.0,331.0,6.0,11.0,,26.0,1.0,53.0,,1.0,0.0,,5.0,4.0,,4.0,0.0,,,1.0,40.6,19.0,,5.0,10.0,3.0,,26.0,2.0,424.0,13.0,4.0,14.0,,15.0,,227.0,3.0,13.0,13.0,57.0,16.0,,,9.0,23.0,,4.0,3.0,5.0,12.0,,3.0,2.0,1.0,,,,2.0,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,3.0,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
17,2444636,2024-12-22 14:00:00,"King Power Stadium, Leicester",31818,Home,Leicester City,Wolverhampton Wanderers,0,3,L,0,3,0,0,3.0,,45.0,1.0,20.0,8.0,4.0,7.0,1.0,154.0,4.0,8.0,,2.0,8.0,2.0,5.0,156.0,125.0,52.0,9.0,8.0,4.0,,1.0,24.0,8.0,8.0,6.0,7.0,25.0,,246.0,0.0,125.0,15.0,,1.0,1.0,67.0,70.0,6.0,96.0,,2.0,18.0,20.0,2.0,6.0,,125.0,1.0,6.0,140.0,720.0,,6.0,3.0,17.0,1.0,9.0,449.0,17.0,8.0,5.0,,2.0,1.0,2.0,20.0,520.0,66.0,3.0,1.0,96994,4.0,231.0,1.0,11.0,1.0,247.0,13.0,11.0,6.0,45.0,6.0,1.0,4.0,,9.0,2.0,6.0,,37.0,473.0,15.0,2.0,2.0,16.0,,59.0,,,0.0,1.0,1.0,1.0,,3.0,0.0,3.0,,1.0,53.6,19.0,,6.0,4.0,2.0,,48.0,6.0,546.0,9.0,7.0,14.0,2.0,36.0,2.0,323.0,4.0,6.0,11.0,85.0,18.0,,,5.0,18.0,,3.0,8.0,5.0,21.0,,11.0,6.0,,,,,1.0,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,
18,2444644,2024-12-26 20:00:00,"Anfield, Liverpool",60300,Away,Leicester City,Liverpool,1,3,L,1,1,0,0,,,38.0,,22.0,52.0,,2.0,4.0,134.0,4.0,1.0,1.0,,3.0,,1.0,61.0,110.0,46.0,4.0,11.0,,1.0,,6.0,5.0,52.0,1.0,10.0,31.0,,73.0,0.0,33.0,5.0,,,,32.0,25.0,2.0,53.0,2.0,,5.0,14.0,2.0,4.0,1.0,110.0,,14.0,62.0,499.0,,1.0,5.0,4.0,,15.0,207.0,25.0,5.0,26.0,1.0,2.0,6.0,1.0,13.0,273.0,25.0,,,220627,2.0,168.0,,1.0,,200.0,2.0,7.0,13.0,39.0,2.0,2.0,6.0,1.0,9.0,5.0,9.0,,59.0,237.0,17.0,5.0,1.0,25.0,2.0,53.0,,,0.0,1.0,14.0,4.0,1.0,3.0,0.0,3.0,1.0,1.0,31.5,9.0,1.0,,7.0,1.0,,26.0,1.0,310.0,15.0,9.0,15.0,2.0,13.0,1.0,116.0,3.0,10.0,16.0,16.0,5.0,,1.0,26.0,13.0,,2.0,2.0,4.0,10.0,1.0,7.0,1.0,,1.0,,,2.0,,,,,,,,3.0,,,,,,,,3.0,,1.0,,,,1.0,,1.0,,,33.2,108916.5,4.0,1.0,1.0,1.0,,,1.0,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2444656,2024-12-29 14:30:00,"King Power Stadium, Leicester",32057,Home,Leicester City,Manchester City,0,2,L,0,1,0,0,,,35.0,2.0,19.0,10.0,,10.0,3.0,168.0,5.0,9.0,,2.0,7.0,,4.0,157.0,75.0,34.0,11.0,6.0,4.0,,2.0,19.0,8.0,10.0,4.0,15.0,22.0,1.0,245.0,0.0,111.0,11.0,,1.0,1.0,101.0,47.0,4.0,93.0,,1.0,15.0,11.0,1.0,4.0,1.0,75.0,2.0,8.0,160.0,723.0,,6.0,1.0,26.0,1.0,9.0,520.0,18.0,,3.0,,2.0,3.0,3.0,14.0,560.0,53.0,,,96994,5.0,298.0,3.0,10.0,1.0,312.0,7.0,7.0,8.0,32.0,,3.0,4.0,,8.0,6.0,8.0,2.0,30.0,538.0,6.0,5.0,1.0,6.0,1.0,49.0,,,0.0,,4.0,2.0,,2.0,0.0,3.0,,4.0,53.6,14.0,,,4.0,2.0,,43.0,4.0,578.0,9.0,4.0,17.0,5.0,22.0,2.0,285.0,7.0,15.0,5.0,93.0,13.0,,2.0,3.0,14.0,,2.0,9.0,4.0,15.0,2.0,7.0,4.0,,,,,1.0,3.0,,,1.0,,,2.0,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,,
20,2444661,2025-01-04 15:00:00,"Villa Park, Birmingham",42386,Away,Leicester City,Aston Villa,1,2,L,0,0,0,0,1.0,1.0,42.0,,12.0,16.0,2.0,3.0,3.0,135.0,2.0,5.0,1.0,1.0,2.0,,2.0,96.0,112.0,43.0,4.0,12.0,1.0,,1.0,11.0,12.0,16.0,2.0,16.0,35.0,,129.0,0.0,72.0,11.0,,2.0,1.0,40.0,48.0,1.0,79.0,2.0,1.0,9.0,12.0,1.0,2.0,1.0,112.0,2.0,8.0,87.0,567.0,,2.0,4.0,9.0,,11.0,320.0,18.0,5.0,8.0,,1.0,5.0,1.0,17.0,377.0,40.0,1.0,,154048,1.0,208.0,2.0,6.0,,226.0,8.0,6.0,6.0,48.0,2.0,1.0,4.0,1.0,15.0,5.0,6.0,,34.0,335.0,10.0,6.0,,14.0,,56.0,,,0.0,,7.0,1.0,1.0,2.0,0.0,2.0,,,39.2,11.0,,1.0,4.0,,,30.0,2.0,397.0,11.0,9.0,14.0,2.0,18.0,1.0,182.0,2.0,16.0,6.0,42.0,18.0,,4.0,8.0,22.0,,1.0,4.0,5.0,15.0,4.0,6.0,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,2.0,1.0,1.0,,,1.0,,,33.2,110306.19,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,2444674,2025-01-15 19:30:00,"King Power Stadium, Leicester",29766,Home,Leicester City,Crystal Palace,0,2,L,0,0,0,0,2.0,,57.0,5.0,24.0,16.0,7.0,13.0,2.0,204.0,6.0,10.0,,1.0,17.0,2.0,4.0,160.0,139.0,47.0,21.0,15.0,1.0,,,22.0,11.0,16.0,4.0,15.0,41.0,1.0,240.0,0.0,139.0,7.0,,1.0,,70.0,65.0,7.0,89.0,1.0,3.0,18.0,10.0,8.0,6.0,4.0,139.0,3.0,8.0,156.0,796.0,,15.0,7.0,29.0,,9.0,507.0,22.0,5.0,8.0,,0.0,1.0,10.0,22.0,593.0,62.0,3.0,,96994,7.0,289.0,3.0,12.0,,315.0,5.0,3.0,6.0,50.0,4.0,1.0,2.0,,13.0,1.0,6.0,3.0,47.0,523.0,5.0,12.0,2.0,17.0,1.0,65.0,,1.0,0.0,2.0,3.0,2.0,,2.0,0.0,5.0,,3.0,57.2,18.0,2.0,6.0,2.0,6.0,,39.0,4.0,609.0,9.0,10.0,23.0,11.0,29.0,6.0,316.0,11.0,15.0,14.0,104.0,25.0,,3.0,8.0,18.0,,2.0,17.0,4.0,17.0,3.0,3.0,4.0,,,,,7.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,2.0,,,,,1.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,3.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,
22,2444685,2025-01-18 15:00:00,"King Power Stadium, Leicester",31500,Home,Leicester City,Fulham,0,2,L,0,0,0,0,2.0,,43.0,1.0,16.0,18.0,2.0,7.0,,138.0,4.0,6.0,,,5.0,1.0,4.0,93.0,135.0,45.0,8.0,21.0,3.0,,2.0,17.0,8.0,18.0,4.0,5.0,29.0,,134.0,0.0,99.0,8.0,,,1.0,53.0,43.0,3.0,57.0,1.0,1.0,13.0,19.0,1.0,5.0,,135.0,,14.0,92.0,551.0,,5.0,5.0,29.0,1.0,8.0,277.0,22.0,5.0,10.0,,3.0,6.0,2.0,18.0,356.0,45.0,,,96994,4.0,164.0,1.0,7.0,,186.0,3.0,11.0,10.0,56.0,1.0,2.0,3.0,,10.0,3.0,7.0,2.0,47.0,294.0,8.0,7.0,,19.0,1.0,55.0,,1.0,0.0,1.0,2.0,,,2.0,0.0,2.0,,1.0,39.3,16.0,,4.0,3.0,1.0,,31.0,5.0,380.0,8.0,14.0,13.0,3.0,28.0,3.0,211.0,5.0,4.0,21.0,59.0,13.0,,1.0,10.0,11.0,,2.0,7.0,4.0,13.0,1.0,11.0,5.0,,,,,1.0,1.0,,,2.0,1.0,,1.0,,,,,,,,1.0,,,2.0,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2444698,2025-01-26 14:00:00,"Tottenham Hotspur Stadium, London",61295,Away,Leicester City,Tottenham Hotspur,2,1,W,0,1,0,0,1.0,1.0,62.0,4.0,27.0,32.0,3.0,6.0,5.0,138.0,3.0,10.0,2.0,,9.0,,3.0,84.0,130.0,60.0,12.0,19.0,,2.0,,16.0,17.0,32.0,3.0,8.0,22.0,,148.0,0.0,101.0,16.0,3.0,3.0,1.0,53.0,64.0,8.0,57.0,,,13.0,18.0,6.0,6.0,1.0,130.0,1.0,8.0,75.0,552.0,,7.0,8.0,15.0,,16.0,251.0,24.0,8.0,10.0,2.0,5.0,4.0,1.0,12.0,331.0,53.0,,,101668,2.0,118.0,,6.0,,139.0,8.0,10.0,7.0,51.0,,2.0,3.0,2.0,13.0,7.0,2.0,,65.0,263.0,5.0,6.0,,35.0,1.0,62.0,,1.0,0.0,,6.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,39.4,11.0,1.0,3.0,3.0,7.0,,28.0,4.0,354.0,16.0,6.0,13.0,2.0,17.0,1.0,231.0,8.0,6.0,19.0,67.0,26.0,1.0,4.0,10.0,26.0,,1.0,11.0,5.0,14.0,4.0,10.0,4.0,,,,,6.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,,4.0,,1.0,3.0,1.0,1.0,,1.0,31.97,110346.25,3.0,,,1.0,,,2.0,,1.0,,,,,,,1.0,1.5389,,1.7745,1.0,,,0.296423,,,,,,1.5568,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2444704,2025-02-01 15:00:00,"Goodison Park, Liverpool",39376,Away,Leicester City,Everton,0,4,L,0,3,0,0,,,47.0,2.0,20.0,19.0,2.0,5.0,3.0,166.0,3.0,4.0,,1.0,7.0,,1.0,120.0,139.0,38.0,9.0,17.0,1.0,,1.0,22.0,10.0,19.0,6.0,6.0,32.0,,151.0,0.0,99.0,13.0,,1.0,1.0,70.0,61.0,6.0,81.0,,1.0,16.0,17.0,4.0,3.0,,139.0,,11.0,122.0,659.0,,6.0,4.0,17.0,,5.0,382.0,16.0,3.0,7.0,,0.0,2.0,1.0,13.0,469.0,51.0,,,488439,2.0,250.0,,12.0,,274.0,8.0,9.0,5.0,51.0,1.0,1.0,6.0,,13.0,2.0,4.0,1.0,59.0,398.0,6.0,9.0,1.0,21.0,4.0,83.0,,,0.0,,5.0,2.0,,4.0,0.0,2.0,,1.0,53.0,11.0,1.0,5.0,6.0,6.0,,53.0,6.0,489.0,5.0,7.0,14.0,2.0,26.0,2.0,237.0,6.0,6.0,13.0,56.0,19.0,,1.0,7.0,15.0,,4.0,4.0,4.0,10.0,1.0,9.0,6.0,,,,,4.0,1.0,1.0,,,,,,,1.0,,,,,,2.0,,,1.0,1.0,,,4.0,,,,,33.41,110147.13,,,,,,,,,1.0,,,,1.0,1.0,,,0.0552,,2.5057,,,,0.271677,,,,,,0.3272,,,,,,,,,,,,,1.0,,,,,,,,0.0406,,,,,
25,2444714,2025-02-15 12:30:00,"King Power Stadium, Leicester",31968,Home,Leicester City,Arsenal,0,2,L,0,0,0,0,1.0,,47.0,1.0,13.0,27.0,1.0,4.0,3.0,128.0,7.0,9.0,,,4.0,1.0,2.0,64.0,134.0,53.0,6.0,15.0,1.0,,1.0,16.0,13.0,27.0,3.0,5.0,17.0,,85.0,0.0,88.0,9.0,,2.0,2.0,50.0,25.0,2.0,63.0,4.0,2.0,13.0,13.0,2.0,6.0,,134.0,1.0,6.0,66.0,491.0,,4.0,7.0,23.0,,7.0,219.0,27.0,3.0,10.0,,2.0,3.0,2.0,22.0,297.0,51.0,,1.0,245419,3.0,152.0,1.0,5.0,,177.0,7.0,4.0,7.0,53.0,,1.0,2.0,,15.0,5.0,3.0,,55.0,230.0,10.0,14.0,,38.0,,54.0,,,0.0,,7.0,3.0,,2.0,0.0,6.0,,2.0,39.7,19.0,2.0,2.0,2.0,2.0,,16.0,3.0,321.0,7.0,9.0,12.0,2.0,20.0,2.0,160.0,3.0,5.0,12.0,45.0,13.0,,,10.0,23.0,,2.0,6.0,4.0,15.0,,4.0,3.0,,,,,2.0,1.0,,,,1.0,,,,,,,2.0,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,33.06,108970.51,1.0,,,,,,,,1.0,,,,,,,,0.1452,,1.9706,,,,0.35662,,,,,,0.2201,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
26,2444726,2025-02-21 20:00:00,"King Power Stadium, Leicester",31077,Home,Leicester City,Brentford,0,4,L,0,3,0,0,3.0,,39.0,1.0,11.0,32.0,7.0,5.0,3.0,129.0,3.0,5.0,,1.0,6.0,,3.0,110.0,118.0,34.0,8.0,22.0,3.0,,2.0,27.0,5.0,32.0,3.0,10.0,31.0,,166.0,0.0,124.0,10.0,,2.0,1.0,36.0,53.0,3.0,53.0,3.0,,24.0,14.0,3.0,7.0,2.0,118.0,1.0,12.0,90.0,556.0,,6.0,2.0,22.0,,13.0,295.0,24.0,2.0,15.0,,4.0,5.0,3.0,19.0,359.0,38.0,1.0,,473341,,151.0,1.0,16.0,,170.0,6.0,7.0,6.0,50.0,1.0,1.0,,,12.0,2.0,6.0,1.0,38.0,314.0,9.0,9.0,,18.0,,43.0,,1.0,0.0,,6.0,2.0,,4.0,0.0,3.0,,,47.8,16.0,,1.0,,2.0,,27.0,5.0,382.0,13.0,5.0,13.0,3.0,35.0,1.0,239.0,1.0,8.0,10.0,87.0,12.0,,,15.0,11.0,,4.0,8.0,5.0,10.0,,7.0,5.0,,,,,2.0,,,2.0,1.0,,2.0,,,,,,,,2.0,2.0,,,,,,,1.0,,,,,33.21,106802.37,3.0,,2.0,,,,,1.0,,,,,,,,,0.3505,,2.4308,,,,0.554331,,,,,,0.5116,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
