gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attIboxTarget,attSvLowCentre,attMissHighRight,attHdTarget,errorLeadToShot,attHdMiss,attSvHighCentre,savedObox,attRfTarget,attGoalHighCentre,attLgCentre,attMissHighLeft,fastestPlayer_topSpeed,attSetpiece,totalDistance,totalPullBack,attCmissHighLeft,attSvLowRight,handBall,attGoalLowRight,expectedGoalsOnTarget,accuratePullBack,attGoalHighRight,expectedGoalsOnTargetConceded,attOboxGoal,ptsGainedLosingPos,interceptionsInBox,expectedAssists,attRfGoal,attMissHigh,attGoalHighLeft,forwardGoals,expectedGoals,errorLeadToGoal,attFreekickTotal,freekickTotal,attCmissHigh,defenderGoals,attCmissHighRight,attFreekickMiss,attSvHighRight,ptsDroppedWinningPos,cleanSheet,penaltySave,secondYellow,attSvHighLeft,contentiousDecision,attHdPost,attPenTarget,penaltyWon,goalFastbreak,attPenGoal,attPostLeft,punches,attFreekickTarget,clearanceOffLine,attFreekickPost,expectedGoalsFreekick,attOboxPost,attPostHigh,attObxdLeft
28,2444740,2025-03-08 17:30:00,"Gtech Community Stadium, Brentford",17171,Away,Aston Villa,Brentford,1,0,W,0,0,0,0,2.0,,47.0,,4.0,,,18.0,40.0,2.0,7.0,10.0,3.0,,115.0,1.0,3.0,6.0,1.0,3.0,7.0,2.0,4.0,77.0,119.0,43.0,12.0,2.0,23.0,3.0,1.0,,1.0,1.0,,12.0,,5.0,,40.0,4.0,9.0,19.0,1.0,120.0,0.0,94.0,5.0,2.0,4.0,,,1.0,2.0,34.0,20.0,6.0,52.0,2.0,8.0,26.0,2.0,5.0,,119.0,2.0,7.0,,72.0,491.0,5.0,5.0,19.0,,5.0,228.0,19.0,4.0,26.0,1.0,1.0,2.0,6.0,1.0,14.0,296.0,37.0,,1.0,232653,6.0,122.0,2.0,2.0,,,143.0,2.0,12.0,5.0,51.0,1.0,3.0,1.0,1.0,11.0,6.0,2.0,46.0,239.0,10.0,9.0,1.0,21.0,,55.0,3.0,,0.0,1.0,6.0,1.0,1.0,,,0.0,3.0,,1.0,1.0,40.1,11.0,4.0,3.0,1.0,6.0,28.0,5.0,,3.0,316.0,,5.0,5.0,9.0,2.0,,24.0,,2.0,185.0,4.0,7.0,16.0,61.0,12.0,,26.0,11.0,,,8.0,4.0,16.0,,12.0,5.0,,3.0,3.0,,,3.0,1.0,,2.0,1.0,,,,34.17,2.0,105697.75,,,,1.0,,0.6853,,,0.7022,,,1.0,0.40193,1.0,,,1.0,1.325,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,0.0699,,,
29,2444752,2025-02-19 19:30:00,"Villa Park, Birmingham",41910,Home,Aston Villa,Liverpool,2,2,D,2,1,0,0,,2.0,36.0,,,,,11.0,20.0,3.0,1.0,5.0,1.0,1.0,124.0,,3.0,13.0,2.0,2.0,5.0,,4.0,135.0,125.0,53.0,9.0,2.0,13.0,,1.0,,1.0,1.0,2.0,19.0,,13.0,2.0,20.0,4.0,9.0,20.0,,195.0,0.0,130.0,8.0,,,1.0,,1.0,1.0,57.0,62.0,3.0,63.0,,16.0,22.0,4.0,3.0,,125.0,1.0,14.0,,127.0,632.0,4.0,3.0,25.0,,3.0,356.0,14.0,2.0,11.0,1.0,3.0,1.0,4.0,2.0,12.0,419.0,37.0,,,176297,3.0,187.0,,12.0,,,204.0,3.0,10.0,15.0,44.0,1.0,3.0,3.0,1.0,15.0,3.0,9.0,26.0,379.0,6.0,7.0,,8.0,2.0,40.0,,1.0,0.0,2.0,8.0,1.0,2.0,2.0,,0.0,3.0,1.0,1.0,2.0,52.3,9.0,1.0,1.0,3.0,2.0,26.0,6.0,,1.0,449.0,,3.0,7.0,12.0,3.0,,30.0,1.0,3.0,264.0,6.0,8.0,12.0,91.0,15.0,6.0,11.0,22.0,1.0,2.0,5.0,5.0,22.0,6.0,10.0,6.0,,,1.0,,,1.0,1.0,,,2.0,,,,32.75,2.0,107852.92,2.0,,1.0,,2.0,1.584,,,1.398,,1.0,,0.664303,,1.0,,1.0,0.6665,1.0,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,1.0
30,2444762,2025-04-02 19:45:00,"American Express Stadium, Falmer",31230,Away,Aston Villa,Brighton and Hove Albion,3,0,W,0,0,0,0,,2.0,38.0,1.0,,,,22.0,33.0,1.0,1.0,7.0,4.0,1.0,128.0,1.0,2.0,5.0,3.0,2.0,7.0,,5.0,99.0,109.0,53.0,8.0,,16.0,2.0,2.0,,,3.0,1.0,5.0,,15.0,,33.0,,6.0,22.0,1.0,106.0,0.0,74.0,11.0,2.0,4.0,,,1.0,1.0,32.0,26.0,5.0,68.0,1.0,5.0,15.0,1.0,1.0,,109.0,2.0,8.0,2.0,88.0,572.0,4.0,3.0,18.0,,7.0,306.0,16.0,1.0,17.0,3.0,,3.0,2.0,2.0,13.0,357.0,42.0,1.0,,176297,5.0,217.0,,3.0,,,241.0,5.0,8.0,8.0,49.0,1.0,,3.0,3.0,20.0,3.0,4.0,47.0,321.0,15.0,6.0,,15.0,,46.0,2.0,,0.0,1.0,4.0,4.0,2.0,,,0.0,2.0,3.0,,2.0,44.3,7.0,1.0,,4.0,,19.0,,,1.0,383.0,,7.0,10.0,11.0,3.0,,9.0,,3.0,147.0,5.0,6.0,7.0,50.0,12.0,3.0,17.0,26.0,,,5.0,5.0,11.0,3.0,8.0,,,2.0,1.0,,1.0,,1.0,,,1.0,,,,33.07,2.0,109784.9,1.0,,1.0,,1.0,1.8866,1.0,,0.6648,1.0,,1.0,0.69068,2.0,1.0,,1.0,1.2476,,,,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,
31,2444770,2025-04-05 17:30:00,"Villa Park, Birmingham",42743,Home,Aston Villa,Nottingham Forest,2,1,W,2,0,0,0,4.0,2.0,41.0,,3.0,,,27.0,12.0,4.0,8.0,13.0,2.0,1.0,143.0,1.0,3.0,9.0,2.0,1.0,14.0,,8.0,111.0,118.0,45.0,17.0,,12.0,1.0,1.0,,,2.0,2.0,13.0,,7.0,1.0,12.0,4.0,5.0,25.0,2.0,190.0,0.0,129.0,7.0,,1.0,2.0,1.0,,2.0,43.0,50.0,10.0,66.0,1.0,9.0,10.0,4.0,1.0,3.0,118.0,4.0,10.0,,109.0,603.0,11.0,3.0,29.0,,5.0,333.0,12.0,4.0,4.0,2.0,,2.0,2.0,4.0,14.0,386.0,62.0,2.0,,176297,6.0,176.0,2.0,8.0,1.0,,188.0,3.0,3.0,17.0,45.0,3.0,,6.0,2.0,20.0,9.0,11.0,58.0,363.0,15.0,5.0,1.0,14.0,3.0,62.0,1.0,,0.0,,4.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,52.1,13.0,4.0,3.0,6.0,3.0,32.0,4.0,,2.0,429.0,,5.0,11.0,15.0,6.0,,26.0,1.0,3.0,254.0,8.0,4.0,7.0,91.0,13.0,2.0,4.0,14.0,,1.0,11.0,5.0,19.0,2.0,3.0,4.0,,5.0,2.0,2.0,,1.0,,2.0,1.0,2.0,,,,33.65,,108111.75,1.0,,1.0,,1.0,2.8762,1.0,,0.7509,,,,1.29051,1.0,1.0,,,3.0275,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,0.046,,,
32,2444788,2025-04-12 15:00:00,"St. Mary's Stadium, Southampton",30673,Away,Aston Villa,Southampton,3,0,W,0,0,0,0,3.0,3.0,43.0,1.0,3.0,,,14.0,19.0,12.0,8.0,13.0,2.0,,129.0,,3.0,4.0,3.0,7.0,17.0,1.0,10.0,169.0,94.0,45.0,25.0,3.0,8.0,,3.0,,,2.0,1.0,30.0,,11.0,3.0,19.0,9.0,5.0,17.0,,336.0,0.0,221.0,4.0,2.0,,,2.0,4.0,1.0,59.0,94.0,11.0,89.0,3.0,21.0,8.0,12.0,4.0,6.0,94.0,3.0,5.0,3.0,150.0,725.0,13.0,1.0,48.0,,10.0,483.0,24.0,,10.0,2.0,,1.0,1.0,6.0,10.0,522.0,67.0,2.0,1.0,204646,7.0,164.0,3.0,13.0,,,173.0,4.0,2.0,5.0,32.0,3.0,,2.0,2.0,7.0,2.0,5.0,20.0,497.0,11.0,2.0,2.0,,5.0,39.0,,,0.0,,2.0,1.0,3.0,,,0.0,2.0,2.0,,4.0,60.1,8.0,5.0,1.0,2.0,6.0,34.0,13.0,,1.0,537.0,,10.0,11.0,11.0,9.0,,45.0,1.0,3.0,394.0,13.0,5.0,6.0,193.0,11.0,1.0,10.0,25.0,,,12.0,5.0,11.0,1.0,2.0,14.0,,4.0,1.0,1.0,1.0,,3.0,,1.0,3.0,1.0,,2.0,34.65,3.0,106803.73,1.0,,2.0,,1.0,3.2949,,,0.25,,,,1.3894,3.0,2.0,,,3.0275,,1.0,1.0,,,,1.0,2.0,,1.0,,,,,,2.0,2.0,,,,,,,,0.0321,,,
33,2444790,2025-04-19 17:30:00,"Villa Park, Birmingham",42618,Home,Aston Villa,Newcastle United,4,1,W,1,1,0,0,3.0,1.0,48.0,1.0,3.0,,,22.0,20.0,4.0,12.0,19.0,2.0,1.0,140.0,,4.0,7.0,4.0,4.0,19.0,,9.0,89.0,101.0,50.0,23.0,1.0,15.0,,1.0,3.0,,3.0,2.0,16.0,3.0,15.0,1.0,20.0,4.0,6.0,21.0,,194.0,0.0,122.0,9.0,2.0,,,2.0,2.0,1.0,74.0,16.0,11.0,70.0,3.0,12.0,14.0,4.0,2.0,1.0,101.0,5.0,8.0,1.0,110.0,585.0,13.0,2.0,32.0,3.0,7.0,325.0,19.0,5.0,9.0,3.0,,1.0,3.0,8.0,6.0,378.0,55.0,2.0,2.0,122806,8.0,156.0,4.0,8.0,,,181.0,5.0,10.0,11.0,45.0,6.0,,3.0,3.0,13.0,2.0,5.0,43.0,346.0,12.0,10.0,3.0,12.0,4.0,48.0,,,0.0,,7.0,1.0,3.0,1.0,,0.0,3.0,3.0,,3.0,48.3,5.0,5.0,7.0,3.0,4.0,30.0,7.0,,1.0,409.0,,7.0,8.0,9.0,10.0,1.0,30.0,1.0,6.0,244.0,8.0,6.0,12.0,95.0,17.0,4.0,9.0,19.0,,1.0,15.0,5.0,11.0,4.0,10.0,7.0,,5.0,4.0,2.0,,1.0,2.0,,1.0,3.0,,,,33.59,4.0,110084.04,,,,,1.0,2.3332,,,0.6388,1.0,,1.0,1.11816,2.0,,1.0,1.0,2.2559,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,
34,2444805,2025-04-22 20:00:00,"Etihad Stadium, Manchester",52192,Away,Aston Villa,Manchester City,1,2,L,1,1,0,0,,1.0,36.0,,1.0,,,23.0,23.0,1.0,1.0,6.0,4.0,,110.0,,2.0,6.0,1.0,3.0,5.0,1.0,3.0,71.0,102.0,40.0,7.0,,8.0,,,1.0,,,1.0,10.0,1.0,11.0,1.0,23.0,2.0,8.0,41.0,2.0,79.0,0.0,61.0,10.0,2.0,,,1.0,1.0,2.0,26.0,32.0,2.0,45.0,1.0,8.0,18.0,1.0,,,102.0,2.0,10.0,,81.0,458.0,4.0,1.0,23.0,1.0,4.0,236.0,15.0,2.0,12.0,,,3.0,2.0,3.0,16.0,283.0,31.0,2.0,,176297,3.0,177.0,2.0,7.0,,,197.0,5.0,2.0,11.0,37.0,3.0,2.0,7.0,,20.0,4.0,8.0,48.0,254.0,9.0,7.0,1.0,9.0,2.0,37.0,,,0.0,,10.0,2.0,1.0,2.0,1.0,0.0,1.0,,1.0,1.0,38.4,9.0,,1.0,7.0,1.0,17.0,2.0,,2.0,307.0,,4.0,8.0,22.0,3.0,1.0,19.0,1.0,2.0,120.0,5.0,8.0,10.0,38.0,9.0,1.0,12.0,15.0,,2.0,3.0,5.0,10.0,1.0,2.0,2.0,,1.0,,,,,1.0,,2.0,2.0,,,,34.43,,109607.7,,,1.0,,1.0,1.1697,,,1.6289,,,1.0,0.487631,1.0,,,1.0,1.7556,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,
35,2444811,2025-05-03 12:30:00,"Villa Park, Birmingham",42515,Home,Aston Villa,Fulham,1,0,W,1,0,0,0,1.0,1.0,49.0,,,1.0,1.0,25.0,27.0,3.0,4.0,7.0,3.0,,136.0,,3.0,9.0,1.0,3.0,11.0,1.0,3.0,117.0,104.0,48.0,10.0,2.0,11.0,1.0,3.0,1.0,2.0,,,13.0,1.0,6.0,1.0,27.0,3.0,11.0,28.0,2.0,186.0,0.0,111.0,6.0,,1.0,1.0,,2.0,2.0,42.0,47.0,5.0,73.0,2.0,10.0,11.0,3.0,1.0,1.0,104.0,5.0,8.0,,119.0,613.0,9.0,2.0,16.0,1.0,3.0,367.0,25.0,1.0,14.0,1.0,2.0,0.0,3.0,5.0,7.0,417.0,55.0,2.0,,441302,2.0,206.0,4.0,7.0,,,219.0,3.0,3.0,8.0,48.0,8.0,1.0,4.0,,11.0,3.0,4.0,46.0,389.0,16.0,7.0,,7.0,3.0,56.0,1.0,,0.0,1.0,3.0,2.0,1.0,,1.0,0.0,2.0,1.0,1.0,2.0,52.0,6.0,6.0,1.0,4.0,2.0,43.0,5.0,,2.0,445.0,,3.0,16.0,19.0,5.0,,27.0,1.0,3.0,239.0,4.0,11.0,11.0,76.0,12.0,2.0,14.0,12.0,1.0,,7.0,5.0,17.0,2.0,3.0,5.0,,2.0,1.0,2.0,,2.0,1.0,,1.0,1.0,,,,33.53,,108100.44,,,1.0,,,1.2363,,1.0,0.9935,,,,1.11688,,,,,0.9575,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
36,2444820,2025-05-10 17:30:00,"Vitality Stadium, Bournemouth",11248,Away,Aston Villa,Bournemouth,1,0,W,1,0,1,0,,1.0,43.0,1.0,,,,16.0,23.0,2.0,3.0,4.0,4.0,1.0,101.0,,2.0,3.0,1.0,,3.0,1.0,3.0,67.0,132.0,48.0,6.0,,9.0,,,1.0,,1.0,,8.0,,8.0,,23.0,,5.0,27.0,,73.0,0.0,76.0,12.0,3.0,,,,2.0,4.0,32.0,18.0,2.0,28.0,2.0,8.0,8.0,2.0,3.0,1.0,132.0,2.0,8.0,,58.0,427.0,2.0,4.0,15.0,1.0,5.0,152.0,19.0,7.0,12.0,1.0,,3.0,3.0,1.0,17.0,218.0,53.0,,,178301,3.0,104.0,1.0,3.0,,,127.0,8.0,5.0,12.0,46.0,1.0,,5.0,1.0,19.0,2.0,9.0,51.0,175.0,19.0,9.0,,26.0,,54.0,,,0.0,1.0,10.0,4.0,1.0,,2.0,1.0,2.0,1.0,,2.0,33.8,6.0,1.0,,5.0,,22.0,,,4.0,254.0,,5.0,7.0,13.0,3.0,1.0,21.0,,1.0,135.0,1.0,3.0,13.0,35.0,11.0,6.0,12.0,13.0,,,6.0,3.0,12.0,6.0,5.0,,,2.0,1.0,,2.0,,,,,,,,,32.68,,107987.86,,,1.0,,,1.3274,,,0.7006,,,1.0,0.556873,,,,1.0,0.9787,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,
37,2444831,2025-05-16 19:30:00,"Villa Park, Birmingham",42239,Home,Aston Villa,Tottenham Hotspur,2,0,W,0,0,0,0,3.0,1.0,45.0,1.0,2.0,1.0,,14.0,9.0,7.0,9.0,11.0,1.0,1.0,133.0,1.0,4.0,12.0,2.0,1.0,12.0,1.0,7.0,180.0,103.0,45.0,18.0,2.0,4.0,,,,,1.0,2.0,28.0,,14.0,1.0,9.0,4.0,11.0,34.0,,328.0,0.0,207.0,5.0,1.0,,1.0,2.0,1.0,2.0,107.0,58.0,7.0,86.0,2.0,24.0,22.0,7.0,7.0,4.0,103.0,2.0,2.0,,182.0,739.0,9.0,2.0,40.0,,3.0,504.0,16.0,,6.0,2.0,,1.0,1.0,5.0,12.0,561.0,63.0,,,441302,7.0,198.0,2.0,16.0,,,204.0,1.0,8.0,2.0,22.0,1.0,1.0,4.0,1.0,9.0,1.0,2.0,26.0,522.0,11.0,4.0,1.0,2.0,4.0,52.0,,1.0,0.0,1.0,1.0,1.0,2.0,,1.0,0.0,3.0,2.0,1.0,1.0,67.8,12.0,5.0,3.0,4.0,4.0,45.0,9.0,,2.0,581.0,,3.0,8.0,19.0,7.0,,48.0,1.0,3.0,405.0,8.0,8.0,6.0,162.0,18.0,,6.0,16.0,,,13.0,3.0,13.0,,8.0,9.0,,4.0,1.0,1.0,1.0,,,,,1.0,,,1.0,35.25,1.0,108518.59,2.0,1.0,1.0,,,2.2199,,,0.1566,,,,1.42056,1.0,1.0,,,1.389,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
38,2444844,2025-05-25 16:00:00,"Old Trafford, Manchester",73839,Away,Aston Villa,Manchester United,0,2,L,0,0,1,0,,,48.0,,2.0,,,20.0,20.0,2.0,3.0,4.0,8.0,,131.0,,,10.0,,,4.0,,1.0,63.0,129.0,40.0,6.0,1.0,22.0,,,,,,,9.0,,5.0,,20.0,3.0,3.0,22.0,,90.0,0.0,87.0,10.0,2.0,,,,,1.0,20.0,16.0,2.0,38.0,1.0,6.0,11.0,2.0,2.0,1.0,129.0,,15.0,,68.0,445.0,4.0,3.0,18.0,,6.0,195.0,25.0,5.0,9.0,,1.0,2.0,2.0,2.0,8.0,262.0,45.0,,,441302,4.0,127.0,,4.0,,1.0,152.0,9.0,6.0,16.0,52.0,2.0,3.0,2.0,,10.0,11.0,9.0,60.0,217.0,10.0,1.0,,22.0,,54.0,,,0.0,,4.0,6.0,,2.0,1.0,1.0,,,,,33.2,4.0,5.0,,2.0,3.0,23.0,3.0,1.0,1.0,300.0,1.0,6.0,10.0,7.0,2.0,,16.0,,1.0,157.0,3.0,3.0,11.0,52.0,9.0,3.0,9.0,9.0,,2.0,6.0,5.0,20.0,3.0,6.0,3.0,,1.0,1.0,1.0,,1.0,,,2.0,1.0,,,,35.08,,105343.44,,,,,,0.0378,,,2.8425,,,2.0,0.33676,,,,,0.3942,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
