gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,savedObox,saves,attOboxTarget,divingSave,errorLeadToShot,attemptsConcededObox,attAssistSetplay,savedIbox,attBxLeft,effectiveBlockedCross,blockedCross,attLfTarget,attGoalLowLeft,attLfGoal,goals,attCmissRight,postScoringAtt,goalAssistOpenplay,attIboxPost,midfielderGoals,interceptionsInBox,attMissRight,hitWoodwork,goalAssist,accurateThroughBall,fastestPlayer_topSpeed,totalDistance,attCmissHigh,goalsOpenplay,attSvLowRight,attCmissLeft,attIboxGoal,attPostHigh,goalAssistIntentional,attFreekickMiss,accurateCornersIntobox,goalsConcededObox,attPenTarget,accurateKeeperSweeper,penaltyWon,totalKeeperSweeper,accurateFreekickCross,bigChanceScored,attGoalLowRight,attOneOnOne,attPostLeft,accurateFlickOn,ptsDroppedWinningPos,handBall,defenderGoals,attHdGoal,goalFastbreak,subsGoals,attRfGoal,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,forwardGoals,clearanceOffLine,attSvHighRight,cleanSheet,attMissHighLeft,contentiousDecision,attLgCentre,attCmissHighLeft,ptsGainedLosingPos,attCmissHighRight,attSvHighLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,attGoalHighLeft,penaltySave,expectedGoalsFreekick,attFreekickTarget,attPostRight
11,2444579,2024-11-09 15:00:00,"Molineux Stadium, Wolverhampton",31403,Away,Southampton,Wolverhampton Wanderers,0,2,L,0,1,0,0,45.0,2.0,17.0,6.0,3.0,2.0,5.0,,161.0,4.0,9.0,5.0,5.0,,,214.0,116.0,47.0,1.0,9.0,1.0,5.0,,1.0,2.0,,,25.0,7.0,6.0,8.0,7.0,17.0,283.0,,0.0,150.0,12.0,1.0,,3.0,,83.0,75.0,2.0,102.0,17.0,20.0,4.0,1.0,9.0,3.0,116.0,1.0,4.0,196.0,841.0,4.0,3.0,19.0,,5.0,586.0,12.0,6.0,1.0,4.0,3.0,3.0,20.0,652.0,63.0,88900,2.0,327.0,1.0,5.0,,,350.0,7.0,1.0,6.0,4.0,43.0,3.0,,6.0,12.0,4.0,1.0,29.0,606.0,14.0,12.0,11.0,2.0,54.0,1.0,,0.0,1.0,1.0,2.0,0.0,2.0,,1.0,71.1,19.0,1.0,2.0,,6.0,3.0,42.0,9.0,,673.0,5.0,8.0,9.0,6.0,38.0,3.0,348.0,6.0,7.0,9.0,122.0,25.0,1.0,16.0,1.0,6.0,5.0,15.0,,6.0,9.0,1.0,2.0,,1.0,2.0,4.0,1.0,1.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12,2444589,2024-11-24 14:00:00,"St. Mary's Stadium, Southampton",31278,Home,Southampton,Liverpool,2,3,L,1,1,0,0,45.0,,9.0,32.0,2.0,3.0,5.0,3.0,115.0,3.0,9.0,2.0,5.0,,5.0,86.0,95.0,37.0,,7.0,,3.0,2.0,1.0,,1.0,,8.0,8.0,32.0,2.0,12.0,26.0,101.0,,0.0,54.0,11.0,2.0,2.0,1.0,2.0,46.0,32.0,3.0,70.0,6.0,13.0,2.0,,2.0,1.0,95.0,1.0,18.0,94.0,552.0,3.0,5.0,17.0,,5.0,282.0,25.0,1.0,17.0,3.0,9.0,2.0,13.0,344.0,27.0,90105,5.0,205.0,1.0,3.0,,2.0,241.0,8.0,1.0,8.0,8.0,39.0,1.0,,10.0,10.0,8.0,1.0,29.0,303.0,9.0,10.0,14.0,1.0,31.0,1.0,,0.0,,10.0,3.0,0.0,2.0,1.0,1.0,37.8,11.0,1.0,1.0,,10.0,,18.0,3.0,3.0,365.0,5.0,3.0,14.0,2.0,12.0,1.0,132.0,3.0,11.0,4.0,39.0,6.0,17.0,15.0,3.0,3.0,4.0,22.0,2.0,8.0,3.0,3.0,8.0,1.0,6.0,3.0,9.0,1.0,5.0,,1.0,1.0,,1.0,2.0,2.0,,,1.0,,2.0,3.0,,,1.0,,,,1.0,1.0,,,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,2.0,,,,3.0,3.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
13,2444591,2024-11-29 20:00:00,"American Express Stadium, Falmer",31542,Away,Southampton,Brighton and Hove Albion,1,1,D,0,1,0,0,39.0,4.0,23.0,30.0,2.0,4.0,8.0,,125.0,4.0,12.0,,7.0,1.0,2.0,119.0,99.0,57.0,,10.0,2.0,10.0,1.0,1.0,2.0,,,23.0,9.0,30.0,6.0,10.0,24.0,107.0,,0.0,72.0,16.0,1.0,,2.0,,36.0,38.0,5.0,58.0,17.0,15.0,2.0,,2.0,,99.0,1.0,15.0,119.0,611.0,7.0,1.0,21.0,,4.0,333.0,14.0,3.0,14.0,4.0,6.0,2.0,7.0,383.0,41.0,90105,5.0,265.0,1.0,13.0,,1.0,285.0,8.0,2.0,7.0,14.0,49.0,3.0,1.0,7.0,12.0,13.0,1.0,40.0,368.0,19.0,9.0,10.0,1.0,44.0,1.0,,0.0,,7.0,1.0,0.0,2.0,,,47.7,7.0,,2.0,,7.0,6.0,31.0,6.0,,421.0,4.0,8.0,15.0,2.0,28.0,2.0,159.0,6.0,9.0,9.0,50.0,14.0,14.0,17.0,1.0,8.0,4.0,18.0,,7.0,6.0,2.0,4.0,,1.0,2.0,7.0,,2.0,1.0,2.0,2.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,,,,2.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
14,2444609,2024-12-04 19:30:00,"St. Mary's Stadium, Southampton",31193,Home,Southampton,Chelsea,1,5,L,1,3,1,0,36.0,2.0,18.0,23.0,,4.0,6.0,,122.0,2.0,14.0,,5.0,2.0,4.0,105.0,89.0,46.0,,6.0,,6.0,3.0,,,2.0,,16.0,10.0,23.0,2.0,8.0,13.0,118.0,,0.0,75.0,7.0,,,,,49.0,42.0,5.0,97.0,14.0,14.0,,,3.0,,89.0,3.0,22.0,108.0,588.0,3.0,1.0,20.0,1.0,6.0,355.0,17.0,7.0,7.0,1.0,6.0,,12.0,399.0,27.0,90105,3.0,268.0,3.0,11.0,,,287.0,5.0,3.0,1.0,8.0,31.0,,3.0,4.0,9.0,7.0,,38.0,384.0,13.0,4.0,22.0,1.0,39.0,,,0.0,,7.0,5.0,1.0,1.0,,1.0,45.1,12.0,,5.0,,4.0,2.0,21.0,5.0,,432.0,6.0,3.0,8.0,,22.0,,161.0,1.0,8.0,7.0,61.0,6.0,7.0,12.0,4.0,5.0,5.0,26.0,1.0,1.0,5.0,,6.0,,3.0,1.0,4.0,1.0,8.0,1.0,,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,2.0,,2.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
15,2444610,2024-12-07 15:00:00,"Villa Park, Birmingham",42453,Away,Southampton,Aston Villa,0,1,L,0,1,0,0,49.0,4.0,23.0,17.0,,3.0,4.0,,123.0,2.0,4.0,1.0,3.0,,,145.0,105.0,45.0,,4.0,,9.0,,1.0,,,,13.0,5.0,17.0,1.0,13.0,16.0,219.0,,0.0,125.0,15.0,1.0,,1.0,1.0,56.0,79.0,3.0,91.0,12.0,11.0,,,4.0,,105.0,,12.0,131.0,674.0,3.0,,23.0,,12.0,412.0,19.0,,5.0,3.0,9.0,,14.0,462.0,35.0,90105,2.0,221.0,,7.0,1.0,,237.0,9.0,,7.0,8.0,56.0,3.0,4.0,3.0,8.0,7.0,,42.0,438.0,17.0,5.0,10.0,,45.0,1.0,2.0,0.0,2.0,14.0,1.0,0.0,2.0,1.0,,52.8,13.0,,9.0,,3.0,4.0,32.0,1.0,2.0,490.0,12.0,13.0,10.0,,18.0,,266.0,1.0,13.0,8.0,103.0,16.0,5.0,15.0,,4.0,4.0,18.0,1.0,7.0,1.0,,3.0,,,1.0,6.0,,4.0,2.0,2.0,2.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,3.0,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16,2444628,2024-12-15 19:00:00,"St. Mary's Stadium, Southampton",31090,Home,Southampton,Tottenham Hotspur,0,5,L,0,5,0,0,43.0,1.0,14.0,15.0,4.0,3.0,5.0,1.0,120.0,5.0,2.0,2.0,6.0,,3.0,125.0,94.0,41.0,,9.0,1.0,4.0,1.0,,1.0,2.0,3.0,13.0,10.0,15.0,2.0,7.0,28.0,129.0,,0.0,82.0,8.0,,1.0,3.0,,41.0,50.0,2.0,77.0,11.0,11.0,4.0,,3.0,1.0,94.0,3.0,15.0,106.0,575.0,6.0,2.0,16.0,1.0,11.0,353.0,18.0,4.0,11.0,1.0,4.0,4.0,13.0,405.0,36.0,90105,1.0,249.0,3.0,5.0,,,266.0,5.0,,5.0,6.0,39.0,2.0,2.0,2.0,13.0,4.0,,36.0,373.0,15.0,13.0,13.0,1.0,46.0,,,0.0,1.0,5.0,5.0,0.0,3.0,1.0,1.0,41.6,12.0,,5.0,,2.0,2.0,29.0,2.0,,428.0,11.0,11.0,10.0,4.0,19.0,3.0,175.0,5.0,6.0,9.0,52.0,16.0,11.0,15.0,5.0,8.0,3.0,5.0,1.0,5.0,2.0,1.0,4.0,2.0,1.0,,3.0,,3.0,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2444634,2024-12-22 14:00:00,"Craven Cottage, London",26819,Away,Southampton,Fulham,0,0,D,0,0,0,0,46.0,1.0,16.0,38.0,2.0,,3.0,1.0,126.0,4.0,1.0,3.0,2.0,,1.0,107.0,118.0,43.0,1.0,5.0,2.0,15.0,1.0,1.0,1.0,1.0,,13.0,11.0,38.0,5.0,10.0,14.0,110.0,1.0,0.0,70.0,15.0,1.0,,2.0,1.0,50.0,39.0,1.0,82.0,8.0,15.0,2.0,1.0,3.0,,118.0,,7.0,104.0,591.0,1.0,6.0,14.0,,11.0,330.0,20.0,2.0,14.0,3.0,4.0,1.0,14.0,399.0,38.0,90105,2.0,230.0,,3.0,,1.0,260.0,7.0,,5.0,11.0,45.0,,2.0,2.0,10.0,3.0,,59.0,336.0,8.0,5.0,27.0,1.0,55.0,1.0,1.0,0.0,,6.0,,0.0,2.0,,,43.2,10.0,,1.0,,2.0,3.0,23.0,5.0,1.0,419.0,11.0,4.0,8.0,1.0,20.0,1.0,172.0,5.0,9.0,15.0,35.0,19.0,14.0,19.0,,2.0,4.0,7.0,,5.0,5.0,2.0,5.0,,2.0,,8.0,1.0,3.0,,2.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
18,2444648,2024-12-26 15:00:00,"St. Mary's Stadium, Southampton",31059,Home,Southampton,West Ham United,0,1,L,0,0,0,0,51.0,3.0,33.0,13.0,2.0,3.0,16.0,1.0,157.0,9.0,8.0,2.0,17.0,1.0,5.0,118.0,120.0,53.0,,18.0,1.0,21.0,5.0,,1.0,4.0,3.0,23.0,8.0,13.0,2.0,9.0,33.0,216.0,1.0,0.0,141.0,15.0,,,2.0,1.0,64.0,69.0,9.0,98.0,21.0,23.0,2.0,,8.0,1.0,120.0,4.0,11.0,102.0,655.0,15.0,5.0,31.0,4.0,10.0,387.0,23.0,9.0,7.0,1.0,5.0,8.0,17.0,457.0,63.0,90105,10.0,192.0,4.0,11.0,1.0,,209.0,7.0,3.0,13.0,9.0,62.0,,,4.0,11.0,5.0,,63.0,399.0,8.0,8.0,21.0,1.0,75.0,,,0.0,,2.0,1.0,0.0,8.0,,10.0,54.2,17.0,4.0,8.0,,4.0,4.0,48.0,2.0,2.0,475.0,10.0,9.0,22.0,9.0,34.0,8.0,289.0,5.0,9.0,22.0,106.0,14.0,7.0,15.0,1.0,13.0,6.0,18.0,,13.0,2.0,1.0,1.0,,,,5.0,2.0,,2.0,1.0,1.0,,,,,4.0,,,,,1.0,4.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,
19,2444652,2024-12-29 15:00:00,"Selhurst Park, London",25130,Away,Southampton,Crystal Palace,1,2,L,1,1,0,0,62.0,1.0,30.0,33.0,,5.0,7.0,1.0,163.0,4.0,4.0,2.0,6.0,,3.0,96.0,146.0,62.0,,7.0,,17.0,2.0,,1.0,,1.0,22.0,8.0,33.0,7.0,13.0,34.0,168.0,,0.0,125.0,19.0,,,3.0,,61.0,57.0,3.0,76.0,15.0,15.0,,,5.0,,146.0,1.0,12.0,110.0,652.0,5.0,12.0,16.0,,13.0,337.0,28.0,13.0,12.0,3.0,7.0,3.0,9.0,418.0,59.0,58376,3.0,194.0,,7.0,,1.0,219.0,5.0,,4.0,4.0,58.0,,1.0,6.0,18.0,2.0,,62.0,358.0,18.0,4.0,33.0,1.0,74.0,,1.0,0.0,1.0,8.0,2.0,0.0,3.0,,1.0,53.6,7.0,1.0,,1.0,6.0,1.0,41.0,7.0,1.0,445.0,13.0,11.0,21.0,3.0,24.0,3.0,248.0,1.0,13.0,24.0,82.0,24.0,12.0,16.0,1.0,5.0,5.0,12.0,1.0,4.0,7.0,3.0,8.0,,2.0,3.0,7.0,,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,4.0,3.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,0.9988,2.3522,0.407361,0.9414,,,,,,,,
20,2444667,2025-01-04 15:00:00,"St. Mary's Stadium, Southampton",31001,Home,Southampton,Brentford,0,5,L,0,1,0,0,53.0,1.0,19.0,22.0,5.0,2.0,3.0,,145.0,1.0,12.0,,7.0,,1.0,125.0,114.0,49.0,,8.0,1.0,15.0,1.0,,1.0,,,13.0,8.0,22.0,2.0,3.0,22.0,215.0,2.0,0.0,145.0,10.0,,1.0,,2.0,67.0,58.0,3.0,80.0,11.0,12.0,5.0,,6.0,4.0,114.0,,18.0,115.0,621.0,7.0,8.0,19.0,1.0,4.0,384.0,19.0,8.0,9.0,2.0,3.0,4.0,7.0,447.0,46.0,58376,1.0,184.0,,5.0,,,204.0,5.0,,8.0,6.0,49.0,4.0,1.0,8.0,12.0,3.0,1.0,46.0,398.0,4.0,5.0,24.0,,57.0,,,0.0,,2.0,5.0,0.0,1.0,2.0,1.0,50.6,5.0,,5.0,,8.0,2.0,34.0,2.0,2.0,465.0,4.0,9.0,10.0,5.0,21.0,1.0,274.0,5.0,3.0,18.0,122.0,16.0,9.0,15.0,5.0,8.0,5.0,23.0,3.0,8.0,2.0,1.0,5.0,,3.0,2.0,2.0,,5.0,1.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
21,2444678,2025-01-16 20:00:00,"Old Trafford, Manchester",73722,Away,Southampton,Manchester United,1,3,L,1,0,0,0,51.0,2.0,24.0,29.0,6.0,5.0,7.0,2.0,151.0,2.0,13.0,2.0,10.0,,5.0,87.0,128.0,65.0,1.0,13.0,3.0,9.0,4.0,,,4.0,,8.0,16.0,29.0,4.0,9.0,24.0,177.0,,0.0,125.0,10.0,,,,,42.0,74.0,7.0,62.0,4.0,18.0,6.0,1.0,1.0,2.0,128.0,,17.0,106.0,614.0,9.0,6.0,18.0,,9.0,314.0,17.0,4.0,16.0,3.0,11.0,3.0,12.0,385.0,57.0,551226,4.0,148.0,1.0,3.0,,,160.0,4.0,,12.0,7.0,44.0,,,,19.0,,,52.0,323.0,7.0,8.0,20.0,1.0,55.0,,1.0,0.0,1.0,5.0,3.0,0.0,,,1.0,40.5,10.0,,9.0,1.0,,5.0,29.0,4.0,,406.0,9.0,14.0,16.0,3.0,16.0,1.0,254.0,7.0,8.0,20.0,79.0,21.0,16.0,25.0,3.0,11.0,5.0,16.0,1.0,12.0,4.0,2.0,6.0,1.0,2.0,,6.0,1.0,4.0,3.0,,,3.0,,,1.0,2.0,,,,,2.0,2.0,,,,32.23,112397.65,,,,,1.0,,,,2.0,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
22,2444688,2025-01-19 14:00:00,"The City Ground, Nottingham",30180,Away,Southampton,Nottingham Forest,2,3,L,0,3,0,0,44.0,4.0,10.0,32.0,2.0,4.0,8.0,,126.0,10.0,12.0,,9.0,,4.0,149.0,113.0,49.0,,10.0,,19.0,2.0,,,,1.0,24.0,10.0,32.0,8.0,7.0,16.0,247.0,,0.0,149.0,18.0,,1.0,,1.0,84.0,75.0,8.0,72.0,16.0,12.0,2.0,,5.0,2.0,113.0,2.0,9.0,128.0,661.0,5.0,3.0,24.0,2.0,6.0,403.0,19.0,3.0,18.0,4.0,3.0,1.0,12.0,458.0,51.0,90105,5.0,177.0,1.0,11.0,,3.0,188.0,9.0,,6.0,6.0,63.0,2.0,,4.0,18.0,2.0,,41.0,414.0,4.0,7.0,22.0,4.0,61.0,,1.0,0.0,,2.0,3.0,0.0,5.0,1.0,5.0,55.5,11.0,,1.0,,4.0,4.0,36.0,8.0,1.0,475.0,6.0,12.0,9.0,2.0,28.0,,311.0,1.0,7.0,22.0,121.0,20.0,18.0,11.0,1.0,3.0,5.0,19.0,1.0,6.0,8.0,,1.0,,1.0,,5.0,2.0,2.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,1.0,1.0,,2.0,1.0,,,,,1.0,1.0,2.0,,1.0,,5.0,2.0,,,,,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,
23,2444697,2025-01-25 15:00:00,"St. Mary's Stadium, Southampton",31141,Home,Southampton,Newcastle United,1,3,L,1,2,0,0,50.0,1.0,29.0,23.0,5.0,3.0,7.0,2.0,146.0,4.0,9.0,,10.0,,5.0,127.0,115.0,56.0,,12.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,16.0,7.0,23.0,3.0,9.0,29.0,230.0,1.0,0.0,139.0,10.0,1.0,1.0,1.0,1.0,92.0,63.0,7.0,84.0,13.0,10.0,5.0,,5.0,1.0,115.0,1.0,10.0,113.0,645.0,8.0,3.0,15.0,1.0,5.0,384.0,15.0,11.0,11.0,1.0,4.0,3.0,15.0,450.0,53.0,433979,4.0,170.0,,7.0,,,184.0,6.0,,5.0,6.0,40.0,1.0,2.0,6.0,8.0,4.0,1.0,60.0,396.0,5.0,7.0,23.0,2.0,71.0,1.0,1.0,0.0,,8.0,3.0,0.0,2.0,1.0,3.0,52.7,15.0,1.0,5.0,2.0,6.0,4.0,42.0,3.0,2.0,470.0,5.0,11.0,11.0,3.0,18.0,2.0,302.0,6.0,8.0,21.0,106.0,21.0,11.0,21.0,3.0,10.0,5.0,17.0,,5.0,3.0,1.0,5.0,1.0,1.0,1.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,33.97,104419.2,,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,1.0,,,,,3.0,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,
24,2444705,2025-02-01 15:00:00,"Portman Road, Ipswich",29902,Away,Southampton,Ipswich Town,2,1,W,1,1,0,0,70.0,2.0,32.0,27.0,2.0,3.0,7.0,1.0,140.0,5.0,7.0,,6.0,,4.0,97.0,137.0,78.0,,9.0,2.0,19.0,2.0,2.0,,1.0,1.0,14.0,17.0,27.0,2.0,11.0,23.0,148.0,,0.0,99.0,14.0,2.0,1.0,,2.0,45.0,49.0,5.0,66.0,12.0,16.0,2.0,,7.0,,137.0,,8.0,99.0,605.0,5.0,9.0,16.0,1.0,10.0,298.0,31.0,15.0,9.0,3.0,3.0,1.0,9.0,371.0,54.0,504783,4.0,169.0,,5.0,1.0,,186.0,7.0,,10.0,9.0,66.0,1.0,4.0,1.0,17.0,2.0,,75.0,312.0,11.0,17.0,35.0,2.0,79.0,2.0,,0.0,1.0,1.0,1.0,0.0,4.0,,2.0,43.0,9.0,,3.0,,1.0,4.0,44.0,2.0,2.0,402.0,10.0,8.0,10.0,1.0,17.0,1.0,230.0,4.0,8.0,26.0,57.0,23.0,9.0,34.0,1.0,7.0,5.0,15.0,,10.0,2.0,1.0,5.0,,3.0,,7.0,1.0,4.0,1.0,1.0,1.0,,1.0,2.0,2.0,,,,,1.0,,,,,,33.97,115666.39,,2.0,,,2.0,,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,0.4539,1.427,0.317713,0.9086,,,,,,,,
25,2444717,2025-02-15 15:00:00,"St. Mary's Stadium, Southampton",31037,Home,Southampton,Bournemouth,1,3,L,0,2,0,0,51.0,2.0,21.0,28.0,4.0,3.0,7.0,3.0,149.0,4.0,15.0,4.0,11.0,,4.0,91.0,130.0,79.0,,11.0,2.0,14.0,2.0,1.0,3.0,1.0,1.0,20.0,18.0,28.0,3.0,12.0,18.0,169.0,,0.0,143.0,13.0,1.0,1.0,3.0,,49.0,58.0,8.0,70.0,17.0,15.0,4.0,,5.0,1.0,130.0,1.0,10.0,76.0,601.0,8.0,8.0,25.0,,11.0,288.0,24.0,13.0,12.0,1.0,4.0,3.0,16.0,362.0,53.0,184386,4.0,141.0,1.0,9.0,,2.0,157.0,5.0,,6.0,7.0,53.0,1.0,,1.0,16.0,4.0,,43.0,306.0,15.0,10.0,27.0,1.0,61.0,1.0,,0.0,,6.0,3.0,0.0,2.0,,1.0,44.7,14.0,1.0,2.0,,1.0,4.0,33.0,4.0,,386.0,11.0,9.0,12.0,3.0,28.0,2.0,249.0,7.0,10.0,22.0,97.0,22.0,12.0,27.0,2.0,7.0,5.0,22.0,,6.0,4.0,1.0,5.0,1.0,4.0,,4.0,2.0,3.0,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,33.52,108819.21,,1.0,1.0,,1.0,,1.0,,2.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.036,2.8072,0.836662,0.7925,,,,,,,,
26,2444729,2025-02-22 15:00:00,"St. Mary's Stadium, Southampton",30775,Home,Southampton,Brighton and Hove Albion,0,4,L,0,1,0,0,60.0,1.0,18.0,23.0,4.0,1.0,2.0,1.0,122.0,1.0,7.0,,5.0,1.0,1.0,121.0,126.0,45.0,,6.0,2.0,21.0,1.0,,1.0,,,11.0,7.0,23.0,3.0,6.0,23.0,117.0,1.0,0.0,88.0,11.0,,1.0,,,39.0,61.0,3.0,79.0,8.0,9.0,4.0,,1.0,2.0,126.0,,15.0,109.0,603.0,5.0,3.0,5.0,,13.0,329.0,26.0,5.0,8.0,2.0,3.0,2.0,15.0,408.0,43.0,551226,,230.0,,7.0,,1.0,251.0,4.0,2.0,1.0,3.0,59.0,,2.0,8.0,10.0,,1.0,59.0,346.0,12.0,10.0,34.0,2.0,62.0,,1.0,0.0,1.0,6.0,4.0,0.0,1.0,1.0,,49.9,14.0,,5.0,,8.0,3.0,31.0,5.0,,431.0,13.0,6.0,8.0,2.0,15.0,,191.0,5.0,5.0,12.0,48.0,19.0,8.0,13.0,4.0,3.0,5.0,18.0,1.0,1.0,5.0,1.0,8.0,,5.0,1.0,3.0,,7.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,35.12,104472.81,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0284,4.709,0.173042,0.1253,,,,,,,,
