gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,attOboxBlocked,attSvLowCentre,attOboxTarget,attSvHighRight,interceptionsInBox,attMissHighLeft,accurateFreekickCross,attSetpiece,attHdMiss,attGoalLowCentre,accuratePullBack,postScoringAtt,attMissLeft,attIboxPost,attMissHighRight,attPostLeft,hitWoodwork,fastestPlayer_topSpeed,totalDistance,attRfGoal,totalPullBack,attCmissHigh,goalAssistIntentional,effectiveBlockedCross,blockedCross,attGoalHighRight,attSvHighLeft,shieldBallOop,attSvHighCentre,attHdGoal,ptsDroppedWinningPos,errorLeadToGoal,errorLeadToShot,attGoalHighLeft,clearanceOffLine,attFreekickTotal,freekickTotal,goalAssistSetplay,goalAssistDeadball,shotFastbreak,attOneOnOne,penaltyWon,totalFastbreak,midfielderGoals,contentiousDecision,subsGoals,sixYardBlock,defenderGoals,attPenGoal,attFastbreak,attFreekickMiss,attOboxGoal,ptsGainedLosingPos,attGoalHighCentre,handBall,cleanSheet,goalsConcededObox,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdLeft,goalFastbreak,attPostHigh,attLgCentre,attCmissLeft,expectedGoalsFreekick,attObxdRight,attCmissHighRight,attHdPost,attCmissHighLeft,attOboxPost,attPenTarget
11,2444570,2024-11-09 15:00:00,"Gtech Community Stadium, Brentford",16993,Home,Brentford,Bournemouth,3,2,W,1,1,0,0,1.0,2.0,49.0,,3.0,,4.0,,14.0,41.0,2.0,3.0,10.0,1.0,,2.0,165.0,5.0,4.0,3.0,3.0,9.0,,6.0,78.0,159.0,67.0,12.0,18.0,1.0,,2.0,2.0,23.0,6.0,41.0,4.0,10.0,27.0,,149.0,0.0,112.0,8.0,1.0,1.0,3.0,1.0,50.0,57.0,7.0,63.0,,19.0,15.0,2.0,8.0,,159.0,1.0,11.0,107.0,613.0,7.0,8.0,29.0,,6.0,289.0,24.0,7.0,21.0,2.0,2.0,2.0,7.0,2.0,,19.0,384.0,47.0,1.0,628204,8.0,169.0,,8.0,203.0,5.0,5.0,9.0,48.0,,1.0,,2.0,2.0,19.0,4.0,8.0,2.0,53.0,313.0,15.0,6.0,,33.0,2.0,59.0,,1.0,0.0,,4.0,1.0,3.0,2.0,3.0,0.0,5.0,3.0,51.5,13.0,1.0,,2.0,4.0,29.0,6.0,1.0,413.0,6.0,11.0,9.0,2.0,41.0,,2.0,233.0,6.0,10.0,37.0,70.0,19.0,3.0,,21.0,11.0,2.0,6.0,4.0,9.0,,5.0,6.0,,2.0,2.0,,2.0,,1.0,2.0,1.0,,,,,,,,,,,2.0,,,2.0,2.0,2.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,
12,2444583,2024-11-23 15:00:00,"Goodison Park, Liverpool",38915,Away,Brentford,Everton,0,0,D,0,0,1,0,1.0,,46.0,,,2.0,1.0,,19.0,32.0,4.0,1.0,5.0,5.0,,1.0,135.0,2.0,5.0,,1.0,8.0,,2.0,102.0,115.0,48.0,9.0,15.0,1.0,2.0,,,11.0,11.0,32.0,2.0,1.0,22.0,,75.0,0.0,77.0,10.0,1.0,,1.0,2.0,23.0,28.0,5.0,33.0,,9.0,12.0,4.0,3.0,1.0,115.0,2.0,16.0,72.0,516.0,8.0,9.0,15.0,,3.0,252.0,19.0,3.0,17.0,,,0.0,9.0,3.0,,12.0,310.0,45.0,1.0,628204,,198.0,2.0,5.0,218.0,5.0,8.0,14.0,46.0,,2.0,3.0,1.0,,16.0,11.0,11.0,,46.0,271.0,7.0,10.0,,12.0,,50.0,1.0,1.0,0.0,,10.0,3.0,,,5.0,1.0,2.0,1.0,40.7,8.0,1.0,2.0,1.0,3.0,27.0,4.0,2.0,342.0,3.0,8.0,9.0,4.0,21.0,,3.0,135.0,7.0,1.0,18.0,41.0,11.0,,,17.0,18.0,,6.0,3.0,9.0,,8.0,4.0,2.0,1.0,1.0,,,,,,1.0,,,,2.0,,2.0,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
13,2444590,2024-11-30 15:00:00,"Gtech Community Stadium, Brentford",17084,Home,Brentford,Leicester City,4,1,W,3,1,0,0,,4.0,54.0,1.0,3.0,1.0,3.0,,19.0,27.0,3.0,3.0,10.0,2.0,2.0,1.0,179.0,2.0,16.0,4.0,3.0,10.0,,6.0,148.0,135.0,65.0,13.0,17.0,1.0,1.0,,3.0,20.0,8.0,27.0,3.0,12.0,33.0,,276.0,0.0,209.0,9.0,1.0,,1.0,1.0,71.0,94.0,8.0,92.0,,17.0,15.0,3.0,9.0,1.0,135.0,3.0,3.0,157.0,780.0,7.0,2.0,30.0,1.0,9.0,472.0,17.0,4.0,11.0,3.0,,1.0,3.0,2.0,,27.0,557.0,74.0,3.0,628204,8.0,215.0,,7.0,236.0,2.0,7.0,5.0,47.0,,4.0,1.0,3.0,4.0,9.0,4.0,5.0,3.0,39.0,489.0,10.0,7.0,,13.0,,53.0,1.0,1.0,0.0,2.0,4.0,1.0,4.0,1.0,,0.0,2.0,2.0,59.9,24.0,11.0,,3.0,4.0,32.0,5.0,1.0,576.0,9.0,8.0,18.0,3.0,42.0,,2.0,360.0,8.0,11.0,19.0,164.0,20.0,1.0,,11.0,20.0,1.0,9.0,5.0,23.0,,7.0,5.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,2.0,1.0,,3.0,3.0,3.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,2.0,,,3.0,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,
14,2444602,2024-12-04 20:15:00,"Villa Park, Birmingham",37890,Away,Brentford,Aston Villa,1,3,L,0,3,0,0,,1.0,44.0,,,,2.0,,29.0,19.0,2.0,2.0,7.0,7.0,,,128.0,3.0,5.0,1.0,2.0,7.0,,1.0,108.0,113.0,46.0,9.0,12.0,,1.0,2.0,,21.0,7.0,19.0,5.0,8.0,34.0,,183.0,0.0,143.0,15.0,3.0,,1.0,3.0,80.0,38.0,4.0,68.0,,16.0,11.0,2.0,7.0,,113.0,,16.0,98.0,580.0,6.0,9.0,25.0,,8.0,326.0,16.0,4.0,12.0,,2.0,2.0,4.0,3.0,,15.0,384.0,48.0,2.0,628204,4.0,162.0,,8.0,172.0,5.0,5.0,5.0,51.0,,3.0,1.0,3.0,1.0,13.0,4.0,5.0,3.0,44.0,342.0,11.0,9.0,1.0,11.0,2.0,45.0,,1.0,0.0,1.0,10.0,7.0,1.0,3.0,4.0,0.0,2.0,3.0,50.8,12.0,7.0,,4.0,4.0,31.0,5.0,3.0,402.0,8.0,8.0,16.0,4.0,37.0,1.0,4.0,251.0,4.0,8.0,17.0,107.0,13.0,,,12.0,14.0,2.0,7.0,4.0,13.0,,5.0,5.0,2.0,,,,1.0,,,,2.0,,,,1.0,,,,,,,1.0,,1.0,,3.0,3.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
15,2444611,2024-12-07 15:00:00,"Gtech Community Stadium, Brentford",17078,Home,Brentford,Newcastle United,4,2,W,2,2,0,0,2.0,2.0,61.0,,2.0,1.0,1.0,,27.0,29.0,2.0,6.0,8.0,2.0,2.0,2.0,162.0,1.0,9.0,4.0,1.0,8.0,,8.0,80.0,127.0,49.0,11.0,9.0,2.0,1.0,,2.0,15.0,15.0,29.0,2.0,18.0,39.0,,183.0,0.0,131.0,10.0,1.0,,1.0,1.0,51.0,63.0,6.0,71.0,,13.0,14.0,3.0,4.0,1.0,127.0,2.0,10.0,82.0,569.0,5.0,9.0,26.0,,4.0,298.0,18.0,7.0,12.0,3.0,,3.0,2.0,2.0,,12.0,369.0,65.0,2.0,628204,6.0,135.0,1.0,8.0,152.0,7.0,7.0,11.0,45.0,,3.0,3.0,2.0,3.0,16.0,6.0,10.0,1.0,55.0,317.0,6.0,14.0,,18.0,,62.0,1.0,1.0,0.0,3.0,4.0,,4.0,2.0,5.0,0.0,1.0,,43.8,11.0,7.0,1.0,2.0,1.0,38.0,3.0,1.0,395.0,4.0,5.0,20.0,2.0,28.0,,1.0,258.0,5.0,14.0,11.0,89.0,28.0,1.0,,12.0,24.0,2.0,9.0,4.0,16.0,,7.0,3.0,,2.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,2.0,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
16,2444623,2024-12-15 19:00:00,"Stamford Bridge, London",39751,Away,Brentford,Chelsea,1,2,L,0,1,0,1,,1.0,53.0,1.0,,2.0,2.0,,20.0,37.0,2.0,2.0,7.0,6.0,1.0,3.0,142.0,3.0,4.0,1.0,,7.0,,4.0,69.0,130.0,49.0,9.0,20.0,2.0,,,1.0,18.0,12.0,37.0,5.0,5.0,30.0,,96.0,0.0,83.0,7.0,,,1.0,,20.0,39.0,5.0,42.0,1.0,13.0,17.0,2.0,7.0,,130.0,4.0,20.0,74.0,515.0,5.0,7.0,17.0,,6.0,231.0,23.0,3.0,17.0,1.0,,2.0,8.0,2.0,,11.0,300.0,46.0,2.0,628204,3.0,157.0,3.0,5.0,183.0,2.0,9.0,12.0,47.0,,4.0,3.0,2.0,1.0,15.0,6.0,12.0,1.0,52.0,250.0,9.0,5.0,1.0,25.0,2.0,55.0,,2.0,0.0,,8.0,4.0,,2.0,1.0,0.0,2.0,1.0,38.3,8.0,5.0,1.0,4.0,2.0,30.0,5.0,1.0,327.0,6.0,8.0,18.0,3.0,33.0,1.0,2.0,162.0,6.0,4.0,19.0,48.0,20.0,1.0,,17.0,17.0,2.0,7.0,5.0,11.0,,9.0,5.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,2.0,2.0,,,,1.0,,,,1.0,,,,,,,1.0,2.0,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,
17,2444631,2024-12-21 15:00:00,"Gtech Community Stadium, Brentford",17115,Home,Brentford,Nottingham Forest,0,2,L,0,1,0,0,1.0,,51.0,,,1.0,2.0,,26.0,18.0,,1.0,7.0,4.0,,2.0,159.0,5.0,11.0,,4.0,4.0,,3.0,140.0,158.0,59.0,7.0,20.0,3.0,1.0,,,38.0,11.0,18.0,8.0,9.0,40.0,,247.0,0.0,193.0,10.0,2.0,2.0,4.0,,90.0,60.0,3.0,94.0,,30.0,14.0,,12.0,,158.0,1.0,6.0,139.0,735.0,3.0,2.0,37.0,,13.0,429.0,18.0,4.0,9.0,,,3.0,1.0,1.0,,14.0,509.0,72.0,,513418,6.0,210.0,1.0,14.0,217.0,6.0,2.0,6.0,54.0,,4.0,1.0,4.0,,19.0,4.0,6.0,1.0,44.0,452.0,14.0,4.0,1.0,11.0,4.0,65.0,,1.0,0.0,2.0,5.0,3.0,,2.0,,0.0,3.0,3.0,64.4,11.0,5.0,,4.0,2.0,45.0,9.0,,532.0,13.0,10.0,20.0,2.0,52.0,2.0,2.0,353.0,3.0,8.0,17.0,137.0,24.0,,,9.0,17.0,2.0,3.0,4.0,21.0,,2.0,9.0,,1.0,,,,,,,1.0,,,,1.0,,,,,33.16,107023.34,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,2444642,2024-12-27 19:30:00,"American Express Stadium, Falmer",31548,Away,Brentford,Brighton and Hove Albion,0,0,D,0,0,0,0,1.0,,61.0,,,3.0,2.0,,23.0,32.0,1.0,2.0,7.0,8.0,,2.0,155.0,2.0,6.0,,,7.0,,3.0,75.0,135.0,41.0,8.0,19.0,3.0,1.0,,,9.0,12.0,32.0,2.0,3.0,28.0,,113.0,0.0,92.0,12.0,4.0,2.0,,3.0,55.0,38.0,5.0,57.0,,7.0,12.0,1.0,3.0,,135.0,1.0,15.0,70.0,542.0,6.0,9.0,17.0,,11.0,253.0,23.0,12.0,16.0,,,2.0,5.0,2.0,,17.0,332.0,41.0,,628204,3.0,156.0,1.0,4.0,180.0,6.0,6.0,14.0,56.0,,1.0,5.0,5.0,,12.0,9.0,5.0,1.0,66.0,267.0,6.0,8.0,1.0,36.0,2.0,67.0,,1.0,0.0,,5.0,4.0,,,4.0,0.0,1.0,1.0,41.9,13.0,3.0,2.0,5.0,3.0,27.0,3.0,3.0,357.0,11.0,6.0,13.0,2.0,16.0,1.0,2.0,186.0,5.0,2.0,11.0,61.0,22.0,,,16.0,18.0,,6.0,3.0,17.0,,6.0,3.0,1.0,,,,2.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
19,2444651,2025-01-01 17:30:00,"Gtech Community Stadium, Brentford",17190,Home,Brentford,Arsenal,1,3,L,1,1,0,0,,,45.0,,1.0,1.0,1.0,,37.0,27.0,,1.0,4.0,1.0,1.0,1.0,162.0,2.0,4.0,1.0,1.0,3.0,,2.0,112.0,126.0,34.0,5.0,19.0,1.0,1.0,1.0,1.0,15.0,7.0,27.0,4.0,8.0,26.0,,163.0,0.0,123.0,6.0,1.0,,1.0,1.0,51.0,65.0,2.0,84.0,1.0,11.0,7.0,1.0,3.0,1.0,126.0,,11.0,127.0,631.0,1.0,12.0,10.0,,6.0,387.0,24.0,5.0,12.0,1.0,1.0,1.0,6.0,1.0,,10.0,460.0,56.0,,628204,1.0,238.0,,7.0,263.0,4.0,4.0,8.0,48.0,,1.0,,1.0,1.0,10.0,3.0,2.0,,77.0,399.0,8.0,8.0,1.0,29.0,1.0,64.0,,1.0,0.0,,3.0,1.0,1.0,3.0,6.0,0.0,1.0,,50.5,9.0,1.0,1.0,1.0,1.0,31.0,4.0,1.0,485.0,6.0,9.0,15.0,2.0,26.0,1.0,1.0,237.0,4.0,8.0,12.0,83.0,16.0,1.0,,12.0,10.0,3.0,4.0,4.0,11.0,,4.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,2.0,,,1.0,1.0,,3.0,,,,1.0,,,,,2.0,,,3.0,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,
20,2444667,2025-01-04 15:00:00,"St. Mary's Stadium, Southampton",31001,Away,Brentford,Southampton,5,0,W,1,0,0,0,1.0,5.0,54.0,,4.0,,2.0,,14.0,17.0,2.0,6.0,18.0,1.0,3.0,5.0,169.0,2.0,5.0,5.0,2.0,16.0,2.0,11.0,100.0,100.0,49.0,20.0,18.0,5.0,3.0,,3.0,11.0,11.0,17.0,2.0,13.0,23.0,,213.0,0.0,172.0,4.0,1.0,,1.0,3.0,37.0,101.0,9.0,92.0,3.0,9.0,12.0,2.0,4.0,1.0,100.0,7.0,3.0,97.0,608.0,12.0,6.0,37.0,,5.0,378.0,23.0,4.0,8.0,3.0,,0.0,2.0,7.0,,10.0,440.0,55.0,1.0,628204,10.0,182.0,6.0,4.0,196.0,3.0,4.0,8.0,49.0,,4.0,2.0,6.0,4.0,7.0,5.0,6.0,,34.0,393.0,9.0,12.0,1.0,19.0,,46.0,3.0,,0.0,,2.0,1.0,5.0,,3.0,0.0,2.0,,49.4,8.0,5.0,1.0,6.0,2.0,26.0,2.0,3.0,458.0,5.0,8.0,14.0,7.0,35.0,,5.0,273.0,13.0,12.0,15.0,136.0,16.0,4.0,,8.0,20.0,,18.0,3.0,12.0,,4.0,2.0,,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,,,2.0,3.0,,3.0,,,,,,1.0,,,,,,,,,,,2.0,3.0,1.0,2.0,,1.0,,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,
21,2444671,2025-01-14 19:30:00,"Gtech Community Stadium, Brentford",17048,Home,Brentford,Manchester City,2,2,D,0,0,0,0,2.0,1.0,42.0,,,2.0,2.0,,26.0,20.0,2.0,4.0,16.0,6.0,1.0,2.0,145.0,5.0,4.0,2.0,2.0,17.0,1.0,6.0,100.0,125.0,34.0,18.0,17.0,3.0,8.0,,2.0,20.0,6.0,20.0,3.0,7.0,24.0,,157.0,0.0,134.0,4.0,4.0,1.0,1.0,,63.0,48.0,8.0,73.0,1.0,17.0,15.0,2.0,6.0,,125.0,4.0,15.0,97.0,578.0,14.0,4.0,41.0,,9.0,321.0,18.0,6.0,10.0,2.0,,0.0,2.0,9.0,,14.0,396.0,53.0,,628204,4.0,183.0,3.0,10.0,199.0,1.0,6.0,12.0,39.0,,,4.0,2.0,2.0,11.0,6.0,7.0,4.0,52.0,335.0,4.0,6.0,1.0,21.0,2.0,50.0,2.0,,0.0,,5.0,4.0,2.0,2.0,1.0,0.0,5.0,2.0,44.7,12.0,4.0,2.0,3.0,3.0,22.0,4.0,,415.0,9.0,7.0,18.0,9.0,27.0,,9.0,236.0,12.0,7.0,16.0,95.0,14.0,1.0,,10.0,10.0,2.0,15.0,3.0,9.0,,6.0,4.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,4.0,,,,,,,,1.0,,2.0,2.0,2.0,1.0,,,,1.0,,,1.0,,,,,,,3.0,,,3.0,1.0,,,,,,3.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,
22,2444681,2025-01-18 15:00:00,"Gtech Community Stadium, Brentford",17215,Home,Brentford,Liverpool,0,2,L,0,0,0,0,5.0,,48.0,,,1.0,,,26.0,35.0,2.0,6.0,9.0,6.0,,,128.0,1.0,8.0,,2.0,9.0,,6.0,90.0,110.0,46.0,11.0,12.0,6.0,2.0,,,9.0,6.0,35.0,2.0,5.0,42.0,,76.0,0.0,64.0,6.0,4.0,1.0,3.0,1.0,34.0,26.0,6.0,42.0,1.0,7.0,17.0,2.0,3.0,1.0,110.0,1.0,28.0,59.0,516.0,8.0,6.0,24.0,1.0,10.0,233.0,29.0,6.0,24.0,,,2.0,14.0,3.0,,11.0,292.0,30.0,,446008,3.0,177.0,2.0,1.0,200.0,4.0,13.0,14.0,35.0,,,6.0,4.0,,13.0,9.0,12.0,2.0,46.0,252.0,13.0,7.0,1.0,17.0,1.0,44.0,,1.0,0.0,5.0,15.0,5.0,,2.0,2.0,0.0,1.0,2.0,38.9,10.0,1.0,3.0,4.0,1.0,26.0,2.0,2.0,319.0,10.0,9.0,30.0,4.0,19.0,,3.0,128.0,3.0,5.0,13.0,36.0,8.0,,,24.0,12.0,2.0,7.0,2.0,9.0,,13.0,2.0,1.0,3.0,,1.0,3.0,,1.0,2.0,1.0,,,,1.0,,,,,33.13,109053.86,,,1.0,,2.0,2.0,,1.0,3.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
23,2444693,2025-01-26 14:00:00,"Selhurst Park, London",25066,Away,Brentford,Crystal Palace,2,1,W,0,0,0,0,,1.0,56.0,,2.0,2.0,1.0,1.733,16.0,45.0,6.0,2.0,6.0,4.0,1.0,3.0,141.0,7.0,10.0,2.0,3.0,9.0,1.0,6.0,90.0,150.0,53.0,12.0,18.0,1.0,1.0,1.0,1.0,18.0,9.0,45.0,5.0,8.0,24.0,1.2957,127.0,0.0,118.0,11.0,,1.0,1.0,2.0,36.0,45.0,5.0,51.0,2.0,13.0,21.0,6.0,4.0,3.0,150.0,,8.0,70.0,552.0,7.0,8.0,33.0,1.0,2.0,240.0,20.0,3.0,23.0,1.0,1.0,2.0,4.0,4.0,0.75396,22.0,331.0,51.0,,446008,5.0,131.0,,8.0,159.0,5.0,4.0,9.0,48.0,,,,3.0,1.0,14.0,8.0,2.0,,59.0,251.0,8.0,4.0,1.0,29.0,3.0,60.0,,,0.0,2.0,4.0,2.0,2.0,1.0,3.0,0.0,4.0,4.0,52.7,15.0,8.0,,3.0,1.0,28.0,7.0,2.0,352.0,2.0,5.0,13.0,5.0,32.0,3.0,2.0,211.0,6.0,5.0,19.0,71.0,20.0,,,23.0,16.0,1.0,7.0,3.0,20.0,1.2604,4.0,7.0,,1.0,3.0,1.0,,,,,2.0,,1.0,,3.0,,,,,33.64,102877.67,,1.0,,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,0.0468,,,,,,
24,2444702,2025-02-02 14:00:00,"Gtech Community Stadium, Brentford",17154,Home,Brentford,Tottenham Hotspur,0,2,L,0,1,0,0,1.0,,54.0,,,1.0,4.0,0.7759,29.0,11.0,5.0,6.0,14.0,1.0,,2.0,176.0,12.0,10.0,,3.0,11.0,,4.0,113.0,156.0,64.0,20.0,16.0,4.0,3.0,,,38.0,17.0,11.0,8.0,4.0,34.0,0.4443,232.0,0.0,176.0,4.0,1.0,1.0,3.0,,70.0,100.0,6.0,78.0,1.0,30.0,21.0,6.0,13.0,4.0,156.0,2.0,9.0,108.0,694.0,10.0,10.0,49.0,1.0,6.0,371.0,22.0,7.0,4.0,,,0.0,6.0,5.0,1.06211,17.0,455.0,61.0,,513418,7.0,169.0,2.0,14.0,190.0,2.0,10.0,7.0,52.0,1.0,,,4.0,,19.0,5.0,5.0,3.0,48.0,389.0,11.0,10.0,1.0,20.0,2.0,61.0,1.0,,0.0,,3.0,,,2.0,5.0,0.0,10.0,5.0,53.9,14.0,7.0,2.0,4.0,6.0,40.0,10.0,,475.0,6.0,12.0,17.0,10.0,50.0,2.0,5.0,323.0,9.0,4.0,19.0,133.0,20.0,,1.0,4.0,24.0,2.0,13.0,3.0,20.0,2.0592,10.0,10.0,2.0,1.0,,,1.0,1.0,,1.0,3.0,,,1.0,2.0,1.0,2.0,,1.0,32.9,109071.15,,2.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,0.0434,1.0,1.0,,,,
25,2444719,2025-02-15 15:00:00,"London Stadium, London",62467,Away,Brentford,West Ham United,1,0,W,1,0,0,0,1.0,1.0,52.0,1.0,,1.0,3.0,1.9657,25.0,29.0,4.0,5.0,10.0,3.0,1.0,2.0,162.0,4.0,4.0,1.0,1.0,9.0,,5.0,66.0,130.0,54.0,14.0,16.0,4.0,1.0,1.0,,16.0,9.0,29.0,2.0,7.0,29.0,0.2958,151.0,0.0,128.0,13.0,1.0,1.0,,3.0,51.0,52.0,6.0,67.0,1.0,14.0,15.0,4.0,5.0,3.0,130.0,1.0,6.0,67.0,550.0,9.0,4.0,34.0,1.0,5.0,271.0,16.0,7.0,18.0,,1.0,1.0,6.0,3.0,1.11169,12.0,342.0,56.0,2.0,513418,7.0,135.0,1.0,9.0,158.0,8.0,8.0,6.0,60.0,,2.0,4.0,5.0,1.0,10.0,7.0,3.0,,55.0,282.0,10.0,10.0,,22.0,,50.0,2.0,,0.0,2.0,9.0,2.0,1.0,,,0.0,4.0,2.0,41.5,11.0,6.0,1.0,5.0,4.0,30.0,2.0,3.0,362.0,5.0,14.0,13.0,5.0,32.0,,1.0,220.0,7.0,7.0,21.0,89.0,23.0,,,18.0,19.0,,12.0,5.0,11.0,1.6587,8.0,2.0,1.0,,,,,,,,,,,1.0,3.0,1.0,,1.0,1.0,34.19,109297.17,,,,,2.0,2.0,,1.0,1.0,,,,,,,,1.0,1.0,,,2.0,,,2.0,1.0,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,0.1871,,,,,,
26,2444726,2025-02-21 20:00:00,"King Power Stadium, Leicester",31077,Away,Brentford,Leicester City,4,0,W,3,0,0,0,,2.0,46.0,3.0,,,4.0,2.4308,34.0,34.0,2.0,3.0,12.0,3.0,2.0,1.0,162.0,9.0,9.0,4.0,4.0,12.0,,6.0,112.0,108.0,50.0,14.0,10.0,2.0,2.0,,2.0,20.0,9.0,34.0,3.0,7.0,35.0,0.3505,195.0,0.0,141.0,10.0,,,3.0,1.0,87.0,52.0,10.0,63.0,,17.0,11.0,2.0,2.0,1.0,108.0,3.0,5.0,88.0,598.0,9.0,3.0,35.0,1.0,9.0,340.0,16.0,4.0,15.0,3.0,,0.0,2.0,2.0,1.70692,12.0,405.0,61.0,2.0,513418,6.0,173.0,1.0,12.0,183.0,4.0,4.0,8.0,34.0,,2.0,1.0,1.0,3.0,13.0,3.0,8.0,,52.0,359.0,10.0,5.0,,11.0,2.0,53.0,1.0,,0.0,3.0,5.0,3.0,4.0,,1.0,0.0,9.0,4.0,52.2,10.0,5.0,,2.0,5.0,35.0,6.0,1.0,425.0,9.0,7.0,19.0,3.0,33.0,,1.0,262.0,7.0,7.0,22.0,99.0,21.0,1.0,,15.0,10.0,,10.0,5.0,13.0,1.5158,4.0,6.0,1.0,,,,3.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,33.75,108231.86,1.0,,,3.0,4.0,4.0,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,2.0,2.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,
