gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,attSvHighLeft,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,savedObox,attRfTarget,shotFastbreak,attSvLowCentre,totalFastbreak,sixYardBlock,totalThroughBall,attCorner,attFastbreak,attCmissLeft,punches,effectiveBlockedCross,errorLeadToGoal,blockedCross,bigChanceScored,goalAssistSetplay,attCmissRight,postScoringAtt,goalAssistOpenplay,attIboxPost,attOboxTarget,attMissHighRight,bigChanceCreated,attPostLeft,attHdPost,hitWoodwork,goalAssist,accurateThroughBall,fastestPlayer_topSpeed,bigChanceMissed,totalDistance,totalPullBack,goalAssistIntentional,attSvHighCentre,forwardGoals,ptsDroppedWinningPos,goalAssistDeadball,attOneOnOne,attPostHigh,shieldBallOop,clearanceOffLine,attFreekickTotal,attSvLowLeft,freekickTotal,attHdTarget,attMissHighLeft,attObxRight,ptsGainedLosingPos,penaltySave,cleanSheet,expectedGoalsFreekick,penaltyConceded,penaltyFaced,attFreekickMiss,handBall,accuratePullBack,attFreekickTarget,attOboxPost,attSvLowRight,attCmissHighRight,attSvHighRight,attCmissHighLeft,penaltyWon,secondYellow,goalFastbreak,attPostRight
11,2444578,2024-11-09 15:00:00,"London Stadium, London",62463.0,Away,Everton,West Ham United,0,0,D,0,0,0,0,,,46.0,,,2.0,,25.0,16.0,7.0,6.0,11.0,6.0,,170.0,,10.0,10.0,,2.0,13.0,4.0,112.0,162.0,58.0,18.0,4.0,18.0,4.0,,1.0,3.0,27.0,8.0,,16.0,5.0,8.0,33.0,,190.0,,0.0,146.0,9.0,,5.0,,,2.0,1.0,60.0,64.0,8.0,70.0,,3.0,22.0,21.0,7.0,,,8.0,3.0,162.0,,7.0,,98.0,666.0,12.0,4.0,26.0,8.0,331.0,19.0,5.0,9.0,1.0,2.0,4.0,5.0,,32.0,433.0,78.0,,1.0,80801,8.0,161.0,12.0,,196.0,7.0,,7.0,5.0,47.0,,,,1.0,5.0,,18.0,4.0,4.0,1.0,,62.0,341.0,10.0,7.0,1.0,30.0,60.0,,,,0.0,,7.0,5.0,,,,0.0,8.0,4.0,50.7,28.0,1.0,3.0,2.0,5.0,6.0,28.0,6.0,1.0,450.0,8.0,4.0,15.0,8.0,40.0,2.0,5.0,281.0,6.0,7.0,18.0,93.0,18.0,9.0,20.0,,,15.0,2.0,19.0,,7.0,6.0,1.0,1.0,2.0,,2.0,1.0,2.0,3.0,2.0,,,2.0,,2.0,,,,,,,,1.0,,,,,,1.0,,,,2.0,,2.0,,,,,,4.0,,,,,3.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,
12,2444583,2024-11-23 15:00:00,"Goodison Park, Liverpool",38915.0,Home,Everton,Brentford,0,0,D,0,0,0,1,,1.0,47.0,,,5.0,,27.0,23.0,11.0,7.0,16.0,2.0,,149.0,,13.0,10.0,,3.0,22.0,5.0,123.0,124.0,46.0,27.0,5.0,18.0,3.0,2.0,1.0,3.0,43.0,5.0,,23.0,7.0,7.0,28.0,,298.0,,0.0,217.0,8.0,,1.0,1.0,,1.0,,74.0,85.0,11.0,73.0,,5.0,36.0,14.0,11.0,,,22.0,4.0,124.0,,5.0,,120.0,680.0,22.0,1.0,40.0,3.0,387.0,10.0,3.0,16.0,1.0,0.0,3.0,11.0,,15.0,445.0,72.0,,,80801,12.0,120.0,13.0,1.0,128.0,5.0,,4.0,4.0,48.0,,,,3.0,7.0,,12.0,4.0,4.0,2.0,,46.0,405.0,9.0,5.0,,11.0,51.0,,,,0.0,1.0,4.0,1.0,,,,0.0,11.0,5.0,59.3,15.0,4.0,6.0,2.0,7.0,10.0,32.0,10.0,,465.0,3.0,13.0,12.0,12.0,52.0,2.0,8.0,380.0,15.0,7.0,15.0,176.0,22.0,16.0,12.0,,,22.0,2.0,15.0,,4.0,10.0,1.0,3.0,1.0,,1.0,,,4.0,1.0,,,,,,,,1.0,,,,2.0,2.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,2.0,2.0,,,,,,
13,2444595,2024-12-01 13:30:00,"Old Trafford, Manchester",73817.0,Away,Everton,Manchester United,0,4,L,0,2,0,0,,,43.0,,,1.0,,21.0,8.0,4.0,1.0,4.0,1.0,,129.0,,2.0,9.0,,4.0,5.0,2.0,110.0,102.0,50.0,8.0,2.0,9.0,1.0,2.0,1.0,1.0,13.0,10.0,,8.0,2.0,14.0,23.0,,161.0,,0.0,92.0,12.0,,,,,,,45.0,57.0,3.0,68.0,,1.0,11.0,16.0,4.0,,,3.0,1.0,102.0,,9.0,,105.0,562.0,5.0,2.0,13.0,5.0,339.0,11.0,3.0,4.0,1.0,3.0,4.0,2.0,,11.0,390.0,50.0,,1.0,80801,2.0,197.0,8.0,1.0,204.0,6.0,,10.0,3.0,46.0,,,,2.0,4.0,,12.0,2.0,2.0,,,43.0,356.0,12.0,9.0,,11.0,68.0,,,,0.0,4.0,2.0,,,4.0,1.0,0.0,2.0,1.0,40.1,10.0,,3.0,,4.0,3.0,49.0,2.0,,412.0,5.0,8.0,12.0,3.0,20.0,,2.0,221.0,6.0,14.0,10.0,56.0,23.0,4.0,19.0,,4.0,4.0,5.0,17.0,,10.0,2.0,1.0,1.0,,,,,3.0,1.0,,,,,2.0,,,,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,
14,2444603,2024-12-04 19:30:00,"Goodison Park, Liverpool",38820.0,Home,Everton,Wolverhampton Wanderers,4,0,W,2,0,0,0,,1.0,53.0,1.0,1.0,1.0,,34.0,29.0,5.0,6.0,8.0,2.0,,130.0,,1.0,11.0,4.0,4.0,7.0,4.0,88.0,128.0,47.0,13.0,3.0,11.0,2.0,1.0,3.0,1.0,10.0,11.0,,29.0,3.0,4.0,24.0,,153.0,1.0,0.0,128.0,10.0,,2.0,,1.0,1.0,,57.0,66.0,5.0,70.0,1.0,1.0,7.0,15.0,5.0,,,4.0,1.0,128.0,1.0,2.0,,78.0,570.0,6.0,5.0,16.0,13.0,283.0,18.0,8.0,11.0,3.0,2.0,2.0,2.0,,21.0,352.0,61.0,,,80801,6.0,140.0,2.0,2.0,154.0,8.0,2.0,7.0,9.0,60.0,1.0,,1.0,4.0,6.0,,8.0,4.0,6.0,2.0,,63.0,292.0,8.0,10.0,1.0,20.0,65.0,,,1.0,0.0,,4.0,1.0,3.0,,1.0,0.0,,1.0,43.8,18.0,,5.0,1.0,6.0,4.0,34.0,3.0,,366.0,13.0,16.0,11.0,5.0,23.0,1.0,4.0,222.0,6.0,3.0,9.0,87.0,22.0,11.0,20.0,,,9.0,4.0,25.0,,7.0,3.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,2.0,,2.0,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,2.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
16,2444621,2024-12-14 15:00:00,"Emirates Stadium, London",60176.0,Away,Everton,Arsenal,0,0,D,0,0,0,0,,,52.0,,,1.0,,13.0,39.0,1.0,2.0,1.0,5.0,,88.0,,1.0,10.0,,,1.0,,46.0,110.0,53.0,2.0,1.0,15.0,,,1.0,,8.0,20.0,,39.0,2.0,,17.0,,58.0,,0.0,55.0,9.0,,2.0,,,,3.0,17.0,32.0,1.0,26.0,1.0,,6.0,3.0,1.0,,,3.0,,110.0,,11.0,,49.0,397.0,1.0,1.0,8.0,7.0,140.0,28.0,6.0,15.0,1.0,3.0,5.0,,,17.0,188.0,38.0,,,177815,,92.0,3.0,,108.0,4.0,,1.0,6.0,54.0,,,,3.0,2.0,,15.0,2.0,4.0,,,48.0,149.0,5.0,13.0,,24.0,46.0,,,,0.0,,8.0,5.0,,,,0.0,,,23.4,10.0,,3.0,1.0,2.0,2.0,14.0,2.0,3.0,209.0,7.0,11.0,7.0,,11.0,1.0,,109.0,,,9.0,25.0,11.0,15.0,29.0,,,2.0,2.0,17.0,,1.0,2.0,,,1.0,,1.0,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,32.43,,110907.06,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
17,2444633,2024-12-22 14:00:00,"Goodison Park, Liverpool",39308.0,Home,Everton,Chelsea,0,0,D,0,0,0,0,,2.0,39.0,,,1.0,,20.0,21.0,3.0,2.0,2.0,4.0,,93.0,,1.0,5.0,,2.0,2.0,4.0,33.0,101.0,55.0,5.0,,9.0,1.0,,,,9.0,11.0,,21.0,2.0,3.0,19.0,,72.0,,0.0,67.0,20.0,,2.0,1.0,,1.0,,29.0,32.0,2.0,40.0,,,7.0,9.0,3.0,,,2.0,,101.0,,6.0,,43.0,377.0,2.0,2.0,7.0,10.0,139.0,14.0,6.0,9.0,,4.0,5.0,,,7.0,185.0,42.0,,,224967,1.0,81.0,4.0,,89.0,12.0,,4.0,11.0,68.0,,,,2.0,4.0,,10.0,6.0,6.0,,,55.0,152.0,11.0,17.0,,26.0,59.0,,,,0.0,,5.0,3.0,,,1.0,0.0,1.0,,25.0,6.0,,1.0,,4.0,1.0,24.0,2.0,,209.0,10.0,12.0,11.0,,12.0,,,129.0,3.0,3.0,9.0,37.0,14.0,9.0,30.0,,,4.0,3.0,16.0,,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,2.0,,2.0,,,,,,,3.0,,1.0,,,,,,31.79,2.0,104155.84,,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,
18,2444645,2024-12-26 12:30:00,"Etihad Stadium, Manchester",52527.0,Away,Everton,Manchester City,1,1,D,1,1,0,0,,,48.0,,,2.0,,27.0,35.0,3.0,1.0,5.0,4.0,,122.0,,6.0,7.0,1.0,,6.0,3.0,74.0,103.0,38.0,8.0,,9.0,1.0,1.0,1.0,1.0,16.0,14.0,1.0,35.0,5.0,3.0,27.0,,106.0,,0.0,78.0,10.0,,1.0,,,,1.0,36.0,39.0,3.0,55.0,1.0,,11.0,10.0,3.0,,,5.0,2.0,103.0,,16.0,,67.0,504.0,4.0,3.0,15.0,7.0,244.0,26.0,5.0,14.0,1.0,4.0,10.0,3.0,,11.0,297.0,55.0,,,440323,1.0,159.0,6.0,,173.0,6.0,1.0,3.0,10.0,48.0,,,,2.0,7.0,1.0,14.0,8.0,9.0,1.0,,58.0,259.0,5.0,13.0,2.0,23.0,55.0,,,,0.0,,8.0,3.0,1.0,1.0,,0.0,3.0,2.0,33.7,9.0,1.0,2.0,1.0,7.0,2.0,29.0,5.0,2.0,318.0,7.0,7.0,12.0,3.0,15.0,3.0,1.0,161.0,5.0,2.0,9.0,44.0,9.0,14.0,17.0,,1.0,5.0,3.0,16.0,,3.0,5.0,1.0,1.0,1.0,,1.0,,,3.0,1.0,,,2.0,,2.0,1.0,,,,,,1.0,1.0,,,,,,,33.58,,111230.29,1.0,,2.0,1.0,,,,,1.0,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,
19,2444653,2024-12-29 15:00:00,"Goodison Park, Liverpool",39352.0,Home,Everton,Nottingham Forest,0,2,L,0,1,0,0,,,55.0,,,1.0,,34.0,17.0,4.0,3.0,9.0,5.0,,180.0,,8.0,12.0,,2.0,11.0,2.0,123.0,166.0,64.0,13.0,1.0,22.0,2.0,,,2.0,34.0,12.0,,17.0,3.0,9.0,42.0,,259.0,,0.0,191.0,13.0,,1.0,,,1.0,1.0,84.0,88.0,2.0,69.0,,3.0,31.0,15.0,4.0,,,19.0,3.0,166.0,,7.0,,112.0,704.0,10.0,3.0,28.0,6.0,376.0,26.0,11.0,10.0,,4.0,,9.0,,36.0,463.0,101.0,,,18892,7.0,140.0,11.0,,163.0,8.0,,6.0,4.0,57.0,,,,1.0,9.0,,23.0,4.0,4.0,3.0,,72.0,391.0,10.0,4.0,1.0,30.0,82.0,,,,0.0,1.0,4.0,4.0,,2.0,1.0,0.0,7.0,6.0,63.7,32.0,4.0,2.0,1.0,9.0,2.0,45.0,5.0,1.0,484.0,6.0,10.0,20.0,9.0,50.0,1.0,6.0,355.0,4.0,8.0,27.0,143.0,16.0,10.0,16.0,,2.0,10.0,4.0,20.0,,6.0,5.0,1.0,,,1.0,,,1.0,1.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,32.1,,108194.75,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,
20,2444660,2025-01-04 15:00:00,"Vitality Stadium, Bournemouth",,Away,Everton,Bournemouth,0,1,L,0,0,0,0,,,58.0,,,,,29.0,31.0,4.0,3.0,5.0,7.0,,151.0,,1.0,13.0,,3.0,6.0,,56.0,166.0,55.0,9.0,,25.0,,,2.0,1.0,13.0,10.0,,31.0,3.0,8.0,20.0,,144.0,,0.0,141.0,14.0,,3.0,,,2.0,,47.0,71.0,,56.0,3.0,3.0,10.0,13.0,4.0,,,3.0,4.0,166.0,,12.0,,60.0,549.0,6.0,5.0,16.0,13.0,199.0,20.0,15.0,14.0,2.0,2.0,4.0,6.0,,29.0,295.0,64.0,,1.0,80801,3.0,74.0,5.0,,93.0,11.0,,6.0,7.0,61.0,,,,,6.0,,19.0,7.0,4.0,3.0,,81.0,217.0,14.0,7.0,,53.0,78.0,,,,0.0,,9.0,5.0,,1.0,3.0,0.0,1.0,1.0,41.7,15.0,1.0,4.0,1.0,6.0,,30.0,3.0,,323.0,13.0,10.0,9.0,9.0,29.0,,5.0,243.0,5.0,6.0,12.0,85.0,21.0,14.0,16.0,,1.0,6.0,4.0,18.0,,6.0,3.0,2.0,,,,,,,1.0,,1.0,2.0,3.0,,3.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,
21,2444672,2025-01-15 19:30:00,"Goodison Park, Liverpool",39085.0,Home,Everton,Aston Villa,0,1,L,0,0,0,0,,,47.0,,,1.0,,30.0,23.0,3.0,2.0,7.0,2.0,,124.0,,4.0,1.0,,1.0,6.0,3.0,115.0,147.0,46.0,10.0,,19.0,3.0,,1.0,1.0,20.0,9.0,,23.0,8.0,5.0,30.0,,169.0,,0.0,114.0,17.0,,2.0,1.0,,2.0,1.0,60.0,63.0,3.0,60.0,1.0,4.0,12.0,16.0,3.0,,,4.0,3.0,147.0,,6.0,,118.0,621.0,5.0,7.0,15.0,10.0,321.0,19.0,5.0,15.0,1.0,2.0,4.0,3.0,,20.0,397.0,69.0,1.0,2.0,18892,5.0,171.0,6.0,1.0,190.0,10.0,,7.0,6.0,64.0,,,,5.0,5.0,,20.0,5.0,5.0,1.0,,54.0,336.0,10.0,6.0,1.0,19.0,48.0,,,,0.0,,5.0,1.0,,1.0,1.0,0.0,3.0,1.0,49.7,18.0,1.0,3.0,1.0,6.0,1.0,26.0,8.0,1.0,417.0,10.0,15.0,15.0,6.0,28.0,1.0,3.0,247.0,7.0,4.0,16.0,69.0,15.0,15.0,19.0,,1.0,6.0,3.0,8.0,,7.0,8.0,1.0,3.0,,1.0,,,1.0,3.0,,,,,1.0,,,,,,,,,,3.0,,,,,1.0,31.99,3.0,105376.88,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
22,2444683,2025-01-19 14:00:00,"Goodison Park, Liverpool",39326.0,Home,Everton,Tottenham Hotspur,3,2,W,3,0,0,0,,,43.0,1.0,,1.0,,31.0,34.0,3.0,3.0,9.0,3.0,1.0,127.0,,5.0,12.0,3.0,4.0,11.0,6.0,67.0,110.0,65.0,12.0,1.0,15.0,3.0,,,1.0,19.0,19.0,,34.0,3.0,14.0,25.0,,140.0,,0.0,119.0,14.0,,2.0,1.0,1.0,4.0,1.0,40.0,61.0,7.0,67.0,6.0,2.0,16.0,26.0,3.0,,,2.0,1.0,110.0,,7.0,,65.0,549.0,7.0,7.0,25.0,12.0,251.0,17.0,9.0,16.0,,2.0,4.0,4.0,,16.0,303.0,51.0,2.0,,80801,8.0,134.0,10.0,1.0,147.0,9.0,1.0,18.0,7.0,61.0,,,,2.0,3.0,2.0,13.0,4.0,6.0,1.0,,53.0,269.0,14.0,13.0,2.0,22.0,46.0,1.0,,,0.0,,8.0,4.0,3.0,2.0,2.0,0.0,5.0,4.0,35.4,12.0,2.0,5.0,,3.0,2.0,27.0,3.0,1.0,326.0,12.0,8.0,16.0,4.0,26.0,,3.0,198.0,5.0,13.0,18.0,90.0,16.0,16.0,23.0,,2.0,9.0,3.0,24.0,,18.0,3.0,,2.0,2.0,1.0,2.0,,,2.0,2.0,1.0,,4.0,,4.0,2.0,,,,2.0,,1.0,,5.0,,,1.0,2.0,,,3.0,,,1.0,1.0,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,
23,2444692,2025-01-25 15:00:00,"American Express Stadium, Falmer",31567.0,Away,Everton,Brighton and Hove Albion,1,0,W,1,0,0,0,,,42.0,1.0,,,,24.0,55.0,1.0,1.0,2.0,1.0,,128.0,,,5.0,1.0,2.0,1.0,1.0,60.0,126.0,61.0,3.0,,20.0,,,,2.0,4.0,15.0,,55.0,1.0,4.0,19.0,,73.0,,0.0,52.0,11.0,,,,1.0,1.0,1.0,30.0,24.0,,42.0,1.0,,3.0,10.0,1.0,,,2.0,1.0,126.0,1.0,9.0,,68.0,497.0,1.0,2.0,7.0,11.0,213.0,27.0,7.0,28.0,,4.0,4.0,1.0,,16.0,272.0,38.0,,,486385,1.0,151.0,,,177.0,4.0,1.0,4.0,14.0,62.0,,,,1.0,1.0,,15.0,7.0,6.0,,1.0,62.0,224.0,7.0,8.0,,27.0,60.0,,,,0.0,2.0,9.0,1.0,1.0,,1.0,0.0,,,31.1,9.0,,1.0,1.0,1.0,,24.0,1.0,2.0,298.0,11.0,13.0,10.0,2.0,8.0,,1.0,125.0,2.0,4.0,25.0,27.0,9.0,28.0,26.0,,,1.0,4.0,15.0,,4.0,1.0,,,,,,,,1.0,,1.0,1.0,2.0,,2.0,1.0,,,,,,,,,,,,,,34.29,,111858.74,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,
24,2444704,2025-02-01 15:00:00,"Goodison Park, Liverpool",39376.0,Home,Everton,Leicester City,4,0,W,3,0,0,0,,2.0,49.0,2.0,1.0,1.0,2.5057,31.0,30.0,2.0,2.0,11.0,1.0,,156.0,1.0,4.0,9.0,4.0,1.0,11.0,7.0,108.0,128.0,51.0,13.0,1.0,13.0,2.0,,1.0,,13.0,8.0,,30.0,5.0,11.0,39.0,0.0552,133.0,,0.0,100.0,7.0,,,,2.0,2.0,1.0,43.0,41.0,7.0,68.0,,1.0,8.0,14.0,2.0,,,3.0,,128.0,,5.0,,111.0,628.0,6.0,4.0,33.0,4.0,341.0,20.0,2.0,19.0,1.0,0.0,6.0,4.0,1.49737,24.0,423.0,49.0,1.0,1.0,486385,7.0,230.0,3.0,,256.0,5.0,4.0,4.0,7.0,38.0,1.0,,,3.0,3.0,4.0,11.0,4.0,7.0,2.0,,56.0,359.0,13.0,4.0,2.0,9.0,63.0,,,,0.0,1.0,6.0,1.0,4.0,,1.0,0.0,2.0,2.0,47.0,19.0,2.0,4.0,2.0,3.0,2.0,35.0,5.0,1.0,443.0,4.0,10.0,24.0,4.0,31.0,2.0,4.0,200.0,9.0,10.0,17.0,63.0,21.0,19.0,13.0,,,11.0,4.0,14.0,2.4642,4.0,5.0,,1.0,,2.0,,1.0,5.0,2.0,,,,4.0,,4.0,4.0,,1.0,,3.0,,1.0,1.0,6.0,,,1.0,3.0,3.0,34.18,3.0,112115.91,2.0,2.0,,2.0,,,1.0,,6.0,,,1.0,,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,
24,2444613,2025-02-12 19:30:00,"Goodison Park, Liverpool",39280.0,Home,Everton,Liverpool,2,2,D,1,1,1,1,,,51.0,,,1.0,1.1961,33.0,43.0,3.0,2.0,7.0,2.0,,142.0,1.0,3.0,4.0,2.0,3.0,9.0,3.0,56.0,153.0,62.0,10.0,1.0,22.0,,,,,16.0,13.0,1.0,43.0,2.0,3.0,33.0,1.5555,102.0,,0.0,114.0,9.0,,2.0,,,2.0,,52.0,29.0,4.0,42.0,1.0,3.0,14.0,12.0,3.0,,,3.0,1.0,153.0,,4.0,,67.0,526.0,7.0,8.0,15.0,8.0,198.0,26.0,12.0,21.0,,2.0,2.0,5.0,0.357379,19.0,279.0,66.0,,,480455,4.0,116.0,9.0,2.0,135.0,2.0,2.0,5.0,2.0,57.0,,,1.0,3.0,3.0,1.0,20.0,2.0,1.0,1.0,,71.0,215.0,19.0,8.0,,37.0,74.0,,,,0.0,2.0,3.0,,2.0,2.0,1.0,1.0,3.0,2.0,36.8,14.0,2.0,4.0,3.0,3.0,2.0,37.0,2.0,,307.0,8.0,8.0,18.0,5.0,28.0,,4.0,188.0,6.0,3.0,20.0,65.0,13.0,21.0,19.0,,2.0,8.0,4.0,14.0,0.9542,5.0,2.0,2.0,1.0,2.0,,2.0,,1.0,,2.0,,,,,,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,2.0,1.0,32.62,,114530.71,,2.0,,1.0,2.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,
25,2444712,2025-02-15 17:30:00,"Selhurst Park, London",25108.0,Away,Everton,Crystal Palace,2,1,W,1,0,0,0,,1.0,52.0,,1.0,1.0,1.3034,31.0,48.0,5.0,3.0,6.0,5.0,,158.0,1.0,3.0,9.0,2.0,2.0,9.0,6.0,58.0,162.0,70.0,11.0,3.0,22.0,3.0,2.0,2.0,,17.0,6.0,,48.0,2.0,11.0,50.0,1.782,132.0,,0.0,114.0,12.0,,3.0,,1.0,1.0,2.0,39.0,64.0,8.0,55.0,,,15.0,16.0,5.0,,,5.0,1.0,162.0,,9.0,,97.0,591.0,8.0,8.0,18.0,11.0,249.0,14.0,2.0,33.0,2.0,1.0,5.0,1.0,0.510553,19.0,344.0,64.0,,1.0,463903,3.0,135.0,9.0,2.0,154.0,5.0,2.0,7.0,8.0,61.0,,,,1.0,6.0,1.0,19.0,8.0,7.0,1.0,,67.0,264.0,9.0,10.0,,14.0,75.0,,,,0.0,1.0,6.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,41.9,13.0,,5.0,,6.0,4.0,34.0,2.0,2.0,368.0,11.0,9.0,21.0,1.0,27.0,,,231.0,7.0,9.0,32.0,63.0,21.0,33.0,20.0,,1.0,8.0,2.0,17.0,0.9637,7.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,,1.0,,1.0,,2.0,,,,1.0,,34.73,1.0,112587.95,1.0,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,
26,2444723,2025-02-22 12:30:00,"Goodison Park, Liverpool",39290.0,Home,Everton,Manchester United,2,2,D,2,0,0,0,1.0,,51.0,,,1.0,1.6128,25.0,35.0,1.0,2.0,8.0,1.0,1.0,132.0,1.0,8.0,6.0,2.0,,7.0,8.0,62.0,130.0,59.0,9.0,,20.0,5.0,,,,23.0,18.0,,35.0,6.0,5.0,36.0,0.2623,131.0,,0.0,109.0,12.0,,,,1.0,2.0,1.0,38.0,65.0,7.0,52.0,1.0,,17.0,11.0,1.0,1.0,,7.0,,130.0,1.0,4.0,,67.0,506.0,5.0,3.0,23.0,9.0,217.0,13.0,5.0,15.0,,4.0,3.0,,0.90909,13.0,294.0,56.0,1.0,,480455,7.0,108.0,8.0,,121.0,5.0,,5.0,5.0,61.0,,,,1.0,5.0,1.0,5.0,5.0,3.0,,,54.0,231.0,9.0,7.0,1.0,17.0,62.0,,,,0.0,2.0,9.0,,2.0,2.0,1.0,0.0,6.0,4.0,37.9,12.0,,7.0,,5.0,1.0,34.0,7.0,1.0,313.0,9.0,12.0,15.0,,32.0,2.0,,215.0,3.0,4.0,20.0,63.0,21.0,15.0,24.0,1.0,1.0,7.0,3.0,18.0,1.9078,5.0,7.0,1.0,3.0,2.0,5.0,2.0,,,2.0,2.0,,,,,,1.0,1.0,,,,,1.0,,4.0,,,,1.0,,35.85,3.0,113849.8,,1.0,,1.0,2.0,,,,,,,,,3.0,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,
