gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,attCmissHighRight,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attLfTotal,attRfTarget,fouledFinalThird,attBxRight,accurateKeeperSweeper,attOboxTarget,attSvLowLeft,attMissRight,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,errorLeadToShot,totalPullBack,attCmissHigh,attGoalHighLeft,attSvLowRight,accurateFlickOn,accurateCrossNocorner,shieldBallOop,attHdMiss,forwardGoals,attHdGoal,attLfTarget,attGoalLowRight,accuratePullBack,attMissLeft,attSvHighRight,goodHighClaim,penaltyConceded,defenderGoals,penaltyFaced,totalHighClaim,penGoalsConceded,ptsDroppedWinningPos,attCmissRight,cleanSheet,attSvHighLeft,accurateThroughBall,punches,attGoalHighRight,attOboxGoal,ptsGainedLosingPos,midfielderGoals,attCmissLeft,attFreekickTotal,freekickTotal,attGoalHighCentre,secondYellow,clearanceOffLine,postScoringAtt,attIboxPost,attPostLeft,attObxdRight,hitWoodwork,sixYardBlock,attSvHighCentre,attLfGoal,attGoalLowCentre,errorLeadToGoal,attPostHigh,penaltyWon,contentiousDecision,attPenGoal,attCmissHighLeft,attPostRight,handBall,goalAssistSetplay,goalAssistDeadball,attObpGoal,ownGoals,attFreekickTarget,attIboxOwnGoal,attLgCentre,attFreekickMiss,attLgLeft,attObxLeft,attHdPost,attOboxPost
11,2367645,2023-11-05 14:00:00,"The City Ground, Nottingham",29313,Home,Nottingham Forest,Aston Villa,2,0,W,1,0,0,0,,,53.0,1.0,,19.0,34.0,3.0,2.0,3.0,108.0,,2.0,2.0,4.0,3.0,44.0,107.0,49.0,5.0,,11.0,1.0,,2.0,1.0,,4.0,18.0,34.0,,3.0,15.0,,47.0,1.0,0.0,48.0,6.0,2.0,,2.0,27.0,22.0,2.0,29.0,1.0,4.0,13.0,3.0,,1.0,107.0,,11.0,,59.0,408.0,2.0,4.0,13.0,,8.0,157.0,33.0,3.0,16.0,2.0,1.0,4.0,2.0,7.0,217.0,30.0,90585,2.0,125.0,1.0,2.0,,150.0,4.0,2.0,6.0,14.0,39.0,1.0,9.0,6.0,2.0,10.0,2.0,8.0,,54.0,172.0,9.0,12.0,,21.0,,53.0,,0.0,1.0,10.0,3.0,,,,0.0,,,26.5,2.0,,,6.0,,19.0,,240.0,8.0,8.0,5.0,2.0,10.0,,1.0,94.0,5.0,3.0,8.0,24.0,13.0,3.0,16.0,30.0,,5.0,4.0,4.0,3.0,6.0,,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,3.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,2.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2367656,2023-11-12 14:00:00,"London Stadium, London",62470,Away,Nottingham Forest,West Ham United,2,3,L,1,1,0,0,1.0,1.0,51.0,,,19.0,26.0,2.0,8.0,3.0,165.0,8.0,1.0,2.0,8.0,5.0,104.0,130.0,45.0,10.0,1.0,17.0,2.0,2.0,1.0,,,17.0,8.0,26.0,4.0,6.0,22.0,,176.0,1.0,0.0,100.0,12.0,1.0,2.0,2.0,54.0,62.0,7.0,71.0,,13.0,18.0,2.0,6.0,,130.0,2.0,8.0,,98.0,629.0,7.0,9.0,19.0,1.0,8.0,339.0,22.0,5.0,11.0,1.0,2.0,6.0,1.0,20.0,417.0,57.0,90585,6.0,188.0,2.0,5.0,1.0,211.0,6.0,2.0,10.0,7.0,52.0,1.0,,7.0,2.0,10.0,8.0,6.0,,49.0,356.0,8.0,4.0,,26.0,,61.0,2.0,0.0,2.0,9.0,3.0,2.0,3.0,,0.0,1.0,2.0,45.7,13.0,,,8.0,3.0,38.0,4.0,438.0,8.0,12.0,9.0,2.0,31.0,1.0,2.0,244.0,5.0,5.0,19.0,62.0,17.0,5.0,11.0,17.0,2.0,9.0,5.0,8.0,5.0,10.0,4.0,2.0,3.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,7.0,1.0,,2.0,,1.0,1.0,,,1.0,2.0,,,,2.0,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
13,2367665,2023-11-25 15:00:00,"The City Ground, Nottingham",29404,Home,Nottingham Forest,Brighton and Hove Albion,2,3,L,1,2,0,1,,2.0,53.0,1.0,,24.0,10.0,4.0,14.0,2.0,160.0,13.0,5.0,2.0,14.0,5.0,104.0,131.0,43.0,18.0,2.0,15.0,2.0,1.0,1.0,3.0,1.0,35.0,6.0,10.0,6.0,3.0,36.0,,212.0,1.0,0.0,153.0,12.0,1.0,2.0,2.0,79.0,57.0,9.0,83.0,1.0,29.0,19.0,4.0,11.0,1.0,131.0,3.0,6.0,,118.0,636.0,9.0,6.0,44.0,2.0,12.0,365.0,20.0,4.0,7.0,1.0,2.0,2.0,5.0,15.0,449.0,42.0,90585,14.0,180.0,2.0,16.0,2.0,196.0,5.0,1.0,8.0,7.0,44.0,1.0,,2.0,1.0,8.0,4.0,6.0,,47.0,379.0,7.0,4.0,4.0,15.0,3.0,59.0,1.0,0.0,1.0,4.0,2.0,2.0,3.0,1.0,0.0,1.0,8.0,46.7,14.0,5.0,,2.0,8.0,37.0,6.0,465.0,12.0,5.0,19.0,5.0,51.0,4.0,4.0,304.0,5.0,3.0,18.0,109.0,24.0,1.0,7.0,13.0,3.0,12.0,4.0,13.0,1.0,8.0,6.0,6.0,4.0,,3.0,,,1.0,,2.0,,,2.0,,2.0,,,,2.0,9.0,,2.0,,1.0,1.0,,,2.0,,,1.0,,1.0,,1.0,3.0,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
14,2367676,2023-12-02 17:30:00,"The City Ground, Nottingham",29404,Home,Nottingham Forest,Everton,0,1,L,0,0,0,0,,,77.0,,1.0,36.0,43.0,4.0,9.0,1.0,196.0,4.0,7.0,,9.0,2.0,151.0,180.0,64.0,13.0,3.0,27.0,1.0,,,1.0,,27.0,14.0,43.0,4.0,14.0,48.0,,189.0,,0.0,138.0,15.0,,,3.0,61.0,62.0,5.0,87.0,,23.0,22.0,4.0,3.0,,180.0,,5.0,,158.0,837.0,7.0,2.0,24.0,1.0,10.0,466.0,40.0,3.0,27.0,,1.0,5.0,4.0,17.0,569.0,59.0,90585,3.0,299.0,,17.0,,339.0,7.0,,12.0,8.0,60.0,,1.0,2.0,,24.0,7.0,6.0,,81.0,484.0,13.0,3.0,2.0,24.0,6.0,68.0,,0.0,3.0,3.0,1.0,,1.0,,0.0,,2.0,61.6,12.0,5.0,2.0,2.0,6.0,35.0,4.0,592.0,10.0,6.0,19.0,5.0,34.0,2.0,4.0,280.0,5.0,12.0,23.0,96.0,28.0,2.0,27.0,21.0,1.0,7.0,3.0,17.0,2.0,12.0,4.0,3.0,6.0,,3.0,1.0,,1.0,,3.0,1.0,,,,1.0,,,,1.0,2.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
15,2367682,2023-12-06 19:30:00,"Craven Cottage, London",24105,Away,Nottingham Forest,Fulham,0,5,L,0,2,0,0,,,45.0,,,25.0,19.0,1.0,3.0,1.0,144.0,2.0,5.0,,2.0,1.0,96.0,126.0,34.0,4.0,,16.0,1.0,,,1.0,,6.0,8.0,19.0,1.0,6.0,26.0,,149.0,,0.0,89.0,10.0,1.0,,1.0,48.0,57.0,,72.0,2.0,5.0,14.0,1.0,1.0,1.0,126.0,,9.0,,89.0,560.0,2.0,4.0,9.0,,6.0,313.0,17.0,3.0,6.0,,1.0,4.0,2.0,21.0,379.0,52.0,60689,1.0,183.0,,3.0,,197.0,10.0,,4.0,8.0,53.0,3.0,3.0,3.0,,18.0,5.0,4.0,1.0,55.0,330.0,7.0,5.0,,19.0,,74.0,,0.0,1.0,6.0,1.0,,5.0,,0.0,,,36.3,14.0,1.0,1.0,3.0,,46.0,1.0,401.0,6.0,8.0,16.0,3.0,12.0,,2.0,210.0,2.0,4.0,9.0,56.0,23.0,1.0,6.0,13.0,5.0,3.0,5.0,19.0,1.0,4.0,1.0,,2.0,,1.0,,,,,2.0,,,,,,1.0,,,4.0,2.0,1.0,,,,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2367697,2023-12-09 15:00:00,"Molineux Stadium, Wolverhampton",31543,Away,Nottingham Forest,Wolverhampton Wanderers,1,1,D,1,1,0,0,,,53.0,,1.0,21.0,21.0,2.0,6.0,3.0,133.0,3.0,6.0,1.0,6.0,2.0,65.0,142.0,59.0,8.0,,12.0,,,1.0,1.0,,11.0,15.0,21.0,3.0,4.0,20.0,1.0,81.0,,0.0,88.0,11.0,2.0,,,32.0,49.0,3.0,48.0,1.0,8.0,20.0,2.0,3.0,1.0,142.0,1.0,7.0,,61.0,483.0,3.0,9.0,17.0,,11.0,198.0,31.0,7.0,9.0,1.0,1.0,2.0,3.0,17.0,286.0,53.0,90585,3.0,132.0,2.0,5.0,,155.0,10.0,,13.0,6.0,43.0,3.0,1.0,5.0,1.0,20.0,3.0,3.0,2.0,62.0,210.0,9.0,11.0,2.0,34.0,1.0,57.0,,0.0,,4.0,2.0,1.0,1.0,,0.0,1.0,4.0,31.9,10.0,6.0,1.0,5.0,2.0,22.0,3.0,307.0,11.0,4.0,7.0,4.0,23.0,,3.0,163.0,3.0,2.0,23.0,47.0,10.0,3.0,9.0,21.0,1.0,5.0,3.0,11.0,3.0,13.0,3.0,2.0,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,1.0,3.0,2.0,2.0,,1.0,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2367706,2023-12-15 20:00:00,"The City Ground, Nottingham",29296,Home,Nottingham Forest,Tottenham Hotspur,0,2,L,0,1,0,1,,,57.0,,,20.0,15.0,5.0,10.0,4.0,101.0,3.0,4.0,,10.0,1.0,58.0,130.0,56.0,15.0,3.0,18.0,1.0,,,,,25.0,19.0,15.0,5.0,2.0,20.0,,86.0,,0.0,88.0,16.0,2.0,,4.0,24.0,31.0,4.0,25.0,1.0,20.0,16.0,5.0,6.0,2.0,130.0,2.0,11.0,,60.0,444.0,8.0,12.0,27.0,1.0,5.0,163.0,28.0,4.0,8.0,,2.0,4.0,6.0,20.0,225.0,42.0,90585,6.0,96.0,2.0,10.0,1.0,118.0,16.0,,9.0,6.0,60.0,,5.0,6.0,,8.0,1.0,6.0,1.0,43.0,179.0,10.0,8.0,2.0,18.0,4.0,44.0,,0.0,,4.0,4.0,,2.0,,0.0,,2.0,32.7,9.0,10.0,,6.0,6.0,24.0,6.0,244.0,5.0,10.0,9.0,8.0,42.0,2.0,5.0,151.0,5.0,2.0,13.0,54.0,11.0,2.0,8.0,29.0,2.0,7.0,3.0,13.0,2.0,9.0,6.0,3.0,8.0,,5.0,1.0,,,,,3.0,,,,,,,1.0,3.0,1.0,,1.0,,,,,,3.0,,2.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,2.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,
18,2367714,2023-12-23 15:00:00,"The City Ground, Nottingham",29188,Home,Nottingham Forest,Bournemouth,2,3,L,0,0,1,0,,1.0,55.0,1.0,1.0,26.0,30.0,1.0,10.0,3.0,130.0,4.0,11.0,2.0,9.0,5.0,41.0,146.0,75.0,11.0,1.0,17.0,3.0,,1.0,,,16.0,15.0,30.0,5.0,6.0,18.0,,92.0,,0.0,92.0,10.0,1.0,,,30.0,60.0,8.0,29.0,1.0,11.0,23.0,1.0,2.0,,146.0,1.0,13.0,,56.0,470.0,7.0,15.0,23.0,,3.0,138.0,22.0,8.0,15.0,2.0,0.0,5.0,1.0,17.0,225.0,44.0,90585,5.0,74.0,,9.0,,93.0,7.0,,9.0,8.0,49.0,1.0,,4.0,1.0,16.0,5.0,6.0,,56.0,162.0,10.0,8.0,,26.0,6.0,57.0,,0.0,3.0,6.0,3.0,2.0,3.0,,1.0,2.0,3.0,33.1,11.0,1.0,4.0,4.0,5.0,30.0,6.0,256.0,3.0,7.0,7.0,1.0,24.0,1.0,1.0,179.0,6.0,5.0,28.0,44.0,16.0,1.0,15.0,26.0,3.0,5.0,4.0,19.0,1.0,9.0,6.0,4.0,2.0,2.0,,1.0,,,2.0,,,,,,,,,1.0,5.0,3.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,3.0,,,,3.0,,3.0,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
19,2367726,2023-12-26 12:30:00,"St. James' Park, Newcastle",52207,Away,Nottingham Forest,Newcastle United,3,1,W,1,1,0,0,,3.0,46.0,1.0,,29.0,44.0,5.0,10.0,5.0,129.0,2.0,13.0,3.0,11.0,6.0,68.0,106.0,54.0,15.0,3.0,9.0,3.0,3.0,3.0,1.0,2.0,9.0,11.0,44.0,1.0,1.0,39.0,,95.0,1.0,0.0,73.0,11.0,2.0,5.0,1.0,23.0,54.0,8.0,55.0,2.0,8.0,17.0,5.0,2.0,2.0,106.0,5.0,16.0,,74.0,546.0,8.0,10.0,21.0,,11.0,239.0,25.0,4.0,20.0,3.0,3.0,7.0,3.0,18.0,299.0,39.0,60689,4.0,167.0,2.0,5.0,,190.0,9.0,,8.0,14.0,45.0,1.0,1.0,7.0,3.0,14.0,3.0,12.0,,55.0,260.0,10.0,13.0,,13.0,1.0,53.0,3.0,0.0,1.0,10.0,6.0,3.0,1.0,,0.0,3.0,1.0,38.0,13.0,1.0,2.0,7.0,3.0,31.0,2.0,326.0,11.0,5.0,20.0,6.0,17.0,,4.0,145.0,4.0,1.0,12.0,47.0,12.0,4.0,20.0,21.0,1.0,13.0,5.0,20.0,4.0,8.0,2.0,,10.0,2.0,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,5.0,2.0,1.0,1.0,3.0,,1.0,1.0,,4.0,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,3.0,,2.0,,,,,1.0,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
20,2367734,2023-12-30 17:30:00,"The City Ground, Nottingham",29529,Home,Nottingham Forest,Manchester United,2,1,W,0,0,0,0,,1.0,62.0,1.0,2.0,25.0,25.0,4.0,4.0,4.0,141.0,2.0,4.0,2.0,6.0,2.0,91.0,136.0,51.0,8.0,1.0,9.0,,1.0,2.0,,1.0,17.0,17.0,25.0,3.0,1.0,25.0,,145.0,,0.0,110.0,9.0,1.0,2.0,3.0,46.0,58.0,3.0,72.0,,14.0,19.0,4.0,3.0,2.0,136.0,1.0,6.0,,93.0,590.0,3.0,9.0,17.0,,5.0,293.0,28.0,7.0,5.0,2.0,2.0,2.0,3.0,9.0,371.0,53.0,90585,3.0,167.0,,8.0,,198.0,8.0,2.0,12.0,6.0,42.0,1.0,1.0,4.0,2.0,15.0,4.0,5.0,1.0,59.0,310.0,11.0,11.0,1.0,28.0,2.0,52.0,1.0,0.0,,5.0,2.0,1.0,1.0,,0.0,2.0,1.0,45.2,5.0,5.0,1.0,4.0,3.0,25.0,4.0,397.0,5.0,5.0,17.0,3.0,25.0,1.0,1.0,216.0,5.0,1.0,10.0,70.0,18.0,4.0,5.0,26.0,1.0,5.0,5.0,13.0,4.0,12.0,4.0,2.0,2.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,3.0,1.0,,1.0,,,,1.0,,1.0,,3.0,,,,4.0,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,2367740,2024-01-20 17:30:00,"Gtech Community Stadium, Brentford",17077,Away,Nottingham Forest,Brentford,2,3,L,1,1,0,0,1.0,1.0,55.0,,1.0,26.0,25.0,6.0,6.0,2.0,161.0,4.0,13.0,2.0,9.0,3.0,111.0,154.0,49.0,12.0,2.0,18.0,,1.0,1.0,,,20.0,9.0,25.0,4.0,12.0,34.0,,274.0,1.0,0.0,186.0,14.0,,1.0,1.0,105.0,73.0,4.0,87.0,,16.0,24.0,6.0,7.0,2.0,154.0,2.0,8.0,,137.0,690.0,8.0,10.0,21.0,,9.0,384.0,21.0,7.0,9.0,1.0,3.0,3.0,5.0,16.0,474.0,68.0,60689,5.0,130.0,1.0,8.0,,160.0,14.0,1.0,11.0,5.0,53.0,,2.0,1.0,2.0,13.0,3.0,5.0,,58.0,400.0,10.0,6.0,,31.0,,64.0,1.0,0.0,3.0,6.0,1.0,1.0,3.0,,0.0,1.0,1.0,52.0,9.0,1.0,,2.0,4.0,37.0,4.0,496.0,9.0,8.0,19.0,5.0,32.0,1.0,3.0,356.0,8.0,9.0,14.0,148.0,27.0,1.0,9.0,13.0,2.0,12.0,2.0,21.0,1.0,11.0,4.0,2.0,3.0,1.0,,,,1.0,,1.0,,,,,1.0,,,,3.0,3.0,1.0,,1.0,1.0,,2.0,1.0,3.0,,1.0,,,,1.0,,3.0,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
22,2367752,2024-01-30 19:30:00,"The City Ground, Nottingham",29387,Home,Nottingham Forest,Arsenal,1,2,L,0,0,0,0,,1.0,37.0,,,16.0,45.0,4.0,5.0,2.0,105.0,3.0,5.0,1.0,5.0,3.0,55.0,111.0,47.0,9.0,3.0,19.0,2.0,1.0,1.0,,,13.0,7.0,45.0,2.0,2.0,14.0,,74.0,,0.0,49.0,6.0,1.0,1.0,2.0,40.0,20.0,3.0,49.0,8.0,11.0,11.0,4.0,1.0,1.0,111.0,1.0,12.0,1.0,59.0,462.0,4.0,7.0,15.0,1.0,15.0,179.0,21.0,3.0,25.0,1.0,0.0,9.0,2.0,16.0,245.0,29.0,60689,5.0,124.0,,8.0,1.0,150.0,5.0,,7.0,10.0,46.0,,1.0,3.0,1.0,8.0,7.0,7.0,1.0,52.0,195.0,7.0,7.0,,31.0,3.0,44.0,1.0,0.0,1.0,11.0,1.0,1.0,2.0,,0.0,1.0,3.0,26.6,14.0,2.0,,3.0,3.0,19.0,2.0,268.0,15.0,10.0,9.0,3.0,18.0,,2.0,131.0,4.0,2.0,20.0,27.0,9.0,3.0,25.0,15.0,2.0,5.0,4.0,11.0,3.0,7.0,2.0,,2.0,1.0,1.0,,,,2.0,2.0,,,1.0,,,,,,2.0,3.0,,2.0,,,,1.0,,,,4.0,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,
23,2367758,2024-02-04 14:00:00,"Vitality Stadium, Bournemouth",11200,Away,Nottingham Forest,Bournemouth,1,1,D,1,1,0,1,,,58.0,,,17.0,28.0,5.0,3.0,,165.0,1.0,5.0,1.0,6.0,6.0,96.0,147.0,77.0,8.0,,15.0,3.0,1.0,,3.0,,20.0,18.0,28.0,5.0,6.0,23.0,,156.0,,0.0,120.0,12.0,,1.0,2.0,54.0,60.0,5.0,64.0,,15.0,27.0,5.0,5.0,2.0,147.0,,4.0,,102.0,634.0,6.0,9.0,14.0,,6.0,309.0,35.0,6.0,13.0,,2.0,7.0,1.0,16.0,402.0,44.0,85633,1.0,174.0,,8.0,2.0,220.0,12.0,1.0,15.0,4.0,52.0,,1.0,3.0,,8.0,5.0,3.0,1.0,48.0,329.0,18.0,10.0,,27.0,2.0,51.0,1.0,0.0,,11.0,1.0,,1.0,,0.0,,,55.6,10.0,5.0,1.0,3.0,,22.0,6.0,427.0,6.0,11.0,12.0,2.0,24.0,,,227.0,3.0,6.0,23.0,90.0,14.0,1.0,13.0,31.0,1.0,4.0,4.0,9.0,1.0,15.0,6.0,,5.0,2.0,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,,,1.0,2.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2367774,2024-02-10 17:30:00,"The City Ground, Nottingham",29451,Home,Nottingham Forest,Newcastle United,2,3,L,2,2,0,0,1.0,1.0,60.0,2.0,1.0,15.0,18.0,8.0,5.0,2.0,140.0,1.0,11.0,2.0,9.0,3.0,87.0,141.0,47.0,13.0,4.0,16.0,1.0,2.0,2.0,,1.0,19.0,8.0,18.0,3.0,7.0,27.0,1.0,173.0,2.0,0.0,128.0,9.0,1.0,3.0,1.0,66.0,43.0,6.0,55.0,,16.0,15.0,8.0,4.0,2.0,141.0,2.0,3.0,,83.0,549.0,7.0,5.0,23.0,,2.0,277.0,24.0,3.0,5.0,2.0,1.0,1.0,3.0,21.0,349.0,44.0,85633,2.0,117.0,1.0,11.0,,137.0,9.0,2.0,8.0,5.0,43.0,5.0,3.0,3.0,2.0,18.0,4.0,3.0,,46.0,289.0,5.0,4.0,,17.0,1.0,47.0,2.0,0.0,1.0,4.0,1.0,,3.0,1.0,0.0,2.0,,37.7,10.0,8.0,1.0,3.0,5.0,22.0,4.0,365.0,2.0,8.0,12.0,5.0,40.0,,3.0,247.0,10.0,7.0,11.0,96.0,23.0,1.0,5.0,20.0,2.0,11.0,3.0,17.0,1.0,8.0,4.0,1.0,3.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,3.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
25,2367785,2024-02-17 15:00:00,"The City Ground, Nottingham",29490,Home,Nottingham Forest,West Ham United,2,0,W,1,0,0,1,,2.0,57.0,1.0,1.0,22.0,19.0,6.0,13.0,3.0,148.0,3.0,4.0,2.0,13.0,8.0,99.0,129.0,45.0,19.0,1.0,10.0,4.0,2.0,2.0,4.0,,15.0,6.0,19.0,3.0,4.0,23.0,,173.0,2.0,0.0,121.0,13.0,1.0,2.0,1.0,61.0,58.0,7.0,60.0,,12.0,13.0,6.0,1.0,3.0,129.0,4.0,6.0,,99.0,604.0,10.0,2.0,32.0,1.0,6.0,318.0,27.0,7.0,8.0,2.0,4.0,5.0,6.0,21.0,384.0,49.0,85633,11.0,164.0,2.0,10.0,,193.0,11.0,1.0,6.0,4.0,46.0,2.0,1.0,6.0,2.0,19.0,4.0,3.0,4.0,49.0,334.0,14.0,7.0,1.0,25.0,4.0,54.0,2.0,0.0,,3.0,2.0,2.0,,1.0,0.0,1.0,3.0,48.4,13.0,2.0,,6.0,4.0,30.0,5.0,406.0,6.0,10.0,14.0,7.0,22.0,1.0,4.0,228.0,9.0,3.0,6.0,99.0,22.0,3.0,8.0,21.0,,15.0,3.0,11.0,3.0,6.0,5.0,3.0,7.0,3.0,1.0,1.0,,2.0,,1.0,,,,,,1.0,,,1.0,2.0,,2.0,1.0,,2.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
26,2367790,2024-02-24 15:00:00,"Villa Park, Birmingham",42422,Away,Nottingham Forest,Aston Villa,2,4,L,1,3,0,0,,2.0,46.0,1.0,,14.0,11.0,3.0,7.0,2.0,112.0,2.0,15.0,2.0,7.0,3.0,114.0,98.0,48.0,10.0,,5.0,,1.0,1.0,,,7.0,15.0,11.0,2.0,1.0,19.0,1.0,126.0,2.0,0.0,84.0,16.0,1.0,1.0,1.0,44.0,38.0,3.0,53.0,3.0,5.0,14.0,3.0,2.0,2.0,98.0,4.0,13.0,,93.0,527.0,4.0,1.0,21.0,,7.0,306.0,19.0,,7.0,2.0,2.0,5.0,4.0,14.0,354.0,35.0,85633,3.0,197.0,2.0,2.0,2.0,210.0,14.0,1.0,5.0,6.0,46.0,3.0,2.0,2.0,1.0,18.0,3.0,4.0,,30.0,321.0,7.0,12.0,1.0,9.0,1.0,41.0,1.0,0.0,2.0,7.0,2.0,2.0,4.0,,0.0,2.0,,41.9,7.0,4.0,2.0,2.0,1.0,26.0,2.0,372.0,7.0,11.0,11.0,6.0,21.0,2.0,4.0,169.0,6.0,1.0,3.0,59.0,21.0,,7.0,23.0,4.0,6.0,5.0,17.0,,5.0,2.0,1.0,3.0,1.0,1.0,1.0,,1.0,,,2.0,,,,2.0,,,,1.0,,,,,,,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
