gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,fouledFinalThird,postScoringAtt,attIboxPost,totalCornersIntobox,attOboxMiss,bigChanceCreated,hitWoodwork,attMissHighLeft,bigChanceMissed,totalThroughBall,attMissHigh,attAssistSetplay,attCmissLeft,savedIbox,attPostHigh,goalsConceded,cornerTaken,accurateCornersIntobox,goalsConcededIbox,errorLeadToGoal,wonCorners,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,ontargetScoringAtt,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attOboxGoal,attHdTarget,goalAssist,attSetpiece,attRfGoal,goalsOpenplay,attIboxGoal,goalAssistIntentional,forwardGoals,attLfTarget,attRfTarget,attFreekickTotal,attOboxTarget,attSvLowLeft,freekickTotal,contentiousDecision,accurateThroughBall,attCmissHigh,punches,attFreekickMiss,goalsConcededObox,bigChanceScored,sixYardBlock,foulThrowIn,attSvHighRight,goalAssistSetplay,attObxLeft,accurateKeeperSweeper,attMissHighRight,totalKeeperSweeper,ownGoals,defenderGoals,attSvLowRight,attObxRight,attIboxOwnGoal,attGoalLowCentre,attOneOnOne,midfielderGoals,attBxLeft,ptsDroppedWinningPos,attSvHighLeft,shotFastbreak,attGoalHighRight,totalFastbreak,attFastbreak,penaltySave,goalAssistDeadball,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,ptsGainedLosingPos,attCmissHighRight,attOboxPost,totalPullBack,attHdGoal,attPostRight,clearanceOffLine,accuratePullBack,attSvHighCentre,attPostLeft,penaltyWon,attPenGoal,attObpGoal,attCmissHighLeft
11,919000,2017-11-04 15:00:00,"Liberty Stadium, Swansea",20822,Home,Swansea City,Brighton and Hove Albion,0,1,L,0,1,0,0,,54.0,,6.0,38.0,19.0,1.0,4.0,11.0,1.0,171.0,4.0,11.0,6.0,,107.0,149.0,61.0,12.0,1.0,23.0,2.0,,31.0,7.0,19.0,10.0,24.0,217.0,,0.0,133.0,13.0,,6.0,1.0,46.0,104.0,4.0,70.0,1.0,1.0,23.0,14.0,1.0,9.0,149.0,3.0,120.0,653.0,6.0,5.0,28.0,10.0,369.0,21.0,7.0,11.0,2.0,1.0,2.0,22.0,448.0,72.0,1.0,,97615,4.0,166.0,8.0,179.0,6.0,14.0,7.0,54.0,1.0,1.0,8.0,2.0,2.0,71.0,379.0,11.0,3.0,22.0,93.0,0.0,5.0,7.0,2.0,0.0,3.0,2.0,2.0,56.1,20.0,1.0,4.0,1.0,7.0,62.0,1.0,468.0,10.0,9.0,16.0,3.0,42.0,2.0,320.0,6.0,9.0,27.0,86.0,25.0,2.0,11.0,12.0,7.0,3.0,19.0,2.0,7.0,5.0,1.0,1.0,8.0,,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,8.0,1.0,1.0,,8.0,,,,,2.0,2.0,,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,2.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,919006,2017-11-18 15:00:00,"Turf Moor, Burnley",18895,Away,Swansea City,Burnley,0,2,L,0,2,0,0,2.0,62.0,3.0,2.0,32.0,29.0,6.0,3.0,8.0,6.0,168.0,4.0,15.0,11.0,,113.0,150.0,58.0,14.0,2.0,24.0,2.0,1.0,26.0,9.0,29.0,13.0,18.0,206.0,,0.0,122.0,12.0,3.0,3.0,1.0,53.0,93.0,3.0,71.0,2.0,3.0,21.0,14.0,6.0,7.0,150.0,12.0,119.0,685.0,11.0,7.0,19.0,8.0,362.0,23.0,9.0,10.0,1.0,5.0,8.0,25.0,447.0,67.0,,,97615,4.0,177.0,11.0,203.0,4.0,14.0,6.0,60.0,1.0,8.0,11.0,5.0,3.0,60.0,379.0,11.0,6.0,25.0,79.0,0.0,1.0,8.0,4.0,0.0,4.0,1.0,2.0,60.8,25.0,1.0,2.0,8.0,4.0,52.0,1.0,471.0,8.0,16.0,6.0,9.0,37.0,5.0,294.0,9.0,13.0,22.0,83.0,24.0,6.0,10.0,10.0,10.0,3.0,22.0,6.0,3.0,4.0,,,5.0,4.0,,,1.0,,,3.0,,,2.0,,2.0,6.0,,1.0,,6.0,,,,,1.0,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,919020,2017-11-25 15:00:00,"Liberty Stadium, Swansea",20228,Home,Swansea City,Bournemouth,0,0,D,0,0,0,0,1.0,71.0,1.0,2.0,37.0,25.0,3.0,3.0,7.0,5.0,156.0,2.0,10.0,5.0,1.0,99.0,150.0,50.0,10.0,1.0,17.0,1.0,1.0,18.0,13.0,25.0,12.0,37.0,190.0,1.0,0.0,128.0,18.0,1.0,,,71.0,71.0,2.0,69.0,1.0,1.0,14.0,19.0,3.0,6.0,150.0,5.0,123.0,630.0,5.0,10.0,17.0,15.0,335.0,29.0,10.0,12.0,4.0,2.0,3.0,23.0,425.0,57.0,,,97615,2.0,162.0,8.0,181.0,6.0,19.0,7.0,62.0,3.0,1.0,11.0,4.0,5.0,71.0,350.0,5.0,13.0,30.0,67.0,0.0,,5.0,5.0,0.0,2.0,1.0,,48.2,16.0,,6.0,1.0,3.0,30.0,1.0,447.0,15.0,15.0,13.0,6.0,30.0,3.0,284.0,7.0,10.0,18.0,85.0,28.0,3.0,12.0,17.0,10.0,2.0,11.0,3.0,7.0,,1.0,1.0,4.0,2.0,,1.0,2.0,1.0,1.0,1.0,,1.0,4.0,1.0,,4.0,,,,4.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,919029,2017-11-29 19:45:00,"Stamford Bridge, London",41365,Away,Swansea City,Chelsea,0,1,L,0,0,0,0,1.0,57.0,3.0,,32.0,42.0,2.0,1.0,,9.0,137.0,,4.0,2.0,,95.0,148.0,38.0,2.0,1.0,21.0,,,11.0,10.0,42.0,25.0,24.0,150.0,,0.0,94.0,7.0,6.0,1.0,1.0,45.0,44.0,1.0,83.0,1.0,,10.0,25.0,2.0,1.0,148.0,14.0,89.0,611.0,2.0,5.0,3.0,14.0,300.0,28.0,10.0,26.0,0.0,4.0,1.0,22.0,378.0,53.0,,2.0,97615,,165.0,8.0,194.0,2.0,25.0,10.0,60.0,,1.0,16.0,7.0,5.0,65.0,315.0,10.0,12.0,28.0,74.0,0.0,2.0,15.0,1.0,0.0,,,,38.9,14.0,,1.0,1.0,1.0,47.0,1.0,404.0,14.0,16.0,10.0,1.0,9.0,,221.0,1.0,20.0,9.0,55.0,20.0,4.0,26.0,16.0,2.0,3.0,10.0,4.0,15.0,,,,1.0,1.0,,,,,1.0,,,,6.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,919040,2017-12-02 15:00:00,"bet365 Stadium, Stoke",28261,Away,Swansea City,Stoke City,1,2,L,1,2,0,0,,57.0,,2.0,33.0,21.0,7.0,4.0,3.0,1.0,150.0,3.0,7.0,7.0,,117.0,146.0,61.0,10.0,3.0,25.0,,,31.0,13.0,21.0,9.0,35.0,177.0,,0.0,98.0,10.0,,3.0,2.0,44.0,70.0,5.0,74.0,,,25.0,15.0,7.0,8.0,146.0,6.0,117.0,649.0,5.0,3.0,10.0,5.0,358.0,20.0,3.0,10.0,0.0,1.0,2.0,23.0,436.0,57.0,,,97615,3.0,198.0,14.0,216.0,3.0,15.0,6.0,57.0,,7.0,11.0,4.0,3.0,71.0,372.0,12.0,9.0,22.0,76.0,0.0,2.0,2.0,1.0,0.0,2.0,,,55.9,17.0,,2.0,7.0,5.0,40.0,2.0,458.0,5.0,11.0,15.0,2.0,36.0,,273.0,4.0,9.0,19.0,60.0,27.0,2.0,10.0,24.0,6.0,3.0,9.0,2.0,4.0,3.0,,,6.0,2.0,,,,,,,1.0,,1.0,,2.0,6.0,1.0,2.0,1.0,6.0,1.0,,,1.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,919050,2017-12-09 15:00:00,"Liberty Stadium, Swansea",19580,Home,Swansea City,West Bromwich Albion,1,0,W,0,0,0,0,,51.0,1.0,2.0,31.0,24.0,10.0,3.0,8.0,1.0,172.0,5.0,13.0,11.0,1.0,109.0,157.0,71.0,18.0,5.0,28.0,1.0,2.0,29.0,17.0,24.0,8.0,29.0,209.0,1.0,0.0,131.0,8.0,,2.0,2.0,67.0,71.0,4.0,64.0,3.0,1.0,23.0,11.0,10.0,3.0,157.0,5.0,116.0,675.0,7.0,10.0,21.0,9.0,345.0,20.0,6.0,11.0,2.0,3.0,7.0,25.0,436.0,58.0,,,97615,4.0,161.0,18.0,190.0,3.0,11.0,7.0,55.0,1.0,6.0,14.0,2.0,4.0,63.0,365.0,18.0,6.0,25.0,77.0,0.0,1.0,3.0,2.0,0.0,1.0,,3.0,54.3,19.0,2.0,1.0,6.0,7.0,46.0,2.0,461.0,9.0,14.0,15.0,8.0,41.0,3.0,300.0,11.0,8.0,21.0,96.0,23.0,4.0,11.0,20.0,10.0,3.0,14.0,4.0,1.0,5.0,,,6.0,5.0,1.0,1.0,,1.0,,4.0,4.0,2.0,,,,6.0,4.0,,,6.0,,,,1.0,3.0,2.0,,,,1.0,,2.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,2.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
17,919057,2017-12-13 19:45:00,"Liberty Stadium, Swansea",20870,Home,Swansea City,Manchester City,0,4,L,0,2,0,0,1.0,43.0,3.0,1.0,18.0,18.0,4.0,,3.0,6.0,102.0,3.0,14.0,4.0,,45.0,116.0,42.0,7.0,1.0,11.0,,,8.0,10.0,18.0,5.0,11.0,62.0,,0.0,58.0,12.0,5.0,1.0,1.0,30.0,28.0,4.0,27.0,1.0,1.0,6.0,9.0,4.0,,116.0,17.0,49.0,383.0,3.0,5.0,11.0,12.0,135.0,20.0,4.0,5.0,0.0,3.0,,17.0,193.0,35.0,1.0,1.0,97615,2.0,90.0,5.0,102.0,9.0,9.0,17.0,58.0,2.0,3.0,16.0,6.0,8.0,54.0,149.0,6.0,19.0,25.0,54.0,0.0,1.0,5.0,1.0,0.0,2.0,,2.0,21.5,17.0,1.0,2.0,3.0,2.0,18.0,1.0,223.0,12.0,13.0,6.0,2.0,16.0,1.0,129.0,5.0,5.0,10.0,27.0,12.0,1.0,5.0,12.0,4.0,3.0,18.0,1.0,5.0,1.0,,,2.0,1.0,,,,1.0,,,1.0,,3.0,,4.0,2.0,1.0,3.0,,2.0,,,,,3.0,1.0,,2.0,,1.0,,2.0,,,,,,,2.0,,2.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
18,919067,2017-12-18 20:00:00,"Goodison Park, Liverpool",37580,Away,Swansea City,Everton,1,3,L,1,1,0,0,1.0,60.0,2.0,,25.0,22.0,6.0,5.0,2.0,4.0,159.0,2.0,8.0,5.0,,93.0,149.0,50.0,8.0,1.0,17.0,1.0,2.0,10.0,10.0,22.0,12.0,20.0,164.0,,0.0,116.0,12.0,3.0,1.0,,69.0,73.0,2.0,74.0,1.0,,8.0,15.0,6.0,2.0,149.0,9.0,105.0,603.0,4.0,11.0,7.0,9.0,311.0,32.0,7.0,14.0,3.0,2.0,3.0,29.0,404.0,54.0,,,97615,,170.0,5.0,199.0,8.0,15.0,7.0,53.0,,1.0,17.0,3.0,6.0,59.0,332.0,12.0,9.0,29.0,66.0,0.0,,6.0,3.0,0.0,1.0,1.0,,48.9,21.0,,1.0,1.0,1.0,37.0,,431.0,9.0,8.0,5.0,4.0,14.0,,242.0,3.0,11.0,16.0,71.0,22.0,3.0,14.0,14.0,6.0,3.0,17.0,3.0,6.0,3.0,,,2.0,4.0,1.0,,1.0,,,1.0,,1.0,2.0,,3.0,3.0,1.0,2.0,,3.0,,,1.0,1.0,3.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,,3.0,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,
19,919081,2017-12-23 15:00:00,"Liberty Stadium, Swansea",20354,Home,Swansea City,Crystal Palace,1,1,D,0,0,0,0,,69.0,1.0,,40.0,13.0,5.0,1.0,2.0,4.0,190.0,1.0,20.0,4.0,1.0,151.0,165.0,60.0,7.0,2.0,18.0,1.0,,27.0,11.0,13.0,16.0,21.0,252.0,,0.0,153.0,13.0,2.0,,1.0,113.0,72.0,2.0,97.0,,2.0,21.0,18.0,5.0,4.0,165.0,8.0,156.0,790.0,3.0,4.0,17.0,9.0,487.0,25.0,5.0,8.0,2.0,3.0,2.0,18.0,574.0,67.0,,,97615,,254.0,17.0,272.0,6.0,18.0,5.0,71.0,1.0,6.0,23.0,5.0,5.0,65.0,505.0,11.0,19.0,21.0,81.0,0.0,2.0,3.0,4.0,0.0,,,,64.3,16.0,,2.0,6.0,2.0,50.0,1.0,594.0,9.0,11.0,8.0,3.0,31.0,1.0,349.0,6.0,14.0,11.0,107.0,33.0,,8.0,18.0,7.0,3.0,30.0,,6.0,1.0,,,6.0,2.0,1.0,,,1.0,,,,,3.0,,1.0,6.0,1.0,1.0,,6.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
20,919087,2017-12-26 17:30:00,"Anfield, Liverpool",52850,Away,Swansea City,Liverpool,0,5,L,0,1,0,0,,60.0,1.0,1.0,32.0,21.0,1.0,,6.0,4.0,173.0,4.0,9.0,6.0,,116.0,122.0,39.0,7.0,,8.0,,,9.0,7.0,21.0,21.0,34.0,160.0,,0.0,81.0,8.0,4.0,,1.0,60.0,53.0,4.0,89.0,4.0,2.0,7.0,17.0,1.0,,122.0,14.0,118.0,663.0,5.0,8.0,16.0,13.0,402.0,34.0,8.0,11.0,1.0,6.0,2.0,17.0,467.0,37.0,,2.0,97615,4.0,266.0,7.0,289.0,7.0,17.0,13.0,60.0,,5.0,15.0,8.0,7.0,55.0,422.0,5.0,24.0,16.0,75.0,0.0,4.0,4.0,2.0,0.0,3.0,,3.0,45.0,13.0,1.0,1.0,5.0,1.0,50.0,1.0,496.0,13.0,15.0,22.0,2.0,12.0,2.0,216.0,4.0,20.0,12.0,55.0,16.0,,11.0,13.0,6.0,3.0,14.0,,7.0,,,,2.0,,,,,,,,1.0,,3.0,,5.0,2.0,1.0,4.0,2.0,2.0,,,,,4.0,3.0,,1.0,,2.0,,,,,,,,,2.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,919101,2017-12-30 15:00:00,"Vicarage Road, Watford",20002,Away,Swansea City,Watford,2,1,W,0,1,0,0,,61.0,,,38.0,13.0,5.0,1.0,4.0,3.0,174.0,3.0,13.0,6.0,,101.0,140.0,61.0,9.0,1.0,28.0,,,16.0,12.0,13.0,14.0,32.0,152.0,,0.0,74.0,13.0,1.0,4.0,2.0,50.0,75.0,3.0,81.0,2.0,,12.0,27.0,5.0,3.0,140.0,7.0,122.0,675.0,4.0,9.0,9.0,11.0,375.0,31.0,6.0,6.0,2.0,1.0,3.0,22.0,449.0,54.0,,,97615,3.0,247.0,5.0,269.0,6.0,27.0,8.0,70.0,2.0,3.0,17.0,2.0,4.0,70.0,396.0,13.0,8.0,23.0,82.0,0.0,2.0,1.0,7.0,0.0,2.0,,1.0,48.9,19.0,1.0,3.0,3.0,1.0,48.0,2.0,478.0,11.0,10.0,18.0,4.0,20.0,1.0,225.0,7.0,13.0,16.0,44.0,19.0,1.0,6.0,19.0,6.0,3.0,24.0,1.0,15.0,4.0,1.0,,4.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,1.0,1.0,8.0,1.0,1.0,,8.0,2.0,,1.0,2.0,4.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,,1.0,1.0,,,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,
22,919111,2018-01-02 19:45:00,"Liberty Stadium, Swansea",20615,Home,Swansea City,Tottenham Hotspur,0,2,L,0,1,0,0,1.0,64.0,1.0,2.0,25.0,19.0,3.0,2.0,5.0,3.0,120.0,4.0,11.0,5.0,,71.0,129.0,49.0,8.0,,17.0,2.0,3.0,17.0,10.0,19.0,6.0,22.0,80.0,,0.0,52.0,12.0,2.0,1.0,1.0,27.0,52.0,2.0,55.0,,1.0,11.0,17.0,3.0,2.0,129.0,8.0,67.0,506.0,4.0,5.0,14.0,21.0,214.0,32.0,5.0,10.0,2.0,2.0,3.0,16.0,286.0,36.0,1.0,,97615,1.0,156.0,8.0,188.0,8.0,17.0,11.0,55.0,4.0,2.0,6.0,4.0,7.0,70.0,232.0,9.0,6.0,27.0,65.0,0.0,,5.0,4.0,0.0,2.0,,1.0,32.3,12.0,1.0,,2.0,2.0,31.0,1.0,313.0,21.0,12.0,9.0,5.0,21.0,2.0,142.0,5.0,4.0,11.0,29.0,26.0,3.0,10.0,18.0,5.0,3.0,20.0,3.0,11.0,2.0,,,6.0,3.0,,1.0,,,,1.0,1.0,1.0,2.0,,2.0,6.0,2.0,2.0,,6.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,
23,919119,2018-01-13 15:00:00,"St. James' Park, Newcastle",51444,Away,Swansea City,Newcastle United,1,1,D,0,0,0,0,,57.0,,,46.0,20.0,2.0,2.0,6.0,3.0,174.0,9.0,7.0,6.0,,113.0,161.0,65.0,8.0,1.0,23.0,,,21.0,5.0,20.0,12.0,29.0,178.0,,0.0,111.0,10.0,2.0,1.0,2.0,52.0,86.0,4.0,90.0,1.0,,16.0,22.0,2.0,2.0,161.0,9.0,123.0,681.0,5.0,11.0,17.0,3.0,385.0,20.0,14.0,13.0,3.0,1.0,2.0,30.0,474.0,63.0,1.0,1.0,97615,4.0,232.0,13.0,249.0,5.0,22.0,11.0,59.0,,7.0,18.0,3.0,5.0,90.0,401.0,10.0,5.0,36.0,87.0,0.0,1.0,4.0,6.0,0.0,5.0,,4.0,57.8,23.0,1.0,2.0,8.0,1.0,46.0,2.0,500.0,3.0,15.0,19.0,2.0,27.0,2.0,272.0,2.0,11.0,40.0,64.0,24.0,2.0,13.0,8.0,5.0,3.0,14.0,2.0,6.0,3.0,,,5.0,,1.0,,1.0,2.0,,1.0,1.0,,3.0,,1.0,5.0,4.0,1.0,,5.0,,,,1.0,5.0,3.0,,1.0,,2.0,,1.0,,1.0,1.0,,1.0,2.0,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
24,919131,2018-01-22 20:00:00,"Liberty Stadium, Swansea",20886,Home,Swansea City,Liverpool,1,0,W,1,0,0,0,,67.0,2.0,,32.0,40.0,1.0,2.0,2.0,4.0,133.0,1.0,6.0,2.0,,57.0,139.0,46.0,3.0,,19.0,1.0,,10.0,11.0,40.0,5.0,20.0,88.0,1.0,0.0,69.0,5.0,3.0,1.0,4.0,38.0,52.0,2.0,48.0,,,7.0,26.0,1.0,3.0,139.0,10.0,57.0,490.0,1.0,9.0,6.0,15.0,188.0,35.0,5.0,17.0,0.0,6.0,,17.0,262.0,49.0,,,97615,1.0,117.0,3.0,141.0,3.0,26.0,16.0,45.0,1.0,5.0,17.0,11.0,6.0,79.0,204.0,8.0,6.0,28.0,75.0,0.0,1.0,9.0,2.0,0.0,,,,28.2,12.0,,1.0,5.0,,31.0,5.0,295.0,15.0,9.0,15.0,1.0,11.0,,164.0,1.0,3.0,18.0,35.0,17.0,2.0,17.0,15.0,1.0,2.0,12.0,2.0,13.0,1.0,,,3.0,1.0,1.0,,1.0,,,,,,2.0,,,3.0,1.0,,,3.0,1.0,,,1.0,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,2.0,,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,919134,2018-01-30 19:45:00,"Liberty Stadium, Swansea",20819,Home,Swansea City,Arsenal,3,1,W,1,1,0,0,,52.0,,2.0,22.0,24.0,5.0,4.0,7.0,3.0,119.0,2.0,6.0,5.0,,63.0,113.0,36.0,12.0,2.0,14.0,,3.0,12.0,7.0,24.0,5.0,18.0,102.0,,0.0,77.0,4.0,3.0,2.0,,24.0,64.0,3.0,66.0,2.0,,10.0,17.0,5.0,3.0,113.0,6.0,58.0,449.0,4.0,4.0,14.0,13.0,209.0,32.0,5.0,11.0,0.0,1.0,2.0,14.0,279.0,43.0,,,97615,5.0,125.0,5.0,153.0,2.0,17.0,7.0,34.0,,1.0,6.0,3.0,3.0,59.0,225.0,7.0,5.0,28.0,57.0,0.0,1.0,3.0,2.0,0.0,2.0,,1.0,25.7,10.0,1.0,2.0,1.0,4.0,25.0,,306.0,13.0,6.0,10.0,4.0,18.0,1.0,165.0,7.0,5.0,11.0,44.0,10.0,2.0,11.0,13.0,10.0,3.0,11.0,2.0,8.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,2.0,4.0,,,1.0,3.0,,1.0,4.0,,1.0,,4.0,2.0,1.0,2.0,3.0,4.0,,1.0,,,,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,3.0,1.0,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,
26,919148,2018-02-03 15:00:00,"King Power Stadium, Leicester",31179,Away,Swansea City,Leicester City,1,1,D,0,1,0,0,,64.0,2.0,1.0,29.0,42.0,,1.0,3.0,3.0,137.0,6.0,11.0,3.0,,74.0,146.0,53.0,3.0,,20.0,,,16.0,10.0,42.0,14.0,22.0,124.0,,0.0,98.0,8.0,,2.0,1.0,45.0,77.0,2.0,62.0,,1.0,13.0,24.0,,6.0,146.0,9.0,67.0,543.0,2.0,4.0,10.0,12.0,234.0,31.0,4.0,20.0,0.0,4.0,1.0,26.0,314.0,46.0,1.0,,97615,2.0,130.0,5.0,162.0,6.0,24.0,9.0,51.0,,5.0,14.0,4.0,3.0,66.0,248.0,9.0,7.0,25.0,56.0,0.0,4.0,3.0,2.0,0.0,5.0,,2.0,39.9,16.0,1.0,5.0,5.0,1.0,24.0,1.0,340.0,12.0,12.0,11.0,1.0,16.0,1.0,194.0,,12.0,20.0,62.0,19.0,,20.0,14.0,2.0,3.0,15.0,,10.0,2.0,,,3.0,,1.0,,,,,,,,2.0,,1.0,3.0,1.0,1.0,,3.0,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,
27,919160,2018-02-10 15:00:00,"Liberty Stadium, Swansea",20179,Home,Swansea City,Burnley,1,0,W,0,0,0,0,,62.0,,5.0,38.0,21.0,5.0,3.0,8.0,1.0,176.0,4.0,2.0,10.0,,104.0,161.0,57.0,13.0,2.0,36.0,4.0,1.0,22.0,9.0,21.0,5.0,40.0,219.0,1.0,0.0,169.0,10.0,,1.0,2.0,60.0,99.0,9.0,86.0,,,19.0,15.0,5.0,5.0,161.0,5.0,99.0,642.0,9.0,8.0,33.0,4.0,353.0,19.0,6.0,9.0,2.0,4.0,1.0,23.0,443.0,63.0,,,97615,3.0,151.0,13.0,167.0,5.0,15.0,9.0,61.0,2.0,5.0,20.0,8.0,4.0,81.0,366.0,9.0,2.0,31.0,87.0,0.0,1.0,2.0,4.0,0.0,2.0,1.0,,57.3,19.0,,10.0,5.0,7.0,44.0,2.0,465.0,4.0,12.0,24.0,2.0,37.0,1.0,320.0,10.0,3.0,34.0,118.0,24.0,2.0,9.0,12.0,11.0,3.0,7.0,2.0,6.0,2.0,,,3.0,1.0,,,,,,1.0,,,1.0,,,5.0,2.0,,,5.0,1.0,,,1.0,4.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,2.0,,,,1.0,1.0,,,,,
