id,code,first_name,second_name,team_id,team_code,team_name
83,533463,Dango,Ouattara,5,94,Brentford
101,200720,Caoimhín,Kelleher,5,94,Brentford
102,235448,Ellery,Balcombe,5,94,Brentford
103,503300,Matthew,Cox,5,94,Brentford
104,535017,Julian,Eyestone,5,94,Brentford
105,507433,Hákon Rafn,Valdimarsson,5,94,Brentford
106,432830,Nathan,Collins,5,94,Brentford
107,249231,Keane,Lewis-Potter,5,94,Brentford
108,191866,Kristoffer,Ajer,5,94,Brentford
109,194010,Rico,Henry,5,94,Brentford
110,607464,Michael,Kayode,5,94,Brentford
111,231065,Ethan,Pinnock,5,94,Brentford
112,226956,Mads,Roerslev Rasmussen,5,94,Brentford
113,444765,Sepp,van den Berg,5,94,Brentford
114,622536,Benjamin,Arthur,5,94,Brentford
115,612534,Benjamin,Fredrick,5,94,Brentford
116,472713,Aaron,Hickey,5,94,Brentford
117,570241,Kim,Ji-soo,5,94,Brentford
118,499717,Jayden,Meghoma,5,94,Brentford
120,513418,Kevin,Schade,5,94,Brentford
121,440089,Mikkel,Damsgaard,5,94,Brentford
122,543295,Antoni,Milambo,5,94,Brentford
123,244858,Fábio,Freitas Gouveia Carvalho,5,94,Brentford
124,56979,Jordan,Henderson,5,94,Brentford
125,204580,Vitaly,Janelt,5,94,Brentford
126,207283,Mathias,Jensen,5,94,Brentford
127,626464,Gustavo,Nunes Fernandes Gomes,5,94,Brentford
128,428580,Frank,Onyeka,5,94,Brentford
129,508395,Yehor,Yarmoliuk,5,94,Brentford
130,606689,Romelle,Donovan,5,94,Brentford
131,628204,Yunus Emre,Konak,5,94,Brentford
132,220695,Paris,Maghoma,5,94,Brentford
133,450539,Myles,Peart-Harris,5,94,Brentford
134,591357,Ryan,Trevitt,5,94,Brentford
136,502500,Igor Thiago,Nascimento Rodrigues,5,94,Brentford
137,533710,Iwan,Morgan,5,94,Brentford
748,183656,Josh,Dasilva,5,94,Brentford
797,593174,Kaye,Furo,5,94,Brentford
810,559610,Luka,Bentt,5,94,Brentford
819,494556,Ollie,Shield,5,94,Brentford
823,649240,Joshua,Stephenson,5,94,Brentford
824,587433,Conor,McManus,5,94,Brentford
826,547671,Riley,Owen,5,94,Brentford
138,49262,Jason,Steele,6,36,Brighton
139,489639,Bart,Verbruggen,6,36,Brighton
140,209288,Tom,McGill,6,36,Brighton
141,472739,Carl,Rushworth,6,36,Brighton
142,240514,Kjell,Scherpen,6,36,Brighton
143,204120,Olivier,Boscagli,6,36,Brighton
144,550090,Diego,Coppola,6,36,Brighton
145,465730,Maxim,De Cuyper,6,36,Brighton
146,83299,Lewis,Dunk,6,36,Brighton
