gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attRfTarget,fouledFinalThird,accuratePullBack,attFreekickTotal,attOboxBlocked,accurateKeeperSweeper,goalFastbreak,freekickTotal,totalKeeperSweeper,expectedGoalsFreekick,totalPullBack,attCorner,punches,goalAssistIntentional,accurateCornersIntobox,attIboxPost,attMissHighRight,attSvHighLeft,accurateThroughBall,totalThroughBall,attCmissLeft,attFreekickTarget,attCmissRight,attSvHighRight,attMissRight,attMissHighLeft,attCmissHigh,forwardGoals,penaltyWon,attHdTarget,attFreekickMiss,errorLeadToGoal,attLgCentre,goalAssistSetplay,ptsGainedLosingPos,ptsDroppedWinningPos,handBall,foulThrowIn,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdRight,attSvHighCentre,clearanceOffLine,attLgLeft,attPenTarget,attPostLeft,attHdPost,attCmissHighLeft,attCmissHighRight,attIboxOwnGoal,attLgRight,attObxRight,attPostRight,attObxLeft,fastestPlayer
11,2561995,2025-11-09 14:00:00,"Villa Park, Birmingham",40792.0,Away,Bournemouth,Aston Villa,0,4,L,0.0,2.0,0,0,2.0,,44.0,0.0,0.0,2.0,3.0,1.0593,17.0,35.0,6.0,4.0,6.0,4.0,0.0,111.0,0.0,2.0,13.0,0.0,7.0,3.0,75.0,126.0,47.0,12.0,8.0,1.0,1.0,,1.0,,,2.0,21.0,9.0,0.0,2.0,35.0,9.0,8.0,24.0,,2.2751,133.0,,0.0,0.0,93.0,20.0,0.0,2.0,1.0,0.0,2.0,1.0,,64.0,43.0,5.0,57.0,1.0,12.0,23.0,6.0,0.0,0.0,2.0,3.0,126.0,1.0,,10.0,0.0,73.0,531.0,6.0,3.0,12.0,1.0,11.0,243.0,25.0,6.0,16.0,,2.0,4.0,2.0,0.506693,22.0,302.0,43.0,,1.0,33.62,437730,3.0,122.0,2.0,9.0,1.0,1.0,140.0,12.0,105635.98,0.0,8.0,4.0,54.0,0.0,0.0,2.0,4.0,0.0,17.0,6.0,2.0,1.0,0.0,38.0,253.0,7.0,7.0,1.0,19.0,53.0,1.0,0.0,0.0,,0.0,0.0,,6.0,2.0,0.0,,,4.0,2.0,0.0,,,1.0,48.2,18.0,,4.0,2.0,4.0,4.0,32.0,9.0,,316.0,11.0,6.0,13.0,5.0,27.0,1.0,197.0,7.0,8.0,11.0,68.0,9.0,,16.0,16.0,0.0,2.0,6.0,6.0,27.0,1.6099,,8.0,9.0,,3.0,4.0,,1.0,1.0,,,1.0,1.0,0.2261,,3.0,1.0,,2.0,1.0,1.0,,2.0,3.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,
12,2562005,2025-11-22 15:00:00,"Vitality Stadium, Bournemouth",11216.0,Home,Bournemouth,West Ham United,2,2,D,0.0,2.0,0,0,1.0,3.0,59.0,0.0,0.0,,3.0,4.4886,13.0,11.0,6.0,14.0,22.0,,2.0,190.0,0.0,15.0,9.0,2.0,18.0,10.0,157.0,172.0,45.0,28.0,12.0,8.0,,1.0,,1.0,,4.0,54.0,10.0,0.0,,11.0,6.0,13.0,25.0,1.0,0.7223,383.0,,0.0,0.0,254.0,9.0,0.0,,,1.0,5.0,3.0,,109.0,108.0,9.0,103.0,,48.0,13.0,6.0,1.0,0.0,20.0,2.0,172.0,2.0,,4.0,1.0,166.0,848.0,17.0,3.0,57.0,,7.0,512.0,23.0,3.0,7.0,1.0,3.0,1.0,9.0,1.5644,27.0,600.0,95.0,1.0,,32.64,444102,19.0,159.0,2.0,25.0,,2.0,181.0,8.0,113601.63,0.0,3.0,2.0,42.0,0.0,0.0,2.0,4.0,1.0,27.0,1.0,2.0,3.0,1.0,35.0,527.0,8.0,8.0,,16.0,56.0,,1.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,,,2.0,,0.0,14.0,,8.0,76.2,27.0,5.0,6.0,2.0,4.0,7.0,34.0,9.0,,616.0,7.0,6.0,13.0,11.0,67.0,9.0,489.0,6.0,9.0,9.0,199.0,26.0,,7.0,19.0,0.0,1.0,23.0,5.0,16.0,4.0484,,3.0,9.0,2.0,3.0,5.0,,,4.0,,,,,,1.0,2.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,3.0,1.0,,,1.0,2.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
13,2562022,2025-11-29 15:00:00,"Stadium of Light, Sunderland",46973.0,Away,Bournemouth,Sunderland,2,3,L,2.0,1.0,1,0,0.0,2.0,48.0,0.0,0.0,1.0,4.0,2.9543,24.0,21.0,4.0,9.0,13.0,3.0,1.0,175.0,0.0,5.0,3.0,2.0,13.0,6.0,111.0,141.0,50.0,18.0,21.0,4.0,1.0,1.0,1.0,,,3.0,23.0,10.0,0.0,,21.0,3.0,7.0,30.0,,1.8154,231.0,,1.0,0.0,155.0,13.0,0.0,2.0,1.0,2.0,1.0,3.0,,77.0,54.0,6.0,69.0,3.0,20.0,13.0,5.0,1.0,0.0,5.0,3.0,141.0,1.0,,10.0,0.0,108.0,665.0,12.0,6.0,36.0,2.0,9.0,358.0,21.0,8.0,8.0,,5.0,2.0,7.0,1.26765,18.0,437.0,76.0,,2.0,32.81,437730,6.0,150.0,1.0,12.0,,,170.0,7.0,116024.23,1.0,5.0,10.0,56.0,0.0,0.0,2.0,4.0,2.0,19.0,2.0,7.0,1.0,0.0,59.0,376.0,13.0,9.0,1.0,30.0,70.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,57.5,18.0,2.0,5.0,5.0,4.0,4.0,31.0,3.0,,463.0,9.0,8.0,15.0,8.0,26.0,4.0,316.0,7.0,7.0,15.0,120.0,16.0,2.0,8.0,19.0,0.0,3.0,16.0,5.0,9.0,1.7005,2.0,5.0,3.0,1.0,2.0,4.0,,1.0,,,1.0,1.0,,0.0536,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,1.0,,1.0,,,3.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
14,2562025,2025-12-02 19:30:00,"Vitality Stadium, Bournemouth",11161.0,Home,Bournemouth,Everton,0,1,L,0.0,0.0,0,0,1.0,1.0,43.0,0.0,0.0,,2.0,0.5009,15.0,55.0,,2.0,5.0,2.0,0.0,153.0,0.0,3.0,8.0,0.0,3.0,2.0,126.0,132.0,56.0,5.0,24.0,2.0,,1.0,,,1.0,,17.0,10.0,0.0,,55.0,,14.0,17.0,,0.6677,186.0,,0.0,0.0,121.0,14.0,0.0,1.0,,0.0,1.0,1.0,1.0,77.0,49.0,2.0,78.0,,17.0,17.0,,0.0,0.0,9.0,,132.0,1.0,,9.0,0.0,119.0,705.0,3.0,4.0,28.0,,3.0,383.0,24.0,1.0,29.0,,3.0,4.0,1.0,0.732698,20.0,453.0,64.0,,1.0,32.92,551483,4.0,219.0,1.0,7.0,,1.0,235.0,7.0,108559.33,0.0,11.0,6.0,58.0,0.0,0.0,1.0,4.0,0.0,22.0,4.0,5.0,,0.0,45.0,402.0,13.0,2.0,,16.0,67.0,,0.0,0.0,,0.0,0.0,1.0,6.0,2.0,0.0,,,1.0,3.0,0.0,3.0,1.0,1.0,54.9,18.0,1.0,2.0,,4.0,2.0,37.0,1.0,2.0,476.0,3.0,11.0,6.0,1.0,23.0,1.0,258.0,2.0,13.0,20.0,83.0,13.0,2.0,29.0,15.0,0.0,0.0,3.0,4.0,15.0,0.5036,2.0,11.0,1.0,,1.0,,,,,,,,,,,1.0,3.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2562035,2025-12-06 15:00:00,"Vitality Stadium, Bournemouth",11240.0,Home,Bournemouth,Chelsea,0,0,D,0.0,0.0,0,0,0.0,3.0,57.0,0.0,0.0,2.0,1.0,0.7569,26.0,23.0,5.0,9.0,8.0,4.0,0.0,137.0,0.0,1.0,7.0,0.0,8.0,5.0,62.0,146.0,54.0,13.0,23.0,4.0,,1.0,,1.0,2.0,2.0,11.0,12.0,0.0,1.0,23.0,4.0,4.0,40.0,,0.6414,113.0,1.0,0.0,0.0,102.0,15.0,0.0,3.0,,0.0,1.0,,,62.0,28.0,6.0,53.0,1.0,7.0,15.0,5.0,0.0,0.0,3.0,3.0,146.0,1.0,1.0,6.0,0.0,77.0,521.0,8.0,7.0,24.0,,14.0,214.0,25.0,5.0,10.0,1.0,0.0,1.0,2.0,0.294656,22.0,303.0,59.0,,,33.25,444102,3.0,120.0,1.0,4.0,,1.0,142.0,8.0,110945.24,0.0,6.0,10.0,61.0,0.0,0.0,4.0,5.0,0.0,16.0,5.0,7.0,2.0,0.0,69.0,232.0,13.0,7.0,,25.0,68.0,,0.0,0.0,1.0,0.0,0.0,,,2.0,0.0,,,0.0,2.0,0.0,1.0,,,39.1,20.0,,1.0,2.0,5.0,2.0,33.0,5.0,,329.0,14.0,7.0,20.0,6.0,20.0,3.0,198.0,4.0,3.0,17.0,56.0,21.0,1.0,10.0,17.0,0.0,0.0,12.0,4.0,17.0,1.4188,1.0,6.0,5.0,1.0,2.0,,,,1.0,1.0,,,1.0,,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
16,2562051,2025-12-15 20:00:00,"Old Trafford, Manchester",73951.0,Away,Bournemouth,Manchester United,4,4,D,1.0,2.0,0,0,1.0,3.0,43.0,3.0,1.0,3.0,,3.2978,15.0,29.0,5.0,8.0,9.0,5.0,3.0,135.0,0.0,3.0,9.0,4.0,10.0,9.0,71.0,152.0,63.0,14.0,24.0,4.0,1.0,3.0,,2.0,3.0,3.0,17.0,8.0,0.0,1.0,29.0,4.0,3.0,23.0,,3.3598,134.0,,1.0,0.0,125.0,12.0,0.0,2.0,2.0,2.0,1.0,3.0,,58.0,36.0,6.0,39.0,1.0,13.0,12.0,5.0,0.0,0.0,4.0,3.0,152.0,4.0,,18.0,1.0,55.0,512.0,8.0,7.0,24.0,,8.0,185.0,15.0,5.0,10.0,2.0,3.0,10.0,4.0,0.57199,20.0,271.0,65.0,1.0,,34.75,551483,5.0,71.0,4.0,6.0,,2.0,89.0,5.0,110732.97,1.0,6.0,12.0,57.0,0.0,0.0,1.0,4.0,3.0,17.0,7.0,5.0,,0.0,55.0,202.0,14.0,7.0,,29.0,60.0,1.0,0.0,0.0,1.0,1.0,0.0,,5.0,2.0,3.0,,,4.0,1.0,0.0,3.0,,2.0,43.4,14.0,,4.0,,4.0,,26.0,4.0,,300.0,8.0,7.0,9.0,5.0,42.0,2.0,228.0,4.0,3.0,26.0,76.0,15.0,,10.0,14.0,0.0,3.0,10.0,4.0,18.0,1.9371,,6.0,4.0,2.0,,3.0,,1.0,,,1.0,1.0,,0.12,,,,1.0,,,,1.0,,,,,,,2.0,,,1.0,,2.0,,2.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
17,2562055,2025-12-20 15:00:00,"Vitality Stadium, Bournemouth",10762.0,Home,Bournemouth,Burnley,1,1,D,0.0,0.0,0,0,0.0,,50.0,0.0,1.0,,1.0,0.3567,18.0,31.0,5.0,6.0,11.0,,0.0,168.0,0.0,6.0,6.0,1.0,15.0,1.0,124.0,159.0,54.0,16.0,21.0,,,2.0,,,,1.0,22.0,15.0,0.0,,31.0,3.0,11.0,35.0,,0.9354,248.0,,1.0,0.0,194.0,11.0,0.0,,,1.0,,1.0,1.0,83.0,72.0,3.0,91.0,1.0,19.0,14.0,5.0,0.0,0.0,10.0,2.0,159.0,3.0,,1.0,0.0,123.0,708.0,15.0,9.0,37.0,,8.0,385.0,22.0,4.0,19.0,,1.0,2.0,12.0,1.47549,26.0,484.0,74.0,,,33.81,437730,5.0,162.0,3.0,8.0,,,182.0,3.0,108806.19,1.0,4.0,6.0,47.0,0.0,0.0,2.0,5.0,1.0,20.0,3.0,4.0,3.0,0.0,57.0,404.0,11.0,2.0,,26.0,67.0,,0.0,0.0,,0.0,0.0,1.0,3.0,,0.0,,,1.0,3.0,0.0,5.0,,4.0,65.6,22.0,4.0,7.0,2.0,5.0,3.0,35.0,5.0,1.0,506.0,8.0,9.0,16.0,12.0,38.0,10.0,346.0,6.0,11.0,16.0,134.0,16.0,1.0,19.0,21.0,0.0,1.0,12.0,5.0,12.0,1.4081,1.0,4.0,5.0,,,1.0,,,2.0,1.0,,,1.0,,1.0,3.0,,,1.0,,1.0,,1.0,2.0,,,4.0,,5.0,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,
18,2562066,2025-12-27 15:00:00,"Gtech Community Stadium, Brentford",17152.0,Away,Bournemouth,Brentford,1,4,L,0.0,2.0,0,0,0.0,5.0,54.0,0.0,0.0,2.0,6.0,1.1825,22.0,27.0,7.0,10.0,13.0,4.0,0.0,142.0,1.0,3.0,14.0,1.0,12.0,10.0,76.0,156.0,56.0,20.0,21.0,4.0,1.0,1.0,1.0,,5.0,1.0,38.0,13.0,0.0,5.0,27.0,8.0,2.0,31.0,1.0,3.3417,172.0,,0.0,0.0,140.0,8.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,85.0,49.0,10.0,74.0,1.0,30.0,15.0,7.0,0.0,0.0,14.0,,156.0,3.0,,11.0,0.0,84.0,602.0,12.0,5.0,40.0,1.0,7.0,262.0,15.0,5.0,12.0,,2.0,5.0,2.0,0.956396,14.0,346.0,51.0,,2.0,33.77,437730,3.0,121.0,3.0,15.0,1.0,,134.0,1.0,108172.59,1.0,9.0,7.0,52.0,1.0,0.0,1.0,6.0,1.0,15.0,5.0,6.0,,0.0,50.0,290.0,9.0,12.0,,22.0,64.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,1.0,,,4.0,1.0,0.0,3.0,2.0,2.0,50.7,12.0,1.0,9.0,5.0,6.0,8.0,28.0,15.0,1.0,376.0,7.0,5.0,12.0,2.0,46.0,1.0,280.0,8.0,2.0,15.0,96.0,22.0,,12.0,18.0,0.0,4.0,15.0,5.0,21.0,2.716,,9.0,15.0,1.0,3.0,1.0,,,2.0,1.0,,,1.0,,,5.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,
19,2562078,2025-12-30 19:30:00,"Stamford Bridge, London",39622.0,Away,Bournemouth,Chelsea,2,2,D,2.0,2.0,0,0,0.0,1.0,50.0,0.0,1.0,1.0,2.0,2.0183,17.0,41.0,5.0,7.0,12.0,2.0,1.0,115.0,1.0,3.0,9.0,2.0,10.0,6.0,49.0,119.0,45.0,17.0,26.0,4.0,1.0,1.0,,,4.0,2.0,16.0,12.0,0.0,1.0,41.0,2.0,7.0,25.0,,2.1532,109.0,,0.0,0.0,99.0,12.0,0.0,1.0,1.0,2.0,,2.0,1.0,57.0,23.0,5.0,48.0,4.0,14.0,11.0,5.0,0.0,0.0,3.0,3.0,119.0,3.0,,15.0,0.0,57.0,480.0,7.0,9.0,23.0,,17.0,184.0,26.0,6.0,17.0,,1.0,8.0,5.0,0.750761,13.0,252.0,42.0,2.0,,34.84,551483,7.0,91.0,4.0,9.0,,4.0,109.0,3.0,109239.28,1.0,7.0,10.0,66.0,0.0,0.0,1.0,5.0,0.0,10.0,2.0,8.0,3.0,0.0,53.0,197.0,5.0,11.0,3.0,22.0,53.0,1.0,0.0,0.0,1.0,0.0,0.0,,12.0,1.0,2.0,,,2.0,3.0,0.0,3.0,,4.0,32.8,8.0,2.0,5.0,,5.0,4.0,24.0,3.0,1.0,269.0,17.0,7.0,11.0,7.0,32.0,4.0,176.0,6.0,7.0,15.0,63.0,13.0,3.0,17.0,16.0,0.0,2.0,6.0,3.0,19.0,3.1381,3.0,7.0,3.0,2.0,1.0,2.0,,,2.0,1.0,,,1.0,,1.0,2.0,4.0,,,,1.0,,,,,,,,1.0,1.0,2.0,,,2.0,,,,,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,
20,2562085,2026-01-03 17:30:00,"Vitality Stadium, Bournemouth",11240.0,Home,Bournemouth,Arsenal,2,3,L,1.0,1.0,0,0,1.0,1.0,48.0,2.0,0.0,1.0,1.0,1.0977,22.0,37.0,10.0,8.0,5.0,2.0,0.0,139.0,0.0,4.0,8.0,2.0,9.0,3.0,58.0,139.0,48.0,15.0,21.0,,,,,,,3.0,22.0,12.0,0.0,1.0,37.0,6.0,5.0,35.0,,1.7265,137.0,,1.0,0.0,107.0,13.0,0.0,2.0,,0.0,,2.0,,58.0,32.0,4.0,59.0,,16.0,20.0,10.0,0.0,0.0,4.0,4.0,139.0,,,7.0,1.0,83.0,540.0,7.0,5.0,13.0,,4.0,243.0,18.0,4.0,18.0,1.0,3.0,4.0,5.0,0.452976,14.0,318.0,62.0,,1.0,33.87,551483,3.0,126.0,,10.0,1.0,2.0,146.0,6.0,110397.12,2.0,11.0,10.0,65.0,0.0,0.0,1.0,5.0,1.0,10.0,5.0,7.0,1.0,0.0,57.0,259.0,8.0,7.0,1.0,27.0,63.0,,0.0,0.0,1.0,0.0,0.0,,5.0,1.0,1.0,,,3.0,2.0,0.0,4.0,1.0,1.0,43.0,9.0,1.0,4.0,1.0,5.0,5.0,31.0,7.0,,339.0,4.0,13.0,18.0,7.0,27.0,3.0,215.0,6.0,4.0,17.0,70.0,19.0,1.0,18.0,16.0,0.0,2.0,11.0,4.0,20.0,1.4349,1.0,11.0,7.0,1.0,,3.0,,1.0,4.0,1.0,,1.0,1.0,0.0338,,1.0,3.0,,,,1.0,,,1.0,1.0,,1.0,,2.0,,,1.0,,,1.0,,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,
21,2562095,2026-01-07 19:30:00,"Vitality Stadium, Bournemouth",11212.0,Home,Bournemouth,Tottenham Hotspur,3,2,W,2.0,1.0,0,0,0.0,,54.0,0.0,1.0,1.0,2.0,1.4682,9.0,35.0,6.0,6.0,5.0,2.0,1.0,124.0,0.0,3.0,4.0,3.0,5.0,3.0,72.0,131.0,50.0,11.0,16.0,,,,,2.0,,1.0,12.0,8.0,0.0,,35.0,1.0,8.0,22.0,,1.7806,126.0,,1.0,0.0,84.0,19.0,0.0,1.0,,2.0,,1.0,1.0,57.0,38.0,4.0,45.0,1.0,11.0,13.0,6.0,0.0,0.0,5.0,2.0,131.0,1.0,,11.0,0.0,80.0,513.0,2.0,6.0,14.0,,10.0,227.0,18.0,1.0,13.0,3.0,3.0,5.0,1.0,0.992415,19.0,300.0,44.0,,,34.45,437730,3.0,117.0,,5.0,,1.0,132.0,9.0,110741.06,1.0,7.0,7.0,73.0,0.0,0.0,4.0,1.0,2.0,10.0,5.0,6.0,,0.0,45.0,240.0,10.0,14.0,,25.0,72.0,,2.0,0.0,,0.0,0.0,2.0,7.0,1.0,2.0,,,2.0,1.0,0.0,3.0,2.0,1.0,42.1,18.0,,4.0,,1.0,5.0,35.0,3.0,2.0,321.0,10.0,10.0,13.0,3.0,20.0,1.0,201.0,4.0,7.0,19.0,46.0,27.0,2.0,13.0,17.0,1.0,2.0,9.0,5.0,18.0,1.2672,2.0,7.0,3.0,1.0,,1.0,1.0,1.0,3.0,,,1.0,,0.0616,1.0,,1.0,2.0,,,,,,2.0,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,
22,2562106,2026-01-19 20:00:00,"American Express Stadium, Falmer",30172.0,Away,Bournemouth,Brighton and Hove Albion,1,1,D,1.0,0.0,0,0,0.0,1.0,52.0,1.0,0.0,2.0,2.0,1.0284,27.0,31.0,4.0,7.0,7.0,4.0,1.0,133.0,0.0,2.0,6.0,1.0,7.0,2.0,48.0,152.0,51.0,11.0,22.0,1.0,1.0,1.0,1.0,,1.0,2.0,15.0,6.0,0.0,,31.0,4.0,6.0,40.0,,1.6002,93.0,,0.0,0.0,94.0,6.0,0.0,2.0,1.0,1.0,,,,56.0,26.0,3.0,50.0,2.0,11.0,18.0,4.0,0.0,0.0,4.0,1.0,152.0,1.0,1.0,12.0,0.0,51.0,496.0,7.0,2.0,18.0,1.0,17.0,185.0,26.0,5.0,15.0,,3.0,7.0,4.0,0.57792,21.0,262.0,49.0,,,34.25,201658,4.0,103.0,1.0,7.0,1.0,,129.0,5.0,113295.0,0.0,8.0,8.0,61.0,0.0,0.0,3.0,3.0,0.0,17.0,5.0,2.0,,1.0,70.0,194.0,7.0,12.0,,32.0,55.0,1.0,0.0,0.0,,0.0,0.0,3.0,11.0,2.0,1.0,,,1.0,1.0,0.0,2.0,1.0,1.0,33.1,14.0,1.0,2.0,1.0,3.0,5.0,16.0,6.0,,282.0,17.0,12.0,24.0,4.0,20.0,3.0,168.0,3.0,5.0,20.0,53.0,17.0,2.0,15.0,18.0,0.0,1.0,7.0,4.0,15.0,1.2867,2.0,8.0,6.0,1.0,,1.0,,,3.0,,,,,,,3.0,2.0,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,
23,2562115,2026-01-24 17:30:00,"Vitality Stadium, Bournemouth",11260.0,Home,Bournemouth,Liverpool,3,2,W,2.0,1.0,0,0,1.0,1.0,50.0,1.0,0.0,,2.0,1.4998,22.0,38.0,3.0,4.0,9.0,2.0,1.0,115.0,2.0,3.0,4.0,3.0,7.0,5.0,66.0,109.0,37.0,12.0,9.0,1.0,1.0,1.0,,2.0,,1.0,13.0,10.0,0.0,1.0,38.0,3.0,4.0,20.0,2.0,1.1686,109.0,,0.0,0.0,85.0,7.0,0.0,,1.0,2.0,,1.0,3.0,49.0,36.0,3.0,44.0,4.0,10.0,16.0,3.0,0.0,0.0,1.0,1.0,109.0,3.0,,7.0,0.0,73.0,500.0,5.0,7.0,26.0,1.0,14.0,215.0,25.0,8.0,11.0,2.0,1.0,6.0,4.0,0.972202,15.0,280.0,37.0,1.0,,33.29,489888,3.0,124.0,3.0,8.0,2.0,,141.0,3.0,113729.53,2.0,11.0,9.0,35.0,0.0,0.0,,6.0,2.0,14.0,7.0,9.0,2.0,0.0,49.0,230.0,7.0,7.0,,24.0,49.0,1.0,0.0,0.0,1.0,0.0,0.0,,11.0,2.0,3.0,,,2.0,4.0,0.0,1.0,1.0,,33.2,11.0,,1.0,,7.0,3.0,25.0,3.0,4.0,298.0,14.0,3.0,10.0,4.0,27.0,3.0,170.0,8.0,4.0,6.0,52.0,12.0,4.0,11.0,20.0,0.0,1.0,5.0,3.0,13.0,2.3452,4.0,11.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,0.0348,1.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,2562134,2026-01-31 15:00:00,"Molineux Stadium, Wolverhampton",30161.0,Away,Bournemouth,Wolverhampton Wanderers,2,0,W,1.0,0.0,0,0,0.0,,56.0,0.0,0.0,5.0,1.0,1.4579,24.0,32.0,2.0,1.0,7.0,7.0,1.0,136.0,0.0,3.0,9.0,2.0,9.0,4.0,129.0,122.0,56.0,9.0,17.0,2.0,3.0,3.0,,2.0,1.0,1.0,11.0,11.0,0.0,,32.0,5.0,5.0,31.0,1.0,1.4017,175.0,1.0,0.0,0.0,99.0,15.0,0.0,1.0,3.0,2.0,,3.0,1.0,77.0,38.0,5.0,72.0,,6.0,20.0,2.0,0.0,0.0,2.0,2.0,122.0,2.0,,7.0,0.0,132.0,690.0,6.0,8.0,15.0,,13.0,378.0,17.0,1.0,19.0,2.0,3.0,3.0,4.0,1.03178,13.0,449.0,49.0,,1.0,34.64,560262,1.0,225.0,1.0,1.0,1.0,,239.0,8.0,112707.71,1.0,11.0,9.0,60.0,0.0,0.0,2.0,7.0,2.0,14.0,10.0,8.0,1.0,0.0,53.0,397.0,11.0,6.0,1.0,18.0,77.0,3.0,2.0,0.0,,0.0,0.0,2.0,5.0,2.0,2.0,,,0.0,3.0,0.0,2.0,1.0,2.0,49.2,12.0,1.0,4.0,,7.0,1.0,51.0,6.0,1.0,469.0,13.0,11.0,13.0,4.0,24.0,2.0,241.0,6.0,5.0,16.0,63.0,27.0,1.0,19.0,20.0,0.0,0.0,7.0,5.0,21.0,1.3587,1.0,11.0,6.0,1.0,2.0,3.0,1.0,,,1.0,,,1.0,,1.0,2.0,1.0,2.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,
