gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,freekickCross,interceptionsInBox,attHdTarget,errorLeadToShot,penaltyConceded,attSvHighCentre,penaltyFaced,penGoalsConceded,effectiveBlockedCross,blockedCross,savedObox,attFreekickTotal,shotFastbreak,attMissLeft,totalFastbreak,freekickTotal,expectedGoalsFreekick,attFastbreak,attSvLowRight,attCmissLeft,attFreekickMiss,postScoringAtt,hitWoodwork,attOboxPost,attPostHigh,attIboxOwnGoal,goalAssistOpenplay,ptsGainedLosingPos,goalAssist,accurateThroughBall,totalThroughBall,goalAssistIntentional,forwardGoals,handBall,goalAssistSetplay,goalAssistDeadball,attSvHighRight,attMissHighLeft,accurateFreekickCross,attCmissHighLeft,shieldBallOop,ptsDroppedWinningPos,attIboxPost,attHdPost,attSetpiece,attPostRight,errorLeadToGoal,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,attFreekickTarget,attCmissHighRight,attLgCentre,attSvHighLeft,contentiousDecision,attPenTarget,attObxLeft,attLgRight,goalFastbreak,attPostLeft,clearanceOffLine,attLgLeft,secondYellow,attPenMiss,attObxdLeft,foulThrowIn
11,2562001,2025-11-09 14:00:00,"The City Ground, Nottingham",30708.0,Away,Leeds United,Nottingham Forest,1,3,L,1.0,1.0,0,0,0.0,1.0,,45.0,1.0,0.0,,0.926,19.0,28.0,5.0,3.0,5.0,3.0,0.0,,149.0,0.0,2.0,5.0,1.0,2.0,5.0,1.0,3.0,107.0,143.0,49.0,10.0,2.0,13.0,1.0,1.0,1.0,13.0,10.0,0.0,1.0,28.0,4.0,12.0,25.0,,3.4153,114.0,1.0,,0.0,,0.0,92.0,11.0,0.0,1.0,0.0,1.0,1.0,51.0,49.0,3.0,68.0,4.0,9.0,19.0,5.0,0.0,0.0,2.0,2.0,143.0,1.0,10.0,0.0,111.0,640.0,3.0,1.0,20.0,9.0,331.0,17.0,3.0,17.0,1.0,5.0,2.0,0.312567,17.0,412.0,64.0,33.0,435997,3.0,241.0,1.0,5.0,,263.0,4.0,113130.77,1.0,1.0,6.0,9.0,58.0,,0.0,0.0,1.0,5.0,1.0,13.0,4.0,9.0,,0.0,55.0,353.0,10.0,7.0,1.0,23.0,3.0,73.0,0.0,0.0,0.0,,0.0,3.0,6.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,54.5,11.0,2.0,4.0,1.0,5.0,2.0,34.0,4.0,1.0,435.0,9.0,9.0,7.0,5.0,20.0,1.0,3.0,185.0,4.0,12.0,19.0,47.0,19.0,17.0,15.0,0.0,3.0,5.0,5.0,23.0,0.6871,6.0,4.0,2.0,,1.0,,1.0,1.0,1.0,1.0,3.0,3.0,2.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,2562010,2025-11-23 14:00:00,"Elland Road, Leeds",36819.0,Home,Leeds United,Aston Villa,1,2,L,1.0,0.0,0,0,1.0,,1.0,59.0,0.0,0.0,,1.7132,20.0,21.0,5.0,5.0,9.0,2.0,1.0,2.0,149.0,1.0,4.0,9.0,1.0,5.0,12.0,1.0,5.0,101.0,132.0,62.0,14.0,4.0,15.0,4.0,,3.0,26.0,16.0,0.0,,21.0,2.0,13.0,13.0,,0.4638,166.0,,,0.0,,0.0,110.0,18.0,0.0,1.0,0.0,1.0,,49.0,49.0,8.0,65.0,2.0,24.0,19.0,5.0,0.0,0.0,8.0,1.0,132.0,2.0,8.0,0.0,85.0,612.0,10.0,6.0,24.0,12.0,320.0,24.0,5.0,10.0,5.0,3.0,4.0,0.795231,11.0,375.0,62.0,34.05,214225,4.0,177.0,2.0,10.0,,202.0,10.0,112971.89,0.0,2.0,8.0,9.0,61.0,,0.0,0.0,4.0,1.0,0.0,17.0,6.0,5.0,1.0,0.0,48.0,339.0,16.0,12.0,2.0,24.0,1.0,57.0,0.0,0.0,0.0,,0.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,4.0,2.0,47.9,4.0,1.0,7.0,,1.0,4.0,38.0,3.0,,400.0,12.0,7.0,10.0,5.0,28.0,,4.0,224.0,6.0,12.0,11.0,87.0,27.0,10.0,26.0,0.0,1.0,8.0,5.0,22.0,1.791,8.0,3.0,6.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,,,,1.0,2.0,,,3.0,,,5.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
13,2562020,2025-11-29 15:00:00,"Etihad Stadium, Manchester",52483.0,Away,Leeds United,Manchester City,2,3,L,0.0,2.0,0,0,0.0,,2.0,41.0,1.0,0.0,1.0,2.2884,20.0,21.0,1.0,1.0,8.0,6.0,0.0,2.0,136.0,1.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,71.0,132.0,64.0,9.0,1.0,20.0,2.0,,1.0,14.0,14.0,0.0,,21.0,1.0,7.0,24.0,,3.6775,81.0,,,0.0,1.0,0.0,66.0,11.0,0.0,2.0,0.0,1.0,,26.0,42.0,1.0,73.0,1.0,13.0,17.0,1.0,0.0,0.0,3.0,,132.0,,14.0,1.0,68.0,527.0,1.0,5.0,20.0,8.0,245.0,19.0,6.0,11.0,1.0,6.0,2.0,0.571254,10.0,319.0,42.0,34.94,214225,6.0,187.0,1.0,6.0,,209.0,6.0,113461.66,2.0,,7.0,8.0,44.0,,0.0,0.0,4.0,3.0,1.0,22.0,4.0,4.0,1.0,0.0,56.0,265.0,17.0,7.0,2.0,26.0,,54.0,0.0,0.0,0.0,,0.0,,8.0,5.0,2.0,3.0,1.0,0.0,3.0,3.0,38.3,5.0,2.0,4.0,1.0,4.0,2.0,18.0,1.0,,348.0,8.0,3.0,10.0,3.0,23.0,,3.0,153.0,5.0,4.0,18.0,32.0,11.0,11.0,26.0,0.0,3.0,2.0,5.0,7.0,1.5366,7.0,1.0,4.0,3.0,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,2.0,,1.0,,,,,,2.0,,1.0,,,,5.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,
14,2562030,2025-12-03 20:15:00,"Elland Road, Leeds",36767.0,Home,Leeds United,Chelsea,3,1,W,2.0,0.0,0,0,0.0,,1.0,53.0,1.0,2.0,1.0,2.5276,20.0,32.0,5.0,5.0,11.0,1.0,1.0,2.0,120.0,0.0,6.0,4.0,3.0,,9.0,1.0,5.0,46.0,130.0,51.0,17.0,1.0,18.0,2.0,1.0,1.0,18.0,15.0,0.0,,32.0,4.0,7.0,13.0,,0.7723,106.0,1.0,,1.0,,0.0,88.0,10.0,0.0,,1.0,,1.0,58.0,32.0,3.0,47.0,4.0,14.0,17.0,6.0,0.0,0.0,6.0,4.0,130.0,1.0,11.0,0.0,51.0,470.0,6.0,5.0,20.0,9.0,175.0,19.0,9.0,13.0,1.0,5.0,6.0,0.463006,12.0,242.0,55.0,33.2,174594,6.0,86.0,1.0,7.0,,101.0,5.0,119766.25,1.0,2.0,10.0,7.0,51.0,2.0,0.0,1.0,3.0,4.0,2.0,13.0,3.0,4.0,3.0,0.0,59.0,186.0,12.0,8.0,1.0,40.0,3.0,61.0,0.0,0.0,0.0,,0.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,28.9,9.0,3.0,8.0,,5.0,2.0,24.0,4.0,1.0,264.0,9.0,8.0,5.0,10.0,25.0,2.0,6.0,181.0,8.0,5.0,14.0,45.0,21.0,13.0,21.0,1.0,1.0,11.0,5.0,12.0,2.786,10.0,4.0,1.0,1.0,,,,1.0,,,2.0,2.0,,,2.0,3.0,2.0,,,2.0,,,,,,,,,1.0,,2.0,,,2.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,
15,2562040,2025-12-06 17:30:00,"Elland Road, Leeds",36842.0,Home,Leeds United,Liverpool,3,3,D,0.0,0.0,0,0,0.0,,2.0,44.0,1.0,0.0,2.0,2.0707,14.0,19.0,3.0,5.0,9.0,4.0,1.0,2.0,135.0,0.0,4.0,5.0,3.0,2.0,8.0,1.0,5.0,93.0,133.0,43.0,12.0,,19.0,1.0,,,14.0,6.0,1.0,1.0,19.0,4.0,6.0,19.0,,3.6922,163.0,,,0.0,1.0,0.0,121.0,14.0,0.0,3.0,1.0,2.0,,73.0,39.0,4.0,64.0,3.0,10.0,23.0,3.0,0.0,0.0,6.0,2.0,133.0,,12.0,1.0,110.0,596.0,6.0,9.0,19.0,10.0,305.0,18.0,5.0,12.0,3.0,4.0,4.0,0.433051,23.0,378.0,65.0,35.03,214225,7.0,162.0,,3.0,,179.0,6.0,115203.07,2.0,,15.0,5.0,55.0,,0.0,0.0,2.0,5.0,1.0,14.0,4.0,3.0,1.0,1.0,50.0,321.0,14.0,6.0,1.0,31.0,3.0,67.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,3.0,3.0,5.0,0.0,3.0,3.0,44.7,17.0,2.0,5.0,1.0,6.0,2.0,31.0,5.0,,402.0,10.0,10.0,8.0,5.0,29.0,1.0,3.0,237.0,4.0,6.0,17.0,75.0,15.0,12.0,9.0,0.0,3.0,6.0,5.0,12.0,1.506,15.0,5.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
16,2562046,2025-12-14 16:30:00,"Gtech Community Stadium, Brentford",17159.0,Away,Leeds United,Brentford,1,1,D,0.0,0.0,0,0,0.0,1.0,1.0,46.0,1.0,0.0,4.0,1.6698,18.0,43.0,7.0,8.0,11.0,1.0,0.0,1.0,145.0,0.0,6.0,8.0,1.0,,12.0,,4.0,81.0,152.0,57.0,18.0,4.0,31.0,3.0,1.0,2.0,23.0,8.0,0.0,,43.0,3.0,4.0,26.0,,0.8401,155.0,,,0.0,,0.0,120.0,9.0,0.0,1.0,0.0,1.0,1.0,56.0,56.0,8.0,61.0,3.0,20.0,5.0,7.0,0.0,0.0,8.0,3.0,152.0,2.0,4.0,0.0,74.0,566.0,11.0,8.0,31.0,7.0,260.0,11.0,7.0,29.0,0.0,1.0,4.0,1.29444,21.0,342.0,51.0,34.4,214225,6.0,122.0,1.0,10.0,,142.0,2.0,113907.87,0.0,,2.0,7.0,53.0,,0.0,0.0,,6.0,1.0,16.0,3.0,3.0,1.0,0.0,52.0,271.0,8.0,4.0,,31.0,1.0,74.0,0.0,0.0,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,6.0,3.0,43.1,6.0,1.0,6.0,2.0,7.0,8.0,33.0,3.0,1.0,361.0,7.0,7.0,11.0,6.0,38.0,,3.0,242.0,7.0,4.0,26.0,77.0,20.0,29.0,15.0,1.0,1.0,13.0,4.0,13.0,1.5178,2.0,3.0,2.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,,,1.0,,2.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
17,2562060,2025-12-20 20:00:00,"Elland Road, Leeds",36334.0,Home,Leeds United,Crystal Palace,4,1,W,2.0,0.0,0,0,0.0,2.0,3.0,45.0,2.0,1.0,3.0,3.1661,19.0,29.0,6.0,4.0,14.0,2.0,0.0,1.0,138.0,1.0,6.0,6.0,4.0,1.0,8.0,1.0,8.0,93.0,152.0,58.0,20.0,2.0,23.0,4.0,,1.0,22.0,11.0,0.0,,29.0,9.0,7.0,22.0,,0.8976,121.0,,,1.0,1.0,0.0,90.0,5.0,0.0,1.0,2.0,,1.0,43.0,55.0,4.0,62.0,4.0,13.0,12.0,6.0,0.0,0.0,3.0,3.0,152.0,1.0,5.0,0.0,107.0,631.0,2.0,10.0,37.0,7.0,314.0,15.0,5.0,19.0,1.0,3.0,4.0,1.39115,34.0,381.0,51.0,34.24,435997,8.0,212.0,1.0,10.0,,220.0,3.0,118033.43,3.0,,6.0,4.0,55.0,,0.0,0.0,2.0,4.0,0.0,21.0,4.0,2.0,2.0,0.0,48.0,327.0,10.0,5.0,5.0,22.0,8.0,66.0,0.0,0.0,1.0,,0.0,1.0,5.0,1.0,3.0,1.0,3.0,0.0,1.0,6.0,52.8,18.0,4.0,4.0,1.0,5.0,5.0,30.0,9.0,1.0,400.0,7.0,13.0,10.0,7.0,41.0,5.0,4.0,202.0,10.0,6.0,27.0,50.0,21.0,19.0,15.0,1.0,1.0,4.0,5.0,15.0,2.674,6.0,9.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,0.0765,,3.0,1.0,,,,,,,,,1.0,,,1.0,2.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
18,2562073,2025-12-28 14:00:00,"Stadium of Light, Sunderland",46675.0,Away,Leeds United,Sunderland,1,1,D,0.0,1.0,0,0,0.0,2.0,1.0,46.0,0.0,0.0,4.0,1.2205,21.0,20.0,6.0,4.0,11.0,2.0,0.0,1.0,159.0,1.0,7.0,4.0,1.0,,16.0,,6.0,126.0,132.0,52.0,17.0,2.0,20.0,3.0,1.0,2.0,27.0,8.0,0.0,2.0,20.0,8.0,12.0,31.0,,0.51,190.0,,,0.0,,0.0,128.0,9.0,0.0,,0.0,,,62.0,60.0,11.0,89.0,1.0,19.0,26.0,6.0,0.0,0.0,6.0,2.0,132.0,4.0,8.0,0.0,139.0,696.0,12.0,8.0,42.0,6.0,420.0,13.0,3.0,13.0,0.0,2.0,5.0,2.17885,13.0,495.0,52.0,32.41,174594,7.0,250.0,3.0,12.0,,263.0,4.0,113997.53,1.0,3.0,10.0,5.0,46.0,2.0,0.0,0.0,3.0,4.0,1.0,12.0,,2.0,2.0,0.0,50.0,433.0,7.0,5.0,3.0,17.0,4.0,60.0,0.0,0.0,0.0,,0.0,,3.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,56.8,11.0,1.0,5.0,,5.0,6.0,33.0,9.0,,513.0,6.0,4.0,14.0,5.0,41.0,4.0,3.0,277.0,9.0,10.0,27.0,87.0,23.0,13.0,14.0,0.0,1.0,12.0,3.0,14.0,2.167,10.0,9.0,1.0,,2.0,,,3.0,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
19,2562080,2026-01-01 17:30:00,"Anfield, Liverpool",60343.0,Away,Leeds United,Liverpool,0,0,D,0.0,0.0,0,0,0.0,,,42.0,0.0,0.0,1.0,0.9702,18.0,37.0,1.0,1.0,3.0,4.0,0.0,1.0,137.0,0.0,3.0,8.0,0.0,1.0,1.0,,2.0,64.0,144.0,58.0,4.0,,26.0,1.0,,2.0,10.0,10.0,0.0,1.0,37.0,3.0,9.0,22.0,,0.7617,73.0,1.0,1.0,0.0,,0.0,82.0,8.0,0.0,2.0,0.0,1.0,,41.0,27.0,1.0,43.0,,7.0,19.0,1.0,0.0,0.0,3.0,,144.0,,11.0,0.0,51.0,480.0,,5.0,11.0,11.0,186.0,22.0,7.0,15.0,2.0,8.0,,0.141756,18.0,270.0,50.0,33.8,427637,3.0,124.0,1.0,3.0,,153.0,4.0,113320.3,0.0,,6.0,9.0,53.0,,0.0,0.0,1.0,3.0,0.0,16.0,8.0,2.0,,0.0,60.0,194.0,10.0,12.0,1.0,31.0,1.0,61.0,0.0,0.0,0.0,,0.0,,8.0,2.0,0.0,0.0,,0.0,2.0,1.0,31.7,7.0,,2.0,,3.0,1.0,19.0,3.0,,295.0,11.0,5.0,8.0,1.0,21.0,1.0,1.0,152.0,2.0,9.0,22.0,34.0,12.0,15.0,18.0,0.0,0.0,3.0,4.0,11.0,0.6946,6.0,3.0,1.0,3.0,1.0,1.0,,,,,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,2562090,2026-01-04 12:30:00,"Elland Road, Leeds",36909.0,Home,Leeds United,Manchester United,1,1,D,0.0,0.0,0,0,0.0,1.0,1.0,52.0,0.0,1.0,1.0,1.5242,21.0,23.0,2.0,4.0,8.0,1.0,1.0,1.0,195.0,0.0,3.0,4.0,1.0,,8.0,,3.0,87.0,180.0,54.0,11.0,1.0,16.0,2.0,2.0,,20.0,10.0,0.0,,23.0,6.0,8.0,21.0,,0.3914,164.0,1.0,,0.0,,0.0,123.0,9.0,0.0,,1.0,,,57.0,58.0,4.0,63.0,,14.0,24.0,3.0,0.0,0.0,6.0,2.0,180.0,1.0,9.0,0.0,80.0,628.0,6.0,15.0,25.0,17.0,298.0,21.0,8.0,13.0,0.0,4.0,4.0,0.834347,20.0,403.0,67.0,35.0,243526,5.0,151.0,,8.0,,180.0,5.0,113021.56,0.0,,7.0,8.0,55.0,1.0,0.0,0.0,1.0,3.0,1.0,11.0,6.0,4.0,2.0,0.0,61.0,312.0,9.0,5.0,1.0,31.0,2.0,83.0,0.0,0.0,0.0,,0.0,2.0,4.0,1.0,1.0,1.0,10.0,0.0,2.0,2.0,45.4,10.0,1.0,2.0,,4.0,2.0,45.0,6.0,,425.0,17.0,13.0,11.0,6.0,42.0,1.0,3.0,265.0,5.0,5.0,23.0,72.0,25.0,13.0,18.0,0.0,1.0,6.0,4.0,16.0,0.899,7.0,6.0,,,,,,,,,,,,,3.0,2.0,4.0,,,3.0,2.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,
21,2562103,2026-01-07 20:15:00,"St. James' Park, Newcastle",52176.0,Away,Leeds United,Newcastle United,3,4,L,2.0,1.0,0,0,0.0,1.0,1.0,50.0,2.0,0.0,3.0,2.2222,24.0,33.0,2.0,2.0,12.0,3.0,0.0,2.0,130.0,1.0,4.0,8.0,3.0,1.0,9.0,1.0,6.0,78.0,133.0,52.0,14.0,,23.0,2.0,4.0,3.0,12.0,7.0,0.0,1.0,33.0,4.0,10.0,29.0,,2.8711,157.0,,,1.0,1.0,0.0,114.0,10.0,0.0,2.0,0.0,1.0,2.0,58.0,40.0,6.0,55.0,1.0,8.0,9.0,2.0,0.0,0.0,,,133.0,2.0,15.0,0.0,71.0,525.0,4.0,7.0,26.0,16.0,242.0,20.0,9.0,15.0,2.0,5.0,3.0,0.713836,15.0,313.0,62.0,34.06,214225,5.0,103.0,2.0,6.0,1.0,113.0,3.0,123382.0,3.0,2.0,4.0,7.0,53.0,1.0,0.0,0.0,,2.0,2.0,19.0,3.0,3.0,2.0,1.0,54.0,256.0,9.0,8.0,3.0,27.0,2.0,59.0,0.0,0.0,0.0,2.0,0.0,,8.0,3.0,2.0,4.0,3.0,0.0,2.0,4.0,37.5,4.0,2.0,7.0,1.0,5.0,3.0,31.0,4.0,2.0,334.0,16.0,8.0,16.0,5.0,28.0,2.0,4.0,233.0,8.0,10.0,19.0,69.0,18.0,15.0,17.0,0.0,4.0,9.0,5.0,14.0,1.8919,4.0,4.0,2.0,4.0,,,1.0,,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,2.0,,2.0,,2.0,1.0,3.0,1.0,,,,,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,
22,2562108,2026-01-17 15:00:00,"Elland Road, Leeds",36300.0,Home,Leeds United,Fulham,1,0,W,0.0,0.0,0,0,0.0,2.0,1.0,47.0,1.0,0.0,1.0,1.119,18.0,13.0,4.0,6.0,10.0,1.0,0.0,2.0,152.0,0.0,5.0,4.0,1.0,3.0,12.0,1.0,5.0,91.0,151.0,46.0,14.0,1.0,27.0,2.0,,2.0,21.0,8.0,0.0,2.0,13.0,6.0,3.0,34.0,,0.0899,127.0,1.0,1.0,0.0,,0.0,94.0,6.0,0.0,,0.0,1.0,2.0,40.0,55.0,6.0,63.0,2.0,15.0,15.0,4.0,0.0,0.0,,1.0,151.0,5.0,5.0,1.0,96.0,576.0,9.0,8.0,22.0,7.0,300.0,23.0,4.0,9.0,1.0,2.0,6.0,0.907655,21.0,379.0,55.0,34.97,243526,6.0,189.0,4.0,13.0,1.0,207.0,4.0,116379.77,1.0,,7.0,9.0,52.0,1.0,0.0,0.0,8.0,3.0,1.0,12.0,3.0,2.0,3.0,0.0,58.0,311.0,11.0,3.0,2.0,23.0,3.0,71.0,0.0,0.0,0.0,,0.0,2.0,3.0,1.0,1.0,0.0,5.0,0.0,3.0,2.0,46.3,15.0,2.0,2.0,3.0,3.0,1.0,35.0,7.0,2.0,402.0,7.0,11.0,14.0,8.0,32.0,2.0,7.0,216.0,6.0,3.0,22.0,51.0,18.0,9.0,10.0,0.0,0.0,11.0,4.0,9.0,1.4306,7.0,7.0,2.0,,,1.0,,1.0,,,1.0,1.0,,,2.0,1.0,2.0,,,2.0,,1.0,,,,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
23,2562120,2026-01-26 20:00:00,"Hill Dickinson Stadium, Liverpool",51979.0,Away,Leeds United,Everton,1,1,D,1.0,0.0,0,0,0.0,1.0,1.0,60.0,0.0,0.0,3.0,0.7943,27.0,44.0,4.0,5.0,10.0,2.0,1.0,2.0,154.0,1.0,2.0,1.0,1.0,1.0,8.0,,4.0,82.0,151.0,63.0,14.0,,31.0,2.0,1.0,1.0,12.0,20.0,0.0,1.0,44.0,4.0,8.0,23.0,1.0,0.9973,120.0,,,0.0,,0.0,98.0,13.0,0.0,2.0,1.0,1.0,1.0,37.0,52.0,5.0,63.0,1.0,8.0,19.0,4.0,0.0,0.0,4.0,3.0,151.0,2.0,6.0,0.0,95.0,623.0,6.0,10.0,23.0,10.0,295.0,31.0,14.0,28.0,3.0,4.0,3.0,0.714133,22.0,375.0,57.0,33.28,220627,4.0,186.0,2.0,3.0,,207.0,5.0,118619.72,0.0,,9.0,4.0,73.0,,0.0,0.0,,2.0,1.0,17.0,4.0,3.0,3.0,0.0,66.0,304.0,9.0,10.0,1.0,38.0,2.0,70.0,0.0,0.0,0.0,,0.0,3.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0,41.9,11.0,1.0,3.0,3.0,2.0,3.0,28.0,4.0,1.0,394.0,10.0,7.0,12.0,7.0,24.0,1.0,3.0,199.0,7.0,8.0,23.0,62.0,19.0,28.0,31.0,0.0,1.0,11.0,4.0,14.0,1.377,9.0,4.0,1.0,,,2.0,,,,,3.0,3.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,1.0,,1.0,,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
24,2562128,2026-01-31 15:00:00,"Elland Road, Leeds",36858.0,Home,Leeds United,Arsenal,0,4,L,0.0,2.0,0,0,1.0,,,36.0,0.0,0.0,1.0,0.4179,17.0,36.0,1.0,1.0,2.0,4.0,0.0,,120.0,0.0,1.0,6.0,0.0,1.0,2.0,,1.0,101.0,139.0,47.0,3.0,,18.0,1.0,1.0,,19.0,6.0,0.0,,36.0,4.0,12.0,27.0,,1.5138,143.0,,,0.0,,0.0,102.0,10.0,0.0,1.0,0.0,1.0,,53.0,63.0,2.0,68.0,,15.0,10.0,1.0,0.0,0.0,6.0,1.0,139.0,,12.0,0.0,106.0,587.0,1.0,9.0,21.0,10.0,302.0,12.0,4.0,20.0,1.0,3.0,1.0,0.179203,23.0,373.0,53.0,32.46,214225,1.0,174.0,,8.0,,188.0,5.0,108407.35,0.0,,6.0,6.0,52.0,1.0,0.0,0.0,,6.0,0.0,17.0,3.0,4.0,1.0,0.0,53.0,316.0,7.0,10.0,1.0,22.0,1.0,75.0,0.0,0.0,0.0,1.0,0.0,,12.0,4.0,0.0,4.0,3.0,0.0,,1.0,49.5,12.0,,2.0,,6.0,1.0,31.0,4.0,,395.0,10.0,4.0,9.0,1.0,23.0,1.0,,226.0,1.0,8.0,18.0,64.0,11.0,20.0,16.0,0.0,3.0,2.0,5.0,16.0,0.15,6.0,4.0,1.0,1.0,1.0,1.0,,,,,3.0,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
