gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attRfTarget,attFreekickTotal,attIboxTarget,attSvLowCentre,attOboxTarget,attMissHighRight,attSvHighLeft,attSvLowLeft,goodHighClaim,freekickTotal,attHdTarget,attMissHighLeft,accurateLaunches,penaltyConceded,attMissHigh,attAssistSetplay,attCmissLeft,attHdMiss,attSvHighCentre,penaltyFaced,totalHighClaim,penGoalsConceded,attFreekickMiss,attIboxMiss,effectiveBlockedCross,blockedCross,attCmissRight,shotFastbreak,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,attMissRight,bigChanceCreated,accurateThroughBall,accurateFreekickCross,bigChanceMissed,attFastbreak,possWonAtt3rd,attBxLeft,errorLeadToShot,errorLeadToGoal,attPenTarget,penaltyWon,totalPullBack,attSvLowRight,attObxRight,attPostHigh,sixYardBlock,attCmissHigh,goalAssistIntentional,attGoalLowRight,attemptsIbox,attemptsObox,touchesInOppBox,attObxLeft,attCmissHighRight,ownGoals,attCmissHighLeft,shieldBallOop,attIboxOwnGoal,attLfGoal,attGoalHighCentre,attPenGoal,attFreekickGoal,attOboxPost,goalAssistSetplay,goalAssistDeadball,accurateKeeperSweeper,attSvHighRight,totalKeeperSweeper,attFreekickTarget,goalFastbreak,attHdPost,accuratePullBack,secondYellow,ptsDroppedWinningPos,attPostRight,attGoalHighLeft,attObxdLeft,foulThrowIn,attFreekickPost,attGoalLowCentre,attObxdRight
11,695006,2013-11-09 17:30:00,"Carrow Road, Norwich",26824,Home,Norwich City,West Ham United,3,1,W,0,1,0,0,,,1.0,34.0,,1.0,,22.0,34.0,5.0,5.0,3.0,165.0,3.0,4.0,3.0,2.0,13.0,6.0,83.0,144.0,48.0,15.0,,16.0,1.0,1.0,1.0,2.0,17.0,,14.0,1.0,34.0,4.0,9.0,15.0,162.0,0.0,113.0,12.0,2.0,,46.0,63.0,4.0,57.0,,13.0,12.0,4.0,2.0,144.0,,7.0,,100.0,594.0,11.0,19.0,1.0,8.0,297.0,14.0,13.0,1.0,1.0,5.0,9.0,25.0,382.0,59.0,83283,7.0,147.0,9.0,,171.0,5.0,1.0,12.0,7.0,49.0,,,,2.0,1.0,9.0,5.0,3.0,50.0,306.0,11.0,6.0,30.0,90.0,,0.0,,2.0,2.0,2.0,1.0,5.0,0.0,2.0,3.0,46.9,23.0,2.0,,,47.0,4.0,405.0,8.0,12.0,4.0,9.0,12.0,1.0,251.0,7.0,8.0,16.0,67.0,12.0,1.0,13.0,20.0,,1.0,12.0,2.0,8.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,11.0,,3.0,1.0,2.0,3.0,,,1.0,,,6.0,2.0,2.0,,1.0,,,1.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12,695016,2013-11-23 15:00:00,"St. James' Park, Newcastle",51328,Away,Norwich City,Newcastle United,1,2,L,0,2,0,0,,,,43.0,,1.0,,44.0,25.0,2.0,2.0,3.0,150.0,4.0,6.0,1.0,3.0,6.0,2.0,129.0,150.0,51.0,10.0,2.0,18.0,1.0,,,1.0,15.0,,12.0,,25.0,5.0,5.0,29.0,147.0,0.0,107.0,7.0,2.0,,54.0,59.0,1.0,60.0,,10.0,13.0,4.0,,150.0,,10.0,,137.0,657.0,4.0,7.0,,7.0,360.0,15.0,12.0,1.0,1.0,6.0,5.0,31.0,462.0,62.0,83283,4.0,226.0,6.0,2.0,247.0,1.0,,13.0,9.0,56.0,1.0,,1.0,5.0,,8.0,11.0,6.0,68.0,369.0,8.0,15.0,20.0,88.0,,0.0,2.0,6.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,51.2,31.0,5.0,2.0,,40.0,5.0,476.0,7.0,13.0,9.0,6.0,16.0,2.0,244.0,4.0,4.0,19.0,53.0,16.0,,12.0,19.0,1.0,2.0,4.0,3.0,11.0,2.0,5.0,1.0,,2.0,1.0,1.0,,1.0,,,2.0,2.0,,,4.0,,2.0,1.0,1.0,3.0,,,2.0,,,6.0,,,1.0,,,,,,1.0,2.0,1.0,1.0,,1.0,,3.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
13,695028,2013-11-30 15:00:00,"Carrow Road, Norwich",26851,Home,Norwich City,Crystal Palace,1,0,W,1,0,0,0,,,1.0,63.0,,,,41.0,33.0,5.0,3.0,2.0,181.0,5.0,10.0,1.0,6.0,9.0,3.0,134.0,175.0,63.0,10.0,3.0,33.0,1.0,1.0,1.0,,28.0,1.0,12.0,,33.0,5.0,12.0,33.0,241.0,0.0,195.0,12.0,,3.0,84.0,104.0,5.0,71.0,,23.0,14.0,6.0,1.0,175.0,,8.0,,125.0,724.0,6.0,10.0,1.0,5.0,394.0,26.0,14.0,1.0,1.0,7.0,4.0,25.0,491.0,82.0,83283,4.0,165.0,14.0,2.0,192.0,4.0,1.0,14.0,4.0,67.0,1.0,,1.0,5.0,1.0,14.0,5.0,1.0,78.0,401.0,13.0,4.0,41.0,96.0,1.0,0.0,2.0,4.0,3.0,1.0,,4.0,0.0,4.0,1.0,60.0,21.0,5.0,3.0,1.0,44.0,5.0,511.0,5.0,12.0,17.0,4.0,18.0,1.0,347.0,6.0,9.0,30.0,136.0,17.0,1.0,14.0,13.0,,,7.0,3.0,16.0,8.0,5.0,2.0,,,1.0,,1.0,1.0,,,3.0,,,,10.0,,,2.0,,1.0,,,4.0,,,2.0,4.0,4.0,,1.0,,1.0,,2.0,,2.0,1.0,,1.0,,1.0,6.0,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
14,695033,2013-12-04 19:45:00,"Anfield, Liverpool",44541,Away,Norwich City,Liverpool,1,5,L,0,3,0,0,2.0,,,54.0,,3.0,,20.0,18.0,7.0,7.0,6.0,133.0,7.0,12.0,1.0,3.0,11.0,5.0,80.0,142.0,50.0,14.0,2.0,14.0,1.0,,1.0,2.0,17.0,,12.0,1.0,18.0,,12.0,13.0,139.0,0.0,101.0,6.0,4.0,1.0,55.0,44.0,5.0,53.0,3.0,17.0,12.0,6.0,3.0,142.0,,15.0,,90.0,561.0,9.0,13.0,,12.0,260.0,22.0,2.0,1.0,1.0,8.0,6.0,19.0,332.0,59.0,83283,3.0,140.0,10.0,1.0,161.0,4.0,,12.0,11.0,62.0,1.0,,,7.0,1.0,10.0,13.0,2.0,55.0,272.0,10.0,19.0,29.0,80.0,,0.0,3.0,4.0,4.0,1.0,5.0,4.0,0.0,7.0,2.0,38.2,16.0,7.0,2.0,1.0,30.0,,356.0,12.0,17.0,3.0,7.0,12.0,,212.0,5.0,12.0,12.0,65.0,16.0,,2.0,18.0,1.0,3.0,12.0,3.0,18.0,8.0,,2.0,2.0,1.0,,2.0,4.0,2.0,,,,1.0,,,8.0,,1.0,1.0,1.0,1.0,,,,,,4.0,2.0,2.0,1.0,,,,,,1.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
15,695050,2013-12-07 15:00:00,"The Hawthorns, West Bromwich",23675,Away,Norwich City,West Bromwich Albion,2,0,W,1,0,0,0,,,,74.0,2.0,2.0,1.0,24.0,42.0,6.0,2.0,10.0,126.0,3.0,4.0,2.0,3.0,5.0,3.0,69.0,154.0,32.0,8.0,1.0,20.0,1.0,,1.0,,17.0,,8.0,,42.0,3.0,14.0,31.0,98.0,0.0,104.0,6.0,5.0,,35.0,45.0,2.0,39.0,1.0,14.0,20.0,3.0,3.0,154.0,,18.0,,68.0,526.0,4.0,7.0,,21.0,200.0,30.0,23.0,1.0,3.0,8.0,3.0,15.0,275.0,66.0,83283,1.0,114.0,11.0,,136.0,3.0,2.0,20.0,10.0,53.0,2.0,,,3.0,2.0,18.0,8.0,2.0,69.0,209.0,9.0,12.0,31.0,88.0,1.0,0.0,3.0,10.0,10.0,1.0,,4.0,0.0,2.0,,36.2,13.0,4.0,2.0,2.0,36.0,3.0,302.0,21.0,12.0,16.0,3.0,16.0,1.0,183.0,6.0,14.0,8.0,46.0,20.0,1.0,23.0,11.0,,,7.0,3.0,7.0,9.0,3.0,,1.0,1.0,,,1.0,,,1.0,3.0,1.0,,,4.0,,1.0,,,,,,4.0,,,,8.0,8.0,2.0,2.0,,1.0,1.0,4.0,1.0,2.0,,,,,2.0,2.0,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
16,695058,2013-12-15 13:30:00,"Carrow Road, Norwich",26876,Home,Norwich City,Swansea City,1,1,D,1,1,0,0,,1.0,,44.0,,,1.0,29.0,15.0,6.0,4.0,1.0,152.0,8.0,10.0,1.0,4.0,10.0,3.0,73.0,173.0,53.0,16.0,2.0,12.0,2.0,1.0,1.0,4.0,27.0,1.0,16.0,,15.0,7.0,13.0,25.0,141.0,0.0,132.0,12.0,1.0,1.0,49.0,44.0,3.0,62.0,3.0,20.0,12.0,8.0,3.0,173.0,1.0,5.0,,61.0,563.0,7.0,14.0,1.0,20.0,227.0,15.0,5.0,1.0,0.0,3.0,7.0,27.0,328.0,78.0,83283,7.0,107.0,11.0,1.0,127.0,2.0,1.0,12.0,7.0,51.0,1.0,,1.0,4.0,1.0,10.0,5.0,1.0,56.0,240.0,10.0,6.0,32.0,81.0,,0.0,,5.0,1.0,,1.0,5.0,0.0,4.0,4.0,37.5,22.0,5.0,3.0,,32.0,8.0,348.0,20.0,14.0,13.0,10.0,27.0,4.0,248.0,8.0,12.0,17.0,67.0,14.0,1.0,5.0,19.0,,1.0,11.0,2.0,19.0,5.0,8.0,1.0,1.0,,2.0,,,2.0,,,4.0,,,2.0,8.0,,,2.0,1.0,3.0,1.0,,5.0,,,6.0,5.0,5.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,,3.0,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
17,695068,2013-12-21 15:00:00,"Stadium of Light, Sunderland",37778,Away,Norwich City,Sunderland,0,0,D,0,0,0,1,,,,55.0,,2.0,2.0,26.0,33.0,5.0,3.0,4.0,127.0,9.0,6.0,,2.0,12.0,5.0,66.0,119.0,56.0,14.0,2.0,19.0,2.0,,,2.0,28.0,,18.0,,33.0,6.0,18.0,9.0,168.0,0.0,126.0,10.0,2.0,2.0,46.0,53.0,8.0,52.0,2.0,22.0,8.0,8.0,1.0,119.0,1.0,4.0,,80.0,532.0,11.0,25.0,,13.0,246.0,25.0,12.0,,1.0,4.0,4.0,10.0,300.0,74.0,83283,6.0,99.0,12.0,1.0,108.0,3.0,,8.0,15.0,51.0,1.0,,1.0,1.0,,8.0,14.0,8.0,45.0,258.0,12.0,10.0,26.0,75.0,,0.0,2.0,6.0,2.0,,,10.0,0.0,7.0,3.0,41.2,7.0,1.0,4.0,,40.0,7.0,325.0,13.0,10.0,4.0,5.0,19.0,2.0,245.0,8.0,18.0,16.0,80.0,16.0,,12.0,25.0,,,12.0,1.0,8.0,6.0,7.0,1.0,3.0,,3.0,,2.0,,1.0,1.0,3.0,,1.0,1.0,13.0,,1.0,1.0,2.0,2.0,1.0,,3.0,,,4.0,3.0,3.0,,2.0,,1.0,,2.0,,1.0,,,1.0,1.0,2.0,,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
19,695088,2013-12-28 15:00:00,"Carrow Road, Norwich",26851,Home,Norwich City,Manchester United,0,1,L,0,0,0,0,,,,59.0,,1.0,1.0,23.0,25.0,9.0,4.0,2.0,153.0,5.0,8.0,,4.0,11.0,4.0,93.0,151.0,47.0,15.0,4.0,14.0,2.0,,,2.0,26.0,,17.0,,25.0,8.0,16.0,22.0,189.0,0.0,145.0,11.0,1.0,3.0,52.0,81.0,6.0,55.0,1.0,18.0,17.0,4.0,4.0,151.0,1.0,3.0,,95.0,597.0,9.0,9.0,,16.0,298.0,28.0,9.0,,4.0,1.0,5.0,22.0,380.0,57.0,83283,4.0,122.0,11.0,1.0,135.0,5.0,,17.0,8.0,53.0,2.0,,,2.0,,15.0,4.0,3.0,47.0,306.0,9.0,14.0,21.0,75.0,,0.0,2.0,3.0,1.0,,1.0,5.0,0.0,3.0,2.0,45.1,18.0,2.0,5.0,,42.0,8.0,396.0,16.0,10.0,8.0,6.0,18.0,2.0,287.0,9.0,15.0,14.0,95.0,20.0,,9.0,18.0,,1.0,12.0,3.0,12.0,6.0,8.0,1.0,2.0,,3.0,,1.0,2.0,1.0,2.0,1.0,,1.0,,8.0,,,2.0,1.0,1.0,1.0,,1.0,,,2.0,5.0,5.0,,,,,,,,2.0,,1.0,,1.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
20,695092,2014-01-01 15:00:00,"Selhurst Park, London",25189,Away,Norwich City,Crystal Palace,1,1,D,1,1,1,0,,,,54.0,,,,30.0,40.0,5.0,2.0,2.0,174.0,3.0,4.0,1.0,3.0,6.0,5.0,77.0,167.0,46.0,8.0,1.0,14.0,,,1.0,,11.0,,7.0,1.0,40.0,4.0,16.0,32.0,139.0,0.0,122.0,10.0,,1.0,57.0,59.0,5.0,56.0,2.0,7.0,13.0,1.0,1.0,167.0,1.0,10.0,,96.0,608.0,4.0,7.0,,19.0,284.0,24.0,20.0,1.0,1.0,3.0,1.0,28.0,368.0,81.0,83283,2.0,156.0,5.0,3.0,179.0,1.0,1.0,13.0,15.0,54.0,1.0,,1.0,2.0,1.0,18.0,3.0,4.0,85.0,292.0,12.0,10.0,24.0,101.0,1.0,0.0,1.0,9.0,3.0,,1.0,4.0,1.0,1.0,2.0,54.9,21.0,2.0,1.0,1.0,38.0,4.0,403.0,19.0,13.0,14.0,2.0,27.0,2.0,235.0,4.0,16.0,19.0,63.0,20.0,,20.0,13.0,,1.0,5.0,3.0,12.0,6.0,4.0,,3.0,,2.0,,2.0,1.0,,1.0,1.0,,1.0,,4.0,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,,1.0,6.0,6.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,2.0,,,,,2.0,,,,,1.0,,3.0,5.0,18.0,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,2.0,,,,,,,
21,695103,2014-01-11 15:00:00,"Goodison Park, Liverpool",36827,Away,Norwich City,Everton,0,2,L,0,1,0,0,2.0,,,47.0,,,3.0,28.0,36.0,4.0,7.0,3.0,127.0,2.0,3.0,,1.0,8.0,2.0,73.0,133.0,39.0,11.0,,14.0,2.0,1.0,,1.0,16.0,1.0,4.0,,36.0,5.0,10.0,23.0,109.0,0.0,103.0,14.0,1.0,1.0,26.0,50.0,4.0,63.0,3.0,11.0,12.0,4.0,3.0,133.0,,11.0,,49.0,516.0,8.0,8.0,1.0,26.0,226.0,23.0,16.0,,2.0,7.0,4.0,11.0,296.0,70.0,83283,2.0,130.0,6.0,,152.0,6.0,,12.0,12.0,62.0,2.0,,2.0,4.0,,12.0,12.0,6.0,56.0,237.0,7.0,16.0,27.0,85.0,1.0,0.0,,10.0,3.0,,2.0,4.0,0.0,1.0,1.0,37.6,7.0,4.0,3.0,,42.0,5.0,312.0,26.0,17.0,10.0,6.0,21.0,1.0,176.0,3.0,10.0,15.0,63.0,12.0,,16.0,14.0,,,11.0,2.0,6.0,8.0,5.0,1.0,1.0,,1.0,,1.0,,,,,,,,8.0,,1.0,,1.0,,,,,,,2.0,6.0,6.0,3.0,,1.0,,,,,3.0,1.0,2.0,,1.0,,2.0,3.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,
22,695116,2014-01-18 15:00:00,"Carrow Road, Norwich",26655,Home,Norwich City,Hull City,1,0,W,0,0,0,1,,,,51.0,,,8.0,31.0,29.0,9.0,14.0,,167.0,8.0,3.0,1.0,4.0,15.0,4.0,94.0,175.0,55.0,25.0,3.0,18.0,2.0,,,1.0,40.0,,8.0,,29.0,9.0,13.0,43.0,215.0,0.0,180.0,8.0,,1.0,61.0,100.0,9.0,68.0,1.0,31.0,10.0,8.0,4.0,175.0,,8.0,,92.0,655.0,13.0,6.0,,7.0,309.0,22.0,21.0,1.0,1.0,3.0,6.0,41.0,400.0,81.0,83283,10.0,115.0,22.0,5.0,132.0,2.0,,10.0,10.0,51.0,2.0,1.0,1.0,3.0,,9.0,2.0,6.0,57.0,322.0,16.0,3.0,16.0,82.0,,0.0,,8.0,,1.0,,3.0,0.0,6.0,4.0,56.2,33.0,3.0,11.0,,46.0,10.0,421.0,7.0,10.0,21.0,10.0,29.0,2.0,329.0,6.0,13.0,27.0,124.0,19.0,,21.0,11.0,1.0,,12.0,2.0,15.0,3.0,10.0,3.0,,1.0,1.0,1.0,2.0,1.0,,,3.0,1.0,,1.0,4.0,,3.0,1.0,,3.0,1.0,,3.0,,,6.0,3.0,3.0,2.0,,,1.0,,1.0,,4.0,,,,1.0,,3.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,3.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,
23,695125,2014-01-28 19:45:00,"Carrow Road, Norwich",26762,Home,Norwich City,Newcastle United,0,0,D,0,0,1,1,,1.0,,35.0,,1.0,2.0,25.0,33.0,3.0,2.0,3.0,134.0,7.0,4.0,,2.0,9.0,2.0,59.0,171.0,42.0,9.0,2.0,20.0,,,,1.0,19.0,,10.0,,33.0,7.0,14.0,21.0,101.0,0.0,90.0,13.0,2.0,2.0,41.0,55.0,6.0,40.0,1.0,12.0,18.0,1.0,1.0,171.0,1.0,7.0,,82.0,538.0,8.0,10.0,2.0,11.0,205.0,13.0,17.0,,1.0,9.0,3.0,38.0,297.0,54.0,83283,3.0,114.0,9.0,,137.0,4.0,,18.0,14.0,62.0,1.0,,2.0,2.0,,14.0,14.0,7.0,59.0,208.0,7.0,15.0,30.0,87.0,1.0,0.0,2.0,7.0,2.0,,,3.0,1.0,5.0,2.0,46.2,27.0,2.0,4.0,,34.0,7.0,315.0,11.0,10.0,10.0,3.0,7.0,2.0,197.0,5.0,13.0,18.0,45.0,11.0,,17.0,15.0,,,8.0,3.0,10.0,5.0,7.0,,1.0,,1.0,,1.0,,,1.0,2.0,,1.0,,5.0,,,1.0,,1.0,,,2.0,,,2.0,3.0,3.0,,,,1.0,,,,2.0,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,695132,2014-02-01 15:00:00,"Cardiff City Stadium, Cardiff",26748,Away,Norwich City,Cardiff City,1,2,L,1,0,0,0,,1.0,1.0,41.0,,1.0,6.0,26.0,39.0,10.0,9.0,3.0,135.0,13.0,12.0,1.0,3.0,19.0,6.0,86.0,181.0,58.0,27.0,6.0,22.0,3.0,1.0,,1.0,44.0,1.0,12.0,,39.0,14.0,11.0,22.0,211.0,0.0,176.0,9.0,2.0,2.0,68.0,58.0,12.0,70.0,,30.0,10.0,10.0,3.0,181.0,,9.0,1.0,92.0,641.0,16.0,6.0,2.0,13.0,277.0,18.0,18.0,,4.0,1.0,7.0,27.0,366.0,66.0,83283,9.0,87.0,18.0,1.0,108.0,3.0,,10.0,8.0,62.0,1.0,,2.0,1.0,1.0,12.0,4.0,1.0,60.0,285.0,8.0,9.0,28.0,78.0,,0.0,2.0,7.0,1.0,1.0,2.0,,0.0,10.0,6.0,50.8,21.0,1.0,12.0,,27.0,14.0,383.0,13.0,14.0,10.0,9.0,21.0,3.0,319.0,11.0,11.0,20.0,120.0,10.0,,18.0,18.0,,2.0,20.0,3.0,21.0,5.0,14.0,1.0,2.0,,3.0,1.0,2.0,2.0,1.0,2.0,,,2.0,2.0,4.0,,2.0,3.0,1.0,3.0,,,,,,5.0,5.0,5.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,5.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,
25,695146,2014-02-08 15:00:00,"Carrow Road, Norwich",26832,Home,Norwich City,Manchester City,0,0,D,0,0,0,0,,,,42.0,,1.0,,24.0,47.0,3.0,1.0,2.0,104.0,4.0,6.0,,,4.0,2.0,70.0,119.0,32.0,7.0,1.0,15.0,2.0,,,1.0,17.0,,9.0,,47.0,4.0,10.0,24.0,129.0,0.0,82.0,7.0,1.0,,46.0,58.0,2.0,48.0,1.0,13.0,15.0,4.0,1.0,119.0,,8.0,,64.0,477.0,3.0,6.0,,9.0,207.0,17.0,22.0,,2.0,4.0,2.0,18.0,270.0,55.0,83283,1.0,89.0,9.0,,110.0,2.0,,15.0,15.0,47.0,,,2.0,2.0,,5.0,7.0,5.0,47.0,214.0,6.0,10.0,17.0,72.0,1.0,0.0,1.0,14.0,1.0,,,2.0,0.0,2.0,1.0,32.4,17.0,2.0,1.0,,31.0,4.0,286.0,9.0,10.0,12.0,4.0,10.0,2.0,193.0,5.0,10.0,7.0,53.0,13.0,,22.0,14.0,,,6.0,2.0,11.0,9.0,4.0,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,3.0,,3.0,1.0,,,,,1.0,,,3.0,9.0,9.0,,,,1.0,,2.0,,,2.0,,,2.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26,695156,2014-02-11 19:45:00,"Boleyn Ground, London",35153,Away,Norwich City,West Ham United,0,2,L,0,0,0,0,,2.0,,43.0,,1.0,1.0,22.0,65.0,6.0,5.0,5.0,159.0,5.0,2.0,,4.0,11.0,6.0,72.0,167.0,45.0,13.0,2.0,17.0,1.0,,,1.0,22.0,,13.0,,65.0,5.0,17.0,28.0,164.0,0.0,131.0,16.0,1.0,2.0,60.0,55.0,8.0,66.0,3.0,17.0,15.0,6.0,3.0,167.0,,7.0,,68.0,612.0,10.0,6.0,,7.0,255.0,21.0,25.0,,3.0,1.0,3.0,29.0,345.0,76.0,83283,6.0,105.0,9.0,1.0,138.0,5.0,,15.0,10.0,54.0,3.0,,,3.0,,13.0,5.0,3.0,59.0,264.0,12.0,4.0,36.0,94.0,,0.0,,5.0,4.0,,2.0,1.0,0.0,5.0,2.0,51.8,22.0,3.0,3.0,,45.0,5.0,365.0,7.0,12.0,13.0,4.0,21.0,,249.0,6.0,17.0,11.0,82.0,10.0,,25.0,21.0,,2.0,10.0,3.0,11.0,8.0,5.0,1.0,3.0,,5.0,2.0,1.0,,1.0,,4.0,,2.0,1.0,9.0,,1.0,1.0,1.0,,1.0,,4.0,,,1.0,6.0,6.0,1.0,,2.0,,,1.0,,1.0,2.0,3.0,1.0,2.0,,2.0,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,
27,695167,2014-02-23 16:00:00,"Carrow Road, Norwich",26834,Home,Norwich City,Tottenham Hotspur,1,0,W,0,0,0,0,,,,54.0,1.0,1.0,2.0,21.0,37.0,9.0,8.0,2.0,142.0,5.0,5.0,1.0,4.0,10.0,3.0,81.0,144.0,60.0,13.0,1.0,15.0,,1.0,1.0,2.0,15.0,,20.0,,37.0,5.0,8.0,28.0,149.0,0.0,117.0,8.0,1.0,2.0,37.0,64.0,6.0,54.0,,10.0,20.0,2.0,5.0,144.0,,6.0,,85.0,577.0,8.0,10.0,1.0,8.0,266.0,21.0,11.0,1.0,1.0,2.0,4.0,21.0,342.0,61.0,83283,3.0,133.0,6.0,,149.0,4.0,,20.0,6.0,54.0,3.0,,3.0,3.0,1.0,17.0,3.0,3.0,46.0,277.0,14.0,9.0,20.0,72.0,,0.0,,3.0,1.0,,,2.0,0.0,2.0,1.0,40.9,17.0,3.0,3.0,,39.0,5.0,362.0,8.0,16.0,13.0,7.0,13.0,3.0,228.0,4.0,8.0,15.0,80.0,19.0,,11.0,26.0,,,8.0,2.0,11.0,10.0,5.0,2.0,,2.0,1.0,,1.0,,,,3.0,2.0,,1.0,5.0,,1.0,1.0,,1.0,,,3.0,,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,,2.0,1.0,1.0,,,,2.0,1.0,,1.0,,,1.0,,,,,,,,,2.0,,1.0,,,,1.0,,,2.0,1.0,2.0,,,,,,,,,,,1.0,,
